[00:00:00.605 --> 00:00:10.650]  He's the T-Rex of political talk, Alex Jones, on the GCN Radio Network.
[00:23:00.894 --> 00:23:13.327]  I think that's the common thread throughout is a certain number of people who really feel that a few elite men should be calling all the shots and that's the government model they admire.
[00:23:13.327 --> 00:23:17.371]  They don't even quite recognize sometimes that what they're advocating is dictatorship.
[00:23:17.371 --> 00:23:20.835]  Now what are the exact, I mean you've got the quotes in the Harper's article,
[00:23:21.641 --> 00:23:21.921]  Yeah, yeah.
[00:23:21.921 --> 00:23:22.642]  Lawyers combed over it.
[00:23:34.086 --> 00:23:35.627]  I'm trying to find the quotes here.
[00:23:35.627 --> 00:23:42.369]  Jesus needs a sacred group of men running the world so he can love us properly?
[00:23:42.369 --> 00:23:50.371]  Well, I can tell you, for instance, there's a document that they gave me for one of their projects called Youth Corps.
[00:23:50.371 --> 00:23:51.332]  Youth Corps is sort of a
[00:23:52.933 --> 00:23:59.542]  It's a group that is going to go around and build these island wall like homes for young men and young women to train them.
[00:23:59.542 --> 00:24:05.650]  In their official documents, Youth Corps doesn't even admit to being a Christian group, much less a fundamentalist group.
[00:24:05.650 --> 00:24:09.235]  But then they have these other documents, a document called Youth Corps Vision, which I was given.
[00:24:09.996 --> 00:24:16.400]  And it says, the vision is to mobilize thousands of young people worldwide committed to principle precepts and persons of Jesus Christ.
[00:24:16.400 --> 00:24:18.441]  That's fine.
[00:24:18.441 --> 00:24:24.845]  And then it says to help them mature into people who talk like Jesus, act like Jesus, think like Jesus.
[00:24:24.845 --> 00:24:34.470]  That's okay, but then when it gets weird is when they start saying, to see that the finest and best invisible organization is developed and maintained at all levels of the work.
[00:24:35.209 --> 00:24:41.490]  And even though the structure is hidden, see that the family atmosphere is maintained so that all people can feel a part of the family.
[00:24:41.490 --> 00:24:44.371]  And that's why I say you go off the rails right there.
[00:24:44.371 --> 00:24:48.752]  Invisible organizations are not what Jesus was working towards.
[00:24:48.752 --> 00:24:52.113]  Invisible organizations are not what, more importantly, because we're a democracy.
[00:24:52.113 --> 00:24:53.573]  We are not a Christian nation.
[00:24:53.573 --> 00:24:54.373]  We're a democracy.
[00:24:54.373 --> 00:24:56.174]  We're a constitutional republic.
[00:24:56.174 --> 00:25:00.775]  Let me stop you for a second, Jeffrey Charlotte.
[00:25:00.775 --> 00:25:02.415]  Number one, we're a constitutional republic.
[00:25:03.621 --> 00:25:05.302]  Well, I'll get a lot of heat over that.
[00:25:05.302 --> 00:25:06.303]  No, you're right, you're right, you're right.
[00:25:06.303 --> 00:25:07.343]  Thank you for the correction.
[00:25:07.343 --> 00:25:13.908]  You know, in a pure democracy, if 51% of the people say, kill this group and take their property, it happens.
[00:25:13.908 --> 00:25:14.988]  In a republic, you can't.
[00:25:14.988 --> 00:25:17.270]  The minority, as well as the majority, is protected.
[00:25:17.270 --> 00:25:19.031]  But let me continue.
[00:25:19.031 --> 00:25:20.192]  Classic intelligence...
[00:25:21.362 --> 00:25:31.469]  system pyramidal structure where you have the low-level idiots who pay their dues, their tithes, fund the higher-level echelon, and they have key people in positions of power.
[00:25:31.469 --> 00:25:43.357]  This is how the CFR, how the Trilateral Commission, how others work, and then you see the CFR and Trilateral and Bilderberg Group and Bohemian Grove members all in this organization.
[00:25:43.357 --> 00:25:49.622]  This is nothing but a vehicle to take over Christianity in this country, and now through Bush's faith-based initiative, that'll be the
[00:25:51.443 --> 00:25:56.368]  I think the Faith-Based Initiative is very worrisome, and it's one of those things, again, it looks good.
[00:25:56.368 --> 00:25:58.450]  Who can complain about a soup kitchen feeding the hungry?
[00:25:58.450 --> 00:26:02.073]  And then you have to question, what is the system that they're putting into place?
[00:26:02.073 --> 00:26:03.255]  It takes control.
[00:26:03.255 --> 00:26:03.595]  Yeah.
[00:26:03.595 --> 00:26:05.717]  With the tens of billions of dollars a year.
[00:26:05.717 --> 00:26:07.178]  Any other facets you want to hit on?
[00:26:07.178 --> 00:26:09.160]  I'll stop jumping in, this is just so riveting.
[00:26:09.160 --> 00:26:10.382]  You were in there for a month.
[00:26:10.382 --> 00:26:12.744]  Any other facets you want to hit on before we take calls?
[00:26:13.144 --> 00:26:13.364]  Sure.
[00:26:13.364 --> 00:26:20.468]  The one thing I would like to say that I think that your listeners are attuned to is that one of the most compelling things about this group is that they're internationalists.
[00:26:20.468 --> 00:26:27.771]  And I think liberals too often dismiss fundamentalists as stupid and as provincial and local.
[00:26:27.771 --> 00:26:29.112]  And these guys are none of that.
[00:26:29.112 --> 00:26:30.293]  They're very internationalists.
[00:26:30.293 --> 00:26:31.753]  They're very sophisticated.
[00:26:31.753 --> 00:26:32.554]  They're very savvy.
[00:26:32.554 --> 00:26:33.414]  They're charming.
[00:26:33.414 --> 00:26:37.196]  They're not Jerry Falwell screaming at you on the TV.
[00:26:37.196 --> 00:26:38.437]  These groups are
[00:26:39.418 --> 00:26:42.341]  They look just like everyone else, as they say.
[00:26:42.341 --> 00:26:48.770]  And I think if we're going to really combat fundamentalism, we need to acknowledge that and give credit where credit is due.
[00:26:48.770 --> 00:26:50.612]  They can accomplish a lot and they can do a lot.
[00:26:50.612 --> 00:26:51.353]  And they're smart.
[00:26:51.353 --> 00:26:53.816]  And there's good things about their vision.
[00:26:53.816 --> 00:26:55.178]  We should try and encourage those things.
[00:26:56.045 --> 00:27:01.566]  Jeffrey, there's nothing wrong with being a fundamentalist on issues that are important.
[00:27:01.566 --> 00:27:04.107]  I'm a fundamentalist on the Constitution, Bill of Rights.
[00:27:04.107 --> 00:27:06.988]  Well, that's a little bit different than being a fundamentalist Christian.
[00:27:06.988 --> 00:27:08.328]  Well, I am a fundamentalist Christian.
[00:27:08.328 --> 00:27:14.110]  ...literalist reading of the Bible, which has no historical basis.
[00:27:14.110 --> 00:27:19.291]  You have this whole left-wing view, this whole left-wing lens that you're seeing them through.
[00:27:20.209 --> 00:27:23.972]  And, uh, look, the globalists control the left and the right.
[00:27:23.972 --> 00:27:25.653]  That's what I'm trying to tell you.
[00:27:25.653 --> 00:27:28.736]  That's what I'm trying to emphasize, that this is an internationalist group.
[00:27:28.736 --> 00:27:31.558]  In other words, people write to me and they say, oh, I knew it.
[00:27:31.558 --> 00:27:34.680]  I knew those right-wing Republicans were, uh, this is what they were all about.
[00:27:35.641 --> 00:27:37.502]  It's not a question of left and right.
[00:27:37.502 --> 00:27:47.528]  It's a question of people who believe in transparency, who believe in democracy and open debate and discussion, versus people who think a few elites should control everything.
[00:27:47.528 --> 00:27:49.509]  Alright, let me read you another quote and then we'll go to calls.
[00:27:49.509 --> 00:27:50.830]  Maybe you'll understand once you've heard this.
[00:27:50.830 --> 00:27:53.411]  Do you know who Professor Carol Quigley was?
[00:27:53.411 --> 00:27:54.112]  No, I don't.
[00:27:54.112 --> 00:27:58.014]  Bill Clinton thanked him at his first State of the Union address.
[00:27:58.014 --> 00:28:02.196]  He was the head of political science at Georgetown University.
[00:28:02.196 --> 00:28:02.837]  Okay?
[00:28:02.837 --> 00:28:03.057]  Okay.
[00:28:04.276 --> 00:28:06.679]  And this is what he said in his book, Tragedy and Hope.
[00:28:06.679 --> 00:28:14.668]  There does exist, and has existed for a generation, an international network which operates, to some extent, in the way the radical right believes the communists do.
[00:28:14.668 --> 00:28:24.880]  In fact, this network, which we may call the Roundtable Groups, see it's Roundtable Interlocking Groups, has no aversion to cooperating with the communists or any other group, and frequently does so.
[00:28:25.732 --> 00:28:33.956]  I know of their operations of this network because I have studied it for twenty years and was permitted for two years in the early sixties to examine its papers and secret records.
[00:28:33.956 --> 00:28:40.418]  I have no aversion to it or most of its aims and have, for much of my life, been close to it and many of its instruments.
[00:28:40.418 --> 00:28:53.984]  I have objected both in the past and recently to a few of its policies, but in general, my chief difference of opinion is that it wishes to remain unknown and I believe its role in history is significant enough to be known, Professor Carol Quigley, in his book, Tragedy and Hope.
[00:28:54.668 --> 00:28:55.648]  I don't agree with that more.
[00:28:55.648 --> 00:28:59.090]  I mean, that's exactly the main issue, that they wish to remain unknown.
[00:28:59.090 --> 00:29:06.552]  You can advocate whatever you want, as long as you're not doing it secretly, and you're not hiding, and you're not trying to manipulating power, to manipulate power secretly.
[00:29:06.552 --> 00:29:11.094]  Well, they called for dictatorship, and then Ashcroft's trying to pass Patriot Act 2.
[00:29:11.094 --> 00:29:15.295]  Yeah, I think Ashcroft has made pretty clear where his sympathies lie.
[00:29:15.295 --> 00:29:17.176]  Well, now you say he's connected to the group.
[00:29:18.246 --> 00:29:19.186]  What about that?
[00:29:19.186 --> 00:29:35.513]  Yeah, in 1981, a correspondence began between he and Doug Coe in which they agreed to get together and pray together and also talk about how they could bring Jesus, remember this is their Jesus, their idea of Jesus, into politics.
[00:29:35.513 --> 00:29:40.575]  And they don't really have, I think, a great sense of the separation of church and state.
[00:29:40.575 --> 00:29:44.637]  And I think we're seeing the effects of that right now.
[00:29:46.241 --> 00:29:55.449]  He also helped, Ashcroft helped organize within this group a series of somewhat secret, and again that's their word, the organizer said this is a secret meeting for students.
[00:29:55.449 --> 00:29:59.213]  They have to handpick students from good colleges around the country who are brought to a hotel.
[00:29:59.213 --> 00:30:01.615]  No press, no press is alerted about this.
[00:30:01.615 --> 00:30:09.242]  And someone like Ashcroft or Senator P. Dominic of New Mexico will just give them a weekend seminar on how they can
[00:30:10.174 --> 00:30:16.045]  Bring Jesus into politics and how you can do it without setting off alarms.
[00:30:16.045 --> 00:30:21.936]  And we bring Jesus, as we secretly take over all the religious groups, we bring Jesus in through a Hitler model.
[00:30:22.566 --> 00:30:30.251]  Yeah, instead of saying, hey, you bring Jesus in by saying, I'm a Christian, and these are my views, and you can support them or not support them if you want.
[00:30:30.251 --> 00:30:31.452]  We don't talk about abortion.
[00:30:31.452 --> 00:30:33.013]  We don't talk about the Muslims.
[00:30:33.013 --> 00:30:33.754]  This is a spirit guide.
[00:30:33.754 --> 00:30:36.156]  Well, Ashcroft doesn't talk about abortion and the Muslims.
[00:30:36.156 --> 00:30:40.358]  I mean, Ashcroft is a more openly dictatorial character.
[00:30:40.358 --> 00:30:44.221]  I understand, but that's the front for all of this, but I'm showing people the core.
[00:30:44.221 --> 00:30:45.722]  Now, one last question.
[00:30:47.950 --> 00:30:49.331]  Absolutely.
[00:30:49.331 --> 00:30:50.972]  One more comment on this.
[00:30:50.972 --> 00:30:55.234]  Isn't it a conflict of interest to have seven to eight congressmen who live in D.C.
[00:30:55.234 --> 00:30:59.636]  in a house paid for by this non-profit shadowy group, as you write, connected to the CIA?
[00:31:00.788 --> 00:31:13.193]  Yeah, the building is actually registered with the IRS as a church, too, which when I think AP, Associated Press, followed up and checked it out, and these guys were saying, oh, I didn't know that, I didn't know that, and I didn't even know it was any Christian.
[00:31:13.193 --> 00:31:23.737]  And a Maine reporter followed up with John Elias Baldacci, then a congressman, now governor of Maine, a conservative Democrat, and he claimed it didn't even have any Christian element to it.
[00:31:23.737 --> 00:31:24.837]  Now, I was there.
[00:31:24.837 --> 00:31:28.999]  Every meal was preceded by a prayer, and it's a fairly unconventional prayer.
[00:31:28.999 --> 00:31:29.839]  Oh, what is the prayer?
[00:31:30.939 --> 00:31:57.126]  It's always a free-form prayer, and it's always to emphasize, you know, there's a lot you wouldn't disagree with it, you know, thank you Jesus, thank you for this food, this is all good, we agree with this, and then emphasizing our total allegiance to this, and I would even have people, I would hear people say all the time, they say, you know, the kingdom of Christ is not a democracy, and there can only be one king, and that's what we, that's what we have to pray to be broken, and have our spirit humiliated, because democracy
[00:31:58.287 --> 00:31:59.467]  Well, here's the deal.
[00:31:59.467 --> 00:32:05.692]  They're saying that they are the Knights Templars, basically, defending the Grail.
[00:32:05.692 --> 00:32:07.273]  They believe that they're the new Chosen.
[00:32:07.273 --> 00:32:14.458]  And I hear that said a lot of the time, that they are actually the Chosen or the Erech, however you want to put that.
[00:32:14.458 --> 00:32:18.181]  And Jesus is a spirit guide to abortion, unless we don't talk about that.
[00:32:18.181 --> 00:32:19.722]  Let's talk to Dan in Illinois.
[00:32:19.722 --> 00:32:20.442]  Dan, you're on the air.
[00:32:20.442 --> 00:32:21.663]  Then Bob in New York and others.
[00:32:21.663 --> 00:32:22.764]  Go ahead, Dan.
[00:32:22.764 --> 00:32:23.244]  Hello, Jeff.
[00:32:23.244 --> 00:32:24.145]  Hello, Bill.
[00:32:24.145 --> 00:32:24.385]  Hi, Dan.
[00:32:25.487 --> 00:32:27.989]  Um, I think they're alluding to Hitler.
[00:32:27.989 --> 00:32:29.910]  Whether they even admit it to themselves.
[00:32:29.910 --> 00:32:31.932]  You were just hitting on it right now.
[00:32:31.932 --> 00:32:37.776]  And it's the same mistake that all religion without the real Christ and all the religion without real God is.
[00:32:37.776 --> 00:32:40.978]  Is this idea of a superior race.
[00:32:40.978 --> 00:32:42.639]  The Nazis were the superior race.
[00:32:42.639 --> 00:32:45.581]  It's a takeover system for religious organizations.
[00:32:45.581 --> 00:32:46.502]  It's a total front.
[00:32:46.502 --> 00:32:48.523]  It fits all parameters of a cult.
[00:32:48.523 --> 00:32:52.326]  You got congressmen living in this house paid for by the group.
[00:32:52.326 --> 00:32:52.846]  Give me a break.
[00:32:54.245 --> 00:32:57.986]  Well, Dan, I would make one important distinction.
[00:32:57.986 --> 00:33:01.006]  This is what separates them from a lot of those groups.
[00:33:01.006 --> 00:33:03.267]  They don't believe in a superior race.
[00:33:03.267 --> 00:33:09.468]  Not that I've been able to detect, and I've looked, and there's people of all races involved, and that's important to understand.
[00:33:09.468 --> 00:33:12.148]  What they believe in is that strength and that power.
[00:33:12.148 --> 00:33:16.669]  Now, as for the true Christ or the not-true Christ, it's not for me to judge what's in their heart.
[00:33:16.669 --> 00:33:18.089]  Well, I don't want to have a religious debate.
[00:33:18.089 --> 00:33:21.050]  I'm talking about the Sinister Organization, and I'll call a duck a duck.
[00:33:21.750 --> 00:33:25.572]  You know, when it's yellow and quacks and wobbles and swims and flies.
[00:33:25.572 --> 00:33:32.916]  Now, I want to go back to the point that two of these guys threatened you and said, you're a traitor, you will pay.
[00:33:32.916 --> 00:33:34.677]  So I would take that very seriously.
[00:33:34.677 --> 00:33:35.738]  Anything else, Dan?
[00:33:35.738 --> 00:33:45.803]  Yeah, well, I was just, what I was going to say was, is that it's confusing the human, the human accomplishments and the conservative right type person.
[00:33:45.803 --> 00:33:48.705]  They are so impressed with authority and success.
[00:33:49.963 --> 00:33:51.744]  And they're trained never to doubt anything.
[00:33:51.744 --> 00:33:52.785]  This is the suck.
[00:33:52.785 --> 00:33:54.766]  Good Christians in to be their servants.
[00:33:54.766 --> 00:33:56.927]  I think you got it right there, Dan.
[00:33:56.927 --> 00:34:02.311]  This kind of fetish for authority and success and confusing that with what being a good Christian is.
[00:34:02.311 --> 00:34:04.612]  Which is the total opposite message, actually.
[00:34:04.612 --> 00:34:05.993]  Well, I'll give you my analysis.
[00:34:05.993 --> 00:34:08.115]  This thing stinks to high heaven.
[00:34:08.115 --> 00:34:11.016]  You write about the CIA connections in your article, correct, Jeff?
[00:34:12.450 --> 00:34:15.234]  I don't mention that too much.
[00:34:15.234 --> 00:34:18.798]  They've always had guys in every branch of government.
[00:34:18.798 --> 00:34:23.184]  That's not something I've explored too thoroughly.
[00:34:23.184 --> 00:34:28.170]  They've got prayer groups in the Department of Defense and prayer groups throughout government.
[00:34:29.694 --> 00:34:34.761]  Uh, you know, the government's bigger than the CIA, and we should be worried about what's going on throughout it.
[00:34:34.761 --> 00:34:35.322]  Absolutely.
[00:34:35.322 --> 00:34:37.304]  Thanks for the call, Dan.
[00:34:37.304 --> 00:34:38.126]  Appreciate the call.
[00:34:38.126 --> 00:34:38.947]  Bob in New York.
[00:34:38.947 --> 00:34:39.948]  You're on the air with our guest.
[00:34:39.948 --> 00:34:40.889]  Go ahead, Bob.
[00:34:40.889 --> 00:34:42.131]  How you doing today, Alex?
[00:34:42.131 --> 00:34:42.692]  Fine.
[00:34:42.692 --> 00:34:43.573]  How's Jeff today?
[00:34:43.573 --> 00:34:44.294]  Hi, Bob.
[00:34:44.674 --> 00:34:50.057]  Hi, Jeff, Alex brought up a point and I'm going to give you some homework if that's okay with you.
[00:34:50.057 --> 00:34:50.737]  Sure, I'd love that.
[00:34:50.737 --> 00:34:56.640]  Okay, there was a gentleman by the name of Anthony Sutton that wrote a book called America's Secret Establishment.
[00:34:56.640 --> 00:34:56.820]  Okay.
[00:34:56.820 --> 00:35:04.324]  It's a look into skull and bones and where this all goes back to is a philosopher in the 19th century named Hegel.
[00:35:05.284 --> 00:35:21.616]  And what's amazing is if you go way back, which Anthony has done, is he exposes the fact that not only is skull and bones some satanic ritual, you know, and they do weird things inside a tomb, but it infiltrated all of U.S.
[00:35:21.616 --> 00:35:25.519]  education systems since the early 1800s.
[00:35:25.519 --> 00:35:27.641]  And the whole point of it
[00:35:28.271 --> 00:35:34.275]  That this education system is not to educate, it's to make you subservient.
[00:35:34.275 --> 00:35:39.678]  He also goes into their biggest ploy is eugenics.
[00:35:39.678 --> 00:35:43.881]  The head of the Nazi eugenics program was meeting in 1932 with Harriman.
[00:35:47.561 --> 00:35:50.205]  You know, this is genocide.
[00:35:50.205 --> 00:35:52.448]  They need to depopulate.
[00:35:52.448 --> 00:35:58.836]  And so they're setting up the little Christian soldiers who think they're Christian, bringing in the world dictatorship.
[00:35:58.836 --> 00:35:59.477]  Stay there, Bob.
[00:35:59.477 --> 00:36:00.458]  Stay there, Jeff.
[00:36:00.458 --> 00:36:01.480]  We'll be right back with our guest.
[00:36:01.480 --> 00:36:01.880]  Stay with me.
[00:36:24.658 --> 00:36:26.419]  All right, folks.
[00:36:26.419 --> 00:36:32.342]  I really do appreciate our guest with all this great information and amazing research he's done, Jeffrey Charlotte.
[00:36:32.342 --> 00:36:46.028]  Combined with the research I've done and the listeners have done, it's stunningly scary what the globalists are setting up here and how I hear these so-called Christian leaders on the radio saying, Patriot Act 1 and 2 is good.
[00:36:46.028 --> 00:36:48.489]  Basically, you're not a Christian if you don't worship George Bush.
[00:36:49.366 --> 00:36:52.869]  They will attack you if you mention skull and bones and Bohemian Grove.
[00:36:52.869 --> 00:36:58.553]  They will attack you if you mention that Bush goes to Muslim prayer breakfasts and worships Allah.
[00:36:58.553 --> 00:37:00.374]  This is the new system, folks.
[00:37:00.374 --> 00:37:06.619]  It's just putting the name of Christ on something and then trying to sell an agenda attached to that engine.
[00:37:08.070 --> 00:37:13.534]  And we're talking to Harper's writer, Jeffrey Charlotte, an award-winning author.
[00:37:13.534 --> 00:37:15.836]  His website is killingthebuddha.com.
[00:37:15.836 --> 00:37:17.617]  He's got a new book coming out.
[00:37:17.617 --> 00:37:19.939]  Let's go back to Bob in New York.
[00:37:19.939 --> 00:37:22.601]  Anything else real quick, Bob, you want to say to Jeffrey?
[00:37:22.601 --> 00:37:24.822]  Well, Jeffrey, you've done some great work.
[00:37:24.822 --> 00:37:27.785]  You opened up something that we weren't even aware of.
[00:37:27.785 --> 00:37:29.366]  Well, I was aware of it under different names.
[00:37:31.580 --> 00:37:34.702]  You know, Opus Dei, I don't know if you've ever looked into that.
[00:37:34.702 --> 00:37:42.126]  I'm looking into now the possible connection between Opus Dei and the late 60s.
[00:37:42.126 --> 00:37:45.588]  This group had a lot of trouble getting into Spain.
[00:37:45.588 --> 00:37:54.494]  They had leaders throughout the rest of the European government, but Spain, which was a Catholic government, this group is very Protestant.
[00:37:55.569 --> 00:38:04.537]  They ended up sort of making common cause with a group of government officials who were in Opus Dei, and through that they were able to get access to Franco, the dictator of Spain.
[00:38:04.537 --> 00:38:11.444]  And these government officials, these Opus Dei guys, with doubts for this group and said, all right, and then from there on they're doing business.
[00:38:11.444 --> 00:38:14.967]  And they say in your article that, oh, we like Franco.
[00:38:14.967 --> 00:38:18.451]  Yeah, they did admire Franco, another dictator who
[00:38:19.807 --> 00:38:24.810]  He killed a lot of his own citizens, ruled Spain for many years with U.S.
[00:38:24.810 --> 00:38:38.117]  support, and again, they thought this is a guy who maybe has some problems with his policies, but we like the way he approaches governance because it's on the model of crisis, they understand it, which is hierarchical.
[00:38:38.117 --> 00:38:39.477]  Which is a dictatorship.
[00:38:39.477 --> 00:38:41.438]  Thanks for the call, Bob.
[00:38:41.438 --> 00:38:43.700]  Billy in Texas, you're on the air with our guest.
[00:38:43.700 --> 00:38:44.280]  Go ahead, Billy.
[00:38:45.051 --> 00:38:46.192]  Hello, Alex.
[00:38:46.192 --> 00:38:47.372]  Nice talking to you again.
[00:38:47.372 --> 00:38:48.853]  Nice talking to you.
[00:38:48.853 --> 00:38:59.678]  I called you, like, I think it was two weeks ago, and I was wanting to ask you about if you've seen 44 Minutes or that, and you let me plug my website on your... Okay, sir, what's on your mind?
[00:38:59.678 --> 00:39:03.360]  Okay, well, real quick, if I could just explain my story.
[00:39:03.360 --> 00:39:07.082]  What I have to explain dwarfs what you guys have been talking about.
[00:39:07.082 --> 00:39:09.924]  But basically, I'm going to try to make this real short.
[00:39:09.924 --> 00:39:14.746]  The state of Michigan has just came and raped and pillaged my whole family.
[00:39:15.539 --> 00:39:17.680]  Well, sir, we see these horror stories every day.
[00:39:17.680 --> 00:39:20.300]  I may have to hold you over the next hour.
[00:39:20.300 --> 00:39:22.061]  And you tell me you're calling in from Texas.
[00:39:22.061 --> 00:39:24.081]  Yeah, I'm calling from Texas.
[00:39:24.081 --> 00:39:25.921]  It's a child support issue.
[00:39:25.921 --> 00:39:27.802]  Okay, sir, I'm going to have to push you on hold.
[00:39:27.802 --> 00:39:28.262]  Okay.
[00:39:28.262 --> 00:39:31.143]  Because when I have a guest on, it's about that issue.
[00:39:31.143 --> 00:39:31.463]  You know what?
[00:39:31.463 --> 00:39:32.843]  I'm not going to take any more calls.
[00:39:32.843 --> 00:39:35.183]  I just want to go ahead and let our guest finish up.
[00:39:35.183 --> 00:39:37.364]  Sir, are there any other points you'd like to make?
[00:39:37.364 --> 00:39:41.825]  Any other things you'd like to discuss about this situation you've exposed?
[00:39:42.589 --> 00:39:43.869]  I think we've covered it pretty well.
[00:39:43.869 --> 00:39:53.452]  I think one thing it's worth looking at is in 1945, the founder of the group, Abraham Brady, was using the phrase, the New World Order.
[00:39:53.452 --> 00:39:59.474]  And he was working with the administrators of the Marshall Plan, with which the U.S.
[00:39:59.474 --> 00:40:02.055]  helped to rebuild Europe and do a lot of good work.
[00:40:02.055 --> 00:40:10.578]  But he was also saying, let's use that to promote this Christian agenda and to say, look, you want to do business with us, you have to do it on these terms, you have to
[00:40:11.198 --> 00:40:11.459]  Oh no!
[00:40:25.996 --> 00:40:32.979]  A lot of them do pursue this with good heart and with good integrity, but the issue becomes, are you going to do it out in the open, out in the public?
[00:40:32.979 --> 00:40:35.561]  Well, we can all debate and we can say, is this a good idea or a bad idea?
[00:40:35.561 --> 00:40:40.823]  And they call it, and the founder called it, a new world order in just a few years that had presidential support.
[00:40:40.823 --> 00:40:42.804]  Exactly.
[00:40:42.804 --> 00:40:46.446]  Did you know that Hitler called for a new world order, sir?
[00:40:46.446 --> 00:40:48.227]  I didn't, but it's not surprising.
[00:40:49.091 --> 00:40:52.375]  Well, you know, George W. Bush and his daddy have called for a new world order.
[00:40:52.375 --> 00:40:54.837]  That's a popular phrase.
[00:40:54.837 --> 00:40:57.600]  It's a popular phrase, and it's a phrase to watch out for.
[00:40:57.600 --> 00:41:00.443]  It means world dictatorship.
[00:41:00.443 --> 00:41:02.224]  Appreciate you joining us, Jeffrey Charlotte.
[00:41:02.224 --> 00:41:03.506]  Great job.
[00:41:03.506 --> 00:41:04.687]  Take care.
[00:41:04.687 --> 00:41:07.410]  We'll be right back with the third hour with another guest.
