[00:00:00.029 --> 00:00:00.629]  It's your family.
[00:39:38.840 --> 00:39:43.163]  There's that cow-to-cow feeding, that cannibalism cycle that the prions love so much.
[00:39:43.363 --> 00:39:44.884]  Well, think about this.
[00:39:45.024 --> 00:39:56.472]  Instead of giving them milk or a milk substitute that's based in what we would think of as just a protein, now they're going to give them blood, turning them into cannibalistic vampires.
[00:39:57.762 --> 00:40:07.726]  It's, I mean, and you know, and the Spray Dried Blood Producers Association actually has a website and boasts how much cheaper it is to feed calves blood rather than feed calves milk.
[00:40:07.766 --> 00:40:13.208]  Also, I've read that the sanguination or the sucking the blood out of the cows is really done as they just crush them down.
[00:40:13.448 --> 00:40:19.510]  There's all kinds of other tissues and juices out of the spinal cord and brain that go into this.
[00:40:19.750 --> 00:40:22.291]  The exact things that we don't want in the food supply.
[00:40:22.691 --> 00:40:30.918]  Well, we're really concerned about when you, you know, stun the animal unconscious with this devastating blow to the head with these captive bolt starters.
[00:40:30.958 --> 00:40:34.261]  Unfortunately, we're going to splash some of the brain into the circulatory system.
[00:40:34.301 --> 00:40:46.331]  And so when you bleed the cow out and slice her throat into the blood trough, not only are you getting the blood, which we know now is infectious already, but we're getting pieces of brain.
[00:40:46.491 --> 00:40:51.655]  And that's certainly particularly concerning because those are the most infectious parts of the animal.
[00:40:53.442 --> 00:41:01.367]  And again, there's a lot lower standards by light years for what goes into animal feeds compared to what goes into the human food supply.
[00:41:01.547 --> 00:41:10.292]  Yeah, up until yesterday, I mean, it was illegal to feed cow spinal cord to cows, but it was still legal to feed it to people in a hot dog.
[00:41:11.109 --> 00:41:16.750]  Thankfully, some of these risky tissues are now being taken out of the human food supply, but where are they going?
[00:41:17.071 --> 00:41:25.833]  Now they're going to continue to go into animal feed, and we're going to continue to risk the health of our livestock herd and the health of the American public.
[00:41:26.353 --> 00:41:33.475]  Now, you and Oprah, and I appreciate her making that stand so many years ago, had them come after you, then they had to back off.
[00:41:34.695 --> 00:41:37.636]  I mean, you've certainly been vindicated here in spades.
[00:41:39.724 --> 00:41:42.726]  You know, we didn't want to be right, certainly.
[00:41:43.586 --> 00:41:56.054]  But, you know, with the kind of, with the inadequate testing, the continuing of feeding slaughterhouse waste, blood, and meal to calves, and with the downer cow problem, it was just a matter of time.
[00:41:56.394 --> 00:42:06.561]  Understand, my family makes its living in East Texas, pays the taxes, you know, pays for the children's college, everything, with the beef
[00:42:09.119 --> 00:42:09.659]  Profits.
[00:42:10.740 --> 00:42:15.123]  And we've been ranching since 1830 in East Texas.
[00:42:16.044 --> 00:42:23.588]  I have been wanting to expose the Mad Cow before it got to be a gigantic cover-up and where all confidence was lost.
[00:42:23.989 --> 00:42:29.232]  Because I know most of the ranches are doing it right, not doing this.
[00:42:29.973 --> 00:42:34.956]  And I know my family is, because I've been out there many times feeding them on the summers where I worked on the ranch.
[00:42:35.809 --> 00:42:47.255]  But it makes me very angry that early on they said, oh, you're just against our industry, covered this up, and now have made it worse, because it's going to hurt a lot of farming and ranching families now.
[00:42:47.475 --> 00:42:52.658]  I get calls from producers all the time, and I say, look, go out in the barn and read the ingredients on your milk replacer.
[00:42:52.998 --> 00:42:55.599]  These dairy farmers come back, and they had no idea.
[00:42:55.619 --> 00:42:57.340]  I mean, they're outraged.
[00:42:58.161 --> 00:42:58.961]  And I think
[00:42:59.505 --> 00:43:03.607]  The National Cattlemen's Beef Association is really doing producers a disservice.
[00:43:03.627 --> 00:43:07.509]  They've been fighting tooth and nail against all these regulations.
[00:43:07.529 --> 00:43:09.550]  They fought against the feed ban regulations in 1997.
[00:43:10.290 --> 00:43:15.833]  They fought against trying to have restrictions on downer cows going into the human food supply.
[00:43:16.033 --> 00:43:18.254]  They continue to be against increased testing.
[00:43:18.774 --> 00:43:26.638]  And so while that makes sense in terms of short-term profit, I mean it's a few more pennies if we're only going to feed them cow or soybean protein supplements.
[00:43:27.074 --> 00:43:29.915]  Or, you know, if we're going to add tests on to each animal.
[00:43:30.416 --> 00:43:32.157]  So it's a few more pennies per pound of beef.
[00:43:32.197 --> 00:43:34.958]  So it makes sense in the real short-term profits.
[00:43:35.318 --> 00:43:39.460]  But in the long-term, the industry just lost $3 billion for the exports.
[00:43:39.560 --> 00:43:45.703]  Well, Dr. Greger, I have been watching some of the local and national news, and it's everybody's still eating beef.
[00:43:45.783 --> 00:43:46.624]  Everybody loves it.
[00:43:46.904 --> 00:43:47.784]  Nobody's worried.
[00:43:48.284 --> 00:43:50.405]  But then I talked to all my middle-class neighbors.
[00:43:51.566 --> 00:43:53.427]  My wife isn't buying beef now.
[00:43:53.867 --> 00:43:54.587]  I talked to everybody.
[00:43:54.607 --> 00:43:55.528]  They're not buying it.
[00:43:56.673 --> 00:43:58.534]  But they're telling me everybody still loves it.
[00:43:58.714 --> 00:43:59.895]  I think that's propaganda.
[00:44:00.796 --> 00:44:04.818]  Well, I mean, you can understand how, I mean, that has to be the railing cry.
[00:44:04.838 --> 00:44:05.719]  There's no problem.
[00:44:05.779 --> 00:44:06.820]  Everyone still loves it.
[00:44:07.100 --> 00:44:15.185]  And, you know, and so they get the quote from the local restauranteur who's saying that, you know, the line for their steakhouse still goes around the corner.
[00:44:16.582 --> 00:44:20.344]  A number of people are really, you know, are being cautious.
[00:44:20.464 --> 00:44:22.265]  I think reasonably cautious about this.
[00:44:22.305 --> 00:44:25.947]  They're saying, look, it could be a low risk, but why take any risk?
[00:44:26.228 --> 00:44:26.528]  Right?
[00:44:26.588 --> 00:44:29.329]  I mean, you can simply choose something else for your dinner plate.
[00:44:29.670 --> 00:44:34.692]  And until we know more, I think that's a reasonable assumption to take.
[00:44:34.933 --> 00:44:39.555]  Doctor, from your decade of study on this, and as a medical doctor looking at this and trained in this,
[00:44:41.494 --> 00:44:48.457]  When they say whole meats are perfectly safe, that is a steak, a brisket, is that accurate?
[00:44:49.317 --> 00:44:50.498]  Well, unfortunately, it's not.
[00:44:50.558 --> 00:44:52.179]  It's misleading for a number of reasons.
[00:44:52.239 --> 00:44:57.961]  First of all, we know that the muscle meat itself, the skeletal muscle itself, may be infectious.
[00:44:58.001 --> 00:45:09.066]  Now, not as infectious as brain and spinal cord, but the USDA and the Cattleman Trade Group has been trying to make it sound like the skeletal meat is completely safe, and unfortunately,
[00:45:10.722 --> 00:45:14.403]  That was really up until two years ago, that's what we thought.
[00:45:14.803 --> 00:45:27.626]  But then Stanley Prusiner's lab out in San Francisco, the guy who won the Nobel Prize for discovering the cause of mad cows, he's found that indeed, at least in the experimental animals, these prions, these deadly prions, could build up in muscle tissue.
[00:45:28.426 --> 00:45:31.527]  Follow-up studies in Germany substantiated the fact.
[00:45:31.607 --> 00:45:38.148]  And then just last month, in the New England Journal of Medicine, we have this autopsy study coming out of Switzerland.
[00:45:38.502 --> 00:45:48.931]  They found that, you know, about a quarter of human, quite celiac disease victims, had these prions in their muscle samples when they got them on autopsy.
[00:45:49.211 --> 00:46:01.922]  So we know it can be in skeletal muscle, and so by saying that these boneless cuts of steak are okay, it's certainly lower risk than eating scrambled beef brains, but it's not zero risk.
[00:46:03.269 --> 00:46:08.792]  Unbelievable, and I'm a big beef eater, folks, and my family makes their living.
[00:46:10.253 --> 00:46:11.173]  My father's family.
[00:46:11.213 --> 00:46:12.754]  This is just horrible news.
[00:46:13.234 --> 00:46:14.875]  There was no reason to do this.
[00:46:15.656 --> 00:46:17.517]  This is the problem with lowering standards.
[00:46:17.577 --> 00:46:21.879]  If nobody fed meat products to cows that aren't supposed to eat meat to begin with, much less rotten meat,
[00:46:22.997 --> 00:46:31.903]  If they weren't supposed to do this in the first place, then across the board you'd have higher quality meats, safe meats, and bigger profits.
[00:46:31.963 --> 00:46:38.108]  But when you allow them to lower the standards, that ends up hurting everybody and only helps the big corporate farms.
[00:46:38.428 --> 00:46:40.429]  It's just bad all the way around.
[00:46:41.150 --> 00:46:45.613]  And now we're going to get more regulation that will squash the small farmers and ranchers.
[00:46:45.893 --> 00:46:48.075]  Big agribusiness will pay off the inspectors.
[00:46:48.255 --> 00:46:49.375]  They're going to keep doing this.
[00:46:49.455 --> 00:46:50.116]  It's disgusting.
[00:46:50.928 --> 00:46:58.834]  And Man County never would have started in the first place back in 1985 if it wasn't for kind of mucking with Mother Nature.
[00:46:58.874 --> 00:47:00.215]  You know, cows are herbivores.
[00:47:00.255 --> 00:47:01.456]  That's how they should be fed.
[00:47:01.736 --> 00:47:05.198]  And instead, not only have we made them into meat eaters, but cannibals as well.
[00:47:05.218 --> 00:47:08.641]  Well, now we can just breed cows with these cloned cows that can eat meat.
[00:47:08.661 --> 00:47:09.441]  Have you heard about that?
[00:47:09.501 --> 00:47:13.264]  They want to have a cloned herd now so we can feed them this rotten stuff.
[00:47:14.004 --> 00:47:14.605]  Right.
[00:47:14.705 --> 00:47:15.546]  That's been the answer.
[00:47:15.906 --> 00:47:16.907]  Okay, well maybe we can
[00:47:19.184 --> 00:47:32.994]  Genetically engineer some cow that's somehow resistant or invulnerable to mad cow disease and where the simplest answer, instead of spending a million dollars down that route, the simplest answer is to just make these real common sense
[00:47:33.816 --> 00:47:39.679]  Concrete practical precautions like not feeding the poultry litter, not feeding the blood product.
[00:47:39.820 --> 00:47:49.305]  This is far worse than that book about falling into the hot dog maker in the book The Jungle at the turn of the century in the Rockefeller factories.
[00:47:49.785 --> 00:47:53.507]  This is far worse than having a rat dropping in your hot dog.
[00:47:53.747 --> 00:47:56.549]  That generally won't rot your brain out.
[00:47:57.418 --> 00:48:14.381]  Right, see, no matter, before prion diseases, before this mad cow disease, no matter how filthy the meat was, if you cook the meat through, you're going to kill off all the bacteria, you're going to kill off the viruses, you're going to kill off, I don't care if there's manure in there, E. coli, rats, you name it, it's safe.
[00:48:14.481 --> 00:48:17.182]  It may be kind of gross, but the meat is safe.
[00:48:17.562 --> 00:48:21.643]  Until all along we got this new pathogen coming along, and you can't kill it.
[00:48:21.963 --> 00:48:22.923]  You can't cook it out.
[00:48:23.383 --> 00:48:24.704]  Nothing you can do to this thing.
[00:48:24.764 --> 00:48:27.626]  It's practically invulnerable because there's a lot of bacteria.
[00:48:27.866 --> 00:48:30.088]  Let's take one call, Dr. Pete in California.
[00:48:30.108 --> 00:48:30.708]  You're on the air.
[00:48:30.768 --> 00:48:31.169]  Go ahead.
[00:48:31.189 --> 00:48:33.250]  Yeah, well you might be interested in this.
[00:48:33.310 --> 00:48:37.113]  I don't know if the doctors ever heard of an African disease called Kuru.
[00:48:37.273 --> 00:48:39.354]  K-U-R-U.
[00:48:39.475 --> 00:48:44.858]  I saw a documentary on discovery on one of these channels about in the 50s.
[00:48:44.898 --> 00:48:45.559]  They were studying
[00:48:46.696 --> 00:48:47.257]  I think so.
[00:49:04.058 --> 00:49:07.719]  50 years after cannibalism was declared illegal.
[00:49:07.739 --> 00:49:15.821]  So these older people, as kids, ate the brains of their dead, and now, that many decades later, are dying from the disease.
[00:49:16.181 --> 00:49:18.161]  That's the scary thing about mad cow disease.
[00:49:18.241 --> 00:49:24.623]  It's not what you ate yesterday, or what you ate last week, it's what you ate years and years ago that can put people at risk.
[00:49:24.823 --> 00:49:29.504]  Is there any way to detox or slough this out, or if you've got it in you, you're in deep trouble?
[00:49:30.211 --> 00:49:32.892]  Well, we don't know what the infectious dose is.
[00:49:32.912 --> 00:49:43.696]  We're hoping that if you get a small enough hit of this stuff, there's not going to be enough prions to build up so that your incubation period could be 70 years, 80 years, and I don't care if I get mad cowed 80 years from now.
[00:49:43.716 --> 00:49:44.837]  I don't think I'm going to be around.
[00:49:45.677 --> 00:49:51.720]  The bigger dose you get, the more brain, infectious brain, that's in your burger, the sooner you're going to get it.
[00:49:52.020 --> 00:49:54.061]  So it may be 10 years and not 30 years.
[00:49:54.161 --> 00:49:55.401]  Okay, Pete, thanks for the call.
[00:49:56.021 --> 00:49:57.442]  Carson in Colorado, go ahead.
[00:50:00.295 --> 00:50:04.016]  Yeah, Alex, another large beef consumer to y'all.
[00:50:05.596 --> 00:50:12.538]  I grew up around the ag business in northern Colorado, and it has to do with just common sense practices.
[00:50:12.558 --> 00:50:18.719]  I agree with your analysis, but I think this is not done accidentally.
[00:50:19.299 --> 00:50:28.321]  This is designed to destroy the remnants of the small farmer and rancher, and the American citizen can protect himself by
[00:50:29.013 --> 00:50:34.977]  Insisting on buying organic, locally processed and slaughtered beef products.
[00:50:35.137 --> 00:50:41.982]  Well that's what we do now and you just go out to a rancher you know and you say I want that cow slaughtered and you end up saving money.
[00:50:43.688 --> 00:50:45.109]  And that rancher will get more money.
[00:50:45.369 --> 00:50:47.270]  Do you have any comments on that, Doctor?
[00:50:47.530 --> 00:50:54.193]  The organic standards put forth by the USDA absolutely exclude the feeding of all these rendered by-products to cattle.
[00:50:54.253 --> 00:50:55.974]  So... Doctor, stay there.
[00:50:56.054 --> 00:50:58.575]  Pete, thanks for the call.
[00:50:58.695 --> 00:50:59.896]  And Carson, stay there.
[00:51:00.376 --> 00:51:03.578]  Doctor, we're going to come right back and take a couple more calls here in the final segment with you.
[00:51:04.478 --> 00:51:05.219]  So stay there, Carson.
[00:51:05.239 --> 00:51:05.899]  We'll come back to you.
[00:51:06.139 --> 00:51:09.100]  Then we've got Frank Morales, Colonel Craig Roberts, Jack McClam.
[00:51:09.120 --> 00:51:10.141]  You don't want to miss this show.
[00:51:13.803 --> 00:51:19.767]  Herbal Healer Academy is the global supplier of the finest natural medicine that you may need in these troubled times.
[00:51:19.988 --> 00:51:22.229]  We specialize in keeping you alive and healthy.
[00:51:22.429 --> 00:51:28.774]  We provide outstanding products like ECAC, colloidal silver 500 parts per million, olive leaf extract,
[00:51:29.184 --> 00:51:29.484]  I think so.
[00:51:51.733 --> 00:51:53.814]  Simply log on to HerbalHealer.com.
[00:51:53.974 --> 00:51:58.436]  Check out our online member testimonials and our hundreds of exceptional products.
[00:51:58.656 --> 00:52:01.738]  We have been working hard since 1988 to save the remnant.
[00:52:01.898 --> 00:52:07.761]  That's HerbalHealer.com, your website for safe, effective natural alternatives and education.
[00:52:11.565 --> 00:52:14.847]  Introducing the most efficient gravity filter available.
[00:52:14.908 --> 00:52:19.091]  You know, if you were to throw 100 ball bearings at a magnet, most would bounce off.
[00:52:19.331 --> 00:52:22.113]  But, if you place them on the magnet, all would stick.
[00:52:22.313 --> 00:52:24.715]  The same principle applies in water filtration.
[00:52:24.895 --> 00:52:33.521]  Most filtration systems force water through the filter at 60 to 90 PSI, causing water molecules to race through the filter in less than a second.
[00:52:33.721 --> 00:52:35.082]  The Berkey Light is different.
[00:52:35.282 --> 00:52:41.486]  Water molecules take 5 to 10 minutes to pass through the torturous path of the self-sterilizing filters.
[00:52:41.746 --> 00:52:53.694]  This allows the proprietary media formulation to remove and reduce pathogenic bacteria, cysts, chemicals, herbicides, pesticides, organic solvents, foul tastes, odors, heavy metals, and nitrates.
[00:52:53.874 --> 00:53:00.358]  It is so powerful it purifies raw, untreated water from remote lakes, streams, and stagnant ponds.
[00:53:00.518 --> 00:53:03.700]  Alex Jones here, announcing the release of my new film, Police State 3 Total Enslavement.
[00:53:03.720 --> 00:53:07.923]  Police State 3 details the architecture, goals, and operations of the New World Order.
[00:53:08.063 --> 00:53:10.184]  There is a chance to use this disaster as a New World Order.
[00:53:10.204 --> 00:53:11.705]  A New World Order.
[00:53:26.394 --> 00:53:28.116]  You will lose your liberty.
[00:53:41.448 --> 00:53:51.790]  Homeland Security, executive orders, forced vaccinations, the new prison economy, the Total Information Society, the Pan-American Union, federal gun grabs, government-run white slavery rings, and much, much more.
[00:53:52.070 --> 00:53:57.411]  If you want to understand what the New World Order really is, then my new two-and-a-half-hour video, Police Day 3, is for you.
[00:53:57.951 --> 00:54:01.451]  Visit InfoWars.com or PrisonPlanet.com to order or call toll-free 1-888-253-3139.
[00:54:01.471 --> 00:54:01.932]  That's 888-253-3139.
[00:54:01.952 --> 00:54:02.992]  Order today and spread the word!
[00:54:12.637 --> 00:54:14.838]  He's the T-Rex of political talk.
[00:54:15.399 --> 00:54:18.300]  Alex Jones on the GCN Radio Network.
[00:54:21.102 --> 00:54:24.123]  I want everybody to make a New Year's resolution.
[00:54:25.884 --> 00:54:27.645]  To take action against tyranny.
[00:54:28.426 --> 00:54:31.267]  To stand up for our constitutional republic.
[00:54:32.108 --> 00:54:33.808]  To spread the word in 04.
[00:54:36.013 --> 00:54:44.280]  We're in this final day of 2003, and I want to ask you in this new year to get my documentary films.
[00:54:44.920 --> 00:55:02.314]  There's nothing like them out there to wake people up to the tyranny, to the corruption, to the out-of-control despotism, 9-11, the road to tyranny, Masters of Terror, Police States, Retotal Enslavement, Dark Secrets Inside Bohemian Grove, America, Wake Up or Waco, Painful Deceptions by Eric Huffschmid,
[00:55:03.209 --> 00:55:09.197]  All the great films I've made, the films I carry, the book I've written, the books I've published, the books I, uh, shell that others have written.
[00:55:11.056 --> 00:55:14.538]  In this new year, order the videos today, the books today.
[00:55:14.639 --> 00:55:15.099]  Don't wait.
[00:55:15.139 --> 00:55:20.783]  When you get my videos, the videos I've made, you're authorized to make copies of them, to spread the word, a New Year's resolution.
[00:55:21.083 --> 00:55:24.125]  Get the films, make copies of them, get them out to people.
[00:55:24.445 --> 00:55:26.907]  Toll-free number to order the films, 1-888-253-3139.
[00:55:26.967 --> 00:55:27.287]  That's 888-253-3139.
[00:55:27.347 --> 00:55:30.689]  The films are $25.95 apiece, $20 if you order three or more.
[00:55:40.916 --> 00:55:46.061]  Of the 10 titles I've produced, and that purchase, of course, supports this broadcast.
[00:55:46.081 --> 00:55:49.344]  You can write to me, Alex Jones, at 3001 South Lamar, Suite 100, Austin, Texas 78704.
[00:55:49.384 --> 00:55:50.285]  Don't wait.
[00:55:50.305 --> 00:55:51.046]  Make that call today.
[00:55:59.313 --> 00:56:08.180]  As your New Year's resolution to take the first steps against actually waking people up to all this out-of-control behavior as history repeats itself.
[00:56:08.440 --> 00:56:18.808]  We're talking to Michael Greger, a doctor, MD, and the website is organicconsumers.org forward slash madcow.htm.
[00:56:19.168 --> 00:56:21.049]  Going back to Carson in Colorado.
[00:56:21.349 --> 00:56:24.812]  Carson, finish up your comments or questions for the doctor.
[00:56:25.533 --> 00:56:26.693]  Final comment, Alex.
[00:56:27.867 --> 00:56:29.708]  God bless you, your courageous guest.
[00:56:30.829 --> 00:56:35.772]  Dr. Greger, it's truly an honor for me to be able to hear your words on the radio.
[00:56:35.832 --> 00:56:37.953]  I have followed your work in the past.
[00:56:38.093 --> 00:56:52.001]  Alex, yesterday I went down to my coffee center and I enlarged the cover of Harris' Farm Almanac, and I plastered it all over my pickup truck, because apparently we're told now that that is
[00:56:52.628 --> 00:57:02.051]  What terrorist sympathizers are interested in, maps and rural roadways and the farmers' almanac.
[00:57:02.631 --> 00:57:14.615]  I also, you know, wish you and all of your guests and all your fine listeners the finest and most vigorously defended New Year for our liberty and our nation.
[00:57:14.815 --> 00:57:16.056]  Okay, thank you for the call.
[00:57:16.616 --> 00:57:19.957]  Dr. Greger, any comments to what our guest was talking about?
[00:57:20.817 --> 00:57:24.399]  No, I think eating organic is really the way to go.
[00:57:24.499 --> 00:57:28.842]  I mean, really the safest beef on the market right now is organic beef.
[00:57:29.742 --> 00:57:31.003]  Let's take another call.
[00:57:31.503 --> 00:57:32.844]  Let's talk to David in Michigan.
[00:57:32.884 --> 00:57:34.225]  David, you're on the air with our guest.
[00:57:34.365 --> 00:57:35.445]  Hey, Happy New Year, Alex.
[00:57:35.846 --> 00:57:36.666]  Okay, thank you.
[00:57:36.766 --> 00:57:39.388]  I like that one bump you play from the man with two brains.
[00:57:40.768 --> 00:57:45.271]  You know, they go on and on about the beef in this deal.
[00:57:46.071 --> 00:57:47.132]  What about the lamb?
[00:57:47.998 --> 00:57:51.520]  I mean, that's what the English beef gutter from was eating lamb spinal cords.
[00:57:52.021 --> 00:57:56.364]  And everywhere you go in a big city, they got a Giro stand on just about every corner.
[00:57:58.985 --> 00:58:05.510]  Yeah, no, this is, uh, it's, uh, it's, it's not really fair to kind of point this all at the beef industry.
[00:58:06.130 --> 00:58:13.495]  Um, we have, uh, we have some data coming out of France back in 2001 that indeed lamb chops may be causing some of these
[00:58:14.045 --> 00:58:14.825]  We're good to go.
[00:58:35.780 --> 00:58:38.161]  Um, so we have to clean up our entire system.
[00:58:38.361 --> 00:58:43.042]  We've got to stop feeding slaughterhouse waste, not just to cows, but to pigs and poultry as well.
[00:58:43.162 --> 00:58:43.862]  Well, that's it.
[00:58:43.962 --> 00:58:46.083]  I'm just not going to eat anything unless it's organic.
[00:58:46.443 --> 00:58:49.784]  Thank you, Dr. Greger, for coming on the show, and thanks to all the callers.
[00:58:50.604 --> 00:58:51.885]  And have a good New Year, sir.
[00:58:53.005 --> 00:58:53.505]  New Year to you.
[00:58:53.785 --> 00:58:54.465]  All right, folks.
[00:58:54.485 --> 00:58:59.527]  We'll be back with a second hour with your calls, Frank Morales, Colonel Roberts, and Jack McClam.
[00:59:02.697 --> 00:59:11.324]  Berkey Water Filters are the ultimate filters used worldwide for normal or hostile filtration environments to provide the most delicious, sparkling, clean water possible.
[00:59:11.524 --> 00:59:22.813]  The Berkey Light's self-sterilizing filter elements remove pathogenic bacteria, cysts, parasites, chemicals, and they reduce lead, mercury, aluminum, nitrate, sulfur odors, foul tastes, and much, much more.
[00:59:23.014 --> 00:59:25.656]  Yet, they leave in the nutritional minerals that your body needs.
[00:59:25.996 --> 00:59:32.457]  The Berkey Light has ridges to deflect water if the upper chamber is overfilled and it can be used anywhere on a flat surface.
[00:59:32.617 --> 00:59:34.498]  That's because it has an elevated base.
[00:59:34.698 --> 00:59:40.719]  The entire system joins together to make the Berkey Light convenient to transport even while it's filtering water.
[00:59:40.959 --> 00:59:46.641]  It's rechargeable bright white LED lamps allow for optimum use at night or during emergency conditions.
[00:59:46.961 --> 00:59:50.721]  Get the Berkey Light, the ultimate filter for only $259 by calling Pneumo Callable in Iowa.
[00:59:58.368 --> 01:00:01.108]  This is the GCN Radio Network.
[01:00:09.050 --> 01:00:09.710]  Big Brother.
[01:00:10.350 --> 01:00:11.410]  Mainstream media.
[01:00:12.130 --> 01:00:13.231]  Government cover-ups.
[01:00:13.891 --> 01:00:14.691]  You want answers?
[01:00:15.471 --> 01:00:16.371]  Well, so does he.
[01:00:17.031 --> 01:00:20.692]  He's Alex Jones on the GCN Radio Network.
[01:00:21.212 --> 01:00:25.273]  And now, live from Austin, Texas, Alex Jones.
[01:00:29.062 --> 01:00:35.726]  In 60 minutes, folks, we're going to have Jack McClam, police and military against the New World Order.
[01:00:37.426 --> 01:00:42.289]  And of course, Colonel Craig Roberts, who both stand against the police state and the takeover of our society.
[01:00:43.730 --> 01:00:53.455]  I chose to end the year with a discussion of Mad Cow in the last hour and PNAC and their latest militarism ideas to take over the world and now wanting to make France an enemy.
[01:00:54.102 --> 01:00:59.914]  Mad Cow, the police state, this is the basic New World Order takeover that is unprecedented in front of us.
[01:00:59.954 --> 01:01:01.076]  In this show we're going to have
[01:01:02.327 --> 01:01:05.768]  An amazing individual, Frank Morales, on the show.
[01:01:05.788 --> 01:01:10.169]  We're going to be plugging his website and some of the books he's written and some of the films he's in.
[01:01:10.549 --> 01:01:26.774]  He has an amazing knowledge of how they brainwashed the police, how they federalized them, how they've trained them to be automatons, and so you'll want to stay with us for this hour, and I've got a lot of different news items that tie into this that I'll be throwing at him.
[01:01:28.244 --> 01:01:40.351]  Frank Morales, of course, is in my new video, Matrix of Evil, and that's going out around the country, already airing on hundreds of access stations, and we have it available at InfoWars.com and PrisonPlanet.com.
[01:01:40.731 --> 01:01:49.035]  So here to talk about the prison economy, the phony drug war, the SWAT teams, the troops, all of it, is Frank Morales.
[01:01:49.735 --> 01:01:51.236]  Frank, thanks for coming on the show, sir.
[01:01:51.536 --> 01:01:52.517]  Hey, it's great to be with you.
[01:01:53.852 --> 01:02:02.776]  You're up in New York and they've got the army black hawk, black helicopters flying around with guys in black ski masks and Nazi helmets pointing machine guns at people.
[01:02:02.816 --> 01:02:08.918]  Does nothing to stop terrorists, but does train us how to live in this East German system.
[01:02:09.398 --> 01:02:10.839]  What's it like in New York right now?
[01:02:11.639 --> 01:02:14.620]  Well, I mean, it's been going on for quite some time now.
[01:02:14.680 --> 01:02:20.803]  The process of psychologically conditioning the people for
[01:02:21.773 --> 01:02:25.476]  Over military slash, you know, policing.
[01:02:26.777 --> 01:02:28.718]  So this is just another manifestation of that.
[01:02:29.739 --> 01:02:49.993]  In addition, you know, the Northern Command is now moving to transform its Joint Task Force 6, which was formerly its drug interdiction unit, about 200 military people, located at Fort Bliss, Texas, into an interagency task force
[01:02:50.779 --> 01:02:52.780]  Well, we're also going to end up
[01:03:12.412 --> 01:03:31.265]  Tommy Francis comments about the next attack, we go to military government, but that's nothing compared to Eberhardt's comments, who's the head of NorthCom, and I would add that Joint Task Force 6 is, you know, it's got 200 bureaucrats, but they command the Fort Hood teams that we videotaped three, four years ago, running checkpoints on the highways.
[01:03:32.085 --> 01:03:36.088]  They've got troops all over the place in the late 80s, in police uniforms.
[01:03:36.508 --> 01:03:38.770]  This covert action's been going on for a while.
[01:03:39.150 --> 01:03:40.391]  Yeah, and you know,
[01:03:41.132 --> 01:03:55.162]  It's got its surveillance component because, you know, the logic of counterinsurgency is that you can't control what it is you can't see or identify.
[01:03:55.202 --> 01:04:09.172]  So the first mission has to do with intelligence gathering and the Pentagon in August, last August, Rumsfeld expanded the counterintelligence field activity.
[01:04:09.853 --> 01:04:17.940]  Or CIFA, C-I-F-A, at the Pentagon, and they've been given kind of a data mining mission.
[01:04:19.902 --> 01:04:21.423]  Well, Eberhardt said in the L.A.
[01:04:21.443 --> 01:04:25.166]  Times, he said, the Army isn't watching you, but the Pentagon is.
[01:04:25.546 --> 01:04:26.687]  Yeah, yeah.
[01:04:26.907 --> 01:04:36.896]  I mean, it's, you know, one of their projects that's being undertaken by the National Geospatial Intelligence Agency, which is part of CIFA.
[01:04:37.873 --> 01:04:38.674]  Frank, we got a break.
[01:04:38.694 --> 01:04:42.936]  I want to come back and give folks the definition of a police state, which we're now in.
[01:04:42.956 --> 01:04:46.178]  I want to go over the latest developments with you, honored to have you.
[01:04:46.218 --> 01:04:47.078]  Stay with us.
[01:05:05.333 --> 01:05:12.719]  Hey folks, Alex Jones here, announcing the release of my most comprehensive documentary exposing the New World Order's orchestration of the September 11th attacks yet.
[01:05:12.979 --> 01:05:17.723]  In my new film, The Masters of Terror, we chronicle the globalist master plan for world domination.
[01:05:17.943 --> 01:05:23.588]  The Masters of Terror details how the elite are using manufactured terrorism to drive the world population into accepting tyranny.
[01:05:23.968 --> 01:05:26.890]  It is absolutely vital that everyone see the masters of terror.
[01:05:26.990 --> 01:05:33.456]  Only by exposing the perpetrators of September 11th can we stop them from carrying out the next wave of attacks and destroying our constitutional republic.
[01:05:50.129 --> 01:05:55.392]  Order online now at InfoWars.com or PrisonPlanet.com or by calling 1-888-253-3139.
[01:05:55.412 --> 01:05:55.832]  That's 888-253-3139.
[01:06:04.062 --> 01:06:05.643]  Hello folks, this is Alex Jones.
[01:06:06.024 --> 01:06:11.768]  You know that Berkey water filters have become the standard of excellence by which all other water filtration systems are measured.
[01:06:12.028 --> 01:06:17.152]  The Berkey Light gives you the freshest, cleanest water possible from the world's most revolutionary water filtration system.
[01:06:17.493 --> 01:06:26.820]  The self-sterilizing black Berkey elements remove pathogenic bacteria, cysts, parasites, volatile organic chemicals, trihalomethanes, radon-222, and much, much more.
[01:06:27.140 --> 01:06:32.064]  Its rechargeable 8-lamp bright white LED lighting system provides the ideal source of emergency light.
[01:06:32.404 --> 01:06:36.409]  The lights can run all night on a single charge and it is bright enough to read by.
[01:06:36.610 --> 01:06:41.436]  This provides a relaxing and ambient night light that allows for optimum use during emergency conditions.
