[00:00:00.029 --> 00:00:00.950]  Here's the progression.
[00:22:37.808 --> 00:22:52.578]  We go from bondage to spiritual faith, from spiritual faith to great courage, from courage to liberty, from liberty to abundance, from abundance to selfishness, from selfishness to apathy, and from apathy to dependence, and then dependence back into bondage.
[00:22:52.659 --> 00:22:55.521]  So, let's play these out in our
[00:22:56.784 --> 00:22:57.245]  Nations.
[00:22:57.325 --> 00:23:00.027]  So, how did we become a nation?
[00:23:00.528 --> 00:23:06.134]  You know, our ancestors came from Europe and they were looking for what?
[00:23:06.174 --> 00:23:07.795]  They were looking for religious freedom.
[00:23:07.976 --> 00:23:08.796]  That's why they left.
[00:23:08.816 --> 00:23:10.098]  They didn't like that oppression.
[00:23:10.158 --> 00:23:12.100]  So, from bondage to spiritual faith.
[00:23:12.480 --> 00:23:14.863]  That spiritual faith led to great courage.
[00:23:14.903 --> 00:23:19.848]  We fought the Revolutionary War and we won and that gave us liberty.
[00:23:20.368 --> 00:23:22.350]  And then that liberty led to abundance.
[00:23:22.410 --> 00:23:23.571]  People started working.
[00:23:23.631 --> 00:23:25.573]  They could work in the fields.
[00:23:25.733 --> 00:23:31.618]  We started industry and people worked for a living and that created abundance.
[00:23:31.678 --> 00:23:36.082]  They weren't feudal slaves anymore that were working on somebody else's land and could never get out of it.
[00:23:36.683 --> 00:23:37.784]  They were actually free for the first time.
[00:23:38.044 --> 00:23:40.686]  Yeah, they didn't have to give everything they had back to the government.
[00:23:40.706 --> 00:23:44.970]  And this was why America was so great, because it gave us financial freedom.
[00:23:44.990 --> 00:23:49.433]  And now they could buy things, and buy land, and open a restaurant, or write a book.
[00:23:49.513 --> 00:23:50.854]  Now you had time to do something.
[00:23:50.915 --> 00:23:51.175]  Yeah.
[00:23:51.595 --> 00:24:01.143]  See, all of these freedoms that came when America started, what the founding fathers envisioned for us, personal freedoms, and political freedoms, and religious freedoms, and health freedoms, and all of that,
[00:24:01.323 --> 00:24:05.646]  And that's why the globals are attacking the American system because they're selling total tyranny, eat the bugs.
[00:24:05.866 --> 00:24:09.228]  They've got to discredit this system because people can't have something else to aspire to.
[00:24:09.568 --> 00:24:10.589]  Yeah.
[00:24:10.809 --> 00:24:13.070]  So view this human nature.
[00:24:13.110 --> 00:24:14.231]  This is just human nature.
[00:24:14.791 --> 00:24:18.493]  When you start to have abundance, you start to get selfish.
[00:24:18.914 --> 00:24:20.094]  And it's like, mine, mine, mine, mine.
[00:24:20.134 --> 00:24:21.215]  I want to accumulate this.
[00:24:21.375 --> 00:24:23.917]  Greed just starts to say- The decadence is setting in.
[00:24:23.977 --> 00:24:24.617]  Start over at the beginning.
[00:24:24.637 --> 00:24:25.097]  I'm interrupting.
[00:24:25.137 --> 00:24:26.138]  Start over at the beginning again.
[00:24:26.678 --> 00:24:29.020]  Because again, there's a shorter version of this.
[00:24:29.560 --> 00:24:31.541]  Hard times make strong men.
[00:24:31.841 --> 00:24:32.982]  Strong men make good times.
[00:24:33.022 --> 00:24:34.083]  Good times make weak men.
[00:24:34.403 --> 00:24:35.263]  Weak men make hard times.
[00:24:36.064 --> 00:24:37.525]  Yeah, that's start over.
[00:24:37.565 --> 00:24:38.245]  Good paraphrase.
[00:24:38.285 --> 00:24:39.806]  So, here's the progression.
[00:24:41.377 --> 00:24:42.757]  Bondage to spiritual faith.
[00:24:43.058 --> 00:24:44.618]  Spiritual faith to great courage.
[00:24:45.078 --> 00:24:46.059]  Courage to liberty.
[00:24:46.139 --> 00:24:47.199]  Liberty to abundance.
[00:24:47.679 --> 00:24:52.341]  Abundance to selfishness, where you just start collecting things for you and you stop giving it away.
[00:24:53.201 --> 00:24:54.901]  And then selfishness to apathy.
[00:24:55.422 --> 00:25:01.324]  Once your wallets get really thick and fat and you're just kind of smooth sailing through life, you get apathetic.
[00:25:01.384 --> 00:25:02.844]  What happens when you get apathetic?
[00:25:02.864 --> 00:25:03.784]  You stop caring.
[00:25:04.185 --> 00:25:05.345]  You stop voting.
[00:25:05.425 --> 00:25:08.186]  You stop listening to the things that are important because
[00:25:08.706 --> 00:25:10.107]  Your wallets are fat.
[00:25:10.247 --> 00:25:11.148]  You're stagnant.
[00:25:11.188 --> 00:25:12.049]  You're stagnant.
[00:25:12.509 --> 00:25:22.098]  And then that apathy, though, when a period of apathy, you go back into dependence because you stopped caring and people got voted in that shouldn't have been voted in.
[00:25:22.518 --> 00:25:25.661]  And then that dependence leads back into bondage.
[00:25:26.101 --> 00:25:30.465]  And so in this cycle, where would you say that America is?
[00:25:30.585 --> 00:25:31.726]  I mean, going into bondage.
[00:25:31.946 --> 00:25:34.069]  We're in dependence back into bondage.
[00:25:34.109 --> 00:25:35.811]  We're at the last stage.
[00:25:36.311 --> 00:25:37.773]  So we go back into bondage.
[00:25:38.033 --> 00:25:42.378]  I think central bank digital currency is the financial form of bondage.
[00:25:43.339 --> 00:25:44.981]  You're going to have political bondage.
[00:25:45.001 --> 00:25:47.524]  You're going to have all of these things that you can't do this.
[00:25:47.564 --> 00:25:48.405]  You can't travel.
[00:25:48.785 --> 00:25:51.268]  We already saw the test of that with with COVID.
[00:25:51.909 --> 00:25:52.089]  You know,
[00:26:22.129 --> 00:26:31.337]  The banking system, our ability to buy or sell when we want to, is the ultimate form of bondage in a financial form.
[00:26:31.617 --> 00:26:34.600]  And that's why I think we're right at the end of this cycle.
[00:26:34.960 --> 00:26:36.341]  And so what comes next?
[00:26:36.541 --> 00:26:41.846]  So Alex, if you go back to, you're a historian like I am, if you go back to 1776,
[00:26:44.523 --> 00:26:47.326]  What caused the Revolutionary War?
[00:26:47.406 --> 00:26:47.987]  What caused it?
[00:26:48.067 --> 00:26:49.769]  It was religious freedom.
[00:26:50.049 --> 00:26:55.175]  America was founded on a pro-God, pro-family movement.
[00:26:55.215 --> 00:26:56.717]  They wanted their freedoms.
[00:26:57.098 --> 00:26:59.080]  So same year, 1776, was also the French Revolution.
[00:27:01.983 --> 00:27:06.764]  The French Revolution, the peasants rose up and they wanted money to, you know, they wanted the government to take care of them.
[00:27:07.385 --> 00:27:10.225]  And that revolution, they won.
[00:27:10.506 --> 00:27:13.506]  And France to this day is still a socialist nation.
[00:27:13.526 --> 00:27:15.327]  Because it was communist, it wasn't our version.
[00:27:15.727 --> 00:27:17.348]  It was a completely different version.
[00:27:17.368 --> 00:27:18.928]  They didn't have the constitution we had or the leaders.
[00:27:18.988 --> 00:27:27.792]  Yeah, so I see us right now, this paradigm-shifting moment, this time in history where it's like the tale of two revolutions, and which one is going to win?
[00:27:28.292 --> 00:27:31.213]  Are we going to have another American-style revolution?
[00:27:31.534 --> 00:27:33.254]  Are we going to have a French-style revolution?
[00:27:34.995 --> 00:27:42.441]  Off of their heads, unending purge that goes on forever for our system, a whole new system of the republic where everybody's rights are protected.
[00:27:42.781 --> 00:27:43.002]  Yes.
[00:27:43.582 --> 00:27:47.205]  And who gets to decide what's going on?
[00:27:47.746 --> 00:27:52.710]  You know, enough people wake up, enough people start smelling what's happening.
[00:27:52.730 --> 00:27:53.610]  But what you said is key.
[00:27:53.790 --> 00:27:55.152]  We're in a revolution whether you like it or not.
[00:27:55.492 --> 00:27:56.192]  It's who's going to win it.
[00:27:56.613 --> 00:27:56.813]  Yes.
[00:27:56.953 --> 00:28:00.956]  We're already in the Civil War, but it's not the people fighting over black versus white they want it to be.
[00:28:01.297 --> 00:28:02.378]  It's us versus the globalists.
[00:28:02.398 --> 00:28:02.838]  But start over.
[00:28:03.038 --> 00:28:31.801]  Yeah, and I think as we look at this, this is why you do what you do, this is why I do what I do economically, is to bring freedoms to express this message of, yeah, you think you might want the government to take care of you, you think you might want them to give you money, but when they do that, you become a slave to them, you become in bondage to them, and if they can cut you off from buying or selling based on your ideology, this becomes, we're marching down the road- That's mind control!
[00:28:31.861 --> 00:28:32.642]  That's the ultimate!
[00:28:32.822 --> 00:28:33.925]  It is the ultimate mind control.
[00:28:33.945 --> 00:28:34.606]  It's a mark of the beast.
[00:28:35.047 --> 00:28:35.929]  You're a theologian too.
[00:28:36.149 --> 00:28:36.971]  Yeah, and I think...
[00:28:38.146 --> 00:28:43.891]  So, during times in history, you know, the Christian churches thought, oh my word, the mark of the beast is coming.
[00:28:43.911 --> 00:28:45.192]  By the way, you're not some lightweight theologian.
[00:28:45.212 --> 00:28:47.314]  You were on the board, like, focused on the family and all that stuff.
[00:28:47.575 --> 00:28:58.344]  Yeah, I served on Dr. Dobson's board for like seven years, but I operated in those circles, in those Christian conservative circles a lot, and I have a lot of friends in there.
[00:28:58.464 --> 00:29:02.928]  And, you know, throughout time, even going back, people thought that Hitler was the Antichrist.
[00:29:03.369 --> 00:29:04.350]  People thought that, oh,
[00:29:04.810 --> 00:29:05.251]  We're good to go.
[00:29:22.174 --> 00:29:24.215]  And you have to submit to get the mark.
[00:29:24.476 --> 00:29:27.758]  You have to worship the beast, which means total commitment to get the mark.
[00:29:27.778 --> 00:29:28.918]  People say, oh, it's just a mark.
[00:29:28.978 --> 00:29:30.880]  No, you have to follow what it says.
[00:29:30.940 --> 00:29:33.081]  Cut your son's genitals off.
[00:29:33.361 --> 00:29:34.622]  You've got to support pedophilia.
[00:29:34.642 --> 00:29:36.263]  You've got to support world government.
[00:29:36.283 --> 00:29:39.365]  You have to worship the beast to get the mark.
[00:29:39.825 --> 00:29:42.527]  Yeah, and so the mark of the beast isn't just for America.
[00:29:42.667 --> 00:29:43.688]  It's not just for Europe.
[00:29:43.748 --> 00:29:44.708]  It's not just for Africa.
[00:29:44.788 --> 00:29:45.949]  It's a global beast.
[00:29:45.969 --> 00:29:47.530]  And what is Klaus Schwab and all these guys?
[00:29:47.570 --> 00:29:48.351]  They are a beast.
[00:29:48.911 --> 00:29:50.133]  They are attacking us!
[00:30:05.314 --> 00:30:12.980]  The ability to cut people off digital via central bank digital currency and biometric identification to your bank accounts.
[00:30:13.480 --> 00:30:19.125]  Now this to me is the first time in history where a Mark of the Beast type system in that era.
[00:30:19.145 --> 00:30:22.427]  How did people, how did John on the Isle of Patmos envision this?
[00:30:22.467 --> 00:30:23.288]  That's God.
[00:30:23.808 --> 00:30:25.089]  I mean this is happening.
[00:30:25.369 --> 00:30:26.050]  Hallelujah!
[00:30:26.230 --> 00:30:27.051]  We're eternal spirits.
[00:30:27.091 --> 00:30:27.911]  I've already seen it myself.
[00:30:27.971 --> 00:30:30.293]  I don't, most people don't get to have the experiences I've had.
[00:30:30.333 --> 00:30:33.396]  God's blessed me to actually really show me stuff and tell me stuff so I know God's real.
[00:30:34.036 --> 00:30:35.757]  Both people are like, oh, I don't know if it's real or whatever.
[00:30:35.797 --> 00:30:39.279]  No, God's real, your eternal spirit, but also, we're gonna go through this.
[00:30:39.619 --> 00:30:41.820]  Like, this is real, people, and you're seeing it happen.
[00:30:42.040 --> 00:30:43.861]  How did somebody 2,000 years ago envision this?
[00:30:44.081 --> 00:30:46.102]  How did Ezekiel 3,000 years ago envision this?
[00:30:46.643 --> 00:30:47.763]  How did Daniel envision this?
[00:30:48.404 --> 00:30:53.867]  Only with God, who knows the beginning from the end, and there is, God transcends time.
[00:30:54.847 --> 00:31:07.376]  So, of course, when God is seeing something, he's seeing the past, the present, and the future all at one time, and he's speaking that into the prophets, and they're just repeating it, and so... So God gives us free will, but he gives us a cheat sheet.
[00:31:08.377 --> 00:31:11.019]  He tells you, okay, you got free will, by the way, this is what's going to happen.
[00:31:12.220 --> 00:31:13.721]  He knows what... This is what a father would do.
[00:31:14.381 --> 00:31:18.765]  I'm giving you free will, you're a new free creature, but I'm going to give you lessons and tell you how this works.
[00:31:19.205 --> 00:31:20.106]  Why would you not listen to the father?
[00:31:20.986 --> 00:31:22.728]  I mean, of course... Listen to our father.
[00:31:24.380 --> 00:31:33.986]  He tells us in his word how to live, how to survive, how to thrive, and he didn't say, Alex, ever, that this was gonna be an easy path.
[00:31:34.866 --> 00:31:37.128]  In fact, he said it was gonna be opposite.
[00:31:37.188 --> 00:31:41.590]  He said, hey, you're gonna be, Jesus said, you're gonna be persecuted when you follow me, right?
[00:31:41.670 --> 00:31:46.453]  But the end result is this amazing life of peace in the midst of a storm.
[00:31:46.473 --> 00:31:48.495]  We're given the keys to the universe after the boot camp.
[00:31:48.895 --> 00:31:49.035]  Yeah.
[00:31:49.075 --> 00:31:50.176]  This is Marine Corps boot camp.
[00:31:50.316 --> 00:31:50.516]  Yeah.
[00:31:50.756 --> 00:31:51.997]  And God's like, this is gonna be tough now.
[00:31:52.992 --> 00:31:54.012]  The keys are waiting right here.
[00:31:54.572 --> 00:31:57.573]  Yeah, and just like the disciples, what are we called to do?
[00:31:57.613 --> 00:31:59.453]  We're called to be light in this dark world.
[00:32:00.654 --> 00:32:02.954]  You're a light in this dark world by spreading this message.
[00:32:03.614 --> 00:32:05.315]  I do financial stuff.
[00:32:05.475 --> 00:32:14.677]  Everybody watching this show has the ability to be light to your neighbor in your workplace, everywhere, and the only way that this message of hope
[00:32:15.177 --> 00:32:16.137]  Which there is hope.
[00:32:16.177 --> 00:32:20.699]  Just because we're talking about garbage and what the government's doing, we didn't create that.
[00:32:20.780 --> 00:32:25.362]  We're talking about how do you not just... We're talking about the problems so you can avoid it.
[00:32:25.402 --> 00:32:26.342]  But again, think about that.
[00:32:27.583 --> 00:32:28.843]  God is eternal.
[00:32:29.243 --> 00:32:32.285]  God can make new creatures that have free will that are eternal.
[00:32:32.985 --> 00:32:34.406]  They weren't before, but they're now made.
[00:32:34.426 --> 00:32:35.266]  That's beautiful.
[00:32:36.026 --> 00:32:37.767]  How do you test an eternal creature?
[00:32:38.067 --> 00:32:41.669]  You put it in a body, you put it under stress, you put it there to see what it's going to do.
[00:32:42.429 --> 00:32:43.589]  I mean, it's right there, folks!
[00:32:43.629 --> 00:32:44.029]  That's it!
[00:32:44.149 --> 00:32:44.629]  It's real!
[00:32:44.649 --> 00:32:46.270]  I mean, we are eternal!
[00:32:46.450 --> 00:32:46.810]  Done!
[00:32:46.830 --> 00:32:49.170]  There should be no discussion!
[00:32:49.210 --> 00:32:49.951]  Do what God says!
[00:32:50.431 --> 00:32:52.751]  Yeah, I mean, tested by fire.
[00:32:52.771 --> 00:32:55.592]  I mean, so what will survive?
[00:32:56.312 --> 00:32:58.172]  Things that have eternal value.
[00:32:58.692 --> 00:33:02.353]  You know, you can't really take anything with you, ever, except your reputation.
[00:33:03.313 --> 00:33:05.774]  And I want to hear, Alex, when I'm done,
[00:33:06.534 --> 00:33:21.973]  on this earth and I meet Jesus face to face on judgment day and I look into his fiery eyeballs I want him to say well done my good and faithful servant with you I am well pleased right because if I don't hear that if you don't hear that nobody that hears anything
[00:33:22.273 --> 00:33:27.877]  If you don't hear those words, you're not going to like the other words that come out of the great judge's mouth, right?
[00:33:27.897 --> 00:33:32.520]  And so here's where we go through life and we spread this message of hope.
[00:33:32.580 --> 00:33:36.922]  We give solutions to eliminate and melt away people's fear.
[00:33:37.323 --> 00:33:39.364]  Fear is a tactic of the enemy.
[00:33:39.684 --> 00:33:39.964]  We're good.
[00:33:59.819 --> 00:34:01.481]  Anti-spirit of fear.
[00:34:01.601 --> 00:34:02.542]  It's faith, Alex.
[00:34:02.702 --> 00:34:09.269]  It's love and commitment and loyalty and honor and freedom.
[00:34:09.789 --> 00:34:11.251]  I mean, literally, it's freedom.
[00:34:11.291 --> 00:34:14.654]  This is what the Founding Fathers envisioned for this country.
[00:34:14.674 --> 00:34:16.176]  That's all Satan offers is slavery.
[00:34:16.576 --> 00:34:18.898]  And we've deviated from that so much.
[00:34:19.319 --> 00:34:22.382]  To me, it's like, it's no wonder we are where we are in this country.
[00:34:23.390 --> 00:34:27.035]  We've deviated— It's surprising we've gone this far and God hasn't blown us up.
[00:34:27.775 --> 00:34:28.757]  I mean, seriously.
[00:34:30.038 --> 00:34:37.588]  It's mind-numbing to me that God has tarried so long, but He's a God that's full of grace.
[00:34:37.628 --> 00:34:39.089]  He's a God that's full of mercy.
[00:34:39.610 --> 00:34:43.014]  And we then, during this time that's left on this earth,
[00:34:43.695 --> 00:34:48.160]  We have to actually take that, take that rallying cry and do something good.
[00:34:48.260 --> 00:34:50.883]  And here's the cycle of democracy going back to that.
[00:34:51.163 --> 00:34:51.564]  Start over.
[00:34:51.584 --> 00:34:52.345]  I keep interrupting.
[00:34:52.385 --> 00:34:53.045]  This is important.
[00:34:53.446 --> 00:34:55.628]  You're getting to the theological, but yeah, go through it again.
[00:34:55.668 --> 00:35:03.116]  I mean, well, we're pretty much done with it, but if we don't do something, this cycle, this revolution that we are in,
[00:35:03.917 --> 00:35:08.438]  We will actually be a French-style revolution if we don't wake up.
[00:35:08.699 --> 00:35:09.519]  And that's what it's all about.
[00:35:09.639 --> 00:35:11.159]  God wants us to break the cycle.
[00:35:11.639 --> 00:35:20.282]  Because again, if you're God and created all of the universe and all that there is, which this is happening, what's the one thing you can do that's different?
[00:35:20.922 --> 00:35:22.683]  You create creatures that have free will.
[00:35:23.123 --> 00:35:28.185]  But if they have free will, then there's like, oh, but they might be bad, so then God again
[00:35:29.165 --> 00:35:38.272]  Literally puts himself into a human to come out here and teach us, does all this, influences us, sends the angels, sends the Holy Spirit, everything to like guide the children.
[00:35:38.292 --> 00:35:44.677]  Remember the Bible talks about God loves a sparrow so much, think how much God loves you.
[00:35:44.737 --> 00:35:49.221]  God can't stand losing any of us, but God did this to give us free will.
[00:35:49.281 --> 00:35:49.901]  What a gift!
[00:35:50.301 --> 00:35:54.665]  Yeah, and it's not a suggestion from him.
[00:35:55.225 --> 00:35:58.328]  It's a command, don't worry about tomorrow.
[00:35:59.249 --> 00:36:04.834]  Right, and so here's in my simpleton view, how do you succeed in this world?
[00:36:04.894 --> 00:36:05.895]  I think there's two things.
[00:36:06.375 --> 00:36:08.177]  Number one, you'd be an extravagant giver.
[00:36:09.452 --> 00:36:18.181]  And because God tells us in Malachi 6, when you give and when you give with a grateful heart, watch out because the floodgates of heaven are going to be opened up so much you won't have room enough to contain the blessing.
[00:36:18.501 --> 00:36:22.025]  That could be a financial blessing, relationship blessing, all kinds of different blessings.
[00:36:22.045 --> 00:36:22.946]  Healthy children.
[00:36:23.406 --> 00:36:23.766]  All of it.
[00:36:23.807 --> 00:36:25.448]  It doesn't say what the blessing is.
[00:36:25.468 --> 00:36:27.510]  It just says blessing so much you can't contain it.
[00:36:27.951 --> 00:36:29.833]  And number two, never give up.
[00:36:30.609 --> 00:36:43.560]  You know, if I were going from Colorado to California and I were going on this track, if I keep walking, if I keep riding a bike, if I keep running, if I keep driving, I will ultimately get to California.
[00:36:43.580 --> 00:36:44.021]  To the ocean.
[00:36:44.261 --> 00:36:47.063]  But if you stop, well then you're never going to get there.
[00:36:47.404 --> 00:36:49.826]  So if you don't give up and you have extravagant
[00:36:50.346 --> 00:36:54.951]  Giving, and actually thirdly, I'll add this one in there, you love your neighbor.
[00:36:55.031 --> 00:36:57.414]  But to love your neighbor, you have to love yourself first.
[00:36:57.814 --> 00:36:59.136]  You know, you have all those three things.
[00:36:59.156 --> 00:37:01.158]  And people think giving means just money.
[00:37:01.218 --> 00:37:03.641]  No, it's giving of energy, giving of caring.
[00:37:04.341 --> 00:37:11.649]  It's giving of your time, of your energy, of your compassion, of your prayers, of your finances, of your talents, of your brain.
[00:37:12.603 --> 00:37:13.123]  All of that.
[00:37:13.183 --> 00:37:14.343]  Well, I've experienced that.
[00:37:14.363 --> 00:37:16.644]  I didn't do this from some holy roller.
[00:37:16.744 --> 00:37:17.564]  I'm a perfect guy.
[00:37:17.584 --> 00:37:18.424]  I hated the tyrants.
[00:37:18.484 --> 00:37:20.004]  I love God, but God was coming over here.
[00:37:20.244 --> 00:37:24.105]  Yeah, God, you're like a little helper, you know, the first 10, 15 years of this.
[00:37:24.445 --> 00:37:27.586]  But as I got more attack, I was like, no, it's all God now because he got so big.
[00:37:28.146 --> 00:37:31.946]  But every time I'm attacked, the doors blow open to victory.
[00:37:32.286 --> 00:37:34.047]  And every time I go, God, I'm not like Job.
[00:37:34.107 --> 00:37:36.567]  I think Job has, I don't want my children to die.
[00:37:37.007 --> 00:37:40.468]  But the point is nothing compared to Job, but it's like literally now I go, oh, I'm being attacked.
[00:37:40.588 --> 00:37:41.548]  Really good stuff's about to happen.
[00:37:42.668 --> 00:37:43.609]  I'm not a masochist.
[00:37:43.649 --> 00:37:44.569]  I don't like the pain.
[00:37:44.789 --> 00:37:46.330]  But I'm like, oh my god, big stuff.
[00:37:46.350 --> 00:37:49.111]  Because every attack instantly leads to victory.
[00:37:49.751 --> 00:37:50.131]  It does.
[00:37:50.851 --> 00:37:52.012]  And the enemy is blind.
[00:37:52.052 --> 00:37:54.093]  They can't seem to see that.
[00:37:54.473 --> 00:37:56.554]  They have all these smarts about the world, their own system.
[00:37:56.814 --> 00:37:58.715]  But above that, they have no understanding.
[00:37:59.115 --> 00:37:59.315]  Yeah.
[00:38:00.003 --> 00:38:13.450]  So Alex, if we can shift our mindset as a society from short-term pleasure to medium and long-term gain and benefits, if you know where you want to go, what are you going to do to get there?
[00:38:13.510 --> 00:38:16.232]  If you want financial freedom, what are you going to do to get there?
[00:38:16.572 --> 00:38:19.554]  Is what you're doing now going to do it for you?
[00:38:20.674 --> 00:38:37.063]  If, you know, if you need to lose weight and you just sit there on the couch eating potato chips and, you know, candy all day, are you going to get to your... Well, I don't mean this is an attack on crypto because it has some uses, but God made the heavens, the earth, iron, the soil, the trees, us.
[00:38:37.343 --> 00:38:38.303]  He made gold and silver.
[00:38:38.323 --> 00:38:42.706]  I think at the end of the day, I'm betting on what God made gold and silver.
[00:38:42.726 --> 00:38:43.226]  I mean, it's like...
[00:38:44.255 --> 00:38:44.775]  I agree.
[00:38:44.895 --> 00:38:46.856]  I mean, it's God made uranium.
[00:38:46.876 --> 00:38:47.917]  We blow up cities with it.
[00:38:47.957 --> 00:38:50.097]  I mean, God made some powerful stuff.
[00:38:50.418 --> 00:38:51.918]  This metal does this, this metal does that.
[00:38:51.958 --> 00:38:54.359]  He's like, here's the keys of the universe, boys.
[00:38:54.719 --> 00:38:55.620]  Yeah.
[00:38:55.780 --> 00:39:01.622]  And God is so powerful that he's not sitting up there scratching his beard thinking, look what's happening to the world.
[00:39:01.682 --> 00:39:02.823]  I didn't see this coming.
[00:39:02.863 --> 00:39:03.023]  No.
[00:39:03.143 --> 00:39:06.244]  He knows the beginning from the end, but he gives us solutions.
[00:39:06.304 --> 00:39:07.445]  And what I focus
[00:39:08.345 --> 00:39:20.516]  24-7, my time on is financial solutions for people to navigate through this storm, to have a smile on your face, because I know every... It's a no-brainer, people.
[00:39:20.796 --> 00:39:23.638]  I am pitching this because I wish I could do it myself, but I'm not.
[00:39:24.099 --> 00:39:25.440]  Everybody should be in silver and gold right now.
[00:39:26.343 --> 00:39:36.906]  Yeah, everybody with whatever portion of your assets gives you that peace of mind when you put your head down on the pillow at night, and you think, I don't want anybody to think, oh man, I've done too little, I've done too much.
[00:39:36.986 --> 00:39:38.466]  No, you have to do what's just right for you.
[00:39:38.806 --> 00:39:44.307]  Now for me, and my house, we're like 100% into silver, because it's the only thing that makes sense.
[00:39:44.367 --> 00:39:46.828]  And explain that, you'll buy the gold later with the silver money.
[00:39:47.639 --> 00:39:57.363]  Yeah this is exciting because there's this historical ratio which we've gone over on previous shows between gold and silver and historically that number is 20 to 1.
[00:39:57.563 --> 00:40:00.044]  It takes 20 ounces of silver to buy one ounce of gold.
[00:40:00.484 --> 00:40:02.905]  Well today it's literally like 85 to 1.
[00:40:02.965 --> 00:40:05.006]  It's not at an all-time high but it's really close.
[00:40:05.606 --> 00:40:07.607]  So what does that number tell us?
[00:40:07.647 --> 00:40:09.268]  It tells us one of two things Alex.
[00:40:09.308 --> 00:40:12.669]  It either says gold is overvalued or silver is undervalued.
[00:40:13.109 --> 00:40:14.850]  Well, do I think gold's overvalued?
[00:40:15.151 --> 00:40:15.331]  Nope.
[00:40:15.911 --> 00:40:18.053]  Because what causes gold to go up?
[00:40:18.633 --> 00:40:19.534]  Unsustainable debt.
[00:40:19.594 --> 00:40:20.675]  Inflationary pressures.
[00:40:20.735 --> 00:40:21.616]  Political chaos.
[00:40:21.696 --> 00:40:22.776]  Geopolitical conflict.
[00:40:22.817 --> 00:40:24.318]  We have all of that in space.
[00:40:24.338 --> 00:40:26.079]  And they're using naked shorts to suppress it all.
[00:40:26.539 --> 00:40:26.720]  Yeah.
[00:40:27.120 --> 00:40:29.362]  Wait till we get into the naked shorts and silver, Alex.
[00:40:29.382 --> 00:40:30.522]  I'm going to shut up.
[00:40:30.663 --> 00:40:33.325]  Because, I mean, it's been a great discussion, but I said I'm going to shut up.
[00:40:33.345 --> 00:40:33.985]  You make me so excited.
[00:40:34.005 --> 00:40:34.866]  Keep going.
[00:40:35.446 --> 00:40:39.649]  So, but if gold's not overvalued, it's going to continue to grow.
[00:40:40.630 --> 00:40:42.151]  Uh, what's silver going to do?
[00:40:42.312 --> 00:40:43.773]  It's going to outperform.
[00:40:44.133 --> 00:40:49.397]  So, in theory, let's just say over the next 12 to 18 months, silver triples the rate of growth of gold.
[00:40:49.818 --> 00:40:54.762]  Well, what I would recommend is we sell our silver, go into gold, and what did I just do?
[00:40:54.802 --> 00:40:58.685]  I got you triple the amount of rate of gold then that what I could have purchased for you today.
[00:40:59.025 --> 00:41:01.227]  Again, that's free ounces, technically.
[00:41:01.267 --> 00:41:02.428]  That's extra ounces.
[00:41:02.528 --> 00:41:03.309]  Go slow, though.
[00:41:03.329 --> 00:41:04.329]  People ask me in the street.
[00:41:04.830 --> 00:41:05.691]  Explain it slowly.
[00:41:05.931 --> 00:41:06.091]  Yeah.
[00:41:06.571 --> 00:41:09.253]  So, if we're, Alex, if gold is growing,
[00:41:10.194 --> 00:41:12.456]  And silver is growing faster.
[00:41:13.277 --> 00:41:14.358]  Well, then what?
[00:41:14.458 --> 00:41:17.721]  Let's just say it triples the rate of growth of gold.
[00:41:18.242 --> 00:41:28.112]  Well, I'll sell the silver, go into gold, and if silver tripled the rate of growth of gold, we can get almost triple the amount of ounces of gold then as what I could have purchased for you today.
[00:41:28.172 --> 00:41:31.054]  So if you could have purchased 100 ounces of gold today,
[00:41:31.815 --> 00:41:34.197]  And we allocate into silver, it outperforms.
[00:41:34.538 --> 00:41:39.963]  I could maybe get you 250, 300 ounces of gold down the road, depending on that ratio.
[00:41:40.123 --> 00:41:42.986]  To me, this is the beginning of how we started the show.
[00:41:43.006 --> 00:41:46.269]  It's like, don't measure your wealth in terms of paper dollars.
[00:41:46.790 --> 00:41:52.655]  Measure it in the amount of metals and ounces that you control, because that was free gold.
[00:41:52.715 --> 00:41:55.038]  That extra 200 ounces in this example,
[00:41:55.598 --> 00:41:56.699]  Didn't come out of nowhere.
[00:41:56.759 --> 00:41:57.640]  It's not magic.
[00:41:58.120 --> 00:41:59.221]  It's just math.
[00:41:59.561 --> 00:42:03.904]  You allocate into the outperforming metal and sell it when the time is right.
[00:42:03.944 --> 00:42:06.306]  It's not like I'm married to silver.
[00:42:06.326 --> 00:42:07.847]  I couldn't care less, Alex.
[00:42:08.207 --> 00:42:11.510]  If it were pointing towards going to gold, I would go into gold.
[00:42:11.530 --> 00:42:16.954]  But why are the globalists, because I say this with the Hunt brothers and all covering it, they're obsessed with suppressing silver.
[00:42:16.974 --> 00:42:17.955]  They really don't like it.
[00:42:19.176 --> 00:42:20.757]  So there's a few reasons.
[00:42:22.578 --> 00:42:24.540]  I think number one is
[00:42:25.936 --> 00:42:31.080]  And I got a lot of this information from silverwars.org.
[00:42:32.421 --> 00:42:39.045]  Those guys are the guys behind, you know, WallStreetBets and that whole thing when they were, you know, shorting GameStop.
[00:42:39.866 --> 00:42:41.527]  So there is a... Okay.
[00:42:44.992 --> 00:42:50.959]  Going back to the Manhattan Project, you have the suppression of silver.
