[00:00:17.825 --> 00:00:20.006]  What would you be going on in your mind if you were there?
[00:30:24.935 --> 00:30:31.740]  In the last decade, the two worst public school shootings have been in Germany.
[00:30:34.442 --> 00:30:37.585]  One involved 18, the other one 17 fatalities.
[00:30:39.126 --> 00:30:44.870]  But there are a lot of attacks that occur in Europe.
[00:30:44.890 --> 00:30:49.014]  You've had, I think it was 10 that were killed about a year ago in Finland in a school.
[00:30:50.054 --> 00:30:54.538]  You go through these, you find multiple victim public shootings in France,
[00:30:55.941 --> 00:31:05.549]  You find, even in Switzerland, this last decade you had one case where 14 people were killed in a parliamentary building of a canton of Zug.
[00:31:07.050 --> 00:31:12.675]  But there's one common feature that these places have, and that they were all gun-free zones.
[00:31:13.696 --> 00:31:22.904]  And what you find is that if you actually look at the rate per capita of multiple victim public shootings in Europe,
[00:31:23.493 --> 00:31:32.297]  For if only more than four people killed, Europe's per capita rate is very similar to what it is in the United States.
[00:31:32.637 --> 00:31:52.707]  Even despite the fact that they have very strict gun laws in places like Germany or France or other places where you have to go through long licensing and psychological screening tests, rules that go well beyond what's been advocated for anybody here, at least in the main debate, on the issue of gun control.
[00:31:54.785 --> 00:32:06.831]  I think part of what goes on, because I get calls from media around the world when there are attacks in the United States, and they often will ask me things like, well, why does the United States have so many of these attacks?
[00:32:06.931 --> 00:32:19.538]  And when I get calls from countries like Germany or whatever, I'll just remind them of the history of these attacks that they've had in this last decade, and they usually have forgotten about them until they're mentioned to them.
[00:32:23.578 --> 00:32:25.499]  You know, we have laws around the country.
[00:32:26.319 --> 00:32:32.882]  We have only two states in the United States that still ban people being able to carry concealed handguns, Illinois and Wisconsin.
[00:32:33.262 --> 00:32:38.445]  And there's a good chance that at least one and possibly both of those states will change their laws after this election.
[00:32:39.385 --> 00:32:44.868]  And we have 40 states with right-to-carry laws like Texas does.
[00:32:45.468 --> 00:32:49.490]  Eight states which have more restrictive main issue right-to-carry laws.
[00:32:49.872 --> 00:33:01.841]  I mean, once you meet certain objective criteria, you're a certain age, you apply for a permit, you pass a criminal background check, you meet the training requirements if there are any, and the permit's automatically granted.
[00:33:02.241 --> 00:33:15.811]  The eight in many states may have those rules, but then in addition, they may also require that you get permission from some local public official by demonstrating that you have a certain need to go and carry the permit concealed handgun.
[00:33:17.092 --> 00:33:17.312]  Now,
[00:33:21.164 --> 00:33:26.368]  Just as an aside, Texas actually has a relatively restrictive right to carry law.
[00:33:26.749 --> 00:33:35.035]  You have about, as I mentioned before, over 410,000 people right now in the state with concealed carry permits.
[00:33:35.376 --> 00:33:46.685]  Compared to something like Pennsylvania, Pennsylvania has less than half the population that Texas has, but they have, I guess, about 720,000 people right now with concealed carry permits.
[00:33:47.185 --> 00:33:48.046]  Why do they have
[00:33:48.672 --> 00:33:51.513]  Not quite twice as many with half the population.
[00:33:52.013 --> 00:33:53.033]  And the reason is very simple.
[00:33:53.053 --> 00:33:54.933]  It has to do with the differences in the laws.
[00:33:55.173 --> 00:34:00.114]  In Texas, to get a concealed handgun permit, if you're under 65, you've got to pay $140.
[00:34:00.554 --> 00:34:02.315]  You have to undergo 10 hours of training.
[00:34:02.735 --> 00:34:05.936]  You have to undergo 10 hours of training to renew your permit.
[00:34:06.396 --> 00:34:10.536]  In Pennsylvania, it's about a $20 fee to go and get your permit.
[00:34:11.557 --> 00:34:12.957]  And there's no training requirement.
[00:34:13.510 --> 00:34:21.553]  Plus, Texas has still a relatively long list, including campuses, where you're not allowed to go and carry a permit-concealed handgun.
[00:34:22.293 --> 00:34:23.874]  Pennsylvania has no such list.
[00:34:24.374 --> 00:34:29.615]  The only places that are excluded are places which are banned under federal law.
[00:34:30.196 --> 00:34:33.897]  And, you know, you see these rules have a big impact.
[00:34:33.937 --> 00:34:39.179]  You charge more, fewer people get permits, but it also changes the mix of people who get permits.
[00:34:40.501 --> 00:34:49.169]  On concealed carry, it indicates to me that the people who benefit the most from concealed carry are basically poor blacks who live in high-crime urban areas.
[00:34:49.969 --> 00:34:58.376]  And when you go and you raise a fee, not only do you have fewer people getting permits, but you also see a mix in the type of people who get permits.
[00:34:58.797 --> 00:35:04.482]  You basically squeeze out, particularly, those people who benefit the most from having a permit.
[00:35:05.222 --> 00:35:08.205]  And, you know, this is the type of issue that I think is going to come up more with like
[00:35:08.735 --> 00:35:14.759]  The DC and Chicago new gun laws with the huge fees that they have for people being able to go and get permits.
[00:35:15.619 --> 00:35:22.983]  The Washington Post did a study a little while ago which claimed that it took about $500 for them to go through the process to register a handgun.
[00:35:23.544 --> 00:35:35.711]  And so that basically means to me it's basically only going to be fairly wealthy individuals who are going to be able to go and get the permits, not the people who would benefit the most from having a gun to be able to go and protect themselves.
[00:35:37.386 --> 00:35:48.789]  Now one of the reasons why I think people have the perceptions that they do about concealed carry and kind of concerns about campuses is due to media coverage.
[00:35:48.869 --> 00:35:53.910]  Most people get their information about guns from the news media.
[00:35:54.371 --> 00:36:03.313]  And when was the last time you listened to the National Evening News broadcast and heard a story about somebody using a gun to protect themselves or protect somebody else?
[00:36:04.053 --> 00:36:06.714]  My guess is it's probably pretty hard for you to recall such a story.
[00:36:07.728 --> 00:36:16.051]  But probably without trying at all, you can recall what seem to be hundreds or even thousands of stories of bad things that have happened with guns.
[00:36:17.591 --> 00:36:31.036]  You know, the FBI has something called the National Crime Victimization Survey, where they survey about 100-150,000 people each year to try to get information on the number of crimes that occur.
[00:36:31.076 --> 00:36:34.377]  Because we could just go and look at gun crimes reported to police,
[00:36:35.017 --> 00:36:40.400]  In any given year, there are about 200,000 to 250,000 gun crimes reported to police.
[00:36:40.940 --> 00:36:43.961]  The problem is, a lot of crimes are never reported to police.
[00:36:44.041 --> 00:36:45.082]  So, for example, rape.
[00:36:45.642 --> 00:36:47.643]  Only about half of rapes are reported to police.
[00:36:47.703 --> 00:36:52.966]  Well, how do we know that only half, or think that only half of rapes are reported to police?
[00:36:53.386 --> 00:37:01.970]  We have these large surveys that can go and estimate how many rapes occur, and then compare it to how many are reported.
[00:37:02.867 --> 00:37:14.091]  Well, we do the same thing with guns, and so rather than the reported 200,000 to 250,000, we find that the surveys indicate that there are about 400,000 to 450,000 gun crimes a year.
[00:37:15.031 --> 00:37:16.852]  Twice as much is what we're reporting.
[00:37:16.932 --> 00:37:18.812]  Good reason to go and do the survey.
[00:37:19.273 --> 00:37:25.535]  But those same types of surveys indicate that Americans use guns defensively about two million times a year.
[00:37:26.115 --> 00:37:31.837]  So that means Americans use guns defensively about four to five times more frequently to stop crimes
[00:37:32.278 --> 00:37:33.659]  Then they use them to commit crimes.
[00:37:34.100 --> 00:37:42.287]  But my guess is, if we were going to go ask most people about that, they'd think the ratio goes in the opposite direction, maybe even more lopsided in the other direction.
[00:37:42.687 --> 00:37:48.973]  And that's because they get their notions of the costs and benefits of guns from listening to the media.
[00:37:49.013 --> 00:37:55.999]  And if you only hear about bad things that happen, and never hear about the benefits, it's not too surprising that they come to those conclusions.
[00:37:56.499 --> 00:37:59.322]  Now, one thing I can say in the defense of media,
[00:37:59.889 --> 00:38:01.372]  You know, it's a key fact.
[00:38:01.392 --> 00:38:08.526]  About 95% of the time that people use guns defensively, they merely have to brandish it for the criminal to break off an attack.
[00:38:09.446 --> 00:38:14.308]  Rarely is the criminal killed fewer than one out of every thousand times than people who use guns defensively.
[00:38:14.728 --> 00:38:19.369]  So let's say you're editor of a news bureau, and you have two stories that come across your desk.
[00:38:20.009 --> 00:38:23.270]  One where there's a dead body on the ground, a sympathetic person like a victim.
[00:38:23.630 --> 00:38:35.814]  And another case where let's say a woman's brandished a gun, the criminal's run away, no shots are fired, no dead body on the ground, no crime actually committed, you're not even sure what crime might have been committed if it hadn't been stopped.
[00:38:36.715 --> 00:38:37.895]  Which story is more newsworthy?
[00:38:38.482 --> 00:38:44.504]  I think anybody in this room would honestly have to say that the first story is much more newsworthy than the second.
[00:38:44.884 --> 00:38:55.486]  We may care about both stories from a policy perspective, but in terms of what the media should cover, it explains, I think, a lot about why they cover the things that they cover there.
[00:38:56.207 --> 00:39:01.168]  I don't think that explains all of it, though, because when you talk about these types of multiple victim public shootings,
[00:39:01.633 --> 00:39:03.835]  There's a particular type of bias that exists.
[00:39:04.376 --> 00:39:16.547]  My guess is, for example, that relatively few people know that over 25% of the multiple victim public school shootings have been stopped by citizens well before uniformed police were able to arrive.
[00:39:17.088 --> 00:39:26.057]  And the reason why they're unlikely to know that is that when those cases occur, only about 1% of the news stories on those incidents will mention that fact.
[00:39:27.050 --> 00:39:33.995]  If you look at when police stopped multiple victim public shootings, about 34% of the news stories will mention how those attacks ended.
[00:39:34.575 --> 00:39:48.805]  So, for example, if you look at the first of the public school shootings in October 1997 at Pearl Mississippi High School, if you go and do a Nexus search, this was originally supposed to be sponsored by the Federalist Society, which
[00:39:49.209 --> 00:39:51.811]  Would have been all lawyers in law school.
[00:39:52.072 --> 00:39:55.174]  So they would know this, but there's something called Nexus or Westlaw.
[00:39:55.595 --> 00:40:04.403]  If you use a Nexus search, what you can find in the one month after that attack, you'd see 687 separate news stories about the incident.
[00:40:04.943 --> 00:40:14.112]  Of those 687, basically what happened was there was an assistant principal there at the school, a former Marine, had a permit to carry a concealed handgun,
[00:40:14.651 --> 00:40:20.400]  Apparently, regularly, up until the end of 1995 when the Safe School Zone Act was passed.
[00:40:20.819 --> 00:40:23.660]  He regularly kept his handgun with him on school property.
[00:40:24.400 --> 00:40:30.003]  After the ban was passed, he would park his car more than a thousand feet off of school property in order to obey the law.
[00:40:30.603 --> 00:40:36.765]  And when the attack started that day, he literally had to run a half mile to get his gun and a half mile back.
[00:40:37.286 --> 00:40:43.908]  But he still was able to hold the attacker at point blank range on the ground for over five and a half minutes before the police arrived.
[00:40:43.928 --> 00:40:46.029]  The attacker was in the process
[00:40:46.559 --> 00:40:51.360]  of leaving the high school to go across the street to the middle school where he was going to continue his attack.
[00:40:52.120 --> 00:40:55.001]  Now, there were 687 separate news stories.
[00:40:55.461 --> 00:40:58.701]  Nineteen of them will mention the assistant principal in any way.
[00:40:59.201 --> 00:41:08.103]  Thirteen of the nineteen mentioned that the assistant principal had something to do with stopping the attack, and ten of the thirteen mentioned that he used his gun to stop the attack.
[00:41:08.663 --> 00:41:14.004]  Eight of those news stories were in local media near where the attack had occurred, but two of them were on national news.
[00:41:14.634 --> 00:41:16.674]  One was on ABC World News Now at 4 a.m.
[00:41:17.074 --> 00:41:21.115]  This is kind of the over-the-night ABC news broadcast.
[00:41:21.575 --> 00:41:28.236]  And the other one was on a show they used to have on CNN, CNN Early Pride, that played about 3 o'clock in the afternoon.
[00:41:28.716 --> 00:41:30.617]  But those were the only 10 mentions.
[00:41:31.037 --> 00:41:39.338]  And I can go through attack after attack, and you regularly will see about only 1% of those news stories will mention that that's the case.
[00:41:39.358 --> 00:41:42.419]  And I think it has a big impact on people's perceptions.
[00:41:43.609 --> 00:41:55.115]  I've talked to people in the media, I do work for people in the media, and I've tried to get them to go and mention things like, did these attacks, these multiple victim public shootings attacks occur in gun-free zones?
[00:41:55.555 --> 00:42:05.520]  Because essentially what you find is that all the multiple victim public shootings involving four or more victims always occur, when they're in public, in gun-free zones.
[00:42:06.140 --> 00:42:10.042]  And I think it would make some difference in the debate after a while, if even once in a while,
[00:42:10.458 --> 00:42:20.000]  The media would say, and another one of these attacks, just like the one today, fortunately nobody was killed, occurred in a place where permanent concealed handguns are not allowed.
[00:42:21.240 --> 00:42:23.501]  But I think these things have a big impact.
[00:42:24.001 --> 00:42:27.481]  Now one of the questions is, what about the behavior of permit holders?
[00:42:27.981 --> 00:42:35.063]  You know, because the concern is, you let people carry permanent concealed handguns, they're going to have accidents, they're going to go and commit crimes themselves.
[00:42:35.936 --> 00:42:40.099]  And in fact, what you find is that permit holders tend to be extremely law-abiding.
[00:42:40.119 --> 00:42:53.388]  I don't know if you guys can read these things, but my book, the third edition of More Guns, Less Crime, which came out this summer, goes through the data for 25 states and the text and footnotes, but I can just go through some of the stuff here.
[00:42:53.428 --> 00:42:54.989]  Let me mention Florida, for example.
[00:42:56.090 --> 00:43:01.773]  Between October 1st, 1987 and August 31st, 2010, Florida had issued permits to over
[00:43:06.569 --> 00:43:07.429]  1.8 million people.
[00:43:07.449 --> 00:43:09.370]  About 1.84 million people.
[00:43:10.090 --> 00:43:12.231]  Many of those people have renewed them multiple times.
[00:43:12.291 --> 00:43:14.871]  On average, renewed them about two and a half times.
[00:43:15.331 --> 00:43:22.533]  That means on average, the average permit holder had their permits for over 12 years.
[00:43:23.593 --> 00:43:30.315]  And of those people, 167 have had their permits revoked for any type of firearms related violation.
[00:43:31.084 --> 00:43:45.067]  They don't go through it on the website, but I've called up the people who put together the statistics, and they tell me that that overwhelmingly tends to be people who accidentally carry a concealed handgun into a gun-free zone, like a school or airport or something.
[00:43:46.227 --> 00:43:49.468]  But that's one one-hundredth of one percentage point.
[00:43:50.408 --> 00:43:57.590]  Now, another way you can look at it is over the last 32 months, since January 2008,
[00:43:58.865 --> 00:44:04.047]  There have been four additional permit holders who have had their permits revoked for any firearms-related violation.
[00:44:04.788 --> 00:44:08.029]  They have over 750,000 active permit holders in Florida.
[00:44:09.210 --> 00:44:11.711]  That comes to an annual revocation rate of 0.0002%.
[00:44:12.151 --> 00:44:28.199]  I would argue it's pretty hard to find virtually any other population that has as low of any type of, you know, and again, most of these are fairly trivial violations that are there.
[00:44:29.672 --> 00:44:36.716]  You know, an example of somebody who carried a concealed handgun into an airport, which you guys may know about, is Barry Switzer.
[00:44:37.216 --> 00:44:54.304]  You know, some years ago, when he used to be coach for the Dallas Cowboys, for any football fans that hear trivia, he was late for a team game, ran into the airport, forgot he had a concealed handgun on him, buzzers went off, gets arrested, couldn't make it to the team plane.
[00:44:54.864 --> 00:44:57.846]  But, you know, it's true the Cowboys were having a bad year.
[00:44:58.484 --> 00:45:05.531]  But I don't think anybody really viewed Barry Switzer as a real public safety threat that was there.
[00:45:05.871 --> 00:45:08.533]  He simply forgot that he had the handgun with him.
[00:45:08.593 --> 00:45:12.337]  And that's, when you're talking about millions of people with permits, that happens.
[00:45:12.970 --> 00:45:42.585]  Right now, my guess is, for the numbers, because I can't get it for all the states, and we can talk about that, because not all states require permits, but of the states that do require permits, and some states or counties, and I didn't call up all the hundred counties in some of these states to track down the numbers, but for the states where you are able to get numbers, it's basically about, a little bit over 6.2 million Americans now, right now, are legally licensed to carry permit-concealed handguns.
[00:45:43.669 --> 00:45:45.370]  A lot of people.
[00:45:45.550 --> 00:45:52.035]  And if you look at Texas in 2009, there's a little bit over 400,000 people with active licenses.
[00:45:52.776 --> 00:45:58.480]  Now the last year the Department of Public Safety has detailed breakdowns for the behavior of permit holders was 2007.
[00:45:58.540 --> 00:46:03.644]  They had about 290,000 active permit holders then.
[00:46:03.664 --> 00:46:06.586]  160 were convicted for either misdemeanors or felonies.
[00:46:07.455 --> 00:46:16.281]  Overwhelmingly, these are misdemeanors, but overall it's a rate of about 0.05%, so about five hundredths of one percentage point.
[00:46:16.962 --> 00:46:28.130]  That's about one-seventh the rate of convictions for the general population, but again, the general population is more likely to commit felonies than these permit holders were.
[00:46:28.990 --> 00:46:31.872]  And the most frequent type of revocation, 29 of these 160 cases involve
[00:46:35.096 --> 00:46:36.718]  Carrying a weapon without a license.
[00:46:36.738 --> 00:46:39.840]  You know, just like when you drive, you gotta have your driver's license with you.
[00:46:40.921 --> 00:46:45.925]  Sometimes people forget to have their wallet or their license with them, and they get into trouble.
[00:46:45.945 --> 00:46:48.147]  But that's by far the biggest category.
[00:46:48.547 --> 00:46:52.811]  The next largest category was 24 cases of domestic violence.
[00:46:52.871 --> 00:47:00.157]  None of those involved a weapon being used of any type, let alone a gun.
[00:47:00.177 --> 00:47:02.179]  But over the preceding five years, from 2002 to 2006,
[00:47:04.175 --> 00:47:07.756]  The average rate that they were convicted of misdemeanors or felonies was 0.04%.
[00:47:10.818 --> 00:47:16.800]  So we could go through that more, but I think it gives you a pretty good idea of the breakdown.
[00:47:16.840 --> 00:47:21.562]  Now I know you guys are going to have some questions, so let me just kind of summarize here.
[00:47:22.042 --> 00:47:30.426]  And that is, my research convinces me that police are the single most important factor for various crime.
[00:47:31.075 --> 00:47:38.242]  But I think one thing that police understand themselves is that they virtually always arrive on the crime scene after the crime has been committed.
[00:47:38.723 --> 00:47:44.429]  And that raises the question about what you recommend that somebody do when they're having to defend themselves against a criminal.
[00:47:44.889 --> 00:47:49.214]  And simply telling people to behave passively turns out to be pretty bad advice.
[00:47:50.956 --> 00:47:51.738]  I think we're good.
[00:48:03.305 --> 00:48:07.889]  There's a statement that's often out there, and there's a kernel of truth to it, but I think it's very misleading.
[00:48:07.929 --> 00:48:18.097]  And that is, if you compare passive behavior to all forms of active resistance together, passive behavior is slightly safer, though it's not really statistically significantly different.
[00:48:18.678 --> 00:48:25.704]  But the problem is, and the reason why it's misleading, is that under the heading of active resistance, you're lumping together all sorts of different things.
[00:48:26.184 --> 00:48:30.568]  Some which are much safer than passive behavior, and some which are much more dangerous.
[00:48:30.588 --> 00:48:32.169]  So, for example, it includes everything
[00:48:32.591 --> 00:48:40.274]  From yelling, running away, using your fist, using a baseball bat, mace, a knife, a stun gun, or a gun.
[00:48:40.294 --> 00:48:48.316]  For example, for women, by far the most dangerous course for a woman to take when she's confronted by a criminal is to use her fist.
[00:48:48.756 --> 00:48:54.418]  There's a very simple reason for that, and that is you're virtually always talking about a male doing the attack.
[00:48:54.798 --> 00:48:59.920]  And for a woman to go and use her fist, there's very likely to be a physical response back from the attacker.
[00:49:00.493 --> 00:49:03.476]  And given that, a high probability of either serious injury or death.
[00:49:03.956 --> 00:49:10.021]  The second most dangerous course of action, again, much, much more dangerous than passive behavior, is to run away.
[00:49:11.483 --> 00:49:13.765]  If women succeed in running away, that's great.
[00:49:14.145 --> 00:49:22.172]  But unfortunately, women tend to be significantly slower runners than men, particularly for the age groups which are most likely to engage in the violent crime.
[00:49:22.712 --> 00:49:26.896]  Anyway, if you break down these different categories, you find, rather than lumping everything together,
[00:49:27.335 --> 00:49:30.736]  You find that using guns is by far the safest course of action.
[00:49:31.376 --> 00:49:34.316]  And as I mentioned before, the other group, so there's basically two groups.
[00:49:34.336 --> 00:49:50.799]  There's women, the elderly, people who are relatively weak or physically benefit the most from owning guns, and also the people who are most likely to be victims of guns, which are basically, unfortunately, going to be one very concentrated group in this country, and that's poor blacks who live in high crime urban areas.
[00:49:51.340 --> 00:49:53.740]  So basically, it's the most vulnerable people in our
[00:49:55.855 --> 00:50:19.406]  In light of today's events, could you expand upon some more examples of some of the multi-crime victim events that were stopped by law-abiding citizens with their own violence?
[00:50:19.646 --> 00:50:20.006]  Oh sure.
[00:50:20.046 --> 00:50:21.767]  Well, I mean there are lots of them.
[00:50:25.077 --> 00:50:32.144]  A lot of them never even get much news attention because many times they get stopped before they get, you know, anybody gets killed.
[00:50:32.905 --> 00:50:39.051]  But, you know, you can go through, since I was supposed to give the talk originally in the law school today, I'll give one example from the law school.
[00:50:39.071 --> 00:50:45.437]  At the Appalachian Law School, about eight years ago, there was an attack in which three people were killed.
[00:50:47.981 --> 00:50:50.382]  I actually gave a talk there a few years ago.
[00:50:50.402 --> 00:50:51.422]  They invited me to come there.
[00:50:51.462 --> 00:50:55.283]  It was pretty interesting to go and talk to the people who had been present at the attack.
[00:50:55.983 --> 00:51:15.969]  But what happened was two students there at the school who were outside when the attack started to occur, one of them a former deputy sheriff from North Carolina in a different state, both of them had concealed carry firearms in Virginia since they were living there at the time, ran to their cars, got their handguns, came back, pointed their guns at the attacker,
[00:51:16.437 --> 00:51:21.901]  A third student tackled him, and the three of them held him on the ground for 11 and a half minutes before the police arrived.
[00:51:22.441 --> 00:51:25.784]  Again, I could go through the news media coverage on that.
[00:51:25.864 --> 00:51:34.631]  It's actually kind of interesting, because if you do a Nexus search on that, in the one week after that attack, you'll find 218 separate news stories.
[00:51:35.171 --> 00:51:39.754]  Only three news stories actually mention that the students used their guns to stop the attack.
[00:51:40.215 --> 00:51:41.876]  Typically, you'd see discussions about
[00:51:42.287 --> 00:51:51.192]  Students tackled the attacker, or subdued the attacker, or pounced on the attacker, or that they held them until the police arrived.
[00:51:51.352 --> 00:52:04.940]  All of which were true, though I would go and argue it's fairly misleading and actually dangerous because they somehow gave the impression that running across an open field in order to go and attack somebody who's armed is likely to be successful.
[00:52:05.820 --> 00:52:07.161]  But anyway,
[00:52:11.286 --> 00:52:12.386]  I was on a radio show.
[00:52:12.426 --> 00:52:18.047]  Larry Elder, who's a friend of mine, used to have a national radio show based out of Los Angeles.
[00:52:18.128 --> 00:52:22.929]  And he had invited Tracy Bridges, one of the two students who had stopped the attack on.
[00:52:23.429 --> 00:52:30.430]  And Tracy had mentioned that he had talked to at least 50 reporters the day of the attack.
[00:52:30.450 --> 00:52:33.511]  And also the other student had talked to a lot, too.
[00:52:33.551 --> 00:52:38.612]  But being a law school student, having access to Nexus and Westlaw, he wanted to see what everybody wrote about him.
[00:52:40.185 --> 00:52:40.946]  We're good to go.
[00:53:07.757 --> 00:53:12.459]  And all but three of them had taught either one or both the students who had used their guns to stop the attack.
[00:53:13.080 --> 00:53:17.782]  And so I asked them then, well why is it that you don't mention this in your story?
[00:53:17.802 --> 00:53:20.964]  You mentioned being pounced on, or tackled, or whatever.
[00:53:21.744 --> 00:53:28.248]  And Maria Glide at the Washington Post gave me the explanation, which to the extent I was able to get an explanation,
[00:53:29.500 --> 00:53:34.404]  She gave me, and she said she only had a little bit over 900 words to do the story.
[00:53:34.464 --> 00:53:37.206]  And she simply didn't have the space to get into it.
[00:53:37.606 --> 00:53:40.788]  She had two paragraphs on the type of gun that was being used.
[00:53:41.249 --> 00:53:56.120]  But my note to you all is, you know, you think about the media bias, and before I try to explain why most news coverage is not media bias, it's understandable why they're not newsworthy stories, okay?
[00:53:56.460 --> 00:53:57.781]  Because nothing bad happened.
[00:53:58.206 --> 00:54:08.554]  Here are stories which are already getting national and international news, and yet how it ended, when a citizen used their gun to stop it, isn't reported in those stories.
[00:54:09.115 --> 00:54:15.400]  And I think it has a big impact on people's perceptions about the costs and benefits for using guns in these types of situations.
