[00:00:00.569 --> 00:00:05.652]  We had a chance to talk to Dr. Russell Blaylock, MD, a retired neurosurgeon and author.
[00:33:00.317 --> 00:33:09.659]  Chronic inflammation of the brain is what's thought to lead to such diseases in adults, like Alzheimer's, Parkinson's, Lou Gehrig's disease, Huntington's disease.
[00:33:11.286 --> 00:33:15.007]  And in infants and small children, it leads to neurodevelopmental problems.
[00:33:16.087 --> 00:33:19.148]  Difficulty learning, ADD, ADHD.
[00:33:19.548 --> 00:33:24.389]  I think recently on the news they talked about the link between pesticides and ADHD.
[00:33:25.409 --> 00:33:28.830]  Well, the interesting thing, pesticides do the same thing as vaccines do.
[00:33:29.610 --> 00:33:32.531]  They activate this microglia immune cell in the brain.
[00:33:33.591 --> 00:33:38.352]  So what the pesticide is doing chemically is the same thing that a vaccine does.
[00:33:39.363 --> 00:33:51.250]  During the injection, that is, it produces chronic brain inflammation, leading to ADHD, autism, schizophrenia, and sets you up later in life for chronic brain degeneration.
[00:33:52.491 --> 00:34:01.917]  This is the thing that's well demonstrated in scientific literature, particularly neuroscience literature, but being totally ignored by the media,
[00:34:02.912 --> 00:34:07.035]  By health authorities, by regulatory agencies, by the people promoting vaccines.
[00:34:07.375 --> 00:34:11.858]  They're completely keeping this silent and away from the general public.
[00:34:12.138 --> 00:34:20.564]  So that mothers and people getting these multiple vaccinations do not know the danger that's inherent in this practice.
[00:34:21.124 --> 00:34:35.771]  If you look back at what Dr. Kaye is saying in her book on molecular biology, that in 1910 this was the dream of these elitists, was to recreate man in the image of the elitist idea.
[00:34:36.551 --> 00:34:42.594]  And it was funded by enormous amounts of money from the Tax-Free Foundation.
[00:34:44.083 --> 00:34:47.665]  Which hide what they're doing with other types of philanthropy.
[00:34:48.225 --> 00:35:00.371]  So if they're using their money for art museums and education programs and things that have a lot of public appeal, then underneath that they can hide these other things that they're doing.
[00:35:01.595 --> 00:35:13.802]  And then if they are exposed by someone, then they say, oh, we're promoting these vaccine programs in Africa because we care about these poor people and we're trying to protect them against these diseases.
[00:35:14.762 --> 00:35:20.425]  Or we're doing this fluoridation program because we're interested in people's health of their teeth.
[00:35:21.026 --> 00:35:24.948]  So it's easy to hide the true motivation of what you're doing.
[00:35:25.348 --> 00:35:29.550]  Now, do we have the smoking gun that proves this is what they're doing?
[00:35:29.610 --> 00:35:30.611]  Well, we don't have the
[00:35:31.087 --> 00:35:51.775]  The exact smoking gun, because they're smarter than that, they're not going to put it exactly in writing, but when you look at the writings of the Rockefellers and the Ford Foundation, they hint at these things, that population needs to be controlled, that we need to re-engineer human thinking and behavior.
[00:35:52.515 --> 00:35:57.357]  So, if they're in favor of social engineering,
[00:35:58.126 --> 00:36:16.353]  If they're in favor of this science of man idea of remaking the human mind, it's a pretty strong indication that they will use their enormous power, influence, and enormous amounts of money in conjunction
[00:36:17.106 --> 00:36:21.810]  With pharmaceutical companies and others to bring these ideas about.
[00:36:22.211 --> 00:36:27.556]  You know, I find it ironic when people say they don't believe in certain conspiracy theories.
[00:36:27.576 --> 00:36:28.577]  Well, it's like H.G.
[00:36:28.637 --> 00:36:29.718]  Wells wrote a book.
[00:36:30.058 --> 00:36:31.900]  The title of his book is Open Conspiracy.
[00:36:32.600 --> 00:36:37.745]  Because it's not secret, and this is what you usually hear is, well, if this was true, how could they keep it secret?
[00:36:38.345 --> 00:36:39.727]  Well, they don't need to keep it secret.
[00:36:39.867 --> 00:36:42.369]  And it's not a secret, because they write a lot about it.
[00:36:43.444 --> 00:36:46.471]  They write about the need for control in these different areas.
[00:36:46.531 --> 00:36:51.562]  They write about how we need to control behavior and how we need to re-engineer man.
[00:36:52.613 --> 00:36:53.874]  So it's in their writings.
[00:36:53.954 --> 00:37:05.898]  It's an open conspiracy, but they can keep people from making that final link because they never actually say exactly how they're doing it and what they're doing.
[00:37:06.338 --> 00:37:07.238]  It's just they fund it.
[00:37:07.578 --> 00:37:17.661]  You look for the funding behind things like Floridation, then you look for funding behind some of these other efforts, and it always goes back to the Tax-Free Foundations,
[00:37:19.890 --> 00:37:21.491]  The driving force behind it.
[00:37:22.111 --> 00:37:29.373]  And they're producing the justification for it by hiding it behind benevolent claims.
[00:37:30.174 --> 00:37:36.676]  Brave New World Revisited was about methods that then were known to control human behavior.
[00:37:38.436 --> 00:37:47.980]  Huxley talked about strobotic injection in which you gave some mild psychotropic drugs to the population
[00:37:48.860 --> 00:37:52.784]  And you could inject thoughts into their minds and they would think they thought.
[00:37:53.724 --> 00:37:57.908]  And suddenly you would change their whole way of thinking without their knowledge.
[00:37:58.168 --> 00:38:00.971]  So he was writing about this in 1950s.
[00:38:03.253 --> 00:38:04.654]  So that's one book.
[00:38:04.975 --> 00:38:05.355]  H.G.
[00:38:05.415 --> 00:38:06.396]  Wells wrote about it.
[00:38:08.202 --> 00:38:15.947]  We have a number of people who are writing about the chemical alteration of the brain to change human thinking on a mass scale.
[00:38:17.187 --> 00:38:22.111]  So it's not a new idea and unfortunately there are people who believe that's true.
[00:38:22.511 --> 00:38:31.296]  Now this new move to put psychotropic drugs into the water supply, for instance lithium, should scare people.
[00:38:33.178 --> 00:38:34.839]  You know, they have no right
[00:38:36.384 --> 00:38:40.707]  To put psychotropic, mind-altering drugs in the water supply.
[00:38:42.328 --> 00:38:43.789]  It's very dangerous for one thing.
[00:38:44.830 --> 00:38:47.351]  We know lithium can accumulate in the brain.
[00:38:47.451 --> 00:38:51.494]  We know that in some people, it can produce serious neurological disorders.
[00:38:52.835 --> 00:38:59.419]  We know that if you're, for instance, on lithium medication, does that mean you can't drink your tap water?
[00:38:59.939 --> 00:39:03.442]  Because the therapeutic dose is very close to the toxic dose.
[00:39:04.403 --> 00:39:06.885]  So we're going to have to supply special water to them?
[00:39:07.165 --> 00:39:08.566]  What do you do for small children?
[00:39:08.606 --> 00:39:09.506]  What do you do for babies?
[00:39:09.526 --> 00:39:10.647]  What do you do for pregnant women?
[00:39:10.947 --> 00:39:15.990]  They can't drink the water supply because it's going to have a very profound effect on a small baby's brow.
[00:39:17.071 --> 00:39:18.852]  And none of this is being considered.
[00:39:18.972 --> 00:39:21.373]  Well, then other people are already stepping forward.
[00:39:21.814 --> 00:39:28.518]  Well, not only should we add lithium to the water supply to prevent suicide and depression, we should add other drugs to the water.
[00:39:29.158 --> 00:39:33.961]  There's a British physician who said we ought to add statin drugs and antihypertensives to all water.
[00:39:35.253 --> 00:39:43.238]  Well, then there's other psychiatrists and people interested in human behavior say, well, you know, there's other drugs we could alter human behavior with.
[00:39:44.379 --> 00:39:56.047]  Well, I don't think we need elitist scientists or technocrats, as you say, altering our thinking by putting things in our water supply.
[00:39:56.807 --> 00:39:57.828]  That's the drugging
[00:39:59.178 --> 00:40:04.164]  of America on a mass scale for these elitists to manipulate our minds.
[00:40:04.905 --> 00:40:06.266]  And they have no idea what it is.
[00:40:06.306 --> 00:40:08.829]  I mean, look at the fluoride program, for instance.
[00:40:09.710 --> 00:40:12.093]  Here it started out, it's very safe, it's very benign.
[00:40:12.153 --> 00:40:16.618]  Now, 60 years later, we find out, well, no, it's increased cancer rates 10%.
[00:40:18.348 --> 00:40:19.829]  It makes tumors grow faster.
[00:40:20.469 --> 00:40:21.929]  It increases bone fractures.
[00:40:22.389 --> 00:40:24.130]  It produces reproductive problems.
[00:40:24.670 --> 00:40:30.832]  One of the major things that's just exploded since I've been in medical school is infertility in young people.
[00:40:31.352 --> 00:40:32.673]  Fertility clinics are everywhere.
[00:40:32.953 --> 00:40:35.154]  Young people are having trouble conceiving.
[00:40:36.674 --> 00:40:43.036]  And no one has a scientific explanation other than these things that are being added to water and foods, etc.
[00:40:43.216 --> 00:40:45.577]  that are known to affect human reproduction.
[00:40:46.809 --> 00:40:56.335]  This is another one of those living Constitution rights, where the left says, well, it's not in the Constitution.
[00:40:56.835 --> 00:41:00.077]  It was not proposed by the framers of the Constitution.
[00:41:00.537 --> 00:41:04.079]  It was not part of the contract between the state and the federal government.
[00:41:04.660 --> 00:41:12.645]  But we've inserted it on our own, without any vote, without any constitutional methods of adding an amendment.
[00:41:13.305 --> 00:41:16.407]  We just decided it would be good for society to do this.
[00:41:17.540 --> 00:41:18.920]  And therefore, we'll do it.
[00:41:19.721 --> 00:41:26.682]  And if later we find out we've created a tragedy, then, well, that's just the price that you have to pay.
[00:41:28.523 --> 00:41:38.425]  You know, it reminds me of when Malcolm Muggeridge was traveling to the Ukraine during the great Ukrainian starvation imposed by Stalin.
[00:41:39.365 --> 00:41:45.607]  He was riding on the train with a reporter from the New York Times, and the dead bodies were just piled up like cordwood everywhere.
[00:41:46.905 --> 00:41:49.728]  And Malcolm Muggeridge was just shocked.
[00:41:49.788 --> 00:41:52.410]  He said, I can't believe what Stalin is doing.
[00:41:53.271 --> 00:41:58.015]  And he turned to the New York Times reporter, Walter Durante, and he said, aren't you shocked by this?
[00:41:58.035 --> 00:42:01.337]  And he says, oh, well, you have to break some eggs to make an omelet.
[00:42:01.377 --> 00:42:02.979]  We're building a new society.
[00:42:03.919 --> 00:42:04.999]  Well, this is their idea.
[00:42:05.700 --> 00:42:08.161]  This is their same viewpoint.
[00:42:08.581 --> 00:42:26.028]  It's that, oh yes, we may harm a lot of people, we may kill some babies, we may create some new diseases, you know, we may wipe out whole populations at a time, but that's the price we have to pay to create the new vision, the new society.
[00:42:27.625 --> 00:42:43.352]  And these people admitted in many of their writings, if you take the time to read these things, for instance, one of the great ophthalmologists, I've forgotten his name now, I think it was Wise, but he was an ophthalmologist back in the 1950s.
[00:42:44.573 --> 00:42:46.674]  And one of the greatest.
[00:42:46.934 --> 00:42:48.755]  They still give him an award in his name.
[00:42:50.255 --> 00:42:54.217]  And he wanted to euthanize anybody who was blind.
[00:42:55.509 --> 00:42:57.290]  It always starts with the worst case scenario.
[00:42:57.310 --> 00:42:59.472]  And he said, well, it's terrible that people are born blind.
[00:42:59.512 --> 00:43:07.198]  Therefore, what we'll do is we'll sterilize all families that had blind children so they can't have any more blind children.
[00:43:08.139 --> 00:43:13.803]  Well, then other ophthalmologists came forward and said, well, 99% of blindness has nothing to do with heredity.
[00:43:14.043 --> 00:43:15.705]  He was going to sterilize all blind people.
[00:43:16.886 --> 00:43:18.047]  So none of them could have children.
[00:43:19.488 --> 00:43:21.069]  Well, then he carried it even further.
[00:43:21.089 --> 00:43:23.711]  He said, well, anyone with impaired vision should be sterilized.
[00:43:24.673 --> 00:43:28.047]  And then it became, anyone who wears glasses should be sterile.
[00:43:30.034 --> 00:43:31.835]  So we always see this progression.
[00:43:31.895 --> 00:43:45.145]  It starts out with a worst case scenario to sell it to the public because the public feelings of sympathy and empathy are easily engendered when you pull this little child that has this horrible disease.
[00:43:45.485 --> 00:43:48.648]  You say, we need to do this so that this doesn't ever happen.
[00:43:49.248 --> 00:43:50.389]  And then you approve that.
[00:43:50.409 --> 00:43:55.413]  And then the next thing you know, we're killing people who just have minor problems.
[00:43:56.674 --> 00:43:58.615]  I call it the Kevorkian progression.
[00:43:59.668 --> 00:44:03.051]  If you remember Kevorkian in the beginning, oh, people have terminal diseases.
[00:44:03.291 --> 00:44:04.392]  They're going to die soon.
[00:44:04.733 --> 00:44:05.674]  Why let them suffer?
[00:44:06.234 --> 00:44:08.016]  Well, most people said, well, that makes sense.
[00:44:08.256 --> 00:44:09.537]  I don't think people should suffer.
[00:44:09.937 --> 00:44:17.965]  Then, oh, well, they're not going to die anytime soon, but they have a disease that's crippling, and it's not nice to have to live like that, so he killed them.
[00:44:19.195 --> 00:44:22.178]  Well, then people start saying, well, I don't know if I agree with that.
[00:44:23.179 --> 00:44:25.061]  You know, they can live with that condition.
[00:44:25.081 --> 00:44:27.863]  They just not be able to do everything they'd like to.
[00:44:28.504 --> 00:44:29.545]  Well, where did it end up?
[00:44:29.605 --> 00:44:32.648]  Then he was killing a woman because she was depressed.
[00:44:34.689 --> 00:44:36.351]  So there's always this progression.
[00:44:36.451 --> 00:44:38.533]  It starts out with a worst case scenario.
[00:44:38.773 --> 00:44:39.314]  To sell it.
[00:44:40.595 --> 00:44:42.977]  Because of its power of empathy.
[00:44:43.797 --> 00:44:51.422]  And then once it's sold and becomes legislation and a law, then we start including large numbers of people who are nowhere near that severe.
[00:44:51.982 --> 00:44:53.583]  Well, this is what happened in eugenics.
[00:44:54.023 --> 00:45:00.788]  In eugenics, they were going to round up anyone who didn't have full capability to have a Harvard education.
[00:45:01.468 --> 00:45:03.569]  They wanted to build compounds to put them in.
[00:45:05.070 --> 00:45:07.172]  If you had just moderately low IQ,
[00:45:08.123 --> 00:45:11.005]  They wanted to forcibly sterilize, and they did.
[00:45:11.045 --> 00:45:16.289]  They forcibly sterilized some 36,000 people in America before it was finally ended.
[00:45:17.149 --> 00:45:34.401]  And as I said, the major proponents of this eugenics idea back in the 1920s and early 30s were traveling to Germany, meeting with eugenicists over there, telling them about what we were doing in America in the early ages.
[00:45:35.117 --> 00:45:36.638]  In the 1910s and 1920s.
[00:45:36.858 --> 00:45:40.680]  And this is where Hitler created his eugenics program.
[00:45:41.060 --> 00:45:47.062]  Hitler was, you know, exchanging eugenics ideas with people from the Rockefeller Foundation.
[00:45:47.503 --> 00:45:49.043]  Stoddard was one of these people.
[00:45:49.083 --> 00:45:49.944]  He wrote a book about it.
[00:45:50.624 --> 00:45:55.886]  In which he was exchanging these eugenics ideas from the Rockefeller Foundation with Hitler.
[00:45:56.206 --> 00:46:01.609]  And Hitler built this huge program for sterilization of people he felt like shouldn't reproduce.
[00:46:02.881 --> 00:46:13.926]  That's what stopped the eugenics movement in America and the Rockefeller people, according to Dr. Lilly, and she had access to the Rockefeller records by permission of the family.
[00:46:15.567 --> 00:46:21.249]  According to that, he ended that program and told them, don't use the name eugenics anymore.
[00:46:21.469 --> 00:46:23.430]  We're going to use the name social engineering.
[00:46:24.952 --> 00:46:31.036]  So that people won't know what we're doing, that we're continuing this program under a different name.
[00:46:31.316 --> 00:46:37.919]  But it all started out in 1910 with the idea of science of man, of recreating man.
[00:46:38.740 --> 00:46:48.766]  Scientific discovery took place as we learned more about cells, we learned about DNA, we learned about inheritance patterns, how genes work, how you could turn them on and off.
[00:46:49.746 --> 00:46:52.147]  As our pharmacology became more sophisticated.
[00:46:52.687 --> 00:46:59.029]  All of this increased our ability technologically to carry out some of these things.
[00:46:59.049 --> 00:47:03.010]  Now you have to realize most of molecular biology is beneficial.
[00:47:03.550 --> 00:47:05.471]  I'm not opposed to molecular biology.
[00:47:05.871 --> 00:47:08.552]  The vast majority of it is extremely beneficial.
[00:47:09.412 --> 00:47:13.695]  But that gives you a huge cover because you can't attack molecular biology.
[00:47:14.615 --> 00:47:17.417]  What about the things we learned to stop diabetes?
[00:47:17.437 --> 00:47:20.199]  What about the things we're doing now with heart disease and cancer?
[00:47:20.519 --> 00:47:23.240]  It all came because of molecular biology.
[00:47:23.260 --> 00:47:25.382]  Well, I admit that and I'm for that.
[00:47:25.902 --> 00:47:28.183]  I think we should continue molecular biology.
[00:47:28.764 --> 00:47:30.485]  What we should divorce from it
[00:47:31.647 --> 00:47:42.856]  Is an elitist idea that government in conjunction and using this technological ability can force behavioral changes in people against their will.
[00:47:43.796 --> 00:47:49.301]  To use this technology to change your ability to have independent thought.
[00:47:50.522 --> 00:47:58.568]  There's a neuroscientist by the name of Delgado who was one of the leading experts in the world of deep brain stimulation.
[00:47:59.961 --> 00:48:07.127]  He suddenly disappeared from the scene, stopped publishing papers, stopped writing books, didn't attend conferences any longer.
[00:48:07.828 --> 00:48:13.633]  And I think it was Discover Magazine traced him down and found him and asked him, what are you doing now?
[00:48:14.474 --> 00:48:19.038]  And he said, well, I work for the federal government on a secret project.
[00:48:20.097 --> 00:48:21.178]  And he said, well, what are you doing?
[00:48:21.238 --> 00:48:28.884]  And he said, well, I can't tell you a lot of details, but I don't have to use electrodes anymore to change human thought.
[00:48:29.084 --> 00:48:33.487]  I can do it at a distance with my directed microwave.
[00:48:34.568 --> 00:48:41.854]  And I can aim it at certain parts of your brain and fill you with fear or make you hear voices or see things.
[00:48:43.697 --> 00:48:50.583]  And he said, that's all I can tell you, but I get unlimited money, the best laboratory in the world, and all I want to do this research.
[00:48:51.163 --> 00:48:57.168]  Well, he wrote a book before he did this, and Physical Control of the Mind.
[00:48:58.029 --> 00:49:03.634]  And in that book, he says, the last refuge of the individual is their own thought.
[00:49:04.374 --> 00:49:11.140]  And that is the target of certain people in the world, is to remove your ability to think on your own.
[00:49:12.972 --> 00:49:23.658]  They made it where the people that they wanted to control understood this money comes to you as long as your project goes in the direction we want it to.
[00:49:24.879 --> 00:49:29.021]  The money will stop flowing if you stop doing it.
[00:49:30.270 --> 00:49:49.293]  So there's this understanding of our goal, where we want to go with this, and that if you want the money, and you want this multi-million dollar laboratory, we have this unwritten understanding, and I don't even have to tell you, you just kind of know that's what I want.
[00:49:49.994 --> 00:49:56.615]  About the regulatory agencies, EPA, FDA, all these regulatory agencies, alphabet agencies,
[00:49:58.442 --> 00:50:04.686]  They were all established sort of the same methodology that this is to protect the public.
[00:50:06.067 --> 00:50:23.017]  And they gave justification, you know, contamination of the foods if we don't regulate it, contamination of this, of the drugs if we don't regulate it, which gave good justification for some regulation of different things to protect the public, which most people agreed with.
[00:50:23.957 --> 00:50:41.073]  The problem is, is that over time, the people with the most power and influence were able to influence the regulatory agency so they were not looking after the public, they were looking after the person supplying the most money.
[00:50:42.774 --> 00:50:45.497]  And usually, it is the very agencies that they're regulating.
[00:50:46.600 --> 00:51:10.222]  For instance, the Food and Drug Administration, what we've had, and there's been a number of books written on it, a number of exposés on it, is that individuals of the FDA will be receiving either promised jobs when they retire that are very lucrative if they'll just pass this drug and give it the okay.
[00:51:11.276 --> 00:51:19.459]  This has gotten so bad now we have just numerous drugs have entered the market and harmed and killed tens of thousands of people.
[00:51:20.320 --> 00:51:28.363]  Uh, which, when the investigation, uh, looks at it, they found out, in fact, they knew this drug was harmful before it was ever approved.
[00:51:29.203 --> 00:51:41.808]  Uh, the early studies, some of them had been faked by either the companies being investigated and the FDA was aware of it, or the early studies did indicate that these dangers were there, and they approved it anyway.
[00:51:42.328 --> 00:51:47.590]  And then, uh, once it entered into the, the marketplace, thousands of people were harmed.
[00:51:48.430 --> 00:51:49.911]  Uh, you may remember, uh,
[00:51:50.481 --> 00:52:06.048]  Some of the anti-inflammatory COX-2 drugs, one of them came out on the market and it's estimated as many as 80,000 people died of a complication that was known before the drug was ever approved and it was known by the FDA regulatory agencies.
[00:52:06.684 --> 00:52:14.508]  So we have a number of cases in which the regulatory agencies were being heavily influenced by the people they were regulating.
[00:52:15.208 --> 00:52:16.649]  This is true with the Superfund.
[00:52:16.689 --> 00:52:25.213]  There's a number of studies looking at EPA and Superfund in which the people doing the polluting, they're not corrected.
[00:52:26.033 --> 00:52:27.114]  They just pass over it.
[00:52:27.154 --> 00:52:31.336]  And I've looked into some of this myself with some of the regulatory agencies.
[00:52:31.376 --> 00:52:33.397]  For instance, vaccine contamination.
[00:52:34.147 --> 00:52:53.695]  I looked up some of the FDA records on the investigation of the people that were supplying components of the vaccine that were heavily contaminated, either with hepatitis virus or at risk of the mad cow prion contaminants.
[00:52:54.495 --> 00:53:09.821]  And what the FDA would do would go into the company, identify the danger that they were collecting specimens that were contaminated or high risk of contamination, and then they would just write up a report and never come back and see if they corrected it.
[00:53:10.421 --> 00:53:17.824]  So they're allowed to continue the practice without any fine, without any follow-up to see if this had been stopped.
[00:53:18.205 --> 00:53:21.506]  So this is one of the other reasons I worry a lot about vaccines.
[00:53:21.946 --> 00:53:24.610]  Because there's indications that they're highly contaminated.
[00:53:24.990 --> 00:53:33.341]  They're using contaminated serum to make it by getting this from small labs all over the world in the United States.
[00:53:33.842 --> 00:53:38.107]  And there's been numerous cases in which, for instance, a vaccine in the UK
[00:53:39.381 --> 00:53:44.945]  They found out that one of the people that they were getting the serum from died of mad cow disease.
[00:53:45.825 --> 00:53:49.128]  And their response was, well, we don't think it's going to cause any problem.
[00:53:49.168 --> 00:53:55.052]  But tens of thousands of people had received that vaccine contaminated with the mad cow.
[00:53:56.012 --> 00:53:59.473]  So, you know, what we call this is the revolving door.
[00:54:00.873 --> 00:54:07.655]  One of the best demonstrated examples, and you can find this on Betty Martini's site, Mission Possible.
[00:54:08.335 --> 00:54:12.776]  If you go to that site, you'll find the full document reproduced.
[00:54:13.976 --> 00:54:17.537]  And so when they were doing the first approval of aspartame,
[00:54:18.736 --> 00:54:19.937]  When it was made by G.D.
[00:54:19.977 --> 00:54:22.137]  Searle Company, they told G.D.
[00:54:22.177 --> 00:54:27.339]  Searle, do some experiments and present them to the FDA and we'll see about approval.
[00:54:28.099 --> 00:54:33.281]  Well, they did the experiments and studies on mice and they presented it to G.D.
[00:54:33.341 --> 00:54:46.346]  Searle and a board of scientists, which included neuroscientists, said, well, we don't think this should be approved because there's a very high incidence of brain tumors
[00:54:47.766 --> 00:54:53.788]  in animals exposed to aspartame and other tumors as well and some other problems.
[00:54:54.248 --> 00:55:00.789]  Well, the chairman of that scientific committee overrode their decision and approved it anyway.
[00:55:01.269 --> 00:55:08.871]  And then shortly after that, I think within three to six months, he went to work for the PR agency for G.D.
[00:55:08.911 --> 00:55:09.272]  Serrell.
[00:55:10.352 --> 00:55:14.653]  So this was sort of the revolving door in how aspartame ever got approved in the first place.
[00:55:15.410 --> 00:55:26.287]  Now, a government regulatory committee was asked to look at this and see if indeed there were an increased number of brain tumors.
[00:55:27.045 --> 00:55:37.492]  And so they went back, got all the GD sero slides, all the material that was used for these studies, and they found out that many of the slides had been destroyed that had tumors in them.
[00:55:38.553 --> 00:55:56.305]  They found out that the people that were doing the examination of the slides were not qualified, that the studies on the effect of aspartame on developing babies was done by a person who had no experience whatsoever in examining the embryologic effects of this toxin.
[00:55:57.285 --> 00:56:05.455]  And that there was evidence of numerous types of tumors being induced by aspartame in these studies.
[00:56:06.996 --> 00:56:09.439]  This report was locked up in a file cabinet.
[00:56:09.479 --> 00:56:14.104]  No one was allowed to see it until a Freedom of Information lawsuit was filed.
[00:56:14.124 --> 00:56:14.865]  It was released.
[00:56:15.606 --> 00:56:18.508]  When it was released, it demonstrated all these things.
[00:56:18.568 --> 00:56:20.829]  I've read it myself, so I know what's in it.
[00:56:20.889 --> 00:56:27.733]  And it's all true that they were destroying specimens, hiding tumors, lying about what was found.
[00:56:28.654 --> 00:56:33.276]  And that's the sole basis of the approval of aspartame for use today.
[00:56:34.497 --> 00:56:37.158]  It was known that it's a carcinogenic agent.
[00:56:37.399 --> 00:56:43.502]  They were known at the time that it produces damage to the brain, that it contains excitotoxins.
[00:56:45.263 --> 00:56:59.736]  Repeat studies recently have shown that it increases the incidence of a particular deadly cancer, lymphomas and leukemias, possibly brain tumors and possibly breast cancers.
[00:57:00.656 --> 00:57:12.182]  That has been since repeated in even a larger study by a very prestigious research group confirming that this does produce cancer in these animals.
[00:57:13.043 --> 00:57:17.365]  We know that the aspartame contains breakdown products, DKP,
[00:57:19.086 --> 00:57:28.131]  And formaldehyde that latches to the DNA damages it, and so we have a good explanation why it's producing this high incidence of cancer.
[00:57:28.711 --> 00:57:33.474]  We also know the mechanism for producing damage to the brain as well.
[00:57:34.054 --> 00:57:41.478]  And there's been numerous human cases of cancer that seems connected to the aspartame, particularly brain cancers.
[00:57:42.199 --> 00:57:47.662]  And we've seen an increase in the number of brain cancers since it's been approved, particularly in young people.
[00:57:49.963 --> 00:57:53.906]  So this demonstrates again this revolving door mentality.
[00:57:55.166 --> 00:58:00.730]  They approach people that are in positions to get products approved that are dangerous.
[00:58:01.591 --> 00:58:07.274]  They use their money and influence, promise of jobs to get it approved.
[00:58:08.115 --> 00:58:10.556]  Then that person leaves and goes to work for the company.
[00:58:11.997 --> 00:58:17.301]  So the public is being deceived thinking that modern regulatory agencies are protecting them.
[00:58:17.321 --> 00:58:17.741]  They're not.
[00:58:18.588 --> 00:58:22.302]  They're protecting the people that they're supposed to regulate.
[00:58:23.699 --> 00:58:47.565]  Doctor, going back to the collusion and the revolving door issues, Wolfgang Wodarg of the Council of Europe initiated an official investigation into the H1N1 vaccine, saying that it had been pharmaceutical people falsely rising the level of the pandemic and causing the WHO to put out the mass alert and push this whole thing.
[00:58:47.605 --> 00:58:49.366]  Could you talk about the swine flu?
[00:58:51.147 --> 00:58:55.089]  I'll suggest the word hoax, but of course, tell us what you think about it.
[00:58:55.910 --> 00:58:57.811]  Well, I think it was a grand hoax.
[00:58:58.792 --> 00:59:09.078]  You know, now that we're looking in retrospect, the idea that it was a pandemic is being attacked by a number of people, that there was no evidence it was a pandemic.
[00:59:09.950 --> 00:59:20.883]  And as I appeared on one of Alex's earlier shows when all of the H1N1 was first emerging, I had searched the CDC site.
[00:59:22.045 --> 00:59:25.989]  I researched things that were in one of the most prestigious of our science magazines.
[00:59:26.570 --> 00:59:28.591]  Which is called science and nature.
[00:59:29.851 --> 00:59:31.432]  And the New England Journal of Medicine.
[00:59:32.172 --> 00:59:36.594]  Early on the evidence was that this was a very difficult virus to transmit.
[00:59:36.614 --> 00:59:41.176]  That its virulence was no worse than any other ordinary virus.
[00:59:42.537 --> 00:59:44.497]  And that this whole thing was being overblown.
[00:59:46.238 --> 00:59:48.079]  Then it came out by the CBS study.
[00:59:49.384 --> 00:59:56.155]  Which they looked at all the different states and found out the vast majority of the viral infections were not H1N1.
[00:59:56.175 --> 00:59:58.459]  Something like 90% in some states, 99% were other viruses.
[01:00:02.631 --> 01:00:10.976]  And so there were very few cases actually of H1N1, which goes along with these other early studies, saying it's very difficult to transmit.
[01:00:11.456 --> 01:00:12.557]  Well, they knew all of this.
[01:00:13.318 --> 01:00:27.247]  When I went through all the data that was appearing on the CDC site, the Center for Disease Control, it was showing quite clearly that the death rate from this virus at all age levels was actually quite low.
[01:00:29.435 --> 01:00:34.060]  At this time, they were saying, well, the most at risk are children under four years of age.
[01:00:34.901 --> 01:00:48.236]  I warned at that time, if you use the adjuvants in this vaccine that's being proposed, you're going to increase the risk of seizures and brain damage, autism, and schizophrenia in these children.
[01:00:49.571 --> 01:01:08.091]  Well, now it's come out after the epidemic has been over, or the so-called pandemic is over, that in fact in Britain, for instance, they admit that the H1N1 vaccine has caused a tremendous increase in seizures in children under age four, the very ones they targeted.
[01:01:09.380 --> 01:01:20.128]  The very ones they were telling children in America and in Europe and in the UK, you need to bring your children in to get this vaccine because they're at high risk of dying.
[01:01:20.428 --> 01:01:23.450]  When I looked on their site, it didn't tell that story.
[01:01:24.071 --> 01:01:30.656]  When I looked at their own data, it said those children really are at less risk than they were in previous years from flu.
[01:01:31.823 --> 01:01:49.314]  So they were lying all the time, and the media could easily have done what I did, look on the CDC site and see they were lying, but instead they carried the story that this is a pandemic, that this is scary, that you need to get your children vaccinated, and who else did they target?
[01:01:49.574 --> 01:01:51.515]  They targeted pregnant women.
[01:01:52.396 --> 01:01:59.160]  I warned them that compelling studies said if you vaccinate pregnant women with this powerful adjuvant,
[01:02:00.387 --> 01:02:04.930]  You're going to increase the incidence of Autism and Schizophrenia.
[01:02:05.470 --> 01:02:10.473]  Well, we're not going to see the impact of the Schizophrenia for a decade or more.
[01:02:12.274 --> 01:02:14.035]  And they'll have deniability.
[01:02:15.036 --> 01:02:18.758]  Because they know that most of the public does not know about this research.
[01:02:19.779 --> 01:02:25.863]  That in fact, if you do that during pregnancy, dramatically, it's almost a six-fold increase in Schizophrenia.
[01:02:28.237 --> 01:02:37.339]  It took 20 years or more for us to find out about the previous fake epidemic and pandemic.
[01:02:37.419 --> 01:02:47.162]  You remember the 1986 H1N1 scare that, oh here's the 1918 pandemic coming again.
[01:02:47.902 --> 01:02:53.224]  And so we went through that with the swine flu vaccine and we had over 500 deaths.
[01:02:55.200 --> 01:02:58.842]  And the actual virus itself killed one person.
