[00:00:00.630 --> 00:00:03.292]  Here is part one of our interview with Alan Watt.
[00:31:55.177 --> 00:31:59.400]  And passing dozens and dozens and dozens of other couples on the way with their toddlers as well.
[00:32:01.081 --> 00:32:07.825]  When he got to the park, which was a valley, there were over maybe a thousand, a thousand and a half couples along the grass in the valley.
[00:32:09.526 --> 00:32:11.847]  And that's where everything was discussed.
[00:32:12.067 --> 00:32:18.431]  Local politics, national politics, labor unions to do with their mining and so on.
[00:32:19.612 --> 00:32:23.414]  And everyone mingled with everyone else, old school friends and so on.
[00:32:24.440 --> 00:32:37.306]  That system had been going on for hundreds of years, hundreds of years, where people communicated thoughts, real feelings, real things that really mattered to them and their communities, to each other, conversation.
[00:32:38.266 --> 00:32:49.971]  When the TV came in, and I was still about this high, within about a month, I could go down that park every weekend and no one, I mean no one was there.
[00:32:51.152 --> 00:32:53.413]  It literally overnight killed off
[00:32:54.284 --> 00:33:08.734]  The socialization and interaction between people and tradition, again, with exchanged viewpoints, gave each other news, helped each other out, who was sick, who was this, who was that, everyone helped each other out.
[00:33:09.694 --> 00:33:15.398]  And from then on, you could pass rows and rows and rows of these old, and they were called row houses, all joined together.
[00:33:16.564 --> 00:33:16.764]  I think?
[00:33:32.358 --> 00:33:33.459]  It's very, very important.
[00:33:33.539 --> 00:33:40.002]  It was timed to be so many cycles per second, and it actually just meets with the brain patterns for an alpha state.
[00:33:41.142 --> 00:33:48.506]  When our brain sees it through our eyes, we start to adopt that flicker rate in our mind, and we go into a deep alpha state.
[00:33:48.726 --> 00:33:50.907]  Watch children, and watch their mouths.
[00:33:51.908 --> 00:33:52.608]  They drop open.
[00:33:54.269 --> 00:33:55.569]  They won't hear their parents talking.
[00:33:57.190 --> 00:33:58.651]  They're hypnotized, in fact.
[00:34:00.580 --> 00:34:06.562]  Why would they give that particular flicker rate when they could have chosen a whole variety of flicker rates?
[00:34:06.602 --> 00:34:08.143]  It wasn't an essential thing to have.
[00:34:09.563 --> 00:34:10.623]  So it was done for a purpose.
[00:34:10.663 --> 00:34:11.924]  It was meant to be hypnotic.
[00:34:11.964 --> 00:34:20.706]  It was meant to be used as a tool of propaganda and indoctrination, even through the guise of entertainment and so on.
[00:34:22.347 --> 00:34:28.609]  It also was to create a new society because they were the avant-garde, as I say, leading the sexual revolution.
[00:34:29.448 --> 00:34:35.049]  Through drama, through little documentaries, fiction, non-fiction all combines.
[00:34:35.910 --> 00:34:37.210]  Once again, back to Plato.
[00:34:37.930 --> 00:34:39.351]  The audience see what they see.
[00:34:41.531 --> 00:34:44.912]  You understand that it's even worked out towards different age groups.
[00:34:44.932 --> 00:34:47.113]  There's something on for everybody's age group.
[00:34:47.333 --> 00:34:52.934]  Each age group is actually being updated as well, even the elderly ones, into new ways of thinking or seeing things.
[00:34:53.974 --> 00:34:55.795]  But the target mainly was for youngsters.
[00:34:57.219 --> 00:35:14.471]  If we take one of the world's experts on propaganda, who is Jax Ellul, who wrote extensively on how the mind works and how all entertainment, he said, that has to do with government programs such as police,
[00:35:15.874 --> 00:35:24.917]  Detective stories, detective series, which contain little human dramas as the hook that you identify with to make you watch the whole story.
[00:35:25.318 --> 00:35:34.421]  Child gets kidnapped, detective goes on a hunt, he goes through hell and war and fire to get that child back.
[00:35:34.521 --> 00:35:39.903]  You identify with the hero if you're a male, you identify with the heroine if you're female.
[00:35:41.676 --> 00:35:43.417]  And that's the hook to get you to watch them.
[00:35:43.517 --> 00:35:51.182]  But what he said was, all dramas to do with police, or even the military in movies, are pure propaganda.
[00:35:52.243 --> 00:35:53.104]  Pure propaganda.
[00:35:53.584 --> 00:35:59.628]  The human story is just the bait to make you watch through it, to get you to identify with it.
[00:35:59.668 --> 00:36:03.911]  Because once again, there's always a message left somewhere in the movie.
[00:36:04.111 --> 00:36:06.553]  It might even be a message that's against your own morality.
[00:36:07.563 --> 00:36:26.717]  It could be where the cop, for instance, does sleep with this beautiful woman while his wife is at home, and it's all part of the story, and even tell you why he did this, he was feeling down that day, blah blah blah, and so you've just again altered your viewpoints on how you yourself might behave in that situation.
[00:36:27.509 --> 00:36:30.251]  And sometimes that kind of thing can be justified.
[00:36:30.952 --> 00:36:33.994]  That's how you're downloaded through entertainment.
[00:36:34.575 --> 00:36:44.483]  It's there to alter and direct and always upgrade into another step of the direction that the entire culture for someone else's purpose.
[00:36:44.843 --> 00:36:48.065]  Let's talk about the effects of the alpha state first of all.
[00:36:49.607 --> 00:36:54.851]  Recent articles I've even read on the air from various science studies
[00:36:56.798 --> 00:37:05.643]  Show you that even when you switch off television, you remain in that alpha state for maybe 45 minutes to an hour, sometimes longer, depending on how long you've been watching it.
[00:37:06.744 --> 00:37:16.849]  With high definition, again, why would a president of a country mandate that all TVs had to go high definition?
[00:37:17.249 --> 00:37:19.691]  Is it because he really cares so much about your happiness?
[00:37:21.095 --> 00:37:22.516]  He wants better quality for you?
[00:37:22.816 --> 00:37:23.977]  Or is there another reason for it?
[00:37:24.017 --> 00:37:36.545]  Well, I'm sure the effects of the old flicker rates and what it did will also be incorporated in high definition, but with even more added benefits for bringing you into a complete hypnotic state.
[00:37:37.025 --> 00:37:39.387]  How do you wake someone up who's addicted to television?
[00:37:40.127 --> 00:37:40.588]  You can't.
[00:37:41.988 --> 00:37:42.589]  Very, very simple.
[00:37:43.529 --> 00:37:46.151]  You can't get your daily brainwashing.
[00:37:47.572 --> 00:37:48.933]  We're literally, it's bypassing
[00:37:50.157 --> 00:37:50.678]  I think so.
[00:38:03.117 --> 00:38:05.578]  Because their entire routine is broken.
[00:38:06.098 --> 00:38:11.199]  They also have time on their hands, which is a big aspect of control, remember, too.
[00:38:12.120 --> 00:38:18.482]  If you can take time away from a person who can think for themselves, who might say, I'll go and read a book, I'll go and study something.
[00:38:19.222 --> 00:38:28.184]  If you can take that time away from them and have them mesmerise in front of a television set, then you'll keep them dumb, stupid, compliant and going along with the system.
[00:38:28.585 --> 00:38:29.925]  I always advise to people
[00:38:31.829 --> 00:38:42.413]  If you know someone who's watching TV, it's quite simple to find out where they are mentally, psychologically, in the understanding of things.
[00:38:42.453 --> 00:38:44.173]  You can ask them a few simple questions.
[00:38:44.633 --> 00:38:48.355]  If they give you standard television answers, forget it.
[00:38:49.055 --> 00:38:50.015]  Simple as that, forget it.
[00:38:51.256 --> 00:38:56.977]  If you see some spark of their own opinion coming in, there's maybe a chance you can do something with them.
[00:38:58.118 --> 00:39:00.559]  But you cannot get a... You see, television
[00:39:02.950 --> 00:39:04.311]  It can be classified as a drug.
[00:39:06.133 --> 00:39:09.335]  Any addiction is still an addiction.
[00:39:09.435 --> 00:39:10.536]  Television is an addiction.
[00:39:10.576 --> 00:39:12.398]  People watch four or five hours per day.
[00:39:12.498 --> 00:39:20.805]  Top psychologists and even the United Nations have talked about the use of television for creating a new culture for children.
[00:39:22.086 --> 00:39:31.494]  How many people know that all government agencies or departments, all governments in the world, basically, have departments of culture which hire
[00:39:32.796 --> 00:39:50.381]  Cartoonists and pay their expenses to do cartoons always incorporating the latest political corrects story to do with environment, waste, bad adults and how they've destroyed the planet through their consuming etc.
[00:39:50.741 --> 00:39:56.483]  How many people realize as you plonk your children down in front of it to babysit them that they're actually being brainwashed
[00:39:57.546 --> 00:39:58.226]  Scientifically.
[00:39:59.087 --> 00:40:08.832]  And these cartoons were designed by experts to get their message across to those children, implanted in their young minds, fixed in their young minds, forever, for the rest of their lives.
[00:40:10.233 --> 00:40:11.073]  Ongoing daily.
[00:40:12.294 --> 00:40:21.119]  And even right down to the novels that you read to children, that are designed for children too, which will incorporate all of this, all paid by government grants to authors and writers.
[00:40:23.580 --> 00:40:25.361]  You literally have to take it into your own hands.
[00:40:25.401 --> 00:40:26.902]  It's one of the most dangerous tools
[00:40:28.486 --> 00:40:29.147]  They can be used.
[00:40:29.367 --> 00:40:34.614]  It's also dangerous in this extent that why do you think government licenses TV stations?
[00:40:36.316 --> 00:40:42.604]  If you were an independent producer, TV station who came out with this kind of information, you would not get a license.
[00:40:44.298 --> 00:40:59.184]  You'd have to be authorized and politically correct with a whole bunch of things to do and not to do written out before you'd be given a license and you'd be checked on every so often to make sure you were following those topics that you're allowed to.
[00:40:59.965 --> 00:41:07.948]  If you want to advise people on television, and you can do this with yourself, how to train yourself, how to watch television,
[00:41:09.969 --> 00:41:21.321]  If you never get involved, you understand a storyline, you watch a movie, but don't get involved in, as I say, there's always a thread or a hook for you to follow, a plot, whatever, the chase.
[00:41:21.962 --> 00:41:28.849]  The guy always ends up with the beautiful woman at the ends, after going through hell to rescue a child or whatever it happens to be, or save the world.
[00:41:30.230 --> 00:41:42.499]  If you can stop yourself from getting lost in the emotional part of it, and study the movie as you're watching it, you'll learn the techniques that have been implanted in the movie itself.
[00:41:42.559 --> 00:41:44.260]  That's a great way to learn.
[00:41:45.281 --> 00:41:55.527]  If you can do it with yourself, you can also show other people how to do this, to actually study everything as it's been presented to you, and eventually what you'll find
[00:41:56.448 --> 00:42:11.337]  is that when you're watching even documentaries, you'll see how the documentaries themselves are shaped to give you the opinions, often very strong opinions, without giving you specific facts or giving you distorted facts, etc.
[00:42:11.798 --> 00:42:16.261]  Learn how to critically analyze and think as you're watching.
[00:42:17.141 --> 00:42:24.386]  And if you can show others this technique, a good example is sit down with someone who regularly watches a good movie.
[00:42:25.186 --> 00:42:37.112]  One that you've previously watched, and then point out all the politically correct little inserted words, slogans, phrases that have been put in there, and show them, show them how it's been done.
[00:42:37.592 --> 00:42:40.634]  That way it can actually be fun to study television.
[00:42:41.843 --> 00:42:44.945]  And write down all the different things that they've missed.
[00:42:45.585 --> 00:42:48.147]  But it's all implanted subconsciously in their mind.
[00:42:49.267 --> 00:42:53.089]  Because those implants, those subconscious implants will become their opinions.
[00:42:53.390 --> 00:42:55.030]  And they will never know how they arrived at them.
[00:42:56.031 --> 00:43:00.754]  They won't remember it's from this particular documentary, this particular movie, or whatever.
[00:43:01.394 --> 00:43:02.615]  So that can also be fun.
[00:43:03.355 --> 00:43:04.516]  That's a positive side of it.
[00:43:04.716 --> 00:43:06.137]  You can train anyone to do this.
[00:43:08.798 --> 00:43:09.479]  With the internet,
[00:43:12.304 --> 00:43:20.868]  The first person to mention it that I know of, at least to the public, was again this master, Brzezinski, in his book Between Two Ages.
[00:43:22.048 --> 00:43:35.214]  In the early 70s he said, shortly a system will be given to the public of mass communication, which will cause a revolution, the revolutionary thing to change society.
[00:43:37.355 --> 00:43:41.497]  But he also mentioned and hinted at the fact that there would be regulation behind it,
[00:43:43.325 --> 00:43:53.168]  He mentioned too that those who brought it in would never lose control, the main control over the internet because after all knowledge is power.
[00:43:54.068 --> 00:43:55.188]  Knowledge has always been power.
[00:43:55.228 --> 00:44:01.810]  That's why all down through the ages the real machinations of government are never told to the public.
[00:44:01.870 --> 00:44:07.232]  Real power comes from understanding and having all the facts on any particular topic.
[00:44:09.133 --> 00:44:15.658]  So therefore, the Internet was to be given to the general public with other intentions.
[00:44:15.879 --> 00:44:18.040]  Initially, it was to get them all into it.
[00:44:18.741 --> 00:44:20.502]  Now, what did the elite want to achieve?
[00:44:20.743 --> 00:44:22.104]  What was their point of view?
[00:44:23.525 --> 00:44:27.048]  They wanted people to become so used to the Internet they couldn't do without it.
[00:44:27.488 --> 00:44:29.610]  Now we see businesses really can't do without it.
[00:44:29.970 --> 00:44:35.795]  They can't imagine going back to pencil and paper and taking inventory and all this kind of stuff.
[00:44:37.742 --> 00:44:45.665]  For the youngsters, who must be the generation you target, they made sure that every... That's the only thing I knew about the Internet, from the media.
[00:44:47.746 --> 00:44:50.067]  I was completely ignorant about it, and computers.
[00:44:50.347 --> 00:44:52.728]  The only thing I knew was there was lots of pornography on it.
[00:44:53.108 --> 00:44:59.290]  Every paper kept telling you about it, which again is the same old technique they used in the 60s and 70s.
[00:44:59.831 --> 00:45:00.631]  Aren't we naughty?
[00:45:01.071 --> 00:45:03.472]  Wink, wink for the rock stars on television.
[00:45:04.554 --> 00:45:07.837]  Knowing all the youngsters will get into it when their hormones are high.
[00:45:07.857 --> 00:45:09.639]  That's all they're thinking about.
[00:45:11.421 --> 00:45:27.596]  But once folk were addicted to it, they've also planned to gradually alter it, keeping the people addicted to it as they changed it into another system where mainstream media, the authorised media, the culture creation industry media,
[00:45:29.110 --> 00:45:40.130]  Would eventually have prime or the main dibs, the first grabs at the main bandwidth that eventually they're claiming will have to be reduced.
[00:45:41.423 --> 00:45:56.734]  So, in the meantime, there's never been a window of opportunity for the general public to use a medium to communicate to each other alternate news, verified facts, to each other as we have at the moment.
[00:45:56.975 --> 00:45:59.877]  That eventually, supposedly, is going to be policed.
[00:46:00.517 --> 00:46:07.803]  They've had international meetings, the first one held in Canada, under the guise of the United Nations, or the auspices of the United Nations,
[00:46:08.303 --> 00:46:12.545]  ...to do with regulating and censorship of the Internet.
[00:46:13.425 --> 00:46:17.166]  They have these meetings every year as they add more laws to it.
[00:46:17.506 --> 00:46:19.907]  We know the cloud system is to come in eventually.
[00:46:20.167 --> 00:46:21.808]  It's been all over the media in Britain.
[00:46:23.269 --> 00:46:27.450]  Where you won't be able to store anything on a hard drive, you won't even need a hard drive eventually.
[00:46:28.210 --> 00:46:32.132]  Remote servers will have all your information for you.
[00:46:33.578 --> 00:46:45.403]  It will then be used as a form of punishment if you were politically incorrect in some form or another, then you'll be cut off from accessing that server with all your data until you toe the line and behave yourself.
[00:46:46.363 --> 00:46:53.986]  Social control can be used through money, monetary penalisations, or through other penalisations like
[00:46:54.844 --> 00:46:56.105]  Withdrawing your access from it.
[00:46:56.486 --> 00:47:01.390]  It definitely will be used for social control again, unless it's a backlash from the general public.
[00:47:01.710 --> 00:47:12.380]  And they do expect backlashes from people who have become used to looking into whatever site they wish to look at, or communicating whatever kind of information they want to, to each other.
[00:47:14.502 --> 00:47:19.487]  Now, along with the introduction of the Internet, we've got to remember too,
[00:47:20.475 --> 00:47:26.100]  The government agencies also set up and promoted chat rooms and all the rest of it.
[00:47:26.961 --> 00:47:29.543]  And there are agents within this strange
[00:47:30.496 --> 00:47:30.736]  I think so.
[00:47:51.937 --> 00:47:56.480]  There's also a lot of nonsense, of course, on the Internet, too, which can take you down conspiracy paths.
[00:48:20.530 --> 00:48:26.935]  I hate the term conspiracy because the government wants us to use it like we're some sort of hobbyists and some sort of kooks.
[00:48:27.216 --> 00:48:28.056]  I don't use the term.
[00:48:29.958 --> 00:48:45.350]  But that's become the most popular type of site now, it's a conspiracy site and there's many out there, there's professional agents out there as well who've been funded by governments and even launched by governments to be well known, especially in Europe.
[00:48:46.411 --> 00:48:47.811]  To lead the conspiracy sites.
[00:48:47.891 --> 00:48:52.532]  Then they bring in the UFOs, the aliens, until you have achieved your goal.
[00:48:52.752 --> 00:48:53.813]  Counterintelligence.
[00:48:53.933 --> 00:48:56.173]  Let's talk about counterintelligence and how it works.
[00:48:56.753 --> 00:48:57.754]  What is intelligence?
[00:48:57.934 --> 00:49:02.115]  Intelligence gathering is sending agents out to simply listen.
[00:49:02.295 --> 00:49:08.336]  They listen in marketplaces, bars, cafes, as to what the people are discussing.
[00:49:09.576 --> 00:49:13.037]  Lawrence of Arabia, in his own book, Seven Pillars of Wisdom,
[00:49:13.814 --> 00:49:15.215]  He was trained as an agent.
[00:49:15.695 --> 00:49:18.236]  He was trained in Aramaic, Arabic languages.
[00:49:19.097 --> 00:49:27.941]  He was given lots of money, he and 11 other people, trained from Cambridge, and sent over to the Arabic countries to start up Arabic newspapers.
[00:49:29.042 --> 00:49:41.068]  Once they started putting stories in the newspapers, they went round the marketplaces, they hired lots of guys to listen to gossip, to see if the intelligence they were putting out in the papers was being discussed by the recipients, the readers.
[00:49:41.648 --> 00:49:43.389]  That's basic intelligence gathering.
[00:49:44.551 --> 00:49:45.892]  What is counterintelligence?
[00:49:47.053 --> 00:50:06.529]  Counterintelligence, from a government's perspective, is taking information and data that could be bad for the ruling regime, and finding ways to counter that knowledge, counter it.
[00:50:06.989 --> 00:50:12.374]  What you do, standard-wise, if you can't defame the person who's bringing out a truth or kill them,
[00:50:14.019 --> 00:50:24.543]  is to bring out your own heroes, launch them well, finance them well into the same area, saying the same stuff that others are talking about.
[00:50:24.563 --> 00:50:27.244]  It's called intelligence, giving out facts.
[00:50:28.024 --> 00:50:36.027]  And once they have the following, then they start bringing in aliens and UFOs and they bring in the New Age, the whole New Age religion into it.
[00:50:36.067 --> 00:50:38.527]  Spirituality is the big term they're using today.
[00:50:39.548 --> 00:50:39.928]  Until
[00:50:40.649 --> 00:50:53.301]  Until a newcomer, a skeptic, will hear this stuff from the paid agent, who's very good, who gives the same data as the person who doesn't go into the UFOs and so on.
[00:50:54.402 --> 00:51:02.709]  But the guy who doesn't go into the UFOs, aliens, reptilians and all the rest of it, suddenly is thrown out with the other guy.
[00:51:03.590 --> 00:51:05.531]  You're classified with them by association.
[00:51:05.571 --> 00:51:07.671]  Your topics are associated.
[00:51:08.392 --> 00:51:16.214]  Even though you stay clear of the fantasy stuff, the disinformation, you'll be lumped along with them, and then you've countered the intelligence.
[00:51:16.494 --> 00:51:23.776]  When you mention the facts, people laugh at you, say, oh, you probably believe that the aliens are running the world now, and that's it.
[00:51:24.157 --> 00:51:25.537]  That's counterintelligence.
[00:51:26.041 --> 00:51:29.583]  And that is also all over the internet.
[00:51:30.883 --> 00:51:35.526]  And it's paid for by, again, government psyops operations.
[00:51:36.066 --> 00:51:48.932]  Some groups that I've found are doing really good work where people decide to get together physically and they will choose a book to read to do with the factual data that's available to the public that can be proven.
[00:51:49.112 --> 00:51:49.933]  Oh, Henry Kissinger.
[00:51:50.453 --> 00:51:55.818]  And they'll go through it, they'll analyze the book, they'll analyze the phrases, they'll analyze the contents.
[00:51:56.058 --> 00:52:02.864]  They start to participate in what they're reading because others will remember this particular era, this time when this event happened.
[00:52:03.974 --> 00:52:07.396]  That's participation, that's communication.
[00:52:07.957 --> 00:52:15.321]  And other information, as I say, from those involved who live through things can be added to the whole thing, giving you a much more complete picture.
[00:52:16.061 --> 00:52:23.305]  So it's a good idea to start this kind of thing off in your local area, even if it's only two of you that started off.
[00:52:24.366 --> 00:52:25.226]  Don't sit and laugh.
[00:52:25.286 --> 00:52:28.128]  It's kind of comical at first when you say, well, we discussed this book.
[00:52:28.148 --> 00:52:29.889]  You've never done anything like this in your lifetime.
[00:52:30.757 --> 00:52:41.784]  Sit down and get yourself a coffee or a beer or whatever you need and take turns at reading and ask the other guy, do you have anything to add to what I've just read?
[00:52:41.804 --> 00:52:44.566]  Do you have any insights into what you think of this?
[00:52:45.146 --> 00:52:49.089]  It gets you stimulated into participating and really thinking because
[00:52:51.215 --> 00:52:55.839]  Everybody who's alive today has been trained literally not to have to think.
[00:52:56.239 --> 00:53:00.783]  As Brzezinski said, shortly the public will be unable to reason or think for themselves.
[00:53:01.464 --> 00:53:05.007]  They'll expect the media to do the reasoning for them.
[00:53:05.828 --> 00:53:13.374]  So let's counter that, let's get back to thinking for ourselves, using the data material, get involved, start using our minds again.
[00:53:14.335 --> 00:53:22.018]  And you'd be surprised, it's like a muscle you haven't used for a long time, how quickly you start to use it, how sharp you become so quickly.
[00:53:22.598 --> 00:53:32.122]  And if you can get larger groups and larger groups together doing the same thing, and then you can branch them together, communicate together, then they suggest other books that you haven't heard of.
[00:53:33.262 --> 00:53:36.884]  Maybe you need a particular book for evidence, I have stacks of them at home.
[00:53:37.584 --> 00:53:41.486]  Everyone has access somewhere to some material that got stuck away.
[00:53:42.466 --> 00:53:50.149]  And when you start putting all of this material together, mainly through, as I say, discussion and reading groups, you can add to the knowledge.
[00:53:50.709 --> 00:53:57.572]  The more knowledge and facts, actual factual data you can put together, the bigger your arsenal is.
[00:53:58.273 --> 00:54:03.895]  And the easier it becomes to show people and convince them, look, this is authenticated stuff.
[00:54:05.219 --> 00:54:06.380]  Here's the factual data.
[00:54:06.420 --> 00:54:07.540]  Here's the physical book.
[00:54:07.740 --> 00:54:10.502]  Read from that book and then have your discussions.
[00:54:10.562 --> 00:54:11.662]  What do you think about this?
[00:54:12.442 --> 00:54:13.843]  What do you think they meant by this?
[00:54:14.043 --> 00:54:15.184]  What do you think has happened?
[00:54:15.584 --> 00:54:17.565]  Have they fulfilled this part of an agenda?
[00:54:18.105 --> 00:54:19.726]  And most people will say, yeah, they have.
[00:54:20.286 --> 00:54:21.407]  Well, here's how they did it.
[00:54:21.627 --> 00:54:24.528]  The evidence is all there, but knowledge, remember, is scattered.
[00:54:25.489 --> 00:54:34.593]  That's also why, since the 70s and so on, televisions were put up in places where people used to communicate to each other, bars and restaurants, the pubs of Europe.
[00:54:35.535 --> 00:54:37.337]  Everyone talked and discussed everything.
[00:54:38.519 --> 00:54:40.321]  The televisions were all put in for a reason.
[00:54:40.661 --> 00:54:43.665]  And now everyone's mesmerized and you can hear sports and loud music.
[00:54:43.685 --> 00:54:44.987]  You can't communicate anymore.
[00:54:45.467 --> 00:54:51.655]  That was government promoted because the government licensed the big chains of taverns and pubs all throughout Europe.
[00:54:51.735 --> 00:54:52.796]  And so what you've got really
[00:54:53.948 --> 00:54:55.009]  It's a deliberate attempt.
[00:54:55.069 --> 00:54:56.290]  Nothing happens for no reason.
[00:54:56.390 --> 00:54:56.670]  Why?
[00:54:56.690 --> 00:54:58.392]  The customers weren't demanded.
[00:54:58.412 --> 00:55:00.894]  They were bored in bars as they discussed topics.
[00:55:01.114 --> 00:55:05.798]  People would just move around the pub talking and listening to the conversations and they'd join in the one that you liked.
[00:55:06.359 --> 00:55:08.761]  Why was it so important to destroy communication?
[00:55:09.101 --> 00:55:13.966]  It's because it's the main propaganda tool that stops communication between people even in a room.
[00:55:14.106 --> 00:55:18.730]  Have you noticed too they don't even discuss the topics once the news is read to them to each other?
[00:55:19.290 --> 00:55:21.091]  They've both been downloaded with their opinions.
[00:55:21.371 --> 00:55:23.092]  You don't have to ask what their opinion is.
[00:55:23.112 --> 00:55:25.334]  It's going to be the same one as you've been downloaded with.
[00:55:25.994 --> 00:55:26.955]  Left by the expert.
[00:55:27.075 --> 00:55:28.776]  So we've got to get back to communications.
[00:55:29.935 --> 00:55:33.277]  and communicating with each other, and finding the evidence.
[00:55:33.558 --> 00:55:34.558]  Knowledge is scattered.
[00:55:35.139 --> 00:55:39.142]  Knowledge is power, so it's scattered all over the place, and in thousands of books.
[00:55:39.582 --> 00:55:53.932]  But, when you can start these reading classes up, and get other reading classes communicating with you, even through the internet, you can start putting the data, the factual data together, and so that you can present it to the public, and bring in more and more members.
[00:55:54.092 --> 00:55:54.653]  Only knowledge
[00:55:55.513 --> 00:56:04.342]  And the will to use this knowledge is going to thwart the plans that have openly been made for us and declared from the elites at the top.
[00:56:05.463 --> 00:56:11.749]  The whole problem of being involved in a community became a double-edged sword.
[00:56:12.009 --> 00:56:20.197]  We know, for instance, that commutarianism is a term used first by Bruce Senior, talking about the collectivist society coming in.
[00:56:21.408 --> 00:56:24.070]  The United Nations has us all split up into communities.
[00:56:24.150 --> 00:56:25.711]  It's promoted through local TV.
[00:56:25.771 --> 00:56:28.592]  Even Sudbury here has your community.
[00:56:28.693 --> 00:56:30.133]  This is your local community.
[00:56:30.193 --> 00:56:31.634]  Be involved in your community.
[00:56:32.255 --> 00:56:34.676]  They're talking about a politically correct community.
[00:56:35.197 --> 00:56:35.877]  That's the problem.
[00:56:36.157 --> 00:56:41.801]  Government really penetrated and altered and distorted and changed society through communities.
[00:56:42.681 --> 00:56:45.583]  Not just with television, which has certainly destroyed the community spirit,
[00:56:46.820 --> 00:56:47.940]  The intent of government.
[00:56:48.341 --> 00:56:50.681]  This is how abusers work too.
[00:56:50.801 --> 00:56:54.163]  Abusers work with the same technique because they want power over a victim.
[00:56:54.343 --> 00:57:02.405]  The abuser will come in and take care initially of problems of the abused.
[00:57:03.826 --> 00:57:06.907]  Often the problems are the very outcome of
[00:57:08.168 --> 00:57:11.350]  What the abusers have been doing to the victims in the first place.
[00:57:11.830 --> 00:57:18.235]  Governments came in with welfare for instance a long time ago in all countries about the same time.
[00:57:20.276 --> 00:57:22.958]  At one time families helped each other out.
[00:57:23.318 --> 00:57:24.459]  You didn't need welfare.
[00:57:25.640 --> 00:57:27.881]  If someone lost their job everyone chipped in.
[00:57:28.842 --> 00:57:33.765]  You didn't condemn the family member for being unemployed or ill or whatever or losing their job.
[00:57:35.393 --> 00:57:35.754]  Thank you.
[00:57:50.967 --> 00:57:59.491]  When people became unemployed or even sick for a while and couldn't work, I heard people even say to their own relatives, well, go to welfare, that's what they're for.
[00:57:59.791 --> 00:58:01.652]  There are social agencies to deal with this.
[00:58:01.972 --> 00:58:07.614]  Until today, we're in a sad state where even close relatives won't help each other out.
[00:58:07.654 --> 00:58:08.975]  They expect the government.
[00:58:09.929 --> 00:58:11.790]  The abuser, the government is the abuser.
[00:58:12.151 --> 00:58:20.496]  They expect the government to take care of all financial problems for the unfortunate victims and they stop helping each other out.
[00:58:21.037 --> 00:58:32.745]  We've got to start reclaiming the rights to, and you can do it personally with people you know, to help other people out and start countering the government's mandate.
[00:58:32.785 --> 00:58:37.388]  Because the government's mandate is for control over the victims, not to help the victims.
[00:58:38.462 --> 00:58:48.853]  Those who fall under that particular level into the welfare state have their lives run by government agencies and social workers.
[00:58:49.414 --> 00:58:50.755]  That's what Huxley says.
[00:58:50.795 --> 00:58:53.619]  He says that they won't need their survival capabilities.
[00:58:54.459 --> 00:58:55.521]  Russell said the same thing.
[00:58:56.362 --> 00:58:59.485]  Because the government is taking care and making all the decisions for them.
[00:59:00.097 --> 00:59:06.702]  In order to help you, it's really to take you over and have you obeying them and their system.
[00:59:07.062 --> 00:59:08.203]  That's what you're up against.
[00:59:08.323 --> 00:59:18.010]  A planned war strategy, making them dependent upon government services, not their family units, not their brothers and sisters, their fathers and mothers.
[00:59:18.590 --> 00:59:19.730]  But on the state itself.
[00:59:19.911 --> 00:59:27.533]  We've got to counter that and become involved again in the lives of those around us and have our own true communities.
[00:59:27.573 --> 00:59:29.974]  It doesn't matter if there's only five of you in a community.
[00:59:30.294 --> 00:59:33.476]  Even if you live in a town or a city, that's your own little community.
[00:59:33.776 --> 00:59:35.336]  We all have something in common.
[00:59:35.536 --> 00:59:42.319]  What it really is, is gaining knowledge for your own and others' self-preservation and survival into the future.
[00:59:42.699 --> 00:59:47.764]  These video interviews have all been exclusive, and they're going to be archived at PrisonPlanet.tv.
[00:59:48.004 --> 00:59:51.747]  Please download them, burn them to disk, and give them to everyone you know.
[00:59:52.248 --> 00:59:53.369]  Upload them to YouTube.
[00:59:53.689 --> 00:59:58.093]  This information is vital, not just to our free republic, but to the future of free humanity.
