[00:00:02.349 --> 00:00:03.490]  This perfect storm.
[00:23:07.207 --> 00:23:10.630]  And then I'll come back next segment and get into the unbelievable pedophile news.
[00:23:11.571 --> 00:23:19.252]  That's just out in the open as the world awakens to the real currency that the Democratic Party and their controllers are involved in, and that's the innocence and essence of our children.
[00:23:19.773 --> 00:23:21.473]  So that is all coming up next segment.
[00:23:21.493 --> 00:23:24.293]  It'll be a very powerful special report, so you'll want to stay with us.
[00:23:25.093 --> 00:23:28.954]  And then Roger Stone is going to be joining us.
[00:23:29.014 --> 00:23:38.576]  You know, I was going to air these cops being shot in cold blood, and I was going to air people coming to the hospital, trying to kill them inside, saying they hope they die, but maybe we just shouldn't give people attention like that.
[00:23:39.465 --> 00:23:40.565]  Maybe I shouldn't play those clips.
[00:23:40.865 --> 00:23:46.007]  Those clips are on InfoWars.com and NewsWars.com if you want to go look at them.
[00:23:46.507 --> 00:23:48.768]  But I'm not going to subject people to this, I guess.
[00:23:49.949 --> 00:23:51.009]  Maybe that's not what God wants.
[00:23:51.669 --> 00:23:55.651]  Because... Maybe people should see all this.
[00:23:55.731 --> 00:24:00.492]  It's kind of like not wanting you to see the horrible pedophile stuff.
[00:24:00.512 --> 00:24:01.192]  I don't want to show that.
[00:24:01.212 --> 00:24:04.053]  But at the same time, we do need to expose it, don't we?
[00:24:04.073 --> 00:24:05.034]  Let me think about that.
[00:24:05.994 --> 00:24:07.275]  Let me think about that a little bit.
[00:24:07.895 --> 00:24:08.055]  But...
[00:24:10.694 --> 00:24:16.675]  This is intentional, the shutdown of our dams, our industry, our energy sectors, our families, our culture.
[00:24:17.776 --> 00:24:19.696]  All of this is the admitted plan to bring the United States down.
[00:24:19.736 --> 00:24:22.297]  That's how we're being conquered is from without by the globalists.
[00:24:22.317 --> 00:24:23.637]  They're making their move right now.
[00:24:24.537 --> 00:24:36.560]  And this country's burning in all the blue cities and blue states because they have paid rioters doing it, paid criminals doing it, and they also have not let anybody cut fire breaks.
[00:24:37.699 --> 00:24:38.440]  I'll explain it again.
[00:24:38.780 --> 00:24:41.201]  Just type in firebreak and click images on any search engine.
[00:24:41.582 --> 00:24:47.466]  You'll see what firebreaks do and how fires will burn right up to a road and stop right after a firebreak and stop.
[00:24:47.846 --> 00:24:49.867]  Firebreaks aren't allowed in these western areas.
[00:24:51.248 --> 00:24:58.393]  You know, we've got a ranch in East Texas and the state came through in the 50s and said we're cutting a firebreak through here.
[00:24:59.073 --> 00:24:59.674]  Imminent domain.
[00:24:59.714 --> 00:25:05.418]  We said please and it makes a nice area through the forested area and they come through with a big old
[00:25:07.540 --> 00:25:12.886]  Brush cutters, you know, every five, six years and they go back through there and they cut them with these big tractors.
[00:25:13.888 --> 00:25:16.611]  And it's good to have, you know, access on our land and good to have them do that.
[00:25:16.651 --> 00:25:19.754]  But that's why you don't have this type of stuff going on in Texas, ladies and gentlemen.
[00:25:20.435 --> 00:25:21.997]  TV viewers should see the examples of this.
[00:25:22.017 --> 00:25:24.280]  Here's part of what Tucker Carlson had to say about it Friday night.
[00:25:30.742 --> 00:25:32.823]  Good evening and welcome to Tucker Carlson Tonight.
[00:25:33.163 --> 00:25:39.106]  Massive wildfires, unprecedented in their scope, continue to sweep across huge portions of the West tonight.
[00:25:39.747 --> 00:25:43.669]  In Oregon, half a million residents have been forced to evacuate their homes.
[00:25:44.089 --> 00:25:46.570]  That's one of every ten people in the entire state.
[00:25:47.090 --> 00:25:49.211]  Dozens are dead, including small children.
[00:25:49.652 --> 00:25:51.873]  But the fires still are not close to contained.
[00:25:52.313 --> 00:25:54.194]  Watch this report from Fox's Jeff Paul.
[00:25:55.523 --> 00:26:03.520]  Months of tinder dry conditions added to days of high winds and hot temperatures, creating a perfect firestorm across the West.
[00:26:04.349 --> 00:26:12.816]  California is one of the hardest hit, with a record-breaking 3 billion acres burned and nearly 4,000 homes and buildings lost so far.
[00:26:13.276 --> 00:26:16.859]  A 12-year-old boy and his grandmother are among the latest deaths.
[00:26:17.519 --> 00:26:22.023]  The flames are spreading so fast, it really doesn't give people much time to get out.
[00:26:22.163 --> 00:26:31.390]  The fire is also taking a toll in Washington State, where more than 100 homes are gone, and a one-year-old boy died as his family tried to flee the flames.
[00:26:31.790 --> 00:26:37.454]  And in Oregon, more than 35 fires are burning, with at least five small towns destroyed.
[00:26:37.774 --> 00:26:40.456]  Resources across the West are stretched thin.
[00:26:42.105 --> 00:26:44.847]  It is awful, and it continues as we speak right now.
[00:26:44.927 --> 00:26:47.308]  Walls of flame consuming everything in their path.
[00:26:47.388 --> 00:26:52.932]  Homes, thousands and thousands, untold numbers of animals, and of course as we said, human beings too.
[00:26:53.452 --> 00:26:55.453]  It is tragedy on a massive scale.
[00:26:55.954 --> 00:26:59.736]  When something this terrible happens, decent people pause.
[00:27:00.176 --> 00:27:02.478]  They put their own interests aside for a moment.
[00:27:02.518 --> 00:27:04.179]  They consider how they can help.
[00:27:04.799 --> 00:27:07.361]  We've seen that kind of selflessness before in this country.
[00:27:07.401 --> 00:27:09.362]  This is, remember, the anniversary of 9-11.
[00:27:10.723 --> 00:27:14.647]  But there are others for whom altruism is an unknown concept.
[00:27:14.687 --> 00:27:15.908]  Self-interest is all they know.
[00:27:16.389 --> 00:27:17.650]  These people do not pause.
[00:27:17.670 --> 00:27:18.231]  They never do.
[00:27:18.351 --> 00:27:22.595]  They relentlessly press forward for any advantage under any circumstances.
[00:27:22.915 --> 00:27:26.099]  They see human suffering as a means to increase their personal power.
[00:27:26.639 --> 00:27:31.984]  These are the people who turn funerals into political rallies and feel no shame for doing it.
[00:27:32.725 --> 00:27:36.328]  As Americans burned to death, people like this swung into action immediately.
[00:27:36.728 --> 00:27:39.290]  They went on television with a partisan talking point.
[00:27:39.850 --> 00:27:42.992]  Climate change, they said, caused these fires.
[00:27:43.653 --> 00:27:45.994]  They didn't explain how exactly that happened.
[00:27:46.334 --> 00:27:47.335]  How did climate change do that?
[00:27:47.355 --> 00:27:49.336]  They didn't tell us, but they just kept saying it.
[00:27:50.277 --> 00:27:54.679]  In the hands of democratic politicians, climate change is like systemic racism in the sky.
[00:27:55.119 --> 00:27:59.001]  You can't see it, but rest assured it's everywhere, and it's deadly.
[00:27:59.501 --> 00:28:01.963]  And like systemic racism, it is your fault.
[00:28:02.403 --> 00:28:04.104]  The American middle class did it.
[00:28:04.384 --> 00:28:05.564]  They caused climate change.
[00:28:05.985 --> 00:28:07.025]  They ate too many hamburgers.
[00:28:07.065 --> 00:28:08.526]  They drove too many SUVs.
[00:28:08.906 --> 00:28:10.066]  They had too many children.
[00:28:10.387 --> 00:28:14.809]  A lot of them wear t-shirts to work and didn't finish college, and that causes climate change too.
[00:28:15.785 --> 00:28:19.268]  And worst of all, some of them may vote for Donald Trump in November.
[00:28:19.788 --> 00:28:30.117]  And if there's anything that absolutely, definitively causes climate change, and literally over 100% of scientists agree with this established fact, it is voting for Donald Trump.
[00:28:30.237 --> 00:28:32.399]  You might as well start a tire fire in your yard.
[00:28:33.500 --> 00:28:35.781]  Joe Biden has checked the science and he agrees with this.
[00:28:36.607 --> 00:28:46.489]  Yesterday, the people on Biden's staff who understand the internet tweeted out an image of the wildfires, along with this message, quote, So once again, by voting for Donald Trump, you are causing climate change, which causes devastating fires.
[00:28:46.509 --> 00:28:50.010]  You, by your vote, have made hundreds of thousands of Oregonians homeless tonight.
[00:28:50.050 --> 00:28:51.030]  You've murdered people.
[00:29:06.274 --> 00:29:14.817]  Joe Biden's closest friend in the world, a prominent kite surfer on Martha's Vineyard called Barack Obama, echoed that message with his trademark restraint.
[00:29:15.477 --> 00:29:19.219]  Obama declared that your life depends on voting for Joe Biden.
[00:29:20.559 --> 00:29:21.820]  Hold on a minute, you might ask.
[00:29:22.580 --> 00:29:29.083]  Doesn't this very same Barack Obama own a $12 million spread right on the ocean in Massachusetts?
[00:29:29.843 --> 00:29:35.265]  At a time when sea levels are rising so fast, we're about to see killer whales in the Rockies.
[00:29:36.203 --> 00:29:37.243]  Well, that doesn't make sense.
[00:29:37.904 --> 00:29:41.465]  It doesn't seem like Barack Obama could be very concerned about climate change.
[00:29:42.285 --> 00:29:44.226]  And by the way, didn't Obama go to law school?
[00:29:44.706 --> 00:29:46.067]  When did he become a scientist?
[00:29:47.027 --> 00:29:48.508]  Those seem like reasonable questions.
[00:29:49.088 --> 00:29:54.310]  On the other hand, lawyers pretending to be scientists are now everywhere in the Democratic Party.
[00:29:54.671 --> 00:29:57.112]  Here, for example, is the governor of Washington State, Jay Inslee.
[00:29:57.552 --> 00:30:01.073]  Inslee's a proud graduate of Willamette University Law School.
[00:30:01.513 --> 00:30:04.555]  He's explaining that he's already figured out the cause of the fires.
[00:30:04.975 --> 00:30:05.195]  Watch.
[00:30:06.451 --> 00:30:10.672]  These are conditions that are exacerbated by the changing climate that we are suffering.
[00:30:11.773 --> 00:30:21.655]  And I do not believe that we should surrender these subdivisions or these houses to climate change exacerbated fires.
[00:30:21.695 --> 00:30:24.136]  We should fight the cause of these fires.
[00:30:25.857 --> 00:30:31.158]  So I mismanaged my state, now it's on fire, you're required to give me more power.
[00:30:32.098 --> 00:30:32.339]  Right.
[00:30:32.519 --> 00:30:33.459]  You see how that works.
[00:30:34.295 --> 00:30:37.357]  But as a factual matter, this is a crock.
[00:30:37.978 --> 00:30:47.845]  There is not a single scientist on Earth who knows whether or by how much these fires may have been, quote, exacerbated by warmer temperatures caused by climate change.
[00:30:48.843 --> 00:30:55.526]  All we have is conjecture from a handful of scientists and many politicians, none of whom has reached a definitive conclusion.
[00:30:55.586 --> 00:31:04.470]  Daniel Swain, for example, he's a climate scientist at UCLA, conceded recently that it's, quote, hard to determine whether climate change played a role in sparking the fires.
[00:31:05.451 --> 00:31:05.771]  Okay.
[00:31:06.571 --> 00:31:07.892]  That's what science is.
[00:31:08.372 --> 00:31:09.112]  It's gradual.
[00:31:09.492 --> 00:31:10.233]  It's incremental.
[00:31:10.473 --> 00:31:11.373]  Often it's tentative.
[00:31:11.393 --> 00:31:13.094]  We don't say things we don't know for certain.
[00:31:13.894 --> 00:31:15.095]  It's the opposite of politics.
[00:31:15.845 --> 00:31:16.446]  They have nothing.
[00:31:16.486 --> 00:31:21.613]  Alright, the full Tucker Carlson report is on InfoWars.com and NewsWars.com, but I wanted to play that.
[00:31:22.654 --> 00:31:24.236]  Let's go further and give you the rest of the story.
[00:31:25.958 --> 00:31:29.503]  California is famous for having fires.
[00:31:29.844 --> 00:31:32.767]  When people went out there for the gold rush, they would have lightning strikes and big fires.
[00:31:33.780 --> 00:31:48.630]  But the difference is, lightning would then burn its own firebreaks, and large areas would be allowed to burn down, so there was fires later, there would be natural firebreaks from where previous fires had happened, and you'd have a random patchwork of where forest wasn't, and where forest was, from previous wildfires.
[00:31:48.910 --> 00:31:51.312]  Wildfires are part of the carbon cycle on this planet.
[00:31:52.692 --> 00:32:01.638]  You've got these mask-wearing fraudsters that gave you the COVID shenanigans, up there now telling you there's not enough electricity, we have to not have electricity because of
[00:32:03.137 --> 00:32:04.498]  Climate change and all the rest of this.
[00:32:05.078 --> 00:32:09.420]  And now that's climate change's fault when really they're just ripping you off and running scams and mismanaging.
[00:32:09.640 --> 00:32:11.760]  And now they won't cut fire breaks, so that's your fault.
[00:32:12.061 --> 00:32:21.584]  And then Facebook censoring everybody, including local TV stations and police departments that have arrested dozens of arsonists who videotaped themselves in many cases setting the very damn fires.
[00:32:22.145 --> 00:32:27.567]  But oh no, it's climate change, so Big Tech won't let you know it's arsonists that wait for it to get dry with high winds.
[00:32:29.209 --> 00:32:34.631]  Welcome back, I'm your host Alex Jones, broadcasting live on this Sunday edition, and I'll just be completely honest with the listeners.
[00:32:36.511 --> 00:32:39.872]  I almost could not do this show today, and I don't do that to be dramatic.
[00:32:40.532 --> 00:32:42.533]  I never choked 26 years on air.
[00:32:44.613 --> 00:32:57.797]  And I'm not choking now, it's just that I study this stuff so much, that by the time I get up here, after probably doing, let's not exaggerate, six hours of research today,
[00:32:59.264 --> 00:33:01.365]  That I am so angry at these people.
[00:33:01.425 --> 00:33:02.305]  It's beyond angry.
[00:33:02.645 --> 00:33:04.646]  I can't believe this is all going on.
[00:33:05.527 --> 00:33:06.507]  I know this is a war.
[00:33:06.607 --> 00:33:07.467]  I know it's an assault.
[00:33:07.587 --> 00:33:11.869]  I know it's 21st century war where they can't militarily attack us front on.
[00:33:12.289 --> 00:33:20.193]  So this international crime syndicate, the globalists, are doing it through the culture, through the corruption, through the people they've manipulated, through their economic power.
[00:33:20.573 --> 00:33:21.673]  But it's so obvious.
[00:33:21.773 --> 00:33:22.814]  It's so admitted.
[00:33:22.894 --> 00:33:24.034]  It's so ridiculous.
[00:33:24.734 --> 00:33:25.755]  It's just mind-blowing.
[00:33:27.346 --> 00:33:37.971]  So let me just hit this and then I'll hit the... At least six cops in the last two days got executed in the United States.
[00:33:39.652 --> 00:33:40.792]  And we'll never even know their names.
[00:33:40.852 --> 00:33:41.773]  It's a minor footnote.
[00:33:42.613 --> 00:33:45.215]  Two more got shot in Los Angeles and are fighting for their lives.
[00:33:46.255 --> 00:33:49.777]  And I got up early this morning at like 4 a.m.
[00:33:49.797 --> 00:33:51.938]  because I can't sleep now because of this.
[00:33:52.955 --> 00:34:09.544]  And I went on Infowars.com and I saw the articles about the cops getting shot, and then I clicked on Paul Watson's Twitter, and it was these people coming to the hospital saying, we hope the cops die, and just acting like complete maniacs.
[00:34:09.664 --> 00:34:13.426]  And I didn't hate them because they were black people, because there's a bunch of white people acting just like them.
[00:34:13.926 --> 00:34:15.627]  I hated them because they're so stupid!
[00:34:16.724 --> 00:34:23.948]  You might get 14 black guys killed wrongfully a year by police, and a few hundred black guys shot by police a year.
[00:34:25.569 --> 00:34:28.511]  You're twice as likely to be shot if you're white per capita.
[00:34:30.672 --> 00:34:38.577]  It's not just there's more white people, if you're a white man, you're twice as likely to be shot by the police, because the police aren't scared to shoot you if you pull a gun on them.
[00:34:38.597 --> 00:34:44.301]  And cops aren't perfect, there's certainly some bad ones, but I'm watching these black dudes with BLM go to the hospital,
[00:34:45.933 --> 00:34:50.836]  And there's like hours of this footage, daring cops to shoot him, screaming, hoping the police die.
[00:34:53.277 --> 00:34:57.139]  Because they think there's an epidemic of black people being killed by police.
[00:34:57.579 --> 00:35:01.681]  This is mind control, ladies and gentlemen.
[00:35:03.562 --> 00:35:06.164]  Because the media creates the perception
[00:35:08.131 --> 00:35:15.113]  That there is a record number of black people being killed by police, because there's 370 million people in this country.
[00:35:15.133 --> 00:35:15.853]  330 million citizens.
[00:35:16.633 --> 00:35:21.835]  And if you want to show every time a black dude gets shot, you can see it almost every day!
[00:35:21.855 --> 00:35:26.696]  And most of the time, the black dude pulls a gun and shoots themselves, the cops get blamed.
[00:35:27.016 --> 00:35:29.837]  Or he pulls a gun on the cops, it's black cops, the cops get blamed.
[00:35:30.397 --> 00:35:36.079]  And I'm against the police when they're following legal orders, beating up people because they're not wearing a mask, whether they're black or white.
[00:35:37.335 --> 00:35:38.636]  I'm all about going after bad cops.
[00:35:38.996 --> 00:35:40.397]  I'm all about going after the police state.
[00:35:41.118 --> 00:35:58.070]  But the police state's the globalist, hyping up a bunch of dumb people, black and white, to go out and to shoot cops in the head for no reason, or just random white people pull into BLM checkpoints, or Antifa checkpoints.
[00:35:58.090 --> 00:35:59.171]  They just shoot you in the head.
[00:35:59.531 --> 00:36:03.874]  And when they shoot some old white dude in the head because he didn't stop, it's on the local news and that's it.
[00:36:05.120 --> 00:36:10.887]  You see white people when they see a crowd of Antifa or black folks killing an innocent white person?
[00:36:11.247 --> 00:36:13.189]  Freaking out and going and killing a bunch of white people?
[00:36:15.252 --> 00:36:16.293]  But I'll tell you what's going on.
[00:36:18.636 --> 00:36:21.539]  They're trying to get crazy white people to go out and kill a bunch of black people.
[00:36:22.100 --> 00:36:24.603]  So you'll see a black church get shot up or something, God forbid.
[00:36:25.745 --> 00:36:30.086]  And then they're going to trigger the real race war, ladies and gentlemen, and that's all this is.
[00:36:30.646 --> 00:36:33.207]  And the average black person, the average white person sees through it.
[00:36:33.227 --> 00:36:52.313]  But when the left and the corporate media are pushing this and saying there's an epidemic of black men being killed by police, to where you see every day a black guy goes into an auto parts store, goes into a shop, and just kills a random white dude, or stabs a random white dude, or shoots him, because they go, well, I gotta get even, because they're killing all of us.
[00:36:52.713 --> 00:36:55.394]  That's the public... It's just like...
[00:36:56.530 --> 00:36:59.831]  You have a .000 something chance of dying of COVID now.
[00:37:00.011 --> 00:37:02.191]  They keep downgrading it, downgrading it, downgrading it.
[00:37:02.731 --> 00:37:07.272]  It does kill people on a blue moon if you're really sick and have three, you know, comorbidities.
[00:37:07.993 --> 00:37:11.273]  So it's not a total hoax, but you know, it's not like an Easter Bunny doesn't exist.
[00:37:11.333 --> 00:37:14.554]  I mean, it's kind of like a duck-billed platypus.
[00:37:14.574 --> 00:37:16.775]  There are a couple of them, but there's almost, they're super rare.
[00:37:16.795 --> 00:37:18.295]  It's like a white rot rhino.
[00:37:18.375 --> 00:37:21.296]  I mean, they exist, but they'll soon be in unicorn land.
[00:37:21.316 --> 00:37:22.116]  They won't exist soon.
[00:37:22.936 --> 00:37:23.136]  You know.
[00:37:24.847 --> 00:37:26.088]  It's like people with two heads.
[00:37:26.168 --> 00:37:27.409]  They do exist, there's not a lot of them.
[00:37:29.110 --> 00:37:30.650]  So, there is COVID.
[00:37:31.511 --> 00:37:33.612]  But man, you go around everywhere, people think it's real.
[00:37:33.652 --> 00:37:36.174]  You tell them, hey, statistically, they go, I know somebody died!
[00:37:36.854 --> 00:37:38.115]  And I go, how old were they?
[00:37:38.135 --> 00:37:39.075]  87 with cancer!
[00:37:40.116 --> 00:37:41.937]  Well, you know, they put that on the death certificate.
[00:37:42.037 --> 00:37:42.437]  Shut up!
[00:37:42.497 --> 00:37:43.418]  You don't know what you're talking about.
[00:37:44.238 --> 00:37:44.799]  It's the same thing.
[00:37:45.079 --> 00:37:47.300]  Hey, I've been at these Black Lives Matter protests.
[00:37:47.320 --> 00:37:48.461]  Sylvana Hernandez has been attacked.
[00:37:48.661 --> 00:37:51.923]  She's like, statistically, you're more likely to drown than be killed by a cop.
[00:37:52.223 --> 00:37:53.744]  Shut up, white supremacists!
[00:37:55.327 --> 00:38:01.392]  It's the invincible level of the ignorance that is staggering.
[00:38:03.053 --> 00:38:04.754]  And so, two L.A.
[00:38:04.794 --> 00:38:10.498]  County deputies fighting for their lives after ambush shooting, search for suspect underway.
[00:38:10.558 --> 00:38:12.840]  They said it was a black man, a man with dark skin.
[00:38:13.140 --> 00:38:17.744]  Video shows two deputies ambushed, shot while inside patrol vehicle in Compton.
[00:38:21.513 --> 00:38:25.700]  Two LA Sheriff's deputies, again, were taken to the hospital.
[00:38:26.971 --> 00:38:32.375]  For gunshot wounds, BLM responds by rushing to the scene, we hope they die.
[00:38:32.735 --> 00:38:39.000]  Protestors gather outside hospital, treating two California deputies in critical condition.
[00:38:39.020 --> 00:38:44.865]  And then they come over to the cops, saying we hope you die, we hope they die, we're gonna kill you.
[00:38:44.885 --> 00:38:49.989]  And then when the cops walk out with their hands on their guns, they go, what the hell are you doing?
[00:38:50.009 --> 00:38:50.949]  You're abusing me!
[00:38:51.750 --> 00:38:59.984]  It's like when you run out and jump on somebody's car, they try to go around you, you try to pull them out of the car, and they get out and beat your ass, and then you squeal and yell for the police!
[00:39:00.986 --> 00:39:03.029]  This is mental illness.
[00:39:03.971 --> 00:39:05.514]  This is brainwashing.
[00:39:06.920 --> 00:39:10.582]  This is people that literally believe that they're actually under attack when they're not.
[00:39:10.942 --> 00:39:12.303]  Look, I got a bunch of other cops that are dead.
[00:39:12.583 --> 00:39:15.145]  Rest in peace Henderson County Sheriff's Deputy Ryan Hendricks.
[00:39:15.805 --> 00:39:18.107]  Shot and killed in cold blood, investigating a vehicle break-in.
[00:39:18.327 --> 00:39:25.711]  I got all these stacks here of just dead cops executed, but nobody cares about them, and it's not about kissing the police's ass.
[00:39:26.612 --> 00:39:28.913]  It's about kissing the ass of reality, ladies and gentlemen.
[00:39:29.634 --> 00:39:31.575]  That it's rare to be killed by the cops.
[00:39:31.615 --> 00:39:32.175]  Does it happen?
[00:39:32.195 --> 00:39:32.415]  Yes.
[00:39:32.756 --> 00:39:33.716]  Are the cops sometimes wrong?
[00:39:33.856 --> 00:39:34.417]  Absolutely.
[00:39:35.197 --> 00:39:36.478]  And they face prison when they do.
[00:39:36.678 --> 00:39:37.358]  Who wants that job?
[00:39:37.658 --> 00:39:44.843]  But in this case, let's go ahead, I already showed you the surveillance video of the person walking up and shooting the police and running off.
[00:39:46.764 --> 00:39:50.466]  This is happening every day in America, all because they were police, all because they were white.
[00:39:50.966 --> 00:39:52.327]  These people shoot black cops too.
[00:39:52.727 --> 00:39:54.148]  Remember this happened last election cycle.
[00:39:55.367 --> 00:39:55.828]  2016-2018.
[00:39:55.868 --> 00:39:58.253]  Soros turns it on.
[00:39:58.593 --> 00:39:59.996]  So, let's just play the clips.
[00:40:00.056 --> 00:40:01.639]  Clips 2, 3, and 4, just back-to-back.
[00:40:02.000 --> 00:40:06.589]  This is at the hospital, with the deputies fighting for their lives, and then these people show up.
[00:40:06.609 --> 00:40:06.929]  Here it is.
[00:40:15.106 --> 00:40:25.171]  These pigs out here, they are telling us that we cannot come in here and see these individuals who have been shot down at the mother f***ing train station.
[00:40:25.531 --> 00:40:27.032]  You understand what I'm saying?
[00:40:27.112 --> 00:40:28.893]  There's no visitation allowed, sir.
[00:40:28.953 --> 00:40:29.113]  What?
[00:40:29.133 --> 00:40:31.895]  There's no visitation allowed, sir.
[00:40:31.915 --> 00:40:32.055]  Okay.
[00:40:32.075 --> 00:40:34.016]  This is a public hospital right here.
[00:40:34.056 --> 00:40:34.776]  No, it's not.
[00:40:34.856 --> 00:40:36.017]  We're here to see the cops.
[00:40:38.185 --> 00:40:39.708]  It's a private hospital, sir.
[00:40:39.788 --> 00:40:40.650]  It's a public.
[00:40:40.851 --> 00:40:41.913]  No, it's not.
[00:40:42.053 --> 00:40:42.915]  It's not county.
[00:40:42.975 --> 00:40:44.218]  It's private.
[00:40:44.859 --> 00:40:45.561]  You need to go.
[00:40:45.721 --> 00:40:46.563]  It's public.
[00:40:46.643 --> 00:40:48.667]  Black Lives Matter demanding to be in the hospital.
[00:40:50.154 --> 00:40:52.696]  These are only phones.
[00:40:52.977 --> 00:40:54.398]  They're not guns.
[00:40:54.438 --> 00:40:55.919]  Put that s*** down you punk b****.
[00:40:55.939 --> 00:40:56.720]  Put it down!
[00:40:56.980 --> 00:40:59.682]  That's why you're a f****** dying one by one!
[00:40:59.702 --> 00:41:00.924]  Put that s*** down!
[00:41:00.944 --> 00:41:03.466]  You're next with the f****** out-of-pocket b****!
[00:41:03.526 --> 00:41:04.026]  They're next!
[00:41:13.515 --> 00:41:19.739]  I mean, obviously, if you show up saying, I hope they die, at the hospital where they're fighting for their lives, people know you're crazy.
[00:41:20.039 --> 00:41:21.180]  So the cops are going to have their guns out.
[00:41:22.020 --> 00:41:24.822]  Yeah, that's when you feel big and bad, huh?
[00:41:24.842 --> 00:41:26.804]  Take that shit off!
[00:41:26.984 --> 00:41:27.944]  Take that shit off!
[00:41:28.025 --> 00:41:28.945]  Take it off!
[00:41:29.986 --> 00:41:33.228]  And they go on for like 30 minutes saying, we're going to kill you, you're going to die.
[00:41:33.248 --> 00:41:35.630]  You're going to die one by one.
[00:41:35.650 --> 00:41:40.093]  There's a lot of motherfuckers coming down here.
[00:41:40.133 --> 00:41:41.654]  Motherfuckers trying to break motherfuckers.
[00:41:42.766 --> 00:41:45.487]  Meanwhile, 2,000 black males die a year in Chicago.
[00:41:45.507 --> 00:41:52.309]  97% killed by other black males.
[00:41:52.389 --> 00:41:54.970]  The rarest way for a black man to die is by a cop.
[00:41:55.870 --> 00:41:57.471]  The most common way is by another black man.
[00:41:58.691 --> 00:41:59.431]  Or in the womb.
[00:41:59.471 --> 00:42:00.592]  But these people don't care about that.
[00:42:01.352 --> 00:42:03.813]  They've been told by the media, the cops are the enemy, and they actually believe it.
[00:42:04.153 --> 00:42:04.893]  They believe the news.
[00:42:10.274 --> 00:42:11.534]  And folks, there's so many of these videos.
[00:42:11.574 --> 00:42:12.995]  I literally watched an hour of it this morning.
[00:42:13.015 --> 00:42:15.915]  I mean, the crew, I just randomly sent a bunch of links.
[00:42:15.935 --> 00:42:16.955]  This isn't even the bad stuff.
[00:42:20.376 --> 00:42:22.436]  They say, you're gonna die, we're gonna kill you one by one.
[00:42:22.456 --> 00:42:24.637]  And then they wonder why the cops have guns.
[00:42:25.777 --> 00:42:30.318]  Now they're saying they hope that they die.
[00:42:36.812 --> 00:42:38.713]  Again, ladies and gentlemen, this is all George Soros.
[00:42:39.053 --> 00:42:40.214]  Why is he not arrested?
[00:42:40.854 --> 00:42:44.636]  Now they admit that Mueller's people destroyed 30-plus phones with evidence of criminal activity.
[00:42:44.816 --> 00:42:45.597]  Why aren't they arrested?
[00:42:45.637 --> 00:42:48.338]  That's why they're doing this, because it's a criminal takeover.
[00:42:48.378 --> 00:42:51.259]  It's a criminal move on civilization and society.
[00:42:52.080 --> 00:42:54.401]  Absolutely no self-awareness.
[00:42:54.761 --> 00:42:59.103]  You go to a hospital where people have been shot for no reason, fighting for their lives, saying you hope they die.
[00:42:59.123 --> 00:43:01.425]  We'll be back with our number two, Roger Stone.
[00:43:01.445 --> 00:43:01.825]  Stay with us.
[00:43:04.619 --> 00:43:05.780]  This perfect storm.
[00:43:06.280 --> 00:43:08.841]  The debate is over around climate change.
[00:43:09.422 --> 00:43:11.823]  Just come to the state of California.
[00:43:12.383 --> 00:43:13.924]  Observe it with your own eyes.
[00:43:14.004 --> 00:43:15.125]  It's not an intellectual debate.
[00:43:15.145 --> 00:43:16.005]  Look how happy he is.
[00:43:16.025 --> 00:43:17.126]  Look at that monster.
[00:43:17.466 --> 00:43:20.508]  The debate is over around climate change.
[00:43:21.628 --> 00:43:26.951]  California's rogue governor says the fires are due to climate change.
[00:43:27.712 --> 00:43:33.075]  But anyone with a modicum of awareness knows that this is an outrageous lie.
[00:43:34.344 --> 00:43:37.726]  We know exactly what causes the California wildfire.
[00:43:38.326 --> 00:43:42.688]  It is the result of two factors, dry seasons and people.
[00:43:43.529 --> 00:43:51.953]  Official state records have only been kept since the 1950s, and 2020 has been the most destructive season on record.
[00:43:52.813 --> 00:43:59.217]  But this isn't a new phenomenon, and the fires of the past were more destructive than the modern era.
[00:44:00.397 --> 00:44:14.721]  Through studies of tree rings and other natural evidence, researchers have documented multiple droughts in California during the past thousand years, including one that began in the year 850, which lasted two and a half centuries.
[00:44:15.821 --> 00:44:26.084]  Before European settlers arrived in California, indigenous peoples used controlled burns to manage the dry season and to increase and improve their harvest.
[00:44:26.844 --> 00:44:31.650]  It is estimated they would burn 4.4 million acres of forest each year.
[00:44:32.531 --> 00:44:33.953]  And that is twice as much as 2020.
[00:44:35.613 --> 00:44:40.919]  Studies have shown that 97% of all forest fires are caused by humans.
[00:44:41.619 --> 00:44:46.084]  Smoking, campfires, and other accidents have always been a problem.
[00:44:46.784 --> 00:44:52.730]  Experts blame the recent wildfires on fire suppression and an overabundance of wood fuel.
[00:44:53.511 --> 00:44:58.676]  One of the reasons why the indigenous people burned so much forest was to keep this under control.
[00:45:00.117 --> 00:45:03.579]  Aside from human accidents, there is also arson.
[00:45:04.319 --> 00:45:06.681]  And we have seen plenty of arson in 2020.
[00:45:08.221 --> 00:45:09.442]  It's been sort of the theme.
[00:45:09.782 --> 00:45:15.965]  If this country doesn't give us what we want, then we will burn down this system and replace it.
[00:45:16.606 --> 00:45:20.788]  Several people have been arrested for starting fires along the entire West Coast.
