[00:00:00.552 --> 00:00:28.032]  We beseech the governor to think about his family and their future, and all of our family's futures, and to do the right thing, and to do what the Republican legislature already says they want, and call that new emergency session, and so we can expose the total fraud that we've already been discovering, and stop our birthright being stolen by the Communist Chinese agent Joe Biden and the Democratic Party!
[00:13:28.841 --> 00:13:29.041]  Every day!
[00:13:29.061 --> 00:13:29.321]  Every day!
[00:13:29.341 --> 00:13:29.542]  Every day!
[00:13:29.562 --> 00:13:29.742]  Every day!
[00:13:29.762 --> 00:13:29.942]  Every day!
[00:13:29.962 --> 00:13:30.142]  Every day!
[00:13:30.162 --> 00:13:30.622]  Every day!
[00:13:30.642 --> 00:13:30.822]  Every day!
[00:13:30.842 --> 00:13:31.102]  Every day!
[00:13:31.122 --> 00:13:31.322]  Every day!
[00:13:31.342 --> 00:13:31.522]  Every day!
[00:13:31.542 --> 00:13:32.143]  Every day!
[00:13:32.163 --> 00:13:32.363]  Every day!
[00:13:32.383 --> 00:13:32.563]  Every day!
[00:13:32.583 --> 00:13:32.763]  Every day!
[00:13:32.783 --> 00:13:32.963]  Every day!
[00:13:32.983 --> 00:13:33.583]  Every day!
[00:13:33.603 --> 00:13:33.803]  Every day!
[00:13:33.823 --> 00:13:34.003]  Every day!
[00:13:34.023 --> 00:13:34.223]  Every day!
[00:13:34.243 --> 00:13:34.503]  Every day!
[00:13:34.824 --> 00:13:35.024]  Every day!
[00:13:35.044 --> 00:13:35.224]  Every day!
[00:13:35.244 --> 00:13:35.444]  Every day!
[00:13:35.464 --> 00:13:35.664]  Every day!
[00:13:35.684 --> 00:13:35.864]  Every day!
[00:13:36.184 --> 00:13:36.384]  Every day!
[00:13:36.404 --> 00:13:36.584]  Every day!
[00:13:36.604 --> 00:13:36.784]  Every day!
[00:13:36.804 --> 00:13:37.004]  Every day!
[00:13:37.024 --> 00:13:37.205]  Every day!
[00:13:37.465 --> 00:13:37.645]  Every day!
[00:13:37.665 --> 00:13:37.845]  Every day!
[00:13:37.865 --> 00:13:38.045]  Every day!
[00:13:38.065 --> 00:13:38.245]  Every day!
[00:13:38.265 --> 00:13:38.445]  Every day!
[00:13:38.465 --> 00:13:38.985]  Every day!
[00:13:39.005 --> 00:13:39.185]  Every day!
[00:13:39.205 --> 00:13:39.385]  Every day!
[00:13:39.405 --> 00:13:39.605]  Every day!
[00:13:39.625 --> 00:13:39.866]  Every day!
[00:13:39.886 --> 00:13:40.386]  Every day!
[00:13:40.406 --> 00:13:40.586]  Every day!
[00:13:40.606 --> 00:13:40.806]  Every day!
[00:13:40.826 --> 00:13:41.066]  Every day!
[00:13:41.086 --> 00:13:41.546]  Every day!
[00:13:41.566 --> 00:13:41.746]  Every day!
[00:13:41.786 --> 00:13:41.966]  Every day!
[00:13:41.986 --> 00:13:42.166]  Every day!
[00:13:42.186 --> 00:13:42.366]  Every day!
[00:13:42.386 --> 00:13:43.127]  Every day!
[00:13:43.147 --> 00:13:43.367]  Every day!
[00:13:43.387 --> 00:13:43.587]  Every day!
[00:13:43.607 --> 00:13:43.807]  Every day!
[00:13:43.827 --> 00:13:44.027]  Every day!
[00:13:44.047 --> 00:13:44.247]  Every day!
[00:13:44.267 --> 00:13:44.467]  Every day!
[00:13:44.487 --> 00:13:44.687]  Every day!
[00:13:44.707 --> 00:13:44.947]  Every day!
[00:13:44.967 --> 00:13:45.148]  Every day!
[00:13:45.168 --> 00:13:46.028]  Every day!
[00:13:46.048 --> 00:13:46.268]  Every day
[00:13:47.634 --> 00:13:49.155]  We're going to act like the left.
[00:13:49.275 --> 00:13:50.996]  We are going to occupy the streets.
[00:13:51.256 --> 00:13:52.356]  We're going to get angry.
[00:13:52.536 --> 00:13:54.657]  We're going to show up without permits.
[00:13:54.837 --> 00:13:58.839]  We're going to show up at their homes, peacefully, but at their homes.
[00:13:59.119 --> 00:13:59.879]  Who's with us?
[00:14:02.881 --> 00:14:10.724]  What you'll need to know is today they found 10,000 votes that were tabulated for Biden erroneously.
[00:14:10.984 --> 00:14:11.765]  Magic, huh?
[00:14:15.393 --> 00:14:20.457]  They don't want us to take the time to slow this election down because they know what we'll catch.
[00:14:20.757 --> 00:14:21.658]  They're terrified.
[00:14:21.998 --> 00:14:26.221]  On Thursday, the Secretary of State is supposed to certify the election.
[00:14:26.502 --> 00:14:27.262]  And guess what?
[00:14:27.522 --> 00:14:28.944]  Bad Brad will.
[00:14:29.364 --> 00:14:32.526]  But Governor Kip is due on Friday at 5pm.
[00:14:32.827 --> 00:14:35.809]  If he doesn't serve, if he doesn't certify the election,
[00:14:36.129 --> 00:14:50.473]  We can go into constitutional limbo, which is what we want, so the state legislator can take back its constitutional duty, take back its constitutional obligation, take back its constitutional right, and choose the electors for the state!
[00:14:54.619 --> 00:14:57.300]  The Republican Party has failed us.
[00:14:57.920 --> 00:14:59.401]  We know there was a fraud.
[00:14:59.801 --> 00:15:01.582]  We saw it on Election Day.
[00:15:01.942 --> 00:15:03.943]  There is no question about it.
[00:15:04.603 --> 00:15:11.346]  And since Election Day, we have heard from our Republican representatives absolutely nothing!
[00:15:12.637 --> 00:15:14.959]  Nikki Haley has said nothing!
[00:15:15.420 --> 00:15:17.902]  Dan Crenshaw has said nothing!
[00:15:18.383 --> 00:15:23.307]  Marco Rubio, in fact, supports Biden stealing this election!
[00:15:26.651 --> 00:15:29.874]  As far as I'm concerned, the Republican Party is over.
[00:15:30.274 --> 00:15:32.476]  This is the party of Trump!
[00:15:32.496 --> 00:15:32.656]  Trump!
[00:15:32.676 --> 00:15:32.817]  Trump!
[00:15:33.778 --> 00:15:34.278]  Trump!
[00:15:34.578 --> 00:15:35.299]  Trump!
[00:15:35.599 --> 00:15:36.160]  Trump!
[00:15:46.596 --> 00:15:48.077]  Yeah!
[00:16:16.496 --> 00:16:19.077]  Alex Jones has been right about everything!
[00:16:47.113 --> 00:16:50.340]  What we're seeing... Alex!
[00:16:50.821 --> 00:16:51.242]  Alex!
[00:16:51.703 --> 00:16:52.104]  Alex!
[00:16:52.605 --> 00:16:52.866]  Alex!
[00:16:58.334 --> 00:17:00.735]  This is not about the fake Republican Party or the fake Democratic Party.
[00:17:00.755 --> 00:17:03.076]  This is about the global special interests versus we, the American people!
[00:17:03.096 --> 00:17:03.516]  We the people!
[00:17:03.536 --> 00:17:04.016]  We the people!
[00:17:04.036 --> 00:17:04.336]  We the people!
[00:17:04.596 --> 00:17:05.096]  We the people!
[00:17:05.437 --> 00:17:05.817]  We the people!
[00:17:05.837 --> 00:17:06.237]  We the people!
[00:17:06.257 --> 00:17:06.597]  We the people!
[00:17:06.617 --> 00:17:07.097]  We the people!
[00:17:07.117 --> 00:17:07.437]  We the people!
[00:17:07.457 --> 00:17:07.857]  We the people!
[00:17:07.877 --> 00:17:08.438]  We the people!
[00:17:08.458 --> 00:17:08.758]  We the people!
[00:17:08.778 --> 00:17:09.158]  We the people!
[00:17:09.178 --> 00:17:09.938]  We the people!
[00:17:09.958 --> 00:17:10.638]  We the people!
[00:17:10.658 --> 00:17:11.019]  We the people!
[00:17:11.039 --> 00:17:11.439]  We the people!
[00:17:11.459 --> 00:17:11.719]  We the people!
[00:17:11.739 --> 00:17:11.999]  We the people!
[00:17:12.019 --> 00:17:12.379]  We the people!
[00:17:12.399 --> 00:17:12.739]  We the people!
[00:17:12.759 --> 00:17:13.079]  We the people!
[00:17:13.099 --> 00:17:13.359]  We the people!
[00:17:13.379 --> 00:17:13.659]  We the people!
[00:17:13.679 --> 00:17:14.140]  We the people!
[00:17:14.160 --> 00:17:14.540]  We the people!
[00:17:14.560 --> 00:17:14.820]  We the people!
[00:17:14.840 --> 00:17:15.120]  We the people!
[00:17:15.140 --> 00:17:15.660]  We the people!
[00:17:15.680 --> 00:17:15.960]  We the people!
[00:17:15.980 --> 00:17:16.260]  We the people!
[00:17:16.280 --> 00:17:16.540]  We the people!
[00:17:16.560 --> 00:17:17.201]  We the people!
[00:17:17.221 --> 00:17:17.501]  We the people!
[00:17:17.521 --> 00:17:18.001]  We the people!
[00:17:18.261 --> 00:17:18.601]  We the people!
[00:17:18.621 --> 00:17:18.901]  We the people!
[00:17:18.921 --> 00:17:19.341]  We the people!
[00:17:19.361 --> 00:17:19.902]  We the people!
[00:17:19.922 --> 00:17:20.262]  We the people!
[00:17:20.282 --> 00:17:20.562]  We the people!
[00:17:20.582 --> 00:17:21.222]  We the people!
[00:17:21.242 --> 00:17:21.582]  We the people!
[00:17:21.602 --> 00:17:21.862]  We the people!
[00:17:21.882 --> 00:17:22.142]  We the people!
[00:17:22.162 --> 00:17:22.463]  We the people!
[00:17:22.483 --> 00:17:22.783]  We the people!
[00:17:22.823 --> 00:17:23.163]  We the people!
[00:17:23.183 --> 00:17:23.483]  We the people!
[00:17:24.083 --> 00:17:37.011]  It was a conspiracy between the Democratic Party and the Deep State and Big Tech and the corrupt city machine politics in every swing state to steal this election.
[00:17:37.572 --> 00:17:44.396]  And if they get away with it this year, they will be able to get away with everything in every future election.
[00:17:48.278 --> 00:17:52.222]  If it does not stop now, it will never stop!
[00:17:52.802 --> 00:18:07.316]  And that is why we must turn out every day in every state capitol and we must occupy these spaces and show them that we the American people will not give up our country without a fight!
[00:18:09.898 --> 00:18:18.144]  Make no mistake, we are fighting for our lives against a multinational globalist consortium, and the stakes could not be higher.
[00:18:18.484 --> 00:18:27.390]  I feel so sorry for leftists, brainwashed to hate their own nation, and love Xi Jinping, and the Washington Post saying they hope Xi Jinping can quote, destroy Trump.
[00:18:28.090 --> 00:18:29.351]  This is so evil.
[00:18:29.711 --> 00:18:34.913]  It's so out of control, and they intend to keep these lockdowns going forever.
[00:18:35.773 --> 00:18:45.837]  And when Joe Biden gets in there for a fall, and I don't want it to happen, they are going to keep the lockdown going forever, and we cannot allow that to happen.
[00:18:46.117 --> 00:18:49.338]  Joe Biden is a communist Chinese agent!
[00:18:49.998 --> 00:18:53.219]  Joe Biden is a communist Chinese agent!
[00:18:53.820 --> 00:18:56.981]  Joe Biden is a communist Chinese agent!
[00:18:57.481 --> 00:19:00.644]  Joe Biden is a communist Chinese agent!
[00:19:01.184 --> 00:19:04.386]  Joe Biden is a communist Chinese agent!
[00:19:04.807 --> 00:19:07.749]  Joe Biden is a communist Chinese agent!
[00:19:07.789 --> 00:19:09.951]  Let Nick talk, I want to talk to Nick.
[00:19:10.011 --> 00:19:10.451]  It's true! 1776!
[00:19:28.898 --> 00:19:37.246]  1776 1776 Joe Biden is a puppet and a tool of the globalist establishment.
[00:19:37.726 --> 00:19:39.187]  We know what it is called.
[00:19:39.768 --> 00:19:44.832]  In July and in August, Joe Biden made it his official campaign slogan.
[00:19:45.253 --> 00:19:47.755]  He called it Build Back Better.
[00:19:49.773 --> 00:19:53.275]  That did not come from a Democratic consultant!
[00:19:53.856 --> 00:19:56.317]  We know it didn't come from Joe Biden himself!
[00:19:56.457 --> 00:20:03.722]  It came from the United Nations and Klaus Schwab of the Davos Forum and the Communist Party!
[00:20:05.183 --> 00:20:13.068]  Their plan for Build Back Better is a global depression that the UN controls and brings us to our knees!
[00:20:13.728 --> 00:20:16.290]  Build Back Better is war against us!
[00:20:18.101 --> 00:20:24.310]  This is an act of war and siege upon three countries and the world is awakening to it.
[00:20:24.831 --> 00:20:32.181]  From Australia to Germany to the UK, millions are on the streets trying to end their lockdowns and this globalist
[00:20:35.550 --> 00:20:41.875]  I want to salute you all for being here today.
[00:20:42.275 --> 00:20:44.156]  Come out tomorrow, the next day.
[00:20:44.316 --> 00:20:45.938]  We're going to be here for a while.
[00:20:45.978 --> 00:20:47.359]  We're going to go to the Capitol as well.
[00:20:47.379 --> 00:20:51.442]  And I just want to thank all of you great Americans for your race, color, and creed.
[00:20:51.742 --> 00:20:52.462]  You are amazing!
[00:20:52.502 --> 00:20:58.667]  We're going to be ready to go on the Capitol with us in a couple of minutes.
[00:20:59.287 --> 00:20:59.808]  Peacefully.
[00:21:00.728 --> 00:21:01.369]  Peacefully.
[00:21:04.770 --> 00:21:05.171]  USA!
[00:21:05.251 --> 00:21:05.611]  USA!
[00:21:06.032 --> 00:21:06.172]  USA!
[00:21:06.312 --> 00:21:06.492]  USA!
[00:21:06.512 --> 00:21:06.733]  USA!
[00:21:15.094 --> 00:21:16.355]  I know, he looks pretty evil.
[00:21:16.395 --> 00:21:19.378]  We are going to make our voices heard in the Capitol!
[00:21:19.618 --> 00:21:21.740]  They call this the Gold Dome!
[00:21:22.320 --> 00:21:26.904]  We are going to let Governor Kipnoe, who has an office here, that we want a special session.
[00:21:27.125 --> 00:21:29.907]  When we go inside, remain peaceful.
[00:21:30.147 --> 00:21:31.508]  Remain together.
[00:21:31.929 --> 00:21:37.594]  Do not let Antifa infiltrate, but we will ring the bells for a special session.
[00:21:37.934 --> 00:21:39.175]  Special session!
[00:21:39.575 --> 00:21:40.156]  Special session!
[00:21:45.965 --> 00:21:48.426]  Special session!
[00:21:48.866 --> 00:21:52.868]  All of us will have succession!
[00:21:52.908 --> 00:21:53.728]  I like that.
[00:21:53.788 --> 00:21:58.170]  That's right, special session in a real election, or what you get is succession.
[00:21:58.650 --> 00:22:00.791]  Which the Democrats were planning, no, fake succession.
[00:22:01.171 --> 00:22:03.191]  We will have succession and reform the republic.
[00:22:03.472 --> 00:22:06.733]  We are not accepting the CHICOM agents on my land!
[00:22:09.954 --> 00:22:11.134]  The answer to 1984 is 1776!
[00:22:44.145 --> 00:22:54.471]  It constitutes a partnership, a public-private partnership, between the supranational global governments of the world and the world's largest corporations.
[00:22:55.291 --> 00:23:08.139]  They seek, with the election and the inauguration of Joe Biden, the total elimination of human freedom, of private property, of human dignity, and of our sovereignty as the American people.
[00:23:08.619 --> 00:23:11.741]  This is the last stand for the freedom of this country!
[00:23:13.510 --> 00:23:14.691]  Alright, so let's walk that way.
[00:23:14.711 --> 00:23:15.351]  We'll march this way.
[00:23:15.451 --> 00:23:18.692]  And I don't know about you, but I'm laying it all on the line for this fight!
[00:23:26.673 --> 00:23:28.894]  That's why we're touring the state capitals!
[00:23:28.974 --> 00:23:33.115]  I was in Lansing, and we were in the Million MAGA March in D.C.
[00:23:33.675 --> 00:23:37.677]  just this Saturday, and we're in Georgia now.
[00:23:37.757 --> 00:23:44.679]  And if we don't secure the 16 electoral college votes from Georgia, it very well may be over altogether.
[00:23:45.140 --> 00:23:54.823]  And that's why we have to turn out tomorrow, and the next day, and the day after that, and the day after that, and every single day until they allocate those votes!
[00:23:55.183 --> 00:23:58.066]  For our rightful president, Donald Trump!
[00:23:58.946 --> 00:24:01.929]  We want Trump!
[00:24:01.989 --> 00:24:03.190]  We want Trump!
[00:24:03.410 --> 00:24:04.451]  We want Trump!
[00:24:04.812 --> 00:24:05.872]  We want Trump!
[00:24:06.233 --> 00:24:07.254]  We want Trump!
[00:24:07.614 --> 00:24:08.655]  We want Trump!
[00:24:08.975 --> 00:24:09.956]  We want Trump!
[00:24:10.336 --> 00:24:11.277]  We want Trump!
[00:24:12.298 --> 00:24:18.824]  And if we don't get him, the trucker strike that is coming up this month is only the beginning!
[00:24:21.317 --> 00:24:23.518]  Because we are the American people!
[00:24:23.998 --> 00:24:26.019]  We make the trades run on time!
[00:24:26.479 --> 00:24:28.019]  We deliver the goods!
[00:24:28.179 --> 00:24:31.381]  And we will shut this country down!
[00:24:43.780 --> 00:24:44.080]  Bernie!
[00:24:44.100 --> 00:24:44.320]  Bernie!
[00:24:44.340 --> 00:24:44.601]  Bernie!
[00:24:44.621 --> 00:24:44.881]  Bernie!
[00:24:44.901 --> 00:24:45.161]  Bernie!
[00:24:45.181 --> 00:24:45.341]  Bernie!
[00:25:07.125 --> 00:25:09.426]  Vernon Jones marched with us in D.C.
[00:25:09.606 --> 00:25:10.647]  How many people saw?
[00:25:10.907 --> 00:25:14.248]  Over 500,000 of our friends in D.C.!
[00:25:16.169 --> 00:25:18.911]  He's taken this election integrity seriously.
[00:25:19.171 --> 00:25:22.452]  He doesn't care what race, color, party you're with.
[00:25:22.612 --> 00:25:26.054]  He'll speak to any American, and I welcome him here with us today.
[00:25:27.175 --> 00:25:27.735]  That's what you hear.
[00:25:30.936 --> 00:25:37.737]  After Vernon's speech, we're going to march peacefully, orderly, into the state capitol through Mitchell Street.
[00:25:37.997 --> 00:25:41.698]  We're going to leave our signs and our flags if the cops ask us to.
[00:25:41.998 --> 00:25:47.439]  It's going to take us a little while to get in, but we're going to ring the gold dome with special session chants.
[00:25:47.879 --> 00:25:50.960]  And we will tell the governor that we've got his back if he's got ours.
[00:25:51.180 --> 00:25:52.580]  But first, State Rep.
[00:25:52.840 --> 00:25:53.840]  Vernon Jones!
[00:25:56.921 --> 00:25:57.561]  Thank you, sir.
[00:25:58.735 --> 00:25:59.636]  Hello America!
[00:26:00.117 --> 00:26:02.659]  Hello Georgians!
[00:26:04.662 --> 00:26:06.303]  Are you here to stand up for your rights?
[00:26:08.065 --> 00:26:12.390]  Do you believe in fair and transparent elections?
[00:26:13.171 --> 00:26:14.753]  Do you believe in law and order?
[00:26:16.555 --> 00:26:17.696]  Well I stand with you!
[00:26:24.260 --> 00:26:31.364]  First of all, I want to welcome you to the People's House, the Georgia State Capitol.
[00:26:31.984 --> 00:26:35.306]  It belongs to the people, and you have a right to be down here.
[00:26:37.287 --> 00:26:40.729]  Before I get into my comments, I do want to say this.
[00:26:42.304 --> 00:26:44.545]  We respect law and order.
[00:26:44.565 --> 00:26:50.748]  We respect those public safety personnel that are here now, the Georgia Public Safety Department, Georgia State Patrol.
[00:26:51.208 --> 00:26:54.770]  Let's make sure we give them a big hand because they're here to protect us.
[00:26:56.951 --> 00:26:59.212]  Let's make sure we make their jobs easy.
[00:26:59.812 --> 00:27:00.693]  They're our friends.
[00:27:00.713 --> 00:27:01.713]  They're not our foe.
[00:27:02.394 --> 00:27:05.735]  I cannot stand on anybody who goes up against law enforcement.
[00:27:05.755 --> 00:27:11.358]  So as we do make our way into this Capitol, if it's allowed,
[00:27:12.011 --> 00:27:13.832]  And we do it right and properly.
[00:27:14.573 --> 00:27:17.615]  If we respect them, they will respect us.
[00:27:17.655 --> 00:27:18.915]  Don't act like Democrats!
[00:27:19.456 --> 00:27:20.997]  Don't act like Antifa!
[00:27:21.217 --> 00:27:22.878]  And don't act like Black Lives Matter!
[00:27:24.319 --> 00:27:32.484]  Because we are great American patriots and we care about this country and we're just here because we have a right to protest for our rights!
[00:27:32.865 --> 00:27:33.505]  USA!
[00:27:34.506 --> 00:27:34.606]  USA!
[00:27:34.746 --> 00:27:34.846]  USA!
[00:27:34.866 --> 00:27:35.106]  USA!
[00:27:41.493 --> 00:27:42.513]  I think it's important.
[00:27:42.953 --> 00:27:58.938]  I think it's very important that the members of the Georgia General Assembly, the lieutenant governor, the governor, all his elected constitutional officers, including the Secretary of State, know that we feel that this was not a fair and a transparent election.
[00:28:00.118 --> 00:28:06.720]  We want them to know how in the hell weeks later can ballots show up out of nowhere over the last 48 hours?
[00:28:08.703 --> 00:28:12.605]  We want them to know that we do not like this Dominion system.
[00:28:12.645 --> 00:28:15.266]  Something is going on with the hardware and the software.
[00:28:16.927 --> 00:28:20.188]  We want them to know we want every legal vote counted.
[00:28:21.608 --> 00:28:24.390]  And we will not lay down until we feel that that has happened.
[00:28:24.410 --> 00:28:26.591]  We're going to continue to fight for our rights.
[00:28:27.811 --> 00:28:32.153]  And this is not a Democratic issue, it's not a Republican issue, it's an American issue!
[00:28:32.173 --> 00:28:36.435]  We are not a third world country, we are the United States of America!
[00:28:36.535 --> 00:28:36.675]  USA!
[00:28:36.715 --> 00:28:36.835]  USA!
[00:28:36.915 --> 00:28:37.035]  USA!
[00:28:37.055 --> 00:28:42.497]  I want to say to the media, those of you who are here, let's be clear.
[00:28:42.537 --> 00:28:43.978]  We are for non-violence.
[00:28:57.267 --> 00:28:58.848]  But we're for our rights, too.
[00:29:01.049 --> 00:29:05.072]  Don't put us in a category with anti-Black Lives Matter.
[00:29:05.092 --> 00:29:14.357]  I was in Washington this past weekend, and I saw all the patriots and great Americans come, and we marched side by side.
[00:29:14.998 --> 00:29:16.598]  But then we saw the thuggery.
[00:29:17.539 --> 00:29:24.783]  They also come out from those groups, anti-Black Lives Matter, and they attack American citizens, even senior citizens.
[00:29:24.803 --> 00:29:25.504]  That's wrong.
[00:29:26.547 --> 00:29:27.848]  What is Joe Biden?
[00:29:28.148 --> 00:29:30.610]  Why hasn't Joe Biden condemned him by name?
[00:29:31.771 --> 00:29:33.933]  Why hasn't the Democrats done it by name?
[00:29:34.033 --> 00:29:36.475]  Why hasn't a lot of Republicans done it by name?
[00:29:37.215 --> 00:29:39.137]  Let's call them out for what they are.
[00:29:41.078 --> 00:29:55.169]  But we were taught that if they slap you on your right cheek, turn your left cheek, and we will continue to turn the cheek, but we're not, even if our heads are bloody but unbound, we are not going to bow down to socialism and Marxism and communism in this country.
[00:29:58.103 --> 00:29:59.244]  Stop the steal!
[00:29:59.284 --> 00:30:00.825]  We will stop the steal!
[00:30:01.265 --> 00:30:02.406]  Stop the steal!
[00:30:02.786 --> 00:30:03.867]  Stop the steal!
[00:30:04.227 --> 00:30:05.307]  Stop the steal!
[00:30:05.688 --> 00:30:06.768]  Stop the steal!
[00:30:07.129 --> 00:30:08.209]  Stop the steal!
[00:30:08.229 --> 00:30:08.810]  Stop the steal!
[00:30:08.850 --> 00:30:11.251]  So let me say, this is not over.
[00:30:11.431 --> 00:30:18.636]  Even after the votes are counted, and the electoral process gives those electoral votes to whomever,
[00:30:19.605 --> 00:30:24.289]  We're just not going to let the media tell us who is the president-elect at this time.
[00:30:24.309 --> 00:30:27.592]  We're not going to let the media tell us that Donald Trump has not won yet.
[00:30:28.072 --> 00:30:29.714]  Let the process go through.
[00:30:30.174 --> 00:30:31.135]  We have our rights.
[00:30:31.295 --> 00:30:32.816]  We have litigation going on.
[00:30:32.876 --> 00:30:34.798]  There's vote counting still going on.
[00:30:35.118 --> 00:30:36.800]  And we want to go to the very end.
[00:30:36.840 --> 00:30:37.841]  What is wrong with that?
[00:30:38.341 --> 00:30:40.423]  They didn't say it, they said Stacey Abrams did it.
[00:30:41.003 --> 00:30:42.625]  For three years she didn't concede.
[00:30:42.665 --> 00:30:44.146]  For three years she didn't concede.
[00:30:44.166 --> 00:30:45.888]  Now why do you want to give us a hard time?
[00:30:47.202 --> 00:30:49.043]  Because we won't accept your narrative.
[00:30:49.503 --> 00:30:50.864]  That's what the media does.
[00:30:51.585 --> 00:30:57.268]  The media has done more to interfere with our voting rights than Russia and China combined, I'm telling you.
[00:31:01.151 --> 00:31:06.374]  So with that being said, we want to follow the instructions of Ali.
[00:31:06.534 --> 00:31:07.735]  Ali is a great American.
[00:31:07.775 --> 00:31:11.978]  I want y'all to know he's a peaceful man, but he stands up for his left and his right.
[00:31:14.085 --> 00:31:14.926]  Like we all do.
[00:31:15.666 --> 00:31:23.448]  So we want to respect the Capitol Police because they respect us and I love those men and women who wear that blue because they love us.
[00:31:24.208 --> 00:31:33.711]  Especially the time when the liberals and the left are wanting to defund the police department, want to defund Georgia State Patrol, Georgia's public safety, all across this country.
[00:31:34.171 --> 00:31:35.773]  Something is inherently wrong with that.
[00:31:36.174 --> 00:31:37.395]  So let's stand with them.
[00:31:37.776 --> 00:31:41.440]  We may lose this battle, but I promise you we will not lose the war.
[00:31:41.500 --> 00:31:45.946]  We have the largest army in this country.
[00:31:46.146 --> 00:31:48.949]  We know we're on the right side.
[00:31:49.270 --> 00:31:53.114]  So I'm going to turn it back over to Ali, and if you'll allow us,
[00:31:54.335 --> 00:32:05.243]  When we come down, Ollie and I, we will leave this peaceful group, but we want you to be vigilant in your voices, but be humble when it comes to law enforcement and respecting the people's house.
[00:32:05.323 --> 00:32:05.604]  Yes, sir.
[00:32:05.664 --> 00:32:07.265]  Is that okay with everybody?
[00:32:08.406 --> 00:32:08.966]  Okay, then.
[00:32:09.206 --> 00:32:09.506]  Ollie?
[00:32:10.127 --> 00:32:13.810]  Just real quick, I just want to say something.
[00:32:13.830 --> 00:32:17.753]  Vernon Jones for president in a couple years!
[00:32:17.913 --> 00:32:18.373]  Yes, sir!
[00:32:18.413 --> 00:32:18.593]  We won!
[00:32:18.613 --> 00:32:19.134]  Wow, I'm sold!
[00:32:19.914 --> 00:32:21.956]  Alright, I need everybody to follow my instructions.
[00:32:22.915 --> 00:32:24.638]  But first, we're going to do the awards clearance.
[00:32:24.678 --> 00:32:25.460]  Everybody down with that?
[00:32:25.760 --> 00:32:26.521]  Yeah, let's do it.
[00:32:27.363 --> 00:32:28.445]  Alright, take off those caps.
[00:32:30.134 --> 00:32:31.055]  Let's do it all together.
[00:32:31.695 --> 00:32:35.457]  Our Father, who art in heaven, hallowed be thy name.
[00:32:35.757 --> 00:32:40.160]  Thy kingdom come, thy will be done, on earth as it is in heaven.
[00:32:40.660 --> 00:32:42.622]  Give us this day our daily bread.
[00:32:43.202 --> 00:32:47.484]  And forgive us our trespasses, as we forgive those who trespass against us.
[00:32:47.825 --> 00:32:51.347]  And lead us not into temptation, but deliver us from evil.
[00:32:51.607 --> 00:32:54.789]  For thou hast the kingdom, the power, and the glory evermore.
[00:33:00.471 --> 00:33:01.672]  Alright, we're not doing...
[00:33:03.578 --> 00:33:04.579]  Jesus is King!
[00:33:04.859 --> 00:33:05.880]  Jesus is King!
[00:33:06.140 --> 00:33:07.121]  Christ is King!
[00:33:07.441 --> 00:33:08.401]  Christ is King!
[00:33:08.702 --> 00:33:09.822]  Christ is King!
[00:33:09.922 --> 00:33:10.323]  Amen.
[00:33:10.423 --> 00:33:12.724]  Alright, huge shout out to Jesus.
[00:33:13.285 --> 00:33:18.208]  Alright, you're gonna let me, Nick, Vernon, and Alex get in front of y'all.
[00:33:18.489 --> 00:33:21.271]  We're gonna walk peacefully down here to the left.
[00:33:21.511 --> 00:33:26.134]  Remember, if the security asks you to leave something behind, leave it behind and pick it up.
[00:33:26.474 --> 00:33:28.295]  We know that this crowd ain't gonna steal, right?
[00:33:29.816 --> 00:33:30.877]  We salute you folks.
[00:33:30.997 --> 00:33:33.477]  And we'll do pictures after we exit the dome.
[00:33:33.698 --> 00:33:39.099]  So if I see you stop Alex, or Vernon, or Nick, because they're more famous than me, I'm going to have security.
[00:33:39.540 --> 00:33:42.040]  All right, we're going to get down there.
[00:33:42.561 --> 00:33:43.361]  We love you.
[00:33:43.381 --> 00:33:47.082]  We love you, Patriots.
[00:33:47.102 --> 00:33:49.883]  We're walking around doing efforts and going to the Capitol.
[00:33:50.263 --> 00:33:50.823]  You're the vanguard.
[00:33:50.843 --> 00:33:52.104]  You're the first to get here.
[00:33:52.324 --> 00:33:53.224]  We love you, Georgia!
[00:33:53.244 --> 00:33:56.565]  17th Preliminary!
[00:34:01.653 --> 00:34:02.634]  The crisis is here.
[00:34:03.594 --> 00:34:05.315]  The Republic is fighting for its life.
[00:34:06.095 --> 00:34:12.839]  But thanks to your support of Infowars, we are still on air, and in many ways stronger than ever, exposing the globalists.
[00:34:13.339 --> 00:34:18.562]  Our credibility is higher than ever, because we actually predicted what was unfolding and what was happening.
[00:34:19.648 --> 00:34:24.010]  InfoWars was supposed to be off the air before the globalists stole the election.
[00:34:24.451 --> 00:34:31.875]  They've already censored everybody off the internet, but we built our own independent system of radio and TV satellites and hundreds of radio and TV affiliates.
[00:34:32.275 --> 00:34:39.739]  And of course we built InfoWars.com, NewsWars.com, and Band.Video that are reaching millions upon millions of people a day thanks to you.
[00:34:40.019 --> 00:34:41.500]  So you've invested in InfoWars.
[00:34:41.860 --> 00:34:50.442]  And I'm asking you to invest again with word of mouth, with your prayer, and with your financial support, while getting great products at the same time at InfoWarsTore.com.
