[00:00:00.109 --> 00:00:00.930]  But here's the goal.
[00:38:13.968 --> 00:38:15.609]  We're not in a normal period anymore.
[00:38:16.529 --> 00:38:21.750]  Now, I'm gonna go to your phone calls at 877-789-2539, 877-789-ALEX.
[00:38:22.910 --> 00:38:36.013]  Into the second and third hour, Joel Skousen's popping in with his very measured research information as well, but I'm a little behind so far, but I've got to do something here when we start the next hour that is so powerful and so important.
[00:38:37.533 --> 00:38:42.334]  I'm gonna read you three definitions on here of war.
[00:38:43.769 --> 00:38:48.053]  And then I'm going to ask you what we're living in today.
[00:38:49.374 --> 00:38:57.140]  And then I'm going to get into Zuckerberg on TV saying, state governments asked us to shut down illegal protest.
[00:38:57.240 --> 00:38:57.941]  Well, that's not true.
[00:38:58.001 --> 00:38:58.941]  Facebook called and did it.
[00:38:58.981 --> 00:38:59.622]  They're not illegal.
[00:38:59.842 --> 00:39:00.523]  They're protest.
[00:39:03.305 --> 00:39:05.927]  And the Supreme Court of Texas has already ruled we can have these protests.
[00:39:06.247 --> 00:39:08.890]  You know what happened when Owen Schroeder showed up at about 12 noon on
[00:39:12.259 --> 00:39:13.520]  Saturday at the state capitol.
[00:39:14.840 --> 00:39:17.802]  And normally you'd have a permit to be up in front of the capitol, so he did it down on the street.
[00:39:18.623 --> 00:39:22.004]  They had a couple provocateur antifa dressed up in American flag outfits.
[00:39:22.044 --> 00:39:22.725]  We know who they are.
[00:39:23.225 --> 00:39:24.306]  Tried to start a fight with cops.
[00:39:24.326 --> 00:39:25.606]  The state police saw right through it.
[00:39:26.067 --> 00:39:26.967]  Didn't even arrest them.
[00:39:26.987 --> 00:39:31.049]  Just shoved them to the side and said, Owen, we can't control this down here.
[00:39:31.210 --> 00:39:32.270]  We appreciate what you're doing.
[00:39:32.810 --> 00:39:33.551]  So does the governor.
[00:39:34.887 --> 00:39:37.128]  This is off record, but on record.
[00:39:37.168 --> 00:39:38.288]  They should want to say their names.
[00:39:39.149 --> 00:39:41.730]  Please come up in front of the Capitol and we'll protect you from these people.
[00:39:42.350 --> 00:39:47.192]  We'll protect... Okay, so that's the Fight Club stuff that's going on here in America.
[00:39:47.892 --> 00:39:50.233]  And the Antifa guys trying to attack the state police.
[00:39:50.653 --> 00:39:51.293]  It didn't work.
[00:39:51.713 --> 00:39:52.854]  People see right through your crap.
[00:39:54.192 --> 00:39:56.153]  But that's what it's like now.
[00:39:56.613 --> 00:39:58.514]  This is total war for the Republic.
[00:39:59.194 --> 00:40:03.336]  If Trump can't get things turned on, I said a month ago, within a month and a half, two months, we're done.
[00:40:03.657 --> 00:40:06.118]  Most estimates are we're already screwed, blued, and tattooed.
[00:40:06.718 --> 00:40:07.699]  And up the creek without a paddle.
[00:40:12.581 --> 00:40:13.942]  But it's gonna get really bad.
[00:40:13.962 --> 00:40:18.764]  You know, I told you I saw an estimate that 2 million are currently starving to death, on top of the 10 million gonna die this year.
[00:40:19.104 --> 00:40:22.846]  Sorry, the UN, the ones that are behind it, now want more money.
[00:40:24.371 --> 00:40:27.733]  30 million starving to death, that's triple the normal number right now.
[00:40:30.075 --> 00:40:32.517]  But you're not going to hear about their names, you're not going to hear a damn thing.
[00:40:32.717 --> 00:40:36.779]  You're going to hear about 40,000 Americans and we all candy ass around with our mask and everything else.
[00:40:36.819 --> 00:40:45.165]  By the way, people are asking, why are you selling an Infowars mask, cloth mask, black mask with Infowars on it, very nice looking mask?
[00:40:46.305 --> 00:40:46.985]  For men and women.
[00:40:47.266 --> 00:40:49.767]  When you're saying this is all pretty much overblown hype.
[00:40:50.388 --> 00:41:01.316]  Because if you've got to wear it to go in a store or whatever, getting you ready for the microchip, the conditions to go in a store, you might as well get the word out while you do it and you can breathe through these better.
[00:41:02.432 --> 00:41:06.694]  Cause you're not going in stores or anything for six months or forever without this.
[00:41:07.054 --> 00:41:08.235]  This is the peer pressure.
[00:41:08.275 --> 00:41:12.017]  So when the vaccine comes out and all the forced garbage, people go, Hey, do it.
[00:41:12.297 --> 00:41:13.298]  We want to get back to work.
[00:41:13.698 --> 00:41:16.719]  Now here's a huge key piece of intel I'm going to cover when we come back.
[00:41:18.040 --> 00:41:22.002]  That I'm glad John, the boom operator brought up because it was the first thing I was going to cover today.
[00:41:22.883 --> 00:41:30.527]  When I got up at 6 AM and I was reading the news, it reminded me of the fact that I saw a Michael Schneider article on Infowars.com
[00:41:33.677 --> 00:41:38.301]  And in his headline he said, as long as we don't overwhelm the hospitals, open the country back up.
[00:41:39.822 --> 00:41:44.106]  We did this so the hospitals wouldn't be overwhelmed because there were going to be millions dying.
[00:41:45.047 --> 00:41:48.610]  Now it's 40,000 and they're counting all these old people that died of something else.
[00:41:49.791 --> 00:41:50.472]  Think about that.
[00:41:51.843 --> 00:41:55.268]  We were told it was for overwhelmed hospitals and it was only two weeks.
[00:41:55.709 --> 00:41:58.072]  Now we're a couple months in and they're telling us it's forever.
[00:41:58.132 --> 00:41:58.773]  Here's the UN.
[00:41:58.793 --> 00:42:03.700]  WHO warns people to get used to the new way of living and that this will never end.
[00:42:04.588 --> 00:42:05.309]  The U.N.
[00:42:05.409 --> 00:42:06.970]  is suddenly world government and our boss.
[00:42:07.050 --> 00:42:07.430]  Incredible.
[00:42:07.691 --> 00:42:11.834]  Folks, pray for the best, you know, hope for the best, but stuff's getting bad.
[00:42:11.914 --> 00:42:12.655]  Prepare for the worst.
[00:42:13.155 --> 00:42:15.557]  Get your high-quality, storable foods at m4restore.com.
[00:42:15.577 --> 00:42:17.779]  They're back in stock, ready to ship out to you.
[00:42:18.379 --> 00:42:26.506]  For economic collapse and craziness, it's one of those check marks you gotta check off, and purchasing it there gets high-quality food that's actually in stock, you'll actually get, and it supports the M4.
[00:42:26.526 --> 00:42:27.147]  So don't wait.
[00:42:27.467 --> 00:42:29.549]  Get storable food at m4restore.com and a lot of items.
[00:42:30.109 --> 00:42:36.233]  We've got culls coming in from Norway, Iowa, Florida, New York, California, Chicago, Illinois, Wyoming, Washington, D.C., Washington State, Texas, my beloved Texas, and more.
[00:42:56.414 --> 00:43:00.636]  It is Tuesday, April 21st, 2020.
[00:43:00.676 --> 00:43:02.077]  195 days out from the election.
[00:43:03.677 --> 00:43:12.402]  And I'm going to your phone calls next segment, and I've got just the transmission that in the future, if we win this fight, will be fabled roar.
[00:43:13.462 --> 00:43:23.347]  But first, my friends, let's go to a little interaction from local talk radio yesterday, and one of our news investigators, Rob Dew, calling in.
[00:43:23.387 --> 00:43:23.747]  Here it is.
[00:43:25.132 --> 00:43:30.217]  Zuckerberg calls it harmful misinformation in the times of a medical emergency.
[00:43:30.677 --> 00:43:31.998]  Rob is in South Austin.
[00:43:32.038 --> 00:43:32.699]  Hello, Rob.
[00:43:32.759 --> 00:43:33.519]  How you doing today?
[00:43:33.860 --> 00:43:34.520]  I'm doing good.
[00:43:34.580 --> 00:43:38.163]  Yeah, I think we really ought to look at Facebook and how they control information.
[00:43:38.824 --> 00:43:46.911]  Robert Epstein last year came out and said, you know, they could sway six million votes just by putting out alerts or not putting out alerts for people to go vote on Election Day.
[00:43:47.291 --> 00:43:50.534]  So anything this man does at this point should be considered election meddling.
[00:43:51.010 --> 00:44:00.476]  Yeah, the story from CNN I'm seeing now says Facebook said they were contacted by some states and asked to help remove this content.
[00:44:01.196 --> 00:44:05.839]  Now that is overreaching government.
[00:44:06.360 --> 00:44:11.903]  You're calling up and saying, oh I see that my constituents are planning to protest my orders.
[00:44:12.223 --> 00:44:13.724]  You've got to take that down.
[00:44:14.364 --> 00:44:16.406]  You've got to get out of office.
[00:44:16.786 --> 00:44:18.507]  People don't see the command and control that's going on.
[00:44:18.547 --> 00:44:19.348]  We're good to go.
[00:44:35.182 --> 00:44:38.845]  It's not the right article, it's not the right point of view, so we're going to censor you.
[00:44:39.185 --> 00:44:49.291]  And I really think you guys should be backing people like Alex Jones, who are out there on the front lines trying to get people motivated, because let me tell you what, the economy is going to crash if we keep this up much longer.
[00:44:49.986 --> 00:44:51.307]  Alright, thanks so much.
[00:44:51.788 --> 00:44:57.453]  Listen, I believe you have every right in the world and I just come from a different side.
[00:44:57.593 --> 00:45:00.515]  I'm not taking the lead from Alex Jones in anything.
[00:45:00.916 --> 00:45:01.556]  You got that?
[00:45:01.997 --> 00:45:02.457]  Anything.
[00:45:02.737 --> 00:45:03.298]  He's a nut.
[00:45:03.798 --> 00:45:06.961]  He's a nut and he's bad for this state and he's bad for this town.
[00:45:09.183 --> 00:45:12.286]  And then Owen Schroeder had a great response to that later on the show.
[00:45:12.306 --> 00:45:13.447]  We'll play that for you.
[00:45:13.507 --> 00:45:16.049]  But, I'm a nut.
[00:45:17.560 --> 00:45:30.307]  I predicted all of this, I laid it out, I told you 10 weeks ago it came out of the Wuhan lab, and now the Nobel Prize winner for virology, for discovering HIV when nobody else could find the virus, says it's completely man-made, 100%.
[00:45:31.107 --> 00:45:40.472]  In fact, guys, we have the audio of the radio show he was on, or the blog show, and they're trying to argue with him, and he goes, no, no, let me explain.
[00:45:40.492 --> 00:45:42.313]  Maybe we should play that later.
[00:45:42.653 --> 00:45:44.234]  This is powerful stuff.
[00:45:46.328 --> 00:45:49.671]  Noble winning scientist claims COVID-19 virus was man-made in Wuhan lab.
[00:45:49.971 --> 00:45:53.534]  How many universities and scientists do you need?
[00:45:54.795 --> 00:45:59.499]  The Indian lab first came out 10 weeks ago and said, this is ridiculous.
[00:46:01.720 --> 00:46:05.103]  They said it's 100% man-made.
[00:46:06.684 --> 00:46:08.406]  Is it 57% man-made?
[00:46:08.526 --> 00:46:10.527]  You can look at it and tell it's been made.
[00:46:11.848 --> 00:46:14.631]  You look at a mountain, you go, no, that's not man-made.
[00:46:15.776 --> 00:46:18.517]  You look at this highlighter in my hand, that's man-made.
[00:46:20.818 --> 00:46:21.698]  Did man make me?
[00:46:21.858 --> 00:46:22.719]  No, God made us.
[00:46:22.759 --> 00:46:23.619]  Humans made each other.
[00:46:24.580 --> 00:46:25.180]  Genetics did.
[00:46:25.240 --> 00:46:26.740]  But this is man-made.
[00:46:26.760 --> 00:46:27.321]  This is artificial.
[00:46:27.581 --> 00:46:29.041]  This highlighter is fake.
[00:46:29.582 --> 00:46:31.102]  It's not original.
[00:46:31.122 --> 00:46:32.823]  It didn't come out of the organic sphere.
[00:46:32.843 --> 00:46:34.203]  It was artificially produced.
[00:46:36.944 --> 00:46:45.308]  This Aromati I'm drinking has an artificially made tinfoil can, but that came out of the earth and was refined, and the plant inside came from nature.
[00:46:46.530 --> 00:46:48.231]  But still, you can say this is man-made.
[00:46:49.331 --> 00:46:52.413]  Well, let me tell you what's man-made, ladies and gentlemen, is that damn virus.
[00:46:53.053 --> 00:47:00.536]  And the fact that the whole corporate media tries to block and ridicule what is coming out of top scientists shows you they know the jig's up.
[00:47:00.556 --> 00:47:03.097]  Because you know who made that virus and who cooked it up?
[00:47:04.218 --> 00:47:05.198]  Bill Gates, baby!
[00:47:05.458 --> 00:47:08.380]  Leads right back to that smiley piece of garbage.
[00:47:10.161 --> 00:47:11.101]  We are back live.
[00:47:11.641 --> 00:47:15.143]  I'm your host, Alex Jones, on this Live Tuesday Global Transmission.
[00:47:16.923 --> 00:47:21.125]  I want to go to your phone calls here in just a few minutes.
[00:47:22.666 --> 00:47:23.586]  And we're going to do that.
[00:47:24.247 --> 00:47:28.369]  But it is a big, big deal right now.
[00:47:29.704 --> 00:47:38.125]  That it's confirmed the virus is man-made, the Nobel Prize top virologist discoverer of HIV is confirmed, but all these other universities and labs have confirmed.
[00:47:38.666 --> 00:47:53.768]  It's confirmed it came out of the Wuhan lab, it's confirmed that the WHO covered it up, and then it's confirmed that the WHO is in charge now of how long we're locked down.
[00:47:55.188 --> 00:47:58.829]  Now let's look at how this was done from the start.
[00:48:00.094 --> 00:48:16.437]  If you go back 10, 11 weeks ago, when Communist China used this to shut down the Taiwanese protest, to lock down their country, they shot a lot of exaggerated and dystopic fake videos, where a man and woman both fall down and start convulsing, and obviously very bad acting in hundreds of videos.
[00:48:16.897 --> 00:48:22.138]  Doesn't mean the virus is fake, doesn't mean it's not happening, but it's greatly exaggerated.
[00:48:23.918 --> 00:48:26.859]  And then we're told, it's just an extended spring break,
[00:48:31.883 --> 00:48:32.503]  In early March.
[00:48:32.964 --> 00:48:35.886]  We're just going to have two weeks and that's it.
[00:48:35.926 --> 00:48:36.846]  You'll all get a check.
[00:48:36.886 --> 00:48:51.796]  And I said, folks, it's like the famous cases with the serial killer Ted Bundy, who'd go to the mall, he'd dress very conservative, he'd have a non-threatening yellow Volkswagen, he admitted this later, he'd walk over and tell teenage girls, hey, you want to go drink some beer?
[00:48:51.836 --> 00:48:52.577]  Have some ice cream?
[00:48:53.337 --> 00:48:54.298]  Want to go have some fun?
[00:48:56.540 --> 00:49:01.423]  And as soon as he got them in the car, he'd put a gun to their head and he'd say, look, just put these handcuffs on.
[00:49:02.742 --> 00:49:05.443]  And I just want to talk to you while they're on and I'll let you go.
[00:49:05.903 --> 00:49:07.383]  But if you don't, I'm going to hurt you.
[00:49:08.023 --> 00:49:14.204]  And all of them but one woman, that's how he later got caught, said, yes, sir, and put the handcuffs on.
[00:49:14.484 --> 00:49:15.745]  You put the handcuffs on.
[00:49:15.765 --> 00:49:24.306]  He's going to take you to a dungeon and torture you over three days and rape you and electrocute you and bite big chunks out of your ass.
[00:49:25.487 --> 00:49:27.707]  Now, folks didn't listen.
[00:49:27.887 --> 00:49:31.828]  We're now being marched down the stairs into the basement.
[00:49:32.807 --> 00:49:34.268]  There's women hanging off mead hooks.
[00:49:37.311 --> 00:49:39.552]  Now, you still got time to headbutt Ted Bundy.
[00:49:41.294 --> 00:49:42.475]  And to try to throw him down the stairs.
[00:49:44.796 --> 00:49:46.838]  But I know the average American now.
[00:49:47.939 --> 00:49:53.884]  They're gonna thank him while he's biting big chunks, literally, out of your ass.
[00:49:55.665 --> 00:49:56.426]  Thank you, sir.
[00:49:56.626 --> 00:49:57.506]  May I have another?
[00:49:58.607 --> 00:49:58.968]  Not me.
[00:50:00.265 --> 00:50:03.927]  Everything I do on this show is, don't put the handcuffs on.
[00:50:04.007 --> 00:50:05.647]  Okay, uh, try to jump out the side of the car.
[00:50:05.707 --> 00:50:08.228]  Roll in a populated area, he'll have trouble getting you back in the vehicle.
[00:50:09.089 --> 00:50:10.629]  Uh, you know, you're in the middle of town.
[00:50:10.910 --> 00:50:12.970]  Just, you know, throw yourself in the windshield.
[00:50:13.271 --> 00:50:14.091]  Do something, you're dead.
[00:50:15.472 --> 00:50:16.573]  I'm like, we're at the farmhouse!
[00:50:16.813 --> 00:50:17.334]  Oh my God!
[00:50:17.834 --> 00:50:19.375]  Fight him once you get out, run towards the road!
[00:50:19.395 --> 00:50:20.056]  You're not listening.
[00:50:20.696 --> 00:50:24.099]  Now, you're in the house, he's gonna take you to a basement.
[00:50:24.419 --> 00:50:28.663]  Okay, when you start going down the basement, headbutting, fighting, he's gonna tie you up down there.
[00:50:28.683 --> 00:50:31.465]  And you're like, shut up, Jones, you racist.
[00:50:32.126 --> 00:50:35.248]  I, and now we see the torture table.
[00:50:36.249 --> 00:50:38.611]  With the electrical wire, we're gonna be tied down the bailing wire.
[00:50:40.765 --> 00:50:41.446]  And I'm just pleased.
[00:50:42.727 --> 00:50:44.689]  At least, you're not going to listen.
[00:50:44.709 --> 00:50:45.870]  You're going to get on the table.
[00:50:46.630 --> 00:50:48.652]  You're going to put your mask on as a symbol of slavery.
[00:50:48.952 --> 00:50:50.694]  You're going to awake the forced inoculation.
[00:50:52.175 --> 00:50:53.176]  The digital currency.
[00:50:53.256 --> 00:50:58.101]  And you're going to submit because you know subconsciously you killed 62 million babies.
[00:50:58.601 --> 00:51:00.763]  You know subconsciously your life doesn't mean anything.
[00:51:01.083 --> 00:51:04.146]  And you want Ted Bundy to torture you for three days.
[00:51:05.467 --> 00:51:05.908]  And he will.
[00:51:07.264 --> 00:51:08.665]  The three days are an analogy.
[00:51:08.725 --> 00:51:11.868]  It's going to be a decade of hell for you and your family.
[00:51:12.208 --> 00:51:16.852]  And you're going to turn your children over for pedophiles to have sex with them, but you'll get your digital money, don't worry.
[00:51:17.293 --> 00:51:23.438]  And you're going to submit to everything you're supposed to to prove you're a good little globalist.
[00:51:27.442 --> 00:51:31.705]  So the moral of the story is, getting in the car with Mark Zuckerberg
[00:51:32.659 --> 00:51:35.521]  Getting in the car with Bill Gates is a mistake.
[00:51:36.342 --> 00:51:38.564]  Remember, I always told you, don't get in the car with Bill Gates.
[00:51:38.884 --> 00:51:42.427]  He's coming with world government, forced inoculation, depopulation.
[00:51:42.467 --> 00:51:43.608]  He runs the whole show.
[00:51:43.968 --> 00:51:45.370]  All the big foundations fund him.
[00:51:45.430 --> 00:51:46.230]  He's the kingpin.
[00:51:46.451 --> 00:51:46.831]  Beware!
[00:51:46.851 --> 00:51:48.672]  People are like, Jones, leave Bill Gates alone.
[00:51:48.692 --> 00:51:49.933]  He couldn't even invent windows.
[00:51:50.334 --> 00:51:51.375]  You know, he's a moron.
[00:51:51.835 --> 00:51:52.496]  I'm like, beware!
[00:51:52.516 --> 00:51:54.938]  They're like, he wears a salmon-colored shirt.
[00:51:55.398 --> 00:51:56.639]  He dresses like the Easter Bunny.
[00:51:56.979 --> 00:51:57.680]  He's non-threatening.
[00:51:57.960 --> 00:51:59.241]  Ted Bundy dressed just like that.
[00:51:59.261 --> 00:52:00.883]  He said he would wear pink shirts.
[00:52:02.025 --> 00:52:03.106]  These psychos are all the same.
[00:52:03.306 --> 00:52:05.127]  He wears pink shirts.
[00:52:07.889 --> 00:52:09.871]  Warren Buffett drives around in a Volkswagen bug.
[00:52:10.271 --> 00:52:12.133]  I don't know why these psychotics are all the same.
[00:52:16.136 --> 00:52:18.517]  But they like getting it over on you.
[00:52:18.898 --> 00:52:19.278]  Period.
[00:52:20.659 --> 00:52:23.141]  It's like Warren Buffett is always a pitcher with an ice cream cone.
[00:52:23.161 --> 00:52:26.303]  Like, I'm getting the van kids ice cream.
[00:52:27.844 --> 00:52:28.585]  I've got a puppy.
[00:52:30.464 --> 00:52:34.188]  So everybody's freaking out right now all over the internet going, oh my god, Jones is right.
[00:52:34.228 --> 00:52:35.189]  How did he know it was Gates?
[00:52:35.229 --> 00:52:35.749]  How did he know?
[00:52:35.909 --> 00:52:44.658]  The guy told you he wants to establish world government to carry out forced depopulation on Laird NewsHour 26 years ago.
[00:52:44.998 --> 00:52:45.999]  The interview's out there.
[00:52:46.219 --> 00:52:46.980]  We've played it here.
[00:52:48.341 --> 00:52:52.345]  I made full-length films about this.
[00:52:55.615 --> 00:52:59.776]  And so these psychotics are so disconnected, they're always like, look, I've got a puppy.
[00:52:59.956 --> 00:53:00.936]  I've got ice cream.
[00:53:01.096 --> 00:53:03.077]  Look, I, let me get a beer.
[00:53:03.097 --> 00:53:04.497]  Elizabeth Warren, let me get a beer.
[00:53:08.498 --> 00:53:09.898]  Her husband was, well, you don't normally drink beer.
[00:53:09.918 --> 00:53:10.998]  She says, well, I'm going to have a beer.
[00:53:12.078 --> 00:53:14.539]  It's like Beto's like, let me have hamburgers.
[00:53:14.999 --> 00:53:19.240]  He's cooking these weird hamburgers on belt on, on English muffins.
[00:53:22.426 --> 00:53:24.907]  I mean, it's like the Coneheads moved in next door.
[00:53:24.967 --> 00:53:27.507]  They act like space aliens.
[00:53:29.808 --> 00:53:32.609]  Because interdimensionally, folks, these people are not human.
[00:53:33.329 --> 00:53:39.031]  They could be black, they could be white, they could be old, they could be young, but you take African voodoo, what's that saying?
[00:53:39.111 --> 00:53:40.571]  Something else jumps into you, folks.
[00:53:40.911 --> 00:53:43.712]  Well, every culture has that in their legends, because it's true.
[00:53:45.232 --> 00:53:47.513]  These people aren't operating with a full deck.
[00:53:47.933 --> 00:53:50.974]  Their elevator don't go all the way to the top because the lights are home.
[00:53:54.161 --> 00:53:55.202]  But nobody's home.
[00:53:55.262 --> 00:53:57.023]  You think those are people, folks?
[00:53:57.703 --> 00:53:59.604]  You think people weave webs like this?
[00:53:59.945 --> 00:54:06.248]  You think people want success and challenges and life and enjoyment and building and doing amazing things?
[00:54:06.369 --> 00:54:07.990]  People don't act like this!
[00:54:09.030 --> 00:54:18.736]  Working their whole lives to get control and generational power passed down to establish world government to forcibly inoculate us and depopulate us and dumb us down?
[00:54:19.136 --> 00:54:21.478]  This is a planet-killing spirit!
[00:54:23.763 --> 00:54:30.587]  All right, I'll go to break and come back with your calls, and then I'll get into Zuckerberg saying you're not allowed to go out and protest.
[00:54:31.948 --> 00:54:41.554]  But if you wonder why these globalists want to abort babies and molest kids and why they can't keep away from it, they are drawn to the life force, but they want to drink it up and snuff it out.
[00:54:44.636 --> 00:54:47.158]  All right, I'm going to go to break, and I'm going to come right back.
[00:54:53.510 --> 00:54:55.791]  With your phone calls, and I'm also just going to leave it at this.
[00:54:58.411 --> 00:55:08.074]  With all the craziness that's going on in the world today, and the fact that food shortages have already started around the world, and the UN is now reporting 30 million people extra are starving to death.
[00:55:08.834 --> 00:55:13.876]  That's the UN saying that, after what they've done, now they want more money to save the folks they're already killing.
[00:55:13.896 --> 00:55:16.897]  Of course they'll never save them, the whole plan is to starve them.
[00:55:17.497 --> 00:55:18.797]  You need to get prepared.
[00:55:19.277 --> 00:55:20.738]  You need to get ready.
[00:55:22.836 --> 00:55:24.016]  You need storable food.
[00:55:24.316 --> 00:55:33.298]  You can go pay five times more at the grocery store and get little bags of stuff that's 80% air, or you can get InfoWars high quality storable foods that we have in stock.
[00:55:33.318 --> 00:55:37.259]  They have to be packaged, so it takes a few weeks, but we're ready to take orders again.
[00:55:37.399 --> 00:55:41.520]  But as folks are figuring this out, that orders are escalating again.
[00:55:42.140 --> 00:55:44.381]  So get your order in now to lock in quick delivery.
[00:55:46.237 --> 00:55:49.318]  Because when you get your order and it locks into quick delivery, you get the delivery date.
[00:55:49.478 --> 00:55:55.360]  They tend to be ahead of schedule in almost every case, over, you know, under promise, over deliver.
[00:55:56.741 --> 00:56:02.223]  But this is high quality, swirled food, yes, and it funds our operation with what we're doing in the middle of this ongoing depression.
[00:56:02.683 --> 00:56:05.584]  But get the food now so you have it so that box is checked off.
[00:56:06.004 --> 00:56:09.845]  We have the swirled food available again, but they, anytime, they say, okay, that's it for orders.
[00:56:09.865 --> 00:56:11.926]  Your order gets in, it gets delivered on time.
[00:56:12.366 --> 00:56:14.907]  But if the orders don't get in, we have to cut it off.
[00:56:14.947 --> 00:56:16.107]  It could be in a week or two, I'm told.
[00:56:16.447 --> 00:56:17.487]  We won't be able to order here.
[00:56:17.908 --> 00:56:18.748]  We do have the supplements.
[00:56:18.848 --> 00:56:20.228]  Now, the food comes out in a few weeks.
[00:56:20.768 --> 00:56:23.609]  Supplements we have in the warehouse, ready to ship to you.
[00:56:23.889 --> 00:56:24.429]  We have the food.
[00:56:24.449 --> 00:56:26.750]  It's just got to be packaged and inspected and all that.
[00:56:27.150 --> 00:56:30.831]  But get your high-quality supplements as well at InfoWarsTore.com.
[00:56:30.851 --> 00:56:33.692]  There's so many of them and a bunch of big specials running right now.
[00:56:35.673 --> 00:56:40.154]  Here's the Nobel Prize winner for discovering HIV.
[00:56:42.165 --> 00:56:43.286]  Pointing out this is a man made by 11.
[00:56:43.626 --> 00:56:49.031]  This is the biggest story because it's the globalist on purpose and it leads back to the NIH under Obama.
[00:56:49.831 --> 00:56:50.952]  And Trump just brings that out.
[00:56:51.012 --> 00:56:56.136]  He can expose all of them and their agenda to bring down America and blame the virus on him can be stopped.
[00:56:56.257 --> 00:56:58.779]  And then the millions and millions starving to death can be saved.
[00:56:59.719 --> 00:57:00.560]  But it's too common sense.
[00:57:00.580 --> 00:57:01.100]  It's too easy.
[00:57:01.441 --> 00:57:02.622]  People are too one-dimensional.
[00:57:03.542 --> 00:57:05.264]  So hundreds of millions are going to starve to death now.
[00:57:07.526 --> 00:57:08.747]  It is an act of war.
[00:57:11.795 --> 00:57:15.237]  To shut down the economy of a farming or industrial state.
[00:57:16.458 --> 00:57:20.161]  But at least with those economies, the people are somewhat self-sufficient.
[00:57:20.962 --> 00:57:30.228]  But when you shut down a service economy that we're promised under globalism is gonna be so good for the earth, well, you make the population obsolete.
[00:57:31.229 --> 00:57:41.296]  And that's really the term being introduced now with this whole UN World Government power grab you're seeing that just sets the stage for the real power grabs that are coming in the future.
[00:57:43.635 --> 00:57:46.576]  And that is, you are non-essential.
[00:57:47.596 --> 00:57:50.196]  You are obsolete!
[00:57:50.917 --> 00:57:51.397]  A lie!
[00:57:51.797 --> 00:57:53.497]  No man is obsolete!
[00:57:53.657 --> 00:57:56.258]  You have nothing but spindly limbs and a dream!
[00:57:56.638 --> 00:57:59.058]  And the state has no use for your kind!
[00:58:00.139 --> 00:58:00.819]  I don't care!
[00:58:00.839 --> 00:58:02.279]  I tell you, I don't care!
[00:58:02.299 --> 00:58:03.679]  I'm a human being!
[00:58:03.879 --> 00:58:04.460]  I exist!
[00:58:05.660 --> 00:58:07.580]  That's what authoritarians tell you!
[00:58:07.940 --> 00:58:09.621]  How would they have a show back in the early 1960s?
[00:58:11.423 --> 00:58:13.505]  About being obsolete with Rod Serling.
[00:58:14.346 --> 00:58:15.447]  This is not a new world.
[00:58:16.588 --> 00:58:19.891]  It is simply an extension of what began in the old one.
[00:58:21.012 --> 00:58:28.460]  It has patterned itself after every dictator who has ever planted the ripping imprint of a boot on the pages of history since the beginning of time.
[00:58:29.418 --> 00:58:36.340]  It has refinements, technological advances, and a more sophisticated approach to the destruction of human freedom.
[00:58:36.360 --> 00:58:40.680]  There's been a big anti-authoritarian, big anti-Nazi, big anti-communist.
[00:58:40.961 --> 00:58:42.041]  He wrote those stories.
[00:58:42.441 --> 00:58:43.301]  Where'd he come up with this?
[00:58:43.361 --> 00:58:44.261]  Well, he'd seen it.
[00:58:44.281 --> 00:58:53.523]  In fact, he says in the intro to The Obsolete Man, he says this isn't new, this is from the old world, just in our modern time.
[00:58:54.083 --> 00:58:56.524]  A system that wants to make the individual
[00:58:57.799 --> 00:58:58.439]  Obsolete.
[00:58:58.539 --> 00:59:11.105]  So when you hear, oh, you're non-essential, and the big banks will give you a check with strings attached, but you'll also owe tax money on that down the road, this is called slavery.
[00:59:11.765 --> 00:59:20.168]  The communist Chinese released a bioweapon out of the Wuhan bioweapons lab, and then under Obama and under Fauci and the NIH, in 2012 through 2017,
[00:59:27.233 --> 00:59:37.017]  They transferred a chimera coronavirus, artificially created, to China.
[00:59:38.137 --> 00:59:38.237]  U.S.
[00:59:38.298 --> 00:59:43.139]  intelligence is saying this week that the coronavirus likely came from a level 4 lab in Wuhan.
[00:59:43.540 --> 00:59:51.543]  There's also another report that the NIH, under the Obama administration in 2015, gave that lab $3.7 million in a grant.
[00:59:51.723 --> 00:59:52.363]  Why would the U.S.
[00:59:52.423 --> 00:59:53.844]  give a grant like that to China?
[00:59:54.764 --> 00:59:58.147]  The Obama administration gave them a grant of $3.7 million.
[00:59:58.187 --> 00:59:59.168]  I've been hearing about that.
[00:59:59.968 --> 01:00:09.715]  And we've instructed that if any grants are going to that area, we're looking at it literally about an hour ago and also early in the morning.
[01:00:10.716 --> 01:00:12.417]  We will end that grant very quickly.
[01:00:12.477 --> 01:00:14.419]  But it was granted quite a while ago.
[01:00:14.679 --> 01:00:17.061]  They were granted a substantial amount of money.
[01:00:18.341 --> 01:00:20.023]  We're going to look at it and take a look.
[01:00:20.083 --> 01:00:23.125]  But I understand it was a number of years ago, right?
[01:00:23.465 --> 01:00:27.507]  What did you hear when the grant was made?
[01:00:27.527 --> 01:00:27.507]  2015.
[01:00:27.967 --> 01:00:30.388]  2015?
[01:00:28.907 --> 01:00:30.388]  Who was president then, I wonder?
