[00:00:00.189 --> 00:00:00.689]  Iodine.
[00:37:37.693 --> 00:37:39.694]  So we've created a bunch of lemmings in academia.
[00:37:39.714 --> 00:37:44.917]  So anyone who thinks that we should listen to them needs to take a step back and realize these guys are pay to play.
[00:37:45.197 --> 00:37:46.618]  They're about scientific consensus.
[00:37:46.638 --> 00:37:48.759]  They'll actually believe the sun goes around the earth.
[00:37:48.999 --> 00:37:51.881]  Forget, you know, we know that story with Galileo.
[00:37:51.921 --> 00:37:55.443]  But fundamentally, these guys are creating fake science.
[00:37:55.623 --> 00:37:59.125]  And by the way, this farewell address, who did Eisenhower in 61 warn of?
[00:37:59.165 --> 00:37:59.886]  Not the Russians.
[00:38:00.186 --> 00:38:05.109]  He said we have a technological elite taking control of academia and sciences and they are the main threat.
[00:38:05.965 --> 00:38:06.345]  Exactly.
[00:38:06.385 --> 00:38:10.109]  So the scientific establishment really was evolving at that time.
[00:38:10.149 --> 00:38:18.295]  It was the consolidation of power, basically the consolidation of quote-unquote who determines what truth is, who determines what innovation is.
[00:38:18.595 --> 00:38:25.902]  So those group control can create fake problems and fake solutions, you know, infectious diseases, viruses are going to kill all of us.
[00:38:26.222 --> 00:38:29.945]  Based on that, you need vaccines and therefore the goals to control our health.
[00:38:30.385 --> 00:38:31.766]  Fake problems, fake solutions.
[00:38:32.026 --> 00:38:32.947]  You control our health.
[00:38:33.027 --> 00:38:35.948]  Now you create weak human beings who can't fight for freedom.
[00:38:35.968 --> 00:38:38.469]  So that's sort of the system of truth, freedom, and health.
[00:38:38.830 --> 00:38:44.933]  So when we're running in Massachusetts, Alex, we have a huge groundswell of amazing volunteers who come out.
[00:38:45.173 --> 00:38:46.874]  We're close to collecting all of our signatures.
[00:38:47.154 --> 00:38:52.237]  They've stopped us, as you talk about the electioneering control, they've stopped us from collecting signatures.
[00:38:52.537 --> 00:39:01.002]  That's why the page that you showed up, everyone listening, Alex, everyone, we must win in Massachusetts because Massachusetts is the epicenter of the deep state.
[00:39:01.322 --> 00:39:05.984]  And what I'm talking about here is here's a mecca of medicine, Harvard Medical School, the mecca of technology.
[00:39:06.284 --> 00:39:10.087]  So by winning here, it's going to be like taking a stake and stabbing it right in the deep state.
[00:39:10.407 --> 00:39:21.753]  So what we need, Alex, is what your audience needs to understand is everyone should go to Shiva for Senate, scroll down, and if they're in Massachusetts... Oh yeah, if people think Rand Paul is amazing, he would just be like a hydrogen bomb in the deep state.
[00:39:22.601 --> 00:39:23.201]  That's what we need.
[00:39:23.281 --> 00:39:28.644]  We need a hydrogen bomb because a guy like me is like everyone else, a working class guy who earned his way.
[00:39:28.684 --> 00:39:36.669]  And so if you scroll down there, you'll see that people should go in there and fill out a form and we will mail you the nomination paper so you can sign and send in.
[00:39:37.029 --> 00:39:41.711]  The Democratic establishment and the GOP establishment, three lawyers are running against me, Alex.
[00:39:42.011 --> 00:39:43.012]  All total scumbags.
[00:39:43.352 --> 00:39:44.293]  That's what we got to win.
[00:39:44.333 --> 00:39:46.574]  But getting back to the immune system, this
[00:39:47.245 --> 00:39:57.510]  Establishment of suppressing freedom has created this notion that the immune system is some weakling, that the virus is some animal that comes and eats your tissues.
[00:39:57.770 --> 00:40:04.053]  In fact, most MDs, unfortunately, because of the big pharma medical education, they don't know jack about the immune system.
[00:40:04.093 --> 00:40:05.733]  I'm sorry, they just don't.
[00:40:05.954 --> 00:40:11.096]  Oh, they admit that they don't even spend a week on the immune system or even half a day on vaccines, but let's just pull back for a moment.
[00:40:11.636 --> 00:40:23.450]  Just like they teach us we're all racist and we're all victims and the government's got to divide us to keep us safe from each other, it's the same thing with telling us we're all victims and we're all weak and we're all going to die once we have big pharma.
[00:40:23.650 --> 00:40:27.535]  They're literally teaching us how to be victims and how it's heroic to be a jellyfish.
[00:40:28.624 --> 00:40:29.964]  Exactly, so that's the bottom line.
[00:40:30.244 --> 00:40:37.866]  We are weak people when the reality is that they weaken us through their Big Ag Monsanto, through their genetic engineering foods.
[00:40:37.946 --> 00:40:41.006]  They weaken us with dirty air, dirty water, dirty food.
[00:40:41.026 --> 00:40:43.087]  Well, Doctor, as you know, I keep interrupting something you're saying so true.
[00:40:43.107 --> 00:40:53.449]  If you just type in, flu vaccine lowers immunity next year, and there's all these articles admitting that they never guessed the right mutation, and it lowers your immunity to the flu the next year.
[00:40:53.609 --> 00:40:55.149]  So what you just said, it's totally true!
[00:40:55.939 --> 00:41:01.566]  Yeah, and the other thing that's true, Alex, is look at their solution, this idiot Fauci, okay, who's basically the front man for pharma.
[00:41:02.007 --> 00:41:05.090]  Isolate yourself, quarantine yourself, don't get any sun.
[00:41:05.151 --> 00:41:05.771]  Let's look at that.
[00:41:06.352 --> 00:41:10.858]  There are infinite number of papers, landmark studies, which show when you isolate people,
[00:41:11.761 --> 00:41:18.705]  Isolate people, you create a detrimental situation that's worse than obesity, worse than heart disease, worse than smoking.
[00:41:19.065 --> 00:41:27.169]  You basically down-regulate genes which create antiviral activity and you up-regulate genes which create inflammatory response.
[00:41:27.189 --> 00:41:27.869]  So think about that.
[00:41:28.129 --> 00:41:30.791]  You're basically destroying the immune system by social isolation.
[00:41:31.171 --> 00:41:34.853]  Then you tell people don't get out in the sun, UVB radiation, vitamin D.
[00:41:35.553 --> 00:41:37.455]  As we know, vitamin D is an antimicrobial.
[00:41:37.796 --> 00:41:39.117]  And then people can't go out shopping.
[00:41:39.137 --> 00:41:40.158]  They're creating pod people.
[00:41:40.219 --> 00:41:40.619]  Stay there.
[00:41:40.879 --> 00:41:42.841]  And I've been interrupting a lot because you're just making such great points.
[00:41:43.282 --> 00:41:49.990]  For the next three segments, if you can stay, and we'll talk about the Senate thing, that's exciting too, but you as a medical guy and the doctor, that's the guy that's amazing.
[00:41:50.430 --> 00:41:54.312]  Politics isn't great when you get in the Senate, but when you get into this, it's so dead on.
[00:41:54.612 --> 00:41:56.213]  And folks, you know, this is not just our opinion.
[00:41:56.233 --> 00:41:58.034]  This is established known fact.
[00:41:58.435 --> 00:41:59.695]  These people know what they're doing.
[00:41:59.915 --> 00:42:01.536]  There is no vaccine for the common cold.
[00:42:01.796 --> 00:42:03.537]  That is what COVID-19 has souped up.
[00:42:03.778 --> 00:42:04.438]  We'll be right back.
[00:42:04.618 --> 00:42:06.559]  But let me just put this out or we won't be here.
[00:42:06.579 --> 00:42:07.760]  You see, they're trying to shut us down.
[00:42:09.005 --> 00:42:13.667]  What I do for myself personally every day, and this is for adults, children, you name it, look into it.
[00:42:13.687 --> 00:42:15.727]  It's DNA Force Plus with PQQ and CoQ10.
[00:42:16.148 --> 00:42:20.969]  Now, obviously, Big Brother doesn't want folks promoting things like this to tell you what they do.
[00:42:21.330 --> 00:42:24.351]  Do your own research into PQQ and CoQ10 and other things that are in this.
[00:42:24.371 --> 00:42:27.672]  Go do your own research, what it does in the cells, the mitochondria, all of it.
[00:42:28.032 --> 00:42:30.813]  And then ask yourself, why aren't you getting a bottle of DNA Force Plus?
[00:42:31.073 --> 00:42:31.954]  It's 50% off.
[00:42:32.254 --> 00:42:35.995]  It's our most expensive product because it's not synthetic PQQ or CoQ10.
[00:42:36.095 --> 00:42:37.136]  Even the synthetic's expensive.
[00:42:37.376 --> 00:42:39.477]  This is the most expensive product for us to produce.
[00:42:40.237 --> 00:42:42.778]  And we usually don't even order a lot of it because it's so much for us to get it.
[00:42:43.258 --> 00:42:44.799]  But I have double the orders.
[00:42:45.499 --> 00:42:45.999]  Last year.
[00:42:46.920 --> 00:42:48.921]  And so we could get even more of it and get the price down.
[00:42:49.341 --> 00:42:51.282]  So get your DNA Force Plus today.
[00:42:51.742 --> 00:42:54.683]  This is the hydrogen bomb of boosting your defenses.
[00:42:55.244 --> 00:42:58.165]  And we have X3 very close to selling out in the two ounce bottles.
[00:42:58.725 --> 00:43:00.666]  That is 60% of what's selling out.
[00:43:00.746 --> 00:43:02.807]  I want you to get high quality iodine.
[00:43:03.087 --> 00:43:04.788]  The triiodine is a major breakthrough.
[00:43:05.108 --> 00:43:10.570]  You heard this very doctor yesterday, Sheba, talk about how important the triiodine is.
[00:43:10.590 --> 00:43:11.931]  Well, that's what another doctor told us.
[00:43:11.951 --> 00:43:12.771]  That's why we came out with it.
[00:43:12.971 --> 00:43:13.472]  We'll be right back.
[00:43:13.492 --> 00:43:13.812]  Stay with us.
[00:43:15.171 --> 00:43:16.392]  All right, this is a short segment.
[00:43:17.052 --> 00:43:29.940]  Long segment's coming up, and I want Dr. that's joining us right now, Shiva Idarae, running for Senate in Massachusetts, to get into the body, get into the mechanisms, get into the studies, get into the facts.
[00:43:29.960 --> 00:43:31.161]  This is known, okay?
[00:43:31.661 --> 00:43:33.042]  It's like saying you need oxygen to live.
[00:43:33.122 --> 00:43:33.542]  It's known.
[00:43:34.122 --> 00:43:34.983]  You need food to live.
[00:43:35.023 --> 00:43:35.143]  Why?
[00:43:35.163 --> 00:43:35.823]  It has nutrients.
[00:43:36.444 --> 00:43:42.327]  If you don't get the nutrients, if all you got was white bread and water, you'd die of the cold or flu in six months.
[00:43:42.387 --> 00:43:44.769]  I mean, it's something that came by, you wouldn't even feel, you're dead.
[00:43:46.121 --> 00:44:00.709]  That's why one way the British used to kill people in concentration camps, they actually invented them, and used them against the Irish, used them against the Scots, 400 years ago, first against the Scots, then they called them concentration camps by the middle of the 18th century.
[00:44:00.789 --> 00:44:01.330]  The U.S.
[00:44:01.510 --> 00:44:11.956]  Army adopted that with Native Americans, and I'm not bashing the British, I mean, I got a Welsh name, but what I'm getting at here is, they wouldn't kill you, they'd just put you out there and feed you bread and water.
[00:44:13.496 --> 00:44:16.898]  And Andrew Jackson's mother and brother died in a British concentration camp.
[00:44:17.458 --> 00:44:17.758]  What was it?
[00:44:17.778 --> 00:44:18.458]  South Carolina.
[00:44:19.299 --> 00:44:19.599]  When he was 12.
[00:44:19.659 --> 00:44:21.560]  That's why he didn't like the British too much.
[00:44:21.580 --> 00:44:26.442]  The point is that's how you kill somebody is you just don't give them nutrients and then they just die.
[00:44:27.542 --> 00:44:28.843]  Doc, get into your campaign.
[00:44:28.883 --> 00:44:29.563]  That is important.
[00:44:29.583 --> 00:44:30.104]  Tell us about that.
[00:44:30.124 --> 00:44:30.844]  Spend a few minutes on that.
[00:44:31.486 --> 00:44:32.867]  I grew up as an untouchable in India.
[00:44:32.887 --> 00:44:34.548]  I don't know if you know India has a caste system.
[00:44:35.129 --> 00:44:44.876]  In the 1960s, one of the political leaders in India realized that the so-called people the elite said were dumb to keep them down was because they were just dumb.
[00:44:44.916 --> 00:44:47.378]  He figured out that they weren't getting enough protein, Alex.
[00:44:47.818 --> 00:44:55.864]  So he created a program where people could get protein and you suddenly saw these so-called dumb people immediately get very, very neutrified and start excelling.
[00:44:56.364 --> 00:45:01.130]  So, nutrition and intelligence, nutrition and your future is closely linked.
[00:45:01.170 --> 00:45:13.886]  So, you know, when I'm running for Senate here, one of the core things that's bringing out so many people from the grassroots is that we're leading with health, Alex, and that is blowing away the establishment here because they don't want to talk about health.
[00:45:14.186 --> 00:45:15.528]  They actually want to keep people weak.
[00:45:16.068 --> 00:45:24.871]  So we have this huge growth of people, grassroots, lots of women, lots of mothers who don't want their kids to be, you know, forced vaccinated or coming to our movement.
[00:45:24.911 --> 00:45:27.892]  Very different than the last campaign we ran against Elizabeth Warren.
[00:45:28.272 --> 00:45:32.253]  But one of the key things we need to get on the ballot, Alex, and we've been getting signatures.
[00:45:32.653 --> 00:45:37.115]  The other guys don't have a grassroots movement, so they're trying to shut us down from collecting signatures.
[00:45:37.555 --> 00:45:38.997]  So we're going online, Alex.
[00:45:39.017 --> 00:45:46.843]  So anyone from Massachusetts, anyone listening to your show right now, Alex, who knows people in Massachusetts, tell them to go to Shiva for Senate.
[00:45:47.224 --> 00:45:48.004]  And we've created it.
[00:45:48.145 --> 00:45:50.046]  We've used, you know, technology that I've created.
[00:45:50.086 --> 00:45:58.514]  They just click a button as they go into, if you can show on the screen, you know, get a signature nomination form sent to you and we will mail them.
[00:45:58.954 --> 00:46:06.460]  The nomination form, they sign it with a self-addressed envelope, if you click right there, and then they can send it to us, and then we get a certified signature.
[00:46:06.480 --> 00:46:08.181]  We made it really, really easy, Alex.
[00:46:08.241 --> 00:46:12.104]  And that's Sheba 4, the number 4, Senate.com.
[00:46:13.525 --> 00:46:18.229]  Number 4, Senate.com, and they literally go, and it's for Massachusetts residents or anyone listening.
[00:46:18.489 --> 00:46:22.072]  If you know your friends or family in Massachusetts, tell them to go there, fill it out.
[00:46:22.092 --> 00:46:22.893]  We'll mail it to them.
[00:46:22.933 --> 00:46:28.437]  It's quite expensive for us to get it out, but we make it easy with all the nonsense, the fascist state of
[00:46:28.837 --> 00:46:30.558]  Well bottom line, even if you don't win...
[00:46:46.608 --> 00:46:49.449]  Most people that come from the grassroots have to run three or four times before they win.
[00:46:49.769 --> 00:46:52.950]  You're all over TV, you're all over everywhere bombing them with this information.
[00:46:53.250 --> 00:46:57.052]  And these stations, TV stations and things, if they have the other candidates on, have to have you on.
[00:46:57.352 --> 00:46:59.112]  You're a great guest and you're kicking ass.
[00:46:59.432 --> 00:47:02.914]  And so keeping you in the field is another critical part of the resistance.
[00:47:02.934 --> 00:47:04.934]  But I want you to go back to what you were talking about.
[00:47:05.455 --> 00:47:11.036]  When we come back, we'll do two more segments on nutrition and how they're using this as the total control arm of the globalists.
[00:47:11.116 --> 00:47:14.898]  And again, how elites throughout history actually called
[00:47:15.698 --> 00:47:19.785]  The slaves, the little people, because generationally they'd starve them.
[00:47:19.965 --> 00:47:21.267]  That wasn't just in India, folks.
[00:47:21.848 --> 00:47:23.871]  Every country, every nation had the untouchables.
[00:47:24.997 --> 00:47:27.098]  Dr. Shiva Iyer is our guest.
[00:47:27.138 --> 00:47:33.979]  He's an amazing MIT-trained scientist, does amazing research, has a lot of big successful companies.
[00:47:34.560 --> 00:47:41.242]  I'm not going to go over all of his bio or industry awards and the commercial products that he's developed.
[00:47:42.022 --> 00:47:47.143]  He's running for Senate in Massachusetts, really the heart of the Harvard globalist mafia.
[00:47:47.183 --> 00:47:48.864]  But he just joined us.
[00:47:49.984 --> 00:47:52.905]  He briefly got into India and the caste system.
[00:47:54.105 --> 00:48:00.471]  And if you look at that, you've got this lower caste that, you know, handles, you know, things that are seen as unclean or whatever.
[00:48:01.492 --> 00:48:06.216]  And that was how the establishment basically divided and conquered civilizations.
[00:48:06.236 --> 00:48:10.740]  When the British showed up, it was very easy for them to take control because they also had their caste system.
[00:48:11.381 --> 00:48:19.128]  And if you go back to ancient England or places like France, they actually, the nobles would call the little villagers the little people.
[00:48:20.100 --> 00:48:24.743]  That's because they were always kept on very small pieces of property in the more oppressive feudal systems.
[00:48:25.484 --> 00:48:33.729]  And if you had a dog, for say, herding the noble sheep, part of its paw would be cut off so it couldn't chase the king's deer.
[00:48:33.749 --> 00:48:35.670]  You weren't even allowed to have a dog that could hunt.
[00:48:36.711 --> 00:48:39.213]  And you weren't allowed to have a knife that had a point on it.
[00:48:39.433 --> 00:48:40.774]  You would get a square knife.
[00:48:43.396 --> 00:48:45.157]  They would keep people at starvation level.
[00:48:45.197 --> 00:48:48.380]  You'd be executed in ancient England, you know, under the Norman.
[00:48:48.700 --> 00:48:52.062]  If you got caught with a rabbit, you'd kill, because that's the king's land.
[00:48:52.763 --> 00:48:58.047]  And so you're kept looking at all this game and all this food, and you're killed if you're caught eating it.
[00:48:58.447 --> 00:49:03.430]  And you could read manuscripts from some of the more corrupt noblemen saying, you know, we don't want to feed them too much.
[00:49:03.491 --> 00:49:04.491]  We don't want them to get up any.
[00:49:04.771 --> 00:49:05.572]  We want to control them.
[00:49:05.892 --> 00:49:08.254]  Well, in India, that was a codified system.
[00:49:08.374 --> 00:49:11.716]  And he was bringing up, and he repeated, Dr. Sheba here,
[00:49:12.899 --> 00:49:19.781]  Getting into this, how in India they were calling the untouchables, you know, idiots because they were just wandering around like zombies.
[00:49:20.161 --> 00:49:24.782]  Because why did the environmentalists not want us to have protein and want us to have meat and the rest of it?
[00:49:25.222 --> 00:49:31.384]  Because it's known that when humans started eating that our heads got bigger, we got smarter, we got stronger, we became more like predators instead of prey.
[00:49:31.884 --> 00:49:35.765]  And so somebody that's not getting protein acts like a dumb bunny rabbit instead of a tiger.
[00:49:36.725 --> 00:49:40.387]  And I'm not knocking folks who are vegetarian, you just gotta get a lot of beans and rice to get that.
[00:49:40.847 --> 00:49:42.949]  But people that eat meat, it's a weapon system.
[00:49:42.969 --> 00:49:44.930]  It's got hormones in it, it's got everything in it.
[00:49:45.250 --> 00:49:49.392]  And it's how they control the untouchables was keeping them at zombie level.
[00:49:49.732 --> 00:49:57.357]  Well, if you look at McDonald's, Bill Gates owns part of it, Monsanto, they admit diet injections and junctions, as Bertrand Russell said.
[00:49:58.277 --> 00:50:04.881]  One of the top liberals, philosophers, they would dumb down our diet and take away high protein because it's known.
[00:50:05.181 --> 00:50:11.224]  There's manuscripts and the Romans would say, you feed slaves red meat, you're going to get an uprising.
[00:50:11.264 --> 00:50:13.205]  So they fed them like oatmeal.
[00:50:14.446 --> 00:50:16.187]  So they know how to manage people.
[00:50:16.467 --> 00:50:17.368]  Tigers eat meat.
[00:50:18.945 --> 00:50:19.125]  I don't
[00:50:33.905 --> 00:50:37.848]  The formula is they've caught the UN with these approved formula programs with all these millions of kids die.
[00:50:37.868 --> 00:50:39.149]  It's not even enough protein for them.
[00:50:39.169 --> 00:50:39.850]  They die.
[00:50:40.310 --> 00:50:42.652]  So that is a system of untouchables.
[00:50:42.692 --> 00:50:45.894]  So we'll do as many segments as we need to here, Doc, because you got me really going here today.
[00:50:45.935 --> 00:50:53.741]  I want to get into how people can defend their immune system and boost it, you know, with your whole MIT background, doctorate on that, and your major companies that study that.
[00:50:53.761 --> 00:50:57.644]  But get into your own Indian American experience of that.
[00:50:59.011 --> 00:51:12.558]  Yeah, so, look Alex, the bottom line is, the use of food, or the lack of giving food to people, and the nutrient density that you gave, was always, was a methodology of control, and people have always had to fight for health.
[00:51:13.138 --> 00:51:19.581]  And it's not something... But some stations didn't carry that segment, so explain the cast system, that's fascinating, and how they weren't giving the untouchable food.
[00:51:20.221 --> 00:51:27.626]  And we have a caste system here, but the caste system in India was on the top of it were the priesthood, you know, what you would call the academics of today, right?
[00:51:27.646 --> 00:51:31.728]  The Fauci's and the people who are always there, regardless of presidents come and going.
[00:51:32.068 --> 00:51:34.250]  The next level was the Kings, right?
[00:51:34.310 --> 00:51:36.271]  Today, we call them politicians, presidents.
[00:51:36.291 --> 00:51:37.652]  So you notice Fauci's always there.
[00:51:38.192 --> 00:51:38.332]  Yeah.
[00:51:55.943 --> 00:51:57.525]  All the, you know, low-level work.
[00:51:58.025 --> 00:52:05.512]  So those people, as we just shared, were kept in very, very moderate conditions, very low conditions, so they would not rise up.
[00:52:05.713 --> 00:52:07.995]  And what we have today is the same model here.
[00:52:08.395 --> 00:52:16.082]  We want to diminish people's health so we don't rise up and fight for our freedom, so we don't get the truth we deserve, and from truth we get freedom.
[00:52:16.122 --> 00:52:18.705]  So they create this very horrible feedback process.
[00:52:19.165 --> 00:52:19.826]  That's great.
[00:52:32.589 --> 00:52:38.715]  The reality is when you look at the immune system that we're talking about right now, we actively suppress people's immune systems.
[00:52:39.155 --> 00:52:53.469]  And instead of addressing boosting them, which frankly they don't want to do, the goal is to use the people who have suppressed immune systems to drive them to more vaccines, more vaccines, more pharma drugs, and the goal is to take most of humanity and take them to that process.
[00:52:53.929 --> 00:53:10.801]  So, from a scientific standpoint, Alex, my entire life, you know, the company I run called Cytosol, that came out of my research at MIT, we're actually able to model at the molecular level the mechanisms and actually prove why certain things work, irrespective of their fake science or them trying to discount it.
[00:53:11.081 --> 00:53:16.685]  And that's what I do, and we're actually helping people understand at the molecular level to put down these fake scientists.
[00:53:16.705 --> 00:53:22.089]  So, for example, we talked about the power of vitamin D. Why is vitamin D powerful in this case?
[00:53:23.670 --> 00:53:23.850]  Yeah.
[00:53:45.931 --> 00:53:46.352]  We're good.
[00:54:08.911 --> 00:54:09.731]  Why vitamin A?
[00:54:09.951 --> 00:54:24.857]  Well, vitamin A, as you look at the molecular pathways, vitamin A gets created from your thyroid when you get all the great carotenoid foods, the rich greens, the dark green and purple foods, and your body makes vitamin A. And you know what that vitamin A does, Alex?
[00:54:25.138 --> 00:54:31.180]  It creates beautiful scaffolds, beautiful cytokeratins, so the viruses can't even protect, can come in.
[00:54:31.660 --> 00:54:32.340]  That's number one.
[00:54:32.841 --> 00:54:34.141]  Iodine, you've talked about it.
[00:54:34.381 --> 00:54:35.542]  Iodine, you need both.
[00:54:35.842 --> 00:54:38.443]  That's what supports the thyroid to make vitamin A.
[00:54:38.783 --> 00:54:53.340]  Now, all of this that we're saying is not some BS, and what the real BS is bullshitting people that the immune system is weak, that the only way out of it is vaccines, vaccines, vaccines, and chemicals, chemicals, chemicals.
[00:54:53.880 --> 00:55:08.448]  So, that's why they have a problem right now, Alex, because you're looking at a guy who's got four degrees from MIT's PhD in Biological Engineering, is a Fulbright Scholar, and I'm the guy who was invited by the National Science Foundation just four months ago to give the lecture on the modern immune system.
[00:55:08.888 --> 00:55:18.413]  So, this is why we need to go boldly and expose Fauci, Gates, Zuckerberg, the Clintons, because what we're witnessing right here is a destruction of science.
[00:55:18.593 --> 00:55:19.514]  And, Doctor, you're on fire.
[00:55:19.534 --> 00:55:20.074]  Let me stop you.
[00:55:20.094 --> 00:55:21.355]  In the next segment, I want to get into this.
[00:55:22.830 --> 00:55:28.934]  You said this yesterday, that's why I wanted you back on, and I hope you'll come on pretty much every day with Owen and other shows.
[00:55:28.954 --> 00:55:33.797]  I know you've been coming on a lot and laying this out for people because you said they're losing.
[00:55:34.438 --> 00:55:36.719]  Big Pharma, every statistic shows, is not trusted.
[00:55:37.320 --> 00:55:38.060]  They're losing money?
[00:55:38.400 --> 00:55:43.384]  The doctors, as you said, even the UN's own videos, they say doctors are turning against us on the vaccines.
[00:55:43.424 --> 00:55:44.184]  They see what it's doing.
[00:55:45.065 --> 00:55:48.167]  The head vaccine doctor at the World Health Organization, we already played that clip.
[00:55:48.827 --> 00:55:52.270]  So when we come back, we'll get into all this with you, but I want people to understand something that
[00:55:53.210 --> 00:55:53.871]  This is real.
[00:55:54.552 --> 00:55:58.795]  And so here he is giving these lectures, and he's respected at MIT.
[00:55:58.835 --> 00:55:59.796]  I mean, I don't just have guests on.
[00:55:59.816 --> 00:56:00.497]  I've looked into him.
[00:56:00.597 --> 00:56:01.417]  Everything he's saying is true.
[00:56:01.437 --> 00:56:03.079]  This guy invented email, folks.
[00:56:03.980 --> 00:56:05.481]  But there's a lot of people like him, too.
[00:56:06.021 --> 00:56:06.782]  And they're pissed.
[00:56:07.583 --> 00:56:10.085]  And they know that if they speak up, they'll be shut down.
[00:56:10.105 --> 00:56:11.246]  This guy has his own company.
[00:56:11.266 --> 00:56:11.946]  This guy's wealthy.
[00:56:12.347 --> 00:56:17.611]  He is doing it because he understands that we're all going to be turned into this slave class.
[00:56:18.032 --> 00:56:19.293]  And he's already broken out of that.
[00:56:19.353 --> 00:56:20.494]  He wants us all to break out with him.
[00:56:20.714 --> 00:56:27.151]  And this is about realizing they're trying to make us all slaves, trying to turn us all against each other, trying to make us all fight over what color we are.
[00:56:28.248 --> 00:56:35.631]  While they are poisoning every damn one of us and don't want us to perform or be successful because Bill Gates is a coward and a little chicken neck nobody.
[00:56:35.671 --> 00:56:42.313]  He can't compete with hundreds of millions of people like Dr. Shiva Iyeray or Alex Jones or you.
[00:56:42.933 --> 00:56:44.093]  Those guys can't deal with us.
[00:56:44.414 --> 00:56:50.056]  They know that they're suppressing everyone because every time they don't, they don't get to run this system the way they want to.
[00:56:50.076 --> 00:56:51.336]  Well guess what, jerks?
[00:56:51.836 --> 00:56:53.437]  You're not running anything anymore!
[00:56:53.457 --> 00:56:54.617]  The people are!
[00:56:54.817 --> 00:56:56.838]  The revolution is now!
[00:56:59.364 --> 00:57:06.008]  America and the world is in the middle of a globalist authoritarian takeover.
[00:57:07.749 --> 00:57:20.196]  But I have to tell you, if you go to Bill Gates' Facebook, Instagram, or Twitter, 99% of the comments are devastatingly vicious and see right through him and what he's doing.
[00:57:20.216 --> 00:57:26.760]  And people are now going and researching how he heads up these big tax-free foundations that literally funded Hitler.
[00:57:29.424 --> 00:57:30.306]  And it's incredible.
[00:57:31.988 --> 00:57:33.050]  Absolutely incredible.
[00:57:37.837 --> 00:57:43.945]  And it's funny that Dr. Shiva Iyeray, who's a very respected MIT-trained scientist and
[00:57:45.250 --> 00:57:59.218]  Breaking all this down brings up India because if you look at Iran that means Aryan and that's some of the groups that went into that area and then took over parts of India and it was a caste system on how light-skinned you were and that's why Hitler chose to say we are the Aryans.
[00:58:00.578 --> 00:58:15.407]  And that's the cash system over in India is the Aryans down that he was just talking about and that Hitler got massive support in many of those areas in World War II because this is the elitism of kings and the priest class that they're the priest class and you're below them.
[00:58:15.427 --> 00:58:21.210]  It doesn't matter if you were in ancient Germany or ancient England or ancient China or ancient India or ancient the Aztecs.
[00:58:21.250 --> 00:58:22.111]  Same crap, folks!
[00:58:23.092 --> 00:58:25.975]  It's the same priesthoods that do this over and over again.
[00:58:25.995 --> 00:58:28.517]  And they're not their guardians of humanity.
[00:58:28.617 --> 00:58:30.639]  Every time they take over, they run things in the ground.
[00:58:31.619 --> 00:58:34.742]  They always show up, take over, kill the Golden Age, ruin everything.
[00:58:35.303 --> 00:58:36.424]  And they starve people.
[00:58:37.284 --> 00:58:40.587]  And now they're starving us of sunshine and family and relationships.
[00:58:40.667 --> 00:58:44.751]  And it's a very evil thing they're involved in because they were losing control.
[00:58:45.471 --> 00:58:47.473]  And this is their attempt to get control.
[00:58:47.493 --> 00:58:48.674]  And they're saying, we want world government.
[00:58:49.114 --> 00:58:50.275]  We want forced inoculations.
[00:58:51.101 --> 00:58:53.743]  They're saying families are bad, groups together, spread things.
[00:58:53.783 --> 00:58:56.224]  This is so alien, so anti-human.
[00:58:56.745 --> 00:59:03.489]  I know, and you said this yesterday, I know you agree, I'm not putting words in your mouth, that this is a response to them losing control.
[00:59:04.050 --> 00:59:07.032]  Can you elaborate on that and then talk about how we break down this caste system?
[00:59:07.987 --> 00:59:14.211]  Yes, so look, if you go back six months before this coronavirus fear-mongering hit, what was going on?
[00:59:14.531 --> 00:59:16.632]  You had massive protests in Hong Kong.
[00:59:17.152 --> 00:59:25.437]  Even in Wuhan six months ago, in the place where this virus was supposedly first found, you had people protesting anti-pollution protests, Alex.
[00:59:25.945 --> 00:59:27.986]  In France, remember all those protests?
[00:59:28.186 --> 00:59:29.266]  Venezuela protests.
[00:59:29.646 --> 00:59:37.109]  And then you had the election of two very big populist leaders, Donald Trump in the United States and Narendra Modi in India.
[00:59:37.569 --> 00:59:41.731]  This event, the globalist never, the global elite never wanted to occur.
[00:59:42.091 --> 00:59:47.213]  So you have massive growth, uprisings, anti-establishment uprisings.
[00:59:47.253 --> 00:59:48.253]  That's what was taking place.
[00:59:48.613 --> 00:59:51.714]  And in the United States... And don't forget Brazil, don't forget everywhere.
[00:59:51.754 --> 00:59:53.395]  They admit the new world order's in trouble.
[00:59:54.719 --> 00:59:55.099]  Exactly.
[00:59:55.159 --> 00:59:59.701]  And in the United States, we had the rise of the anti-vax or medical freedom movement.
[01:00:00.101 --> 01:00:14.066]  In New Jersey, when I got involved, I led one of the most militant protests saying, we need to go on the ground and build the movement, versus these so-called anti-vax leaders like Bobby Kennedy and this guy, Big Tree, who are telling people to negotiate with legislators.
[01:00:14.106 --> 01:00:19.488]  So the globalists always stick their not-so-obvious establishment leaders, who are actually suppressing these movements.
[01:00:19.848 --> 01:00:21.749]  Yeah, absolutely.
