[00:00:00.029 --> 00:00:00.929]  We're in an emergency.
[00:41:46.543 --> 00:41:50.885]  We are going to go into court, and we're going to fight over every single ballot.
[00:41:51.105 --> 00:41:54.627]  But I don't think we're even going to need to do that, because I honestly think we're going to win.
[00:41:54.868 --> 00:41:55.388]  And you know what?
[00:41:55.488 --> 00:42:06.114]  If we stick to our plan, and we go at it, and Bill Stepien is convinced we're going to win Pennsylvania by 40,000 votes, I'm confident in Georgia.
[00:42:07.175 --> 00:42:11.017]  Wisconsin's going to be a battle, but we're going to challenge all of those Milwaukee votes.
[00:42:12.057 --> 00:42:13.978]  Virginia, oh, there was an error.
[00:42:14.238 --> 00:42:17.680]  Fairfax County, they had to throw out 100,000 Biden votes.
[00:42:18.100 --> 00:42:19.441]  This is nonsense.
[00:42:19.741 --> 00:42:23.483]  And that Arnon guy on Fox needs to go, because he's on your side.
[00:42:23.503 --> 00:42:27.725]  Look at this footage of Philly with a lady stuffing a mailbox with ballots.
[00:42:27.805 --> 00:42:29.165]  I mean, this is just ridiculous.
[00:42:29.225 --> 00:42:33.447]  And Philly, they're running around with, put them in cars, boxes of them.
[00:42:33.707 --> 00:42:34.508]  This is ridiculous.
[00:42:34.528 --> 00:42:34.628]  Yep.
[00:42:35.430 --> 00:42:44.353]  I have a tape of lunch ladies, proving lunch ladies, handed out absentee ballots to the elementary school children, including illegal immigrants.
[00:42:44.533 --> 00:42:45.394]  There's so much of this.
[00:42:45.594 --> 00:42:46.874]  They don't want to go into court on this.
[00:42:47.094 --> 00:42:50.736]  They are hoping that the media can shut up on Trump.
[00:42:50.816 --> 00:42:51.756]  Silence Trump.
[00:42:51.776 --> 00:42:52.096]  I agree.
[00:42:52.116 --> 00:42:53.217]  Let's come back and do five more minutes.
[00:42:53.237 --> 00:42:54.017]  I'm going to ask you both.
[00:42:55.083 --> 00:42:57.727]  This moment in history, what happens if they do steal it?
[00:42:58.308 --> 00:43:07.201]  I don't want to be negative, but it's almost worse for the globalists, because, I mean, an addled CHICOM agent with all these investigations hanging over him?
[00:43:08.083 --> 00:43:10.385]  We've got Joe Hoft and we've got Patrick Howley.
[00:43:10.425 --> 00:43:11.485]  I didn't even plug this hour.
[00:43:11.886 --> 00:43:12.686]  We need you to fund us.
[00:43:12.706 --> 00:43:13.567]  We got great products.
[00:43:14.027 --> 00:43:17.290]  DNA Force Plus with the PQQ, the CoQ10, so good for your immune system.
[00:43:17.750 --> 00:43:18.971]  The Rolls Royce of products.
[00:43:19.351 --> 00:43:21.773]  Cleaning out your telomeres, your mitochondria.
[00:43:21.853 --> 00:43:22.494]  It's 50% off.
[00:43:22.834 --> 00:43:24.375]  Free shipping for triple pay for your points.
[00:43:24.795 --> 00:43:28.318]  And we also have the Body's Ultimate Turmeric Formula back in stock, also discounted.
[00:43:28.538 --> 00:43:29.058]  We'll be right back.
[00:43:30.900 --> 00:43:33.562]  The Globalists keep coming back for more, running their scams.
[00:43:33.862 --> 00:43:35.203]  Joe Hoft, Gateway Pundit.
[00:43:36.462 --> 00:43:39.303]  Final question, we really appreciate you and your brother and all the great work you guys do.
[00:43:39.323 --> 00:43:41.784]  Then I'm going to ask the same question to Patrick Alley, then Leanne McAdoo is coming in.
[00:43:41.804 --> 00:43:43.884]  We've got a bunch of clips and breaking analysis.
[00:43:45.805 --> 00:43:47.205]  What is the enemy's path to victory?
[00:43:47.246 --> 00:43:48.446]  We need to know their mind.
[00:43:48.486 --> 00:43:50.206]  And I mean, they're not doing this for no reason.
[00:43:50.246 --> 00:43:51.647]  They have an intent to steal it.
[00:43:52.927 --> 00:43:54.708]  And they use it to medial cover for all their fraud.
[00:43:54.728 --> 00:43:55.788]  This is naked fraud.
[00:43:56.208 --> 00:43:57.809]  What happens if they're able to remove Trump?
[00:44:01.343 --> 00:44:03.064]  This sounds pretty scary, Alex, doesn't it?
[00:44:03.284 --> 00:44:04.904]  I think it's frightening.
[00:44:04.924 --> 00:44:08.546]  I think we have to do everything we can to make this not happen.
[00:44:08.746 --> 00:44:10.746]  Everything we can with everything we got.
[00:44:10.926 --> 00:44:21.790]  I mean, I'm really concerned that if Biden does win with all the corruption that we already know about from the last time he was in office, I mean, that guy's a total crook.
[00:44:21.810 --> 00:44:25.752]  He doesn't know what's going on now, but he is a crooked, senile old man.
[00:44:26.312 --> 00:44:31.137]  And his whole administration would be insane and very, very corrupt.
[00:44:31.858 --> 00:44:42.590]  The individual who's been behind all this, gosh, I forgot his name now, it just slipped out of my mind, but Obama's ethics czar was put in place.
[00:44:42.770 --> 00:44:43.951]  Everything but ethics.
[00:44:44.011 --> 00:44:47.075]  This guy was an animal and now he's putting the country through this.
[00:44:47.535 --> 00:44:48.677]  I think we gotta fight everything.
[00:44:48.697 --> 00:44:48.997]  I'm not kidding.
[00:44:49.017 --> 00:44:49.978]  I remember that czar.
[00:44:49.998 --> 00:44:56.246]  He was the weirdo that said we can suspend reality and quote, outlaw getting sunshine.
[00:44:56.266 --> 00:44:58.489]  I mean, these are like crazy people.
[00:44:59.264 --> 00:45:01.686]  Yeah, and he was behind the impeachment.
[00:45:01.706 --> 00:45:03.407]  He was behind the Mueller investigation.
[00:45:03.447 --> 00:45:07.450]  He set up 10 different reasons to impeach Trump.
[00:45:07.470 --> 00:45:09.872]  He actually was a witness at the impeachment.
[00:45:10.253 --> 00:45:14.056]  He's been behind everything, and they believe he's behind this as well.
[00:45:14.496 --> 00:45:17.138]  So this is not the kind of people that we need running our country.
[00:45:17.238 --> 00:45:19.580]  We need good Christian men and women.
[00:45:22.542 --> 00:45:24.443]  And, uh, so, you know, Judeo-Christian.
[00:45:24.523 --> 00:45:27.184]  Anyways, um, we've got to get this, we've got to get this fixed.
[00:45:27.204 --> 00:45:29.825]  We've got to fight with every ounce of, uh, that we have.
[00:45:30.345 --> 00:45:32.146]  Um, we cannot allow them to steal this.
[00:45:32.266 --> 00:45:34.287]  It's, it's, it's, it's, it's Eisen.
[00:45:36.024 --> 00:45:36.324]  Yes.
[00:45:36.665 --> 00:45:37.766]  Norm Eisen.
[00:45:37.966 --> 00:45:38.506]  That's right.
[00:45:38.547 --> 00:45:42.650]  I forget the other czar was the one that said outlaw getting sunshine.
[00:45:42.711 --> 00:45:43.832]  I swear to God, folks.
[00:45:44.272 --> 00:45:45.834]  He said we need fact checkers.
[00:45:46.114 --> 00:45:47.095]  We need to take over the news.
[00:45:47.115 --> 00:45:48.636]  This is like 10 years ago and they've done it now.
[00:45:49.257 --> 00:45:49.918]  What was his name?
[00:45:49.958 --> 00:45:50.558]  I'll pop my head in a minute.
[00:45:50.838 --> 00:45:54.462]  He said, like an example is those that claim sunshine's good for you.
[00:45:54.742 --> 00:45:56.084]  I mean, these are crazy people.
[00:45:56.755 --> 00:45:57.736]  Yeah, they are.
[00:45:57.756 --> 00:45:58.636]  And they're evil.
[00:45:58.996 --> 00:45:59.817]  They're evil people.
[00:46:00.237 --> 00:46:06.260]  And I tell you what, four years of more evil, I don't know if I don't, I guess I don't believe our country can make it.
[00:46:06.700 --> 00:46:08.521]  I want my son to enjoy freedom.
[00:46:09.501 --> 00:46:09.902]  I agree.
[00:46:09.922 --> 00:46:10.902]  Joe, we'll talk to you soon.
[00:46:10.942 --> 00:46:11.522]  Thank you so much.
[00:46:11.562 --> 00:46:12.163]  Amazing job.
[00:46:12.343 --> 00:46:12.783]  Thank you.
[00:46:13.063 --> 00:46:14.384]  Patrick Howley, same question to you.
[00:46:15.618 --> 00:46:16.619]  I stand with the President.
[00:46:16.679 --> 00:46:19.583]  I'm 100% committed to victory, and I predict victory.
[00:46:19.643 --> 00:46:24.750]  I believe that we will win every single one of these states that are still there, including by challenging these votes.
[00:46:25.230 --> 00:46:29.776]  And what they're going to do is they're going to launch the riot squads as soon as the media puts Joe at 270.
[00:46:30.979 --> 00:46:35.742]  But, you know, they're going to launch Shut Down DC and Antifa is going to mobilize.
[00:46:35.802 --> 00:46:39.345]  And so they think that will scare the suburbanites into backing away from Trump.
[00:46:39.365 --> 00:46:40.726]  They're trying to break our coalition.
[00:46:41.166 --> 00:46:45.048]  Our job is to keep our people together, is to say, look, we're going to win this thing.
[00:46:45.249 --> 00:46:46.790]  It's just going to take a little while longer.
[00:46:47.090 --> 00:46:48.311]  We need to hold together.
[00:46:48.491 --> 00:46:49.772]  Don't let them intimidate you.
[00:46:49.952 --> 00:46:51.733]  Because in the long run, we're going to win this thing.
[00:46:51.933 --> 00:46:52.634]  I've got the numbers.
[00:46:52.874 --> 00:46:53.654]  I've got the data.
[00:46:53.914 --> 00:46:54.755]  We have the lawyers.
[00:46:55.115 --> 00:47:00.819]  We're going to win because they're stealing this thing with ridiculous paper ballots that don't actually exist.
[00:47:01.859 --> 00:47:02.160]  I agree.
[00:47:02.200 --> 00:47:15.786]  We got Leanne McAdoo coming up, and I'm going to war game that more with you because I just want to say, and I don't want to get on a plane, I don't want to go up to D.C., I don't want to be around Antifa where they're stabbing people and all the rest of it, but they are literally, literally, ladies and gentlemen,
[00:47:16.716 --> 00:47:18.078]  Stabbing people and doing all this.
[00:47:18.178 --> 00:47:23.483]  We have to surround the White House so they can't just point at this mob of communists and say, oh, look, the people want Trump out.
[00:47:23.523 --> 00:47:24.084]  It's legitimate.
[00:47:24.304 --> 00:47:25.425]  We're going to have to hit the streets.
[00:47:25.686 --> 00:47:27.007]  And I want to warn the establishment.
[00:47:27.608 --> 00:47:32.092]  If they think they've seen anything yet with these peaceful crowds of millions, they've not seen anything yet.
[00:47:32.373 --> 00:47:35.356]  Patrick, at a sick level, I want to talk about this when we come back.
[00:47:36.946 --> 00:47:41.868]  If I was Machiavelli, long term, you know, and would do evil stuff for greater good, I don't believe in that.
[00:47:41.948 --> 00:47:43.148]  Injustifies the means of fraud.
[00:47:43.168 --> 00:47:44.189]  It's the Ring of Mordor.
[00:47:44.669 --> 00:47:50.311]  I would have them remove Trump and pull this scam because they're sowing seeds so destructive to the New World Order.
[00:47:50.371 --> 00:47:53.613]  I mean, if they think they've seen resistance, they are going to create a
[00:47:55.583 --> 00:48:01.726]  Hellstorm of resistance if they remove our great president so fraudulently and so, so openly.
[00:48:01.786 --> 00:48:05.327]  I mean, this is, and put, it'd be one thing if it was a slick operator.
[00:48:05.367 --> 00:48:07.669]  I mean, Joe Biden doesn't know what damn planet he's on.
[00:48:08.189 --> 00:48:11.490]  Are gladiators gonna be defeated by this pipsqueak idiot?
[00:48:11.770 --> 00:48:12.751]  No one's gonna buy this.
[00:48:14.056 --> 00:48:17.218]  The globalists are trying to censor what you can see and what you can share.
[00:48:17.518 --> 00:48:18.318]  Don't let them win.
[00:48:18.699 --> 00:48:23.501]  Go to our emergency election newsletter at InfoWars.com forward slash newsletter.
[00:48:23.741 --> 00:48:27.303]  Sign up for free and get intel they don't want you to have and then share it.
[00:48:27.643 --> 00:48:29.945]  InfoWars.com forward slash newsletter.
[00:48:30.145 --> 00:48:32.606]  It's time to override the censors and get the truth out.
[00:48:33.106 --> 00:48:36.528]  I would say that globalization is inevitable unless someone really moves in to stop it.
[00:48:40.205 --> 00:48:44.106]  We have all agreed to pursue the sustainable development goals to 2030.
[00:48:44.506 --> 00:48:53.728]  The fourth industrial revolution, particularly digital technology, has fundamentally changed the global economic landscape.
[00:48:54.528 --> 00:48:58.649]  Globalization is an inevitable and irreversible trend.
[00:49:06.755 --> 00:49:10.619]  We should not avoid the challenges brought by the economic globalization.
[00:49:10.639 --> 00:49:17.086]  Instead, we should look directly at the gap of wealth and of development.
[00:49:17.567 --> 00:49:18.448]  Well, the foundation
[00:49:19.847 --> 00:49:30.856]  You can't achieve ambitious goals in global health without deep partnerships with the rich countries that provide most the aid.
[00:49:31.597 --> 00:49:35.820]  Everything that is broken today can be fixed.
[00:49:36.841 --> 00:49:43.527]  And every failure can be turned into a truly great success.
[00:49:45.100 --> 00:50:01.649]  We must replace the present policy of globalism, which have just taken so many jobs out of our communities, and so much wealth out of our country, and replace it with a new policy of Americanism.
[00:50:06.532 --> 00:50:08.033]  America first.
[00:50:08.713 --> 00:50:09.333]  Remember that.
[00:50:10.054 --> 00:50:11.935]  Now the world is awakening to globalism.
[00:50:13.373 --> 00:50:19.702]  And the forces of globalism are striking back in incredibly vicious ways.
[00:50:19.722 --> 00:50:27.273]  I hope all of your children get raped and killed!
[00:50:27.353 --> 00:50:28.715]  And then there's the 79 days
[00:50:31.437 --> 00:50:31.777]  I think?
[00:50:53.567 --> 00:50:59.975]  Tank the dollar in the stock market, have race riots nationwide as the cover, and try to drive President Trump from office.
[00:51:00.576 --> 00:51:11.589]  The big corporations, the banks, Hollywood, the chi-coms, the Democrats, all of these systems along with radical Islam and communist China
[00:51:12.871 --> 00:51:15.012]  ...are allied against us right now.
[00:51:15.532 --> 00:51:21.095]  We told you when they were in the secret phases that this was happening, but now they've prepared themselves, they've prepared the public.
[00:51:21.335 --> 00:51:23.977]  That's why they flooded us with the 80 million ballots.
[00:51:23.997 --> 00:51:25.557]  A lot of people got three or four ballots.
[00:51:25.617 --> 00:51:28.159]  Dead cats, dead dogs, dead people got them.
[00:51:28.739 --> 00:51:36.243]  So that even if Trump is winning by three, four points in battleground states, and statistically has a majority, and you can see there's a bunch of votes that haven't been cast,
[00:51:36.843 --> 00:51:40.944]  But the easiest thing for him to do is to stand up like a man and accept the results of an election of the American people.
[00:51:40.964 --> 00:51:44.585]  For him to make these kinds of statements shows his lack of patriotism,
[00:52:05.566 --> 00:52:14.354]  I feel very confident that Joe Biden will be elected president on Tuesday, whatever the end count is.
[00:52:14.695 --> 00:52:18.278]  But on the election that occurs on Tuesday, he will be elected.
[00:52:18.358 --> 00:52:22.362]  On January 20th, he will be inaugurated president of the United States.
[00:52:23.226 --> 00:52:43.997]  Now notice, that's not a slip, that's what she's been saying for months, that it doesn't matter what the election says, we're not going to accept it, and then we're going to have states secede, and then we will seat him geographically from another location, and that geography doesn't matter, the White House doesn't matter, it matters who they say the president is.
[00:52:55.299 --> 00:53:01.183]  Well, you want to fight the New World Order, Trump went to Davos and told them point blank, it's over, we're not your bitch.
[00:53:02.003 --> 00:53:03.264]  And now they're striking their attack.
[00:53:04.385 --> 00:53:09.728]  So, if they get in, they're going to bankrupt and gut the country they've said they are, and so...
[00:53:11.391 --> 00:53:12.692]  I guess folks will finally wake up then.
[00:53:12.752 --> 00:53:14.834]  Patrick Howley was making a great point in the last segment.
[00:53:14.854 --> 00:53:18.357]  I want him to recap the path to victory, what the real numbers are, what we're facing.
[00:53:18.778 --> 00:53:21.240]  Leanne McAdoo is going to be riding shotgun with us into the next hour.
[00:53:21.680 --> 00:53:24.142]  Leanne, you were here late last night, did a great job.
[00:53:24.923 --> 00:53:27.585]  A lot of folks were telling me, be confident, he's going to win tonight.
[00:53:27.986 --> 00:53:29.347]  And I said, no, I don't think so.
[00:53:29.407 --> 00:53:32.149]  The Democrats have said they're going to freeze these states and not let him win.
[00:53:32.209 --> 00:53:33.851]  I mean, they said what they were going to do.
[00:53:34.031 --> 00:53:34.231]  Right.
[00:53:34.351 --> 00:53:38.614]  They started to see him take a strong lead in Pennsylvania and just said, you know what?
[00:53:38.654 --> 00:53:39.315]  We're going to go ahead.
[00:53:39.515 --> 00:53:41.637]  This is the Super Bowl of the elections.
[00:53:41.657 --> 00:53:45.119]  We've been preparing for this all year, but we're going to go ahead and just go call it.
[00:53:45.500 --> 00:53:46.200]  Put a lid on it.
[00:53:46.280 --> 00:53:47.041]  Go take a nap.
[00:53:47.501 --> 00:53:48.181]  Get some rest.
[00:53:48.602 --> 00:53:50.483]  I mean, it's unprecedented what's happening.
[00:53:50.623 --> 00:54:02.252]  And I've had I woke up with just like anger in my soul because we're really seeing that there is no limit to how low the Democrats will go, how dark they will take this country.
[00:54:02.432 --> 00:54:03.393]  This is a real moment of truth.
[00:54:03.413 --> 00:54:04.054]  It's a wake-up call.
[00:54:04.094 --> 00:54:06.776]  We're going to be covering all these articles of breaking news you've got in the hour.
[00:54:07.137 --> 00:54:09.119]  Patrick, we appreciate you, NationalFile.com.
[00:54:09.519 --> 00:54:10.660]  Recap what you were saying earlier.
[00:54:10.700 --> 00:54:18.368]  Some stations don't carry that first five minutes about the real path to victory and your realist view and the sources you've got and the real numbers right now and what we need to do.
[00:54:18.708 --> 00:54:20.690]  Because they're trying to take our liberty right now.
[00:54:20.710 --> 00:54:22.012]  They're trying to steal our election right now.
[00:54:23.271 --> 00:54:31.600]  Well I believe that we're going to win the outstanding states and I've just received this statement from Trump campaign manager Bill Stepien and this is breaking news.
[00:54:31.680 --> 00:54:39.569]  He says, despite ridiculous public polling used as a voter suppression tactic, Wisconsin has been a razor thin race as we always knew that it would be.
[00:54:40.089 --> 00:54:41.591]  So the president is engaging, yes!
[00:54:41.611 --> 00:54:41.731]  Yes!
[00:54:41.751 --> 00:54:42.612]  The first X-Wings are away!
[00:55:01.448 --> 00:55:06.711]  Now, we are confident that Trump is going to win Pennsylvania by at least 40,000 votes.
[00:55:06.931 --> 00:55:16.416]  That this massive, more than half a million vote margin that President Donald Trump has right now, even with all of the rampant fraud in Philadelphia, is not going to be overturned.
[00:55:16.716 --> 00:55:20.158]  And by the way, they do not want to fight us in the courts in Pennsylvania.
[00:55:20.178 --> 00:55:24.080]  They do not want to go through ballot by ballot in Philadelphia.
[00:55:24.521 --> 00:55:25.581]  Georgia is a joke.
[00:55:25.901 --> 00:55:29.723]  Georgia, they are so desperate, they had to do the burst water pipe, okay?
[00:55:29.763 --> 00:55:30.704]  The burst water pipe.
[00:55:31.064 --> 00:55:35.545]  And now they want until Friday to cook up ballots in Fulton County.
[00:55:35.765 --> 00:55:36.886]  It's the biggest joke ever.
[00:55:36.926 --> 00:55:40.067]  Trump's up by over 100,000 as of the last counting.
[00:55:40.387 --> 00:55:43.528]  Even the new updates, they're not moving the lever at all in Georgia.
[00:55:43.808 --> 00:55:45.688]  Everybody knows Trump is winning Georgia.
[00:55:46.349 --> 00:55:47.729]  Wisconsin, we're recounting.
[00:55:48.009 --> 00:55:52.170]  We have no idea even what the real numbers are because of all these ridiculous ballots that were done.
[00:55:52.210 --> 00:55:57.612]  What about Nevada that Fox evilly called, as we predicted early, playing the part of Judas Iscariot?
[00:55:58.871 --> 00:56:05.256]  Nevada's very much in play and in fact Jason Miller and Stepien said earlier today that they believe both Arizona and Nevada's in play.
[00:56:05.296 --> 00:56:10.059]  The last count that we have for Nevada at 86% and it cuts off at 86%.
[00:56:11.840 --> 00:56:15.363]  Biden is only up by 7,647 votes.
[00:56:15.743 --> 00:56:22.888]  We know Trump's super popular in Las Vegas and we know a ton of people in Nevada want to get back to work at casinos and resorts and entertainment.
[00:56:22.908 --> 00:56:23.849]  They don't want to be locked down.
[00:56:23.869 --> 00:56:26.671]  Who believes that they want the lockdown to continue?
[00:56:26.711 --> 00:56:27.711]  This is pure horse manure.
[00:56:29.204 --> 00:56:29.945]  Absolutely not.
[00:56:30.045 --> 00:56:32.288]  Every casino owner in Las Vegas loves sports.
[00:56:32.308 --> 00:56:33.089]  What about Arizona?
[00:56:33.129 --> 00:56:34.611]  Fox News falsely claimed that too.
[00:56:34.932 --> 00:56:35.573]  What about Arizona?
[00:56:36.829 --> 00:56:38.330]  So here's the deal in Arizona.
[00:56:38.370 --> 00:56:42.994]  They claim Biden's up by about 93,000 votes with 84% reporting.
[00:56:43.275 --> 00:56:51.562]  I don't believe it for a minute, and I believe that there are massive irregularities with the numbers stemming from, and this is a real scoop, the Sharpie problem.
[00:56:51.782 --> 00:57:02.171]  They were giving out Sharpies to conservatives to sign the ballots, and then I believe it has been alleged that only the ballpoint pen ballots were being counted, in addition to various other irregularities.
[00:57:02.671 --> 00:57:04.892]  Arizona is going to end up in court, no question about it.
[00:57:04.932 --> 00:57:07.153]  The Trump campaign was livid at Fox News.
[00:57:07.534 --> 00:57:12.716]  I think Fox News calling that early was the most shameful thing they've ever done, including cheerleading for the Iraq War.
[00:57:12.996 --> 00:57:13.737]  It was awful.
[00:57:14.357 --> 00:57:17.919]  Tucker Carlson questioned it to them on the air, you know, right to their faces.
[00:57:17.999 --> 00:57:19.420]  But Fox is ridiculous.
[00:57:19.440 --> 00:57:21.441]  That Arnon guy is a joke.
[00:57:21.701 --> 00:57:24.222]  Nobody's ever heard of him and yet he's like the new Fauci.
[00:57:24.342 --> 00:57:25.923]  Oh, Arnon, tell us what to think.
[00:57:26.123 --> 00:57:27.084]  Who cares about Arnon?
[00:57:27.344 --> 00:57:29.145]  Infowars is way better than Fox News.
[00:57:29.465 --> 00:57:31.706]  Fox isn't running this and I think that Trump
[00:57:32.226 --> 00:57:44.269]  White House and the Trump campaign needs to realize that Fox is not running this because the Fox top government executive in Washington DC, their top guy, was Biden's chief of staff and they've got Donna Braville running.
[00:57:44.289 --> 00:57:45.109]  That's right, Patrick Howley.
[00:57:45.149 --> 00:57:46.549]  Join us again as things develop.
[00:57:46.569 --> 00:57:47.250]  Stay in contact.
[00:57:47.750 --> 00:57:48.550]  Pop in throughout the day.
[00:57:48.630 --> 00:57:49.750]  Rodgers Jones coming up as well.
[00:57:49.790 --> 00:57:50.970]  Thank you so much Patrick Howley.
[00:57:51.230 --> 00:57:52.711]  We'll be right back with Lee Ann McAdoo.
[00:57:52.751 --> 00:57:53.411]  I'm Alex Jones.
[00:57:55.762 --> 00:58:01.526]  Welcome back, I'm your host Alex Jones, and I do intend to host right through until like 9 o'clock tonight with the rest of the great crew.
[00:58:01.546 --> 00:58:02.667]  A bunch of big guests coming up.
[00:58:03.608 --> 00:58:07.211]  Leanne McAdoo, back with the team here for election coverage.
[00:58:07.251 --> 00:58:08.732]  She's been here eight years or so.
[00:58:09.292 --> 00:58:10.413]  Good to have her back visiting.
[00:58:11.354 --> 00:58:15.877]  Leanne, your perspective on this is really what I should have been saying from the very start of the show.
[00:58:16.198 --> 00:58:20.381]  There's one set of responsibilities for Trump, another for the media and the Democrats.
[00:58:20.481 --> 00:58:23.023]  It's more transparent than ever, but they're just doing it.
[00:58:23.550 --> 00:58:27.093]  Right, only the media is allowed to call the election.
[00:58:27.113 --> 00:58:33.978]  You know, New York Times actually had to delete their tweet where they said it's the media who gets to say who is elected president.
[00:58:34.498 --> 00:58:37.861]  And, you know, how dare Trump declare an early victory?
[00:58:37.901 --> 00:58:40.823]  And they've been kind of massaging this into our brains, preparing us for
[00:58:41.303 --> 00:58:45.406]  Oh, if he even dares try to declare early victory, how evil would he be?
[00:58:45.826 --> 00:58:53.812]  Meanwhile, they all stop and pause their broadcast so that they can bring Joe Biden out last night before he needs to go get in bed and take a nap.
[00:58:54.733 --> 00:58:57.415]  You know, that he can come out and say, we think we've definitely won.
[00:58:57.995 --> 00:59:01.497]  Trump says basically the same thing and gets taken off Twitter.
[00:59:02.611 --> 00:59:10.897]  Yeah I mean it's just it's and then of course Fox News and all these other networks they really go after him hardcore forcefully calling him out.
[00:59:10.917 --> 00:59:12.558]  Networks repudiate the president.
[00:59:12.658 --> 00:59:18.682]  How dare he say that and and call the election integrity into question.
[00:59:18.702 --> 00:59:19.983]  Because remember they never said he was
[00:59:21.083 --> 00:59:28.806]  They said, though, he wasn't legitimate for all those years as a Russian agent when it was Joe Biden and Obama and Hillary hanging off the Russian teepees.
[00:59:28.966 --> 00:59:29.726]  Nancy Pelosi.
[00:59:30.426 --> 00:59:39.869]  I mean, we've only scratched the surface of the family members who have been enriched by these politicians that have been in office for 40 plus years.
[00:59:40.269 --> 00:59:48.652]  Nancy Pelosi doesn't want anyone to peel back the curtain on her family and how they've become so massively wealthy, you know, on her salary.
[00:59:50.012 --> 01:00:00.199]  So, you know, this is just, we're just at the beginning here and Michael Moore came out and said how afraid we should all be that Trump is going to have the nuclear codes for the next 60 plus days.
[01:00:00.300 --> 01:00:00.900]  He's horrible.
[01:00:00.940 --> 01:00:02.401]  He's been pulling us out of all these wars.
[01:00:02.441 --> 01:00:03.362]  He's going to nuke us.
[01:00:03.542 --> 01:00:03.802]  Yeah.
[01:00:03.922 --> 01:00:05.123]  Everything's upside down world.
[01:00:05.203 --> 01:00:07.865]  It's absolutely opposite of everything that's going on.
[01:00:08.225 --> 01:00:08.586]  In fact,
[01:00:09.606 --> 01:00:17.034]  If that's the case, I hope Trump does go nuclear on all of the people that have been involved in this coup for the last four years.
[01:00:17.054 --> 01:00:20.037]  Remember, Swallowswell said if Americans won't turn their guns in, we'll nuke them.
[01:00:20.697 --> 01:00:27.144]  So you're not literally saying nuke them, you're saying he needs to go nuclear politically, but he's just got a bunch of not-need lawyers in the Justice Department.
[01:00:27.284 --> 01:00:32.186]  Yes, I mean he has had everything going against him for the last four years.
[01:00:33.107 --> 01:00:39.109]  He's had people pushed into his administration that were just there to take him out.
[01:00:39.909 --> 01:00:46.572]  He had a Herculean job like cleaning out the Aegean Stables and he's done that and now he's under, now he's fighting the Hydra.
[01:00:46.612 --> 01:00:50.534]  I mean this is so real, so epic, I can't turn away but it's horrifying.
[01:00:50.754 --> 01:00:50.934]  Right.
[01:00:51.114 --> 01:00:53.075]  And China, they want Biden in.
[01:00:53.255 --> 01:00:54.856]  And they say they do.
[01:00:55.256 --> 01:00:58.617]  They're so excited for the potential that Biden might be back in.
[01:00:59.278 --> 01:01:01.258]  They said that he is in sync with them.
[01:01:01.478 --> 01:01:01.658]  Right.
[01:01:01.779 --> 01:01:02.339]  That's a quote.
[01:01:02.399 --> 01:01:03.679]  They said he is literally them.
[01:01:03.939 --> 01:01:04.160]  Right.
[01:01:04.300 --> 01:01:15.744]  And I think that that's what we were being prepared for back in 2016, 2013, 14, 15, when President Obama was basically telling us that we needed to get used to just not being the superpower anymore.
[01:01:16.124 --> 01:01:17.545]  We need to just get used to it.
[01:01:17.605 --> 01:01:18.866]  Our jobs aren't coming back.
[01:01:20.086 --> 01:01:21.186]  Enjoy how he screwed you.
[01:01:21.406 --> 01:01:21.606]  Right.
[01:01:21.687 --> 01:01:26.348]  And they thought Hillary Clinton would get in and just be able to do that peaceful transition.
[01:01:26.388 --> 01:01:28.209]  I'm a woman, so I'm allowed to cut the country.
[01:01:28.429 --> 01:01:28.909]  I'm a woman.
[01:01:29.249 --> 01:01:30.169]  Don't hurt a woman.
[01:01:30.489 --> 01:01:32.290]  And then of course, President Trump got in.
[01:01:32.530 --> 01:01:38.172]  He started to really turn things around and as a smart businessman say, wait, why are we selling America out?
[01:01:38.692 --> 01:01:41.693]  He just said, we're not having one-sided deals anymore.
[01:01:42.473 --> 01:01:49.455]  A lot of minorities were doing so much better under President Trump that it was starting to really actually rattle the Democratic Party.
[01:01:49.875 --> 01:01:59.858]  So there was no other option for the globalists than to send out COVID, to crash the economy worldwide, to take everybody out.
[01:02:00.799 --> 01:02:03.259]  And I really do feel like this was a plandemic.
[01:02:05.200 --> 01:02:19.914]  Not necessarily the most vicious of the diseases they have laying in wait, but just something that could, you know, give them a little bit of opportunity to take down and sort of do some projection mapping to see how a global pandemic would actually affect them.
[01:02:19.934 --> 01:02:20.214]  Exactly.
[01:02:20.254 --> 01:02:25.739]  This was a giant drill, and we've passed the test as good slaves, and now Bill Gates has some more deadly weapons coming on Colbert.
[01:02:25.939 --> 01:02:37.870]  And I just cannot believe the amount of people that have voted for Joe Biden knowing that they're going to have more lockdowns, more masks, and everyone's like, oh well maybe it'll be peaceful if he gets in and there won't be any more violence.
[01:02:38.030 --> 01:02:43.795]  No, they're going to be sending out the military and using their power to come round up anyone who refuses to wear a mask.
[01:02:43.816 --> 01:02:47.199]  They've said what you've seen in Europe, what you've seen in Australia, is coming under Biden.
[01:02:48.099 --> 01:02:49.300]  And they have Stockholm Syndrome, Leanne.
[01:02:49.340 --> 01:02:51.041]  They're not a leader like you or other of our listeners.
[01:02:51.322 --> 01:02:54.624]  They literally just cannot believe they're faced with an oppressor.
