[00:00:00.535 --> 00:00:00.895]  Warning.
[00:53:04.492 --> 00:53:05.633]  It's been a very important day.
[00:53:08.320 --> 00:53:36.407]  The point in the accurate intel is that they are targeting, and when I say they, when you talk about cuts forces, when you talk about individuals who happen to be in the country, around the world, who are well-trained and getting orders, is to attack social media influencers, media influencers, protectors of America, people who have a platform, political figures, and eventually, with the fatwa, the bounty on the President of the United States head.
[00:53:36.827 --> 00:53:37.567]  And that should be
[00:53:39.048 --> 00:53:40.489]  Well, that's powerful information.
[00:53:40.769 --> 00:53:50.817]  You know, unfortunately, we don't know if this is true, CNN's reporting that there are Iraqi casualties, according to a security source, from the attack.
[00:54:07.662 --> 00:54:14.470]  Did you, again it does seem bold of Iran to take credit for an attack from their own territory.
[00:54:14.530 --> 00:54:22.038]  Why would they launch an attack from their own territory into another territory knowing under international law that green lights a strike on their own country?
[00:54:22.639 --> 00:54:26.984]  Well, because historically they, you know,
[00:54:28.092 --> 00:54:29.453]  They project what they're going to do.
[00:54:29.673 --> 00:54:31.334]  They telegraph what they're going to do.
[00:54:32.474 --> 00:54:33.235]  Why do they do that?
[00:54:33.255 --> 00:54:40.679]  Because I don't want to compare myself to the Iranian Shiites, but when I'm going somewhere, I say I'm going to infiltrate Bohemian Grove, or I'm going to Virginia to cover this.
[00:54:41.079 --> 00:54:49.364]  I just have this thing where I like to announce everybody knows, and usually when the police or whatever, they actually like that because I tell them I'm coming to do this, and I come to do that.
[00:54:49.504 --> 00:54:50.905]  For me it's a safety thing to not
[00:54:51.505 --> 00:54:53.927]  To not have stuff where people don't know what I'm going to do.
[00:54:53.947 --> 00:54:54.607]  Does that make sense?
[00:54:55.027 --> 00:54:58.850]  Especially if someone wants to frame me and claim I'm going to do something I'm not going to do.
[00:54:58.910 --> 00:55:01.372]  Why would the Iranians telegraph militarily what they want to do?
[00:55:01.652 --> 00:55:03.873]  Because in my experience, that's not good militarily to do.
[00:55:03.893 --> 00:55:05.674]  What do you think, Zach?
[00:55:05.714 --> 00:55:10.237]  Because the only leverage that they have is international law, the EU, and the Democrats.
[00:55:10.778 --> 00:55:15.181]  So what's going to happen is, and they've been quoted.
[00:55:17.722 --> 00:55:25.789]  The chairman, he said, he said, this is an attack—this is an act of aggression against Iran, and it amounts to an armed attack against Iran.
[00:55:26.129 --> 00:55:31.453]  And we will respond, but we will respond proportionally, not disproportionately.
[00:55:32.074 --> 00:55:38.579]  We will not be lawless like President Trump, the top Iranian diplomat added.
[00:55:39.860 --> 00:55:43.964]  They have international law at their side.
[00:55:44.665 --> 00:55:53.891]  Because international law happens to take in the EU and a lot of corrupt other entities that they think if they could get enough countries on their side, we can flip this thing over.
[00:55:54.331 --> 00:55:54.812]  Exactly.
[00:55:54.832 --> 00:55:59.174]  So it's squaring up as a globalist versus America deal.
[00:55:59.194 --> 00:56:01.596]  The verbiage in his statement is problematic.
[00:56:01.636 --> 00:56:03.177]  So was Trump walked into a trap?
[00:56:03.197 --> 00:56:05.358]  The verbiage is not, I'm going to come mess you up.
[00:56:05.459 --> 00:56:07.840]  It's very legal.
[00:56:08.200 --> 00:56:08.981]  I'll just leave it at that.
[00:56:10.256 --> 00:56:12.161]  Well, Drudge is reporting it's war.
[00:56:12.281 --> 00:56:14.788]  Missiles fired from Iran, revenge, oil up 4%.
[00:56:15.530 --> 00:56:16.693]  We called it hours ago.
[00:56:16.713 --> 00:56:16.934]  You did.
[00:56:21.868 --> 00:56:25.992]  If things explode tonight, which they're already exploding, we'll be back live.
[00:56:26.032 --> 00:56:28.914]  But I think for the crew and everybody else, we're just going to end now.
[00:56:28.954 --> 00:56:30.295]  Zach, great job with your reportage.
[00:56:30.315 --> 00:56:31.936]  Can I ask Zach one question before he goes?
[00:56:31.956 --> 00:56:32.296]  Sure, sure.
[00:56:32.737 --> 00:56:36.399]  Zach, I just want to know if you know this, how did the U.S.
[00:56:36.479 --> 00:56:39.241]  get intel of where Soleimani was going to be?
[00:56:39.301 --> 00:56:40.722]  Did they get that themselves?
[00:56:40.763 --> 00:56:44.425]  Did they have to get that from Iranian intel, from Iraqi intel, from Israeli intel?
[00:56:44.465 --> 00:56:45.266]  How did they get that intel?
[00:56:45.286 --> 00:56:48.068]  I got it from Iraqis that were planning to meet with him for days from what I've got, Zach.
[00:56:48.168 --> 00:56:52.051]  So does that mean they have people in Iraq cooperating with our intelligence agencies?
[00:56:53.092 --> 00:57:09.324]  So, through special operations we have guys who are in certain countries or certain areas of operation who happen to be working on our side who just happen to be citizens on their side, so they think.
[00:57:10.044 --> 00:57:12.966]  So there's inbeds on all operations here basically?
[00:57:13.006 --> 00:57:14.087]  Yeah, bears crap in the woods.
[00:57:14.107 --> 00:57:15.348]  Oh, without question.
[00:57:18.311 --> 00:57:20.033]  Zach, do you think more big action tonight?
[00:57:20.053 --> 00:57:22.234]  Do you think B-52 dropping bomb tonight, or we just don't know?
[00:57:23.055 --> 00:57:23.876]  Well, that's another thing.
[00:57:23.916 --> 00:57:25.377]  The time change is imperative.
[00:57:26.558 --> 00:57:27.519]  To us, it's tonight.
[00:57:27.539 --> 00:57:28.480]  To them, it's tomorrow.
[00:57:30.501 --> 00:57:31.222]  Very possible.
[00:57:32.343 --> 00:57:33.584]  Obviously, we'll be in touch, Alex.
[00:57:35.085 --> 00:57:36.006]  I have a couple things.
[00:57:36.647 --> 00:57:40.170]  Yeah, I don't want to cut this off, but we've got satellites and a bunch of other connections.
[00:57:40.510 --> 00:57:42.652]  Can we just roll through this break to the big crew in there?
[00:57:47.895 --> 00:57:49.657]  Okay, Trump's about to address the nation.
[00:57:50.898 --> 00:57:54.662]  So, my question to the engineers who are awesome... You should have seen him at Texas.
[00:57:55.563 --> 00:57:56.404]  No, no, stay there, Zach.
[00:57:56.744 --> 00:57:57.625]  Put Zach on hold real quick.
[00:57:58.186 --> 00:58:06.014]  I want to say to the crew, it's a great big crew in here, but it's kind of a ragtag group, we're going to roll through the break and go commercial free so we can keep going over our feeds and satellite, right?
[00:58:07.355 --> 00:58:07.775]  No problem.
[00:58:23.664 --> 00:58:25.045]  Uh, and everybody else, we don't want war.
[00:58:25.085 --> 00:58:25.966]  This is not a fun thing.
[00:58:25.986 --> 00:58:26.926]  We're skipping this break.
[00:58:27.507 --> 00:58:29.368]  Uh, Trump is set to address the nation.
[00:58:29.808 --> 00:58:30.649]  Iran warns U.S.
[00:58:30.729 --> 00:58:31.950]  allies they will be targeted.
[00:58:31.970 --> 00:58:33.671]  Uh, Zach, you've got the floor.
[00:58:33.711 --> 00:58:36.032]  We just skipped this, you know, and I, it's your show.
[00:58:36.052 --> 00:58:36.593]  We went over to this.
[00:58:36.953 --> 00:58:37.734]  I appreciate the crew.
[00:58:37.754 --> 00:58:41.256]  Sorry, I was yelling at folks earlier, uh, behind the scenes, but this is all real.
[00:58:41.276 --> 00:58:42.237]  This is teleprompter free.
[00:58:42.477 --> 00:58:45.959]  We're not like minions on TV that get a talking point and then, then repeat it.
[00:58:45.999 --> 00:58:48.181]  We're really trying to war game both angles.
[00:58:48.221 --> 00:58:51.223]  Like some listeners, we've, some guests have been against the strike.
[00:58:51.243 --> 00:58:52.984]  Some have been for, cause I'm both ways.
[00:58:53.624 --> 00:58:55.765]  And look, I'm 100% against pedophilia.
[00:58:56.006 --> 00:58:57.667]  I'm 100% against taking the guns.
[00:58:57.907 --> 00:58:59.448]  I'm 100% against destroying America.
[00:58:59.488 --> 00:59:00.909]  I'm 100% against devil worship.
[00:59:01.149 --> 00:59:03.270]  But when it comes to launching wars and stuff, it's complex.
[00:59:03.310 --> 00:59:05.351]  So I'm like, I'm trying to figure this out too.
[00:59:05.391 --> 00:59:05.912]  So is Owen.
[00:59:05.932 --> 00:59:06.712]  We're real people.
[00:59:07.092 --> 00:59:08.093]  We're real leaders.
[00:59:08.493 --> 00:59:10.294]  But that means we're leading.
[00:59:10.394 --> 00:59:13.116]  We've got to figure it out, just like our listeners are leading.
[00:59:13.376 --> 00:59:16.117]  Our listeners call that is all the time and I go, my God, that's incredible.
[00:59:16.397 --> 00:59:17.217]  We're going to do that.
[00:59:17.277 --> 00:59:22.539]  So what I'm telling you is if it's a little train wrecky sometimes, that's because the globalists get committees.
[00:59:22.980 --> 00:59:24.100]  It's all ironed out.
[00:59:24.160 --> 00:59:25.401]  They roll out their BS.
[00:59:25.701 --> 00:59:27.141]  They talk like parrots all day.
[00:59:27.421 --> 00:59:29.342]  People tune into this because it's real.
[00:59:29.642 --> 00:59:31.483]  You can say whatever you want about Trump.
[00:59:32.043 --> 00:59:33.164]  He may agree, disagree.
[00:59:33.404 --> 00:59:33.885]  He's real.
[00:59:33.925 --> 00:59:34.806]  He's trying to be the president.
[00:59:35.266 --> 00:59:36.627]  And everybody gets that.
[00:59:36.667 --> 00:59:39.590]  So, Zach, Owen, you guys take some time.
[00:59:39.630 --> 00:59:41.251]  Zach, take like 5-10 minutes, as much as you want.
[00:59:41.512 --> 00:59:42.552]  And Owen, you jump in here.
[00:59:43.693 --> 00:59:45.055]  I'm getting some other calls from sources.
[00:59:45.075 --> 00:59:45.735]  I'm going to run in here.
[00:59:46.016 --> 00:59:46.576]  Don't hang up.
[00:59:46.616 --> 00:59:47.277]  Stay there, Zach.
[00:59:47.597 --> 00:59:49.999]  And then we're going to continue live, unabated here.
[00:59:50.840 --> 00:59:52.942]  Our servers have been hit with huge denial of service.
[00:59:54.571 --> 00:59:56.612]  The next biggest we were ever hit with.
[00:59:57.593 --> 01:00:00.334]  And so the fact that when these rockets were getting launched, we were getting hit.
[01:00:00.394 --> 01:00:01.655]  I'm not saying it's Iran doing it.
[01:00:02.075 --> 01:00:04.416]  My experience, they've got allies here in the U.S.
[01:00:05.257 --> 01:00:09.959]  My instinct is Obama and the globalists were working with Iran, planning something big.
[01:00:09.999 --> 01:00:11.700]  But Trump has announced he's going to address the nation.
[01:00:11.980 --> 01:00:13.181]  So I'll call my wife and children.
[01:00:13.261 --> 01:00:14.241]  Owen, are you good with the crew?
[01:00:14.542 --> 01:00:15.002]  Everybody good?
[01:00:15.042 --> 01:00:17.323]  Did you just stay here and see the president and what he's about to announce?
[01:00:17.523 --> 01:00:19.244]  Because you know he's about to announce military strikes.
[01:00:19.604 --> 01:00:21.165]  So obviously, yes, we're going to stay here, right?
[01:00:21.445 --> 01:00:23.567]  This has the same feelings I remember.
[01:00:23.607 --> 01:00:24.548]  It was 2003.
[01:00:24.808 --> 01:00:27.210]  I was at my friend's house, and we were eating dinner.
[01:00:27.490 --> 01:00:39.059]  I was having it overnight, and we were tuned in to the Bush address when he announced that we were about to go to war in the Middle East, in Iraq, in Afghanistan.
[01:00:39.099 --> 01:00:40.521]  And I kind of have that same feeling.
[01:00:40.561 --> 01:00:43.243]  And that was for the Globalist Project to let Iran take over Iraq.
[01:00:43.303 --> 01:00:46.285]  And I'll tee this up for Zach, and then he can go on and explain this.
[01:00:46.786 --> 01:00:49.248]  Here's why I feel so sick right now.
[01:00:50.475 --> 01:00:52.657]  We know we've been lied into wars before.
[01:00:52.797 --> 01:00:54.338]  It's a horrible situation over there.
[01:00:55.478 --> 01:00:58.040]  Maybe it's possible for Trump to clean it up, maybe it's not.
[01:00:58.100 --> 01:01:07.827]  What I'm afraid is they know how to maneuver Trump enough now to get him to launch a bigger strike and then blame him for World War III, whether he believes he's going to lie or not.
[01:01:07.847 --> 01:01:08.087]  Forget Trump!
[01:01:08.107 --> 01:01:09.728]  The Iranians have already given them what they need!
[01:01:10.128 --> 01:01:12.070]  But that's my point, and so obviously Trump's going to respond.
[01:01:12.110 --> 01:01:14.051]  So are they confident because they've got a deep state trap?
[01:01:14.711 --> 01:01:15.652]  That's a great question, Owen.
[01:01:15.832 --> 01:01:16.753]  Sorry, go ahead, Zach.
[01:01:17.887 --> 01:01:22.633]  What I want to do right now is let Owen talk because he's such an incredible analyst.
[01:01:22.813 --> 01:01:23.434]  You're right.
[01:01:23.534 --> 01:01:25.136]  Owen, break it down and then Zach's comments.
[01:01:25.236 --> 01:01:27.800]  I want to hear what you have to say about this.
[01:01:27.820 --> 01:01:28.400]  Lay it out, Owen.
[01:01:28.421 --> 01:01:29.342]  Bring something else out of me.
[01:01:30.356 --> 01:01:44.603]  So my fear here, and the same thing happened I think with Mark Zuckerberg the other day with this dinner, where Zuckerberg goes to Trump and he's like, oh you're number one, you're the best Trump, and then Trump's like, ooh I'm the biggest thing on Facebook, and he forgets to talk about the censorship, which is the real issue.
[01:01:45.103 --> 01:01:53.948]  So it's like, now it's like, oh look Trump, they're attacking our bases, they're making you look bad, they're striking us again, they're deliberately doing it in your face.
[01:01:54.668 --> 01:01:57.870]  Trump, egomaniacal, American proud, likes the military.
[01:01:57.890 --> 01:02:00.432]  By the way, go to this feed, there's Trump right there.
[01:02:00.452 --> 01:02:03.454]  Go to the Fox Business feed, keep talking to him.
[01:02:03.494 --> 01:02:12.019]  So have they basically put Trump, it's like you said, they already had all these pieces in place for when Hillary got in, it just would have gone differently.
[01:02:12.339 --> 01:02:14.461]  So now they've kind of had to reshuffle the deck.
[01:02:14.481 --> 01:02:16.262]  The big thing is, is this.
[01:02:17.387 --> 01:02:23.610]  Imagine a guy who authorized the $1.7 billion going there is radio silent.
[01:02:24.010 --> 01:02:24.610]  How could that be?
[01:02:25.691 --> 01:02:26.631]  And he's been radio silent.
[01:02:26.651 --> 01:02:28.352]  Where is the former President of the United States?
[01:02:28.852 --> 01:02:29.312]  Where is he?
[01:02:29.732 --> 01:02:35.895]  And I agree, the Democrats went radio silent earlier today, but before that they were saying international war crimes, but I agree.
[01:02:36.155 --> 01:02:37.276]  But I'm asking you, Jack.
[01:02:37.416 --> 01:02:41.978]  Any county, any city in America, you would be arrested, you'd be brought in until you're charged.
[01:02:43.291 --> 01:02:52.978]  Well, and I think, too, to answer your question, if you're Obama and John Kerry, and you know that you're connected to these people, that's not hearsay, that's a fact.
[01:02:53.079 --> 01:02:54.820]  Like you said, billions of dollars of cash.
[01:02:55.560 --> 01:02:56.621]  So let's talk about it.
[01:02:57.222 --> 01:03:00.544]  Let's just lay out the geopolitical ramifications of the deep state.
[01:03:00.925 --> 01:03:04.547]  Zach, from your research, who are the factions in Iran versus the globalist factions?
[01:03:06.929 --> 01:03:11.753]  I feel real danger in the air, but I think they miscalculated because they pushed Trump three or four times.
[01:03:11.773 --> 01:03:12.474]  He didn't respond.
[01:03:12.754 --> 01:03:15.116]  I definitely think Trump made this decision.
[01:03:15.436 --> 01:03:16.317]  The deep state didn't.
[01:03:16.597 --> 01:03:18.899]  I see real fear in the Democrats' faces.
[01:03:19.279 --> 01:03:21.761]  They were trying to talk crap a few days, calling for the Hague.
[01:03:22.181 --> 01:03:24.283]  Now they realize that that messaging's not working.
[01:03:24.303 --> 01:03:25.284]  They're crapping their pants.
[01:03:25.544 --> 01:03:29.107]  The neocons want a wider war, but they've always double dealt as well.
[01:03:29.147 --> 01:03:29.967]  Do they really want it?
[01:03:30.288 --> 01:03:31.208]  This isn't Iraq.
[01:03:31.308 --> 01:03:34.171]  This is people that are really going to give us a run for our money.
[01:03:34.711 --> 01:03:35.932]  Which is going to lead to a huge war.
[01:03:35.952 --> 01:03:36.873]  What will the Chinese do?
[01:03:36.893 --> 01:03:37.833]  What will the Russians do?
[01:03:38.154 --> 01:03:38.954]  You can feel it.
[01:03:39.315 --> 01:03:40.976]  That's the sick feeling in your stomach.
[01:03:41.356 --> 01:03:42.757]  Is danger Will Robinson?
[01:03:44.258 --> 01:03:45.359]  I agree.
[01:03:45.999 --> 01:03:48.001]  I couldn't believe the way this played out.
[01:03:48.041 --> 01:04:00.110]  But when you look at the timeline, what we see just not even two weeks ago is the Iranians in conjunction with the Chinese and the Russians holding a joint naval drill.
[01:04:01.231 --> 01:04:02.612]  This is a couple days ago.
[01:04:03.447 --> 01:04:05.188]  This is completely problematic.
[01:04:05.608 --> 01:04:08.730]  What we're not hearing is anything from the Russians, anything from the Chinese.
[01:04:08.810 --> 01:04:09.490]  Oh, let me stop you.
[01:04:09.510 --> 01:04:10.271]  That was my next question.
[01:04:10.291 --> 01:04:11.291]  You are magic, Zach.
[01:04:11.691 --> 01:04:14.193]  Putin landed in Damascus unannounced today.
[01:04:14.213 --> 01:04:15.413]  Of course.
[01:04:15.653 --> 01:04:17.334]  That is a message we did hear from the Russians.
[01:04:17.374 --> 01:04:20.536]  I guess he's saying, we've got a right to stability.
[01:04:20.556 --> 01:04:22.317]  That's a pretty bold move.
[01:04:22.915 --> 01:04:38.549]  And we also have a message from Basar al-Assad, who's been getting his brains beat in by this problematic diplomatic conflict that's been started by the Red Line fiasco with, who other else, the 1.7 billion dollar pimp than Barack Hussein Obama.
[01:04:39.887 --> 01:04:40.408]  I mean, where is he?
[01:04:57.068 --> 01:04:59.670]  I'm not even saying what Trump did is a good move, because we don't know yet.
[01:04:59.830 --> 01:05:01.252]  And I'm not trying to hedge bets here.
[01:05:01.272 --> 01:05:02.112]  I back America.
[01:05:02.673 --> 01:05:04.534]  But we've been suckered in so many times.
[01:05:04.575 --> 01:05:07.417]  The point is, war is in the air.
[01:05:07.717 --> 01:05:14.663]  And, well, Zach, instead of me interrupting, you talk five minutes, then Owen talks five minutes, and then I'm going to give the number out and take calls.
[01:05:15.444 --> 01:05:19.667]  What I really want to do is hear Owen talk, because... Yeah, Owen, stop stopping for Zach.
[01:05:19.707 --> 01:05:20.788]  You go for a rant.
[01:05:21.669 --> 01:05:23.691]  Just talk, and I'm going to bounce off you.
[01:05:24.244 --> 01:05:27.266]  I think if I'm Barack Obama and John Kerry, I'm hiding.
[01:05:27.606 --> 01:05:30.367]  In fact, I'm probably trying to get out of the United States of America, even.
[01:05:31.308 --> 01:05:37.992]  I'd be on a ship, I'd be out in the middle of the ocean trying to disappear because, like you said, they have a direct connection to this now.
[01:05:38.492 --> 01:05:47.017]  And if we do end up in a hot kinetic war with Iran, where it's bomb for bomb, essentially, and you start having severe casualties,
[01:05:47.617 --> 01:05:50.279]  Well, yeah, the silence from Obama is going to be deafening.
[01:05:50.800 --> 01:05:55.624]  And, you know, President Trump called out John Kerry meeting with the Iranians.
[01:05:55.664 --> 01:05:57.125]  He said they violated the Logan Act.
[01:05:57.265 --> 01:05:58.486]  Well, it's time for some action then.
[01:05:58.826 --> 01:06:00.848]  I mean, Trump sits here and calls all this stuff out.
[01:06:01.449 --> 01:06:02.249]  Arrest the man.
[01:06:02.890 --> 01:06:04.411]  Send out a military squad.
[01:06:04.431 --> 01:06:06.813]  Say, bring John Kerry to me now.
[01:06:06.833 --> 01:06:09.415]  I couldn't agree more.
[01:06:09.936 --> 01:06:10.957]  I couldn't agree more.
[01:06:10.997 --> 01:06:12.078]  You're spot on.
[01:06:12.678 --> 01:06:13.659]  And that's what it is.
[01:06:14.219 --> 01:06:15.861]  People in this
[01:06:16.704 --> 01:06:19.025]  Close culture, they forget the timeline.
[01:06:19.685 --> 01:06:20.926]  They forget the timeline.
[01:06:21.086 --> 01:06:22.627]  But the timeline is imperative.
[01:06:22.987 --> 01:06:25.708]  When we have the timeline, we can connect the dots.
[01:06:26.008 --> 01:06:27.849]  When we connect the dots, we can solve the crime.
[01:06:28.229 --> 01:06:29.450]  And there's a crime that's been committed.
[01:06:29.930 --> 01:06:31.471]  It's been committed against the American people.
[01:06:32.011 --> 01:06:33.852]  It's been committed against the people of Iran.
[01:06:34.372 --> 01:06:35.853]  And it's been committed against the world.
[01:06:36.373 --> 01:06:40.415]  Because what's going on is nothing less than crazy.
[01:06:41.403 --> 01:06:42.303]  It's completely crazy.
[01:06:57.330 --> 01:07:06.056]  So let's say that Obama, which obviously he cut some deal with Iran, the real deal we'll never know, it was obviously a secret deal.
[01:07:06.596 --> 01:07:11.119]  By the way, by the way, remember we said second wave of missiles launched an hour ago?
[01:07:11.500 --> 01:07:13.561]  Fox News now reporting second wave of missiles.
[01:07:14.041 --> 01:07:16.703]  Trump's addressed the nation, we're going to war with Iran probably.
[01:07:16.823 --> 01:07:17.243]  I'd say about 95%.
[01:07:17.304 --> 01:07:21.406]  We're going to stay here obviously live tonight covering all this.
[01:07:22.487 --> 01:07:24.969]  Zach, I don't want to toot your horn because I don't want to get you in trouble.
[01:07:25.569 --> 01:07:37.959]  But I've already said it on air, I was talking to you probably two hours ago now, and you're like, missiles are already launched, 30 minutes later he goes, yeah, more missiles, and they're now announcing that second wave on a U.S.
[01:07:38.019 --> 01:07:38.880]  base right now.
[01:07:39.300 --> 01:07:43.144]  So why is this all delayed an hour and a half, and what can you say about that?
[01:07:44.497 --> 01:07:45.517]  Because we've got satellite feeds.
[01:07:45.537 --> 01:07:46.718]  I was just sitting there with the security guys.
[01:07:47.498 --> 01:07:48.219]  They're punched up.
[01:07:48.659 --> 01:07:49.079]  Yeah, there it is.
[01:07:49.139 --> 01:07:51.620]  Iran says second wave of missiles has been launched.
[01:07:51.740 --> 01:07:53.461]  What the hell are they asking for?
[01:07:53.481 --> 01:07:54.261]  Keep going, guys.
[01:07:54.561 --> 01:08:02.225]  Well, I think that they are pissed because Obama cut them a deal, gave them cash and a drone, said, you're going to have your new role in the world.
[01:08:02.265 --> 01:08:04.366]  You literally had the Ayatollah say, we have a new spot.
[01:08:04.406 --> 01:08:05.686]  We're at the top of the New World Order.
[01:08:05.926 --> 01:08:08.827]  Trump came in, abandoned all those plans, and now Iran's ticked!
[01:08:09.688 --> 01:08:11.309]  Can I tell you guys something right now?
[01:08:11.929 --> 01:08:12.309]  Yes, go ahead.
[01:08:13.140 --> 01:08:16.561]  You know what time it is in Iran right now?
[01:08:16.581 --> 01:08:17.161]  What, about 2 a.m.?
[01:08:17.421 --> 01:08:18.261]  It's 4.37 a.m.
[01:08:18.801 --> 01:08:21.062]  It's the perfect time to pull this off.
[01:08:22.722 --> 01:08:25.243]  It has to happen in the darkness.
[01:08:26.483 --> 01:08:27.283]  You're going to see more.
[01:08:27.523 --> 01:08:28.343]  You're going to see more.
[01:08:28.883 --> 01:08:31.364]  And then when it's light, you're going to start to see news reports.
[01:08:33.064 --> 01:08:36.245]  And then when it's light there, we start to get information.
[01:08:37.536 --> 01:08:40.039]  And it's going to be, it's going to be ugly.
[01:08:40.480 --> 01:08:41.181]  It's going to be ugly.
[01:08:41.201 --> 01:08:44.345]  But I keep on saying the time change is imperative because
[01:08:45.558 --> 01:08:47.819]  It happens to be 4.37 a.m.
[01:08:47.839 --> 01:08:50.120]  in the dark of night when they're sleep deprived.
[01:08:50.340 --> 01:08:51.781]  They're still launching.
[01:08:52.041 --> 01:08:52.761]  Let me ask you this.
[01:08:52.801 --> 01:08:54.842]  Let me ask you this in the Hegelian dialectic.
[01:08:55.502 --> 01:09:00.244]  When the Iraq parliament votes to remove U.S.
[01:09:00.284 --> 01:09:02.765]  troops, we see the letter come out as a leak.
[01:09:03.225 --> 01:09:03.686]  Is it real?
[01:09:03.726 --> 01:09:04.226]  Is it not?
[01:09:04.346 --> 01:09:07.107]  I mean, who really knows the legitimacy of it?
[01:09:07.667 --> 01:09:13.410]  There was another translated version in Arabic, so it looks like it was at least a real draft, and then it got leaked.
[01:09:14.230 --> 01:09:19.293]  But now they've created a scenario where they can say, hey, look, U.S.
[01:09:19.333 --> 01:09:20.494]  troops shouldn't be here.
[01:09:20.694 --> 01:09:22.495]  We voted for you guys to leave.
[01:09:23.036 --> 01:09:26.378]  And so now that's like, it's like, again, it all makes too much sense.
[01:09:26.538 --> 01:09:28.419]  They have the anti-war protest last night.
[01:09:28.599 --> 01:09:29.840]  They have the vote to remove the U.S.
[01:09:29.860 --> 01:09:30.120]  troops.
[01:09:30.280 --> 01:09:32.182]  And then they strike less than 24 hours later.
[01:09:32.202 --> 01:09:35.564]  I mean, it's literally a map.
[01:09:35.664 --> 01:09:38.065]  It's how you try to start a war if you wanted to.
[01:09:38.366 --> 01:09:42.488]  And Trump is basically pigeonholed, as I say, because, you know, he's not going to let this fly.
[01:09:42.508 --> 01:09:43.489]  I agree with what you said.
[01:09:43.909 --> 01:09:45.289]  One hair harmed on a U.S.
[01:09:45.329 --> 01:09:45.690]  citizen?
[01:09:45.710 --> 01:09:52.191]  I mean, folks, I don't want anybody to get bombed, but like, I think it's all out of salt on Iran if one American's dead from this.
[01:09:53.712 --> 01:10:08.716]  I mean, if I happen to back anybody remotely in the Democratic National Convention, if I was the former president of the United States of America who happened to send this money overseas, who happened to be the poster boy for, you know, what's going on,
[01:10:09.756 --> 01:10:11.318]  Wouldn't you back somebody?
[01:10:11.418 --> 01:10:12.679]  Wouldn't you support somebody?
[01:10:12.759 --> 01:10:13.540]  Wouldn't you give them clarity?
[01:10:13.560 --> 01:10:14.181]  Oh, how about this?
[01:10:14.241 --> 01:10:14.762]  How about this?
[01:10:15.182 --> 01:10:17.365]  The Nobel Peace Prize winner!
[01:10:17.945 --> 01:10:20.348]  The Nobel Peace Prize Obama!
[01:10:20.548 --> 01:10:23.431]  Where is the Nobel Peace Prize winner calling for peace?
[01:10:24.252 --> 01:10:24.733]  Great man.
[01:10:24.753 --> 01:10:26.815]  How dare you say his name like that?
[01:10:26.855 --> 01:10:27.536]  That's a great man.
[01:10:29.301 --> 01:10:29.741]  But that's it!
[01:10:29.821 --> 01:10:31.123]  I mean, see, but that's the other thing, too!
[01:10:31.143 --> 01:10:32.264]  Oh, it's out of control, brother.
[01:10:32.544 --> 01:10:33.745]  And everybody says, oh!
[01:10:34.105 --> 01:10:37.608]  Like, people are ticked off, like, oh, how dare you talk bad about Obama!
[01:10:37.628 --> 01:10:40.490]  It's like, no, Obama was a damn traitor to this country!
[01:10:40.510 --> 01:10:42.692]  Hold on, where's Michelle?
[01:10:43.613 --> 01:10:47.096]  She had to have at least, at least .5 of that billion.
[01:10:47.296 --> 01:10:47.997]  Where's Michelle?
[01:10:48.097 --> 01:10:48.597]  Or Michael?
[01:10:48.617 --> 01:10:50.399]  Excuse me, where, I mean, where are these people?
[01:10:51.199 --> 01:10:53.321]  By the way, you know, people want to sit here and complain.
[01:10:53.341 --> 01:10:56.304]  Why don't you probably, if you're a diplomat, if you're a,
[01:10:58.055 --> 01:11:01.698]  If you're a champion of the American people, wouldn't you probably handle this?
[01:11:02.058 --> 01:11:04.220]  Oh, Obama's in Hawaii.
[01:11:04.240 --> 01:11:04.840]  1.7 billion.
[01:11:04.860 --> 01:11:08.763]  Excuse me, where I come from, that's called aiding and abetting.
[01:11:08.783 --> 01:11:12.086]  Where I come from, that's called paying a hitman.
[01:11:12.446 --> 01:11:15.669]  No, I think, look, Trump needs to address the nation.
[01:11:16.789 --> 01:11:22.030]  I mean, you want to hold back militarily, but seriously, Trump needs to double, here's what he needs to do.
[01:11:22.370 --> 01:11:44.195]  He needs to go after the problem domestically, which is Barack Obama for doing this deal, and just bring him in and say, hey look, Barack Obama gave you guys billions of dollars, Barack Obama cut deals with you, Barack Obama gave you the Iran deal, I don't know where the hell he is, he's apparently surfing in Hawaii, haul his ass into the White House and say, hey Barack, we're almost about to go to war with your buddies in Iran, you got anything to say?
[01:11:45.055 --> 01:11:46.356]  You think you could talk to him?
[01:11:46.436 --> 01:11:47.716]  Can we get some of the money back?
[01:11:47.756 --> 01:11:48.957]  Can we calm things down?
[01:11:50.098 --> 01:11:55.880]  But doesn't this really ultimately just show the world, or more than anything, show America who Obama was?
[01:11:55.920 --> 01:11:57.441]  He was never the President of America.
[01:11:57.721 --> 01:11:59.482]  He was working for Iran!
[01:11:59.502 --> 01:12:00.563]  The Mahdi.
[01:12:02.944 --> 01:12:04.125]  The catalyst.
[01:12:04.405 --> 01:12:07.066]  The catalyst to take over the great American empire.
[01:12:07.766 --> 01:12:10.628]  The catalyst to take over all we have built.
[01:12:10.888 --> 01:12:12.869]  The catalyst to take over what?
[01:12:13.775 --> 01:12:17.902]  Cool things, technology, being up front.
