[00:00:02.531 --> 00:00:05.494]  Nurse Erin Marie Olszewski?
[00:51:30.891 --> 00:51:38.781]  A communist country that uses medical tyranny as its excuse and cover for enforcement of surveillance and political oppression.
[00:51:39.542 --> 00:51:40.663]  Getting into vaccines.
[00:51:40.863 --> 00:51:41.804]  I know you're a nurse.
[00:51:41.844 --> 00:51:42.505]  You've looked at that.
[00:51:43.286 --> 00:51:46.667]  These aren't even classic vaccines, these mRNA systems.
[00:51:46.687 --> 00:51:47.407]  I know you know that.
[00:51:48.288 --> 00:51:51.629]  And now the fact that they were trying to give it to kids in England that made them sick.
[00:51:51.649 --> 00:51:53.770]  So now they say, don't give it to under 16.
[00:51:54.290 --> 00:51:56.150]  Don't give it to people that have autoimmune problems.
[00:51:56.490 --> 00:52:01.152]  They suspended the vaccine in Australia because it was doing false positive HIV.
[00:52:01.832 --> 00:52:06.814]  What is your thought and your other medical colleagues thought on this real push for forced inoculation?
[00:52:09.848 --> 00:52:12.949]  I've been awake to the vaccine racket for a really long time.
[00:52:13.029 --> 00:52:17.871]  Actually, my son at 12 months, I have three boys, my middle son at 12 months was severely injured.
[00:52:18.651 --> 00:52:26.074]  And that's when I kind of dive deep into the fact that vaccines in general are liability free.
[00:52:26.194 --> 00:52:27.714]  So you can't sue the manufacturer.
[00:52:27.734 --> 00:52:31.196]  And you know, it kind of goes hand in hand with what happened to the hospitals.
[00:52:31.316 --> 00:52:34.897]  The hospitals during this whole entire COVID pandemic were also liability free.
[00:52:35.257 --> 00:52:37.658]  Nothing good comes from a liability free
[00:52:38.465 --> 00:52:38.986]  Anything.
[00:52:39.206 --> 00:52:41.748]  No entity, no corporation, nothing.
[00:52:42.388 --> 00:52:45.871]  And so, you know, in general, the toxins are bad.
[00:52:46.792 --> 00:52:52.977]  But this COVID vaccine is worse because it is an mRNA vaccine.
[00:52:53.057 --> 00:52:56.420]  It is going to permanently change people's DNA.
[00:52:57.921 --> 00:52:58.421]  Permanently.
[00:52:58.802 --> 00:53:01.884]  This is something that you can't just detox from.
[00:53:02.224 --> 00:53:03.606]  This is going to be permanent.
[00:53:03.686 --> 00:53:05.207]  I ultimately believe
[00:53:05.680 --> 00:53:09.981]  That this is going to cause a mass genocide in our population.
[00:53:10.121 --> 00:53:13.242]  It's going to be a very, very bad thing.
[00:53:13.302 --> 00:53:19.683]  And I really, really hope that people open their eyes and honestly, like, really look into this research.
[00:53:19.743 --> 00:53:25.644]  There's absolutely no reason we need a vaccine for a virus with a 99.9% survival rate.
[00:53:25.704 --> 00:53:31.105]  There is nothing else other than the fact that they want population control.
[00:53:31.605 --> 00:53:34.226]  They want to control, you know, the narrative.
[00:53:35.676 --> 00:53:36.417]  It's very dangerous.
[00:53:53.936 --> 00:54:01.322]  Hearing you now in long form is so powerful to, just as a nurse, as a mother, as a veteran, as a human.
[00:54:01.362 --> 00:54:02.142]  It's so strong.
[00:54:02.182 --> 00:54:02.703]  It's beautiful.
[00:54:03.343 --> 00:54:06.085]  And obviously you're a beautiful person physically and beautiful spiritually.
[00:54:06.105 --> 00:54:11.489]  And I know there's so many other great nurses, male and female, that I'm sure you were saying you know that are also upset.
[00:54:11.889 --> 00:54:12.770]  And I saw the U.N.
[00:54:12.810 --> 00:54:13.431]  last December.
[00:54:14.443 --> 00:54:18.585]  Say, at their own UN conference, their own head of vaccines said, we're hurting people.
[00:54:18.665 --> 00:54:19.406]  We don't like this.
[00:54:19.486 --> 00:54:20.246]  We want tests.
[00:54:20.647 --> 00:54:21.567]  We want clear stuff.
[00:54:21.587 --> 00:54:23.388]  But we're told by Big Pharma what to do.
[00:54:23.888 --> 00:54:25.749]  Our own front line wants to stop vaccines.
[00:54:25.910 --> 00:54:28.451]  Even the head UN people are saying this is wrong.
[00:54:28.971 --> 00:54:35.115]  So it shows the compartmentalization that you're against it, the doctors are against it, the UN scientists are against it.
[00:54:35.515 --> 00:54:35.996]  The U.N.
[00:54:36.016 --> 00:54:38.057]  head envoy on COVID says don't do lockdowns.
[00:54:38.238 --> 00:54:39.038]  They're still doing them.
[00:54:39.439 --> 00:54:40.820]  So it's like, who's in control?
[00:54:40.860 --> 00:54:41.701]  Well, it's Bill Gates.
[00:54:42.061 --> 00:54:52.091]  What do you have to say about Bill Gates, who really is, suddenly we wake up and he's going to rape us with his vaccines, he's going to keep us locked down, he's going to be the head of the G8.
[00:54:52.451 --> 00:54:55.654]  Boris Johnson says he's going to let him give him orders the next year.
[00:54:55.714 --> 00:54:59.598]  I mean, this is like, this is even crazier than Alex Jones would come up with, is what I'm saying.
[00:55:01.263 --> 00:55:07.006]  I honestly feel like it's a twilight zone because we know Bill Gates is neither a doctor or a scientist.
[00:55:07.766 --> 00:55:18.552]  And, you know, obviously we do know that he has a lot of money and we do know that everything is surrounded around money.
[00:55:19.292 --> 00:55:20.533]  Money, power, greed.
[00:55:20.973 --> 00:55:24.275]  And they don't care about the average American.
[00:55:26.216 --> 00:55:28.057]  Actually, they don't really care about anyone.
[00:55:28.747 --> 00:55:32.793]  And they care about more money and more power and more greed.
[00:55:33.294 --> 00:55:37.560]  And they will do it at the expense of human life and they will not feel bad about it.
[00:55:37.580 --> 00:55:39.843]  And here's the secret.
[00:55:41.428 --> 00:55:43.649]  Like any secret testing or any big crime.
[00:55:43.690 --> 00:55:52.115]  When they get us to sign on to it, they get power over the crisis they create, and it becomes what I call too evil to fail in this dystopic system they're setting up.
[00:55:52.475 --> 00:55:53.436]  They are dystopics.
[00:55:53.576 --> 00:56:08.706]  They are creating a dystopia that they manage and control, and they need us to go into mass Stockholm Syndrome, so he is evoking a psychological response from us of submitting to something insane, so we'll submit to stuff even more insane later.
[00:56:08.966 --> 00:56:11.208]  We're being inducted into slavery right now.
[00:56:12.469 --> 00:56:22.114]  Well, they're creating the problem and then they're going to come around and act like they're, you know, we should thank them for finding a, quote, solution.
[00:56:22.554 --> 00:56:29.598]  You know, it is definitely quite a quite an intense, well thought out PSYOP.
[00:56:29.778 --> 00:56:33.661]  And sadly, it's working on quite a bit of our population.
[00:56:33.881 --> 00:56:38.383]  But eventually, hopefully there's going to be
[00:56:40.000 --> 00:56:49.587]  A lot more people standing up and saying no and trying, you know, hopefully holding a lot of these people accountable and putting a lot of them in prison because that's where they ultimately belong.
[00:56:49.707 --> 00:56:51.489]  Nurse Holshest, you're 100% right.
[00:56:51.529 --> 00:56:59.635]  We need to not just debate the merits, we need to say you're going to prison, you violated the Nuremberg Code, you violated the Geneva Convention, you make money off this.
[00:56:59.955 --> 00:57:00.635]  You're a criminal.
[00:57:00.675 --> 00:57:01.655]  We hold you responsible.
[00:57:01.915 --> 00:57:04.016]  We don't care if you have the 1986 Vaccine Act.
[00:57:04.396 --> 00:57:05.836]  You are held accountable.
[00:57:06.096 --> 00:57:07.397]  You bit off more than you can chew.
[00:57:07.677 --> 00:57:12.738]  You knew your vaccine fraud was failing at the U.N., so you doubled down with all of this, and you're not going to succeed.
[00:57:13.158 --> 00:57:16.639]  All right, Nurse Erin, thank you so much.
[00:57:16.679 --> 00:57:19.440]  We really appreciate you, and please come on The War Room.
[00:57:19.460 --> 00:57:22.020]  I know you're already on with David Knight before us.
[00:57:22.260 --> 00:57:24.261]  Great job with David Knight and his folks getting you on.
[00:57:24.621 --> 00:57:25.281]  Thank you so much.
[00:57:25.301 --> 00:57:26.081]  It's been an amazing hour.
[00:57:27.081 --> 00:57:28.522]  Yeah, thank you so much for having me.
[00:57:28.582 --> 00:57:29.202]  I hope to be back.
[00:57:29.810 --> 00:57:31.432]  We'd love to have you back in studio.
[00:57:31.732 --> 00:57:32.553]  Bring some doctors with you.
[00:57:32.574 --> 00:57:33.254]  We'll get everybody in here.
[00:57:33.555 --> 00:57:33.815]  All right.
[00:57:34.476 --> 00:57:34.696]  All right.
[00:57:34.776 --> 00:57:37.259]  Paul Joseph Watson from the UK takes over.
[00:57:37.299 --> 00:57:39.422]  I've got five more minutes, though, before he comes on.
[00:57:39.462 --> 00:57:41.064]  And then the war room with Owen Schroer.
[00:57:41.525 --> 00:57:43.547]  Man, there's a lot of great souls out there.
[00:57:43.587 --> 00:57:44.148]  And she's one of them.
[00:57:44.589 --> 00:57:45.490]  That was powerful.
[00:57:45.790 --> 00:57:46.331]  We'll be right back.
[00:57:46.351 --> 00:57:46.851]  Stay with us.
[00:57:50.506 --> 00:57:53.087]  Just another Brandon here for Just Another Channel.
[00:57:53.408 --> 00:57:54.648]  We're in Washington, D.C.
[00:57:54.688 --> 00:57:55.909]  here stopping the steel.
[00:57:56.329 --> 00:58:00.711]  Folks, it was a 23-hour drive from Texas to D.C.
[00:58:00.771 --> 00:58:07.295]  nonstop, and I've got to give it up to TurboForce from InfoWarsStore.com.
[00:58:07.475 --> 00:58:08.676]  I'd like to thank Alex Jones.
[00:58:08.696 --> 00:58:12.398]  I'd like to thank InfoWars.com for TurboForce.
[00:58:13.058 --> 00:58:18.986]  Because if it weren't for TurboForce, we would have had to stop, get some rest, and probably get here the next day.
[00:58:19.347 --> 00:58:26.117]  And who wants to get here the next day when you can just drink TurboForce from InfoWarsStore.com and get here on time.
[00:58:26.317 --> 00:58:28.941]  Go to InfoWarsStore.com and get yours today.
[00:58:33.372 --> 00:58:34.693]  Oh, what's up?
[00:58:34.913 --> 00:58:35.033]  Oh!
[00:58:35.333 --> 00:58:40.917]  Of that Turbo Force, Greg Reese, Rob Motherf***ing Dew, representing Alex Jones.
[00:58:41.097 --> 00:58:42.878]  Bro, I got the f***ing documents, Alex.
[00:58:43.158 --> 00:58:44.799]  I got the documents, Alex Jones.
[00:58:45.099 --> 00:58:47.421]  We love you in LA, California, baby.
[00:58:47.501 --> 00:58:48.281]  I'm on it.
[00:58:48.361 --> 00:58:49.742]  I've been juiced up.
[00:58:49.862 --> 00:58:50.523]  Fighting that T5.
[00:58:50.583 --> 00:58:53.204]  Got my crown, because I'm a Kangaroo around here.
[00:58:53.244 --> 00:58:54.805]  Shout out to my proud boys.
[00:58:55.006 --> 00:58:55.806]  That's what's up.
[00:58:56.126 --> 00:58:56.246]  Woo!
[00:58:56.306 --> 00:58:58.948]  Alex Jones in for one!
[00:58:59.048 --> 00:58:59.508]  Yeah!
[00:59:02.851 --> 00:59:06.814]  America is awake, and America has only begun to fight!
[00:59:08.015 --> 00:59:13.779]  And we have just begun the occupation of D.C.
[00:59:13.799 --> 00:59:19.704]  The Tricombs and the Globalists think they're taking America over?
[00:59:19.744 --> 00:59:23.106]  They just woke up the sleeping giant!
[00:59:31.251 --> 00:59:32.271]  That's it!
[00:59:32.451 --> 00:59:34.452]  I keep fighting the Infowars, baby!
[00:59:34.592 --> 00:59:35.592]  Proud boy!
[00:59:35.832 --> 00:59:37.193]  Proud of your boy Alex Jones!
[00:59:37.433 --> 00:59:37.773]  Salute him!
[00:59:37.813 --> 00:59:39.154]  Thank you for everything you do!
[00:59:39.194 --> 00:59:40.354]  God bless you!
[00:59:40.394 --> 00:59:41.875]  And all the Infowars family!
[00:59:41.975 --> 00:59:46.277]  God bless all of you!
[00:59:47.157 --> 00:59:49.338]  Merry Christmas!
[01:00:09.494 --> 01:00:12.856]  Acting Pentagon Chief halts Biden transition briefings.
[01:00:14.577 --> 01:00:21.601]  So he's halting those briefings, meaning Trump's getting ready to go to the Resolute Desk and announce that he's a CHICOM agent.
[01:00:21.801 --> 01:00:22.562]  Here's the evidence.
[01:00:22.642 --> 01:00:23.842]  America, you can't allow this.
[01:00:24.183 --> 01:00:25.704]  Ten million people need to march on D.C.
[01:00:25.764 --> 01:00:26.144]  right now.
[01:00:26.484 --> 01:00:30.646]  And if I'm sitting there on Christmas Eve and Trump says that, I'm on an airplane, I'm in a car.
[01:00:31.707 --> 01:00:32.888]  I'm walking and I have to.
[01:00:32.948 --> 01:00:33.649]  I'm taking action.
[01:00:34.069 --> 01:00:36.411]  The enemy has been forced out in the open.
[01:00:37.052 --> 01:00:38.934]  World government is here.
[01:00:39.574 --> 01:00:47.401]  And the system is publicly stealing this election from the biggest landslide and the biggest political realignment since 1776!
[01:00:51.496 --> 01:01:02.979]  He could order the, within the swing states, if he wanted to, he could take military capabilities and he could place them in those states and basically rerun an election in each of those states.
[01:01:03.019 --> 01:01:04.200]  I mean, it's not unprecedented.
[01:01:04.220 --> 01:01:08.821]  I mean, these people out there talking about martial law, it's like it's something that we've never done.
[01:01:08.841 --> 01:01:10.922]  We've done, martial law has been instituted 64 times.
[01:01:12.743 --> 01:01:13.984]  64 times, Greg.
[01:01:14.385 --> 01:01:15.806]  So I'm not calling for that.
[01:01:16.327 --> 01:01:18.129]  We have a constitutional process.
[01:01:18.269 --> 01:01:20.091]  We clearly have a constitutional process.
[01:01:20.391 --> 01:01:23.194]  I think you highlighted some of that in your previous segment.
[01:01:23.595 --> 01:01:24.856]  That has to be followed.
[01:01:25.677 --> 01:01:26.438]  That's what I keep saying.
[01:01:26.458 --> 01:01:28.160]  Trump has to call it out like it is.
[01:01:28.680 --> 01:01:30.682]  Call for us to peacefully take action.
[01:01:32.189 --> 01:01:46.077]  There is disagreement between the Biden team and the Trump administration over access to the Pentagon.
[01:01:46.537 --> 01:01:54.322]  Acting Defense Secretary Chris Miller says that his team and the Biden team had mutually agreed to put off some meetings scheduled for Friday until after the holidays.
[01:01:54.702 --> 01:02:06.528]  But the head of the Biden transition told reporters that's not true and that his team continues to face quote isolated resistance from political appointees in the Defense Department and similar issues at a few other agencies he declined to name.
[01:02:06.848 --> 01:02:14.592]  People who want to make hay in Washington are going to try to use your adult son as a cudgel against you.
[01:02:15.992 --> 01:02:19.114]  How do you feel about that and what do you have to say to those people?
[01:02:19.334 --> 01:02:20.855]  We have great confidence in our son.
[01:02:22.458 --> 01:02:26.241]  I'm not concerned about any accusations made against him.
[01:02:27.022 --> 01:02:28.324]  It's used to get to me.
[01:02:28.344 --> 01:02:30.926]  I think it's kind of foul play.
[01:02:31.066 --> 01:02:32.748]  But look, it is what it is.
[01:02:33.008 --> 01:02:34.790]  And he's a grown man.
[01:02:35.371 --> 01:02:36.993]  He is the smartest man I know.
[01:02:37.013 --> 01:02:39.896]  I mean, in pure intellectual capacity.
[01:02:40.696 --> 01:03:10.296]  Hunter Biden's quite explicit in one particular communication with his daughter He's basically complaining that he pays half of the entire family's bills And he includes his mother and father in that and makes reference to pops So the point is is that all this enrichment that has been taking place is also flowing to Joe Biden Indirectly through his son, but the fact of the matter is he's still a beneficiary a direct beneficiary of these foreign deals
[01:03:10.937 --> 01:03:21.809]  The email is saying, look, I need a set of keys for Joe Biden, Jill Biden, Jim Biden, my uncle, and the chairman of CEFC, Gong Wen Dong.
[01:03:21.929 --> 01:03:24.752]  So all of these people are sharing an office together?
[01:03:25.032 --> 01:03:25.913]  Let's keep in mind
[01:03:25.933 --> 01:03:27.353]  We're good to go.
[01:03:52.940 --> 01:03:59.085]  And this is the same entity upon which Joe Biden, you know, the so-called big guy, was going to get 10%.
[01:03:59.165 --> 01:04:02.207]  They were literally going to share office space.
[01:04:02.247 --> 01:04:09.313]  They were going to house the Biden Foundation and a CEFC office in the exact same office space.
[01:04:09.373 --> 01:04:15.738]  So it's very troubling and it speaks to the fact of how cozy the Bidens have been with the Chinese.
[01:04:16.078 --> 01:04:24.023]  Let's hear what CBS News had to hear about the documented, not like the Russian stuff, the documented foreign interference for Joe Biden.
[01:04:25.384 --> 01:04:29.006]  What did Ratcliffe say about election fraud and interference?
[01:04:29.901 --> 01:04:39.871]  Well, DNI Ratcliffe leads the 17 intelligence agencies, and he has access to the most highly classified information that is held by the U.S.
[01:04:39.911 --> 01:04:40.311]  government.
[01:04:40.371 --> 01:04:53.324]  And he told CBS News that there was foreign election interference by China, Iran, and Russia in November of this year, and he is anticipating a public report on those findings in January.
[01:04:53.444 --> 01:04:54.985]  And so, do we respond to their takeover?
[01:04:55.005 --> 01:04:56.326]  They've already put us under lockdown.
[01:04:56.526 --> 01:04:57.727]  They've already put us under martial law.
[01:04:57.747 --> 01:05:00.289]  They're already telling us, putting up medical IDs to leave our houses.
[01:05:01.291 --> 01:05:05.353]  All of the experts agree that getting proper sleep is the cornerstone of good health.
[01:05:05.633 --> 01:05:15.978]  It has been proven that a poor sleep schedule is linked with numerous health problems, including weight gain, memory issues, mood changes, poor concentration, and even a weakened immune system.
[01:05:16.238 --> 01:05:22.321]  Introducing Rocket Rest, the new product from our Dr. Jones Naturals line at InfoWarsStore.com.
[01:05:22.421 --> 01:05:30.525]  The new Rocket Rest formula is loaded with the best natural ingredients to help not only improve your quality of sleep, but help you wake up feeling refreshed.
[01:05:30.965 --> 01:05:40.653]  Many competitors sleep formulas focus only on getting you to sleep, but Rocket Rest was specifically formulated to help you feel rested and ready to take on the next day.
[01:05:41.054 --> 01:05:48.680]  It uses a unique quick release capsule system to ensure fast delivery of deep sleep support ingredients like melatonin and magnesium.
[01:05:48.860 --> 01:05:53.464]  Rocket Rest helps you fall asleep fast, stay asleep, and wake up feeling rested.
[01:05:53.544 --> 01:06:00.951]  So get the new Rocket Rest formula from Dr. Jones Naturals right now at InfowarsStore.com so you're ready to take off.
[01:06:21.217 --> 01:06:24.200]  Good enough for me and my Bobby.
[01:06:29.938 --> 01:06:32.959]  All right, ladies and gentlemen, we've got Joe Hoff coming on in a few minutes.
[01:06:33.059 --> 01:06:51.182]  He's a great corporate fraud investigator, does a great job with his brother that owns and runs Gateway Pundit, with huge developments of judges in Michigan allowing certified forensic reports, findings, absolutely total fraud by Dominion, saying Dominion's main goal is organized election theft.
[01:06:51.222 --> 01:06:51.962]  That's their finding.
[01:06:52.322 --> 01:06:55.003]  Super strong, major prestigious organization.
[01:06:55.683 --> 01:06:57.685]  That's coming up as soon as we get Hoft on.
[01:06:58.005 --> 01:07:03.170]  But I tell you, John Bowne did a very important report that really tells it all.
[01:07:03.611 --> 01:07:17.644]  But I hope everybody will share and get out because this big breaking news of Communist China and Biden and the criminal investigations and these leaks out of the CCP, Communist Party China, Communist Party China, CPC.
[01:07:18.365 --> 01:07:23.667]  This is so massive and shows Trump is fighting back with 37 days to inauguration.
[01:07:23.987 --> 01:07:31.590]  And so as bad as it looks with the media saying Biden's the president, and as bad as it looks with all the hoaxes, remember they're paper tiger, they're paper dragon.
[01:07:31.890 --> 01:07:33.611]  Joe Biden has holes in him.
[01:07:34.011 --> 01:07:35.712]  More holes in him than a Swiss cheese.
[01:07:36.032 --> 01:07:37.552]  And this boat is not going to float.
[01:07:37.872 --> 01:07:40.653]  So just continue to move forward and fighting hard.
[01:07:40.833 --> 01:07:42.934]  One way or another, we're never accepting this monster.
[01:07:43.374 --> 01:07:49.817]  Joe Biden will be removed either by impeachment or he'll be removed by losing this election, exposing me of fraud.
[01:07:50.197 --> 01:07:52.998]  And we will politically destroy his ideas.
[01:07:53.598 --> 01:08:01.021]  We don't want a single hair on his head harmed, but we want his horrible, evil, globalist ideas of the Communist Party China killed.
[01:08:01.701 --> 01:08:02.261]  Not him.
[01:08:02.541 --> 01:08:03.701]  The idea's killed.
[01:08:04.021 --> 01:08:06.302]  The idea's refuted and destroyed.
[01:08:06.962 --> 01:08:08.122]  Joe Biden's an empty husk.
[01:08:08.362 --> 01:08:12.203]  Don't turn him into a victim, into any of that.
[01:08:13.003 --> 01:08:15.303]  So, here's the report and we'll be right back with Mr. Hoft.
[01:08:15.323 --> 01:08:23.045]  So far, the evidence is uncontradicted that the President used taxpayer dollars to ask the Ukrainians to help him cheat an election.
[01:08:23.225 --> 01:08:26.845]  Eric Swalwell is having a sweaty and flatulent Christmas.
[01:08:27.085 --> 01:08:30.226]  And it's blowing up right in the Democrats' Grinch face.
[01:08:30.572 --> 01:08:32.645]  Well, I don't have any concern about Mr. Swalwell.
[01:08:33.627 --> 01:08:41.650]  Oh, there are those in the Congress who believe, and I am among them, that we should be seeing what influence the Chinese.
[01:08:41.690 --> 01:08:44.191]  I've been fighting them, as you know, for over 30 years.
[01:08:44.851 --> 01:08:53.414]  I do think that it's unfortunate that Mr. McCarthy is trying to make an issue of this when his leader, we all found out at the same time.
[01:08:53.754 --> 01:08:54.955]  But you know what he's trying to do?
[01:08:54.995 --> 01:08:59.637]  He's trying to deflect attention from the fact that he has QAnon in his
[01:09:01.980 --> 01:09:03.542]  His delegation over there.
[01:09:03.562 --> 01:09:19.544]  And that, I think, is a danger in terms of our debate here about what the possibilities are for undue influence to members of Congress.
[01:09:19.974 --> 01:09:24.596]  You know, we have people like Swalwell over there that has got this massive problem.
[01:09:25.036 --> 01:09:35.221]  While the counterintelligence structure and system and leadership was focused on Mike Flynn and President Donald J. Trump, the counterintelligence effort, they should have been focused on Swalwell.
[01:09:35.422 --> 01:09:44.806]  And that threat against, that we have now learned about Swalwell, and frankly, Hunter Biden and the entire Biden Foundation and family, this is dangerous stuff.
[01:09:44.886 --> 01:09:46.427]  We are playing with fire right now.
[01:09:46.967 --> 01:09:54.933]  I am concerned that we don't know what we need to know about Donald Trump to protect the country from what Russia has on him.
[01:09:55.094 --> 01:10:00.178]  We have deep suspicions and all of the arrows continue to point in the same direction.
[01:10:00.238 --> 01:10:08.424]  Eric Swalwell, who wasn't ready for prime time, is a Chinese tool going back to his days on the city council in California.
[01:10:08.604 --> 01:10:21.831]  He's been towing the Communist Party line ever since a Chinese spy assisted his defeat of a 40-year incumbent, catapulting the Manchurian candidate into Congress eight years ago, as Axios had revealed.
[01:10:22.111 --> 01:10:26.694]  This story comes from Axios in Washington, which is no one's idea of a right-wing news outlet.
[01:10:27.294 --> 01:10:34.518]  But to their great credit, a pair of Axios reporters doggedly spent the last year investigating what turned out to be an amazing story.
[01:10:35.552 --> 01:10:44.497]  A Chinese intelligence agent called Feng Feng, or as she renamed herself when she came to this country, Christine Feng, became a force within the Democratic Party of California.
[01:10:45.338 --> 01:10:48.600]  Along the way, she cultivated a number of Democratic office holders.
[01:10:49.140 --> 01:10:55.023]  Feng had sexual relationships with at least two of them, identified in the Axios story as mayors from Midwestern cities.
[01:10:55.924 --> 01:10:59.586]  Feng also began a relationship with a man called Eric Swalwell.
[01:11:00.336 --> 01:11:01.737]  You may recognize that name.
[01:11:02.177 --> 01:11:04.599]  Eric Swalwell is a member of the United States Congress.
[01:11:05.000 --> 01:11:07.402]  Swalwell sits on the House Intelligence Committee.
[01:11:07.802 --> 01:11:10.284]  He is privy to this country's most closely held secrets.
[01:11:10.384 --> 01:11:22.133]  The Chinese government had been infiltrating Wall Street corporations and Congress before Swalwell was even an unpaid intern for California's 10th Congressional District.
[01:11:22.273 --> 01:11:25.234]  Swalwell is merely the tip of the iceberg, though.
[01:11:25.354 --> 01:11:30.536]  The attack on the common-sense nationalist slogan, America First, is a massive tell.
[01:11:30.796 --> 01:11:41.819]  The elites know that they must betray the country and protect their communist counterparts, eating away our liberties like a cancer, pushing propaganda like never before.
[01:11:42.179 --> 01:11:52.747]  As the Washington Examiner reported, while the Swalwell news broke, MSNBC spent roughly five minutes on Axios' reporting during the network's 5 a.m.
[01:11:52.787 --> 01:11:56.049]  program without mentioning it again for the rest of the day.
[01:11:56.229 --> 01:12:01.413]  Meanwhile, CNN completely avoided the story altogether, both on-air and online.
[01:12:01.633 --> 01:12:07.417]  Fox News also noted that major newspapers, such as the New York Times and the Washington Post,
[01:12:07.777 --> 01:12:17.303]  Both of which dedicated tons of coverage to allegations against President Trump concerning Russia, had not yet afforded any coverage to the Swalwell story.
[01:12:17.483 --> 01:12:25.648]  Broadcast networks ABC, NBC and CBS also skipped coverage of the controversy during morning and evening shows.
[01:12:25.868 --> 01:12:31.069]  There has now been a major leak of official records from the Chinese Communist Party.
[01:12:31.569 --> 01:12:34.590]  It is believed to be the first leak of its kind in the world.
[01:12:35.130 --> 01:12:40.351]  A register with the details of nearly 2 million Communist Party members.
[01:12:40.871 --> 01:12:49.333]  As the Communist Chinese leak... Alright, we have Joe Hoffs, who's a major fraud investigator, major auditor for Fortune 500 companies.
[01:12:49.353 --> 01:12:55.114]  You know his amazing brother, Jim Hoffs at Gateway Pundit, that heads above the rest, has been the number one site
[01:12:55.934 --> 01:13:09.056]  Just in a Herculean effort, cleaning out the Aegean stables, exposing and breaking hundreds of articles that have been absolutely on target and trailblazing in the last
[01:13:10.845 --> 01:13:12.686]  Month or so since the fraudulent election.
[01:13:13.406 --> 01:13:18.209]  And so I want to give him the floor of the next three segments, the next 45 minutes, but I got him on late and I appreciate him being here.
[01:13:18.229 --> 01:13:20.770]  I just want to ask him with two minutes to break.
[01:13:21.351 --> 01:13:22.631]  You've been big on China.
[01:13:22.671 --> 01:13:23.972]  You've lived in Asia.
[01:13:24.853 --> 01:13:28.895]  You've been exposing the COVID exaggeration and hoax as well.
[01:13:29.275 --> 01:13:30.295]  Spend a few minutes on that.
[01:13:30.315 --> 01:13:36.759]  Then we're going to come back and get into the election and the giant breaking news that's unfolding there.
[01:13:37.159 --> 01:13:38.460]  But just please give us your overall
[01:13:39.980 --> 01:13:46.303]  Alex, I think you're right on it.
[01:13:46.383 --> 01:13:47.604]  I think you're right on target.
[01:13:47.724 --> 01:13:48.464]  You're over target.
[01:13:48.784 --> 01:13:49.244]  Absolutely.
[01:13:49.264 --> 01:13:50.405]  And it's great to be here again.
[01:13:50.465 --> 01:13:54.366]  Yes, I think there are some real concerns with China right now.
[01:13:55.127 --> 01:14:06.011]  There's a number of things that just occurred over the last 24 hours as you as you know, this release of these more than what 2 million individuals that are members of the Communist Party that's
[01:14:06.914 --> 01:14:09.036]  A list of worldwide individuals.
[01:14:09.076 --> 01:14:12.399]  My understanding is there's at least 50,000 Americans on that list.
[01:14:12.779 --> 01:14:15.682]  It's probably no surprise that we can't wait to see who those people are.
[01:14:16.342 --> 01:14:22.948]  The names are in Chinese, so they need to be translated, but just based on phone number, we can tell there's around 50,000.
[01:14:23.008 --> 01:14:24.569]  So that was big.
[01:14:24.649 --> 01:14:34.558]  We have some other, there was the hack last night on one of the government entities, the financial entity, and then news this morning also about
[01:14:35.519 --> 01:14:36.040]  I don't
[01:14:54.171 --> 01:14:58.234]  Um, was something that was big, but we also saw that they were lying about it immediately.
[01:14:58.254 --> 01:15:01.376]  The WHO was as you, as you would call Alex, we're on your show.
[01:15:01.396 --> 01:15:11.124]  We talked about this, how the WHO was saying this thing was going to be worse than really, it sounded like the Spanish flu with a 3% mortality rate worldwide.
[01:15:11.144 --> 01:15:12.445]  And that scared the whole world.
[01:15:12.525 --> 01:15:14.866]  And we noticed not their numbers weren't right.
[01:15:15.287 --> 01:15:16.147]  They were inaccurate.
[01:15:16.167 --> 01:15:21.751]  Now we're seeing that come to fruition as, uh, as Democrats continue to want to close down cities.
[01:15:21.872 --> 01:15:22.292]  But, um,
[01:15:23.015 --> 01:15:24.356]  But the numbers just aren't there.
[01:15:24.396 --> 01:15:25.517]  They just don't make sense.
[01:15:25.537 --> 01:15:26.537]  So we were right then.
[01:15:27.198 --> 01:15:28.579]  And there's a lot going on.
[01:15:28.919 --> 01:15:31.141]  And so certainly a lot for us to chat about.
[01:15:31.161 --> 01:15:34.363]  Well, Joe, I know, because I'm up 18 hours a day.
[01:15:34.383 --> 01:15:35.403]  I know you guys.
[01:15:35.844 --> 01:15:36.784]  I'm not about kissing your ass.
[01:15:36.804 --> 01:15:37.085]  It's true.
[01:15:37.105 --> 01:15:38.906]  You guys are doing more work than everybody else combined.
[01:15:38.926 --> 01:15:39.686]  I know how you're doing it.
[01:15:39.987 --> 01:15:42.909]  And the lawsuits, the groups you're funding, and what you're doing, you're the tip of the spirit, buddy.
[01:15:43.389 --> 01:15:45.991]  And so it's good to see somebody out there more the tip of the spirit than we are.
[01:15:46.411 --> 01:15:47.292]  We're good live on air.
[01:15:47.312 --> 01:15:48.052]  I have a lot of great guests.
[01:15:48.072 --> 01:15:50.074]  But that's why you're here, so people use
