[00:00:02.269 --> 00:00:02.769]  99 days.
[00:25:25.854 --> 00:25:26.775]  Oh, I feel so safe.
[00:25:26.815 --> 00:25:29.617]  Let me submit to you and put your communist handcuffs on.
[00:25:29.877 --> 00:25:32.519]  I'm sure you'll be real nice once I let you take over.
[00:25:32.619 --> 00:25:34.941]  No, I think it'll be the other way around.
[00:25:37.082 --> 00:25:38.723]  People, oh, Jones, you better watch it.
[00:25:39.024 --> 00:25:39.904]  They could get you.
[00:25:40.164 --> 00:25:40.885]  That's the whole point.
[00:25:41.325 --> 00:25:43.327]  Bowing down to this evil goddess here.
[00:25:43.867 --> 00:25:45.608]  I know InfoWars is under attack.
[00:25:47.069 --> 00:25:48.410]  People say, what do you have your son on air?
[00:25:48.891 --> 00:25:52.033]  I mean, he's three inches taller than me.
[00:25:52.393 --> 00:25:52.934]  He's about to be 18.
[00:25:53.434 --> 00:25:54.375]  He wants to be on air.
[00:25:56.971 --> 00:26:01.217]  About a third of George Washington's troops were like 13, 14 years old.
[00:26:01.457 --> 00:26:04.080]  Since when do we domesticate our children?
[00:26:05.923 --> 00:26:07.605]  Well, you got your son out at these rallies.
[00:26:07.645 --> 00:26:08.807]  He's out at those rallies!
[00:26:11.348 --> 00:26:13.328]  And it's everybody thinking they're so smart.
[00:26:13.348 --> 00:26:15.569]  I see all these so-called conservative videos on YouTube.
[00:26:15.589 --> 00:26:21.390]  People send me one, Jones needs to watch himself, and you know, he shouldn't have his son out there.
[00:26:21.430 --> 00:26:22.351]  Something bad could happen.
[00:26:22.571 --> 00:26:24.111]  Yeah, like a New World Order takeover?
[00:26:24.131 --> 00:26:28.732]  Because we all just keep bending over and trying to keep safe and trying to keep our heads down.
[00:26:29.212 --> 00:26:31.273]  That's not what it is to be an American.
[00:26:32.513 --> 00:26:33.133]  I'm all in.
[00:26:33.413 --> 00:26:34.293]  My son's all in.
[00:26:34.553 --> 00:26:35.994]  I pray for my family every day.
[00:26:36.234 --> 00:26:37.314]  It's in God's hands now.
[00:26:39.693 --> 00:26:43.678]  At least he'll be dying on his feet and not on his knees!
[00:26:44.078 --> 00:26:44.919]  A thousand deaths!
[00:26:46.561 --> 00:26:54.851]  Do you understand this groveling to the system has conjured the communists and the devil worshippers and the child molesters and all the evil?
[00:27:00.831 --> 00:27:03.052]  They think going to everybody's house and death-threatening them.
[00:27:03.312 --> 00:27:05.794]  Tucker Carlson, myself, DHS, all of them.
[00:27:06.174 --> 00:27:09.135]  They think that that will intimidate everybody.
[00:27:09.395 --> 00:27:10.276]  And maybe they're right.
[00:27:10.356 --> 00:27:12.257]  Maybe we're not made of what we were before.
[00:27:12.897 --> 00:27:14.898]  Maybe people think laying down is the way to go.
[00:27:14.938 --> 00:27:18.600]  But I didn't bring that up to act like I'm Billy Badass.
[00:27:18.700 --> 00:27:19.100]  I'm not.
[00:27:19.401 --> 00:27:22.202]  I understand the threat so bad, I better stand up against it.
[00:27:23.383 --> 00:27:24.103]  Rather than wait.
[00:27:24.703 --> 00:27:27.465]  Guys, print me the Alexander Shultz and Edson quote, please.
[00:27:27.765 --> 00:27:28.825]  Oh, how we burned the camps.
[00:27:28.845 --> 00:27:29.846]  I'm going to read that next segment.
[00:27:31.271 --> 00:27:32.933]  It's about two paragraphs long.
[00:27:33.213 --> 00:27:34.214]  I want the full quote, thank you.
[00:27:34.454 --> 00:27:36.456]  From Gulag Archipelago.
[00:27:36.476 --> 00:27:43.423]  Oh, later, how we burned in the camps wishing we could have done something at the beginning when they started coming for us.
[00:27:45.005 --> 00:27:51.111]  Well, I'm doing everything I can in the information war to shape the battle space, to fix this peacefully.
[00:27:51.632 --> 00:27:54.655]  But if it's war they've been looking for, it's war they're gonna get.
[00:27:56.072 --> 00:27:58.775]  And you make sure, folks, you don't follow the media's programming.
[00:27:59.496 --> 00:28:02.840]  If a real civil war breaks out, which we're already in the early stages of now, they're igniting it.
[00:28:03.201 --> 00:28:07.325]  You don't go fight anti for trash and people in downtown with morons brainwashed.
[00:28:08.707 --> 00:28:09.808]  It's who sent them.
[00:28:10.810 --> 00:28:14.294]  And they want to come to our houses?
[00:28:19.585 --> 00:28:24.571]  That's why all the real establishment are on private islands hiding out right now, saying for COVID.
[00:28:24.792 --> 00:28:26.494]  They're not hiding out from COVID.
[00:28:26.854 --> 00:28:30.659]  They're all in New Zealand because this is their communist overthrow.
[00:28:30.839 --> 00:28:32.161]  And they're not going to do the fighting and dying.
[00:28:32.321 --> 00:28:37.288]  Well, I assure you, in Kauai and in Tasmania,
[00:28:38.684 --> 00:28:45.549]  And in New Zealand, and in Switzerland, that you're being watched right now by the people that are cooking your food.
[00:28:46.049 --> 00:28:52.173]  And the first thing they're gonna do once it all kicks off is slit your throat ear to ear.
[00:28:53.114 --> 00:28:54.595]  Is bash your brains out.
[00:28:55.055 --> 00:28:57.237]  And they won't be like some uncoordinated leftist.
[00:29:00.959 --> 00:29:01.760]  You're all dead.
[00:29:03.441 --> 00:29:07.384]  So, I would advise you to stop now.
[00:29:10.179 --> 00:29:15.886]  Because the Russians are strong, good, smart people, but they were serfs for 500 years and hadn't had a real revolution yet.
[00:29:17.587 --> 00:29:20.471]  You won't go the way your little commie revolution went.
[00:29:21.874 --> 00:29:27.457]  In Russia, where you got to piss on Christians for 85 years and kill 50 million of them, it won't go that way.
[00:29:27.958 --> 00:29:35.442]  You dirty, Jacobin, Bolshevik trash and your billionaire owners are all gonna pay.
[00:29:36.043 --> 00:29:50.412]  And when we're done, it may not be me around to see it, we're gonna dig you out of your holes and we're gonna make sure you face trial before you get marched up there on that platform, on that gantry.
[00:29:51.277 --> 00:30:06.814]  And before the man in that black face hood pulls that lever and your neck snaps at the bottom of that rope and you're transported to the dimension of your choosing.
[00:30:07.635 --> 00:30:08.516]  We know what you've chosen.
[00:30:09.277 --> 00:30:10.198]  Of your father, the devil.
[00:30:11.351 --> 00:30:14.972]  So you want your big bloody communist dream!
[00:30:15.652 --> 00:30:16.913]  And you think it's going to be so great.
[00:30:16.933 --> 00:30:18.513]  You know, the Red Terror was senseless.
[00:30:18.993 --> 00:30:20.274]  They said, why are we killing random people?
[00:30:20.294 --> 00:30:21.754]  And Lenin said, I want terror.
[00:30:21.914 --> 00:30:22.694]  I want fear.
[00:30:22.874 --> 00:30:24.595]  I want total collapse.
[00:30:26.595 --> 00:30:28.176]  And so let's show you some video here.
[00:30:28.916 --> 00:30:30.277]  This is Aurora yesterday.
[00:30:30.297 --> 00:30:31.997]  There's chopper footage on InfoWars.com.
[00:30:32.017 --> 00:30:32.857]  You see the whole thing.
[00:30:33.758 --> 00:30:34.498]  This is from the ground.
[00:30:34.518 --> 00:30:35.098]  Let's play it with audio.
[00:30:38.137 --> 00:30:44.779]  And they just run on a highway and a car doesn't know what's going on and they shoot the tire out and then shoot their own people!
[00:30:46.319 --> 00:30:47.839]  Yeah, was everybody okay over there?
[00:30:48.980 --> 00:30:51.040]  Because you're all such heroes fighting Nazis.
[00:30:52.040 --> 00:30:54.741]  They think they're Captain America and they're funded by George Soros.
[00:30:54.761 --> 00:30:58.962]  I mean, imagine, you pull into this...
[00:31:00.169 --> 00:31:01.069]  And the person panics.
[00:31:01.089 --> 00:31:02.230]  Suddenly they're on the highway.
[00:31:02.250 --> 00:31:03.750]  You see them in the full chopper video.
[00:31:03.890 --> 00:31:05.051]  They're beating one car.
[00:31:05.451 --> 00:31:06.711]  And the person goes, this is scary.
[00:31:06.911 --> 00:31:11.173]  I'm not going to stop with a couple thousand people attacking me.
[00:31:13.354 --> 00:31:14.474]  And so they drive on through.
[00:31:14.494 --> 00:31:17.455]  And then they start shooting at them.
[00:31:22.937 --> 00:31:24.398]  Let's go ahead and go to the next clip.
[00:31:24.458 --> 00:31:27.199]  Colorado driver shot in the head by protester.
[00:31:28.410 --> 00:31:31.332]  And he's a local liberal lawyer activist.
[00:31:31.432 --> 00:31:32.853]  Oh, those loving liberal.
[00:31:33.033 --> 00:31:33.993]  He's got this crazy look.
[00:31:34.274 --> 00:31:36.875]  He's being booked on capital murder.
[00:31:37.896 --> 00:31:40.117]  And he just looks like he just won the lottery.
[00:31:40.177 --> 00:31:42.819]  He's got this pride.
[00:31:42.879 --> 00:31:45.000]  He just ran up to a random car.
[00:31:45.220 --> 00:31:47.321]  It was a white guy and he shot him in the head.
[00:31:47.642 --> 00:31:48.082]  Here it is.
[00:31:49.324 --> 00:31:56.650]  In a Colorado Springs hospital, police say he was shot in the head while passing near a George Floyd protest in Alamosa.
[00:31:56.990 --> 00:32:06.798]  Well, Heather, Alamosa police told me that a 27-year-old defense attorney shot a driver in the head during a protest right here on Main Street last night.
[00:32:07.118 --> 00:32:11.682]  Police say this man, 27-year-old James Marshall, was on the streets protesting.
[00:32:11.702 --> 00:32:14.104]  Look how satisfied he is!
[00:32:14.184 --> 00:32:17.647]  By the way, last time I heard that guy he shot was on live support.
[00:32:18.871 --> 00:32:20.111]  Is that person even alive?
[00:32:20.472 --> 00:32:31.635]  And you look at the guy, he's been given a mug shot for capital murder and he looks like he's having an orgasm because he believes he'll be released from prison after the communist overthrow and he'll be in a gulag over you and your family.
[00:32:31.976 --> 00:32:33.176]  Sneak again, boy!
[00:32:33.516 --> 00:32:34.556]  Ain't gonna happen!
[00:32:36.177 --> 00:32:37.477]  We'll be right back, stay with us.
[00:32:40.899 --> 00:32:42.379]  The Civil War isn't coming.
[00:32:43.439 --> 00:32:44.620]  The Civil War's here.
[00:32:46.125 --> 00:32:51.890]  And it's run by the shycoms, the EU, the globalists, Hollywood, the Democratic Party, and all the big banks.
[00:32:53.352 --> 00:33:00.918]  And that's why all the corporations line up and beg, because they want that free fiat money the central banks give them that's backed up by who?
[00:33:01.579 --> 00:33:03.721]  By you and I, the taxpayers!
[00:33:05.307 --> 00:33:07.009]  That's how it's all centralized.
[00:33:07.510 --> 00:33:08.070]  How the U.N.
[00:33:08.110 --> 00:33:08.911]  runs our medicine.
[00:33:09.352 --> 00:33:09.832]  How the U.N.
[00:33:09.872 --> 00:33:10.593]  runs our schools.
[00:33:11.114 --> 00:33:13.156]  How all its regulations control us.
[00:33:13.176 --> 00:33:14.157]  Who set up the U.N.?
[00:33:14.177 --> 00:33:16.240]  The Rockefellers!
[00:33:16.580 --> 00:33:17.601]  On record!
[00:33:20.524 --> 00:33:21.826]  A giant spider web.
[00:33:22.987 --> 00:33:23.828]  A new world order.
[00:33:25.210 --> 00:33:26.031]  A big idea.
[00:33:27.259 --> 00:33:28.340]  A post-human future.
[00:33:29.080 --> 00:33:34.503]  But to build that nightmare world, the Renaissance and the liberal West must be pulled down.
[00:33:35.243 --> 00:33:41.646]  No better way to destroy true liberalism than to bring in the left-hand path and destroy free, open societies.
[00:33:42.487 --> 00:33:44.488]  That's why Soros captains the open society.
[00:33:45.208 --> 00:33:46.529]  Everything with him is an inversion.
[00:33:46.989 --> 00:33:48.570]  It's the closed society.
[00:33:48.950 --> 00:33:50.191]  The poor society.
[00:33:51.091 --> 00:33:54.993]  The society under his and other globalist iron rule.
[00:33:55.693 --> 00:33:56.134]  Because
[00:33:57.307 --> 00:33:59.049]  They want to dominate your soul.
[00:33:59.989 --> 00:34:01.771]  They want you to beg for every crumb.
[00:34:02.551 --> 00:34:03.993]  They want you to submit to them.
[00:34:04.773 --> 00:34:06.234]  Because they're fallen and ugly.
[00:34:06.655 --> 00:34:08.176]  And want you to be beneath them.
[00:34:08.917 --> 00:34:10.058]  But you will never be beneath them.
[00:34:10.878 --> 00:34:11.439]  Remember that.
[00:34:11.459 --> 00:34:13.961]  Now let's get into it.
[00:34:14.855 --> 00:34:19.057]  I have countless more videos, but why don't we just show the video, the RadioListers, a few weeks ago.
[00:34:19.938 --> 00:34:26.122]  White supremacist runs over peaceful protester that had run out on the highway, blocked it in a dark area of the road.
[00:34:26.522 --> 00:34:30.464]  Two women, two white women, live streaming, get run over.
[00:34:31.065 --> 00:34:33.226]  They run to attack the guy, start beating his car.
[00:34:33.626 --> 00:34:37.648]  He drives off, they call it a hit and run, until they find out it's a black guy.
[00:34:38.329 --> 00:34:40.090]  And then the whole story got shut down.
[00:34:42.517 --> 00:34:49.899]  But that's what happens here, ladies and gentlemen, when you're out on the highway at 1.30 and somebody that's been out partying comes driving on the road.
[00:34:50.139 --> 00:34:51.499]  And boy, that'd have been a white guy.
[00:34:51.959 --> 00:34:52.579]  Woo!
[00:34:54.020 --> 00:34:56.060]  And we'd have pointed out, you know, that it was an accident.
[00:34:56.140 --> 00:35:06.723]  I'd have been sued by a university right there in Seattle, just like I was by Georgetown for pointing out that Soros collided all those people together a few years ago in Virginia.
[00:35:07.608 --> 00:35:09.489]  To create a crisis and one woman got killed.
[00:35:10.109 --> 00:35:13.851]  They're suing me saying I'm saying they actually killed the woman physically themselves.
[00:35:14.091 --> 00:35:15.292]  No, I said like a chemistry set.
[00:35:15.632 --> 00:35:20.314]  You set up the collision and then had the police push them together for the crisis.
[00:35:20.574 --> 00:35:26.437]  And the Democrats are now on record saying in the news, we're going to create explosions all over the U.S.
[00:35:26.637 --> 00:35:28.518]  to drive Trump from power.
[00:35:28.698 --> 00:35:31.159]  And they bought full page ads in the New York Times.
[00:35:33.160 --> 00:35:35.781]  While they simultaneously have Frontline coming out,
[00:35:37.108 --> 00:35:40.650]  With a multi-series show of complete fiction.
[00:35:41.411 --> 00:35:43.993]  Because I've talked to people that have been involved in the production.
[00:35:44.473 --> 00:35:45.594]  Unbelievable.
[00:35:45.774 --> 00:35:49.917]  They're actually going to say, I'm told, that Russians fund InfoWars.
[00:35:51.378 --> 00:35:52.799]  Wonder how much they had to pay people to say that.
[00:35:53.319 --> 00:35:54.080]  Look at this headline.
[00:35:54.400 --> 00:36:04.026]  United States of Conspiracy examines how three men, Alex Jones, Roger Stone, and President Trump,
[00:36:04.929 --> 00:36:11.136]  Helped to lay the foundation for the conspiracy theories to take center stage in America's national conversation.
[00:36:14.319 --> 00:36:17.523]  And on the front page of their Twitter, front page of Frontline, it's me.
[00:36:17.883 --> 00:36:23.189]  At the evil Austin rallies against compulsory mask.
[00:36:24.110 --> 00:36:26.032]  How horrible we are.
[00:36:29.329 --> 00:36:33.312]  Here, let's roll some footage of them a few weeks ago attacking our armored vehicle while making jokes.
[00:36:33.352 --> 00:36:34.152]  Why do you have an armored vehicle?
[00:36:34.372 --> 00:36:47.120]  Well, if we're going to go downtown and cover all this, and you're going to come up armed with clubs and hammers and guns and then try to bash the windows out, we need to be able to peacefully show how violent and evil you are.
[00:36:47.341 --> 00:36:51.483]  So the media spun this and said we attacked our own vehicle in a false flag.
[00:36:52.304 --> 00:36:54.825]  And then the media said we put fake bullet holes in the window.
[00:36:54.845 --> 00:36:55.926]  No, it was hammer holes.
[00:36:55.986 --> 00:36:56.406]  They did it.
[00:36:56.507 --> 00:36:56.867]  Antifa.
[00:36:58.382 --> 00:37:03.326]  And then they said that we burned down a homeless camp because Antifa isn't violent.
[00:37:03.786 --> 00:37:04.186]  That's right.
[00:37:04.326 --> 00:37:08.469]  We burned a homeless camp because we shot the footage of them burning the homeless camp.
[00:37:09.010 --> 00:37:09.210]  Uh-huh.
[00:37:11.652 --> 00:37:15.935]  Talk about being conspiracy theorists, ladies and gentlemen.
[00:37:15.975 --> 00:37:19.697]  This is how they operate each and every time.
[00:37:19.777 --> 00:37:21.679]  So Schiff has now joined
[00:37:22.807 --> 00:37:26.588]  Pelosi and the former Attorney General Eric Holder and all the rest of them.
[00:37:27.048 --> 00:37:29.628]  Joe Biden saying Trump is a dictator.
[00:37:30.588 --> 00:37:34.229]  The federal police guarding courthouses are Nazis.
[00:37:35.469 --> 00:37:38.390]  Why, everybody's a Nazi now except the real Nazi collaborator, George Soros.
[00:37:41.530 --> 00:37:46.411]  Remember just six months ago they had articles going, Jones is insane, George Soros is a philanthropist.
[00:37:46.631 --> 00:37:48.531]  He doesn't fund Black Lives Matter or Antifa.
[00:37:48.891 --> 00:37:50.112]  Now Soros is proud of this.
[00:37:50.152 --> 00:37:52.212]  He's like, I am doubling my funding.
[00:37:54.406 --> 00:37:56.808]  Hundreds of millions of dollars a year to this.
[00:37:59.230 --> 00:38:03.314]  200 million this year so far to Black Lives Matter and Antifa that we know of.
[00:38:06.817 --> 00:38:08.758]  I'm being sued by a Soros-backed suit.
[00:38:08.999 --> 00:38:16.305]  And it says, Jones falsely claims that Soros funded Antifa in Charlottesville.
[00:38:16.605 --> 00:38:20.749]  And it's on the damn record, in his own family name, they gave the money.
[00:38:23.194 --> 00:38:26.517]  I mean, this is next level, ladies, but they don't care.
[00:38:27.337 --> 00:38:27.918]  They don't care.
[00:38:28.658 --> 00:38:41.588]  Because they've got systems that will rout us, and they believe shut us down, as if I can't jack into our awesome, incredible supporters and listeners who are loyal to the truth and justice, who will always amplify, as long as they're alive, our message.
[00:38:42.469 --> 00:38:45.231]  And as they try to suppress our message, it only becomes stronger.
[00:38:46.209 --> 00:38:49.513]  Historically, the Streisand effect is active now.
[00:38:50.033 --> 00:38:50.934]  I'm going to give you some good news.
[00:38:50.954 --> 00:38:51.896]  I'm going to hit the Southern news.
[00:38:53.017 --> 00:38:54.258]  I took off six days.
[00:38:54.398 --> 00:38:55.580]  I went to the Florida Panhandle.
[00:38:56.741 --> 00:38:58.163]  Really Southern Alabama, Southern Georgia.
[00:38:58.423 --> 00:38:58.924]  Great people.
[00:38:58.984 --> 00:38:59.604]  Best part of Florida.
[00:39:00.575 --> 00:39:06.378]  And I was mobbed by black people, mobbed by brown people, mobbed by white people, mobbed, mobbed, mobbed.
[00:39:06.778 --> 00:39:08.639]  Everybody in the South's getting along so good.
[00:39:09.179 --> 00:39:11.100]  Folks in the Northeast really ought to go see how it's done.
[00:39:12.001 --> 00:39:13.402]  And I was just mobbed.
[00:39:13.462 --> 00:39:20.445]  I mean, and people were just elect—the people from Brazil I ran into, Mexico that I ran into, they had loving eyes.
[00:39:20.505 --> 00:39:22.946]  Everybody had loving eyes, was awake, was alive.
[00:39:22.986 --> 00:39:23.727]  I got so many hugs.
[00:39:25.777 --> 00:39:30.801]  And people are just so aware of the whole new world order and the pedophile rings and the COVID hoax and just all of it.
[00:39:33.703 --> 00:39:38.487]  But still, many of them are nice and are complying because they don't want to ruffle feathers.
[00:39:38.547 --> 00:39:41.569]  No, we have to ruffle feathers and not submit to this tyranny.
[00:39:41.589 --> 00:39:43.450]  Ted Nugent is scheduled to come up.
[00:39:44.771 --> 00:39:46.733]  You know, folks, we are not funded.
[00:39:48.305 --> 00:39:48.926]  By the Russians.
[00:39:49.826 --> 00:39:51.187]  I have no connections to the Russians.
[00:39:51.227 --> 00:39:52.589]  That's all been completely disproven.
[00:39:53.109 --> 00:39:55.191]  Roger Stone was not convicted for any connection to the Russians.
[00:39:55.211 --> 00:39:58.193]  He was convicted for trying to get Julian Assange on my show.
[00:39:59.835 --> 00:40:00.115]  Literally.
[00:40:00.395 --> 00:40:07.301]  I mean, I was here when Assange wouldn't give us the time of day and he was trying to talk to Randy Credico and I was mad at Assange calling him Hillary Clinton's butt plug.
[00:40:07.881 --> 00:40:08.442]  Remember all that?
[00:40:09.182 --> 00:40:09.623]  I was here.
[00:40:11.343 --> 00:40:31.521]  But imagine saying, I am this evil Russian, but by doing that they make me an enemy, and they could use CIA money and propaganda to try to shut us down, and sue us, and do all this, and Trump's never gotten full control of the COG system, and maybe he'll wake up now with 99 days left, because Pelosi's on TV saying, I met with COG last week, and we've got a plan to forcibly remove him!
[00:40:32.041 --> 00:40:34.283]  The COG's under the President and Congress!
[00:40:34.503 --> 00:40:36.966]  What were you doing in a meeting without the President there, you monster?
[00:40:37.586 --> 00:40:42.908]  They're openly doing that, though, to look confident in front of everybody, so they'll carry out the damn coup!
[00:40:44.549 --> 00:40:51.352]  Well, The Washington Post says, front page, anyone that doesn't submit to us will serve prison time.
[00:40:51.592 --> 00:40:53.333]  Oh, with antifa jail guards?
[00:40:53.713 --> 00:40:57.055]  You know, I think I'll just go ahead and take my chances fighting.
[00:40:58.295 --> 00:41:00.656]  And that's all I'm going to say.
[00:41:00.796 --> 00:41:02.737]  I guess, oh, I said I'd read this.
[00:41:04.998 --> 00:41:05.898]  I've already lost my arms.
[00:41:09.684 --> 00:41:10.485]  Let me just say this.
[00:41:10.965 --> 00:41:11.846]  We're funded by you.
[00:41:12.747 --> 00:41:14.448]  If you need water filtration, we've got the best.
[00:41:14.468 --> 00:41:15.509]  The best price you're going to find.
[00:41:15.549 --> 00:41:17.711]  Air filtration, best you're going to find at the price.
[00:41:17.731 --> 00:41:20.914]  You can pay five times more, get something better, but it's a four-stage ion filter.
[00:41:21.234 --> 00:41:23.856]  Luxapir Breeze, Luxapir water filters as well.
[00:41:24.915 --> 00:41:26.216]  Everybody needs to be self-sufficient.
[00:41:26.456 --> 00:41:28.517]  Storeable Food now is shipping within two to three weeks.
[00:41:29.277 --> 00:41:32.258]  I would get it during this low, if you can call it this, and get it in.
[00:41:32.298 --> 00:41:34.099]  Last 25 years, super high quality.
[00:41:34.119 --> 00:41:36.040]  We have the best at InfoWareStore.com.
[00:41:36.340 --> 00:41:37.561]  Partner with My Patriot Supply.
[00:41:37.581 --> 00:41:39.521]  You get it quickest ordering it from us.
[00:41:39.682 --> 00:41:41.062]  I would take action now on that.
[00:41:41.462 --> 00:41:47.585]  And we have Christmas Comes in July sale that will be ending sometime this week because so many of these items are about to sell out.
[00:41:47.865 --> 00:41:50.426]  Storewide free shipping, double Patriot points.
[00:41:52.007 --> 00:41:54.008]  And the sale is going to end within just a few days because
[00:41:55.580 --> 00:41:56.001]  I have to.
[00:41:56.381 --> 00:41:59.204]  The free shipping's killing us, and then also all these items are about to sell out.
[00:41:59.325 --> 00:42:01.127]  BODY's Ultimate Turmeric Formula.
[00:42:01.167 --> 00:42:01.807]  Selling out.
[00:42:02.208 --> 00:42:03.489]  Living Defense 50% off.
[00:42:03.850 --> 00:42:04.571]  Selling out.
[00:42:04.611 --> 00:42:05.892]  That's so good to get rid of little parasites.
[00:42:06.333 --> 00:42:08.856]  Vazzo Beats for your whole body and your heart and the rest of it.
[00:42:09.116 --> 00:42:10.318]  Creates nitrous oxide in the body.
[00:42:10.358 --> 00:42:12.080]  A great concentrate of beet juice.
[00:42:12.600 --> 00:42:13.281]  Turbo Force.
[00:42:13.381 --> 00:42:13.682]  All is 50% off.
[00:42:15.083 --> 00:42:19.066]  Vitamin Mineral Fusion with all the vitamins and minerals and amino acids for adults and children.
[00:42:19.106 --> 00:42:19.986]  So good for your immune system.
[00:42:20.247 --> 00:42:21.888]  That's selling out.
[00:42:21.908 --> 00:42:22.588]  50% off.
[00:42:22.608 --> 00:42:24.349]  They're telling me, Alex, you got to launch the new special.
[00:42:24.369 --> 00:42:25.530]  You got to launch the new product.
[00:42:25.950 --> 00:42:27.071]  And I've just been too busy to do it.
[00:42:27.131 --> 00:42:28.612]  So we're just selling out of all this stuff.
[00:42:28.632 --> 00:42:30.413]  Survival Shield X2 Niacin Ionide Spray.
[00:42:31.354 --> 00:42:31.534]  50% off.
[00:42:31.594 --> 00:42:33.616]  Brain Force Plus, the great nootropic.
[00:42:33.636 --> 00:42:33.836]  50% off.
[00:42:33.856 --> 00:42:34.997]  Survival Shield X3.
[00:42:35.737 --> 00:42:35.917]  50% off.
[00:42:35.977 --> 00:42:37.218]  Lung Cleanse.
[00:42:37.238 --> 00:42:37.418]  50% off.
[00:42:37.518 --> 00:42:38.599]  Ultra 12, take it out of the tongue.
[00:42:39.239 --> 00:42:39.419]  50% off.
[00:42:39.439 --> 00:42:40.220]  DNA Force Plus.
[00:42:40.240 --> 00:42:40.780]  That's incredible.
[00:42:40.800 --> 00:42:41.241]  Got to get that.
[00:42:42.141 --> 00:42:42.341]  50% off.
[00:42:42.401 --> 00:42:43.882]  Winter Sun with the vitamin K as well.
[00:42:44.082 --> 00:42:46.803]  Take it under the tongue with the vitamin D3.
[00:42:46.823 --> 00:42:47.023]  50% off.
[00:42:47.063 --> 00:42:48.144]  Chill Force, 50% off.
[00:42:48.584 --> 00:42:50.085]  Superfilm of Vitality, 50% off.
[00:42:50.125 --> 00:42:51.325]  Bob Driscollini, 50% off.
[00:42:51.605 --> 00:42:52.626]  Extended Life, 50% off.
[00:42:52.866 --> 00:42:53.766]  And so much more.
[00:42:54.087 --> 00:42:55.467]  Infowarstore.com.
[00:42:55.747 --> 00:42:59.449]  Ted Nugent, the governor said, will the rest of you come to New York?
[00:42:59.569 --> 00:43:00.449]  You don't have speech.
[00:43:00.750 --> 00:43:01.490]  He's coming up.
[00:43:01.570 --> 00:43:03.351]  I mean, the commies are making their move.
[00:43:03.631 --> 00:43:04.891]  Second hour, straight ahead.
[00:43:04.931 --> 00:43:05.752]  I'm Alex Jones.
[00:43:05.952 --> 00:43:07.112]  You are the Paul Revere.
[00:43:07.152 --> 00:43:08.273]  Spread the word now.
[00:43:08.593 --> 00:43:08.993]  Do it!
[00:43:09.053 --> 00:43:10.394]  Tell folks to do it now!
[00:43:16.926 --> 00:43:18.567]  Folks, we are back live.
[00:43:18.847 --> 00:43:19.927]  Thank you so much for joining us.
[00:43:19.987 --> 00:43:22.268]  Ted Nugent's going to be calling in in the next five minutes or so.
[00:43:22.288 --> 00:43:29.871]  And if you just heard me mention, oh, the governor said they'll arrest Ted Nugent and this congressman if they come to New York.
[00:43:30.011 --> 00:43:33.072]  It blocks the quarantine, but anti-fucking riot and attack police.
[00:43:33.592 --> 00:43:36.073]  And so they canceled a pro-police rally.
[00:43:37.594 --> 00:43:40.435]  And again, you could go there and, you know, let let them come after Ted Nugent.
[00:43:40.455 --> 00:43:44.016]  The point is, is that the organizers shut it down so Ted Nugent didn't go to it.
[00:43:44.516 --> 00:43:46.577]  That's how the communists have us paralyzed.
[00:43:47.807 --> 00:43:48.548]  And that's why the L.A.
[00:43:48.568 --> 00:43:54.472]  Mayor says, oh, it's good of you to protest the police, just no one else can, you know, protest, though, anything else.
[00:43:54.692 --> 00:43:56.473]  Only communists are allowed to protest.
[00:43:56.693 --> 00:43:59.075]  And they're all just teaching you these major contradictions.
[00:43:59.335 --> 00:44:00.896]  This is done in psych warfare.
[00:44:01.376 --> 00:44:04.298]  This is done to train you to accept garbage.
[00:44:04.318 --> 00:44:05.279]  You're not supposed to like it.
[00:44:06.400 --> 00:44:10.983]  You're supposed to learn to accept it, that it's peaceful to run up to you in a car and shoot you in the head.
[00:44:13.575 --> 00:44:22.533]  Now here's a very powerful report before we go to Ted Nugent since we get him that Gregory's put together called everyone will soon test positive for COVID and it shows all the CDC documents.
[00:44:23.174 --> 00:44:24.076]  Well, just see it for yourself.
[00:44:24.116 --> 00:44:25.498]  This is beyond critical Bandai video.
[00:44:28.027 --> 00:44:34.292]  We know that the prescribed PCR tests are not detecting the COVID-19 genome.
[00:44:34.992 --> 00:44:42.658]  According to the CDC's own literature, the tests do not rule out bacterial infection or other viruses.
[00:44:43.559 --> 00:44:50.804]  They are detecting all varieties of coronavirus, including the common cold, and counting it as COVID-19.
[00:44:52.345 --> 00:45:02.867]  And it has been pointed out for months that the geographical locations experiencing the most cases of COVID also seem to have active 5G technology.
[00:45:03.887 --> 00:45:16.690]  After a video went viral in which David Icke suggested that 5G is somehow responsible for positive cases of COVID-19, YouTube deleted it and began deleting all videos on the subject.
[00:45:17.290 --> 00:45:28.341]  Including a video we made that pointed out how on October 31st of 2019, Wuhan, China became the first major testbed of 5G technology.
[00:45:30.922 --> 00:45:40.444]  In late June, a new scientific research paper entitled, 5G Technology and Induction of Coronavirus in Skin Cells was published.
[00:45:41.284 --> 00:45:48.546]  This paper gives a scientific explanation of the relationship between 5G technology and the coronavirus.
[00:45:49.546 --> 00:45:57.488]  Unlike 4G or other radio waves, the 5G millimeter waves can penetrate the nucleus of a cell.
