[00:00:00.000 --> 00:00:23.280]  MUSIC PLAYS Thank you.
[00:27:50.730 --> 00:28:06.390]  Outside sponsors, outside groups, outside organizations that own and run The Alex Jones Network, alexjones.network, and working with outside groups that are launching Real Alex Jones,
[00:28:06.609 --> 00:28:13.670]  totally separate group, realalexjones.com, and other groups that are going to be behind alexjones.live.
[00:28:14.190 --> 00:28:24.069]  And it is my intention now to do three shows a day, seven days a week, to counter this response.
[00:28:25.000 --> 00:28:27.500]  Instead of one show, three shows.
[00:28:28.980 --> 00:28:33.480]  And you notice I'm feeling great, looking good, enjoying things.
[00:28:33.640 --> 00:28:34.539]  I was kind of asleep.
[00:28:35.950 --> 00:28:40.529]  You know, I was always counting on others to finally win the big war, but I realize it's my responsibility.
[00:28:41.190 --> 00:28:53.650]  I realize we're so prominent and so effective against the enemy that I just have a responsibility to my children, and by extension all of you, because my children will grow up in a world with your children, that I'm just turning it on ultra-maximum.
[00:28:53.769 --> 00:29:02.029]  Because watching Trump at 78 work harder than me, and I'm hard-working, has really made me up the bar.
[00:29:02.880 --> 00:29:08.859]  So I hiked six miles today, got up at 5 a.m., and I swam a mile.
[00:29:09.440 --> 00:29:16.880]  And after my youngest daughter goes to sleep tonight, I'm going to go ahead and swim another mile.
[00:29:18.259 --> 00:29:20.319]  And it's so enjoyable.
[00:29:20.319 --> 00:29:21.519]  I love it.
[00:29:21.640 --> 00:29:25.240]  Because I'm doing it not because I hate the globalists to break their will.
[00:29:25.359 --> 00:29:26.819]  That's a side derivative.
[00:29:27.059 --> 00:29:29.640]  I'm doing it because I love humanity.
[00:29:29.640 --> 00:29:32.299]  I don't fight tyranny because I hate the tyrants.
[00:29:33.480 --> 00:29:34.500]  Though I do hate them.
[00:29:34.680 --> 00:29:37.839]  I do it because I love the people behind me I'm defending.
[00:29:38.200 --> 00:29:48.339]  So, as I've told you a thousand times, and I'll say it again, I don't know how all this is going to end, but if you want to fight, you better believe you got one.
[00:29:49.140 --> 00:29:53.559]  I've been holding back my real capabilities.
[00:29:56.140 --> 00:29:57.480]  Almost a shame of it.
[00:29:59.559 --> 00:30:12.769]  It's a little scary, but I have decided, and I'm just now accessing the genetic memory codes to release my full potential against the New World Order.
[00:30:17.789 --> 00:30:27.609]  Good luck, globalist, because if you thought Alex Jones was a problem before, I want you to throw everything you've got at me.
[00:30:28.549 --> 00:30:35.089]  Whatever you think it is you need to do, under my very life, I am committed to this fight.
[00:30:35.170 --> 00:30:35.990]  I'll never commit suicide.
[00:30:36.349 --> 00:30:43.210]  But I am 100% committed to maximum resistance to you because history is happening.
[00:30:43.970 --> 00:30:51.670]  And we're actually seeing victory and we have the initiative and humanity is turning the tide against the pedophile, transhumanist, Satanist.
[00:30:52.250 --> 00:30:53.930]  And we are going to win.
[00:30:54.210 --> 00:30:55.349]  So I'll say it again.
[00:30:56.789 --> 00:30:58.450]  I do know how this is going to end.
[00:30:58.650 --> 00:30:59.549]  The New World will be defeated.
[00:30:59.650 --> 00:31:01.950]  The question is how long and how costly will it be?
[00:31:02.769 --> 00:31:09.730]  And if you want to fight, you better know you got one, you've been getting one, and you're about to get a lot more of them.
[00:31:12.049 --> 00:31:14.150]  So I want everybody now watching me.
[00:31:15.240 --> 00:31:19.420]  And watching this when it's archived later, everywhere, to re-upload it.
[00:31:19.559 --> 00:31:21.259]  My shows have always been copyright-free.
[00:31:21.319 --> 00:31:22.339]  They've always been free to air.
[00:31:22.500 --> 00:31:24.420]  This belongs to you, all of this.
[00:31:24.839 --> 00:31:30.960]  And we have ironclad documents and contracts on the website, and we filed in federal court and said, you can't sell my name.
[00:31:30.960 --> 00:31:32.579]  You can't get real Alex Jones.
[00:31:32.680 --> 00:31:33.380]  You can't do it.
[00:31:33.440 --> 00:31:34.200]  We're going to block it.
[00:31:34.299 --> 00:31:35.839]  And the U.S. proceeds, okay, we won't do that.
[00:31:35.859 --> 00:31:36.140]  You're right.
[00:31:36.259 --> 00:31:37.279]  Oh, God, I just did it.
[00:31:37.339 --> 00:31:39.480]  Oh, God, well, you'll figure it out later, huh?
[00:31:40.339 --> 00:31:45.579]  Because they don't care how much money they gotta spend just having that claim to try to come in and set that precedent.
[00:31:45.980 --> 00:31:50.039]  But everybody's gonna see it, and a Streisand effect has now been triggered.
[00:31:50.220 --> 00:31:51.539]  This is a big deal.
[00:31:51.759 --> 00:31:53.240]  This affects all of you.
[00:31:54.640 --> 00:31:59.460]  So go to our sponsor, separate from InfoWars, thealexjonesstore.com.
[00:31:59.660 --> 00:32:03.079]  Get the Patriot t-shirts, hundreds of designs, ball caps, hoodies.
[00:32:03.539 --> 00:32:18.640]  Get the amazing superfood, Irish sea moss, the very best quality, known as one of the top, if not the top superfood, with all of the incredible organic iodine and other trace elements and minerals and just incredible for your stamina, libido, energy, immune system, mind, everything,
[00:32:18.740 --> 00:32:19.700]  and I'm gobbling it.
[00:32:20.420 --> 00:32:22.900]  We've got it in gummies and in the capsules.
[00:32:23.440 --> 00:32:31.000]  And the Optimal Human, way better than AG Greens, and it's great, by the way, but even more powerful than some of the same ingredients, over 90 ingredients.
[00:32:31.700 --> 00:32:37.880]  Optimal Human, go now, take action, get great products, and defend the tip of the spear in our sponsors that right now.
[00:32:38.829 --> 00:32:46.750]  Are ensuring one way or another that we continue on even stronger and that we rise to the historical challenge that is happening now.
[00:32:46.930 --> 00:32:49.869]  And go to realalexjones.com.
[00:32:50.130 --> 00:32:54.450]  I'm defending all these federal attacks, all these deep state operations.
[00:32:55.250 --> 00:33:00.789]  We are in federal and state court with them claiming they own my name and own my social media.
[00:33:01.190 --> 00:33:07.009]  And it will cost, up against their tens of millions a year they spend suing me, a million to defeat them.
[00:33:08.140 --> 00:33:10.160]  And the cavalry's coming and a lot of other stuff's happening.
[00:33:10.460 --> 00:33:12.640]  But I tend to rely on myself and the crew.
[00:33:13.799 --> 00:33:19.319]  So go to realalexjones.com and make a donation right now to the Legal Defense Fund.
[00:33:19.420 --> 00:33:20.259]  This is your fight.
[00:33:20.359 --> 00:33:21.200]  This is the time of action.
[00:33:23.630 --> 00:33:25.490]  Separately support my dad's supplement company.
[00:33:25.670 --> 00:33:27.589]  He's a great sponsor of what we're going to do in the future.
[00:33:27.730 --> 00:33:36.289]  He has amazing products like Next Level Foundational Energy that is not a classical stimulant, but is the breakdown concentrate of folic acid and other compounds that your body can fully absorb.
[00:33:36.990 --> 00:33:37.349]  Methylfolate.
[00:33:37.509 --> 00:33:38.869]  You want energy with no letdown?
[00:33:39.049 --> 00:33:39.789]  I'm on it right now.
[00:33:39.930 --> 00:33:40.549]  It's insane.
[00:33:40.690 --> 00:33:41.630]  I've been up since 5 a.m.
[00:33:43.490 --> 00:33:44.190]  No letdown.
[00:33:46.670 --> 00:34:20.590]  drjonesnaturals.com other incredible products drjonesnaturals.com the coordinates of freedom just the letters not spelled out drjonesnaturals.com you go to one place and find all the sponsors and all the links and you can donate bitcoin to my private wallet all of it at alexjones.live that's the coordinates to find a page alexjones.live that has it all right there to come to the aid of someone fighting for you and your future we're all in this together that's the link when you go to alexjones.live AlexJones
[00:34:20.590 --> 00:34:21.070]  .live.
[00:34:21.070 --> 00:34:24.869]  It takes you right to the subpage of AlexJones.network where that's all there.
[00:34:25.130 --> 00:34:26.349]  AlexJones.live.
[00:34:26.809 --> 00:34:28.429]  Please share that link.
[00:34:29.789 --> 00:34:30.690]  AlexJones.live.
[00:34:31.730 --> 00:34:37.989]  And again, just in these studios, we've got this nice little broadcast area, areas for guests, all the side cameras.
[00:34:38.210 --> 00:34:40.449]  You can interview people right here on this screen.
[00:34:40.570 --> 00:34:41.630]  Cut back to this camera, please.
[00:34:42.679 --> 00:34:46.280]  And there's a whole podcasting area and all the rest that we haven't shown you yet.
[00:34:46.400 --> 00:34:47.199]  Pretty cool here.
[00:34:47.400 --> 00:34:50.219]  This is just an escape ship.
[00:34:51.059 --> 00:34:56.059]  We like to keep the Death Star behind the planet until the globalist fleet arrives.
[00:34:56.539 --> 00:35:04.280]  But there's a lot of stuff going on, and that's why your support is absolutely critical.
[00:35:04.719 --> 00:35:08.280]  And I'm just very pleased the enemy's completely walked into all of our traps.
[00:35:08.739 --> 00:35:11.880]  And again, you see Liberty rising and the...
[00:35:12.579 --> 00:35:16.400]  Zuckerbergs are capitulating and groveling and rolling over right now because they sense our victory.
[00:35:17.159 --> 00:35:23.000]  And the criminals will be brought to justice for all the things they've done to myself and others and to you.
[00:35:23.139 --> 00:35:24.199]  But we don't do it out of vengeance.
[00:35:24.320 --> 00:35:31.940]  We do it out of justice to protect other people in the future from these criminals, from these packs of scum and what they've been doing to us modern pirates.
[00:35:34.019 --> 00:35:34.420]  So...
[00:35:37.219 --> 00:35:39.980]  The media warns Trump is going to come after the American people.
[00:35:40.139 --> 00:35:41.000]  Kamala Harris does.
[00:35:41.119 --> 00:35:41.679]  Biden does.
[00:35:41.820 --> 00:35:42.300]  All of them.
[00:35:42.440 --> 00:35:44.340]  But who's really coming after you?
[00:35:44.940 --> 00:35:48.599]  The federal government with the military training to kill the American people.
[00:35:48.739 --> 00:35:50.440]  Not our military themselves.
[00:35:50.739 --> 00:35:51.599]  They're being trained.
[00:35:51.679 --> 00:35:52.360]  They don't like it.
[00:35:52.460 --> 00:35:54.679]  But the criminals that run the system.
[00:35:55.360 --> 00:35:57.380]  So I first want to play Ron Paul.
[00:35:58.619 --> 00:35:59.880]  Talking about this.
[00:35:59.960 --> 00:36:21.039]  U.S. military now authorized to kill American citizens and operate in the U.S. And then I'm going to come back with media warns if Trump wins, every possible bad thing will happen, though they're the ones doing everything they claim is happening while they collapse the border and start World War III. And then I'm going to play a short clip of the Democrat Party lawyers admitting it's not about money they want me shut down before they then are in the news saying,
[00:36:21.119 --> 00:36:21.860]  oh, we need money.
[00:36:21.940 --> 00:36:23.019]  He won't give us the money.
[00:36:24.369 --> 00:36:25.210]  They didn't want money.
[00:36:25.289 --> 00:36:34.429]  They wanted me to bow to them and become their creature and let them fully possess my identity and turn me into a puppet, a marionette.
[00:36:34.710 --> 00:36:36.210]  Never going to happen.
[00:36:36.610 --> 00:36:37.809]  Hell will freeze over.
[00:36:38.050 --> 00:36:39.449]  You can put a gun to my head.
[00:36:39.590 --> 00:36:40.469]  It won't happen.
[00:36:40.690 --> 00:36:41.210]  Impossible.
[00:36:41.849 --> 00:36:42.789]  Cannot do it.
[00:36:43.190 --> 00:36:44.210]  Cannot sell out.
[00:36:44.369 --> 00:36:45.230]  Cannot back down.
[00:36:45.650 --> 00:36:47.010]  Cannot make me run.
[00:36:47.989 --> 00:36:51.010]  Because you can't starve us out and you can't make us run.
[00:36:51.170 --> 00:36:56.860]  Because these old bears raised on shotguns But I could give out.
[00:36:57.000 --> 00:36:58.760]  That's why it's so obvious.
[00:36:58.760 --> 00:37:04.019]  If you don't back Alex Jones, everything I've said has come true, and I'm telling you the next enemy operation, and they can't stand it.
[00:37:04.440 --> 00:37:12.079]  If the enemies of freedom can't stand this broadcast, what the hell are you doing not flooding us with word of mouth, prayer, and support?
[00:37:12.400 --> 00:37:13.179]  The AlexJonesWord.com.
[00:37:14.320 --> 00:37:15.340]  The Legal Defense Fund.
[00:37:15.440 --> 00:37:15.800]  Flood it.
[00:37:15.900 --> 00:37:16.340]  Look at this.
[00:37:16.380 --> 00:37:16.980]  It's happening right now.
[00:37:17.000 --> 00:37:18.019]  I've got to fight these bastards.
[00:37:19.460 --> 00:37:20.800]  They spend ten times the money we do.
[00:37:20.860 --> 00:37:21.480]  We still beat them.
[00:37:22.019 --> 00:37:23.019]  Long term, we are.
[00:37:23.639 --> 00:37:24.420]  Look at their law figures.
[00:37:24.539 --> 00:37:25.800]  Everybody else destroys them within a year.
[00:37:25.940 --> 00:37:26.460]  Not us.
[00:37:26.900 --> 00:37:28.360]  And we're getting smarter by the day.
[00:37:29.340 --> 00:37:32.139]  And we got whistleblowers getting ready to come out from inside their operations.
[00:37:33.099 --> 00:37:38.500]  Oh, and other big ones, probably in the next few days, on something even bigger with Tim Walls.
[00:37:39.539 --> 00:37:41.139]  The October surprise.
[00:37:41.659 --> 00:37:43.760]  Hillary's been worrying about so much.
[00:37:43.860 --> 00:37:49.440]  No matter what happens to me, I'm afraid the information will come out.
[00:37:58.179 --> 00:38:07.340]  So, let's go ahead and play these clips, and then I will return with the actual documents.
[00:38:07.400 --> 00:38:07.820]  Stay with us.
[00:38:08.719 --> 00:38:15.179]  U.S. military now is authorized to kill Americans on U.S. soil.
[00:38:15.659 --> 00:38:16.480]  Send in the troops.
[00:38:16.659 --> 00:38:18.559]  We need you to shoot a couple of these people.
[00:38:19.260 --> 00:38:21.300]  They're opposing our policies.
[00:38:21.639 --> 00:38:26.360]  They're demonstrating against COVID rules or something they'll come up with.
[00:38:26.599 --> 00:38:28.699]  So I think it's very, very dangerous.
[00:38:30.079 --> 00:38:31.400]  Hopefully people wake up.
[00:38:31.480 --> 00:38:37.780]  Maybe people say, well, this was just a political stunt for the campaign or something like that to act tough.
[00:38:38.239 --> 00:38:44.320]  But I tell you what, sometimes they come up and nobody warned us that they were going to do this.
[00:38:44.440 --> 00:38:47.800]  It wasn't discussed in the Congress and it's been sitting there.
[00:38:47.920 --> 00:38:57.039]  The main thing that most people should have known about is that you're supposed to use the federal military to enforce laws.
[00:38:57.549 --> 00:39:05.510]  Yeah, honestly, when you first sent it over, I started over the weekend, I was looking at it and I thought, surely this is a hysterical exaggeration.
[00:39:05.650 --> 00:39:10.769]  This guy, you can actually put up that first link if you can in a second when you get back over there.
[00:39:11.429 --> 00:39:16.829]  But I thought for sure this was someone just kind of, you know, a little bit too conspiratorial.
[00:39:24.610 --> 00:39:40.789]  Again, I thought this has got to be an exaggeration.
[00:39:41.869 --> 00:39:45.650]  I went and looked and actually go to the next one because this explains what it is.
[00:39:45.889 --> 00:39:46.809]  Now, it's not a law.
[00:39:47.130 --> 00:39:49.050]  It's a DOD directive.
[00:39:49.550 --> 00:39:52.829]  So this is, you know, the administrative state where they take over.
[00:39:53.030 --> 00:39:54.170]  They don't pass laws.
[00:39:54.289 --> 00:39:55.730]  They are laws unto themselves.
[00:39:56.070 --> 00:39:58.829]  Go to the next one if you can because this is what they're talking about.
[00:39:59.050 --> 00:40:01.010]  And I went and I read this secondly.
[00:40:01.250 --> 00:40:04.530]  And it talks about a reissued DOD directive.
[00:40:05.900 --> 00:40:09.539]  That was reissued just on September 27th, 2024.
[00:40:10.000 --> 00:40:19.380]  It governs the Department of Defense intelligence activities and now includes provisions authorizing lethal force in certain circumstances.
[00:40:19.699 --> 00:40:23.880]  And it supplants the 2016 version, which did not mention that.
[00:40:24.059 --> 00:40:26.480]  So I read all of this too, which is someone else's analysis.
[00:40:26.659 --> 00:40:28.840]  I said, okay, this sounds even more troubling.
[00:40:29.059 --> 00:40:31.079]  I want to go look at the document itself.
[00:40:31.469 --> 00:40:32.610]  And so, go to the next one.
[00:40:32.670 --> 00:40:35.449]  I actually went and looked at the DOD Directive.
[00:40:35.510 --> 00:40:49.769]  It's DOD Directive 5240.01, DOD Intelligence and Intelligence Related Activities and Defense Intelligence Component Assistance to Law Enforcement Agencies, et cetera, et cetera, and other civil authorities, September 27th.
[00:40:50.030 --> 00:40:51.030]  Now, go to the next one.
[00:40:51.070 --> 00:40:54.929]  I'm just gonna get to this really quick so I can, just so people, this is on their own website.
[00:40:55.090 --> 00:40:57.409]  Now, this is Section 3 of that directive.
[00:40:58.079 --> 00:41:02.860]  Assistance to law enforcement agencies and other civil authorities.
[00:41:03.280 --> 00:41:04.539]  Now go to the next one.
[00:41:04.659 --> 00:41:06.119]  Now this is levels of authority.
[00:41:06.699 --> 00:41:08.199]  This is section 3.3.
[00:41:08.579 --> 00:41:29.190]  Defense intelligence components may provide personnel to assist a federal department or agency including a federal law enforcement agency or a state or local law enforcement agency when lives are in danger in response to such a request For such assistance in accordance with the following approval authorities.
[00:41:29.309 --> 00:41:30.610]  Now here are the authorities.
[00:41:30.769 --> 00:41:33.250]  I'm sorry to get so far into the woods here, but go to the next one.
[00:41:35.409 --> 00:41:50.789]  Now you go down here to section C. Assistance in responding with assets with potential for lethality, and I underline this, I highlighted it,
[00:41:51.030 --> 00:42:03.510]  or any situation where it is reasonably foreseeable that providing the requested assistance may involve the use of force that is likely to result in lethal force, including death or serious bodily injury.
[00:42:03.690 --> 00:42:05.610]  I'm sorry to bog the discussion down with that, Dr.
[00:42:05.650 --> 00:42:09.210]  Paul, but I really wanted to hone in on this as their actual document.
[00:42:09.210 --> 00:42:10.670]  It's not just someone's analysis.
[00:42:13.219 --> 00:42:16.639]  What would a second Donald Trump term look like?
[00:42:16.920 --> 00:42:19.000]  Well, he cannot be the next president.
[00:42:20.179 --> 00:42:22.019]  Because if he is...
[00:42:22.019 --> 00:42:24.860]  You can't imagine the things that he's going to do.
[00:42:25.099 --> 00:42:26.639]  Mexico, Canada.
[00:42:26.960 --> 00:42:31.739]  We can't go to Canada because eventually Canada will become annexed to America.
[00:42:32.000 --> 00:42:33.739]  And shoot visitors to the White House.
[00:42:33.880 --> 00:42:34.059]  Yeah.
[00:42:34.340 --> 00:42:36.099]  That means he can shoot the First Lady.
[00:42:36.360 --> 00:42:41.139]  We're going to see violence the likes of which we didn't even see on January 6th.
[00:42:43.110 --> 00:42:46.889]  Make it illegal to run against him, to throw his opponents in jail, to shut down the media.
[00:42:47.070 --> 00:42:52.170]  He will make himself into the Fuhrer and he will make everybody raise their hand and salute him.
[00:42:52.309 --> 00:42:54.769]  Using martial law against the American people.
[00:42:54.949 --> 00:42:56.150]  Terminate the Constitution.
[00:42:56.630 --> 00:42:58.050]  Rewrite the Constitution.
[00:42:58.510 --> 00:43:00.909]  Create mass internment camps.
[00:43:01.130 --> 00:43:03.269]  Throw everyone into Gitmo.
[00:43:03.429 --> 00:43:08.650]  Might be sent to jail or their rights might be suppressed, especially minority groups in society.
[00:43:08.909 --> 00:43:11.969]  You might have any number of things happen to you and your family.
[00:43:12.170 --> 00:43:15.670]  Every one of us, our freedom, our liberty, none of us is safe.
[00:43:15.829 --> 00:43:19.070]  It's going to have people around him executing against an enemy's list.
[00:43:19.250 --> 00:43:21.190]  Assassinate generals.
[00:43:21.469 --> 00:43:25.349]  Ordering troops to attack American citizens.
[00:43:25.550 --> 00:43:29.269]  Trump's very well armed and extremist base will try to kill people.
[00:43:29.449 --> 00:43:31.929]  He's going to basically burn the House down.
[00:43:32.030 --> 00:43:34.550]  He will unravel the institutions of our democracy.
[00:43:34.750 --> 00:43:37.989]  Draw similarities between Mussolini and Hitler.
[00:43:38.469 --> 00:43:40.570]  Adolf Hitler and Benito Mussolini.
[00:43:40.710 --> 00:43:42.409]  Makes Donald Trump even more dangerous.
[00:43:42.630 --> 00:43:43.750]  Wants to take away your vote.
[00:43:43.949 --> 00:43:46.130]  Senate and the House are immediately going to be paralyzed.
[00:43:46.409 --> 00:43:49.150]  People will begin in their minds to censor themselves.
[00:43:49.570 --> 00:43:52.070]  They might say, well maybe I shouldn't say this.
[00:43:52.170 --> 00:43:53.309]  This is the end of democracy.
[00:43:53.610 --> 00:43:55.730]  I think that could be the end of our democracy.
[00:43:55.909 --> 00:43:58.829]  Democracy is dead if Trump is re-elected.
[00:43:58.889 --> 00:44:01.130]  Goes you up to Putin, that democracy will be at risk.
[00:44:01.329 --> 00:44:05.250]  The absolute destruction of the Justice Department as we know it.
[00:44:05.309 --> 00:44:08.409]  The Justice Department could be entirely transformed.
[00:44:08.710 --> 00:44:10.210]  I am really concerned about that.
[00:44:10.349 --> 00:44:14.389]  Every person who was associated with the attempted coup elevated in the administration.
[00:44:14.610 --> 00:44:15.230]  He's reelected.
[00:44:15.269 --> 00:44:17.090]  He will curb transgender rights.
[00:44:17.369 --> 00:44:18.550]  The end of the rule of law.
[00:44:19.010 --> 00:44:20.750]  Arrest political opponents.
[00:44:20.929 --> 00:44:24.190]  To persecute, not prosecute, but persecute his enemies.
[00:44:24.429 --> 00:44:26.329]  Take a wrecking ball to the rule of law.
[00:44:26.449 --> 00:44:29.210]  He's going to make the law everyone else will have to follow.
[00:44:29.429 --> 00:44:33.730]  Vote for Donald Trump may mean the last election that you ever get to vote in.
[00:44:33.809 --> 00:44:38.369]  To go after the independent and free parts of American civic life.
[00:44:38.480 --> 00:44:40.139]  He would tear down our institutions.
[00:44:40.380 --> 00:44:42.280]  Burge the government of employees.
[00:44:42.539 --> 00:44:46.739]  Department by department effort to weaponize the powers of the government.
[00:44:46.920 --> 00:44:49.320]  To use the military to quash protests.
[00:44:49.539 --> 00:44:52.699]  Reading the government of all democratic safeguards.
[00:44:52.920 --> 00:44:56.199]  Junking American democracy as we have always known it.
[00:44:56.340 --> 00:44:59.539]  That he would try to stay in office beyond a second term.
[00:44:59.780 --> 00:45:01.219]  He would never leave office.
[00:45:01.400 --> 00:45:02.099]  There's no question.
[00:45:02.320 --> 00:45:03.219]  Trump is re-elected.
[00:45:03.300 --> 00:45:03.820]  He won't leave.
[00:45:04.019 --> 00:45:06.320]  Donald Trump will never leave office voluntarily.
[00:45:06.800 --> 00:45:17.639]  And what that means is that everybody who wants us to remain a republic has to put every other thing aside and work together urgently right now to stop that from happening.
[00:45:19.579 --> 00:45:25.880]  All right, so here we are at 7.35 Central Standard Time on 10-16-24.
[00:45:27.099 --> 00:45:31.440]  And coming up on November 5th is the most important election in world history.
[00:45:33.070 --> 00:45:34.449]  Less than 20 days away.
[00:45:35.110 --> 00:45:37.250]  And you just saw them saying Trump's a dictator.
[00:45:37.349 --> 00:45:38.269]  He's going to use the military on you.
[00:45:38.329 --> 00:45:38.909]  He's going to get you.
[00:45:39.250 --> 00:45:40.590]  Kamala Harris said it again last night.
[00:45:40.730 --> 00:45:45.110]  And then here they are with Biden telling the military to prepare for martial law and kill Americans.
[00:45:45.449 --> 00:45:47.250]  First time they put that in an official document.
[00:45:47.409 --> 00:45:51.250]  I mean, that is just sensational information.
[00:45:52.429 --> 00:45:53.449]  Now, I want to be clear.
[00:45:54.670 --> 00:46:12.230]  The globalists want Americans to know, and they do this in Europe as well, anybody that resists, that they're going to destroy anybody Anybody that opposes them, anybody that criticizes them, anybody that exposes their operations because they can't stand anybody pointing out the hypocrisy and the lies and the fraud.
[00:46:12.429 --> 00:46:14.269]  So they're targeting truth tellers.
[00:46:14.369 --> 00:46:15.269]  And I know I'm stating...
[00:46:16.460 --> 00:46:19.860]  The obvious here, but people don't need to cower from this.
[00:46:19.960 --> 00:46:27.059]  We need to unify and organize and get in the face of these tyrants politically, culturally, legally, and demand our rights and our freedoms.
[00:46:27.260 --> 00:46:43.400]  These people are a dying, collapsing, corrupt bureaucracy that's been in control of this nation and Western world for decades and is trying to parlay our wealth and our name and our power into global government, a horrible, dystopic Anti-human,
[00:46:43.579 --> 00:46:47.460]  anti-natalist, anti-family crime syndicate, a cult.
[00:46:49.039 --> 00:46:52.900]  So I'm going to read now the documents that I was talking about if you just joined us.
[00:46:53.769 --> 00:47:04.969]  Oh, the new federal trustee told me this wasn't going to happen, and oh, don't worry, when they sell the assets of InfoWars, everybody knows you own your name, even though the Democrats had asked in filings to own it, and real Alex Jones on X, don't worry.
[00:47:05.309 --> 00:47:12.190]  And now they've put a filing in saying, yep, 13th Amendment, they actually say, I'll show it to you, does not apply to Alex Jones.
[00:47:13.030 --> 00:47:20.590]  That was passed at the end of the Civil War, saying no indentured servitude or slavery, and you can't own someone's likeness, and you can't make someone work for you.
[00:47:22.519 --> 00:47:27.679]  But they're saying, oh, we're owed a billion and a half dollars, so we need to shut his company down.
[00:47:27.760 --> 00:47:28.760]  They didn't want a settlement.
[00:47:29.360 --> 00:47:32.179]  We need to shut him down everywhere because we don't want money.
[00:47:32.820 --> 00:47:35.019]  But we own everything, including him.
[00:47:35.940 --> 00:47:37.320]  It's just outrageous.
[00:47:37.320 --> 00:47:39.719]  But they told you they owned your bodies with the poison shots.
[00:47:41.000 --> 00:47:46.860]  They told you the poison shots would protect you when they erased your immune system and they got a UN tree to take control of your body and put people in camps.
[00:47:49.860 --> 00:47:55.260]  So here's just a short compilation of the Democrat Party-funded lawyers, the same ones that are suing Elon Musk and Donald Trump.
[00:47:55.340 --> 00:47:55.739]  Look it up.
[00:47:57.300 --> 00:48:01.260]  One of the things that woke up Musk, that what he'd heard about me wasn't true.
[00:48:01.980 --> 00:48:04.139]  It was run by PR firms, and he learned all that.
[00:48:04.719 --> 00:48:08.039]  So that's the good news, is they got a lot bigger enemies now than Alex Jones.
[00:48:08.159 --> 00:48:11.079]  But I'm right up there under Trump and Elon Musk, okay?
[00:48:11.659 --> 00:48:16.380]  It's like, you know, Elon Musk and Trump, and then Tucker Carlson, and then Joe Rogan, and then there's Alex Jones.
[00:48:17.179 --> 00:48:21.179]  But when it comes to hardcore info, I influence all those people.
[00:48:21.340 --> 00:48:22.460]  And they admit that.
[00:48:22.619 --> 00:48:23.880]  Joe Rogan, Tucker Carlson.
[00:48:24.460 --> 00:48:25.440]  Say, Alex Jones.
[00:48:25.500 --> 00:48:26.360]  I talk to him all the time.
[00:48:26.579 --> 00:48:27.320]  He influences me.
[00:48:27.380 --> 00:48:28.059]  He woke me up.
[00:48:28.500 --> 00:48:29.039]  Russell Brand.
[00:48:29.159 --> 00:48:29.980]  The list goes on and on.
[00:48:30.179 --> 00:48:31.679]  Megyn Kelly now saying Alex Jones is right.
[00:48:33.480 --> 00:48:36.559]  They don't want me to be on air covering all of these things.
[00:48:36.679 --> 00:48:48.059]  So be sure and follow the great folks I'm working with and the great network I'm working with folks on at X at AJN, Alex Jones Network, just AJN Live.
[00:48:48.360 --> 00:48:51.139]  And tell everybody else, hey, they're trying to take real Alex Jones.
[00:48:53.820 --> 00:48:56.800]  They totally legally shouldn't be able to do that, but they're going to try.
[00:48:56.920 --> 00:48:57.460]  We're going to fight them.
[00:48:57.480 --> 00:48:58.019]  That takes money.
[00:48:58.139 --> 00:48:58.679]  We're going to do it.
[00:48:58.739 --> 00:48:59.239]  We need the support.
[00:48:59.820 --> 00:49:02.840]  But regardless, I can work for other folks.
[00:49:04.530 --> 00:49:07.889]  I can work for other networks, and there's a lot in the works and a lot going on.
[00:49:09.630 --> 00:49:13.150]  Three different paths, three different operations, three different systems.
[00:49:15.530 --> 00:49:18.190]  Cut one head off, three grow.
[00:49:18.710 --> 00:49:19.849]  See how they like that.
[00:49:20.989 --> 00:49:31.690]  So, you've got my total commitment, but the last ingredient I need is your word of mouth, your prayer, and your support at thealexjonesstore.com and to follow The new stuff we're doing is going to be rolled out.
[00:49:31.789 --> 00:49:33.730]  Just like with Tucker, it'll take some time and only a few months.
[00:49:34.150 --> 00:49:36.349]  Regardless of what happens, Infowars survives.
[00:49:36.730 --> 00:49:39.250]  New groups, I'm sure, will work with Infowars and the new owners there.
[00:49:39.409 --> 00:49:43.670]  But I'm not putting anything up to hope or roll of the dice or any of this stuff.
[00:49:43.750 --> 00:49:47.969]  And I haven't even begun to fight, as John Paul Jones, the founder of the U.S. Navy, said.
[00:49:50.569 --> 00:49:51.289]  So, surrender?
[00:49:51.530 --> 00:49:51.889]  Never.
[00:49:52.070 --> 00:49:53.030]  I've only begun to fight.
[00:49:53.170 --> 00:49:54.789]  And I'm not putting a good face on that.
[00:49:54.929 --> 00:49:55.809]  We have the initiative.
[00:49:55.969 --> 00:49:57.010]  The world's waking up.
[00:49:57.710 --> 00:49:59.190]  Infowars' credibility is stronger than ever.
[00:49:59.269 --> 00:50:00.849]  And Infowars just means information war.
[00:50:01.030 --> 00:50:02.090]  They can try to own a website.
[00:50:02.090 --> 00:50:03.210]  They don't own that name.
[00:50:03.550 --> 00:50:06.449]  And they think taking that away will shut me down.
[00:50:06.530 --> 00:50:07.469]  Now they know it doesn't.
