[00:00:00.000 --> 00:00:01.960]  Today, October 17th, 2024.
[00:27:49.109 --> 00:27:52.690]  It's not just military training and preparing and authorizing to kill Americans.
[00:27:52.890 --> 00:27:55.890]  It's training for martial law under Democrat orders.
[00:27:56.170 --> 00:27:58.089]  And then they're saying Trump's doing that with no evidence.
[00:27:58.890 --> 00:28:02.710]  Again, I know I've already talked about this three times in 30 minutes.
[00:28:03.740 --> 00:28:04.259]  Or less.
[00:28:04.500 --> 00:28:08.579]  I talked about it all day for four hours on the air with Roger Stone for one hour.
[00:28:08.980 --> 00:28:10.720]  And he finally said, hey, I got your message.
[00:28:11.119 --> 00:28:14.079]  And I said, Roger, you're smart, but do you have my message?
[00:28:15.259 --> 00:28:24.740]  Because there's no response from Trump when on every channel, every hour, everywhere, Biden, Harris, all of them are saying Trump's going to use troops to kill American citizens.
[00:28:24.779 --> 00:28:25.559]  He said it two days ago.
[00:28:25.599 --> 00:28:26.539]  I played the clip two days ago.
[00:28:27.039 --> 00:28:27.759]  Look it up.
[00:28:28.160 --> 00:28:30.519]  He's typing Kamala Harris says...
[00:28:31.440 --> 00:28:47.779]  Trump to use the military on the citizens with no context, no evidence, no nothing, while we have the smoking gun of them gearing up for it, which means they're going to create the crises or crisis to do it and then blame him for it and blame the American people.
[00:28:47.859 --> 00:28:59.200]  And the FBI says MAGA is going to terror attack during the election and then we catch the FBI and CIA Running operatives that are planning to attack during the election who turn out to be working for them.
[00:28:59.420 --> 00:29:04.200]  So we're in the most dangerous critical juncture ever right now.
[00:29:04.480 --> 00:29:07.160]  And they already tried to shut me down 14 weeks ago without a court order.
[00:29:07.319 --> 00:29:08.099]  We stood up to it.
[00:29:08.160 --> 00:29:08.920]  You stood up with us.
[00:29:09.599 --> 00:29:12.039]  And then now they're trying to take it over and shut me down.
[00:29:12.140 --> 00:29:15.900]  And then they want me even off X after that because they do not want me on air.
[00:29:15.980 --> 00:29:23.980]  They do not want you speaking out during the time that he's president-elect for those 76 days from November 5th to January 20th.
[00:29:25.160 --> 00:29:35.660]  And that's going to be even crazier in the Democrats' own words like Raskin, Jamie Raskin, one of their main operatives, one of their main generals, of civil war conditions.
[00:29:36.079 --> 00:29:37.900]  And they're not going to certify Trump, they've said.
[00:29:37.980 --> 00:29:38.720]  Pelosi said it.
[00:29:39.180 --> 00:29:43.500]  So this is just, and it'll be the vice president who refuses to do it.
[00:29:43.960 --> 00:29:51.259]  Kamala, over her own election, kind of like you saw in Arizona, where the lady running for governor against Carrie Lake certified her own election.
[00:29:51.839 --> 00:29:53.880]  I mean, this is dangerous.
[00:29:54.079 --> 00:29:54.920]  This is dangerous.
[00:29:56.129 --> 00:29:56.569]  Crazy.
[00:29:56.829 --> 00:30:01.190]  And the good news is they've been forced to go operational and take the mask off, so it's all on the open.
[00:30:01.289 --> 00:30:07.650]  But we have to recognize the signs, the red flags, the alarm bells that are going off in front of our faces.
[00:30:08.569 --> 00:30:12.190]  So that's it for this emergency news update tonight.
[00:30:12.829 --> 00:30:14.230]  Kamala is in free fall.
[00:30:14.329 --> 00:30:19.650]  The deep state is in total panic and is openly preparing civil unrest martial law.
[00:30:22.180 --> 00:30:24.640]  And America never having a real election again.
[00:30:25.660 --> 00:30:27.200]  I don't see them winning.
[00:30:27.440 --> 00:30:28.880]  I don't see them getting away with it.
[00:30:29.000 --> 00:30:45.079]  If we're aware and if we've gotten out ahead of this, but instead there's no response from Republicans or Trump, do they wonder why Kamala runs around saying he's going to kill us all and use the military and civil war martial law while they then say in their own white papers they're going to have martial law and civil unrest to block Trump?
[00:30:45.319 --> 00:30:48.319]  I mean, they're telling you what they're going to do.
[00:30:49.140 --> 00:30:51.940]  And I've always been, I think, the best with a big audience.
[00:30:51.940 --> 00:30:54.140]  I don't like being number one because it's a dangerous position.
[00:30:54.480 --> 00:30:56.000]  Number one when it comes to nailing it.
[00:30:56.920 --> 00:31:00.420]  To just say what has to be said and cut right through all the chatter.
[00:31:01.259 --> 00:31:03.440]  We got a hundred times more talk and it's interesting.
[00:31:03.539 --> 00:31:04.200]  I did talk about it.
[00:31:04.240 --> 00:31:04.740]  I'm not blaming people.
[00:31:05.000 --> 00:31:06.680]  About Brett Baer and Kamala being a moron.
[00:31:06.859 --> 00:31:07.859]  We already know that.
[00:31:09.579 --> 00:31:12.099]  The issue is they're planning some nasty crap.
[00:31:13.180 --> 00:31:15.319]  So please keep me on the air one way or the other.
[00:31:15.740 --> 00:31:16.720]  Please share this report.
[00:31:18.150 --> 00:31:19.109]  Do your own reports.
[00:31:19.309 --> 00:31:22.789]  The answer, I see all these new citizen journalists popping up everywhere, beautiful all over the world.
[00:31:23.329 --> 00:31:25.670]  Australia, Europe, Africa, Latin America.
[00:31:25.849 --> 00:31:26.349]  It's amazing.
[00:31:29.659 --> 00:31:43.200]  We're good to go.
[00:31:52.799 --> 00:31:54.799]  Then what's going to happen if you stand up to them?
[00:31:54.859 --> 00:31:56.660]  The only path forward is to stand up.
[00:31:56.720 --> 00:31:57.720]  That's the safest path.
[00:31:58.500 --> 00:31:59.619]  I don't do this out of courage.
[00:31:59.740 --> 00:32:02.779]  I do it out of self-preservation and to be an honorable person.
[00:32:02.900 --> 00:32:07.140]  And because my instincts make me want to fight these people because I hate tyrants and control freaks.
[00:32:08.019 --> 00:32:08.240]  All right.
[00:32:08.339 --> 00:32:08.839]  God bless you.
[00:32:08.920 --> 00:32:09.759]  Great job with the crew.
[00:32:10.779 --> 00:32:14.859]  Please help keep the crew working no matter what happens to Infowars.
[00:32:15.000 --> 00:32:16.240]  And you do that at...
[00:32:18.189 --> 00:32:19.069]  Thealexjonesstore.com.
[00:32:19.170 --> 00:32:22.029]  You make legal donations that we really need with all these fights we've got going on.
[00:32:22.609 --> 00:32:24.029]  You'll decide whether we win or not.
[00:32:24.470 --> 00:32:26.069]  And we win by just continuing to fight.
[00:32:26.430 --> 00:32:28.190]  And that's at realalexjones.com.
[00:32:28.289 --> 00:32:31.230]  You can find all the places at alexjones.live.
[00:32:31.609 --> 00:32:34.089]  All right, that's it for this emergency news alert.
[00:32:34.549 --> 00:32:41.609]  Now the ball's in your court to research what I've said, to find out it's all true, much worse than I said, quite frankly, and then to share the information.
[00:32:41.950 --> 00:32:43.930]  God bless and good luck, my Paul Revers.
[00:32:44.529 --> 00:32:46.549]  History is happening now.
[00:32:46.809 --> 00:32:51.730]  We are just weeks away from the most important election, not just in our lifetimes, but in history.
[00:32:51.869 --> 00:32:58.109]  And the EU is now trying to take over X and Elon Musk's other companies for, quote, allowing free speech.
[00:32:58.250 --> 00:33:07.329]  The Democratic Party has filed in federal court to take my name and real Alex Jones on X. Infowars could be shut down as early as November 13th.
[00:33:07.910 --> 00:33:10.430]  But regardless, I am going to continue fighting on.
[00:33:10.529 --> 00:33:11.250]  I'll never surrender.
[00:33:11.650 --> 00:33:23.190]  If I'm homeless on the side of the road, I'll be preaching about the New World Order and exposing the whole globalist agenda and trying to stop World War III and the pedophile rings and everything that we've been exposing for so long.
[00:33:23.269 --> 00:33:26.910]  And now the Pentagon comes out under orders from whoever's in control of the White House.
[00:33:27.130 --> 00:33:28.250]  There's been a coup, as you know.
[00:33:28.670 --> 00:33:31.849]  And says, yeah, we're preparing for martial law and for killing Americans.
[00:33:32.700 --> 00:33:34.519]  Then they blame Trump and say he's planning that.
[00:33:34.940 --> 00:33:37.839]  Everything I've talked about, unfortunately, has now come true.
[00:33:38.140 --> 00:33:41.839]  Because the globalists made good on their promises decades ago to bring in this tyranny.
[00:33:44.309 --> 00:33:47.450]  For every action, there's an opposite and equal reaction to no tuning.
[00:33:47.549 --> 00:33:50.349]  In physics, there's a giant awakening happening.
[00:33:50.589 --> 00:33:51.509]  Everybody sees it.
[00:33:51.670 --> 00:33:53.410]  Populars are getting elected around the world.
[00:33:54.009 --> 00:33:55.750]  The tyrants are in trouble.
[00:33:55.869 --> 00:33:57.650]  They know the initiative has turned against them.
[00:33:58.150 --> 00:34:03.069]  So, it's critical online to engage in free speech and to support InfoWars.
[00:34:03.440 --> 00:34:07.700]  But it's also critical in the third dimension on the street to exercise your free speech.
[00:34:08.059 --> 00:34:21.760]  So our great sponsor, thealexjonesstore.com, no matter what happens to Infowars, is going to ensure that I stay on air and that if we get enough funds, the crew continues on, the other shows, our investigators, the special reports, everything that reached tens of millions of people a day.
[00:34:21.880 --> 00:34:22.920]  So I'm going to do my job.
[00:34:23.099 --> 00:34:31.130]  I'm humbly asking you to do yours, keep spreading the word, pray for the operation, and Support us by going to thealexjonesstore.com.
[00:34:31.250 --> 00:34:36.829]  There are so many new great t-shirts made by one of the top patron designers out there bigly at thealexjonesstore.com.
[00:34:37.090 --> 00:34:40.909]  This one, Rebellion to Tyrants is Obedience to God.
[00:34:41.210 --> 00:34:45.969]  It's got the new backup site that's being built out, realalexjones.com, and so much more.
[00:34:46.170 --> 00:34:48.010]  Let me show you some of the other new shirts that just came in.
[00:34:48.360 --> 00:34:54.679]  Now the FDA came out a month ago and said fluoride does lower your IQ and does cause cancer and doesn't help your teeth.
[00:34:54.860 --> 00:34:57.960]  So we brought back the classic, there's poison in the tap water.
[00:34:58.139 --> 00:34:59.760]  Now the public's ready to be awakened.
[00:34:59.920 --> 00:35:01.099]  It's being removed all over the country.
[00:35:01.619 --> 00:35:04.440]  Get the shirt, theallocshowstore.com, and save some lives.
[00:35:04.800 --> 00:35:07.860]  We've got this limited edition election bad boy.
[00:35:08.099 --> 00:35:11.239]  I'm with the outlaw and the hillbilly at thealexjonesstore.com.
[00:35:11.480 --> 00:35:13.519]  Limited edition fentanyl the dragon.
[00:35:13.780 --> 00:35:14.900]  Here are stupid Americans.
[00:35:15.260 --> 00:35:20.539]  If you want to meet like-minded people and trigger tyrants, the I Love Alex Jones shirt will surely do it.
[00:35:21.150 --> 00:35:25.730]  Many of these designs come from fan requests, like this one, The Alex Jones Was Right Jar.
[00:35:25.949 --> 00:35:29.610]  I've just shown you a few of the amazing designs at thealexjonesstore.com.
[00:35:29.809 --> 00:35:36.449]  We're adding new ones all the time, so check out the great designs, keep the broadcast on the air, and promote freedom in America and worldwide.
[00:35:36.750 --> 00:35:37.690]  Thank you all for your support.
[00:35:37.809 --> 00:35:39.329]  Now please go to thealexjonesstore.com.
