[00:00:03.979 --> 00:00:06.440]  It's Saturday, January 2nd.
[00:24:38.117 --> 00:24:40.138]  No, Senator!
[00:24:40.618 --> 00:24:41.979]  Fuck you, Senator!
[00:24:42.519 --> 00:24:42.919]  Fuck you!
[00:24:42.959 --> 00:24:43.379]  No, Senator!
[00:24:43.580 --> 00:24:44.000]  Fuck you!
[00:24:44.733 --> 00:24:45.594]  Hey!
[00:24:46.375 --> 00:24:46.615]  Hey!
[00:24:47.116 --> 00:24:47.336]  Hey!
[00:24:47.436 --> 00:24:48.817]  Don't follow!
[00:24:48.917 --> 00:24:50.739]  He can't breathe!
[00:24:50.759 --> 00:24:51.060]  Stop!
[00:24:51.440 --> 00:24:52.001]  Stop!
[00:24:52.061 --> 00:24:53.262]  He can't breathe!
[00:24:53.282 --> 00:24:54.163]  Don't follow!
[00:24:53.982 --> 00:25:03.982]  [INAUDIBLE]
[00:25:04.273 --> 00:25:04.993]  Oh, we love you.
[00:25:05.073 --> 00:25:05.754]  It's for your safety.
[00:25:06.375 --> 00:25:07.095]  It's your own good.
[00:25:06.934 --> 00:25:07.934]  You're fucking do that.
[00:25:07.934 --> 00:25:10.254]  Okay, calm down, calm down.
[00:25:10.254 --> 00:25:11.835]  Stay fucking here.
[00:25:11.835 --> 00:25:13.794]  Can we move?
[00:25:13.794 --> 00:25:15.374]  Okay, we're calm.
[00:25:15.374 --> 00:25:16.835]  Don't do that.
[00:25:16.835 --> 00:25:19.033]  (woman speaking in foreign language)
[00:25:19.033 --> 00:25:20.214]  We're people.
[00:25:20.214 --> 00:25:21.474]  Yeah, yeah, yeah.
[00:25:21.474 --> 00:25:23.875]  And notice the police are all liberal, nanny.
[00:25:23.875 --> 00:25:24.714]  Oh, we love you.
[00:25:24.714 --> 00:25:25.554]  It's for your safety.
[00:25:25.554 --> 00:25:26.394]  It's your own good.
[00:25:26.394 --> 00:25:29.473]  Continue with the audio, please.
[00:25:29.466 --> 00:25:30.006]  This is tyranny.
[00:25:30.026 --> 00:25:36.868]  Where they can disappear you into their COVID centers and the COVID trackers are now the Obama Foundation and the Clinton Foundation and others.
[00:25:36.888 --> 00:25:38.128]  This is the UN power grab.
[00:25:37.947 --> 00:25:39.947]  This is tyranny.
[00:25:39.947 --> 00:25:43.947]  Where they can disappear you into their COVID centers.
[00:25:43.947 --> 00:25:50.947]   And the COVID trackers are now the Obama Foundation and the Clinton Foundation and others.
[00:25:50.947 --> 00:25:53.947]  This is the UN power grab.
[00:25:53.947 --> 00:26:04.657]   And I have the UN officials, the head of the emergency response team of the UN saying we're going to take your
[00:26:04.657 --> 00:26:04.947]  children.
[00:26:04.947 --> 00:26:10.356]   *French* And now they're back.
[00:26:10.396 --> 00:26:13.897]  Those cops are the equivalent of real Soviets or Nazis.
[00:26:14.138 --> 00:26:14.878]  You want to see tyranny?
[00:26:14.938 --> 00:26:15.398]  This is it.
[00:26:17.119 --> 00:26:19.259]  And it's all how they're good, you're bad.
[00:26:21.360 --> 00:26:22.781]  You can't have gatherings in your home.
[00:26:22.821 --> 00:26:23.681]  That's martial law.
[00:26:23.941 --> 00:26:25.941]  But all the big box stores can stay open.
[00:26:25.941 --> 00:26:30.941]  [speaking in French]
[00:26:30.941 --> 00:26:32.941]  And it looks like 20 cops.
[00:26:32.941 --> 00:26:34.941]  You pulled a wood!
[00:26:34.437 --> 00:26:36.918]  Look how they all got that weird, crazy, letness look in their eyes.
[00:26:37.218 --> 00:26:39.139]  It's a whole bunch of women cops too.
[00:26:39.819 --> 00:26:44.560]  They all went to college to rule you, and now they're here and they've got their pretext to have power.
[00:26:46.815 --> 00:26:47.455]  Close the door!
[00:26:47.555 --> 00:26:48.096]  Close the door!
[00:26:48.116 --> 00:26:50.597]  I don't want to see those people anymore!
[00:26:50.677 --> 00:26:54.698]  Now you know most of this happens in Quebec because the French are under Napoleonic law.
[00:26:55.079 --> 00:26:57.580]  Louisiana doesn't really have as much a constitution as we do.
[00:26:57.660 --> 00:27:07.464]  Nice folks down there but this is a lot of this is Napoleonic law stuff but this whole global system is Napoleonic law and to talk about that before we place more of these clips is Robert Barnes.
[00:27:07.504 --> 00:27:14.507]  Barnes these are really really hard to watch and I've got hundreds of these so now what we saw in Australia what we saw in Spain is now coming to North America.
[00:27:15.652 --> 00:27:16.032]  Exactly.
[00:27:16.052 --> 00:27:17.433]  And you knew that was going to be the case.
[00:27:17.554 --> 00:27:20.156]  I mean, really, this all starts as the Chinese model.
[00:27:20.496 --> 00:27:25.760]  This was the Chinese dragging people out of their homes and their apartments in the name of protecting them from themselves and their neighbors.
[00:27:26.240 --> 00:27:28.002]  Which, by the way, by itself makes no sense.
[00:27:28.442 --> 00:27:37.309]  How does removing someone from a setting where they are then transporting them around a lot of other people somehow reduce the transmission of the disease?
[00:27:37.990 --> 00:27:39.631]  On its own terms, it's insane.
[00:27:39.711 --> 00:27:40.371]  It's irrational.
[00:27:40.632 --> 00:27:42.353]  It shows you it's a pure power grab.
[00:27:42.373 --> 00:27:53.141]   It's about conditioning people to expect The police to show up anytime, anyplace, for any reason, and to remove you from your own home for simply gathering during the holidays.
[00:27:53.161 --> 00:27:54.902]  There's only six people who are gathering there.
[00:27:55.322 --> 00:27:57.503]  So it's meant to terrify people.
[00:27:57.583 --> 00:28:01.486]  It's meant to scare people into doing whatever the state does, whatever the state wants.
[00:28:01.826 --> 00:28:07.610]  You had a situation where they were breaking into churches because they thought churches were holding, quote, secret services.
[00:28:08.271 --> 00:28:08.991]  This is insane.
[00:28:09.011 --> 00:28:14.835]  And then you have a bill proposed in the New York state legislature to actually create detention camps for COVID.
[00:28:15.295 --> 00:28:21.158]  So, in the name of COVID, and that's what it's going to be, it's going to be in the name of COVID, next time will be in the name of something else.
[00:28:21.538 --> 00:28:25.379]  It's just to legitimate the ability to completely control everything about your life.
[00:28:25.760 --> 00:28:40.406]  Whether you can work, whether you can go to church, whether you can go to school, whether you can even physically go outside your home, who you can associate with, what freedom of speech you have, what religious expression you can make, whether ultimately you're going to have Second Amendment rights, because that's coming next.
[00:28:40.766 --> 00:28:45.810]  In the name of COVID or something else, somehow you won't be able to have the right to bear arms in your own self-defense.
[00:28:46.151 --> 00:28:47.972]  So we're going to see it continued all the way through.
[00:28:48.333 --> 00:28:49.814]  And it's terrifying and frightening.
[00:28:49.834 --> 00:29:00.243]  They're violating every constitutional right and remedy known to our entire legal history in the name of a virus that has an extraordinarily low lethality rate for most people.
[00:29:00.683 --> 00:29:14.893]  And for which we're supposedly supposed to have a vaccine that it turns out that now they're going to force on people but then they're still going to require all of these conditions and restrictions because they're admitting the vaccine actually doesn't vaccinate anybody from transmission of the virus according to the World Health Organization.
[00:29:15.273 --> 00:29:25.781]  So this is a they're trying to re-invoke all of the scariest ideas from the earliest part of the 20th century in the ideology of eugenics and reinstate it in the name of virus health protection.
[00:29:26.201 --> 00:29:34.425]  And that's all that's going on, and that's why it must be fought at every level, political, legal, and constitutional, and democratic, that we have accessible and available to us.
[00:29:34.905 --> 00:29:52.151]   And that's what people like me are going to be doing in the new year with people like Robert Kennedy and others taking the fight to all of these lockdown rules, all of the forced vaccination attempts, Forcing people to wear masks for whom everybody admits, even disabled people, the mask presents an imminent risk to their well-being.
[00:29:52.451 --> 00:29:57.452]  Forcing people to get vaccinated even when the risk of the vaccine is greater than the risk of the virus.
[00:29:58.092 --> 00:30:14.055]  Forcing people to accept, as you've been noting, these are very unique vaccines that have never worked before for a coronavirus anyway, but that are mRNA vaccines that, as other people are pointing out, is really the next step in introducing biological control over you through the state.
[00:30:14.535 --> 00:30:19.277]  I mean, if the state can inject anything it wants into your body, then what limits does the state have at all?
[00:30:19.517 --> 00:30:19.857]  That's right.
[00:30:19.897 --> 00:30:30.461]  This is a massive corporate global government revolution against humanity to track us, to trace us, to control us, to set the precedent that they can hurt us, even kill us, and they have liability protection.
[00:30:30.501 --> 00:30:33.882]  This is pure medical tyranny from global government.
[00:30:34.262 --> 00:30:35.902]  Now, let's look at this clip out of England.
[00:30:36.563 --> 00:30:39.824]  Debbie Hicks, this is in BBC News everywhere, they're just promoting it as a good thing.
[00:30:40.444 --> 00:30:50.272]  Debbie Hicks saw on the news that the big Royal Hospital in her town, the largest hospital, was full and it was just overwhelmed with dead people and just sick people and it was terrible.
[00:30:50.752 --> 00:30:52.374]  So she went there, went inside and showed.
[00:30:52.414 --> 00:30:54.315]  It's basically almost empty.
[00:30:54.676 --> 00:30:55.576]  We'll show a clip of that.
[00:30:55.937 --> 00:31:02.762]  Then they came to her house and arrested her for the crime of showing the giant hoax that they were engaged in.
[00:31:02.782 --> 00:31:06.986]  So this is real citizen activism in Australia, in the US, all over.
[00:31:07.766 --> 00:31:09.167]  They say, oh, the local hospital's full.
[00:31:09.187 --> 00:31:10.447]  You go there, no one's there.
[00:31:10.888 --> 00:31:12.909]  Then you see the local news again saying, we're live.
[00:31:13.189 --> 00:31:15.150]  People in hazmat gear, lines out the door.
[00:31:15.590 --> 00:31:23.794]  You go in New Jersey, Texas, New York, and it's hired actors in hazmat outfits going in circles in and out.
[00:31:23.834 --> 00:31:24.654]  That was confirmed!
[00:31:24.954 --> 00:31:29.096]  That they got caught, ladies and gentlemen, in three different states doing it.
[00:31:29.136 --> 00:31:30.497]  This is incredible.
[00:31:30.817 --> 00:31:32.658]  So here's this wonderful woman, Debbie Hicks.
[00:31:33.575 --> 00:31:34.976]  Empty hospital, look.
[00:31:35.176 --> 00:31:35.637]  Look at it.
[00:31:36.237 --> 00:31:37.278]  This is a disgrace.
[00:31:37.338 --> 00:31:39.220]  I've never seen... Oh my God, look at this.
[00:31:39.240 --> 00:31:40.220]  It is so dead.
[00:31:40.240 --> 00:31:49.528]  You see, when they do that, now none of the regular people are there.
[00:31:49.568 --> 00:31:57.714]  None of the... All the people in our country desperately waiting for treatment, cancer treatment, heart disease.
[00:31:57.794 --> 00:31:58.295]  Look at this.
[00:31:58.355 --> 00:32:00.497]  Honestly, this is making me so angry.
[00:32:00.517 --> 00:32:02.078]  They pay for the services and now you don't get it.
[00:32:04.175 --> 00:32:09.279]  And they make all their money off of COVID patients, which they pay a giant bonus to you if you get it.
[00:32:09.359 --> 00:32:10.360]  Look at the truth here.
[00:32:12.281 --> 00:32:17.385]  Do not come back to this place with bullshit when there's a completely empty hospital I'm walking around.
[00:32:19.266 --> 00:32:22.348]  And it's the same scam in Germany, in England, Australia here.
[00:32:22.609 --> 00:32:24.090]  They pay them extra money for the COVID.
[00:32:24.890 --> 00:32:26.131]  Look, I'm looking into a ward.
[00:32:26.211 --> 00:32:27.532]  Look, look at this ward here.
[00:32:27.572 --> 00:32:28.313]  What is this ward?
[00:32:29.614 --> 00:32:29.814]  Empty.
[00:32:31.164 --> 00:32:32.204]  Minor injury units.
[00:32:32.244 --> 00:32:33.545]  This is the minor injury unit.
[00:32:33.685 --> 00:32:34.665]  Oh my God, look at it.
[00:32:35.385 --> 00:32:37.966]  All the people this time of year that would normally be in here.
[00:32:37.986 --> 00:32:38.986]  For a car wreck.
[00:32:39.006 --> 00:32:40.327]  For not being denied treatment.
[00:32:41.027 --> 00:32:41.587]  For a fall.
[00:32:42.388 --> 00:32:43.828]  This is a disgrace.
[00:32:44.068 --> 00:32:44.928]  I am so angry.
[00:32:44.948 --> 00:32:49.890]  And she explains on the news they say the hospital's overwhelmed.
[00:32:49.930 --> 00:32:53.271]  To be honest, I wasn't expecting it to be quite as quiet as this.
[00:32:53.311 --> 00:32:54.911]  I expected a few more people around.
[00:32:54.931 --> 00:32:56.312]  Oh, they're all at home getting their bed checked.
[00:32:57.679 --> 00:32:58.559]  No security.
[00:32:58.579 --> 00:32:59.960]  Where's the security staff?
[00:32:59.980 --> 00:33:01.140]  I haven't even seen them.
[00:33:01.540 --> 00:33:03.861]  I have family that are doctors and nurses.
[00:33:03.881 --> 00:33:07.122]  Remember I told you 10 months ago they said we just have sex and drink vodka.
[00:33:09.603 --> 00:33:09.903]  Literally.
[00:33:13.204 --> 00:33:14.805]  The doctors just have sex with the nurses all day.
[00:33:16.685 --> 00:33:17.286]  Macmillan.
[00:33:17.806 --> 00:33:19.046]  This is disgusting.
[00:33:19.086 --> 00:33:20.067]  Macmillan Cancer Table.
[00:33:22.481 --> 00:33:37.066]  Of course, Macmillan, for those of you that don't know, have been key in the privatization of the NHS, where these huge companies, pharmaceutical companies, have come in and taken over and privatized everything.
[00:33:37.086 --> 00:33:38.647]  And then they say you're all non-essential?
[00:33:38.927 --> 00:33:41.488]  They shut it down and make record profits.
[00:33:41.528 --> 00:33:42.268]  Don't get involved.
[00:33:42.328 --> 00:33:43.269]  They are a disgrace.
[00:33:43.329 --> 00:33:44.609]  Macmillan is a disgrace.
[00:33:48.496 --> 00:33:51.438]  By the way, type into a search engine, some hospitals get $300,000 per COVID patient.
[00:33:51.478 --> 00:33:52.178]  That's the high end.
[00:33:52.319 --> 00:33:52.979]  The low end's about $20,000.
[00:33:53.019 --> 00:33:53.820]  But for taking one, you get $13,000.
[00:33:53.860 --> 00:33:54.440]  If you intubate, you get $40,000.
[00:33:54.480 --> 00:33:54.600]  That's $53,000.
[00:33:54.640 --> 00:33:55.761]  If the person dies, another $20,000.
[00:33:55.861 --> 00:33:56.441]  That's in the US.
[00:33:56.501 --> 00:33:58.783]  If you look at other areas of the world, it's about the same.
[00:33:58.603 --> 00:34:00.961]  the low end is about 20,000.
[00:34:00.961 --> 00:34:03.282]  But for taking one you get 13,000.
[00:34:03.282 --> 00:34:06.782]  If you intubate you get 40,000, that's 53,000.
[00:34:06.782 --> 00:34:09.083]  If the person dies another 20,000.
[00:34:09.083 --> 00:34:10.003]  That's in the US.
[00:34:10.003 --> 00:34:13.643]   If you look at other areas of the world, it's about the same.
[00:34:13.643 --> 00:34:21.162]   We're looking at about $50,000, about 30,000 pounds in the UK.
[00:34:21.162 --> 00:34:22.842]  And you can look all this up.
[00:34:23.138 --> 00:34:31.541]  And so they'll have one little ward, one wing that's COVID, and then they will bring in all their money there, shut everything else down, and then make record profits.
[00:34:31.901 --> 00:34:36.023]  And it's the same global fraud directed by the WHO that is controlled by Big Pharma.
[00:34:36.203 --> 00:34:40.844]  And we have the head of the WHO and others admitting that in previous reports.
[00:34:41.224 --> 00:34:43.465]   So this is an incredible Time to be alive.
[00:34:43.485 --> 00:34:44.786]  There it is, right there.
[00:34:44.846 --> 00:34:46.587]  Now, let's see what happened to Debbie Hicks.
[00:34:46.607 --> 00:34:48.087]  We'll get Robert Barnes' take on this.
[00:34:48.507 --> 00:34:50.988]  Debbie Hicks, what happened the next day after her video went viral?
[00:34:51.008 --> 00:34:52.869]  Of course, YouTube and others took it down.
[00:34:52.889 --> 00:34:53.990]  You're not allowed to show the truth.
[00:34:54.330 --> 00:34:55.930]  They're all part of the criminal fraud as well.
[00:34:56.270 --> 00:34:57.171]  All part of the racketeering.
[00:34:57.451 --> 00:34:59.272]  Here's Debbie Hicks getting arrested at her home.
[00:34:59.312 --> 00:34:59.672]  Here it is.
[00:35:01.453 --> 00:35:03.633]  Could you not put some underwear on me?
[00:35:05.499 --> 00:35:06.560]  She's got her dressing gown on.
[00:35:06.700 --> 00:35:08.342]  That's nothing else underneath.
[00:35:08.382 --> 00:35:10.184]  Listen, we've explained a number of times.
[00:35:10.204 --> 00:35:11.885]  We've given her chances to go and get dressed.
[00:35:12.006 --> 00:35:12.526]  I know, I know.
[00:35:12.546 --> 00:35:13.047]  She has to do that.
[00:35:13.107 --> 00:35:13.347]  I know.
[00:35:13.587 --> 00:35:14.928]  Can you give her one chance more?
[00:35:15.349 --> 00:35:17.771]  Well, you may do, but at the minute she's in handcuffs.
[00:35:17.811 --> 00:35:18.972]  Can you get some shoes, please?
[00:35:19.072 --> 00:35:20.454]  Yeah, they're coming out.
[00:35:20.494 --> 00:35:21.835]  You're cutting my hands.
[00:35:22.115 --> 00:35:22.836]  Let them go.
[00:35:22.896 --> 00:35:24.338]  You're treating me like a criminal.
[00:35:24.398 --> 00:35:25.299]  I'm not a criminal.
[00:35:25.559 --> 00:35:27.260]  Will you take these handcuffs off?
[00:35:27.340 --> 00:35:27.581]  Yes, sir.
[00:35:28.942 --> 00:35:30.524]  Can you ask him to put some clothes on underneath?
[00:35:30.544 --> 00:35:32.807]  Can you just go and put some clothes on and we'll get you to custody, okay?
[00:35:32.827 --> 00:35:39.074]  What sort of society is this when you come into your brother's house outside her bedroom door and intimidate her so we have no clothing on?
[00:35:39.234 --> 00:35:39.935]  This is your last chance.
[00:35:39.975 --> 00:35:40.796]  What sort of society is this?
[00:35:40.816 --> 00:35:42.298]  Go and put some clothes on for me please, alright?
[00:35:42.967 --> 00:35:48.089]  They've released the criminals, the rapists, the murderers, and they're taking patriots to jail.
[00:35:48.129 --> 00:35:51.330]  Now at least there they didn't SWAT team her, they took her to jail.
[00:35:51.350 --> 00:35:55.372]  You saw Canada, they tackled people and slammed their faces in the concrete with enjoyment.
[00:35:55.211 --> 00:35:57.211]  Get some clothes on, otherwise you're going to go out there.
[00:35:57.211 --> 00:35:59.211]  You should not stand there fighting women.
[00:35:59.211 --> 00:36:01.211]   I'm not going to give you another opportunity to go and get dressed.
[00:36:01.211 --> 00:36:03.211]   Now at least there they didn't swat team her, they took her to jail.
[00:36:03.211 --> 00:36:09.211]   You saw Canada, they tackled people and slammed their faces in the concrete with enjoyment.
[00:36:09.211 --> 00:36:12.211]   Because they're the good people, saving you from the disease.
[00:36:12.211 --> 00:36:14.211]  This is so incredibly dangerous.
[00:36:14.340 --> 00:36:23.907]  This is chicken little meets a witch hunt run by big corporations that hired Stanford and Harvard psychology departments to come up with this with Operation Lockstep, Robert.
[00:36:25.608 --> 00:36:26.109]  No doubt about it.
[00:36:26.149 --> 00:36:36.717]  I mean, they have learned that the most effective means to get all of the control of the population that they ever want or ever could have dreamed of is through the threat of a supposed virus pandemic.
[00:36:37.373 --> 00:36:45.897]  And in ways that they never could achieve or attain before, and we're guaranteed to not only continue to face it into the new year, but face worse variants of it down the road.
[00:36:46.277 --> 00:36:48.117]  The great threat is a mutating virus.
[00:36:48.157 --> 00:36:51.559]  The great threat is the mutating governmental response in the name of a virus.
[00:36:52.039 --> 00:36:59.222]  And that's what must be dealt with, and that's what must be resisted at every legal, constitutional, democratic level available to us.
[00:36:59.662 --> 00:37:13.173]  Because what they figured out is in this real live Milgram experiment, where people were told what to do by somebody in a white lab coat, they discovered that they can get two-thirds of the country to forfeit all of their core liberties and rights, including associating with... Let's slow down a little.
[00:37:13.333 --> 00:37:17.733]   Tell people about the Milgram and Stanford research studies, because they did new studies
[00:37:17.733 --> 00:37:21.733]   ten years ago, new studies last year, how to make people take vaccines, how to make
[00:37:21.733 --> 00:37:26.452]   people stay in their houses, how to make people accept a universal social credit score and
[00:37:26.452 --> 00:37:30.572]   universal basic income, which they admit is not about making you happy and wealthy.
[00:37:30.572 --> 00:37:33.733]   They say you'll own nothing, you'll have nothing, and you're going to have to accept it.
[00:37:33.733 --> 00:37:38.172]   I mean, this is a true corporate fascism, getting rid of the low-level economy to consolidate
[00:37:38.172 --> 00:37:39.172]  for social control.
[00:37:39.458 --> 00:37:44.859]  Take some time out, tell folks about the Milgram experiment and the Stanford research experiments.
[00:37:44.879 --> 00:37:59.004]  They did prison experiments, they did shocking experiments, literally shocking people to death, and they found the majority of people, the authority figure, told them to murder someone that college PhD students would murder people if they thought an authority figure told them.
[00:37:59.024 --> 00:37:59.504]  Please continue.
[00:38:00.797 --> 00:38:01.338]  Yeah, exactly.
[00:38:01.358 --> 00:38:02.419]  That's precisely what took place.
[00:38:02.479 --> 00:38:11.949]  And it was all about the ability, how much, this was all done in the post-Cold War era, where they basically took a lot of Nazi experimental techniques and started applying them in the United States.
[00:38:12.049 --> 00:38:21.679]  Operation Paperclip, we brought a bunch of the Nazis over and disguised them in our own medical science and rocket science and military science positions of power.
[00:38:22.439 --> 00:38:24.041]  That's how that all came about.
[00:38:24.301 --> 00:38:29.505]  And we incorporated, borrowed, and extended a lot of what they were doing, even though we told the world we wouldn't.
[00:38:29.605 --> 00:38:32.827]  That's what the Nuremberg Code and the Nuremberg Accord was about.
[00:38:32.927 --> 00:38:34.268]  It was after the Nuremberg trials.
[00:38:34.589 --> 00:38:36.710]  We will never do this to any human being again.
[00:38:37.551 --> 00:38:48.039]  Every human being has a right of informed consent, a universal, internationally recognized, constitutional right of informed consent before invasive medical proceedings can ever take place against them.
[00:38:48.920 --> 00:38:50.461]  And yet now we're right back to that.
[00:38:50.981 --> 00:38:56.226]  And we're right back to that because they learned through the Milgram experiment where they just call random strangers in.
[00:38:56.586 --> 00:39:00.850]  They don't tell them anything except to have a person in a white lab coat there say, okay, sit down.
[00:39:01.230 --> 00:39:02.752]  I want you to shock this person.
[00:39:03.152 --> 00:39:10.779]  I want you to turn the knob on this instrument to electrically shock this person over here if I just tell you to do so.
[00:39:12.421 --> 00:39:17.566]  And what was astounding was that most Americans would keep turning up the shock.
[00:39:18.127 --> 00:39:26.055]  Even when they heard the person screaming and apparently dying, a majority would still do it as long as the person in the white lab coat told them to do it.
[00:39:26.376 --> 00:39:30.821]  You'd see a few that were bothered by it, a few that were upset about it, and a few that would dissent.
[00:39:31.261 --> 00:39:34.783]  But most people would actually go along with it, and that's what they've figured out now.
[00:39:35.023 --> 00:39:49.470]  In the name of safety, people will often sacrifice freedom, but in the process of doing so, they end up neither safe nor free, because there's no greater threat to your health and your liberty and your core ability to live and function than the state itself.
[00:39:50.150 --> 00:39:51.471]  The state is the great danger.
[00:39:51.491 --> 00:39:56.173]  You're never safe if your hands are solely and totally and wholly in the hands of the state.
[00:39:56.733 --> 00:39:57.934]  And that's the Milgram experiment.
[00:39:57.954 --> 00:40:13.946]  Then there's the Stanford research experiment where they found over 90%, like 91% of college students with good grades, PhD students, psychology students, would beat someone to death or kill someone if the other prison guards told them to do it.
[00:40:13.966 --> 00:40:19.711]  And they found that American students became just as bad as the Nazis within about a week.
[00:40:21.112 --> 00:40:21.392]  Exactly.
[00:40:21.412 --> 00:40:22.273]  It's the problem of power.
[00:40:22.694 --> 00:40:35.587]  You give people unlimited power and the intoxicant of that on the psychology of the mind leads them inevitably and inescapably to abuse that power if someone in authority tells them, gives them the green light to do so.
[00:40:35.607 --> 00:40:43.876]  I mean, that's partially why we've had Antifa and BLM violence over the past summer was because people in positions of power in the Democratic Party gave them the green light to do so.
[00:40:44.628 --> 00:40:54.237]  And now they're giving the green light to the most abusive aspects of local police forces to go out and try to enforce these unconstitutional restrictions on people's core liberties.
[00:40:54.397 --> 00:40:55.118]  That's right, Robert.
[00:40:55.158 --> 00:40:57.260]  Since you mentioned that, we've got dozens of these videos.
[00:40:57.280 --> 00:40:58.101]  This is brand new.
[00:40:58.741 --> 00:41:00.343]  This is from just last night.
[00:41:00.783 --> 00:41:01.744]  These videos are pouring out.
[00:41:01.784 --> 00:41:02.665]  Also happened on New Year's.
[00:41:03.025 --> 00:41:05.327]  Here is footage in a suburb of Los Angeles.
[00:41:05.687 --> 00:41:06.969]  People out at 10 o'clock at night.
[00:41:07.409 --> 00:41:12.053]  And the police pull up, jump out, slam to the ground, and take them to jail with pleasure.
[00:41:12.313 --> 00:41:15.516]  But if they were BLM or Antifa, they would have been worshipped.
[00:41:15.816 --> 00:41:16.457]  Now here it is.
[00:41:19.019 --> 00:41:20.881]  Not you guys.
[00:41:20.901 --> 00:41:21.641]  ACLU is fine.
[00:41:21.842 --> 00:41:22.682]  Get off the street!
[00:41:26.806 --> 00:41:28.287]  Go home!
[00:41:28.387 --> 00:41:30.069]  Go home or you're getting arrested.
[00:41:31.110 --> 00:41:31.690]  You're under arrest.
[00:41:31.830 --> 00:41:32.430]  Perfume.
[00:41:32.430 --> 00:41:34.430]  What the fuck is this?
[00:41:34.430 --> 00:41:36.430]  We're under arrest.
[00:41:36.430 --> 00:41:38.430]  We're under arrest.
[00:41:38.430 --> 00:41:48.430]  [BLANK_AUDIO]
[00:41:40.350 --> 00:41:41.110]  Get down!
[00:41:41.330 --> 00:41:42.691]  I'm not a part of this!
[00:41:42.711 --> 00:41:44.412]  You're under arrest!
[00:41:44.432 --> 00:41:45.513]  Stop resisting!
[00:41:45.533 --> 00:41:46.593]  Stop resisting!
[00:41:46.633 --> 00:41:48.755]  You guys are putting your knee in!
[00:41:48.935 --> 00:41:50.436]  Stop resisting!
[00:41:50.476 --> 00:41:52.657]  Give me your arm!
[00:41:52.677 --> 00:41:53.358]  Give me your arm!
[00:41:53.438 --> 00:41:54.098]  Do it now!
[00:41:56.579 --> 00:41:58.301]  And look, a bunch of the cops aren't even wearing masks.
[00:41:58.341 --> 00:41:59.221]  They all know it's BS.
[00:41:59.241 --> 00:42:03.624]  So see, we're not for the police when they follow globalist operations.
[00:42:04.345 --> 00:42:08.025]   And we're for the police when they're being set up by Soros to be taken over.
[00:42:08.025 --> 00:42:10.825]   And they're being told, "Oh, they're evil because they don't worship the Democratic Party."
[00:42:10.825 --> 00:42:14.425]   But cops on average, just like the Milgram experiment or Stanford experiment,
[00:42:14.425 --> 00:42:16.585]  they can be very bad if you've got a bad government.
[00:42:16.585 --> 00:42:21.305]   Like North Korea, like Mexico, we all know their cops on average have a lot of big problems.
[00:42:21.305 --> 00:42:25.465]   And really, what would you call the societal rot of the Democrats, the big corporations?
[00:42:25.602 --> 00:42:40.327]  Human cloning, total abortion, killing babies after they're born, euthanizing the old, lying about all the COVID, taking homeless in, putting tubes down their throats, killing them to get the COVID money, sending COVID patients to nursing homes to get a high death toll.
[00:42:40.767 --> 00:42:45.949]  I mean, this is real organized evil we're witnessing, and it's like the bottom dropped out, Barnes.
[00:42:46.249 --> 00:42:48.210]  Historically, what the hell do you think is going on here?
[00:42:49.451 --> 00:42:51.653]  Well, it's the poisoning of power.
[00:42:52.133 --> 00:43:00.641]  Power is such an intoxicant that if you just unleash that on a society, it's going to lead to a very destructive society in every circumstance we've ever had.
[00:43:01.061 --> 00:43:11.390]  Whether it was the fascists, whether it was the Nazis, whether it was the communists, whether it was the totalitarians of the Inquisition, it doesn't matter which age, you let power unleashed and power unchecked.
[00:43:11.850 --> 00:43:19.612]  And the consequence will always be morally horrendous conduct on a scale and a scope the world has never witnessed prior to that time period.
[00:43:19.972 --> 00:43:21.293]  And that's precisely what we're seeing now.
[00:43:21.313 --> 00:43:26.294]  It's why the state, frankly, is always the greatest danger to freedom and the greatest danger to your physical safety.
[00:43:26.594 --> 00:43:34.837]  Because nobody, a single criminal, cannot commit the degree of misconduct and malfeasance that the state can on a global scale now.
[00:43:35.357 --> 00:43:48.981]  And that's where the great threat is, and that's why people have to—in order to restore liberty, it's going to be up to ordinary, everyday Americans to protect that liberty by taking every legal, constitutional, democratic remedy they can, by doing things like that support InfoWars.
[00:43:49.321 --> 00:43:52.562]  So by supporting—InfoWars is the biggest global network.
[00:43:52.882 --> 00:43:54.444]  That is not backed by big money.
[00:43:54.464 --> 00:43:56.246]  That is not backed by big advertisers.
[00:43:56.266 --> 00:43:58.488]  That is not backed by sugar daddy billionaires.
[00:43:58.769 --> 00:44:05.616]  And consequently, that's why people get the most honest, unfiltered information of any network of this scale or size anywhere in the world.
[00:44:05.757 --> 00:44:08.600]  And the only way that's possible is the audience makes it possible.
[00:44:08.880 --> 00:44:09.240]  Absolutely.
[00:44:09.060 --> 00:44:11.780]  buying products that they like and enjoy anyway.
[00:44:11.780 --> 00:44:15.380]   So they get a healthier, wealthier, and wiser all at the same time.
[00:44:15.380 --> 00:44:20.739]   But it's critical people continue to do that because we got to keep the information tree alive.
[00:44:20.739 --> 00:44:26.939]   In order to do so, we have to continue to support places like InfoWars and take every action we individually can
[00:44:26.939 --> 00:44:30.460]   to keep our freedoms free or we won't be free for very long.
[00:44:30.460 --> 00:44:31.279]  Absolutely.
