# Transcription model: CohereLabs/cohere-transcribe-03-2026, WAV2VEC2_ASR_BASE_960H, sat-12l-sm, script v26.04.01, and large-v3-turbo
# Transcript cleaned with version 0.1.2
# Source MD5: b3cf1c2e6cecea0f66360df349d3e5ab
[00:01:41.281 --> 00:01:42.332]  him off this time.
[00:35:04.675 --> 00:35:09.657]  You know, well, for people like you and I and Alex, it, It doesn't even make sense.
[00:35:09.717 --> 00:35:10.396]  Like, I don't know.
[00:35:10.597 --> 00:35:13.977]  I'm sure you're the same as me, where it's just like, you want to pay me to what?
[00:35:14.037 --> 00:35:18.017]  Like, it just, it doesn't, I don't even understand why people take that deal.
[00:35:18.117 --> 00:35:26.678]  It seems so, I don't know, dirty or I don't know what it is, but, you know, there's just certain people that, like, you could offer us a billion dollars.
[00:35:26.758 --> 00:35:28.318]  We genuinely don't want it.
[00:35:28.418 --> 00:35:29.458]  Like, screw you.
[00:35:29.558 --> 00:35:30.278]  I want my freedom.
[00:35:30.438 --> 00:35:34.059]  It's, you know, there's certain people like that and it's our audience as well.
[00:35:34.359 --> 00:35:35.319]  And this resonates.
[00:35:35.599 --> 00:35:38.279]  And of course, Alex isn't going to take your money.
[00:35:38.319 --> 00:35:38.699]  Are you kidding?
[00:35:38.739 --> 00:35:40.259]  It's Alex freaking Jones.
[00:35:40.359 --> 00:35:43.439]  Like, you know, offer him the world, he'll laugh at you.
[00:35:43.919 --> 00:35:50.320]  It's amazing that, uh, That we've found each other and found our audience and are making big waves in this way.
[00:35:51.100 --> 00:36:11.522]  Well, and I think that in terms of history, the history of the legal system in America, the civil suit against Alex Jones and free speech media or free speech systems, excuse me, that will be seen as the most grotesque distortion and abuse of legal power ever in the history of our republic.
[00:36:12.242 --> 00:36:18.282]  And so, in that way, Alex Jones also made history by exposing that the legal system.
[00:36:18.942 --> 00:36:20.023]  Is a complete clown show.
[00:36:20.303 --> 00:36:21.443]  Yeah.
[00:36:21.623 --> 00:36:27.683]  And any honest legal scholar would agree with that assessment if they simply reviewed what happened in that civil trial.
[00:36:28.023 --> 00:36:28.623]  There's no question.
[00:36:29.023 --> 00:36:30.623]  And you are not overstating it.
[00:36:30.903 --> 00:36:33.124]  And Rex and I are working on this.
[00:36:33.244 --> 00:36:37.724]  And Alex has done big presentations where he lays it out in a very thorough way.
[00:36:38.404 --> 00:36:47.085]  But we're going to try to approach it from a very unbiased way because you don't need us yelling, going, this was crazy that they did this.
[00:36:48.105 --> 00:36:49.405]  What happened to Alex?
[00:36:49.825 --> 00:36:54.925]  The way we see it, it's almost like a fractal where it's like you can take just one aspect of it and go the default judgment.
[00:36:55.345 --> 00:37:02.386]  But then you look into the details of that and it like unfolds into this, you know, just corruption upon corruption, manipulation upon manipulation.
[00:37:02.446 --> 00:37:11.847]  When you say that what happened to Alex Jones during this bankruptcy trial was the greatest miscarriage of justice in the history of the United States when it comes to free speech, you are not overselling it.
[00:37:12.267 --> 00:37:18.607]  What has happened to Alex Jones every step of the way has been astonishingly corrupt.
[00:37:19.147 --> 00:37:23.048]  And I am disappointed in a lot of the legal experts out there.
[00:37:23.508 --> 00:37:27.428]  That seems willing to go along with it or cover it up or brush it off.
[00:37:27.448 --> 00:37:28.128]  Well, it's Alex Jones.
[00:37:28.148 --> 00:37:29.508]  Who cares if he has the 13th Amendment?
[00:37:29.828 --> 00:37:35.029]  Where, just like the normal lawyers who can recognize what a travesty this has been?
[00:37:36.729 --> 00:37:38.029]  Yeah, exactly.
[00:37:38.789 --> 00:37:45.890]  Think about it where they formed the trial for the jury and the judge and that venue.
[00:37:45.970 --> 00:37:53.230]  And then they spent a year demonizing Alex in the media in order to influence the jury.
[00:37:53.290 --> 00:37:55.610]  And then they denied Alex a trial by jury.
[00:37:56.031 --> 00:37:58.131]  And the judge simply declared you're guilty by default.
[00:37:58.531 --> 00:38:01.071]  And I mean, the whole thing was rigged from start to finish.
[00:38:01.711 --> 00:38:11.052]  So that's why, really, what's happening today, even though your current studios are shut down, but the InfoWars spirit is not shut down, it lives on.
[00:38:11.112 --> 00:38:14.652]  The InfoWars spirit is bulletproof, it's judgment proof.
[00:38:15.792 --> 00:38:20.133]  You can't crush it with a corrupt judge in a corrupt court system.
[00:38:20.653 --> 00:38:28.873]  And that's the ultimate victory, actually, by giving up everything in the realm of domain name and studios and office space.
[00:38:29.393 --> 00:38:36.994]  What Alex has actually shown is that the InfoWars spirit prevails over every form of corruption.
[00:38:37.354 --> 00:38:38.394]  It's an amazing victory.
[00:38:39.574 --> 00:38:40.314]  It really is.
[00:38:40.414 --> 00:38:49.015]  And it's just worth reminding everybody while InfoWars is being shut down, we're being crushed by this ridiculous series of frauds.
[00:38:49.435 --> 00:38:50.475]  We have never failed.
[00:38:50.895 --> 00:38:51.875]  We have never failed.
[00:38:52.195 --> 00:38:53.755]  We have never gotten less popular.
[00:38:53.895 --> 00:38:58.076]  We have never, you know, done anything that would actually lead to us being shut down.
[00:38:58.116 --> 00:39:00.656]  This is an artificial imposition onto us.
[00:39:01.256 --> 00:39:05.936]  In order to make us look like we're losers, make us look like we failed, we have never failed.
[00:39:06.056 --> 00:39:08.697]  And the audience has never failed to be there for us.
[00:39:09.157 --> 00:39:12.677]  So this is a victory no matter how you cut it.
[00:39:12.896 --> 00:39:13.797]  I know you got to go, Mike.
[00:39:13.817 --> 00:39:14.697]  I'm not trying to get rid of you.
[00:39:14.717 --> 00:39:15.957]  If you can stay, please stay.
[00:39:15.977 --> 00:39:18.557]  I'm just, I know you have to go and I don't want to be rude.
[00:39:19.878 --> 00:39:21.498]  But just final thoughts.
[00:39:21.518 --> 00:39:24.438]  How do you sum up, you know, what's happening today?
[00:39:24.597 --> 00:39:26.878]  Your last message here under the InfoWars banner?
[00:39:28.458 --> 00:39:34.119]  Well, I would think that if The Onion wanted to make a joke out of a media organization, they should take over CNN.
[00:39:34.919 --> 00:39:35.679]  That would be funny.
[00:39:36.619 --> 00:39:40.298]  That would be the perfect fit, actually, because it's been a joke from day one.
[00:39:41.599 --> 00:39:51.180]  The bottom line is, and I'll leave you with this, although, give, you know, Say hi to Alex for me because I guess he's on the way.
[00:39:51.220 --> 00:39:54.160]  So that's great.
[00:39:54.380 --> 00:39:58.260]  The establishment has lost the info war, period.
[00:39:58.681 --> 00:40:05.521]  The establishment has lost the info war because information is now decentralized, it's grassroots.
[00:40:06.141 --> 00:40:11.461]  It cannot be censored, silenced, controlled, centralized, stifled.
[00:40:12.122 --> 00:40:19.063]  And it's because of people like you, Harrison, and Alex, who blazed the trail, and so many others, Darren McBrain and Rob Dew, and so many others.
[00:40:19.583 --> 00:40:22.643]  Who blazed this trail that information is now decentralized?
[00:40:22.682 --> 00:40:32.923]  And so that has forced the establishment to have to do things like to try to bias the AI models now so that AI spits out answers they want you to hear.
[00:40:33.344 --> 00:40:35.064]  Well, we know how to beat that.
[00:40:35.184 --> 00:40:35.744]  I've beat that.
[00:40:35.764 --> 00:40:39.724]  I've put out my AI engine that blows back against all of that, right?
[00:40:39.903 --> 00:40:49.245]  So now from here forward, the information war has been won by the people and any person who wants to know the truth.
[00:40:49.845 --> 00:40:54.144]  Now has access to the tools, the videos, the platforms to do so.
[00:40:54.445 --> 00:41:03.746]  In other words, from here forward, thanks to people like Alex Jones in particular, anybody out there who wants to remain ignorant is doing so by choice.
[00:41:04.486 --> 00:41:06.326]  And that's history.
[00:41:07.427 --> 00:41:08.626]  I mean, that has changed history.
[00:41:09.407 --> 00:41:10.166]  It has.
[00:41:10.327 --> 00:41:11.327]  It absolutely has.
[00:41:11.447 --> 00:41:14.467]  And again, you're not overstating it, not by a long shot.
[00:41:14.947 --> 00:41:17.067]  Mike Adams, thank you so much for being here with us.
[00:41:17.307 --> 00:41:22.488]  As always, Alex Jones is on his way in, and I'll tell him you say hi.
[00:41:22.548 --> 00:41:27.387]  And of course, You will be certainly one of our regular guests on the new Alex Jones Network.
[00:41:27.408 --> 00:41:32.869]  So it's just this weird, like it's not a funeral exactly.
[00:41:32.929 --> 00:41:34.909]  It's just sort of a transition that's happening.
[00:41:35.169 --> 00:41:39.048]  And while it is sad, we're leaving behind InfoWars, we bring along the spirit and the people with us.
[00:41:40.088 --> 00:41:40.649]  One last comment.
[00:41:40.669 --> 00:41:52.289]  Just let whoever takes over the Alex Jones desk in the studio in the bankruptcy proceedings, I just want you to know that all those scratches on that desk were put on there by my dog.
[00:41:52.630 --> 00:41:54.951]  So have fun with that one.
[00:41:55.431 --> 00:41:56.091]  That's awesome.
[00:41:56.891 --> 00:41:57.631]  Yeah, yeah.
[00:41:57.651 --> 00:42:00.331]  Where, you know, it's going to be nice to get rid of all this junk.
[00:42:00.351 --> 00:42:01.211]  You know, we're moving on.
[00:42:01.231 --> 00:42:02.191]  We're going to get new fancy things.
[00:42:02.211 --> 00:42:04.231]  We're going to get all new cameras.
[00:42:04.251 --> 00:42:05.311]  We're going to get a new desk.
[00:42:05.331 --> 00:42:08.892]  We're going to leave this to, you know, whoever picks up the trash later.
[00:42:09.572 --> 00:42:09.832]  Now we're.
[00:42:09.852 --> 00:42:10.251]  And you know what?
[00:42:10.271 --> 00:42:11.092]  The spirit lives on.
[00:42:11.612 --> 00:42:11.932]  Absolutely.
[00:42:11.952 --> 00:42:12.472]  Thank you, Harrison.
[00:42:12.892 --> 00:42:13.452]  God bless you.
[00:42:13.592 --> 00:42:14.332]  Have a wonderful day.
[00:42:14.612 --> 00:42:15.412]  Thank you so much.
[00:42:15.492 --> 00:42:16.092]  God bless you.
[00:42:16.231 --> 00:42:23.233]  Mike Adams, the Health Ranger, Health Ranger on X, not the Health Ranger, but just Health Ranger on X. Go follow him.
[00:42:23.253 --> 00:42:26.373]  And of course, Natural News is the outlet.
[00:42:26.653 --> 00:42:27.233]  To follow.
[00:42:27.613 --> 00:42:29.073]  And Alex Jones is coming up.
[00:42:29.753 --> 00:42:32.914]  Again, if you're just joining us, we are here in the extended broadcast.
[00:42:32.934 --> 00:42:36.354]  We will be going until at least 9 p.m. tonight, probably 10.
[00:42:36.753 --> 00:42:37.034]  Who knows?
[00:42:37.074 --> 00:42:37.854]  We'll play it by ear.
[00:42:37.934 --> 00:42:41.534]  Tonight is the final night of InfoWars existence.
[00:42:42.294 --> 00:42:46.015]  We will continue to operate under a new banner, under a new name.
[00:42:46.735 --> 00:42:50.355]  This is like a rebranding, it's a rebirth, it's a renaissance.
[00:42:51.775 --> 00:42:54.355]  But it certainly isn't an end to anything.
[00:42:54.375 --> 00:42:56.675]  And it's also not the beginning of the Onion's ownership.
[00:42:56.776 --> 00:42:58.736]  So people are kind of confused at this.
[00:42:59.316 --> 00:43:12.157]  I've said this a couple times on War Room, but probably the thing I'm most annoyed at The Onion for doing is injecting themselves unnecessarily into this process and just confusing all of our fans, which was obviously their plan.
[00:43:12.237 --> 00:43:22.918]  And, you know, to be honest with you, we probably have a shut and, you know, dead to rights lawsuit against them, which again is just kind of crazy.
[00:43:22.998 --> 00:43:25.818]  And it really is these people's Achilles heel.
[00:43:26.358 --> 00:43:31.159]  They really can't do anything normal, they can't just like, Be normal.
[00:43:31.239 --> 00:43:32.979]  I talked about this during the original bankruptcy.
[00:43:33.359 --> 00:43:34.979]  I'm sure, like, they have money.
[00:43:34.999 --> 00:43:38.759]  They have so much money, like, ridiculous amounts of money.
[00:43:39.939 --> 00:43:44.560]  All these guys, whether it's Bloomberg, the funders, like, the law firms, they have so much money.
[00:43:45.620 --> 00:43:52.600]  And if two years ago they had just put in the highest bid, they would have owned us for the last two years, but they couldn't do it.
[00:43:52.821 --> 00:43:55.421]  They couldn't just put up the money and win the bid.
[00:43:55.661 --> 00:43:56.921]  They had to go behind the scenes.
[00:43:57.121 --> 00:43:58.161]  They had to manipulate things.
[00:43:58.361 --> 00:44:03.481]  They had to shave a little bit off the top and, you know, do some sort of weird creation over here.
[00:44:03.561 --> 00:44:04.922]  It's like they just can't.
[00:44:05.262 --> 00:44:08.422]  Do things in a normal way and it screws them over every time.
[00:44:08.842 --> 00:44:11.982]  So, like, they could have just been like, all right, the bid is this.
[00:44:12.142 --> 00:44:12.882]  We bid higher.
[00:44:13.302 --> 00:44:15.182]  Thank you for doing business with us.
[00:44:15.262 --> 00:44:16.082]  We own InfoWars.
[00:44:16.122 --> 00:44:17.163]  It would have been fine.
[00:44:17.343 --> 00:44:18.263]  Like, they could have done that.
[00:44:19.003 --> 00:44:19.983]  They can't, though.
[00:44:20.043 --> 00:44:23.223]  There's something about them that they cannot do things normally.
[00:44:23.983 --> 00:44:29.984]  If they had shut up and just done the deal in the background, we may have never found out about it.
[00:44:30.304 --> 00:44:31.484]  Onion may have owned InfoWars.
[00:44:31.544 --> 00:44:35.024]  Instead, they come out two weeks early saying they already own it.
[00:44:35.384 --> 00:44:39.024]  Totally lying and also saying, We're doing this to hurt their business.
[00:44:39.324 --> 00:44:42.125]  We're doing this to drive people away from them or to my.
[00:44:42.385 --> 00:44:47.485]  So, you know, there's an old show called Nathan For You.
[00:44:47.505 --> 00:44:48.585]  I think it was called Nathan For You.
[00:44:49.665 --> 00:44:55.986]  And there's an episode where the guy wants to make a fake Starbucks and he goes to a lawyer and talks about parody law.
[00:44:56.286 --> 00:44:58.386]  To be honest with you, it's one of the funniest things ever aired on TV.
[00:44:58.426 --> 00:44:59.206]  You should probably watch it.
[00:44:59.606 --> 00:45:05.587]  But the whole thing is like, you can use parody law to a certain degree, but it has to be.
[00:45:05.867 --> 00:45:08.387]  Obvious that you're not actually trying to take over the brand.
[00:45:08.707 --> 00:45:19.348]  The Onion, they're so stupid and self confident and incapable that they just literally were like, We are actual InfoWars.
[00:45:19.368 --> 00:45:21.468]  They didn't say, We're InfoWars parody.
[00:45:21.528 --> 00:45:23.688]  They kept saying that they owned InfoWars.
[00:45:23.708 --> 00:45:27.068]  They were actually InfoWars, which you can't do.
[00:45:27.108 --> 00:45:28.208]  That is just illegal.
[00:45:28.268 --> 00:45:34.489]  That would be like somebody opening up a coffee stand and saying, Here's our Starbucks brand coffee.
[00:45:34.829 --> 00:45:36.129]  How long do you think that would last?
[00:45:37.309 --> 00:45:38.769]  It's actually a great, yeah, dumb Starbucks.
[00:45:38.789 --> 00:45:39.489]  It's a great episode.
[00:45:39.769 --> 00:45:42.270]  Scene with the lawyers, one of the funniest things ever aired.
[00:45:43.250 --> 00:45:43.830]  It's good stuff.
[00:45:44.030 --> 00:45:45.750]  But it's like the onion.
[00:45:45.890 --> 00:45:47.150]  Okay, you're this parody.
[00:45:47.230 --> 00:45:48.270]  You don't know parody law.
[00:45:48.310 --> 00:45:50.770]  You can't actually say we are the info wars.
[00:45:50.810 --> 00:45:54.571]  You can't actually say we are info wars and sell products with our brand on it.
[00:45:54.931 --> 00:45:55.911]  You absolute idiots.
[00:45:55.931 --> 00:45:57.451]  But like they're so overconfident.
[00:45:57.651 --> 00:45:59.491]  They get away with everything anyway.
[00:45:59.531 --> 00:46:07.672]  You know, we can't get away with crap, but they get away with everything, which is annoying, but more evidence that they're the bad guys aligned with all of the other bad guys.
[00:46:07.712 --> 00:46:15.372]  I can't remember where I was going with that, but we're going to be live for the next couple hours, and I'm going to go to.
[00:46:15.812 --> 00:46:17.213]  Oh, yeah, and then they failed.
[00:46:17.253 --> 00:46:22.833]  And then they just utterly and hilariously, and I will add, humiliatingly failed to take us over.
[00:46:23.433 --> 00:46:26.153]  So I guess I was explaining that the Onion did not buy us.
[00:46:26.773 --> 00:46:27.333]  They don't buy us.
[00:46:27.593 --> 00:46:32.274]  And the annoying thing about this is that it's just confusing everybody.
[00:46:32.334 --> 00:46:33.754]  It's just like, okay, well, wait.
[00:46:34.334 --> 00:46:37.154]  So you're not being sold, but you are shutting down.
[00:46:37.474 --> 00:46:39.694]  But the Onion's not buying you, but they keep saying that they did.
[00:46:40.354 --> 00:46:43.715]  Listen, the onion is literally, they have nothing to do with this.
[00:46:44.335 --> 00:46:45.055]  Let me just lay that out.
[00:46:45.435 --> 00:46:52.275]  The onion, you can imagine this is like, what's a good metaphor for this?
[00:46:52.775 --> 00:47:07.336]  You know, you got Alex Jones and the Deep State are fighting like Godzilla and Mecha Godzilla, and the Onion is like some kindergartner that comes up and says, Actually, I'm Godzilla, and then gets crushed, and then the fight just keeps going.
[00:47:07.356 --> 00:47:08.696]  Like they have nothing to do with this fight.
[00:47:09.636 --> 00:47:10.517]  They have nothing to do with it.
[00:47:10.677 --> 00:47:18.917]  They tried to insert themselves, they got smacked down like an annoying fly, and everything is just proceeding as if they don't exist because, for all intents and purposes, they don't.
[00:47:19.697 --> 00:47:24.998]  So the Onion simply inserted themselves, glommed on to this event.
[00:47:25.418 --> 00:47:36.319]  To confuse and annoy and enrage everybody and make idiots out of themselves and probably lose a ton of money and possibly go to jail at the end of this because that's just how overconfident and criminal they are.
[00:47:37.079 --> 00:47:39.179]  That's my opinion, but it's well founded.
[00:47:40.379 --> 00:47:41.679]  So the Onion is not buying us.
[00:47:43.139 --> 00:47:44.519]  They did not buy us two years ago.
[00:47:44.579 --> 00:47:45.959]  They did not buy us last week.
[00:47:46.199 --> 00:47:47.620]  They did not buy us in an auction.
[00:47:47.660 --> 00:47:55.860]  They did not buy us with a back door, back of the office criminal agreement like they said they did.
[00:47:56.340 --> 00:47:57.000]  They don't own us.
[00:47:57.560 --> 00:47:58.581]  They never have owned us.
[00:47:58.621 --> 00:48:01.701]  They've never had permission to sell things with our logo.
[00:48:01.861 --> 00:48:03.481]  They are not here in the studio now.
[00:48:03.801 --> 00:48:06.841]  They do not own the desk or the cameras or anything.
[00:48:07.741 --> 00:48:08.541]  And that's the facts.
[00:48:08.781 --> 00:48:14.342]  However, put that to the side because the onion has nothing to do with what's actually happening with InfoWars.
[00:48:14.382 --> 00:48:29.363]  What's actually happening is that the receiver and the people who have been in charge of our expenses and money since the bankruptcy occurred have cut off payments to our providers for services like internet and rent and electricity and all of that.
[00:48:29.683 --> 00:48:33.623]  So at midnight tonight, Infowars as an entity will shudder.
[00:48:34.003 --> 00:48:36.244]  Infowars.com will no longer be accessible.
[00:48:36.264 --> 00:48:39.204]  I don't believe banned.video will be accessible either.
[00:48:39.364 --> 00:48:41.304]  I'll get some clarification on that, but I believe that's true.
[00:48:42.184 --> 00:48:48.985]  And you'll have to go to our new website and make sure you're following us on X at AJNLive at RealAlexJones.
[00:48:49.285 --> 00:48:52.025]  I'm at HarrisonH.Smith and we'll give you updates there.
[00:48:52.485 --> 00:48:56.245]  And the crew can let me know if we can, you know, expand more on that.
[00:48:56.265 --> 00:49:02.546]  Because again, while the onion gets to say they're us and lie blatantly all over again, it's ironic because.
[00:49:03.766 --> 00:49:10.987]  In the last two weeks, Tim Heidecker, The Onion, and Ben Collins have spread more fake news than we ever have in our entire existence.
[00:49:11.107 --> 00:49:23.548]  They have lied more than we ever have in our entire existence in the last week by going on MSNBC and NBC and all these news stations and podcasts and everywhere and saying that they owned InfoWars because they wanted to hurt our business.
[00:49:24.128 --> 00:49:24.448]  Okay.
[00:49:24.888 --> 00:49:28.368]  They get to do that because they're in bed with the criminal establishment.
[00:49:28.808 --> 00:49:32.048]  We have to stick very resolutely to the rules.
[00:49:32.348 --> 00:49:35.389]  We're kind of like, we're like Russia in this situation.
[00:49:35.689 --> 00:49:36.869]  And they're like Israel, right?
[00:49:36.889 --> 00:49:44.049]  When it comes to international law, it's kind of optional for them, but we have to stick rigidly to the letter of the law.
[00:49:44.409 --> 00:49:49.110]  So I'm going to be very careful and be circumspect about what exactly I say here.
[00:49:49.990 --> 00:49:52.670]  But you got to go to the Alex Jones store.com to support us.
[00:49:52.690 --> 00:49:55.190]  You got to follow us on X, follow us on Rumble.
[00:49:55.490 --> 00:49:57.730]  And I'd like to go now to clip number three here.
[00:49:57.810 --> 00:49:59.151]  This is just a report from Alex.
[00:49:59.171 --> 00:50:03.471]  He filed yesterday after The Onion was rejected and smacked down by the court.
[00:50:04.031 --> 00:50:08.591]  It's just a little overview of exactly what's happened and where you can find us and where we go from here.
[00:50:09.391 --> 00:50:12.732]  This is Alex Jones reported he filed this yesterday evening.
[00:50:13.292 --> 00:50:25.793]  And we are now five minutes, five hours, nine minutes, and fifty one seconds from the InfoWars shutdown, meaning you have just over five hours to get your InfoWars branded merchandise from thealexjonesstore.com.
[00:50:26.113 --> 00:50:32.493]  Thealexjonesstore.com will continue to operate, but we will not be able to sell that branded official InfoWars merchandise.
[00:50:32.913 --> 00:50:34.534]  So get it now while you can.
[00:50:34.654 --> 00:50:35.794]  Thealexjonesstore.com.
[00:50:36.114 --> 00:50:41.814]  And with that, here's Alex Jones from last night laying down the truth about what has happened with InfoWars and The Onion.
[00:50:41.954 --> 00:50:42.354]  Let's watch.
[00:50:43.754 --> 00:50:50.895]  Ladies and gentlemen, I have breaking exclusive news that just warms my heart and still gives me faith in America and our legal system.
[00:50:51.695 --> 00:51:05.016]  The Onion, backed by the Democrats and Bloomberg, for the second time in a year and a half, after fraudulently claiming that they own and run InfoWars, another giant hoax, has had their attempt to take us over slapped down by the third Texas Court of Appeals.
[00:51:05.416 --> 00:51:07.576]  This is a massive victory.
[00:51:07.756 --> 00:51:09.156]  We're about to break it down right now.
[00:51:09.656 --> 00:51:11.017]  Yeah, look, we won the bid.
[00:51:11.717 --> 00:51:13.957]  We own InfoWars, and we are very excited about it.
[00:51:13.977 --> 00:51:15.437]  But is it true that you didn't have the highest bid?
[00:51:16.537 --> 00:51:17.217]  We did.
[00:51:19.517 --> 00:51:23.338]  The Onion has finally acquired InfoWars.
[00:51:23.718 --> 00:51:24.658]  Yes, yes, we have.
[00:51:24.758 --> 00:51:30.838]  We've taken over the Infor's studio and the IP and the website and all that stuff.
[00:51:30.858 --> 00:51:31.038]  Yeah.
[00:51:31.318 --> 00:51:42.179]  And we look forward to infesting your social media feeds with caricatures and grotesqueries of the very people who have ruined our media ecosystem over the last 10 years.
[00:51:42.739 --> 00:51:46.279]  I am going to make a big announcement right now, and that might affect our relationship.
[00:51:46.379 --> 00:51:50.780]  And I am pledging myself to Satan and to the Prince of Darkness.
[00:51:50.820 --> 00:51:53.680]  Oh, I read about this last night on a website.
[00:52:00.659 --> 00:52:11.641]  In November of 2024, The Onion, backed by the Democrat Party, top Democrat law firms, and Michael Bloomberg, fraudulently claimed that they had won InfoWars in an auction.
[00:52:12.260 --> 00:52:14.480]  We went to the federal court and showed them there was no auction.
[00:52:14.701 --> 00:52:20.701]  The judge ruled there wasn't an auction, and he said it looked like fraud, and he fired the people that were involved in it.
[00:52:21.461 --> 00:52:27.161]  And a year before that, there was a U.S. trustee also fired by the judge that tried to shut us down without a court order.
[00:52:27.922 --> 00:52:32.982]  Now, for the third time, we have seen an attempt to do this, the second time with The Onion.
[00:52:33.523 --> 00:52:40.362]  As you saw everywhere, two weeks ago, they announced we're in the studio, we own it, we're selling merchandise, we won it in court.
[00:52:40.543 --> 00:52:41.583]  There was not even a court hearing.
[00:52:41.722 --> 00:52:57.065]  But the judge who ran the show trial in Texas, where she found me civilly liable before she ever even had a jury trial, was set to have a hearing tomorrow, and it was obvious that she was going to try to hand it over to them, despite the fact it's still an appeal, a total violation of my rights.
[00:52:57.724 --> 00:53:03.904]  And so now, today, we filed just yesterday at the third Court of Appeals in Texas, that's a Democrat panel.
[00:53:04.585 --> 00:53:17.605]  This information, and they put a stay on the whole thing and want full hearings and an investigation, and have told the judge that she's going to have to have new hearings and show her evidence because she also refused to give us bond last year.
[00:53:18.085 --> 00:53:21.886]  Under law, civil and criminal, you have to do that.
[00:53:22.346 --> 00:53:24.047]  I could shoot people and still get bond.
[00:53:24.967 --> 00:53:25.586]  But she said no.
[00:53:26.346 --> 00:53:27.987]  She told my lawyers at the hearing, You can't even talk.
[00:53:28.567 --> 00:53:29.527]  I'm not going to hear bond.
[00:53:30.127 --> 00:53:31.507]  That's how crazy this is.
[00:53:32.107 --> 00:53:36.067]  And back when they first had their show trial, where she told the jury I was guilty.
[00:53:36.827 --> 00:53:47.248]  She then, after the jury found me guilty, because she instructed him to find me guilty, guilty until proven guilty, two weeks after, she added other civil liabilities on that weren't even before the jury.
[00:53:47.648 --> 00:53:52.108]  And she said, in court rulings, I don't care what the Supreme Court of Texas says, I'm doing this.
[00:53:53.188 --> 00:53:55.869]  These people are wild eyed and nuts.
[00:53:56.549 --> 00:54:03.610]  So, for the second time in a year and a half, The Onion has declared they own this place, they run it, when they don't.
[00:54:04.009 --> 00:54:06.990]  And they're selling for $35.
[00:54:08.150 --> 00:54:15.130]  A grocery bag, tote bag with the onion as the InfoWars logo before they ever got it.
[00:54:15.210 --> 00:54:18.751]  Do you realize that is hijacking a company?
[00:54:19.231 --> 00:54:22.511]  It's not just civil, in the federal statutes, it's illegal.
[00:54:23.172 --> 00:54:27.672]  So these crazy-eyed people are going to just keep going for broke.
[00:54:27.692 --> 00:54:29.411]  They're like zombies that just keep attacking.
[00:54:30.512 --> 00:54:31.992]  A year and a half ago, we'll show you some clips.
[00:54:32.273 --> 00:54:33.172]  They were so upset.
[00:54:33.212 --> 00:54:34.492]  Oh, we had to go on antidepressants.
[00:54:34.952 --> 00:54:35.572]  It's terrible.
[00:54:36.232 --> 00:54:38.172]  So we're very excited to take that over.
[00:54:38.232 --> 00:54:40.172]  And look, it's Alex Jones.
[00:54:41.672 --> 00:54:46.173]  If he just handled this graciously and moved away, that would be the funniest part of this whole situation.
[00:54:46.413 --> 00:54:47.514]  This news breaks.
[00:54:47.833 --> 00:54:47.953]  Yeah.
[00:54:48.193 --> 00:54:49.153]  And it's an enormous deal.
[00:54:49.173 --> 00:54:50.074]  Everyone's covering it.
[00:54:50.833 --> 00:54:53.813]  And then it doesn't happen.
[00:54:54.114 --> 00:54:54.335]  Yeah.
[00:54:54.954 --> 00:54:58.694]  So the answer I'm here to find out is like, what the f did happen?
[00:54:59.174 --> 00:55:02.295]  And also in the process of that, what happened to you?
[00:55:05.034 --> 00:55:08.755]  Medicine, antidepressants.
[00:55:11.056 --> 00:55:12.016]  That's what happened to me.
[00:55:12.275 --> 00:55:15.835]  So to be clear, the Onion's second attempt to hijack us.
[00:55:16.996 --> 00:55:19.217]  Has failed, but they're going to continue on.
[00:55:19.356 --> 00:55:35.277]  And tomorrow night at midnight, April 30th, 2026, because the receiver appointed by the same kangaroo Soros judge that ran the show trial has been ordered by her to shut us down, he's not paying the bills like the rent or the internet, the satellite.
[00:55:35.657 --> 00:55:40.777]  So we have to shut down, but that's okay because we've already launched the Alex Jones Network.
[00:55:41.217 --> 00:55:46.838]  AlexJonesLive.com is now the jumping off point, the tip of the spear destination.
[00:55:47.318 --> 00:55:49.139]  Is the second chapter in the InfoWar.
[00:55:49.418 --> 00:55:50.938]  The site's even better than InfoWars.
[00:55:51.798 --> 00:55:56.559]  It has all the live streams, it has the articles, it has the reports, special reports, documentary films, and more.
[00:55:57.159 --> 00:55:58.539]  But this isn't a spectator sport.
[00:55:58.779 --> 00:56:00.460]  This is participant sport.
[00:56:00.940 --> 00:56:02.561]  You are the men and women in the arena.
[00:56:02.800 --> 00:56:12.520]  So share the new site, AlexJonesLive.com, and go download the free app on Droid or Apple at AlexJonesApp.com right now.
[00:56:12.561 --> 00:56:14.201]  That's the easiest, quickest place to find us.
[00:56:14.420 --> 00:56:15.461]  But we got the new satellites.
[00:56:15.922 --> 00:56:21.322]  Our radio stations all know they're flipping over to the new show that is not InfoWars, but The Alex Jones Show.
[00:56:21.581 --> 00:56:27.123]  Because these fools think that InfoWars is its own standalone operation.
[00:56:27.322 --> 00:56:28.182]  I am the InfoWars.
[00:56:28.503 --> 00:56:29.442]  You are the InfoWar.
[00:56:29.722 --> 00:56:30.702]  We are the InfoWarriors.
[00:56:30.802 --> 00:56:32.023]  We are the modern Paul Revere's.
[00:56:32.262 --> 00:56:33.663]  We are the answer in 1984.
