# Transcription model: nvidia/parakeet-tdt-0.6b-v2, sat-12l-sm, and large-v3-turbo
# Transcript cleaned with version 0.1.2
# Source MD5: 7f3f004fc590da18f6f78dde1d5808b3
[00:00:00.560 --> 00:00:05.919]  Whatever the future may hold, InfoWars will always live forever.
[00:40:15.360 --> 00:40:30.560]  And you know what, Brianna, some of the tips that I've gotten with regard to that are like, we're bringing in people, not even just software engineers, but professors in our public universities and American students, I kid you not, they're like, we can't understand the professor.
[00:40:30.800 --> 00:40:34.800]  This is the only class that I got a D in because I couldn't understand the professor.
[00:40:34.960 --> 00:40:36.880]  He has such a thick Indian accent.
[00:40:37.200 --> 00:40:38.720]  I literally could not understand.
[00:40:38.880 --> 00:40:39.840]  I couldn't comprehend.
[00:40:40.080 --> 00:40:45.840]  And I ended up bombing the class because I couldn't understand the imported professor that they are bringing.
[00:40:46.000 --> 00:40:50.640]  I mean, it is, it's really beyond comprehension why we are allowing this to happen.
[00:40:50.960 --> 00:40:54.960]  And with so many issues in this country, it's like we are doing it to ourselves.
[00:40:55.280 --> 00:41:00.960]  The answer is right in front of us if we are just brave enough and bold enough to say, I don't care what you call me.
[00:41:01.120 --> 00:41:02.640]  I don't care if you call me xenophobic.
[00:41:02.800 --> 00:41:04.000]  I don't care if you call me racist.
[00:41:04.160 --> 00:41:05.600]  It really has nothing to do with that.
[00:41:05.840 --> 00:41:07.120]  We have to save our country.
[00:41:07.280 --> 00:41:08.400]  We have to save our economy.
[00:41:08.480 --> 00:41:11.040]  We have to save our jobs before it's too late.
[00:41:11.360 --> 00:41:12.160]  Yeah, no, we do.
[00:41:12.240 --> 00:41:12.400]  We do.
[00:41:12.720 --> 00:41:16.800]  And, you know, Sarah, in Texas right now, we're seeing it firsthand.
[00:41:17.120 --> 00:41:27.040]  There's been a takeover, whether it's, you know, Indians who've been imported over these last few years or the Muslims who have come into this country and have decided to set up shop and build up compounds all across the state.
[00:41:27.360 --> 00:41:28.480]  And it's obviously very concerning.
[00:41:28.560 --> 00:41:37.840]  Ken Pax is being one of the few to jump on board very quickly to speak out against this and launch investigations to see if there's anything he could do legally to prevent this from becoming a much greater issue.
[00:41:38.160 --> 00:41:46.640]  But, you know, when I look over to New York City, which is obviously, I'm a New Yorker, I am absolutely disturbed by all of this, but I want our folks at home right now to take a look at this.
[00:41:46.720 --> 00:41:48.880]  And if you're listening audio, let me explain what's going on right here.
[00:41:49.280 --> 00:41:54.000]  There was an NYPD event where they had the female NYPD officers try on hijabs.
[00:41:54.160 --> 00:41:56.480]  And, you know, this is the problem here.
[00:41:56.720 --> 00:42:04.000]  The problem here is we have individuals who are forcing others to have to accept Islam.
[00:42:04.320 --> 00:42:12.400]  And as you see, I mean, they're literally taking these hijabs, putting them on these women and forcing them to try to, it looks like it's equity, but they don't make the men do it, of course.
[00:42:12.720 --> 00:42:16.720]  It looks like, but what it really is, is they're just conditioning us for the takeover, right?
[00:42:16.880 --> 00:42:19.280]  They're showing us that, okay, we're going to conquer New York City.
[00:42:19.360 --> 00:42:24.960]  We've already done so by electing or electing a Muslim communist to run the city.
[00:42:25.280 --> 00:42:30.640]  And now we're going to start forcing women to wear these hijabs and walk around and pretend like they're believers of all of this.
[00:42:30.960 --> 00:42:31.840]  What do you make of this?
[00:42:32.000 --> 00:42:34.720]  Because this is, I mean, I think it's cucking at this point.
[00:42:34.880 --> 00:42:40.080]  Like we're watching all of these individuals go out there and just bow down to the Islamic takeover and they're not pushing back.
[00:42:40.160 --> 00:42:41.840]  They protect, oh, it's diversity.
[00:42:42.160 --> 00:42:43.200]  This is garbage to me.
[00:42:43.360 --> 00:42:51.200]  The fact that we allow people to go out there and force non-Muslims, whether they're Christians or even if they're Jewish, they're forced to comply with this.
[00:42:51.360 --> 00:42:56.000]  I'm sure if they didn't participate in this event, they probably would have lost their jobs.
[00:42:56.640 --> 00:42:56.880]  Yeah.
[00:42:57.200 --> 00:42:58.240]  Yeah, you're absolutely right.
[00:42:58.400 --> 00:42:59.920]  And I mean, this is just another instance.
[00:43:00.320 --> 00:43:01.040]  You call it cucking.
[00:43:01.120 --> 00:43:03.840]  I think that's a very, it's really, really accurate.
[00:43:04.240 --> 00:43:05.600]  But it goes back to what I was saying before.
[00:43:05.760 --> 00:43:07.360]  We're doing it to ourselves.
[00:43:07.520 --> 00:43:08.800]  Like, why are we doing this?
[00:43:08.960 --> 00:43:11.600]  We all know Islam is incompatible with the West.
[00:43:11.760 --> 00:43:14.000]  Islam is incompatible with our constitution.
[00:43:14.480 --> 00:43:22.640]  Why are we participating in this humiliation ritual where we're pretending like, I mean, it's like the black square that everyone had to post on Instagram or else you were going to get called a racist?
[00:43:22.960 --> 00:43:26.160]  Why are we doing it to ourselves is beyond comprehension.
[00:43:26.480 --> 00:43:29.040]  Why are we even talking about World Hijab Day?
[00:43:29.200 --> 00:43:32.960]  Why is it a thing that anyone in this country thinks it's appropriate to celebrate?
[00:43:33.280 --> 00:43:39.040]  I read that World Hijab Day was supposed to be just to combat hijabophobia, hijabophobia.
[00:43:39.120 --> 00:43:40.080]  Like, are you kidding me?
[00:43:40.320 --> 00:43:43.040]  I'm not scared of the dumb piece of fabric that you wear on your head.
[00:43:43.360 --> 00:43:56.320]  I think it's a rightful, rational fear to be scared of importing a bunch of people, Islamicists, who actually believe in Sharia law, who actually believe that if you don't submit, that they should conquer you, that you should die.
[00:43:56.640 --> 00:43:59.360]  So yeah, I'm not afraid of the piece of fabric on the head.
[00:43:59.520 --> 00:44:04.960]  I'm more afraid of like all of the things that come with the religion and with the governance of Islam.
[00:44:05.280 --> 00:44:11.840]  But I mean, it's incredible to me that they have created this false narrative about this hijab, right?
[00:44:11.920 --> 00:44:15.200]  Like let's let's talk about the actual fabric that's on the head.
[00:44:15.520 --> 00:44:16.320]  What does that represent?
[00:44:16.480 --> 00:44:18.000]  They want to tell you it represents beauty.
[00:44:18.160 --> 00:44:23.920]  They want to talk, get up there on a pedestal at NYPD and be like, oh, I'm just so proud to wear this hijab.
[00:44:24.000 --> 00:44:24.880]  It's just so beautiful.
[00:44:25.040 --> 00:44:28.080]  It represents this unique culture and all this.
[00:44:28.240 --> 00:44:31.200]  And it's like, guys, the hijab represents oppression.
[00:44:31.520 --> 00:44:33.120]  It represents oppression of women.
[00:44:33.440 --> 00:44:36.960]  It represents, you know, like stoning women to death.
[00:44:37.360 --> 00:44:38.880]  It represents acid attacks.
[00:44:39.200 --> 00:44:40.800]  It represents a whole lot of things.
[00:44:40.960 --> 00:44:42.000]  It represents incest.
[00:44:42.240 --> 00:44:47.440]  It represents a whole lot of things in Islamic culture that we shouldn't tolerate here.
[00:44:47.760 --> 00:44:50.640]  And so it's just really, it's, we are doing it to ourselves.
[00:44:50.960 --> 00:44:51.520]  We're participating.
[00:44:51.600 --> 00:44:52.800]  It's like, it is cucking.
[00:44:52.880 --> 00:44:54.080]  It's like we're sitting there.
[00:44:54.240 --> 00:44:58.400]  We've got the chair next to the bed while the wife goes and does the thing with the boyfriend.
[00:44:58.560 --> 00:45:00.880]  Like it's like, why are we doing this, guys?
[00:45:01.040 --> 00:45:05.680]  We really don't have to do it if we all just stand up and say it's just enough is enough already.
[00:45:06.000 --> 00:45:06.080]  Yeah.
[00:45:06.240 --> 00:45:06.800]  Well, that's the problem.
[00:45:06.960 --> 00:45:08.000]  And we're too afraid to say the truth.
[00:45:08.080 --> 00:45:13.040]  And the reality of it is, is, you know, they only dress that way because their men can't control themselves.
[00:45:13.360 --> 00:45:15.440]  And if that wasn't the case, they wouldn't have to dress that way.
[00:45:15.520 --> 00:45:20.080]  I mean, the fact that they beat women, especially in Iran and other places, I mean, they literally beat women if you show an elbow.
[00:45:20.320 --> 00:45:23.120]  And that really gets their men fired up when they see an elbow of a female.
[00:45:23.440 --> 00:45:29.360]  And the fact that they also dress up their children that way, their female children tells you everything you need to know about their so-called religion.
[00:45:29.520 --> 00:45:33.520]  So which, by the way, look, look, that's how that's elbows are not hot.
[00:45:33.680 --> 00:45:34.560]  They're not covering them.
[00:45:34.720 --> 00:45:35.680]  I'm not cute.
[00:45:36.960 --> 00:45:38.320]  I don't want to cute.
[00:45:41.120 --> 00:45:42.080]  They'll take what they can get.
[00:45:42.400 --> 00:45:43.840]  It's a step up from goats.
[00:45:44.239 --> 00:45:45.438]  Sarah, I want to get to something.
[00:45:47.199 --> 00:46:00.318]  Congresswoman LaMonica McIvor yesterday was, well, I mean, this woman, this is the woman who was arrested, and she's currently being prosecuted for, I believe it's allegedly assaulting DHS agents outside of a facility in New Jersey.
[00:46:00.720 --> 00:46:07.120]  But she had the gohonas to go out there and go after the acting ICE director Todd Lyons yesterday.
[00:46:07.440 --> 00:46:10.160]  And what she said to me had me, had me unhinge.
[00:46:10.240 --> 00:46:11.120]  Take a listen.
[00:46:11.760 --> 00:46:15.440]  So let me ask you some questions that you may be able to answer.
[00:46:15.760 --> 00:46:18.720]  Mr. Lyons, do you consider yourself a religious man?
[00:46:19.040 --> 00:46:19.760]  Yes, ma'am.
[00:46:20.080 --> 00:46:20.800]  Oh, yes.
[00:46:20.960 --> 00:46:21.120]  Okay.
[00:46:21.280 --> 00:46:26.320]  Well, how do you think Judgment Day will work for you with so much blood on your hands?
[00:46:27.200 --> 00:46:28.400]  I'm not going to entertain that question.
[00:46:28.560 --> 00:46:29.600]  Oh, okay, of course not.
[00:46:29.760 --> 00:46:31.600]  Do you think you're going to hell, Mr. Lyons?
[00:46:31.760 --> 00:46:32.320]  I'm not going to entertain.
[00:46:32.720 --> 00:46:32.880]  Of course.
[00:46:34.240 --> 00:46:36.080]  How many gentlelady will suspend?
[00:46:36.320 --> 00:46:37.520]  A gentle lady will suspend.
[00:46:37.760 --> 00:46:39.680]  Chairman, a gentle lady will suspend.
[00:46:39.760 --> 00:46:40.080]  As I said.
[00:46:40.640 --> 00:46:43.600]  What an absolute pile of ghetto trash she is.
[00:46:44.000 --> 00:46:47.920]  Sarah, I'll let you sound off on it because I'll probably say a bunch of things that I can't say on radio.
[00:46:48.560 --> 00:46:49.200]  Yeah, sure.
[00:46:49.440 --> 00:46:56.960]  I mean, I would say like, I feel like it's a basic request that a congresswoman be able to pronounce the word ask correctly.
[00:46:57.120 --> 00:47:05.920]  Like, I feel like that's just a basic, like, just the bottom of the barrel level that we're asking, can you please just pronounce basic English words correctly?
[00:47:06.240 --> 00:47:09.440]  But aside from that, these, these people are just like, they're just ghoulish.
[00:47:09.520 --> 00:47:10.560]  These people are ghouls.
[00:47:10.720 --> 00:47:19.760]  They walk around pretending like they have the air of superiority because they're literally protecting illegal pedophiles, rapists, murderers, drug dealers.
[00:47:20.000 --> 00:47:30.960]  I mean, you saw the stuff they pulled with CBS News and they tried to say, oh, well, less than 14% of those poor illegals that ICE is rounding up are actually violent criminals.
[00:47:31.280 --> 00:47:37.280]  Now, we're not going to talk about the drug traffickers and we're not going to talk about the assaulters.
[00:47:37.440 --> 00:47:38.720]  And we're not, I mean, there was a long list.
[00:47:39.040 --> 00:47:43.040]  We're not going to talk about the guys who did DWIs and killed American citizens.
[00:47:43.360 --> 00:47:45.200]  We're just talking about murderers.
[00:47:45.440 --> 00:47:50.640]  It's really despicable how these people have become the party of protecting criminals.
[00:47:50.880 --> 00:47:52.080]  They are the party of illegals.
[00:47:52.160 --> 00:47:53.600]  They are the party of protecting criminals.
[00:47:53.840 --> 00:48:06.400]  The fact that this woman thinks that ICE is the problem, that our federal law enforcement officers who put their lives on the line every single day in order to make this country safer are somehow the bad guys is absolutely laughable.
[00:48:06.720 --> 00:48:08.960]  These people should not be taken seriously at all.
[00:48:09.600 --> 00:48:12.480]  Not one second of what they have to say should ever be taken seriously.
[00:48:12.800 --> 00:48:12.880]  Yeah.
[00:48:12.960 --> 00:48:19.600]  Well, that's why we have to stop electing it or electing members of Congress and senators who are smarter than.
[00:48:19.760 --> 00:48:23.040]  Because I mean, listen, my English, not the best, but you know what?
[00:48:23.200 --> 00:48:24.240]  I'm not running for office.
[00:48:24.480 --> 00:48:26.320]  And I think that's okay to admit that out loud.
[00:48:26.640 --> 00:48:27.440]  So there's always that.
[00:48:27.520 --> 00:48:28.640]  Sarah, I also want to get your take on this.
[00:48:28.880 --> 00:48:37.200]  You know, we heard from President Trump just moments ago on Truth Social saying what an incredible job that the Attorney General Pam Bonnie did yesterday during her testimony in front of the House Judiciary Committee.
[00:48:37.440 --> 00:48:39.200]  Now, I like how she's a little feisty, right?
[00:48:39.280 --> 00:48:41.520]  Because there are some Democrats out there who wanted to get nasty with her.
[00:48:41.760 --> 00:48:43.680]  You might as well get a little nasty back with them.
[00:48:44.400 --> 00:48:51.200]  But the deflection yesterday has caught a lot of people, especially on the right, really, it's got them really fired up.
[00:48:51.600 --> 00:48:56.400]  How she just inserted and started talking about the Dow Jones just randomly yesterday and Cliff Nahin, take a listen.
[00:48:56.960 --> 00:49:00.160]  The Dow, the Dow right now is over.
[00:49:01.120 --> 00:49:03.200]  The Dow is over $50,000.
[00:49:03.680 --> 00:49:04.640]  I don't know why you're laughing.
[00:49:04.800 --> 00:49:07.200]  You're a great stock trader, as I hear, Raskin.
[00:49:07.440 --> 00:49:11.200]  The Dow is over 50,000 right now.
[00:49:11.520 --> 00:49:14.720]  The SP at almost 7,000.
[00:49:15.040 --> 00:49:17.840]  And the NASDAQ smashing records.
[00:49:18.080 --> 00:49:22.720]  Americans' 401ks and retirement savings are booming.
[00:49:23.040 --> 00:49:25.200]  That's what we should be talking about.
[00:49:25.520 --> 00:49:28.880]  We should be talking about making Americans safe.
[00:49:29.200 --> 00:49:32.160]  We should be talking about, what does a Dow have to do with anything?
[00:49:32.320 --> 00:49:33.440]  That's what they just asked.
[00:49:33.760 --> 00:49:34.720]  Are you kidding?
[00:49:35.200 --> 00:49:36.160]  Mr. Jordan, am I?
[00:49:36.560 --> 00:49:37.520]  Mr. Jordan, committee.
[00:49:37.840 --> 00:49:38.080]  All right.
[00:49:38.160 --> 00:49:44.880]  So I think the Dow Jones is probably the last thing I want to talk about when we're talking about sexual survivors and trying to get them justice.
[00:49:45.360 --> 00:49:47.760]  What the heck is Pam Bonnie doing here, Sarah?
[00:49:48.400 --> 00:50:01.840]  Listen, I feel like, again, basic requirement for this time, Attorney General, the head of the DOJ should be that you're good at being, you know, an attorney, which means you're good at speaking.
[00:50:02.400 --> 00:50:04.240]  You know, your cadence is good.
[00:50:04.560 --> 00:50:05.440]  You're believable.
[00:50:05.760 --> 00:50:08.960]  That was the most disingenuous thing I've ever seen.
[00:50:09.200 --> 00:50:12.240]  Whoever is preparing this for her should be fired immediately.
[00:50:12.400 --> 00:50:14.400]  And her delivery is just not even believable.
[00:50:14.560 --> 00:50:23.840]  And you'll notice, Brianna, to your point, we are trying to talk about sexual survivors, which nobody in government seems to care about or take seriously anymore, but we're trying to talk about that.
[00:50:24.160 --> 00:50:29.360]  And she has like kind of a smirk on her face as she's trying to, you know, bring up the DAO.
[00:50:29.680 --> 00:50:30.880]  None of it is funny.
[00:50:31.200 --> 00:50:32.400]  None of it is laughable.
[00:50:32.720 --> 00:50:44.720]  She seems to think that this is, she comes in there with the canned points, which to your point, they shouldn't be allowed to just, you know, talk about all of the Trump administration the way that they do to their faces and insult them.
[00:50:45.040 --> 00:50:48.880]  But you got to get better comebacks than the ones that we heard from Pam Bondi.
[00:50:49.120 --> 00:50:53.200]  I just, I don't know at what point President Trump just cuts the cord and says, you know what?
[00:50:53.440 --> 00:50:54.880]  You've caused me enough problems.
[00:50:55.040 --> 00:50:56.320]  You've caused me enough headaches.
[00:50:56.560 --> 00:50:59.600]  This entire Epstein files have been bungled from the beginning.
[00:50:59.920 --> 00:51:08.240]  And maybe, just maybe I should bring in someone who's more concerned with doing their jobs than when their next hit on Fox News is going to be.
[00:51:08.480 --> 00:51:10.400]  It's just, it's really embarrassing.
[00:51:10.960 --> 00:51:13.280]  I elected Donald Trump to make America great again.
[00:51:13.600 --> 00:51:17.120]  I elected Donald Trump so that he could come in and implement his agenda.
[00:51:17.440 --> 00:51:19.680]  And it just doesn't seem like that's what's happening anymore.
[00:51:19.840 --> 00:51:25.200]  One of the common problems, one of the common denominators in all of these issues is Pam Bondi.
[00:51:25.280 --> 00:51:39.920]  And I just have to wonder when the hell he is going to finally say, we need better, America deserves better, and put in a real, like a real person with real expertise and real qualifications who can go in and get the job done professionally.
[00:51:40.160 --> 00:51:41.360]  Yeah, and Sarah, we got about a minute left.
[00:51:41.440 --> 00:51:42.720]  So I'll let you do take that next.
[00:51:43.360 --> 00:51:44.560]  But what do we do from here?
[00:51:44.720 --> 00:51:46.960]  Because right now, you know, we see the president on True Social.
[00:51:47.200 --> 00:51:49.600]  He's very proud of the work that Pam Boni has done thus far.
[00:51:50.080 --> 00:51:52.240]  I would say there's not enough that's been done.
[00:51:52.400 --> 00:51:53.680]  I'm sitting on the sidelines watching.
[00:51:53.760 --> 00:52:01.520]  And, you know, as I ranted in the open, Gail Slater being tossed from the DOJ as the lead of the antitrust division has me on edge because that was a patriot.
[00:52:01.760 --> 00:52:06.480]  That was the kind of person that the American people wanted over at the DOJ, just based on I've known her.
[00:52:06.560 --> 00:52:10.800]  So I know that this is like the person that MAGA wants in a position like that.
[00:52:11.280 --> 00:52:12.960]  What do you make of all of this?
[00:52:13.120 --> 00:52:15.280]  Because the president's still praising Pam Bondi.
[00:52:16.560 --> 00:52:24.880]  That's the problem is that the president, despite all of the great things about him, one of his fatal flaws is that he appreciates loyalty.
[00:52:25.120 --> 00:52:27.440]  He puts loyalty above a lot of other things.
[00:52:27.760 --> 00:52:34.720]  And so I think that the president just needs to, he needs to get over the fact that while Pam Bondi has been loyal to him, that's not everything.
[00:52:35.040 --> 00:52:41.360]  And the American people, listen, Republicans are going to take a shellacking at the midterms if he can't get this straightened out.
[00:52:41.440 --> 00:52:43.600]  You have Tom Holman pulling out of Minnesota.
[00:52:43.760 --> 00:52:44.720]  That's not what we voted for.
[00:52:44.880 --> 00:52:47.040]  You have Pam Bondi bungling the Epstein files.
[00:52:47.200 --> 00:52:48.480]  Nobody seems to want to name names.
[00:52:48.720 --> 00:52:50.080]  That's not what the American people voted for.
[00:52:50.240 --> 00:52:51.360]  We voted for transparency.
[00:52:51.600 --> 00:52:52.720]  We voted for law and order.
[00:52:52.880 --> 00:52:59.840]  And President Trump really needs to set aside loyalty and put the American people at the top prioritization, in my opinion.
[00:53:00.160 --> 00:53:00.320]  Yeah.
[00:53:00.480 --> 00:53:02.080]  Well, Sarah, thank you for jumping on with us today.
[00:53:02.160 --> 00:53:04.400]  She's the host of Sarah Gonzalez Unfiltered.
[00:53:04.640 --> 00:53:05.920]  There's no the in front of it.
[00:53:07.120 --> 00:53:08.880]  I'll have to have you on more often so I can get this right.
[00:53:08.960 --> 00:53:10.480]  But Sarah, thank you as always for joining me.
[00:53:10.640 --> 00:53:12.000]  I really appreciate you.
[00:53:12.640 --> 00:53:13.840]  Thank you, Brianna.
[00:53:14.160 --> 00:53:14.800]  All right, folks.
[00:53:15.040 --> 00:53:18.960]  Let me remind you, we have an incredible sale going on right now over at the AlexJonesStore.com.
[00:53:19.280 --> 00:53:21.760]  52% off site-wide.
[00:53:21.840 --> 00:53:24.880]  It's our mega sale, and it's going to end very, very soon.
[00:53:24.960 --> 00:53:28.320]  So you got to stop what you're doing right now and head on over to the alexjonestore.com.
[00:53:28.480 --> 00:53:31.920]  Some of your favorite items, actually, all of your favorite items are on sale right now.
[00:53:32.080 --> 00:53:42.800]  And if you want to keep us on air, you want to support us in our mission to, you know, bring the truth to the American people, the best way to do so is to head on over right now to the AlexJonesStore.com.
[00:53:42.960 --> 00:53:44.960]  Your support is what keeps us on air.
[00:53:45.280 --> 00:53:46.640]  And we are very grateful for that.
[00:53:46.800 --> 00:53:47.840]  All right, folks, don't go anywhere.
[00:53:47.920 --> 00:53:50.720]  We got a lot happening in the next hour.
[00:53:51.040 --> 00:53:52.480]  Autre Pruitt will be joining the show.
[00:53:52.640 --> 00:53:58.160]  A lot to sound off on that front regarding the Save America Act, as well as a couple of other incredible guests.
[00:53:58.240 --> 00:53:58.800]  So buckle up.
[00:53:58.880 --> 00:54:00.160]  We got more to discuss in a second.
[00:54:03.040 --> 00:54:08.480]  Ladies and gentlemen, everything we've talked about to a T is being vindicated right now.
[00:54:08.800 --> 00:54:14.320]  So we can obsess over the Epstein files or is Trump covering up or isn't he?
[00:54:14.400 --> 00:54:16.560]  Or what's Todd Blanch doing any of that?
[00:54:16.880 --> 00:54:18.800]  Men that abuse these girls.
[00:54:18.880 --> 00:54:19.680]  And what does that mean?
[00:54:20.000 --> 00:54:23.280]  But at the end of the day, it's 99% Democrats in there.
[00:54:23.440 --> 00:54:24.800]  It's the European elite.
[00:54:25.120 --> 00:54:27.280]  They're the ones that basically wrote the book on this crap.
[00:54:27.520 --> 00:54:28.720]  It's all coming out.
[00:54:29.040 --> 00:54:34.560]  And we, the people, the populist Christians of the world, have been vindicated in space.
[00:54:34.880 --> 00:54:36.960]  And that's why we've been attacked so much.
[00:54:37.280 --> 00:54:57.600]  So remember, regardless of what happens with different political leaders and different populists, whether it's Orban or whether it's Le Pen in France or whether it's Donald Trump here, regardless, we the people of the West of America, Christendom, will continue to promote freedom and liberty and justice in the American way and expose evil.
[00:54:57.920 --> 00:55:01.680]  And at the tip of the spear in that fight is InfoWars.
[00:55:02.000 --> 00:55:11.680]  But regardless of what happens to Infowars, the AlexJonesStore.com is owned by Bigley, and they have set up the Alex Jones Network as our backup that is absolutely critical.
[00:55:12.000 --> 00:55:17.040]  And they have launched the biggest sale of the year that runs until just next Monday.
[00:55:17.280 --> 00:55:21.280]  So I'm saying this live on air on Tuesday, February 10th.
[00:55:21.600 --> 00:55:24.640]  And I'll air this later again as an ad, so you'll be seeing it later.
[00:55:24.880 --> 00:55:30.720]  That means you've only got six days to take advantage of this massive sale.
[00:55:31.920 --> 00:55:32.960]  Listen to this.
[00:55:33.280 --> 00:55:36.560]  We've got multiple bundles on the side of our best-selling products.
[00:55:36.880 --> 00:55:39.440]  Limited time till next Monday at midnight.
[00:55:39.760 --> 00:55:41.600]  And your support keeps us on the air.
[00:55:41.840 --> 00:55:43.360]  This is an amazing value.
[00:55:43.680 --> 00:55:45.680]  Ultimate gut and brain bundle.
[00:55:45.920 --> 00:55:48.560]  Repair the gut, power the brain, the heart, everything.
[00:55:48.880 --> 00:55:50.560]  Bundle price, $99.
[00:55:51.200 --> 00:55:53.040]  Normal value, $209.
[00:55:53.280 --> 00:55:56.000]  Savings over 50% off.
[00:55:56.320 --> 00:56:00.080]  Includes bovine colostrum, the top private label.
[00:56:00.240 --> 00:56:03.040]  So incredible for your body, your skin, your hair, everything.
[00:56:03.360 --> 00:56:04.960]  Methylene blue tincture.
[00:56:05.120 --> 00:56:06.000]  We've got the best.
[00:56:06.240 --> 00:56:07.520]  Total game changer.
[00:56:07.760 --> 00:56:09.200]  You've seen the guests take it live on air.
[00:56:09.360 --> 00:56:11.440]  Even methylene blue fans say we've got the best.
[00:56:11.680 --> 00:56:16.960]  Methylene red is our proprietary system that doesn't have a bunch of methylene blue in it.
[00:56:17.120 --> 00:56:24.400]  It's got all these other supercharged nutrients that supercharge methylene blue, but also do a great job for your standby libido energy outside of that.
[00:56:24.560 --> 00:56:28.000]  So if you love methylene blue, the methylene red, it's back in stock.
[00:56:28.320 --> 00:56:33.280]  All three of those together in a bundle at over 50% off.
[00:56:33.520 --> 00:56:36.880]  Then we have the modern world survival stack.
[00:56:37.040 --> 00:56:40.000]  Rebuild, reload, defend the bundle.
[00:56:40.320 --> 00:56:41.040]  $89.
[00:56:41.600 --> 00:56:42.960]  Normally $184.
[00:56:43.280 --> 00:56:44.400]  Over 50% off.
[00:56:44.560 --> 00:56:50.720]  Built to support the body, the toxic nutrient depleted modern world, energy, stamina, focus, everything.
[00:56:50.960 --> 00:56:55.280]  Shilohy Complex, the best Shilohy gummies, capsules you choose.
[00:56:55.520 --> 00:56:57.520]  CMOS capsules, incredible.
[00:56:57.840 --> 00:56:59.760]  Very strong concentrated Irish CMOS.
[00:56:59.840 --> 00:57:02.720]  Natural iodine, 93 trace vitamins and minerals.
[00:57:02.880 --> 00:57:04.240]  Incredible supercharger.
[00:57:04.560 --> 00:57:05.440]  You want this right now.
[00:57:05.600 --> 00:57:08.800]  Incredible for your thyroid, immune health, metabolic balance, your heart.
[00:57:09.040 --> 00:57:19.840]  And then Atomic Defense is the horse pill of horse pills of all the known concentrated natural detox, supernutrients, the detox of heavy metals, environmental toxins, and supercharge your body and gut health.
[00:57:20.080 --> 00:57:28.000]  Get it all right now at thealixjonesstore.com and be the reason we will always be on the air one way or another.
[00:57:28.320 --> 00:57:29.440]  But you love sales.
[00:57:29.680 --> 00:57:30.560]  This one is over.
[00:57:30.880 --> 00:57:32.800]  I think it comes at like 57% off or something.
[00:57:33.120 --> 00:57:34.960]  This is over 50% off.
[00:57:35.120 --> 00:57:36.320]  It's running till next Monday.
[00:57:36.480 --> 00:57:39.200]  So I'm cutting this live on air on Tuesday, February 10th.
[00:57:39.520 --> 00:57:40.480]  So what is Monday?
[00:57:40.720 --> 00:57:40.960]  Okay.
[00:57:41.120 --> 00:57:45.920]  You got like six days to take action now at thealixjonstore.com.
[00:57:46.000 --> 00:57:49.520]  And I want to thank all you that have gotten the products and all you that have been VIPs.
[00:57:49.600 --> 00:57:53.280]  You get huge discounts if you do that and $40 from the store instantly every month.
[00:57:53.600 --> 00:57:55.920]  But for everybody else below the fence, you're missing out.
[00:57:56.160 --> 00:57:57.440]  You think our info is powerful?
[00:57:57.680 --> 00:57:58.880]  Well, this is even more powerful.
[00:57:59.040 --> 00:57:59.840]  Get it now.
[00:58:00.160 --> 00:58:02.000]  Welcome back to the Alex Jones Show.
[00:58:02.160 --> 00:58:03.120]  It's my, well, it's me.
[00:58:03.280 --> 00:58:05.120]  Brianne Morella filling in for Alex right now.
[00:58:05.200 --> 00:58:05.920]  Buckle up, folks.
[00:58:06.000 --> 00:58:09.120]  We've got a jam-packed two more hours heading your way.
[00:58:09.440 --> 00:58:12.000]  And I got a lot to talk about.
[00:58:12.240 --> 00:58:14.400]  Audrey Prue will be joining it in a few minutes.
[00:58:14.720 --> 00:58:17.280]  It's all about the Save America Act, as many of you guys know.
[00:58:17.440 --> 00:58:20.400]  Requiring voter ID is very controversial.
[00:58:20.560 --> 00:58:22.720]  That is for those who are likely stealing our elections.
[00:58:23.040 --> 00:58:27.120]  They're not very happy with the requirements of verifying whether or not you're an American citizen.
[00:58:27.440 --> 00:58:29.360]  I wonder why that's the case.
[00:58:29.680 --> 00:58:30.400]  I wonder why.
[00:58:30.720 --> 00:58:31.680]  I wonder why.
[00:58:32.400 --> 00:58:33.840]  We just actually got a clip too.
[00:58:33.920 --> 00:58:35.200]  We'll play it for you in just a second.
[00:58:35.520 --> 00:58:41.040]  Susan Collins is not really trying to commit to requiring that voter ID.
[00:58:41.120 --> 00:58:44.080]  So I'll bring you the latest on that front in just a moment.
[00:58:44.240 --> 00:58:47.120]  Plus the latest on the Fed, it's a train wreck.
[00:58:47.360 --> 00:58:48.320]  It's a train wreck.
[00:58:48.720 --> 00:58:52.000]  We'll also be talking with Dan Ball in this next segment as well.
[00:58:52.080 --> 00:58:54.000]  Dan Ball's host over at OAN.
[00:58:54.560 --> 00:58:57.360]  And, you know, Dan's like me.
[00:58:57.920 --> 00:59:01.200]  Dan knows how garbage the corporate media is, both of us.
[00:59:01.360 --> 00:59:06.160]  I always call myself a corporate media reject, obviously, because they don't like me too much.
[00:59:06.480 --> 00:59:08.240]  But we're going to sign off.
[00:59:08.320 --> 00:59:09.360]  We're going to celebrate a little bit.
[00:59:09.680 --> 00:59:13.200]  CNN has seen a massive collapse in their ratings over the last few years.
