# Transcription model: nvidia/parakeet-tdt-0.6b-v2, sat-12l-sm, and large-v3-turbo
# Transcript cleaned with version 0.1.2
# Source MD5: dfe6f1c3b72259399ad1a9976a170ef6
[00:01:03.600 --> 00:01:04.799]  Goblin Goblin, Goblin.
[00:24:04.319 --> 00:24:05.039]  It could be a sound.
[00:24:05.519 --> 00:24:08.640]  And we noticed a whole bunch of the killers of John Lennon and the other shot.
[00:24:08.960 --> 00:24:10.160]  It's all catcher in the rye.
[00:24:10.400 --> 00:24:12.240]  Seemed to be the mass programming book.
[00:24:13.120 --> 00:24:13.600]  Correct.
[00:24:13.759 --> 00:24:19.839]  And there were two who had contacted me in recent years, which was Aaron Alexis.
[00:24:19.920 --> 00:24:29.519]  He was a U.S. soldier who was complaining about all of these Havana syndrome, AHI type symptoms, and said, I was told that you could help me.
[00:24:29.840 --> 00:24:34.240]  And I said I could, but it's not a quick fix.
[00:24:34.400 --> 00:24:35.440]  It's going to be a long journey.
[00:24:35.680 --> 00:24:37.759]  And I thought he was going to go along with the program.
[00:24:38.079 --> 00:24:41.440]  And within a week or two, he went and he killed 12 people at the Navy Yard.
[00:24:41.680 --> 00:24:44.880]  Same thing happened with Myron May, who was an attorney out of Florida.
[00:24:45.120 --> 00:24:46.400]  Oh, you were talking to that guy?
[00:24:46.559 --> 00:24:46.960]  I remember that.
[00:24:47.039 --> 00:24:58.319]  And he had the gun saying, because ultra-low frequency into the butt of his rifle, extremely low frequency, and what that represented.
[00:24:58.640 --> 00:25:12.480]  And what is really interesting about that is I just came back from the Virginia Beach territory, and we believe that we have now discovered the frequency which is being emitted.
[00:25:12.799 --> 00:25:15.519]  And they are in the VLF-ULF range.
[00:25:15.840 --> 00:25:19.759]  And they tell you, like in the movie, They Live, there's a frequency they're sending out.
[00:25:20.400 --> 00:25:21.279]  Correct.
[00:25:21.599 --> 00:25:32.079]  And this frequency is anywhere from the low hertz into the kilohertz range.
[00:25:32.400 --> 00:25:39.840]  And the distance propagation of this frequency is 124,000 miles minimum.
[00:25:40.160 --> 00:25:43.200]  It penetrates everything and anything.
[00:25:43.360 --> 00:25:43.680]  Steve.
[00:25:44.000 --> 00:25:45.600]  That's what they use to communicate with submarines.
[00:25:45.680 --> 00:25:47.279]  It's that ultra-low frequency.
[00:25:47.599 --> 00:25:54.880]  Which, by the way, Princeton just confirmed ESP through ultra-low frequency with computers tracking humans in ESP.
[00:25:55.039 --> 00:25:57.360]  So they're literally jamming our normal ESP.
[00:25:57.680 --> 00:26:01.279]  And that's what Dr. Nick Beggich said told me 25 years ago.
[00:26:01.759 --> 00:26:04.000]  His brother was a senator, his father, a congressman.
[00:26:04.480 --> 00:26:10.000]  He cut it a lot of secret documents that the government knew he already had this ESP, already had a group collective communication.
[00:26:10.160 --> 00:26:11.759]  They were trying to jam that.
[00:26:13.039 --> 00:26:13.519]  Correct.
[00:26:13.599 --> 00:26:15.519]  But now they can influence your thoughts.
[00:26:15.759 --> 00:26:17.519]  They can erase memory sets.
[00:26:17.680 --> 00:26:19.519]  They can imprint memory sets.
[00:26:19.840 --> 00:26:22.240]  The Russians have really mastered it.
[00:26:22.400 --> 00:26:37.840]  They just released a study where they're now propagating in the terahertz range, and they're able to specifically target specific areas on the human brain where there would be right occipital, left occipital, parietal, temporal lobes, frontal lobes.
[00:26:37.920 --> 00:26:41.680]  They can institute, they can transmit voices into your mind.
[00:26:41.840 --> 00:26:47.599]  They can make you have optical visualization experiences.
[00:26:48.160 --> 00:26:53.200]  And so this is now treading in an area where I don't think anyone had imagined.
[00:26:53.279 --> 00:26:57.440]  Our forefathers sure enough haven't, but this is the final frontier.
[00:26:57.759 --> 00:26:59.680]  This is the final battleground.
[00:27:00.000 --> 00:27:13.920]  And what we're finding is this ultimately, when everyone understands, specifically now that we're in this nanotech era, that this is probably worse than any nuclear weapon that has ever been created.
[00:27:14.559 --> 00:27:26.400]  Because if they can control you via RF emissions, and we now know that they exist, we were able to prove it over this last weekend.
[00:27:26.720 --> 00:27:37.360]  And then you will never know or have the future of our children or genealogy to come any cognitive liberty whatsoever.
[00:27:37.840 --> 00:27:41.279]  You'll believe it's always been that way, and it's normal.
[00:27:42.800 --> 00:27:48.960]  your freedoms to be creative to use your your human gifts are going to be taken away and
