# Transcription model: nvidia/canary-1b-v2, sat-12l-sm, and large-v3-turbo
# Transcript cleaned with version 0.1.2
# Source MD5: 8db85116eb05465e0d7250a7e9d9f2cf
[00:00:15.359 --> 00:00:19.298]  The Alex Jones Network is tomorrow's news today.
[01:14:52.720 --> 01:14:56.080]  He did it reportedly from my sources, this is exclusive, five times.
[01:14:56.480 --> 01:14:57.040]  This was the six.
[01:14:57.920 --> 01:15:02.720]  That everybody loaded up, ready on the aircraft going out on the attack and then Trump would kill it.
[01:15:04.000 --> 01:15:05.760]  That's also good for the enemy to see on the radar.
[01:15:05.920 --> 01:15:08.400]  It's all coming in and get used to it coming and then it doesn't happen coming.
[01:15:08.480 --> 01:15:08.880]  It doesn't happen.
[01:15:09.120 --> 01:15:10.160]  They did that in Panama too.
[01:15:10.720 --> 01:15:13.120]  But also the CIA bad actors.
[01:15:14.160 --> 01:15:20.240]  Would, because Trump would say okay, launch the attack and then he'd pull it back, because so they never knew when he would go ahead and not pull it back.
[01:15:21.840 --> 01:15:26.000]  And that's done directly, so they could know they were coming.
[01:15:26.160 --> 01:15:29.680]  And then we didn't lose one aircraft, not one soldier.
[01:15:30.880 --> 01:15:35.360]  Huge firefights going into Maduro's compound.
[01:15:35.600 --> 01:15:39.760]  He was trying to get into the safe house, he was trying to get into the big iron door safe room failed.
[01:15:41.360 --> 01:15:42.000]  How amazing.
[01:15:42.160 --> 01:15:52.160]  So so the left wishes this is how the the attack was going, with the US military attacking the White House and then marching in and killing the Trump figure, a black woman, because he's racist.
[01:15:54.080 --> 01:15:58.960]  But how it's really going is what you just saw last night.
[01:16:02.240 --> 01:16:06.240]  And so their little pipe dreams, their little wet dreams are not happening as they want.
[01:16:06.960 --> 01:16:10.560]  Trump has really failed because of weak people in the Justice Department to get the indictments we need.
[01:16:11.360 --> 01:16:25.600]  But he's done good on getting out of the Paris Accord, the carbon taxes, moving to shut down these other big wars, reestablishing American dominance in our hemisphere, securing nineteen trillion investment already about eight trillion here.
[01:16:26.560 --> 01:16:27.120]  It's amazing.
[01:16:27.280 --> 01:16:28.320]  So here's how it's really going.
[01:16:28.480 --> 01:16:29.040]  This is the real world.
[01:16:29.200 --> 01:16:30.640]  This isn't Hollywood fantasy.
[01:16:30.720 --> 01:16:31.760]  This isn't Rob Reiner.
[01:16:32.880 --> 01:16:34.640]  This is what really happened.
[01:16:35.520 --> 01:16:41.600]  So instead the Democrat piggy bank, the Democrat money laundering operation, the Democrats mothership of Ukraine.
[01:16:41.760 --> 01:16:42.960]  This is their biggest laundering area.
[01:16:43.920 --> 01:16:45.280]  It just got taken away from them.
[01:16:47.040 --> 01:16:48.560]  Absolutely devastating.
[01:16:50.160 --> 01:16:50.480]  Amazing.
[01:16:50.640 --> 01:16:51.600]  And here's Maduro.
[01:16:51.760 --> 01:16:52.560]  It's Clip 9.
[01:16:54.160 --> 01:16:57.920]  Just recently, remember, threatening to beat up Elon Musk.
[01:17:00.560 --> 01:17:04.560]  Banning X. How'd that work out for the bully Maduro?
[01:17:04.880 --> 01:17:05.560]  Here's Maduro.
[01:17:15.040 --> 01:17:16.160]  Let's go to Lomos.
[01:17:16.480 --> 01:17:17.120]  I'm listo.
[01:17:17.600 --> 01:17:19.360]  I'm a son of Bolívar and of Chávez.
[01:17:20.160 --> 01:17:22.080]  I don't have any fear in Lomos.
[01:17:22.640 --> 01:17:23.360]  Let's go to Lomos.
[01:17:23.520 --> 01:17:25.280]  Wherever you want.
[01:17:26.240 --> 01:17:28.480]  As we say in Caracas, in the neighborhoods.
[01:17:28.800 --> 01:17:31.280]  If you want, I want in Lomos.
[01:17:32.240 --> 01:17:32.640]  Di where.
[01:17:34.400 --> 01:17:35.280]  Control yourself.
[01:17:35.920 --> 01:17:37.440]  That will lead you to failure.
[01:17:37.920 --> 01:17:41.680]  Just like this right wing led all American politicians to failure.
[01:17:43.440 --> 01:17:45.120]  Whoever messes with me, drives up.
[01:17:45.440 --> 01:17:48.480]  Whoever messes with Venezuela, drives up in the motos.
[01:17:49.200 --> 01:17:50.080]  Do you want to fight?
[01:17:50.240 --> 01:17:51.280]  We're going to win it.
[01:17:51.520 --> 01:17:52.080]  I'm ready.
[01:17:52.320 --> 01:17:54.800]  I'm the daughter of Bolivar and Chavez.
[01:17:55.680 --> 01:17:57.440]  I am not afraid of you at all.
[01:17:57.760 --> 01:18:00.720]  Let's see what happens then and everywhere.
[01:18:01.520 --> 01:18:06.640]  As we say in Caracas, in the neighborhoods, if you want to, I want to in Los Maos.
[01:18:07.760 --> 01:18:08.400]  From where?
[01:18:12.400 --> 01:18:12.480]  Well.
[01:18:14.640 --> 01:18:16.880]  Now for the F around and find out part.
[01:18:19.760 --> 01:18:22.240]  And it's now the number one app in Venezuela.
[01:18:24.080 --> 01:18:26.240]  Revenge is a dish best served cold.
[01:18:26.320 --> 01:18:31.120]  Now we have to liberate Brazil from the communists and all their election fraud.
[01:18:31.920 --> 01:18:34.560]  So this is truly the return of the American Republic.
[01:18:36.720 --> 01:18:40.800]  It was done very, very professionally and just absolutely amazing.
[01:18:42.320 --> 01:18:46.320]  I am really stunned right now, but we got a lot of big adversaries, a lot of big things.
[01:18:46.800 --> 01:18:49.040]  We're going to be watching, you know, to see what's unfolding.
[01:18:51.120 --> 01:18:52.480]  And what happens on that front.
[01:18:53.600 --> 01:18:54.880]  Yeah, let's hear from Megs here.
[01:18:54.960 --> 01:18:55.680]  I want to take a break.
[01:18:56.160 --> 01:19:01.760]  So I've been in here for an hour and a half and I want to hit the boys room.
[01:19:03.040 --> 01:19:07.680]  And then I want to come back and talk about domestically what's unfolding, what we can expect next.
[01:19:08.240 --> 01:19:09.520]  But this is really, really a big deal.
[01:19:09.840 --> 01:19:10.480]  But just briefly.
[01:19:13.680 --> 01:19:16.400]  You understand that freedom is free.
[01:19:16.480 --> 01:19:18.880]  You understand we're in a war with the globalists of the deep state.
[01:19:19.840 --> 01:19:22.720]  And when you go to realogeshows dot com, that's a mirror.
[01:19:22.880 --> 01:19:32.880]  It's the same shopping cart as theogeshows dot com, but theogeshows dot com funds info wars that is embattled and we're not sure about its future and that's a whole other story.
[01:19:32.960 --> 01:19:34.400]  And there's a state receiver.
[01:19:34.640 --> 01:19:37.200]  They said they're going to have a sale, but it takes them forever and I don't know.
[01:19:37.360 --> 01:19:38.320]  And it's just, it's crazy.
[01:19:38.480 --> 01:19:39.360]  And it's great to support us.
[01:19:39.440 --> 01:19:46.960]  Theogeshows dot com, but all the same products, including a lot that sell out at the alexonsore.com, they hold back like knives and you name it.
[01:19:47.680 --> 01:19:49.360]  Why a selection of patriotic apparel?
[01:19:49.600 --> 01:19:57.440]  I told them I just want a straight up Christian line of stuff, you know, just to promote Christ and let everybody know, hey, you're pushing your Islam and all the rest of it.
[01:19:57.680 --> 01:19:58.320]  We're Christians.
[01:19:58.640 --> 01:20:00.640]  So kind of design, pretty simple but nice.
[01:20:01.360 --> 01:20:03.920]  It's all available at realalexjones.com.
[01:20:05.040 --> 01:20:11.680]  And they buy 2,000 knives over at the alexonsore.com, they hold back 500.
[01:20:12.320 --> 01:20:13.120]  This is sold out.
[01:20:14.560 --> 01:20:19.280]  Oh, big knives, little knives, all sorts of cool knives, come with nice little collectible cases.
[01:20:19.600 --> 01:20:20.800]  I love this little flip knife.
[01:20:20.880 --> 01:20:22.080]  There's a few of these left over there.
[01:20:25.040 --> 01:20:26.560]  High quality, really affordable.
[01:20:27.040 --> 01:20:28.320]  That's how you fund the operation.
[01:20:28.480 --> 01:20:31.680]  But what you really want to get is a supplement.
[01:20:32.000 --> 01:20:44.800]  You know, you've seen all the different guests on the air take it and just have all of the most dramatic effects because ours is the best methylene blue, way stronger than anybody else's medical grade cleans out your mitochondria most people in 15 minuteses get incredible energy, no letdown.
[01:20:44.960 --> 01:20:46.720]  But the biggest thing is the long-term effects.
[01:20:46.800 --> 01:20:47.600]  You're crazy.
[01:20:48.960 --> 01:20:54.160]  If you don't get this, we have an 80-plus percent reorder on the methylene blue, 77 percent on all the other supplements.
[01:20:54.400 --> 01:20:57.520]  Nobody's got that because it works so good.
[01:20:58.240 --> 01:20:59.760]  So get your ultramethylene blue.
[01:20:59.840 --> 01:21:02.320]  In fact, let's punch up reallox.com right now.
[01:21:02.640 --> 01:21:16.560]  There is a huge sale going on right now where you can buy any supplement already discounted and get a free bottle of Shilaji Gummies or Atomic Defense is great with all these super nutrients concentrated for your immune system and health.
[01:21:16.640 --> 01:21:18.880]  It's wonderful, especially in the winter, everyone should be taking this.
[01:21:19.120 --> 01:21:22.880]  But the Shilaji, if you don't know what Shilaji is, again, it takes an hour to get into it.
[01:21:23.840 --> 01:21:24.480]  We have the best.
[01:21:25.120 --> 01:21:36.960]  It's these natural peptides that just ooze out of the Himalayas and they don't even know where it comes from and it's millions of years old and they have earthquakes and then it comes out and not all Shilaji is the same.
[01:21:37.120 --> 01:21:39.120]  Ours is the best from the highest rated company.
[01:21:39.440 --> 01:21:40.400]  Let's proper label it.
[01:21:40.960 --> 01:21:42.800]  There's a limited time offer at Real Alexa.
[01:21:42.800 --> 01:21:43.760]  At REAL ALEX Jones dot com.
[01:21:44.080 --> 01:21:55.280]  Buy any supplementary discounted and get a free model of Atomic Defense And or the shows you got minis your choice right now at REAL ALEX Jones dot com.
[01:21:56.000 --> 01:22:09.760]  And again, there's a lot of items that have sold out at the Alexonsore dot com that are available right now at REAL ALEX Jones dot com, stuff that sold out at the Alexonsore dot com, Realx Jones dot com.
[01:22:10.240 --> 01:22:14.160]  And I need your support folks, we are Maxed out.
[01:22:15.520 --> 01:22:18.400]  We have all these legal battles, but we're winning.
[01:22:18.880 --> 01:22:22.560]  And we also with Big Lee, our sponsor, they built the Alex Jones network.
[01:22:22.720 --> 01:22:23.840]  This is just the studio.
[01:22:24.000 --> 01:22:25.360]  We got a podcasting studio.
[01:22:25.840 --> 01:22:27.120]  They bought a bigger building.
[01:22:27.440 --> 01:22:30.960]  They're building a bigger studio that rivals the ones we have over there.
[01:22:31.600 --> 01:22:35.440]  And even if Infowars gets saved, we're going to move out of that building because it's old and we've been there forever.
[01:22:35.520 --> 01:22:36.880]  We don't own it and the equipment's old.
[01:22:37.280 --> 01:22:39.920]  We're going to move that out and roll it into the new thing regardless.
[01:22:40.240 --> 01:22:42.720]  But we intend to go live nineteen hours a day.
[01:22:43.040 --> 01:22:43.600]  That's the goal.
[01:22:44.720 --> 01:22:45.440]  And that would be.
[01:22:47.040 --> 01:22:48.240]  5 a.m. to midnight.
[01:22:49.920 --> 01:22:52.080]  And reporters everywhere and just game changing.
[01:22:52.240 --> 01:22:53.360]  We've only just begun to fight.
[01:22:53.600 --> 01:22:54.960]  They wanted to take us out of the fight.
[01:22:55.840 --> 01:22:58.080]  Democrats spent hundreds of millions of dollars trying to shut us down.
[01:22:58.480 --> 01:23:00.560]  The CIA, the FBI, it's all been declassified.
[01:23:00.880 --> 01:23:02.080]  I say, a lot of it has.
[01:23:02.320 --> 01:23:02.880]  It's insane.
[01:23:04.480 --> 01:23:04.880]  This is important.
[01:23:05.120 --> 01:23:07.680]  The bad guys didn't come after us to try to shut us down for a reason.
[01:23:07.840 --> 01:23:12.240]  Think of how far we've come because of the guest and the coverage, what we've done here and you, the audience of activists.
[01:23:12.880 --> 01:23:14.000]  That's why we're so targeted.
[01:23:14.080 --> 01:23:20.000]  That's why they pay the bot farms to say i'm not real or i'm this, or I work for Israel or Qatar all this ridiculous crap.
[01:23:20.160 --> 01:23:21.520]  No, I work for you and the truth.
[01:23:21.840 --> 01:23:27.840]  I love freedom and the information we put out is known to be the most accurate and the products are incredible.
[01:23:28.080 --> 01:23:40.240]  Just like the information is accurate, it really works, and all i've got to do is induce you to go to Real-life shows.com and be part of this fight and winning this thing, because information warfare is 90 percent of the war and we are the tip of the spirit.
[01:23:40.320 --> 01:23:41.760]  You are the tip spirit.
[01:23:41.920 --> 01:23:44.400]  When you share the articles, when you share the videos, we prepare the broadcast.
[01:23:44.800 --> 01:23:50.800]  And when you go to railogshows.com and get some of the amazing products, the widest selection of patriot apparel.
[01:23:51.040 --> 01:23:52.320]  It is absolutely insane.
[01:23:53.440 --> 01:23:55.680]  I said I want the widest selection, some of the best designs.
[01:23:55.760 --> 01:23:56.480]  It's it's actually.
[01:23:57.920 --> 01:24:00.160]  There's certain shirts I'll get like a year ago and I want to find them.
[01:24:00.240 --> 01:24:01.600]  It takes me like thirty minutes to find them.
[01:24:01.680 --> 01:24:07.200]  The only problem with this much of a selection is you can get lost for days on the site.
[01:24:08.480 --> 01:24:09.440]  Just trying to go through all of it.
[01:24:09.600 --> 01:24:10.160]  It's just crazy.
[01:24:10.240 --> 01:24:15.680]  But right on the front page, yeah, yeah, because there's just constant new shirts, constant new shirts.
[01:24:15.760 --> 01:24:17.840]  You start scrolling through this, just showing what I'm talking about.
[01:24:18.000 --> 01:24:19.760]  I mean, it's just absolutely crazy.
[01:24:20.960 --> 01:24:21.680]  And it goes on and on.
[01:24:21.760 --> 01:24:26.320]  We have all the Crusader stuff, the Classic Americana stuff, the Trump stuff, the Info War stuff.
[01:24:26.480 --> 01:24:27.440]  We have comedy stuff.
[01:24:27.920 --> 01:24:30.000]  I mean, we have just all sorts of classy stuff.
[01:24:32.000 --> 01:24:33.440]  We have the Gulf of America shirts.
[01:24:33.600 --> 01:24:34.400]  I love that veteran.
[01:24:35.200 --> 01:24:40.960]  of the Info War shirt right there that I designed that it'll be popular it's very popular they keep coming up with these things with my face on it.
[01:24:41.120 --> 01:24:42.320]  Like, what is that stupid one right there?
[01:24:42.400 --> 01:24:43.600]  I'm not mad at him, but come on.
[01:24:43.840 --> 01:24:44.560]  What's that one right there?
[01:24:44.720 --> 01:24:45.440]  What's that saying?
[01:24:46.400 --> 01:24:47.680]  No, no, the one next to it.
[01:24:48.480 --> 01:24:49.120]  Now, what is this?
[01:24:49.360 --> 01:24:49.760]  The truth?
[01:24:49.840 --> 01:24:50.640]  And what is that?
[01:24:53.600 --> 01:24:54.160]  Will shock you.
[01:24:54.400 --> 01:24:56.480]  I'm not mad at him, but like, that's it.
[01:24:56.800 --> 01:25:00.080]  Like I say, some of the best designs, some of the most ridiculous hokey crap too.
[01:25:00.160 --> 01:25:01.920]  Here, I'm not mad at whoever designer.
[01:25:02.160 --> 01:25:04.880]  Just go back, to the front page.
[01:25:06.160 --> 01:25:07.760]  I want to show the one next to it though.
[01:25:08.320 --> 01:25:09.840]  Why don't you just go back to that page real quick?
[01:25:10.880 --> 01:25:11.680]  What's the one right there?
[01:25:11.840 --> 01:25:12.240]  Click that.
[01:25:12.399 --> 01:25:20.640]  is that i'm gonna be honest with you this This is intense.
[01:25:21.760 --> 01:25:25.320]  And I'm like, the pictures with me on it don't sell well.
[01:25:25.460 --> 01:25:26.899]  I don't know why they keep putting out.
[01:25:27.159 --> 01:25:30.400]  Now, the one they did with me pointing the gun at somebody that's real, that's a good seller.
[01:25:30.960 --> 01:25:31.680]  And I think that's cool.
[01:25:32.080 --> 01:25:33.200]  But I'm not a primadonna.
[01:25:33.920 --> 01:25:36.560]  And I love Bigly because they're they're they own it, they run it, they do it.
[01:25:36.640 --> 01:25:37.760]  I think a lot of recommendations.
[01:25:38.560 --> 01:25:44.160]  And I and I. We're gonna have a moratorium on Alex Jones, okay?
[01:25:44.320 --> 01:25:45.200]  Just enough of this.
[01:25:45.600 --> 01:25:47.680]  It looks like I'm a freaking nutcase lunatic.
[01:25:48.080 --> 01:25:49.840]  Yeah, look at the what is that down there at the bottom?
[01:25:49.920 --> 01:25:50.400]  Me naked?
[01:25:50.560 --> 01:25:50.960]  What is that?
[01:25:51.520 --> 01:25:54.640]  See, they're adding so many I can't even control what is it?
[01:25:55.840 --> 01:25:56.800]  What the hell is that?
[01:25:58.960 --> 01:26:00.640]  Is that like a Seinfeld joke?
[01:26:03.440 --> 01:26:04.480]  I know if I call them.
[01:26:04.640 --> 01:26:06.080]  I bet they haven't sold one of those.
[01:26:06.240 --> 01:26:06.880]  I love Bickley.
[01:26:07.040 --> 01:26:07.840]  I'm not ragging him.
[01:26:08.000 --> 01:26:36.480]  I'm just like, what the hell is that okay well that's limited edition that's going bye bye i'm not trying to be a dick here i'm like let's look at some of the shirts like what is that that's funny quality learning center no that's funny okay that's good for the minnesota oh my god like i said they got a comedy section
[01:26:38.800 --> 01:26:39.840]  These are just the newest ones this week.
[01:26:40.000 --> 01:26:40.880]  That's what I'm telling you.
[01:26:40.960 --> 01:26:42.240]  There's like 10 new shirts a week.
[01:26:42.560 --> 01:26:43.840]  I love the Crusader stuff.
[01:26:45.360 --> 01:26:45.680]  All right.
[01:26:46.320 --> 01:26:47.840]  It's just, it's just, it's insane.
[01:26:48.160 --> 01:26:49.920]  Do they, do they have a bestseller section?
[01:26:50.000 --> 01:26:51.360]  Because that, that's the really cool ones.
[01:26:52.720 --> 01:26:53.520]  I'm going to kill them.
[01:26:56.080 --> 01:26:56.400]  All right.
[01:26:57.120 --> 01:26:57.680]  I'm going to stop.
[01:26:58.000 --> 01:26:59.280]  Let's play a few of these clips.
[01:26:59.840 --> 01:27:03.520]  Here's a mags, you know, talking about how great methylene blue works for play a few more promos.
[01:27:04.239 --> 01:27:11.918]  And I got to go pee-pee, so if you sprinkle when you tinkle, be a sweetie and lift a seedy.
[01:27:12.400 --> 01:27:13.040]  I'll be right back.
[01:27:13.680 --> 01:27:18.800]  My friends know that I usually think everything is a scam from supplements and products and vitamins.
[01:27:19.200 --> 01:27:20.000]  I don't take anything.
[01:27:20.400 --> 01:27:25.840]  I usually buy it, try it, don't feel the results, end up tossing it and wasting money.
[01:27:26.400 --> 01:27:39.280]  So I love Alex Jones and the InfoWars crew and Alex kept playing this video of Robert Kennedy Jr. putting some blue drops in what looked like water and I wanted a way to support the team so I decided to.
[01:27:40.080 --> 01:27:41.520]  buy this methylene blue.
[01:27:41.680 --> 01:27:44.240]  This methylene blue is tremendous.
[01:27:44.480 --> 01:27:46.800]  I wouldn't be making this video if I didn't believe in it.
[01:27:47.200 --> 01:27:51.040]  After I take it throughout the day, I start feeling better and better and better.
[01:27:51.680 --> 01:27:52.320]  My workouts.
[01:27:52.880 --> 01:28:01.360]  I feel like I'm 15 years younger than I am, and the app that I record my running on proves that my workouts are getting better.
[01:28:01.600 --> 01:28:02.640]  So I gotta tell you what.
[01:28:03.440 --> 01:28:07.760]  God, family, country, info wars, and methylene blue.
[01:28:08.000 --> 01:28:08.840]  Get it while you can.
[01:28:13.569 --> 01:28:19.229]  Whatever the future may hold, InfoWars will always live forever.
[01:28:19.680 --> 01:28:20.800]  The fights will continue.
[01:28:21.680 --> 01:28:27.360]  Be sure to follow us on X at Real Alex Jones and at AJN Live.
[01:28:27.840 --> 01:28:31.600]  And now you can download the number one news app in the world.
[01:28:32.240 --> 01:28:41.360]  Go to alexjonesapp.com and let the Democrat Deep State Party know that we will never get be silenced.
[01:28:44.320 --> 01:28:49.200]  Alex Jones, Patriot, a man they tried to silence.
[01:28:50.160 --> 01:28:55.520]  They came for his voice, his platform, his life, but they can't stop him.
[01:28:56.800 --> 01:28:59.040]  Gentlemen, we can rebuild him.
[01:29:00.160 --> 01:29:06.000]  We have the technology, we have the capability to make the world's most unstoppable force.
[01:29:07.200 --> 01:29:08.960]  Alex Jones will be that man.
[01:29:09.040 --> 01:29:33.920]  man better than he was before better stronger faster louder go to alexjonesapp.com the number one news app in the world
[01:29:43.470 --> 01:29:49.989]  For me, with everything going on, the big takeaway is the world is in a fourth turning, a mega change.
[01:29:50.349 --> 01:29:51.389]  Globalists know that.
[01:29:51.569 --> 01:29:52.789]  Their plan is failing.
[01:29:53.048 --> 01:29:58.208]  And just because we're opposing them doesn't mean things aren't going to derail and get really, really nasty.
[01:29:58.720 --> 01:30:08.560]  It just means coming out of all these crises, we have a chance of building a civilization and having some civilization survive and then rebooting it and building something even better going into a new golden era.
[01:30:09.280 --> 01:30:13.280]  Anyone in general not rooting for Trump and his economic plans is insane.
[01:30:13.760 --> 01:30:35.200]  And for the left, not just Trump around the world, that want economic collapse, believe they're going to bring in their new socialist utopia or communist utopia on its ashes, in all the actuaries and all the futurist studies and all the reincorporation analysis and my own, there's really nobody, including the establishment, that thinks you're going to get your new world order, transhumanist, you know, communist great reset now.
[01:30:35.760 --> 01:30:37.280]  That's what everyone's rebelling against.
[01:30:37.680 --> 01:30:40.800]  That's the old system that they were trying to push as the new system.
[01:30:41.280 --> 01:30:46.320]  But just because that's falling apart, again, doesn't mean that we're out of the woods.
[01:30:46.720 --> 01:30:57.440]  And I came across articles today talking about rich enclaves in the United States, and there's others around the world, where the ultra-rich don't want to be next to a big city.
[01:30:58.000 --> 01:31:00.000]  They don't want to be next to the glitz and glamour.
[01:31:00.400 --> 01:31:13.120]  There's mass exoduses to rural areas where they're building armored redoubts where you'll have 20 to 30 to 40 rich people, and I mean people building $40 million houses and bunkers ahead of what's happening.
[01:31:13.200 --> 01:31:17.600]  And then there's even more ultra rich that have all sorts of hidden facilities in the middle of nowhere.
[01:31:18.160 --> 01:31:29.120]  The ultra, rich have giant fleets of yachts and flotillas where you've got a lot of these Google billionaires will have a line of six, seven ships, some that are just massive.
[01:31:29.680 --> 01:31:32.400]  And they own private islands in the South Pacific.
[01:31:32.560 --> 01:31:34.160]  Then they also have the extra sedators.
[01:31:34.640 --> 01:31:35.600]  They're ready to flee there.
[01:31:36.080 --> 01:31:40.640]  So that acceleration of people running from the hills and building their bunkers.
[01:31:40.800 --> 01:31:45.520]  It's been going on for a long time, but it's just peeking and peeking and peeking is a big deal.
[01:31:46.000 --> 01:31:50.960]  So when you got signs like that, it gives you a little bit of an idea of what we're navigating here.
[01:31:51.360 --> 01:31:55.280]  Yeah, here he is this year warning of Terminator-style apocalypse.
[01:31:55.440 --> 01:32:01.360]  Oh, well, you can go back to 2005, 2006, where I did reports on that, but now this information is everywhere.
[01:32:01.600 --> 01:32:06.800]  And like I've said to Zuckerberg on air and in other ways, the last few years, I said, you better come and join us.
[01:32:06.880 --> 01:32:35.680]  You better stop attacking us from behind if you think you're going to be safe in that armored fortress you've built there in Kauai think again I'm not threatening you I can tell you I love Kauai I've been there many times the last few times I went I cannot go to a store to the beach anywhere or go on a fishing trip without everybody telling me how they can't wait till things collapse to come get you I mean the villagers practically have their torches lit Well, Zuckerberg's got escape yachts as well and reportedly an escape submarine and underground hill.
[01:32:35.920 --> 01:32:37.120]  I mean, you can't make this stuff up.
[01:32:37.280 --> 01:32:40.880]  The point is guys, that's not going to protect you long term if stuff collapses.
[01:32:41.200 --> 01:32:47.600]  What's going to protect you is getting out of what you're doing and helping turn civilization and society around.
[01:32:48.080 --> 01:32:48.160]  Okay?
[01:32:48.720 --> 01:32:54.939]  And if you think during a total collapse at a few weeks or a few months into it that your security detail isn't going to turn on you, that's a whole other thing.
[01:33:05.599 --> 01:33:11.699]  It is 1210 Central Standard Time, 12 p.m., 1210 p.m.
[01:33:12.640 --> 01:33:20.320]  And I'm very honored to be here speaking with you today from the Alex Jones Network studios backups for his they were able to shut down info wars.
[01:33:20.400 --> 01:33:21.520]  Again, this is the house you built.
[01:33:22.240 --> 01:33:24.080]  Very humble, very blessed to be here with you.
[01:33:25.040 --> 01:33:27.520]  Just I don't fawn off your military operations.
[01:33:27.680 --> 01:33:29.840]  I don't like our military being under globalist control.
[01:33:30.800 --> 01:33:31.440]  It's different now.
[01:33:31.600 --> 01:33:34.000]  This is the reassertion of American sovereignty.
[01:33:34.560 --> 01:33:35.840]  The globalist order fell apart.
[01:33:36.000 --> 01:33:37.280]  China double crossed America.
[01:33:37.840 --> 01:33:39.840]  The EU, you know, try to start World War III.
[01:33:40.400 --> 01:33:41.040]  This is the only way.
[01:33:41.440 --> 01:33:44.720]  It's the smart way to keep American power to relaunch the country.
[01:33:45.920 --> 01:33:47.040]  And that's what Trump's doing.
[01:33:48.160 --> 01:33:50.960]  And you can look at him on all different issues and say he's not doing a perfect job.
[01:33:51.040 --> 01:33:52.000]  And we get on him about that.
[01:33:52.080 --> 01:33:55.840]  We try to, you know, dig the spurs in to get the administration going the way we want it.
[01:33:57.680 --> 01:34:13.600]  But most of the so called patriot influencers who are just that influencers, not historians, not real journalists, not analysts, not patriots, they know they're going to get get boosted by all the Facebook, all these accounts, all big tech, if they bash Trump.
[01:34:14.880 --> 01:34:19.520]  And so that's all they do is bash, acting like they're for Trump, acting like they're conservatives.
[01:34:19.680 --> 01:34:20.080]  They're not.
[01:34:21.360 --> 01:34:25.760]  Maduro captured Caracas bombed, no congressional authorization, Mexico City next.
[01:34:28.080 --> 01:34:29.600]  Well, Congress had a chance to block it.
[01:34:29.680 --> 01:34:30.160]  They didn't.
[01:34:30.640 --> 01:34:34.240]  China slams US hegemonic acts after strikes on Venezuela.
[01:34:34.720 --> 01:34:38.880]  Well, it's a message to you with all your war games and drills saying you're about to invade Taiwan.
[01:34:40.800 --> 01:34:42.800]  Elon Musk, congratulations, President Trump.
[01:34:43.120 --> 01:34:46.320]  This is a victory for the world and a clear message to evil dictators everywhere.
[01:34:47.760 --> 01:34:53.120]  Nicolas Maduro on board the US Iwo Jima, not a happy camper.
[01:34:54.080 --> 01:35:01.360]  And again, he's the bagman for this whole communist globalist constellation with the rogue elements, the CIA.
[01:35:02.560 --> 01:35:07.040]  And the fact that Trump could do this without those elements sabotaging it, which he talked about at the press conference.
[01:35:08.080 --> 01:35:09.680]  Congress could have tried to block this operation.
[01:35:09.760 --> 01:35:10.880]  Congress is trying to pull funding.
[01:35:10.960 --> 01:35:11.280]  They didn't.
[01:35:11.440 --> 01:35:13.200]  They said, okay, we'll just wait and see when it fails.
[01:35:15.760 --> 01:35:18.720]  But in an operation live time like this, you don't say when you're striking.
[01:35:19.920 --> 01:35:22.480]  And so, yeah, those are the war powers that could have had that debate.
[01:35:22.640 --> 01:35:23.040]  They didn't.
[01:35:27.120 --> 01:35:30.000]  And so now they're going to go back and try to act like he's a dictator.
[01:35:30.160 --> 01:35:32.080]  But make no mistake, let's play those clips again.
[01:35:32.800 --> 01:35:35.360]  17 and 15.
[01:35:36.560 --> 01:35:49.840]  As the sun rises, the celebrations from the balconies and then hundreds show up and thousands and millions as they see it's safe out there with the national flag saying down with the communists who are completely unpopular.
[01:35:51.119 --> 01:35:51.599]  Play the audio.
[01:36:05.520 --> 01:36:06.240]  They're going to be the winner.
[01:36:09.679 --> 01:36:10.479]  They are on the streets later.
[01:36:35.719 --> 01:37:04.859]  You know,
[01:37:04.920 --> 01:37:10.519]  that reminds me when they finally told the kids after two years, you can take your mask off, all those videos.
[01:37:10.719 --> 01:37:11.519]  And the kids are like, yay!
[01:37:12.858 --> 01:37:18.099]  Caused lower oxygen, higher levels of carbon dioxide, brain damage, cognitive skills.
[01:37:18.560 --> 01:37:19.520]  They knew what it was about.
[01:37:20.080 --> 01:37:20.960]  Guys, pull up the video.
[01:37:21.280 --> 01:37:25.600]  Kids celebrate, elementary students celebrate when they can take their mask off.
[01:37:25.760 --> 01:37:26.800]  We'll go to that when we come back.
[01:37:26.960 --> 01:37:30.880]  But first, here's a Venezuelan American talking about what it was like down there.
[01:37:31.040 --> 01:37:33.920]  I mean, folks, ten years ago they already ate all the dogs and cats.
[01:37:34.000 --> 01:37:36.080]  They ate the animals at the zoo 15 years ago.
[01:37:36.720 --> 01:37:38.480]  They had thousands dying a week of starvation.
[01:37:38.640 --> 01:37:39.200]  They passed a law.
[01:37:39.520 --> 01:37:40.400]  You couldn't talk about it.
[01:37:41.040 --> 01:37:43.520]  You always know the communists when you see them as they're fat and healthy.
[01:37:43.600 --> 01:37:45.200]  Everybody else was skinny and almost dying.
