[00:00:19.724 --> 00:00:21.445]  It's Wednesday, October 14th.
[00:24:45.804 --> 00:24:46.224]  For what?
[00:24:48.626 --> 00:24:49.607]  I mean, think about that.
[00:24:50.067 --> 00:24:53.370]  You're going to use taxpayer money to sue me for doing my job.
[00:24:54.471 --> 00:24:56.392]  While you don't do your job.
[00:24:56.753 --> 00:25:02.197]  President Obama's questionable sanity is now not just being noticed by mental health professionals,
[00:25:02.714 --> 00:25:05.797]  Some of his behavior seems irrational to me.
[00:25:05.817 --> 00:25:15.065]  It seems beyond that of just a typical narcissistic, arrogant, sort of, I'm a leader of a big country and I feel tyrannical at the moment, kind of attitude.
[00:25:15.145 --> 00:25:25.434]  Demonstrating behavior that is not only anti-American, but irrational and erratic and perhaps not exactly what we might want to deem sane.
[00:25:25.774 --> 00:25:29.916]  Or political activist and former presidential nominee, Lyndon LaRouche.
[00:25:30.317 --> 00:25:44.885]  If you move this president, Obama, out of office, on the basis of his charge that he's insane, that's under the 25th Amendment Section 4, he qualifies for expulsion from the presidency on the basis of that.
[00:25:45.382 --> 00:25:47.484]  Or best-selling author and former U.S.
[00:25:47.504 --> 00:25:49.625]  State Department official Steve Pchenik.
[00:26:07.239 --> 00:26:13.563]  The more you're going to be vulnerable to the American public asking questions of what did you do in Chicago when you were growing up?
[00:26:14.003 --> 00:26:15.024]  While you were married?
[00:26:15.084 --> 00:26:16.185]  Before you were married?
[00:26:16.485 --> 00:26:18.066]  Before you were educated?
[00:26:18.146 --> 00:26:20.367]  What kind of education did you really have?
[00:26:20.667 --> 00:26:27.872]  Let's look at really what you did, because the more stupid things you say and you do to the American public, the more vulnerable you become.
[00:26:27.932 --> 00:26:31.054]  And go ask Axelrod, who's not the brightest guy in the world.
[00:26:31.414 --> 00:26:37.438]  And ask your own heads of national intelligence who remain there because they get pensions and they get double pensions.
[00:26:37.479 --> 00:26:43.443]  These are not the same guys from the 90s and 80s who worked for Bush and Reagan who really sacrificed their lives.
[00:26:43.743 --> 00:26:48.787]  These are guys who earned their pensions, remained there, and really have never been in the outside world.
[00:26:48.827 --> 00:26:53.130]  So I want this president to keep on attacking me and you and the American public
[00:26:53.490 --> 00:26:58.634]  To come out with more and more stupidity, because underneath it all, he's not just a liar.
[00:26:58.734 --> 00:27:00.115]  He knows he's a sociopath.
[00:27:00.195 --> 00:27:02.676]  He knows it from the day he was born he's a sociopath.
[00:27:02.896 --> 00:27:06.899]  You don't get to be President of the United States unless you want to manipulate the even lie.
[00:27:07.139 --> 00:27:09.581]  But this is not a man who's basically all that bright.
[00:27:10.041 --> 00:27:12.483]  In the same way Condoleezza was not very bright.
[00:27:12.823 --> 00:27:14.064]  We know Bush Jr.
[00:27:14.104 --> 00:27:14.684]  was stupid.
[00:27:15.185 --> 00:27:17.886]  Clinton was very bright, but he's a bright liar.
[00:27:18.127 --> 00:27:19.888]  This man is not even a bright liar.
[00:27:20.270 --> 00:27:24.073]  But now an entire country has voiced its concern.
[00:27:24.593 --> 00:27:41.747]  John Schindler, a security expert and whistleblower who now writes for the Daily Beast, has claimed that a senior EU official from an undisclosed country also inquired about the impeachment proceedings, saying that the nation believes Obama is not fit for office.
[00:27:42.147 --> 00:27:44.409]  Schindler tweeted out the revelation Monday.
[00:27:44.849 --> 00:27:49.033]  It read, Had a senior EU diplomat, old friend, ask me today.
[00:27:49.733 --> 00:27:51.194]  How does your impeachment work?
[00:27:51.754 --> 00:27:55.577]  My government believes Obama is quite mentally unwell.
[00:27:56.057 --> 00:28:03.601]  In fact, the submissive, domesticated Obama supporters at this point have to be suffering varying degrees of psychosis.
[00:28:04.022 --> 00:28:08.945]  You would have to be delusional to ignore Obama's shrouded upbringing by communist Muslims.
[00:28:09.525 --> 00:28:29.151]  His former identity as Barry Sotero, an Indonesian foreign exchange student with confidential college records that rose to prominence traversing Marxist-Socialist circles, catapulted into the political landscape due to funds provided by shadowy foreign backers and New World Order strategist George Soros.
[00:28:29.631 --> 00:28:33.674]  President Obama has now shown almost all of the cards in his hand.
[00:28:33.954 --> 00:28:35.295]  After decimating the U.S.
[00:28:35.335 --> 00:28:38.117]  military, aiding and abetting the assault of the U.S.
[00:28:38.157 --> 00:28:58.753]  Constitution, increasing our national debt, creating a mandatory health care tax to destroy the middle class, engaging in divide-and-conquer leadership, and overseeing the policies and trade deals that serve as a Trojan horse for an emerging, corporacratic, global government, you would have to be mentally ill to oppose prosperity.
[00:28:59.153 --> 00:29:07.835]  Humanity has an unlimited potential, massively overshadowing the potential of the New World Order beast's technocratic eugenics plan.
[00:29:08.136 --> 00:29:13.117]  Our sovereign individual national identities have to be maintained and developed.
[00:29:13.537 --> 00:29:20.679]  It is only through this method of human innovation that all of our greatest and sanest achievements have been obtained.
[00:29:21.259 --> 00:29:23.480]  John Bowne for InfoWars.com
[00:30:10.177 --> 00:30:15.018]  As a community moves towards despotism, respect is restricted to fewer people.
[00:30:17.919 --> 00:30:26.620]  That's veteran Denver Police Officer Charles Jones IV smashing an unarmed suspect in the face six times.
[00:30:27.161 --> 00:30:31.441]  Officers accused of using excessive force on a suspect and then trying to erase the evidence.
[00:30:31.461 --> 00:30:33.962]  I'm observing what they're doing and they're harassing me.
[00:30:33.982 --> 00:30:36.262]  I don't understand what's going on.
[00:30:36.282 --> 00:30:39.023]  A community rates low on an information scale.
[00:30:39.821 --> 00:30:45.799]  When the press, radio, and other channels of communication are controlled by only a few people.
[00:30:46.681 --> 00:30:54.163]  Does it raise ethical questions about the use of government money to produce stories about the government that wind up being aired with no disclosure that they were produced by the government?
[00:30:54.444 --> 00:30:55.684]  How can you ask such a question?
[00:30:55.724 --> 00:30:58.905]  What difference at this point does it make?
[00:30:58.925 --> 00:31:06.167]  When a competent observer looks for signs of despotism in the community, he looks beyond fine words and noble phrases.
[00:31:06.327 --> 00:31:13.650]  There are actions I have the legal authority to take as president that will help make our immigration system more fair and more just.
[00:31:14.810 --> 00:31:16.751]  Tonight, I'm announcing those actions.
[00:31:17.012 --> 00:31:18.753]  What I say go, see?
[00:31:19.533 --> 00:31:20.975]  I'm the law around here.
[00:31:20.995 --> 00:31:26.018]  He came, you saw, he died.
[00:31:29.415 --> 00:31:37.138]  We just have to be repetitive about this.
[00:31:37.178 --> 00:31:44.141]  We need to do this every day of the week and just really brainwash people into thinking about guns in a vastly different way.
[00:31:44.601 --> 00:31:46.722]  We are trained to deceive if we have to.
[00:31:47.002 --> 00:31:48.482]  You really don't have to trust me.
[00:31:48.522 --> 00:31:49.303]  You shouldn't trust me.
[00:31:49.343 --> 00:31:52.844]  In fact, by my actually participating that, I will taint the news.
[00:31:53.424 --> 00:31:56.826]  In communities of this kind, despotism stands a good chance.
[00:31:58.586 --> 00:32:04.549]  Nine most terrifying words in the English language are, I'm from the government and I'm here to help.
[00:32:04.569 --> 00:32:05.629]  Helping is you?
[00:32:05.669 --> 00:32:09.711]  Well, we're going to do everything we can to help you.
[00:32:09.731 --> 00:32:13.212]  Resistance to tyrants is obedience to God.
[00:32:13.833 --> 00:32:16.134]  It's the Alex Jones Show.
[00:32:16.514 --> 00:32:19.395]  Because there is a war on, for your mind.
[00:32:29.460 --> 00:32:31.544]  I might as well just...
[00:33:13.761 --> 00:33:16.503]  Are you ready to show your disapproval for Hillary Clinton?
[00:33:16.863 --> 00:33:21.787]  Get your Hillary for Prison 2016 t-shirt today at the InfoWars store.
[00:33:22.127 --> 00:33:25.710]  Hurry up, because these things are selling out faster than Hillary Clinton.
[00:33:29.093 --> 00:33:31.655]  This is an American president.
[00:33:31.995 --> 00:33:35.818]  Just add puppet, then vote and repeat every four years.
[00:33:45.948 --> 00:33:50.951]  Introducing Secret 12, the new InfoWarsLife vitamin B12 formulation.
[00:33:51.132 --> 00:34:01.078]  Now, InfoWarsLife.com is excited to announce that we can bring you our most bioactive, powerful form of B12 that has been developed with our exclusive perfected process.
[00:34:01.398 --> 00:34:07.402]  Secret 12 is a binary of nutrimedical grade, bioavailable coenzyme forms of B12.
[00:34:07.643 --> 00:34:12.346]  Secure your revolutionary Secret 12 formula right now at InfoWarsLife.com or call 888-253-3139.
[00:34:16.488 --> 00:34:17.529]  I'm running for president.
[00:34:17.929 --> 00:34:21.112]  Everyday Americans need a champion, and I want to be that champion.
[00:34:21.412 --> 00:34:26.035]  I'm hitting the road to earn your vote, and I hope you'll join me on this journey.
[00:34:27.816 --> 00:34:36.842]  Alex Jones here to tell you about how you can help spread liberty worldwide, while also enjoying what I have found to be the best tasting, 100% organic coffee on the planet.
[00:34:36.902 --> 00:34:45.028]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[00:34:45.288 --> 00:34:50.030]  We have now managed to secure these sought-after beans in a highly customized blend.
[00:34:50.110 --> 00:34:56.894]  Discover and try a bag of the Patriot Blend 100% Organic Coffee at Infowarslife.com.
[00:34:56.954 --> 00:35:04.057]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[00:35:04.138 --> 00:35:11.001]  Hands down, this is my favorite coffee, and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[00:35:11.161 --> 00:35:12.041]  Another major health threat.
[00:35:29.206 --> 00:35:34.071]  This one in Toledo, Ohio, where everybody in the entire city has been told not to drink the water.
[00:35:34.151 --> 00:35:36.793]  Ohio's governor declaring a state of emergency.
[00:35:36.833 --> 00:35:43.600]  Did you know that the average person uses about 80 to 100 gallons of water at home every single day?
[00:35:43.880 --> 00:35:46.742]  If there's a water emergency, will you be prepared?
[00:35:46.883 --> 00:35:49.805]  Panicked residents forming long lines throughout the day.
[00:35:49.825 --> 00:35:51.807]  We're here at a supermarket in Toledo.
[00:35:51.847 --> 00:35:54.650]  You can see the shelves empty where water once was.
[00:35:54.770 --> 00:36:00.276]  To stay safe and healthy during a crisis, you must have access to safe, clean water.
[00:36:00.476 --> 00:36:03.980]  Water which will not be available at your local grocery store.
[00:36:04.000 --> 00:36:06.963]  There's a mad dash on right now to stock up on supplies.
[00:36:06.983 --> 00:36:14.190]  The ProPure ProOne G2.0 water filtration system is a must-have for every modern, independently-minded household.
[00:36:14.411 --> 00:36:17.434]  Protect your family's safety during an emergency.
[00:36:17.614 --> 00:36:24.600]  Go to Infowarsstore.com today to purchase your ProPure Pro1 G2.0 Water Filtration System or call 1-888-253-3139.
[00:36:29.639 --> 00:36:38.681]  We are back on InfoWars Nightly News and Louder With Crowder is reporting University reverses gender-neutral bathroom experiment.
[00:36:39.281 --> 00:36:42.442]  Gender-neutral bathrooms, they're all the politically correct rage.
[00:36:43.002 --> 00:36:45.043]  Or not, as this case shows.
[00:36:45.383 --> 00:36:50.044]  Local school boards across the US continue to reject the idea of bathroom swapping.
[00:36:50.444 --> 00:36:56.586]  And now a university which had previously embraced the concept has closed its gender-neutral bathroom doors for good.
[00:36:57.306 --> 00:37:10.793]  In a shocking discovery, the University of Toronto recently found that allowing gender-neutral bathrooms increased the rate of voyeurism, or to use the more common English, peeping, also known as being a sicko and a pervert.
[00:37:11.213 --> 00:37:21.478]  Because what they found, not very surprising, is that allowing young men with raging hormones to use the same bathroom as young women is not a good idea.
[00:37:21.858 --> 00:37:24.420]  So basically they had this experiment, you know, in the name of
[00:37:25.060 --> 00:37:32.325]  sensitivity and progressivism towards transgender people to allow men to use female bathrooms and vice versa.
[00:37:32.866 --> 00:37:44.074]  All that ended up happening was literally the men would go in, stand on the stalls with their cell phone cameras and start taking videos of naked women as they showered.
[00:37:44.394 --> 00:37:47.056]  Again, all in the name of cultural sensitivity.
[00:37:47.416 --> 00:37:49.538]  So it completely backfired.
[00:37:50.018 --> 00:37:52.761]  But not a word of complaint from feminists.
[00:37:53.121 --> 00:38:01.108]  Of course, we have them pushing this mantra over and over again, whining about a college campus rape culture that doesn't exist.
[00:38:01.589 --> 00:38:05.633]  They claim that one in five college girls are victims of rape.
[00:38:05.673 --> 00:38:10.997]  It turns out that they're less likely to be raped than the general female population outside of college.
[00:38:11.638 --> 00:38:20.944]  But now with this policy, again to appease cultural sensitivities to be politically correct, they're basically allowing men to film naked women.
[00:38:21.464 --> 00:38:24.346]  Because again, it's all about the oppression Olympics.
[00:38:24.686 --> 00:38:31.630]  You know, transgender sensitivities rank higher than actually protecting women from perverts.
[00:38:31.970 --> 00:38:33.831]  So that's the way it's going to stay.
[00:38:34.152 --> 00:38:39.435]  And they've indicated that even though this has been a complete failure, and that it's resulted in voyeurism,
[00:38:39.775 --> 00:38:57.528]  That it's resulted in men claiming that they feel like females for that particular day, going in and literally trying to get nudes on their cell phones, that they may indeed continue with this policy, because it's more important to be politically correct than to actually protect women from perverts.
[00:38:57.648 --> 00:39:01.291]  Again, completely ludicrous, but all in the name of PC.
[00:39:02.592 --> 00:39:05.517]  Rushdie warns of new dangers to free speech in the West.
[00:39:05.537 --> 00:39:06.699]  This is out of Yahoo News.
[00:39:07.200 --> 00:39:15.034]  Violence against writers and a misplaced sense of political correctness pose new dangers to freedom of speech in the West, writer Salman Rushdie said on Tuesday.
[00:39:16.092 --> 00:39:30.098]  Rushdie, the subject of an Iranian death threat in 1989 for his book The Satanic Verses, which was deemed blasphemous by many Muslims, said he had not expected freedom of expression to come under attack again to this extent in the Western world.
[00:39:30.598 --> 00:39:32.059]  And this is the key quote.
[00:39:32.299 --> 00:39:34.400]  Listen to what he said about universities.
[00:39:35.640 --> 00:39:43.351]  The idea that students should not be intellectually challenged at universities is exactly why we should fight.
[00:39:43.832 --> 00:39:50.942]  So again, he's calling out universities for imposing safe spaces, trigger warnings in literature,
[00:39:51.483 --> 00:40:04.572]  Literally trying to protect students who should go to universities to have free, vigorous and open debate, have their ideas challenged, propose their own ideas and expect them to be challenged.
[00:40:04.992 --> 00:40:10.056]  They're now being protected, again, all in the name of political correctness.
[00:40:10.516 --> 00:40:18.442]  Trigger warnings, safe spaces where they can literally hide away and know and be guaranteed that their ideas won't be challenged.
[00:40:18.982 --> 00:40:25.424]  Manchester University recently had an event called, Does Feminism Have a Problem with Free Speech?
[00:40:25.964 --> 00:40:34.307]  Before the event began, they banned both an anti-feminist and a feminist from taking part in that debate.
[00:40:34.787 --> 00:40:39.749]  A debate about questioning whether feminism has a problem with censorship.
[00:40:40.109 --> 00:40:42.170]  So again, complete hypocrisy.
[00:40:43.050 --> 00:40:46.812]  And it goes down, it drills to the heart of the matter, which is what I've made a video about.
[00:40:47.272 --> 00:40:53.856]  Classical liberals are horrified by the damage that progressivism has done to the left.
[00:40:54.256 --> 00:40:58.238]  Which is why now we see a backlash, which is cultural libertarianism.
[00:40:58.599 --> 00:41:03.801]  And that is why it's resonating so powerfully with many classical liberals.
[00:41:04.222 --> 00:41:08.204]  Because they defend classical liberal principles of free speech.
[00:41:08.544 --> 00:41:18.330]  You don't have to agree with somebody's political stance, but you have to tolerate their right to make that argument, and your right to strike back with your own ideas.
[00:41:18.850 --> 00:41:30.418]  And in fact, Edward Snowden came out last night with a tweet which has offended all the social justice warriors, basically again challenging these universities that have banned free speech, again in Manchester.
[00:41:31.218 --> 00:41:34.239]  An event called, Does Feminism Have a Problem with Censorship?
[00:41:34.579 --> 00:41:39.460]  The first thing they did, the very first thing they did, was ban two people.
[00:41:39.900 --> 00:41:42.601]  One of which was a feminist called Julie Bindle.
[00:41:42.941 --> 00:41:45.082]  Now this is a woman that writes for The Guardian.
[00:41:45.482 --> 00:41:47.842]  She's been on national television a number of times.
[00:41:48.503 --> 00:41:53.704]  She, in an interview recently, said that all men should be put in concentration camps
[00:41:54.284 --> 00:41:59.068]  And that anyone else could be given visitation rights to see them in those concentration camps.
[00:41:59.528 --> 00:42:05.073]  Again, a completely ludicrous idea, but I agree that she should have the right to say such things.
[00:42:05.653 --> 00:42:10.117]  They banned her because she doesn't agree with this transgender rights push.
[00:42:10.477 --> 00:42:16.602]  And then on the other side, they had an anti-feminist, Milo Yiannopoulos, who has been controversial
[00:42:17.122 --> 00:42:25.727]  The next great battle in defending the principles of freedom and true individuality won't be fought against authoritarianism emanating from the state.
[00:42:25.747 --> 00:42:28.788]  It will be fought against authoritarians imposing their dogma through
[00:42:46.738 --> 00:42:50.002]  This is a culture war.
[00:42:50.322 --> 00:42:58.372]  And the more progressivism demands absolute obedience to its doctrine, the more regressive it reveals itself to be.
[00:42:58.512 --> 00:43:05.941]  Progressivism is the new Puritanism, and that's why many traditional left-wingers are abandoning it in droves.
[00:43:06.121 --> 00:43:11.842]  Throughout history, society has persecuted, maligned and silenced truth-tellers.
[00:43:11.962 --> 00:43:16.763]  Those who dared challenge the consensus faced oppression from the state.
[00:43:16.923 --> 00:43:20.204]  But modern-day persecution takes different forms.
[00:43:20.364 --> 00:43:23.784]  Prime amongst them is peer pressure and ostracism.
[00:43:24.144 --> 00:43:32.966]  Given their natural proclivity for intolerance, progressives are more likely to socially shun anyone who doesn't parrot their rhetoric.
[00:43:33.186 --> 00:43:44.734]  Amongst younger generations this has functioned as an efficient means of ensuring that libertarian and conservative perspectives on the major social issues of our time remain on the fringes.
[00:43:44.974 --> 00:43:55.481]  Somehow we've been browbeaten into thinking that challenging the progressive consensus on any issue will leave us estranged, alienated and miserable.
[00:43:55.701 --> 00:43:59.204]  Even though the facts show that liberals are unhappier, poorer,
[00:43:59.864 --> 00:44:07.530]  And despite their obsession with virtue signaling, FOSS stingier than conservatives when it comes to donating to charity.
[00:44:07.670 --> 00:44:08.211]  Unfigured.
[00:44:08.251 --> 00:44:16.077]  But the progressive establishment has a problem because contrarianism is becoming cool once again.
[00:44:16.177 --> 00:44:23.663]  Politically we've shifted to the left to such a degree that the hunger for non-conformist thought and opinion is raging.
[00:44:23.783 --> 00:44:24.103]  I want the truth!
[00:44:24.123 --> 00:44:24.824]  And it only makes common sense.
[00:44:24.844 --> 00:44:25.545]  Fewer and fewer people
[00:44:40.643 --> 00:44:43.104]  Or resonating with the progressive mantra.
[00:44:43.144 --> 00:44:47.305]  People are sick to the back teeth of being told what to think.
[00:44:47.505 --> 00:44:53.427]  They're tired of progressives telling them what to feel about absolutely everything.
[00:44:53.627 --> 00:44:55.488]  What opinions they need to adopt.
[00:44:55.948 --> 00:45:00.292]  to earn social brownie points from their trendy liberal friends.
[00:45:00.493 --> 00:45:08.881]  They've had it with the unbridled imposition of political correctness and cultural relativism by the Thought Police.
[00:45:09.061 --> 00:45:18.330]  Classical liberals are now so horrified by what the modern left has become that they're no longer comfortable describing themselves as left-wing.
[00:45:18.550 --> 00:45:27.819]  We are just constantly hounded by the politically correct assholes out there who want to turn this country into a place that I don't want to live in.
[00:45:27.919 --> 00:45:34.365]  They've had enough of progressives resorting to censorship and authoritarianism to shut down debate.
[00:45:34.505 --> 00:45:42.373]  Progressivism is a movement which depends on the deliberate obfuscation of facts and objective reality for survival.
[00:45:42.473 --> 00:45:43.554]  But in so doing,
[00:45:43.874 --> 00:45:47.296]  Progressivism has revealed its true face.
[00:45:47.576 --> 00:45:56.860]  A wasteland of enforced cult-like dogmas, allied with ruthless intellectual intolerance and the elimination of all dissent.
[00:45:57.061 --> 00:45:59.182]  But a new social movement is rising.
[00:45:59.662 --> 00:46:03.824]  An intellectually honest revolt, which places at its core
[00:46:04.284 --> 00:46:07.647]  A renewed reverence for objective reality.
[00:46:07.967 --> 00:46:11.391]  A movement which rejects the failed tenets of post-modernism.
[00:46:11.571 --> 00:46:12.512]  I'm a human being!
[00:46:12.632 --> 00:46:13.432]  God damn it!
[00:46:13.793 --> 00:46:14.974]  My life has value!
[00:46:14.994 --> 00:46:20.138]  A movement which repudiates the pseudo-intellectual notion that there is no objective truth.
[00:46:20.679 --> 00:46:24.602]  Conservatism is the new counter-culture.
[00:46:24.863 --> 00:46:30.448]  And it's now poised to banish progressivism to the ash heap of history.
[00:46:38.061 --> 00:46:44.387]  I began to get into iodine a few years ago because it was helping me and my family so much get healthy and detoxify.
[00:46:44.727 --> 00:46:46.208]  I believe our research is conclusive.
[00:46:46.228 --> 00:46:47.610]  This is the best iodine out there.
[00:46:47.890 --> 00:46:48.991]  And I know this for a fact.
[00:46:49.552 --> 00:46:54.336]  Nobody else has got iodine based on these pure crystals, ladies and gentlemen.
[00:46:54.436 --> 00:46:58.540]  For a limited time, experience the ancient power of Survival Shield X2.
[00:46:58.940 --> 00:47:00.401]  I believe our research is conclusive.
[00:47:00.421 --> 00:47:01.763]  This is the best iodine out there.
[00:47:01.803 --> 00:47:03.925]  Take advantage of this at InfoWarsLife.com.
[00:47:07.915 --> 00:47:12.757]  And why wearing a Hillary for President t-shirt might get you punched in the face?
[00:47:13.157 --> 00:47:15.018]  They thought it said Hillary for President.
[00:47:15.878 --> 00:47:20.339]  He said, I was seconds away from sending my bar back over here to punch you in the face.
[00:47:20.579 --> 00:47:24.441]  Since you're wearing a Hillary for Prison shirt, you don't have to buy drinks here.
[00:47:24.721 --> 00:47:25.821]  Everything's on the house.
[00:47:26.301 --> 00:47:27.362]  Hillary for President!
[00:47:28.022 --> 00:47:29.723]  Hillary's not surging, I tell you that.
[00:47:29.763 --> 00:47:30.503]  They're not saying that.
[00:47:31.503 --> 00:47:32.164]  They're not saying that.
[00:47:32.944 --> 00:47:33.264]  Thank you.
[00:48:04.986 --> 00:48:05.566]  There you have it.
[00:48:05.646 --> 00:48:08.407]  Donald Trump endorses Hillary for prison.
[00:48:08.987 --> 00:48:13.109]  Get your Hillary for prison 2016 t-shirt at the Infowars store.
[00:48:13.389 --> 00:48:16.010]  And on the back it says, legalize freedom.
[00:48:16.430 --> 00:48:20.151]  Show your disapproval of Hillary by buying your t-shirt today.
[00:48:20.231 --> 00:48:21.711]  But what she's done is criminal.
[00:48:22.872 --> 00:48:25.453]  This is an American president.
[00:48:25.793 --> 00:48:26.933]  Just add puppet.
[00:48:27.313 --> 00:48:29.634]  Then vote and repeat every four years.
[00:48:41.220 --> 00:48:47.632]  Well of course, last night we had the first democratic presidential debate, labelled BORING by Donald Trump.
[00:48:48.013 --> 00:48:53.262]  If you didn't have the attention span to watch the whole thing, we've put together this highlight package.
[00:48:53.322 --> 00:48:54.084]  Let's take a look.
[00:48:55.390 --> 00:49:04.316]  The first is the issue of who should be kept from having guns and using firearms and we have done not a good job on that.
[00:49:04.336 --> 00:49:12.101]  A lot of them are criminals and a lot of the people are getting killed are members of gangs inside our urban areas and a lot of them are mentally incapacitated.
[00:49:12.341 --> 00:49:16.004]  We don't want any more psychics around.
[00:49:16.224 --> 00:49:17.985]  We see it from big pharmaceuticals.
[00:49:31.636 --> 00:49:40.461]  But we have to respect the tradition in this country of people who want to defend themselves and their family from violence.
[00:49:40.681 --> 00:49:43.403]  People are going back and forth here for 10 minutes here.
[00:49:44.143 --> 00:49:49.266]  There are people at high levels in this government who have bodyguards.
[00:49:49.286 --> 00:49:51.168]  24 hours a day.
[00:49:51.348 --> 00:49:52.949]  Woah, someone's actually going to say something.
[00:49:52.969 --> 00:49:53.729]  Good for you, Jim.
[00:49:53.769 --> 00:49:55.230]  Hashtag Disarm Obama.
[00:49:57.131 --> 00:49:57.632]  They're family.
[00:50:14.014 --> 00:50:14.174]  What?
[00:50:14.194 --> 00:50:20.656]  If you're going to talk about criminal justice reform, why don't you talk about making the government obey our due process.
[00:50:20.976 --> 00:50:27.217]  And that's not just the drug war, that's all the regulatory agencies who ignore our presumption of innocence.
[00:50:27.377 --> 00:50:33.018]  Well, Hillary said we need to listen to Obama's UN agenda on policing.
[00:50:33.119 --> 00:50:33.799]  Yeah, yeah.
[00:50:35.655 --> 00:50:37.156]  That's what we're going to get.
[00:50:37.236 --> 00:50:38.357]  It's getting hard.
[00:50:38.377 --> 00:50:39.918]  The global police force.
[00:50:39.978 --> 00:50:41.579]  We've got bigger bubbles now.
[00:50:41.720 --> 00:50:42.860]  We're ready for more bubbles.
[00:50:42.880 --> 00:50:44.081]  You got the accent, Rob.
[00:50:44.101 --> 00:50:45.923]  That was actually Bernie Sanders.
[00:51:04.420 --> 00:51:05.361]  Yeah, that'll solve everything.
[00:51:05.401 --> 00:51:06.682]  Hey, why stop at $15?
[00:51:06.762 --> 00:51:07.623]  I want to be really rich.
[00:51:08.003 --> 00:51:09.805]  Let's make it $50 an hour.
[00:51:10.025 --> 00:51:10.906]  Then we'll all be rich.
[00:51:11.266 --> 00:51:14.249]  I hate this whole argument of raising minimum wage.
[00:51:14.309 --> 00:51:17.492]  What an idiot.
[00:51:17.732 --> 00:51:21.595]  The thing is, Republicans won't fight against it.
[00:51:21.635 --> 00:51:23.457]  They'll just say, no, no, don't go that high.
[00:51:23.477 --> 00:51:27.521]  And it's like, hey, just have the Federal Reserve print more money and we'll all be wealthy.
[00:51:28.021 --> 00:51:32.702]  That's the naivete of the American public, and they can get away with that time and time again.
[00:51:32.983 --> 00:51:38.224]  You don't make yourself rich by printing pieces of paper and giving everybody a raise.
[00:51:38.424 --> 00:51:41.305]  It's just, everybody has to pay more for everything else.
[00:51:41.365 --> 00:51:42.245]  It's just that simple.
[00:51:42.525 --> 00:51:43.926]  We've been down this road before.
[00:51:44.646 --> 00:51:47.407]  Why should the government be telling us how much we can pay each other?
[00:51:47.467 --> 00:51:49.668]  That ought to be something that's decided voluntarily.
[00:51:49.688 --> 00:52:01.793]  And of course, if we didn't have a few corporations that had control, absolute control of the government in terms of regulations and everything else, establishing barriers for competition, then we would have a free market.
[00:52:01.853 --> 00:52:03.153]  That's what we don't have here.
[00:52:03.173 --> 00:52:05.574]  We haven't tried a free market in this country for a long time.
[00:52:05.714 --> 00:52:07.315]  It hasn't been this bad since the 1920s.
[00:52:07.355 --> 00:52:14.641]  They're not going to bring in open borders and talk about how we've exported jobs and imported workers.
[00:52:15.022 --> 00:52:19.646]  All the jobs have gone to foreign workers, both legal and illegal immigrants.
[00:52:20.792 --> 00:52:24.356]  She just said the economy does better when you have a Democrat in the White House.
[00:52:24.717 --> 00:52:25.037]  Oh yeah.
[00:52:25.057 --> 00:52:26.499]  She said it hasn't been this bad since the 1920s, I know.
[00:52:26.519 --> 00:52:27.440]  Yeah, she's around then, right?
[00:52:27.460 --> 00:52:28.020]  We need a Democrat!
[00:52:28.040 --> 00:52:29.041]  Screw it up even further.
[00:52:38.092 --> 00:52:40.234]  I respect the passion and intensity.
[00:52:40.254 --> 00:52:51.166]  I represented Wall Street as a senator from New York, and I went to Wall Street in December of 2007, before the big crash that we had, and I basically said, cut it out.
[00:52:51.666 --> 00:52:53.128]  Quit foreclosing on homes.
[00:52:53.148 --> 00:52:56.612]  If you don't stop doing that, I'm not going to take money from you, Goldman Sachs.
[00:52:56.912 --> 00:52:57.792]  Cut it out, guys.
[00:52:57.852 --> 00:52:59.873]  I'm going to refuse to take that money if you don't stop this.
[00:52:59.893 --> 00:53:02.293]  I have thought deeply and long about... Wow.
[00:53:02.453 --> 00:53:03.574]  Oh, look at CNN money.
[00:53:03.734 --> 00:53:06.394]  ...exactly what I think both the senator and the governor want.
[00:53:06.614 --> 00:53:07.975]  That's bad, okay?
[00:53:08.675 --> 00:53:09.815]  Cut it out.
[00:53:09.875 --> 00:53:11.216]  You guys are stopping now, eh?
[00:53:11.236 --> 00:53:15.037]  ...have the potential of actually sending the executives to jail.
[00:53:15.477 --> 00:53:20.258]  Nobody went to jail after a hundred billion dollars... You want to talk about someone going to jail, woman?
[00:53:21.358 --> 00:53:21.699]  I know.
[00:53:22.039 --> 00:53:27.322]  Nobody went to jail in the Obama administration that you're a part of, even when they were laundering money for drug cartels.
[00:53:27.342 --> 00:53:31.084]  They gave them their own private window at the Senator Lowell cartel, El Chapo.
[00:53:31.104 --> 00:53:33.205]  They gave him his own private window.
[00:53:33.625 --> 00:53:35.146]  Nobody went to jail.
[00:53:36.947 --> 00:53:40.349]  Governor Chafee, you've attacked Secretary Clinton for being too close to Wall Street banks.
