[00:00:19.884 --> 00:00:22.129]  It's September 23rd, 2015.
[00:28:41.016 --> 00:28:43.736]  We set up a culture of submission.
[00:28:44.497 --> 00:28:46.677]  When you give in to us and do whatever you're told.
[00:28:47.377 --> 00:28:51.319]  So, mommies and daddies, show your kids where they're coming.
[00:28:51.719 --> 00:28:52.979]  This is their new heaven.
[00:28:53.359 --> 00:28:54.980]  This is the gods you worshipped.
[00:28:55.640 --> 00:28:59.021]  You think we're going to stop with 54 million aborted babies in America?
[00:28:59.841 --> 00:29:01.462]  We're gonna keep the babies alive.
[00:29:01.722 --> 00:29:03.083]  We're gonna sell their organs.
[00:29:03.383 --> 00:29:04.764]  We're gonna kill the old people.
[00:29:04.784 --> 00:29:06.244]  We're gonna kill the vets.
[00:29:06.505 --> 00:29:07.925]  We're gonna cut their funding off.
[00:29:08.165 --> 00:29:10.266]  We got death lists, death panels.
[00:29:10.827 --> 00:29:11.547]  You want death?
[00:29:11.567 --> 00:29:12.388]  You're gonna get it.
[00:29:12.848 --> 00:29:14.028]  It's what you're looking for.
[00:29:14.309 --> 00:29:15.389]  It's what you're begging for.
[00:29:15.449 --> 00:29:16.570]  It's what we're gonna give you.
[00:29:17.050 --> 00:29:18.171]  This is what you asked for.
[00:29:19.091 --> 00:29:23.936]  So now a message from the former pedophiles to now the heroes.
[00:29:24.116 --> 00:29:26.318]  A message from the heroes to the slaves.
[00:29:27.059 --> 00:29:30.683]  You're going to see us, mark my words, on ESPN getting Courage Awards.
[00:29:31.403 --> 00:29:32.444]  Mark my words.
[00:29:32.545 --> 00:29:33.486]  Put the kids over there.
[00:29:33.506 --> 00:29:34.326]  We'll get them in a minute.
[00:29:34.807 --> 00:29:36.909]  Ha, another shipment.
[00:29:36.969 --> 00:29:37.449]  Ha ha ha.
[00:29:37.570 --> 00:29:38.751]  Suck their souls out.
[00:29:39.151 --> 00:29:41.033]  Take their innocence and destroy it.
[00:29:41.473 --> 00:29:42.555]  You're going to see us.
[00:29:45.011 --> 00:29:52.438]  You're gonna see us being worshipped by the time you're done, because there's nothing we won't put up with scum.
[00:29:52.838 --> 00:29:54.559]  So crawl in your hole and die.
[00:29:54.920 --> 00:29:56.841]  The Earth belongs to us now.
[00:29:57.142 --> 00:29:59.344]  Your children belong to us now.
[00:29:59.744 --> 00:30:01.525]  Submit to the New World Order.
[00:30:01.926 --> 00:30:03.547]  Submit to liberalism.
[00:30:03.928 --> 00:30:05.369]  Submit to cleanliness.
[00:30:05.825 --> 00:30:07.287]  Give us full control!
[00:30:07.507 --> 00:30:08.568]  Ha ha ha ha ha!
[00:30:09.329 --> 00:30:11.912]  Brought to you by the P.B.P.
[00:30:11.992 --> 00:30:12.713]  Network.
[00:30:13.274 --> 00:30:16.537]  Cause your children belong to us!
[00:30:16.858 --> 00:30:18.960]  Ha ha ha ha ha!
[00:30:19.401 --> 00:30:25.187]  DynCorp was exposed for having been involved in the buying and selling of young women and children.
[00:30:26.158 --> 00:30:38.784]  While all of this was going on, DynCorp kept the Pentagon contract to administer the smallpox and anthrax vaccines, and is now working on a plague vaccine through the Joint Vaccine Acquisition Program.
[00:30:40.005 --> 00:30:42.186]  Mr. Secretary, is it policy of the U.S.
[00:30:42.226 --> 00:30:45.648]  government to reward companies that traffic in women and little girls?
[00:30:46.326 --> 00:30:47.227]  Absolutely not.
[00:30:47.367 --> 00:30:57.393]  The policy of the United States government is clear, unambiguous, and opposed to the activities that you described.
[00:30:58.173 --> 00:31:01.415]  The second question?
[00:31:01.435 --> 00:31:10.941]  Well, how do you explain the fact that DynCorp and its successor companies have received and continue to receive government contracts?
[00:31:12.603 --> 00:31:27.274]  I would have to go and find the facts, but there are laws and rules and regulations with respect to government contracts, and there are times that corporations do things they should not do, in which case they tend to be suspended for some period.
[00:31:27.754 --> 00:31:38.201]  There are times then that under the laws and the rules and regulations passed by the Congress and implemented by the executive branch, that corporations can get off of
[00:31:39.530 --> 00:31:45.973]  Out of the penalty box, if you will, and be permitted to engage in contracts with the government.
[00:31:45.993 --> 00:31:49.114]  They're generally not barred in perpetuity.
[00:31:49.314 --> 00:31:53.796]  This contract, this company was never in the penalty box.
[00:31:53.856 --> 00:31:55.797]  If you could proceed to my second question, please.
[00:31:58.478 --> 00:32:06.961]  The second question... I've forgotten what the second question was.
[00:32:08.208 --> 00:32:09.270]  I'm running for president.
[00:32:09.650 --> 00:32:12.856]  Everyday Americans need a champion, and I want to be that champion.
[00:32:12.876 --> 00:32:17.283]  I'm hitting the road to earn your vote, and I hope you'll join me on this journey.
[00:32:27.708 --> 00:32:32.731]  Introducing Secret 12, the new InfoWars Life vitamin B12 formulation.
[00:32:32.951 --> 00:32:39.075]  Most forms of vitamin B12 are highly processed and synthetic, and cannot be properly absorbed by the body.
[00:32:39.275 --> 00:32:46.219]  That's why for real results, so many are having to turn to painful B12 injections, which are known to have higher absorption rates.
[00:32:46.579 --> 00:32:56.508]  Now, InfoWarsLife.com is excited to announce that we can bring you our most bioactive, powerful form of B12 that has been developed with our exclusive, perfected process.
[00:32:57.088 --> 00:33:03.013]  Secret 12 is a binary of nutrimedical-grade, bioavailable, coenzyme forms of B12.
[00:33:03.253 --> 00:33:05.936]  Methylcobalamin, the same kind used in B12 injections.
[00:33:06.656 --> 00:33:07.336]  Brain Force is here.
[00:33:07.376 --> 00:33:09.777]  Ladies and gentlemen, I've been on this the last few months.
[00:33:09.977 --> 00:33:12.037]  You probably noticed I've been more crazed, more focused.
[00:33:33.824 --> 00:33:38.824]  Less brain fog, more energy, more special reports, and it's because of BrainForce.
[00:33:39.605 --> 00:33:43.188]  One of the worst things with most energy products is it's not sustainable, right?
[00:33:43.208 --> 00:33:45.710]  You're going to crash afterwards, really bad afterwards.
[00:33:46.070 --> 00:33:49.592]  This has a bunch of different antioxidants and compounds and polyphenols.
[00:33:49.652 --> 00:33:52.795]  Everybody's on these drugs to knock their brain out because the brain's so fried.
[00:33:53.295 --> 00:33:58.079]  We kept changing this formula over and over and over again until it became sort of a grand puzzle.
[00:33:58.639 --> 00:34:05.244]  For example, the L-theanine inside of it, that is activated by the different compounds in the yerba mate that we put inside of it as well.
[00:34:05.444 --> 00:34:07.505]  This just increases the compounds you already have.
[00:34:08.085 --> 00:34:09.585]  This is what you're actually designed to run on.
[00:34:09.705 --> 00:34:09.845]  Exactly.
[00:34:09.865 --> 00:34:13.786]  It's kind of like a car will run on one form of junky gas, but it runs really good on what it's designed for.
[00:34:13.946 --> 00:34:15.187]  Still damaging your brain.
[00:34:15.527 --> 00:34:23.549]  You will find Brain Force, Survival Shield X2, and other game-changing products at InfoWarsLife.com or call 888-253-3139.
[00:34:28.752 --> 00:34:30.693]  The latest in preparedness is now here.
[00:34:30.893 --> 00:34:36.896]  An electrically stabilized colloidal silver solution that can be added to both your home cabinet and preparedness pack alike.
[00:34:37.076 --> 00:34:42.078]  Concentrated to 30 parts per million in what has been dubbed the survival silver solution.
[00:34:42.158 --> 00:34:46.901]  The new InfoWars Life Silver Bullet Colloidal Silver is the answer for you and your family.
[00:34:47.041 --> 00:34:51.543]  And it's entirely free of toxic artificial additives that are loaded into many products.
[00:34:51.843 --> 00:35:00.228]  The InfoWarsLife Silver Bullet Silver is so powerful that it is concentrated into a 2-ounce bottle and is not recommended for extended continual use.
[00:35:00.448 --> 00:35:02.409]  This is not a low-grade formula.
[00:35:02.589 --> 00:35:13.695]  We are working with one of the top laboratory manufacturers in the United States to bring you the best form of colloidal silver using electrical processes within a base of deionized water.
[00:35:13.775 --> 00:35:21.199]  For your preparedness storage or your home kitchen, purchase your bottle of InfoWarsLife.com Silver Bullet Colloidal Silver today.
[00:35:21.599 --> 00:35:27.920]  I began to get into iodine a few years ago because it was helping me and my family so much get healthy and detoxify.
[00:35:28.280 --> 00:35:29.741]  I believe our research is conclusive.
[00:35:29.761 --> 00:35:31.141]  This is the best iodine out there.
[00:35:31.421 --> 00:35:32.541]  And I know this for a fact.
[00:35:33.081 --> 00:35:37.862]  Nobody else has got iodine based on these pure crystals, ladies and gentlemen.
[00:35:37.962 --> 00:35:41.723]  For a limited time, experience the ancient power of Survival Shield X2.
[00:35:42.463 --> 00:35:43.923]  I believe our research is conclusive.
[00:35:43.963 --> 00:35:45.304]  This is the best iodine out there.
[00:35:45.324 --> 00:35:47.444]  Take advantage of this at InfoWarsLife.com.
[00:36:20.760 --> 00:36:24.681]  You are watching the InfoWars Nightly News, which airs 7 p.m.
[00:36:24.721 --> 00:36:27.222]  Central at InfoWarsNews.com.
[00:36:30.342 --> 00:36:33.583]  David Knight for InfoWars.com, and here we are in the nation's capital.
[00:36:33.803 --> 00:36:36.524]  The Pope being here is to sell an agenda.
[00:36:37.024 --> 00:36:43.346]  It's something that they put out with an encyclical earlier to pave the way for what they were going to do for climate change.
[00:36:43.626 --> 00:36:44.946]  Most people are not paying attention to it.
[00:36:45.325 --> 00:36:48.247]  As a poll said, only 1 in 3 Americans were aware of it.
[00:36:48.347 --> 00:36:50.748]  Only 40% of those in the Catholic Church were aware of it.
[00:36:50.768 --> 00:36:52.909]  So they're going to make a very big deal out of it with Obama.
[00:36:52.929 --> 00:36:55.271]  But I want to just look at some of the symbolism here.
[00:36:55.611 --> 00:36:58.352]  Not necessarily intended, but what I see here.
[00:36:58.412 --> 00:37:01.014]  Look at the Capitol building in the background.
[00:37:01.294 --> 00:37:02.435]  You see it's under scaffolding?
[00:37:02.735 --> 00:37:06.257]  That scaffolding is probably about just cleaning and painting.
[00:37:07.096 --> 00:37:11.500]  But what we understand here is that this is a government that is being remade.
[00:37:12.181 --> 00:37:18.146]  It's being remade into something that we don't even recognize, like this alien statue over here on the side here.
[00:37:18.527 --> 00:37:21.369]  This thing looks like it's about ready to climb up the side of the building.
[00:37:21.870 --> 00:37:23.851]  This is an alien foreign government.
[00:37:24.472 --> 00:37:26.754]  It's being sold to us as compassion.
[00:37:26.894 --> 00:37:28.356]  It's phony compassion.
[00:37:28.856 --> 00:37:32.059]  This Pope, it's reported by those who are traveling with him, reported in The Guardian,
[00:37:32.441 --> 00:37:33.522]  And others who are on the plane with him.
[00:37:33.822 --> 00:37:40.965]  He wanted to enter America through one of the ports of entry that was the most popular for immigrants coming in here illegally.
[00:37:41.806 --> 00:37:43.246]  That's the agenda that he wants to sell.
[00:37:43.287 --> 00:37:46.028]  He wants to sell the evil of the free marketplace.
[00:37:46.308 --> 00:37:47.509]  He hates individuality.
[00:37:47.749 --> 00:37:49.029]  He hates what he calls capitalism.
[00:37:49.049 --> 00:37:50.790]  But of course we understand that's not capitalism.
[00:37:51.251 --> 00:37:52.511]  That is crony capitalism.
[00:37:52.811 --> 00:37:56.253]  It is fascism like they had in Argentina where he was under Perón.
[00:37:56.533 --> 00:38:01.776]  The difference between Hitler and Mussolini that Juan Perón loved so much in Argentina
[00:38:02.336 --> 00:38:06.642]  And the kind of government that he created there was he made an alliance with the labor unions.
[00:38:06.662 --> 00:38:07.483]  That's the only difference.
[00:38:07.864 --> 00:38:12.650]  And of course it became a retirement haven for Nazis after the war to move to Argentina.
[00:38:12.670 --> 00:38:13.391]  They were famous for that.
[00:38:13.631 --> 00:38:16.655]  So it's very much a fascist system that was there.
[00:38:16.735 --> 00:38:17.756]  Military dictatorship.
[00:38:18.357 --> 00:38:26.266]  We've seen, however, throughout Central and Latin America what happens when the Pope's economic policies that he's trying to sell to us as compassion.
[00:38:26.286 --> 00:38:27.787]  That's always the way they package it.
[00:38:28.048 --> 00:38:29.289]  We've seen what happens to that.
[00:38:29.710 --> 00:38:31.812]  We can see what's going on in Venezuela right now.
[00:38:32.192 --> 00:38:35.055]  We know that people don't have the money for food, for water, for medicine.
[00:38:35.416 --> 00:38:36.337]  They're going to other countries.
[00:38:36.357 --> 00:38:37.938]  They're coming to America.
[00:38:38.519 --> 00:38:49.607]  That system that the Pope is trying to sell, that the Jesuits have been trying to sell for decades, since the early 1970s, called Liberation Theology, is nothing but warmed over Marxism with a compassionate face on it.
[00:38:49.727 --> 00:38:53.290]  It isn't going to provide the necessities that people need.
[00:38:53.350 --> 00:38:54.331]  It's not capable of it.
[00:38:54.691 --> 00:38:56.253]  We have an imperfect system.
[00:38:56.533 --> 00:38:57.874]  We have problems with our system.
[00:38:57.974 --> 00:38:59.476]  Corruption, crony capitalism.
[00:38:59.756 --> 00:39:08.044]  We need to reform and correct the system, not level it and create something that Obama and the Pope would like to see here.
[00:39:08.385 --> 00:39:11.307]  And of course it's going to be done in the name of climate change as well.
[00:39:11.347 --> 00:39:14.430]  Let's take a look at the facade of climate change.
[00:39:15.091 --> 00:39:19.714]  So when Jakari and I walked up here, what I saw was a massive restructuring.
[00:39:19.734 --> 00:39:22.476]  That's what it looks like with the scaffolding that's on the Capitol.
[00:39:22.696 --> 00:39:29.040]  I saw a massive restructuring of the government with a facade of climate change based on a moral case.
[00:39:29.881 --> 00:39:34.144]  The irony of all this is that the only thing that's not changing in our government
[00:39:34.504 --> 00:39:37.347]  In our religion, in the Catholic Church, in the traditional family.
[00:39:37.387 --> 00:39:40.530]  The only thing out of all of that that's not changing is the climate.
[00:39:40.830 --> 00:39:42.912]  But they're going to use that to try to make a moral case.
[00:39:42.932 --> 00:39:43.933]  You want to make a moral case?
[00:39:44.614 --> 00:39:52.261]  Talk about why we're being flooded into this country with economic refugees fleeing the very system that the Pope wants to establish.
[00:39:52.601 --> 00:40:00.645]  The hypocrisy of saying, I'm going to come across the border where these people are coming across the border, yet deciding, nah, you know what, I think I'll come in with my own private jet.
[00:40:00.926 --> 00:40:03.087]  But, I'll drive out in a Fiat 500.
[00:40:04.067 --> 00:40:05.088]  Is that the Abarth edition?
[00:40:05.128 --> 00:40:05.588]  I don't know.
[00:40:05.768 --> 00:40:06.008]  Okay?
[00:40:06.549 --> 00:40:12.612]  This is beyond ridiculous, but this is the pageantry, this is the way it's being sold, the symbolism.
[00:40:13.052 --> 00:40:13.953]  Look at the symbolism.
[00:40:14.293 --> 00:40:21.697]  This is our government being restructured, being manufactured with a false agenda and to an alien being that we don't understand.
[00:40:21.857 --> 00:40:24.359]  For InfoWars.com, I'm David Knight with Jakari Jackson.
[00:40:24.379 --> 00:40:30.022]  We're here in Washington, D.C., waiting for the next shoe to drop tomorrow with the papal visit.
[00:40:30.963 --> 00:40:35.966]  White House-linked groups bankroll new fact-checking network.
[00:40:36.026 --> 00:40:38.928]  This is a story up on InfoWars.com today.
[00:40:39.248 --> 00:40:43.991]  A new global news fact-checking project announced yesterday by the Poynter Institute
[00:40:44.491 --> 00:40:49.555]  ...will be funded by two organizations with close ties to the Obama White House.
[00:40:49.936 --> 00:41:01.166]  The project, which purports to be focused on holding public officials accountable, is funded by grants from the Omidyar Network and the National Endowment for Democracy.
[00:41:01.546 --> 00:41:10.193]  And it will, quote, support and study the work of 64 fact-checking organizations spanning six continents, according to the Poynter Institute's website.
[00:41:10.894 --> 00:41:18.461]  So the Omidyar Network, as the article documents, is headed up by the founder of eBay, Pierre Omidyar.
[00:41:19.082 --> 00:41:25.848]  If you check into the White House visitor logs, you will see that he has visited the White House half a dozen times since 2009.
[00:41:26.749 --> 00:41:33.215]  If you compare that to other representatives within the media, within corporate America, that's quite a lot of visits.
[00:41:33.735 --> 00:41:38.378]  Other members of his organization have also visited an additional seven times.
[00:41:38.898 --> 00:41:45.863]  And in fact Obama also personally appointed Omidyar to sit on the President's Commission on White House Fellowships.
[00:41:46.763 --> 00:41:48.764]  And they talked about U.S.
[00:41:48.844 --> 00:41:53.127]  foreign policy during these Omidyar White House visits.
[00:41:53.587 --> 00:41:56.169]  So this is someone with key links to the White House.
[00:41:56.569 --> 00:41:58.871]  Of course National Endowment for Democracy
[00:41:59.671 --> 00:42:08.280]  The other organization which is funding this, quote, fact-checking project also bankrolled last year's coup in Kiev.
[00:42:08.701 --> 00:42:15.167]  And if you look into the history of that organization, it's basically the civilian CIA, which is what Ron Paul talks about.
[00:42:15.948 --> 00:42:22.930]  So they're posing as the neutral orbiter of knowledge while actually functioning as an arm of state media.
[00:42:23.210 --> 00:42:28.152]  And of course this is nothing new, it's happened since the fifties with the CIA and Operation Mockingbird.
[00:42:28.472 --> 00:42:35.234]  So this is merely a modern incarnation of that process of manipulating the media narrative.
[00:42:35.374 --> 00:42:39.355]  It's not neutral, it's not fact-checking, it's agenda-driven.
[00:42:39.935 --> 00:42:46.718]  And on the subject of clandestine government programs, here's Jon Bowman with a special report on the secret drug war.
[00:42:47.238 --> 00:42:53.000]  Just how deeply embedded in the drug trade are some of the most powerful people in American politics?
[00:42:53.640 --> 00:42:55.381]  This only scratches the surface.
[00:42:56.041 --> 00:43:02.847]  But for example, Delano Roosevelt, the grandfather of FDR, made his fortune as an opium trafficker.
[00:43:03.408 --> 00:43:14.258]  Writing home, Delano said he could not pretend to justify the opium trade on moral grounds, he wrote, but as a merchant, I insist it has been fair, honorable, and legitimate.
[00:43:14.538 --> 00:43:19.180]  And no more objectionable than the importation of wines and spirits to the U.S.
[00:43:19.480 --> 00:43:31.164]  Yet, as addiction became epidemic, and as the Chinese began paying with precious silver for the drug, their emperor finally, in 1839, named an imperial commissioner to end the trade.
[00:43:31.524 --> 00:43:43.189]  In the mid-19th century, not only did the Chinese opium trade bring one of the wealthiest nations on Earth to its knees and convert Britain's Queen Victoria into history's largest drug dealer,
[00:43:43.709 --> 00:43:54.477]  But a century before his grandson rose to power, it also made Warren Delano and the scions of several other prominent American families very, very rich.
[00:43:55.058 --> 00:44:09.169]  FDR's grandfather's embarrassing fortune was just the beginning of what would become an entire government-run and corporate bank-laundering trillion-dollar industry far too important to the wealthy elite to cut off and actually prosecute.
[00:44:09.548 --> 00:44:31.333]  I came to the table with a background in Air Force intelligence, eight years during the Vietnam War, worked with the CIA and Air America, and then that led me into contract work with the CIA in an obscure place called Mena, Arkansas, back when Bill Clinton was governor, and back when George Bush was the president.
[00:44:31.353 --> 00:44:37.695]  And I personally witnessed a complicity between these two men, Bush and Clinton,
[00:44:38.603 --> 00:44:45.604]  In terms of transporting cocaine into the US for the purpose of sale to generate money.
[00:44:54.486 --> 00:44:57.409]  Listen to what they let these guys off with, okay?
[00:44:57.709 --> 00:44:59.510]  He says some of this was very illegal.
[00:44:59.991 --> 00:45:08.157]  They got guilty pleas from these guys for crimes like fraud, manipulation, bribery, money laundering, tax evasion.
[00:45:08.978 --> 00:45:13.842]  And this is a description of HSB's crimes from Eric Holder's Justice Department.
[00:45:14.442 --> 00:45:14.722]  Quote.
[00:45:15.777 --> 00:45:32.391]  As a result of HSBC Bank's USA AML failures, at least $881 million in drug trafficking proceeds, including the proceeds of drug trafficking by the Sinaloa cartel in Mexico, were laundered through HSBC Bank USA.
[00:45:32.451 --> 00:45:35.214]  That's what Eric Holder's Justice Department said.
[00:45:35.614 --> 00:45:39.157]  $881 million in drug trafficking money laundered by HSBC.
[00:45:41.112 --> 00:45:50.405]  And he says, you might remember, this is Matt Thiabi saying, you might remember the Sinaloa cartel had ISIS style torture videos.
[00:45:51.445 --> 00:45:54.386]  But HSBC laundered their cash.
[00:45:54.926 --> 00:46:06.409]  They even created, listen to this, they even created, HSBC, created a special teller window to make sure that the Sinaloa cartel's deposits were made easier.
[00:46:06.789 --> 00:46:07.190]  You hear that?
[00:46:07.470 --> 00:46:10.010]  They got their own special teller window.
[00:46:10.050 --> 00:46:13.431]  The people who are making ISIS-like torture videos.
[00:46:13.972 --> 00:46:14.852]  This drug cartel.
[00:46:15.745 --> 00:46:19.087]  They were laundering their money and had a special teller window for them.
[00:46:19.487 --> 00:46:20.868]  This is, he said, admitted.
[00:46:21.368 --> 00:46:22.288]  It is not alleged.
[00:46:22.609 --> 00:46:24.109]  This is not a conspiracy theory.
[00:46:24.730 --> 00:46:25.070]  Okay?
[00:46:25.430 --> 00:46:33.935]  This is criminal activity of the highest order that Eric Holder let go for his former, now current, clients.
[00:46:34.215 --> 00:46:34.455]  Okay?
[00:46:34.495 --> 00:46:36.276]  And I would argue they were his clients all along.
[00:46:38.044 --> 00:46:44.367]  I began to get into iodine a few years ago because it was helping me and my family so much get healthy and detoxify.
[00:46:44.707 --> 00:46:46.188]  I believe our research is conclusive.
[00:46:46.208 --> 00:46:47.589]  This is the best iodine out there.
[00:46:47.869 --> 00:46:48.989]  And I know this for a fact.
[00:46:49.530 --> 00:46:54.312]  Nobody else has got iodine based on these pure crystals, ladies and gentlemen.
[00:46:54.412 --> 00:46:58.534]  For a limited time, experience the ancient power of Survival Shield X2.
[00:46:58.914 --> 00:47:00.375]  I believe our research is conclusive.
[00:47:00.395 --> 00:47:01.736]  This is the best iodine out there.
[00:47:01.776 --> 00:47:03.917]  Take advantage of this at Infowarslife.com.
[00:47:07.895 --> 00:47:12.739]  And why wearing a Hillary for President t-shirt might get you punched in the face.
[00:47:13.139 --> 00:47:15.001]  They thought it said Hillary for President.
[00:47:15.862 --> 00:47:20.326]  He said, I was seconds away from sending my bar back over here to punch you in the face.
[00:47:20.566 --> 00:47:24.409]  Since you're wearing a Hillary for Prison shirt, you don't have to buy drinks here.
[00:47:24.729 --> 00:47:25.810]  Everything's on the house.
[00:47:25.970 --> 00:47:27.312]  Hillary for Prison!
[00:47:28.012 --> 00:47:29.714]  Hillary's not surging, I tell you that.
[00:47:29.754 --> 00:47:30.574]  They're not saying that.
[00:47:30.594 --> 00:47:32.116]  They're not saying that.
[00:47:32.936 --> 00:47:33.317]  Thank you.
[00:47:49.633 --> 00:47:50.114]  Oh my God!
[00:48:04.975 --> 00:48:08.396]  There you have it, Donald Trump endorses Hillary for prison.
[00:48:08.976 --> 00:48:13.098]  Get your Hillary for prison 2016 t-shirt at the Infowars store.
[00:48:13.378 --> 00:48:15.999]  And on the back it says, legalize freedom.
[00:48:16.419 --> 00:48:20.140]  Show your disapproval of Hillary by buying your t-shirt today.
[00:48:20.220 --> 00:48:21.700]  But what she's done is criminal.
[00:48:22.881 --> 00:48:25.422]  This is an American president.
[00:48:25.782 --> 00:48:29.563]  Just add puppet, then vote and repeat every four years.
[00:48:41.482 --> 00:48:44.063]  Welcome back to the Infowars Nightly News.
[00:48:44.363 --> 00:48:56.508]  Now not content with browbeating society into accepting obesity as a new social justice cause, feminists are now blaming the patriarchy for the way they smell.
[00:48:56.528 --> 00:49:02.171]  Take a look at what Steven Crowder discovered when he went to a radical feminist meetup.
[00:49:02.571 --> 00:49:04.932]  Body image and sizism.
[00:49:05.652 --> 00:49:09.754]  I don't know what transgenderism and being fat has to do with feminism, but
[00:49:13.285 --> 00:49:13.845]  Let's get to it.
[00:49:14.166 --> 00:49:18.088]  So right away we have, I am fat and have never been sexier in my life.
[00:49:18.109 --> 00:49:19.650]  Well, I'm glad you declare it, so.
[00:49:19.710 --> 00:49:21.991]  Fat people need love too.
[00:49:22.091 --> 00:49:24.093]  Hairy legs, hairy pits.
[00:49:24.453 --> 00:49:25.774]  Fat poetry.
[00:49:26.214 --> 00:49:27.776]  Fat poetry.
[00:49:28.096 --> 00:49:29.777]  Fat poetry.
[00:49:29.797 --> 00:49:30.698]  Oh, oh God!
[00:49:30.918 --> 00:49:32.339]  That's a supermodel right there.
[00:49:33.580 --> 00:49:35.481]  Self-anointed, mind you.
[00:49:36.602 --> 00:49:37.843]  And you can't fat shame her.
[00:49:38.567 --> 00:49:40.548]  But you better pay for health care, Bernie Sanders.
[00:49:40.808 --> 00:49:50.392]  I get it, there's so, with so many statements, because there's a woman wrapped in the American flag, so that's sort of a duality of am I proud to be American?
[00:49:50.452 --> 00:50:00.075]  Because I want the cheeseburger, which is distinctly American, and I'm certainly contributing to the obesity epidemic, which is distinctly American, but I hate patriarchy, which is distinctly American.
[00:50:00.155 --> 00:50:00.876]  So what do I do?
[00:50:01.256 --> 00:50:05.577]  I'll probably just bitch about it on a panel while eating a cheeseburger, getting fatter, and demanding that everyone else pay for my health care.
[00:50:05.617 --> 00:50:07.038]  I hate these people so much!
[00:50:07.358 --> 00:50:08.439]  Okay, look at this picture for example.
[00:50:08.459 --> 00:50:09.740]  This is everything that's wrong with feminism.
[00:50:09.760 --> 00:50:11.641]  It says, I don't wake up every day and love myself.
[00:50:11.721 --> 00:50:12.822]  I have bad days, horrible days.
[00:50:12.842 --> 00:50:13.963]  What I want to do is go to bed.
[00:50:14.043 --> 00:50:16.205]  Radical self-love is a daily fight.
[00:50:16.925 --> 00:50:18.126]  No, it's not.
[00:50:18.286 --> 00:50:21.008]  And you shouldn't radically love yourself.
[00:50:21.489 --> 00:50:24.371]  You should accept yourself, but you should want to improve yourself.
[00:50:24.591 --> 00:50:26.593]  What do you think someone who maybe
[00:50:27.725 --> 00:50:41.254]  Uh, suffers from serious depression, or maybe is dealing with the death of a family member, or maybe has serious issues to deal with...feels, when they read you talking about, uh, some days all I wanna do is go to bed cause of my cankles!
[00:50:41.654 --> 00:50:44.216]  So, okay, maybe you have big...joints.
[00:50:45.615 --> 00:50:47.557]  But the diabetes is your choice!
[00:50:47.897 --> 00:50:50.539]  Struggles of a fat, genderqueer person.
[00:50:50.599 --> 00:50:51.420]  Her words, not mine.
[00:50:51.460 --> 00:50:52.161]  His, hers.
[00:50:52.221 --> 00:50:52.981]  These words.
[00:50:53.001 --> 00:50:54.102]  I don't know what the hell it's supposed to be anymore.
[00:50:54.262 --> 00:51:07.974]  As much as I love myself, it's really hard in this day and age considering that according to society, I'm lazy, gross, repulsive, insatiable, grotesque, enormous, whale-like, zaftig, lumpy, scary, smelly, unhealthy, obese.
[00:51:08.054 --> 00:51:09.195]  Did you notice something right here?
[00:51:09.655 --> 00:51:10.576]  This is what feminism does.
[00:51:10.596 --> 00:51:12.238]  They try and feather things in there.
[00:51:12.298 --> 00:51:13.679]  It's not really about women's rights.
[00:51:14.179 --> 00:51:15.340]  It's about transgenderism.
[00:51:15.380 --> 00:51:17.781]  It's about LGBTQAI and asylum.
[00:51:18.141 --> 00:51:18.962]  Extra Q!
[00:51:19.622 --> 00:51:21.143]  It's about abortion.
[00:51:21.303 --> 00:51:22.164]  It's about fracking.
[00:51:23.064 --> 00:51:26.666]  Fat, lazy, whale-like, lumpy, scary, smelly, unhealthy.
[00:51:27.166 --> 00:51:27.707]  Smelly!
[00:51:28.107 --> 00:51:30.749]  Okay, Thug Fresh Moreno, you feathered smelly in there!
[00:51:31.109 --> 00:51:33.050]  That's just another example of a choice!
[00:51:34.693 --> 00:51:36.236]  All these other things, okay, whale-like.
[00:51:36.957 --> 00:51:39.180]  From this picture, okay, you're hairy.
[00:51:39.201 --> 00:51:40.222]  You're hairier than a whale.
[00:51:40.402 --> 00:51:41.284]  You ever been whale watching?
[00:51:41.324 --> 00:51:42.205]  That's a disservice to whales.
[00:51:42.226 --> 00:51:44.329]  You ever rub your hand on a beluga?
[00:51:44.369 --> 00:51:46.292]  It's very nice and smooth.
[00:51:46.853 --> 00:51:47.594]  That's a beautiful...
[00:51:48.519 --> 00:51:50.140]  You're hairy and you're lumpy.
[00:51:50.200 --> 00:51:51.621]  You're more like a wild boar.
[00:51:52.021 --> 00:51:53.441]  It's don't compare yourself to a whale.
[00:51:53.462 --> 00:51:53.982]  They're beautiful.
[00:51:54.022 --> 00:51:55.262]  People pay to watch whales.
[00:51:55.683 --> 00:51:58.544]  People would pay you to no longer write.
[00:51:58.704 --> 00:51:59.885]  But you add smelly!
[00:52:00.225 --> 00:52:05.307]  No one is oppressing you through patriarchal scent domination.
[00:52:06.568 --> 00:52:12.031]  No one's demanding that you submit to not showering.
[00:52:12.791 --> 00:52:13.691]  That's your choice.
[00:52:13.871 --> 00:52:15.032]  And you're going to blame it on society?
[00:52:15.092 --> 00:52:15.492]  Here's the thing.
[00:52:15.692 --> 00:52:16.473]  You have the right
[00:52:17.637 --> 00:52:18.878]  Absolutely to be smelly.
[00:52:19.799 --> 00:52:21.560]  Employers have the right to not employ you!
