[00:00:00.131 --> 00:00:00.495]  I'm good.
[00:54:04.566 --> 00:54:05.766]  Everyone said, oh, he'll never file.
[00:54:05.846 --> 00:54:06.446]  I never filed.
[00:54:06.747 --> 00:54:10.628]  It's almost 100 pages long and it's an unbelievable company.
[00:54:10.648 --> 00:54:15.129]  So I built it, which by the way, the reason I say that that's the kind of thinking our country needs.
[00:54:15.229 --> 00:54:17.070]  But I got along great with Clinton.
[00:54:17.370 --> 00:54:19.111]  I got along great with Harry Reid.
[00:54:19.391 --> 00:54:24.472]  I get along great with everybody because when I needed them, I didn't want to have argument.
[00:54:24.492 --> 00:54:26.593]  I didn't want to have somebody say, well, Clinton doesn't want it to happen.
[00:54:26.613 --> 00:54:27.434]  You're not a loser.
[00:54:27.454 --> 00:54:28.695]  You don't get in mindless fights.
[00:54:28.715 --> 00:54:30.076]  You move forward with your agenda.
[00:54:30.496 --> 00:54:34.260]  But now you see America in trouble, and you're, hey, that's all sidelined now.
[00:54:34.540 --> 00:54:36.061]  Donald Trump's not working for Donald Trump.
[00:54:36.301 --> 00:54:37.482]  He wants to work for America.
[00:54:37.903 --> 00:54:40.825]  Yeah, as a businessman, you couldn't have even functioned if you don't get along.
[00:54:40.845 --> 00:54:41.286]  No, I know.
[00:54:41.326 --> 00:54:44.469]  For example, in New York City, it's 95% Democrat.
[00:54:44.529 --> 00:54:47.191]  I mean, if I didn't get along with the Democrats, I wouldn't have won.
[00:54:47.231 --> 00:54:49.473]  Well, I'll tell you, I mean, you did want the vice president
[00:54:49.733 --> 00:54:52.475]  You know, a position that's come out decades ago behind the scenes.
[00:54:52.555 --> 00:54:53.836]  I mean, I know you're a Republican.
[00:54:54.337 --> 00:54:55.578]  What about libertarianism?
[00:54:55.638 --> 00:54:56.979]  What's your view of libertarianism?
[00:54:57.019 --> 00:55:01.663]  And then I want to ask you, who's your favorite president and who do you think your running mate might be?
[00:55:01.743 --> 00:55:02.664]  Folks, I think it's Ted Cruz.
[00:55:03.344 --> 00:55:05.746]  Well, I think that libertarianism is sort of interesting.
[00:55:05.766 --> 00:55:10.710]  There are certain things that I really like about it, but you know, keeping government out as much as possible.
[00:55:10.750 --> 00:55:12.412]  We need government for protection.
[00:55:12.492 --> 00:55:13.272]  We have to protect.
[00:55:13.292 --> 00:55:16.034]  When you look at these maniacs in the Middle East that want to destroy us,
[00:55:16.815 --> 00:55:19.476]  And you know, the problem we have today, Alex, is the weaponry.
[00:55:19.856 --> 00:55:22.137]  If this were 100 years ago, I'd say forget about them.
[00:55:22.157 --> 00:55:22.917]  Let them keep fighting.
[00:55:22.937 --> 00:55:24.137]  They've been fighting all their lives.
[00:55:24.157 --> 00:55:25.218]  Let them keep fighting each other.
[00:55:25.238 --> 00:55:25.678]  Who cares?
[00:55:26.418 --> 00:55:31.820]  But the weaponry is so powerful and they hate us so much that we have to now protect.
[00:55:31.960 --> 00:55:33.500]  So that's a big part of government.
[00:55:33.960 --> 00:55:41.063]  So there's a certain common sense to certain elements that I do very well with the libertarians, frankly, you know, because they sort of get it and they they get me.
[00:55:41.103 --> 00:55:41.823]  But we need
[00:55:42.583 --> 00:55:45.265]  Bigger strength that I think the Libertarians really want.
[00:55:45.986 --> 00:55:46.547]  And we need it.
[00:55:46.767 --> 00:55:47.708]  And we have to have it.
[00:55:47.988 --> 00:55:48.628]  We have to have it.
[00:55:48.648 --> 00:55:50.110]  If we don't have it, we're not going to have a country.
[00:55:50.430 --> 00:55:52.352]  If we don't have borders, we're not going to have a country.
[00:55:52.752 --> 00:55:54.614]  As far as running mates, it's too soon to say.
[00:55:54.634 --> 00:55:57.536]  I actually respect a couple of people that are on the stage.
[00:55:57.576 --> 00:55:59.398]  Some of them I have absolutely no respect for.
[00:55:59.778 --> 00:56:02.059]  I mean, I think they're not very good at all at what they do.
[00:56:02.379 --> 00:56:03.519]  You look at what's going on.
[00:56:03.599 --> 00:56:07.281]  But I have respect for a number of people that are on the stage with me.
[00:56:07.301 --> 00:56:12.702]  I have respect for a lot of people that are throughout this country, you know, political people.
[00:56:12.742 --> 00:56:23.626]  I'll pick somebody I think that can really be a great vice president, ultimately has to be a great president, because that's, you know, 90% of that function is, you know, if something bad happens, you got to be a good president.
[00:56:23.646 --> 00:56:24.987]  You have to view it from that standpoint.
[00:56:25.327 --> 00:56:28.708]  And my favorite president in the more or less modern era would be Ronald Reagan.
[00:56:28.748 --> 00:56:29.088]  I've always
[00:56:29.548 --> 00:56:30.349]  Liked him, I helped him.
[00:56:30.889 --> 00:56:32.191]  And by the way, he was a Democrat.
[00:56:32.211 --> 00:56:33.392]  A lot of people don't know.
[00:56:33.512 --> 00:56:34.293]  He was.
[00:56:34.313 --> 00:56:36.175]  A liberal Democrat, Alex, as you know.
[00:56:36.635 --> 00:56:41.920]  And he became a somewhat conservative, I wouldn't say the most conservative, but a somewhat conservative Republican.
[00:56:41.940 --> 00:56:43.121]  But he wanted to make America great.
[00:56:43.862 --> 00:56:44.583]  And he really did.
[00:56:44.623 --> 00:56:47.486]  He wanted to make, he had actually, let's make America great.
[00:56:47.526 --> 00:56:50.549]  That was his, and mine is, make America great again.
[00:56:50.609 --> 00:56:51.770]  So there's a little bit of a difference.
[00:56:52.170 --> 00:56:55.752]  My son, my son, you know, finally sold me on being a bigger supporter of yours.
[00:56:55.772 --> 00:56:56.473]  I mean, I liked you.
[00:56:56.733 --> 00:56:57.533]  Love Americana.
[00:56:57.573 --> 00:56:58.454]  You're pure Americana.
[00:56:58.714 --> 00:56:59.815]  But I'm still, you know, it was research.
[00:57:00.115 --> 00:57:01.375]  But my 13-year-old son's really smart.
[00:57:01.395 --> 00:57:02.596]  He does a lot of research.
[00:57:02.616 --> 00:57:03.477]  He watches all the debates.
[00:57:03.537 --> 00:57:04.437]  He just really loves you.
[00:57:04.757 --> 00:57:07.099]  He is on cloud nine that you're here, Rex Jones.
[00:57:07.379 --> 00:57:11.281]  And it was his question, you know, which president was your favorite.
[00:57:11.822 --> 00:57:14.123]  But all time, all time, who's your favorite?
[00:57:14.707 --> 00:57:15.388]  Well, all time.
[00:57:15.428 --> 00:57:23.975]  I'd say Ronald Reagan, uh, shorter term, I would say... Well, you know, you look at Lincoln, you look at Washington, you have to go with... They're the classics, right, Alex?
[00:57:23.995 --> 00:57:28.198]  You know, you think in terms of the great classics, you have to go with the Lincolns and the Washingtons.
[00:57:28.498 --> 00:57:28.759]  I agree.
[00:57:28.799 --> 00:57:30.900]  As a man's man, George Washington was badass.
[00:57:31.681 --> 00:57:33.101]  Yeah, that's what they say.
[00:57:33.241 --> 00:57:34.702]  I mean, that's what they say.
[00:57:34.742 --> 00:57:35.962]  They say he never told a lie.
[00:57:35.982 --> 00:57:37.282]  Let's hope that's true, okay?
[00:57:37.302 --> 00:57:38.823]  But George Washington was pretty good.
[00:57:39.323 --> 00:57:43.864]  But look, we had some great presidents, and we had some good presidents on the other side, too, in all fairness.
[00:57:43.924 --> 00:57:47.605]  But we will hopefully be right at the top of that list.
[00:57:47.925 --> 00:57:51.646]  We're going to make the country so strong, and we're going to make it financially secure.
[00:57:51.866 --> 00:57:54.987]  We can't owe $21 trillion, because it's going to be that number.
[00:57:55.387 --> 00:57:57.009]  Well, we have to make our country rich again.
[00:57:57.029 --> 00:58:03.735]  You know, the other day I said to a woman, she came up to Mr. Trump at a big rally where we had 14,000 people and at the end she just sees me in a
[00:58:17.027 --> 00:58:40.330]  You're signing autographs and stuff and she said Mr. Trump I'm voting for you 100% but are you this whole concept of making it rich it sounds so Chris I said you know what it might sound Chris but if we don't make our nation rich again if we don't take back our jobs from all these other countries that are ripping us and if we don't take back our money and if we don't you know balance up our budget at least get it damn close and soon we're not gonna have a nation anymore
[00:58:40.470 --> 00:58:41.612]  We're a third world country.
[00:58:41.672 --> 00:58:42.373]  Donald Trump.
[00:58:42.393 --> 00:58:43.455]  You know, I know you've got to go.
[00:58:43.475 --> 00:58:44.236]  60 second break.
[00:58:44.256 --> 00:58:45.498]  I want to come back for just three minutes.
[00:58:45.758 --> 00:58:48.182]  Talk about your book and your big rally in Virginia tonight.
[00:58:48.202 --> 00:58:49.243]  We'll be back in 70 seconds.
[00:58:49.524 --> 00:58:50.225]  Donald Trump.
[00:58:50.445 --> 00:58:51.166]  Powerful interview.
[00:58:51.246 --> 00:58:54.451]  Visit GCNlive.com today.
[00:58:59.102 --> 00:59:02.303]  When cells become toxic, they die early and aging sets in.
[00:59:02.604 --> 00:59:10.607]  No one has put together a formula that focuses directly on brain health, nerve growth factors, and optimizing your cellular energy at the same time.
[00:59:10.847 --> 00:59:15.869]  Just one of the key compounds, BioPQQ, is backed by major clinical studies.
[00:59:16.269 --> 00:59:18.570]  You want the best that's out there at the lowest price anywhere?
[00:59:18.790 --> 00:59:20.591]  We now have the synergistic solution.
[00:59:20.911 --> 00:59:25.093]  Secure your DNA force today at InfoWarsLife.com or call toll-free 888-253-3139.
[00:59:28.979 --> 00:59:29.919]  BrainForce is here.
[00:59:30.099 --> 00:59:32.200]  Ladies and gentlemen, I've been on this the last few months.
[00:59:32.320 --> 00:59:37.042]  You've probably noticed I've been more focused, less brain fog, more energy, and it's because of BrainForce.
[00:59:37.302 --> 00:59:38.942]  There's always hidden additives in your food.
[00:59:39.002 --> 00:59:40.443]  Even organic food has hidden additives.
[00:59:40.583 --> 00:59:43.804]  Staring at the computer all day, working, doing good, you're still damaging your brain.
[00:59:44.084 --> 00:59:45.865]  Ultimately, we've all been dumbed down to some degree.
[00:59:46.065 --> 00:59:46.965]  It doesn't have stimulants.
[00:59:46.985 --> 00:59:47.945]  It doesn't have garbage in it.
[00:59:48.145 --> 00:59:50.046]  It has natural things that do it clean.
[00:59:50.166 --> 00:59:55.748]  You will find BrainForce and other game-changing products at InfoWarsLife.com or call 888-253-3139.
[01:00:01.636 --> 01:00:06.098]  You're listening to the Alex Jones Show.
[01:00:13.320 --> 01:00:17.222]  It's a long way to the top if you want to establish a constitutional republic.
[01:00:20.923 --> 01:00:25.405]  Live from the Infowars.com studios, it's Alex Jones.
[01:00:27.898 --> 01:00:29.099]  You gotta want to be on the top.
[01:00:29.800 --> 01:00:30.720]  You gotta want to be free.
[01:00:31.621 --> 01:00:32.562]  Or you're gonna be slaves.
[01:00:33.183 --> 01:00:35.124]  Donald Trump's agreed to stay a few more minutes with us.
[01:00:36.746 --> 01:00:40.049]  And he brought up, you know, somebody that he wanted to thank on air that I want to thank on air.
[01:00:40.309 --> 01:00:41.470]  He came in here a month ago.
[01:00:41.510 --> 01:00:42.771]  He's been on all these big shows.
[01:00:43.271 --> 01:00:44.332]  Just an incredible guy.
[01:00:44.352 --> 01:00:45.433]  I was aware of who he was.
[01:00:45.473 --> 01:00:48.036]  A patriot fighting communism all over the world.
[01:00:48.396 --> 01:00:51.779]  Tell us, Mr. Trump, about Mr. Stone, who helped get this interview set up.
[01:00:52.745 --> 01:01:02.752]  Well, Roger's a good guy, and he is a patriot, and believes strongly in a strong nation, a lot of the things that I believe in, and I see him all over television.
[01:01:02.932 --> 01:01:14.840]  People like Roger, he's a tough cookie, I will tell you that, but people like him, but he's been so loyal and so wonderful, and he is the one, he really wanted me to do this interview, and I'm doing it, and so we appreciate it, Roger.
[01:01:15.460 --> 01:01:18.723]  Well, I knew who he was, but then I did more research on him, this guy,
[01:01:19.503 --> 01:01:26.730]  Literally fought communists all over the world, ran big elections against the Soviet Union in Latin America, in Africa, in Asia.
[01:01:26.750 --> 01:01:38.701]  I mean, and I know he's been friends with you for a long time and advising you, so I get my respect level went up even more knowing that you're talking to real political operatives, not fake pundits that are on TV.
[01:01:38.721 --> 01:01:39.922]  And that brings me to mainstream media.
[01:01:40.282 --> 01:01:42.805]  I love the fact, when I first saw it a few days ago,
[01:01:43.928 --> 01:01:44.789]  They misrepresented it.
[01:01:44.809 --> 01:01:46.131]  They said Trump wants $5 million.
[01:01:46.511 --> 01:01:47.292]  Then I read deeper.
[01:01:47.593 --> 01:01:52.038]  You said give $5 million to Wounded Warriors before I go make CNN $50 million.
[01:01:52.058 --> 01:01:53.139]  That's what you make these shows.
[01:01:54.681 --> 01:01:55.802]  You know, they took that statement.
[01:01:55.822 --> 01:01:57.064]  I said give $5 million.
[01:01:57.104 --> 01:02:00.688]  I'm going to want $5 million that we're going to give to the Wounded Warriors or the Vets, right?
[01:02:00.808 --> 01:02:02.370]  Which is the same thing as far as I'm concerned.
[01:02:02.390 --> 01:02:03.051]  We'd split it up.
[01:02:03.852 --> 01:02:06.614]  Because they're making a fortune on these debates, which never had anybody.
[01:02:06.634 --> 01:02:08.355]  You know, Fox had 24 million people.
[01:02:08.376 --> 01:02:09.556]  They used to get like a million.
[01:02:10.197 --> 01:02:13.219]  And CNN had the biggest ratings in the history of CNN.
[01:02:13.639 --> 01:02:16.722]  And I won't take full credit, but I'll take 99.9% credit.
[01:02:16.982 --> 01:02:19.144]  So I said, give me $5 million.
[01:02:19.184 --> 01:02:20.765]  I want to give it to the Wounded Warriors.
[01:02:21.045 --> 01:02:21.826]  I want to give it to the vets.
[01:02:23.046 --> 01:02:24.948]  But a lot of people said Trump wants $5 million.
[01:02:25.148 --> 01:02:26.989]  And I said it right in the same sentence, Alex.
[01:02:27.049 --> 01:02:28.630]  I didn't say it like... That's really deceiving.
[01:02:29.311 --> 01:02:33.033]  I said I want $5 million that will go to the Wounded Warriors.
[01:02:33.293 --> 01:02:34.114]  And they would play it.
[01:02:34.174 --> 01:02:35.055]  They even took the tape.
[01:02:35.095 --> 01:02:36.495]  You know, the tape is worse than the pen.
[01:02:36.536 --> 01:02:37.156]  They can cut it.
[01:02:37.596 --> 01:02:40.178]  So they say, give me $5 million and then they cut it.
[01:02:40.338 --> 01:02:41.679]  Nobody knows what am I doing.
[01:02:41.719 --> 01:02:43.280]  I'm asking for money to be on a debate.
[01:02:43.320 --> 01:02:44.001]  It's ridiculous.
[01:02:44.501 --> 01:02:48.544]  So I wanted $5 million to go to the Wounded Warriors in particular.
[01:02:49.544 --> 01:02:50.566]  Uh, let's see what happens.
[01:02:50.646 --> 01:02:51.146]  I don't know.
[01:02:51.166 --> 01:02:56.052]  You know, the one problem, Alex, if I didn't go to the debate, then you know what would happen.
[01:02:56.072 --> 01:02:57.193]  They'd say he's chicken.
[01:02:57.273 --> 01:02:58.735]  I mean, I think I won every debate.
[01:02:59.556 --> 01:03:00.077]  But it's true.
[01:03:00.117 --> 01:03:03.681]  I mean, I saw one channel made like $40 million off you being on there.
[01:03:03.921 --> 01:03:05.203]  They should give all of it to the vets.
[01:03:05.632 --> 01:03:07.913]  Well, they should give a lot more than five, I'll tell you right now.
[01:03:07.953 --> 01:03:15.558]  But, you know, the problem is if I say I won't do it, then the people that I'm debating, who, frankly, it's been very easy, if you want to know the truth.
[01:03:15.578 --> 01:03:17.139]  You can just correct them once you're on stage.
[01:03:17.719 --> 01:03:20.501]  Well, the people I'm debating, they'll say, oh, he's chicken, he's chicken, he's chicken.
[01:03:20.521 --> 01:03:21.922]  You know, that's the problem with that.
[01:03:22.822 --> 01:03:27.564]  It's hard when you're leading all the polls, and then you don't show up to a debate, and then they'll be doing numbers on you.
[01:03:27.584 --> 01:03:30.265]  But I would love to see money go to the Wounded Warriors.
[01:03:30.365 --> 01:03:31.605]  I think it would be so great.
[01:03:31.625 --> 01:03:31.805]  I agree.
[01:03:32.085 --> 01:03:33.626]  What about Crippled America?
[01:03:33.886 --> 01:03:34.726]  It's a number one.
[01:03:34.746 --> 01:03:35.786]  You got a big rally tonight.
[01:03:35.886 --> 01:03:37.587]  Everywhere you go, your crowds just get bigger.
[01:03:37.987 --> 01:03:40.928]  I mean, obviously, you're probably going to get the Republican nomination now.
[01:03:41.428 --> 01:03:42.989]  Wow, and you're ready for the dirty tricks.
[01:03:44.249 --> 01:03:45.290]  One minute left, Donald Trump.
[01:03:45.310 --> 01:03:47.651]  What do you have to say about your book and what's coming up?
[01:03:48.192 --> 01:03:50.253]  Well, first of all, before the book, you mentioned one thing.
[01:03:50.313 --> 01:03:52.474]  I had never heard that, but I am in this to win it.
[01:03:52.694 --> 01:03:55.436]  I am not in this to say, oh, gee, I've done a really good job.
[01:03:55.476 --> 01:03:58.377]  A reporter called up, a very powerful reporter, said, how does it feel?
[01:03:58.397 --> 01:03:58.898]  How does it feel?
[01:03:58.918 --> 01:04:02.720]  I said, it only feels, because they said what we've done has never been done before politically.
[01:04:02.740 --> 01:04:04.501]  And I've been in the polls for five months.
[01:04:04.541 --> 01:04:05.922]  Since it came out, I'm number one.
[01:04:06.542 --> 01:04:08.163]  I said, it's only good if we win.
[01:04:08.243 --> 01:04:10.923]  If I don't win, I've wasted a lot of time.
[01:04:10.963 --> 01:04:11.684]  That's the way I view it.
[01:04:11.724 --> 01:04:12.824]  He said, no, no, you haven't.
[01:04:12.864 --> 01:04:13.204]  You haven't.
[01:04:13.224 --> 01:04:14.905]  I said, believe me, if I don't win.
[01:04:15.325 --> 01:04:18.126]  Because we can't do anything to make our country great if I don't win.
[01:04:18.146 --> 01:04:20.086]  I'll be watching television someplace.
[01:04:20.166 --> 01:04:20.887]  It'll be, forget it.
[01:04:21.527 --> 01:04:23.767]  So I wrote a book called Crippled America.
[01:04:24.148 --> 01:04:26.308]  It's doing fantastic business.
[01:04:26.328 --> 01:04:27.969]  I don't know if you can see that thing right up there.
[01:04:28.009 --> 01:04:28.209]  We can.
[01:04:28.809 --> 01:04:30.190]  But it's doing great business.
[01:04:30.230 --> 01:04:33.572]  I hope your audience goes out and buys it as Christmas gifts and everything else.
[01:04:33.632 --> 01:04:36.654]  And I just want to finish by saying your reputation is amazing.
[01:04:37.115 --> 01:04:38.435]  I will not let you down.
[01:04:38.455 --> 01:04:41.517]  You will be very, very impressed, I hope.
[01:04:42.098 --> 01:04:46.861]  And I think we'll be speaking a lot, but you'll be you'll be looking at me in a year and a year or two years.
[01:04:46.901 --> 01:04:49.563]  Let's give me a little bit of a time to run things.
[01:04:49.623 --> 01:04:53.966]  But a year into office, you'll be saying, wow, I remember that interview.
[01:04:54.026 --> 01:04:56.047]  He said he was going to do it and he did a great job.
[01:04:56.067 --> 01:04:57.408]  You'll be very proud of our country.
[01:04:57.568 --> 01:04:58.189]  Well, I'm impressed.
[01:04:58.209 --> 01:04:59.472]  I mean, you're saying you're fully committed.
[01:04:59.492 --> 01:05:01.576]  You know there's no future if we don't take this country back.
[01:05:01.937 --> 01:05:04.522]  Donald Trump, I hope you can help uncripple America.
[01:05:04.562 --> 01:05:05.464]  Thank you so much, sir.
[01:05:05.905 --> 01:05:07.067]  You will be attacked for coming on.
[01:05:07.087 --> 01:05:07.708]  We know you know that.
[01:05:07.749 --> 01:05:08.049]  Thank you.
[01:05:08.700 --> 01:05:09.280]  Thank you very much.
[01:05:09.300 --> 01:05:13.601]  Republicans like Democrats are quick to jump in with supposed solutions after a tragedy.
[01:05:14.101 --> 01:05:20.023]  In the wake of the Planned Parenthood shooting in Colorado, GOP leadership is pushing legislation by Congressman Tim Murphy.
[01:05:20.483 --> 01:05:28.085]  If passed, they should call it Murphy's Law because, you know, what could possibly go wrong if you decide to, quote, fix the nation's mental health system?
[01:05:28.485 --> 01:05:30.586]  Well, here's what would go wrong with Murphy's Law.
[01:05:30.946 --> 01:05:38.008]  It would lower privacy protection and give states financial incentives to allow judges to mandate psychiatric treatment.
[01:05:38.768 --> 01:05:52.414]  The Democrats, meanwhile, are trying to push a law that would ban gun purchases for those who have been put on the government's watch list secretly, without knowing they're on, without opportunity to confront the charges and the witnesses publicly in court, as guaranteed by the Constitution.
[01:05:53.114 --> 01:06:01.897]  So because of one man's act, Republicans offer us political abuse of psychiatry, and Democrats offer us punishments from secret star chambers.
[01:06:02.378 --> 01:06:04.699]  For more information, go to Infowars.com.
[01:06:05.099 --> 01:06:05.639]  I'm David Knight.
[01:06:08.877 --> 01:06:12.078]  When cells become toxic, they die early and aging sets in.
[01:06:12.398 --> 01:06:20.401]  No one has put together a formula that focuses directly on brain health, nerve growth factors, and optimizing your cellular energy at the same time.
[01:06:20.641 --> 01:06:25.662]  Just one of the key compounds, BioPQQ, is backed by major clinical studies.
[01:06:26.062 --> 01:06:28.343]  You want the best that's out there at the lowest price anywhere?
[01:06:28.583 --> 01:06:30.384]  We now have the synergistic solution.
[01:06:30.684 --> 01:06:34.885]  Secure your DNA force today at InfoWarsLife.com or call toll-free 888-253-3139.
[01:06:38.849 --> 01:06:43.052]  Used since before the days of the Roman Empire to support the body's natural systems.
[01:06:43.232 --> 01:06:47.194]  Introducing the new Infowarslife.com Oil of Oregano Formulation.
[01:06:47.374 --> 01:06:52.157]  We have now procured the most high quality and potent forms of oregano oil on the market.
[01:06:52.337 --> 01:06:56.840]  Extracted directly from the wild herb and sealed in easy to use capsules.
[01:06:57.000 --> 01:07:00.302]  You will no longer need to endure the burning of liquid oregano on the tongue.
[01:07:00.462 --> 01:07:03.784]  Now available in our limited first run at Infowarslife.com.
[01:07:03.924 --> 01:07:05.745]  That's Infowarslife.com or call 888-253-3139.
[01:07:08.607 --> 01:07:11.588]  A clean, toxic-free body is the foundation of true health.
[01:07:11.808 --> 01:07:13.989]  Deep Cleanse by InfoWarsLife.com.
[01:07:14.169 --> 01:07:20.871]  A scientifically formulated blend of nanocolloidal zeolites and organic ingredients that aid the body in cleansing chemicals and toxic metals.
[01:07:21.171 --> 01:07:26.353]  Using our proprietary multi-step extraction technology, Deep Cleanse is our most affordable all-in-one cleanser.
[01:07:26.493 --> 01:07:35.476]  With concentrated organic compounds like cilantro, milk thistle, fulvic acid, orange peel, zeolites, and others, Deep Cleanse doesn't hold back.
[01:07:35.916 --> 01:07:44.529]  Instead of buying five, six, or even seven different cleansing products, we use decades-old scientific research to put together the Rolls-Royce of all-in-one cleansing.
[01:07:44.789 --> 01:07:51.700]  Look, there's a reason Deep Cleanse is the only product on the market that uses our proprietary Spite G-Rex herbal processing technique.
[01:07:51.880 --> 01:07:58.103]  We use only the highest quality organic herbs backed by serious research and we still bring it to you at the best price out there.
[01:07:58.243 --> 01:08:02.985]  If you wish to find deep cleanse and experience the all-in-one cleansing, visit InfoWarsLife.com.
[01:08:03.165 --> 01:08:05.106]  That's InfoWarsLife.com or call 888-253-3139.
[01:08:22.108 --> 01:08:29.634]  The world is a dangerous place, not because of evil, but because of those who look on and do nothing.
[01:08:30.615 --> 01:08:34.498]  If you are receiving this transmission, you are the resistance.
[01:08:34.959 --> 01:08:38.762]  We now take you live to the Central Texas Command Center.
[01:08:39.142 --> 01:08:40.724]  It's Alex Jones.
[01:08:52.751 --> 01:08:55.453]  People should not be afraid of their governments.
[01:08:55.613 --> 01:09:05.441]  Governments should be afraid of their people.
[01:09:06.942 --> 01:09:10.245]  Our government was responsible for the deaths of all of us.
[01:09:23.326 --> 01:09:25.193]  I hear him inside.
[01:09:25.293 --> 01:09:27.824]  Several party members have been murdered, Chief of Staff.
[01:09:34.656 --> 01:09:39.080]  We're interrupting your regularly scheduled program to bring you this terrifying report.
[01:09:39.160 --> 01:09:41.642]  It was almost as if it were a planned implosion.
[01:09:42.202 --> 01:09:43.704]  It just pancaked.
[01:09:44.184 --> 01:09:47.987]  Jane, what more can you tell us about the Salomon Brothers building and its collapse?
[01:09:48.228 --> 01:09:50.970]  New York, very much a city still in chaos.
[01:09:51.010 --> 01:09:55.274]  The phones are not working properly, the subway lines are not working properly.
[01:09:55.314 --> 01:10:00.118]  The sky now black with smoke in front of us, just across the Tigris River here.
[01:10:00.658 --> 01:10:04.700]  This is shock and awe, Tom, to the population of Baghdad.
[01:10:05.620 --> 01:10:07.341]  Shock and awe, indeed.
[01:10:07.801 --> 01:10:13.644]  The people you liberate will witness the honorable and decent spirit of the American military.
[01:10:13.804 --> 01:10:16.766]  Either you are with us, or you are with the terrorists.
[01:10:17.106 --> 01:10:17.766]  Come on!
[01:10:19.967 --> 01:10:21.388]  It is a big idea.
[01:10:21.948 --> 01:10:23.008]  A new world order.
[01:10:23.249 --> 01:10:23.989]  I love my dad.
[01:10:25.220 --> 01:10:26.341]  I'd kill for him.
[01:10:26.481 --> 01:10:28.444]  I'd go to prison for him because I love him so much.
[01:10:28.604 --> 01:10:29.605]  I love Bill Clinton.
[01:10:29.665 --> 01:10:32.027]  What does that make Hillary Clinton to the Bush family?
[01:10:32.808 --> 01:10:33.609]  My sister-in-law.
[01:10:33.709 --> 01:10:39.575]  When you are subverting the power of government, that's a fundamentally dangerous thing to democracy.
[01:10:39.595 --> 01:10:40.917]  What do you think of Edward Snowden?
[01:10:41.758 --> 01:10:42.659]  I think he's a traitor.
[01:10:42.919 --> 01:10:44.741]  Obama is the one that kills the U.S.
[01:10:44.801 --> 01:10:46.382]  troops if the Russians bomb any of them.
[01:10:46.583 --> 01:10:48.444]  Obama is the one that put them in harm's way.
[01:10:48.584 --> 01:10:50.827]  Obama is the one using them as human shields.
[01:10:51.007 --> 01:10:55.271]  It is the most corrupt, degenerate, criminal government in American history.
[01:10:55.371 --> 01:10:56.332]  I'm here to warn people!
[01:10:56.372 --> 01:10:57.653]  You keep telling me to shut up!
[01:10:57.933 --> 01:10:58.834]  This isn't a game!
[01:11:03.499 --> 01:11:04.739]  Welcome to America, ISIS!
[01:11:04.779 --> 01:11:05.900]  This is what we do!
[01:11:06.080 --> 01:11:07.060]  Woo!
[01:11:07.541 --> 01:11:10.482]  We got people that have taken your asses out in this building right now.
[01:11:10.602 --> 01:11:12.302]  We're armed to the teeth, and we're not scared.
[01:11:12.322 --> 01:11:13.623]  You got that, you sons of bitches?
[01:11:13.863 --> 01:11:23.086]  In 2012, your agency was saying, quote, the Salafists, the Muslim Brotherhood, and Al-Qaeda in Iraq are the major forces driving the insurgents in Syria.
[01:11:23.226 --> 01:11:27.268]  In 2012, the US was helping coordinate arms transfers to those same groups.
[01:11:27.788 --> 01:11:28.808]  Why did you not stop that?
[01:11:28.868 --> 01:11:30.029]  Why didn't you come forward before?
[01:11:30.289 --> 01:11:31.429]  What were you waiting for?
[01:11:31.649 --> 01:11:33.050]  Well, for you, Inspector.
[01:11:34.104 --> 01:11:34.784]  I needed you.
[01:11:35.164 --> 01:11:42.646]  This is a domino's turn for me.
[01:11:42.666 --> 01:11:44.206]  Everything's connected.
[01:11:44.226 --> 01:11:48.527]  We're all part of it.
[01:11:49.227 --> 01:11:51.267]  I have a good death.
[01:11:51.287 --> 01:11:52.288]  Are we ready for it?
[01:11:54.488 --> 01:11:59.489]  From the front lines of the Information War, it's Alex Jones.
[01:12:04.226 --> 01:12:08.508]  You know, my dad at 110% believed in this country growing up.
[01:12:09.768 --> 01:12:15.810]  And my dad was involved in all sorts of different volunteer things in high school and college and even some clandestine things.
[01:12:17.911 --> 01:12:29.275]  And then even after he'd done all that for this country, for no money, the IRS came when he had a dental office and claimed all these back taxes that he didn't know.
[01:12:29.936 --> 01:12:32.377]  And the IRS sat there in the mid-1980s
[01:12:35.074 --> 01:12:35.914]  It's own agency.
[01:12:38.135 --> 01:12:41.817]  Even Reagan couldn't stop what they were doing and said, we're criminals, Mr. Jones.
[01:12:42.497 --> 01:12:46.519]  And so we had to sell everything we basically had to pay the IRS what they claimed he owed.
[01:12:48.499 --> 01:12:53.661]  And this woman sat, he brought in all his receipts, all his documents, his lawyer, and she said, we're organized criminals.
[01:12:54.902 --> 01:12:55.902]  We don't care.
[01:12:56.242 --> 01:12:57.463]  We're going to set you up in court.
[01:12:57.823 --> 01:12:58.944]  We're going to put you in prison.
[01:12:59.464 --> 01:13:00.924]  And he said, this isn't America.
[01:13:00.964 --> 01:13:02.005]  And they said, no, it's not.
[01:13:02.898 --> 01:13:03.539]  Well, you know what?
[01:13:03.839 --> 01:13:04.700]  I am America.
[01:13:06.101 --> 01:13:07.362]  And I watched all that happen.
