[00:00:00.070 --> 00:00:00.332]  The show.
[00:41:31.544 --> 00:41:38.168]  They've just got to find an ignorant enough group to do it, to seal the deal and get the civil war going.
[00:41:38.629 --> 00:41:42.131]  And the reason I harp on that is, that's their whole ballgame domestically.
[00:41:42.611 --> 00:41:44.172]  Just like it's their ballgame in other countries.
[00:41:44.513 --> 00:41:59.703]  Ukraine, Yemen, Syria, Libya, Angola, the Congo, Indonesia, everywhere else.
[00:42:03.021 --> 00:42:06.623]  It's just frustrating knowing how right I am, having the whole battle plan.
[00:42:07.823 --> 00:42:09.784]  And then it's all public is what's frustrating.
[00:42:11.184 --> 00:42:22.409]  And I can't find many government people, or many intellectual scientists, PhDs, that even have close to the grasp I have.
[00:42:22.429 --> 00:42:23.890]  Do you know how scary that is?
[00:42:24.450 --> 00:42:26.711]  Because I'm not on a power trip, I don't think of myself as that smart.
[00:42:28.223 --> 00:42:34.906]  And then I do talk to medical doctors, scientists, genetic engineers, and people, and they go, yes, we know it's very sad.
[00:42:35.346 --> 00:42:42.208]  That's why we've moved to the country and just want to try to raise our children and hope we can have some life before the overwrite comes.
[00:42:43.629 --> 00:42:52.212]  I can't tell you how many times I've been invited to some cookout or to some mansion, you know, out in the hill country.
[00:42:52.412 --> 00:42:55.834]  And, and, and, you know, you're looking at people's, uh,
[00:42:57.324 --> 00:43:20.143]  Diplomas on the walls, nobody else at the party is, and you strike up a conversation with somebody, and then they go, oh yes, I know your show, I don't really tune in because I separately learned about this when I was a graduate student at MIT, and you know, my wife and I and the children, we're just here, you know, waiting, and oh, these are some of our friends, they understand as well.
[00:43:20.803 --> 00:43:22.684]  And you're just like, so you're just not even going to fight it.
[00:43:22.704 --> 00:43:26.365]  You're just going to go run off to the countryside and just wait for this to come.
[00:43:26.705 --> 00:43:28.165]  I mean, it's just, it's crazy.
[00:43:28.545 --> 00:43:34.587]  Or you got the Eric Schmitz running around giggling with Bill Joy and all the other elites going, yeah, everybody's going to be exterminated.
[00:43:34.607 --> 00:43:35.647]  Ha ha, world government.
[00:43:36.147 --> 00:43:38.448]  Yeah, micro mosquitoes are going to suck your blood.
[00:43:38.488 --> 00:43:40.808]  Bill Gates is coming out with those forced inoculations.
[00:43:40.868 --> 00:43:41.809]  It's all being announced.
[00:43:44.469 --> 00:43:46.730]  Schmidt comes out and announces brain chips, you know.
[00:43:49.364 --> 00:43:57.609]  We need a graphic or somebody out there, a cartoonist, to show 1947, the television, and no longer are people around the table eating dinner.
[00:43:57.649 --> 00:43:59.851]  Now they're sitting there looking at the television.
[00:43:59.931 --> 00:44:01.111]  It's now the father figure.
[00:44:01.612 --> 00:44:02.812]  It now gives all the orders.
[00:44:03.433 --> 00:44:04.854]  And so Daddy's comfortable with it.
[00:44:05.094 --> 00:44:07.555]  The first messages are pretty much in line with Daddy.
[00:44:08.516 --> 00:44:10.097]  So Daddy says, this is good.
[00:44:10.497 --> 00:44:11.118]  This is good.
[00:44:11.438 --> 00:44:12.218]  This is good food.
[00:44:12.478 --> 00:44:13.199]  This is good water.
[00:44:14.520 --> 00:44:16.061]  Lines up everybody to do what it says.
[00:44:16.823 --> 00:44:18.203]  Couple years later, it changed a little bit.
[00:44:18.243 --> 00:44:20.104]  Daddy doesn't like that, but he's got shows he likes.
[00:44:20.424 --> 00:44:21.704]  Mama's got shows she likes.
[00:44:22.084 --> 00:44:25.545]  Junior and little Betty, they've all got shows they like.
[00:44:26.045 --> 00:44:27.865]  See, it's all departmentalized now, the programming.
[00:44:29.926 --> 00:44:31.406]  All war-gamed out on record.
[00:44:32.526 --> 00:44:40.228]  And then you go from television to the flat screens and the computers and the handhelds to the glasses to the...
[00:44:41.598 --> 00:44:51.865]  contacts to the implants and you can see the television evolve towards from the proto-matrix to the matrix.
[00:44:54.567 --> 00:45:11.019]  And then you discover back in the seventies the National Federation of Scientists and the International Federation all wrote about this, the plan, the Pentagon, how we'll finally, if they allow us to even live, we will be from birth to death in virtual reality
[00:45:12.310 --> 00:45:19.417]  Sensory deprivation tanks with wires and chips in our brains, and our heat will be used to power things.
[00:45:19.918 --> 00:45:20.719]  Oh, the Matrix!
[00:45:21.179 --> 00:45:26.444]  And you find out, that's their plan, if they even decide to use us, is to put us in tanks!
[00:45:27.605 --> 00:45:30.448]  Go look it up, it's in my book, Descent into Tyranny, it's online.
[00:45:31.469 --> 00:45:34.112]  You can go pull up all that stuff, I mean, I just cannot believe it.
[00:45:38.294 --> 00:45:44.999]  And people will opt to be movie stars in the fantasy world and to be put into the tanks.
[00:45:45.980 --> 00:45:54.947]  And at first, just like they condition you, you'll have a simulation body that'll be biomechanical that you'll still be able to run around in the real world.
[00:45:56.288 --> 00:46:00.991]  But pretty soon folks will just hang those up like an old pair of roller skates and you'll just live in the tank.
[00:46:02.653 --> 00:46:04.314]  They made a Bruce Willis movie about that.
[00:46:08.749 --> 00:46:10.231]  God, they just throw it all in our face.
[00:46:13.596 --> 00:46:19.244]  Alright, I'm gonna go to John and Matt and Frank and Stefan and Kevin and everybody else here.
[00:46:21.567 --> 00:46:23.250]  You know, I don't know what I'm supposed to do, okay?
[00:46:25.293 --> 00:46:25.973]  It's all true.
[00:46:26.013 --> 00:46:26.894]  It's all happening.
[00:46:26.914 --> 00:46:28.174]  The government runs Al-Qaeda.
[00:46:28.315 --> 00:46:40.380]  They're putting cancer viruses in your vaccines, fluoride in your water to brain damage, your Harvard studies, and then I've got all their admissions where they, you know, write about in all these countless books, like Ecoscience and others, why they're doing it so that you're more manageable.
[00:46:40.641 --> 00:46:42.421]  I mean, they're just murdering our brains already.
[00:46:43.022 --> 00:46:43.722]  So just whatever!
[00:46:43.782 --> 00:46:44.963]  Turn the world over to pure evil?
[00:46:45.003 --> 00:46:45.203]  Great!
[00:46:47.042 --> 00:46:51.604]  Because all these evil technocrats have little beards and are real skinny and talk real soft.
[00:46:52.264 --> 00:46:55.005]  Oh, hi, I'm Paul Ehrlichman.
[00:46:55.065 --> 00:46:56.265]  I'm John P. Haldren.
[00:46:56.385 --> 00:46:57.786]  Oh, hi, I'm Bill Gates.
[00:46:58.446 --> 00:46:59.106]  Oh, hi!
[00:46:59.566 --> 00:47:04.788]  You know, if we didn't give an old lady health care, we could hire ten teachers, but that's a death penalty.
[00:47:04.808 --> 00:47:05.668]  This is my...
[00:47:08.169 --> 00:47:17.053]  This is my disciplined act to make you not understand I am a super mega alpha male psychopath, hardcore aggressive.
[00:47:19.615 --> 00:47:30.040]  I work about 16 hours a day flying all over in geoengineering, mapping how to poison your intestines with the vaccines and then have treatments for it, bioweapons.
[00:47:30.720 --> 00:47:32.341]  You know, it's just all real funny.
[00:47:33.439 --> 00:47:35.061]  It's all real funny.
[00:47:35.081 --> 00:47:37.503]  It's all real NPR.
[00:47:38.444 --> 00:47:38.484]  Hi!
[00:47:38.784 --> 00:47:39.925]  We're not a threat.
[00:47:40.346 --> 00:47:41.587]  Here's a smart meter.
[00:47:42.147 --> 00:47:43.629]  Here's a phone for your kid.
[00:47:43.929 --> 00:47:46.151]  Here's a shot so you don't get sick.
[00:47:46.732 --> 00:47:48.133]  We really love you.
[00:47:48.153 --> 00:47:48.233]  Okay?
[00:47:51.957 --> 00:47:54.719]  When in truth, if you could hear them, it wouldn't even be intelligible.
[00:47:54.759 --> 00:47:59.824]  Their souls is just more like screaming and nails on chalk.
[00:48:00.024 --> 00:48:03.687]  Like a Tasmanian devil that wants to rip you and your family to pieces.
[00:48:04.027 --> 00:48:05.348]  But oh, I'm liberal.
[00:48:05.368 --> 00:48:06.649]  Oh, it's for your own good.
[00:48:06.669 --> 00:48:07.550]  Oh, yeah.
[00:48:32.190 --> 00:48:33.371]  All they want is compliance.
[00:48:34.492 --> 00:48:39.755]  And as society degenerates, the police will be trained that if you don't comply immediately, you'll just be shot on the spot.
[00:48:42.397 --> 00:48:47.700]  And then more cops will get killed as the warrior instinct kicks in in the public to see them as the enemy.
[00:48:47.720 --> 00:48:51.303]  And that'll further militarize the police.
[00:48:51.863 --> 00:48:54.905]  Then their numbers of dead will be so high, the robots will roll out.
[00:48:58.448 --> 00:49:01.510]  See, our pushing against the police is what will then
[00:49:02.682 --> 00:49:20.038]  incentivize and energize them in a laboratory war game to transfer them from peace officers to occupying technicians in the transition to the rise of the machines.
[00:49:25.143 --> 00:49:26.424]  And they'll never know what hit them either.
[00:49:28.373 --> 00:49:35.639]  They don't know why their kids are dying of cancer, or why their kids can't talk, or why their young wife's got cancer, or why their brother's got cancer.
[00:49:35.679 --> 00:49:36.319]  They don't know either.
[00:49:36.339 --> 00:49:37.180]  They're just like the public.
[00:49:37.200 --> 00:49:38.141]  They're just like babies.
[00:49:38.781 --> 00:49:40.282]  Babes to slaughter like everybody else.
[00:49:40.302 --> 00:49:40.943]  They just don't know.
[00:49:42.804 --> 00:49:45.226]  It's just too much fun to be part of the system.
[00:49:46.007 --> 00:49:49.890]  The system knows how to archetypally program people in ancient human emotions.
[00:49:51.171 --> 00:49:53.533]  We're gonna go to break, come back with your calls, and then I'll
[00:49:56.547 --> 00:49:59.589]  I'll get to the police stuff and tie it into this incredible video.
[00:50:01.871 --> 00:50:03.132]  These two stories tie together.
[00:50:03.192 --> 00:50:07.635]  Video, UFC star Taze arrested after asking cops for ID.
[00:50:09.237 --> 00:50:15.601]  Another one, black man who tortured and executed two white teens makes Black Lives Matter speech at sentencing.
[00:50:15.942 --> 00:50:20.665]  The family said, we forgive you for killing our sons and torturing them to death.
[00:50:20.705 --> 00:50:22.486]  And then he just says, look, it's okay.
[00:50:22.546 --> 00:50:24.288]  I did it because there's a war on blacks.
[00:50:26.820 --> 00:50:28.521]  And this guy thinks he's good for doing it.
[00:50:29.302 --> 00:50:36.507]  Just like as the police commit crimes against the public, the public more and more will see them as the enemy and then just randomly kill cops.
[00:50:36.987 --> 00:50:37.708]  It's the same thing.
[00:50:37.768 --> 00:50:42.732]  Some white person does something bad to you when you're black, so then a random white person needs to die.
[00:50:43.052 --> 00:50:47.115]  This is the mindless tribalism programming that's unfolding.
[00:50:49.452 --> 00:50:53.636]  By the way, at current sales rates, we will sell out of Ancient Defense by sometime next week.
[00:50:53.776 --> 00:50:54.937]  It's 25% off.
[00:50:55.498 --> 00:51:01.363]  One of the best herbal immunity boosters out there, and it is very well priced at $14.95.
[00:51:01.603 --> 00:51:04.486]  Two ounces of it, that's over a month's supply.
[00:51:05.487 --> 00:51:07.228]  Everybody should be boosting their immunity right now.
[00:51:07.288 --> 00:51:08.109]  Infowarslife.com.
[00:51:10.211 --> 00:51:12.992]  This Hour of GCN brought to you by Lissig.
[00:51:13.032 --> 00:51:18.315]  The highest quality smokeless cigarettes, e-liquids, e-cig refills, car chargers and starter kits.
[00:51:18.435 --> 00:51:20.156]  Kick some ash with Lissig.
[00:51:20.216 --> 00:51:21.276]  Call 870-525-1440 or visit Lissig.com.
[00:51:25.046 --> 00:51:27.148]  Hi, Ted Anderson with Midas Resources.
[00:51:27.388 --> 00:51:31.933]  Is it time to convert paper 401ks and IRAs to solid gold and silver yet?
[00:51:32.093 --> 00:51:33.674]  Get our 10 Reasons book free.
[00:51:33.854 --> 00:51:34.595]  Call 800-686-2237.
[00:51:35.796 --> 00:51:37.298]  That's 800-686-2237.
[00:51:39.940 --> 00:51:42.563]  Managing your business and customers isn't easy, huh?
[00:51:42.823 --> 00:51:46.626]  Snapforce Customer Relationship Software may be just what you need.
[00:51:46.867 --> 00:51:49.209]  Snapforce CRM is a software solution.
[00:51:49.369 --> 00:51:49.649]  We're good.
[00:52:09.523 --> 00:52:12.105]  Hi folks, Alex Jones here with some important information.
[00:52:12.366 --> 00:52:17.230]  I want to tell you about Matt Redhawk and his team of Patriots over at MyPatriotSupply.
[00:52:17.490 --> 00:52:25.377]  Several years ago, Matt was sitting in his two-bedroom apartment, frustrated with the direction this country was headed and the Charlatans willing to sell us out for a quick buck.
[00:52:25.618 --> 00:52:29.921]  Deciding to take action, a company run by Patriots for Patriots was born.
[00:52:30.142 --> 00:52:33.945]  MyPatriotSupply has never taken a loan or accepted outside funding.
[00:52:34.085 --> 00:52:39.809]  They now operate two distribution facilities and employ over 50 hard-working American men and women.
[00:52:40.049 --> 00:52:42.831]  It is rare to find companies who practice what they preach.
[00:52:43.211 --> 00:52:48.435]  And that's why I stock my pantry with high-quality, storable foods from My Patriot Supply.
[00:52:48.575 --> 00:52:56.700]  Go to mypatriotsupply.com for special offers on emergency food storage or call their preparedness specialist at 866-229-0927.
[00:52:56.760 --> 00:52:56.940]  That's 866-229-0927.
[00:53:06.407 --> 00:53:11.792]  This is a serious topic for all men.
[00:53:12.172 --> 00:53:16.256]  Every single man listening may have a prostate problem if he lives long enough.
[00:53:16.616 --> 00:53:17.057]  That's right.
[00:53:17.497 --> 00:53:19.899]  All of us men may suffer from a prostate problem.
[00:53:20.220 --> 00:53:24.804]  Like urinating more often, waking at night to urinate, or problems with intimacy.
[00:53:25.064 --> 00:53:30.289]  That's why every man needs to call for a free bottle of Super Beta Prostate.
[00:53:30.589 --> 00:53:35.473]  A non-prescription formula guaranteed to reduce the symptoms of your enlarged prostate.
[00:53:35.814 --> 00:53:38.055]  It's free, pay only, shipping and handling.
[00:53:38.336 --> 00:53:41.598]  Just call 1-800-964-7470.
[00:53:41.839 --> 00:53:46.923]  Prostate problems may not be an issue of if, they can be an issue of when.
[00:53:47.383 --> 00:53:56.151]  Super Beta Prostate's ingredient is clinically shown to reduce urges to urinate, reduce waking at night to go, and help improve intimacy.
[00:53:56.491 --> 00:53:57.891]  Call for your free bottle.
[00:53:58.231 --> 00:53:58.751]  Just call 1-800-964-7470.
[00:53:58.771 --> 00:53:58.991]  That's 1-800-964-7470.
[00:53:59.011 --> 00:53:59.171]  Call 1-800-964-7470.
[00:53:59.211 --> 00:54:00.112]  Riders on the storm.
[00:54:00.132 --> 00:54:00.732]  Riders on the storm.
[00:54:00.752 --> 00:54:02.692]  To this world we're born and to this world we're thrown.
[00:54:02.812 --> 00:54:03.972]  Into this house we're born.
[00:54:27.316 --> 00:54:28.837]  Here's what I have to say on that front.
[00:54:29.118 --> 00:54:40.027]  People deserve at least to know their future is being controlled, their destiny is being destroyed, their free will is being annihilated, and at the end of the tunnel is death.
[00:54:41.888 --> 00:54:42.909]  Death of the species.
[00:54:43.510 --> 00:54:44.871]  Don't worry about yourself dying.
[00:54:44.891 --> 00:54:46.152]  What about your progeny?
[00:54:46.192 --> 00:54:47.433]  What about humanity itself?
[00:54:47.934 --> 00:54:52.197]  What about an elite that decided we're ugly and bad and that we're a scourge on the planet we've got to be gotten rid of?
[00:54:52.217 --> 00:54:55.220]  That's what they teach us, that humans are bad all day and hurt the Earth.
[00:54:56.400 --> 00:54:58.741]  It's so that we don't have our survival mechanism anymore.
[00:55:06.004 --> 00:55:07.544]  Here's some of what we're talking about.
[00:55:07.965 --> 00:55:13.147]  Project HoloLens, our exclusive hands-on with Microsoft's holographic goggles.
[00:55:13.827 --> 00:55:24.151]  Again on a Wired Magazine where everything around you is listed and named, everyone's house, as you drive down the street with these, this is where Bob Jones lives, this is where Tom Sanchez lives, this is where
[00:55:28.993 --> 00:55:36.596]  And again, it's being deployed and used so they can surveil, and so you're now basically a bot for Microsoft or Google while you're out there.
[00:55:38.417 --> 00:55:42.179]  Google glasses didn't take off because it makes people nauseated, so now they come out with this.
[00:55:42.599 --> 00:55:45.701]  And more and more young people say they want to live in a virtual reality.
[00:55:46.961 --> 00:55:50.303]  They see it as a success that they're doing well in their imaginary world.
[00:55:54.585 --> 00:55:55.025]  It's sick.
[00:55:57.602 --> 00:55:58.645]  Let's go to your phone calls.
[00:56:00.391 --> 00:56:02.256]  John in Wyoming, thanks for holding her on the air.
[00:56:03.319 --> 00:56:04.182]  Good morning, Alex.
[00:56:05.753 --> 00:56:14.782]  Alex, here in Sheridan in north central Wyoming, several of us have been fighting this water fluoridation issue now for over four years.
[00:56:15.462 --> 00:56:19.086]  And we have these eugenicists who are running the show up here.
[00:56:19.666 --> 00:56:25.832]  The previous mayor, let's just call him Boss Hog, was the one promoting this.
[00:56:25.872 --> 00:56:29.035]  He was also the one who was fighting any attempt
[00:56:29.751 --> 00:56:38.496]  At us to have the state require food processors to label their foods, whether or not they're wholesome and natural versus genetically modified.
[00:56:39.176 --> 00:56:47.640]  And then when a state senator passed away of health causes, then this guy got himself appointed to the state Senate.
[00:56:48.100 --> 00:56:56.165]  And now he went up to one of the only two of six city council members who had voted against water fluoridation in December of 2010.
[00:56:57.660 --> 00:57:05.982]  And got him all of a sudden to vote for water fluoridation with the promise of he would be the next mayor, which he is now.
[00:57:06.723 --> 00:57:13.844]  So we've got a bunch of shysters up here who are forcing the people despite the fact that in a small town of 17,500 people,
[00:57:16.326 --> 00:57:20.811]  We submitted petitions with over 2,000 signatures.
[00:57:21.211 --> 00:57:23.613]  Yeah, well, what you want doesn't matter, see, because they're the boss.
[00:57:23.653 --> 00:57:24.574]  And, of course, you know what it is.
[00:57:24.594 --> 00:57:37.707]  Depending on the size of your town, I would imagine they're going to, and you probably have the answer to this, but Austin pays millions a year for its so-called fluoride from Florida that's actually hundreds of deadly chemicals, the leftover of phosphate mines.
[00:57:38.488 --> 00:57:40.670]  Uh, and so this would be toxic waste they'd have to store.
[00:57:41.050 --> 00:57:45.073]  They just come grease these politicians with, uh, campaign contributions.
[00:57:45.693 --> 00:57:48.555]  At the state level, maybe $10,000 or so on average.
[00:57:48.575 --> 00:57:49.696]  At the city level, less.
[00:57:50.076 --> 00:57:55.540]  And then they will do that and basically sell you out and then dump poison in your water.
[00:57:56.040 --> 00:57:57.701]  And this is authorized from the top.
[00:57:57.761 --> 00:58:05.627]  All the low-level folks do it for money because it's a hardcore adjuvant, uh, that accelerates all the other trace drugs they're putting in the water.
[00:58:05.647 --> 00:58:07.428]  Uh, and so that's what's going on.
[00:58:08.334 --> 00:58:18.201]  Well, and not only that, Alex, but the fact is Sheridan is the only town in the state of Wyoming which actually adds fluoride to their drinking water.
[00:58:18.221 --> 00:58:19.883]  Yeah, I see the headline out of the Sheridan Press.
[00:58:19.943 --> 00:58:21.844]  Will fluoride make history again in Sheridan?
[00:58:23.265 --> 00:58:26.728]  Yeah, it'll make history, alright, because these bums are gonna get thrown out.
[00:58:28.445 --> 00:58:29.906]  Absolutely, but they'll get new bums.
[00:58:30.266 --> 00:58:32.127]  And again, the essence is keep fighting.
[00:58:32.567 --> 00:58:34.508]  But they need to brain damage you and your family.
[00:58:34.528 --> 00:58:37.089]  They need a seven-fold increase in bone cancer from the fluoride.
[00:58:37.469 --> 00:58:38.649]  They want to hurt you and your family.
[00:58:39.370 --> 00:58:42.091]  These little nobodies, they're just getting 30 pieces of silver.
[00:58:42.431 --> 00:58:43.151]  But great points.
[00:58:43.191 --> 00:58:46.953]  Thank you so much, John, Matt, Frank, Stefan, Kevin.
[00:58:46.973 --> 00:58:48.773]  We're coming all to you straight ahead.
[00:58:52.135 --> 00:58:55.096]  Thank you for listening to GCN.
[00:58:55.116 --> 00:58:56.517]  Visit GCNlive.com today.
[00:59:00.154 --> 00:59:03.655]  The government's Department of Homeland Security is buying up loads of ammo.
[00:59:03.795 --> 00:59:07.756]  At the same time, they're restricting civilians' rights to own and purchase firearms.
[00:59:08.077 --> 00:59:09.537]  Can you put two and two together?
[00:59:09.857 --> 00:59:17.439]  Infidel Body Armor can stop every round, including hollow points and .308 sniper rounds, is reasonably priced, and fully legal.
[00:59:17.720 --> 00:59:18.560]  But for how long?
[00:59:18.860 --> 00:59:25.122]  Go to InfidelBodyArmor.com, spelled I-N-F-I-D-E-L BodyArmor.com.
[00:59:25.502 --> 00:59:28.303]  Infidel Body Armor just won't quit.
[00:59:29.821 --> 00:59:32.924]  When cells become toxic, they die early and aging sets in.
[00:59:33.224 --> 00:59:41.231]  No one has put together a formula that focuses directly on brain health, nerve growth factors, and optimizing your cellular energy at the same time.
[00:59:41.471 --> 00:59:46.495]  Just one of the key compounds, BioPQQ, is backed by major clinical studies.
[00:59:46.895 --> 00:59:49.177]  You want the best that's out there at the lowest price anywhere?
[00:59:49.418 --> 00:59:51.219]  We now have the synergistic solution.
[00:59:51.539 --> 00:59:55.723]  Secure your DNA force today at InfoWarsLife.com or call toll free 888-253-3139.
[01:00:01.986 --> 01:00:04.570]  You're listening to The Alex Jones Show.
[01:00:15.936 --> 01:00:20.117]  Big Brother, Mainstream Media, Government Cover-Ups.
[01:00:20.777 --> 01:00:21.578]  You want answers?
[01:00:22.358 --> 01:00:23.238]  Well, so does he.
[01:00:23.898 --> 01:00:27.539]  He's Alex Jones on the GCN Radio Network.
[01:00:28.079 --> 01:00:32.201]  And now, live from Austin, Texas, Alex Jones.
[01:00:33.001 --> 01:00:43.384]  Front page of InfoWars.com, I pledge allegiance to the flag of the corporate states of America, and to the plutocracy for which it stands, one nation under death, easily divisible with congressman and justice.
[01:00:44.044 --> 01:00:44.344]  Roll!
[01:00:47.967 --> 01:00:48.907]  We had open phones.
[01:00:49.048 --> 01:00:52.489]  I'm going to break down two chilling videos.
[01:00:53.169 --> 01:00:56.651]  UFC star Taze arrested after asking cops for ID.
[01:00:58.192 --> 01:01:03.734]  We also have Texas cops jail woman for walking without a license.
[01:01:03.794 --> 01:01:04.435]  I'm not kidding.
[01:01:06.976 --> 01:01:08.257]  And that ties into this story.
[01:01:08.317 --> 01:01:12.939]  Black man who tortured, executed two white teens, makes Black Lives Matter speech.
[01:01:14.138 --> 01:01:14.258]  Alex?
[01:01:14.298 --> 01:01:14.879]  Hey, how you doing?
[01:01:15.399 --> 01:01:17.001]  I just wanted to talk about 9-11 quickly.
[01:01:17.061 --> 01:01:20.244]  I know this is not in the news... Hey, it's wide open phones, brother.
[01:01:20.264 --> 01:01:22.166]  It's whatever you want to cover.
[01:01:38.243 --> 01:01:41.073]  Alright, well, I mean, I live in Northeast New Jersey.
[01:01:41.113 --> 01:01:44.625]  I live literally five minutes away from Lower Manhattan, and my father was in...
[01:01:45.365 --> 01:01:48.126]  My father was in Midtown and my uncle was in Midtown on that day.
[01:01:48.186 --> 01:01:51.346]  So this is not, you know, removed from my life at all.
[01:01:51.366 --> 01:01:53.347]  This was literally in my life.
[01:01:53.407 --> 01:01:55.547]  My father and my uncle were both in the city at the time.
[01:01:55.587 --> 01:02:02.248]  Now, I guess you preface that because usually the comeback line against anybody questioning the official story is, were you there?
[01:02:02.468 --> 01:02:03.789]  Did you lose anybody?
[01:02:03.829 --> 01:02:04.749]  Then shut up!
[01:02:05.029 --> 01:02:08.530]  Yeah, I lost my freedom as a response to this and I'm going to expose it.
[01:02:08.550 --> 01:02:08.930]  Go ahead.
[01:02:09.770 --> 01:02:14.911]  Okay, so you know that there are multiple smoking guns.
[01:02:15.638 --> 01:02:17.959]  Uh, you know, considering the fraud of 9-11.
[01:02:17.999 --> 01:02:25.500]  Webster Tarpley has been on your show exposing, I don't know, how many different drills he identified that day that went live.
[01:02:26.601 --> 01:02:28.701]  It's absolutely amazing to me.
[01:02:28.781 --> 01:02:33.202]  As somebody who actually experienced this firsthand, and it was scary as hell.
[01:02:33.242 --> 01:02:35.803]  This was a terrifying thing for me.
[01:02:35.883 --> 01:02:37.323]  And I obviously was a lot younger, but
[01:02:37.805 --> 01:02:38.666]  Well, sure.
[01:03:05.569 --> 01:03:06.770]  I hear you and I appreciate your call.
[01:03:06.810 --> 01:03:07.550]  It's great points, Matt.
[01:03:07.690 --> 01:03:13.534]  I'm going to talk to you at the end of the break, come back and come to Stefan and Kevin and Harry and Regina and others.
[01:03:15.175 --> 01:03:19.098]  And in taking nothing away from Tarpley, he wrote Synthetic Terror, 9-11 Synthetic Terror.
[01:03:19.118 --> 01:03:24.361]  It's an excellent book, great analysis, but I don't want to say Webster Tarpley identified drills.
[01:03:25.814 --> 01:03:32.039]  I had guests on who I would then have cover things over and over again, hundreds of times.
[01:03:32.919 --> 01:03:34.340]  But he's not the source of that.
[01:03:35.041 --> 01:03:37.863]  The source is USA Today, Associated Press, Reuters.
[01:03:38.383 --> 01:03:42.246]  For those that are new listeners, it's not that some researchers said that.
[01:03:43.287 --> 01:03:51.693]  The Pentagon, the CIA had drills of jets being flown into the exact same targets that day, two months before, and a year before.
[01:03:52.921 --> 01:04:00.850]  Dick Cheney had an order signed to take the power of the Pentagon and NORAD to shoot down errant aircraft.
[01:04:01.251 --> 01:04:04.634]  He took it away a month and a half before, gave it back a week after.
[01:04:05.996 --> 01:04:07.578]  So he could order the stand down that day.
[01:04:08.547 --> 01:04:15.232]  And we've had Panetta, the head of the Transportation Commission, Norman Panetta come out and say that four times.
[01:04:15.812 --> 01:04:18.994]  We've played the video clips from Congress and he was asked later to clarify.
[01:04:20.035 --> 01:04:22.777]  We've had Senator Graham come out and say there was a stand down.
[01:04:25.499 --> 01:04:30.442]  And that the Saudis were basically quarterbacking the operation, but that NORAD stood down.
[01:04:31.703 --> 01:04:37.848]  So it doesn't mean there aren't terrorists, it doesn't mean there aren't attacks, but inside the government there was a stand down to let that take place.
[01:04:38.749 --> 01:04:41.250]  And we confirmed this, it later even came out.
[01:04:43.592 --> 01:04:49.635]  The Air National Guard refused to stand down on flight 93 and shot the thing down.
[01:04:50.135 --> 01:04:55.859]  And it came out in the air traffic tapes that they put two AIM-9, that's sidewinder missiles, into the aircraft.
[01:04:56.219 --> 01:04:57.499]  And it was going to the Capitol.
[01:04:58.540 --> 01:05:01.822]  Can you imagine the tyranny we'd be under if the Capitol was completely destroyed that day?
[01:05:03.146 --> 01:05:09.219]  So this was an internal coup d'etat, working with Saudi Arabia, as usual, to overthrow the country.
[01:05:10.202 --> 01:05:14.064]  The average person's life is filled with unexpected challenges.
[01:05:14.824 --> 01:05:21.068]  Unlock the energy it takes to defeat these daily beasts with super male or super female vitality.
[01:05:21.188 --> 01:05:30.233]  Specifically designed to assist the body in regulating proper hormone balance to create superior vitality in males and females.
[01:05:30.593 --> 01:05:35.435]  Supercharge and conquer your world at InfoWarsLife.com or call 1-888-253-3139.
[01:05:40.117 --> 01:05:43.618]  The government's Department of Homeland Security is buying up loads of ammo.
[01:05:43.778 --> 01:05:47.719]  At the same time, they're restricting civilians' rights to own and purchase firearms.
[01:05:48.040 --> 01:05:49.500]  Can you put two and two together?
[01:05:49.820 --> 01:05:54.842]  Infidel Body Armor can stop every round, including hollow points and .308 sniper rounds.
[01:05:55.162 --> 01:05:57.402]  It's reasonably priced and fully legal.
[01:05:57.683 --> 01:05:58.523]  But for how long?
[01:05:58.823 --> 01:06:05.085]  Go to InfidelBodyArmor.com, spelled I-N-F-I-D-E-L BodyArmor.com.
[01:06:05.465 --> 01:06:08.266]  Infidel Body Armor just won't quit.
[01:06:09.775 --> 01:06:18.440]  Sold out for weeks due to the difficult and extensive proprietary process behind its creation, the exclusive InfoWars Life Secret 12 formulation is now back in stock.
[01:06:18.761 --> 01:06:28.747]  This ultra-clean vitamin B12 nutraceutical has been carefully crafted and developed over the last two years and is based on cellular science of how your body actively absorbs essential nutrients.
[01:06:29.307 --> 01:06:35.389]  Most forms of vitamin B12 are highly processed and synthetic and could not be properly absorbed by the body.
[01:06:35.729 --> 01:06:41.872]  Secret 12 is a binary of nutrimedical grade bioavailable coenzyme forms of B12.
[01:06:42.132 --> 01:06:45.293]  Methylcobalamin, the same kind used in B12 injections and
[01:06:45.593 --> 01:06:50.317]  Adenosylcobalamin, the most bioactive form that has been created with our proprietary process.
[01:06:50.738 --> 01:06:53.520]  Secret 12 is taken by mouth, right on the tongue, and then swallowed.
[01:06:53.800 --> 01:06:54.961]  No needles, no injections.
[01:06:55.342 --> 01:06:56.663]  Don't take my word for it.
[01:06:56.723 --> 01:06:57.644]  Try it for yourself.
[01:06:57.944 --> 01:06:59.585]  Discover the secret, Secret 12.
