[00:00:00.069 --> 00:00:00.935]  Spend Liberty Worldwide!
[00:52:25.197 --> 00:52:27.058]  That's 888-253-3139.
[00:52:28.379 --> 00:52:29.820]  We have the Silver Bullet, Colloidal Silver.
[00:52:30.140 --> 00:52:31.161]  We have the Lung Cleanse.
[00:52:31.561 --> 00:52:32.602]  We have the Prostagard.
[00:52:32.822 --> 00:52:37.505]  All of these are just over-the-top, highest quality, concentrated, super high power.
[00:52:37.945 --> 00:52:41.248]  Secret 12 is up at InfoWarsLive.com.
[00:52:42.128 --> 00:52:43.849]  The Supramel Vitality, Supramel Vitality.
[00:52:43.869 --> 00:52:46.211]  Don't forget, X2, the best iodine out there.
[00:52:46.651 --> 00:52:48.933]  It's all available at InfoWarsLive.com.
[00:52:48.973 --> 00:52:53.556]  You can get an Oxy Powder discount with Liver Shield right now, even though it's about to sell out.
[00:52:54.361 --> 00:52:59.485]  But again, Knockout, if you wanted to try it out or already ran out of the bottle you got, is now back in stock.
[00:52:59.926 --> 00:53:01.347]  Infowarslife.com.
[00:53:01.387 --> 00:53:10.515]  You can also go to Infowarshealth.com and find the entire line of Longevity products discounted 30% when you sign up for $10 to become a distributor.
[00:53:10.535 --> 00:53:13.598]  You can also sign up for AutoShip and get free shipping.
[00:53:14.318 --> 00:53:30.284]  InfoWarsHealth.com, the pollen burst, the best energy drink out there, super healthy, and of course, Beyond Tangy Tangerine, totally organic, 2.0, and hundreds of other products at InfoWarsLife.com, InfoWarsHealth.com.
[00:53:30.304 --> 00:53:33.485]  There's also a toll-free number there at InfoWarsHealth.com.
[00:53:35.362 --> 00:53:37.203]  So that's what it comes down to.
[00:53:51.832 --> 00:53:54.473]  For prison t-shirts are also very, very popular.
[00:53:54.533 --> 00:53:56.154]  That helps spread the word, so thank you all.
[00:53:56.474 --> 00:54:01.876]  Hillary for prison, 2016 on the front, on the back, Legalize Freedom, InfoWars.com.
[00:54:01.896 --> 00:54:03.917]  It's a very handsome election shirt.
[00:54:04.037 --> 00:54:07.218]  I personally have already worn it out and gotten a lot of positive comments.
[00:54:07.638 --> 00:54:14.141]  I intend to walk around downtown the next few days wearing one and see what folks think about that in some of the trendy areas.
[00:54:14.841 --> 00:54:21.064]  I'm going to ask him if we should put all the gun owners in FEMA camps, like we've done already, and the majority of them do say it's time for slave camps.
[00:54:21.404 --> 00:54:22.005]  We have it on video.
[00:54:22.545 --> 00:54:23.265]  Time for slave camps.
[00:54:24.086 --> 00:54:25.647]  So very, very serious situation.
[00:54:26.447 --> 00:54:30.089]  We're doing Facebook mentions right now as well in here.
[00:54:30.849 --> 00:54:34.211]  We're about to go to Paul Joseph Watson, who I appreciate holding.
[00:54:36.127 --> 00:54:51.298]  I don't think I've ever been more crazed, more upset, more sure of myself that everything we talked about is now coming true and that we are in the absolute hands of psychopathic criminals that have a death wish towards the West and the engine of freedom and prosperity and true liberalism.
[00:54:51.918 --> 00:54:58.523]  I mean, banning father and mother, opening the borders up, saying it's our job to pay for any illegal from anywhere in the world.
[00:55:00.485 --> 00:55:01.866]  It is just too evil.
[00:55:02.526 --> 00:55:04.808]  While all these countries in the Middle East
[00:55:06.365 --> 00:55:13.511]  Are taking in zero of the people, and it's Saudi Arabia launching the attacks in Libya and Syria that are bringing in the refugees.
[00:55:14.251 --> 00:55:21.757]  The very culprits guilty of it, the radical Islamicists, joke and say, we're doing this to destabilize you two months ago.
[00:55:21.777 --> 00:55:23.519]  I mean, pull that up.
[00:55:23.679 --> 00:55:28.102]  ISIS says they're sending 500,000 migrants with sleeper cells.
[00:55:28.905 --> 00:55:32.426]  That was in the Associated Press two months ago, and now it's here.
[00:55:33.086 --> 00:55:41.489]  And the leftists who want voters and divide and conquer in race-based politics are saying we must accept all these people.
[00:55:41.809 --> 00:55:44.930]  Paul Joseph Watson's article is on DrudgeReport.com.
[00:55:45.230 --> 00:55:46.510]  Paul, thank you for joining us.
[00:55:46.790 --> 00:55:53.232]  I know you traveled to Czech Republic where they halted westbound trains just last week to research this yourself.
[00:55:53.552 --> 00:55:56.233]  Investigative journalist Paul Watson, thank you for coming on with us.
[00:55:57.329 --> 00:55:57.789]  Hi Alex.
[00:55:58.350 --> 00:56:03.654]  Yeah, Czech Republic was interesting because they've had the same population for a hundred years.
[00:56:03.734 --> 00:56:06.796]  They've had the same population of around 10 million since 1910.
[00:56:07.697 --> 00:56:10.679]  Now the standard of living is very high.
[00:56:10.839 --> 00:56:15.003]  Prague is a very nice city, but the cost of living is still quite low.
[00:56:15.403 --> 00:56:17.785]  And they've basically got very limited immigration.
[00:56:18.205 --> 00:56:23.969]  So all the people you see working in the restaurants and the bars, you know, the minimarts, the 7-Elevens, whatever,
[00:56:24.750 --> 00:56:31.473]  They're all Czech citizens, because they've limited mass immigration, but they still have a thriving economy.
[00:56:31.913 --> 00:56:46.239]  So it puts to bed this myth that you need mass immigration just to make an economy work, because, you know, the housing is quite low, young people can get on the housing ladder, and it's a thriving economy, and it's got low immigration.
[00:56:46.339 --> 00:56:48.040]  So again, it completely puts that on the bed.
[00:56:48.060 --> 00:56:50.061]  Just like Switzerland, just like Australia.
[00:56:51.274 --> 00:56:57.733]  Yeah, but now what we're seeing in Germany, and in fact, Angela Merkel came out in a rare moment of truth yesterday.
[00:56:58.973 --> 00:57:10.025]  Bearing in mind, you know, 800,000 of these, quote, refugees, which we'll talk about in a minute, most of them aren't even refugees, 800,000 into Germany before the end of this year.
[00:57:10.605 --> 00:57:21.717]  This morning they came out and said another 500,000 every single year, on top of all their other immigration, for an undetermined period way off into the future.
[00:57:22.257 --> 00:57:27.500]  One German town, the New York Times reported, went from 1,000 to 3,000 people in one week.
[00:57:28.001 --> 00:57:32.403]  One picturesque town with 2,000 North Africans squatting in it.
[00:57:33.984 --> 00:57:42.249]  Yeah, so Merkel said, quote, what we are experiencing now is something that will occupy and change our country in coming years.
[00:57:42.709 --> 00:57:44.370]  So they're just throwing the gauntlet down.
[00:57:44.430 --> 00:57:45.511]  You will be dominated.
[00:57:45.771 --> 00:57:46.811]  You will be assimilated.
[00:57:46.831 --> 00:57:47.532]  This is insane.
[00:57:48.800 --> 00:57:50.721]  Yeah, and then I put out a tweet.
[00:57:50.841 --> 00:58:02.166]  There was this German politician, I think he's in the government actually, basically smacking his lips and laughing about how, quote, every year more native Germans die than there are born.
[00:58:02.567 --> 00:58:07.229]  And then he goes on to say, oh, that's because the Nazis were really bad at having children.
[00:58:07.469 --> 00:58:08.730]  Of course they're not the Nazis.
[00:58:08.770 --> 00:58:10.490]  The Nazis were a political party.
[00:58:10.791 --> 00:58:13.432]  He's talking about the host German population.
[00:58:14.052 --> 00:58:16.714]  No, the culture of Germany is now self-hating.
[00:58:17.194 --> 00:58:32.704]  When the West set up Hitler, put him in power, the Rockefellers financed him, he had a peace treaty with England, they set the Germans up, 20 million Germans died, terrible, the Nazis were horrible, but the truth is, the Germans fought the whole world, nobody's ever fought that hard.
[00:58:33.364 --> 00:58:40.089]  The Russians were almost on par with them, and it's a disgraceful, self-hating, dirtbag, filth, piece of crap.
[00:58:40.689 --> 00:58:42.330]  Who hates Western culture.
[00:58:42.670 --> 00:58:43.431]  Stay there, Paul.
[00:58:43.751 --> 00:58:44.511]  We'll be right back.
[00:58:44.612 --> 00:58:46.333]  InfoWars.com.
[00:58:46.613 --> 00:58:47.834]  110% pro-liberty.
[00:58:50.355 --> 00:58:52.176]  You are listening to GCN.
[00:58:53.877 --> 00:58:55.719]  Visit GCNlive.com today.
[00:58:59.821 --> 00:59:09.711]  Most of the InfoWars radio listening audience is aware of the high-quality, affordable firearms available that are made right here in America at HDFirearms.com.
[00:59:09.931 --> 00:59:15.917]  One of the most exciting things about HDFirearms.com is the ability to upgrade your AR-15 platform today.
[00:59:16.077 --> 00:59:18.179]  They call it their low-profile platform.
[00:59:18.399 --> 00:59:19.759]  PVX Muzzle Bricks.
[00:59:20.020 --> 00:59:22.961]  Proven to help control muzzle rise.
[00:59:22.981 --> 00:59:25.501]  6061 Billet Material with Type 3 Hard Coating.
[00:59:25.762 --> 00:59:29.043]  Bolt Carrier Group for .308 and .556 ARs.
[00:59:29.383 --> 00:59:30.643]  Custom Kydex Holsters.
[00:59:30.943 --> 00:59:35.645]  Ideal for concealed carry with .080 thick Kydex to ensure durability.
[00:59:35.805 --> 00:59:38.206]  Most competitors' material use .060.
[00:59:38.306 --> 00:59:41.467]  Configure yours today at HDfirearms.com.
[00:59:41.707 --> 00:59:43.588]  And my favorite, Single Stage Trigger.
[00:59:43.748 --> 00:59:47.149]  A home run upgrade for your AR-15 and AR-10 platforms.
[00:59:47.389 --> 00:59:50.751]  Find out more at HDFirearms.com today or call 770-485-7015.
[00:59:50.951 --> 00:59:51.952]  That's HDFirearms.com or call 770-485-7015.
[00:59:52.112 --> 00:59:55.274]  You're listening to the Alex Jones Show!
[01:00:15.717 --> 01:00:19.860]  Big Brother, Mainstream Media, Government Cover-Ups.
[01:00:20.540 --> 01:00:21.341]  You want answers?
[01:00:22.121 --> 01:00:23.042]  Well, so does he.
[01:00:23.682 --> 01:00:27.305]  He's Alex Jones on the GCN Radio Network.
[01:00:27.865 --> 01:00:31.968]  And now, live from Austin, Texas, Alex Jones.
[01:00:32.468 --> 01:00:40.394]  Americans and Westerners have been more free than other nations because we were willing to fight for basic human freedom and we didn't have pure monopolies.
[01:00:40.554 --> 01:00:42.195]  We started breaking those up 560 years ago or so.
[01:00:45.006 --> 01:00:52.573]  That's why the globalists who are monopoly men, and mainly Europeans, seek to pull up the ladder that's made the technology and the wealth that's helped the planet.
[01:00:53.114 --> 01:01:01.601]  Many wonderful cultures around the world, but the most impoverished, collapsing, barbarous, anti-politically correct countries in the world.
[01:01:02.495 --> 01:01:08.660]  Are now being brought in and told, keep your culture, the West has to give its laissez-faire, open culture up.
[01:01:09.220 --> 01:01:17.606]  For the rest of this segment, and the next, because Paul Watson held for 20 minutes earlier while I was ranting, I'm going to shut up and give my eloquent colleague the floor.
[01:01:18.086 --> 01:01:23.550]  Paul, spend four minutes on what's coming up, you will host the next 12 minutes, because I want you to lay all your intel out.
[01:01:24.031 --> 01:01:26.693]  But I mean, do you not feel in your bones the ancient
[01:01:27.273 --> 01:01:33.542]  Feeling of being overwritten, being enslaved, being conquered with these globalist socialists smacking their lips.
[01:01:33.582 --> 01:01:35.925]  I mean, does it not physically animate you?
[01:01:35.945 --> 01:01:39.069]  Well, precisely because...
[01:01:40.086 --> 01:01:46.928]  The only countries that get, you know, mass multiculturalism imposed on them are white Western countries.
[01:01:47.308 --> 01:01:50.869]  It's racist not to celebrate the cultures of other countries.
[01:01:51.749 --> 01:01:54.150]  But it's also racist to celebrate your own culture.
[01:01:54.170 --> 01:02:03.093]  In fact, in Sweden, they basically now say that if you don't embrace these other cultures, if you do celebrate your own inherent culture, that's racist.
[01:02:03.153 --> 01:02:07.154]  People have been charged with hate crimes for being critical of Islam.
[01:02:07.694 --> 01:02:15.203]  Also in the UK, Paul Weston, the leader of Liberty GB, he was arrested on the street for reading out a Winston Churchill quote.
[01:02:15.883 --> 01:02:25.634]  You've got Tommy Robinson, who's basically the British version of Pamela Gellar, merely planning to attend a meeting about having a draw Mohammed cartoon contest.
[01:02:26.435 --> 01:02:30.017]  Put back in prison by police to prevent him from doing that.
[01:02:30.057 --> 01:02:36.101]  So merely, you know, the thought crime of planning to offend Muslims gets you scooped up by the police.
[01:02:36.461 --> 01:02:38.362]  And then again, look at what's happening in Germany.
[01:02:38.983 --> 01:02:43.045]  There's a school in Germany that's situated right next to a migrant camp.
[01:02:43.385 --> 01:02:48.549]  The head teacher wrote a letter to the parents of the teenage girls at that school saying,
[01:02:49.249 --> 01:02:58.355]  You're not allowed to wear miniskirts because that might offend the migrant and lead to them attacking you and raping you.
[01:02:58.855 --> 01:03:03.518]  So again, we have to adapt to them, they don't have to adapt to us.
[01:03:03.978 --> 01:03:09.221]  And these barbarous behaviours which we talked about in the last segment are going to be imposed upon us.
[01:03:09.742 --> 01:03:13.064]  And there's in fact people on Twitter contacting me today saying,
[01:03:13.504 --> 01:03:14.564]  Yeah, I live in Germany.
[01:03:14.604 --> 01:03:24.488]  My family says they're telling the teen girls there at schools not to wear shorts because they might offend migrants that are moving into the area.
[01:03:24.508 --> 01:03:27.790]  So again, it's all about their culture being imposed on us.
[01:03:28.310 --> 01:03:30.731]  And literally, there are German politicians saying,
[01:03:31.431 --> 01:03:38.553]  You know, the Nazis didn't have enough children, now the German people are dying out, as if that's a good thing!
[01:03:39.093 --> 01:03:44.115]  As if that's a reason why they need to admit 800,000 more migrants into the country.
[01:03:44.635 --> 01:03:53.418]  So, again, going back to the major point is, European citizens have spent the last two years voting against mass immigration.
[01:03:53.458 --> 01:03:57.799]  We've seen it in Sweden, Denmark, the United Kingdom and other countries.
[01:03:58.599 --> 01:04:01.921]  Again, threatening the power base of the European Union.
[01:04:02.401 --> 01:04:11.985]  So they rejected mass multiculturalism on a widespread basis and it was even rejected by people like Cameron and Merkel two, three years ago.
[01:04:12.045 --> 01:04:14.287]  So the EU just blows up the Middle East.
[01:04:15.765 --> 01:04:17.787]  So the Middle East... Go ahead.
[01:04:18.147 --> 01:04:18.668]  No, go ahead.
[01:04:18.708 --> 01:04:29.997]  No, I'm saying they bring it in via the back door, via this migrant crisis, which has been launched on photo ops that are completely misleading, which we can talk about after the break.
[01:04:30.518 --> 01:04:37.343]  And now 90% of the individuals in some of these areas that are coming in from these migrant countries
[01:04:38.004 --> 01:04:39.085]  Stay there, Paul.
[01:04:39.165 --> 01:04:40.546]  Paul can't hear me.
[01:04:40.626 --> 01:04:41.406]  That's what's happening.
[01:04:41.466 --> 01:04:42.987]  We're gonna come back with Paul.
[01:04:43.047 --> 01:04:43.368]  This is key.
[01:05:08.369 --> 01:05:08.511]  Yeah.
[01:05:11.209 --> 01:05:14.770]  ISIS has demanded that Syrian Christians pay an Islam tax.
[01:05:15.150 --> 01:05:17.370]  This is being reported by WorldNetDaily.
[01:05:18.090 --> 01:05:29.973]  ISIS terrorists gathered together dozens of Christian men in Syria and told them either to pay a Sharia-inspired tax and sign onto a list of faith-based restrictions or pay a penalty that could include the loss of life.
[01:05:30.593 --> 01:05:38.635]  Among the restrictions, Christians cannot own guns, build places of worship, show their crosses in public or even ring church bells.
[01:05:39.355 --> 01:05:46.839]  The terrorists put forth their demands to Christians in a town that used to be dominated by the Christian faith, but has been taken over by radical Muslims.
[01:05:47.539 --> 01:05:54.983]  And while many followers of Islam will condemn these actions, numerous people in power continue to fund groups like ISIS and Al Qaeda.
[01:05:55.723 --> 01:06:05.206]  Whether it's airdropping grenades or leaving behind billions of dollars worth of vehicles that they can use against us, these terrorist groups always seem to find the best equipment somewhere.
[01:06:05.707 --> 01:06:08.468]  You can find more reports on InfoWars.com.
[01:06:11.195 --> 01:06:21.101]  Most of the InfoWars radio listening audience is aware of the high-quality, affordable firearms available that are made right here in America at HDFirearms.com.
[01:06:21.322 --> 01:06:27.305]  One of the most exciting things about HDFirearms.com is the ability to upgrade your AR-15 platform today.
[01:06:27.445 --> 01:06:29.607]  They call it their low-profile platform.
[01:06:29.787 --> 01:06:34.370]  PVX Muzzle Bricks, proven to help control muzzle rise.
[01:06:34.410 --> 01:06:36.932]  6061 Billet Material with Type 3 Hard Coating.
[01:06:37.152 --> 01:06:39.033]  Bolt Carrier Group for .308 and .556 ARs.
[01:06:40.774 --> 01:06:42.035]  Custom Kydex holsters.
[01:06:42.335 --> 01:06:47.019]  Ideal for concealed carry with .080 thick Kydex to ensure durability.
[01:06:47.199 --> 01:06:49.601]  Most competitors' material use .060.
[01:06:50.202 --> 01:06:52.844]  Configure yours today at hdfirearms.com.
[01:06:53.084 --> 01:06:54.986]  And my favorite, single stage trigger.
[01:06:55.146 --> 01:06:58.549]  A home run upgrade for your AR-15 and AR-10 platforms.
[01:06:58.769 --> 01:07:02.131]  Find out more at HDfirearms.com today or call 770-485-7015.
[01:07:02.332 --> 01:07:03.332]  That's HDfirearms.com or call 770-485-7015.
[01:07:03.492 --> 01:07:08.716]  For all of recorded history, civilizations around the world praised the health benefits of silver.
[01:07:18.243 --> 01:07:27.675]  At InfoWarsLife, our mission is to bring you the highest quality, purest, cleanest, effective colloidal silver on the market today for the lowest price available.
[01:07:27.936 --> 01:07:34.845]  Now, InfoWarsLife.com has taken colloidal silver to the next level using a cutting-edge technique that is free of toxic artificial additives.
[01:07:35.285 --> 01:07:42.747]  Infowarslife.com developed Silver Bullet by closely working with one of the top silver manufacturing labs in the United States.
[01:07:43.107 --> 01:07:46.448]  We set out to bring you the very best at the lowest price.
[01:07:46.808 --> 01:07:51.530]  Find out more about the proprietary development of Silver Bullet at Infowarslife.com.
[01:07:51.770 --> 01:07:55.831]  In these times, it's essential to have high-quality, loyal silver on hand.
[01:07:56.191 --> 01:07:58.952]  No survival chest is complete without Silver Bullet.
[01:07:59.232 --> 01:08:02.233]  Exclusively available at Infowarslife.com.
[01:08:02.333 --> 01:08:03.833]  Secure your Silver Bullet today.
[01:08:04.093 --> 01:08:07.955]  I have been very honestly upset and hyperbolic today on air because I'm normal.
[01:08:38.235 --> 01:09:04.484]  I have been so incredibly upset by watching the globalists clearly launch a worldwide offensive against families, against private wealth, against private property, and against justice, and candy coat the cyanide pill as sweet and cute political correctness.
[01:09:06.172 --> 01:09:17.442]  The West went in the last five years, destabilized Africa, destabilized the Middle East, tried to kick out our allies in Egypt, tried to take down Assad, took out Gaddafi.
[01:09:18.103 --> 01:09:23.468]  Saudi Arabia funded a radical jihad invasion to radicalize the entire area.
[01:09:24.972 --> 01:09:37.645]  Al Qaeda two months ago said, all over the news, we pulled the articles up last hour, we're going to send 500,000 quote migrants, using the political correct term, to your countries and inside of them send jihadists.
[01:09:38.807 --> 01:09:40.809]  Then when they attack, which they started doing,
[01:09:42.608 --> 01:09:52.412]  Those Western countries can take the general public's liberties at checkpoints and at the TSA style facilities in the name of protecting you.
[01:09:52.952 --> 01:09:54.913]  And now we just showed the headlines last hour.
[01:09:55.313 --> 01:10:00.415]  German newspapers don't wear shorts or miniskirts in public.
[01:10:00.875 --> 01:10:02.996]  You may make the migrants unhappy.
[01:10:03.396 --> 01:10:10.619]  Oh, these people that are here illegally that are carjacking things and taking over ferries and trucks and raping and killing people.
[01:10:10.979 --> 01:10:12.160]  Oh, you don't like it?
[01:10:13.151 --> 01:10:14.963]  That my wife's wearing a short skirt?
[01:10:15.083 --> 01:10:15.868]  Go to hell!
[01:10:17.370 --> 01:10:26.176]  Oh, you don't, see, and it's the left pushing all this, oh, be inclusive, give up your rights, because you hurt someone else.
[01:10:26.856 --> 01:10:32.260]  And they know if they can tell us, don't say the word boy or girl, or father or mother, or husband and wife.
[01:10:32.940 --> 01:10:40.926]  See, first a few years ago it was in government documents, now it's in colleges, it's in schools, and it's in colleges now if you say, yeah, my wife and I are going to dinner tonight.
[01:10:41.246 --> 01:10:45.789]  Whoa, that might hurt somebody, you say the word wife, because you have a wife, you're bad!
[01:10:48.444 --> 01:11:00.247]  And you go, who are these people living in the lap of luxury, the lap of laissez-faire liberalism, true liberalism that lets them live like this, saying you're going to accept radical Muslims in your town.
[01:11:02.047 --> 01:11:03.808]  Because they hate the West.
[01:11:04.648 --> 01:11:13.770]  The socialists have combined with giant third world populations, same things happening here with open borders, to bring the country and the world down.
[01:11:14.030 --> 01:11:15.350]  This is a set plan.
[01:11:16.251 --> 01:11:17.771]  I want to play the clip from the article
[01:11:19.275 --> 01:11:21.056]  That's up on DrudgeReport.com.
[01:11:21.376 --> 01:11:27.581]  Paul Joseph Watson's article, of course, originates at PrisonPlanet.com and InfoWars.com.
[01:11:28.722 --> 01:11:29.702]  And there's other videos.
[01:11:29.742 --> 01:11:33.045]  Muslim refugees arriving in Europe makes cut the throat to the cameraman.
[01:11:33.065 --> 01:11:34.506]  There's this crazed look of hate.
[01:11:35.555 --> 01:11:41.340]  And then we have the other video, Muslim refugees chant Allah Akbar, FU, attack citizens, throw feces.
[01:11:42.061 --> 01:11:42.721]  This is it.
[01:11:42.861 --> 01:11:51.489]  And if they can get millions of illegals here a year and millions into Europe, 800,000 so far this year in Germany alone, the sky is the bloody limit.
[01:11:53.971 --> 01:12:01.338]  And it's not just bring in people and then put them on welfare, it's say to the public, you must submit to them.
[01:12:05.506 --> 01:12:15.236]  Now let's go ahead and again it's like this weird twisted radical Islamic thing with a socialist icing where they're all entitled and angry and you're going to give me everything.
[01:12:15.536 --> 01:12:16.197]  It's so sick.
[01:12:16.557 --> 01:12:23.864]  Let's go ahead now and go to this clip of them screaming Allah Akbar and the cuss words are cut out.
[01:12:23.904 --> 01:12:24.225]  Here it is.
[01:12:26.983 --> 01:12:29.144]  God is great!
[01:12:29.184 --> 01:12:29.924]  God is great!
[01:12:56.512 --> 01:13:08.483]  Alright, now we have another one of a large crowd saying it and F-bombs and F-everybody and throwing feces, but we can't play it because there's so many F-words.
[01:13:09.344 --> 01:13:11.325]  That it would just be unintelligible.
[01:13:11.385 --> 01:13:15.168]  Beep, beep, beep, beep, beep, beep, beep, if we did this.
[01:13:15.848 --> 01:13:24.834]  But imagine in major cities, hundreds of thousands in your town, in small towns, double your number, running around, screaming, demanding everything.
[01:13:26.175 --> 01:13:37.598]  And then just beating people up, carjacking, with the loving liberal media going, how dear, how sweet, behave yourself, roll out the red carpet, and the same thing's being done here.
[01:13:37.958 --> 01:13:42.960]  And Donald Trump says there's a lot of criminals fleeing justice in Latin America coming up here, which is a fact.
[01:13:43.280 --> 01:13:44.400]  They're like, how dare you!
[01:13:44.420 --> 01:13:47.482]  How dare you not take forced inoculations!
[01:13:47.782 --> 01:13:49.802]  How dare you use the word mother or father!
[01:13:50.183 --> 01:13:51.863]  How dare you have a fireplace!
[01:13:52.223 --> 01:13:54.164]  How dare you have the wrong light bulbs!
[01:13:54.384 --> 01:13:56.105]  How dare you have the wrong toilet!
[01:13:56.405 --> 01:13:58.426]  How dare you spank your children!
[01:13:58.626 --> 01:14:00.066]  How dare you go to church!
[01:14:00.426 --> 01:14:03.107]  How dare you not fill out the gay marriage license!
[01:14:03.468 --> 01:14:04.448]  How dare you!
[01:14:04.468 --> 01:14:05.688]  How dare you!
[01:14:06.249 --> 01:14:09.050]  And you know, the brother of Madonna came out who's gay,
[01:14:09.890 --> 01:14:12.531]  And the gay rights activists have said, man, this is real tyranny.
[01:14:13.231 --> 01:14:14.512]  Some other clerk would do that.
[01:14:14.572 --> 01:14:16.313]  We need to let people have their religious views.
[01:14:16.333 --> 01:14:17.293]  He goes, it's weird.
[01:14:17.333 --> 01:14:21.155]  He goes, no one makes Muslims take their headdresses off when they fly.
[01:14:21.175 --> 01:14:22.035]  Everybody else has to.
[01:14:23.096 --> 01:14:26.457]  And he goes, this is the country that allows people to be free.
[01:14:26.537 --> 01:14:27.457]  What's going on here?
[01:14:28.578 --> 01:14:31.359]  We have to let someone for their religious views do something like that.
[01:14:33.100 --> 01:14:35.441]  Because, you know, there are gay people out there that aren't tyrants.
[01:14:37.791 --> 01:14:43.316]  Why does the gay community want to teach our five-year-olds how to be girls if they're boys?
[01:14:44.016 --> 01:14:45.797]  Because it's all just psychological warfare.
[01:14:46.178 --> 01:14:47.459]  It's all setting the precedent.
[01:14:47.819 --> 01:14:49.380]  You can do whatever you want, however you want.
[01:14:49.400 --> 01:14:52.583]  Now, Paul Watson, you've got six minutes in this segment, six in the next.
[01:14:52.643 --> 01:14:53.484]  You've got the floor.
[01:14:54.184 --> 01:14:57.445]  I want you to start over and break down how huge this is.
[01:14:57.985 --> 01:15:11.647]  But undoubtedly, do you concur with me that the globalists on financial collapse, economic warfare, open borders, globalism, they have decided, because their program's failing, to just drop the hammer with total criminality.
[01:15:11.987 --> 01:15:16.788]  The Pope lecturing everyone to take illegals into your homes, but he won't take them into his home.
[01:15:17.168 --> 01:15:19.768]  I mean, they are making their move, Paul.
[01:15:20.108 --> 01:15:20.829]  If we take in 800,000 in just
[01:15:23.029 --> 01:15:29.493]  It's nine months into Germany alone, three million into Europe, half a million in the UK this year we know of.
[01:15:29.873 --> 01:15:32.915]  It sets the precedent and then encourages the next wave.
[01:15:33.175 --> 01:15:35.056]  The last wave was a couple hundred thousand.
[01:15:35.316 --> 01:15:36.057]  Now it's millions.
[01:15:36.277 --> 01:15:37.698]  The next is going to be ten millions.
[01:15:38.098 --> 01:15:41.980]  And the police stand down as they take over the trains, as they take over the ships.
[01:15:42.321 --> 01:15:45.362]  Everyone salutes, loads them on and brings them in.
[01:15:45.703 --> 01:15:48.604]  And the Germans are, do as you are told, submit to them.
[01:15:48.985 --> 01:15:50.526]  I mean, this is getting insane.
[01:15:51.287 --> 01:15:52.717]  Paul Watson, what is going on?
[01:15:52.757 --> 01:15:53.240]  Break it down.
[01:15:54.656 --> 01:15:58.718]  Well, why are governments inviting these, quote, migrants in?
[01:15:58.918 --> 01:16:00.780]  Why are they rolling out the red carpet?
[01:16:01.140 --> 01:16:19.190]  It's because they know once they settle, and they're talking about 800,000 just by the end of this year in Germany, 500,000 every year after that, by the time they settle down, become naturalized citizens, they have children who become naturalized citizens, you create a huge voting bloc, which votes for a bigger welfare state.
[01:16:19.250 --> 01:16:20.791]  And they have six kids on average.
[01:16:20.831 --> 01:16:22.092]  I mean, let's just talk about the facts.
[01:16:23.032 --> 01:16:38.957]  Yeah, which is promoted by these left-wing governments, so that's why it's in their interest to bring in huge numbers of people who have no concept of freedom, have no concept of treating women as first-class citizens, have no concept of, you know, civic responsibility.
[01:16:39.357 --> 01:16:40.798]  They just want the welfare money.
[01:16:41.198 --> 01:16:47.963]  That's why they're not staying in countries like Hungary, like Italy, because they're not showering them with free cash.
[01:16:48.283 --> 01:16:57.430]  They're fleeing to Sweden, they're fleeing to Germany, they'll soon be fleeing to the United Kingdom, because they're going to get free money, which again proves that they're not refugees.
[01:16:57.750 --> 01:17:00.912]  The definition of a refugee is fleeing from danger.
[01:17:01.252 --> 01:17:03.874]  These people are already in safe countries.
[01:17:04.174 --> 01:17:05.976]  They're economic migrants.
[01:17:06.556 --> 01:17:11.122]  Take the young Syrian boy that drowned, for example, which was obviously tragic.
[01:17:11.503 --> 01:17:21.837]  But that has been completely embellished, twisted and manipulated for political propaganda to say, oh, we have to be, you know, we have to have feelings and allow all these people in.
[01:17:22.498 --> 01:17:36.557]  They took that boy and basically dressed him up, flattened down his hair, moved him from one place which wasn't photogenic because he was stuck underneath a rock, put him on the beach, took pictures of him there, took pictures of him in other places.
[01:17:36.577 --> 01:17:37.198]  That's a crime!
[01:17:38.345 --> 01:17:40.406]  His family was already in Turkey.
[01:17:40.706 --> 01:17:42.166]  They weren't coming from Syria.
[01:17:42.386 --> 01:17:44.206]  They were already safe in Turkey.
[01:17:44.507 --> 01:17:46.927]  They were fleeing as economic migrants.
[01:17:46.987 --> 01:17:48.808]  So yes, it's incredibly tragic.
[01:17:49.188 --> 01:18:00.150]  But why are we being manipulated to think that this young boy died as a result of the West's immigration laws when his family was safe, relatively wealthy for the region?
[01:18:00.190 --> 01:18:02.591]  They had relatives in Canada as well.
[01:18:03.171 --> 01:18:06.232]  And they staged the body so they could get the best
[01:18:06.933 --> 01:18:10.946]  Uh, photo for the emotional manipulation... Just like the babies and the incubators.
[01:18:12.213 --> 01:18:15.255]  Yeah, they always use dead kids to rest their propaganda on.
[01:18:15.955 --> 01:18:20.178]  Then you had the guy and his wife and young child in Hungary.
[01:18:20.578 --> 01:18:23.379]  You know, they were on the train tracks wailing and crying.
[01:18:23.720 --> 01:18:25.761]  We saw those photos in the newspapers.
[01:18:26.061 --> 01:18:37.888]  What you didn't see in the video moments before that was that he physically pushed his wife and kids onto the rail track to create that photo op of look at these poor desperate immigrants
[01:18:38.388 --> 01:18:41.630]  When he created that situation with the police in the first place.
