[00:00:00.009 --> 00:00:10.453]  Another world.
[00:24:26.073 --> 00:24:27.233]  People got suckered by it.
[00:24:27.533 --> 00:24:29.653]  That's why his Harvard Law Review said he was from Kenya.
[00:24:29.874 --> 00:24:31.994]  We've got clips of Michelle saying he was born in Kenya.
[00:24:32.354 --> 00:24:34.114]  That was all a cover story, folks.
[00:24:34.495 --> 00:24:35.635]  You look at Frank Marshall Davis.
[00:24:35.755 --> 00:24:36.395]  It's Obama.
[00:24:38.177 --> 00:24:42.500]  And he shacked up with Obama's mom, and he is Frank Marshall Davis' son.
[00:24:43.341 --> 00:24:44.522]  I want to get Gilbert back on.
[00:24:46.183 --> 00:24:50.587]  But Giuliani's now quoting the film, basically, but not giving it credit.
[00:24:51.507 --> 00:24:52.188]  Which is fine.
[00:24:52.608 --> 00:24:55.931]  The point is we sell the DVD at InfoWarsStore.com.
[00:24:55.951 --> 00:24:57.552]  You can purchase it and support us, the filmmaker.
[00:24:57.892 --> 00:24:59.494]  But it will blow you away.
[00:25:00.404 --> 00:25:02.650]  By the way, when I first heard this a few years ago, I didn't believe it.
[00:25:02.670 --> 00:25:04.735]  When I saw it, I was like, oh my god, now it all makes sense.
[00:25:04.995 --> 00:25:08.905]  That's why the White House put out the birth certificate in four different layers.
[00:25:09.949 --> 00:25:24.135]  And it was fake, and they used TypeShed that was the WordPress, Microsoft Word, you know, fake typewriter, because every letter has a little blurb or blob, supposedly from the ink, but like a snowflake with a real typewriter, each one is different.
[00:25:24.776 --> 00:25:27.717]  Well, that right there was fake, because all the words were identical.
[00:25:28.217 --> 00:25:32.079]  You could compare a C to a C, or a D to a D, or a Z to a Z, and it had the same fake
[00:25:32.932 --> 00:25:34.972]  You know, blobs.
[00:25:35.072 --> 00:25:37.013]  Day one we saw and said fake because of that.
[00:25:37.293 --> 00:25:41.493]  A year later, top forensic folks in our PIOS office said the same thing.
[00:25:42.634 --> 00:25:48.035]  But it was all meant to be fake to get us on that trail, believing he was covering up Kenyan roots.
[00:25:48.355 --> 00:25:50.315]  When you look at the Kenyan dad, that's not him.
[00:25:50.375 --> 00:25:51.255]  Doesn't look anything like him.
[00:25:51.495 --> 00:25:53.655]  You look at Frank Marshall Davis, folks, it's him.
[00:25:54.316 --> 00:25:59.636]  But let's go to Giuliani not backing down and bringing up Frank Marshall Davis, Obama's father.
[00:25:59.677 --> 00:26:00.077]  Here it is.
[00:26:00.437 --> 00:26:02.557]  Mr. Mayor, do you want to apologize for your comment?
[00:26:02.737 --> 00:26:04.618]  Not at all, I want to repeat it.
[00:26:04.658 --> 00:26:22.230]  The reality is, from all that I can see of this president, all that I've heard of him, he apologizes for America, he criticizes America, he talks about the Crusades and how the Christians were barbarians, leaves out the second half of the sentence that the Muslims were barbarians also.
[00:26:23.110 --> 00:26:32.220]  He sees Christians slaughtered and doesn't stand up and hold a press conference, although he holds a press conference for the situation in Ferguson.
[00:26:32.640 --> 00:26:39.167]  He sees Jews being killed for anti-Semitic reasons, doesn't stand up and hold a press conference.
[00:26:39.567 --> 00:26:41.910]  This is an American president I've never seen before.
[00:26:42.150 --> 00:26:50.456]  But to say that he doesn't love America, I mean, that he could view foreign policy as a Democrat might view it, and through a different lens than a Republican might.
[00:26:50.476 --> 00:26:50.896]  Cut her off.
[00:26:50.916 --> 00:26:51.817]  Full clip is on Infowars.com.
[00:26:51.837 --> 00:26:54.799]  And this is all PNAC planned to have a clash of civilizations.
[00:26:54.819 --> 00:26:55.499]  Let's get something clear.
[00:26:55.879 --> 00:26:56.660]  I don't hate Muslims.
[00:26:56.680 --> 00:26:57.280]  Everybody knows that.
[00:26:57.300 --> 00:26:58.401]  And I was against all these wars.
[00:26:59.782 --> 00:27:02.744]  But I've studied history, and the Muslims invaded Europe.
[00:27:03.632 --> 00:27:06.093]  They went all the way to Germany, all the way to Poland.
[00:27:06.473 --> 00:27:09.794]  There are huge statues in all those countries of the different kings that stopped them.
[00:27:10.435 --> 00:27:16.777]  Count Dracula in Romania, Transylvania, was a real guy, and stopped them right there.
[00:27:17.518 --> 00:27:21.059]  And they were killing basically everybody, and then grabbing the women and hauling them off.
[00:27:21.379 --> 00:27:23.680]  They took over Spain for about 300 years.
[00:27:24.960 --> 00:27:27.321]  And it was El Cid that took it back.
[00:27:29.932 --> 00:27:30.972]  I mean, I remember going to college.
[00:27:30.992 --> 00:27:31.913]  That's why I got out of college.
[00:27:31.953 --> 00:27:34.334]  I was already successful in radio.
[00:27:34.354 --> 00:27:36.635]  As soon as I got a radio job, I was like, you know, when I'm done.
[00:27:38.235 --> 00:27:41.556]  I was already making more money than most people with, you know, quote, degrees in RTF.
[00:27:41.596 --> 00:27:44.117]  It wasn't that much money, but I said I could pay my bills.
[00:27:44.197 --> 00:27:44.518]  I'm done.
[00:27:44.558 --> 00:27:45.138]  Bye-bye college.
[00:27:45.298 --> 00:27:48.279]  Because I'd go in there and hear about the Crusades and how we were barbaric.
[00:27:48.519 --> 00:27:51.320]  And I was like, hey, I read all the history books because they were so interesting.
[00:27:51.380 --> 00:27:52.441]  I wasn't anti-Muslim.
[00:27:52.801 --> 00:27:55.342]  I wanted to read about history because, let me tell you, it's a page turner.
[00:27:55.602 --> 00:27:56.782]  Battles every page.
[00:27:57.002 --> 00:27:58.263]  Not like some fake novel.
[00:27:59.645 --> 00:28:02.588]  And yeah, you had Vlad the Impaler, Count Dracula, you know.
[00:28:03.229 --> 00:28:06.713]  If people wouldn't be his conscripts and fight the Muslims, he'd stick them on the end of a pole.
[00:28:07.554 --> 00:28:08.475]  He was a barbarian.
[00:28:08.535 --> 00:28:09.356]  But here's the deal.
[00:28:10.116 --> 00:28:12.579]  The Muslims started it and invaded.
[00:28:12.959 --> 00:28:14.741]  Let's just get that straight.
[00:28:15.462 --> 00:28:21.389]  What do you think Spain's La Reconquista, where the rest of Europe came in and kicked the radical Islamists out?
[00:28:22.677 --> 00:28:24.600]  By the way, there were radical and non-radical Islamists.
[00:28:24.620 --> 00:28:27.984]  There were lots of Islamic sects that didn't want to take over, wanted to be left alone.
[00:28:28.044 --> 00:28:29.466]  They were getting enslaved as well.
[00:28:30.327 --> 00:28:33.451]  There's always radical groups that want to use religion as a pretext to take over.
[00:28:33.811 --> 00:28:34.552]  But here's the deal.
[00:28:34.732 --> 00:28:38.998]  Radical Islam is becoming the dominant strain in Islam right now.
[00:28:42.082 --> 00:28:45.344]  Religion of peace or war, jihad or whatever.
[00:28:46.025 --> 00:28:51.608]  It is now run by Saudi Arabia, who wants to conquer the world and they're allied with the globalists.
[00:28:51.948 --> 00:28:54.850]  And our own government is opening the door to bring this in.
[00:28:55.110 --> 00:29:01.414]  And when the terror attacks hit, they're going to take our basic freedoms in the name of fighting it, as the Terror Summit said last week with the White House.
[00:29:01.694 --> 00:29:06.397]  And their main focus will be gun owners, veterans and Christians, not the radical jihadis.
[00:29:06.437 --> 00:29:06.978]  Stay with us.
[00:29:10.200 --> 00:29:15.987]  Used since before the days of the Roman Empire to support the body's natural systems and enhance overall health.
[00:29:16.308 --> 00:29:20.613]  Introducing the new Infowarslife.com oil of oregano formulation.
[00:29:20.913 --> 00:29:28.623]  A highly advanced nutraceutical form of this key herb that has been traditionally used by civilizations for thousands of years to promote health.
[00:29:28.843 --> 00:29:34.067]  We have now procured the most high quality and potent forms of oregano oil on the market.
[00:29:34.367 --> 00:29:39.952]  Sourced from top leading manufacturers to ensure a concentrated level of bioactive ingredients.
[00:29:40.312 --> 00:29:45.136]  Extracted directly from the wild herb and sealed in easy to use capsules.
[00:29:45.276 --> 00:29:48.859]  You will no longer need to endure the burning of liquid oregano on the tongue.
[00:29:49.199 --> 00:29:55.502]  Wild crafted from the Mediterranean oregano species that experts agree is one of the most powerful and most challenging to acquire.
[00:29:55.822 --> 00:30:00.804]  This winter season, it's more important than ever to secure this true form of oil of oregano.
[00:30:00.964 --> 00:30:04.565]  Now available in our limited first run at Infowarslife.com.
[00:30:04.685 --> 00:30:06.606]  That's Infowarslife.com or call 888-253-3139.
[00:30:09.767 --> 00:30:12.830]  The month of February is all about Valentine's Day.
[00:30:13.150 --> 00:30:16.434]  Big heart-shaped boxes filled with delicious candy.
[00:30:16.654 --> 00:30:22.659]  What if we, the patriots, hijacked Valentine's Day and instead made it about human liberty and individual empowerment?
[00:30:22.740 --> 00:30:23.921]  I'm all about human potential.
[00:30:24.121 --> 00:30:26.263]  I'm all about the individual being empowered.
[00:30:26.343 --> 00:30:27.824]  The establishment is the opposite.
[00:30:27.904 --> 00:30:32.446]  That's why they spike our water with fluoride and GMO, estrogen mimickers, and the rest of the garbage.
[00:30:32.706 --> 00:30:37.049]  InfoWars is striking back in the month of February with Human Empowerment Month.
[00:30:37.289 --> 00:30:39.610]  How we can come together and win the human race.
[00:30:39.930 --> 00:30:47.834]  And to celebrate the kickoff of Human Empowerment Month, we're slashing prices on InfoWarsLife.com products like Super Male and Super Female Vitality.
[00:30:47.994 --> 00:30:51.536]  The sale is only running for the month, 20% off, and there's a lot of other
[00:30:51.696 --> 00:30:54.418]  Powerful specials at Infowarslife.com.
[00:30:54.759 --> 00:30:56.460]  Infowarslife.com.
[00:30:56.660 --> 00:30:59.463]  Celebrating human potential in the month of February.
[00:30:59.563 --> 00:31:03.846]  Visit Infowarslife.com to find this special and many others in the month of February.
[00:31:04.066 --> 00:31:06.649]  Again, Infowarslife.com or 888-253-3139.
[00:31:10.814 --> 00:31:11.874]  In the near future.
[00:31:12.155 --> 00:31:16.276]  When you realize how fake it all is, the football, the basketball.
[00:31:16.656 --> 00:31:17.677]  Security alert.
[00:31:17.877 --> 00:31:19.617]  This is Homeland Security.
[00:31:19.877 --> 00:31:20.518]  Analysis.
[00:31:20.758 --> 00:31:21.418]  InfoWars.
[00:31:21.478 --> 00:31:23.439]  Building independent media operations.
[00:31:23.459 --> 00:31:28.441]  You let the worst people get controlled and tell us that we are the ones responsible.
[00:31:28.461 --> 00:31:29.441]  Prime Directive.
[00:31:29.501 --> 00:31:30.942]  Discredit Alex Jones.
[00:31:31.042 --> 00:31:33.843]  Jones is the wildly popular conspiracy theorist.
[00:31:33.903 --> 00:31:36.964]  A popular conspiracy theory talk show called InfoWars.
[00:31:37.144 --> 00:31:39.365]  Alex Jones is now in an Austin jail.
[00:31:39.445 --> 00:31:40.165]  These people are a
[00:31:40.365 --> 00:31:47.828]  You've got to set your eye on the enemy, not worry about what propaganda they put out!
[00:31:48.008 --> 00:31:52.470]  Intellectually, it's begun and you can feel it!
[00:32:09.548 --> 00:32:13.389]  The average person's life is filled with unexpected challenges.
[00:32:14.149 --> 00:32:20.390]  Unlock the energy it takes to defeat these daily beasts with super male or super female vitality.
[00:32:20.530 --> 00:32:29.552]  Specifically designed to assist the body in regulating proper hormone balance to create superior vitality in males and females.
[00:32:29.912 --> 00:32:34.753]  Supercharge and conquer your world at InfoWarsLife.com or call 1-888-253-3139.
[00:32:39.417 --> 00:32:42.919]  The government's Department of Homeland Security is buying up loads of ammo.
[00:32:43.079 --> 00:32:47.021]  At the same time, they're restricting civilians' rights to own and purchase firearms.
[00:32:47.341 --> 00:32:48.802]  Can you put two and two together?
[00:32:49.122 --> 00:32:56.706]  Infidel Body Armor can stop every round, including hollow points and .308 sniper rounds, is reasonably priced, and fully legal.
[00:32:56.986 --> 00:32:57.827]  But for how long?
[00:32:58.127 --> 00:33:04.390]  Go to InfidelBodyArmor.com, spelled I-N-F-I-D-E-L BodyArmor.com.
[00:33:04.770 --> 00:33:07.572]  Infidel Body Armor just won't quit.
[00:33:12.501 --> 00:33:15.243]  You're listening to the Alex Jones Show.
[00:33:16.144 --> 00:33:31.915]  Waging war on corruption.
[00:33:32.335 --> 00:33:34.117]  It's Alex Jones.
[00:33:34.197 --> 00:33:37.219]  It's the time of the season.
[00:33:44.269 --> 00:33:54.012]  You're listening to the Alex Jones Show!
[00:33:54.532 --> 00:33:55.672]  We're here six days a week.
[00:33:55.792 --> 00:33:57.033]  Sundays, 4 to 6 p.m.
[00:33:57.073 --> 00:33:57.413]  Central.
[00:33:58.113 --> 00:33:59.133]  Weekdays, 11 a.m.
[00:33:59.173 --> 00:33:59.593]  to 2 p.m.
[00:33:59.633 --> 00:34:00.013]  Central.
[00:34:00.153 --> 00:34:01.094]  That's 12 noon to 3 p.m.
[00:34:01.134 --> 00:34:01.434]  Eastern.
[00:34:02.014 --> 00:34:03.794]  Don't forget InfoWars Nightly News.
[00:34:04.415 --> 00:34:07.555]  Original, hard-hitting, sometimes live.
[00:34:07.575 --> 00:34:09.456]  7 o'clock Central, weeknights.
[00:34:10.356 --> 00:34:18.582]  At Infowarsnews.com and now already cable and TV systems here and there around the country before I've even officially launched it outside the subscriber base system.
[00:34:20.363 --> 00:34:24.225]  Okay, we can see it on Roku, Boxee, hundreds of other platforms literally.
[00:34:25.606 --> 00:34:31.250]  Yeah, we get about on Roku, Boxee, all the different platforms we can track every night about 300,000 viewers.
[00:34:31.270 --> 00:34:37.794]  You have to understand the radio is millions every day but for TV it's so competitive 300,000 is huge.
[00:34:42.112 --> 00:34:48.618]  300,000 people watching that nightly news and we're getting ready to really drop the hammer in the next few months and go to the next level.
[00:34:48.678 --> 00:34:49.639]  It's very exciting.
[00:34:50.700 --> 00:34:51.741]  But I digress.
[00:34:51.841 --> 00:34:52.982]  Freedom is popular.
[00:34:53.483 --> 00:34:55.425]  Legalize freedom as Ron Paul likes to say.
[00:34:59.335 --> 00:35:00.696]  Let me break something down here.
[00:35:01.036 --> 00:35:08.640]  There are globalist interests that are openly creating global treaties, global governance right now that circumvents national sovereignty.
[00:35:08.660 --> 00:35:18.705]  So everything that these handful of megacorporations are doing is about destroying choice, destroying independence, the family, state government, local government, federal government.
[00:35:19.815 --> 00:35:25.161]  All over the world, they want centralized systems that are under their global hegemon.
[00:35:25.582 --> 00:35:29.246]  That's what Davos Switzerland openly, every year at their meetings, they admit.
[00:35:29.386 --> 00:35:30.367]  Global government.
[00:35:31.469 --> 00:35:34.953]  We're going under this Trans-Pacific Partnership right now that is secret.
[00:35:35.313 --> 00:35:36.615]  Congress can't even see it.
[00:35:37.315 --> 00:35:38.457]  And we're told we're now under it.
[00:35:40.436 --> 00:36:00.073]  So, when you see Al-Qaeda and ISIS, which they admit is formerly Al-Qaeda, same people, same flags, invading Libya, invading Syria, invading Iraq, attacking Egypt, and then Obama won't criticize them very much, or won't call them radicals, but will call Christians and gun owners radicals.
[00:36:03.703 --> 00:36:16.613]  What he's doing is playing to that crowd and his cousin Odinga in Kenya and others that have been on record supporting the Muslim Brotherhood that is basically run by Saudi Arabia as well in destabilizing the entire Middle East.
[00:36:16.633 --> 00:36:18.495]  So you say then, why are we bombing them?
[00:36:18.855 --> 00:36:20.096]  We're not really bombing them.
[00:36:21.177 --> 00:36:27.382]  They'll blow up a few old trucks, whatever, some rogue group not taking orders that doesn't color within the numbers, within the lines.
[00:36:29.043 --> 00:36:32.546]  That's why they've had airdrops over and over again and the Iraqi government's come out and said,
[00:36:33.533 --> 00:36:36.255]  Listen, you're giving them the weapons, you're behind them.
[00:36:36.375 --> 00:36:38.416]  So it's not just me saying this.
[00:36:39.317 --> 00:36:41.058]  I've been watching it for four and a half years.
[00:36:41.138 --> 00:36:48.883]  The West and NATO openly funded out of Saudi Arabia and Israel and Turkey, probably more than anybody militarily, it's Turkey.
[00:36:49.083 --> 00:36:52.185]  The money's Saudi Arabian and the fighters are Saudi Arabian predominantly.
[00:36:52.365 --> 00:36:54.506]  They're also from Qatar and all over Europe.
[00:36:54.566 --> 00:36:56.047]  I mean, they're advertising.
[00:36:56.087 --> 00:36:58.889]  They let them online advertise and run these things.
[00:36:59.409 --> 00:37:02.050]  We get censored all the time on Facebook and Twitter and YouTube.
[00:37:02.510 --> 00:37:03.690]  Oh, but not the jihadis.
[00:37:03.710 --> 00:37:04.630]  They're allowed to operate.
[00:37:04.950 --> 00:37:10.232]  Then they use the fact they're allowed to operate to call for government censorship when there's already rules to shut them down.
[00:37:10.612 --> 00:37:17.913]  See, they let them thrive to then take our liberties, and we're now seeing our predictions come true because it's the same formula.
[00:37:19.194 --> 00:37:24.015]  So these terror threats are real, but they've been protected, they've been funded, they've been grown.
[00:37:25.575 --> 00:37:27.876]  Like in Little Shop of Horrors right here in America.
[00:37:28.336 --> 00:37:29.697]  Feed me Seymour!
[00:37:30.037 --> 00:37:31.317]  I said feed me!
[00:37:32.678 --> 00:37:50.985]  And we've got collaborators in the system that are just going along with this and now, oh we gotta have troops in the Middle East, oh we gotta invade Africa to counter Al-Shabaab and Boko Haram and all these other Saudi Arabian, Wahhabist, Sunni affiliated radicals.
[00:37:52.551 --> 00:38:03.994]  That they're killing Sunnis all over the Middle East and killing other groups, not just Shiites, but members of their own majority faith.
[00:38:05.374 --> 00:38:11.996]  And now Al-Shabaab, which is part of ISIS, calls for an attack on Mall of America in New Video.
[00:38:15.697 --> 00:38:17.577]  And now they're saying we need troops in the malls.
[00:38:18.057 --> 00:38:20.558]  Italy has put their army, as of last week, on the streets.
[00:38:22.273 --> 00:38:31.376]  As ISIS and Al-Shabaab say they're going to flood Europe with 50,000 more Muslims as a soft force, a psychological warfare force for the takeover.
[00:38:31.977 --> 00:38:34.317]  Well, boy, you got good friends in the EU then.
[00:38:34.337 --> 00:38:34.317]  500,000?
[00:38:34.597 --> 00:38:38.679]  There's like 2 million Muslims a year coming into Europe conservatively.
[00:38:39.639 --> 00:38:41.140]  About a quarter of them out of Turkey alone.
[00:38:41.180 --> 00:38:42.600]  I mean, Europe's wide open.
[00:38:42.640 --> 00:38:43.261]  We're wide open.
[00:38:43.521 --> 00:38:45.341]  Our government pays to bring in foreigners.
[00:38:45.741 --> 00:38:47.302]  Pays to bring in unskilled.
[00:38:47.322 --> 00:38:49.423]  It'd be one thing if we brought in skilled like Switzerland.
[00:38:50.339 --> 00:38:51.240]  This is the takedown.
[00:38:51.300 --> 00:38:55.964]  So, you'll have our government in some levels criticizing all this, but they're quarterbacking it.
[00:38:56.544 --> 00:38:58.126]  This is a divide-and-conquer strategy.
[00:38:58.446 --> 00:38:59.587]  Now, you don't have to believe me.
[00:39:01.789 --> 00:39:05.151]  No, ladies and gentlemen, former head U.S.
[00:39:05.191 --> 00:39:15.300]  general in NATO, General Wesley Clark, has come out on CNN and said, our friends and allies funded ISIS to destroy Hezbollah.
[00:39:15.680 --> 00:39:16.441]  Let's stop right there.
[00:39:18.766 --> 00:39:19.266]  That's true.
[00:39:19.786 --> 00:39:30.669]  Israel founded Hamas in 1974, that's Jerusalem Post, the year I was born, 41 years ago, to counter Hezbollah.
[00:39:33.330 --> 00:39:33.810]  And it's true.
[00:39:33.870 --> 00:39:41.792]  Israel's supplying for three years ambulances and satellite information to the Syrian Free Army, or Free Syrian Army, which is Al-Qaeda.
[00:39:42.152 --> 00:39:42.572]  It's a fact.
[00:39:43.359 --> 00:39:45.921]  So you got Giuliani, see how more sophisticated this is?
[00:39:46.201 --> 00:39:53.367]  Criticizing Obama for not getting behind a war against radical Islam, while meanwhile he's saying he's against Netanyahu, Obama.
[00:39:53.928 --> 00:40:08.480]  But meanwhile, Israel with Turkey and Saudi Arabia and Europe, the EU, are all bringing down sovereign nations using the Al-Qaeda, Wahhabist, ISIS, IS, al-Shabaaz, Boko Haram, whatever the name is this week, the same group.
[00:40:10.802 --> 00:40:17.987]  And even Wesley Clark goes on CNN and says that there is an internal fissure in the power elite right now, which is very dangerous.
[00:40:19.188 --> 00:40:20.529]  It's also good.
[00:40:20.589 --> 00:40:27.494]  It shows they're out of control and they're so immoral the military's not going along with it, but they're openly starting to rat each other out on the news.
[00:40:28.214 --> 00:40:33.578]  We should debate what this means, because when you got Wesley Clark saying what I've been saying for four years, look out.
[00:40:35.079 --> 00:40:35.519]  Look out.
[00:40:35.579 --> 00:40:39.122]  You're seeing a lot of rhetoric right now coming out here.
[00:40:40.435 --> 00:40:41.876]  You're seeing the heat being turned up.
[00:40:43.217 --> 00:40:44.718]  And that means we're coming towards a flashpoint.
[00:40:44.758 --> 00:40:46.158]  Let's go to this clip of Wesley Clark.
[00:40:46.559 --> 00:40:48.700]  So you're in a little bit of a dilemma on that.
[00:40:48.820 --> 00:40:50.781]  We need to leave that kind of fuzzy on this.
[00:40:50.821 --> 00:40:56.164]  But we need the authorization to follow the leads, put the troops in, and play this.
[00:40:56.504 --> 00:41:07.231]  Look, ISIS got started through funding from our friends and allies, because as people will tell you in the region, if you want somebody who will fight to the death against Hezbollah,
[00:41:07.831 --> 00:41:12.532]  You don't put out a recruiting poster and say, you know, sign up for us, we're going to make a better world.
[00:41:13.132 --> 00:41:14.633]  You go after zealots.
[00:41:15.253 --> 00:41:17.394]  And you go after these religious fundamentalists.
[00:41:17.494 --> 00:41:19.394]  That's who fights Hezbollah.
[00:41:20.294 --> 00:41:21.455]  General, I'm hearing you on air.
[00:41:21.555 --> 00:41:22.375]  Let's stop right there.
[00:41:22.395 --> 00:41:27.936]  For those who don't know, Hezbollah is Shiite, funded by the Iranians.
[00:41:29.997 --> 00:41:33.958]  And of course, then when you look at Hezbollah,
[00:41:36.425 --> 00:41:42.427]  It's now being attacked by Hamas, which was founded by Israel, but still attacks Israel from time to time.
[00:41:42.887 --> 00:41:46.889]  Israel doesn't run them, they just help get them started.
[00:41:47.749 --> 00:41:56.392]  So understand, Wesley Clark, our friends and allies funded ISIS destroy Hezbollah, that is Iranian-based and Shiite-based, the minority group of Islam, 20%.
[00:41:59.764 --> 00:42:09.729]  And Hamas is basically connected to the Saudi Arabians and the Wahhabist and that Jihad group, which is much bigger, more powerful, and are the people that brought us 9-11.
[00:42:10.450 --> 00:42:20.235]  But when 9-11 came, as we know in the secret 28 pages that have been leaked by the head of the 9-11 Commission, Senator Graham and others, and Congressman Jones on this show, Saudi Arabia ran the attacks.
[00:42:20.355 --> 00:42:23.797]  Our government stood down because, was it blamed on the Shiites?
[00:42:23.877 --> 00:42:25.238]  Was it blamed on Hezbollah?
[00:42:25.278 --> 00:42:25.658]  No, no, no.
[00:42:26.584 --> 00:42:30.066]  Was it blamed on the Wahhabists in Hamas who were involved?
[00:42:30.226 --> 00:42:30.446]  No.
[00:42:31.246 --> 00:42:44.513]  It was blamed on the only secular, quasi-secular state set up by the CIA, by Eisenhower, under a different protocol to try to stabilize and build up the Middle East and modernize it, and that was Saddam Hussein.
[00:42:45.033 --> 00:42:46.914]  He came out of the Eisenhower program in 1979.
[00:42:47.014 --> 00:42:50.355]  Eisenhower obviously was gone in 1961, but that's the true history.
[00:42:50.696 --> 00:42:53.157]  So, it was Saudi Arabia taking out
[00:42:53.917 --> 00:42:58.222]  The only secular threat in the region other than Syria, now they're trying to take that down.
[00:42:58.482 --> 00:43:00.545]  You wear a suit and tie in Egypt?
[00:43:01.286 --> 00:43:04.870]  You let women go to college in Egypt or Iraq or Syria?
[00:43:05.230 --> 00:43:07.032]  Here comes the Saudi Arabians with the U.S.
[00:43:07.072 --> 00:43:09.055]  government to put jihadis in to murder everybody.
[00:43:09.966 --> 00:43:13.008]  The month of February is all about Valentine's Day.
[00:43:13.348 --> 00:43:16.590]  Big heart-shaped boxes filled with delicious candy.
[00:43:16.851 --> 00:43:22.835]  What if we, the patriots, hijacked Valentine's Day and instead made it about human liberty and individual empowerment?
[00:43:22.935 --> 00:43:24.115]  I'm all about human potential.
[00:43:24.316 --> 00:43:26.497]  I'm all about the individual being empowered.
[00:43:26.557 --> 00:43:28.058]  The establishment is the opposite.
[00:43:28.118 --> 00:43:32.641]  That's why they spike our water with fluoride and GMO, estrogen mimickers, and the rest of the garbage.
[00:43:32.921 --> 00:43:37.264]  InfoWars is striking back in the month of February with Human Empowerment Month.
[00:43:37.504 --> 00:43:39.786]  How we can come together and win the human race.
[00:43:40.126 --> 00:43:48.012]  And to celebrate the kickoff of Human Empowerment Month, we're slashing prices on InfoWarsLife.com products like Super Male and Super Female Vitality.
[00:43:48.172 --> 00:43:54.657]  The sale is only running for the month, 20% off, and there's a lot of other powerful specials at InfoWarsLife.com.
[00:43:54.957 --> 00:43:59.661]  InfoWarsLife.com, celebrating human potential in the month of February.
[00:43:59.761 --> 00:44:04.004]  Visit InfoWarsLife.com to find this special and many others in the month of February.
[00:44:04.244 --> 00:44:09.448]  Again, Infowarslife.com or 888-253-3139.
[00:44:09.748 --> 00:44:18.294]  What disaster is so powerful it unleashes a chain of mass pandemics, economic meltdowns, and violent food riots all at the same time?
[00:44:18.674 --> 00:44:20.776]  NASA has already set the countdown timer.
[00:44:21.056 --> 00:44:25.277]  And right now, the 21st century apocalypse is less than 13 months away.
[00:44:25.777 --> 00:44:29.198]  Former CIA Director James Woolsey says two-thirds of U.S.
[00:44:29.238 --> 00:44:30.439]  population could perish.
[00:44:30.899 --> 00:44:33.900]  In a matter of seconds, the world as we know it will cease to exist.
[00:44:34.360 --> 00:44:36.140]  The world's economy will be wiped out.
[00:44:36.620 --> 00:44:37.881]  Mass riots will follow.
[00:44:38.241 --> 00:44:39.961]  Ancient diseases will reemerge.
[00:44:40.421 --> 00:44:43.962]  How will you shield yourself and your loved ones from this upcoming apocalypse?
[00:44:44.502 --> 00:44:50.184]  Go to darkestdays.info to find out proven methods of protecting yourself, your loved ones,
[00:44:50.484 --> 00:44:54.406]  And even your entire community when this worst case scenario unravels.
[00:44:54.906 --> 00:44:59.428]  That's D-A-R-K-E-S-T-D-A-Y-S dot I-N-F-O.
[00:44:59.808 --> 00:45:01.429]  DarkestDays.info.
[00:45:01.829 --> 00:45:06.271]  Go there before this life-saving information becomes unavailable to the large public.
[00:45:06.711 --> 00:45:08.892]  Go to DarkestDays.info now.
[00:45:09.472 --> 00:45:12.674]  When cells become toxic, they die early and aging sets in.
[00:45:12.994 --> 00:45:20.999]  No one has put together a formula that focuses directly on brain health, nerve growth factors, and optimizing your cellular energy at the same time.
[00:45:21.239 --> 00:45:26.262]  Just one of the key compounds, BioPQQ, is backed by major clinical studies.
[00:45:26.662 --> 00:45:28.944]  You want the best that's out there at the lowest price anywhere?
[00:45:29.184 --> 00:45:30.965]  We now have the synergistic solution.
[00:45:31.285 --> 00:45:35.487]  Secure your DNA force today at InfoWarsLife.com or call toll-free 888-253-3139.
[00:45:39.505 --> 00:45:43.347]  The average person's life is filled with unexpected challenges.
[00:45:44.108 --> 00:45:50.352]  Unlock the energy it takes to defeat these daily beasts with super male or super female vitality.
[00:45:50.492 --> 00:45:59.518]  Specifically designed to assist the body in regulating proper hormone balance to create superior vitality in males and females.
[00:45:59.878 --> 00:46:04.721]  Supercharge and conquer your world at InfoWarsLife.com or call 1-888-253-3139.
[00:46:09.181 --> 00:46:16.125]  For all of recorded history, civilizations around the world praised the health benefits of silver.
[00:46:16.385 --> 00:46:25.810]  At InfoWars Life, our mission is to bring you the highest quality, purest, cleanest, effective colloidal silver on the market today for the lowest price available.
[00:46:26.010 --> 00:46:34.035]  You don't have to be a doctor to know the fall and winter months are the most dangerous time of year in North America when it comes to you and your family's health.
[00:46:34.275 --> 00:46:43.720]  Infowarslife.com is very excited to announce our biggest run yet of silver bullet colloidal silver exclusively available at Infowarslife.com.
[00:46:43.920 --> 00:46:50.724]  Now Infowarslife.com has taken colloidal silver to the next level using a cutting-edge technique that is free of toxic artificial additives.
[00:46:51.044 --> 00:46:56.007]  Now more than ever, it's important to stock up on high-quality Silver Bullet from Infowarslife.com.
[00:46:56.288 --> 00:46:59.029]  No survival chest is complete without Silver Bullet.
[00:46:59.330 --> 00:47:05.474]  Secure your Silver Bullet today at Infowarslife.com or by calling toll-free 888-253-3139.
[00:47:06.995 --> 00:47:07.875]  Silver Bullet.
[00:47:12.478 --> 00:47:15.180]  You're listening to the Alex Jones Show.
[00:47:15.340 --> 00:47:16.281]  I'm opening the phones up.
[00:47:23.161 --> 00:47:24.661]  We are on the march.
