[00:00:19.639 --> 00:00:21.280]  Welcome to Namfo Wars Nightly News.
[00:27:07.332 --> 00:27:11.136]  Fed allegedly allowed a Sinaloa cartel to move cocaine to the U.S.
[00:27:11.176 --> 00:27:11.917]  for information.
[00:27:12.397 --> 00:27:15.620]  That's now since been confirmed in federal court.
[00:27:15.640 --> 00:27:17.402]  The Feds have declared national security.
[00:27:17.943 --> 00:27:20.485]  So, Sinaloa was hired to knock out competition.
[00:27:20.846 --> 00:27:22.747]  They were laundering their money through the proper banks.
[00:27:23.599 --> 00:27:24.139]  Here's another one.
[00:27:24.179 --> 00:27:28.441]  Taxpayers paid for Fast and Furious' plan to arm Sinaloa drug cartel.
[00:27:28.921 --> 00:27:33.362]  So again, it's not just guns directly shipped by ATF to Sinaloa.
[00:27:33.823 --> 00:27:43.046]  Sinaloa has been confirmed to be allowed, the main cartel along the Texas-Mexico border, to bring in around half of the $500 billion a year in drug money.
[00:27:43.846 --> 00:27:56.699]  The rest of the story is this is like Iran-Contra with the Reagan administration shipping guns down to Central and South America to drug cartels to knock out their competition and then ship the cocaine into the U.S.
[00:27:58.237 --> 00:28:00.219]  Business has always stayed the same.
[00:28:00.279 --> 00:28:06.244]  Eric Holder, who has publicly stated his desire to brainwash the public to think negatively about gun ownership.
[00:28:06.704 --> 00:28:11.828]  And what we need to do is change the way in which people think about guns, especially young people.
[00:28:11.988 --> 00:28:17.733]  One thing that I think is clear with young people and with adults as well is that we just have to be repetitive about this.
[00:28:17.773 --> 00:28:22.397]  It's not enough to simply have a catchy ad on a Monday and then only do it every Monday.
[00:28:22.457 --> 00:28:27.041]  We need to do this every day of the week and just really brainwash people into thinking
[00:28:27.461 --> 00:28:29.383]  About guns in a vastly different way.
[00:28:29.903 --> 00:28:40.652]  Attorney General Lynch is following the modus operandi of her predecessor to a T. She has done absolutely nothing to investigate the executives at HSBC for laundering cartel drug money.
[00:28:41.052 --> 00:28:47.318]  In the words of former Senate investigator Jack Bloom, they took every imaginable form of illegal and illicit business.
[00:28:47.598 --> 00:28:51.781]  Despite the bank's involvement in the largest terrorism and drug money laundering case in U.S.
[00:28:51.801 --> 00:28:56.065]  history, Holder had refused to prosecute any of the HSBC executives.
[00:28:56.525 --> 00:29:01.308]  And according to Holder, the economy would have suffered if any of the bank's leaders faced punishment.
[00:29:01.569 --> 00:29:07.132]  Holder had also refused to prosecute any Wall Street CEOs for their role in the country's financial crisis.
[00:29:07.393 --> 00:29:13.237]  Holder's career will go down as possibly the most criminal ever executed by an Attorney General of the United States.
[00:29:13.517 --> 00:29:22.303]  The fact that Loretta Lynch had to assure the American people that she would not arrest journalists when we already have a First Amendment granting that protection is a red flag.
[00:29:22.603 --> 00:29:26.104]  Criminals still run the United States Department of Justice.
[00:29:26.484 --> 00:29:28.525]  John Bowne for Infowars.com.
[00:29:29.685 --> 00:29:34.747]  You know, it's not only whistleblowers that they come after, but of course it's also journalists who expose things.
[00:29:35.647 --> 00:29:38.888]  And I saw an article this last weekend from Daily Mail.
[00:29:38.928 --> 00:29:41.449]  It was just a kind of a local interest story.
[00:29:41.469 --> 00:29:45.710]  It was two Florida teenagers who were killed in a high-speed car crash.
[00:29:46.590 --> 00:29:55.432]  But when I looked at the pictures, and when I read the article, it was exactly the same Mercedes that Michael Hastings supposedly died in a fiery crash.
[00:29:55.492 --> 00:29:57.273]  But I want you to take a look at these pictures.
[00:29:57.653 --> 00:30:01.494]  We were told that this car was traveling at a very high rate of speed at 5 a.m.
[00:30:01.514 --> 00:30:06.975]  in the morning, and that it hit a tree, and the tree cut it in half, sending the pieces everywhere.
[00:30:07.075 --> 00:30:09.775]  You can see these pictures that you're looking at right now.
[00:30:10.276 --> 00:30:11.576]  Do you notice any fire?
[00:30:12.216 --> 00:30:19.561]  Do you notice the engine being ejected 100 feet down the road at a right angle to the impact?
[00:30:20.121 --> 00:30:27.867]  See, that's what clued us in from the very beginning that that story was a false story about Michael Hastings' car bomb fire.
[00:30:28.427 --> 00:30:30.388]  And that's precisely what I believe it was.
[00:30:30.488 --> 00:30:35.051]  I believe it was a combination, perhaps, of a hijacking, making the car go at a high speed.
[00:30:35.071 --> 00:30:42.355]  But if that car were to have hit that tree, if that was the cause of the explosion, it would have captured the engine, not ejected it at a right angle.
[00:30:42.976 --> 00:30:45.597]  And we can see the pictures of Michael Hastings' car.
[00:30:45.617 --> 00:30:48.039]  And understand, both of these are Mercedes.
[00:30:48.399 --> 00:30:49.459]  There's a C250 and a C350.
[00:30:49.479 --> 00:30:50.860]  It's exactly the same C body.
[00:30:54.362 --> 00:30:54.802]  I think so.
[00:31:12.873 --> 00:31:24.874]  The rear end of the car, where the fuel tank is, where you would expect to see it completely compromised and crushed if there was an immediate explosion due to fuel, that is essentially intact.
[00:31:25.646 --> 00:31:29.669]  The area where the driver was, where Michael Hastings was, that is melted.
[00:31:29.750 --> 00:31:30.550]  That is destroyed.
[00:31:30.610 --> 00:31:32.272]  And that's in between those two extremes.
[00:31:32.712 --> 00:31:34.674]  So it doesn't look like that's precisely what happened.
[00:31:34.694 --> 00:31:37.636]  But we were told at the time we were just conspiracy theorists.
[00:31:37.917 --> 00:31:39.978]  We were told at the time nobody could hack it.
[00:31:40.058 --> 00:31:44.722]  And we were told that the government would never assassinate somebody that was going to expose them.
[00:31:44.782 --> 00:31:45.243]  Stay with us.
[00:31:45.543 --> 00:31:46.384]  We're going to be right back.
[00:32:29.464 --> 00:32:31.561]  I might as well just...
[00:33:13.753 --> 00:33:16.494]  Are you ready to show your disapproval for Hillary Clinton?
[00:33:16.834 --> 00:33:21.775]  Get your Hillary for Prison 2016 t-shirt today at the InfoWars store.
[00:33:22.115 --> 00:33:25.916]  Hurry up, because these things are selling out faster than Hillary Clinton.
[00:33:29.077 --> 00:33:31.637]  This is an American president.
[00:33:31.977 --> 00:33:35.758]  Just add puppet, then vote and repeat every four years.
[00:33:45.948 --> 00:33:50.951]  Introducing Secret 12, the new InfoWarsLife vitamin B12 formulation.
[00:33:51.132 --> 00:34:01.078]  Now, InfoWarsLife.com is excited to announce that we can bring you our most bioactive, powerful form of B12 that has been developed with our exclusive perfected process.
[00:34:01.398 --> 00:34:07.402]  Secret 12 is a binary of nutrimedical grade, bioavailable coenzyme forms of B12.
[00:34:07.643 --> 00:34:12.346]  Secure your revolutionary Secret 12 formula right now at InfoWarsLife.com or call 888-253-3139.
[00:34:16.488 --> 00:34:17.529]  I'm running for president.
[00:34:17.929 --> 00:34:21.112]  Everyday Americans need a champion, and I want to be that champion.
[00:34:21.412 --> 00:34:26.035]  I'm hitting the road to earn your vote, and I hope you'll join me on this journey.
[00:34:27.816 --> 00:34:36.842]  Alex Jones here to tell you about how you can help spread liberty worldwide, while also enjoying what I have found to be the best tasting, 100% organic coffee on the planet.
[00:34:36.902 --> 00:34:45.028]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[00:34:45.288 --> 00:34:50.030]  We have now managed to secure these sought-after beans in a highly customized blend.
[00:34:50.110 --> 00:34:56.894]  Discover and try a bag of the Patriot Blend 100% Organic Coffee at Infowarslife.com.
[00:34:56.954 --> 00:35:04.057]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[00:35:04.138 --> 00:35:11.001]  Hands down, this is my favorite coffee, and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[00:35:11.161 --> 00:35:12.041]  Another major health threat.
[00:35:29.206 --> 00:35:34.071]  This one in Toledo, Ohio, where everybody in the entire city has been told not to drink the water.
[00:35:34.151 --> 00:35:36.793]  Ohio's governor declaring a state of emergency.
[00:35:36.833 --> 00:35:43.600]  Did you know that the average person uses about 80 to 100 gallons of water at home every single day?
[00:35:43.880 --> 00:35:46.742]  If there's a water emergency, will you be prepared?
[00:35:46.883 --> 00:35:49.805]  Panicked residents forming long lines throughout the day.
[00:35:49.825 --> 00:35:51.807]  We're here at a supermarket in Toledo.
[00:35:51.847 --> 00:35:54.650]  You can see the shelves empty where water once was.
[00:35:54.770 --> 00:36:00.276]  To stay safe and healthy during a crisis, you must have access to safe, clean water.
[00:36:00.476 --> 00:36:03.980]  Water which will not be available at your local grocery store.
[00:36:04.000 --> 00:36:06.963]  There's a mad dash on right now to stock up on supplies.
[00:36:06.983 --> 00:36:14.190]  The ProPure ProOne G2.0 water filtration system is a must-have for every modern, independently-minded household.
[00:36:14.411 --> 00:36:17.434]  Protect your family's safety during an emergency.
[00:36:17.614 --> 00:36:24.609]  Go to Infowarsstore.com today to purchase your ProPure Pro1 G2.0 water filtration system or call 1-888-253-3139.
[00:36:29.514 --> 00:36:49.327]  There's always a question as to whether or not we're winning or losing, and of course we're winning with some people, other people still haven't woken up, but it looks like there have been a couple of major changes for both DuPont and Monsanto, the people who've been selling us for decades on the idea of better living through chemistry, except their chemistry tends to be kind of deadly.
[00:36:49.647 --> 00:36:54.491]  We have an article on Infowars.com, DuPont is found liable in a Teflon toxin trial.
[00:36:55.091 --> 00:36:57.432]  They say, strategically, we never dreamed we'd win this case.
[00:36:57.452 --> 00:37:03.514]  The jury has found DuPont liable for negligence and awarded a lady $1.6 million.
[00:37:03.614 --> 00:37:10.597]  They say that she developed kidney cancer after drinking water contaminated with a chemical that was formerly used to make Teflon.
[00:37:11.197 --> 00:37:16.880]  Now, you have to understand, and of course there's a lot of these lawsuits, they say, that are down in the pipeline.
[00:37:17.360 --> 00:37:22.002]  Understand, many people are very concerned about the health effects of Teflon coating itself.
[00:37:22.975 --> 00:37:33.338]  It's created with very toxic chemicals and even though it's very easy to clean up, the issue is that you can very easily scratch it off if you use metal utensils.
[00:37:33.378 --> 00:37:33.958]  We all know that.
[00:37:34.258 --> 00:37:39.560]  What happens to that Teflon if you scrape it off into your food and ingest it?
[00:37:40.180 --> 00:37:43.881]  Does it give you perhaps the kinds of results that this jury has found?
[00:37:44.241 --> 00:37:46.582]  In this particular case, kidney cancer or other
[00:37:47.042 --> 00:37:47.342]  I think so.
[00:38:02.479 --> 00:38:10.183]  Systemically putting these pesticides into the foods with genetic modification, as well as glyphosate finding its way into the water supply.
[00:38:10.624 --> 00:38:27.733]  If you're not on a city water supply where they add fluoride to your water, and there's no control over the amounts of fluoride that you're going to get, understand, even if you think fluoride is safe and effective, you can't measure how much someone is going to get by dumping it in the water supply.
[00:38:28.233 --> 00:38:29.934]  And you're also, even if it was uniform,
[00:38:30.234 --> 00:38:35.456]  You're going to be giving the same amount of fluoride to an infant that you give to a full-grown male.
[00:38:35.836 --> 00:38:36.856]  It's absolutely insane.
[00:38:36.896 --> 00:38:41.438]  But of course we have glyphosate in the water supply if you're not on a city water supply.
[00:38:41.458 --> 00:38:52.301]  If you've got a well, you're probably out somewhere where there's a rural environment and the glyphosate that the farmers are using on their crops is finding its way into the water supply there.
[00:38:52.841 --> 00:38:58.783]  The good news is that many people are getting the message about the potential hazards of genetic modification.
[00:38:59.463 --> 00:39:07.367]  Monsanto is now cutting 2,600 jobs as GMO seed sales are falling in America and Europe and elsewhere.
[00:39:07.407 --> 00:39:09.768]  This is an article by Anthony Gucciardi on Infowars.com.
[00:39:09.788 --> 00:39:13.410]  He says it's not looking too good for everyone's favorite GMO seed giant.
[00:39:13.950 --> 00:39:15.551]  With sales figures crashing down,
[00:39:16.519 --> 00:39:19.642]  Monsanto has announced a plan to cut 2,600 jobs.
[00:39:19.942 --> 00:39:23.026]  That's about 11.6% of their workforce.
[00:39:23.386 --> 00:39:35.118]  He says it isn't the first time Monsanto has experienced a serious slump in sales, and we've seen a serious decline in sales for both Monsanto and McDonald's as people are concerned about the way and the content of their food.
[00:39:35.618 --> 00:39:38.559]  And he says, better yet, maybe Monsanto's deep ties with the U.S.
[00:39:38.579 --> 00:39:43.540]  government shouldn't have threatened trade wars with other nations that would dare to oppose their GMOs.
[00:39:44.120 --> 00:39:49.281]  It's all in the Guardian report about the 2007 WikiLeaks revelations surrounding Monsanto.
[00:39:49.301 --> 00:39:53.402]  But understand that it isn't just trade wars that they've threatened in the past.
[00:39:53.802 --> 00:39:59.363]  This is going to be integrated into these trade agreements, transatlantic, transpacific agreements.
[00:39:59.843 --> 00:40:02.164]  We've seen GMOs and we've seen
[00:40:03.844 --> 00:40:06.645]  Glyphosate's banned in several countries.
[00:40:06.825 --> 00:40:10.065]  We've seen many countries requiring labeling for GMOs.
[00:40:10.605 --> 00:40:13.966]  So what they're going to do is they're going to move it to the national and to the international level.
[00:40:13.986 --> 00:40:15.606]  We saw that in America with the DARK Act.
[00:40:16.387 --> 00:40:25.648]  They called it the Safe and Accurate Food Labeling Act, where they hide dangerous ingredients by telling you you can't say whether they're in the food or not.
[00:40:25.728 --> 00:40:27.649]  That's the amazing way that they're doing this.
[00:40:27.669 --> 00:40:30.389]  And of course, that's unconstitutional to dictate that to the states.
[00:40:30.649 --> 00:40:32.810]  So they're going to come up with an unconstitutional treaty.
[00:40:33.550 --> 00:40:46.818]  And to give you an example of how pervasive this is, not only is it, Monsanto has 400 million acres, 400 million acres under cultivation of GMO seeds.
[00:40:47.098 --> 00:40:50.640]  That is four times the size of the state of California.
[00:40:51.300 --> 00:40:57.403]  So it's good news when we see that their stock is going down by 25% because of slumping sales.
[00:40:57.463 --> 00:40:59.684]  It's good when we see that they are pulling back.
[00:41:00.245 --> 00:41:04.167]  But then there's other areas that the public still hasn't woken up to.
[00:41:05.347 --> 00:41:27.162]  Even as we see many of the harmful effects, as is being pointed out by the World Health Organization, that is concerned about glyphosates and other issues, even as that is entering the public consciousness, people are still accepting genetic modification in the hopes that is going to bring them some kind of a miraculous health cure or eternal life.
[00:41:27.202 --> 00:41:28.022]  Look at this article.
[00:41:28.362 --> 00:41:32.505]  Deleting genes could boost lifespan by 60%, say scientists.
[00:41:32.525 --> 00:41:34.547]  You know, because you've got all that junk DNA.
[00:41:36.048 --> 00:41:37.248]  We've heard that phrase before.
[00:41:37.268 --> 00:41:39.630]  One of the things that was pretty ridiculous.
[00:41:39.670 --> 00:41:40.230]  Junk DNA.
[00:41:40.511 --> 00:41:48.316]  But now they're saying that they have identified 238 genes that when silenced, increase the lifespan of yeast cells.
[00:41:48.376 --> 00:41:57.723]  And they say that since many of these genes are present in mammals, like humans, they think that maybe if they switch these off, we might live a lot longer.
[00:41:58.615 --> 00:41:59.796]  Are you ready to take that chance?
[00:42:00.557 --> 00:42:01.557]  Are you ready to take that gamble?
[00:42:01.577 --> 00:42:03.439]  Do you really trust these people?
[00:42:04.360 --> 00:42:06.821]  Don't we need to take a slower approach to this?
[00:42:06.922 --> 00:42:09.283]  Don't we need to have informed consent?
[00:42:09.323 --> 00:42:11.085]  I mean, that's essentially what we're looking at.
[00:42:11.385 --> 00:42:24.936]  Whether you agree with genetic modification of corn, or whether you agree with putting pesticides, harmful pesticides, on your food or inside of your food with genetic modification, still, people need to be informed as to what's in their food.
[00:42:25.455 --> 00:42:31.921]  They need to be able to look at the studies, make the determination themselves, and that's precisely what we want people to do.
[00:42:31.961 --> 00:42:42.851]  We want people to look at this and be very, very, very skeptical about scientists who say that they're going to increase your lifespan by 60% by arbitrarily switching genes on and off.
[00:42:43.191 --> 00:42:48.174]  One of the things they mentioned in this article is that calorie restriction has been known to extend lifespan for a long time.
[00:42:48.654 --> 00:42:50.895]  Those are the types of things that we can do.
[00:42:51.356 --> 00:42:55.138]  But when we go in and we start altering things that clearly we don't understand.
[00:42:55.178 --> 00:42:58.800]  It wasn't that long ago that they said most of the DNA was junk DNA.
[00:42:59.440 --> 00:43:01.601]  They've now moved back off of that position.
[00:43:01.641 --> 00:43:08.165]  But when we start to do that and start to mess with things that we don't fully understand, that's when we're getting into really dangerous territory.
[00:43:08.525 --> 00:43:16.530]  That's when we need to have the option to opt out of medical treatments or to know what's in our food and opt out of that at the grocery store.
[00:43:16.650 --> 00:43:20.135]  Now yesterday Alex Jones interviewed on the radio show Leo Zagami.
[00:43:20.616 --> 00:43:32.092]  He claims that an insider has told him that Pope Francis will resign after his visit to Argentina next year in 2016 because he says he has fulfilled his role to help establish the global New World Order.
[00:43:32.433 --> 00:43:33.034]  Here's that report.
[00:43:34.465 --> 00:43:39.047]  This really shows that they want to call questioning authority a conspiracy theory.
[00:43:39.587 --> 00:43:40.927]  That doesn't work anymore.
[00:43:41.007 --> 00:43:43.368]  So how is it going for Pope Francis?
[00:43:43.408 --> 00:43:44.249]  Is it going well?
[00:43:44.649 --> 00:43:45.469]  Is it going bad?
[00:43:45.809 --> 00:43:47.230]  What's the next big shoe to drop?
[00:43:47.870 --> 00:43:49.331]  I'm giving you a word scoop.
[00:43:49.371 --> 00:43:51.491]  You are about to hear a word scoop.
[00:43:51.632 --> 00:43:56.333]  The Pope will resign next year after his visit to Argentina.
[00:43:59.014 --> 00:44:02.616]  OK, that's big, because two years before the scandal started, five years ago,
[00:44:03.601 --> 00:44:09.625]  You said a Jesuit Pope would take over and mention two men, one of them this Pope, and said they'd use the pedophile scandal to take over.
[00:44:10.005 --> 00:44:11.867]  That then came out in mainstream news.
[00:44:11.907 --> 00:44:13.368]  So you've been proven right many times.
[00:44:14.068 --> 00:44:15.089]  You're saying world scoop.
[00:44:15.129 --> 00:44:17.750]  Are you predicting this from the tea leaves or do you have inside sources?
[00:44:18.291 --> 00:44:21.233]  This is inside sources, two different inside sources.
[00:44:21.613 --> 00:44:33.281]  One from the Secretary of State of the Vatican, the other one from the Knights of the Holy Sepulchre, saying that the Pope will use the visit to his home place, I mean, Argentina,
[00:44:38.346 --> 00:44:44.874]  He's coming back to Argentina because apparently he doesn't want to reside in Castel Gandolf or in the Vatican.
[00:44:44.914 --> 00:44:47.917]  He wants to simply retire in Argentina.
[00:44:48.558 --> 00:45:10.006]  It was said that during his visit that he will do next year in South America, which will include, I think, Chile, Argentina and Peru, he will basically, this will happen approximately July of next year, but I mean, just when he goes to Argentina, which as we know, he comes from there, he will announce that he will resign.
[00:45:10.946 --> 00:45:16.749]  So, I mean, this has been confirmed by two different sources within the Vatican.
[00:45:17.469 --> 00:45:21.852]  I went especially to Rome to hear in closed doors what they had to say to me.
[00:45:22.392 --> 00:45:26.994]  I believe these sources are credible because one is a personal knight of the Pope.
[00:45:27.334 --> 00:45:29.956]  The other one works together with the Jesuits.
[00:45:31.156 --> 00:45:34.518]  I mean, I think that this information is pretty correct.
[00:45:34.798 --> 00:45:42.041]  It seems like when I asked them why is the Pope resigning, he said he has accomplished his mission for the New World Order.
[00:45:42.241 --> 00:45:46.783]  From 2016, the New World Order at that point is already in a
[00:45:47.743 --> 00:45:48.943]  It's very hard for him.
[00:45:48.963 --> 00:45:51.244]  We saw how fatigued he was when he was in Philadelphia.
[00:45:51.264 --> 00:45:53.465]  He was really going along with this leg very much in pain.
[00:45:53.525 --> 00:45:53.985]  So he's really
[00:46:10.490 --> 00:46:13.513]  Working for the New World Order until he is capable.
[00:46:13.653 --> 00:46:17.136]  Because it's about removing the power of the Pope and the Catholic Church.
[00:46:17.536 --> 00:46:28.144]  Whether it was good or bad, it's about seeding it out to the globalists, bringing it down, breaking it down, breaking its will, using different cults, different secret groups to take it over.
[00:46:28.805 --> 00:46:29.766]  Clearly that's what's happened.
[00:46:38.064 --> 00:46:44.369]  I began to get into iodine a few years ago because it was helping me and my family so much get healthy and detoxify.
[00:46:44.729 --> 00:46:46.211]  I believe our research is conclusive.
[00:46:46.231 --> 00:46:47.612]  This is the best iodine out there.
[00:46:47.872 --> 00:46:48.993]  And I know this for a fact.
[00:46:49.553 --> 00:46:54.317]  Nobody else has got iodine based on these pure crystals, ladies and gentlemen.
[00:46:54.437 --> 00:46:58.540]  For a limited time, experience the ancient power of Survival Shield X2.
[00:46:58.921 --> 00:47:00.402]  I believe our research is conclusive.
[00:47:00.422 --> 00:47:01.763]  This is the best iodine out there.
[00:47:01.803 --> 00:47:03.885]  Take advantage of this at InfoWarsLife.com.
[00:47:07.915 --> 00:47:12.757]  And why wearing a Hillary for President t-shirt might get you punched in the face?
[00:47:13.157 --> 00:47:15.018]  They thought it said Hillary for President.
[00:47:15.878 --> 00:47:20.339]  He said, I was seconds away from sending my bar back over here to punch you in the face.
[00:47:20.579 --> 00:47:24.441]  Since you're wearing a Hillary for Prison shirt, you don't have to buy drinks here.
[00:47:24.721 --> 00:47:25.821]  Everything's on the house.
[00:47:26.301 --> 00:47:27.362]  Hillary for President!
[00:47:28.022 --> 00:47:29.723]  Hillary's not surging, I tell you that.
[00:47:29.763 --> 00:47:30.503]  They're not saying that.
[00:47:31.503 --> 00:47:32.164]  They're not saying that.
[00:47:32.944 --> 00:47:33.264]  Thank you.
[00:48:04.986 --> 00:48:05.566]  There you have it.
[00:48:05.646 --> 00:48:08.407]  Donald Trump endorses Hillary for prison.
[00:48:08.987 --> 00:48:13.109]  Get your Hillary for prison 2016 t-shirt at the Infowars store.
[00:48:13.389 --> 00:48:16.010]  And on the back it says, legalize freedom.
[00:48:16.430 --> 00:48:20.151]  Show your disapproval of Hillary by buying your t-shirt today.
[00:48:20.231 --> 00:48:21.711]  But what she's done is criminal.
[00:48:22.872 --> 00:48:25.453]  This is an American president.
[00:48:25.793 --> 00:48:26.933]  Just add puppet.
[00:48:27.313 --> 00:48:29.634]  Then vote and repeat every four years.
[00:48:39.093 --> 00:48:43.036]  In the Matrix, Neo is offered a choice between a red pill and a blue pill.
[00:48:43.697 --> 00:48:51.664]  And you know, every time we have a major election, we're offered the choice of the red pill or the blue pill, the Republicans or the Democrats.
[00:48:51.724 --> 00:48:53.726]  Nevertheless, we never wake up.
[00:48:54.266 --> 00:48:57.430]  ...to the false promises behind those two things.
[00:48:57.450 --> 00:49:02.195]  And I want to talk about both the House Speaker race as well as the presidential race.
[00:49:02.455 --> 00:49:04.658]  The first Democrat debate, of course, will be tomorrow night.
[00:49:04.738 --> 00:49:08.542]  It'll begin about halfway through our normal nightly news broadcast.
[00:49:08.882 --> 00:49:14.348]  We will stay with it through the entire two hours, along with our commentary, as we did during the money bomb.
[00:49:15.009 --> 00:49:17.770]  But I want to focus first on what's going on with the House race.
[00:49:18.130 --> 00:49:27.772]  Because we know that Speaker Boehner is being pressured out by those in the party that are dissatisfied with the fact that he's governed exactly like the Democrats.
[00:49:28.612 --> 00:49:30.712]  And they had an election that was going to start.
[00:49:30.952 --> 00:49:38.034]  Nevertheless, when Boehner's hand-picked candidate bowed out, even though there were two other candidates, they just suspended the election.
[00:49:38.614 --> 00:49:42.435]  Does that give you an idea about how the House is really being run all the time?
[00:49:43.226 --> 00:49:48.009]  Isn't that a problem that both Democrats and Republicans should have a problem with?
[00:49:48.650 --> 00:49:52.693]  Regardless of their philosophy, do they really want this kind of a dictatorship?
[00:49:53.173 --> 00:49:59.317]  And of course, the elections will not resume until there is another candidate that is suitable to Boehner.
[00:49:59.357 --> 00:50:00.518]  It's not going to be an election.
[00:50:00.618 --> 00:50:02.039]  It's going to be a selection.
[00:50:02.059 --> 00:50:05.181]  And the person that he is trying to get to run is now Paul Ryan.
[00:50:05.201 --> 00:50:07.683]  Of course, we're told that Paul Ryan is very reluctant.
[00:50:07.723 --> 00:50:08.844]  He really doesn't want to do it.
[00:50:09.384 --> 00:50:13.488]  He's having his arm twisted, but you know, maybe for the greater good he'll jump into the race.
[00:50:14.069 --> 00:50:17.733]  You need to understand how they're gaming this, but you also need to understand where he's coming from.
[00:50:18.213 --> 00:50:28.024]  Not only John Boehner, but Kevin McCarthy and the person that he replaced as number two, Eric Cantor, they're all on the same page with this global agenda.
[00:50:28.564 --> 00:50:33.530]  A global agenda of open borders, of Obamacare, that was part of it.
[00:50:34.390 --> 00:50:38.034]  Paul Ryan was the vice presidential candidate for Mitt Romney.
[00:50:38.435 --> 00:50:49.467]  Regardless of whether Romney had won or whether Obama won, we were going to get the same prescription of open borders, of Obamacare, and this is what we're having now with these trade agreements.
[00:50:49.787 --> 00:50:52.169]  Look at what Paul Ryan did just a few months ago.
[00:50:52.590 --> 00:50:53.671]  Here's an article from Breitbart.
[00:50:53.751 --> 00:50:56.914]  Paul Ryan's Pelosi-esque Obama trade moment.
[00:50:57.354 --> 00:51:00.878]  It's declassified and it's made public once it's agreed to.
[00:51:00.918 --> 00:51:05.222]  Remember she said we're going to have to pass it to find out what's in it when she's talking about Obamacare.
[00:51:05.642 --> 00:51:10.306]  And so when he's talking about what the conservatives like to call Obama trade, and I don't like that name by the way.
[00:51:11.067 --> 00:51:12.987]  We shouldn't say that this is Obama trade.
[00:51:13.067 --> 00:51:14.748]  This is global governance.
[00:51:14.808 --> 00:51:17.808]  It's not about trade, and it is not coming simply from Obama.
[00:51:17.868 --> 00:51:22.289]  This is something that Republicans want just as badly, if not more so, than Obama.
[00:51:22.309 --> 00:51:23.810]  So don't call it Obama trade.
[00:51:23.950 --> 00:51:25.690]  Understand this is global governance.
[00:51:25.710 --> 00:51:32.891]  That's what Senator Sessions told us when he looked at the plan in detail, and we need to understand the contempt that they hold the public with.
[00:51:33.172 --> 00:51:40.033]  Now this is Representative Pete Sessions, not Senator Sessions, but Pete Sessions, a congressman who supports
[00:51:40.513 --> 00:51:42.274]  The Global Governance Treaties.
[00:51:42.854 --> 00:51:49.778]  And he said this, he says, I've watched you, talking to Paul Ryan, I've watched you do this and working with us, whether it's a request from the U.S.
[00:51:49.818 --> 00:52:04.945]  Senate that it was done on a bipartisan basis, or whether it be one of our members, you've talked about all these issues, foreign policy, dispute resolution, climate change, sovereignty, immigration, currency, transparency, fast-tracked and presidential power.
[00:52:04.985 --> 00:52:05.325]  You know what?
[00:52:05.365 --> 00:52:06.506]  That pretty much sums up
[00:52:06.926 --> 00:52:07.166]  I think?
[00:52:24.742 --> 00:52:38.225]  And then at the end of that compliment that he got from Representative Pete Sessions, Paul Ryan says, oh by the way, TPA, that's the Trade Promotion Authority, that's the fast track, he says, it's declassified and made public once it's agreed to.
[00:52:38.886 --> 00:52:40.326]  Well, he said that about four months ago.
[00:52:40.806 --> 00:52:44.227]  Now they have finalized it, we still are not allowed to see what's in it.
[00:52:44.567 --> 00:52:48.148]  But one of the things that's in it that really rankles conservatives is
[00:52:49.088 --> 00:52:54.884]  The open borders possibility of the trade and services agreement because understand that when they created fast track
[00:52:55.919 --> 00:53:06.890]  When they took the Senate out of the process, the constitutional process for passing treaties, when they streamlined this, when they set this up without any amendments, it's not just going to be the Trans-Pacific Partnership.
[00:53:06.910 --> 00:53:09.132]  It's not just going to be the Trans-Atlantic Partnership.
[00:53:09.192 --> 00:53:14.197]  It's also the Trade and Services Agreement and many other things that can come down the pike for years.
[00:53:14.637 --> 00:53:20.102]  They've given it a six-year window, so this president and the next will be able to essentially
[00:53:20.683 --> 00:53:21.664]  We're good to go.
[00:53:41.320 --> 00:53:46.443]  Another article from Breitbart says that Numbers USA president says that Paul Ryan is terrifying.
[00:53:46.743 --> 00:53:50.285]  He says the open border seeps out of every pore of his being.
[00:53:50.325 --> 00:53:53.487]  And they go through a long history that he has had.
[00:53:53.527 --> 00:53:57.689]  Going back to the mid-1990s when he worked to water down strict immigration limits in a bill.
[00:53:58.049 --> 00:54:01.011]  Or when he was a staffer and worked for Jack Kemp and Sam Brownback.
[00:54:01.071 --> 00:54:04.353]  Both of them were a part of the Republicans' pro-immigration wing.
[00:54:04.713 --> 00:54:08.118]  Then as a congressman, he voted in 2002 for legalization.
[00:54:08.158 --> 00:54:11.482]  He praised the 2006 Senate immigration bill, backed by Bush.
[00:54:11.783 --> 00:54:17.650]  He co-sponsored a 2009 Democrat bill that would have legalized immigrant farm workers.
[00:54:17.971 --> 00:54:21.876]  So, he is supported by Luis Gutierrez, Mr. Amnesty.
[00:54:22.637 --> 00:54:28.826]  He is part of the global governance cabal that rules the top of both of these parties.
[00:54:28.846 --> 00:54:29.707]  You need to understand that.
