[00:00:21.713 --> 00:00:24.014]  The phenomenon is undeniable.
[00:26:09.092 --> 00:26:10.872]  They called it a twilight zone.
[00:26:10.912 --> 00:26:12.733]  That was their words, not mine.
[00:26:12.773 --> 00:26:14.194]  A twilight zone for investors.
[00:26:14.514 --> 00:26:22.477]  They say they're waiting to see if the economy is unambiguously robust so that the feds can do a rake hike, and if they do that,
[00:26:23.257 --> 00:26:31.482]  Well, they will their movement from zero interest rates cause a market or a macro shock, they say, as it infamously did in 1936 to 37.
[00:26:31.622 --> 00:26:34.524]  In other words, the Great Depression.
[00:26:35.265 --> 00:26:42.069]  And they're saying that, of course, in the meantime, as we're waiting to see if they were going to have a Great Depression or not, they say we can expect a volatile trading.
[00:26:42.389 --> 00:26:46.172]  We can have mediocre returns and flash crashes.
[00:26:46.252 --> 00:26:47.292]  So what's their recommendation?
[00:26:47.953 --> 00:26:52.056]  They advocate, they say, higher than normal levels of cash and gold.
[00:26:52.876 --> 00:26:58.499]  Now, against that backdrop of unrest, we see all over the world countries positioning themselves for war.
[00:26:58.559 --> 00:27:01.821]  Not just our country, but of course Russia and China as well.
[00:27:02.342 --> 00:27:12.648]  Because when you have a massive economic catastrophe in a country, the rulers want to be able to distract your attention to some foreign enemy so that you don't lynch them.
[00:27:13.675 --> 00:27:21.101]  The Russians are saying that the massive drills that they're having in the Mediterranean with the Chinese Navy are, quote, not aimed at a third country.
[00:27:21.161 --> 00:27:22.442]  This is on InfoWars today.
[00:27:22.482 --> 00:27:25.844]  They say Russia and China are starting joint drills in the Mediterranean.
[00:27:25.924 --> 00:27:35.712]  The goal of the Russian-Chinese exercises, they say, is to strengthen mutual understanding between the navies regarding boosting stability, countering new challenges and threats at sea.
[00:27:35.732 --> 00:27:39.135]  You know, it's just kind of an exercise to help them train.
[00:27:39.395 --> 00:27:40.556]  You know, we've heard that before, right?
[00:27:40.956 --> 00:27:44.538]  You know, how to steer ships and navigate and all those kinds of things.
[00:27:45.139 --> 00:27:51.923]  They also say the war games aren't aimed at any third country and they aren't linked to any political situation in the region.
[00:27:52.659 --> 00:27:55.821]  That's what they always tell us when they do their exercises in the cities.
[00:27:55.881 --> 00:27:57.282]  There's nothing to be concerned about.
[00:27:57.342 --> 00:27:58.922]  This isn't aimed at anybody in particular.
[00:27:58.942 --> 00:28:00.063]  It certainly isn't aimed at you.
[00:28:00.683 --> 00:28:01.704]  We're just training.
[00:28:02.044 --> 00:28:04.545]  There's no political dimension to this whatsoever.
[00:28:05.106 --> 00:28:09.688]  Well, keep in mind that three months ago, we had this story from the Daily Mail.
[00:28:09.708 --> 00:28:10.549]  We covered it at the time.
[00:28:10.569 --> 00:28:12.650]  I think it's time to go back and look at it once more.
[00:28:13.110 --> 00:28:13.310]  U.S.
[00:28:13.350 --> 00:28:17.775]  military officers are guilty of, quote, dishonesty and deception at all levels.
[00:28:18.235 --> 00:28:20.738]  And this is an official report from the Pentagon.
[00:28:21.098 --> 00:28:22.280]  This is not me saying this.
[00:28:22.580 --> 00:28:26.304]  This is the Pentagon assessing their own officers.
[00:28:26.864 --> 00:28:30.248]  A shock 52-page report finds dishonesty at all levels in the U.S.
[00:28:30.308 --> 00:28:30.548]  Army.
[00:28:30.868 --> 00:28:33.351]  They warn that officers have become ethically numb.
[00:28:33.932 --> 00:28:35.093]  And it urges quick action.
[00:28:35.393 --> 00:28:40.414]  They also say that leaders espouse lofty values, but they slog, quote, through the mire of dishonesty.
[00:28:40.434 --> 00:28:44.935]  They find that personnel expect requested information to be, quote-unquote, questionable.
[00:28:45.115 --> 00:28:46.615]  We saw that last summer, remember?
[00:28:46.895 --> 00:28:50.976]  Back last August, they said, well, we have to work against drudge.
[00:28:50.996 --> 00:28:56.577]  And when they had a junior officer stand up and say, sir, nobody believes what we're telling them.
[00:28:56.957 --> 00:28:58.937]  They just see it as mindless propaganda.
[00:28:58.977 --> 00:29:04.318]  And again, they say, they still note in this report that the staff are, quote, happy to go along with the illusion.
[00:29:05.000 --> 00:29:09.382]  Occasionally you'll have a junior officer who will stand up and say something about that, but usually they just go along.
[00:29:09.802 --> 00:29:18.406]  The report's executive summary says, quote, much of the deception and dishonesty is actually encouraged and sanctioned by the military institution.
[00:29:18.426 --> 00:29:22.488]  The report's authors say that it is justified in one of three ways.
[00:29:22.848 --> 00:29:24.909]  Number one, mission accomplishment.
[00:29:25.029 --> 00:29:27.330]  You know, we have a mission to protect the homeland.
[00:29:27.390 --> 00:29:29.771]  We have to train to fight foreign enemies.
[00:29:30.351 --> 00:29:31.232]  Supporting the troops.
[00:29:31.889 --> 00:29:35.753]  You know, we're doing this in Texas because we know that you guys support the troops.
[00:29:35.933 --> 00:29:37.635]  You'd be bad guys if you didn't support the troops.
[00:29:38.115 --> 00:29:41.939]  Or, reporting the requirement is just unreasonable or dumb.
[00:29:41.999 --> 00:29:48.246]  It's unreasonable that you would have any questions about military drills where we label your area as hostile.
[00:29:48.726 --> 00:29:52.490]  And of course, this report was created by the Strategic Studies Institute and the U.S.
[00:29:52.610 --> 00:29:53.892]  Army War College Press.
[00:29:54.372 --> 00:30:05.124]  It came just a week after departing Secretary of Defense Chuck Hagel's final words of advice to senior military staff were to sort out, quote, unethical behavior.
[00:30:06.065 --> 00:30:08.407]  Well, it looks like maybe they're still making stuff up.
[00:30:09.346 --> 00:30:10.587]  You think I'm going to go to Jade Helm?
[00:30:10.607 --> 00:30:13.490]  Well, I'm going to go to something else that's even more current.
[00:30:14.010 --> 00:30:15.772]  This is a story that was on InfoWars today.
[00:30:15.812 --> 00:30:21.657]  Kurt Nemo says the media is building a picture, quote unquote, of unverified Abu Sayyaf raid.
[00:30:22.478 --> 00:30:33.908]  Short of actual evidence and going on a narrative produced by the Pentagon, Kimberly Dozier and the Daily Beast have, quote, built a picture, unquote, of the alleged illegal raid inside Syria.
[00:30:33.948 --> 00:30:35.369]  This is pure fiction.
[00:30:36.377 --> 00:30:51.172]  As Kurt Nimmo points out, this is really a reaction to take the narrative away from Seymour Hersh's exposure of the previous lie, the previous fairy tale they sold us about the raid to kill Osama bin Laden.
[00:30:51.692 --> 00:30:56.877]  So if that is collapsing before their very eyes and they're losing credibility about that,
[00:30:57.438 --> 00:31:00.459]  Then what better to do than to create another fairytale raid?
[00:31:00.479 --> 00:31:02.359]  And that's precisely what it appears that they've done.
[00:31:02.679 --> 00:31:07.560]  He says the corporate media is attempting to pave over Seymour Hersh's story with this comic book version.
[00:31:07.940 --> 00:31:12.321]  Kimberly Dozier adds details to the Hollywood-esque story by writing that, quote, U.S.
[00:31:12.501 --> 00:31:19.002]  Special Operations Forces met resistance and had to fight, quote, hand-to-hand in Friday's night raid in southeastern Syria.
[00:31:19.242 --> 00:31:22.643]  He says like a scene out of a combat graphic novel, quote,
[00:31:23.143 --> 00:31:31.828]  Troops from the Army's elite Delta Force flew into the scene in Ospreys and Blackhawk helicopters, landing near multi-story buildings and meeting fierce resistance as they entered.
[00:31:32.268 --> 00:31:44.755]  And he says, like the Osama bin Laden assassination narrative, painting the legendary terrorists as a coward, the ISIS fighters were said to, quote, hide behind women in an attempt to use them as human shields.
[00:31:44.855 --> 00:31:46.836]  And the second defense official said that U.S.
[00:31:46.856 --> 00:31:52.299]  troops had to, quote, literally shoot around, unquote, the human shields in order to kill the fighters.
[00:31:52.819 --> 00:32:02.214]  This is all a story that was offered by the Defense Department without any question, without any criticism, by this reporter, Dozier of the Daily Beast.
[00:32:03.919 --> 00:32:08.603]  Pure fiction that the military puts out there just as we see over and over again.
[00:32:09.003 --> 00:32:21.694]  If you question the government's official story, and of course we saw right away that there were many details like the burial at sea that was supposed to be according to Muslim tradition for Osama Bin Laden.
[00:32:22.034 --> 00:32:24.356]  Many, many details and they continue to change the story.
[00:32:24.677 --> 00:32:29.181]  But no matter if the government puts it out, they're supposed to be instantly credible even though
[00:32:29.741 --> 00:32:31.823]  They themselves know that they aren't.
[00:32:32.003 --> 00:32:37.149]  And as he points out, the Pentagon has yet to provide any evidence of the raid in fact taking place.
[00:32:37.169 --> 00:32:45.418]  They've not shown a photo of Umm Sayyaf or the supposed slave that they were talking about in this raid.
[00:32:46.259 --> 00:32:47.761]  And of course, that is nothing new.
[00:32:47.801 --> 00:32:50.423]  We see lie after lie from our government
[00:32:51.479 --> 00:32:53.760]  Benghazi is now back in the news.
[00:32:53.840 --> 00:32:55.000]  We have an article today.
[00:32:55.160 --> 00:32:59.821]  Explosive new documents reveal Obama's Clinton spin and lies on Benghazi.
[00:32:59.841 --> 00:33:01.401]  The administration knew about gun running.
[00:33:01.861 --> 00:33:04.162]  They knew that the attack was planned and not spontaneous.
[00:33:04.622 --> 00:33:07.923]  And they knew the rise of ISIS was a threat.
[00:33:07.983 --> 00:33:14.304]  These are documents that have been discovered by Judicial Watch as they are doing a Freedom of Information request.
[00:33:14.724 --> 00:33:16.225]  Leanne McAdoo has more information.
[00:33:17.336 --> 00:33:17.957]  Is the U.S.
[00:33:18.017 --> 00:33:27.252]  involved with any procuring of weapons, transfer of weapons, buying, selling, anyhow transferring weapons to Turkey out of Libya?
[00:33:30.305 --> 00:33:31.006]  To Turkey?
[00:33:31.386 --> 00:33:32.387]  You're saying you don't know?
[00:33:32.668 --> 00:33:33.248]  I do not know.
[00:33:33.268 --> 00:33:34.970]  I don't have any information on that.
[00:33:35.151 --> 00:33:41.538]  Now despite the fact that Clinton made that assertion under oath, explosive new documents reveal that U.S.
[00:33:41.578 --> 00:33:49.206]  intelligence agencies were fully aware of the fact that weapons were being transferred out of Libya into Syria before the Benghazi attack.
[00:33:49.867 --> 00:33:55.029]  These documents were obtained by Judicial Watch via FOIA request and they were released today.
[00:33:55.409 --> 00:34:01.351]  And they show how the Obama administration lied and engaged in spin over the Benghazi attack.
[00:34:01.791 --> 00:34:03.952]  The documents reveal three key facts.
[00:34:04.452 --> 00:34:05.333]  One, that the U.S.
[00:34:05.413 --> 00:34:09.694]  had full knowledge of gun running from Benghazi to Syria before the attack.
[00:34:09.814 --> 00:34:19.278]  And two, a Defense Intelligence Agency memo dated September 16, 2012 was shared with the National Security Council, the State Department, and the CIA.
[00:34:20.138 --> 00:34:35.614]  This memo shows that the Obama administration knew shortly after the fact that the attack was planned at least 10 days in advance, it was planned deliberately to coincide with 9-11, and was in retaliation for a drone strike that killed an al-Qaeda strategist.
[00:34:36.235 --> 00:34:48.205]  Now, despite this knowledge, the president and countless administration officials lied and continued to peddle this story that the attack was a spontaneous response to a viral YouTube video.
[00:34:48.625 --> 00:34:52.368]  And lastly, the rise of ISIS and the establishment of a caliphate
[00:34:52.608 --> 00:34:52.788]  I think.
[00:35:11.743 --> 00:35:12.063]  I think so.
[00:35:38.391 --> 00:35:52.957]  Unfortunately for Hillary, while she's busy playing hide-and-seek with the press, these documents have now surfaced, proving that at the very least, she lied under oath, making the confiscation of her private email server even more necessary.
[00:36:07.304 --> 00:36:14.246]  For all of recorded history, civilizations around the world praised the health benefits of silver.
[00:36:14.506 --> 00:36:23.928]  At InfoWarsLife, our mission is to bring you the highest quality, purest, cleanest, effective colloidal silver on the market today for the lowest price available.
[00:36:24.228 --> 00:36:35.331]  When it comes to you and your family's health, InfoWarsLife.com is very excited to announce our biggest run yet of silver bullet colloidal silver, exclusively available at InfoWarsLife.com.
[00:36:35.951 --> 00:36:42.837]  Now, Infowarslife.com has taken colloidal silver to the next level using a cutting-edge technique that is free of toxic artificial additives.
[00:36:43.077 --> 00:36:52.885]  Now, more than ever, it's important to stock up on high-quality silver bullet from Infowarslife.com and to help others during Christmas by teaching them about the powerful benefits of silver.
[00:36:53.145 --> 00:36:57.488]  Secure your silver bullet today at Infowarslife.com or by calling toll-free 888-253-3139.
[00:37:01.707 --> 00:37:03.268]  My name is Alex Jones.
[00:37:03.669 --> 00:37:09.734]  Most of you know me from my syndicated radio program and my documentary films, as well as InfoWars Nightly News.
[00:37:09.974 --> 00:37:24.486]  When I got on air 20 years ago, I had discovered the Globalist program, their plan to take over the world, and my focus went from running 6 miles every other day, swimming 2-3 miles a couple times a week, and lifting weights
[00:37:25.086 --> 00:37:25.466]  We're good.
[00:37:48.084 --> 00:37:50.785]  And it wasn't just that my weight loss accelerated.
[00:37:51.005 --> 00:37:52.605]  My muscle mass increased.
[00:37:52.765 --> 00:37:55.426]  My stamina, my energy levels exploded.
[00:37:55.726 --> 00:37:57.247]  Now is the time to take action.
[00:37:57.507 --> 00:38:00.368]  Start your journey today with the Alex Challenge Pack.
[00:38:00.548 --> 00:38:02.188]  It's the trifecta of change.
[00:38:02.468 --> 00:38:07.850]  Secure yours today and get free shipping for a limited time at InfoWarsLife.com or 888-253-3139.
[00:38:17.410 --> 00:38:21.815]  Well, 2016's presidential race is shaping up to be a big-budget horror film.
[00:38:22.515 --> 00:38:25.438]  We could call it Bride of Frankenfood vs.
[00:38:25.779 --> 00:38:27.640]  S.O.B., Son of a Bush.
[00:38:28.261 --> 00:38:32.125]  And of course, we see that Hillary is the Bride of Frankenfood.
[00:38:32.325 --> 00:38:37.891]  It looks like it's costing her a great deal of support in Iowa amongst voters who initially liked her.
[00:38:38.351 --> 00:38:42.936]  Until they found out her close connection with GMO corporations.
[00:38:43.016 --> 00:38:47.721]  It looks like Monsanto is political poison as well as pesticide.
[00:38:47.982 --> 00:38:58.954]  Hillary Rodham Clinton's ties to agribusiness giant Monsanto and her advocacy for the industry's genetically modified crops have environmentalists in Iowa calling her the bride of frankenfood.
[00:38:59.494 --> 00:39:05.681]  Quote, I was surprised because these women were really pushing for Hillary until they found out about the Monsanto connection.
[00:39:06.041 --> 00:39:08.744]  Then they dropped her like a hot potato.
[00:39:09.365 --> 00:39:11.427]  Maybe that's a GMO potato.
[00:39:11.507 --> 00:39:13.509]  You know, the ones that they've been engineering for McDonald's.
[00:39:13.950 --> 00:39:15.451]  And then on the other side we have...
[00:39:16.272 --> 00:39:16.933]  Son of a Bush.
[00:39:17.554 --> 00:39:18.134]  Jeb Bush.
[00:39:18.274 --> 00:39:20.977]  Maybe we ought to call the GOP the GOB.
[00:39:21.078 --> 00:39:22.439]  Generations of Bushes.
[00:39:22.980 --> 00:39:27.725]  There's an op-ed piece that came out this weekend from Maureen Dowd of the New York Times.
[00:39:28.186 --> 00:39:29.447]  She says, he is heavy.
[00:39:29.787 --> 00:39:30.488]  He's my brother.
[00:39:31.454 --> 00:39:39.161]  And she talks about this admission that he had this last week when he was asked, would he have invaded Iraq if he had been in his brother's place?
[00:39:39.181 --> 00:39:40.322]  And he said, yeah, sure I would have.
[00:39:40.902 --> 00:39:41.563]  We know he would have.
[00:39:41.603 --> 00:39:43.144]  We don't even need to ask that question.
[00:39:43.544 --> 00:39:47.808]  And of course, some others are also putting in, along, supporting him.
[00:39:47.968 --> 00:39:51.812]  We also have Scott Walker, who is running for president, said the same thing.
[00:39:51.872 --> 00:39:56.536]  He said, any president would have likely taken the actions that Bush did with the information that he had.
[00:39:57.196 --> 00:40:02.820]  Nevertheless, as Maureen points out, it's about what we knew then, not what we know now.
[00:40:03.460 --> 00:40:14.987]  She said it took a Herculean effort of imagination, manipulation, and deception to concoct the information that propelled the invasion, occupation, and destruction of a country that had nothing to do with 9-11.
[00:40:15.507 --> 00:40:20.911]  Ah yes, but 9-11 itself was a piece of imagination, manipulation, and deception.
[00:40:21.371 --> 00:40:26.839]  But here's the takeaway I think that's interesting, because you know it's not just Jeb Bush who is a son of a Bush.
[00:40:27.520 --> 00:40:31.946]  There's also most of the people that are going to be in this broad GOP field.
[00:40:32.226 --> 00:40:35.490]  With the exception of just Rand Paul, I believe.
[00:40:35.550 --> 00:40:37.553]  He said bluntly last week, she points out,
[00:40:38.294 --> 00:40:43.879]  Every time we've toppled a secular strongman, we've gotten chaos and more radical Islam.
[00:40:44.379 --> 00:40:47.782]  And we're all less safe because of it, said Rand Paul in Kentucky.
[00:40:47.982 --> 00:40:54.008]  He said, I think I could say that at the Iowa Republican Convention and still be well received with it.
[00:40:54.648 --> 00:40:55.829]  Yes, I think so too.
[00:40:56.430 --> 00:41:07.022]  I think it's time the American people are starting to wake up that our perpetual wars, our standing armies, our empire all over the world is making us less safe, not more safe.
[00:41:07.362 --> 00:41:08.984]  And it is bankrupting us.
[00:41:09.821 --> 00:41:10.421]  Well, stay with us.
[00:41:10.781 --> 00:41:15.284]  Right after the break, we're going to have an interview with our reporters in Cleveland, Joe Biggs and Jakari Jackson.
[00:41:15.644 --> 00:41:24.988]  They're there, of course, to cover what might happen as yet another grand jury indictment is coming up from yet another case of police abuse.
[00:41:25.388 --> 00:41:25.768]  Stay with us.
[00:41:25.788 --> 00:41:26.329]  We'll be right back.
[00:41:36.072 --> 00:41:39.874]  City of Austin tap water versus filtered City of Austin tap water.
[00:41:40.295 --> 00:41:41.475]  I can like taste dirt in it.
[00:41:41.555 --> 00:41:42.676]  God knows what's in this.
[00:41:42.816 --> 00:41:43.797]  This has an aftertaste.
[00:41:43.837 --> 00:41:45.418]  Tastes like Austin water?
[00:41:45.678 --> 00:41:46.539]  Yeah, it does.
[00:41:46.599 --> 00:41:50.741]  These people just sampled City of Austin tap water straight from the faucet.
[00:41:51.001 --> 00:41:57.125]  Next, we had them try a sample of tap water filtered through the ProPure G2.0 filtration system.
[00:41:57.305 --> 00:41:58.066]  I call it H2O.
[00:41:58.086 --> 00:41:59.627]  That one is better.
[00:41:59.707 --> 00:42:00.688]  Tastes like nothing.
[00:42:00.968 --> 00:42:02.369]  Yep, I know what good water tastes like.
[00:42:02.429 --> 00:42:02.929]  It's good water.
[00:42:03.029 --> 00:42:11.579]  Most tap water contains added substances, like fluoride, chlorine, Monsanto's deadly pesticide, glyphosate, and many others.
[00:42:11.979 --> 00:42:19.488]  Studies prove that these substances are linked to an assortment of major health issues, including tooth decay, lower IQ, and even cancer.
[00:42:19.748 --> 00:42:22.291]  It tastes like you're drinking out of the lake when you're drinking tap water.
[00:42:22.831 --> 00:42:25.154]  Yeah, there's that processed flavor to it.
[00:42:25.515 --> 00:42:35.067]  The ProPure® G2.0 filtration system removes these deadly substances and many more, leaving only fresh tasting, deliciously clean water.
[00:42:35.107 --> 00:42:36.849]  Okay, this is very tasty.
[00:42:36.929 --> 00:42:37.630]  It's good water.
[00:42:38.286 --> 00:42:38.727]  Refreshing.
[00:42:39.167 --> 00:42:39.527]  It's good.
[00:42:40.068 --> 00:42:42.390]  Go to InfoWarsStore.com today.
[00:42:42.810 --> 00:42:46.634]  Use promo code WATER and save 10% off your Pro Pure purchase.
[00:42:47.154 --> 00:42:50.437]  Again, that's InfoWarsStore.com or call 1-888-253-3139.
[00:42:55.737 --> 00:42:57.399]  The Knowledge of the Ancients.
[00:42:57.720 --> 00:42:58.981]  Tried and true.
[00:42:59.261 --> 00:43:01.304]  Trusted herbs and extracts.
[00:43:01.544 --> 00:43:04.147]  Fused with the latest nutraceutical science.
[00:43:04.468 --> 00:43:07.912]  Introducing the all-new Ancient Defense Herbal Immunity Blend.
[00:43:08.112 --> 00:43:12.798]  Crafted with over 14 key ancient herbs and extracts to supercharge
[00:43:12.918 --> 00:43:13.719]  We're good to go.
[00:43:41.178 --> 00:43:44.100]  With exciting new advances in nutraceutical science.
[00:43:44.380 --> 00:43:47.863]  For a limited time, get 25% off on this introductory offer.
[00:43:47.963 --> 00:43:50.544]  Visit AncientDefense.com or call 888-253-3139.
[00:43:50.564 --> 00:43:51.065]  AncientDefense.com
[00:44:01.581 --> 00:44:05.922]  Well, yet another case of egregious police brutality is being considered in Cleveland.
[00:44:06.383 --> 00:44:09.864]  After three years, the case is now before a grand jury.
[00:44:10.324 --> 00:44:14.325]  An indictment, or possibly just letting the officer off, is very imminent.
[00:44:14.925 --> 00:44:20.067]  We have a buildup in tensions there, people concerned that there may be rioting if there's not an indictment.
[00:44:20.527 --> 00:44:23.748]  Our reporters Ja'Kari Jackson and Joe Biggs are on the scene.
[00:44:24.349 --> 00:44:26.889]  Joining us now from Cleveland is Joe Biggs.
[00:44:26.950 --> 00:44:28.990]  Of course, Joe, you're there with Ja'Kari Jackson, is that correct?
[00:44:30.231 --> 00:44:31.171]  Yes, sir, that is correct.
[00:44:31.533 --> 00:44:37.155]  So tell us briefly what happened and why this is a big deal, why this is a concern to the people in Cleveland.
[00:44:38.496 --> 00:44:41.337]  Well, November will be three years when this incident happened.
[00:44:41.997 --> 00:44:45.058]  There were about 13 officers involved in a car chase.
[00:44:45.598 --> 00:44:55.402]  They were in pursuit of two unarmed black assailants, whatever you would want to call, in this pursuit and it ended at a schoolyard.
[00:44:55.822 --> 00:45:00.984]  Now what happened was there were some shots fired prior to the vehicles coming to a halt
[00:45:01.547 --> 00:45:12.637]  Then Officer Michael Brello jumped out of his squad car and onto the hood of the two unarmed suspects' vehicle and fired 15 shots into the windshield.
[00:45:13.038 --> 00:45:17.742]  At that point, five of those shots were fatal and that's what killed the two unarmed suspects.
[00:45:18.322 --> 00:45:27.511]  This is a big deal because we keep seeing this rise in police brutality across the country and for some reason a lot of these officers continue
[00:45:27.952 --> 00:45:31.513]  To get off when, in fact, they were completely in the wrong.
[00:45:32.033 --> 00:45:37.915]  And that's why you're seeing these huge uprisings, these riots that are happening, the Ferguson, the Baltimore.
[00:45:38.155 --> 00:45:38.955]  And that's the question.
[00:45:38.995 --> 00:45:40.616]  That's what everybody wants to know out here.
[00:45:40.856 --> 00:45:42.836]  Will this be the next Ferguson?
[00:45:43.137 --> 00:45:44.797]  Will this be another Baltimore?
[00:45:45.077 --> 00:45:47.058]  So everyone's on high alert.
[00:45:47.438 --> 00:45:48.278]  Tensions are high.
[00:45:48.578 --> 00:45:52.099]  You know, we know now at this point in time that the National Guard is on alert.
[00:45:52.339 --> 00:45:54.240]  They're standing by to react.
[00:45:54.600 --> 00:45:57.781]  The police officers in this area have been seen by some locals.
[00:45:58.137 --> 00:46:00.239]  With riot shields hanging out the back of the trunk.
[00:46:00.519 --> 00:46:02.981]  So everyone's just kind of waiting to see what's going to happen.
[00:46:03.262 --> 00:46:14.572]  And so far we know that tomorrow, at the earliest, we could have an answer as to whether or not he will be charged with two counts of manslaughter or he will get lesser charges.
[00:46:14.912 --> 00:46:16.413]  And that's what we have to worry about.
[00:46:16.453 --> 00:46:22.539]  If that happens and he gets two lesser charges, I have to say that I think that things will heat up here in Cleveland.
[00:46:23.359 --> 00:46:25.201]  Yeah, you said that they were assailants.
[00:46:25.281 --> 00:46:27.123]  I think they were just fleeing the police.
[00:46:27.184 --> 00:46:27.744]  Is that correct?
[00:46:29.586 --> 00:46:31.769]  Had they done anything other than flee the police?
[00:46:31.789 --> 00:46:32.670]  At that point, I don't know.
[00:46:32.690 --> 00:46:33.671]  I just know that they were fleeing.
[00:46:33.691 --> 00:46:35.213]  I don't have all the details at that point.
[00:46:35.595 --> 00:46:47.017]  And I think that before he jumped up on the hood of the car and emptied a new clip, but he took the time after the officers, the other officers with him had shot, and I think it was, what was it, about 150 shots, the car had stopped.
[00:46:47.037 --> 00:46:48.178]  Yeah, it was about 132 shots.
[00:46:48.278 --> 00:46:55.479]  Yeah, the car had stopped, and what he did was he put in a new magazine in his pistol and jumped on the hood and fired it.
[00:46:55.499 --> 00:46:57.800]  So very, very aggressive behavior.
[00:46:57.840 --> 00:46:59.060]  That's why he's been charged.
[00:46:59.820 --> 00:47:10.588]  So in terms of what you've seen though, and in terms of buildup of the National Guard, have you seen anything unusual other than reports of some people with some shields hanging out of their trunks?
[00:47:11.089 --> 00:47:13.230]  Not so far in the downtown area.
[00:47:13.250 --> 00:47:20.496]  It's not like we saw in Baltimore when we were out there in the past few weeks ago, how there were armed people on every corner.
[00:47:20.636 --> 00:47:21.977]  It hasn't got to that point yet.
[00:47:22.337 --> 00:47:27.161]  But I do have a feeling that if word comes out that they will come to a verdict tomorrow,
[00:47:27.483 --> 00:47:36.971]  You'll begin to see those National Guard troops move into the area and you'll start seeing riot police out around the corners because this is the area where they're expecting the riots to happen.
[00:47:37.271 --> 00:47:43.056]  Just down the street, maybe a half quarter of a mile away, is a justice center where that verdict is going to happen.
[00:47:43.116 --> 00:47:55.046]  So, you know, this is going to be a lot like Baltimore in a sense, but if it happens, it's going to be bad because there's so much stuff crammed tight in this downtown area.
[00:47:55.406 --> 00:47:56.007]  I just hope that
[00:47:56.482 --> 00:47:57.623]  People are prepared and ready.
[00:47:57.963 --> 00:48:08.628]  You know, there's already talks of a lot of the schools possibly going to be shutting down, different of the businesses saying that they might close down, warning their employees to be on high alert.
[00:48:08.928 --> 00:48:11.210]  So, like I said... That's a good point, Joe.
[00:48:11.250 --> 00:48:15.432]  How much notice are they going to give to schools and to businesses to prepare for this?
[00:48:15.492 --> 00:48:19.274]  Are they just going to spring it on them in some evening or in the afternoon sometime?
[00:48:20.794 --> 00:48:23.816]  That's the thing I'm concerned about myself.
[00:48:24.411 --> 00:48:30.173]  You know, we kind of have a leg up with this case, this time around, to kind of do the right thing, you would think.
[00:48:30.193 --> 00:48:33.754]  You know, people should have learned from the mistakes in Ferguson and in Baltimore.
[00:48:33.794 --> 00:48:40.256]  You think that the people here would kind of know how to do it, but it seems like they're saying, you know, tomorrow at the earliest, we'll find out.
[00:48:40.556 --> 00:48:43.337]  And that's what happened in November in Ferguson, if you guys remember.
[00:48:43.617 --> 00:48:45.918]  They told us when we got there, oh, it's going to happen tomorrow.
[00:48:46.138 --> 00:48:48.698]  Then tomorrow became the next day and the day after and the day after.
[00:48:48.999 --> 00:48:53.560]  And all that happened was the built up tension and aggression in the people who wanted to seek justice.
[00:48:53.996 --> 00:48:55.218]  And eventually we know what happened.
[00:48:55.238 --> 00:48:57.401]  I mean the entire city of Ferguson burnt to the ground.
[00:48:57.782 --> 00:49:08.779]  So hopefully they'll end this swiftly and quick and get it done in a manner of time that's fitting instead of dragging it on like they did in Ferguson and the outcome was just 10 times worse.
[00:49:09.244 --> 00:49:12.905]  Well, of course, that presumes that they don't want to have riots.
[00:49:13.225 --> 00:49:20.547]  Many of us believe that perhaps that's what they wanted in Ferguson, based on the many, many things that they did, none of which made any sense.
[00:49:20.927 --> 00:49:31.910]  And of course, if they wanted to not have these riots, the prosecutors would do their duty and bring charges against police officers when they do egregious things like this, not just let them go.
[00:49:33.390 --> 00:49:43.096]  Yeah, I just hope that's not going to happen in the middle of the night at 8 o'clock at night like they did in Ferguson, when everyone's standing outside of the building, lined up, just ready to attack.
[00:49:43.497 --> 00:49:44.837]  You know, that's the worst time.
[00:49:44.857 --> 00:49:46.999]  Do it in the morning, give people time to prepare.
[00:49:47.423 --> 00:49:51.387]  And hopefully they'll do it the right way and we won't see Cleveland burned down to the ground.
[00:49:51.607 --> 00:49:51.987]  Exactly.
[00:49:52.007 --> 00:50:00.836]  That's why we said that we thought they were doing it deliberately because that was the time that they had had riots in the past at precisely the same place, precisely the same time.
[00:50:01.156 --> 00:50:03.038]  They wait to that point and release the verdict.
[00:50:03.378 --> 00:50:04.079]  Well, thank you, Joe.
[00:50:04.119 --> 00:50:06.962]  We'll be looking for more reports and see what happens there.
[00:50:07.042 --> 00:50:08.764]  Hopefully justice will be done.
[00:50:09.244 --> 00:50:09.504]  Thank you.
[00:50:10.305 --> 00:50:10.585]  Thank you.
[00:50:44.028 --> 00:50:53.296]  Infowarslife and Infowarslife.com is extremely excited to announce our latest release, Winter Sun, a revolutionary type of vitamin D3.
[00:50:53.536 --> 00:50:58.120]  Winter Sun is a premium quality vitamin D3 nutritional supplement.
[00:50:58.220 --> 00:51:02.604]  It is produced by extracting oil from healthy nutrient-dense plants known as lichens.
[00:51:03.004 --> 00:51:05.905]  Every batch is analyzed for purity and D3 content.
[00:51:06.045 --> 00:51:08.145]  It's completely free of toxins and allergens.
[00:51:08.466 --> 00:51:11.886]  Simply put, if you want the best at an extremely low price, this is it.
