[00:00:01.749 --> 00:00:02.911]  Well, it is surreal.
[01:03:37.355 --> 01:03:38.336]  And, uh...
[01:03:39.895 --> 01:03:41.897]  I think I may have to cut back a little bit on the super male.
[01:03:41.957 --> 01:03:44.139]  I mean, I'm not doing a plug now, but I guess I am.
[01:03:45.420 --> 01:03:47.822]  It definitely works with my physiology.
[01:03:47.942 --> 01:03:55.709]  And everyone I know, everyone, but one caller and Jakari Jackson say it was just phenomenal.
[01:03:56.609 --> 01:04:01.233]  And I'm being honest, Jakari took it for a week, but if you see Jakari, he looks like he has 3% body fat and lifts weights constantly.
[01:04:01.273 --> 01:04:04.756]  I mean, he looks like a muscular Calvin Klein model.
[01:04:04.796 --> 01:04:06.318]  So I guess if you're in that good of shape,
[01:04:08.342 --> 01:04:09.383]  Leanne's like, are you kidding?
[01:04:09.403 --> 01:04:10.404]  That stuff's incredible.
[01:04:11.705 --> 01:04:14.768]  And I know two people that say it didn't knock their socks off.
[01:04:14.808 --> 01:04:17.850]  I mean, it's got hardcore known herbs in it.
[01:04:18.611 --> 01:04:21.553]  That libido, energy, stamina, you name it.
[01:04:22.875 --> 01:04:25.036]  And just try it out for yourself and your support in the broadcast.
[01:04:25.076 --> 01:04:27.799]  Infowarslife.com, 15% off right now.
[01:04:29.981 --> 01:04:31.702]  On everything, and not just if you have gift cards.
[01:04:31.822 --> 01:04:35.205]  And there's a promo code on infowarsstore.com, GIFT15.
[01:04:37.259 --> 01:04:38.600]  Are you looking for affordable housing?
[01:04:38.720 --> 01:04:40.562]  Well, check out these headlines.
[01:04:40.882 --> 01:04:43.344]  60,000 New Yorkers sign up for tiny house development.
[01:04:43.444 --> 01:04:45.385]  265 square foot apartments.
[01:04:45.726 --> 01:04:47.907]  But would you pay $3,000 a month for this?
[01:04:48.408 --> 01:04:52.831]  Next, inside NYC's impossibly small 100 square foot apartment.
[01:04:53.031 --> 01:04:54.712]  It only goes for $2,800 a month.
[01:04:54.993 --> 01:04:57.374]  Or how about life in a 90 square foot box?
[01:04:57.535 --> 01:05:02.438]  Woman's apartment takes cramped New York living to the extreme, but she's living in the West Village for just $7.75 a month.
[01:05:03.579 --> 01:05:04.720]  And here's one out of New York.
[01:05:33.539 --> 01:05:36.580]  Rob Dew reporting for InfoWars.com and InfoWars Nightly News.
[01:05:37.000 --> 01:05:37.620]  I want more candy!
[01:05:37.640 --> 01:05:38.740]  I want more video games!
[01:05:38.780 --> 01:05:39.140]  Mine, mine, mine!
[01:05:40.300 --> 01:05:49.682]  And it's that type of behavior that spurred me to do the research to develop a true nutraceutical formula that was designed to smooth out and help children focus.
[01:05:50.022 --> 01:05:52.563]  All of our children are hit with modern mind control.
[01:05:52.723 --> 01:05:56.083]  Television, music, fast food, GMOs, sugars, you name it.
[01:05:56.283 --> 01:05:59.024]  Young humans have not yet developed their nervous system.
[01:05:59.184 --> 01:05:59.444]  I don't know.
[01:06:19.957 --> 01:06:21.599]  There's a powerful calming formula out there.
[01:06:21.859 --> 01:06:29.148]  Introducing ChildEase with herbs and calming extracts like chamomile and lemon balm and essential nutrients that taste great.
[01:06:29.408 --> 01:06:32.892]  Obtain your ChildEase today at Infowarslife.com.
[01:06:33.012 --> 01:06:35.956]  That's ChildEase exclusively at Infowarslife.com.
[01:06:36.957 --> 01:06:43.760]  In the 15-year history of PrisonPlanet.TV, we have never offered six months free at Christmas.
[01:06:43.840 --> 01:06:46.561]  We've always offered five months free.
[01:06:46.741 --> 01:06:52.303]  But since I announced six free months a few days ago, we have seen record numbers of signups.
[01:06:52.643 --> 01:06:55.785]  PrisonPlanet.TV began 15 years ago.
[01:06:55.805 --> 01:06:59.026]  It's grown into InfoWars, Nightly News, and so much more.
[01:06:59.346 --> 01:07:07.870]  All of my documentary films, scores of e-books, and other exclusive documentaries are available for streaming or download in HD at PrisonPlanet.tv.
[01:07:08.330 --> 01:07:19.035]  You don't just get six months free when you sign up from Christmas through New Year's, you also get to share that membership with up to 20 people simultaneously using your username.
[01:07:19.315 --> 01:07:26.720]  You can also sign up for a trial month and only pay $5.95, and then 20 of you and your friends and family can watch PrisonPlanet.tv.
[01:07:27.080 --> 01:07:28.942]  Get 20 memberships at half price.
[01:07:29.142 --> 01:07:30.983]  Be the Paul Revere in your community.
[01:07:31.063 --> 01:07:34.605]  That's 6 months free when you sign up for a year at PrisonPlanet.tv.
[01:07:48.613 --> 01:07:49.253]  The answer to 1984 is 1776.
[01:07:49.293 --> 01:07:54.575]  You're listening to The Alex Jones Show.
[01:07:54.635 --> 01:08:01.637]  There I was, completely wasted, out of work and down.
[01:08:01.797 --> 01:08:07.238]  All excited, so frustrated, as I dreamed of town and town.
[01:08:07.298 --> 01:08:13.780]  Still so nobody cares, if I live or die.
[01:08:14.835 --> 01:08:16.417]  Welcome back, ladies and gentlemen.
[01:08:17.718 --> 01:08:21.401]  We are now into our number two broadcasting worldwide.
[01:08:23.123 --> 01:08:38.318]  Coming up, Cy Hirsch, two-time Pulitzer Prize winner, will join us to break down Military to Military, his new book, which confirms what Colonel Schaefer and many other sources, Tosh Plumley and other whistleblowers, have said here on this broadcast, bravely.
[01:08:40.097 --> 01:08:44.578]  That Benghazi was a staged event to ship arms to Al-Qaeda, Al-Nusra, now known as ISIS?
[01:08:46.639 --> 01:08:47.739]  Unbelievable information.
[01:08:48.299 --> 01:09:04.063]  And that the State Department's been running a covert war, using mercenaries and others, and that they've had major, what I would call, not mutiny, but people fighting the takeover, what Steve Pchenik yesterday called a soft coup.
[01:09:05.024 --> 01:09:05.944]  And now you have
[01:09:07.964 --> 01:09:18.192]  The General, the former head of Defense Intelligence, going public a couple months ago, coming out and saying we were ordered to fund ISIS and Al Qaeda deliberately by the neocons and Obama, basically.
[01:09:18.693 --> 01:09:20.274]  This is unprecedented.
[01:09:20.294 --> 01:09:22.016]  I want to get into this with Dr. Paul Craig Roberts.
[01:09:22.356 --> 01:09:32.644]  I want to get into this on a big article that he wrote in a syndicated column that we covered at Infowars.com last week to talk about the state of what's happening.
[01:09:32.885 --> 01:09:36.548]  But I can tell you, obviously, talking to folks in the Trump camp, I'm going to leave it at that.
[01:09:37.364 --> 01:09:37.665]  I don't know.
[01:09:51.357 --> 01:09:52.238]  I don't think so.
[01:10:12.561 --> 01:10:16.103]  He's been a big insider, and he's been somewhat pessimistic, and I understand why.
[01:10:16.723 --> 01:10:27.309]  But I tell you, there are some very exciting things happening right now, in government, in the military, you name it, that shows me that there are people making very moral stands.
[01:10:27.350 --> 01:10:28.750]  Now, do we have an Operation Valkyrie?
[01:10:29.331 --> 01:10:31.112]  No, because there's not one Hitler to take out.
[01:10:31.172 --> 01:10:33.233]  I don't want any violence, and Obama's a puppet.
[01:10:34.022 --> 01:10:46.572]  But there is a soft coup against a bunch of different agendas, where we now learn our military was working with the Russians and the Syrians years ago to counter the insurgents, the bad insurgents, which are 90 plus percent.
[01:10:46.852 --> 01:10:50.054]  So that's a briefing at the start of the hour for new listeners that just tuned in.
[01:10:50.895 --> 01:10:55.439]  And I want to get into that, the Russia situation, and what Dr. Roberts thinks about Trump.
[01:10:55.779 --> 01:10:57.740]  Donald Trump, an evaluation.
[01:10:58.341 --> 01:11:00.522]  And he goes over it, and I think it's a
[01:11:01.283 --> 01:11:02.443]  Glad to be with you.
[01:11:02.523 --> 01:11:03.424]  Oh, whatever suits you.
[01:11:03.464 --> 01:11:04.444]  Trump, perhaps, huh?
[01:11:24.517 --> 01:11:33.259]  Well, it's clear that he has the personality of a leader, and I think he's liked because he doesn't back down.
[01:11:33.279 --> 01:11:38.261]  He's not always apologizing every time he says something that people get upset about.
[01:11:39.361 --> 01:11:46.283]  But I think he has a lot of problems in that he doesn't really, I think, know what to do.
[01:11:48.013 --> 01:11:54.920]  And he seems to think that as long as he's making aggressive statements, the people will follow him.
[01:11:56.081 --> 01:12:03.969]  And that's probably the case because they're tired of all these people who are always mealy-mouthed, and Trump's not mealy-mouthed.
[01:12:05.080 --> 01:12:11.604]  But he doesn't come out of the policy community.
[01:12:11.624 --> 01:12:17.808]  He doesn't know the policy people who could help him change the policies.
[01:12:19.770 --> 01:12:27.095]  And it's unlikely he would be staffed up with a government that could help him.
[01:12:27.935 --> 01:12:29.196]  That's a difficult thing to do.
[01:12:29.296 --> 01:12:32.358]  I mean, it was hard even for Ronald Reagan to get some of us in there.
[01:12:34.870 --> 01:12:39.279]  And Reagan was a longtime political figure.
[01:12:39.360 --> 01:12:41.324]  He had something of a movement.
[01:12:42.748 --> 01:12:51.673]  So my point is that without a movement behind him, without policy knowledge, he's not really well informed.
[01:12:53.354 --> 01:12:57.337]  He may not be able to do much even if he gets an office.
[01:12:57.397 --> 01:13:06.322]  Would you be willing to talk to him and with some others and advise him on a policy group for his campaign to come in and help him?
[01:13:06.342 --> 01:13:08.764]  Because I agree he's very smart but has his perspective
[01:13:09.304 --> 01:13:11.686]  And so he does really good in some areas, not so good in others.
[01:13:12.067 --> 01:13:21.315]  I mean, obviously, if he picked people from this political spectrum, then that would probably, obviously, not scare the establishment as much either.
[01:13:22.797 --> 01:13:27.842]  Of course, I'd be willing to talk to him, but they would just tell him I'm a conspiracy theorist.
[01:13:29.492 --> 01:13:30.294]  He won't listen to that.
[01:13:30.494 --> 01:13:32.037]  I'm going to get in touch with him.
[01:13:32.238 --> 01:13:34.983]  I'm suspicious of 9-11, sir.
[01:13:35.003 --> 01:13:40.313]  But another problem he faces, these apportees have to be cleared by the Senate.
[01:13:40.333 --> 01:13:41.796]  They have to be confirmed in office.
[01:13:43.248 --> 01:13:47.530]  And all the interest groups have their claws into the senators.
[01:13:47.670 --> 01:14:11.100]  And so, if he tried to put in people who were in any sense controversial, in the sense of disagreeing with the neoconservatives, or disagreeing that the invasion of Iraq was a good thing, or the overthrow of Qaddafi was a good thing, the senators would simply not confirm them.
[01:14:12.287 --> 01:14:34.000]  So it's very difficult, given the way the American system works, to get change out of it without a lot more awareness than exists, both among people and among politicians, and without the politicians seeing that there's now more at stake than their campaign contributions.
[01:14:34.907 --> 01:14:39.511]  And that they actually now have to take risks to save the country.
[01:14:39.531 --> 01:14:45.816]  It takes that type of environment for a leader to be successful.
[01:14:46.577 --> 01:14:48.759]  And without that environment, it's difficult.
[01:14:49.179 --> 01:14:52.943]  But don't we have the climate forming the atmosphere now for that to happen?
[01:14:54.404 --> 01:14:55.825]  I don't think so.
[01:14:57.446 --> 01:14:59.828]  But I'm willing for there to be.
[01:14:59.889 --> 01:15:01.330]  I mean, I don't want to
[01:15:03.553 --> 01:15:06.215]  I'm not opposed to having that in climate.
[01:15:06.395 --> 01:15:08.296]  In fact, that's why I do what I do.
[01:15:08.376 --> 01:15:14.461]  I'm trying to make people aware so that we would have a climate for later.
[01:15:14.881 --> 01:15:22.466]  Obviously, there's not a climate in the general public, but there is a climate in the insiders and in the actual police and military.
[01:15:22.526 --> 01:15:23.967]  Believe me, I have the contacts.
[01:15:24.327 --> 01:15:25.148]  It's explosive.
[01:15:25.168 --> 01:15:26.349]  I know you have a lot of contacts, sir.
[01:15:26.949 --> 01:15:32.834]  But I know you're mainly with the big policy wonk level and the big think tanks, and they may still, you know, not know what's going on.
[01:15:32.874 --> 01:15:33.415]  I think they do.
[01:15:33.435 --> 01:15:34.476]  They're pretty smart like you.
[01:15:34.836 --> 01:15:39.820]  I'm here to tell you, the people that actually do the hanging in this country are really awake right now.
[01:15:41.181 --> 01:15:42.903]  Well, that's good news.
[01:15:43.023 --> 01:15:49.469]  I was impressed when I saw the former head of the Defense Intelligence Agency tell the truth about ISIS.
[01:15:50.669 --> 01:15:51.549]  And our involvement.
[01:15:52.650 --> 01:16:00.873]  And I've seen nice, I've seen sensible patriotic things said by other military leaders.
[01:16:01.873 --> 01:16:02.893]  Which is revolutionary.
[01:16:03.894 --> 01:16:11.936]  And I even think Kissinger's statements that we can't solve any problem unless we're in it together with the Russians.
[01:16:12.056 --> 01:16:18.879]  We can't simultaneously solve problems and create conflict with Russia.
[01:16:20.480 --> 01:16:20.960]  Exactly.
[01:16:21.000 --> 01:16:27.947]  Kissinger's now writing huge articles, papers, basically sounding like you, hedging his bets when we all know he's been involved in all this.
[01:16:28.267 --> 01:16:29.448]  So this is a big deal, sir.
[01:16:29.808 --> 01:16:36.895]  I mean, I understand that you like to be pessimistic so you don't overshoot how good we're doing, but I'm telling you, there's some real light here coming in.
[01:16:38.274 --> 01:16:40.196]  Well, we're going to need these people.
[01:16:42.539 --> 01:16:51.950]  They'll have to take more and more risks and show more and more of themselves just in order to block the growing likelihood of conflict with Russia.
[01:16:52.936 --> 01:16:55.237]  Or with Russia and China.
[01:16:56.117 --> 01:16:59.398]  This is still the neoconservative policy.
[01:16:59.818 --> 01:17:00.058]  Sure.
[01:17:00.418 --> 01:17:05.740]  Well, the neocons can kick around Iraq or kick around a few countries they've been, you know, had sanctions on for 20 years.
[01:17:05.780 --> 01:17:08.181]  But yeah, they're not going to be able to take on Russia or China.
[01:17:08.481 --> 01:17:16.103]  And I look at Richard Perle and Walt Wolfowitz and all these guys, they are literally the school wimp who's become a bully.
[01:17:16.163 --> 01:17:18.904]  I mean, that's what's scary to me is these are not military people.
[01:17:20.751 --> 01:17:28.817]  Well, no they're not, but they've been in the Pentagon, and they've been in the policy positions that control military policy.
[01:17:28.937 --> 01:17:34.721]  So, I wouldn't say they're powerless or without influence.
[01:17:34.761 --> 01:17:36.843]  In fact, we still live in a neocon world.
[01:17:37.763 --> 01:17:40.265]  And the media, they still have the media, don't they?
[01:17:40.285 --> 01:17:43.768]  I mean, they've got the Wall Street Journal, the Weekly Standard, Fox News.
[01:17:43.788 --> 01:17:44.889]  I mean, they've got the whole thing.
[01:17:44.909 --> 01:17:47.270]  The New York Times, the Washington Post.
[01:17:48.638 --> 01:17:57.367]  So much of Washington responds to the print of TV media, not to you and I. I agree with you, but we've come from behind.
[01:17:57.428 --> 01:17:59.870]  We're gaining ground in this 12 round fight.
[01:18:01.212 --> 01:18:03.194]  What do you make of the calls
[01:18:05.683 --> 01:18:07.104]  Well, it's like you say.
[01:18:07.124 --> 01:18:08.965]  It's very rich.
[01:18:08.985 --> 01:18:12.508]  It's not clear to what extent we're actually fighting ISIS.
[01:18:12.548 --> 01:18:12.948]  It's our creation.
[01:18:34.253 --> 01:18:45.605]  Uh, and we hope to use it to, and I say we, I mean the neocons, and most hope to use ISIS to overthrow Assad, just like they used it to overthrow Gaddafi.
[01:18:47.173 --> 01:19:03.819]  You know, when the Russians and the British Parliament blocked Obama's planned invasion of Syria, that's when the neocons turned to ISIS and sent them in there to do the job, pretending they were Syrian rebels fighting against the dictator.
[01:19:05.959 --> 01:19:14.202]  So, it's not clear, you're probably better informed on this than I am, how much Washington is really fighting ISIS.
[01:19:15.316 --> 01:19:18.919]  You know, when the Russians went in there, we were very protective of ISIS.
[01:19:19.299 --> 01:19:21.320]  Didn't want the Russians attacking ISIS.
[01:19:22.221 --> 01:19:23.442]  Well, that's the policy, people.
[01:19:23.522 --> 01:19:29.126]  I can tell you directly from high-level Pentagon and many people that have been on the show, that this is what's happened.
[01:19:31.127 --> 01:19:32.728]  And Cy Hirsch is coming on to break it down.
[01:19:36.474 --> 01:19:49.485]  Every time they have the military, whether it was Libya or whether it was Egypt or whether it was the situation in Syria, right down to the non-commissioned officers, right up to pretty much the top.
[01:19:49.726 --> 01:19:54.210]  That's why Obama had that big purge the last few years and put a bunch of just desk jockeys in.
[01:19:55.700 --> 01:20:03.585]  They got fed up with Benghazi watching for six, seven hours on the predator footage of everybody being killed and the order to stand down from Hillary and then seeing her lie.
[01:20:03.905 --> 01:20:06.207]  Thousands actually witnessed that, basically.
[01:20:06.767 --> 01:20:13.331]  It turned into such a fiasco that caused a huge sea change to actually watch it for themselves, despite all the corruption made them click.
[01:20:13.912 --> 01:20:21.016]  And then all these whistleblowers started exposing the plan to turn loose these al-Qaeda proxy armies all over in a deal with Saudi Arabia to destabilize things.
[01:20:21.977 --> 01:20:32.165]  And so the military began blowing the whistle, and so even generals started quietly, through Egypt and others, feeding the Russians and Assad intel.
[01:20:33.497 --> 01:20:42.525]  And then you've got the State Department over there trying to cover everything up with the Pentagon leaking, or large factions of it, leaking that Hillary was in an arms deal.
[01:20:44.106 --> 01:20:46.148]  And that's basically what's going on.
[01:20:46.168 --> 01:20:54.716]  I mean, Colonel Schaefer told me a couple years ago that, you know, he was in hearings with Congress, and he said, I'm not going to tell you what I told them, but now I'm going to say this here.
[01:20:55.296 --> 01:20:55.616]  I don't know.
[01:21:17.168 --> 01:21:18.469]  Well, I'm not entirely surprised at that.
[01:21:18.489 --> 01:21:20.450]  I do know that the military officers
[01:21:43.257 --> 01:21:44.461]  We're good to go.
[01:21:51.380 --> 01:21:57.844]  They've had a very poor opinion of the neoconservatives and their various schemes.
[01:21:59.105 --> 01:22:07.831]  But of course their promotions and appointments were controlled by neoconservatives and so they really couldn't do much about it.
[01:22:08.151 --> 01:22:19.579]  But I'm glad to see that an increasing number of them have had enough and are prepared to put their foot down and to speak the warnings that people need to hear.
[01:22:20.099 --> 01:22:22.381]  So that's, I agree with you, that's encouraging news.
[01:22:22.841 --> 01:22:28.744]  It's also encouraging that the neocons have not been able to completely corrupt the officer corps.
[01:22:29.845 --> 01:22:36.089]  I'm sure they've tried by promotions and other such methods.
[01:22:36.109 --> 01:22:48.356]  And the fact that we still have, from what you're telling me, I conclude, we still have an officer corps with some integrity and some ability to think about the country and to see themselves
[01:22:49.917 --> 01:22:54.001]  Not as the end-all be-all, but to see the country.
[01:22:54.682 --> 01:22:58.666]  And so that's a good development.
[01:22:58.806 --> 01:23:03.831]  It means that we are in a stronger position than we were.
[01:23:04.292 --> 01:23:06.234]  And it means the neocons are in a weaker one.
[01:23:06.994 --> 01:23:07.755]  But they're still there.
[01:23:08.736 --> 01:23:11.037]  And they could pull any type of trick.
[01:23:11.117 --> 01:23:19.142]  With your knowledge of the neocons, sir, being around them for 30 years or longer in Washington, what type of bag of tricks do you think they've got?
[01:23:19.202 --> 01:23:21.223]  What might they do?
[01:23:21.843 --> 01:23:32.809]  Okay, I think that they're well connected to whatever the black ops forces are that are not really controlled or well known.
[01:23:33.769 --> 01:23:34.550]  They're off budget.
[01:23:36.510 --> 01:23:37.350]  They're off the books.
[01:23:37.511 --> 01:23:45.217]  And I think the New York Times are well-connected to these black-op groups, and they can act independently of the official government.
[01:23:46.438 --> 01:23:50.621]  They can pull off black flag events, or false flag events.
[01:23:52.649 --> 01:23:54.270]  So, what would they do?
[01:23:54.710 --> 01:24:02.435]  You know, if the neocons feel they're losing power, losing their grip, losing control, they may get increasingly reckless.
[01:24:03.315 --> 01:24:06.938]  So, I can't really say.
[01:24:08.038 --> 01:24:17.144]  On the other hand, it's possible that some of the neoconservants themselves are losing their confidence in their agenda of world hegemony.
[01:24:18.465 --> 01:24:25.515]  I think many of them did think that the situation in Iraq would be over with very quickly.
[01:24:28.581 --> 01:24:36.446]  We would be seen as a great liberator, and people would be friendly, and we would have another vassal state.
[01:24:37.146 --> 01:24:38.727]  I think many of them didn't believe that.
[01:24:40.128 --> 01:24:50.194]  So there's a lot in the events to disillusion those among the neoconservatives who have the ability of any introspection.
[01:24:50.874 --> 01:24:54.016]  Well, yeah, they claim they want to fight Iran, but everything they do helps Iran.
[01:24:55.156 --> 01:24:57.658]  And they claim they want to break Iraq in three parts, but then claim they don't.
[01:24:57.898 --> 01:24:58.898]  Let's shift gears into Putin.
[01:24:58.938 --> 01:25:05.061]  As you know, he came out in the last few weeks, so did Lavrov, the foreign minister, and said, who's in control of your Syria operations?
[01:25:05.081 --> 01:25:12.265]  Because your military is giving us info and helping us, but then your State Department and others are directing things that are helping them.
[01:25:12.805 --> 01:25:13.726]  Who is in control?
[01:25:13.806 --> 01:25:17.468]  I mean, pretty much Putin is signaling he knows there's an internal fight going on.
[01:25:19.804 --> 01:25:22.407]  Well, he's right, I suspect.
[01:25:23.528 --> 01:25:26.291]  It may be that there are different people in control.
[01:25:28.213 --> 01:25:38.144]  Look, I can remember, Alex, when I was in the Treasury, I would go over to White House meetings with the President about his economic policy.
[01:25:39.045 --> 01:25:40.627]  And the President would make a decision.
[01:25:41.835 --> 01:25:45.459]  And everybody left with a different understanding of what the decision was.
[01:25:46.961 --> 01:25:51.606]  Because they were all shaping the decision to support their own agenda.
[01:25:53.328 --> 01:25:56.452]  Sure, it's like an interpreter when you're doing a TV show saying something you didn't say.
[01:25:57.438 --> 01:25:57.899]  That's right.
[01:25:58.980 --> 01:26:06.190]  And so there are so many agendas, and there are so many alliances.
[01:26:06.911 --> 01:26:13.821]  A lot of the alliances are unlikely, but for the moment, the two agendas fit, and so they support one another.
[01:26:14.682 --> 01:26:16.844]  I, you know, these things are not predictable.
[01:26:16.924 --> 01:26:24.190]  I think what we have to be worried about is the language of hostility that has developed in official Washington.
[01:26:24.311 --> 01:26:25.211]  Oh, the debates.
[01:26:25.271 --> 01:26:25.772]  The debates.
[01:26:25.832 --> 01:26:29.175]  The Russians said it's like human sacrifice of Russia, ritual sacrifice.
[01:26:29.435 --> 01:26:30.216]  Bloody their nose.
[01:26:30.276 --> 01:26:31.637]  Blow up their airplanes.
[01:26:31.697 --> 01:26:32.498]  I mean, it's crazy.
[01:26:33.118 --> 01:26:33.678]  Yeah, I know.
[01:26:33.839 --> 01:26:50.190]  And so what I'm saying is we have to worry about this language of violence and hostility that comes out of the media, the presidential candidates, because this shows that there's no trust between nuclear powers.
[01:26:51.471 --> 01:26:59.876]  And if there's no trust between nuclear powers, that's when you really get the likelihood of a nuclear war.
[01:27:00.097 --> 01:27:01.878]  You know, all during my lifetime,
[01:27:03.239 --> 01:27:15.225]  From John Kennedy through Reagan and George Herbert Walker Bush, the office's president was always trying to build trust between Washington and Moscow.
[01:27:16.025 --> 01:27:22.128]  They wanted trust between the two nuclear powers so that nobody would jump to the wrong conclusion and push back.
[01:27:23.168 --> 01:27:27.910]  Well, what we've seen in the new conservative era is a complete destruction of this trust.
[01:27:28.751 --> 01:27:31.172]  And again, we have massive distrust.
[01:27:32.325 --> 01:27:33.146]  I don't think so.
[01:27:47.759 --> 01:27:49.480]  We're back into a worse world.
[01:27:49.881 --> 01:27:52.923]  And we've given Russia the initiative to actually build up, expand.
[01:27:53.003 --> 01:27:54.504]  It actually is against American interest.
[01:27:54.925 --> 01:28:06.554]  We've actually made Putin a superstar, all because the neocons don't want anyone talking to the policy heads because they're so jealous and greedy, like it's a college frat and a popularity contest.
[01:28:06.654 --> 01:28:09.936]  Oh, don't talk to them, they're bad people, and then it endangers the whole world.
[01:28:10.217 --> 01:28:13.980]  It sounds like horrible, amateur foreign policy, sir.
[01:28:14.991 --> 01:28:18.014]  Yeah, but they're in charge and this is the danger that they've created.
[01:28:18.074 --> 01:28:29.247]  So, I'm saying as hopeful as we can see some of the developments that you've talked about, we have to keep in mind we still have this very dangerous situation where the neoconservatives have broken down trust.
[01:28:29.547 --> 01:28:30.428]  I agree.
[01:28:32.109 --> 01:28:35.850]  And when you have that type of a situation, it's dangerous.
[01:28:36.090 --> 01:28:41.932]  I think we're in more danger now than we were at any time during the Cold War because there's less trust.
[01:28:41.992 --> 01:28:44.213]  I mean, how can Putin trust Washington?
[01:28:44.253 --> 01:28:45.653]  We broke every agreement.
[01:28:46.193 --> 01:28:47.013]  They're mad dog.
[01:28:47.053 --> 01:28:47.674]  They're mad dog.
[01:28:47.694 --> 01:28:48.914]  We demonized him.
[01:28:48.954 --> 01:28:50.414]  We issued threats.
[01:28:52.095 --> 01:28:53.615]  You know, they can't trust us.
[01:28:54.336 --> 01:28:59.097]  And so it won't take too much for them to say, well, it's them or us.
[01:28:59.977 --> 01:29:00.958]  We're acting villainous.
[01:29:01.058 --> 01:29:02.899]  PaulCraigRoberts.org.
[01:29:03.420 --> 01:29:04.140]  Amazing info.
[01:29:04.160 --> 01:29:04.981]  Find his books there.
[01:29:05.041 --> 01:29:06.102]  Have a great New Year, sir.
[01:29:06.422 --> 01:29:07.383]  And thank you for your time.
[01:29:08.904 --> 01:29:10.545]  Always a pleasure to talk to you, Alex.
[01:29:11.666 --> 01:29:12.487]  Dr. Paul Craig Roberts.
[01:29:12.547 --> 01:29:12.847]  Thank you.
[01:29:12.867 --> 01:29:13.468]  Have a great New Year.
[01:29:13.488 --> 01:29:14.248]  Say hi to your family for me.
[01:29:14.268 --> 01:29:15.149]  We're going to be back.
[01:29:15.169 --> 01:29:15.970]  I'm in the news blitz.
[01:29:15.990 --> 01:29:17.111]  The attack on the Second Amendment.
[01:29:17.411 --> 01:29:18.011]  The economy.
[01:29:18.192 --> 01:29:18.572]  All of it.
[01:29:18.672 --> 01:29:19.453]  It's coming up.
[01:29:19.713 --> 01:29:20.894]  This is the info war.
[01:29:21.254 --> 01:29:22.935]  All we want is a future for our children.
[01:29:22.955 --> 01:29:24.517]  We're all in this together, folks.
[01:29:26.684 --> 01:29:29.686]  We're on the march, the empire's on the run.
[01:29:30.607 --> 01:29:33.289]  Alex Jones and the GCN Radio Network.
[01:29:38.496 --> 01:29:42.918]  Republican legislators are threatening to remove Virginia Governor Terry McAuliffe's protection detail.
[01:29:43.238 --> 01:29:52.601]  The Democrat governor, former campaign manager for Hillary Clinton, and his attorney general are eager to enact new gun control laws without involvement from the legislature.
[01:29:52.981 --> 01:29:58.943]  So Attorney General Haring announced that he would no longer recognize concealed carry permits from 25 states.
[01:29:59.564 --> 01:30:00.464]  Just like that.
[01:30:01.184 --> 01:30:08.826]  One guy tells the most law-abiding, most vetted people, you can no longer protect yourself, protect your family.
[01:30:09.106 --> 01:30:14.008]  He implies these 25 other states don't have the same standards of background checks that Virginia does.
[01:30:14.608 --> 01:30:15.148]  Not true.
[01:30:15.748 --> 01:30:23.150]  So Republicans in the Virginia legislature are saying, if the governor is so afraid of guns, we're not going to surround him with armed state policemen.
[01:30:23.490 --> 01:30:25.631]  And the people in Virginia need to tell the governor,
[01:30:25.871 --> 01:30:32.439]  That if he won't allow them to protect themselves, they're not going to pay for him to be protected by an army of bodyguards.
[01:30:32.859 --> 01:30:35.002]  For more information, go to Infowars.com.
[01:30:35.262 --> 01:30:35.843]  I'm David Knight.
[01:30:36.997 --> 01:30:40.219]  When cells become toxic, they die early and aging sets in.
[01:30:40.519 --> 01:30:48.543]  No one has put together a formula that focuses directly on brain health, nerve growth factors, and optimizing your cellular energy at the same time.
[01:30:48.763 --> 01:30:53.806]  Just one of the key compounds, BioPQQ, is backed by major clinical studies.
[01:30:54.186 --> 01:30:56.487]  You want the best that's out there at the lowest price anywhere?
[01:30:56.727 --> 01:30:58.508]  We now have the synergistic solution.
[01:30:58.828 --> 01:31:03.011]  Secure your DNA force today at InfoWarsLife.com or call toll-free 888-253-3139.
[01:31:06.992 --> 01:31:11.196]  Used since before the days of the Roman Empire to support the body's natural systems.
[01:31:11.376 --> 01:31:15.339]  Introducing the new Infowarslife.com Oil of Oregano Formulation.
[01:31:15.519 --> 01:31:20.303]  We have now procured the most high quality and potent forms of oregano oil on the market.
[01:31:20.463 --> 01:31:24.987]  Extracted directly from the wild herb and sealed in easy to use capsules.
[01:31:25.127 --> 01:31:28.449]  You will no longer need to endure the burning of liquid oregano on the tongue.
[01:31:28.610 --> 01:31:31.912]  Now available in our limited first run at Infowarslife.com.
[01:31:32.072 --> 01:31:33.894]  That's Infowarslife.com or call 888-253-3139.
[01:31:36.696 --> 01:31:43.524]  In the 15-year history of PrisonPlanet.TV, we have never offered six months free at Christmas.
[01:31:43.604 --> 01:31:46.328]  We've always offered five months free.
[01:31:46.508 --> 01:31:52.055]  But since I announced six free months a few days ago, we have seen record numbers of sign-ups.
[01:31:52.415 --> 01:31:55.576]  PrisonPlanet.tv began 15 years ago.
[01:31:55.836 --> 01:31:58.817]  It's grown into InfoWars, Nightly News, and so much more.
