[00:00:00.392 --> 00:00:01.220]  Let's show.
[00:48:14.635 --> 00:48:27.920]  If you go to Infowars.com, I'll go there and I'll go to our Twitter, and you go to some of the tweets, I'll put it up on screen over here, that I sent out last night, I tweeted this out.
[00:48:27.980 --> 00:48:28.180]  Yes.
[00:48:28.620 --> 00:48:31.061]  Why would he do this?
[00:48:32.321 --> 00:48:33.982]  Well, I'm telling you why he did it.
[00:48:34.162 --> 00:48:38.563]  And you go to my Twitter, because it was a soft target where guns weren't allowed.
[00:48:38.583 --> 00:48:40.784]  We're going to skip this network break to give Paul more time.
[00:48:42.216 --> 00:48:43.016]  I'm just so angry.
[00:48:43.317 --> 00:48:48.139]  He went and he picked a place where he could attack people that didn't have weapons to fight back against him.
[00:48:50.221 --> 00:48:53.122]  And I guess, from a dishonorable perspective, that's how you wage war.
[00:48:53.463 --> 00:48:55.684]  From an honorable perspective, that's not what I would do.
[00:48:56.024 --> 00:48:57.225]  But I wouldn't do that to begin with.
[00:48:59.178 --> 00:49:01.239]  I mean, what if somebody goes and shoots up a radical mosque?
[00:49:01.560 --> 00:49:04.121]  Oh, it'll be a white guy, an anti-Muslim.
[00:49:04.141 --> 00:49:05.762]  We've got to ban being anti-Islam.
[00:49:06.363 --> 00:49:13.628]  England has already done this, where you can't criticize Islam in any way, or call it radical, or you're banned from traveling there, or you get arrested.
[00:49:13.888 --> 00:49:20.092]  Paul Joseph Watson from London, what do you think of my idea, my movement, to hey, let's ban everything.
[00:49:20.272 --> 00:49:28.438]  Let's ban the American flag, let's ban Islam, let's ban Christianity, let's just all wear grey uniforms and not even speak.
[00:49:29.378 --> 00:49:31.460]  Should we launch this movement, Paul Joseph Watson?
[00:49:33.481 --> 00:49:46.052]  Well, within a couple of days, Salon.com will probably write an article saying that you're going to lead to Muslims being murdered, like they said that your anti-PC rants would mean that gay people would start being killed.
[00:49:46.592 --> 00:49:53.518]  But it's interesting, you know, Alex, because I put out a video after those ISIS attacks a few weeks ago in Tunisia and France and Kuwait.
[00:49:54.198 --> 00:50:09.049]  He's basically drawing attention to the parts in the Quran where it directly orders them to kill people, you know, smite them at their necks, kill the unbelievers, which is in the Quran, which is why these people are doing these horrific acts over and over again.
[00:50:09.290 --> 00:50:15.114]  That's the foundation of their motivation, and yet Obama's scared to even say the term Islamic extremism.
[00:50:15.534 --> 00:50:19.437]  David Cameron, every time there's an attack, says, let's just not call it Islamic.
[00:50:19.497 --> 00:50:20.879]  That's their primary concern.
[00:50:21.499 --> 00:50:29.963]  But it's funny because after I made that video talking about these violent passages in the Qur'an, somebody responded to it, this Muslim on YouTube.
[00:50:30.583 --> 00:50:33.865]  First he said there are no violent passages in the Qur'an, that's nonsense.
[00:50:34.305 --> 00:50:39.748]  And then he said, stop entering into affairs of Muslims, otherwise you will be killed!
[00:50:40.368 --> 00:50:41.589]  That's a direct quote!
[00:50:41.969 --> 00:50:49.415]  So, radical Islam and Islam itself, the Quran, is not violent, but don't say that it is violent, otherwise we'll kill you.
[00:50:49.895 --> 00:50:53.778]  And then I put that on Facebook and got accused of being intolerant.
[00:50:54.839 --> 00:50:59.362]  I'm the one getting the death threat, but I'm also intolerant, if you can work that one out.
[00:51:00.183 --> 00:51:02.244]  So then we move on to the shooting yesterday.
[00:51:02.864 --> 00:51:19.251]  After the Charleston massacre, Salon.com came out and said, quote, White America must answer for the Charleston church massacre, which is somewhat different from what they said after the Boston bombings, which was, quote, Muslims don't need to apologize for the Sarnaevs.
[00:51:19.851 --> 00:51:28.975]  And again, Rachel Maddow, she came out after Charleston and blamed conservatives, the GOP, this subgroup, for inspiring the Charleston shooting.
[00:51:29.835 --> 00:51:36.940]  Yesterday on her show last night, she slammed the ignorant scramble for answers after the Chattanooga attack.
[00:51:37.420 --> 00:51:44.545]  So apparently, attempting to get answers about the motives of the killer is only ignorant if he's not white.
[00:51:45.385 --> 00:51:49.969]  This is the politically correct insanity that we see time and time again after these shootings.
[00:51:50.390 --> 00:51:52.492]  There was a CNN guest last night.
[00:51:53.072 --> 00:52:01.941]  After they had announced and confirmed the shooter's name as Mohammed Youssef Abdulaziz, they confirmed that he was called Mohammed Youssef.
[00:52:02.461 --> 00:52:09.503]  This CNN analyst gets up and says, well we don't even know if he's Muslim, how can we even start to speculate about his motives?
[00:52:09.863 --> 00:52:14.264]  The guy's called Mohammed Youssef, and he's saying he doesn't even know if he's Muslim.
[00:52:14.764 --> 00:52:27.247]  So again, you compare that to the frothing reaction to the Charleston massacre, the rampage against Confederate flags, the censorious attitude that has dominated the past several weeks, to this!
[00:52:27.907 --> 00:52:33.591]  Where today, Salon.com's front page, they're not even talking about the shooting yesterday.
[00:52:33.631 --> 00:52:35.832]  They're attacking Bill O'Reilly.
[00:52:35.872 --> 00:52:38.454]  You have to scroll way down the page before you even find out.
[00:52:38.474 --> 00:52:52.744]  And they're not even talking about, five, six days into it, Planned Parenthood's sub-director cremally talking about selling body parts and trying to chop the babies up in larger pieces to keep the organs deliciously fresh for sale.
[00:52:52.764 --> 00:52:56.966]  This ghoulish display from Hellraiser is no big deal.
[00:52:57.107 --> 00:52:57.727]  I have an idea.
[00:52:58.588 --> 00:53:03.731]  How about all the folks that we're tolerant of and quite frankly don't care what they're doing in their bedroom.
[00:53:04.612 --> 00:53:08.414]  Rachel Maddow and all the Twinkies and everybody over at Salon.
[00:53:08.594 --> 00:53:15.399]  How about they dress up and prance around and try to go find some wine bars in areas of Syria where they're murdering and raping all the Christians.
[00:53:15.639 --> 00:53:21.583]  How about they go to areas of Iraq where they're murdering and raping the Turkish women and the Kurdish women.
[00:53:22.023 --> 00:53:29.086]  How about they go live in hell that they're trying to export over here because they have such a beef with what made America great.
[00:53:29.586 --> 00:53:37.188]  The truth is these are mentally ill people that want to just urinate all over what's going on in America and they have even no idea the...
[00:53:38.769 --> 00:53:41.634]  The hell pits that they're promoting as sexy.
[00:53:42.074 --> 00:53:53.392]  I mean the left thinks hookahs and radical Islam is the sexiest thing since sliced bread when they would grab one of these spoiled rotten feminists taken care of by their rich daddy.
[00:53:54.414 --> 00:54:03.516]  You know, growing up driving brand new Mercedes-Benz, they would take you and rape you for six months and make you a slave before they walk you outside and blow your filthy head off.
[00:54:04.056 --> 00:54:09.937]  And then you sit here and get mad at the West and the men that made you the freest women in the world?
[00:54:10.257 --> 00:54:14.898]  And how dare you come between men and women and our relationships and our families?
[00:54:15.198 --> 00:54:17.239]  You will never break the family.
[00:54:17.459 --> 00:54:19.859]  You will never destroy humanity, you scum!
[00:54:20.099 --> 00:54:22.720]  You've done a good job, but humanity's waking up.
[00:54:22.780 --> 00:54:23.460]  I mean, these people
[00:54:23.740 --> 00:54:25.140]  They are demons, Paul.
[00:54:25.260 --> 00:54:26.501]  They are the scum of the earth.
[00:54:26.541 --> 00:54:26.941]  Go ahead.
[00:54:28.801 --> 00:54:32.982]  And, you know, a lot of their sacred cares about radical Islam are completely collapsing.
[00:54:33.262 --> 00:54:35.662]  And again, we've opposed the wars in the Middle East.
[00:54:35.682 --> 00:54:46.684]  That's why a lot of people on the right who are making these points, attacking political correctness, don't really have much credibility because they supported the wars that created these radical Islamists in the first place.
[00:54:47.024 --> 00:54:49.625]  We oppose those wars, so we're saying that those were bad.
[00:54:50.485 --> 00:54:54.168]  The attack on Iraq, you know, George Bush said God told him to attack.
[00:54:54.708 --> 00:54:55.389]  That's bad!
[00:54:55.589 --> 00:55:00.652]  But also being radicalized by violent passages in the Quran, which do exist, is bad.
[00:55:01.073 --> 00:55:12.621]  So another sacred cow is that these radical Islamists are from poor backgrounds and their socio-economic status is a primary, motivational factor for why they carry out these attacks.
[00:55:12.921 --> 00:55:16.022]  Well look at the home of the Chattanooga Shooter.
[00:55:16.362 --> 00:55:19.343]  In England it would be treated as a mansion.
[00:55:19.403 --> 00:55:22.404]  It's definitely upper middle class for America.
[00:55:22.824 --> 00:55:24.905]  Swimming pool, huge house.
[00:55:24.965 --> 00:55:29.206]  He was an engineering graduate, came from a wealthy family.
[00:55:30.566 --> 00:55:33.627]  For all intents and purposes was living the American dream.
[00:55:33.667 --> 00:55:36.828]  So he didn't come from this poor socio-economic background.
[00:55:37.408 --> 00:55:38.649]  He wrote in his own blog,
[00:55:39.687 --> 00:55:44.248]  Quote, life is short and bitter and the opportunity to submit to Allah may pass you by.
[00:55:44.668 --> 00:55:49.250]  But again, we're told over and over again, this has nothing to do with Islam.
[00:55:49.670 --> 00:55:55.391]  We're told that radical Islam is supported by a tiny, tiny minority of Muslims.
[00:55:55.871 --> 00:55:57.952]  When, if you look at the actual polls,
[00:55:58.932 --> 00:56:03.476]  In the West, 16% of French citizens support ISIS.
[00:56:03.596 --> 00:56:05.097]  That was reported by Newsweek.
[00:56:05.457 --> 00:56:14.224]  And to put it into perspective, only about 27% of French citizens voted for President Hollande in the 2012 elections.
[00:56:14.625 --> 00:56:17.147]  Then you can look at Britain.
[00:56:17.167 --> 00:56:21.070]  9% in a recent ICM poll said they were sympathetic with or supported ISIS.
[00:56:21.710 --> 00:56:28.232]  Only 17% of Brits voted for David Cameron in the election a couple of months ago.
[00:56:28.572 --> 00:56:34.534]  So when you've got those kind of figures, it's no longer a tiny infinitesimal minority.
[00:56:34.594 --> 00:56:42.737]  It's a significant number of people that support these acts of terror, which is why we get death threats from their supporters on a routine basis.
[00:56:44.598 --> 00:56:47.259]  And they'll say, how dare you say we're violent, we're going to kill you.
[00:56:48.199 --> 00:56:50.200]  Yeah, that's what one of them said to me yesterday.
[00:56:52.927 --> 00:57:00.131]  It's totally insane, but again, you know, white people have to apologize when one nutcase goes postal in a church.
[00:57:00.612 --> 00:57:10.958]  But God forbid, don't even suggest that there might be some violent passages in the Koran when these Islamists are killing people over and over again.
[00:57:13.819 --> 00:57:21.324]  Well, Paul, we need to really make this point and force the issue and say, look, if you want to ban the term mother and father because it's hurtful,
[00:57:23.160 --> 00:57:27.308]  And you want to ban Confederate flags because one guy had one on him and he did something?
[00:57:28.250 --> 00:57:29.412]  Then let's just ban Islam.
[00:57:29.913 --> 00:57:31.917]  I mean, that makes a lot more sense than what they're calling for.
[00:57:34.104 --> 00:57:49.335]  Well, there was actually a guy in London a couple of days, or in fact the day before the 10th anniversary of 7-7, who was literally stood across the street from the Houses of Parliament waving a huge ISIS flag, and then he in fact wore it and started walking down the street.
[00:57:49.695 --> 00:57:51.417]  The police did absolutely nothing.
[00:57:51.977 --> 00:58:02.125]  You compare that to the Confederate flag flap, now people are literally getting invaded in their homes and guns pointed at them for flying the Confederate flag on their own property.
[00:58:02.705 --> 00:58:16.458]  So again, there's a huge disconnect, there's a huge hypocrisy between what's politically correct and what's hate speech, with people now even calling for Washington DC to be renamed Black City because Washington owns slaves.
[00:58:16.478 --> 00:58:18.440]  You know, you saw the Mark Dice video the other day.
[00:58:18.861 --> 00:58:21.003]  Destroy Mount Rushmore.
[00:58:21.163 --> 00:58:24.166]  Obama supporters fully advocated that.
[00:58:24.186 --> 00:58:26.128]  They want to dig up Confederate generals.
[00:58:28.550 --> 00:58:31.491]  Paul, we're going to go to break and come back for five more minutes with you.
[00:58:31.511 --> 00:58:35.973]  Then we've got Peter Schiff on the economy, world events with a 30-minute update and more calls and news.
[00:58:36.633 --> 00:58:44.196]  And then we have another extremely informative guest joining us, Chuck Baldwin, who has said don't take down the Confederate flag.
[00:58:44.216 --> 00:58:47.537]  We'll get his take on that and this latest event and your phone call.
[00:58:47.577 --> 00:58:48.077]  Stay with us.
[00:58:48.137 --> 00:58:49.298]  Hour 2 coming up.
[00:58:50.698 --> 00:58:52.359]  Thank you for listening to GCN.
[00:59:00.037 --> 00:59:16.451]  Ladies and gentlemen, you haven't really ever heard firearms manufacturers as sponsors on my syndicated radio show, or the nightly news, or the news website, InfoWars.com, because the companies I've been approached by were not the highest quality, and they weren't as affordable as they should be, so I refused.
[00:59:16.692 --> 00:59:20.175]  Probably 30, 40 firearms manufacturers over the years will then
[00:59:20.535 --> 00:59:24.199]  About six months ago, we get contacted by Head Down Firearms.
[00:59:24.580 --> 00:59:25.841]  Hdfirearms.com.
[00:59:26.121 --> 00:59:29.325]  Owned and run by a bunch of former Navy SEALs, Special Ops people.
[00:59:29.445 --> 00:59:34.351]  They're veterans, they're patriots, they're listeners of the radio show, and they want to support the broadcast.
[00:59:34.571 --> 00:59:35.452]  It's always about security.
[00:59:35.532 --> 00:59:35.972]  I think so.
[01:00:02.552 --> 01:00:05.252]  You're listening to the Alex Jones Show.
[01:00:16.134 --> 01:00:16.794]  Big Brother.
[01:00:17.455 --> 01:00:18.495]  Mainstream media.
[01:00:19.215 --> 01:00:20.515]  Government cover-ups.
[01:00:20.635 --> 01:00:21.835]  Do you want answers?
[01:00:21.875 --> 01:00:23.536]  Well, so does he.
[01:00:24.096 --> 01:00:27.696]  He's Alex Jones on the GCN Radio Network.
[01:00:28.296 --> 01:00:30.637]  And now, live from Austin, Texas,
[01:00:31.537 --> 01:00:32.357]  Alex Jones.
[01:00:32.758 --> 01:00:34.778]  Mohammed Yosef Abdulaziz.
[01:00:35.259 --> 01:00:38.120]  Corporate controlled media is still saying, was it a terror attack?
[01:00:38.480 --> 01:00:40.081]  Was he a radicalized Muslim?
[01:00:40.561 --> 01:00:42.322]  He'd become increasingly interested in Islam.
[01:00:42.682 --> 01:00:52.606]  He was a Muslim from Kuwait, born there, a devout Muslim, listening to what he believed God was, you know, telling him in the Koran to carry out this attack.
[01:00:53.700 --> 01:00:58.121]  Now, brown paper bags are banned in Seattle, in city government, because they're hurtful.
[01:00:58.241 --> 01:01:02.802]  I think we should ban Islam, because a percentage of Islam is radical and terroristic.
[01:01:03.662 --> 01:01:05.262]  And we should deport all the Islamicists.
[01:01:05.322 --> 01:01:06.343]  Actually, I don't believe that.
[01:01:06.663 --> 01:01:08.903]  I don't think you blame a whole group for what one person does.
[01:01:10.743 --> 01:01:13.884]  But there comes a point where ideologies get completely taken over.
[01:01:14.324 --> 01:01:16.165]  Like, the Nazi ideology was bad.
[01:01:16.185 --> 01:01:16.665]  Do we agree?
[01:01:16.725 --> 01:01:18.405]  Or Soviet ideology was bad.
[01:01:18.445 --> 01:01:19.845]  I mean, you'd say, don't tolerate that.
[01:01:21.266 --> 01:01:22.586]  Now, I know the media will miss
[01:01:23.868 --> 01:01:27.295]  Direct what I've done and take it out of context, but I'm doing this for the sake of debate.
[01:01:27.715 --> 01:01:31.603]  Following their logic, all Muslims should be deported or arrested.
[01:01:31.643 --> 01:01:32.966]  I mean, isn't that pretty much it, Paul?
[01:01:36.920 --> 01:01:42.283]  The other issue is, you know the mosque in Chattanooga where the shooter went to do his prayers?
[01:01:42.863 --> 01:01:49.146]  They cancelled their Ramadan celebrations in honour of the dead Marines, and all credit to them.
[01:01:49.746 --> 01:02:02.433]  Unlike Obama, who before even making a statement or paying tribute to the dead Marines, issued a statement basically lecturing Americans on how they should respect Islam.
[01:02:03.253 --> 01:02:04.354]  Oh yeah, I'm sorry.
[01:02:04.434 --> 01:02:05.814]  I should have led the show with that.
[01:02:05.854 --> 01:02:06.914]  I totally apologize.
[01:02:06.934 --> 01:02:11.736]  I want you to hold five more minutes to the next hour and then we'll get Schiff on.
[01:02:12.076 --> 01:02:13.257]  I want you to flesh this out.
[01:02:13.317 --> 01:02:15.057]  I forgot to even get into this.
[01:02:15.417 --> 01:02:18.438]  Or go ahead and cover it now and then I'll cover it with Schiff coming up.
[01:02:18.899 --> 01:02:20.019]  He did this on purpose.
[01:02:20.399 --> 01:02:21.579]  Describe what Obama did.
[01:02:21.599 --> 01:02:22.880]  The story is on Infowars.com.
[01:02:23.916 --> 01:02:30.100]  Well, for hours after the Chattanooga shooting, and it was hours, there was no comment whatsoever from the White House.
[01:02:30.481 --> 01:02:33.503]  And you can go on the White House Twitter and see the timeline on this.
[01:02:34.023 --> 01:02:46.252]  They released this huge statement, Barack and Michelle, basically lecturing Americans about how they need to respect Islam, before they even commented on the shooting or paid tribute to the Marines.
[01:02:46.872 --> 01:02:50.494]  And you can go and look in the response to the tweet by the White House.
[01:02:51.115 --> 01:02:53.376]  People are absolutely furious at this.
[01:02:53.977 --> 01:02:55.297]  Obviously this is an Obama Direct.
[01:02:55.317 --> 01:02:55.838]  But Paul, it's sick!
[01:02:56.258 --> 01:02:59.100]  This brand of Islam cuts the heads off gays.
[01:02:59.560 --> 01:03:01.341]  They would cut Obama's head off.
[01:03:02.062 --> 01:03:03.122]  Hillary's a lesbian.
[01:03:03.162 --> 01:03:04.263]  They'd chop her head off.
[01:03:04.743 --> 01:03:05.884]  I mean, it's insane.
[01:03:06.124 --> 01:03:09.947]  So we should respect people that are mad that he goes to bathhouses?
[01:03:10.998 --> 01:03:16.441]  But if this statement was released in a vacuum, fine, but somebody had to make that decision.
[01:03:16.481 --> 01:03:22.905]  Obviously it wasn't Obama, but somebody at the White House had to make that decision to release a statement about how great Islam is.
[01:03:23.426 --> 01:03:28.149]  I think it was literally an hour or less before they commented on the dead Marines.
[01:03:28.209 --> 01:03:32.852]  And you can go in the comments of this tweet and people are apoplectic about this.
[01:03:32.912 --> 01:03:34.573]  I'm surprised it hasn't got more attention.
[01:03:34.593 --> 01:03:35.433]  It's meant to rub it in.
[01:03:35.513 --> 01:03:36.534]  It's meant to break our will.
[01:03:37.298 --> 01:03:39.079]  Yeah, it almost seems deliberate.
[01:03:39.179 --> 01:03:40.399]  I mean, it almost seems deliberate.
[01:03:40.419 --> 01:03:40.639]  Oh, it is.
[01:03:40.659 --> 01:03:41.020]  It's deliberate.
[01:03:41.040 --> 01:03:41.660]  Total insanity.
[01:03:41.940 --> 01:03:43.381]  They're all about optics up there.
[01:03:43.421 --> 01:03:48.683]  This is a victory letter to the Islamicist, saying, I am here, good job, run ops, run ops.
[01:03:49.423 --> 01:03:50.584]  Now bring in my boyfriend.
[01:03:50.864 --> 01:03:52.905]  You know, it's... I mean, that's what this is about.
[01:03:52.925 --> 01:03:53.145]  It's insane.
[01:03:53.985 --> 01:04:01.674]  And of course, the other aspect is, you know, you look at Garland, Texas, numerous responsible people with guns.
[01:04:02.214 --> 01:04:06.179]  You look at this military recruitment center, a gun-free zone.
[01:04:06.619 --> 01:04:11.986]  So again, they're not going to be able to exploit this for gun control propaganda simply because of that fact.
[01:04:12.466 --> 01:04:29.898]  Well, I mean, yeah, this story about Obama releasing this statement, or the White House releasing it, from my family to yours, Eid Mubarak, basically celebrating the end of Ramadan, which has been characterized by Muslim terror attacks across the world, with dozens and dozens of people dead.
[01:04:30.078 --> 01:04:32.239]  That's how they like to celebrate Ramadan.
[01:04:32.279 --> 01:04:39.384]  Yeah, so the headline should be, Obama celebrates shooting and terror attacks worldwide, and ships being blown up, with a celebration saying, submit to the will.
[01:04:41.043 --> 01:04:47.185]  It's almost that bad, and the reaction was so intense, I'm surprised this isn't a bigger scandal already.
[01:04:48.446 --> 01:04:48.846]  Well, no!
[01:04:48.926 --> 01:04:50.787]  I mean, they'll probably have Salon call out.
[01:04:51.267 --> 01:04:53.307]  I mean, they've already called for me to be shut down on the air.
[01:04:53.648 --> 01:04:55.828]  They'll probably call for me to be taken to Saudi Arabia and beheaded.
[01:04:56.989 --> 01:05:00.170]  And then for my daughters to be delivered to Al-Qaeda for mutilation.
[01:05:00.190 --> 01:05:01.891]  I mean, that's what's liberal.
[01:05:03.331 --> 01:05:04.471]  Paul, I'm not kidding.
[01:05:04.571 --> 01:05:07.653]  I mean, it's just, it's so liberal to, you know, have a bag over your head.
[01:05:07.673 --> 01:05:08.613]  Thank you, Paul.
[01:05:10.086 --> 01:05:12.847]  In the wake of the Chattanooga shooting, here's what we now know.
[01:05:13.108 --> 01:05:19.711]  The gunman, Muhammad Youssef Abdul Ziz, blatantly disregarded the no firearms sticker placed on the front of the recruitment office.
[01:05:19.951 --> 01:05:20.671]  That's right, people.
[01:05:21.011 --> 01:05:24.473]  He knew where to go and where to find unarmed victims.
[01:05:24.993 --> 01:05:33.918]  Second, it's now come out that he's made numerous trips to the Middle East, and his father was even being investigated by the FBI for possible ties to foreign terrorist organizations.
[01:05:34.218 --> 01:05:44.305]  This harkens back to the Boston bombing where the FBI had investigated and even interviewed one of the bombers and his mother but then claimed not to know who he was when they showed pictures at a press conference.
[01:05:44.745 --> 01:05:51.569]  Third, our own president took time to issue a tweet wishing people a happy Ramadan and this is after the shootings took place.
[01:05:51.809 --> 01:05:57.973]  It was only after he lectured us on respecting the Muslim faith that he actually took time to issue a statement on the four dead Marines.
[01:05:58.314 --> 01:06:01.996]  Twitter was in an uproar over this action and you can read the tweets in the article
[01:06:02.256 --> 01:06:05.417]  Obama honors Islam before dead Marine killed by Islamic terrorist.
[01:06:05.797 --> 01:06:06.797]  Americans furious.
[01:06:07.177 --> 01:06:09.278]  Rob Due reporting for InfoWars Nightly News.
[01:06:09.878 --> 01:06:26.321]  Ladies and gentlemen, you haven't really ever heard firearms manufacturers as sponsors on my syndicated radio show or the Nightly News or the news website InfoWars.com because the companies I've been approached by were not the highest quality and they weren't as affordable as they should be, so I refused.
[01:06:26.541 --> 01:06:30.042]  Probably 30, 40 firearms manufacturers over the years will then
[01:06:30.382 --> 01:06:34.065]  About six months ago, we get contacted by Head Down Firearms.
[01:06:34.445 --> 01:06:35.686]  Hdfirearms.com.
[01:06:36.006 --> 01:06:39.188]  Owned and run by a bunch of former Navy SEALs, Special Ops people.
[01:06:39.308 --> 01:06:44.191]  They're veterans, they're patriots, they're listeners of the radio show, and they want to support the broadcast.
[01:06:44.432 --> 01:06:48.174]  It's always about security, whether it's for yourself, your wife, your loved ones.
[01:06:48.374 --> 01:06:50.676]  Go to their website, hdfirearms.com.
[01:06:50.736 --> 01:06:54.959]  Buy right off their website, and they'll just send it to the FFL dealer of your choice.
[01:06:55.159 --> 01:06:58.361]  You can pick it up at the gun show, you can pick it up at a local sporting goods store.
[01:06:58.521 --> 01:06:59.262]  Whatever you do,
[01:06:59.662 --> 01:07:02.644]  Get your Head Down firearm today.
[01:07:02.864 --> 01:07:07.226]  The spirit of 1776 lives at Head Down Firearms.
[01:07:07.527 --> 01:07:08.507]  HDfirearms.com.
[01:07:09.868 --> 01:07:16.752]  For all of recorded history, civilizations around the world praised the health benefits of silver.
[01:07:17.052 --> 01:07:26.484]  At InfoWarsLife, our mission is to bring you the highest quality, purest, cleanest, effective colloidal silver on the market today for the lowest price available.
[01:07:26.764 --> 01:07:33.653]  Now, InfoWarsLife.com has taken colloidal silver to the next level using a cutting-edge technique that is free of toxic artificial additives.
[01:07:34.093 --> 01:07:41.575]  Infowarslife.com developed Silver Bullet by closely working with one of the top silver manufacturing labs in the United States.
[01:07:41.935 --> 01:07:45.255]  We set out to bring you the very best at the lowest price.
[01:07:45.615 --> 01:07:50.376]  Find out more about the proprietary development of Silver Bullet at Infowarslife.com.
[01:07:50.576 --> 01:07:54.637]  In these times, it's essential to have high-quality, loyal silver on hand.
[01:07:54.997 --> 01:07:57.818]  No survival chest is complete without Silver Bullet.
[01:07:58.018 --> 01:08:01.039]  Exclusively available at Infowarslife.com.
[01:08:01.139 --> 01:08:02.639]  Secure your Silver Bullet today.
[01:08:02.859 --> 01:08:14.622]  He's the T-Rex of political talk.
[01:08:14.662 --> 01:08:18.023]  Alex Jones on the GCN Radio Network.
[01:08:18.063 --> 01:08:29.226]  CNN asked why would Mohammed Yusuf Abdulaziz carry out this attack?
[01:08:29.486 --> 01:08:30.987]  Gee, because he was an ISIS follower?
[01:08:31.974 --> 01:08:33.235]  You said he was doing it for Allah?
[01:08:35.576 --> 01:08:39.278]  CNN, have the headline, all Muslims are to blame for this attack.
[01:08:39.318 --> 01:08:44.261]  Like you said, all white people are to blame for the Charleston shooting.
[01:08:45.602 --> 01:08:58.110]  I don't blame all Muslims for this, but our governments all over the West are bringing in groups of radical Muslims and then saying, we've got to submit to all of their ways, while separately submitting
[01:08:59.960 --> 01:09:04.964]  To the most radical homosexual agenda that is at loggerheads with the Muslims!
[01:09:07.126 --> 01:09:10.608]  It's a broken Tower of Babel is what they want.
[01:09:11.409 --> 01:09:18.394]  And they've now announced they're going to use the attacks for a new domestic homeland security group to go after extremists before they commit crimes.
[01:09:18.735 --> 01:09:20.436]  And then they admit, oh, we're not worried about Muslims.
[01:09:20.456 --> 01:09:22.558]  We're not even going to say this was a Muslim terror attack now.
[01:09:23.899 --> 01:09:25.980]  They're saying he wasn't connected to Muslims?
[01:09:26.200 --> 01:09:29.841]  Gee, gee, again, is a bear in the woods?
[01:09:29.981 --> 01:09:32.782]  I mean, it's just, gee, is the sun yellow?
[01:09:32.802 --> 01:09:36.083]  I mean, you know, gee, is Obama a traitor?
[01:09:36.103 --> 01:09:41.384]  I don't want to get called names.
[01:09:41.925 --> 01:09:44.345]  I better not say anything bad about radical Islam.
[01:09:47.226 --> 01:09:50.307]  And then the big story is up on Infowars.com.
[01:09:51.067 --> 01:09:52.308]  Obama honors Islam.
[01:09:53.783 --> 01:09:58.566]  Before dead marines killed by Islamic terrorists, Americans furious.
[01:09:58.606 --> 01:10:12.173]  He waited hours and hours, after it was known he was a radical Islamicist and the rest of it, to issue a bizarre end of Ramadan statement praising Islam and saying that Americans need to be tolerant.
[01:10:15.975 --> 01:10:17.556]  I mean, this is bizarre.
[01:10:18.236 --> 01:10:20.438]  But it's all the clash of civilizations.
[01:10:20.478 --> 01:10:20.778]  And again,
[01:10:22.452 --> 01:10:37.400]  They say you can't have the name mother or father on government documents, it's hateful, or boy or girl, you gotta ban the Confederate flag, that had nothing to do with slavery, but whatever, take down Mount Rushmore, well then, deport the Muslims, ban their symbols.
[01:10:37.440 --> 01:10:42.863]  And I'm not saying do that, but this is the logic of where this is going.
[01:10:44.944 --> 01:10:47.286]  And I don't particularly like the host of
[01:10:48.658 --> 01:11:08.956]  Real time, Bill Maher on a lot of his gun issues and things, but where he is consistent as a liberal, being, hey, let's be libertarian, people can do what they want sexually, whatever, live the way you want as long as you don't hurt somebody else, then he goes, but radical Islam is taking over Islam and is super dangerous and why won't we say it?
[01:11:09.477 --> 01:11:11.819]  All the rest of the left will not go there.
[01:11:13.885 --> 01:11:16.267]  They will not go there, and it's dangerous.
[01:11:16.327 --> 01:11:20.050]  I mean, radical Islamists are not compatible with the West.
[01:11:22.071 --> 01:11:26.334]  And when you get sworn in as a citizen, can you guys give me the oath of citizenship?
[01:11:26.354 --> 01:11:28.476]  Because I never had to take it because I was born here.
[01:11:29.457 --> 01:11:30.778]  Some of the best people out there are immigrants.
[01:11:30.798 --> 01:11:32.959]  Some of the hardest working, coolest people from all over the world.
[01:11:33.260 --> 01:11:34.621]  Very race, color, creed, religion.
[01:11:34.901 --> 01:11:37.543]  I know a lot of Muslims I went to college and high school with were really nice people.
[01:11:39.144 --> 01:11:41.486]  Very, you know, friendly, smart, hardworking folks.
[01:11:43.049 --> 01:11:45.751]  But that's not who's taking over via Saudi Arabia!
[01:11:47.793 --> 01:11:55.800]  And then now, 15 years after the fake war on terror, there's hundreds of thousands of these jihadis they're recruiting in the middle of a global depression.
[01:11:56.241 --> 01:11:59.123]  Now I had Dr. Jerome Corsi, who's a top financial analyst.
[01:12:00.725 --> 01:12:02.706]  He's a consultant to the largest banks in the world.
[01:12:03.167 --> 01:12:05.429]  Not just a three-time number one New York Times bestseller.
[01:12:07.390 --> 01:12:09.773]  And he said we're going into a global
[01:12:10.782 --> 01:12:12.363]  Depression, he believes, by the winter.
[01:12:12.984 --> 01:12:15.065]  He's been coming on for a decade or more.
[01:12:15.105 --> 01:12:16.466]  He's never made bold predictions like that.
[01:12:16.907 --> 01:12:18.468]  So many other guests are saying this is it.
[01:12:20.549 --> 01:12:22.991]  Schiff has been very accurate in his previous predictions.
[01:12:23.371 --> 01:12:30.517]  I think he might have predicted some stock market problems a little early, but who could imagine it could keep getting this big?
