[00:00:00.550 --> 00:00:01.190]  Ha ha ha ha!
[01:10:51.145 --> 01:10:53.747]  I mean, her whole bio is so lengthy, I don't want to butcher it.
[01:10:53.747 --> 01:10:55.028]  We really appreciate her joining us.
[01:10:55.028 --> 01:10:58.530]  It's hard to get her on because she really has her nose to the grindstone.
[01:10:58.530 --> 01:11:00.691]  We're going to give out her website on there as well.
[01:11:00.691 --> 01:11:03.953]  I know there's several, so I'll let her give out the one that she thinks is best.
[01:11:03.953 --> 01:11:07.676]  She was behind the whole Hacking Democracy, one of the top documentaries in U.S.
[01:11:07.676 --> 01:11:12.599]  history or world history, showing election fraud, documenting it.
[01:11:12.599 --> 01:11:16.742]  BlackBoxVoting.org is, again, her main site.
[01:11:18.422 --> 01:11:19.143]  It's incredible.
[01:11:19.143 --> 01:11:22.726]  She's got a new video out today that I'll let her set up and tell you about.
[01:11:22.726 --> 01:11:24.167]  We'll play a few minutes of it.
[01:11:24.167 --> 01:11:29.332]  The full video is on blackboxvoting.org and infowars.com.
[01:11:29.332 --> 01:11:33.356]  But for anyone to say it doesn't exist just isn't living on planet Earth.
[01:11:33.356 --> 01:11:40.743]  So I want to ask her what she thinks that signifies and what early info she's seeing with early voting that we know is some of the heaviest ever recorded.
[01:11:41.303 --> 01:11:48.006]  And they were saying they thought it would show Hillary having a lead early on, but for some reason it doesn't show that, so now the press isn't reporting it.
[01:11:48.006 --> 01:11:50.707]  And I understand Bev probably doesn't have a dog in this fight.
[01:11:50.707 --> 01:11:56.189]  I haven't asked her what she thinks of Donald Trump or Hillary, but is just trying to work on the integrity of our system.
[01:11:56.189 --> 01:12:05.433]  That's why she's the leading advocate and researcher, in my humble view and in most people's view, on elections here in this good old USA.
[01:12:05.433 --> 01:12:07.354]  So Bev, thanks for coming on with us.
[01:12:07.354 --> 01:12:08.754]  Well, it's nice to be back.
[01:12:08.754 --> 01:12:10.675]  Yeah, I have been working a lot.
[01:12:11.653 --> 01:12:12.894]  What is the best website to give out?
[01:12:12.894 --> 01:12:15.295]  BlackBoxVoting.org?
[01:12:15.295 --> 01:12:15.796]  Yeah.
[01:12:15.796 --> 01:12:16.976]  Alright.
[01:12:16.976 --> 01:12:19.078]  Where should we begin?
[01:12:19.078 --> 01:12:27.122]  Well, you know, we found some new information and I think it's the missing piece that we didn't have before.
[01:12:27.122 --> 01:12:36.048]  A gentleman by the name of Benny Smith out of Memphis, Tennessee discovered what I would characterize as a master key.
[01:12:36.784 --> 01:12:52.931]  Which essentially lets one person control with invisibly and with remarkable precision down to the precinct level and down to the type of voting, early voting and so forth, whatever type they want, many different locations at once, multiple counties and multiple states.
[01:12:54.202 --> 01:13:03.046]  It has actually been in the system since...it was put in the system in 2001, but it came into wide use in 2006.
[01:13:03.046 --> 01:13:11.389]  But it kind of took someone with a special set of skills to know what to look for.
[01:13:11.389 --> 01:13:16.792]  He didn't just do like most of the people did where he says, well, let me just look at the program and see what I think.
[01:13:17.572 --> 01:13:28.022]  He is a guy who has some background in political forecasting and so forth, and he knew what would be needed.
[01:13:28.022 --> 01:13:34.949]  He kind of went, let me design what I think would be needed in order to succeed with widespread election fraud.
[01:13:34.949 --> 01:13:39.273]  And after he did that, he went, now let me see if the pieces that I know are necessary
[01:13:39.973 --> 01:13:41.895]  And you have this amazing video on your site.
[01:13:41.895 --> 01:13:44.237]  We've also just published it.
[01:13:44.237 --> 01:13:45.878]  How America's elections are hacked.
[01:13:45.878 --> 01:13:47.119]  Missing link discovered.
[01:14:09.093 --> 01:14:14.838]  Top election fraud expert, Bev Harris, exposes election electronic voting machines.
[01:14:14.838 --> 01:14:16.540]  This is a big, big deal.
[01:14:16.540 --> 01:14:22.105]  So let's take some time out and walk through this amazing discovery.
[01:14:22.105 --> 01:14:23.226]  Sure.
[01:14:23.226 --> 01:14:32.115]  Well, you know, the thing that he thought was needed, which I didn't really understand until I met him and actually started putting together this video.
[01:14:33.170 --> 01:14:39.171]  He said the one thing you need, the key element, is you need to have the votes counted as fractions.
[01:14:39.171 --> 01:14:42.652]  You need the votes to be counted with decimal places, like you count money.
[01:14:42.652 --> 01:14:47.633]  You have to have, not just if a vote is a dollar, you also have to have cents on the end of it.
[01:14:47.633 --> 01:14:48.813]  It's like $16,000.31, right?
[01:14:48.813 --> 01:14:49.793]  Now, that will not show.
[01:14:49.793 --> 01:14:50.534]  It's hidden.
[01:14:50.534 --> 01:14:51.714]  But you need that because...
[01:15:00.751 --> 01:15:02.432]  No, before the election.
[01:15:02.432 --> 01:15:06.876]  And that's how many people will show up at each polling place in each precinct.
[01:15:06.876 --> 01:15:13.902]  So, if you start doing things like, I'm going to do every third vote, or I'm going to add 100 votes here, you're not going to be very precise.
[01:15:13.902 --> 01:15:18.887]  Instead, you need to do what in finance they call an allocation.
[01:15:18.887 --> 01:15:27.474]  You say, whatever number of people show up, the guy is going to get X percent of those votes, whatever they are.
[01:15:28.479 --> 01:15:30.220]  Now, think about this.
[01:15:30.220 --> 01:15:36.282]  If you have 100 votes and you say, my guy's going to get 43%, that's 43 votes.
[01:15:36.282 --> 01:15:39.783]  But if you have 99 people show up, what's going to happen?
[01:15:39.783 --> 01:15:44.064]  You're going to end up with 42 point something something something votes.
[01:15:44.064 --> 01:15:50.446]  So if your system is not capable of counting votes with decimals, it can't do that allocation.
[01:15:51.867 --> 01:15:52.088]  I'm good.
[01:16:06.308 --> 01:16:06.849]  We're good to go.
[01:16:26.867 --> 01:16:30.009]  This is the master computers that control all the voting machines.
[01:16:30.009 --> 01:16:31.650]  Bev, this is incredible.
[01:16:31.650 --> 01:16:38.093]  And again, time and time again, you and your researchers tirelessly around the country have exposed the different ways they're doing it.
[01:16:38.093 --> 01:16:42.475]  And so I guess as a top fraud investigator, you're able to reverse engineer.
[01:16:42.475 --> 01:16:44.396]  Okay, if we are going to steal it, how will we do it?
[01:16:44.396 --> 01:16:45.777]  Let's look for this.
[01:16:45.777 --> 01:16:48.678]  And then sure enough, you've caught them dialing in remotely.
[01:16:48.678 --> 01:16:49.659]  It's amazing.
[01:16:49.659 --> 01:16:50.279]  Yeah.
[01:16:50.279 --> 01:16:53.541]  You know, with you, in other words, anybody can sit there and go a loose loop.
[01:16:53.541 --> 01:16:55.882]  It looks like a vulnerability, theoretically.
[01:16:55.882 --> 01:16:56.862]  This is not a theory.
[01:16:56.862 --> 01:16:57.503]  This is real.
[01:16:57.503 --> 01:16:59.684]  This is something that was put into the system.
[01:16:59.684 --> 01:17:01.504]  They actually changed the setting.
[01:17:01.504 --> 01:17:12.669]  We can actually go back and figure out, now that we know it, exactly the date that the setting was changed and that it migrated to all the other manufacturers in the U.S.
[01:17:12.669 --> 01:17:20.673]  So now, at this point, the setting is in there to be able to allocate votes by percent.
[01:17:22.274 --> 01:17:26.055]  In basically 99% of the votes in the US.
[01:17:26.055 --> 01:17:33.418]  Now what that means is that, and then he went on and he basically proved it.
[01:17:33.418 --> 01:17:39.000]  He said, now that I know that's in there, I think I can allocate the votes.
[01:17:39.000 --> 01:17:41.541]  And it is stunning when you see the demo.
[01:17:41.541 --> 01:17:43.482]  Let's be clear, let's be clear.
[01:17:43.482 --> 01:17:46.863]  You're finding this in the voting software, you go in, it's this
[01:17:48.883 --> 01:17:54.653]  Algorithm or system to be able to basically program it to show the outcome you want by shaving votes.
[01:17:54.653 --> 01:18:01.364]  I mean, in a layperson who's not an expert like you or a top computer programmer, what's happening?
[01:18:02.594 --> 01:18:04.775]  Yeah, and think about this.
[01:18:04.775 --> 01:18:06.635]  You've got all these different precincts.
[01:18:06.635 --> 01:18:13.597]  You know, it's been so hard to watch TV, knowing what I know, and watch them up there getting it completely wrong.
[01:18:13.597 --> 01:18:23.619]  And you see these people on TV saying, including so-called experts, which I'm so disgusted with at this point, like, well, it couldn't be done because of the blah, blah, blah, blah, blah, blah.
[01:18:23.619 --> 01:18:30.041]  No, this can be done by one or a couple of people across whole jurisdictions.
[01:18:30.041 --> 01:18:30.741]  I actually
[01:18:31.941 --> 01:18:34.803]  We didn't want to write the story unless I was absolutely sure.
[01:18:34.803 --> 01:18:40.046]  So not only did I see him do it, but I had him show me how it was done.
[01:18:40.046 --> 01:18:44.868]  And I took some vote databases, real vote databases, that I have.
[01:18:44.868 --> 01:18:49.791]  One of them was the entire state of Alaska, the vote database from the 2004 election.
[01:18:49.791 --> 01:18:53.353]  I was able to change every precinct in the state of Alaska in four seconds.
[01:18:54.213 --> 01:18:55.054]  Whoa!
[01:18:55.054 --> 01:18:56.356]  Bev Harris is our guest.
[01:18:56.356 --> 01:18:58.579]  Top election fraud expert.
[01:18:58.579 --> 01:19:01.022]  The woman behind, of course, exposing 2004, 2000, 2008, 2012.
[01:19:01.022 --> 01:19:04.267]  It's been certified in multiple states that fraud was taking place.
[01:19:04.267 --> 01:19:04.847]  The lady behind the
[01:19:11.533 --> 01:19:19.558]  Top documentary out there on election fraud, hacking democracy with HBO, and in live time with the computer experts.
[01:19:19.558 --> 01:19:21.899]  They are manipulating and changing the votes.
[01:19:21.899 --> 01:19:26.662]  If you're a radio listener, it's on screen for people at InfoWars.com forward slash show.
[01:19:26.662 --> 01:19:27.963]  We're going to skip this network break.
[01:19:27.963 --> 01:19:29.243]  This is too important.
[01:19:29.243 --> 01:19:30.984]  We then have the article on InfoWars.com.
[01:19:32.225 --> 01:19:36.548]  How American elections are hacked as missing link discovered.
[01:19:36.548 --> 01:19:37.909]  This is bombshell.
[01:19:37.909 --> 01:19:42.313]  Top vote fraud expert Ben Harris exposes electronic voting machines.
[01:19:42.313 --> 01:19:48.277]  I mean, this is so upsetting that I'm sitting here actually getting short of breath.
[01:19:48.277 --> 01:19:49.778]  I mean, this rarely happens.
[01:19:49.778 --> 01:19:53.281]  I'm having an anxiety attack on air, folks.
[01:19:53.281 --> 01:19:54.742]  That's a normal response, by the way.
[01:19:55.836 --> 01:19:59.857]  Because this is just so painful to know.
[01:19:59.857 --> 01:20:04.299]  We've got the WikiLeaks where they're rigging the polls, telling them how to oversample.
[01:20:04.299 --> 01:20:07.900]  We've got them, you know, how to set up the Bernie supporters.
[01:20:07.900 --> 01:20:11.021]  We've got them how to manipulate the media.
[01:20:11.021 --> 01:20:15.743]  And just to see the corruption, to know the corruption that Bush was involved in and nobody got in trouble.
[01:20:15.743 --> 01:20:18.144]  And just to see it getting worse and worse and worse.
[01:20:18.144 --> 01:20:20.885]  And now to have you with the smoking gun evidence
[01:20:21.665 --> 01:20:24.247]  This is just unbelievably amazing.
[01:20:24.247 --> 01:20:27.750]  I'm just asking, how do we get this out to everybody, Beth?
[01:20:27.750 --> 01:20:36.637]  Well, you're quite a help, and I'm going to be sending it out to all of my lists and all of my media lists.
[01:20:36.637 --> 01:20:50.889]  And, you know, maybe the mainstream press is a little scared to report this at this point, but I do know that mainstream press has actually come to Benny Smith's house and videotaped this, and they know about it.
[01:20:51.485 --> 01:20:58.449]  So, if in a week or so we don't start seeing this in the mainstream press, it's because we know why.
[01:20:58.449 --> 01:21:00.290]  You know, the same old, same old.
[01:21:00.290 --> 01:21:02.871]  Same reason they don't report WikiLeaks, because they know about it.
[01:21:03.899 --> 01:21:04.760]  Well, that's right.
[01:21:04.760 --> 01:21:11.266]  And again, oh, if it's Bush or the Republicans involved in chicanery, well, that's something that has to be exposed.
[01:21:11.266 --> 01:21:21.996]  But if it's Hillary and George Soros and these big multinational combines and the big banks that are 20 to 1 giving to Hillary, it's the very same kleptocratic
[01:21:22.967 --> 01:21:24.488]  That's my view on it.
[01:21:24.488 --> 01:21:25.128]  What is your view?
[01:21:47.941 --> 01:21:53.646]  Well, you know, you said something that really resonated with me when you said you almost get short of breath and so forth.
[01:21:53.646 --> 01:22:03.574]  The difference between this, which is called Fraction Magic, if anybody just wants the simple route, they can go to YouTube and put in two words, Fraction Magic, and they will get to this video.
[01:22:03.574 --> 01:22:06.116]  But the difference is, this is really real.
[01:22:06.116 --> 01:22:11.020]  And even though I've been doing this work for so many years, and of course you have too been doing this kind of work,
[01:22:11.776 --> 01:22:16.238]  When you see that something is really real, it still takes your breath away.
[01:22:16.238 --> 01:22:18.438]  It's still incredibly painful.
[01:22:18.438 --> 01:22:20.039]  And I had the same reaction.
[01:22:20.039 --> 01:22:25.901]  This is painful to watch and painful to know about, but it's really real.
[01:22:28.650 --> 01:22:30.291]  Wow, I didn't know you had the same response.
[01:22:30.291 --> 01:22:31.731]  It's just, it's knowing you're being robbed.
[01:22:31.731 --> 01:22:37.894]  It's like coming home, and you're stereo, and your grandmother's vase is gone, and your wife's jewelry is gone.
[01:22:37.894 --> 01:22:40.075]  That's happened to most of us, and you're out of breath.
[01:22:40.075 --> 01:22:42.756]  It's not losing the things, it's the feeling of violation.
[01:22:44.765 --> 01:22:52.410]  It's coming up against, well, I have this reaction when I come directly up against abuse of power.
[01:22:52.410 --> 01:23:04.298]  There's another clip in the video that's quite shocking, which was video taken during an investigation in a particular election by me and a Florida citizen named Susan Pinchon.
[01:23:04.298 --> 01:23:05.739]  And you see actual video.
[01:23:08.277 --> 01:23:09.217]  Are you there?
[01:23:09.217 --> 01:23:11.438]  I'm sorry, I think you hit your... Please repeat it.
[01:23:11.438 --> 01:23:12.038]  Okay.
[01:23:12.038 --> 01:23:31.423]  Anyway, use the actual video of abuse of power and you have that terrible reaction where in a legal requirement required by the courts, they're supposed to turn over the list of the information on their election computer and she catches them running out of the building with the computer.
[01:23:31.423 --> 01:23:32.963]  Now when you see stuff like that,
[01:23:34.443 --> 01:23:35.384]  It's abuse of power.
[01:23:35.384 --> 01:23:36.425]  You know what you're facing.
[01:23:36.425 --> 01:23:47.114]  And they treat you very badly and they just get very... They start blaming you for the fact that they're running out of the building with the computer and you had the temerity to videotape them doing that.
[01:23:47.114 --> 01:23:52.219]  You see this guy in the video saying, get that camera out of my face and get her away from me!
[01:23:52.219 --> 01:23:59.265]  Well, yeah, you're running out of the building with the computer with the election information that the court has ordered you to turn over.
[01:24:02.179 --> 01:24:11.426]  It's when you confront abuse of power up close and personal, it is extremely painful and it takes courage to do.
[01:24:11.426 --> 01:24:22.535]  And I just take my hat off to the citizens that are out there doing work to actually open up the government and get it transparent again and take it back.
[01:24:23.737 --> 01:24:25.518]  Bev Harris, I've been on air 21 years.
[01:24:25.518 --> 01:24:28.239]  I've interviewed you probably 30 times over the years.
[01:24:28.239 --> 01:24:31.801]  I've never been this blown away watching the video.
[01:24:31.801 --> 01:24:34.042]  It's on screen right now for radio listeners.
[01:24:34.042 --> 01:24:35.923]  They can go to InfoWars.com.
[01:24:35.923 --> 01:24:41.345]  It's in the article, How America's Elections Are Being Hacked, Missing Link Discovered.
[01:24:41.345 --> 01:24:43.786]  This is just so bombshell.
[01:24:43.786 --> 01:24:46.348]  Or just go to BlackBoxVoting.org.
[01:24:46.348 --> 01:24:48.969]  Fraction Magic is the top story there on the left.
[01:24:49.449 --> 01:24:52.912]  Get this video from YouTube and make it go super viral.
[01:24:52.912 --> 01:24:56.876]  Bev, if it's okay with you, I'd love to mirror the video on my Facebook.
[01:24:56.876 --> 01:24:57.536]  Sure, of course.
[01:24:57.536 --> 01:24:58.037]  Fantastic.
[01:24:58.037 --> 01:25:02.801]  So we'll upload it to InfoWars channel so that our millions of subscribers can see this.
[01:25:02.801 --> 01:25:05.823]  This video needs 50 million views.
[01:25:05.823 --> 01:25:11.448]  In fact, every voter in America, you know, we're talking about 100 million people voting or something.
[01:25:11.448 --> 01:25:15.452]  Everybody needs to see this and understand this is going on.
[01:25:15.452 --> 01:25:16.432]  I mean, this is probably
[01:25:17.273 --> 01:25:30.310]  Undoubtedly, the most shocking election news, the most bonafide, caught red-handed, built-in to manipulate the outcome, and then people running away with the computers like something out of a Hollywood movie.
[01:25:32.725 --> 01:25:54.398]  I mean I am speechless so I'm gonna play a minute and a half excerpt that's the intro to the piece and then we come back from break we can actually play the part she was just talking about for radio listeners with audio again but but Bev just spend a few minutes now again for new listeners that just tuned in describing what type of system this is how many machines this is on how this is done
[01:25:55.532 --> 01:26:00.638]  Yeah, this is the... Now, everybody thinks about the voting machines out in the precincts.
[01:26:00.638 --> 01:26:07.365]  As Benny Smith, who developed this, basically figured this out, says, why go to those machines?
[01:26:07.365 --> 01:26:09.187]  I wait for the votes to come to me.
[01:26:09.187 --> 01:26:13.091]  At the end of the day, all the votes come to one central location.
[01:26:13.091 --> 01:26:15.193]  So it's the central tabulation center.
[01:26:15.193 --> 01:26:16.455]  That's where they're controlled.
[01:26:17.125 --> 01:26:17.745]  Okay, start over.
[01:26:17.745 --> 01:26:20.467]  I'm sorry, this is so incredible for me, because we're all being robbed here, folks.
[01:26:20.467 --> 01:26:31.215]  We're all not being robbed of our refrigerator that's bad enough, or our car, our literal republic, our democracy, and we have this champion, this Joan of Arc, literally, I don't want to kiss your... I mean, you're an amazing lady.
[01:26:31.215 --> 01:26:31.996]  Thank God for you, Bev.
[01:26:31.996 --> 01:26:39.021]  You just keep... What scares me, how it's so few people that keep coming through over and over and over again in this fight, like, like...
[01:26:39.281 --> 01:26:42.663]  You know, the folks at Project Veritas, or you, or Julian Assange.
[01:26:42.663 --> 01:26:49.887]  I mean, Bev Harris is right up there with those folks, and we all have this sense of being robbed, but the good news is we can do something if we get this video out.
[01:26:49.887 --> 01:26:52.929]  So start over for folks, explain how it's done.
[01:26:52.929 --> 01:26:57.911]  Yeah, and so there's this one central computer, which at the end of the day, all the votes come to it.
[01:26:57.911 --> 01:26:58.852]  That's where you take it.
[01:26:58.852 --> 01:27:01.313]  You don't run around to 5,000 different things in precincts.
[01:27:01.313 --> 01:27:06.056]  You wait till the votes come to you, and then you have your way with them.
[01:27:06.056 --> 01:27:07.937]  And it's very, very precise.
[01:27:08.835 --> 01:27:14.463]  It's invisible and it doesn't matter whether the system's on the internet or not.
[01:27:14.463 --> 01:27:17.887]  None of the stuff that they say is a protection matters at all.
[01:27:17.887 --> 01:27:20.290]  You have your way with them.
[01:27:20.290 --> 01:27:24.937]  Then once you control the votes in whatever way you want, for whatever target you want,
[01:27:26.454 --> 01:27:27.755]  You know, the election is done.
[01:27:27.755 --> 01:27:35.317]  Now, there is something new that can be done, and this is really exciting because it's kind of scaring the pants off of them, actually.
[01:27:35.317 --> 01:27:48.722]  And at the very end of the video, I make sort of a cryptic reference to it, but we didn't realize that more than half of the voting machines in the country now take a picture of every ballot.
[01:27:48.722 --> 01:27:50.183]  Even the touchscreen machines,
[01:27:53.280 --> 01:27:53.820]  I think so.
[01:28:16.244 --> 01:28:17.346]  Guess what happened?
[01:28:17.346 --> 01:28:22.517]  Everybody looked and found out there was a whole precinct that never got counted at all by the machine.
[01:28:22.517 --> 01:28:22.657]  Wow.
[01:28:25.231 --> 01:28:32.677]  These ballot images are, and must be, public record, and people must ask for them.
[01:28:32.677 --> 01:28:36.319]  Now, let me tell you what happened when a gentleman from Arizona asked for them.
[01:28:36.319 --> 01:28:40.062]  He said, okay, I want, under my freedom of information rights, I want all your ballot images.
[01:28:40.062 --> 01:28:42.984]  Basically, you can do your own recount that way, right?
[01:28:42.984 --> 01:28:47.187]  And we did find that they do not succumb to the Fraction Magic attack.
[01:28:47.187 --> 01:28:52.331]  Well, when he asked for them, they said, oh, well, we destroy them every day.
[01:28:54.189 --> 01:28:54.810]  Oh my goodness.
[01:29:02.968 --> 01:29:04.549]  He went to a judge.
[01:29:04.549 --> 01:29:10.310]  He got a temporary restraining order to block them from destroying them in the November election.
[01:29:10.310 --> 01:29:11.171]  Well, Bev Harris, stay there.
[01:29:11.171 --> 01:29:12.711]  This is the most bombshell interview ever.
[01:29:12.711 --> 01:29:14.612]  I mean, we're both breathless here.
[01:29:14.612 --> 01:29:15.552]  I know a lot of you are.
[01:29:15.552 --> 01:29:16.492]  This is so doxamine.
[01:29:16.492 --> 01:29:19.473]  When you see the video, it's on blackboxvoting.org.
[01:29:19.473 --> 01:29:22.014]  It's on infowars.com, the stories.
[01:29:22.014 --> 01:29:23.074]  Get it out to everybody.
[01:29:23.074 --> 01:29:25.855]  I never even knew this, but I'm sure Drudge is going to want to link to this.
[01:29:26.235 --> 01:29:27.796]  This is so huge.
[01:29:27.796 --> 01:29:29.176]  Or to your investigation.
[01:29:29.176 --> 01:29:31.077]  Regardless, it needs to get out there.
[01:29:31.077 --> 01:29:35.479]  We're going to upload these videos right now to our Facebook and to our YouTube.
[01:29:35.479 --> 01:29:42.101]  We're going to take this interview with Bev and edit it down, basically cut me out, and put it out tonight to go viral.
[01:29:42.101 --> 01:29:42.922]  Oh wow!
[01:29:42.922 --> 01:29:48.124]  But I'm also very excited because I think this is probably the strongest evidence she's ever gotten.
[01:29:48.124 --> 01:29:49.564]  We'll ask her if I'm right when we come back.
[01:29:49.564 --> 01:29:49.925]  Stay with us.
[01:29:49.925 --> 01:29:50.465]  We're on the march.
[01:29:51.006 --> 01:29:52.612]  The Empire's on the run.
[01:29:52.612 --> 01:29:56.226]  Alex Jones and the GCN Radio Network.
[01:30:00.379 --> 01:30:04.781]  Will this Democratic National Committee Chairman Donna Brazile ever know when to stop?
[01:30:04.781 --> 01:30:10.324]  New WikiLeaks revealed that Donna Brazile gave Hillary Clinton yet another debate question in advance.
[01:30:10.324 --> 01:30:14.306]  One of the questions directed to HRC tomorrow is from a woman with a rash.
[01:30:14.306 --> 01:30:24.511]  This article up on our website written by Paul Joseph Watson says that a new email released by WikiLeaks as a part of the Podesta dump reveals that former CNN commentator and current chairperson of the DNC
[01:30:24.531 --> 01:30:24.911]  I think so.
[01:30:47.401 --> 01:30:54.384]  According to Debate Commission rules, no candidate is supposed to be able to be given a question in advance regarding the debate.
[01:30:54.384 --> 01:30:57.165]  I guess that really doesn't apply to Hillary Clinton and her cronies.
[01:30:57.165 --> 01:31:00.107]  I'm Margaret Hell reporting for InfoWars.com.
[01:31:00.107 --> 01:31:00.927]  Hey everyone!
[01:31:00.927 --> 01:31:03.208]  Pharmcist Ben Fuchs here, host of The Bright Side.
[01:31:03.208 --> 01:31:07.050]  And as many of you know, I'm on a mission to help Americans get and stay healthy.
[01:31:07.050 --> 01:31:09.131]  You've all heard the shocking statistics.
[01:31:09.131 --> 01:31:14.433]  Despite spending trillions of dollars in healthcare, nearly $10,000 per man, woman, and child in this country,
[01:31:14.873 --> 01:31:15.994]  We're good to go!
[01:31:40.472 --> 01:31:40.853]  Thank you.
[01:31:59.958 --> 01:32:03.020]  Do you ever wonder what happened to America?
[01:32:03.020 --> 01:32:07.103]  Because of what we did on this day, change has come to America.
[01:32:07.103 --> 01:32:09.765]  Something's wrong, and we all know it.
[01:32:09.765 --> 01:32:12.587]  I'm Charlie Daniels, and I'm here to tell you about it.
[01:32:12.587 --> 01:32:16.109]  The nation has been hijacked by international forces.
[01:32:16.109 --> 01:32:17.791]  Bent on global governance.
[01:32:18.311 --> 01:32:24.537]  When I was a boy, it was okay to be proud of the flag, heritage, mom and apple pie.
[01:32:24.537 --> 01:32:30.823]  God was in school, morality had a future, and beef was for supper.
[01:32:30.823 --> 01:32:33.406]  Revelation, dawn of global government.
[01:32:33.766 --> 01:32:34.927]  We're the solution!
[01:32:34.927 --> 01:32:35.887]  Americans!
[01:32:35.887 --> 01:32:37.429]  Ain't nothin' more to it than that!
[01:32:37.429 --> 01:32:42.632]  Starring Alex Jones, Charlie Daniels, and Special Ops General Jerry Boykin.
[01:32:42.632 --> 01:32:44.473]  Theatrical screenings on demand.
[01:32:44.473 --> 01:32:46.074]  DVDs now available.
[01:32:46.074 --> 01:32:49.997]  Wanna shed some tears over the red, white, and blue?
[01:32:49.997 --> 01:32:55.601]  RevelationTheMovie.info Americans need to see this film.
[01:32:55.601 --> 01:32:59.123]  RevelationTheMovie.info Let's fix it.
[01:33:10.245 --> 01:33:12.046]  Trick or treat!
[01:33:12.046 --> 01:33:16.250]  Steal your votes, steal your country.
[01:33:16.250 --> 01:33:18.932]  Waging war on corruption.
[01:33:18.932 --> 01:33:25.057]  It's Alex Jones, coming to you live from the front lines of the Infowar.
[01:33:25.057 --> 01:33:29.060]  There's nothing bigger when it comes to theft, I guess, than taking somebody's life.
[01:33:31.305 --> 01:33:35.109]  There's nothing bigger when it comes to theft, unless it's murder, and that's election fraud.
[01:33:35.109 --> 01:33:42.238]  That's stealing someone's country, and then acting like, hey, you voted, you're all for it, you support it.
[01:33:42.238 --> 01:33:43.159]  And then to have Obama.
[01:33:43.159 --> 01:33:48.044]  I mean, imagine if Bush would have said there's no such thing as election fraud, period.
[01:33:48.044 --> 01:33:50.047]  No, they would just deny they were doing it.
[01:33:50.047 --> 01:33:51.068]  And both sides were doing it.
[01:33:52.844 --> 01:33:59.967]  Bev Harris is an American writer, activist, and founder of Black Box Voting, Inc., a national nonpartisan nonprofit election watchdog group.
[01:33:59.967 --> 01:34:04.769]  She helped popularize the term Black Box Voting while authoring a book on the same title.
[01:34:04.769 --> 01:34:07.611]  I've been interviewing her for like 16, 17 years.
[01:34:07.611 --> 01:34:16.395]  In 2003, she discovered the source code of a voting machine manufacturer, Diebold Election Systems, which now operates under the name Premier Election Systems.
[01:34:16.395 --> 01:34:18.576]  After examining these files, Harris wrote an article
[01:34:19.793 --> 01:34:29.065]  July 8, 2003, detailing how to bypass passwords and manipulate election results on Diebold Jim's central tally system.
[01:34:29.065 --> 01:34:30.848]  It's all done centrally.
[01:34:30.848 --> 01:34:37.357]  Harris filed a whistleblower lawsuit alleging that Diebold election systems had made false claims when selling their system to Alameda County, California.
[01:34:38.695 --> 01:34:39.075]  I don't know.
[01:35:01.411 --> 01:35:10.057]  Get with an algorithm or fraction magic that anybody that's, you know, had math class knows about and they have video of it.
[01:35:10.057 --> 01:35:11.818]  This should be the number one story in the country.
[01:35:11.818 --> 01:35:15.721]  It's bigger than even Hillary and the emails and the corruption.
[01:35:15.721 --> 01:35:16.982]  This is so huge.
[01:35:16.982 --> 01:35:22.845]  I want to play a minute and a half intro where it's her description and then the film gets really powerful.
[01:35:22.845 --> 01:35:23.206]  Here it is.
[01:35:24.658 --> 01:35:33.383]  There's a lot of assumptions being made by the public, and when you actually go out in the field and try to authenticate each step, it's very surprising, really.
[01:35:33.383 --> 01:35:35.565]  I'm tired of her camera being on me.
[01:35:35.565 --> 01:35:37.726]  I don't want her near me, okay?
[01:35:37.726 --> 01:35:38.766]  There's no other way.
[01:35:38.766 --> 01:35:46.431]  In other words, we're not able to give them what they want at all.
[01:35:46.431 --> 01:35:49.993]  Watch what happens if you cap a candidate's results at 43%, or any percent.
[01:35:56.244 --> 01:35:59.428]  And now imagine if the default setting is to hide the decimals.
[01:35:59.428 --> 01:36:05.194]  Right now, the GEMS program is installed and counting votes in 25 states and 616 jurisdictions.
[01:36:16.826 --> 01:36:20.789]  We have these systems that are just simply not operating in a way that's accountable to them.
[01:36:36.158 --> 01:36:44.826]  Call the public and again we're going to take this mini film and with our big production crew and everything obviously about some special reports today over the next few days.
[01:36:44.826 --> 01:36:51.232]  I want to get the crew to be on this 100% because the public back in 2000 wasn't awake to fraud like they are now.
[01:36:51.232 --> 01:36:57.818]  They are supercharged, mega awake and then it just gets more powerful as they go breaking it down.
[01:36:57.818 --> 01:37:02.462]  Bev, do you think that's an accurate statement to say people are more informed now about election fraud than they were in the past?
[01:37:03.140 --> 01:37:12.124]  Yeah, I think that, and you know, they really jumped on Trump when he said, I might not necessarily accept the result, and they acted like it was undemocratic.
[01:37:12.124 --> 01:37:19.127]  No, what's undemocratic is to tell the public and the candidates that they must accept a result that they can never authenticate.
[01:37:19.127 --> 01:37:21.548]  That is not democratic.
[01:37:21.548 --> 01:37:23.869]  We were not set up like that.
[01:37:23.869 --> 01:37:29.111]  And the public has an absolute right to be able to authenticate every essential step of the election.
[01:37:29.611 --> 01:37:38.858]  So, telling us that we have to accept it but we can never see the evidence is the most... I don't even have words for what that is.
