[00:00:00.710 --> 00:00:03.715]  ...already is deeply concerned.
[00:32:06.407 --> 00:32:16.575]  Furious Trump blasts FBI director after Houdini Hillary is cleared over second email investigation sparked by Anthony Weiner's teen sexting scandal.
[00:32:16.575 --> 00:32:24.882]  Donald Trump blasted the FBI's director on Sunday night telling a crowd of 8,000 people in Michigan that he rejects the bureau's latest moves to exonerate Hillary Clinton.
[00:32:24.882 --> 00:32:25.483]  FBI chief
[00:32:25.723 --> 00:32:36.606]  James Comey told leaders in Congress hours earlier that a review of 650,000 emails discovered on a laptop belonging to Anthony Weiner had reinforced his July 5th decision to let her off the hook.
[00:32:36.606 --> 00:32:39.966]  Right now, she's being protected by a rigged system, Donald Trump said.
[00:32:39.966 --> 00:32:42.987]  You can't review 650,000 new emails in eight days.
[00:32:42.987 --> 00:32:43.907]  You just can't do it.
[00:32:43.907 --> 00:32:50.289]  The investigations into her crimes will go on for a long, long time, Trump said, in the Detroit suburb of Sterling Heights.
[00:32:50.609 --> 00:32:55.603]  Somebody get James Comey Viagra because he finished too soon.
[00:32:55.603 --> 00:32:58.391]  This has been Joe Biggs with InfoWars.com
[00:32:59.480 --> 00:33:04.541]  Over the years, there have been a lot of powerful advancements in the field of science and nutraceuticals.
[00:33:04.541 --> 00:33:13.223]  Longevity integrates years of scientific research into creating fantastic products like Beyond Tangy Tangerine, plant-derived minerals, and much more.
[00:33:13.223 --> 00:33:17.344]  Longevity also offers you an ingenious way to augment your income.
[00:33:17.344 --> 00:33:18.124]  And the best part?
[00:33:18.124 --> 00:33:21.004]  You'll be helping your friends and family along the way.
[00:33:21.004 --> 00:33:23.625]  Visit InfoWarsTeam.com today.
[00:33:23.625 --> 00:33:24.405]  Become a member.
[00:33:24.405 --> 00:33:28.466]  Get discounts on the amazing products and free shipping when you sign up for AutoShip.
[00:33:28.686 --> 00:33:35.411]  And you're able to promote the products to friends and family and neighbors in your community and make money while helping people at the same time.
[00:33:35.411 --> 00:33:36.372]  Another win-win.
[00:33:36.372 --> 00:33:40.115]  That's why I'm a member of the Longevity Team at Infowarsteam.com.
[00:33:40.115 --> 00:33:41.355]  And you can be too.
[00:33:41.355 --> 00:33:41.896]  It's simple.
[00:33:41.896 --> 00:33:44.838]  Just go to Infowarsteam.com today.
[00:33:44.838 --> 00:33:46.940]  Complete a short sign-up and you're part of the team.
[00:33:46.940 --> 00:33:50.202]  That's Infowarsteam.com or Infowarshealth.com.
[00:33:50.202 --> 00:33:56.507]  So many people call into my radio show and tell me how Longevity and the products at Infowarsteam.com have changed their lives.
[00:33:56.507 --> 00:33:57.808]  Check it out for yourself today.
[00:33:59.286 --> 00:34:01.027]  I'm Alex Jones with a simple question.
[00:34:01.027 --> 00:34:05.311]  Will you and your family be financially protected if there's another economic meltdown?
[00:34:05.311 --> 00:34:08.893]  Like many experts, I believe another devastating crash is coming.
[00:34:08.893 --> 00:34:10.915]  I think it's a matter of when, not if.
[00:34:10.915 --> 00:34:13.837]  Don't wait for another crisis that could wipe out your hard-earned money.
[00:34:13.837 --> 00:34:19.361]  Do what I did and call United States Gold Vault at 844-541-ALEX.
[00:34:19.361 --> 00:34:20.722]  It's a company I trust.
[00:34:20.722 --> 00:34:26.527]  They're offering gold and silver coin survival packs that could help safeguard your money in an economic meltdown.
[00:34:26.827 --> 00:34:30.030]  I'm talking real money, not paper or worthless stocks.
[00:34:30.030 --> 00:34:34.474]  China recently bought more than a billion dollars worth of gold, proving that gold is on the move.
[00:34:34.474 --> 00:34:40.320]  Gold and silver are recognized worldwide as one of the most stable means of protecting finances.
[00:34:40.320 --> 00:34:41.000]  Don't delay.
[00:34:41.000 --> 00:34:48.027]  Call 844-541-ALEX now and get a rugged double locked bank bag to securely store your coins absolutely free.
[00:34:48.027 --> 00:34:52.511]  These are dangerous times and you need to make financial protection a priority.
[00:34:52.791 --> 00:34:55.434]  I personally own these survival packs and you should too.
[00:34:55.434 --> 00:35:02.001]  Pick up the phone and call 844-541-ALEX now.
[00:35:02.001 --> 00:35:04.664]  Waging war on corruption.
[00:35:04.664 --> 00:35:09.790]  It's Alex Jones, coming to you live from the front lines of the Infowar.
[00:35:14.898 --> 00:35:27.141]  Ultimately, though, do you think the polls that we've seen over the last week or two, going back, are wrong because the pollsters are not factoring in how many Democrats are going to be voting for you?
[00:35:27.141 --> 00:35:32.623]  You know, all this early voting stuff, they say, well, this many Democrats request a ballot, this many Republicans.
[00:35:32.623 --> 00:35:38.984]  And also just the gigantic number of Republicans who have turned out to see you, the enthusiasm level.
[00:35:38.984 --> 00:35:41.685]  Do you think those things, the pollsters, are getting wrong?
[00:35:42.478 --> 00:35:45.000]  I do think a lot of the polls are purposely wrong.
[00:35:45.000 --> 00:35:49.242]  I think I can almost tell you by the people that do it, the media is very dishonest.
[00:35:49.242 --> 00:35:50.343]  Extremely dishonest.
[00:35:50.343 --> 00:35:52.684]  And I think a lot of the polls are phony.
[00:35:52.684 --> 00:35:54.445]  I don't even think they interview people.
[00:35:54.445 --> 00:35:56.467]  I think they just put out phony numbers.
[00:35:56.467 --> 00:36:01.690]  I do think this, after the debates, I think my numbers really started to go up well.
[00:36:01.690 --> 00:36:07.774]  And then I did a series for the last two weeks only of really important speeches, I think.
[00:36:09.250 --> 00:36:14.337]  You know, 20,000, 25,000 people, 31,000 people were showing up to these speeches.
[00:36:14.337 --> 00:36:15.118]  You saw yesterday.
[00:36:15.118 --> 00:36:16.840]  I mean, you saw the kind of crowds we're getting.
[00:36:16.840 --> 00:36:18.943]  And I said, something's happening here.
[00:36:18.943 --> 00:36:20.625]  Something incredible is happening here.
[00:36:21.567 --> 00:36:26.828]  I'll tell you, the enthusiasm and the love in those rooms, in those arenas, they're really arenas.
[00:36:26.828 --> 00:36:30.689]  I mean, in New Hampshire last night, it was a tremendous arena, a beautiful arena.
[00:36:30.689 --> 00:36:36.250]  And same thing, we had a big convention center last night in Michigan, but they're packed.
[00:36:36.250 --> 00:36:38.190]  I mean, you have thousands of people.
[00:36:38.190 --> 00:36:46.491]  We had last night in Michigan, we had 10,000 people outside that couldn't get in, 10,000 people.
[00:36:46.491 --> 00:36:47.351]  It's been amazing.
[00:36:47.351 --> 00:36:50.392]  So I said something's happening, something's really going on.
[00:36:50.452 --> 00:36:55.533]  You know, a lot of people love you because you're not the establishment, and you're not the mainstream media.
[00:36:55.533 --> 00:36:57.934]  Let's talk about what's happening over at CNN.
[00:36:57.934 --> 00:37:02.395]  First, Donna Brazile, who was a contributor there, was giving debate questions to Hillary Clinton.
[00:37:02.395 --> 00:37:03.815]  Against Bernie Sanders.
[00:37:03.815 --> 00:37:04.656]  Exactly.
[00:37:04.656 --> 00:37:08.136]  Then, the DNC was giving questions to Wolf Blitzer.
[00:37:08.136 --> 00:37:12.758]  CNN was asking them, what questions do you want Wolf Blitzer to ask Donald Trump during an interview?
[00:37:12.758 --> 00:37:17.939]  Now we found out this morning, because of WikiLeaks, the husband of one of the vice presidents over at CNN
[00:37:18.479 --> 00:37:19.899]  His name is Thomas Nides.
[00:37:19.899 --> 00:37:30.262]  The husband was writing Hillary Clinton's campaign chairman, Podesta, asking him or saying to him, we have a good CNN poll that's coming, John.
[00:37:30.262 --> 00:37:34.063]  John Podesta writes back, I look forward to how that is spun.
[00:37:34.063 --> 00:37:35.944]  What's your response?
[00:37:35.944 --> 00:37:37.184]  Well, I think it's terrible.
[00:37:37.184 --> 00:37:38.705]  It's like I talk about the polls.
[00:37:38.705 --> 00:37:42.586]  I mean, I understand the business and it's terrible what's going on.
[00:37:42.586 --> 00:37:42.986]  And I think
[00:37:43.544 --> 00:37:52.808]  More terrible than that is the fact that Hillary Clinton, through Donna Brazile, got the questions to, I mean think of it, got the questions to the debates.
[00:37:52.808 --> 00:37:56.210]  I mean three of them now, probably more, maybe mine too.
[00:37:56.210 --> 00:37:59.852]  Although I don't know, I didn't think she performed particularly well.
[00:37:59.852 --> 00:38:03.894]  But I will tell you this, she got a lot of questions to the debates.
[00:38:04.685 --> 00:38:12.111]  You know, if you were in West Point, and if you got the questions like that, they would throw you out of the school if you didn't report yourself.
[00:38:12.111 --> 00:38:13.072]  She didn't report it.
[00:38:13.072 --> 00:38:15.894]  She didn't give it to an ethics committee or anybody.
[00:38:15.894 --> 00:38:18.176]  She took the questions.
[00:38:18.176 --> 00:38:20.878]  She got the answers to the questions.
[00:38:20.878 --> 00:38:26.362]  I mean, she would have been thrown out of West Point or Annapolis or the Air Force Academy.
[00:38:26.362 --> 00:38:28.444]  And here we have her running for president.
[00:38:28.524 --> 00:38:30.925]  And Mr. Trump, finally, I know they're polling you, and you got to run.
[00:38:30.925 --> 00:38:32.205]  You gave us time.
[00:38:32.205 --> 00:38:34.405]  We're looking live now at, I believe, Eric Trump.
[00:38:34.405 --> 00:38:35.346]  That's Eric and Laura.
[00:38:35.346 --> 00:38:39.467]  And Laura are probably about to vote for you right here in New York, where they live.
[00:38:39.467 --> 00:38:40.707]  So it's got to be exciting.
[00:38:40.707 --> 00:38:42.647]  Well, we think they're going to vote for Donald Trump.
[00:38:42.647 --> 00:38:43.968]  Guys, thanks for correcting me.
[00:38:43.968 --> 00:38:45.108]  I don't want to be corrected.
[00:38:45.108 --> 00:38:46.208]  I have to apologize tomorrow.
[00:38:46.208 --> 00:38:47.429]  You don't want to assume anything, Brian.
[00:38:47.429 --> 00:38:48.089]  All right, folks.
[00:38:48.089 --> 00:38:48.949]  There's more of this.
[00:38:48.949 --> 00:38:49.929]  It's on Infowars.com.
[00:38:49.929 --> 00:38:53.190]  And I thought it was powerful that Fox is actually bringing up some real issues.
[00:38:53.190 --> 00:38:55.051]  That's why they're better shows, obviously, Fox and Friends.
[00:38:55.051 --> 00:38:56.391]  That's why Trump goes there.
[00:38:57.011 --> 00:38:57.571]  It's beyond that.
[00:38:57.571 --> 00:38:59.313]  It's total collusion with the media.
[00:38:59.313 --> 00:39:01.394]  They've always lied and said they weren't doing this.
[00:39:01.394 --> 00:39:02.595]  We know they're doing it.
[00:39:02.595 --> 00:39:09.360]  When you turn on the three or four networks, they have the same story, in the same order, with the almost exact same words.
[00:39:09.360 --> 00:39:10.801]  Sometimes the exact words.
[00:39:10.801 --> 00:39:12.202]  They're following a script.
[00:39:12.202 --> 00:39:21.249]  And it's come out in WikiLeaks that Hillary Clinton, the New York Times, the Washington Post, you name it, CNN, ABC, well they've got their operatives already.
[00:39:21.249 --> 00:39:23.230]  Most of the hosts formerly worked for them.
[00:39:23.230 --> 00:39:24.011]  Or the Democratic Party.
[00:39:24.011 --> 00:39:25.772]  I mean, that's a little tip-off right there.
[00:39:27.091 --> 00:39:34.394]  And they're sitting there, telling them what to do, telling them what to say, and telling them how to spin polls.
[00:39:34.394 --> 00:39:43.877]  And of course the poll that they were mentioning there with CNN, you know, that had Hillary ahead or whatever, they don't mention it in the rest of the WikiLeaks.
[00:39:43.877 --> 00:39:46.598]  They're saying, our plan is oversampling.
[00:39:46.598 --> 00:39:48.999]  We've got to have them massively oversample.
[00:39:48.999 --> 00:39:52.040]  That's how from the beginning we'll make it look like she's in the lead.
[00:39:52.040 --> 00:39:52.800]  John Podesta!
[00:39:54.383 --> 00:40:00.169]  That's how, from the beginning, we'll make it appear that she's always in the lead, and we'll keep the lead until the end.
[00:40:00.169 --> 00:40:01.730]  Total fraud!
[00:40:01.730 --> 00:40:12.141]  Do you think those people, with George Soros owning machines in 16 states, which we have to identify with Beth Harris, a Democrat, a liberal, the top fraud investigator, with her other scientists,
[00:40:13.564 --> 00:40:18.307]  Coming out and certifying the Fraction Magic program.
[00:40:18.307 --> 00:40:22.790]  They place on the central tabulators to pre-program the outcome you want.
[00:40:22.790 --> 00:40:24.812]  And it comes out dead on.
[00:40:24.812 --> 00:40:27.954]  Shaving points.
[00:40:27.954 --> 00:40:29.855]  It's an algorithm, ladies and gentlemen.
[00:40:29.855 --> 00:40:34.939]  It doesn't care what numbers you put in, it will take them and juggle them and carve them down to that number.
[00:40:36.411 --> 00:40:38.794]  This is more crooked than the worst casino.
[00:40:38.794 --> 00:40:41.718]  And Trump understands that.
[00:40:41.718 --> 00:40:43.260]  Trump's not an idiot.
[00:40:43.260 --> 00:40:47.245]  And so I'm going to ask the listeners, I'm going to ask all our guests today, what happens now?
[00:40:48.547 --> 00:41:01.811]  Because Trump went from, again, 2, 3, 4, 5, 6 points, depending on the battleground state, last week, even with them in skewed polls oversampling Democrats, to 4, 5, 8, 9, 10, 11 points.
[00:41:01.811 --> 00:41:05.472]  I mean, he gained 3, 4 points in every state.
[00:41:05.472 --> 00:41:07.913]  And they admit yesterday it was compounding.
[00:41:08.885 --> 00:41:10.106]  We had Roger Stone on last night.
[00:41:10.106 --> 00:41:15.869]  He was giving us polls before they came out on RealClearPolitics from scientific groups, and he was dead on because two hours later it came out.
[00:41:15.869 --> 00:41:20.372]  I was up, and it showed all these new polls coming in, Trump increasing his lead.
[00:41:20.372 --> 00:41:36.661]  So, with rigged polls, oversampling, way more Democrats, 9, 12, 15, 20 points, depending on some of them higher, I mean, CNN is massively oversampling, worse than anybody, and they've got them in a dead heat right now.
[00:41:36.661 --> 00:41:37.122]  But you go to
[00:41:38.288 --> 00:41:42.290]  The New York Times, at least I checked yesterday, it was like an 89% chance.
[00:41:42.290 --> 00:41:47.393]  Our special editorial board analysis of experts says Hillary Clinton wins.
[00:41:47.393 --> 00:41:47.953]  Why not say 150%?
[00:41:47.953 --> 00:41:51.195]  Why not 10,000% chance?
[00:41:51.195 --> 00:41:51.835]  80 billion chance.
[00:41:51.835 --> 00:41:57.479]  I mean, how about Hillary gave birth to the planet and all of us are her children and she's the reason birds sing.
[00:41:57.479 --> 00:42:04.342]  In North Korea, they teach that the birds sing, the sun shines because of Kim Jong-un and his grandfather and his father.
[00:42:04.342 --> 00:42:05.223]  Why not go there?
[00:42:07.418 --> 00:42:11.879]  Yeah, that's their, quote, scientific poll showing her at 45.9 and him at 42.9.
[00:42:11.879 --> 00:42:13.780]  They have another algorithm that's on their front page.
[00:42:13.780 --> 00:42:19.081]  They churn at people where they're always saying, you know, she's got a 90-something, an 80-something.
[00:42:19.081 --> 00:42:20.461]  It goes back and forth.
[00:42:20.461 --> 00:42:21.381]  It's not a poll.
[00:42:21.381 --> 00:42:26.342]  It's a chances of winning on the New York Times.
[00:42:26.342 --> 00:42:28.423]  New York Times, you know, 87 percent.
[00:42:28.423 --> 00:42:28.843]  Just Google it.
[00:42:28.843 --> 00:42:30.243]  It'll come up.
[00:42:30.243 --> 00:42:33.524]  New York Times, chance of Hillary winning number.
[00:42:33.524 --> 00:42:34.224]  It's normally at 89, 90, 91 percent.
[00:42:34.224 --> 00:42:34.924]  I mean, it's just made up.
[00:42:37.947 --> 00:42:47.295]  And then, oh, there's a scandal, she fell down, ooh, he's got a, you know, she's got an 81% chance of winning, oh, she fell down, oh, it's back up, whoa, whoa.
[00:42:47.295 --> 00:42:50.318]  You ask, where do you come up with this?
[00:42:50.318 --> 00:42:54.181]  Well, they sit there and Carlos Slim and his people just come up with it and it's all a big joke.
[00:42:54.181 --> 00:43:00.727]  And it's the process of turning us into permanent debt slaves in this country.
[00:43:01.920 --> 00:43:05.861]  Ending the free market, showing it up, creating a monopoly.
[00:43:05.861 --> 00:43:10.302]  Optimism from Hillary Clinton and darkness from Donald Trump at campaign's end.
[00:43:10.302 --> 00:43:13.383]  Oh my gosh.
[00:43:13.383 --> 00:43:15.503]  More BS from the New York Times.
[00:43:15.503 --> 00:43:19.284]  Oh, optimism, a new fresh change, a new world.
[00:43:19.284 --> 00:43:22.605]  The change candidate, someone from the outside.
[00:43:22.605 --> 00:43:26.146]  Hillary Clinton, 2 plus 2 equals 7.
[00:43:26.146 --> 00:43:29.187]  Obamacare is free.
[00:43:29.187 --> 00:43:30.367]  You can keep your doctor.
[00:43:31.761 --> 00:43:33.762]  Black unemployment doubles, but we love you.
[00:43:33.762 --> 00:43:34.322]  We love you.
[00:43:34.322 --> 00:43:40.526]  Donald Trump's like, I will pass tax incentives in minority areas, specifically targeting African Americans.
[00:43:40.526 --> 00:43:43.768]  Has conservatives eating out of his hand for reparations.
[00:43:43.768 --> 00:43:44.688]  And guess what?
[00:43:44.688 --> 00:43:47.930]  A lot of black folks don't want it.
[00:43:47.930 --> 00:43:51.892]  Because they've been programmed by the media.
[00:43:51.892 --> 00:43:57.195]  Donald Trump has conservatives eating out of his hand to not be in a war with the LGBT people.
[00:43:58.010 --> 00:43:58.551]  Which is good.
[00:43:58.551 --> 00:44:02.274]  They won't then all be a bunch of leftists running a bunch of programming.
[00:44:02.274 --> 00:44:03.235]  We can all just live in peace.
[00:44:03.235 --> 00:44:04.736]  See, he's a peacemaker.
[00:44:04.736 --> 00:44:05.737]  He's a businessman.
[00:44:05.737 --> 00:44:07.539]  He's a unifier.
[00:44:07.539 --> 00:44:11.303]  He wants prosperity.
[00:44:11.303 --> 00:44:13.024]  And we're not allowed to have that.
[00:44:13.024 --> 00:44:16.928]  Because the wicked want to oppress and screw over the poor.
[00:44:16.928 --> 00:44:18.910]  The wicked want their thumb on you.
[00:44:18.910 --> 00:44:21.933]  And hey, that's why a lot of poor folks are poor.
[00:44:24.718 --> 00:44:42.284]  Because they believe in the system, they buy into it, they want to believe they're victims and they're never going anywhere and only the mommy, Hillary, who's like the she-wolf of Rome, can give milk to the little New World Order people.
[00:44:42.284 --> 00:44:44.585]  Only place you can get sustenance is from Hillary.
[00:44:44.585 --> 00:44:50.427]  She lays over on her side and all the little piggies come over and they get milk.
[00:44:50.427 --> 00:44:51.427]  What a disgusting image.
[00:44:53.732 --> 00:45:08.961]  Meanwhile, in all the emails, she talks about how much she hates the people, and how there's not enough free stuff to go around, it's gonna collapse everything, but that's okay, we'll just manage the collapse, but it'll happen too quick if we keep doing this, so these poor people, they just think they can't have it all free?
[00:45:08.961 --> 00:45:09.902]  Yeah, they can't!
[00:45:09.902 --> 00:45:15.525]  But you can't sit there and lie to them, and tell them how much you love them, and how you're gonna give them all this free crap!
[00:45:17.403 --> 00:45:19.487]  So this is a referendum on her lies.
[00:45:19.487 --> 00:45:23.313]  It is a referendum on the mainstream media, but the people have already voted.
[00:45:23.313 --> 00:45:25.196]  Here's the essence.
[00:45:25.196 --> 00:45:27.801]  Here is the gold standard of all this.
[00:45:27.801 --> 00:45:29.864]  You can put it in the bank, you can guarantee it.
[00:45:29.864 --> 00:45:30.806]  Bottom dollar.
[00:45:30.806 --> 00:45:31.307]  Straight shot.
[00:45:33.183 --> 00:45:35.025]  I mean, it's so true, it's ridiculous.
[00:45:35.025 --> 00:45:47.115]  I should be dancing in the streets, celebrating with happiness right now, but I caught myself feeling bummed out this morning, upset, looking at all the headlines, seeing them trying to con the public into accepting a Hillary victory.
[00:45:47.115 --> 00:45:52.700]  An electoral landslide, says top Republican strategist who works for John McCain and John Kasich.
[00:45:53.300 --> 00:45:56.784]  Who are the worst of the worst, as bad as Hillary.
[00:45:56.784 --> 00:45:58.405]  Total establishment insiders.
[00:45:58.405 --> 00:46:03.651]  Oh, they said, in every headline, every headline, oh, Trump's going to lose, Trump's going to lose.
[00:46:03.651 --> 00:46:15.183]  A repudiation of his ideas, oh, of sovereignty, and tax cuts, and fair trade deals, and businesses, and ingenuity, and farming, and oh, oh!
[00:46:17.355 --> 00:46:18.696]  It's horrible!
[00:46:18.696 --> 00:46:20.457]  And peace with Russia!
[00:46:20.457 --> 00:46:21.977]  And not funding radical Islam!
[00:46:21.977 --> 00:46:24.519]  And oh, he doesn't think you should be made to take vaccines.
[00:46:24.519 --> 00:46:27.920]  Because his own son, Barron, reportedly was damaged by one.
[00:46:27.920 --> 00:46:29.862]  That's inside baseball.
[00:46:29.862 --> 00:46:32.523]  But... And you know what?
[00:46:32.523 --> 00:46:34.464]  He doesn't think municipalities should have to fluoridate water.
[00:46:36.357 --> 00:46:37.678]  Oh, they got a Harvard study on that.
[00:46:37.678 --> 00:46:39.400]  It's bad for you.
[00:46:39.400 --> 00:46:40.161]  Oh!
[00:46:40.161 --> 00:46:41.082]  Oh!
[00:46:41.082 --> 00:46:44.045]  And Donald Trump's sons, they're the ones that have really radicalized him.
[00:46:44.045 --> 00:46:45.806]  The government's got files on all this.
[00:46:45.806 --> 00:46:49.710]  They know about Donald Jr.
[00:46:49.710 --> 00:46:50.671]  And what Donald Jr.
[00:46:50.671 --> 00:46:53.434]  listens to for 10 years.
[00:46:53.434 --> 00:46:57.118]  And who Dad listens to.
[00:46:57.118 --> 00:46:59.180]  And so they're crapping their britches.
[00:47:01.226 --> 00:47:05.149]  And the military talks to the Trumps, and they want to make America great again, and they know what's happening.
[00:47:05.149 --> 00:47:06.290]  So here's the deal.
[00:47:06.290 --> 00:47:22.783]  If a bunch of crooks and scum and Hillary and CNN, a shadow of a shadow of a shadow of a shadow of a shadow of a shadow of a shadow of a shadow of a shadow of themselves, a literal already collapsed joke, a facade they leave up so people don't understand that it's already gone down.
[00:47:25.248 --> 00:47:45.524]  If they really want to do this, and hold on, and steal it in front of God and country, and we're going to have all the election experts on, and more video of them stealing it, and more proof, and more people arrested, and dead people voting, and more Veritas videos calling us dumbasses, and how they're going to rob us, and the media ignoring that, and the media wonders, my God, our ratings drop, and drop, and drop, and drop.
[00:47:45.524 --> 00:47:49.247]  It's been a dead cat bounce because of the election, but it's still, again, a shadow of itself.
[00:47:49.247 --> 00:47:53.991]  They wonder why they're so hated, why they're so reviled, why they're so absolutely
[00:47:56.375 --> 00:48:00.918]  They wonder why everybody hates them.
[00:48:00.918 --> 00:48:07.102]  Because you're detestable people!
[00:48:07.102 --> 00:48:17.409]  And I love how they double down and put more and more confidence game men and women on CNN and CNBC and MSNBC and Fox is turning into CNN.
[00:48:17.409 --> 00:48:19.831]  How they sit there in this whole confidence game.
[00:48:22.418 --> 00:48:26.281]  Just looking at you like they're the authority, they've got confidence, what they're saying's right.
[00:48:26.281 --> 00:48:31.206]  Obamacare's free, the government loves you, nobody wants your guns, but we're gonna ban them.
[00:48:31.206 --> 00:48:36.891]  EGMO, take the vaccines, it's the law, we'll arrest you, we don't know why the kids are all paralyzed, just shut up!
[00:48:36.891 --> 00:48:39.813]  You didn't build your business.
[00:48:39.813 --> 00:48:40.374]  Bitter clingers.
[00:48:43.396 --> 00:48:45.357]  Obama was first, I'll let him talk.
[00:48:45.357 --> 00:48:52.621]  They can't even get their own rally when they have to bus people in and spend millions to get somebody to rally or bring in some rock star.
[00:48:52.621 --> 00:48:53.661]  But now he's like, shut him up!
[00:48:53.661 --> 00:48:54.602]  Stop it!
[00:48:54.602 --> 00:48:54.982]  Stop it!
[00:48:54.982 --> 00:48:58.144]  Get out of here!
[00:48:58.144 --> 00:49:07.949]  Because the vet's standing up there in a stern, focused, confident way, not arrogant, telling Obama you're a piece of trash.
[00:49:07.949 --> 00:49:09.170]  And what Obama didn't like was
[00:49:10.188 --> 00:49:12.510]  That fella was up in the bleachers above him.
[00:49:12.510 --> 00:49:16.212]  You watch videos of somebody's above Obama.
[00:49:16.212 --> 00:49:17.793]  Basic psychology.
[00:49:17.793 --> 00:49:18.854]  They're talking down to him.
[00:49:18.854 --> 00:49:19.915]  He doesn't like it.
[00:49:19.915 --> 00:49:21.536]  He likes it.
[00:49:21.536 --> 00:49:27.440]  Hillary and Bill, they like to sit up there on that stage and look down on you down there and they're gonna keep you down there.
[00:49:27.440 --> 00:49:33.965]  See, if I've had somebody before speaking down to me, I feel stronger.
[00:49:33.965 --> 00:49:37.007]  Like I've got the uphill battle to go.
[00:49:37.007 --> 00:49:38.528]  I've got the initiative that I'm gonna win.
[00:49:40.905 --> 00:49:44.707]  I can't see my crowd to be mean to somebody that's down below me.
[00:49:44.707 --> 00:49:50.909]  See, this is all basic psychology and we don't think about what's going on in ourselves so they're able to program us.
[00:49:50.909 --> 00:50:01.454]  We have to get outside of it and realize they're the most empty, sociopathic, psychopathic, narcissistic, empty nobodies who want red carpets and want to be worshipped by Hollywood.
[00:50:02.614 --> 00:50:04.274]  And want to be involved in all this.
[00:50:04.274 --> 00:50:05.875]  You know how empty Hollywood is?
[00:50:05.875 --> 00:50:07.195]  How unhappy the people are?
[00:50:07.195 --> 00:50:08.395]  They're scriptwriters.
[00:50:08.395 --> 00:50:11.516]  They're puppets that somebody else controls.
[00:50:11.516 --> 00:50:14.637]  But we've been taught by People Magazine and everything else that we do, we just worship it.
[00:50:14.637 --> 00:50:16.457]  But Hollywood itself's collapsing.
[00:50:16.457 --> 00:50:17.797]  People don't want it anymore.
[00:50:17.797 --> 00:50:19.278]  They're leaving it.
[00:50:19.278 --> 00:50:23.899]  So Hollywood's becoming something for third world countries to produce stuff for, you know, India and China.
[00:50:25.902 --> 00:50:26.462]  They're done.
[00:50:26.462 --> 00:50:27.743]  They're already dead.
[00:50:27.743 --> 00:50:29.563]  They're already morally bankrupt.
[00:50:29.563 --> 00:50:31.004]  They're over.
[00:50:31.004 --> 00:50:33.705]  Donald Trump is just one wave in this awakening.
[00:50:33.705 --> 00:50:36.446]  And listen, I pray justice is done.
[00:50:36.446 --> 00:50:37.326]  I pray he's elected.
[00:50:37.326 --> 00:50:40.787]  He is the 45th president of the United States.
[00:50:40.787 --> 00:50:41.607]  He ran the course.
[00:50:41.607 --> 00:50:43.228]  He did it all.
[00:50:43.228 --> 00:50:45.809]  He beat her in rigged polls.
[00:50:45.809 --> 00:50:48.810]  There are lines around the block everywhere for him.
[00:50:48.810 --> 00:50:51.631]  Every Democrat I've talked to hates her guts.
[00:50:51.631 --> 00:50:55.292]  Mark Dyson finally has people in LA and San Diego and the women all hating her.
[00:50:56.653 --> 00:50:58.314]  They're coming out of their trance.
[00:50:58.314 --> 00:50:59.994]  So, we're coming out of the trance.
[00:50:59.994 --> 00:51:10.338]  Don't let them bamboozle us and tell us we've been discredited, we've been shown to be bad, because everything you put out with your message of right-wing hate has been repudiated.
[00:51:10.338 --> 00:51:10.978]  Right-wing hate?
[00:51:10.978 --> 00:51:12.679]  That the TPP is running our country?
[00:51:12.679 --> 00:51:15.520]  Or you stole the nomination from Sanders?
[00:51:15.520 --> 00:51:16.300]  That's not right-wing hate.
[00:51:16.300 --> 00:51:18.421]  That's the truth!
[00:51:18.421 --> 00:51:19.962]  And leftists go, that is actually true.
[00:51:19.962 --> 00:51:20.742]  That's right.
[00:51:20.742 --> 00:51:22.503]  It's not left or right, folks.
[00:51:22.503 --> 00:51:22.843]  It's that
[00:51:24.090 --> 00:51:27.191]  The so-called left is the main mechanism of the globalists.
[00:51:27.191 --> 00:51:30.352]  Now, I'm going to go to break, come back and play a bunch of clips I haven't gotten to yet.
[00:51:30.352 --> 00:51:33.793]  Big election news, the latest on imminent cyber attack the Russians.
[00:51:33.793 --> 00:51:34.793]  We may have to attack the Russians.
[00:51:34.793 --> 00:51:35.793]  It's total fraud.
[00:51:35.793 --> 00:51:37.554]  We've got a federalized emergency.
[00:51:37.554 --> 00:51:41.415]  If Trump wins, it means he stole it!
[00:51:41.415 --> 00:51:42.775]  But meanwhile, Trump's completely insane.
[00:51:42.775 --> 00:51:44.216]  There's no election fraud.
[00:51:44.216 --> 00:51:46.236]  They're actually in the Associated Press.
[00:51:46.236 --> 00:51:48.197]  They're all over the news saying that today.
[00:51:48.197 --> 00:51:48.717]  You've seen it.
[00:51:48.717 --> 00:51:49.097]  You've heard it.
[00:51:50.745 --> 00:51:52.027]  We're going to talk about that, too.
[00:51:52.027 --> 00:51:56.973]  But before we go any further here, part of this 52-hour global transmission.
[00:51:56.973 --> 00:51:57.934]  We're going right through tomorrow.
[00:51:57.934 --> 00:51:59.756]  I want to encourage everyone to be part of the revolution.
[00:51:59.756 --> 00:52:00.878]  Now, I'm a little disappointed.
