[00:00.000 --> 00:26.000]  Live from Austin, Texas, broadcasting world-wide, it's Alex Jones.
[34:19.000 --> 34:21.000]  Whenever you hear it right away, it's very suspicious.
[34:21.000 --> 34:32.000]  An individual I was talking to has been in the highest levels of security details, protecting Hillary Clinton, George W. Bush, you name it,
[34:32.000 --> 34:37.000]  and he thought it was very, very suspicious. Bordeaux knew a lot of secrets.
[34:37.000 --> 34:44.000]  He had become very, very famous first writing, a tell all book about the secrets of being a top chef.
[34:44.000 --> 34:49.000]  But I tweeted out that, hey, if I commit suicide, I didn't commit suicide, I was killed.
[34:49.000 --> 34:54.000]  I said he was enemies more and more with the Clintons, but I said he also said bad things about Trump.
[34:54.000 --> 34:57.000]  He'd serve him hemlock as a joke.
[34:57.000 --> 35:00.000]  But Bordeaux was the only successful person on CNN.
[35:00.000 --> 35:08.000]  Ordain was a superstar internationally and really respected. He was becoming really good friends with Elon Musk.
[35:08.000 --> 35:18.000]  Well, I got a emergency phone call from one of the producers saying one of our best sources wants to talk to you.
[35:18.000 --> 35:20.000]  He's really upset and it all clicked.
[35:20.000 --> 35:28.000]  I went, oh my God, he told me off air months ago and on air just a few weeks ago that you'd look for other big Hollywood icon type people.
[35:28.000 --> 35:35.000]  He told me off air Anthony Bordeaux saying that he had helped produce with Elon Musk.
[35:35.000 --> 35:39.000]  This individual works with SpaceX in other areas.
[35:39.000 --> 35:49.000]  This piece with Bordeaux and that Bordeaux had been challenged by Elon Musk to go public and to talk about his experiences and what he knew.
[35:49.000 --> 35:58.000]  And to basically do a full Kanye, a fully woke. And so I knew about this and then it totally clicked.
[35:58.000 --> 36:02.000]  This was about like six in the morning, Hawaii time of that time to wake up.
[36:02.000 --> 36:08.000]  So I wrote a bunch of notes here. You can see some of them are on hotel coasters.
[36:08.000 --> 36:11.000]  And these are the notes that the gentleman basically laid out to me.
[36:11.000 --> 36:24.000]  I know the gentleman is his family is well known and wealthy, to say the least, and he has been involved in armies, special operations, armies, psychological operations.
[36:24.000 --> 36:26.000]  And he's even said I can say who he is now.
[36:26.000 --> 36:32.000]  But at this point, I said, I'll give you some time to cool off before we do that.
[36:32.000 --> 36:35.000]  Right now, he told me this about an hour and a half ago right now.
[36:35.000 --> 36:45.000]  He's in hot water with folks, but we had to do this in case they try to kill him or myself because here's the bottom line.
[36:45.000 --> 36:49.000]  Ordain was 61 years old, he had a happy nine year old daughter.
[36:49.000 --> 36:51.000]  He'd just gotten remarried. He'd never been happier.
[36:51.000 --> 36:53.000]  He had been friends with Elon Musk for a long time.
[36:53.000 --> 36:55.000]  He was becoming best friends with Musk.
[36:55.000 --> 37:03.000]  Musk is fully awake to globalism, the New World Order, the whole brainwashing system, the post human system they're trying to set up.
[37:03.000 --> 37:07.000]  He's been saying everything that I told you 20 years ago when I put an end game 11 years ago.
[37:07.000 --> 37:10.000]  Not because he's following what I said, but because that's what the globalist are planning.
[37:10.000 --> 37:16.000]  He's been let in at the highest levels into their meetings because he's a high IQ guy and a multi-billionaire.
[37:16.000 --> 37:20.000]  And now he's under Soros attack and others trying to hostile takeover.
[37:20.000 --> 37:30.000]  So they were in Marrakesh, Morocco two months ago, kicking off the taping of his new season 0.0 as the production company he owns his own show.
[37:30.000 --> 37:36.000]  And Musk and him had already been hanging out there in Morocco for four or five days,
[37:36.000 --> 37:48.000]  really discussing what was happening, what was going on up on this big vista where they had this high tech science lab connected to some of the leaders of Morocco.
[37:48.000 --> 37:53.000]  And so they're out there doing the shoot.
[37:53.000 --> 37:56.000]  You'll remember a few months ago when one of our guests was from Morocco.
[37:56.000 --> 37:59.000]  That was all going on then in Morocco then.
[37:59.000 --> 38:04.000]  And they were discussing all these things and he was really deprogramming him.
[38:04.000 --> 38:09.000]  And Anthony Bordeaux was kind of coming out of his shell, the Kanye West thing that started to happen.
[38:09.000 --> 38:18.000]  And then more of his shows became this whole woke thing globally to what was happening in a pro human future and pro space exploration,
[38:18.000 --> 38:23.000]  not a post industrial world, not a globalist depopulation planet.
[38:23.000 --> 38:30.000]  Not this thing where the AI gods take over that Musk and others warned about that Google and others are embracing and saying humans are bad.
[38:30.000 --> 38:32.000]  We need to post human world.
[38:32.000 --> 38:37.000]  So Bordeaux has been anti-Trump, anti-Hillary, anti-Winstein.
[38:37.000 --> 38:44.000]  He's really written things about Henry Kissinger that are true that are very bold for somebody who's respected by liberals.
[38:44.000 --> 38:51.000]  And it's because he was seen as somebody even more than Kanye West who could double Trump's numbers with black voters.
[38:51.000 --> 38:58.000]  He was seen as somebody to be the final domino to fall because he's so respected by liberals out there.
[38:58.000 --> 39:00.000]  And he was showing signs of a conscience.
[39:00.000 --> 39:02.000]  He was realizing what was happening.
[39:02.000 --> 39:07.000]  He was aware of all the government sex trafficking and the things that were going on.
[39:07.000 --> 39:10.000]  And he was beginning to talk about working that into his show.
[39:10.000 --> 39:12.000]  He was working that into his show.
[39:12.000 --> 39:14.000]  And the word has come down now.
[39:14.000 --> 39:21.000]  We actually have the almost 12 minute video clip that is the episode in Morocco.
[39:21.000 --> 39:28.000]  But the 12 minutes sit down in the 45 minute hour long episode of the 45 minutes is actual program, actual show.
[39:28.000 --> 39:33.000]  Our sources have the 11 minute 50 second clip.
[39:33.000 --> 39:42.000]  If they ever think that they're going to now grab it and make it all a retrospective about Bourdain and mix in his old episodes and change it.
[39:42.000 --> 39:48.000]  They got nothing coming because Bourdain had final cut, but his company didn't.
[39:48.000 --> 39:55.000]  And so just like Stanley Kubrick put out eyes wide shut, when he had the final cut done, he had final cut power, but he refused to cut 24 minutes.
[39:55.000 --> 39:57.000]  He died instantly.
[39:57.000 --> 40:02.000]  And I've talked to his daughter who was his protege and the stuff she told me was off record.
[40:02.000 --> 40:05.000]  But let me just tell you, it all fits together.
[40:05.000 --> 40:13.000]  I've also talked to the linens and what they told me is off record, but it all fits together just for my information.
[40:13.000 --> 40:20.000]  But I almost at this point almost don't want to know stuff in confidence anymore because like the Narls Barkley song.
[40:20.000 --> 40:23.000]  Well, I was crazy not because I didn't know anything because I knew too much.
[40:23.000 --> 40:26.000]  So that's all going on.
[40:26.000 --> 40:32.000]  So I'm seeing is one of the only venues where people could actually get this stuff out where people aren't scared.
[40:32.000 --> 40:37.000]  And I've been told by the Pentagon and other patriots the highest levels that they fear Trump.
[40:37.000 --> 40:40.000]  They fear Donald Trump Jr. They fear Matt Drudge.
[40:40.000 --> 40:46.000]  They feared Anthony because he was starting to wake up to what was going on with some financial with the left and others.
[40:46.000 --> 40:49.000]  And internationally he was such a star.
[40:49.000 --> 40:52.000]  And they fear yours truly.
[40:52.000 --> 41:01.000]  And it's not like I'm proud to be saying this is very dangerous position to be in, but they really fear almost more than anybody except Trump right now.
[41:01.000 --> 41:03.000]  Elon Musk and Elon needs to go public.
[41:03.000 --> 41:06.000]  I've already been saying that he's been going public against the media.
[41:06.000 --> 41:08.000]  He's been going public against the AI takeover plan.
[41:08.000 --> 41:12.000]  But Elon, this was a message to Elon Musk.
[41:12.000 --> 41:15.000]  This is the takeaway.
[41:15.000 --> 41:23.000]  Anthony Order was getting ready to go public and said he was pro-human, bring the parties together, don't hate Trump.
[41:23.000 --> 41:24.000]  Let's work together.
[41:24.000 --> 41:25.000]  Let's have a human future.
[41:25.000 --> 41:27.000]  Let's not be a neugenics.
[41:27.000 --> 41:32.000]  I think Elon Musk message of truth and Alex Jones message because it's just the truth.
[41:32.000 --> 41:33.000]  Kanye West.
[41:33.000 --> 41:36.000]  In fact, he specifically talked about the bigger plan.
[41:36.000 --> 41:43.000]  So when I was at Lewis Farrakhan's house two years ago, he goes, you know, Kanye comes by and he likes a bigger plan.
[41:43.000 --> 41:46.000]  And they looked at me because I hadn't been let in on the code word yet.
[41:46.000 --> 41:57.000]  And Farrakhan said what you want about it is a major game changer, tea person, just like Bordeaux could be or, you know, any of these people.
[41:57.000 --> 42:04.000]  So it's just absolutely mind boggling right now to know this is going on.
[42:04.000 --> 42:05.000]  Know this is happening.
[42:05.000 --> 42:07.000]  I'm going to try to be calm and come back from break.
[42:07.000 --> 42:17.000]  Dr. Nick Becker has got a whole huge presentation ready for you. His dad died in mysterious plane crash. His brother, of course, U.S. Senator, but he's got a lot of big insight and tell for you.
[42:17.000 --> 42:20.000]  As you can see, I was planning to not go on air anyone.
[42:20.000 --> 42:25.000]  I was on this trip with my kids for eight days, but we don't have a future if I don't do this.
[42:25.000 --> 42:29.000]  So I will be here as much as I need to be.
[42:29.000 --> 42:34.000]  I'm very humbled to be in this position to have this type of information, but I have talked to the folks at SpaceX.
[42:34.000 --> 42:40.000]  I have talked to people inside my organization right there at the top of it.
[42:40.000 --> 42:44.000]  And I am breaking down to you what is going on here.
[42:44.000 --> 42:48.000]  CNN will absolutely be in dreaded fear that we...
[42:48.000 --> 42:52.000]  I mean, I was asked today, I said, should we release the 11 minute 50 second clip?
[42:52.000 --> 42:55.000]  And I said, let's hold off while you're hot right now, while you're upset.
[42:55.000 --> 42:59.000]  I'm not going to say you are yet. They already know who you are.
[42:59.000 --> 43:04.000]  Our team is always looking for new ways to improve our products.
[43:04.000 --> 43:08.000]  That's why we've created the newest version of a fan favorite formula.
[43:08.000 --> 43:10.000]  The Real Red Pill Plus.
[43:10.000 --> 43:14.000]  The Real Red Pill Plus contains the powerful Pregnant alone formula.
[43:14.000 --> 43:17.000]  Now with an added energy boost.
[43:17.000 --> 43:23.000]  Now you can support your heart, brain and aging process with an added natural energy boost.
[43:23.000 --> 43:28.000]  The proprietary energy blend includes powerful ingredients like green tea extract,
[43:28.000 --> 43:31.000]  your bimate leaf extract and more.
[43:31.000 --> 43:35.000]  Paired with the powerful ingredients in the original Real Red Pill formula.
[43:35.000 --> 43:41.000]  The Real Red Pill has just what you need to support your body while getting the pick me up to get you through the day.
[43:41.000 --> 43:47.000]  The Real Red Pill Plus is a powerful investment into the future of your mind and body.
[43:47.000 --> 43:50.000]  Don't miss out on the all new upgrade to your favorite product.
[43:50.000 --> 43:55.000]  Head to infowarstore.com and get the Real Red Pill Plus today.
[43:55.000 --> 43:59.000]  Get Real Red Pill Plus now at 50% off.
[44:26.000 --> 44:33.000]  I want to thank everybody that has, but we've got the best fluoride free toothpaste with colloidal silver and with high quality atomic iodine in it.
[44:33.000 --> 44:35.000]  You cannot beat that for children and adults.
[44:35.000 --> 44:38.000]  We've got the best mouthwash designed by Dr. Jones.
[44:38.000 --> 44:41.000]  That's my dad with colloidal silver and iodine as well.
[44:41.000 --> 44:45.000]  Infowarslife.com or triple A2533139.
[44:45.000 --> 44:49.000]  And your purchase of the products stands with us, stands with America, stands with Trump,
[44:49.000 --> 44:52.000]  stands against the globalists and their satanic pedophile armies.
[44:52.000 --> 44:57.000]  And that's who they are and they know we know who they are and they're coming back against us so we need your support.
[45:23.000 --> 45:29.000]  Ancient Mayan knowledge is paired with the natural fertility of the land to generate the world's finest coffee beans.
[45:29.000 --> 45:34.000]  Carefully harvested and free of toxic chemicals used in big agricultural productions,
[45:34.000 --> 45:41.000]  Patriot blend coffees have a smooth, bold flavor with great depth to give you just what you need in the morning.
[45:41.000 --> 45:45.000]  You can even choose to start your morning healthier with the immune support blend,
[45:45.000 --> 45:49.000]  infused with a powerful blend to support your immune response and stamina.
[45:49.000 --> 45:52.000]  It's time to take care of your morning routine.
[45:52.000 --> 46:21.000]  Get a bag of Patriot blend coffee to support the show while enhancing your morning routine at infowarstore.com.
[46:22.000 --> 46:27.000]  Our pure turmeric extract plus peppering from black pepper makes for optimal absorption
[46:27.000 --> 46:33.000]  to help boost and support your flexibility, mobility, joint function, immune system and so much more.
[46:33.000 --> 46:38.000]  Regular turmeric root from the store only contains 1-5% of active ingredients,
[46:38.000 --> 46:43.000]  but our turmeric root extract contains over 95% of the active ingredients.
[46:43.000 --> 46:50.000]  Bodies combines turmeric with organic herbs such as spearmint, sage, lemon balm and thyme
[46:50.000 --> 46:53.000]  to work synergistically for full body support.
[46:53.000 --> 47:03.000]  Try bodies today at infowarslife.com or call us at 1-88-253-3139.
[47:03.000 --> 47:11.000]  You're listening to the Alex Jones Show.
[47:11.000 --> 47:23.000]  But the word is already is that they're going to grab these episodes because there's this big awakening already happening.
[47:23.000 --> 47:29.000]  It hit a catalyst in Morocco a few months ago and then now it chain reaction into this.
[47:29.000 --> 47:31.000]  It's all happening everywhere across the world.
[47:31.000 --> 47:37.000]  But as these prominent people begin to wake up and go with humanity and go with life and go with pro-human,
[47:37.000 --> 47:43.000]  there's an absolute panic by the globalists going on in there trying to send a message by going after Bourdain.
[47:43.000 --> 47:46.000]  You can clearly see that the threat in everybody else.
[47:46.000 --> 47:48.000]  We'll be right back on the other side of this break.
[47:48.000 --> 47:52.000]  This is an emergency global transmission newswords.com.
[47:52.000 --> 47:53.000]  I'm Alex Jones.
[47:53.000 --> 47:57.000]  We will continue to go in through and beyond no matter what the cost may be.
[47:57.000 --> 48:00.000]  We'll go on to the end to quote Winston Churchill.
[48:00.000 --> 48:06.000]  Ladies and gentlemen, thank you so much for joining us on this live global Friday transmission.
[48:06.000 --> 48:15.000]  Anthony Bourdain was one of the number one hosts in the world.
[48:15.000 --> 48:18.000]  The only success CNN had, he was branching out.
[48:18.000 --> 48:22.000]  He was planning to do programs on child trafficking, human sex trafficking.
[48:22.000 --> 48:24.000]  He had become best friends with Elon Musk.
[48:24.000 --> 48:33.000]  He had spent close to a week in Morocco two months ago at a private home with a scientific research facility.
[48:33.000 --> 48:38.000]  And we have the 11 minute 52nd clip that they want cut out.
[48:38.000 --> 48:40.000]  We're able to bring that to you.
[48:40.000 --> 48:44.000]  It's been offered to us, but we're not going to air that here at this point.
[48:44.000 --> 48:47.000]  The CNN or anybody says we're lying about this.
[48:47.000 --> 48:49.000]  We'll drop the hammer on you.
[48:49.000 --> 48:50.000]  I won't drop the hammer on you.
[48:50.000 --> 48:52.000]  Somebody's going to drop the hammer on you.
[48:52.000 --> 48:54.000]  They didn't want this clip to come out.
[48:54.000 --> 48:56.000]  They didn't want this information to come out.
[48:56.000 --> 48:58.000]  He was calling for a global awakening.
[48:58.000 --> 49:01.000]  He was understanding that Democrats are actually pro-war.
[49:01.000 --> 49:04.000]  They've been funding ISIS and Al Qaeda.
[49:04.000 --> 49:08.000]  He understood that the Republican establishment was just as bad as well.
[49:08.000 --> 49:11.000]  And that all these people claiming they were liberals weren't really liberals.
[49:11.000 --> 49:14.000]  And that Trump had a bigger plan, a new Renaissance plan.
[49:14.000 --> 49:17.000]  And Elon Musk had convinced him of this.
[49:17.000 --> 49:22.000]  And so Bourdain was preparing, just like Kanye West and just like Kim Kardashian,
[49:22.000 --> 49:24.000]  to begin to reach out to Trump.
[49:24.000 --> 49:29.000]  It's like she came to the White House last week on getting black people out of prison
[49:29.000 --> 49:35.000]  who were given racist sentences because of what color they were.
[49:35.000 --> 49:39.000]  She had the perfect way for her to reach out and show that Trump's good and have him
[49:39.000 --> 49:43.000]  move towards getting those laws changed, which he's now announced.
[49:43.000 --> 49:47.000]  The Clintons got it passed in 94 saying blacks were animals
[49:47.000 --> 49:49.000]  and it needed to be made to heal like dogs.
[49:49.000 --> 49:50.000]  Remember that?
[49:50.000 --> 49:52.000]  Well, Trump thinks that's wrong.
[49:52.000 --> 49:56.000]  And so all this was about to happen.
[49:56.000 --> 49:58.000]  And Bourdain was aware of what was happening.
[49:58.000 --> 49:59.000]  And the Clintons were failing.
[49:59.000 --> 50:00.000]  They were falling.
[50:00.000 --> 50:02.000]  He was starting to come out and criticizing Hillary.
[50:02.000 --> 50:07.000]  He was starting to come out and criticize others like Weinstein.
[50:07.000 --> 50:11.000]  And he was about to become not a conservative, not even a nationalist.
[50:11.000 --> 50:14.000]  He's a true international guy, but in a good sense.
[50:14.000 --> 50:16.000]  He really wants, he wanted peace and love.
[50:16.000 --> 50:18.000]  He's spoken out against Kissinger.
[50:18.000 --> 50:19.000]  He's spoken out against you.
[50:19.000 --> 50:22.000]  He said, I'll serve him locked to Trump back when he was buying in the bull.
[50:22.000 --> 50:29.000]  But he was getting ready via, via what was happening with Elon Musk to be a real
[50:29.000 --> 50:31.000]  leader and to go meet with Trump and to go public.
[50:31.000 --> 50:33.000]  That's really the big news here.
[50:33.000 --> 50:37.000]  And now he's died mysteriously in a hotel room, a crappy hotel room.
[50:37.000 --> 50:38.000]  Right when he just got remarried.
[50:38.000 --> 50:40.000]  Right when he has a nine year old daughter that's so happy.
[50:40.000 --> 50:44.000]  Right when he told Elon Musk and others that he's the happiest he's ever been.
[50:44.000 --> 50:47.000]  This magically happens ladies and gentlemen.
[50:47.000 --> 50:52.000]  The only guy, only guy successful in their entire system.
[50:52.000 --> 50:56.000]  And everybody liked him because he had a little bit of humanity to him,
[50:56.000 --> 50:59.000]  compared to somebody like Wolf Blitzer, somebody like Brian Stelter,
[50:59.000 --> 51:00.000]  somebody like Hillary Clinton.
[51:00.000 --> 51:02.000]  Now he's dead.
[51:02.000 --> 51:03.000]  Now he's dead.
[51:03.000 --> 51:08.000]  And they just say, boom, suicide, boom, move on.
[51:08.000 --> 51:09.000]  Boom, that's it.
[51:09.000 --> 51:10.000]  Just don't look at it.
[51:10.000 --> 51:12.000]  Don't have a discussion, nothing to see here.
[51:12.000 --> 51:13.000]  That is ridiculous.
[51:13.000 --> 51:18.000]  I have, from SpaceX sources, as I'm sitting there,
[51:18.000 --> 51:21.000]  ready to go have breakfast with my children,
[51:21.000 --> 51:24.000]  because I'm six hours ahead from the East Coast,
[51:24.000 --> 51:26.000]  five hours ahead from Central,
[51:26.000 --> 51:29.000]  three hours ahead from Pacific,
[51:29.000 --> 51:31.000]  four hours ahead from Mountain.
[51:31.000 --> 51:34.000]  It's 903 here where I'm at 904.
[51:34.000 --> 51:37.000]  And when I come back, I'm just going to read these notes to you.
[51:37.000 --> 51:42.000]  I wrote, I've got one, two, three, four, five, six.
[51:42.000 --> 51:44.000]  I see seven pages of notes.
[51:44.000 --> 51:46.000]  One of them is a coaster.
[51:46.000 --> 51:50.000]  And it says, culture will speak from the dead.
[51:50.000 --> 51:53.000]  I dare them to say it's open and shut.
[51:53.000 --> 51:56.000]  Also, they said it was critical to play the clip,
[51:56.000 --> 51:57.000]  but I never told you guys to do this,
[51:57.000 --> 51:59.000]  of Bourdain and Obama in Vietnam.
[51:59.000 --> 52:01.000]  When they first sit down and talk,
[52:01.000 --> 52:03.000]  how much Bourdain didn't like Obama,
[52:03.000 --> 52:05.000]  and some of the things he told Elon Musk,
[52:05.000 --> 52:08.000]  they knew that Bourdain knew things
[52:08.000 --> 52:11.000]  that he wasn't supposed to know.
[52:11.000 --> 52:14.000]  And they didn't even tell me everything.
[52:14.000 --> 52:15.000]  This is super dangerous.
[52:15.000 --> 52:17.000]  I'm risking my life even telling you this stuff,
[52:17.000 --> 52:19.000]  and that we have the clue.
[52:19.000 --> 52:21.000]  Go ahead and try me CNN.
[52:21.000 --> 52:23.000]  We'll drop the hammer on you so fast.
[52:23.000 --> 52:25.000]  We'll be back stay with us.
[52:25.000 --> 52:28.000]  The strange days are going to try to destroy us.
[52:28.000 --> 52:30.000]  The question is, will we let that happen?
[52:30.000 --> 52:33.000]  Dr. Nick Begich, a scientist, researcher,
[52:33.000 --> 52:35.000]  major native lands leader,
[52:35.000 --> 52:37.000]  his brother, former U.S. senator,
[52:37.000 --> 52:39.000]  his father, famous congressman,
[52:39.000 --> 52:41.000]  so much for the civil rights movement,
[52:41.000 --> 52:43.000]  Moore, who died very mysteriously.
[52:43.000 --> 52:44.000]  He's about to take over.
[52:44.000 --> 52:46.000]  I wanted to just let you know that
[52:46.000 --> 52:49.000]  I'm on vacation with family.
[52:49.000 --> 52:51.000]  I got a very desperate call from one of the producers
[52:51.000 --> 52:56.000]  at one of our top Pentagon SpaceX sources,
[52:56.000 --> 52:58.000]  had called us,
[52:58.000 --> 53:00.000]  and that he had already told me
[53:00.000 --> 53:03.000]  that he'd take a special report in Morocco
[53:03.000 --> 53:08.000]  with Elon Musk that it was with Anthony Bourdain.
[53:08.000 --> 53:10.000]  But at six o'clock in the morning then when this happened,
[53:10.000 --> 53:12.000]  it's nine o'clock now when I first got this news,
[53:12.000 --> 53:14.000]  and then it all started to click.
[53:14.000 --> 53:17.000]  So I called our source back and he went over the whole thing.
[53:17.000 --> 53:18.000]  He was there.
[53:18.000 --> 53:20.000]  It was obviously, they know who it is on the inside.
[53:20.000 --> 53:22.000]  It was at his home with his family,
[53:22.000 --> 53:25.000]  and there in Morocco with their big facility.
[53:25.000 --> 53:27.000]  And of course, when it comes out who he is,
[53:27.000 --> 53:30.000]  by those who basically runs Morocco.
[53:30.000 --> 53:33.000]  And so you've got Elon Musk
[53:33.000 --> 53:35.000]  and you've got Anthony Bourdain
[53:35.000 --> 53:39.000]  at this big facility overlooking the vista on the ocean.
[53:39.000 --> 53:41.000]  And they spent days out there,
[53:41.000 --> 53:44.000]  and Musk is already really good friends with,
[53:44.000 --> 53:47.000]  or was good friends with Mr. Bourdain.
[53:47.000 --> 53:49.000]  And of course, Musk is telling you everything.
[53:49.000 --> 53:51.000]  I tell you, world government, AI takeover.
[53:51.000 --> 53:52.000]  We got to stop it.
[53:52.000 --> 53:54.000]  They plan to get rid of humans.
[53:54.000 --> 53:55.000]  The decision's been made.
[53:55.000 --> 53:57.000]  We got to struggle against it.
[53:57.000 --> 53:58.000]  The media's lying to you.
[53:58.000 --> 53:59.000]  They're your enemies.
[53:59.000 --> 54:01.000]  They want to stop human progress.
[54:01.000 --> 54:04.000]  And so let me just read to you the notes
[54:04.000 --> 54:05.000]  that I was given.
[54:05.000 --> 54:07.000]  And again, I was already told this months ago.
[54:07.000 --> 54:09.000]  Also, Ashton Kutcher.
[54:09.000 --> 54:12.000]  He was about to go public in all of this.
[54:12.000 --> 54:16.000]  I was told a month before she went to the line house
[54:16.000 --> 54:19.000]  about the same source that they call it...
[54:22.000 --> 54:24.000]  Well, they have several terms for it,
[54:24.000 --> 54:28.000]  but full spectrum reality.
[54:28.000 --> 54:30.000]  They have a lot of terms.
[54:30.000 --> 54:32.000]  Full spectrum drama.
[54:32.000 --> 54:35.000]  Where Trump and others in the Patriot leadership
[54:35.000 --> 54:38.000]  recruited Kanye five years ago
[54:38.000 --> 54:40.000]  when they decided to make this move.
[54:40.000 --> 54:42.000]  The military was going to carry out a coup against Obama
[54:42.000 --> 54:44.000]  because he was signing us over the Chinese.
[54:44.000 --> 54:46.000]  They did the Office of Personnel Management Act,
[54:46.000 --> 54:48.000]  21 million names of all our spies,
[54:48.000 --> 54:50.000]  all our people, all their families.
[54:50.000 --> 54:51.000]  The keys of the kingdom.
[54:51.000 --> 54:52.000]  Apple's now moved there,
[54:52.000 --> 54:54.000]  giving them all the keys to all Apple users.
[54:54.000 --> 54:56.000]  You're a cloud code.
[54:56.000 --> 54:57.000]  That's Reuters.
[54:57.000 --> 54:59.000]  I mean, we're already pretty much been taken over
[54:59.000 --> 55:00.000]  by the Chinese.
[55:00.000 --> 55:02.000]  They're not Hollywood.
[55:02.000 --> 55:04.000]  They're taken over the universities.
[55:04.000 --> 55:06.000]  I mean, it is mega level.
[55:06.000 --> 55:08.000]  The last dish effort was made with Trump.
[55:08.000 --> 55:10.000]  He reached out to Kanye.
[55:10.000 --> 55:12.000]  He reached out to Kim Kardashian.
[55:12.000 --> 55:14.000]  She was on the fence.
[55:14.000 --> 55:16.000]  Kanye went with it.
[55:16.000 --> 55:18.000]  That's why they locked him up in a mental institution
[55:18.000 --> 55:20.000]  about a year and a half ago.
[55:20.000 --> 55:22.000]  He was going to already launch this,
[55:22.000 --> 55:24.000]  but they had let him go.
[55:24.000 --> 55:26.000]  They did that whole act where they can say something's wrong with you
[55:26.000 --> 55:28.000]  and then grab you for a few days.
[55:28.000 --> 55:30.000]  He was in there, but he powered through it.
[55:30.000 --> 55:32.000]  He's a great hero.
[55:32.000 --> 55:34.000]  He has managed everything to lose.
[55:34.000 --> 55:36.000]  He stood up because he has everything to gain.
[55:36.000 --> 55:38.000]  And so all of that unfolded.
[55:38.000 --> 55:40.000]  And so,
[55:40.000 --> 55:42.000]  you've got SpaceX.
[55:42.000 --> 55:44.000]  You've got Elon Musk that represents kind of the good
[55:44.000 --> 55:46.000]  faction in NASA that wants to have a pro-human future.
[55:46.000 --> 55:48.000]  He doesn't want to suppress a lot of social technologies.
[55:48.000 --> 55:50.000]  I told you at the inauguration before Trump spoke
[55:50.000 --> 55:52.000]  that he would talk about unlocking the secrets of the universe.
[55:52.000 --> 55:54.000]  And that he would call for the secret medical technologies.
[55:54.000 --> 55:56.000]  They've been suppressed.
[55:56.000 --> 55:58.000]  He's not moving forward with that.
[55:58.000 --> 56:00.000]  I'm on record because I have the sources,
[56:00.000 --> 56:02.000]  but I want to be honest with you.
[56:02.000 --> 56:04.000]  It's metaphysical.
[56:04.000 --> 56:06.000]  I have sources, but we all know already.
[56:06.000 --> 56:08.000]  So we're already finishing each other's sentences.
[56:08.000 --> 56:10.000]  That's why they hate us.
[56:10.000 --> 56:12.000]  We are plugged in to the internet
[56:12.000 --> 56:14.000]  of the human mind,
[56:14.000 --> 56:16.000]  the human destiny, the human will,
[56:16.000 --> 56:18.000]  what humanity wants.
[56:18.000 --> 56:20.000]  And so, yes, we scientifically look at stuff.
[56:20.000 --> 56:22.000]  Yes, we talk to each other.
[56:22.000 --> 56:24.000]  Yes, but we're already synced up,
[56:24.000 --> 56:26.000]  just like Bill Martin said last Friday.
[56:26.000 --> 56:28.000]  Alex Jones and Donald Trump are soulmates.
[56:28.000 --> 56:30.000]  And it's true, we're all soulmates.
[56:30.000 --> 56:32.000]  There's billions of people that are soulmates
[56:32.000 --> 56:34.000]  with black skin, with white skin, with red skin,
[56:34.000 --> 56:36.000]  with yellow skin, with pink skin,
[56:36.000 --> 56:38.000]  with sunburn skin.
[56:38.000 --> 56:40.000]  We are all together in this big quest
[56:40.000 --> 56:42.000]  and this love of humanity, the love of our ancestors,
[56:42.000 --> 56:44.000]  the love of the Great Quest.
[56:44.000 --> 56:46.000]  And there's people that want to satanically block that
[56:46.000 --> 56:48.000]  and still the future, and it's not happening.
[56:48.000 --> 56:50.000]  So I'm going to go to Dr. Nick Begich after the break
[56:50.000 --> 56:52.000]  or just a minute, but let me just give you these notes.
[56:52.000 --> 56:54.000]  Culture will speak
[56:54.000 --> 56:56.000]  from the dead.
[56:56.000 --> 56:58.000]  They've opened and shut, said that he died.
[56:58.000 --> 57:00.000]  It's preposterous.
[57:00.000 --> 57:02.000]  Mordain was not having any of it.
[57:02.000 --> 57:04.000]  He was ready to stand against it.
[57:04.000 --> 57:06.000]  He was finally convinced by Elon Musk
[57:06.000 --> 57:08.000]  of what was really going on
[57:08.000 --> 57:10.000]  and shown the proof.
[57:10.000 --> 57:12.000]  The proof of the child trafficking
[57:12.000 --> 57:14.000]  and things that he'd seen himself
[57:14.000 --> 57:16.000]  that didn't put Tudor together
[57:16.000 --> 57:18.000]  is what made him have nightmares
[57:18.000 --> 57:20.000]  and basically break down.
[57:20.000 --> 57:22.000]  He came out of the depression
[57:22.000 --> 57:24.000]  and wouldn't talk about what he was going to do except saying
[57:24.000 --> 57:26.000]  he liked what Kanye had done
[57:26.000 --> 57:28.000]  and was planning to go public
[57:28.000 --> 57:30.000]  and wanted to perhaps even meet with Trump
[57:30.000 --> 57:32.000]  publicly to say we should have unity and world peace.
[57:32.000 --> 57:34.000]  He liked the fact that he,
[57:34.000 --> 57:36.000]  that Trump wants to work with Russia
[57:36.000 --> 57:38.000]  and the fact that he understood that
[57:38.000 --> 57:40.000]  Mordain understood that that was all made up.
[57:40.000 --> 57:42.000]  Mordain didn't like the pressure.
[57:42.000 --> 57:44.000]  He was put under by CNN
[57:44.000 --> 57:46.000]  to come out.
[57:46.000 --> 57:51.000]  Both is quick and too basic.
