[00:00:04.375 --> 00:00:05.997]  Here we are.
[01:08:11.516 --> 01:08:13.819]  Not Rand, Bland.
[01:08:13.819 --> 01:08:20.066]  So when you see THX113A, and you see Dr. Strangelove, they're making jokes about fluoride in the water.
[01:08:20.066 --> 01:08:21.708]  This ain't a frickin' joke!
[01:08:24.295 --> 01:08:30.438]  It's an underground global government, literally and figuratively, that is a breakaway civilization.
[01:08:30.438 --> 01:08:33.780]  We'll play the trailer next segment.
[01:08:33.780 --> 01:08:37.142]  And then Rob was pointing out during the break and I said, wow, that's pretty amazing.
[01:08:37.142 --> 01:08:38.542]  Let's get those clips together.
[01:08:38.542 --> 01:08:41.304]  How they're showing a camera shot.
[01:08:43.530 --> 01:08:47.974]  In Ottawa, of the Capitol building, because on the back side it's like a giant park.
[01:08:47.974 --> 01:08:49.956]  An area where cars can't park.
[01:08:49.956 --> 01:08:55.862]  So he was showing me that they're showing a camera shot from the Parliament, no cars, no trucks.
[01:08:55.862 --> 01:08:56.883]  Saying, look, no one's here.
[01:08:56.883 --> 01:09:01.207]  Because they're all in the city on the other side.
[01:09:01.207 --> 01:09:03.409]  And upwards of a million are now arriving.
[01:09:05.020 --> 01:09:09.661]  So again, they had over 2 million people for the March for Life.
[01:09:09.661 --> 01:09:10.881]  No coverage.
[01:09:10.881 --> 01:09:15.843]  They had at least 300,000 for the anti-vax tyranny operation.
[01:09:15.843 --> 01:09:18.143]  Yeah, there it is.
[01:09:18.143 --> 01:09:19.584]  All of that.
[01:09:19.584 --> 01:09:30.326]  So they're saying, here's a live cam shot, here's what's going on at the Parliament, and then they show you the back of it so you can't see what's going on.
[01:09:30.326 --> 01:09:32.687]  That's how the deception operates.
[01:09:35.660 --> 01:09:36.783]  Oh look, no one's there.
[01:09:36.783 --> 01:09:38.468]  Ha-ha, Trudeau's staying in his house.
[01:09:38.468 --> 01:09:39.831]  He's not coming out for five days.
[01:09:39.831 --> 01:09:40.473]  He has COVID.
[01:09:42.182 --> 01:09:43.522]  That's coming up next segment as well.
[01:09:43.522 --> 01:09:45.363]  But let's get to the really big news.
[01:09:45.363 --> 01:09:59.888]  And then I did a very important interview with General Flynn on the danger of nuclear war and how serious this is and how he believes they're getting ready to stage a false flag as a crackdown on the American people and basically declare a civil emergency, which is admitted.
[01:09:59.888 --> 01:10:02.969]  So that's all coming up in the fourth hour today.
[01:10:02.969 --> 01:10:04.670]  But let's just look at some of these headlines.
[01:10:04.670 --> 01:10:06.610]  This is NPR.
[01:10:06.610 --> 01:10:08.211]  This just came out a few minutes ago.
[01:10:09.366 --> 01:10:10.528]  And I don't just believe NPR.
[01:10:10.528 --> 01:10:11.330]  We went and checked this.
[01:10:11.330 --> 01:10:12.212]  It's true.
[01:10:12.212 --> 01:10:14.075]  China's ambassador to the U.S.
[01:10:14.075 --> 01:10:18.103]  warns of military conflict over Taiwan.
[01:10:19.332 --> 01:10:21.233]  The Globalists have put Biden in to be weak.
[01:10:21.233 --> 01:10:28.739]  They put Biden in to be compromised by the Chinese and the Russians so that it encourages them to start a war, because Biden didn't really run in the show.
[01:10:28.739 --> 01:10:31.061]  The Globalists won a war with Russia and China.
[01:10:31.061 --> 01:10:40.428]  They're luring them in, just as Joel Skousen predicted 15 years ago, that by the year 2022, 2023, 2024, they would lure us into this war.
[01:10:40.428 --> 01:10:42.430]  China's ambassador to the U.S.
[01:10:42.430 --> 01:10:44.551]  warns of military conflict.
[01:10:44.551 --> 01:10:48.775]  Veteran Chinese diplomat, Qin Gang, China's ambassador,
[01:10:50.305 --> 01:10:51.385]  To the U.S.
[01:10:51.385 --> 01:11:00.289]  speaks with NPR's Steve Inskeep at Quinn's official residence in Washington, D.C.
[01:11:00.289 --> 01:11:01.249]  Interviewed him yesterday.
[01:11:01.249 --> 01:11:02.369]  They aired the interview today.
[01:11:02.369 --> 01:11:14.474]  And in this one-on-one interview, since assuming his post in Washington last July, Quinn Gang accused Taiwan of walking down the road towards independence.
[01:11:15.566 --> 01:11:26.395]  And added, if the Taiwan authorities in Multnomah State keep going down the road for independence, it will most likely involve China, United States, and two big countries in a military conflict.
[01:11:26.395 --> 01:11:27.957]  You can hear the whole interview.
[01:11:27.957 --> 01:11:29.858]  Let's grab that and air that later next hour.
[01:11:29.858 --> 01:11:32.280]  That's pretty big.
[01:11:32.280 --> 01:11:33.201]  Then you've got this.
[01:11:33.201 --> 01:11:40.027]  Biden warns Ukraine President Zelensky, prepare for impact, Russian invasion virtually certain.
[01:11:40.805 --> 01:11:46.709]  Fueling tensions, CNN claims Biden told Zelensky Russian invasion imminent, White House denies it.
[01:11:46.709 --> 01:11:58.997]  I mean this is just a leaking disinformation operation and basically Biden is just a lever of power that all these different globalist groups are battling over.
[01:11:58.997 --> 01:12:08.124]  So one day it's the Soros arm driving it, another day it's the Justice Department arm driving it, another day it's the Atlantic Monthly crew, and then it's the New York Times crew, and then it's the
[01:12:09.332 --> 01:12:18.400]  Jeff Bezos operation, getting what they want, reminds me of the hags in Greek mythology that don't have an eye.
[01:12:18.400 --> 01:12:21.202]  They pass the one eye around and fight over it.
[01:12:21.202 --> 01:12:26.226]  And then they're literally, I mean, I want to explain something to the DC crowd.
[01:12:26.226 --> 01:12:27.707]  I don't want political power.
[01:12:27.707 --> 01:12:28.968]  I don't want Hollywood power.
[01:12:28.968 --> 01:12:30.269]  I want away from you.
[01:12:30.269 --> 01:12:32.831]  I want you to leave us alone.
[01:12:32.831 --> 01:12:38.036]  And that's all the Midwest and Texas and rural areas across this country want is to be left alone by you.
[01:12:40.526 --> 01:12:43.669]  But you see, they're not going to leave us alone.
[01:12:43.669 --> 01:12:44.750]  They're coming for our children.
[01:12:44.750 --> 01:12:46.091]  They've already come for our children.
[01:12:46.091 --> 01:12:47.212]  They're coming for our very lives.
[01:12:47.212 --> 01:12:48.313]  They're coming for our jobs.
[01:12:48.313 --> 01:12:54.078]  They're telling us that we are non-essential, ladies and gentlemen.
[01:12:54.078 --> 01:12:59.643]  So we just showed you the dot cams that they're showing on TV because they have a fence up.
[01:12:59.643 --> 01:13:07.010]  They've put up about 150 yards in front of the Parliament in Ottawa, Canada, their capital.
[01:13:07.717 --> 01:13:10.022]  And then they're just showing it and saying, look, no one's there.
[01:13:10.022 --> 01:13:10.623]  That's on the news.
[01:13:10.623 --> 01:13:11.886]  They're like, no one is here.
[01:13:11.886 --> 01:13:13.750]  No one showed up, despite what they claim.
[01:13:13.750 --> 01:13:17.037]  And then actually the whole city is just full of trucks and people everywhere.
[01:13:18.516 --> 01:13:29.240]  They're saying they're going to occupy there until the lockdowns and all the tyranny end, and they need to beat the drum over and over and over again that it's tyranny, that it's illegitimate, that it's a great reset takeover.
[01:13:29.240 --> 01:13:33.962]  In fact, I don't mean to give you guys a heart attack here as a crew, you guys did such a great job.
[01:13:33.962 --> 01:13:47.388]  Will you guys pull up what we aired yesterday, please, of Klaus Schwab, or maybe it was two days ago, bragging on C-SPAN that he controls Trudeau, that he controls Canada, that he controls half the cabinets, that they've penetrated the cabinets, and that they are
[01:13:47.828 --> 01:13:50.909]  Following the belief of the Great Reset?
[01:13:50.909 --> 01:14:03.113]  Because that's what this is about, is Trudeau's controlled by a multinational criminal conglomerate that has sold us out to China and others and is now trying to start a war with Russia.
[01:14:03.113 --> 01:14:04.613]  Here is the clip, ladies and gentlemen.
[01:14:06.690 --> 01:14:18.278]  When I mention our names like Mrs. Merkel, even Vladimir Putin and so on, they all have been young global leaders of the World Economic Forum.
[01:14:18.278 --> 01:14:30.326]  But what we are very proud of now is the young generation like Prime Minister Trudeau, President of Argentina and so on,
[01:14:31.107 --> 01:14:35.895]  So, yesterday I was at a reception for Prime Minister Trudeau and I
[01:14:42.011 --> 01:14:54.056]  We know that half of this cabinet, or even more half of this cabinet, are actually young global leaders of the world economy.
[01:14:54.056 --> 01:14:57.498]  And that's true in Argentina as well.
[01:14:57.498 --> 01:15:08.443]  It's true in Argentina and it's true in France now, with the president, with the young global leader, but what is important
[01:15:10.342 --> 01:15:13.785]  All right, ladies and gentlemen, we're going to go to break and come back.
[01:15:13.785 --> 01:15:17.828]  And there's been some big developments with Russia and China that are just now breaking.
[01:15:17.828 --> 01:15:21.350]  We'll get that information for you on the other side.
[01:15:21.350 --> 01:15:26.714]  And we'll get more into how the media manages perceptions and won't show all the big crowds out there.
[01:15:26.714 --> 01:15:29.436]  But corporate media has almost no viewers now.
[01:15:29.436 --> 01:15:31.258]  And Independent has massive views.
[01:15:31.258 --> 01:15:35.741]  And no matter who they take off, Alex Jones, Dan Bongino or Joe Rogan,
[01:15:36.414 --> 01:15:45.745]  Just more people than fill the shoes and become massive overnight because folks are simply looking for populist information and that's why the tyrants will fail.
[01:15:45.745 --> 01:15:55.337]  But instead of just cutting the heads off of the Hydra politically, we've got to go in and wipe out the globalists politically at the heart of the Bilderberg Group and their public arm, the Davos Group.
[01:15:55.337 --> 01:15:56.338]  Enemies of humanity.
[01:15:59.480 --> 01:16:07.162]  Sleepless nights seem to be a lot more common these days, with everything that's going on both at home and the world at large.
[01:16:07.162 --> 01:16:15.704]  If you're having trouble getting to that deep sleep we could all use more of, our new sleep support formula, Down and Out, is just the thing.
[01:16:15.704 --> 01:16:22.066]  It's our new, faster-absorbing liquid formula that is specifically designed to help you get the shut-eye you deserve.
[01:16:22.717 --> 01:16:33.166]  Formulated to improve upon our best-selling product, Knockout, with Down and Out, now the herbs and melatonin packed inside are extracted directly into the glycerin solution.
[01:16:33.166 --> 01:16:37.971]  So the ingredients are already dissolved into the formula before you even take it.
[01:16:37.971 --> 01:16:41.674]  One of the other sleep support herbs included is the Passionflower.
[01:16:41.914 --> 01:16:48.536]  Which was traditionally used by Native Americans like the Cherokees, who used it for its relaxing qualities.
[01:16:48.536 --> 01:16:54.717]  Be sure to take this product when you are completely ready for sleep, because you will be down and out.
[01:16:54.717 --> 01:16:58.298]  Selling out now at InfoWarsStore.com.
[01:16:58.298 --> 01:17:03.280]  It's hard to believe January 2022 is almost over.
[01:17:03.280 --> 01:17:07.141]  And that means our big New Year's special is about to end.
[01:17:07.141 --> 01:17:10.862]  The highest quality, whole food based, multivitamin.
[01:17:11.702 --> 01:17:25.662]  And our best-selling Vitamin C with Zinc and Rosehips formula that absolutely turbo charges your immune system are both on sale for just a few more days for 40% off at InfoWarsTore.com.
[01:17:25.662 --> 01:17:27.264]  There's a lot of other great products as well.
[01:17:27.725 --> 01:17:28.265]  We're good to go!
[01:17:51.252 --> 01:17:51.532]  I think.
[01:18:18.385 --> 01:18:25.594]  The rose hips contained within are a part of the rose flower just below the petals that contain the rose plant seeds.
[01:18:25.594 --> 01:18:35.907]  Natural chemicals found in the hips may even be helpful for a variety of health conditions, including those with osteoarthritis and for those with pain after surgery, studies have shown.
[01:18:36.307 --> 01:18:45.320]  As for vitamin C and zinc themselves, you probably already know that they play an important role in nutrition, immune defense, and the maintenance of your everyday health.
[01:18:45.320 --> 01:18:51.509]  It has been reported that intake of both is often inadequate, even in affluent populations like here in America.
[01:18:51.929 --> 01:18:58.557]  So next time you visit, be sure to check it out at InfowarsStore.com where we promise our rose hips don't lie.
[01:18:58.557 --> 01:19:01.420]  It's time to protect your privacy.
[01:19:01.420 --> 01:19:06.245]  It's time to come to grips with the fact that even though you don't have anything to hide, criminals
[01:19:06.806 --> 01:19:15.394]  Hackers, corporations, big tech, government are stealing all of your data and creating a map and a database of where you go and what you do.
[01:19:15.394 --> 01:19:19.838]  So in the future, under their globalist takeover, they can shut you down.
[01:19:19.838 --> 01:19:28.226]  Protecting your privacy, protecting your credit cards, protecting your bank accounts, protecting your photos, protecting everything that's on your phone is paramount.
[01:19:28.706 --> 01:19:31.448]  That's why everybody should visit InfoWarsTore.com.
[01:19:31.448 --> 01:19:40.254]  We're carrying a huge new line of very compliant, made-in-America products that have 100% reviews and are simply incredible.
[01:19:40.254 --> 01:19:41.154]  It's a 360 win.
[01:19:41.154 --> 01:19:47.098]  Protect your privacy and shop at InfoWars to support the overall InfoWars against the globalists.
[01:19:47.098 --> 01:19:48.900]  A true 360 win.
[01:19:48.900 --> 01:19:51.882]  Get your Faraday cages at InfoWarsTore.com.
[01:19:51.882 --> 01:19:52.982]  Check out the new line.
[01:19:52.982 --> 01:19:53.543]  It's amazing.
[01:20:00.123 --> 01:20:06.044]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones!
[01:20:30.044 --> 01:20:43.194]  All right, Roger Stone just sent me a message.
[01:20:43.194 --> 01:20:52.481]  I can't tell if this is on his getter or his telegram or what it is, because those sites pretty much look the same.
[01:20:52.481 --> 01:20:54.242]  They're all great sites.
[01:20:54.242 --> 01:20:56.884]  But Roger Stone sent me this message right here.
[01:20:56.884 --> 01:20:57.845]  We can do an overhead shot.
[01:20:58.951 --> 01:21:10.379]  And it says, I joined Alex Jones today at 1.30 PM Eastern time, that's next segment, to talk about the Trump endorsements and what is really happening in the Republican Party.
[01:21:10.379 --> 01:21:12.000]  And then he sent me this message.
[01:21:12.000 --> 01:21:23.007]  He says, this will be the most significant broadcast I've done on InfoWars since 2016.
[01:21:23.007 --> 01:21:25.929]  So get ready for this information next segment.
[01:21:29.346 --> 01:21:35.093]  I want to make a quick announcement here to the listeners and to the viewers.
[01:21:35.093 --> 01:21:48.309]  We are in such dangerous, perilous times in this world right now that it is so important for you to behave and act like, in my view, this could be the last show we ever do every day.
[01:21:49.241 --> 01:21:54.345]  And it can be the last time you're able to talk to your family across the country for a long period of time.
[01:21:54.345 --> 01:21:57.628]  It can be the last time you have electricity for a long time.
[01:21:57.628 --> 01:22:02.212]  It can be the last time you have food in your pantry.
[01:22:02.212 --> 01:22:04.874]  The last time you can go to the store.
[01:22:04.874 --> 01:22:09.879]  If you think the deadly vaccine is bad, if you think
[01:22:11.192 --> 01:22:13.894]  What you've seen so far is terrible.
[01:22:13.894 --> 01:22:25.082]  If you think the supply chain breakdowns and the open borders and the devalued currency and the inflation is bad and all the wars and rumors of wars, let me give you the bad news.
[01:22:25.082 --> 01:22:29.344]  You ain't seen nothing yet.
[01:22:29.344 --> 01:22:35.849]  And if we don't realize how much trouble we're in and if we don't get on our knees and pray to God and repent and ask for a reprieve,
[01:22:37.466 --> 01:22:44.735]  We're going to look back at 2020, 2021, 2022 as the good old days.
[01:22:44.735 --> 01:22:47.017]  I'm a person that's been ready for this for a long time.
[01:22:47.017 --> 01:22:48.859]  I'm a person that doesn't scare easily.
[01:22:48.859 --> 01:22:54.966]  And I can tell you, I'm shook up all the time right now.
[01:22:54.966 --> 01:22:56.128]  Because this is it.
[01:22:58.234 --> 01:23:02.476]  This is the fabled New World Order, World Government, Antichrist takeover.
[01:23:02.476 --> 01:23:18.245]  I'm not saying the Antichrist is here, I'm not saying it's about to happen next week, but all the pieces are being put in place, and the training wheels for it are being engaged in right now, and you go to these big churches, you hear nothing about this.
[01:23:18.245 --> 01:23:21.967]  Instead they ask you to check your QR code, make sure you got your vaccine passport to be there.
[01:23:23.547 --> 01:23:30.950]  They are nothing but induction systems or feeders, funnels into the belly of the beast.
[01:23:30.950 --> 01:23:32.571]  And I'm not judging these groups.
[01:23:32.571 --> 01:23:37.693]  I'm just telling you folks, it's time to get right with God right now.
[01:23:37.693 --> 01:23:39.814]  Big time.
[01:23:39.814 --> 01:23:48.418]  And it's also time for us to fight the hardest we ever had to spread the word and to get the word out and to warn people so they know what is going on.
[01:23:52.330 --> 01:23:54.451]  So, we need to build up our war chest.
[01:23:54.451 --> 01:23:56.772]  We don't need to be running on empty here in Infowars.
[01:23:56.772 --> 01:24:03.476]  We need to go strong into the future, with as much capital as we have, to operate as best we can.
[01:24:03.476 --> 01:24:18.483]  And, I gotta tell you, this could be the last chance you ever get to get these supplements, or to get this great fluoride-free toothpaste, or to get a book, or a film, or a t-shirt, or storable food, because the world's so dangerous, you can wake up just like that and the power's out, and we're at war with Russia.
[01:24:21.121 --> 01:24:23.762]  Because the globalists are going to cut our power off and say the Russians did it.
[01:24:23.762 --> 01:24:24.682]  They're all over the news.
[01:24:24.682 --> 01:24:26.162]  I told you years ago they do it.
[01:24:26.162 --> 01:24:27.662]  Saying the Russians are going to cut the U.S.
[01:24:27.662 --> 01:24:27.943]  power.
[01:24:27.943 --> 01:24:28.923]  Type it in.
[01:24:28.923 --> 01:24:31.143]  Pentagon warns Russia planning cyber attack.
[01:24:31.143 --> 01:24:35.164]  Pentagon warns Russia turned off the colonial pipeline.
[01:24:35.164 --> 01:24:36.084]  No they didn't.
[01:24:36.084 --> 01:24:37.265]  The globalists did.
[01:24:37.265 --> 01:24:39.325]  The globalists turned off the Keystone 2.
[01:24:39.325 --> 01:24:43.046]  The globalists just said we can't have any oil drilling in the Gulf.
[01:24:43.046 --> 01:24:44.786]  That's the Democratic Party.
[01:24:44.786 --> 01:24:46.387]  That's the New World Order.
[01:24:46.387 --> 01:24:47.587]  That's the eugenicists.
[01:24:47.587 --> 01:24:48.167]  They did it!
[01:24:51.167 --> 01:24:52.868]  And I'm not here defending Russia.
[01:24:52.868 --> 01:24:55.289]  If it was Russia doing all this, we could stop it easily.
[01:24:55.289 --> 01:24:56.150]  But we can't.
[01:24:56.150 --> 01:24:59.792]  Because we have an enemy within the gates that runs our system.
[01:24:59.792 --> 01:25:07.316]  And everybody that works for the system, that pretends like you're on the winning team, you're fools!
[01:25:07.316 --> 01:25:12.179]  You have thrown your birthright out the window, you've destroyed yourself, and there's still time for you to turn back.
[01:25:12.179 --> 01:25:14.020]  But I'm not going to talk to people that serve evil.
[01:25:15.134 --> 01:25:16.274]  Most of them are a lost cause.
[01:25:16.274 --> 01:25:20.356]  I'm talking to those of you that know what's going on and know how serious things are.
[01:25:20.356 --> 01:25:21.956]  You need to get your head straight.
[01:25:21.956 --> 01:25:37.280]  You need to get focused and get out of that fog and decide what you're going to do politically, spiritually, economically, culturally to not go along with this and not comply like the million people descending on Ottawa, Canada right now with caravans 50, 60, 70 miles long.
[01:25:41.986 --> 01:25:46.109]  Coming in from every major direction.
[01:25:46.109 --> 01:25:47.790]  Exposing the Great Reset.
[01:25:47.790 --> 01:25:49.311]  Exposing the New World Order.
[01:25:49.311 --> 01:25:53.153]  Exposing what's happening.
[01:25:53.153 --> 01:26:00.758]  So, I would go to InfoWarsTore.com and I would get these products and I would buy extra to have a backup.
[01:26:00.758 --> 01:26:02.199]  We're going to end the sale by Monday.
[01:26:02.199 --> 01:26:05.161]  Vitamin C Zinc with Rosehips.
[01:26:05.161 --> 01:26:07.843]  1100% of your Vitamin C. Very strong.
[01:26:07.843 --> 01:26:08.583]  Very organic.
[01:26:08.583 --> 01:26:09.664]  Very high quality.
[01:26:09.664 --> 01:26:11.205]  This is something everybody should be taking daily.
[01:26:12.362 --> 01:26:13.303]  It is.
[01:26:13.303 --> 01:26:14.103]  Forty percent off.
[01:26:14.103 --> 01:26:16.365]  Infowarsstore.com.
[01:26:16.365 --> 01:26:20.607]  Our whole food, not from whole foods, it means whole food, from food.
[01:26:20.607 --> 01:26:24.129]  Concentrated, real organic vitamins.
[01:26:24.129 --> 01:26:25.030]  Our multivitamin.
[01:26:25.030 --> 01:26:26.231]  Top of the line.
[01:26:26.231 --> 01:26:27.492]  Great price regularly.
[01:26:27.492 --> 01:26:28.712]  Forty percent off.
[01:26:28.712 --> 01:26:30.173]  Infowarsstore.com.
[01:26:30.173 --> 01:26:31.714]  Brain Force Plus.
[01:26:31.714 --> 01:26:33.355]  Forty percent off.
[01:26:33.355 --> 01:26:35.717]  That sale is going to end Monday as well.
[01:26:36.457 --> 01:26:41.603]  We're already sold out the majority of these products since they came back in.
[01:26:41.603 --> 01:26:49.932]  I want to thank you all for your support, but now is the time to boost your immune system, to boost your body's natural defenses, and to fund the Info War.
[01:26:49.932 --> 01:26:51.594]  We have other great products like our
[01:26:52.623 --> 01:27:01.308]  New, updated, improved, even higher quality, concentrated bone broth with chaga mushroom and bee pollen and really strong, great turmeric.
[01:27:01.308 --> 01:27:06.931]  Can't do better for your whole body, your joints, your stamina, your libido, your immune system.
[01:27:06.931 --> 01:27:08.031]  It simply is amazing.
[01:27:08.031 --> 01:27:14.835]  I mix it with protein powder and take it as a meal replacement and it feels so good.
[01:27:14.835 --> 01:27:17.356]  It makes my joints that hurt feel so much better.
[01:27:17.356 --> 01:27:20.098]  I ask myself, why do you forget and not take this every day?
[01:27:21.363 --> 01:27:25.805]  So it's available at InfoWareStore.com, and whatever you see there is ready to ship to you.
[01:27:25.805 --> 01:27:30.767]  And finally, 25% off all storable food at InfoWareStore.com.
[01:27:30.767 --> 01:27:34.709]  That's not been done since 2018.
[01:27:34.709 --> 01:27:42.332]  MyPatriot's the biggest food supplier of storable food in the country because they have quality, and they ship it to you quickly, and they are Patriots, and it's a really good price.
[01:27:43.376 --> 01:27:45.297]  Well, they bought a massive amount of food.
[01:27:45.297 --> 01:27:50.880]  So unlike others that are running out of food, they bought a massive amount and they're passing that savings on to you.
[01:27:50.880 --> 01:27:54.041]  This hasn't been done since 2018.
[01:27:54.041 --> 01:27:57.083]  25% off on InfoWars Life Select.
[01:27:57.083 --> 01:27:59.184]  And that's just the name of it, our private label of it.
[01:27:59.184 --> 01:28:00.544]  It's their whole catalog.
[01:28:00.544 --> 01:28:02.625]  It's really Ready Hour is the name of it.
[01:28:02.625 --> 01:28:03.986]  People think it's Select Foods.
[01:28:03.986 --> 01:28:05.807]  No, it's their whole line of foods.
[01:28:06.627 --> 01:28:08.868]  I came up with the name InfoWars Select like five years ago.
[01:28:08.868 --> 01:28:10.708]  We should change the name because it confuses people.
[01:28:10.708 --> 01:28:11.808]  It's their entire line of food.
[01:28:11.808 --> 01:28:12.768]  It's their newest food.
[01:28:12.768 --> 01:28:13.449]  It's their best food.
[01:28:13.449 --> 01:28:14.929]  It's their premium food.
[01:28:14.929 --> 01:28:24.391]  And people buy so much from us at their big factories, they wait until one day a week and then process all our food, package it, and ship it to you in one day.
[01:28:24.391 --> 01:28:33.653]  So you'll order it and a week or so will go by and then they ship it to you because the whole factory line, I've been there when they've done it in Utah, then they run the whole line right there fresh right to you.
[01:28:34.133 --> 01:28:39.737]  So, 25% off InfoWarsTore.com or AAA-253-3139.
[01:28:39.737 --> 01:28:43.540]  And that keeps us on air and it gets you prepared and ready.
[01:28:43.540 --> 01:28:44.621]  A true 360 win.
[01:28:44.621 --> 01:28:51.366]  Alright, Roger Stone says he's breaking the biggest news since he's done in 2016 on the broadcast.
[01:28:51.366 --> 01:28:53.647]  Straight ahead, the General Flynn coming up.
[01:28:53.647 --> 01:28:56.770]  Warns of imminent globalist false flags to declare martial law.
[01:28:59.756 --> 01:29:07.422]  Sleepless nights seem to be a lot more common these days with everything that's going on both at home and the world at large.
[01:29:07.422 --> 01:29:15.988]  If you're having trouble getting to that deep sleep we could all use more of, our new sleep support formula, Down-N-Out, is just the thing.
[01:29:15.988 --> 01:29:22.353]  It's our new, faster-absorbing liquid formula that is specifically designed to help you get the shut-eye you deserve.
[01:29:23.010 --> 01:29:27.735]  Formulated to improve upon our best-selling product, Knockout, with Down and Out.
[01:29:27.735 --> 01:29:33.441]  Now the herbs and melatonin packed inside are extracted directly into the glycerin solution.
[01:29:33.441 --> 01:29:38.246]  So the ingredients are already dissolved into the formula before you even take it.
[01:29:38.246 --> 01:29:41.970]  One of the other sleep support herbs included is the Passionflower.
[01:29:42.270 --> 01:29:45.251]  Neutropics is a fancy way of saying brain pill.
[01:29:45.251 --> 01:29:49.193]  And it is the fastest growing market in supplements in the world.
[01:29:49.193 --> 01:29:49.973]  For good reason.
[01:30:08.251 --> 01:30:15.595]  There are a lot of amazing compounds out there, some healthy, some not, that do incredible things in our brains.
[01:30:15.595 --> 01:30:24.960]  And we've tried them all, we've researched them all, and we will not sell you anything that is linked to any problems or any type of toxicity or any type of extreme hangovers.
[01:30:25.580 --> 01:30:30.661]  I mean, because I'm not saying some of our brain products, you won't have a little bit of a letdown once you take them, but that would just be a lie.
[01:30:30.661 --> 01:30:34.822]  But these are very, very clean with compounds that God gave us that are good for you.
[01:30:34.822 --> 01:30:42.384]  And one of our best sellers is back in stock, Brain Force Plus, a good, clean nootropic, a good, clean brain pill.
[01:30:42.384 --> 01:30:44.344]  You can find something stronger, but it's not good for you.
[01:30:44.344 --> 01:30:46.385]  This is a high quality system.
[01:30:46.385 --> 01:30:48.465]  It's available at InfoWareStore.com.
[01:30:48.465 --> 01:30:51.206]  It's sold out for a long time at 40% off.
[01:30:51.206 --> 01:30:55.027]  So get your Brain Force Plus today at InfoWareStore.com and help keep us on air.
[01:30:55.347 --> 01:30:57.309]  Thank you so much, and I'll see you out there.
[01:31:13.587 --> 01:31:21.456]  Yes, we're not getting caught flat-footed, but they are going ahead with their full operational deindustrialization Great Reset.
[01:31:21.456 --> 01:31:29.865]  And that's why it's more important than ever that all viewers and all listeners tell everybody they know about the show, because people are ready to wake up and ready to hear the truth.
[01:31:30.385 --> 01:31:35.568]  So we've got to information warfare the enemy and try to stop their agenda, but we've also got to get personally prepared.
[01:31:35.568 --> 01:31:38.469]  And one of the number one things to do is high-quality, storable food.
[01:31:38.469 --> 01:31:43.252]  We've got the best food ready to ship at very affordable prices at InfoWareStore.com.
[01:31:43.252 --> 01:31:48.815]  So whether it's a month or a six-month or a year supply or specialty diets, it's ready to ship right now.
[01:31:48.815 --> 01:31:56.079]  Lock your orders in before food prices go up and before there are long lines and waits, because believe me, serious times are coming.
[01:31:56.079 --> 01:31:57.940]  Get ready at InfoWareStore.com.
[01:31:58.300 --> 01:32:02.142]  Cognitive dissonance is a major issue amongst the left.
[01:32:02.142 --> 01:32:06.465]  It can be very stressful dealing with facts you refuse to accept.
[01:32:06.465 --> 01:32:14.990]  If you have a family member suffering from this degenerative mental condition, buy them a bottle of Ultimate Fish Oil from Infowarsstore.com.
[01:32:15.330 --> 01:32:31.940]  Studies have suggested that fish oils and fish oil supplementation can slightly lower blood pressure, decrease triglyceride levels, decrease the growth rate of plaque, and provide a soothing reduction in inflammatory responses in joints and the digestive system.
[01:32:31.940 --> 01:32:37.764]  Recent studies have suggested that high EPA and DHA fish oil can stimulate
[01:32:38.004 --> 01:32:42.606]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones!
[01:33:15.776 --> 01:33:20.280]  Well, we're live!
[01:33:20.280 --> 01:33:28.569]  Live from the Infowars.com studios, you're listening to the Alex Jones Show.
[01:33:28.569 --> 01:33:39.319]  Well, fresh off trying to put transgenders in front-line combat and trying to purge the military of anybody that's pro-America, and trying to make the troops take experimental deadly shots in violation of the Nuremberg Code,
[01:33:40.410 --> 01:33:52.817]  The odd couple of evils, Austin and Milley, have had a press conference where they urge Russia not to invade and to stand down, and where they say the Russian attack is imminent!
[01:33:52.817 --> 01:33:58.360]  And Russia says, you're massing troops on our border, we've only put some troops on our border, in case you do.
[01:33:58.360 --> 01:34:00.602]  We're not going in, stop it.
[01:34:00.602 --> 01:34:03.863]  But there's just a hysteria here with CNN.
[01:34:03.863 --> 01:34:09.907]  Biden told the Ukrainian president last night to brace for impact, imminent invasion, and then the White House says that's not true.
[01:34:11.129 --> 01:34:24.302]  So, the Pentagon's busy trying to start a civil war with the American people, they're busy trying to put everybody in jail for January 6th, they're busy saying white people are inherently evil and that the Capitol was about white rage when it wasn't.
[01:34:24.302 --> 01:34:25.563]  What a time to be alive.
[01:34:25.563 --> 01:34:31.248]  Roger Stone joins us with exclusive huge news, and Roger doesn't hide stuff that isn't
[01:34:32.110 --> 01:34:32.530]  I don't know.
[01:34:45.504 --> 01:34:46.525]  Massive.
[01:34:46.525 --> 01:34:48.286]  And what is he about to talk about?
[01:34:48.286 --> 01:34:49.887]  Well, he's about to tell you.
[01:34:49.887 --> 01:34:55.990]  Trump faces a mega revolt, a MAGA revolt, over his endorsements.
