[00:00:00.741 --> 00:00:03.483]  News on the hour.
[00:24:52.449 --> 00:24:58.658]  The Iraq Study Group is run by all the big oil company executives, and they call it an independent group.
[00:24:58.658 --> 00:25:00.821]  They come out and recommend more troops.
[00:25:01.815 --> 00:25:14.803]  And then Bush comes out and criticizes them, and the left jumps on being fooled by that little scam, and goes, oh my gosh, we're for the Iraq Study Group, and then a bunch of the public gets fooled with that Smoke and Mirrors Dog and Pony Show.
[00:25:14.803 --> 00:25:17.604]  I mean, did you even hear what I just said?
[00:25:17.604 --> 00:25:20.986]  Go read the recommendations of the Iraq Study Group.
[00:25:20.986 --> 00:25:28.210]  You see, Bush appoints them, then he acts like he doesn't like them, when the recommendations actually escalate to war.
[00:25:28.210 --> 00:25:29.271]  Man, that is slick.
[00:25:30.556 --> 00:25:34.999]  But see, I mean, we're a publicist who kind of halfway listens, or kind of just looks at the headlines.
[00:25:34.999 --> 00:25:44.805]  Hell, the average American who just reads a few headlines and then struts around the office acting like there's some elite news junkie info warrior.
[00:25:44.805 --> 00:25:47.847]  Folks, you know what it's like when you really read legislation all day?
[00:25:47.847 --> 00:25:53.311]  I spent four hours today researching for this show, and by the time I get here I've got so much information I can't even give it to you.
[00:25:53.311 --> 00:25:54.071]  So, fine.
[00:25:54.071 --> 00:25:55.132]  Fine.
[00:25:55.132 --> 00:25:55.372]  Fine.
[00:25:55.372 --> 00:25:57.253]  Everything's wonderful.
[00:25:57.253 --> 00:25:58.514]  The world government's wonderful.
[00:25:59.193 --> 00:26:05.060]  And I'm bad, and I agree with Laura Ingraham and Michael Medved and Sean Hannity and all of them.
[00:26:05.060 --> 00:26:10.766]  I should be arrested, and Jerome Corsi's evil too.
[00:26:10.766 --> 00:26:12.809]  You know, he gets official government documents.
[00:26:13.730 --> 00:26:18.093]  On the Security and Prosperity Partnership with the North American Union, where they say we're a North American Union.
[00:26:18.093 --> 00:26:19.714]  He's wrong.
[00:26:19.714 --> 00:26:20.695]  That's not patriotic.
[00:26:20.695 --> 00:26:23.237]  Trying to save America is wrong.
[00:26:23.237 --> 00:26:23.957]  Okay?
[00:26:23.957 --> 00:26:30.822]  And Bush's plan legalizes every illegal for six years and lets them bring in unlimited skilled and unskilled workers?
[00:26:30.822 --> 00:26:31.683]  That's not amnesty.
[00:26:31.683 --> 00:26:36.106]  I mean, by every definition it is, but I've been wrong.
[00:26:36.106 --> 00:26:37.507]  All along I've been wrong.
[00:26:37.507 --> 00:26:39.428]  Okay, fine, I'll drink the Kool-Aid.
[00:26:39.428 --> 00:26:41.109]  Okay, it's not an amnesty.
[00:26:41.109 --> 00:26:41.670]  Okay?
[00:26:41.670 --> 00:26:42.030]  Fine.
[00:26:43.246 --> 00:26:43.586]  Fine!
[00:26:43.586 --> 00:26:44.808]  Everything's okay!
[00:26:44.808 --> 00:26:45.849]  I'm for the war!
[00:26:45.849 --> 00:26:46.690]  Kill all of them!
[00:26:46.690 --> 00:26:48.752]  Just bomb the Middle East with nukes!
[00:26:48.752 --> 00:26:50.273]  Just parking lot!
[00:26:50.273 --> 00:26:51.495]  Okay?
[00:26:51.495 --> 00:26:53.056]  Fine!
[00:26:53.056 --> 00:26:53.457]  Fine!
[00:26:53.457 --> 00:26:55.098]  I think I'm going to get on the team.
[00:26:55.098 --> 00:26:57.000]  In fact, I'm going to take calls today.
[00:26:57.000 --> 00:27:00.143]  And I'm just now a member of the New World Order.
[00:27:00.143 --> 00:27:01.525]  I'm now a member of the team here.
[00:27:01.525 --> 00:27:04.408]  And I'm going to go ahead and go to calls.
[00:27:04.408 --> 00:27:06.530]  I'm going to go ahead and talk to Jeffrey.
[00:27:07.268 --> 00:27:13.190]  In Gainesville, Florida, probably some traitor who's anti-government because he doesn't want them reading his mail for his safety.
[00:27:13.190 --> 00:27:16.731]  He doesn't want them using the microphone on his computer to listen to everything he does.
[00:27:16.731 --> 00:27:17.551]  Openly announced.
[00:27:17.551 --> 00:27:20.752]  And he doesn't like giving his kids mercury to brain damage them.
[00:27:20.752 --> 00:27:22.172]  The government knows best.
[00:27:22.172 --> 00:27:24.273]  And he's just, he's probably some type of evil traitor.
[00:27:24.273 --> 00:27:26.694]  So we're going to go ahead and talk to this evil traitor right now.
[00:27:26.694 --> 00:27:28.294]  You need to be in a FEMA camp, boy.
[00:27:28.294 --> 00:27:29.875]  Go ahead, Jeffrey from Gainesville, Florida.
[00:27:29.875 --> 00:27:30.355]  You're on the air.
[00:27:31.101 --> 00:27:31.601]  Hi, Alex.
[00:27:31.601 --> 00:27:33.142]  I'm a first-time caller.
[00:27:33.142 --> 00:27:35.063]  You're probably an Al-Qaeda member, you traitor.
[00:27:35.063 --> 00:27:35.583]  Right, Alex.
[00:27:35.583 --> 00:27:37.383]  You for the war, boy?
[00:27:37.383 --> 00:27:38.924]  Yeah.
[00:27:38.924 --> 00:27:40.004]  I'm a prisonplan.tv member.
[00:27:40.004 --> 00:27:42.165]  I've been listening to you about... Total terrorism.
[00:27:42.165 --> 00:27:43.966]  I used to be a Democrat.
[00:27:43.966 --> 00:27:46.727]  Now I consider myself more of a constitutionalist.
[00:27:46.727 --> 00:27:51.369]  If anyone out there is really still doubting reality, 9-11 was an inside job.
[00:27:51.369 --> 00:27:52.249]  You need to be arrested.
[00:27:53.164 --> 00:27:54.385]  Right.
[00:27:54.385 --> 00:27:55.666]  I talked to my brother.
[00:27:55.666 --> 00:27:57.308]  He's a staff sergeant in the Army.
[00:27:57.308 --> 00:28:01.852]  He came down to visit me over Christmas and we were discussing... The EU's good for the troops.
[00:28:01.852 --> 00:28:03.353]  Believe the government.
[00:28:03.353 --> 00:28:03.853]  Right.
[00:28:03.853 --> 00:28:05.995]  Experimental vaccines are good for them.
[00:28:05.995 --> 00:28:07.797]  Don't research it.
[00:28:07.797 --> 00:28:08.237]  Right.
[00:28:08.237 --> 00:28:08.938]  You talked to him.
[00:28:08.938 --> 00:28:11.320]  You talked to this great, incredible hero.
[00:28:11.320 --> 00:28:12.921]  What did he say?
[00:28:12.921 --> 00:28:21.288]  He said that he was basically taking out the garbage in one of these staff meetings and he overheard all these high-ranking colonels
[00:28:21.764 --> 00:28:28.568]  This is about six months before the invasion of Iraq, discussing how they were going, where they were going to attack from, how they were going to occupy it.
[00:28:28.568 --> 00:28:34.672]  And this was during the time when the President was talking about, oh, you know, diplomacy, and I'm the one who makes the decisions.
[00:28:34.672 --> 00:28:36.473]  That's why the White House memo is so important.
[00:28:36.473 --> 00:28:40.676]  It's six-plus months before, and they're talking about staging WMD fines.
[00:28:40.676 --> 00:28:43.978]  They're talking about frame-ups and saying he doesn't have them.
[00:28:43.978 --> 00:28:45.759]  Of course, of course they were lying.
[00:28:45.759 --> 00:28:48.441]  Of course they were planning to attack the whole time.
[00:28:48.441 --> 00:28:48.941]  Right, right.
[00:28:49.833 --> 00:28:52.483]  I think for me though, that was really the nail in the coffin.
[00:29:34.145 --> 00:29:40.267]  Stay tuned for the Weekend Edition with Kenny Ramire, tonight at 8 on KLBJ.
[00:29:40.267 --> 00:29:44.108]  Corruption never had a worse enemy.
[00:29:44.108 --> 00:29:51.290]  You're locked in to the Alex Jones Show.
[00:29:51.290 --> 00:29:52.611]  Welcome back, my friends.
[00:29:53.587 --> 00:29:57.370]  Blasting out coast-to-coast, border-to-border from right here in Austin, Texas.
[00:29:57.370 --> 00:29:59.311]  We'll be going to your calls here in just a minute or two.
[00:29:59.311 --> 00:30:00.252]  The toll-free number is 877-590-5525.
[00:30:00.252 --> 00:30:01.593]  That's 877-590-5525 or locally at 836-0590.
[00:30:01.593 --> 00:30:07.417]  I remember two years ago, Cy Hirsch at the New Yorker Magazine reported that they were going to deliver bunker-busting nuclear weapons.
[00:30:20.436 --> 00:30:24.643]  To the Israelis to use them against the Iranians.
[00:30:26.164 --> 00:30:32.245]  And Jane's Weapons Quarterly, as far as I'm concerned, is the last word on such things, said those were delivered and are ready.
[00:30:32.245 --> 00:30:38.907]  Plus, Israel has between 400 and 600 of their own nukes, which they don't like to admit to, but that's also in Jane's Weapons Quarterly.
[00:30:38.907 --> 00:30:47.328]  A few weeks ago, Olmert, their Prime Minister, finally did have to admit, ahead of their Knesset, that they do indeed have that.
[00:30:47.328 --> 00:30:55.130]  But then it came out in the Times of London today, the Sunday Times of London, that Israel plans to attack Iran nuke site.
[00:30:56.906 --> 00:31:07.789]  With nuclear weapons, and of course, people who are impotent and weak, and who drive around with lariats in the back of their trucks who don't really rope cows, you know the type you see out there.
[00:31:07.789 --> 00:31:11.030]  They like hearing about nuking people.
[00:31:11.030 --> 00:31:13.371]  I've been around them, heard them on talk radio.
[00:31:13.371 --> 00:31:19.712]  Again, they can't find out right on a map, but they get very, very excited about the use of nuclear weapons.
[00:31:19.712 --> 00:31:21.033]  And so do the globalists!
[00:31:21.033 --> 00:31:25.394]  They've used the equivalent of 4,000 Hiroshima and Nagasaki
[00:31:26.154 --> 00:31:29.617]  A-bombs of DU around the world and it's really killing our troops.
[00:31:29.617 --> 00:31:31.459]  They like that part too.
[00:31:31.459 --> 00:31:32.499]  Did they like anything?
[00:31:32.499 --> 00:31:33.080]  I mean, I'm serious.
[00:31:33.080 --> 00:31:35.021]  These are scum, ladies and gentlemen.
[00:31:35.021 --> 00:31:37.503]  These are absolute scum.
[00:31:37.503 --> 00:31:44.088]  And the fact that Israel and the US would nuke Iran is completely insane.
[00:31:44.088 --> 00:31:48.372]  I mean, even if you want them to illegitimately attack Iran,
[00:31:49.701 --> 00:32:01.944]  They could certainly disrupt any of these peaceful atomic programs with a heavy saturation of conventional bunker busters.
[00:32:01.944 --> 00:32:07.286]  But no, they want to set the precedent to use nuclear weapons.
[00:32:07.286 --> 00:32:10.926]  And of course, the last time it was used was back in 1945 at Hiroshima and Nagasaki.
[00:32:14.597 --> 00:32:19.542]  Just absolutely amazing that this type of thing is going on.
[00:32:19.542 --> 00:32:25.407]  And for those that tuned in, earlier I was joking around saying it's a wonderful thing to have the government read your mail.
[00:32:25.407 --> 00:32:27.449]  First the government denied it.
[00:32:27.449 --> 00:32:30.812]  Now they've been caught doing it domestically, internally, reading your mail.
[00:32:32.563 --> 00:32:35.264]  I remember having family that lived in Guatemala during the 80s.
[00:32:35.264 --> 00:32:37.346]  We'd get mail from them, it was always open.
[00:32:37.346 --> 00:32:40.668]  My family said, that's how it is in the Soviet Union and Third World.
[00:32:40.668 --> 00:32:42.689]  Banana Republics, they read their mail.
[00:32:42.689 --> 00:32:44.710]  And that's how it is here in the U.S.
[00:32:44.710 --> 00:32:45.190]  now.
[00:32:45.190 --> 00:32:46.791]  And a signing statement!
[00:32:46.791 --> 00:32:51.494]  He claims he's above the law, that they passed a law saying he can't do this.
[00:32:51.494 --> 00:32:54.436]  And so he says a signing statement saying, oh yes I can.
[00:32:55.527 --> 00:32:58.351]  And of course the Democrats are all for this.
[00:32:58.351 --> 00:33:00.654]  They love the power they're getting.
[00:33:00.654 --> 00:33:03.638]  Nancy Pelosi now is for, of course, open borders.
[00:33:03.638 --> 00:33:08.245]  That'll be the first thing on the agenda is the blanket amnesty that they call a guest worker program.
[00:33:08.245 --> 00:33:12.531]  After that they have a new hate crimes legislation that will restrict free speech in this country.
[00:33:13.388 --> 00:33:28.539]  And just right down the line, she's got new gainers agreeing with her, he's out stumping saying ban the First Amendment, arrest people for their speech, shut down websites, not land of the free, home of the brave, land of the slaves, home of the surveilled.
[00:33:28.539 --> 00:33:30.361]  And I don't like that, I want to turn it around.
[00:33:30.361 --> 00:33:33.063]  Let's go ahead and go to some phone calls.
[00:33:33.063 --> 00:33:35.445]  Let's talk to Scott in New York.
[00:33:35.445 --> 00:33:38.107]  Thank you for holding Scott, you're on the air.
[00:33:38.107 --> 00:33:41.389]  Hi Alex, I wish you a blessed New Year, you and your whole family.
[00:33:41.389 --> 00:33:42.670]  You too my friend, what's on your mind?
[00:33:42.910 --> 00:33:43.330]  Thank you.
[00:33:43.330 --> 00:33:46.472]  You know, Collegist, I want to make a couple quick comments.
[00:33:46.472 --> 00:33:56.436]  Firstly, back in 88, I first want to say that I was an elected Republican official in upstate New York at the county level.
[00:33:56.436 --> 00:33:57.876]  I was elected four terms.
[00:33:57.876 --> 00:33:58.877]  I'm a conservative.
[00:33:58.877 --> 00:34:00.137]  I'm a Republican.
[00:34:00.137 --> 00:34:04.439]  So this is coming straight from a person who's a Republican.
[00:34:06.258 --> 00:34:15.461]  In 1988, when Rush Limbaugh came on the air, I was so excited that I went to the mayor of my town, who owned a radio station, and asked to put him on.
[00:34:15.461 --> 00:34:29.746]  He did get Rush Limbaugh on, and Rush came on about 1990 on the television for the first time, and they really attacked him, and I was almost in tears watching this guy being attacked.
[00:34:29.746 --> 00:34:35.488]  Little did I know what an infiltrator Rush would have been, and how he's gone along with all the
[00:34:36.540 --> 00:34:40.502]  Anti-conservative, anti-true Republican sentiment.
[00:34:40.502 --> 00:34:52.167]  So for the Republicans listening out there, Rush Limbaugh has been an infiltrator and really has hurt our Republican conservative movement for the past 18 years that he's been on air.
[00:34:52.167 --> 00:34:59.230]  Well, I'm on a few stations that Rush is on, but he's attacked me and so has Bort, so, you know, turnabout is fair play.
[00:34:59.230 --> 00:35:00.951]  But I'll just say this.
[00:35:00.951 --> 00:35:05.073]  I've heard him say the CFR didn't exist 10 years ago, and I cut my teeth listening to this guy.
[00:35:06.000 --> 00:35:08.682]  One of the reasons I'm in talk radio is because I was a fan.
[00:35:08.682 --> 00:35:13.045]  And yeah, real conservatives have come to the point where we're not putting up with crap anymore.
[00:35:13.045 --> 00:35:16.367]  We want our country back, and we're not going to buy it.
[00:35:16.367 --> 00:35:22.892]  And they get on air, and they say, first, the North American Union doesn't exist.
[00:35:22.892 --> 00:35:24.192]  Now we're in it!
[00:35:24.192 --> 00:35:25.853]  And they say it's a good thing.
[00:35:25.853 --> 00:35:29.416]  And I haven't heard Limbaugh say that, but I've heard a bunch of other national hosts say that.
[00:35:30.319 --> 00:35:33.600]  And I mean, I've been on with them when they're saying, you're just a liberal!
[00:35:33.600 --> 00:35:36.240]  You're just against, you know, you're against a trade deal!
[00:35:36.240 --> 00:35:38.001]  It is not a trade deal!
[00:35:38.001 --> 00:35:43.002]  Okay, it's the end of our country, we're in it right now, and look what it's done to our nation!
[00:35:43.002 --> 00:35:49.663]  Look, Alex, Rush Limbaugh got on, he said all the right things, all the things that a conservative Republican would want to hear.
[00:35:49.663 --> 00:35:55.144]  He did a wonderful job of putting us all to sleep, and now we've lost our country.
[00:35:55.144 --> 00:35:58.765]  One other point I want to make concerning communist Russia.
[00:35:59.165 --> 00:36:06.150]  I remember growing up, being in high school in the 80s, listening to my school teachers tell me about communist Russia, how bad it was.
[00:36:06.150 --> 00:36:08.952]  And they relate stories about how... They read your mail!
[00:36:08.952 --> 00:36:10.133]  They are rushing for your speech!
[00:36:10.133 --> 00:36:10.893]  Exactly right!
[00:36:10.893 --> 00:36:15.256]  How they would open their mail, and I'd sit there and I'd say, how are those poor people over there?
[00:36:15.256 --> 00:36:17.618]  I can't even believe they'd allow them to open the mail!
[00:36:17.978 --> 00:36:20.581]  But now they've got these shows in this country.
[00:36:20.581 --> 00:36:28.769]  Now they've got shows like 24 where he tortures kids every episode and where he gets tortured and it's all good to keep America safe.
[00:36:28.769 --> 00:36:35.155]  And then they have a Homeland Security meeting on C-SPAN where they admit that the show, I mean they've admitted it, that it's brainwashing the public.
[00:36:35.155 --> 00:36:38.878]  Their word is, it's great PR to change our morals.
[00:36:38.878 --> 00:36:40.100]  Hell, John Yoo
[00:36:40.740 --> 00:36:48.605]  Whenever he was the head lawyer over at the White House wrote memos saying they can torture children sexually in front of their parents.
[00:36:48.605 --> 00:36:51.027]  Folks, you can't make stuff up that evil.
[00:36:51.027 --> 00:36:52.788]  It's been in major newspapers.
[00:36:52.788 --> 00:36:57.351]  Okay, I've had CFR members on it who've debated him when he says, yeah, we're allowed to do this.
[00:36:57.351 --> 00:37:05.256]  Bottom line, they leave our borders completely wide open and then tell us they want to read our mail to keep us safe from terrorism.
[00:37:05.256 --> 00:37:06.637]  What a joke!
[00:37:06.637 --> 00:37:10.140]  They're using terrorism to take our freedoms, period!
[00:37:10.840 --> 00:37:26.390]  Any Republican listening to you now who supports George Bush because of the war on terror, I want to know how you can possibly support this man when he says the border can be wide open and we don't know who's crossing the border.
[00:37:26.390 --> 00:37:31.313]  When you can resolve that in your mind, then you let me know how you can support this man.
[00:37:31.673 --> 00:37:33.473]  Well, I know this.
[00:37:33.473 --> 00:37:50.818]  The 83 Israeli Plan that's the blueprint for the 2002 Pentagon Plan, it's been all over the news, where they say they wanted to break it in three parts, have sectarian war, break down that first world nation, and hurt those people so that they couldn't be leaders of the Middle East, use the country as a launch base into other nations.
[00:37:50.818 --> 00:37:54.559]  My point is, for anybody who's for the war, just be honest about it.
[00:37:54.939 --> 00:37:55.460]  Okay?
[00:37:55.460 --> 00:38:06.690]  Don't sit there and lie and lie and like Bush promised the troops she'll be home in six months, mission accomplished, when they planned to be there for 20 years, they're building permanent bases, they lie to us!
[00:38:06.690 --> 00:38:08.532]  Why is lying acceptable?
[00:38:08.532 --> 00:38:15.999]  Whether it's that piece of trash Bill Clinton, or whether it's George Bush, it's a joke!
[00:38:15.999 --> 00:38:17.661]  I hear you and I appreciate your call, my friend.
[00:38:18.792 --> 00:38:19.753]  Good to hear from you, Scott.
[00:38:19.753 --> 00:38:23.137]  Let's go ahead and talk to Rudy in Pasadena, Texas.
[00:38:23.137 --> 00:38:24.659]  You're on the air, Rudy.
[00:38:24.659 --> 00:38:25.721]  Go ahead.
[00:38:25.721 --> 00:38:26.742]  Yes, Alex.
[00:38:26.742 --> 00:38:35.532]  You know, the merging of corporations to become co-managers with government regarding the governance of a country, this is what is driving the proposed Texas Corridor?
[00:38:35.532 --> 00:38:36.333]  Yes, called fascism.
[00:38:37.173 --> 00:38:39.175]  Yeah, and it is part of the U.N.
[00:38:39.175 --> 00:38:40.215]  sustainable development.
[00:38:40.215 --> 00:38:41.036]  Oh, it's publicly?
[00:38:41.036 --> 00:38:41.597]  It's a U.N.
[00:38:41.597 --> 00:38:42.077]  agreement?
[00:38:42.077 --> 00:38:43.018]  Oh, yeah, I know.
[00:38:43.018 --> 00:38:44.038]  I have the official U.N.
[00:38:44.038 --> 00:38:45.640]  website saying they're killing us.
[00:38:45.640 --> 00:38:47.241]  They're taking over our infrastructure.
[00:38:47.241 --> 00:38:52.925]  They're going to use it to tax with the transponders in your inspection stickers for the North American Union.
[00:38:52.925 --> 00:38:58.109]  They picked the capital, it's Atlanta, and you still can't get the general public to know our country's dead!
[00:38:58.109 --> 00:38:59.631]  I'm sorry, go ahead.
[00:38:59.631 --> 00:39:03.934]  Yes, and I believe this is just the finishing stage of globalism.
[00:39:03.934 --> 00:39:06.416]  You know, I'm kind of pessimistic in the sense that
[00:39:07.010 --> 00:39:08.562]  History seems to be on their side.
[00:39:09.614 --> 00:39:13.917]  Well, it's on their side because you've got a bunch of cowards who want to believe propaganda.
[00:39:13.917 --> 00:39:19.640]  Look, Hitler said it, and he was right, evil genius that he was, that good propaganda just speaks to laziness.
[00:39:19.640 --> 00:39:32.188]  Good propaganda is simple, it's go back to sleep, oh, that North American Union's not real, oh no, that's not a, oh no, he's not for gun control, oh no, he's a, I mean, it just sells them on going to sleep!
[00:39:32.188 --> 00:39:37.732]  And that's the reason why rights for individuals are now filtered through the lens of all these new ideas.
[00:39:38.624 --> 00:39:43.489]  Personal property rights are being diluted as a result of the highest or the best use.
[00:39:43.489 --> 00:39:57.702]  Yeah, you've got a Republican court, eight of the nine at the time were Republican appointed, and they rule that if a private corporation wants your property, they can go, quote, lobby, that's bribe, a local official to take your land, and by the way, they're not even given just compensation!
[00:39:57.702 --> 00:40:00.505]  Well, the bottom line... How in the hell is that conservative?
[00:40:01.334 --> 00:40:05.436]  Well, the bottom line is that a permanent revolution is taking place before our very eyes.
[00:40:05.436 --> 00:40:05.976]  Stay there!
[00:40:05.976 --> 00:40:08.077]  Stay there, you're a good caller.
[00:40:08.077 --> 00:40:08.657]  Rudy, stay there.
[00:40:08.657 --> 00:40:09.838]  I'm going to put you on hold.
[00:40:09.838 --> 00:40:14.760]  You're a good caller, and I was running over you, and I want you to be able to explain what's happening.
[00:40:14.760 --> 00:40:18.221]  Yes, global corporations got together, and they took over.
[00:40:18.221 --> 00:40:18.862]  Period!
[00:40:18.862 --> 00:40:20.902]  We'll be right back.
[00:40:20.902 --> 00:40:23.243]  Why are you a silver talk radio?
[00:40:23.243 --> 00:40:27.205]  If I buried you, would you like to know about the 1901 murder?
[00:40:27.205 --> 00:40:28.386]  Scrap your soul, Shannon.
[00:40:28.386 --> 00:40:28.866]  Hold on.
[00:40:29.952 --> 00:40:32.733]  He stands for truth.
[00:40:32.733 --> 00:40:35.955]  He stands for justice.
[00:40:35.955 --> 00:40:38.396]  He stands for what's right.
[00:40:38.396 --> 00:40:41.718]  This is the Alex Jones Show.
[00:40:41.718 --> 00:40:44.859]  Call Alex now, toll free at 877-590-5525.
[00:40:44.859 --> 00:40:48.741]  Now live from Austin, Texas, here's Alex Jones.
[00:40:57.188 --> 00:41:01.791]  All right, we will be taking a lot of your phone calls in this second hour.
[00:41:01.791 --> 00:41:04.112]  We're here live every Sunday from 4 to 6 p.m.
[00:41:04.112 --> 00:41:07.474]  Central Standard Time.
[00:41:07.474 --> 00:41:16.820]  Just a program note, TalkFest is coming to Austin, Texas, what is the 27th of January on that Saturday and I will be with George Norrie at that event.
[00:41:16.820 --> 00:41:18.201]  He's invited me and I'll be
[00:41:19.281 --> 00:41:24.583]  More importantly, in studio with him for, I believe, two-thirds of the show.
[00:41:24.583 --> 00:41:29.885]  That Friday night, he'll be doing the show live here in studio.
[00:41:29.885 --> 00:41:31.646]  So that'll be a lot of fun.
[00:41:31.646 --> 00:41:34.427]  I was listening to local news.
[00:41:34.427 --> 00:41:44.512]  The stations around the country that don't get the local news from the station I do this show out of, KLBJ 590 AM, didn't get a chance to hear the news.
[00:41:46.218 --> 00:41:55.366]  I might knock on those doing the news, they were covering real legitimate stories, but the information being put out by the state of Texas we should elaborate on.
[00:41:55.366 --> 00:42:00.250]  You have to get your Texas tags if you want to drive on the new toll roads that just opened up.
[00:42:00.250 --> 00:42:06.836]  And for three months they let the slaves, that's you and I, drive on them for quote free if we quote went and got the tags.
[00:42:06.836 --> 00:42:11.821]  Now we have to have the tags and they're going to tax you as you drive on the road with your transponder.
[00:42:13.115 --> 00:42:24.138]  Two years ago, we narrowly beat, in the state of Texas, transponders that were going to be in all the inspection stickers to tax us as we drove down the road.
[00:42:24.138 --> 00:42:40.283]  And the same thing's going in nationwide, and it's foreign-owned companies coming in who lobby the politicians with campaign money, and then the politicians basically give the water districts, or the roads, or the universities the infrastructure
[00:42:41.670 --> 00:42:44.731]  is just handed over to private companies.
[00:42:44.731 --> 00:42:47.012]  And we hear, oh, it's free market!
[00:42:47.012 --> 00:42:48.333]  They're going to run things now.
[00:42:48.333 --> 00:42:48.733]  No.
[00:42:48.733 --> 00:42:50.954]  This isn't free market.
[00:42:50.954 --> 00:42:52.994]  This isn't what you call privatization.
[00:42:52.994 --> 00:42:56.116]  That's a confusing smoke screen they use.
[00:42:56.116 --> 00:42:56.416]  This is
[00:42:58.591 --> 00:43:01.914]  46 of the 100 biggest economies being corporations.
[00:43:01.914 --> 00:43:05.177]  They have their own security forces, their own intelligence arms.
[00:43:05.177 --> 00:43:15.306]  They are now coming in and lobbying government to sign over governmental powers illegitimately to them to tax and regulate and control us.
[00:43:17.492 --> 00:43:26.301]  It's like the British Crown licensed the British East India Company to run the government of India over tens of millions of people and to be judge, jury, and executioner.
[00:43:26.301 --> 00:43:27.722]  It's the exact same thing.
[00:43:27.722 --> 00:43:29.804]  It's total imperialism.
[00:43:29.804 --> 00:43:30.945]  It's not free market.
[00:43:30.945 --> 00:43:33.828]  So I hope everybody out there starts becoming aware of that.
[00:43:35.011 --> 00:43:39.874]  Of course, it didn't matter to the state of Texas that we shot down their transponder and inspection sticker program.
[00:43:39.874 --> 00:43:53.221]  They're just trying to reintroduce it, and they run text.paidfor ads with our tax money, a stupid cartoon that's all over television here in Texas, telling us how great the new smart tags are in our inspection sticker.
[00:43:53.221 --> 00:43:53.922]  You see?
[00:43:53.922 --> 00:44:01.346]  Oh, we beat them putting it in, but they still run ads telling you how it's coming and how it's great.
[00:44:01.346 --> 00:44:02.187]  It's slick.
[00:44:02.187 --> 00:44:04.368]  We got calls here from Eric in Australia.
[00:44:05.174 --> 00:44:14.600]  We've got Nork in Atlanta, we've got Kerry in New Mexico, and we've got Patrick and many others.
[00:44:14.600 --> 00:44:17.622]  But I wanted to go back to Rudy from Pasadena, Texas.
[00:44:17.622 --> 00:44:31.891]  We were talking about this whole global program, the Sustainable Development Goals 2000 program of the United Nations, and we are in it right now.
[00:44:31.891 --> 00:44:33.352]  So Rudy, go ahead and finish up your points.
[00:44:36.887 --> 00:44:40.451]  I don't know what he's doing.
[00:44:40.451 --> 00:44:44.295]  Rudy, you're going to have to get on the phone and stop doing whatever you're doing over there.
[00:44:44.295 --> 00:44:46.277]  Okay, we're going to let him go.
[00:44:46.277 --> 00:44:47.819]  That's too bad.
[00:44:47.819 --> 00:44:50.441]  I held you over to go to you, but you're not there.
[00:44:50.441 --> 00:44:53.264]  Let's go ahead and talk to Eric in Sydney, Australia.
[00:44:53.264 --> 00:44:54.886]  Boy, have they been taken over by the globalists.
[00:44:55.532 --> 00:44:59.013]  But again, any resistance is a conspiracy theory.
[00:44:59.013 --> 00:45:08.057]  Ever saying powerful groups want more control, or that powerful corporations lobby and try to get control of government to then fund themselves to the taxing system?
[00:45:08.057 --> 00:45:09.358]  No, it doesn't exist.
[00:45:09.358 --> 00:45:10.418]  Everything's fine.
[00:45:10.418 --> 00:45:11.358]  Go back to sleep.
[00:45:11.358 --> 00:45:12.979]  Everything's wonderful.
[00:45:12.979 --> 00:45:15.220]  And then the dollar hasn't plunged in value by half.
[00:45:16.098 --> 00:45:22.343]  And they're not openly setting up a new national draft, and they're not recruiting foreigners in Mexico City to join the military.
[00:45:22.343 --> 00:45:23.744]  And, yeah.
[00:45:23.744 --> 00:45:24.264]  Let's go ahead.
[00:45:24.264 --> 00:45:26.045]  Caller, you're on the air from Australia.
[00:45:26.045 --> 00:45:26.425]  Go ahead.
[00:45:26.425 --> 00:45:27.806]  Hi, Alex.
[00:45:27.806 --> 00:45:28.367]  How you doing?
[00:45:28.367 --> 00:45:28.707]  Good, sir.
[00:45:28.707 --> 00:45:30.128]  Go ahead.
[00:45:30.128 --> 00:45:30.628]  Good.
[00:45:30.628 --> 00:45:31.509]  Listen, man.
[00:45:31.509 --> 00:45:32.750]  My comment is this.
[00:45:32.750 --> 00:45:39.535]  I have some friends, some colleagues, some people I associate with, and they like your show.
[00:45:39.535 --> 00:45:41.516]  They want to support it, but they're afraid of supporting it.
[00:45:41.516 --> 00:45:45.199]  Now, I'm a subscriber to your website, and I've bought some DVDs, and I have friends of mine
[00:45:45.686 --> 00:45:52.809]  Who are afraid that if they subscribe, that the government is watching all your subscriptions, that they'll get a list of names.
[00:45:52.809 --> 00:46:02.653]  And I just want to tell the audience out there, that if you guys don't get out there and support people that you think are doing the right thing, that these people won't be able to keep going.
[00:46:02.653 --> 00:46:10.177]  So, you know, I mean, I think it's very important that if you want to keep your local businesses running, you buy from your local businesses.
[00:46:10.177 --> 00:46:13.398]  And I think that supporting shows like yours, and to all your listeners,
[00:46:13.962 --> 00:46:19.408]  To make sure you get out there and for the coffee subscription to your website which is nothing less than almost a couple of coffees a week.
[00:46:20.291 --> 00:46:21.812]  They should get out there and support you.
[00:46:21.812 --> 00:46:23.133]  Well, I appreciate those words.
