[00:00:00.402 --> 00:00:01.444]  Brother.
[00:42:46.298 --> 00:42:47.238]  And it's going to start!
[00:42:47.238 --> 00:42:48.079]  It's going to happen!
[00:42:48.079 --> 00:42:52.920]  And the churches are going to roll over and say, the Christ says take the chip.
[00:42:52.920 --> 00:42:54.281]  It's of the Lord.
[00:42:54.281 --> 00:42:55.621]  Name it and claim it.
[00:42:55.621 --> 00:42:59.622]  You deserve a God that's going to give you what you want.
[00:42:59.622 --> 00:43:05.364]  And when you take that chip, it gives you faith in the Lord and proves you're good.
[00:43:09.616 --> 00:43:12.997]  It's all coming up!
[00:43:12.997 --> 00:43:15.038]  I'm just trying to shake people out of their trance.
[00:43:15.038 --> 00:43:16.499]  Danger, Will Robinson!
[00:43:16.499 --> 00:43:18.240]  Danger!
[00:43:18.240 --> 00:43:21.241]  We did find the intro from The Obsolete Man.
[00:43:21.241 --> 00:43:22.381]  This says it all.
[00:43:22.381 --> 00:43:27.944]  You're a bug, Mr. Wordsworth, a miserable little creature who has no value.
[00:43:27.944 --> 00:43:28.364]  You know what?
[00:43:28.364 --> 00:43:30.185]  I do have value.
[00:43:30.185 --> 00:43:31.505]  And we're all Wordsworth.
[00:43:31.505 --> 00:43:34.447]  I don't want to see the end of man, the end of humans.
[00:43:34.447 --> 00:43:36.648]  I don't want to see the end of our species.
[00:43:36.648 --> 00:43:37.288]  I want to see us
[00:43:38.720 --> 00:43:55.894]  Develop and challenge, but everything's about, be safe, don't run, don't jog, don't endanger yourself, don't defend yourself, don't do cartwheels, don't run, don't jog, don't, don't talk, don't, don't, just, just, just calm down while massive military force and robot attack systems are being built.
[00:43:55.894 --> 00:43:57.275]  Just calm yourselves.
[00:43:57.275 --> 00:43:59.377]  Oh, don't put your own power grid in.
[00:43:59.377 --> 00:44:00.698]  We're going to have to shut that down.
[00:44:01.078 --> 00:44:02.819]  Don't have your own chickens in your backyard.
[00:44:02.819 --> 00:44:03.920]  Don't plant stuff.
[00:44:03.920 --> 00:44:04.700]  Don't, don't, don't.
[00:44:04.700 --> 00:44:05.801]  No, eat the GMO.
[00:44:05.801 --> 00:44:06.941]  Eat the, drink the fluoride.
[00:44:06.941 --> 00:44:07.501]  We love you.
[00:44:07.501 --> 00:44:08.142]  Take the shots.
[00:44:08.142 --> 00:44:09.082]  They're not taking them.
[00:44:09.082 --> 00:44:09.803]  Take them.
[00:44:09.803 --> 00:44:11.404]  We're gonna take good care of you.
[00:44:11.404 --> 00:44:12.784]  Just take the shot.
[00:44:12.784 --> 00:44:15.065]  There, now you're better now.
[00:44:15.065 --> 00:44:17.867]  Yes, the virus goes and attacks the cerebral cortex areas.
[00:44:17.867 --> 00:44:18.988]  Mm-hmm, yeah.
[00:44:18.988 --> 00:44:20.348]  You're feeling better now.
[00:44:20.348 --> 00:44:21.289]  Good.
[00:44:21.289 --> 00:44:25.131]  ESPN's on.
[00:44:25.131 --> 00:44:26.712]  Let's go ahead and go to the obsolete man.
[00:44:26.712 --> 00:44:27.032]  Here it is.
[00:44:36.627 --> 00:44:53.611]  You walk into this room at your own risk.
[00:44:53.611 --> 00:44:55.752]  Because it leads to the future.
[00:44:55.752 --> 00:44:59.213]  Not a future that will be, but one that might be.
[00:44:59.213 --> 00:45:00.233]  This is not a new world.
[00:45:01.460 --> 00:45:05.864]  It is simply an extension of what began in the old one.
[00:45:05.864 --> 00:45:14.371]  It has patterned itself after every dictator who has ever planted the ripping imprint of a boot on the pages of history since the beginning of time.
[00:45:14.371 --> 00:45:22.457]  It has refinements, technological advances and a more sophisticated approach to the destruction of human freedom.
[00:45:22.457 --> 00:45:28.162]  But like every one of the super states that preceded it, it has one iron rule.
[00:45:28.162 --> 00:45:30.404]  Logic is an enemy and truth is a menace.
[00:45:35.758 --> 00:45:38.479]  This is Mr. Romney Wordsworth.
[00:45:38.479 --> 00:45:45.202]  In his last 48 hours on Earth, he's a citizen of the state, but will soon have to be eliminated.
[00:45:45.202 --> 00:45:47.663]  Because he is built out of flesh.
[00:45:47.663 --> 00:45:49.964]  And because he has a mind.
[00:45:49.964 --> 00:46:01.550]  Mr. Romney Wordsworth, who will draw his last breaths in the Twilight Zone.
[00:46:01.550 --> 00:46:02.810]  Very, very powerful.
[00:46:02.810 --> 00:46:04.231]  I'm gonna play some more of that coming up later.
[00:46:13.536 --> 00:46:16.738]  I'm just speechless at this point.
[00:46:16.738 --> 00:46:29.945]  We have let the most anti-human, jealous, greedy, hateful people the world could ever imagine, who are on such power trips, they believe they're going to decide the full development of humanity.
[00:46:29.945 --> 00:46:35.908]  And they've decided we're obsolete, and they've decided to break with humanity, because they're going to merge with machines and be God.
[00:46:37.691 --> 00:46:46.560]  A real God would make that decision for themselves, but do everything to protect free will and let others develop as they see fit.
[00:46:46.560 --> 00:46:49.002]  But you're not doing that.
[00:46:49.002 --> 00:47:01.034]  Any entity that was aspiring to be God, little g, would instantly know that, and know that that is a galactic, dimensional, multi-dimensional rule.
[00:47:05.689 --> 00:47:10.351]  No, what we're dealing with is fallen people.
[00:47:10.351 --> 00:47:17.074]  Fallen minds, fallen hearts, fallen souls that wish to pull everyone down with them.
[00:47:17.074 --> 00:47:20.795]  What are the wages of globalism?
[00:47:20.795 --> 00:47:24.457]  Pure, crystalline death.
[00:47:24.457 --> 00:47:26.438]  Mutation.
[00:47:26.438 --> 00:47:27.258]  Degradation.
[00:47:27.258 --> 00:47:28.458]  Pain.
[00:47:28.458 --> 00:47:30.599]  Disease.
[00:47:30.599 --> 00:47:34.521]  The fruits of this tree are rotten, poisonous, stinking.
[00:47:40.478 --> 00:47:45.784]  And I just cannot believe humanity is going to make the decision to let them seduce us.
[00:47:45.784 --> 00:47:47.406]  I mean, I know it seduces you.
[00:47:47.406 --> 00:47:58.077]  You get in one of these new cars and it's got GPS that tells you where all the wrecks are, all the storms, all the gas stations, where you're being directed by it.
[00:47:58.077 --> 00:48:02.282]  And you never think it's dialed into everything, tracking everything you do, creating a total history.
[00:48:03.729 --> 00:48:05.069]  Then you say, well, what do I have to hide?
[00:48:05.069 --> 00:48:06.130]  I'm a good person.
[00:48:06.130 --> 00:48:07.090]  It's not good.
[00:48:07.090 --> 00:48:08.130]  The system's not good.
[00:48:08.130 --> 00:48:14.812]  It's using it to game you, to end you.
[00:48:14.812 --> 00:48:21.935]  Within 15 years, they say, CNN, that everyone will be merged with machines or will be obsolete.
[00:48:21.935 --> 00:48:26.596]  And then you realize those machines are not meant to empower us and they aren't.
[00:48:26.596 --> 00:48:32.618]  No modern machines from GPS to tablets to computers are empowering us.
[00:48:34.255 --> 00:48:40.859]  In every study they are wrecking us.
[00:48:40.859 --> 00:48:53.345]  Humans used to talk for five minutes before they drove somewhere in a city and discuss the best routes and then listen to talk radio where choppers were in the air to tell you what was going on and it was primitive but it was humans interfacing.
[00:48:53.345 --> 00:48:53.706]  When I was
[00:48:54.966 --> 00:48:56.707]  Ten years old, I wasn't allowed a calculator.
[00:48:56.707 --> 00:48:57.968]  I was better at math than I am now.
[00:48:57.968 --> 00:48:59.268]  I don't even know how to do math now.
[00:48:59.268 --> 00:49:02.230]  I don't know how to spell now, because of spell checkers.
[00:49:02.230 --> 00:49:03.731]  I'm being reduced.
[00:49:03.731 --> 00:49:05.312]  I'm losing my humanity.
[00:49:05.312 --> 00:49:08.993]  Like I'm on a space mission to Mars, I'm losing my muscles.
[00:49:08.993 --> 00:49:10.334]  Well, I'm losing my mental muscles.
[00:49:10.334 --> 00:49:11.275]  I'm rotting.
[00:49:11.275 --> 00:49:12.235]  I'm dying.
[00:49:12.235 --> 00:49:13.256]  I can feel it.
[00:49:13.256 --> 00:49:14.056]  I can see it.
[00:49:14.056 --> 00:49:20.720]  And I can watch the metric meters of my species, our species, our people, under total attack!
[00:49:21.656 --> 00:49:23.377]  By design!
[00:49:23.377 --> 00:49:28.880]  This Pandora's box of technology would have probably destroyed us, even if we tried to be good.
[00:49:28.880 --> 00:49:35.324]  But the globalists have decided to go to the center of evil, the center of destructiveness.
[00:49:35.324 --> 00:49:40.927]  They believe by merging with it, they will control it and will achieve godhood.
[00:49:40.927 --> 00:49:42.308]  Can anybody say megalomania?
[00:49:45.703 --> 00:49:49.566]  Already, AI is beating humans across the board.
[00:49:49.566 --> 00:49:54.050]  For a decade in chess, but in every other test.
[00:49:54.050 --> 00:49:56.252]  And that's the AI they're telling us about.
[00:49:56.252 --> 00:49:59.975]  There's a reason they're on such power trips in government now, in the West.
[00:49:59.975 --> 00:50:03.779]  They've got life extension where you can live to 200 already.
[00:50:03.779 --> 00:50:06.221]  If you can go out another 100 years, they believe forever now.
[00:50:07.398 --> 00:50:11.908]  They've got aircrafts that go Mach 20 in the atmosphere.
[00:50:11.908 --> 00:50:13.371]  They've got space bases.
[00:50:13.371 --> 00:50:14.433]  They've got it all, folks.
[00:50:14.433 --> 00:50:16.538]  Let me just tell you right now.
[00:50:16.538 --> 00:50:17.340]  They've got it all.
[00:50:18.413 --> 00:50:21.776]  And that's why we don't matter anymore because they're just breaking away.
[00:50:21.776 --> 00:50:25.819]  They're hitting us with chemicals, teaching us how to wear dresses, messing with us.
[00:50:25.819 --> 00:50:26.660]  Oh, you want to be black?
[00:50:26.660 --> 00:50:28.241]  Go ahead, you're white, you know.
[00:50:28.241 --> 00:50:43.253]  It's all delusional as they just hit us with culture confusion weapons as they just break off and laugh at us and build giant bunkers with seed vaults and DNA vaults of every plant and animal because they're getting ready to wipe us off the earth playing God.
[00:50:43.253 --> 00:50:44.594]  The devil.
[00:50:44.594 --> 00:50:46.136]  They're about to give the devil
[00:50:47.475 --> 00:50:49.059]  The archetype of the devil.
[00:50:49.059 --> 00:50:52.747]  Manifestation on the planet to kill!
[00:50:52.747 --> 00:50:53.328]  Get ready!
[00:50:54.440 --> 00:50:59.421]  Now a twice as nice twin kit special offer from Complete H2O Minerals for all GCN listeners.
[00:50:59.421 --> 00:51:04.622]  Get a Complete H2O Minerals twin kit with 33 different minerals, vitamins, and amino acids all in a liquid form.
[00:51:04.622 --> 00:51:06.222]  Enough for two people for one month.
[00:51:06.222 --> 00:51:11.343]  Regular price $89.95, but now Complete H2O Minerals is offering the twin kit for $69.95.
[00:51:11.343 --> 00:51:16.284]  And all GCN listeners receive a bonus 16-ounce bottle of ionic silver absolutely free with free shipping.
[00:51:16.284 --> 00:51:18.125]  A $120 total value.
[00:51:18.125 --> 00:51:18.425]  Hurry!
[00:51:18.425 --> 00:51:19.305]  Limited time offer.
[00:51:19.305 --> 00:51:20.485]  Call 803-794-4767 or click completeh2ominerals.com.
[00:51:23.966 --> 00:51:29.410]  When the day comes where the world changes forever, you can be ready at a moment's notice.
[00:51:29.410 --> 00:51:36.516]  With Survivalist Camps, the ultimate, fully functional, off-the-grid survival bug-out house that's completely mobile and ready to go.
[00:51:36.516 --> 00:51:41.219]  All the comforts of an RV, but custom-built to outlast any other trailer.
[00:51:41.219 --> 00:51:43.901]  Learn more at survivalistcamps.com.
[00:51:43.901 --> 00:51:47.304]  Due to overwhelming response, limited inventory is available.
[00:51:47.304 --> 00:51:49.866]  Be ready with survivalistcamps.com.
[00:51:49.866 --> 00:51:52.848]  Survivalist Camps, providing your basic needs to survive.
[00:51:55.043 --> 00:52:00.086]  KDArmor.com is your one-stop shop for the most affordable body armor period.
[00:52:00.086 --> 00:52:04.829]  With packages starting at $169.99 and free shipping on every order.
[00:52:04.829 --> 00:52:09.051]  KD offers soft armor and rifle threat rated armor up to level 4.
[00:52:09.051 --> 00:52:13.634]  Go to KDArmor.com and get your body armor today while you still can.
[00:52:13.634 --> 00:52:19.058]  Mention this ad and receive a free tactical scarf for a limited time with any body armor package.
[00:52:19.058 --> 00:52:21.819]  That's KDArmor.com.
[00:52:21.819 --> 00:52:22.700]  Come and take it!
[00:52:23.291 --> 00:52:25.391]  So the phone rings, and I pick it up, and it's Mark.
[00:52:25.391 --> 00:52:30.772]  And Mark says to me, hey, third Sunday, June, Father's Day, I ordered Dad a gun.
[00:52:30.772 --> 00:52:31.652]  It's here.
[00:52:31.652 --> 00:52:34.393]  He's going to build it out, and we're going to go out on Father's Day shooting.
[00:52:34.393 --> 00:52:35.013]  You want to come?
[00:52:35.013 --> 00:52:35.933]  And I said, yeah.
[00:52:35.933 --> 00:52:40.774]  What a great idea for a Father's Day gift, an AR-15 rifle kit from Guns80.com.
[00:52:40.774 --> 00:52:41.814]  I think I'll get my dad one.
[00:52:41.814 --> 00:52:42.774]  He says, go ahead.
[00:52:42.774 --> 00:52:43.535]  See you out on the range.
[00:52:43.535 --> 00:52:45.435]  So we're going to meet on the range on Father's Day.
[00:52:45.435 --> 00:52:48.895]  Get your dad an AR-15 rifle kit at Guns80.com, Guns80.com, or call 844-2GUNS80.
[00:52:53.243 --> 00:52:54.684]  What are you listening to?
[00:52:54.684 --> 00:52:57.466]  Have you tried the Alex Jones 24-7 Listen Line?
[00:52:57.466 --> 00:52:58.166]  It's easy.
[00:52:58.166 --> 00:52:59.087]  Just punch in 1-605-562-6120.
[00:52:59.087 --> 00:53:04.250]  No apps, no data, no internet needed.
[00:53:04.250 --> 00:53:06.811]  And no extra cost if you have unlimited minutes.
[00:53:06.811 --> 00:53:07.632]  Call now, 1-605-562-6120.
[00:53:07.632 --> 00:53:09.953]  Now you can listen to Alex Jones when you want.
[00:53:13.175 --> 00:53:21.639]  Bookmark the Alex Jones 24-7 Listen Line number today.
[00:53:21.639 --> 00:53:21.839]  1-605-562-6120.
[00:53:21.839 --> 00:53:22.699]  1-605-562-6120.
[00:53:22.699 --> 00:53:25.300]  Hunters, anglers, campers, and survivalists.
[00:53:25.300 --> 00:53:26.381]  Get back to nature.
[00:53:26.381 --> 00:53:33.564]  Expand your horizons with the highest quality, most versatile, unique slingshots and sling bows on the market at slingbow.com.
[00:53:33.564 --> 00:53:37.226]  Slingbow products are compact and models start from just $17.98.
[00:53:37.226 --> 00:53:40.207]  They're perfect for your bug out bag or storing in your vehicle.
[00:53:40.427 --> 00:53:49.085]  Give yourself and your loved ones the excitement and tradition of Slingbow, a new frontier in archery and truly modern twist on this primitive survival tool.
[00:53:49.085 --> 00:53:51.690]  Feel the thrill only at Slingbow.com!
[00:54:08.968 --> 00:54:19.310]  I am an eternal optimist, but the globalists have told us that they're directing the technological development of our planet towards destruction.
[00:54:19.310 --> 00:54:32.854]  And if you study history, any decadent society begins to obsess on evil, on death, on destruction, and through the collective unconsciousness, basically manifests that.
[00:54:32.854 --> 00:54:37.635]  But we need to recognize the tyranny of the AI, the tyranny of the smart grid,
[00:54:39.087 --> 00:54:41.188]  When you hear smart, think slave.
[00:54:41.188 --> 00:54:43.350]  When you hear smart, think big brother.
[00:54:43.350 --> 00:54:54.037]  And just as we've been defeating the GMO lobby, and the gun grabbing lobby, and the fluoride lobby, we're going to defeat the AI.
[00:54:54.037 --> 00:55:01.642]  As the attacks on humanity become more and more clear, folks are going to join us, and that's beginning to happen.
[00:55:01.642 --> 00:55:05.825]  Reddit claims that an AI computer created this monstrosity of artwork.
[00:55:06.823 --> 00:55:07.984]  Who knows if it's true or not?
[00:55:07.984 --> 00:55:12.606]  If you're a TV viewer, we'll put it on screen.
[00:55:12.606 --> 00:55:25.874]  And I don't believe computers are bad in and of themselves, but if we don't educate the public properly about the way things are being engineered, we don't have a hope.
[00:55:25.874 --> 00:55:27.875]  Now, I haven't even gotten into Maynard.
[00:55:27.875 --> 00:55:35.360]  Maynard's always saying, don't try to throw me out of the leadership, be nice Tea Party, while he organizes with the Democrats to raise money to defeat the Tea Party.
[00:55:36.792 --> 00:55:44.257]  Three of the House members that voted to kill TPP that were in leadership have all been kicked out of leadership.
[00:55:44.257 --> 00:55:52.002]  It shouldn't be that the leaders of the House and Senate get to pick who the leaders are under them who basically get to control legislation.
[00:55:52.002 --> 00:55:53.863]  It's another form of royalty.
[00:55:53.863 --> 00:55:56.384]  And the committee system is only a hundred and something years old.
[00:55:56.384 --> 00:55:59.346]  It's a fraud.
[00:55:59.346 --> 00:56:02.668]  It needs to be removed.
[00:56:02.668 --> 00:56:03.389]  It's disgusting.
[00:56:05.558 --> 00:56:07.900]  Boehner takes his retribution.
[00:56:07.900 --> 00:56:09.381]  What a traitor!
[00:56:09.381 --> 00:56:23.550]  They vote to not hand over secretly our sovereignty to foreign corporations, and a few Republican leaders do the right thing and lead Republicans to say no, when all the big money's against it, and now they're trying to basically kick them out of leadership.
[00:56:23.550 --> 00:56:31.176]  The people that voted against TPP are the kind of folks we need to be governors and presidents.
[00:56:31.176 --> 00:56:34.498]  They're the type of folks you need to defend when the FBI indicts them.
[00:56:35.560 --> 00:56:37.661]  And just say, I don't care what you make up about them.
[00:56:37.661 --> 00:56:39.022]  They did the right thing for America.
[00:56:39.022 --> 00:56:41.604]  We don't buy it.
[00:56:41.604 --> 00:56:42.844]  We gotta hang together, folks.
[00:56:42.844 --> 00:56:46.667]  We're gonna lose everything.
[00:56:46.667 --> 00:56:55.972]  It's a no-brainer not to do what the globalists asked them to do.
[00:56:55.972 --> 00:57:01.075]  I've got dozens, 45 public statements of Hillary Clinton endorsing TPP.
[00:57:02.478 --> 00:57:08.244]  She's now saying she doesn't know if she likes it, to fool her moron constituents, who I guess aren't morons.
[00:57:08.244 --> 00:57:13.208]  They're smart enough that the biggest group not voting for TPP were Democrats.
[00:57:13.208 --> 00:57:14.429]  So see, that's what makes me mad.
[00:57:14.429 --> 00:57:18.313]  Democrats are smart in some areas, and then so stupid in others.
[00:57:18.313 --> 00:57:22.617]  Like, taking my guns is going to make you safer, idiot.
[00:57:22.617 --> 00:57:24.819]  What's your problem?
[00:57:24.819 --> 00:57:26.281]  And what's the Republicans' problem?
[00:57:29.821 --> 00:57:32.784]  Like, Democrats are the ones that don't like forced inoculations!
[00:57:32.784 --> 00:57:34.366]  What's the Republicans' problem?
[00:57:34.366 --> 00:57:35.507]  Law and order?
[00:57:35.507 --> 00:57:40.352]  Have corporations lobby government to make us take shots at the inserts they can kill us?
[00:57:40.352 --> 00:57:41.113]  By the way, briefly...
[00:57:42.301 --> 00:57:46.102]  Liver Shield, our latest product from Infowarslife.com is out.
[00:57:46.102 --> 00:57:47.062]  It's not a sales gimmick.
[00:57:47.062 --> 00:57:49.223]  It's selling better than I ever thought it would.
[00:57:49.223 --> 00:57:50.603]  We've already sold out of a third of it.
[00:57:50.603 --> 00:57:52.563]  We should have it for about a week, and then more should be in.
[00:57:52.563 --> 00:57:53.844]  It's easy to manufacture.
[00:57:53.844 --> 00:58:03.166]  We've got plenty of the herbs on hand, but you take it for a week with the oxy powder and then do the liver cleanse that's on Infowarslife.com with the olive oil.
[00:58:03.166 --> 00:58:04.506]  Lay on your side for an hour at night.
[00:58:05.166 --> 00:58:10.490]  Most people have spectacular results flushing a bunch of gallstones, and it's spectacular.
[00:58:10.490 --> 00:58:13.172]  It's not painful for most people, but consult your physician.
[00:58:13.172 --> 00:58:15.994]  It's one of the most incredible results I've ever seen.
[00:58:15.994 --> 00:58:18.175]  In fact, not one of the most incredible results.
[00:58:18.175 --> 00:58:21.538]  It's the most incredible health results I've ever seen in my life.
[00:58:21.538 --> 00:58:23.119]  Infowarslife.com
[00:58:24.780 --> 00:58:25.601]  Or 888-253-3139.
[00:58:25.601 --> 00:58:30.407]  We've got a special on it and the oxy powder that goes with it.
[00:58:30.407 --> 00:58:31.909]  Infowarslife.com.
[00:58:31.909 --> 00:58:34.271]  Second hour as we warn humanity coming up.
[00:58:34.271 --> 00:58:35.072]  We are an emergency beacon.
[00:58:35.072 --> 00:58:35.833]  Thank you for listening to GCN.
[00:58:35.833 --> 00:58:37.956]  We're an emergency transmission.
[00:58:37.956 --> 00:58:40.118]  Visit GCNlive.com today.
[00:58:44.213 --> 00:58:50.339]  Used since before the days of the Roman Empire to support the body's natural systems and enhance overall health.
[00:58:50.339 --> 00:58:54.923]  Introducing the new Infowarslife.com oil of oregano formulation.
[00:58:54.923 --> 00:59:02.630]  A highly advanced nutraceutical form of this key herb that has been traditionally used by civilizations for thousands of years to promote health.
[00:59:02.870 --> 00:59:08.395]  We have now procured the most high quality and potent forms of oregano oil on the market.
[00:59:08.395 --> 00:59:14.341]  Sourced from top leading manufacturers to ensure a concentrated level of bioactive ingredients.
[00:59:14.341 --> 00:59:19.306]  Extracted directly from the wild herb and sealed in easy to use capsules.
[00:59:19.306 --> 00:59:22.889]  You will no longer need to endure the burning of liquid oregano on the tongue.
[00:59:23.029 --> 00:59:24.269]  You're listening to the Alex Jones Show!
[01:00:00.120 --> 01:00:04.962]  Big Brother, Mainstream Media, Government Cover-Ups.
[01:00:04.962 --> 01:00:06.542]  You want answers?
[01:00:06.542 --> 01:00:08.083]  Well, so does he.
[01:00:08.083 --> 01:00:12.284]  He's Alex Jones on the GCN Radio Network.
[01:00:12.284 --> 01:00:16.326]  And now, live from Austin, Texas, Alex Jones.
[01:00:30.478 --> 01:00:33.060]  We are back live, broadcasting worldwide.
[01:00:33.060 --> 01:00:37.984]  I am your host, Alex Jones.
[01:00:37.984 --> 01:00:41.607]  Well, Boehner has taken his retribution, The Hill reports.
[01:00:41.607 --> 01:00:57.460]  House GOP leaders booted three members off the whip team for voting against a procedural rule that structured how a critical trade package was brought to the House floor last week.
[01:00:57.460 --> 01:00:59.521]  That shows the type of garbage that's going on.
[01:01:00.700 --> 01:01:09.907]  Hillary knows her party is partially sane and is against the TPP.
[01:01:09.907 --> 01:01:17.653]  And so we have an article on Infowars.com that Michael Krieger put together with 45 public statements with Hillary saying we must adopt the TPP.
[01:01:17.653 --> 01:01:19.555]  You can read those at Infowars.com.
[01:01:22.810 --> 01:01:29.894]  Coming up, town threatens mom $1,000 per day fine if she keeps goats needed to feed her babies.
[01:01:29.894 --> 01:01:34.057]  Little miniature goats.
[01:01:34.057 --> 01:01:37.259]  She's going to be joining us coming up because that story's been on a month or so.
[01:01:37.259 --> 01:01:48.425]  It ties into this other report where a veteran has an off-the-grid system.
[01:01:48.425 --> 01:01:50.226]  In fact, I had the article and I can't find it.
[01:01:50.226 --> 01:01:50.947]  Will you guys print it again?
[01:01:51.957 --> 01:01:58.905]  And the government came to him and said, you have to tie it into our grid or we're going to start fining you.
[01:01:58.905 --> 01:02:00.087]  This is all over the country.
[01:02:00.087 --> 01:02:10.159]  The system doesn't want people to have their own power systems.
[01:02:10.159 --> 01:02:11.040]  The system
[01:02:15.501 --> 01:02:19.184]  wants to force you into their controlled paradigm.
[01:02:19.184 --> 01:02:20.745]  It's all about being dependent.
[01:02:20.745 --> 01:02:24.708]  Military veteran taken to court by city over off-grid lifestyle.
[01:02:24.708 --> 01:02:28.251]  Authorities demand man's property be connected to city utilities.
[01:02:28.251 --> 01:02:30.673]  Infowars.com.
[01:02:30.673 --> 01:02:32.494]  And it was on WAFF.
[01:02:32.494 --> 01:02:41.321]  We're going to play part of that newscast when we come back in the next segment and tie it in to the GOAT situation.
[01:02:43.220 --> 01:02:44.541]  But this is how they operate.
[01:02:44.541 --> 01:02:45.942]  This is what it's all about.
[01:02:45.942 --> 01:02:52.608]  And then the really big news will be at the bottom of the hour.
[01:02:52.608 --> 01:02:57.873]  The next great European financial crisis has begun.
[01:02:57.873 --> 01:03:00.815]  And it's chilling.
[01:03:00.815 --> 01:03:04.819]  UK draws up contingency plans as Bank of Greece warns of uncontrollable crisis.
[01:03:06.229 --> 01:03:07.670]  It's going to be bad, whatever happens.
[01:03:07.670 --> 01:03:10.172]  Greece on the edge of Eurozone exit looms.
[01:03:10.172 --> 01:03:12.353]  That'll send shockwaves throughout the system.
[01:03:12.353 --> 01:03:17.077]  NatWest and RBS customers are panicking after thousands of payments went missing overnight.
[01:03:17.077 --> 01:03:23.801]  We're going to break that down.
[01:03:23.801 --> 01:03:28.745]  We're going to get into every angle of that.
[01:03:28.745 --> 01:03:31.747]  Because that will connect into markets here, obviously.
[01:03:31.747 --> 01:03:32.728]  And notice they've had three
[01:03:34.915 --> 01:03:39.817]  Bailouts for the mega banks that they spend are bailouts of the Greek people.
[01:03:39.817 --> 01:03:40.918]  Most of it's not even their debt.
[01:03:40.918 --> 01:03:46.761]  They were signed on just like Iceland and just like Ireland and just like every other country.
[01:03:46.761 --> 01:03:49.742]  90, 91, 92, 93 is the metric.
[01:03:49.742 --> 01:03:54.705]  Always 90% or more of the debt that comes out is not the country's.
[01:03:54.705 --> 01:03:59.347]  You're signed on like we were to the derivatives and to the banks.
[01:03:59.347 --> 01:04:00.327]  The bailout.
[01:04:00.327 --> 01:04:02.889]  Then they flip it around and say, oh, you're in debt to us.
[01:04:04.116 --> 01:04:09.161]  We give them the money to bail them out, and it isn't like they then just write it off.
[01:04:09.161 --> 01:04:10.442]  No, no, no, no.
[01:04:10.442 --> 01:04:14.946]  We're now in debt to them because the average person doesn't understand finances or how this works.
[01:04:14.946 --> 01:04:17.709]  They get away with it.
[01:04:17.709 --> 01:04:20.071]  And the Greeks are starving in many areas.
[01:04:20.071 --> 01:04:22.493]  It's third world now.
[01:04:22.493 --> 01:04:27.458]  Smart people, great farmland, great tourism.
[01:04:27.458 --> 01:04:28.358]  It's just falling apart.
[01:04:29.264 --> 01:04:31.645]  That's in the news today, Greeks starving.
[01:04:31.645 --> 01:04:34.366]  And it's just gonna get worse, and worse, and worse.
[01:04:34.366 --> 01:04:37.388]  Just like Argentina.
[01:04:37.388 --> 01:04:39.249]  Alright, I'm Alex Jones, your host.
[01:04:39.249 --> 01:04:43.711]  We'll be back with the Goat Bandit.
[01:04:43.711 --> 01:04:45.932]  That's right, ladies and gentlemen.
[01:04:45.932 --> 01:04:46.392]  G.G.
[01:04:46.392 --> 01:04:49.053]  Freeman's gonna be joining us.
[01:04:49.053 --> 01:04:52.115]  Actually, in about 20 minutes, I got more news to cover when we come back.
[01:04:52.115 --> 01:04:52.495]  Stay with us.
[01:04:55.342 --> 01:04:56.123]  Fast-tracked?
[01:04:56.123 --> 01:04:57.205]  It's not done.
[01:04:57.205 --> 01:05:05.500]  Outright lies about job creation are now giving way to discussions on how to pay for temporary unemployment benefits for those whose jobs will be exported.
[01:05:06.192 --> 01:05:08.453]  At first they were going to take the money out of Medicare.
[01:05:08.453 --> 01:05:16.015]  Now it looks like they will try to raise fines on small business to pay workers that multinational corporations will fire.
[01:05:16.015 --> 01:05:17.616]  It's not Obama trade.
[01:05:17.616 --> 01:05:19.476]  It's Monsanto trade.
[01:05:19.476 --> 01:05:20.617]  Merck trade.
[01:05:20.617 --> 01:05:22.657]  Goldman Sachs trade.
[01:05:22.657 --> 01:05:24.058]  It's not free trade.
[01:05:24.058 --> 01:05:31.760]  It's traders in Congress trying to pass a secret treaty by subterfuge and subverting the constitutional process for treaty ratification.
[01:05:32.412 --> 01:05:43.218]  The rich get richer as multinational corporations consolidate their ownership of everything, especially their ownership of the leaders of both parties.
[01:05:43.218 --> 01:05:44.419]  Educate your friends.
[01:05:44.419 --> 01:05:45.820]  Educate your families.
[01:05:45.820 --> 01:05:47.801]  Stop this before it's too late.
[01:05:47.801 --> 01:05:50.943]  For more information, go to Infowars.com.
[01:05:50.943 --> 01:05:51.503]  I'm David Knight.
[01:05:53.596 --> 01:05:58.738]  Introducing Secret 12, the new InfoWarsLife vitamin B12 formulation.
[01:05:58.738 --> 01:06:04.860]  Secret 12 is a binary of nutrimedical grade bioavailable coenzyme forms of B12.
[01:06:04.860 --> 01:06:09.641]  Methylcobalamin, the same kind used in B12 injections, and adenosylcobalamin.
[01:06:09.641 --> 01:06:13.203]  Secret 12 is simply taken by mouth, right on the tongue, and then swallowed.
[01:06:13.203 --> 01:06:15.183]  No needles, no injections.
[01:06:15.183 --> 01:06:20.305]  Secure your revolutionary Secret 12 formula right now at InfoWarsLife.com or call 888-253-3139.
[01:06:23.386 --> 01:06:26.908]  When cells become toxic, they die early and aging sets in.
