[00:00.000 --> 00:29.000]  Don't bother, they're here.
[49:24.000 --> 49:31.000]  This is the social safety net and the social compact broken.
[49:31.000 --> 49:34.000]  People ask, where is the charcoal toothpaste?
[49:34.000 --> 49:40.000]  The feds came after our silver toothpaste that we were evil, bad, said we were saying things we didn't say.
[49:40.000 --> 49:45.000]  That went away because I said, I'm not going to sell anymore because they kept accusing me of making claims I wasn't.
[49:45.000 --> 49:53.000]  So we put out charcoal toothpaste, high quality version, became a best seller, spent a year.
[49:53.000 --> 49:56.000]  Can't get it in.
[49:56.000 --> 49:59.000]  Can't get it in. You can't get it.
[49:59.000 --> 50:01.000]  Can I get some crap from China?
[50:01.000 --> 50:02.000]  Full of garbage? Yeah.
[50:02.000 --> 50:05.000]  Can I make something in the U.S. high quality? No.
[50:05.000 --> 50:08.000]  Can't do it. It's gone.
[50:08.000 --> 50:10.000]  What do you think that means to our economy?
[50:10.000 --> 50:12.000]  What do you think that means to the future?
[50:12.000 --> 50:14.000]  What do you think it means? It means a purposeful breakdown.
[50:14.000 --> 50:20.000]  So I'm not bitching, but I told my crew a couple months ago, they said, boss, we don't have enough money to keep operating in the future.
[50:20.000 --> 50:21.000]  And I said, don't worry.
[50:21.000 --> 50:24.000]  We're not going to be able to order most of the products anymore anyways.
[50:24.000 --> 50:28.000]  So I basically took everything I had on my own personal bank account and everything else started selling my house.
[50:28.000 --> 50:31.000]  Went out and got a loan. You name it.
[50:31.000 --> 50:34.000]  Mortgage my house before I went to sell it.
[50:34.000 --> 50:44.000]  And just said, buy everything you can now because it's going to get worse with the second lockdown and then nothing will be available because no one's ever going to go back to work because they'll have no confidence.
[50:44.000 --> 50:46.000]  And now they're getting ready for all of that.
[50:46.000 --> 50:49.000]  And so we got limited products in right now.
[50:49.000 --> 50:51.000]  And when it's done, it's done probably.
[50:51.000 --> 50:56.000]  That's what I'm telling you is this is an end game where there's going to bankrupt everybody where you will be able to operate regardless.
[50:56.000 --> 51:01.000]  And they'll do cyber attacks that shut down things for a few months to totally break your will and break your back.
[51:01.000 --> 51:05.000]  And I'm not glad it's happening, but this is warfare and they're doing it.
[51:05.000 --> 51:07.000]  So we'll operate as long as we can.
[51:07.000 --> 51:10.000]  We get as much capital in as we can now.
[51:10.000 --> 51:11.000]  We got product in stock.
[51:11.000 --> 51:13.000]  What we've got is what we've got.
[51:13.000 --> 51:14.000]  You need to get it.
[51:14.000 --> 51:25.000]  Survival Shield X2, the deep earth crystal iodine, the purest type for your body, your stamina, your veto, your image, your immune system, everything, your skin.
[51:25.000 --> 51:27.000]  It is 40% off.
[51:27.000 --> 51:29.000]  Don't know, we'll ever have it in stock again.
[51:29.000 --> 51:33.000]  Got a small shipment, 20% of what we wanted to put in.
[51:33.000 --> 51:36.000]  They said, when you take this, it's all we can get at the standards you want, highest quality.
[51:36.000 --> 51:39.000]  Vitamin D3 and vitamin K for your immune system under the tongue.
[51:39.000 --> 51:43.000]  We got a shipment of a couple of thousand bottles of it in.
[51:43.000 --> 51:45.000]  Out of cell, we got a cell at the price we got it.
[51:45.000 --> 51:47.000]  50% off.
[51:47.000 --> 51:52.000]  Green fiber, 1995 from high quality fiber from wheat sprouts and other sprouts.
[51:52.000 --> 51:56.000]  So it's incredible fiber with all the amino acids and more and a whole bunch of vitamins and minerals.
[51:56.000 --> 51:58.000]  It's 1995.
[51:58.000 --> 52:03.000]  Down and out, great natural sleep aid along with it's not as strong, but it's still excellent as well.
[52:03.000 --> 52:06.000]  Knockout, it's in pill form.
[52:06.000 --> 52:10.000]  Down and out, slick with those are both 50% off back in stock.
[52:10.000 --> 52:23.000]  M4warstore.com or triple eight, two, five, three, three, one, three, nine and separately Dave Lindell gave us the best discounts period that anybody has in his network of sellers.
[52:23.000 --> 52:29.000]  And that's because I said, I want the best deal you've got because some of his partners are great people, but I get it.
[52:29.000 --> 52:31.000]  They don't want a small percent.
[52:31.000 --> 52:33.000]  They want to sell stuff for a little bit higher price.
[52:33.000 --> 52:34.000]  They get a bigger piece of it.
[52:34.000 --> 52:36.000]  That's fine and dandy overhead shop, please.
[52:36.000 --> 52:41.000]  When you go to his website, you'll notice all these different banners, different talk show hosts and people for the special deals they have.
[52:41.000 --> 52:43.000]  Well, it's the radio listeners special.
[52:43.000 --> 52:44.000]  That's the Alex Jones special.
[52:44.000 --> 52:48.000]  That's the best deal across the board up to 66% off.
[52:48.000 --> 52:49.000]  Soon my picture will be up there.
[52:49.000 --> 52:50.000]  It'll be Alex Jones best deals.
[52:50.000 --> 52:52.000]  I'm sure the other people don't really want that, but that's okay.
[52:52.000 --> 52:53.000]  I'm out starting to fight.
[52:53.000 --> 52:54.000]  It's there.
[52:54.000 --> 53:04.000]  All the deals are great, but I have the best deals you're going to get with promo code Alex because obviously I want you to get the best deal out there on amazing sheets on incredible.
[53:04.000 --> 53:11.000]  Towels and hand towels, everything on beds for adults, for children, for animals, for dogs, for cats.
[53:11.000 --> 53:15.000]  And they've got the sheets and they've got, of course, the pillows all there.
[53:15.000 --> 53:22.000]  My pillow.com, my pillow.com, my pillow.com, promo code Alex, promo code Alex.
[53:22.000 --> 53:25.000]  And let me just tell you about a few other things here.
[53:25.000 --> 53:39.000]  You can also call 800-675-4614, 800-675-4614 specifically to get the Alex Jones deals.
[53:39.000 --> 53:40.000]  And it's just true.
[53:40.000 --> 53:48.000]  They are the best because I understand if you're another talk show host or making a deal and you won't have a bigger percentage for yourself.
[53:48.000 --> 53:49.000]  That's fine.
[53:49.000 --> 53:51.000]  I'd rather have the best deal and sell even more.
[53:51.000 --> 53:55.000]  And Dave Lindell did tell me, the biggest, bigger than Fox News, biggest thing you ever had is with us.
[53:55.000 --> 53:56.000]  So that works.
[53:56.000 --> 54:04.000]  So again, ladies and gentlemen, go to mypillow.com forward slash, they should create a forward slash, Alex, they don't have it yet.
[54:04.000 --> 54:15.000]  But mypillow.com, mypillow.com, and put in promo code A-L-E-X or 800-675-4614.
[54:15.000 --> 54:22.000]  That is the number for Alex Jones listeners when you go into their great system of folks up in Minnesota.
[54:22.000 --> 54:23.000]  And that's how you fund a operation.
[54:23.000 --> 54:27.000]  He's selling record numbers of products, thanks to you.
[54:27.000 --> 54:28.000]  But we have a smaller profit.
[54:28.000 --> 54:31.000]  That's okay because in the end it's a 360 win.
[54:31.000 --> 54:36.000]  But please fund us because I need to get as much money as we can into the future because they're about to shut everything down.
[54:36.000 --> 54:38.000]  We are under total attack, total war.
[54:38.000 --> 54:41.000]  We're holding out as long as we can, putting out the emergency transmissions.
[54:41.000 --> 54:42.000]  God help us.
[54:42.000 --> 54:45.000]  We'll be right back to stay with us into hour number two.
[54:51.000 --> 54:52.000]  Jacob in Ohio.
[54:52.000 --> 54:53.000]  Welcome.
[54:53.000 --> 54:54.000]  Go ahead.
[54:54.000 --> 54:55.000]  Hey, how's it going, Alex?
[54:55.000 --> 54:56.000]  Good.
[54:56.000 --> 54:57.000]  Great last caller.
[54:57.000 --> 54:59.000]  I just wanted to start with plugging your sleep supplement.
[54:59.000 --> 55:05.000]  It's basically the only way I get sleep anymore with all the gaslighting, moralization, and absurdity.
[55:05.000 --> 55:07.000]  It's like we're living in a twilight zone.
[55:07.000 --> 55:08.000]  All right.
[55:08.000 --> 55:09.000]  Eric's in New Hampshire.
[55:09.000 --> 55:10.000]  Eric, thanks for calling.
[55:10.000 --> 55:11.000]  Go ahead.
[55:11.000 --> 55:12.000]  Thanks for making my call.
[55:12.000 --> 55:15.000]  If I could, I just want to throw a quick plug out for the owner of the product.
[55:15.000 --> 55:16.000]  The XQ does wonders.
[55:16.000 --> 55:19.000]  They recommend it to everybody here on the fence about it.
[55:19.000 --> 55:20.000]  Get off the fence.
[55:20.000 --> 55:21.000]  Get the product.
[55:21.000 --> 55:22.000]  Support the Imp Award.
[55:22.000 --> 55:23.000]  Tyler in Maine.
[55:23.000 --> 55:24.000]  You're on the year.
[55:24.000 --> 55:25.000]  Thanks for rolling.
[55:25.000 --> 55:26.000]  Go ahead.
[55:26.000 --> 55:27.000]  Hey, Alex.
[55:27.000 --> 55:28.000]  It's great to be on with you.
[55:28.000 --> 55:29.000]  It's an honor.
[55:29.000 --> 55:30.000]  Honored to talk to you.
[55:30.000 --> 55:31.000]  Awesome.
[55:31.000 --> 55:33.000]  So, first thing I wanted to do was say I love the product.
[55:33.000 --> 55:35.000]  Alpha Power, even at 29.
[55:35.000 --> 55:37.000]  If you ask my better half, she loves it.
[55:37.000 --> 55:39.000]  And it helps in the bedroom.
[55:39.000 --> 55:41.000]  I think that only works.
[55:41.000 --> 55:43.000]  It's not a joke.
[55:43.000 --> 56:09.000]  It's not a joke.
[56:09.000 --> 56:14.000]  Well, guess what?
[56:14.000 --> 56:18.000]  It was Anthony Fauci, a eugenicist globalist that ran the rollout of HIV and the mistreatment
[56:18.000 --> 56:22.000]  of it with AZT and other chemicals that actually killed more people than HIV.
[56:22.000 --> 56:27.000]  And they were the ones involved in viral research of viruses that would actually go attack the
[56:27.000 --> 56:31.000]  T lymphocytes in the body and create autoimmune disorders.
[56:31.000 --> 56:36.000]  The problem for them was the viruses would then break down and would be non-lethal down
[56:36.000 --> 56:37.000]  the road.
[56:37.000 --> 56:42.000]  That's why they need to roll out the COVID-19 and the vaccine, because now they admit the
[56:42.000 --> 56:47.000]  COVID-19 vaccine destroys your immune system, basically giving you the equivalent of HIV.
[56:47.000 --> 56:52.000]  That's right, ladies and gentlemen.
[56:52.000 --> 57:18.000]  You're listening to the Alex Jones show.
[57:18.000 --> 57:22.000]  I'm a manager.
[57:22.000 --> 57:23.000]  I am publicist free.
[57:23.000 --> 57:26.000]  I am running the show here.
[57:26.000 --> 57:28.000]  And sometimes that means like a bull in a china shop.
[57:28.000 --> 57:31.000]  I know Mike Lindell's name is Mike Lindell.
[57:31.000 --> 57:34.000]  I was calling him Dave Lindell for some damn reason.
[57:34.000 --> 57:36.000]  I don't know what Dave Lindell is.
[57:36.000 --> 57:40.000]  But that's because I'm teleprompter free and I'm out of control and I am a maniac.
[57:40.000 --> 57:44.000]  So let me redo that plug properly here live and then I'm going to come back and I will
[57:44.000 --> 57:46.000]  control myself and just put my head down.
[57:46.000 --> 57:48.000]  I'm just doing too much research.
[57:48.000 --> 57:50.000]  I mean this stuff is starting to get to me.
[57:50.000 --> 57:51.000]  Every man has a breaking point.
[57:51.000 --> 57:52.000]  I think we've all found our breaking point.
[57:52.000 --> 57:54.000]  I think we're all in over our heads.
[57:54.000 --> 57:56.000]  That's why we need God.
[57:56.000 --> 58:03.000]  My friends, there are supply chain breakdowns happening all over the world.
[58:03.000 --> 58:07.000]  And when I try to get products in like our charcoal toothpaste that was the best seller,
[58:07.000 --> 58:09.000]  it's been almost a year.
[58:09.000 --> 58:12.000]  We can't get it in because the products and the things that are in it can't be sourced
[58:12.000 --> 58:14.000]  is that organic and high quality.
[58:14.000 --> 58:17.000]  If I want to buy something from China, it's absolutely open for business.
[58:17.000 --> 58:18.000]  They're ready to ship.
[58:18.000 --> 58:21.000]  So that's an example of what we're up against and why it's so hard.
[58:21.000 --> 58:26.000]  We have a limited supply of survival shield X2, the deep breath crystal iodine,
[58:26.000 --> 58:29.000]  the opposite of the bad halogen fluoride and chlorine bromide.
[58:29.000 --> 58:31.000]  We have a limited supply of it.
[58:31.000 --> 58:33.000]  50% off infowarstore.com.
[58:33.000 --> 58:38.000]  We also have winter sun, highest quality vitamin D3, vitamin K.
[58:38.000 --> 58:41.000]  Take it under your tongue for your immune system and your body.
[58:41.000 --> 58:43.000]  It's essential.
[58:43.000 --> 58:44.000]  It's 50% off.
[58:44.000 --> 58:47.000]  That sales going to have to end by, I'd say, early next week.
[58:47.000 --> 58:49.000]  You only have a few thousand bottles of it.
[58:49.000 --> 58:52.000]  And then we don't know when more is coming in because the supply chain is breaking down.
[58:52.000 --> 58:56.000]  I've got newscast all over the US, all over the world, all over Africa, all over Asia,
[58:56.000 --> 58:59.000]  all over Europe, all over England, where the store shelves are empty.
[58:59.000 --> 59:05.000]  Because the supply chain has broken down because the globalists bought up all the companies.
[59:05.000 --> 59:07.000]  They bankrupted most of the others.
[59:07.000 --> 59:10.000]  They got rid of most of the middle class things.
[59:10.000 --> 59:14.000]  And if one person, quote, tests positive for COVID, even asymptomatic,
[59:14.000 --> 59:16.000]  they shut down trucking companies.
[59:16.000 --> 59:17.000]  They shut down warehouses.
[59:17.000 --> 59:18.000]  It's a war.
[59:18.000 --> 59:20.000]  It's chicken little hysteria.
[59:20.000 --> 59:24.000]  And through those collapses, they can then buy up the companies even cheaper.
[59:24.000 --> 59:26.000]  So we're under economic warfare.
[59:26.000 --> 59:29.000]  But I'll tell you who's got five star ratings when it comes to customer service.
[59:29.000 --> 59:36.000]  I'll tell you who built his network and infrastructure and has thousands of employees here in the United States
[59:36.000 --> 59:41.000]  and sources of materials all over North America and from Africa as well, which he's proud of.
[59:41.000 --> 59:44.000]  That's where you get the good cotton and then they put it together here in the United States.
[59:44.000 --> 59:47.000]  And that is Mike Lindell.
[59:47.000 --> 59:49.000]  Mike Lindell is a patriot.
[59:49.000 --> 59:51.000]  Mike Lindell is fighting.
[59:51.000 --> 59:56.000]  He is bold and he's got his products in stock ready to ship to you.
[59:56.000 --> 1:00:02.000]  When you use promo code Alex, you get the best specials they've got.
[1:00:02.000 --> 1:00:03.000]  I want to show TV viewers this.
[1:00:03.000 --> 1:00:06.000]  There's a lot of different specials when you partner with them you can do.
[1:00:06.000 --> 1:00:10.000]  And some people are going to want to sell up at his regular price or close to it.
[1:00:10.000 --> 1:00:14.000]  It's still a great deal because they get a bigger piece of the pie.
[1:00:14.000 --> 1:00:17.000]  I'd rather sell for less and sell a lot more.
[1:00:17.000 --> 1:00:19.000]  That's just how my brain operates.
[1:00:19.000 --> 1:00:20.000]  It's not some marketing thing.
[1:00:20.000 --> 1:00:21.000]  It's just who I am.
[1:00:21.000 --> 1:00:27.000]  Whether it's their entire line of sheets or human beds that are revolutionary and very, very popular
[1:00:27.000 --> 1:00:32.000]  or animal beds for dogs and cats or the great towels or the pillows that they're best known for.
[1:00:32.000 --> 1:00:36.000]  It's all there at the radio listeners specials.
[1:00:36.000 --> 1:00:38.000]  Those are the best specials.
[1:00:38.000 --> 1:00:45.000]  He tells me if I want to go for volume instead of individually making more on each sale for the percentage he pays us.
[1:00:45.000 --> 1:00:46.000]  And he's done great.
[1:00:46.000 --> 1:00:47.000]  His people are great.
[1:00:47.000 --> 1:00:50.000]  They've really come through and taken us out of the red into the black.
[1:00:50.000 --> 1:00:56.000]  So thank you all for shopping at mypelo.com up to 66% off with promo code Alex.
[1:00:56.000 --> 1:01:00.000]  And again, I'm not bashing these other people.
[1:01:00.000 --> 1:01:04.000]  I'm not bashing all the other talk show hosts and people that have chosen their deals.
[1:01:04.000 --> 1:01:10.000]  Some of their deals are as good, but overall the best deals together is the radio listeners specials.
[1:01:10.000 --> 1:01:11.000]  It doesn't matter though.
[1:01:11.000 --> 1:01:15.000]  At checkout, you put Alex in and whatever the best deal is, it gives it to you.
[1:01:15.000 --> 1:01:16.000]  I'm going to explain that again.
[1:01:16.000 --> 1:01:25.000]  I could go and sell at his regular retail price twice as much and then make twice as much each sale.
[1:01:25.000 --> 1:01:26.000]  I don't want that.
[1:01:26.000 --> 1:01:33.000]  I want the lowest price on the high quality products and I believe we'll sell a lot more than everybody else, which we've now done.
[1:01:33.000 --> 1:01:34.000]  So that's great.
[1:01:34.000 --> 1:01:41.000]  We're selling a ton of his great products, making a lot less per item, but overall bringing in more to funder operation.
[1:01:41.000 --> 1:01:42.000]  And it's a godsend.
[1:01:42.000 --> 1:01:46.000]  So thank you all for shopping at mypelo.com promo code Alex.
[1:01:46.000 --> 1:01:52.000]  And there's also a toll free number that I want to give you 800-675-4614.
[1:01:52.000 --> 1:01:56.000]  That's the exclusive line for us.
[1:02:22.000 --> 1:02:30.000]  Organic wheatgrass leaf, organic cilantro leaf, organic kale leaf, organic flax sprout, organic quinoa sprout.
[1:02:30.000 --> 1:02:33.000]  Ladies and gentlemen, all of these things are so incredible for your health.
[1:02:33.000 --> 1:02:37.000]  Just one of these ingredients can be a life changing supplement for your health.
[1:02:37.000 --> 1:02:42.000]  And we've packed it all in to fibergreencaps at infowarstore.com.
[1:02:42.000 --> 1:02:46.000]  So I'm excited to add this to my supplement routine every day.
[1:02:46.000 --> 1:02:48.000]  I suggest that you do the same thing.
[1:02:48.000 --> 1:02:52.000]  And right now it's at an introductory price of $19.95.
[1:02:52.000 --> 1:03:21.000]  That's 33% off at infowarstore.com.
[1:03:22.000 --> 1:03:31.000]  It's Alex Jones.
[1:03:31.000 --> 1:03:39.000]  Lock up your wife and children now.
[1:03:39.000 --> 1:03:43.000]  Horsemen are here.
[1:03:43.000 --> 1:03:45.000]  They're here now.
[1:03:45.000 --> 1:03:48.000]  And they come to take your life.
[1:03:48.000 --> 1:03:52.000]  Coming up next segment, I'm going to give you the biggest story yet that's breaking.
[1:03:52.000 --> 1:03:54.000]  Massive internet outages around the world.
[1:03:54.000 --> 1:03:55.000]  Who stands to gain?
[1:03:55.000 --> 1:03:57.000]  Who has the history of doing it?
[1:03:57.000 --> 1:03:58.000]  Who is the terrorist?
[1:03:58.000 --> 1:03:59.000]  Klaus Schwab.
[1:03:59.000 --> 1:04:00.000]  That's coming up.
[1:04:00.000 --> 1:04:02.000]  Again, I'm your host, Alex Jones.
[1:04:02.000 --> 1:04:08.000]  And wow, Biden's off the rails behavior last night at a new level.
[1:04:08.000 --> 1:04:09.000]  What's really behind that?
[1:04:09.000 --> 1:04:11.000]  I'm going to break that down.
[1:04:11.000 --> 1:04:17.000]  Top medical scientists coming out saying the majority of people that take these so-called shots are going to have heart problems.
[1:04:17.000 --> 1:04:23.000]  The majority, 80 plus percent of people that have taken the Moderna or Pfizer shots are now showing blood clots.
[1:04:23.000 --> 1:04:25.000]  And these blood clots keep growing.
[1:04:25.000 --> 1:04:27.000]  You ask, why would they do something like this?
[1:04:27.000 --> 1:04:28.000]  It's an assault.
[1:04:28.000 --> 1:04:30.000]  We tried to get out of the new world order.
[1:04:30.000 --> 1:04:31.000]  We said no to the globalists.
[1:04:31.000 --> 1:04:33.000]  They came after us.
[1:04:33.000 --> 1:04:38.000]  But a lot of people online have seen these videos going viral.
[1:04:38.000 --> 1:04:40.000]  There's a lot of them.
[1:04:40.000 --> 1:04:46.000]  Watch Alex Jones predict lock-downs for manufactured virus pandemic 2018.
[1:04:46.000 --> 1:04:48.000]  This had five, six million views.
[1:04:48.000 --> 1:04:51.000]  They took it off Twitter, Facebook, Instagram, you name it.
[1:04:51.000 --> 1:04:52.000]  It's been re-uploaded.
[1:04:52.000 --> 1:04:55.000]  Last time I checked it, I was like, you know, one video is like 700,000 views.
[1:04:55.000 --> 1:05:00.000]  And they're whack-a-moling, not disinfo about the current rollout, but the warning.
[1:05:00.000 --> 1:05:06.000]  So how are you giving out disinfo about COVID-19 before COVID-19 was released from that laboratory?
[1:05:06.000 --> 1:05:09.000]  Remember, you weren't even supposed to say it was released from the laboratory before.
[1:05:09.000 --> 1:05:10.000]  But now you're allowed to say that.
[1:05:10.000 --> 1:05:15.000]  I mean, this is just a cult of control freak seeing what they can do and assaulting us.
[1:05:15.000 --> 1:05:17.000]  So Darren put together a compilation.
[1:05:17.000 --> 1:05:24.000]  Alex Jones brought from 1998 right through into 2020.
[1:05:24.000 --> 1:05:25.000]  It's like an eight-minute club.
[1:05:25.000 --> 1:05:27.000]  I'm not going to have time to play the whole thing.
[1:05:27.000 --> 1:05:31.000]  But a lot of folks said, hey, we don't want to see a bunch of fancy articles and graphics over you.
[1:05:31.000 --> 1:05:32.000]  We think this is fake.
[1:05:32.000 --> 1:05:33.000]  We think you read a script.
[1:05:33.000 --> 1:05:35.000]  We think you didn't say this.
[1:05:35.000 --> 1:05:37.000]  That's why they also said they took it off Twitter.
[1:05:37.000 --> 1:05:38.000]  They said, this is fake.
[1:05:38.000 --> 1:05:39.000]  He didn't really do this.
[1:05:39.000 --> 1:05:40.000]  Well, of course I did it.
[1:05:40.000 --> 1:05:41.000]  It's all right there.
[1:05:41.000 --> 1:05:42.000]  It's an operation lockstep.
[1:05:42.000 --> 1:05:45.000]  Okay, so they don't want this scene.
[1:05:45.000 --> 1:05:47.000]  So here's some of the raw footage.
[1:05:47.000 --> 1:05:49.000]  Biological and chemical attacks are imminent.
[1:05:49.000 --> 1:05:50.000]  They are preparing us.
[1:05:50.000 --> 1:05:56.000]  They are going to create a crisis because they know that they can't deal with a real political backlash
[1:05:56.000 --> 1:06:03.000]  and the restructuring and the reforming and getting back to the Bill of Rights and the Constitution.
[1:06:03.000 --> 1:06:05.000]  Biological attack is imminent.
[1:06:05.000 --> 1:06:06.000]  It's 1998.
[1:06:06.000 --> 1:06:07.000]  Iminent.
[1:06:07.000 --> 1:06:08.000]  It's going to happen.
[1:06:08.000 --> 1:06:13.000]  It's going to be a question of if, but when there's going to be a chemical or biological attack on the American people
[1:06:13.000 --> 1:06:18.000]  and what is their solution, they say, give up our rights, submit to Big Brother.
[1:06:18.000 --> 1:06:25.000]  The same thing Hitler did in 33 when he said the Jews, the blah, blah, blah, they're going to blow something up
[1:06:25.000 --> 1:06:33.000]  if I don't take full command and round people up and suspend and set up checkpoints and issue license and papers.
[1:06:33.000 --> 1:06:40.000]  During the Model States Health Emergency Powers Act, number 2002, they wanted to have forced inoculation nationwide for smallpox
[1:06:40.000 --> 1:06:48.000]  and it came out in news articles that, oh yeah, the feds are going to use sports stadiums and postal offices
[1:06:48.000 --> 1:06:55.000]  as the centers where if you refuse to be inoculated, you'll be taken and beheld, but will also forcibly inoculate
[1:06:55.000 --> 1:06:59.000]  if we're given the orders at these injection facilities.
[1:06:59.000 --> 1:07:02.000]  I mean, I'm not even worthy to be bringing you information that's powerful.
[1:07:02.000 --> 1:07:07.000]  And I hope that you pay attention to what we cover here minute by minute
[1:07:07.000 --> 1:07:11.000]  because I've had chills since last night.
[1:07:11.000 --> 1:07:16.000]  This just confirms everything else we've already researched.
[1:07:16.000 --> 1:07:22.000]  But Rockefeller study envisions future dictatorship controlled by elite,
[1:07:22.000 --> 1:07:27.000]  millions being killed, mandatory quarantines, checkpoints, the end of the family,
[1:07:27.000 --> 1:07:33.000]  everything that's in the other documents, but this dovetails with all the other Rockefeller Foundation documents
[1:07:33.000 --> 1:07:39.000]  about the GMO food to sterilize you and the forced vaccines and the hell we're already living in
[1:07:39.000 --> 1:07:44.000]  that's just going to continue to intensify until we take our governments back from these eugenics madmen.
[1:07:44.000 --> 1:07:48.000]  The question is, will you have the courage to really do the research yourself?
[1:07:48.000 --> 1:07:52.000]  Because I don't want you to just sit here and hear me make these claims.
[1:07:52.000 --> 1:07:57.000]  These people are so arrogant that they write policy papers, so many of them,
[1:07:57.000 --> 1:08:05.000]  that they're producing these policy papers and reports and white papers so fast that you could never read them all.
[1:08:05.000 --> 1:08:10.000]  I pray to God, I pray to my heavenly Father Jesus Christ every night to give me the strength
[1:08:10.000 --> 1:08:15.000]  and the will to be able to face this horror and to give me the strength to carry on
[1:08:15.000 --> 1:08:19.000]  because I know why a lot of you don't want to look at this information
[1:08:19.000 --> 1:08:23.000]  and you just want to comment on the YouTube videos or on message boards and I'm a liar.
[1:08:23.000 --> 1:08:29.000]  I know why because it's scary. You're not going to be able to go to the ball games anymore.
[1:08:29.000 --> 1:08:32.000]  You're not going to be able to just go out and get drunk with your friends.
[1:08:32.000 --> 1:08:36.000]  You're not going to be able to just go out and enjoy yourself all the time.
[1:08:36.000 --> 1:08:40.000]  Once you face this information, once you've consciously admitted it to yourself,
[1:08:40.000 --> 1:08:44.000]  it will take over your life. It should take over your life.
[1:08:44.000 --> 1:08:52.000]  What else could it do? The only chance we've got of beating this scientific dictatorship,
[1:08:52.000 --> 1:08:58.000]  this creeping death that takes its time to incrementally enslave you,
[1:08:58.000 --> 1:09:01.000]  mentally, psychologically, physically, spiritually,
[1:09:01.000 --> 1:09:09.000]  the only way to defeat it is for the rank and file of this planet
[1:09:09.000 --> 1:09:14.000]  to realize that you have a choice to make on what your destiny is going to be.
[1:09:14.000 --> 1:09:18.000]  When loser draw, you need to choose a side.
[1:09:18.000 --> 1:09:24.000]  You need to spend some time this afternoon, this evening, over the weekend
[1:09:24.000 --> 1:09:31.000]  to close the shutters, to sit there in your easy chair,
[1:09:31.000 --> 1:09:37.000]  and to just sit back and think about the claims I've made here
[1:09:37.000 --> 1:09:43.000]  and decide on whether or not you're going to research the information we've laid out.
[1:09:43.000 --> 1:09:47.000]  In its 1968 yearly report, the Rockefeller Foundation acknowledged
[1:09:47.000 --> 1:09:50.000]  funding the development of so-called anti-fertility vaccines
[1:09:50.000 --> 1:09:55.000]  and the implementation of mass scale from page 51 onward we read.
[1:09:55.000 --> 1:10:01.000]  And remember, one of Bill Gates' uncles, Bill Gates' dad, headed up Planned Parenthood,
[1:10:01.000 --> 1:10:05.000]  they worked for the Rockefellers. We've confirmed that.
[1:10:05.000 --> 1:10:09.000]  And this 100-plus billion that these 40 billionaires have put in,
[1:10:09.000 --> 1:10:13.000]  38 billion from the Gates', 38 billion from Buffett,
[1:10:13.000 --> 1:10:16.000]  some more billions added by these other billionaires,
[1:10:16.000 --> 1:10:19.000]  the Rockefeller Foundation is running this.
[1:10:19.000 --> 1:10:21.000]  And remember, the Times of London headline,
[1:10:21.000 --> 1:10:28.000]  billionaires meet in secret to plan population control, population reduction.
[1:10:28.000 --> 1:10:32.000]  And at the end of the article, it talks about a world government to carry this out.
[1:10:32.000 --> 1:10:36.000]  What does Ecoscience cover?
[1:10:36.000 --> 1:10:40.000]  And it says, several types of drugs are known to diminish male fertility,
[1:10:40.000 --> 1:10:43.000]  but those have been tested, have serious problems with toxicity.
[1:10:43.000 --> 1:10:45.000]  Yeah, by Sphinol A.
[1:10:45.000 --> 1:10:50.000]  Rockefeller Foundation developed vaccines for mass scale fertility reduction.
[1:10:50.000 --> 1:10:54.000]  Don't say you weren't warned.
[1:10:54.000 --> 1:10:57.000]  They go on to say, using vaccines to reduce male fertility
[1:10:57.000 --> 1:11:01.000]  was something that needed to be investigated further according to Rockefeller Foundation
[1:11:01.000 --> 1:11:07.000]  because both the oral pill and the IUD were not sustainable for mass scale distribution.
[1:11:07.000 --> 1:11:10.000]  And of course, they want to do it by stealth.
[1:11:10.000 --> 1:11:14.000]  Oh, get your flu shot. Oh, you know, half of you'll never have kids.
[1:11:14.000 --> 1:11:16.000]  The other halves will have reduced.
[1:11:16.000 --> 1:11:21.000]  See, it's got to be soft kill. It can't hit everybody, or it'd be too noticeable.
[1:11:21.000 --> 1:11:23.000]  But they're testing how much they can get away with right now.
[1:11:23.000 --> 1:11:26.000]  You know, they want to hit those babies in the womb,
[1:11:26.000 --> 1:11:30.000]  kind of like the UN programs worldwide where they only want to help the pregnant women.
[1:11:30.000 --> 1:11:33.000]  They come give them shots, and they all have miscarriages on the spot,
[1:11:33.000 --> 1:11:36.000]  and they send armed troops to enforce the injections.
[1:11:36.000 --> 1:11:40.000]  And that's what America's turning into as well.
[1:11:40.000 --> 1:11:43.000]  I mean, you can't ignore this.
[1:11:43.000 --> 1:11:49.000]  Northrop Grumman bragged in a press release that it was going to use its cybersecurity technology
[1:11:49.000 --> 1:11:52.000]  to innovate new systems, I'm paraphrasing, obviously,
[1:11:52.000 --> 1:11:56.000]  but to innovate new systems to track the spread of infectious disease
[1:11:56.000 --> 1:12:02.000]  and to develop more aggressive inoculation or vaccination technologies.
[1:12:02.000 --> 1:12:05.000]  Well, what they said, I remember that coming out a few months ago,
[1:12:05.000 --> 1:12:09.000]  that they're going to come out with the new tracking systems where you've got to have your shots
[1:12:09.000 --> 1:12:11.000]  to be able to go out and do anything.
