[00:00:01.000 --> 00:00:15.000]  Intro
[00:51:04.630 --> 00:51:05.630]  who will do whatever they want.
[00:51:05.630 --> 00:51:07.630]  They're panning for satanic gold.
[00:51:07.630 --> 00:51:11.630]  And now they're building their armies of Mordor, ladies and gentlemen.
[00:51:11.630 --> 00:51:13.630]  They're literally building them and rolling them out
[00:51:13.630 --> 00:51:18.630]  and then openly saying word for word what I have told you,
[00:51:18.630 --> 00:51:21.630]  that when they come out, okay, we told you cyber stuff is imminent.
[00:51:21.630 --> 00:51:24.630]  We're going to get all the power from it and give you an Internet ID.
[00:51:24.630 --> 00:51:28.630]  And the Internet will be off for a while, but we'll shut it off to protect the grid
[00:51:28.630 --> 00:51:29.630]  because that's how they're going to attack the web.
[00:51:29.630 --> 00:51:33.630]  It's the right wingers with the Russians, damn that Putin.
[00:51:33.630 --> 00:51:35.630]  But when we come back, there'll be a new Internet ID,
[00:51:35.630 --> 00:51:37.630]  and it'll work again maybe a few weeks, maybe a few months.
[00:51:37.630 --> 00:51:40.630]  If you get in line or a trusted Internet user like your trusted flyer,
[00:51:40.630 --> 00:51:42.630]  you'll be able to get back on in a few weeks.
[00:51:42.630 --> 00:51:45.630]  But just please, ladies and gentlemen, let's go through the crisis.
[00:51:45.630 --> 00:51:46.630]  Just don't question us.
[00:51:46.630 --> 00:51:48.630]  We're arresting the right wingers to knock the grid out,
[00:51:48.630 --> 00:51:51.630]  and we're sending them to facilities for everybody's safety.
[00:51:51.630 --> 00:51:52.630]  You'll get your power back on.
[00:51:52.630 --> 00:51:55.630]  Just help us identify anybody who's against this.
[00:51:55.630 --> 00:51:56.630]  And now they're running Homeland Security ads.
[00:51:56.630 --> 00:51:57.630]  Look for the right wingers.
[00:51:57.630 --> 00:51:58.630]  Who doesn't agree?
[00:51:58.630 --> 00:52:00.630]  Who doesn't want to take a shot?
[00:52:00.630 --> 00:52:02.630]  Who's questioning the official story?
[00:52:02.630 --> 00:52:03.630]  That's a terror.
[00:52:03.630 --> 00:52:04.630]  They're the ones.
[00:52:04.630 --> 00:52:08.630]  That neighbor, the reason your power's off is because your neighbor is going around telling everybody it was the government.
[00:52:08.630 --> 00:52:10.630]  Just call us and tell us who they are.
[00:52:10.630 --> 00:52:13.630]  And again, it's not just that they don't even know who's resisting.
[00:52:13.630 --> 00:52:19.630]  They want the neighbors to get involved in tattling so that then the neighbors will tattle on them later.
[00:52:19.630 --> 00:52:21.630]  And it's all of us against each other.
[00:52:21.630 --> 00:52:23.630]  They've got us, and they win.
[00:52:23.630 --> 00:52:25.630]  I mean this is the classic signature.
[00:52:25.630 --> 00:52:31.630]  It's out in the open, and we have nailed it once again exactly, precisely what they're going to do.
[00:52:31.630 --> 00:52:32.630]  People, are you insane?
[00:52:32.630 --> 00:52:33.630]  Are you insane?
[00:52:33.630 --> 00:52:38.630]  We are literally in the apartment with Jeffrey Dahmer.
[00:52:38.630 --> 00:52:40.630]  He's drugged us now.
[00:52:40.630 --> 00:52:43.630]  And before we fully pass out, we could just jump out his window.
[00:52:43.630 --> 00:52:47.630]  We're going to go down two stories, probably break our arm, but neighbors will see.
[00:52:47.630 --> 00:52:48.630]  The cops will come.
[00:52:48.630 --> 00:52:49.630]  I mean I'm starting to pass out.
[00:52:49.630 --> 00:52:50.630]  I'm at Jeffrey Dahmer's house.
[00:52:50.630 --> 00:52:52.630]  I see him coming to put me in handcuffs.
[00:52:52.630 --> 00:52:53.630]  I'm through the window.
[00:52:53.630 --> 00:52:58.630]  And I don't mean literally, folks, but it's like Jason Bourne in the first Bourne movie when he jumps out the window to get away from him.
[00:52:58.630 --> 00:53:00.630]  I mean that's where we're at.
[00:53:01.630 --> 00:53:02.630]  I mean this is it.
[00:53:02.630 --> 00:53:03.630]  I'm a Troyer.
[00:53:03.630 --> 00:53:12.630]  Well, and we have this balance, Alex, and people will tune in, and they love the Alex Jones energy and the personality,
[00:53:12.630 --> 00:53:19.630]  but it's this balance between, hey, we're here every day to get the news and have the political discourse that you won't have anywhere else,
[00:53:19.630 --> 00:53:24.630]  but also we are the front lines of the resistance, meaning we're going to be the ones hit with the flack.
[00:53:25.630 --> 00:53:31.630]  We're going to be the ones hit with the first armor-piercing bullets and explosions on this information battlefield.
[00:53:31.630 --> 00:53:34.630]  And so it's like this, Alex.
[00:53:34.630 --> 00:53:40.630]  They tried to blame you and Donald Trump and others for January 6th, myself included.
[00:53:40.630 --> 00:53:42.630]  And so what did we have to do?
[00:53:42.630 --> 00:53:45.630]  Well, they saw every single text you ever sent.
[00:53:45.630 --> 00:53:52.630]  They saw every single text and email and all of our data, literally every single one of our communications.
[00:53:52.630 --> 00:53:53.630]  And guess what?
[00:53:53.630 --> 00:54:01.630]  There was nothing there because we never – we're lucky if we can even – I mean, folks, we're lucky if we can even plan a breakfast meeting with our heads straight.
[00:54:01.630 --> 00:54:03.630]  So they go through everything.
[00:54:03.630 --> 00:54:04.630]  We had nothing to do with any violence.
[00:54:04.630 --> 00:54:05.630]  We were always peaceful.
[00:54:05.630 --> 00:54:07.630]  You called for peace that day.
[00:54:07.630 --> 00:54:09.630]  We just wanted to speak at an event down in D.C.
[00:54:09.630 --> 00:54:11.630]  And so, yeah, they wanted to frame us.
[00:54:11.630 --> 00:54:13.630]  They wanted to frame Alex Jones.
[00:54:13.630 --> 00:54:14.630]  There was nothing there.
[00:54:14.630 --> 00:54:16.630]  There was no plan.
[00:54:16.630 --> 00:54:18.630]  They went through all of our communications, folks.
[00:54:18.630 --> 00:54:25.630]  They had to admit it in major syndicated stories how, yep, they went through Alex Jones' messages, and there was nothing there.
[00:54:25.630 --> 00:54:32.630]  And, yep, we followed Alex Jones' activity on January 6th, and he actually called for peace and tried to stop people from going into the Capitol.
[00:54:32.630 --> 00:54:34.630]  That drove them nuts.
[00:54:34.630 --> 00:54:36.630]  That was like, thank you, God.
[00:54:36.630 --> 00:54:40.630]  Thank you, God, we didn't fall into that trap and lose ourselves.
[00:54:40.630 --> 00:54:47.630]  So it's like now that we have that experience, let's get ahead of it before they try to frame us for whatever next false flag that they're going to run.
[00:54:47.630 --> 00:54:50.630]  So aside from that and just getting too berserk here.
[00:54:50.630 --> 00:54:52.630]  That's what I want to explain to listeners.
[00:54:52.630 --> 00:54:53.630]  That's what I want to explain to listeners.
[00:54:53.630 --> 00:54:55.630]  They're framing all of you.
[00:54:55.630 --> 00:55:02.630]  Anyone that doesn't want open borders, election fraud, or new lockdowns and forced injections, this is official, is a terrorist.
[00:55:02.630 --> 00:55:08.630]  You don't give into that and say, oh, no, I'm for lockdowns, I want forced shots, and I want open borders.
[00:55:08.630 --> 00:55:10.630]  Oh, please don't say I'm a terrorist.
[00:55:10.630 --> 00:55:12.630]  The people saying that are the terrorists.
[00:55:12.630 --> 00:55:14.630]  They're the bad guys.
[00:55:14.630 --> 00:55:16.630]  That's what I'm telling you, ladies and gentlemen.
[00:55:16.630 --> 00:55:21.630]  And meanwhile, Ray Epps, in his text messages, yes, I orchestrated the break-in at the Capitol.
[00:55:21.630 --> 00:55:23.630]  And the committee's like, that's okay you said that.
[00:55:23.630 --> 00:55:25.630]  Yeah, I ran signs to the police.
[00:55:25.630 --> 00:55:26.630]  That's okay.
[00:55:26.630 --> 00:55:28.630]  Yeah, for two days I ran around and said go into the Capitol.
[00:55:28.630 --> 00:55:29.630]  Well, that's okay.
[00:55:29.630 --> 00:55:31.630]  We should sue anybody that says you should be looked at.
[00:55:31.630 --> 00:55:35.630]  You're good, but let's indict Owen Schroer.
[00:55:35.630 --> 00:55:38.630]  So I just, like you said, it's all of us.
[00:55:38.630 --> 00:55:41.630]  You're still facing trial.
[00:55:41.630 --> 00:55:47.630]  Yeah, I will be in court in D.C. in less than a month from today.
[00:55:47.630 --> 00:55:50.630]  That's correct.
[00:55:50.630 --> 00:55:55.630]  So, I mean, it is just totally insane.
[00:55:55.630 --> 00:56:00.630]  And I'm just trying to explain to listeners, this is real.
[00:56:00.630 --> 00:56:02.630]  You see it.
[00:56:02.630 --> 00:56:04.630]  All I can say is we're going to start the next hour.
[00:56:04.630 --> 00:56:05.630]  I'm going to open the phones up.
[00:56:05.630 --> 00:56:08.630]  I got a bunch of other clips, a bunch of other big news stories.
[00:56:08.630 --> 00:56:14.630]  But we're taking calls specifically on the cyber attack and the pre-programming
[00:56:14.630 --> 00:56:17.630]  and how obvious it is and your view on this and what we do to stop this,
[00:56:17.630 --> 00:56:20.630]  because they want to take the power grid out to break our will
[00:56:20.630 --> 00:56:23.630]  and bring in total control, but they just might have a plan to do it.
[00:56:23.630 --> 00:56:25.630]  And it's on, ladies and gentlemen.
[00:56:25.630 --> 00:56:35.630]  877-789-2539, 877-789-Alex, 877-789-2539, 877-789-2539.
[00:56:35.630 --> 00:56:38.630]  And I'm so resigned in all of this.
[00:56:38.630 --> 00:56:41.630]  Look, all I want is your word of mouth and to tell people to tune in to the show
[00:56:41.630 --> 00:56:43.630]  and to share the clips.
[00:56:43.630 --> 00:56:45.630]  And you're doing it, and it's having a bigger effect than ever.
[00:56:45.630 --> 00:56:48.630]  And we really are on the tip of the spear, so I'm very blessed and honored.
[00:56:48.630 --> 00:56:50.630]  And please keep us on air while still getting great products.
[00:56:50.630 --> 00:56:53.630]  I mean, you really need to get our full-spectrum CBD oil.
[00:56:53.630 --> 00:56:56.630]  It's so good for your joints and bones and your neurological systems.
[00:56:56.630 --> 00:56:59.630]  You really need to get our ultimate krill oil, ultimate fish oil.
[00:56:59.630 --> 00:57:01.630]  You really need turbo, four-star clean energy.
[00:57:01.630 --> 00:57:04.630]  Everybody needs X3, the tri-ionine.
[00:57:04.630 --> 00:57:06.630]  It'll take everything in your body to the next level.
[00:57:06.630 --> 00:57:07.630]  Most people have iodine deficiencies.
[00:57:07.630 --> 00:57:09.630]  Go to infowarsstore.com.
[00:57:09.630 --> 00:57:10.630]  Get X3.
[00:57:10.630 --> 00:57:11.630]  It doesn't just fund the operation.
[00:57:11.630 --> 00:57:14.630]  These are game-changing products.
[00:57:14.630 --> 00:57:16.630]  These are amazing products.
[00:57:16.630 --> 00:57:20.630]  Infowarsstore.com or 888-253-3139.
[00:57:20.630 --> 00:57:24.630]  Also back in stock, the essential oil-infused charcoal,
[00:57:24.630 --> 00:57:26.630]  oxidative charcoal toothpaste is over the top.
[00:57:26.630 --> 00:57:27.630]  Excellent.
[00:57:27.630 --> 00:57:29.630]  Also finally back in stock, limited shipment.
[00:57:29.630 --> 00:57:33.630]  We have the ultimate tooth whitening toothpaste, the coral calcium toothpaste,
[00:57:33.630 --> 00:57:35.630]  infused essential oils back in stock.
[00:57:35.630 --> 00:57:37.630]  It's the toothpaste back in stock.
[00:57:37.630 --> 00:57:42.630]  Infowarsstore.com or 888-253-3139.
[00:57:42.630 --> 00:57:43.630]  Please take action now.
[00:57:43.630 --> 00:57:45.630]  Hour number two straight ahead.
[00:57:45.630 --> 00:57:46.630]  Stay with us.
[00:57:47.530 --> 00:57:56.250]  Sold out for more than a year, we now have back in stock a limited run of our extremely
[00:57:56.250 --> 00:58:04.330]  popular tooth whitening coral calcium toothpaste full of essential oils back in stock at InfoWarsStore.com.
[00:58:04.330 --> 00:58:08.650]  Another great product sold out for almost a year is our activated charcoal essential
[00:58:08.650 --> 00:58:10.450]  oil toothpaste as well.
[00:58:10.450 --> 00:58:15.530]  These are both incredible for your gums, polish your teeth, amazing to counter gingivitis,
[00:58:15.530 --> 00:58:16.530]  and they fund the InfoWars.
[00:58:16.530 --> 00:58:19.290]  There are no fillers in these products.
[00:58:19.290 --> 00:58:25.610]  These are fluoride-free, next-level toothpaste, 10,000 of each tube, limited run, available
[00:58:25.610 --> 00:58:31.650]  exclusively at InfoWarsStore.com, and your purchase funds the operation, plus these are
[00:58:31.650 --> 00:58:33.130]  incredible products you need.
[00:58:33.130 --> 00:58:37.210]  So the coral calcium tooth whitening and the activated charcoal essential oil toothpaste
[00:58:37.210 --> 00:58:41.210]  are now both back in stock at InfoWarsStore.com.
[00:58:41.210 --> 00:58:45.170]  I thank you for your support, but regardless, these are great products you need, so take
[00:58:45.170 --> 00:58:46.170]  action now.
[00:58:46.170 --> 00:58:49.850]  Go to InfoWarsStore.com for both this great toothpaste back in stock.
[00:59:17.170 --> 00:59:18.170]  right now.
[00:59:18.170 --> 00:59:23.530]  So get your copy of The Great Reset and The War for the World, a signed copy, at InfoWarsStore.com.
[00:59:23.530 --> 00:59:27.450]  And there is a markup there because this is a fundraiser to keep us on the air.
[00:59:27.450 --> 00:59:31.070]  So you won't just have this historic memento and this powerful book, you'll also know
[00:59:31.070 --> 00:59:32.930]  that you help keep InfoWars on the air.
[00:59:32.930 --> 00:59:36.810]  I want to thank those of you that have gotten signed copies of the book or unsigned copies,
[00:59:36.810 --> 00:59:42.170]  but I want to encourage all of you who haven't yet to go to InfoWarsStore.com and get a signed
[00:59:42.170 --> 00:59:46.370]  copy and buy a couple of unsigned copies and donate to the library or give them to
[00:59:46.370 --> 00:59:47.370]  the local school.
[00:59:47.370 --> 00:59:50.370]  This is an InfoWar, I'm counting on you, and thank you for your support.
[00:59:58.710 --> 01:00:15.470]  Let me try, in five minutes, to summarize what a deeply analytical and quite frankly
[01:00:15.470 --> 01:00:26.550]  spiritual diatribe from Alex Jones tried to encapsulate for you here on this Tuesday,
[01:00:26.550 --> 01:00:34.470]  May 30th, 2023 Alex Jones Show transmission.
[01:00:34.470 --> 01:00:44.390]  The same people that tell you white supremacy is a problem or white racism is a problem,
[01:00:44.390 --> 01:00:47.310]  those are the racists.
[01:00:47.310 --> 01:00:53.270]  And let's try to be full spectrum, as far as all the follow-up commentary may be concerned,
[01:00:53.270 --> 01:01:00.150]  I'm not claiming to be a victim because I'm white, I'm simply telling you the people pointing
[01:01:00.150 --> 01:01:06.230]  the finger at white people saying they're racists, those are the real racists.
[01:01:06.230 --> 01:01:14.630]  And there's all kinds of examples, like for example, what just happened at the CUNY commencement
[01:01:14.630 --> 01:01:22.270]  speaker talking about fascists and racist systems and how bad the NYPD are.
[01:01:22.270 --> 01:01:27.830]  It was so egregious that even the liberal Democrat Mayor Merrick Adams had to come
[01:01:27.830 --> 01:01:34.710]  out and respond and say, no, this is not the message we need for our future.
[01:01:34.710 --> 01:01:41.510]  We cannot allow words of negativity and divisiveness to be the only ones our students hear.
[01:01:41.510 --> 01:01:47.670]  This isn't the only graduation where you see anti-white bigotry, like what we saw at Howard
[01:01:47.670 --> 01:01:53.350]  University from Joe Biden, where even the black American graduates started filming and
[01:01:53.350 --> 01:01:56.190]  saying, why am I getting lectured?
[01:01:56.190 --> 01:01:58.590]  Why am I getting a political speech?
[01:01:58.590 --> 01:02:00.790]  Why am I getting a racist speech?
[01:02:00.790 --> 01:02:02.830]  Why am I getting a divisive speech?
[01:02:02.830 --> 01:02:07.350]  Why am I getting a political speech from Joe Biden at my graduation ceremony?
[01:02:07.350 --> 01:02:13.630]  This doesn't feel right because they know it's propaganda.
[01:02:13.630 --> 01:02:17.790]  Let's look at the situation with Target in the last week.
[01:02:17.790 --> 01:02:21.670]  Some conservative activists, some Christian activists don't like the fact that they're
[01:02:21.670 --> 01:02:31.030]  selling sexual propaganda to children and having pride section for kids at Target.
[01:02:31.030 --> 01:02:33.910]  You want to take your kid to Target to get him a new T-shirt, what have you.
[01:02:33.910 --> 01:02:42.510]  They have to walk by a whole aisle of pride nonsense, sexual propaganda aimed at infants.
[01:02:42.510 --> 01:02:45.390]  And so then they have a big uproar.
[01:02:45.390 --> 01:02:51.430]  Oh my gosh, conservatives, Christians upset over the pride aisle in the children's section
[01:02:51.430 --> 01:02:53.390]  at Target.
[01:02:53.390 --> 01:03:01.590]  But where was the outrage when the left was rioting in the name of Black Lives Matter,
[01:03:01.590 --> 01:03:07.630]  in the name of Antifa, supported, promoted, endorsed by the Democrat Party and their friends
[01:03:07.630 --> 01:03:08.870]  in the media?
[01:03:08.870 --> 01:03:19.870]  So violent, so destructive, so dangerous that 175 Target stores nationwide, 175 Target stores
[01:03:19.870 --> 01:03:23.590]  nationwide had to be shut down.
[01:03:23.590 --> 01:03:25.310]  That's not right wing violence.
[01:03:25.310 --> 01:03:27.170]  That's left wing violence.
[01:03:27.170 --> 01:03:28.890]  That's Democrat violence.
[01:03:28.890 --> 01:03:31.990]  That's liberal progressive violence.
[01:03:31.990 --> 01:03:36.030]  How much violence from conservatives has shut down a single target?
[01:03:36.030 --> 01:03:37.270]  Not one.
[01:03:37.270 --> 01:03:39.510]  But where's the outrage?
[01:03:39.510 --> 01:03:42.790]  Where's the story?
[01:03:42.790 --> 01:03:50.110]  Now that's at the grassroots people level where the propaganda reaches.
[01:03:50.110 --> 01:03:56.390]  But look at the intelligence agencies, the ones so-called intelligence agencies telling
[01:03:56.390 --> 01:03:58.350]  you you need to be concerned about Trump supporters.
[01:03:58.350 --> 01:04:00.190]  You need to be concerned about right wingers.
[01:04:00.190 --> 01:04:04.390]  The same intelligence agencies lied to all of us, folks.
[01:04:04.390 --> 01:04:08.330]  They lied to all of us about weapons of mass destruction.
[01:04:08.330 --> 01:04:10.750]  They lied to all of us about Trump-Russia collusion.
[01:04:10.750 --> 01:04:17.230]  They lied to all of us about Hunter Biden's laptop.
[01:04:17.230 --> 01:04:22.550]  So it's very important, and I think we've almost reached this point, thanks to the big
[01:04:22.550 --> 01:04:24.630]  COVID scam being exposed.
[01:04:24.630 --> 01:04:26.750]  Yep, they created COVID in a lab.
[01:04:26.750 --> 01:04:27.750]  Yep, it got released.
[01:04:27.750 --> 01:04:29.150]  Yep, they covered it up.
[01:04:29.150 --> 01:04:33.330]  Yep, they sold you a vaccine that they knew was faulty and deadly.
[01:04:33.330 --> 01:04:35.890]  And we all witnessed it.
[01:04:35.890 --> 01:04:41.850]  And now that same group of people want to run another global propaganda, domestic propaganda
[01:04:41.850 --> 01:04:44.570]  campaign against you.
[01:04:44.570 --> 01:04:49.250]  That's why it's important to understand who the hypocrites are, where the double standards
[01:04:49.250 --> 01:04:53.990]  are so that we can properly prepare ourselves for this next false flag that certainly is
[01:04:53.990 --> 01:04:57.650]  going to bring the United States to its knees for the global government.
[01:04:59.490 --> 01:05:06.490]  Ladies and gentlemen, the truth, the solution is laying right there in front of you, hidden in plain view.
[01:05:06.490 --> 01:05:09.490]  Please listen to me in the next 60 seconds.
[01:05:09.490 --> 01:05:12.490]  If you go to Wikipedia, it has links to the UN's own website,
[01:05:12.490 --> 01:05:18.490]  where they admit the number one cause of cognitive disability in the world is iodine deficiency.
[01:05:18.490 --> 01:05:26.490]  The number one preventable cause of intellectual disability is lack of real, pure iodine in the body
[01:05:26.490 --> 01:05:32.490]  as they bomb us with the bad halogens, bromine, bromide, chlorine, and so much more.
[01:05:32.490 --> 01:05:39.490]  Upwards of 2 billion people in a Lancet medical journal study in 2007 worldwide have cognitive disabilities
[01:05:39.490 --> 01:05:42.490]  because they don't have high quality iodine.
[01:05:42.490 --> 01:05:46.490]  Most iodine is bound to other elements you don't absorb it.
[01:05:46.490 --> 01:05:51.490]  We have X3, all three types of the good iodine together that supercharges your body.
[01:05:51.490 --> 01:05:54.490]  X3 is now back in stock at InfoWarsTour.com.
[01:05:54.490 --> 01:05:57.490]  It's been sold out for over six months for 25% off.
[01:05:57.490 --> 01:05:59.490]  X3, back in stock. Take action.
[01:06:07.490 --> 01:06:15.490]  Well, ladies and gentlemen, that's the first hour of the Alex Jones Show in the books,
[01:06:15.490 --> 01:06:20.490]  and that's about as Alex Jones as it gets.
[01:06:20.490 --> 01:06:27.490]  Sitting back down, working on the road, is Alex Jones here joining us now.
[01:06:27.490 --> 01:06:34.490]  We've got loaded phone lines, tons of news, tons of video clips, and as Alex rejoins the show here,
[01:06:34.490 --> 01:06:41.490]  you know, Alex, I tried in five minutes to properly put this in a box with a bow on it for the American people.
[01:06:42.490 --> 01:06:50.490]  The good news is, and I think you might agree with this, the stress there is, there's a bit of a stress relief.
[01:06:50.490 --> 01:06:54.490]  We talked about this yesterday because it doesn't just have to be the voice of Alex Jones.
[01:06:54.490 --> 01:06:57.490]  It doesn't just have to be the InfoWars platform.
[01:06:57.490 --> 01:06:59.490]  There's so many reinforcements arriving.
[01:06:59.490 --> 01:07:04.490]  The information we talk about here every day, a lot of the American people,
[01:07:04.490 --> 01:07:08.490]  it's already into their consciousness whether they fully understand it or not.
[01:07:09.490 --> 01:07:11.490]  Let me expand on that.
[01:07:11.490 --> 01:07:15.490]  A lot of stations only carry the second, third, and fourth hours.
[01:07:15.490 --> 01:07:20.490]  We probably need to recap for all the new viewers that just came on and new listeners.
[01:07:20.490 --> 01:07:23.490]  I'm going to recap it here in about two minutes,
[01:07:23.490 --> 01:07:28.490]  but I want to hear your recap of what we covered last hour, Owen, and how big this is.
[01:07:28.490 --> 01:07:36.490]  And, of course, I know you agree because we've talked about it, that this cyber attack thing is their next big move,
[01:07:36.490 --> 01:07:42.490]  and that when they say that the right-wingers, that they've now rolled out as the number one terror threat with no evidence,
[01:07:42.490 --> 01:07:47.490]  all we have is evidence of the Feds trying to create violent right-wing groups and provocateuring them.
[01:07:47.490 --> 01:07:52.490]  When they roll it out and say the right-wing with the Russians, that's the key combination,
[01:07:52.490 --> 01:07:56.490]  because I predicted that as their next move in the last two years, literally hundreds of times here on air.
[01:07:56.490 --> 01:08:04.490]  When they say that, and it's been put out as a U.S. Homeland Security bulletin, CNN, CBS News, ABC News, it's everywhere.
[01:08:04.490 --> 01:08:12.490]  When they do that, you know they've loaded the gun and chambered around, and they're pointing it right at our head.
[01:08:12.490 --> 01:08:17.490]  And when I talk about our head, the American people's head, the COVID attack was an attack on humanity.
[01:08:17.490 --> 01:08:20.490]  This power grid attack is going to be an attack on humanity.
[01:08:20.490 --> 01:08:26.490]  This is their big move. This is the big enchilada. It's the next phase, and they love to brag.
[01:08:26.490 --> 01:08:31.490]  Bill Gates and Klaus Schwab love to tell the world at those conferences what's going to happen next because they're all in on it.
[01:08:31.490 --> 01:08:35.490]  They love the power. They're agents of this. You're watching.
[01:08:35.490 --> 01:08:42.490]  It'd be like if Spectre and the James Bond movies basically got so successful, it began to take over the world.
[01:08:42.490 --> 01:08:45.490]  At a certain point, they would start having press conferences and be there and do this.
[01:08:45.490 --> 01:08:50.490]  Well, it turns out that, again, Ian Fleming was the deputy head of MI6, OSS.
[01:08:50.490 --> 01:08:55.490]  He was high-level in OSS before MI6 was created after World War II.
[01:08:55.490 --> 01:09:00.490]  And he wrote these books and gave interviews and said, no, this is off of what I learned and what I saw.
[01:09:00.490 --> 01:09:07.490]  Secret meetings in the Alps of ultra-rich trying to set up terror attacks and control to bring down societies.
[01:09:07.490 --> 01:09:12.490]  And it's all George Soros. And then about seven, eight years ago, one of the new James Bond movies came out.
[01:09:12.490 --> 01:09:21.490]  There was even an article saying MI6 contributed to it and basically said it's based on a composite of George Soros and Bilderberg people.
[01:09:21.490 --> 01:09:27.490]  So even intelligence agencies are involved in movies showing you.
[01:09:27.490 --> 01:09:31.490]  And it's this weird thing where they're for it, they're against it, but then they're guilty.
[01:09:31.490 --> 01:09:36.490]  They're part of it. So there's a there's a fight between the private intelligence agencies and the governmental ones.
[01:09:36.490 --> 01:09:41.490]  But really, the corporate ones are above them. So they tattle on each other and don't want one side to get too strong.
[01:09:41.490 --> 01:09:44.490]  And then now it penetrates the cabinets.
[01:09:44.490 --> 01:09:51.490]  They're getting ready for cyber attacks and openly saying that the political opposition that's smart,
[01:09:51.490 --> 01:10:01.490]  that are the adults in the room that just want security and prosperity and freedom and just raise our families and God forsake and leave us alone.
[01:10:01.490 --> 01:10:09.490]  We're white supremacists. But again, I explained this yesterday. A lot of people missed the subtle nuance.
[01:10:09.490 --> 01:10:13.490]  It wasn't subtle. They missed it. I guess it's nuanced in ways.
[01:10:13.490 --> 01:10:19.490]  This wasn't me up here saying, please, ADL, stop saying I'm a Nazi. Don't paint the American people as Nazis.
[01:10:19.490 --> 01:10:23.490]  That's mean. I'm not really a Nazi. You're God. You're the authority.
[01:10:23.490 --> 01:10:26.490]  Please don't wave your magic wand and say I'm bad.
[01:10:26.490 --> 01:10:38.490]  I was saying you are criminal with Homeland Security and the CIA and State Department publicly saying you're labeling the entire Trump populist movement as Nazis.
[01:10:39.490 --> 01:10:51.490]  That is going to demonize. I mean, if you think the media calling everybody Nazis for years and white supremacists didn't legitimize a lot of the real Nazis in some people's eyes, that happened.
[01:10:51.490 --> 01:10:55.490]  It legitimized with my eyes because I could see the dialectic here, the yelling and manipulation.
[01:10:55.490 --> 01:11:07.490]  But I mean, now biting off more than you can chew, the Homeland Security, after all the censorship and surveillance and election meddling with the ADL is going to come to the American people and say, we got a new script for you.
[01:11:07.490 --> 01:11:14.490]  You know, Red Skull and Marvel Comics and Captain America, Captain America really is Red Skull.
[01:11:14.490 --> 01:11:19.490]  And you're all Red Skull. Your grandfathers and people, they were never in World War Two. No, no, no, no.
[01:11:19.490 --> 01:11:23.490]  All of you, because you love your country, you are white supremacists now.
[01:11:23.490 --> 01:11:29.490]  So agree to that. Can you imagine the cojones, the chutzpah of that?
[01:11:30.490 --> 01:11:44.490]  And when I said to Jewish Americans who are great people who I know the ADL doesn't speak for them, listen, if there was some organization that claimed to spoke for me that was doing stuff like this, I would say you need to stop because this is so destructive.
[01:11:44.490 --> 01:11:49.490]  This is a desperate, crumbling, deep state that's trying to call us all Russian agents and trying to call us all that.
[01:11:49.490 --> 01:12:00.490]  And now they're going to jump the shark and say Donald Trump, whose grandchildren are Jewish, Donald Trump that goes to the Wailing Wall, Donald Trump that was the biggest friend of Israel ever.
[01:12:00.490 --> 01:12:06.490]  They're going to say he's a Nazi. And we are. You people are bonkers.
[01:12:07.490 --> 01:12:13.490]  You think, I mean, and again, the high so exactly what they're doing, the dialectic.
[01:12:13.490 --> 01:12:28.490]  OK, and so does the ADL. Here's the key. The ADL, when they hype up all this, a real anti-Semitism by labeling censorship and control and tyranny and saying white people are all inherently bad and open borders are good.
[01:12:28.490 --> 01:12:37.490]  America's bad. When that creates a major backlash against Jews in general, what's going to happen to the ADL?
[01:12:37.490 --> 01:12:57.490]  Well, they're the saviors and they'll get even more money and more power and more control protecting the Jews literally when they are doing the exact thing that will create real mass anti-Semitism by labeling the unpopular collapsing New World Order government.
[01:12:58.490 --> 01:13:02.490]  And saying it's run by Jews and they're the ones doing it.
[01:13:02.490 --> 01:13:08.490]  Labeling Jew, Jew, Jew, Jew, Jew, Jew, Jew, Jew, Jew, Jew, Jew, Jew on every topic.
[01:13:08.490 --> 01:13:10.490]  Hey, we shouldn't have human smuggling. That's anti-Semitic.
[01:13:10.490 --> 01:13:12.490]  Hey, we shouldn't have Fidel come across. That's anti-Semitic.
[01:13:12.490 --> 01:13:14.490]  Hey, I think there's some election fraud. Anti-Semitic.
[01:13:14.490 --> 01:13:16.490]  Hey, I'm against this war. Anti-Semitic.
[01:13:17.490 --> 01:13:24.490]  Folks, folks, think about the magnitude of how ridiculous this is.
[01:13:24.490 --> 01:13:36.490]  But that's a dialectic where you take two or more sides and collapse them in and have the historic, it's an art form before the supercomputers, but system of how those waves are going to hit the new form they're going to create.
[01:13:36.490 --> 01:13:45.490]  And so they're just alchemy, manipulating all these sides in to get the destabilization and all the insanity and the race war and all this craziness.
[01:13:45.490 --> 01:13:50.490]  Black Lives Matter is run by the CIA, folks. It's run by the deep state. It's all come out.
[01:13:50.490 --> 01:13:54.490]  They don't represent black people. What's their main mission? Have black men cut their genitals off.
[01:13:54.490 --> 01:13:58.490]  Well, that's really your friend. We speak for black men. Cut your balls off.
[01:13:58.490 --> 01:14:01.490]  That's their main mission in the black nuclear family.
[01:14:01.490 --> 01:14:04.490]  Oh, that really helps black people. That destroys everybody.
[01:14:05.490 --> 01:14:10.490]  And now the ADL. Yes, the right wingers are going to blow everything up.
