[00:00.000 --> 00:26.000]  Now I know parents out there anxiously waiting for a vaccine for children ages 5 to 11.
[1:02:58.000 --> 1:03:05.000]  Look at that young man. Look at that strapping young man.
[1:03:05.000 --> 1:03:11.000]  He went into a medically induced coma, put on a ventilator, and dead.
[1:03:11.000 --> 1:03:16.000]  Fully vaccinated.
[1:03:16.000 --> 1:03:19.000]  Fully vaccinated dies of COVID.
[1:03:19.000 --> 1:03:24.000]  So the vaccine doesn't work, but yet they mandate the vaccine.
[1:03:24.000 --> 1:03:33.000]  Or did the vaccine kill him? Or did the hospital protocols kill him?
[1:03:33.000 --> 1:03:39.000]  I mean, I'm just at a loss because none of this should be going on. None of this should be happening.
[1:03:39.000 --> 1:03:44.000]  I shouldn't have to cover this news. This should all be over with tomorrow.
[1:03:44.000 --> 1:03:50.000]  But it's not going to be, sadly.
[1:03:50.000 --> 1:03:56.000]  So here's the headline from NTD News, and it's gone viral now.
[1:03:56.000 --> 1:04:00.000]  Gateway Pundits picked it up. Info Wars has picked it up.
[1:04:00.000 --> 1:04:05.000]  More die from vaccine than from COVID in Taiwan.
[1:04:05.000 --> 1:04:08.000]  And here is the NTD News report.
[1:04:08.000 --> 1:04:15.000]  In Taiwan, the number of people dying after their COVID vaccination is exceeding the number of deaths from the virus itself.
[1:04:15.000 --> 1:04:25.000]  Taiwan's health authorities say that as of Monday, deaths after vaccination reached 865, while deaths from the virus are at 845.
[1:04:25.000 --> 1:04:32.000]  Vaccines currently offered in Taiwan include AstraZeneca, Moderna, Pfizer BioNTech, and Taiwan's own vaccine, Medigen.
[1:04:32.000 --> 1:04:42.000]  Out of the 865 deaths after vaccination, over 600 were from AstraZeneca, and nearly 200 deaths after Moderna shot.
[1:04:42.000 --> 1:04:51.000]  Now remember, they've come out and admitted now in the U.S. that there have been more deaths, quote unquote, from COVID since the vaccine than before it.
[1:04:51.000 --> 1:04:58.000]  How is that possible? How do we have more COVID deaths after the vaccine than before the vaccine? You know how.
[1:04:58.000 --> 1:05:07.000]  So if you understand that this is not FDA approved, it's totally experimental. It's never been given to human beings before.
[1:05:07.000 --> 1:05:15.000]  Some of the ingredients inside of these shots have never been injected in human beings before.
[1:05:15.000 --> 1:05:23.000]  There are no long-term studies. We don't know what's going to happen inside your body somewhere four to six weeks after your second injection,
[1:05:23.000 --> 1:05:32.000]  or four to six months, or even two years. We have no idea whether it's going to cause infertility, whether it's going to cause cancer.
[1:05:32.000 --> 1:05:36.000]  How bad your autoimmune disease is going to be?
[1:05:36.000 --> 1:05:40.000]  My conclusion after looking at this for a long time and listening to the arguments for these masks,
[1:05:40.000 --> 1:05:49.000]  I've determined that if you believe, if you're a medical doctor or a scientist that's spouting using these masks, you're either being played or you're being paid.
[1:05:49.000 --> 1:06:11.000]  Secure your copy of COVIDland today at covidland.com and if you order by October 6th, you get a free copy of Endgame Blueprint for Global Eslavement.
[1:06:19.000 --> 1:06:24.000]  We're into the second hour now of the Alex Jones Show. By the way, Alex Jones in route.
[1:06:24.000 --> 1:06:35.000]  And I'm told he's going to be filing some emergency special reports once he gets back in studio in just a mere hour or two.
[1:06:35.000 --> 1:06:39.000]  In the meantime, I'm going to continue to try to pile drive through all this news.
[1:06:39.000 --> 1:06:44.000]  If you're a radio listener that doesn't have that first five minutes, I just played the report out of Taiwan.
[1:06:44.000 --> 1:06:49.000]  More die after vaccination than from COVID in Taiwan.
[1:06:49.000 --> 1:06:52.000]  The NTD news reports and it has all the data that shows you all the numbers as well.
[1:06:52.000 --> 1:06:56.000]  You can find it at NTD.com or we played the report here.
[1:06:56.000 --> 1:07:01.000]  We're going to upload that to band.video. You can see it there as well.
[1:07:01.000 --> 1:07:10.000]  Let me just try to continue down here with the COVID-19 news and the vaccine news.
[1:07:10.000 --> 1:07:14.000]  I mean, the stacks of this stuff, it just never stops incoming.
[1:07:14.000 --> 1:07:19.000]  It's quite redundant to understand that, but we're still in this.
[1:07:19.000 --> 1:07:29.000]  And so we're going to keep telling you how the vaccines aren't working, how the vaccines are killing people, how the hospitalization protocols are killing people.
[1:07:29.000 --> 1:07:38.000]  And of course, this should all stand in the face against the vaccine mandates, but it seems not to have any impact at all.
[1:07:38.000 --> 1:07:40.000]  It's very odd to live in these times.
[1:07:40.000 --> 1:07:42.000]  Is it not?
[1:07:42.000 --> 1:07:51.000]  It's very odd to live in these nonsensical, illogical, deceptive times.
[1:07:51.000 --> 1:08:03.000]  And you know, I don't even want to get into it, but folks, it's gotten so bad where, well, I just don't even want to get into it.
[1:08:03.000 --> 1:08:10.000]  It's just like, imagine, you're covering this, I'm covering this, I was covering this, whatever.
[1:08:10.000 --> 1:08:16.000]  It's like, I'm just sitting here covering news, I'm sitting here playing video clips, I'm sitting here talking to doctors,
[1:08:16.000 --> 1:08:20.000]  I'm sitting here talking to people that have actually lost people from the vaccine.
[1:08:20.000 --> 1:08:29.000]  But I'll be deemed as crazy or I'll be deemed as some sort of threat because I just live in reality.
[1:08:29.000 --> 1:08:35.000]  Because I just cover news, because I just talked to dozens of doctors, because I just talked to victims of vaccines,
[1:08:35.000 --> 1:08:39.000]  and I just talked to victims of the hospital protocols.
[1:08:39.000 --> 1:08:45.000]  And there's a whole force out against me because of that.
[1:08:45.000 --> 1:08:58.000]  So it's like, okay, you're living in the Twilight Zone dealing with all of this, but then it's, oh, you're under attack, you're going to be persecuted for that.
[1:08:58.000 --> 1:09:06.000]  Is that intimidation to get me to shut up? Is that intimidation to make an example of people that tell the truth?
[1:09:06.000 --> 1:09:09.000]  So I'm going to continue down this road here.
[1:09:09.000 --> 1:09:16.000]  And then also, Mike Adams is going to have a bombshell exclusive report coming up in the fourth hour today.
[1:09:16.000 --> 1:09:23.000]  COVID relief funds distributed to cities and states require full compliance with the Biden-Vax mandates.
[1:09:23.000 --> 1:09:26.000]  Counties can use money to bankrupt and replace local businesses.
[1:09:26.000 --> 1:09:29.000]  And so that's the headline. It's even worse than that.
[1:09:29.000 --> 1:09:39.000]  Basically, what they've done here is they have synthetically shut down the free market economy on all aspects.
[1:09:39.000 --> 1:09:44.000]  So it's with the schools as well. You say, why are the schools going along with all this medical tyranny?
[1:09:44.000 --> 1:09:49.000]  Because they've been told by the Biden administration they will not get any more funding.
[1:09:49.000 --> 1:09:51.000]  They will be shut down.
[1:09:51.000 --> 1:09:57.000]  So you want to know why you hear about the mask mandates? You want to know why you hear about the vaccine mandates in schools and for kids?
[1:09:57.000 --> 1:10:04.000]  Because the government has said we will stop your funding unless you force vaccinate and mask children.
[1:10:04.000 --> 1:10:13.000]  So now the government has decided it's our daddy, it's in charge of our lives, and it's going to run our lives now.
[1:10:13.000 --> 1:10:17.000]  The complete opposite of what America is supposed to be about.
[1:10:17.000 --> 1:10:26.000]  The complete opposite of what everybody, I mean, this should be against our very instincts and will and common sense and logic and reasoning,
[1:10:26.000 --> 1:10:30.000]  and yet somehow this is still the case.
[1:10:30.000 --> 1:10:38.000]  I don't know. This can't go on forever, folks.
[1:10:38.000 --> 1:10:50.000]  As you know, Info Wars has been at the tip of the spear, the cutting edge covering all of this, which quite frankly makes it even more frustrating, honestly.
[1:10:50.000 --> 1:11:01.000]  But we're not going to give up, we're not going to give in, and as long as we're still here on air with your support, we will continue to spread the truth unlike anybody else out there.
[1:11:01.000 --> 1:11:07.000]  That's why we get banned more than anybody else out there and attacked more than anybody else out there.
[1:11:07.000 --> 1:11:12.000]  And you have two more days right now to take advantage of these huge specials at InfoWarsStore.com.
[1:11:12.000 --> 1:11:19.000]  It's the Info Wars Emergency Supply Chain Breakdown, which the Biden administration is finally addressing because of all the outrage.
[1:11:19.000 --> 1:11:21.000]  So we'll cover that later.
[1:11:21.000 --> 1:11:29.000]  But we still have some of these supplements in stock and on a deep discount like DNA Force Plus, 40% off,
[1:11:29.000 --> 1:11:40.000]  Brain Force Ultra 25% off, Down and Out Liquid Sleep Support 50% off, Survival Shield X2 40% off, Super Male and Super Female Vitality 40% off,
[1:11:40.000 --> 1:11:47.000]  Living Defense Plus 40% off, and Organic Greens Fiber Caps 50% off, limited supply of that.
[1:11:47.000 --> 1:11:49.000]  That's all with InfoWarsStore.com.
[1:11:49.000 --> 1:11:55.000]  You may also be thinking about emergency food supplies right now for good reason.
[1:11:55.000 --> 1:12:02.000]  Infos are also available at InfoWarsStore.com and it's the best quality, the best price, a lot of different options for you.
[1:12:02.000 --> 1:12:09.000]  So you should go check that out at InfoWarsStore.com as well.
[1:12:09.000 --> 1:12:12.000]  The air filters, the water filters, it's all at InfoWarsStore.com.
[1:12:12.000 --> 1:12:14.000]  It's your support there.
[1:12:14.000 --> 1:12:17.000]  That keeps us on the air here.
[1:12:17.000 --> 1:12:24.000]  All right, let me just continue down this stack of the COVID and the vaccine news.
[1:12:24.000 --> 1:12:34.000]  The most vaccinated county or state in Ireland is Waterford.
[1:12:34.000 --> 1:12:44.000]  And you have 99.7% of Waterford adults have now been fully vaccinated against COVID-19.
[1:12:44.000 --> 1:12:49.000]  They eclipsed that, they posted that number a month ago in September.
[1:12:49.000 --> 1:12:57.000]  Well, now here you are today and Waterford now has the highest incidence of COVID in Ireland.
[1:12:57.000 --> 1:13:04.000]  So just like we saw in Israel, the number one most vaccinated country on Earth,
[1:13:04.000 --> 1:13:07.000]  and then they had the number one most COVID cases on Earth.
[1:13:07.000 --> 1:13:11.000]  Now the same thing is happening in local counties and in areas in Ireland.
[1:13:11.000 --> 1:13:18.000]  Waterford to be specific, the most vaccinated part of Ireland now has more COVID cases than any other place in Ireland.
[1:13:18.000 --> 1:13:20.000]  Would any doctor care to explain that?
[1:13:20.000 --> 1:13:23.000]  Would any doctor care to report on that?
[1:13:23.000 --> 1:13:26.000]  Anybody in the mainstream news want to explain that or report on that?
[1:13:26.000 --> 1:13:27.000]  Probably not.
[1:13:27.000 --> 1:13:29.000]  It goes against their narrative.
[1:13:29.000 --> 1:13:36.000]  And yet, so it's just totally ineffective, not safe, and yet mandated.
[1:13:36.000 --> 1:13:40.000]  This is levels of clown world that you've just never thought you'd experience.
[1:13:40.000 --> 1:13:46.000]  Hey, take this vaccine that doesn't work and that isn't safe, and it's mandated by the way.
[1:13:46.000 --> 1:13:48.000]  So it doesn't stop COVID.
[1:13:48.000 --> 1:13:49.000]  It doesn't stop from spreading COVID.
[1:13:49.000 --> 1:13:51.000]  It doesn't stop you from catching COVID.
[1:13:51.000 --> 1:13:53.000]  It doesn't stop you from dying of COVID.
[1:13:53.000 --> 1:13:57.000]  It actually increases your odds of catching COVID or dying from COVID or ending up in a hospital.
[1:13:57.000 --> 1:13:59.000]  But take it anyway.
[1:13:59.000 --> 1:14:02.000]  Why?
[1:14:02.000 --> 1:14:05.000]  I'd love to hear the why.
[1:14:05.000 --> 1:14:07.000]  Well, we don't have to, do we?
[1:14:07.000 --> 1:14:09.000]  They just own us now.
[1:14:09.000 --> 1:14:13.000]  And you know, a lot of people have made out like bandits during this pandemic,
[1:14:13.000 --> 1:14:19.000]  including Apple and Microsoft, because now all government activity is done over Microsoft technology,
[1:14:19.000 --> 1:14:21.000]  and they've got their own little thing.
[1:14:21.000 --> 1:14:25.000]  So big tech's making billions of dollars during the pandemic.
[1:14:25.000 --> 1:14:30.000]  Facebook and the rest making billions of dollars as traffic is increasing on their website.
[1:14:30.000 --> 1:14:35.000]  And their tools are being utilized now more than ever because of everything going digital,
[1:14:35.000 --> 1:14:38.000]  because of the fear of the virus.
[1:14:38.000 --> 1:14:43.000]  And then you have this picture from the mirror,
[1:14:43.000 --> 1:14:49.000]  haunting picture of iPads used by loved ones to say goodbye to dying COVID-19 patients.
[1:14:49.000 --> 1:14:56.000]  So all these hospitals also, they bought millions of dollars worth of Apple equipment and iPads and stands and all this stuff.
[1:14:56.000 --> 1:15:01.000]  So big tech who controls the means of communication, they love this pandemic.
[1:15:01.000 --> 1:15:03.000]  They're making out like bandits.
[1:15:03.000 --> 1:15:05.000]  Everybody's buying their tech now,
[1:15:05.000 --> 1:15:09.000]  and the government has all this money in relief aid, and guess where it's going?
[1:15:09.000 --> 1:15:11.000]  Big tech.
[1:15:11.000 --> 1:15:14.000]  Facebook, Apple, Microsoft.
[1:15:14.000 --> 1:15:15.000]  So they love it.
[1:15:15.000 --> 1:15:17.000]  So of course they're going to control the means of communication.
[1:15:17.000 --> 1:15:19.000]  They want to keep this pandemic going.
[1:15:19.000 --> 1:15:21.000]  They want to keep the fears of this virus going.
[1:15:21.000 --> 1:15:24.000]  So hell yeah, you buy more iPads with government money.
[1:15:24.000 --> 1:15:29.000]  You put more money into Zoom technology or Microsoft technology or Facebook digital technology.
[1:15:29.000 --> 1:15:30.000]  They love it.
[1:15:30.000 --> 1:15:32.000]  They don't want this pandemic to ever end.
[1:15:32.000 --> 1:15:37.000]  They're more rich and powerful than ever.
[1:15:37.000 --> 1:15:42.000]  So well, maybe you can see your kid, but no, only if you've been vaccinated.
[1:15:42.000 --> 1:15:48.000]  New York City judge suspends dad's visit with kid over vaccination status.
[1:15:48.000 --> 1:16:00.000]  Totally sick, totally deprived and depraved, totally satanic.
[1:16:00.000 --> 1:16:02.000]  Your voice counts.
[1:16:02.000 --> 1:16:07.000]  When you share information, be it over the internet or in person, it changes the world.
[1:16:07.000 --> 1:16:10.000]  The globalists know their agenda is unpopular.
[1:16:10.000 --> 1:16:11.000]  They know you're angry.
[1:16:11.000 --> 1:16:17.000]  And now to get around big tech, it's more important than ever that we use every tool we've got.
[1:16:17.000 --> 1:16:21.000]  Well, ladies and gentlemen, if you sign up for our free news and show alerts,
[1:16:21.000 --> 1:16:24.000]  you can then take those alerts, those articles and those live feeds,
[1:16:24.000 --> 1:16:28.000]  both the regular shows and special reports, and share them with everyone you know.
[1:16:28.000 --> 1:16:35.000]  Take action now by texting the word news, NEWS, to 833-470-0438.
[1:16:35.000 --> 1:16:40.000]  That's 833-470-0438 for Info Wars Emergency News Alerts.
[1:16:40.000 --> 1:16:47.000]  Or text the word show to 833-470-0438 and receive live show notifications.
[1:16:47.000 --> 1:16:48.000]  Take action now.
[1:16:48.000 --> 1:16:51.000]  Rate the chain reaction until others to share those texts.
[1:16:51.000 --> 1:16:58.000]  Get news alerts at 833-470-0438.
[1:17:21.000 --> 1:17:37.000]  Have you ever thought about turning your Glock, XD family or 1911 handgun into a semi-automatic carbine?
[1:17:37.000 --> 1:17:39.000]  It only takes about 30 seconds.
[1:17:39.000 --> 1:17:45.000]  The MacTek carbine upper is classified as an accessory and can be delivered right to your doorstep
[1:17:45.000 --> 1:17:47.000]  with no FFL or background check required.
[1:17:47.000 --> 1:17:50.000]  It's the world's most versatile pistol accessory.
[1:17:50.000 --> 1:17:52.000]  Build your custom upper today.
[1:17:52.000 --> 1:17:55.000]  Simply go to handgunconversion.com.
[1:17:55.000 --> 1:17:58.000]  That's handgunconversion.com.
[1:17:58.000 --> 1:18:06.000]  The COVID-19 face diaper is a symbol of subservience, a symbol of slavery,
[1:18:06.000 --> 1:18:14.000]  a symbol of the change that the medical tyranny combine controlled by the global private corporations has put in place.
[1:18:14.000 --> 1:18:20.000]  It is the symbol of the permanent emergency from which we will ever emerge.
[1:18:20.000 --> 1:18:28.000]  It is the symbol that we are diseased and evil and bad and must cover our diseased criminal faces from the light of the sun.
[1:18:28.000 --> 1:18:36.000]  It is the symbol of our complete and total absolute surrender to evil.
[1:18:36.000 --> 1:18:40.000]  Ladies and gentlemen, we are crossing the Rubicon now.
[1:18:40.000 --> 1:18:44.000]  The entire future destiny of humanity is upon us.
[1:18:44.000 --> 1:18:50.000]  Cloud Schwab and the UN admit they're coming out with implantable microchips as part of the World ID and carbon taxes.
[1:18:50.000 --> 1:18:52.000]  Things only get worse from here if we submit.
[1:18:52.000 --> 1:18:56.000]  They only get better if we resist and say no.
[1:18:56.000 --> 1:18:58.000]  Noncompliance, noncompliance, noncompliance.
[1:18:58.000 --> 1:19:04.000]  You'd have to be hiding under a rock not to know that vitamin D, vitamin C, zinc,
[1:19:04.000 --> 1:19:09.000]  and other essential vitamins and minerals are essential to our bodies, to our immune systems.
[1:19:09.000 --> 1:19:12.000]  We don't have them long term. We die.
[1:19:12.000 --> 1:19:17.000]  But what a lot of people don't know is even if you have those compounds, the levels that are recommended,
[1:19:17.000 --> 1:19:23.000]  if you don't have deep, restful, clean sleep, your body will fall apart even faster.
[1:19:23.000 --> 1:19:28.000]  Now with so many chemicals in the food and water and so much agitation in the culture and life,
[1:19:28.000 --> 1:19:30.000]  it's hard to settle down. It's hard to relax.
[1:19:30.000 --> 1:19:31.000]  Well, let me tell you something right now.
[1:19:31.000 --> 1:19:35.000]  Down and out is an incredibly strong natural compound.
[1:19:35.000 --> 1:19:39.000]  It's got over eight compounds in it that will give you deep, pure, clean sleep.
[1:19:39.000 --> 1:19:41.000]  And it's such a game changer.
[1:19:41.000 --> 1:19:45.000]  So with all the vitamins and minerals, the last big ingredient is down and out.
[1:19:45.000 --> 1:19:49.000]  Available again at infowarstore.com for 50% off.
[1:19:49.000 --> 1:19:52.000]  And you know what? I'm going to keep it at 50% off until it sells out,
[1:19:52.000 --> 1:19:55.000]  even though we've already sold out a half of it in just the last month
[1:19:55.000 --> 1:20:06.000]  and we're probably going to have more for about five months.
[1:20:25.000 --> 1:20:46.000]  It feels like that's the energy of the New World Order.
[1:20:46.000 --> 1:20:51.000]  Death, destruction, everything, everything black and deadly.
[1:20:51.000 --> 1:20:55.000]  Inhumanity, we hate humans.
[1:20:55.000 --> 1:21:00.000]  Take this vaccine that doesn't even work and that's killed at least 17,000 people in the U.S.
[1:21:00.000 --> 1:21:03.000]  already that we know of.
[1:21:03.000 --> 1:21:08.000]  We'll court Marshall if you don't. We'll fire you from your job if you don't.
[1:21:08.000 --> 1:21:12.000]  Painted black, total darkness, total misery, total death, total devastation.
[1:21:12.000 --> 1:21:15.000]  I work for Pfizer.
[1:21:15.000 --> 1:21:19.000]  Oh, but see, not everybody at Pfizer is a bad guy.
[1:21:19.000 --> 1:21:22.000]  We have an unbelievable video.
[1:21:22.000 --> 1:21:28.000]  In fact, I mean, folks, this is just...
[1:21:28.000 --> 1:21:38.000]  Again, I don't even know how to really handle this because info wars,
[1:21:38.000 --> 1:21:51.000]  and our humble crew here, are in a position that I just can't even believe.
[1:21:51.000 --> 1:21:57.000]  I just... Like, there's no... I mean, where are all the world leaders?
[1:21:57.000 --> 1:22:01.000]  Where are all the people in government? Where are the people in law enforcement?
[1:22:01.000 --> 1:22:03.000]  Where are the doctors? I mean, they're all out there.
[1:22:03.000 --> 1:22:09.000]  We can get them on the show, but it's like, info wars? Is it the head of the truth movement?
[1:22:09.000 --> 1:22:15.000]  Like, info wars is the only people in media that wants to get the world back to normal
[1:22:15.000 --> 1:22:20.000]  and stop living in the clown world? Like, where are the big voices of reason on there?
[1:22:20.000 --> 1:22:22.000]  So, not everybody at Pfizer is a bad guy.
[1:22:22.000 --> 1:22:27.000]  We've got the video from Band-Aid video that we had to build because we're banned everywhere.
[1:22:27.000 --> 1:22:31.000]  You can go see it right now, and then we just keep adding other people to get banned,
[1:22:31.000 --> 1:22:36.000]  like Lifesight News. You know, they just don't want millions of babies to be killed.
[1:22:36.000 --> 1:22:39.000]  They just are against baby murder, so they get banned on the internet,
[1:22:39.000 --> 1:22:41.000]  so we have to give them a channel on Band-Aid video, too.
[1:22:41.000 --> 1:22:44.000]  So you can go see it on Lifesight News.
[1:22:44.000 --> 1:22:52.000]  I mean, this video should be everywhere. It only has 83,000 views.
[1:22:52.000 --> 1:23:01.000]  Bombshell, Pfizer whistleblower says vaccine glows contains toxic luciferis and graphene oxide compounds.
[1:23:01.000 --> 1:23:09.000]  So that's what I'm saying. It's like, I just can't come on air and calmly cover this stuff.
[1:23:09.000 --> 1:23:16.000]  I can't just calmly sit here and cover this stuff like it's okay or it's normal.
[1:23:16.000 --> 1:23:20.000]  Or, oh, you know, I'm just a radio host. I'm just a guy that reads news.
[1:23:20.000 --> 1:23:25.000]  This is, I'm just giving you the news. No, I'm impacted by this, too.
[1:23:25.000 --> 1:23:35.000]  I mean, it's just crazy. And you just sit here like a hamster on a wheel.
[1:23:35.000 --> 1:23:41.000]  So, again, not everybody at Pfizer is bad.
[1:23:41.000 --> 1:23:47.000]  Pfizer whistleblower is warning the world what's happening with these vaccines.
[1:23:47.000 --> 1:23:53.000]  It's a hero. And then you had that other lady who, I guess, did she work for Pfizer or Moderna?
[1:23:53.000 --> 1:23:56.000]  I can't remember that Project Veritas caught on tape.
[1:23:56.000 --> 1:24:00.000]  And Project Veritas, she's sending out emails.
[1:24:00.000 --> 1:24:07.000]  She's sending out emails to the entire company saying, hey, stop talking about a boarded fetal tissue in the vaccines.
[1:24:07.000 --> 1:24:11.000]  Nobody is supposed to know about that. That's our secret.
[1:24:11.000 --> 1:24:18.000]  Yes, we use dead baby parts for the vaccines, but nobody's allowed to know that.
[1:24:18.000 --> 1:24:23.000]  Yeah, we mandate these vaccines, but they're not allowed to know what's in it. How dare you?
[1:24:23.000 --> 1:24:27.000]  And the whistleblower makes her emails public, shares them with Project Veritas.
[1:24:27.000 --> 1:24:34.000]  Project Veritas sees that lady out on the streets, turns the camera on, and she runs like a cockroach.
[1:24:34.000 --> 1:24:40.000]  She runs like a cockroach when the lights are turned on, because that's what they are.
[1:24:40.000 --> 1:24:47.000]  Pfizer employee runs for dear life after being confronted by Project Veritas reporter.
[1:24:47.000 --> 1:24:52.000]  She's never run that fast in her life. Yeah, what are you running from? You're running from the truth.
[1:24:52.000 --> 1:25:02.000]  And that's the other thing. It's like, we shouldn't be struggling to win this information war.
[1:25:02.000 --> 1:25:07.000]  This is a layup. This should be a layup. We've got it all.
[1:25:07.000 --> 1:25:12.000]  Thanks to all the doctors we've had on, thanks to all the other doctors, thanks to Project Veritas,
[1:25:12.000 --> 1:25:17.000]  thanks to all the whistleblowers, thanks to other media outlets like Gateway Punnett and others.
[1:25:17.000 --> 1:25:23.000]  And yet we have to sit here and tear our hair out and just run on this wheel every day to try to win this info war,
[1:25:23.000 --> 1:25:27.000]  even though it's all out there?
[1:25:27.000 --> 1:25:33.000]  And someone said that there was something I said the other day that was really impactful and resonated with them.
[1:25:33.000 --> 1:25:39.000]  And that's, you know, all these people that hate info wars or hate me or, you know, want to see us destroyed
[1:25:39.000 --> 1:25:44.000]  or want to see us, you know, the worst happen to us.
[1:25:44.000 --> 1:25:49.000]  Don't you get it? Info wars can disappear off the face of the earth.
[1:25:49.000 --> 1:25:56.000]  Alex Jones and I can go tie ourselves to a tree and basically just rot away until we die.
[1:25:56.000 --> 1:26:00.000]  We could disappear. We could put cinder blocks on our feet, hop into the ocean, you'll never hear from us again.
[1:26:00.000 --> 1:26:03.000]  Do you really think the world is going to be a better place?
[1:26:03.000 --> 1:26:10.000]  Do you really think info wars has anything to do with all the treachery and torment and BS that you deal with on a daily basis?
[1:26:10.000 --> 1:26:13.000]  You really think info wars is responsible for that?
[1:26:13.000 --> 1:26:18.000]  You really think Alex Jones or Owen Schreuer or all of our other reporters and hosts and guests,
[1:26:18.000 --> 1:26:22.000]  you really think us disappearing is going to help you?
[1:26:22.000 --> 1:26:27.000]  You really think that that's the solution is getting rid of us?
[1:26:27.000 --> 1:26:32.000]  Nothing will change. Info wars can disappear off the face of the planet.
[1:26:32.000 --> 1:26:37.000]  We can tie cinder blocks to ourselves and hop into the Pacific Ocean. You'll never hear from us again.
[1:26:37.000 --> 1:26:44.000]  But don't worry, the world will still be as corrupt and even more corrupt than it was before we disappeared.
[1:26:44.000 --> 1:26:49.000]  And you'll sit there wondering what the hell is going on. I thought we got rid of the evil people at info wars.
[1:26:49.000 --> 1:26:53.000]  No, we're not the bad guys. We're not the ones that started the wars.
[1:26:53.000 --> 1:26:58.000]  We're not the ones that lied about weapons of mass destruction. We're not the ones that set up false flags.
[1:26:58.000 --> 1:27:03.000]  We're not the people in government that lie to you. We're not the scientists that make viruses in a lab
[1:27:03.000 --> 1:27:06.000]  that then get released and turn the whole world into a global government tyranny.
[1:27:06.000 --> 1:27:12.000]  That's not us. We're not the ones doing it. We're the ones that are standing against it.
[1:27:12.000 --> 1:27:17.000]  We're the ones standing in its way.
[1:27:17.000 --> 1:27:23.000]  So, yeah, you really think, oh, whoa, let's get rid of Alex Jones. Let's censor him off the Internet.
[1:27:23.000 --> 1:27:30.000]  Let's get rid of that pesky info wars. Who do you think's bidding? Who's bidding do you think you're doing by getting rid of info wars?
[1:27:30.000 --> 1:27:38.000]  You're doing the bidding of the very corrupt establishment that you claim to be fighting.
[1:27:38.000 --> 1:27:46.000]  I need to move on here. I'm sorry. That's just a rant there.
[1:27:46.000 --> 1:27:51.000]  All right. You know what? I'm going to come back and do that.
[1:27:51.000 --> 1:27:57.000]  But, you know, I'm just going to come back and cover all that. But, you know, here's the problem right here.
[1:27:57.000 --> 1:28:04.000]  I've got all these people that work for government entities and then either go right to the private sector,
[1:28:04.000 --> 1:28:10.000]  like Michael Taylor goes from Monsanto to the FDA. Oh, you wonder why Monsanto never gets in any trouble.
[1:28:10.000 --> 1:28:16.000]  You have Julie Gerberding, who goes from the CDC to Merck, Big Pharma. Oh, you wonder why Big Pharma never gets in trouble.
[1:28:16.000 --> 1:28:23.000]  Scott Gottlieb goes from the FDA to Pfizer. You know why Pfizer never gets in trouble and they get their vaccines mandated.
[1:28:23.000 --> 1:28:28.000]  You have Stephen Hahn, who goes from the FDA to Moderna.
[1:28:28.000 --> 1:28:33.000]  You have James C. Smith, who ran Reuters, now works at Pfizer.
[1:28:33.000 --> 1:28:37.000]  And you have Fauci, who's with the NIH, who works with the Wuhan Institute of Aurology.
[1:28:37.000 --> 1:28:44.000]  Yeah, you wonder why these big corporations, big pharma, big agriculture and all these people and big media,
[1:28:44.000 --> 1:28:52.000]  you want to know why they never get in trouble for anything? Because they're all in bed with the government that's supposed to be watching them.
[1:28:52.000 --> 1:28:57.000]  And the list just goes on. But you notice you don't see anybody from Infowars on these lists, do you? Now you don't.
[1:28:57.000 --> 1:29:06.000]  Attention radio listeners, if you're concerned about the coming chaos after the November elections, this will be an extremely important message.
[1:29:06.000 --> 1:29:13.000]  Here's why, no matter what the outcome in November, catastrophic social upheaval is a very real possibility.
[1:29:13.000 --> 1:29:23.000]  Here's why this is important. Listen, we all know that silver and gold have been historic hedges against the uncertain waves of social chaos and unstable currencies.
[1:29:23.000 --> 1:29:32.000]  But did you know that there's been times in the past, during times of extreme hardship, when Americans put another store of value above even silver and gold?
[1:29:32.000 --> 1:29:40.000]  It's true, open pollinated seeds have been and could very well be the ultimate store of value in the coming hard times ahead.
[1:29:40.000 --> 1:29:44.000]  Go to survivalseedbank.com to get heirloom seeds below wholesale.
[1:29:44.000 --> 1:29:49.000]  Visit survivalseedbank.com this week and get hundreds of dollars in free bonuses.
[1:29:49.000 --> 1:29:58.000]  Beat the coming chaos, beat rising food prices, but above all, don't wait. Beat the crowds by claiming your own survival seed bank today.
[1:29:58.000 --> 1:30:10.000]  A little more than 20 years ago, Japanese scientists discovered and were able to isolate a compound that is naturally in nature and in foods we eat, but in very, very low amounts.
[1:30:10.000 --> 1:30:17.000]  It's called PQQ or Bio PQQ. When you have the organic form of it, it does amazing things.
[1:30:17.000 --> 1:30:23.000]  It actually makes your telomeres last longer, doesn't make them grow, but makes them last longer in the space of the same thing.
[1:30:23.000 --> 1:30:30.000]  So it's as close to the fountain of youth as you're going to get. Well, DNA Force Plus has been sold out for six months.
[1:30:30.000 --> 1:30:35.000]  It's back in stock, the highest quality PQQ, CoQ10, and so much more.
[1:30:35.000 --> 1:30:43.000]  This entire formula is about cleaning out your cells and helping your body last longer, and that is so incredibly important.
[1:30:43.000 --> 1:30:48.000]  We have it at 40% off despite the fact it's been sold out for six months at infowarstore.com.
