[00:00:00.149 --> 00:00:01.049]  And so on.
[00:41:47.575 --> 00:41:53.556]  But if you see humans dying, people don't care, because we've been conditioned to not care about our own species.
[00:41:53.556 --> 00:41:56.857]  We've lost our humanity.
[00:41:56.857 --> 00:42:06.840]  Whereas I love dogs and hate seeing a dog die, it's nothing compared to seeing a human die, because I haven't lost my humanity, and that's my most valuable possession.
[00:42:06.840 --> 00:42:07.920]  That's who I am.
[00:42:13.939 --> 00:42:15.959]  This isn't, you know, I try to have fun on the show.
[00:42:15.959 --> 00:42:16.980]  I try to be positive.
[00:42:16.980 --> 00:42:19.540]  I try to be happy.
[00:42:19.540 --> 00:42:21.981]  I try to fund our operation.
[00:42:21.981 --> 00:42:24.721]  I try to expand what we're doing.
[00:42:24.721 --> 00:42:26.722]  I know we're right about the information we cover.
[00:42:26.722 --> 00:42:28.162]  I understand how the world operates.
[00:42:28.162 --> 00:42:29.022]  I understand history.
[00:42:29.022 --> 00:42:30.083]  I've done my research.
[00:42:30.083 --> 00:42:33.603]  I've done my homework.
[00:42:33.603 --> 00:42:36.404]  And it tears my guts out.
[00:42:38.618 --> 00:42:50.092]  To know that we could just stand up and be good, decent people, and say no to evil, and learn to recognize evil, and learn to fight evil, and things would be so much better in society, and people would be so fulfilled.
[00:42:50.092 --> 00:42:51.914]  But people aren't fulfilled.
[00:42:51.914 --> 00:42:58.742]  On average, they're lazy, they're self-centered, they don't have a gauge for humanity or history, they don't have discernment.
[00:43:00.865 --> 00:43:08.970]  They don't even enjoy how beautiful God's nature is or how beautiful the stars are or how wondrous this one existence is.
[00:43:08.970 --> 00:43:13.973]  They don't understand how they are meant to change the world and be involved in the world and make the world a better place.
[00:43:13.973 --> 00:43:24.040]  They don't have any understanding of what it is to be alive and that is what's so sad is that so many people are going through life just programmed by the television set and they're not even alive.
[00:43:25.757 --> 00:43:27.798]  I don't hate Glenn Beck.
[00:43:27.798 --> 00:43:28.919]  I just know who he is.
[00:43:28.919 --> 00:43:29.579]  I know what he is.
[00:43:29.579 --> 00:43:30.239]  I can look at him.
[00:43:30.239 --> 00:43:30.940]  I can listen to him.
[00:43:30.940 --> 00:43:31.940]  He works for Fox News.
[00:43:31.940 --> 00:43:34.681]  He says, arrest Ron Paul supporters.
[00:43:34.681 --> 00:43:35.602]  Use the army against us.
[00:43:35.602 --> 00:43:39.944]  And now he flip-flops and says, yeah, I'm looking into the FEMA camps, but maybe they're needed.
[00:43:39.944 --> 00:43:46.507]  And then next he goes into how we've got to have war with Russia and Iran and how they're going to attack us and how they've got WMDs, the same old lies.
[00:43:46.507 --> 00:43:54.771]  And it's clear that they're just piggybacking Patriot information and then tying it into pro-New World Order information to try to co-opt the Liberty Movement that's awakening
[00:43:55.031 --> 00:44:02.274]  To support these wars and tyranny.
[00:44:02.274 --> 00:44:09.257]  And just because the New World Order is evil doesn't mean that Iran isn't evil and the leadership of Russia isn't corrupt and evil.
[00:44:09.257 --> 00:44:09.837]  Absolutely.
[00:44:09.837 --> 00:44:11.518]  But we're talking about who is the big power?
[00:44:11.518 --> 00:44:12.899]  Who is the mega power?
[00:44:12.899 --> 00:44:13.919]  It's the central banks.
[00:44:13.919 --> 00:44:22.863]  Who's imploding the economy by design and bragging about it and openly setting up a carbon tax to regulate every facet of our lives and announcing there'll be carbon taxes from Australia to the United States?
[00:44:25.032 --> 00:44:27.074]  On all newborn children.
[00:44:27.074 --> 00:44:28.275]  That's the one-child policy.
[00:44:28.275 --> 00:44:33.260]  That's how it started in China in 75, became law in 81.
[00:44:33.260 --> 00:44:39.185]  It's happening!
[00:44:39.185 --> 00:44:44.350]  And if we stand up and say no to this tyranny now, if we stand up and face the facts and the reality,
[00:44:46.127 --> 00:44:48.509]  And get the word out and warn people.
[00:44:48.509 --> 00:44:50.971]  There will be such a hue and cry and it's beginning to be raised.
[00:44:50.971 --> 00:44:52.153]  I see you doing it.
[00:44:52.153 --> 00:44:56.997]  We are literally moving the immovable object with God's help.
[00:44:56.997 --> 00:45:03.423]  If we commit and decide no matter what, we're doing it, it's going to happen.
[00:45:05.148 --> 00:45:11.611]  There are so many documented cases of, you know, a car on top of a child, and a mother will pick the car up.
[00:45:11.611 --> 00:45:17.673]  You see, the brain has a governor in it, just like an engine will have a governor, or a lawnmower, so you don't blow the engine.
[00:45:17.673 --> 00:45:32.059]  But when you go mind over matter, and you decide, well, they've done psychological tests at major universities where they've hypnotized a 150 pound man who can only bench press 200 pounds, and they can hypnotize him and they can bench press, you know, 700 pounds, 800 pounds.
[00:45:35.185 --> 00:45:37.228]  And again, that's just physical mind over matter.
[00:45:37.228 --> 00:45:44.620]  You can talk to the Olympic athletes and pro football folks that can jump over a whole defensive line.
[00:45:44.620 --> 00:45:48.346]  It's getting in the zone, ladies and gentlemen, and we've got to get in the zone for liberty.
[00:45:50.169 --> 00:45:53.511]  I am not concerned if they grab me, torture me, and kill me.
[00:45:53.511 --> 00:45:56.353]  I'm not concerned if they destroy my name and make stuff up about me.
[00:45:56.353 --> 00:45:57.213]  I'm not concerned.
[00:45:57.213 --> 00:45:59.254]  I'm even ready to be in solitary confinement.
[00:45:59.254 --> 00:46:03.817]  I'm ready for whatever it takes because I know that I am meant to be a good human.
[00:46:03.817 --> 00:46:04.958]  I am meant to fight evil.
[00:46:04.958 --> 00:46:10.001]  I am meant to give 110% for liberty and truth.
[00:46:10.001 --> 00:46:13.423]  And if you have the attitude and you're willing to lay down your life, you're going to be given your life.
[00:46:14.807 --> 00:46:20.989]  You know, that's not magic there in the Bible when Christ says, those that are ready to lay down their lives will gain their lives.
[00:46:20.989 --> 00:46:23.010]  Those that try to keep their lives will lose their lives.
[00:46:23.010 --> 00:46:29.513]  When you're all cowards, playing it safe, not getting outside the box, only watching your television set.
[00:46:29.513 --> 00:46:32.774]  You know, you may know about this stuff, but you're not out there involved because you're too scared.
[00:46:32.774 --> 00:46:40.937]  Because you wanted to save your life, you're probably going to lose your life, at least your financial future.
[00:46:40.937 --> 00:46:43.898]  But if you decide just to stand up,
[00:46:45.225 --> 00:46:47.787]  Not take it.
[00:46:47.787 --> 00:46:51.909]  Just the spiritual act of saying no to evil.
[00:46:51.909 --> 00:46:54.291]  The spiritual act of saying no to being a coward.
[00:46:54.291 --> 00:46:58.314]  The spiritual act of setting yourself on the right path of righteousness.
[00:46:58.314 --> 00:47:00.595]  And I don't mean the righteousness the phony preachers talk about.
[00:47:00.595 --> 00:47:01.776]  I mean real righteousness.
[00:47:01.776 --> 00:47:02.576]  Goodness.
[00:47:02.576 --> 00:47:03.737]  Loving good things.
[00:47:03.737 --> 00:47:04.598]  Loving honor.
[00:47:04.598 --> 00:47:05.558]  Loving truth.
[00:47:05.558 --> 00:47:06.599]  Loving beauty.
[00:47:06.599 --> 00:47:07.720]  Loving innocence.
[00:47:12.830 --> 00:47:19.112]  Loving true sacrifice, not counterfeit sacrifice for the New World Order.
[00:47:19.112 --> 00:47:24.694]  Just that act of flipping your mindset into gear, then you'll know what to do against the New World Order.
[00:47:24.694 --> 00:47:30.136]  Then you'll be empowered and you will burn with desire.
[00:47:30.136 --> 00:47:38.319]  You will feel literal life force pouring through your sinews, through your bones, through your guts, through your mind to a level you can't believe.
[00:47:38.319 --> 00:47:41.980]  And the only thing you won't be happy about is that you can't do enough
[00:47:43.018 --> 00:47:51.622]  And that you are worldly and that you still have the flesh side of you attached to you like an anchor, but that anchor will become smaller and smaller and smaller.
[00:47:51.622 --> 00:48:07.850]  And as you go through tribulation, and as you go through being slapped down and attacked and silenced and continue to persevere and continue to move forward with commitment, doors will open to you in the fight against tyranny.
[00:48:07.850 --> 00:48:09.611]  It is the law of the universe.
[00:48:12.469 --> 00:48:13.749]  The universe bends.
[00:48:13.749 --> 00:48:17.210]  I forget who said that, was it?
[00:48:17.210 --> 00:48:18.650]  I believe it was Einstein.
[00:48:18.650 --> 00:48:28.652]  The universe bends towards justice.
[00:48:28.652 --> 00:48:30.612]  But they taught you you were inadequate.
[00:48:30.612 --> 00:48:38.694]  First thing they do is they have Madison Avenue come out and teach men that they're not manly and that they're weak.
[00:48:38.694 --> 00:48:39.974]  Unless they do this, this, and that.
[00:48:40.885 --> 00:48:43.102]  They teach women they're not beautiful, they're not fulfilled.
[00:48:45.851 --> 00:49:05.957]  And then once you feel like you're not fulfilled, once you feel like you don't have power, once you feel like there's not a greater destiny in your life, then you buy into, well, if I just go along with the system's paradigm, you know, their overlay of the way the world works, and if I play ball and follow what the television set and the corporate media tells me is success, I'll be happy.
[00:49:05.957 --> 00:49:06.817]  And then you're not happy.
[00:49:06.817 --> 00:49:10.858]  You get more and more unhappy, so you go, well, I better just work harder to conform to this system.
[00:49:12.225 --> 00:49:22.193]  And this hierarchical system, like a bunch of parrots sitting in a tree, and you know, the king parrot sits the highest, or the way chimpanzees or other primates operate.
[00:49:22.193 --> 00:49:24.015]  We have to transcend that.
[00:49:24.015 --> 00:49:26.797]  You watch these globalists, they relish petty power.
[00:49:26.797 --> 00:49:29.219]  They relish the exercise of power.
[00:49:29.219 --> 00:49:31.641]  They relish abusing goodness.
[00:49:31.641 --> 00:49:34.864]  They relish abusing honor, because they are threatened by it.
[00:49:34.864 --> 00:49:35.864]  It is painful.
[00:49:35.864 --> 00:49:38.266]  It's like a screeching sound to them.
[00:49:41.095 --> 00:49:43.897]  Goodness is like a alarm going off.
[00:49:43.897 --> 00:49:45.238]  They just want to shut it up.
[00:49:45.238 --> 00:49:48.059]  It's like an alarm clock.
[00:49:48.059 --> 00:50:02.467]  Even if they've totally given their conscience over to evil and hardened their heart as black as the stinging of night, they still, as black as the dark gulfs of Hades, as the dark gulfs between the stars, between the galaxies, as the coldness of the night circle of hell,
[00:50:06.428 --> 00:50:09.932]  Even when they've lost their soul, they still don't like goodness.
[00:50:09.932 --> 00:50:12.114]  It's still a blinding light.
[00:50:12.114 --> 00:50:13.175]  They can't stand it.
[00:50:13.175 --> 00:50:14.236]  They don't like it.
[00:50:14.236 --> 00:50:15.557]  They want to silence it.
[00:50:15.557 --> 00:50:23.725]  And that's why every time a powerful demon of the New World Order gets in control of a country through Stalin or Hitler or Mao or others, they just start slaughtering everyone.
[00:50:26.365 --> 00:50:35.793]  In Lennon's directives to his NKVD, he would just say, more blood, kill more, kill more, and they'd say, we've killed all the leadership of the town, we've stolen everything, and just kill more!
[00:50:35.793 --> 00:50:38.074]  Kill children, more blood!
[00:50:38.074 --> 00:50:41.717]  These are on record directives.
[00:50:41.717 --> 00:50:51.866]  It's on record in mainline history books that Lennon, before he went in in 1916, 1917, and over through Russia in 1918, that he would go with his wife to a little island
[00:50:53.171 --> 00:50:56.972]  That had all these, you know, overpopulation of rabbits.
[00:50:56.972 --> 00:51:00.094]  And he would just run around grabbing them, strangling them, killing them, rolling around.
[00:51:00.094 --> 00:51:03.995]  I mean, these people are nuts!
[00:51:03.995 --> 00:51:07.256]  And I tell you, the abortionists love killing babies.
[00:51:07.256 --> 00:51:08.597]  And I talk about how they're on record.
[00:51:08.597 --> 00:51:09.257]  Just Google it.
[00:51:09.257 --> 00:51:10.077]  Look it up.
[00:51:10.077 --> 00:51:10.597]  People see me.
[00:51:10.597 --> 00:51:13.839]  Oh, they don't love doing it.
[00:51:13.839 --> 00:51:18.360]  They don't enjoy the power.
[00:51:18.360 --> 00:51:19.981]  It's sick.
[00:51:19.981 --> 00:51:22.322]  It's a vortices into a hell-raiser
[00:51:24.645 --> 00:51:26.866]  Dimension.
[00:51:26.866 --> 00:51:34.511]  It's a vortices into darkness.
[00:51:34.511 --> 00:51:37.073]  Call it what you want.
[00:51:37.073 --> 00:51:39.154]  Of the event horizon.
[00:51:39.154 --> 00:51:41.196]  And the evil is now coming through.
[00:51:41.196 --> 00:51:44.498]  It's now pouring into the world.
[00:51:44.498 --> 00:51:49.601]  And I'm telling you right now, what we need in this time is for the Spirit of the Lord
[00:51:52.176 --> 00:51:57.183]  When the enemy comes in like a flood, the Lord will lift up a standard against it.
[00:51:57.183 --> 00:51:58.905]  Are you that standard?
[00:51:58.905 --> 00:51:59.827]  You know you are!
[00:51:59.827 --> 00:52:00.708]  Arise!
[00:52:00.708 --> 00:52:06.196]  What will you do when the economy collapses, store shelves are empty, and your stored food is gone?
[00:52:06.196 --> 00:52:07.838]  How will you feed your family?
[00:52:07.998 --> 00:52:08.478]  We're good to go.
[00:52:31.849 --> 00:52:32.229]  I think so.
[00:53:00.626 --> 00:53:07.389]  Today, unlike any other in the long course of American history, a terrorist act of war against this country.
[00:53:07.389 --> 00:53:10.031]  The enemy struck America on September 11th.
[00:53:10.031 --> 00:53:11.592]  But who is the enemy?
[00:53:11.592 --> 00:53:12.392]  Bin Laden.
[00:53:12.392 --> 00:53:13.412]  This is his M.O.
[00:53:13.412 --> 00:53:14.753]  We have to look to the Middle East.
[00:53:14.753 --> 00:53:16.754]  We have to look to Osama Bin Laden.
[00:53:16.754 --> 00:53:23.898]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[00:53:23.898 --> 00:53:24.378]  Some U.S.
[00:53:24.378 --> 00:53:30.021]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[00:53:30.701 --> 00:53:34.224]  I'm aware that some Israeli citizens have been detained.
[00:53:34.224 --> 00:53:37.026]  Either you are with us, or you are with the terrorists.
[00:54:00.783 --> 00:54:04.225]  Silver is mankind's oldest natural antibiotic.
[00:54:04.225 --> 00:54:08.468]  This very special mineral has been used for centuries by most cultures throughout the world.
[00:54:08.468 --> 00:54:16.433]  Utopia, Texas is home to a small but mighty supplement company called Utopia Silver, who offers colloidal products produced in distilled water
[00:54:16.713 --> 00:54:17.153]  We're good to go!
[00:54:46.636 --> 00:54:48.997]  Make no mistake, this life is a test.
[00:54:48.997 --> 00:54:52.019]  You are meant to stand in the midst of evil and resistance.
[00:55:18.453 --> 00:55:28.940]  You will not be fulfilled until you set your mind and soul in motion to fight evil, to defend the weak.
[00:55:28.940 --> 00:55:33.884]  I've seen trouble all my day.
[00:55:33.884 --> 00:55:46.853]  I bid farewell to old Kentucky, the place where I was born and raised.
[00:55:52.859 --> 00:55:56.442]  All right.
[00:55:56.442 --> 00:56:02.648]  In other news, the establishment is losing control of the Republican Party.
[00:56:02.648 --> 00:56:10.334]  Republicans are finding out there is a new world order, there is a world government, Limbaugh lied to them all those years, stalling us when we still had time to stop things.
[00:56:11.465 --> 00:56:13.466]  Before they came to fruition.
[00:56:13.466 --> 00:56:16.828]  We can still stop it, but it's going to be a much harder fight now.
[00:56:16.828 --> 00:56:22.571]  So they're billing him as the leader of the Republican Party, and Ron Paul has said that's a sad thing.
[00:56:22.571 --> 00:56:25.493]  You know, a discredited drug addict, and I don't even criticize him for that.
[00:56:25.493 --> 00:56:27.814]  People get hurt and they get addicted to opiates.
[00:56:27.814 --> 00:56:31.996]  The issue is he still says put drug users in prison and throw away the key.
[00:56:31.996 --> 00:56:35.178]  He's such a hypocrite.
[00:56:35.178 --> 00:56:38.900]  And it's now come out in Democratic memos, the Politico website is reporting.
[00:56:40.267 --> 00:56:45.691]  Top Democrats believe they have struck political gold by depicting Rush Limbaugh as the new face of the Republican Party.
[00:56:45.691 --> 00:56:52.076]  A full-scale effort hatched by some of the most familiar names in politics and now being guided as part of an inside White House operation.
[00:56:52.076 --> 00:57:05.045]  Now, I said this months ago, Obama can't run, and he's acting like he's still running, his agenda, in the name of being anti-establishment because he's continuing everything Bush did and expanding much of it.
[00:57:06.556 --> 00:57:13.579]  And so they're going to use the ridiculous fake conservative caricatures who are attacking Obama.
[00:57:13.579 --> 00:57:21.982]  See, when you attack Obama from a fake right-wing position, it only politically strengthens him.
[00:57:21.982 --> 00:57:26.244]  And that's what Limbaugh's job is.
[00:57:26.244 --> 00:57:32.866]  That's why Bill Clinton's been saying nice things about him, and they talk about how they hung out at dinner one time at a steakhouse.
[00:57:32.866 --> 00:57:35.267]  It's just disgusting, ladies and gentlemen.
[00:57:38.362 --> 00:57:41.484]  And I'm just looking at Limbaugh.
[00:57:41.484 --> 00:57:54.153]  I mean, he's so thoroughly discredited all those years saying the Council on Foreign Relations didn't exist, the New World Order didn't exist, and then, okay, the CFR exists, but they don't run anything, and then now, okay, there's a world government with a world carbon tax being set up, but the liberals run it.
[00:57:54.153 --> 00:58:00.158]  When all Bush did was prepare it, Bush set the table, now Obama's sitting down to eat it with the bankers.
[00:58:03.834 --> 00:58:19.769]  And that's why the Obama deception that's on sale now at Infowars.com is so important, because it is all about smashing the left-right paradigm, showing how both parties are controlled, and the way it goes after Obama is the truth, and so it's the only effective way to shoot down their agenda.
[00:58:22.386 --> 00:58:24.646]  So I want to invite you to pre-order the Obama Deception now.
[00:58:24.646 --> 00:58:27.387]  It's going to be shipping now in 11 days.
[00:58:27.387 --> 00:58:30.148]  Well, really technically 10 because it goes out on the 15th.
[00:58:30.148 --> 00:58:31.128]  10 days from now.
[00:58:31.128 --> 00:58:34.348]  Get your order in at InfoWars.com or call toll-free 888-253-3139.
[00:58:34.348 --> 00:58:34.409]  888-253-3139.
[00:58:34.409 --> 00:58:35.949]  Or write to me at 3001 South Lamar, Austin, Texas 78704.
[00:58:49.309 --> 00:59:09.805]  And you know opening up my heart last segment everybody that's really where I stand and that's what we're doing and I just want to thank my family for all they've gone through and standing behind me not just my wife and children but my parents and my one living grandmother and my aunts and uncles and everybody I love you
[00:59:12.762 --> 00:59:21.168]  Because even though we knew this was all coming, we knew we were right about it because it was the Globalist's own documents, it still is bracing.
[00:59:21.168 --> 00:59:21.848]  It's not fear.
[00:59:21.848 --> 00:59:22.949]  It's like jumping into cold water.
[00:59:22.949 --> 00:59:24.990]  It's bracing.
[00:59:24.990 --> 00:59:28.853]  It makes you so awake, so alive.
[00:59:28.853 --> 00:59:38.619]  It does shake you to your foundations, but every time you shake your foundations, you only become stronger as you face the true horror of the New World Order and battle it.
[00:59:42.901 --> 00:59:45.403]  Thank you for listening to GCN.
[00:59:45.403 --> 00:59:50.566]  Be sure to visit GCNlive.com today.
[00:59:50.566 --> 00:59:51.207]  Hello, friends.
[00:59:51.207 --> 00:59:52.267]  This is Alex Jones.
[00:59:52.267 --> 00:59:57.011]  I've told you for a long time it's important to be self-sufficient, and today that's more important than ever.
[00:59:57.011 --> 00:59:59.973]  We need to be independent, and food and water is the key.
[00:59:59.973 --> 01:00:03.015]  You'll never have to stand in a bread line if you have your own bread.
[01:00:03.015 --> 01:00:07.738]  You'll never have to go to the Superdome and beg for FEMA to take care of your family in any emergency.
[01:00:07.958 --> 01:00:09.078]  If you simply prepare.
[01:00:09.078 --> 01:00:12.320]  No one is going to take care of your family in the final equation but you.
[01:00:12.320 --> 01:00:19.323]  You know eFoodsDirect.com is still able to ship storable food that's safe from E. coli, salmonella, genetic alteration, or Chinese imports.
[01:00:19.323 --> 01:00:22.584]  And they do it at almost half the cost of last year's grocery prices.
[01:00:22.584 --> 01:00:22.844]  Call 1-800-409-5633.
[01:00:25.285 --> 01:00:27.746]  Or on the web, go to eFoodsDirect.com.
[01:00:27.746 --> 01:00:34.010]  Visit eFoodsDirect.com and look over the fine list of high-quality, freeze-dried, and dehydrated foods they have to offer.
[01:00:34.010 --> 01:00:37.612]  Watch the free videos, look at their online catalog, or give them a call at 1-800-409-5633.
[01:00:37.612 --> 01:00:39.133]  Again, 800-409-5633, or on the web at eFoodsDirect.com.
[01:00:39.133 --> 01:00:39.753]  Take action today.
[01:00:39.753 --> 01:00:41.614]  The first step is getting storable food.
[01:00:53.365 --> 01:00:55.766]  Waging war on corruption.
[01:00:55.766 --> 01:01:05.171]  Alex Jones on the GCN Radio Network.
[01:01:05.171 --> 01:01:06.492]  Big Brother.
[01:01:06.492 --> 01:01:08.253]  Mainstream media.
[01:01:08.253 --> 01:01:10.014]  Government cover-ups.
[01:01:10.014 --> 01:01:11.595]  You want answers?
[01:01:11.595 --> 01:01:13.155]  Well, so does he.
[01:01:13.155 --> 01:01:17.338]  He's Alex Jones on the GCN Radio Network.
[01:01:17.338 --> 01:01:21.400]  And now, live from Austin, Texas, Alex Jones.
[01:01:27.044 --> 01:01:28.650]  It is Wednesday, the fourth day.
[01:01:29.975 --> 01:01:32.936]  of March 2009 for the next 30 minutes.
[01:01:32.936 --> 01:01:56.024]  I'm going to break down the reality of the military-industrial complex takeover, the FEMA camps, the open announcement of world government being set up by the banks that you'll pay carbon taxes to, and how people like Glenn Beck are countering this after denying it all these years, and how they're attempting to co-opt the Patriot Liberty Movement, and how every time he talks about FEMA camps, he then talks about the threat of Russia and Iran.
[01:01:56.024 --> 01:01:58.825]  He creates the fear of FEMA camps, then psychologically flips it
[01:01:59.585 --> 01:01:59.985]  I think so.
[01:02:18.973 --> 01:02:22.756]  And the reason I'm getting into this is because this is a psy-op by Fox News.
[01:02:22.756 --> 01:02:25.677]  This is Fox News, the big purveyors of propaganda.
[01:02:25.677 --> 01:02:27.278]  They're there to neutralize conservatives.
[01:02:27.278 --> 01:02:31.101]  You know, Limbaugh's been discredited for decades saying no New World Order existed.
[01:02:31.101 --> 01:02:33.463]  Now it's all over the news as the savior.
[01:02:33.463 --> 01:02:35.244]  It's exactly as we said the New World Order would be.
[01:02:35.244 --> 01:02:42.168]  A World Bank, Bank of the World, Time Magazine, Newsweek, Wall Street Journal, Financial Times of London, all saying it's good.
[01:02:42.168 --> 01:02:45.651]  North American Union's good and the Wall Street Journal now owned by News Corp and Fox News.
[01:02:47.391 --> 01:02:50.133]  Okay, we're in a depression, the answer is world government.
[01:02:50.133 --> 01:02:52.594]  And then they have him over there playing the part of Welton.
[01:02:52.594 --> 01:02:56.816]  I don't know if this is a good idea, but I'm worried about the bubble factor in their guns.
[01:02:56.816 --> 01:02:57.296]  What do we do?
[01:02:58.510 --> 01:03:15.198]  That's the same way that Tommy Franks, four years ago, would go on Fox and say, and other channels, and say, you know, I'm real sad about this, but it's what the people are going to demand for security, that the next time we're hit by terrorists, we're going to have to have martial law and a military form of government in America.
[01:03:15.198 --> 01:03:18.640]  Gee, I'm sorry that's going to happen, but that's all that'll keep us safe.
[01:03:18.640 --> 01:03:21.281]  You don't expect to come out and say martial law's good, military occupation's good.
[01:03:21.281 --> 01:03:25.724]  He says, gee, I'm sorry, it's not really our form of government, but it's all that'll keep you safe.
[01:03:26.684 --> 01:03:28.285]  You know, martial law is what will keep you safe.
[01:03:28.285 --> 01:03:29.266]  It's what the people want.
[01:03:29.266 --> 01:03:31.828]  When it's not what the people want, martial law won't keep you safe.
[01:03:32.970 --> 01:03:47.441]  That's how they proposed it, and I said on air, we knew the Pentagon was spending tens of billions to buy reporters, to have fake news, not just Armstrong Williams to push, you know, No Child Left Behind, $240-something thousand a year to go out secretly and secretly being funded to push that.
[01:03:47.441 --> 01:04:02.012]  It was thousands of reporters, and I said, I guarantee you, Frank's is all over TV, he's getting money from the Pentagon slush fund to go say this, and then it came out in mainstream news that he was paid over $500,000 that year alone to go out and read that talking point
[01:04:02.472 --> 01:04:08.276]  On the news, introducing that martial law keeps you safe, we've got to get rid of our form of government.
[01:04:08.276 --> 01:04:20.005]  Now the White House memos, I'm going through the evidence now, the John Yoo memos have been released and it says we're going to ban free speech, we're going to basically make Bush a dictator, this is mainstream headlines.
[01:04:20.005 --> 01:04:24.088]  He went on to say, here's the headline, terror memos reveal total destruction of U.S.
[01:04:24.088 --> 01:04:25.849]  constitutional freedoms.
[01:04:25.849 --> 01:04:29.312]  He goes on to say that under PDD 51, just the cover sheet,
[01:04:30.232 --> 01:04:35.696]  It states that the President is a dictator under any emergency, including economic, that the Congress can't review it.
[01:04:35.696 --> 01:04:43.642]  When Congress and the highest level committee on security, Homeland Security, asked to see the full document, they were told no national security.
[01:04:43.642 --> 01:04:56.912]  Now we have the John U. memos, where they say the President is above all branches of government, when supposedly legislative, executive, judicial, or co-equal founders said that really the legislative was above the courts and the executive, the President.
[01:04:57.856 --> 01:05:00.398]  So all of that is going on, all of that is admitted.
[01:05:00.398 --> 01:05:03.761]  I've got scores of video clips here.
[01:05:03.761 --> 01:05:17.493]  One of them is titled, 26,000 Pastors for Martial Law, Continuity of Government, and then it goes in Representative Peter Defazio on the Homeland Security Committee talking about how they were told they're not allowed to read it.
[01:05:17.493 --> 01:05:20.056]  They're co-equal with the President, but they can't see it.
[01:05:21.943 --> 01:05:24.684]  And then we have other newscasts.
[01:05:24.684 --> 01:05:29.206]  Years after we told you about the Clergy Response Teams, how they had secretly hired 26,000 preachers.
[01:05:29.206 --> 01:05:38.230]  We got the secret FEMA documents to tell their flock to take implantable injections, go to FEMA camps, have their families broken up.
[01:05:38.230 --> 01:05:40.931]  People who couldn't believe it, now it's mainstream news.
[01:05:40.931 --> 01:05:47.173]  InfraGard, now 50,000 executives who shoot to kill orders, who have been secretly FBI deputized.
[01:05:47.173 --> 01:05:48.234]  We're going to go over all of that.
[01:05:49.266 --> 01:05:50.528]  And a lot more coming up.
[01:05:50.528 --> 01:05:53.232]  You know, Glenn Beck says he doesn't know if the camps are real.
[01:05:53.232 --> 01:05:57.999]  We'll have to be hiding, you know, under his bed not to know that.
[01:05:57.999 --> 01:05:59.781]  So we'll come back and go over all this.
[01:06:01.576 --> 01:06:05.399]  Attention, this is an extremely urgent self-reliant news bulletin.
[01:06:05.399 --> 01:06:12.464]  If you have ever wanted to produce your own cheaper-than-dirt survival food, this is going to be the most important message you will ever hear.
[01:06:12.464 --> 01:06:13.945]  Here is why.
[01:06:13.945 --> 01:06:23.892]  This network has just learned of a new video course that reveals the secrets of how to safely prepare and store all types of survival foods in an event of social unrest and food shortages here in the U.S.
[01:06:24.392 --> 01:06:27.133]  Grain shortages and hunger are spreading across the globe.
[01:06:27.133 --> 01:06:29.254]  Will troops guard the food supplies in the U.S.
[01:06:29.254 --> 01:06:30.235]  this fall?
[01:06:30.235 --> 01:06:31.155]  Don't wait.
[01:06:31.155 --> 01:06:35.097]  Learn the food shortage skills that can keep you and your family alive in a crisis.
[01:06:35.097 --> 01:06:38.438]  Get the details at foodshortageusa.com.
[01:06:38.438 --> 01:06:39.939]  That's foodshortageusa.com.
[01:06:41.139 --> 01:06:45.863]  Or you can call toll-free 877-327-0365.
[01:06:45.863 --> 01:06:47.644]  Don't wait for empty shelves.
[01:06:47.644 --> 01:06:51.507]  Go to FoodShortageUSA.com while you still have time.
[01:06:51.507 --> 01:06:57.572]  www.FoodShortageUSA.com or toll-free at 877-327-0365.
[01:06:57.572 --> 01:07:00.034]  Act now!
[01:07:00.034 --> 01:07:07.739]  Today, unlike any other in the long course of American history, a terrorist act of war against this country.
[01:07:07.739 --> 01:07:09.401]  The enemy struck America on September 11th.
[01:07:10.359 --> 01:07:11.920]  But who is the enemy?
[01:07:11.920 --> 01:07:12.721]  Bin Laden.
[01:07:12.721 --> 01:07:13.702]  This is his M.O.s.
[01:07:13.702 --> 01:07:15.083]  We have to look to the Middle East.
[01:07:15.083 --> 01:07:17.084]  We have to look to Osama Bin Laden.
[01:07:17.084 --> 01:07:24.229]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[01:07:24.229 --> 01:07:24.710]  Some U.S.
[01:07:24.710 --> 01:07:30.394]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[01:07:31.054 --> 01:07:34.517]  I'm aware that some Israeli citizens have been detained.
[01:07:34.517 --> 01:07:36.699]  Either you are with us, or you are with the terrorists.
[01:08:00.925 --> 01:08:04.006]  Have you ever thought about what's in your shampoo, soap, or detergent?
[01:08:04.006 --> 01:08:09.529]  How about chlorides, dyes, ethanol, sulfates, sodium, formaldehydes, and more?
[01:08:09.529 --> 01:08:15.251]  Even fragrance can indicate the presence of some 4,000 separate ingredients, most of which are synthetic.
[01:08:15.251 --> 01:08:16.732]  Hi, this is Alex Jones.
