[00:00.000 --> 00:01.200]  We'll protect voting rights.
[36:14.000 --> 36:18.560]  should be but i'm really telling you what i really believe and put a little bit of a governor on it
[36:18.560 --> 36:23.280]  just to make sure i don't go too far and you can't go too far now with these people so so they
[36:23.280 --> 36:28.560]  do want their permanent revolution their end of history is what they call it and so they're saying
[36:28.560 --> 36:34.080]  the republicans are about to have an end of history no populist anti-globalist pro-human
[36:34.080 --> 36:39.120]  folks pro-god people are have beach heads through populist parties worldwide most of them being
[36:39.120 --> 36:44.480]  conservative and if you want the big dark age of the new world order if you want to live in the
[36:44.480 --> 36:49.120]  great reset where they admit it's a tyranny or they admit the goal is to populate you on record
[36:49.120 --> 36:52.720]  well then go with them they're the ones saying they want to get rid of you they're the ones saying
[36:52.720 --> 36:58.880]  there's too many people they're the ones saying it and they got the nerve to say we're the ones
[36:58.880 --> 37:04.400]  that want to put you in a death camp and kill your kids i played that earlier they're saying it everywhere
[37:06.560 --> 37:07.360]  what have i been saying
[37:10.000 --> 37:14.640]  i've been saying it about them but showing proof making films writing books documenting it all
[37:14.640 --> 37:19.360]  neurotically where is their evidence we want to put them in jail or kill their kids there is none
[37:19.360 --> 37:23.360]  so let's play the chris hayes piece in the end without me interrupting but
[37:23.360 --> 37:26.720]  he's like it almost sounds like what i'm proposing is authoritarianism but
[37:27.840 --> 37:33.280]  it's what we need to do there's that moment where they got to go and you know this probably
[37:33.280 --> 37:40.400]  sounds like tyranny but we got to do it for your own good here it is a state in which republicans
[37:40.400 --> 37:47.840]  never lose is a one-party state by definition that's a problem and we see this everywhere right
[37:47.840 --> 37:52.480]  we see this in carry lake in arizona you see doug massariano in pennsylvania up and down the ballot
[37:52.480 --> 37:57.040]  secretary of state candidates people running for congress and so the pitch from democrats is basically
[37:57.040 --> 38:01.040]  if you care about democracy if you care about having this feedback mechanism in which the
[38:01.040 --> 38:06.640]  people you elect are accountable to them to you you've got no choice but to vote for us
[38:08.160 --> 38:14.800]  and that on its face sounds almost anti-democratic itself to say you don't have a choice but it
[38:14.800 --> 38:22.320]  also happens to be true in wisconsin voters might go to the polls and over 50 of them might vote
[38:23.600 --> 38:28.800]  for the democrats and republicans could win a super majority in both houses in that state
[38:28.800 --> 38:33.040]  they might even elect tony evers as their governor and that super majority could override whatever
[38:33.040 --> 38:39.280]  tony evers says that's what michael's is getting at much of the republican party the dominant faction
[38:39.280 --> 38:44.400]  within it run by donald trump the guy who tried the coup the first ever in american history
[38:44.400 --> 38:49.200]  that faction in that party is fundamentally opposed to democracy it's plain as day you
[38:49.200 --> 38:54.320]  could read it on the faces of the cops on the steps of the capital as they were getting their
[38:54.320 --> 39:00.800]  heads bashed in that faction wants to wield the power of the state through a number of means to
[39:00.800 --> 39:04.880]  insulate themselves from free and fair elections and in state one party rule whether it's through
[39:04.880 --> 39:09.200]  gerrymandering voter suppression or simply installing party loyals in key positions who do
[39:09.200 --> 39:17.280]  things like don't certify elections that don't go their way and so when democrats say you don't
[39:17.280 --> 39:20.800]  have a choice this election that there's only one party that cares about for democracy it's us
[39:20.800 --> 39:27.920]  democracy is on the ballot what they're really saying is if you don't elect us this time if you
[39:27.920 --> 39:34.960]  don't keep them out of power you may never be able to elect us again or in short vote to preserve
[39:34.960 --> 39:43.680]  your right to throw the bums out now let's hear from msnbc as well with their quote historian
[39:44.800 --> 39:49.840]  saying they want to put you in jail and murder your children here it is and a historian 50 years
[39:49.840 --> 39:55.280]  from now if historians are allowed to write in this country and if there are still free publishing
[39:55.280 --> 40:02.080]  houses and a free press which i'm not certain of but if that is true a historian will say
[40:02.080 --> 40:08.480]  what was at stake tonight and this week was the fact whether we will be a democracy in the future
[40:08.480 --> 40:14.160]  whether our children will be arrested and conceivably killed we're on the edge of a brutal
[40:14.160 --> 40:20.400]  authoritarian system and it could be a week away okay so where is anybody in our government
[40:22.240 --> 40:26.400]  that's done stuff like arrest people and put them in death camps okay george soros basically
[40:26.400 --> 40:32.000]  runs things he did that on record killery went in and destroyed countries were trying to work with us
[40:32.000 --> 40:35.920]  like libyan turned it over to radical muslims and killed hundreds of thousands okay our government
[40:35.920 --> 40:39.920]  started the whole syrian war the kill hundreds of thousands okay we're trying to abort everybody
[40:39.920 --> 40:44.000]  they say there's too many of us they're censoring us they're surveilling us they're illegally doing
[40:44.000 --> 40:51.280]  all this and then they sit there with some foppish fake aristocrat up there but oh it'll be the last
[40:51.280 --> 40:59.360]  election ever and they'll kill our children these people are disgusting and here's the good news
[40:59.360 --> 41:05.520]  almost no one listens to them almost no one believes them and every area they run has been
[41:05.520 --> 41:09.680]  running to the ground we're gonna go to break i'm gonna give the number out when we come back next
[41:09.680 --> 41:15.360]  hour phone calls tons of news election coverage so much more it's gonna be a big second third hour
[41:15.360 --> 41:19.200]  please remember we're listed supported and the sales just get bigger and bigger
[41:19.200 --> 41:24.480]  towards the end of the year but they peak with black friday comes early and then those sales
[41:24.480 --> 41:28.560]  continue through christmas accept a lot of stuff sells out so this is the best it gets in the year
[41:28.560 --> 41:34.800]  at info warscore.com some of these we're making five ten percent on the sales are that big okay
[41:34.800 --> 41:42.160]  so our incredibly powerful organic multivitamin is back in stock it's 50 percent off with promo code
[41:42.160 --> 41:49.280]  1776 a bunch of the other products are 60 off with promo code 1776 and double patria points
[41:49.280 --> 41:54.720]  on your next order whole food multivitamin vitamin d3 gummies vitamin c plus zinc dna
[41:54.720 --> 41:59.200]  force plus fizzy magnesium brain force ultra brain force plus organic fiber green super
[41:59.200 --> 42:04.400]  melville letality ultimate krill oil ultimate fish oil knockout sleep support alpha power vazo
[42:04.400 --> 42:11.120]  beats and even more great products at info wars store.com we're up to 60 off the black friday
[42:11.120 --> 42:17.760]  sale comes early promo code 1776 do your christmas shopping now and be done with it and keep us on
[42:17.760 --> 42:30.880]  air thank you once a tragedy reaches a level of national significance american citizens
[42:30.880 --> 42:36.800]  should be allowed to basically question that event in any way that they deemed fit the first
[42:36.800 --> 42:41.280]  amendment is unique in the world that's what they want to take away your ability to speak freely
[42:41.280 --> 42:44.480]  so they're going to go from michael indell next or they're going to go for steve bannon
[42:44.480 --> 42:49.200]  are going to go for tucker carlson i studied the globalist 30 years ago but on air 28 years
[42:49.200 --> 42:53.280]  and i knew they were planning all of this and i warned the public as a modern paul revere
[42:53.280 --> 42:57.200]  but i couldn't have done it without your support and now because we've been so successful warning
[42:57.200 --> 43:01.680]  the population of the planet not just america we're public enemy number one when it comes to
[43:01.680 --> 43:06.240]  globalist agenda that's why it's more important than ever to realize how successful info wars
[43:06.240 --> 43:10.480]  has been because of your past support so i salute you and i thank you and i ask you now
[43:10.480 --> 43:14.960]  the critical juncture of the battle free double your efforts by visiting infowarstore.com
[43:14.960 --> 43:21.360]  and getting amazing products that keep us on air 1776 the promo code the destination is info
[43:21.360 --> 43:27.440]  war store.com and i thank you all for your support speaking of redemption songs tim pulls but a
[43:27.440 --> 43:32.800]  really interesting and powerful music video genocide losing my mind we're posting it to info
[43:32.800 --> 43:36.240]  wars.com here it is we'll be back with your phone calls
[44:03.120 --> 44:06.240]  my
[44:16.080 --> 44:21.280]  we're killing that the winds and tides of a nation
[44:21.280 --> 44:31.760]  fractured at the seams raking apart for the world to see we're free from control reality
[44:32.400 --> 44:43.600]  if i draw away from this to get away from this i'm losing my mind have i lost my sight
[44:43.600 --> 44:52.080]  of this quicksand has gone over my eyes how can i see anything
[44:54.560 --> 45:01.360]  we're shadows we're shadows in the current enterprise of institutions made to control
[45:01.360 --> 45:09.440]  your lives we're inside breathing and cocking all the lies that we use to control your mind
[45:09.440 --> 45:21.280]  we're free from control reality and find your way from this to get away from this
[45:23.040 --> 45:30.800]  i'm losing my mind have i lost my sight of this quicksand has gone over my eyes how can i see
[45:30.800 --> 45:38.640]  anything
[45:38.640 --> 45:48.480]  on
[45:52.160 --> 46:00.480]  break free from control reality and find your way from this
[46:00.480 --> 46:11.280]  to get away from this i'm losing my mind have i lost my sight of this quicksand has gone
[46:11.280 --> 46:20.320]  over my eyes how can i see anything
[46:20.320 --> 46:34.160]  i cannot find a better way from all the better things that you give to me oh no not
[46:34.160 --> 46:46.560]  i cannot find a better way from all the better things that you give to me
[46:46.560 --> 47:00.400]  if i could see the darkness in the minds and that's ain't it i'll make it right
[47:05.200 --> 47:08.960]  all right that's tim cask genocide losing my mind official music video
[47:08.960 --> 47:18.080]  i am on the jim cask website and on info wars on a great group folks entertaining
[47:26.000 --> 47:30.160]  we're gonna go to break come back in the number i'll take your calls it's friday stay with us
[47:31.360 --> 47:36.560]  four days out to the incredibly important midterms we'll have live wall-to-wall coverage right to
[47:36.560 --> 47:44.160]  two a.m and then the next day whatever it takes next tuesday election day all right the next two
[47:44.160 --> 47:48.560]  hours i want to cover a ton of news and a lot of different angles and topics of the battle for the
[47:48.560 --> 47:52.560]  future of humanity and we're going to give that toll free number out we're going to take a lot
[47:52.560 --> 47:58.400]  of calls like we did yesterday the toll free number to join us for first-time callers long-time
[47:58.400 --> 48:03.280]  callers you agree you disagree from all over the world just let us know where you're calling from
[48:03.280 --> 48:06.640]  and have a clean phone line i'm going to go right to you the toll free number to join us
[48:06.640 --> 48:14.080]  is eight seven seven seven eight nine two five three nine eight seven seven eight nine alex
[48:14.080 --> 48:22.640]  eight seven seven seven eight nine two five three nine is the number if you just joined us
[48:24.560 --> 48:30.880]  i spent most of the first hour on the talking point that you don't even need me to tell you
[48:30.880 --> 48:36.400]  the talking point you see it everywhere the republicans are going to set up a dictatorship
[48:36.400 --> 48:40.000]  they're going to put you in femacamps remember i'm the crazy guy for saying that and they're
[48:40.000 --> 48:44.560]  going to kill your children those are quotes not just on the clips i played i mean they're
[48:44.560 --> 48:49.680]  everywhere they're going to kill us they're nazis they're surveilling us they're spying on us they're
[48:49.680 --> 48:54.400]  censoring us they're book banning they're they're they're doing what we're actually doing
[48:54.400 --> 49:03.120]  they're inverting reality in a massive way and then we've got biden in statements
[49:04.640 --> 49:07.200]  saying we will pass election reform
[49:09.600 --> 49:14.480]  if they keep control of the house and senate so the republicans can't still election so
[49:14.480 --> 49:18.560]  saying elections are stolen is insane it doesn't exist when you have evidence in your republican
[49:18.560 --> 49:23.040]  or a populist or a nationalist or you see evidence of it but when you're the democrats the republicans
[49:23.040 --> 49:27.040]  were planning to steal the election this election and the main general election in two years
[49:28.400 --> 49:32.960]  and and they're planning to put us in camps and they're planning to kill us those are real quotes
[49:33.520 --> 49:40.000]  i played last hour like three times and and and but but we're going to take over and pass election
[49:40.000 --> 49:44.720]  reform where there's no id and where illegal aliens can vote and where the dead people can vote
[49:44.720 --> 49:49.840]  and there's always these male imbalance from now to kingdom co because they know we're watching
[49:49.840 --> 49:54.560]  the machines so then they just put fake ballots fraudulent ballots in the machines so it's a
[49:54.560 --> 50:01.520]  real tally just using fraudulent voter data so here's biden we will pass election reform make
[50:01.520 --> 50:05.920]  sure no one has the opportunity to steal the election again well wait if the last election
[50:05.920 --> 50:14.560]  wasn't stolen then why do you need to pass reform that keeps it from being stolen see it's all
[50:14.560 --> 50:22.720]  circular logic it's all lies here it is my friends we offer a starkly different version
[50:22.720 --> 50:28.080]  and vision of this country a vision of a better america that's within our reach that's within
[50:28.080 --> 50:37.360]  our hands if we just vote if we elect two more senators we keep the house and democrats we're
[50:37.360 --> 50:43.920]  gonna get a lot of unfinished business we're gonna get done folks look we'll codify roe v wade
[50:46.880 --> 50:51.280]  kill those babies we'll ban it we'll ban us all weapons take the guns we'll protect social
[50:51.280 --> 50:58.400]  security medicare we'll pass universal pre-k we'll restore the child care tax credit we'll protect
[50:58.400 --> 51:04.560]  voting rights we'll pass election reform and make no make sure no one no one ever has an opportunity
[51:04.560 --> 51:09.040]  to steal the election again that's a doozy
[51:12.320 --> 51:14.800]  so simultaneously on one side of their mouth
[51:17.840 --> 51:20.640]  republicans are trying to steal the election we got to take over the elections
[51:20.640 --> 51:22.480]  no one ever stole one it's insane don't say that
[51:24.880 --> 51:28.480]  what do you make of the new talking point i mean it's not new but it's now
[51:28.480 --> 51:35.600]  the new big talking point it's now the talking point that the democracy's in failing and america's
[51:35.600 --> 51:39.680]  going into a dictatorship they want to put us in jail and they want to kill our children and
[51:39.680 --> 51:43.280]  they're gonna ban and free speech when it's everything they're doing
[51:44.800 --> 51:49.600]  eight seven seven seven eight nine two five three nine if you missed that number
[51:52.240 --> 51:56.720]  and the phone's obviously low up in seconds but you can always when you hear a caller hang up
[51:56.720 --> 51:59.760]  hit that read all we love to hear from you but the way we get to lots of calls
[52:00.960 --> 52:05.440]  is by getting to him and by moving on to the next person so as darth vader says
[52:06.480 --> 52:12.720]  you may dispense with the pleasantries let's go right to your important content with kyle in
[52:12.720 --> 52:18.160]  new jersey you're on the air hey alex how you doing i just want to make a quick comment about the
[52:18.160 --> 52:23.520]  chris say thing the fact that he says vote to preserve your rights to throw the bums out
[52:23.520 --> 52:28.720]  well that's exactly what we're doing i mean it's total inversion of reality everything they do is
[52:28.720 --> 52:33.520]  stagism it's inversion of reality and they really think that we're that stupid and i mean they're
[52:33.520 --> 52:39.520]  basically that stupid that they convince them to believe this nonsense look who they are is mercenaries
[52:39.520 --> 52:44.320]  that know it's all a lie i know some of these people behind the scenes more than a lot of them
[52:44.320 --> 52:48.640]  and so does mike cernovich and i point that out because mike made the point to me at dinner like
[52:48.640 --> 52:52.800]  six years ago he goes alex i had been with all these people and he's saying they're all really
[52:52.800 --> 52:56.800]  fans they wish they were us they actually hate their job and what they do so a lot of them aren't
[52:56.800 --> 53:01.120]  even really evil they just follow talking points now obviously the politicos and those above them
[53:01.120 --> 53:05.680]  are really evil but a lot of these people are just literal teleprompter readers that's all they do
[53:07.040 --> 53:12.320]  yeah they're just absolute puppets i mean literally they're probably all mk ultra more or less but
[53:12.320 --> 53:16.880]  the topic i wanted to bring up i think you guys should research is there's been a lot of ads on
[53:16.880 --> 53:23.040]  indeed a different job board it's called role player civilians on the battlefield and i'll just
[53:23.040 --> 53:28.080]  read you the quick description they're looking for qualified and motivated prior service military
[53:28.080 --> 53:34.240]  personnel or general personnel with previous exercise support experience to fill various
[53:34.240 --> 53:39.840]  positions supporting exercises in the u.s and potentially overseas so what they're doing is
[53:39.840 --> 53:44.320]  they're literally go through the job description it's in these different forts and i have two friends
[53:44.320 --> 53:48.560]  they're in the military and they told me they've been doing they're prepping all these exercises
[53:48.560 --> 53:52.880]  against the village i mean they're literally gearing up that's going to be the best no no
[53:52.880 --> 53:57.680]  the pedigree admits they're doing the biggest civil unrest drills and training specifically
[53:57.680 --> 54:02.080]  targeting quote constitutional terrorist they've ever done it it's actually not even secret
[54:03.040 --> 54:07.920]  yeah it's crazy i mean it's open the populists are going to put everyone in camps and kill
[54:07.920 --> 54:13.760]  everybody's children what do you make of that new talking point it's again it's just projecting what
[54:13.760 --> 54:17.920]  they're about to do we just got to learn that's what they do that the whole donald trump thing
[54:17.920 --> 54:23.680]  projecting ukraine projecting russia is everything that they were doing we know this exactly amazing
[54:23.680 --> 54:32.800]  points call god bless you jason in texas welcome uh yeah lex uh feds talked to you what october 11
[54:33.360 --> 54:38.960]  you know i gave my final prediction of all this and what's about to happen and it's true i mean
[54:38.960 --> 54:44.160]  we can see it coming it's happening i predicted that they were gonna you know there's gonna be
[54:44.160 --> 54:50.880]  some type of war they're gonna false flag thing like bomb our own thing country and blame it on
[54:50.880 --> 54:58.080]  china or russia we're getting close to the end is damn near i mean i agree if you look at every
[54:58.080 --> 55:03.440]  danger indicator they're all redlined they're all pegged they're all just screaming danger danger
[55:03.440 --> 55:06.880]  the russians put out a new statement warning them nuclear war saying they don't want it
[55:06.880 --> 55:10.560]  saying the west is moving nuclear weapons up to their border which is happening there's now a
[55:10.560 --> 55:16.000]  nato multinational force that's publicly in there fighting the russians the us now admits that
[55:16.000 --> 55:22.000]  not the us people that run our country do and it's just totally insane exactly uh everybody
[55:22.000 --> 55:27.520]  listening to right now go get yourself wood burning stove load up on wood do whatever you
[55:27.520 --> 55:33.760]  can to prepare right now we have days left well i know this there's a good chance that there'll be
[55:33.760 --> 55:38.160]  some people in the grassroots and the power structure that are saying we put the brakes on
[55:38.160 --> 55:44.560]  this but i would give it a 50-50 chance the war explodes uh the depression intensifies and we
[55:44.560 --> 55:50.640]  have power outages fake cyber attacks uh and that uh we go into a new dark age i mean it's here
[55:50.640 --> 55:54.720]  this is the new older takeover yes sir we all better be praying and right with jesus thank you
[55:54.720 --> 56:01.600]  uh let's go to jordan in new jersey you're on the air hi alex uh thank you for taking my call
[56:01.600 --> 56:08.800]  uh jordan here from corona eyes dot com um i just want to comment briefly uh quickly about uh the
[56:08.800 --> 56:14.320]  new talking point on biden this is really a total desperation and these are bureaucrats mostly who
[56:14.320 --> 56:18.400]  just read off teleprompters and i completely agree with you so the people behind them are making
[56:18.400 --> 56:24.240]  their move and we better be on our on our best uh to try to i mean they're saying we are a dictator
[56:24.240 --> 56:28.080]  we're authoritarians we're going to set up a dictatorship we're going to spy on you we're
[56:28.080 --> 56:33.760]  going to censor you that's everything they're doing precisely right um and in the background
[56:33.760 --> 56:38.800]  all these other plans are going forward um and this gain of function research uh which is still
[56:38.800 --> 56:44.960]  going on is a criminal act that is in front of our very eyes uh you're you're hold on hold on i
[56:44.960 --> 56:47.440]  i don't want to give you just a minute everybody gets about two minutes stay there come back to
[56:47.440 --> 56:52.400]  you jordan the gain of functions beyond criminal they are producing bio weapons that kill 80% of
[56:52.400 --> 56:56.560]  humans and telling us where they're stored if you're going to make those things sure it's
[56:56.560 --> 57:02.880]  hell don't tell people where they're at and you shouldn't be making them coming up i don't want
[57:02.880 --> 57:07.520]  to air this but we have responsibility to so if you want to tune out in the last 10 minutes of
[57:07.520 --> 57:13.280]  this hour and tune back in you'll you'll you'll miss it which you might want to miss but why would
[57:13.280 --> 57:17.120]  they put something out like this when they're pro-abortion because they want to cauterize and
[57:17.120 --> 57:24.480]  make your heart black they want to celebrate evil npr has released shocking documentary audio of a
[57:24.480 --> 57:31.920]  woman having a baby vacuum cleaner out of her womb the crying the moaning the doctor telling her it's
[57:31.920 --> 57:37.680]  done that is coming up in the last segment of this hour we need to hear of this dehumanization
[57:38.320 --> 57:43.760]  jordan in new jersey uh you were talking about gain of function for me other than world war three
[57:43.760 --> 57:49.680]  and economic collapse it all goes together the fact that they admit okay we did do gain of function
[57:49.680 --> 57:56.240]  with super cuba that kills 80 percent of humans in london and in boston massachusetts and but we
[57:56.240 --> 58:02.800]  testified to congress we didn't do that and they're not arrested and then literally i know so many
[58:02.800 --> 58:08.880]  people just here in austin i don't know personally my medical doctor i didn't even know and i only
[58:08.880 --> 58:13.360]  see him like once a year for a checkup you know for blood tests and stuff surprisingly i'm super
[58:13.360 --> 58:20.640]  healthy as far as the stress got swat team just because they were at the capital not in the capital
[58:20.640 --> 58:24.560]  they got swat team they were never charged they were just there so they got swat team her and her
[58:24.560 --> 58:32.080]  husband my daughter's a lady so so that's how this is i mean this is real authoritarianism and
[58:32.080 --> 58:39.840]  i haven't gotten to this yet i'll hit it some next segment but but david icke has been listed as a
[58:39.840 --> 58:44.880]  quote class three terrorist now he put the press release out yesterday he's on the show to his
[58:44.880 --> 58:49.280]  dean and david doesn't make up stuff that's happened to him uh you can question some of his
[58:49.280 --> 58:55.600]  views but he's a very truthful moral person so i believed him but then i went and had it transcribed
[58:55.600 --> 59:02.480]  by google you know language interpreter translator and it's exactly what he said
[59:02.480 --> 59:11.680]  and i've got a transcript of it from the european union and it says you think governments are
[59:11.680 --> 59:16.400]  tyrannical and taking our rights so you're not allowed to come to europe you're banned by the
[59:16.400 --> 59:23.520]  e u outside of any law for two years and you're a terrorist mr ike what do you want to bet i try
[59:23.520 --> 59:27.920]  to go to europe and i go there to give a speech i'll be banned as well and then you'll be banned
[59:27.920 --> 59:33.040]  to your city and then bound to your neighborhood and bound to your house unless you come and apologize
[59:33.040 --> 59:40.320]  and pay a fine to the adl like kairi erving just did i mean that's where we are oh but oh the democrats
[59:40.320 --> 59:45.840]  talking point is the republicans are gonna put us in jail and kill our children and take over and
[59:45.840 --> 59:51.280]  they're gonna censor us and they're gonna spy on us everything they're doing total inversion so
[59:51.280 --> 59:56.640]  finish up your point jordan thank you alec um i just want to say the scan of function things is
[59:56.640 --> 01:00:01.200]  a huge issue i think some things distract too much from it the un just said they're not going to go
[01:00:01.200 --> 01:00:06.880]  and investigate those bio labs in ukraine okay course and that this this information in boston
[01:00:07.680 --> 01:00:13.360]  and the the the words and statements that are publicly available of ralph barrick and others
[01:00:13.360 --> 01:00:19.040]  who are involved directly with this um are all out there for everybody to see this is um by
[01:00:19.040 --> 01:00:25.040]  francis boil's definition of synthetic biology as a bio terrorist weapon this is what they're engaged in
[01:00:25.040 --> 01:00:31.040]  okay and they're they are a violation of u.s. code provisions that were amended as a violation of
[01:00:31.040 --> 01:00:36.800]  federal and state law making a bio weapon like this is life in prison contemplating releasing
[01:00:36.800 --> 01:00:42.320]  it's a death penalty in the u.s. code i've put videos out i can't get them on my site because
[01:00:42.320 --> 01:00:47.840]  they banned me they say overnight they they ban they deleted my youtube channel okay deleted it
[01:00:47.840 --> 01:00:52.560]  why i was asleep before i even published a video okay that's why we're the censorship is right now
[01:00:52.560 --> 01:00:58.400]  so i'm on bit you bit you excuse me rumble and i'm also on brady on okay look up corona the corona
[01:00:58.400 --> 01:01:05.040]  eyes c o r o n a i d e d on my videos on ralph barrick and again a function of three-part series
[01:01:05.040 --> 01:01:09.280]  alex thank you so much and god be with you sure but you said that really excitedly and i couldn't
[01:01:09.280 --> 01:01:17.120]  follow it just just spell out the name of your handle yeah it's um you know you've been corona eyes
[01:01:17.120 --> 01:01:24.960]  d o r o n a i d e d look it up on bit shoot ronnie got it got it thank you we will thank you all
[01:01:24.960 --> 01:01:31.520]  right let's go to gragan florida grager on here welcome alex how are you buddy good all right uh
[01:01:31.520 --> 01:01:38.320]  two things uh one uh get off the subject a little bit talk not so much the economy but what's
[01:01:38.320 --> 01:01:44.640]  going to happen here in the future uh when black rocket twillow several months ago we're buying up
[01:01:44.640 --> 01:01:50.240]  all the real estate uh giving out loans to everybody now a lot of people are going into
[01:01:50.240 --> 01:01:56.960]  foreclosure rates keep going up higher and higher every two weeks um the difference is between this
[01:01:56.960 --> 01:02:03.680]  in 2008 is the government's not going to bail it's not going to bail everything out uh they'd
[01:02:03.680 --> 01:02:08.720]  rather send their money and let it come back to the uh easy that's right no no we're seeing
[01:02:08.720 --> 01:02:13.120]  organized collapse by design that they're going to blame on the covid lockdown but they orchestrated
[01:02:13.120 --> 01:02:17.760]  the whole thing and here's the other thing now it's the other thing that's going it's just like
[01:02:17.760 --> 01:02:25.360]  it was back then except it's even on steroids there's between 16 and 17 thousand car repos per
[01:02:25.360 --> 01:02:31.440]  day now in this country and what 37 percent of americans are overdrawn on their bank or credit
[01:02:31.440 --> 01:02:36.800]  cards and don't have money to pay their bills you know it's insane it's insane so it's gonna
[01:02:36.800 --> 01:02:42.320]  call it's gonna really we're not even in a recession yet oh not yet and we're just in a
[01:02:42.320 --> 01:02:47.920]  depression unless you're a globalist hey the economy's great right those that's what they say
[01:02:49.200 --> 01:02:55.120]  but uh hey the other thing i want to mention to you uh as we talked before my science my
[01:02:55.120 --> 01:03:00.560]  scientist from my laser company was alex hill uh alan hill uh the number two and number three
[01:03:00.560 --> 01:03:06.560]  scientists in that realm were from were from russia and they're they were friends and i have some
[01:03:06.560 --> 01:03:11.440]  correspondence from you know i have a lot of paperwork in the past now i'm not seeing anything
[01:03:11.440 --> 01:03:19.040]  but i one thing i will uh i want to state to you this uh you know putin's showing showing he's the
[01:03:19.040 --> 01:03:24.720]  biggest swinger over there now with his artillery and his his nukes putting them on borders etc etc
[01:03:25.440 --> 01:03:32.400]  but we don't know putin keeps everything under cover we don't know everything he has i think i
[01:03:32.400 --> 01:03:37.760]  think this guy is well there's no doubt that he uses low level forces first and i appreciate your
[01:03:37.760 --> 01:03:41.920]  call all right let's jam in more calls let's talk to marvin in alabama marvin go ahead
[01:03:43.440 --> 01:03:47.840]  hey i just wanted to discuss the uh inverted reality aspect of things uh
[01:03:48.880 --> 01:03:55.360]  brought up a good point this morning talking about yay uh are you and how uh his trainer
[01:03:55.360 --> 01:04:01.600]  threatens him and so it's the same thing that you're talking about now and you can show it's just
[01:04:01.600 --> 01:04:08.880]  uh kind of nationwide they're saying do as we tell you or else and of course you know they characterize
[01:04:08.880 --> 01:04:14.720]  that same thing with the shot as your choice that you're in informed consent we're informing you you
[01:04:14.720 --> 01:04:21.120]  better do what we tell you or else and the bad thing the bad truth is that all of this stuff that
[01:04:21.120 --> 01:04:27.520]  we uh that we're allowing to happen in essence we are consenting to and until people really
[01:04:27.520 --> 01:04:33.920]  uh grasp that then we're gonna keep uh running into trouble really all we have to do is like
[01:04:33.920 --> 01:04:39.840]  at the end of the the matrix when neo realized he didn't need all the kung fu and everything
[01:04:39.840 --> 01:04:46.000]  that he learned all he really needed at the end of the day was say no and once he had that power
[01:04:46.000 --> 01:04:51.920]  once he said no that was the end of it you know he picked us from then on well i'll say this uh
[01:04:51.920 --> 01:04:58.000]  i'm sorry go ahead yeah i want to say if you uh happen to be listening to your show we're with
[01:04:58.000 --> 01:05:03.680]  you brother and christ and stand strong don't give in i'm so sad this entire year and some of these
[01:05:03.680 --> 01:05:09.280]  people giving in don't do it brother we're with you we'll pray with you we'll pray for you and we
[01:05:09.280 --> 01:05:14.000]  got your back i don't care if you lose every time you can come stay at my house i love you brother
[01:05:14.560 --> 01:05:20.480]  and you're talking to yay right now right that's right and you too alex i just didn't hear you
[01:05:20.480 --> 01:05:25.760]  said i figured it was okay thank you so much uh we'll be right back with robert and thailand
[01:05:25.760 --> 01:05:30.560]  and others stay with us in full wars dot com band dot video those the court of celebrity
[01:05:30.560 --> 01:05:39.360]  please share them because it's it's up to you there are of course those who do not want us to
[01:05:39.360 --> 01:05:44.720]  speak we think just let me think even now orders are being shouted into telephones and men with
[01:05:44.720 --> 01:05:51.520]  guns will soon be on their way it's chances at them why because while the junction may be used
[01:05:51.520 --> 01:05:58.560]  lieu of conversation words will always retain their power words offer the means to meaning and for
[01:05:58.560 --> 01:06:06.160]  those who will listen the enunciation of truth there is something terribly wrong with this
[01:06:06.160 --> 01:06:10.240]  country isn't that you designed it sir you wanted it foolproof you told me every television in
[01:06:10.240 --> 01:06:15.600]  local cruelty and injustice intolerance and oppression and where once you had the freedom
[01:06:15.600 --> 01:06:21.360]  to object to the thing can speak as you saw fit you now have sensors and systems of surveillance
[01:06:21.360 --> 01:06:26.160]  coercing your conformity and setting your submachine cameras how did this happen
[01:06:26.800 --> 01:06:32.640]  who's to blame well certainly there are those who are more responsible than others they will be held
[01:06:32.640 --> 01:06:40.400]  accountable but again truth be told if you're looking for the guilty you need only look into a mirror i
[01:06:40.400 --> 01:06:48.800]  know why you did it i know you were afraid who wouldn't be war terror disease there were a myriad
[01:06:48.800 --> 01:06:55.120]  problems which conspired to corrupt your reason and rob you of your common sense fear got the best
[01:06:55.120 --> 01:07:01.760]  of you and in your panic you turn to the now high chancellor adam subtler he promised you order he
[01:07:01.760 --> 01:07:06.720]  promised you peace and all he demanded in return was your silent obedient consent
[01:07:13.440 --> 01:07:20.880]  there is a war it's happening now it will decide the fate of humanity the time to choose sides has
[01:07:20.880 --> 01:07:36.800]  come we are the resistance we are the info war
[01:07:36.800 --> 01:07:52.560]  all right we're taking your phone calls right through the rest of the next hour a ton of news
[01:07:52.560 --> 01:07:57.760]  are going to be hitting as well was john paul jones the founder of the u.s. navy that famously said
[01:07:57.760 --> 01:08:03.280]  that when he's being commissioned into the navy the first navy of the u.s. he said i wish to have
[01:08:03.280 --> 01:08:10.400]  no connection with any ship that is not sail fast or i intend to go in harm's way
