[00:00.000 --> 00:29.000]  Defending the Republic from enemies, foreign and domestic, it's Alex Jones.
[29:41.000 --> 29:48.000]  The missing 28 pages will allegedly show Saudi complicity in the 9-11 attacks, but it will not show the role played by the CIA.
[29:48.000 --> 29:54.000]  The same can be said for the role played by the CIA and the Pentagon in the creation of terrorist groups.
[29:54.000 --> 30:19.000]  Read more right now at Infowars.com.
[30:25.000 --> 30:28.000]  Got four and a half stars. People really love it.
[30:28.000 --> 30:38.000]  Read about it. Find out why third-party nutraceutical sites give it such high praise because it really does have the best organic-based systems that will blow your socks off.
[30:38.000 --> 30:42.000]  I haven't pulled an all-nighter like that in a while, but I probably could not have done it without Brain Force.
[30:42.000 --> 30:48.000]  I went home about 6.45 this morning, took three hours of sleep, got up, took two more Brain Force and came in.
[30:48.000 --> 30:58.000]  You will find Brain Force and other game-changing products at InfowarsLife.com or call 888-253-3139.
[31:18.000 --> 31:20.000]  Join your friends and family along the way.
[31:20.000 --> 31:28.000]  Visit InfowarsTeam.com today. Become a member. It discounts on the amazing products and free shipping when you sign up for auto-ship.
[31:28.000 --> 31:34.000]  And you're able to promote the products to friends and family and neighbors in your community and make money while helping people at the same time.
[31:34.000 --> 31:36.000]  Another win-win.
[31:36.000 --> 31:40.000]  That's why I'm a member of the young Jebedee team at InfowarsTeam.com and you can be too.
[31:40.000 --> 31:46.000]  It's simple. Just go to InfowarsTeam.com today. Complete a short sign-up and you're part of the team.
[31:46.000 --> 31:49.000]  That's InfowarsTeam.com or InfowarsHealth.com.
[31:49.000 --> 31:56.000]  So many people call into my radio show and tell me how young Jebedee and the products at InfowarsTeam.com have changed their lives.
[31:56.000 --> 32:20.000]  Get out for yourself today.
[32:20.000 --> 32:27.000]  We're introducing the best yet the brand new Pro Pure Pro Max high-performance shower filter.
[32:27.000 --> 32:32.000]  It removes and reduces over 200 contaminants while preserving a strong powerful flow.
[32:32.000 --> 32:39.000]  This new four-stage filtration process helps protect the largest organ in your body, your skin, from the unhealthy contaminants in the water.
[32:39.000 --> 32:43.000]  You can find more details on this amazing new filter and free shipping.
[32:43.000 --> 33:02.000]  At InfowarsStore.com or call 888-253-3139 to order your Pro Max shower filter from Pro Pure today.
[33:02.000 --> 33:10.000]  You're listening to the Alex Jones show.
[33:10.000 --> 33:16.000]  It was more than 100 years ago now.
[33:16.000 --> 33:25.000]  We now take you live to the Central Texas Command Center in the heart of the resistance.
[33:25.000 --> 33:31.000]  Rallying Patriots worldwide.
[33:31.000 --> 33:39.000]  You're listening to the Alex Jones show.
[33:39.000 --> 33:43.000]  Some people try to spin this broadcast and say it's gloom and doom, it's negative.
[33:43.000 --> 33:51.000]  No, it's very positive to talk about the engine of free market and human freedom and what we can do together.
[33:51.000 --> 34:01.000]  It's also very positive to expose what's rotten, what's bad, what's threatening our freedoms, the price of liberty's eternal vigilance.
[34:01.000 --> 34:12.000]  And the system wants us all chasing our tails, fighting with each other, men fighting with women, people fighting over what skin color they are, people obsessing over political correctness.
[34:12.000 --> 34:27.000]  While the robber barons run around establishing a private above the law corporate world government with diplomatic immunity, strip mining free humanity.
[34:27.000 --> 34:32.000]  That's what's happening. Strip mining free humanity.
[34:32.000 --> 34:38.000]  And what's crazy is this isn't my opinion. I've made films like Endgame. I've written books like The Sentin to Terranee.
[34:38.000 --> 34:42.000]  Well, the book and the film are free online.
[34:42.000 --> 34:46.000]  I have the quotes from the big think tank shots of the books.
[34:46.000 --> 34:50.000]  Written by world leaders where they admit all this.
[34:50.000 --> 34:59.000]  That's the thing. Modern liberalism is meant to break up the family, make people totally dependent on the state and pour and dumb down.
[34:59.000 --> 35:07.000]  I remember reading a National Banking Association newsletter that went out in 1898.
[35:07.000 --> 35:12.000]  I remember covering it years ago. It's in several famous books, shots of it.
[35:12.000 --> 35:21.000]  It's only five or six pages long and it talks about Americans are responsible for most of the inventions. We have the highest literacy rate in the world now.
[35:21.000 --> 35:29.000]  Americans make politics a sport. They're obsessed with it. They are defeating our railroads or defeating our land takeovers.
[35:29.000 --> 35:32.000]  The robber barons are getting their butt kicked.
[35:32.000 --> 35:35.000]  And they said we're going to come out with national education.
[35:35.000 --> 35:45.000]  We're going to make it be something that is seen as a royalty, as a letter of mark, as a status symbol.
[35:45.000 --> 35:51.000]  We're going to have all these different, the theater and the fictional press.
[35:51.000 --> 35:56.000]  We're going to finance using British technologies. They write about it.
[35:56.000 --> 36:01.000]  Systems already used in England to basically make it cool to be a slave.
[36:01.000 --> 36:06.000]  You try to read a newspaper from 115 years ago, I can hardly read it.
[36:06.000 --> 36:18.000]  How to read a newspaper from 200 years ago, it's amazing how big the vocabulary is, how complex it is, how there might be five, six newspapers per city battling it out over different perspectives.
[36:18.000 --> 36:22.000]  And things weren't perfect, but it was true Wild Wild West.
[36:22.000 --> 36:36.000]  Now it's just this drone system with a bunch of dependent people who want to have their bones earned, who want to go out and be warriors.
[36:36.000 --> 36:39.000]  We're told men aren't warriors now.
[36:39.000 --> 36:45.000]  No, no, no, you become a warrior watching Beyonce at the Super Bowl can't get more establishment than that.
[36:45.000 --> 36:58.000]  That's what they want you to see all pre approved. And on MTV with Beyonce running around, burning things down, blowing things up and attacking because she hates men and police.
[36:58.000 --> 37:07.000]  And then you watch almost every other show.
[37:07.000 --> 37:17.000]  Award show, music show, movie show, it's nothing but cultural war. This is an admitted weapon to screw everybody up.
[37:17.000 --> 37:24.000]  And then meanwhile, they want DNA testing for anyone to go to Kuwait just to just to fly in.
[37:24.000 --> 37:28.000]  They take your blood, put it in the database, face, can your thumb print.
[37:28.000 --> 37:37.000]  Mexico gives you one year to six months hard labor and tortures you if you're caught illegally in the country. That's the London Guardian.
[37:37.000 --> 37:44.000]  We have some of the most lenient laws in this country when it comes to letting people live the way they want to live.
[37:44.000 --> 37:49.000]  And I'm an extremely libertarian person, but some of them go too far.
[37:49.000 --> 37:52.000]  Because now these groups are targeting kids and trying to get into the schools.
[37:52.000 --> 37:57.000]  I don't care if it's heterosexual, homosexual, what it is.
[37:57.000 --> 38:04.000]  But almost every Arab country and Muslim country executes you if you are a homosexual.
[38:04.000 --> 38:10.000]  But see, quote gay people in this country are so programmed on average that they don't care if people are chopping their heads off.
[38:10.000 --> 38:14.000]  They don't care if the British government or US government doesn't do a travel advisory to those countries.
[38:14.000 --> 38:21.000]  They want to talk about Louisiana or North Carolina because it says Christians can refuse service of somebody they don't want to bake a cake.
[38:21.000 --> 38:26.000]  Give me a break. It's all just a stunt to turn people against each other.
[38:26.000 --> 38:30.000]  Let me tell you the big secret of all the transgender stuff they're pushing in schools.
[38:30.000 --> 38:37.000]  When they make transgender's bathrooms and they make everything from the third grade on about brainwashing kids about what gender they want to be,
[38:37.000 --> 38:41.000]  it's like the rollout of the automobile or the rollout of swimming pools.
[38:41.000 --> 38:44.000]  A hundred years ago there weren't any swimming pools in people's houses.
[38:44.000 --> 38:46.000]  A hundred years ago there were hardly any cars.
[38:46.000 --> 38:48.000]  And I'm not saying swimming pools and cars are bad. It's an innovation.
[38:48.000 --> 38:52.000]  But you roll them out. They get popularized. People start thinking about it.
[38:52.000 --> 38:56.000]  People start getting a cement pond like the Beverly Hillbillies talk about.
[38:56.000 --> 39:01.000]  But we don't get cement ponds anymore. We don't get innovation.
[39:01.000 --> 39:06.000]  We don't have elites anymore that want us to get paid enough at work to buy one of their cars.
[39:06.000 --> 39:12.000]  We have a post-industrial world, a post-population world where they don't want families or populations.
[39:12.000 --> 39:17.000]  They want negative growth. This is the admitted cosmology of Agenda 21.
[39:17.000 --> 39:23.000]  This is the eugenics system worldwide by UNESCO on record under international prety.
[39:23.000 --> 39:25.000]  What I'm telling you is fact.
[39:25.000 --> 39:33.000]  It is meant to force the culture to obsess on not knowing your sex, not knowing who you are.
[39:33.000 --> 39:44.000]  As chemicals are added in utero to fetuses that change the biological development of the brain and in many cases the sexual organs.
[39:44.000 --> 39:47.000]  And you can look up Pentagon planned gay bomb.
[39:47.000 --> 39:52.000]  You can look up Aldous Huxley, Julian Huxley, the plan to make homophrodis.
[39:52.000 --> 39:58.000]  First they're going to push the homosexual revolution, then the trans revolution, then the asexual revolution.
[39:58.000 --> 40:02.000]  It's going to get so confusing that they just say everybody is nothing.
[40:02.000 --> 40:05.000]  And that's what they now admit. Let's just be nothing.
[40:05.000 --> 40:09.000]  We'll all use one bathroom, one shower because you're not allowed your identity.
[40:09.000 --> 40:13.000]  You can't use the word mother or father, he or she because it hurts someone.
[40:13.000 --> 40:19.000]  That is so profound to say you can't be a male or you can't be a female.
[40:19.000 --> 40:24.000]  And that's liberalism.
[40:24.000 --> 40:32.000]  That's liberalism to say you can't be a man, you can't be a female, you can't say he or she.
[40:32.000 --> 40:36.000]  And I remember I covered this five years ago when only some colleges and high schools were doing it.
[40:36.000 --> 40:39.000]  People said that'll never happen here when it was happening in Europe.
[40:39.000 --> 40:44.000]  Now almost every high school in the U.S. and now it's going down to elementary school.
[40:44.000 --> 40:49.000]  Just like it started 20 years ago with one school banning dodgeball, then they all banned dodgeball.
[40:49.000 --> 40:54.000]  It's all UNESCO, UN treaty, the UN comes up with it, then we implement it.
[40:54.000 --> 41:01.000]  Isn't that the UN runs us, it's that the globalist, the robber barons, the Rockefellers created the UN on record,
[41:01.000 --> 41:07.000]  created it to set the shop, then they transfer our power to it and then it dictates back to us.
[41:07.000 --> 41:10.000]  Like TPP, like NAU.
[41:10.000 --> 41:20.000]  They now admit today that they are merging the European Union with the Atlantic agreement with the North American Union.
[41:20.000 --> 41:27.000]  Obama has been in England and says don't leave the EU or your trade deals with the U.S. are over and threatened the U.K.
[41:27.000 --> 41:31.000]  And said we already have a trade deal, you can't leave, you already have one with us.
[41:31.000 --> 41:39.000]  Asian Union, European Union, American Union, all three unions, this is official.
[41:39.000 --> 41:44.000]  This is global governance, UN, this has been, this was in the newspapers in the 50s this plan.
[41:44.000 --> 41:48.000]  It's here, three mega unions under treaties tied to each other.
[41:48.000 --> 41:53.000]  And the three unions all have three jurisdictions.
[41:53.000 --> 42:04.000]  Three unions with the sub-unions, that is nine unions with a governmental final tenth union.
[42:04.000 --> 42:06.000]  You're like wow, I heard about that in Revelation.
[42:06.000 --> 42:09.000]  Yeah, either it's true and it's happening or they took it as a model.
[42:09.000 --> 42:18.000]  Three super regions with ten regions, nine of them physical regions, one of them a political super region.
[42:18.000 --> 42:27.000]  The tenth horn, the little horn, wow, heavy man, heavy, heavy, heavy, all happening.
[42:27.000 --> 42:35.000]  The Pope announcing global government, huge newspapers announcing we're all going to get chips to get prescriptions now, you'll have to have a chip.
[42:35.000 --> 42:46.000]  My dad's a physician, he went for continued medical training and was there with his mouth hanging open when he said within a few years you'll have to have a chip to get your prescription.
[42:46.000 --> 42:52.000]  It's coming, it's here. The churches won't warn you, they've been bought and paid for under the World Council of Churches.
[42:52.000 --> 43:18.000]  Look up who set that up, the Rockefellers again, the robber barons 100 years ago.
[43:22.000 --> 43:51.000]  It's coming, it's coming.
[43:51.000 --> 43:59.000]  Hey, how are you doing out there? Good brother.
[43:59.000 --> 44:07.000]  Just recently started using your products, everything you said about them is correct. Me and my wife both use a lot of them and it's made a lot of changes in our lives here.
[44:07.000 --> 44:12.000]  Well, thank you brother, it's because it also funds our operation but doing that I know I've got to have the highest quality.
[44:12.000 --> 44:20.000]  Supermal vitality was developed to activate your body's own natural processes instead of using synthetic chemicals.
[44:20.000 --> 44:29.000]  We do the supermal and the superfemale vitality, big changes, a lot of energy, we've gotten off the cheap energy drinks, energy shots, statement ton of money there.
[44:29.000 --> 44:37.000]  Sourced from powerful organic herbs, harvested around the planet and then concentrated or maximum potency.
[44:37.000 --> 44:49.000]  They want to stun and dumb down and energy drinks and stuff just cover that up for a while but then burn you out in my experience whereas stuff that gets your glands naturally going goes right to the source so it's pretty exciting and I love it.
[44:49.000 --> 44:58.000]  Visit InfoWarsLife.com today to secure your supermal vitality and other powerful products from InfoWarsLife.
[44:58.000 --> 45:08.000]  Yeah, first of all I want to say, Secret 12, that's two supermal, BrainForce, Prostigar, SilverBullet, I use them all, they're phenomenal, they work, buy them folks.
[45:08.000 --> 45:09.000]  Thank you brother.
[45:09.000 --> 45:11.000]  Thank you guys for putting those out there.
[45:11.000 --> 45:17.000]  I am a relatively short time listener and I'm quite a supporter of your fine, fine products.
[45:17.000 --> 45:19.000]  Welcome to the InfoWars.
[45:19.000 --> 45:25.000]  It's so easy to get these incredible nutraceuticals that support your health and the InfoWars at the same time.
[45:25.000 --> 45:29.000]  I'm a nine-year listener, I buy all the nutraceuticals, CasioFX, Mason, I.I.
[45:29.000 --> 45:31.000]  Why, God, let me ask you a question, have they worked for you?
[45:31.000 --> 45:34.000]  They're the most unbelievable products I've ever had in my life.
[45:34.000 --> 45:35.000]  What products are you taking?
[45:35.000 --> 45:46.000]  Everything from SuperMail to BrainForce to Wintersun, X2, even got a little DNA force so when I just re-upped everything and I just went to AutoLive.
[45:46.000 --> 45:52.000]  Visit infowarslife.com to read the information and research and to see the reviews for yourself.
[45:52.000 --> 46:18.000]  That's infowarslife.com or call 888-253-3139.
[46:18.000 --> 46:23.000]  Please sign up for AutoShip because we hold back a surplus for AutoShip customers.
[46:23.000 --> 46:28.000]  Number three, we're giving you free shipping on all orders above $50.
[46:28.000 --> 46:34.000]  Listeners have been requesting this for years because it's so easy to forget to reorder the products that you need each month.
[46:34.000 --> 46:42.000]  Just go to infowarsstore.com, select your favorite product or products, click on AutoShip and choose how often you want us to send you another order.
[46:42.000 --> 46:48.000]  Also, I coined the term 360 Win and with the new AutoShip feature at infowarslife.com, this is a sure win.
[46:48.000 --> 46:50.000]  10% off on AutoShip.
[46:50.000 --> 46:54.000]  Win, win, win at infowarslife.com, free shipping on orders above $50.
[46:54.000 --> 46:58.000]  And all out of stock items are never out of stock when you sign up for AutoShip.
[46:58.000 --> 47:08.000]  You're listening to the Alex Jones show.
[47:28.000 --> 47:36.000]  Austin, Texas, broadcasting worldwide. It's Alex Jones.
[47:36.000 --> 47:41.000]  Divide and conquer, take it to the next level. That's what the new order is up to.
[47:41.000 --> 47:47.000]  And while the big mega banks are above the law and exempt themselves from everything they put on our backs, they teach us how to not discriminate.
[47:47.000 --> 47:52.000]  Don't use the word mother or father. Boy or girl, he or she.
[47:52.000 --> 47:58.000]  They've already gotten to that point. What do you think is coming next?
[47:58.000 --> 48:02.000]  It's like MSNBC says, we gotta get past the point of believing in parents.
[48:02.000 --> 48:05.000]  The state raises the children now.
[48:05.000 --> 48:17.000]  But meanwhile, the left won't criticize radical Islam that's taking over Islam and the 5 million plus immigrants, illegals.
[48:17.000 --> 48:21.000]  I'm supposed to use the word illegal, brought into Europe.
[48:21.000 --> 48:27.000]  I guess the last few years it hadn't been illegal because Merkel and Hollande advertised for them to come in.
[48:27.000 --> 48:33.000]  And then when they came in, did their TB and their hepatitis, no one's tested.
[48:33.000 --> 48:40.000]  While they're given jobs or old Germans or French are thrown out of their places and they're given government housing.
[48:40.000 --> 48:42.000]  That's all in the news.
[48:42.000 --> 48:49.000]  And the illegals in this country are allowed to come here and are legalized or not even tested for disease.
[48:49.000 --> 48:53.000]  Oh, but you've got to take all your vaccines to make sure everybody's safe.
[48:53.000 --> 48:58.000]  Even though those vaccines don't protect you from what the illegals are bringing in.
[48:58.000 --> 49:14.000]  It's all about you putting in your body what the government says when it says never mind our government's been caught in thousands of declassified, lethal studies, nerve-gassing, microwaving, radiating little children.
[49:14.000 --> 49:21.000]  If you didn't know about those, you might just look up Atomic Energy Agency secret testing declassified stuff like that.
[49:21.000 --> 49:25.000]  U.S. troops tested on lethal programs, Project Shad.
[49:25.000 --> 49:32.000]  Or most of you know about Tuskegee, 45 years of blacks being secretly injected with syphilis.
[49:32.000 --> 49:35.000]  So they'd go spread it in their communities.
[49:35.000 --> 49:40.000]  But what's wrong with a brain-eating microscopic worm?
[49:40.000 --> 49:43.000]  It's Lyme's disease of the brain.
[49:43.000 --> 49:45.000]  What's wrong with that?
[49:45.000 --> 49:47.000]  Let's trust this government.
[49:47.000 --> 49:50.000]  I'm sure they're a lot nicer now.
[49:50.000 --> 49:54.000]  One in 30,000 had autism 35 years ago, 30 years ago.
[49:54.000 --> 49:58.000]  Now it's one in 58, one in 57.
[49:58.000 --> 50:06.000]  CDC's own 15-year-old whistleblower document, the head of the CDC, with the research, they know what it's doing.
[50:06.000 --> 50:08.000]  They know.
[50:08.000 --> 50:11.000]  Roll up your sleeve and take your shot.
[50:11.000 --> 50:15.000]  They love you.
[50:15.000 --> 50:19.000]  How a now-retracted autism study went viral again.
[50:19.000 --> 50:22.000]  And then they've got more articles out trying to attack.
[50:22.000 --> 50:30.000]  Dr. Wakefield has been totally vindicated claiming, oh, there's no problems, even though the inserts of the vaccine say they can kill you.
[50:30.000 --> 50:32.000]  But let's go further now.
[50:32.000 --> 50:33.000]  Let's get into it.
[50:33.000 --> 50:47.000]  So memo, CDC officials warned of safety risks, diseases of an immigrant influx, things like drug-resistant TB, hepatitis A, B, and C, and all sorts of other third-world things like leprosy that's making a comeback here in the United States.
[50:47.000 --> 50:51.000]  In fact, they say it's like epic level now in Florida, but big deal.
[50:51.000 --> 50:54.000]  It's something that eats your face off, you know.
[50:54.000 --> 50:58.000]  Go out and get leprosy to be in solidarity.
[50:58.000 --> 51:03.000]  Report, children of refugees get more federal benefits than poor U.S. kids.
[51:03.000 --> 51:05.000]  Well, they've got to have some way to get them here.
[51:05.000 --> 51:07.000]  America loves kids, but Uncle Sam is a favorite.
[51:07.000 --> 51:10.000]  Children of refugees.
[51:10.000 --> 51:12.000]  Oh, yeah, Uncle Sam, really.
[51:12.000 --> 51:16.000]  Who is Uncle Sam, a foreign-run federal government?
[51:16.000 --> 51:23.000]  Among recipients of food stamps, welfare, cash, and social security payments, refugee children receive more taxpayer-funded aid than children of citizens.
[51:23.000 --> 51:30.000]  This is a report by the Federal Spending and Promigration Migrant Policy Institute.
[51:30.000 --> 51:32.000]  They're just fighting over getting more.
[51:32.000 --> 51:37.000]  You see, it's all an incentive to get people here.
[51:37.000 --> 51:41.000]  Of course, once you're already born here, they don't care about you or even try to help you out.
[51:41.000 --> 51:42.000]  Here's another one.
[51:42.000 --> 51:44.000]  I want to play the audio of this.
[51:44.000 --> 51:53.000]  This is a point in FullWars.com, Gateway Pundit article, Muslim Migrants in Germany chant Adolf Hitler, who in a lot of Arab countries has like an 80% approval rating.
[51:53.000 --> 51:55.000]  He's like a superstar over there.
[51:55.000 --> 51:57.000]  He didn't know Hitler in most Muslim countries.
[51:57.000 --> 51:58.000]  He's like one of the most popular people.
[51:58.000 --> 51:59.000]  Seriously, look it up.
[51:59.000 --> 52:04.000]  I'm like, well, but that's okay with the left because, you know, that's another Hitler.
[52:04.000 --> 52:13.000]  Muslim Migrants in Germany chant Adolf Hitler and Allah Akbar.
[52:13.000 --> 52:24.000]  Syrian flag.
[52:24.000 --> 52:28.000]  With images of AK-47s on their necks saying free Palestine.
[52:28.000 --> 52:30.000]  And I'm not against Palestine or the Palestinians or anybody.
[52:30.000 --> 52:36.000]  The point is, you don't bring in 5 million of the military age men, almost all of the military age men.
[52:36.000 --> 52:37.000]  Most of them were fighters.
[52:37.000 --> 52:40.000]  As some weird leftist time bomb op.
[52:40.000 --> 52:44.000]  I mean, look, Hillary Clinton on record is the commander of ISIS.
[52:44.000 --> 52:45.000]  It was Al Qaeda.
[52:45.000 --> 52:47.000]  That's all ISIS is that attacked in Benghazi.
[52:47.000 --> 52:48.000]  They shipped the weapons.
[52:48.000 --> 52:50.000]  I told you a week after it happened exactly what happened.
[52:50.000 --> 52:51.000]  It's now been all admitted.
[52:51.000 --> 52:52.000]  Again, we're right again, folks.
[52:52.000 --> 52:56.000]  We got the sources in because I'm crazy enough to go with the info.
[52:56.000 --> 52:57.000]  High level folks give me.
[52:57.000 --> 52:58.000]  Nobody else really will.
[52:58.000 --> 52:59.000]  More folks are nowadays.
[52:59.000 --> 53:00.000]  It's good to have some companies.
[53:00.000 --> 53:04.000]  It's not as dangerous because look, I'm not looking to be the number one guy doing all this.
[53:04.000 --> 53:07.000]  I just keep stepping up the plate.
[53:07.000 --> 53:10.000]  So.
[53:10.000 --> 53:13.000]  They advertise invade Syria for years.
[53:13.000 --> 53:14.000]  The West attacks.
[53:14.000 --> 53:15.000]  The Russians go to feed them.
[53:15.000 --> 53:17.000]  So Turkey says, okay, come through here to Europe.
[53:17.000 --> 53:22.000]  They come into Europe and they run around chanting out all Hitler, Allah Akbar, raping and killing.
[53:22.000 --> 53:28.000]  And then the Germans, the Swiss, the Dutch, the French, just a whole bunch of other countries.
[53:28.000 --> 53:33.000]  Sweden makes it against the law for them to put in the news that it was a Muslim that rapes for kills.
[53:33.000 --> 53:36.000]  That's in the news.
[53:36.000 --> 53:41.000]  The United States encourages Britain to remain in the European Union.
[53:41.000 --> 53:42.000]  That's right.
[53:42.000 --> 53:44.000]  She's joined the bandwagon.
[53:44.000 --> 53:48.000]  This is London Guardian with Obama saying, listen, don't have the bricks exit.
[53:48.000 --> 53:55.000]  Don't leave the EU even though they now make 90 plus percent of your laws and the EU bureaucracy is unelected.
[53:55.000 --> 53:56.000]  It's okay.
[53:56.000 --> 54:01.000]  You need to let them keep running things or we will pull out of our treaties with you.
[54:01.000 --> 54:05.000]  And Obama goes on to say because we're in a treaty with the EU that you're in.
[54:05.000 --> 54:13.000]  We've already merged in the Atlantic Treaty that his predecessor, Mr. Cameron's predecessor, signed on to.
[54:13.000 --> 54:15.000]  So there you go.
[54:15.000 --> 54:20.000]  Open world government, just like the Pope and the Communist Chinese tell us we can't have Donald Trump.
[54:20.000 --> 54:25.000]  Our president and would be new president, Hillary, are weighing in bullying.
[54:25.000 --> 54:27.000]  And there's an article.
[54:27.000 --> 54:29.000]  This is what is this out of Reuters.
[54:29.000 --> 54:32.000]  Obama tells British youth, don't pull back from the world.
[54:32.000 --> 54:41.000]  See, you're pulling back when you don't let unelected multinational corporations that loot through the EU make all your laws and appoint your leaders.
[54:41.000 --> 54:43.000]  Isn't that just special?
[54:43.000 --> 54:44.000]  Isn't that just cute?
[54:44.000 --> 54:58.000]  U.S. President Obama implored young British people on Saturday not to pull back from the world a day after sparking a row or fight by bluntly telling Britain it should remain in the European Union to preserve its remaining global clout.
[54:58.000 --> 55:05.000]  And the true liberal mayor of London, I mean, he's liberal folks, has come out and said we should get out of this.
[55:05.000 --> 55:06.000]  It's tyranny.
[55:06.000 --> 55:07.000]  We're losing our sovereignty.
[55:07.000 --> 55:11.000]  This is global colonialism by megabanks.
[55:11.000 --> 55:13.000]  He's starting to become a fan of this guy.
[55:13.000 --> 55:15.000]  What happens when the real left emerges?
[55:15.000 --> 55:23.000]  Who are for, you know, social stuff liberal and even taxes, you know, want high taxes on the rich, which I'm not endorsing, but still I could live with that.
[55:23.000 --> 55:27.000]  He just doesn't want to destroy the country and sign it over to multinationals.
[55:27.000 --> 55:28.000]  In fact, we have the clip.
[55:28.000 --> 55:29.000]  We probably should play it.
[55:29.000 --> 55:42.000]  Boris Johnson rages at ridiculous and weird Obama extraordinary statement to mock President over his threat to hold back trade deal in devastating intervention.
[55:42.000 --> 55:50.000]  Boris Johnson has launched an astonishing attack on Obama's ridiculous and weird arguments for Britain to stay in the EU in a outspoken assault last night.
[55:50.000 --> 55:52.000]  The London mayor mocked the U.S. President.
[55:52.000 --> 55:56.000]  In fact, we have that video.
[55:56.000 --> 55:57.000]  Okay.
[55:57.000 --> 55:59.000]  We have one of them defending the mocking.
[55:59.000 --> 56:02.000]  In an outspoken assault last night, the London mayor mocked the U.S. President.
[56:02.000 --> 56:07.000]  Controversial claim that the Anglo-U.S. trade deal would be hit by the Bricks exit.
[56:07.000 --> 56:12.000]  And he stepped up as war of words over Winston Churchill claiming that the wartime leader in the U.S.
[56:12.000 --> 56:15.000]  both stood for democracy and that the EU didn't.
[56:15.000 --> 56:16.000]  Yes.
[56:16.000 --> 56:20.000]  Lord Moncton and Nigel Farage, the heads of UKIP.
[56:20.000 --> 56:26.000]  We have them on 10 years ago, nobody knew what UKIP was, fastest growing party in Europe, fastest growing party in the UK.
[56:26.000 --> 56:29.000]  It's like libertarian Alex Jones party.
[56:29.000 --> 56:31.000]  And they are taking over.
[56:31.000 --> 56:38.000]  And so even the less now is saying, wait a minute, 90% of our laws plus are made by the EU and it's unelected.
[56:38.000 --> 56:42.000]  The EU parliament is elected but has no power.
[56:42.000 --> 56:46.000]  I mean, look, you start talking about this, it's game over.
[56:46.000 --> 56:54.000]  The appointed government, TPP, merges the NAU, the EU and the Asia-Pacific unions together.
[56:54.000 --> 56:56.000]  We're going to open the phones up, folks.
[56:56.000 --> 57:03.000]  Next hour we're taking your phone calls on all these issues, on the campaign, on what's unfolding, on the cultural assault on the family.
[57:03.000 --> 57:06.000]  All of it, 877-789 Alex.
[57:06.000 --> 57:10.000]  That's 877-789-2539, different number on Sundays.
[57:10.000 --> 57:15.000]  877-789-2539, it's first time callers in the first round.
[57:15.000 --> 57:18.000]  Let me add that, 877-789 Alex.
[57:18.000 --> 57:24.000]  Oh, don't forget infowarstore.com with the books, the videos, the new Make America Free Again hats.
[57:24.000 --> 57:25.000]  And so much more.
[57:25.000 --> 57:27.000]  Free shipping on orders of $50 or more.
[57:27.000 --> 57:33.000]  And 10% off when you sign up for auto ship, cancel any time, infowarstore.com is the big blanket sign.
[57:33.000 --> 57:38.000]  Or call toll-free to support the broadcast and get great products, 888-253-3139.
[57:38.000 --> 57:43.000]  Your funding of the Info War is absolutely essential and I want to thank all of you for support.
[57:43.000 --> 57:46.000]  Second hour straight ahead, tell folks to tune in.
[58:13.000 --> 58:17.000]  Call toll-free 888-253-3139.
[58:43.000 --> 58:47.000]  1-3-9 to order your ProMax shower filter from ProPure today.
[58:48.000 --> 58:51.000]  Brainforce, it's completely different. Try a bottle of it.
[58:51.000 --> 58:56.000]  RobDoo joins us. You worked, I guess, like 20 plus hours.
[58:56.000 --> 58:57.000]  Tell us what Brainforce did.
[58:57.000 --> 59:00.000]  I've been working all day. I took a couple hours off coaching basketball.
[59:00.000 --> 59:02.000]  I get in here at 8.30.
[59:02.000 --> 59:04.000]  I was kind of run down.
[59:04.000 --> 59:06.000]  You know, I just didn't feel like I was going to make it.
[59:06.000 --> 59:08.000]  And I really wanted to do a good job on the interview.
[59:08.000 --> 59:10.000]  I got my bottle of Brainforce right there. I popped two of them.
[59:10.000 --> 59:12.000]  And about 20 minutes later, it's like...
[59:12.000 --> 59:15.000]  Everything just kind of clears up.
[59:15.000 --> 59:17.000]  It's got four and a half stars. People really love it.
[59:17.000 --> 59:19.000]  Read about it. Find out why.
[59:19.000 --> 59:22.000]  Third-party nutraceutical sites give it such high praise
[59:22.000 --> 59:27.000]  because it really does have the best organic-based systems that will blow your socks off.
[59:27.000 --> 59:29.000]  I haven't pulled an all-nighter like that in a while,
[59:29.000 --> 59:31.000]  but I probably could not have done it without Brainforce.
[59:31.000 --> 59:34.000]  I went home about 6.45 this morning.
[59:34.000 --> 59:38.000]  Took three hours of sleep, got up, took two more Brainforce and came in.
[59:38.000 --> 59:41.000]  You will find Brainforce and other game-changing products
[59:41.000 --> 59:43.000]  at infowarslife.com
[59:43.000 --> 01:00:12.000]  or call 888-253-3139.
[01:00:14.000 --> 01:00:18.000]  I've said this hundreds of times. I think I should say it more.
[01:00:18.000 --> 01:00:23.000]  I think I should cut intro liners just to say it every hour.
[01:00:23.000 --> 01:00:29.000]  Once it is known that private megabanks are establishing an unelected corporate world government
[01:00:29.000 --> 01:00:31.000]  and that sovereignty has already been ended
[01:00:31.000 --> 01:00:34.000]  and that most nations are already under private corporate world government,
[01:00:34.000 --> 01:00:37.000]  it's game over.
[01:00:37.000 --> 01:00:42.000]  If we get the public educated before the smart grid
