[00:00:05.875 --> 00:00:10.418]  July 4th!
[00:40:32.383 --> 00:40:35.865]  Alright, first of all, Mr. Jones, I'd like to salute you and everything you do.
[00:40:35.865 --> 00:40:39.827]  You and the whole InfoWars operation is the new modern-day Paul Revere.
[00:40:39.827 --> 00:40:41.928]  You guys are the true Paul Reveres.
[00:40:41.928 --> 00:40:46.070]  But what I'm saying is, I'm Hispanic, and I'm against the illegal borders.
[00:41:03.044 --> 00:41:09.388]  I mean, the illegals are crossing the border because, like I said, we're trying to get people, citizens, off of welfare.
[00:41:09.388 --> 00:41:13.091]  And we can't get people off of welfare if we keep putting people on.
[00:41:13.091 --> 00:41:17.495]  You can't put a fire out if you keep adding gasoline to it.
[00:41:17.495 --> 00:41:19.656]  That's just not how it works.
[00:41:19.656 --> 00:41:25.120]  And, like I said, people think I'm reverse racist because I'm against, you know, these illegals.
[00:41:25.120 --> 00:41:29.524]  So there's a way, there's a proper way, a legal way to get into this country.
[00:41:30.160 --> 00:41:35.704]  I had family members who took them like 10, 15 years just to gain residency.
[00:41:35.704 --> 00:41:38.606]  And then another 5 years to get citizenship.
[00:41:38.606 --> 00:41:41.728]  And even they are like, what's going on here dude?
[00:41:41.728 --> 00:41:44.850]  We came here to work and these kids are just coming here for welfare.
[00:41:44.850 --> 00:41:47.192]  That's not fair to the older generation.
[00:41:48.860 --> 00:41:49.641]  No, it's not.
[00:41:49.641 --> 00:41:53.244]  And again, citizens are treated like total garbage.
[00:41:53.244 --> 00:42:00.649]  And then as long as you're illegal, and of the group Obama wants to put into a racial category and politically control, then you have a red carpet.
[00:42:00.649 --> 00:42:06.074]  So it's also discriminatory on every single front as the country goes bankrupt.
[00:42:06.074 --> 00:42:09.376]  But you know what you're saying, Dre, makes too much sense.
[00:42:09.376 --> 00:42:12.839]  You want to work and be successful and have a future.
[00:42:12.839 --> 00:42:15.822]  You don't want more than half the public on welfare
[00:42:16.880 --> 00:42:38.596]  Or assistance, but the people that want Cloward and Piven, the people that want political control, they do, because of automation of farms and industry, they don't even need that many people working anymore, they can just politically buy folks off with a welfare check, which keeps them in a form of abject slavery, but they never know that because it's what they are brought up in.
[00:42:38.596 --> 00:42:39.577]  And so they're trying to do
[00:42:40.723 --> 00:42:56.050]  With the incredibly smart, hard-working Hispanic folks coming into the country, they're trying to turn them into a welfare class like they did the incredibly smart, hard-working black community 60 years ago, who by every metric they've just wrecked.
[00:42:56.050 --> 00:42:57.770]  I mean, illegitimacy from 11% to 90-plus percent.
[00:42:59.831 --> 00:43:01.372]  Prison rates from very low.
[00:43:01.372 --> 00:43:04.393]  Blacks had a lower imprisonment rate than whites back in the 40s.
[00:43:04.393 --> 00:43:07.735]  It's higher than anybody has ever had, you know, in this country.
[00:43:07.735 --> 00:43:10.936]  Something like 80% of black males have a criminal felony type record.
[00:43:10.936 --> 00:43:14.598]  I mean, I mean, it is crazy town what they've done.
[00:43:14.598 --> 00:43:18.800]  The government wants to become the daddy, not the men.
[00:43:18.800 --> 00:43:20.301]  And they are taking over.
[00:43:20.301 --> 00:43:22.022]  We talked about that again with the professor
[00:43:23.102 --> 00:43:30.264]  Earlier today, this is again taping on Thursday to air on July 4th, Daryl Hamamoto, and he broke it all down.
[00:43:30.264 --> 00:43:31.564]  He's a political scientist.
[00:43:31.564 --> 00:43:33.504]  High level, trained by the Rockefellers.
[00:43:33.504 --> 00:43:35.745]  You know, Rockefeller award winning.
[00:43:35.745 --> 00:43:37.425]  Inside blowing the whistle.
[00:43:37.425 --> 00:43:39.205]  So it's simply bombshell.
[00:43:39.205 --> 00:43:41.706]  And they just say, if you're Hispanic, you're for gun control.
[00:43:41.706 --> 00:43:45.347]  If you're Hispanic, you know, you're for the Latinas running everything.
[00:43:45.347 --> 00:43:46.167]  Latino women!
[00:43:47.045 --> 00:43:52.527]  You've been told you're the annoyed ones and have all the answers by the big foundations to be the dominators.
[00:43:52.527 --> 00:43:54.527]  To destroy your future and your children.
[00:43:54.527 --> 00:43:55.388]  You're smart.
[00:43:55.388 --> 00:43:56.208]  You're not stupid.
[00:43:56.208 --> 00:43:57.748]  Quit buying into it.
[00:43:57.748 --> 00:44:00.889]  Quit buying into being the house slave.
[00:44:00.889 --> 00:44:03.650]  Anything else, Dre?
[00:44:03.650 --> 00:44:04.330]  Yes.
[00:44:04.330 --> 00:44:09.072]  We talk about all these impeachable stuff that Obama's doing.
[00:44:09.072 --> 00:44:12.473]  I believe that he's doing it on purpose so that when
[00:44:13.089 --> 00:44:15.952]  The Democrats, like myself, I voted for him the first time.
[00:44:15.952 --> 00:44:17.193]  The second time, I didn't.
[00:44:17.193 --> 00:44:24.900]  But you get all these Obama supporters, blacks, Hispanics, and everybody on welfare, pretty much.
[00:44:24.900 --> 00:44:29.984]  If he gets impeached, they're going to look at it as racist.
[00:44:29.984 --> 00:44:38.272]  That will cause a civil unrest, which I think will justify the drone attacks and the whole martial law in FEMA camps.
[00:44:38.272 --> 00:44:39.373]  That's just my theory.
[00:44:41.687 --> 00:44:58.460]  Definitely, you know, we kept saying there were many detonators for martial law on the next level, and we had said it could be imploding the borders, because that was in Rex 84 back in the 80s, a plan that bipartisan globalists had come up with, in a way, and others.
[00:44:59.501 --> 00:45:05.623]  Right along with the leadership of other countries that were planning to do it as well in their nations.
[00:45:05.623 --> 00:45:06.883]  And it could be a nuclear war.
[00:45:06.883 --> 00:45:10.084]  It could be a larger Middle East war, which they're starting with ISIS right now.
[00:45:10.084 --> 00:45:14.886]  I mean, our criminal government's in the middle of starting all that with Saudi Arabia and others.
[00:45:14.886 --> 00:45:21.288]  A sectarian, again, civil war ruling the diverse cultures of the Middle East.
[00:45:22.148 --> 00:45:26.610]  With a sectarian Shiite Sunni civil war publicly started by the West.
[00:45:26.610 --> 00:45:27.811]  I mean, it's the same story.
[00:45:27.811 --> 00:45:41.378]  And they want to set up cultural divides here in this country, not let Hispanics assimilate and pick up the American culture that they wanted to get to, to own property, have guns and be free, and replace it with a socialist Hispanic culture.
[00:45:41.378 --> 00:45:42.719]  I mean, who wants that?
[00:45:42.719 --> 00:45:44.040]  Hispanics don't want that.
[00:45:44.580 --> 00:45:48.782]  Hispanics, on average, at least Mexicans, it's on record, run from welfare.
[00:45:48.782 --> 00:45:55.625]  Until now, because they're advertising in the news, if you're a lazy welfare person, come here, it's a free ride.
[00:45:55.625 --> 00:45:57.246]  And it's just incredible.
[00:45:57.246 --> 00:45:58.406]  It's absolutely amazing.
[00:45:58.406 --> 00:45:59.167]  God bless you.
[00:45:59.167 --> 00:46:00.748]  Appreciate the call, Dre.
[00:46:00.748 --> 00:46:03.049]  George, in Connecticut, on July 4th.
[00:46:03.049 --> 00:46:03.769]  Go ahead.
[00:46:03.769 --> 00:46:08.031]  You're on the air.
[00:46:08.031 --> 00:46:09.291]  George, you want us to come back to you?
[00:46:11.044 --> 00:46:11.684]  Aren't there, George?
[00:46:11.684 --> 00:46:12.985]  We're going to come back to you in a moment.
[00:46:12.985 --> 00:46:15.606]  Let's go to Jane in Austin, Texas.
[00:46:15.606 --> 00:46:16.586]  You're on the air, Jane.
[00:46:16.586 --> 00:46:18.827]  Hi, Alex.
[00:46:18.827 --> 00:46:19.627]  How are you?
[00:46:19.627 --> 00:46:21.228]  I'm doing all right.
[00:46:21.228 --> 00:46:23.409]  Thank you so much for taking my call.
[00:46:23.409 --> 00:46:28.331]  I've been trying to get this information to you for just a little over a year now.
[00:46:28.331 --> 00:46:38.355]  I'm a long-time listener, and I always hear you talk about them pushing the cashless society, and you always mention how it's happening in England.
[00:46:39.039 --> 00:46:41.522]  Well, it's happening in our own backyard.
[00:46:41.522 --> 00:47:02.062]  I live in Austin, and they built a new, smaller Walmart right on Anderson Mill Road, and a year ago, and it's still like that today, I went in there trying to purchase some water shoes or something, and they informed me that that store does not take cash whatsoever.
[00:47:02.062 --> 00:47:02.923]  No cash.
[00:47:03.536 --> 00:47:04.817]  Where is that located?
[00:47:23.937 --> 00:47:25.598]  That is huge news.
[00:47:25.598 --> 00:47:28.058]  Texas Walmart only takes credit cards.
[00:47:28.058 --> 00:47:30.059]  Or Walmart goes cashless.
[00:47:30.059 --> 00:47:31.759]  You're saying that's a one?
[00:47:31.759 --> 00:47:33.300]  It's a lot bigger than that.
[00:47:33.300 --> 00:47:40.802]  When I went in there to purchase one item, I went to pay for it, and I couldn't believe what I was seeing.
[00:47:40.802 --> 00:47:45.523]  And I'm like, so I'm sort of hassling the attendant that watches over the registers.
[00:47:45.523 --> 00:47:46.723]  I'm like, are you serious?
[00:47:46.723 --> 00:47:48.304]  You don't take any cash?
[00:47:48.304 --> 00:47:50.264]  And they're like, no ma'am.
[00:47:50.264 --> 00:47:50.945]  Nothing.
[00:47:50.945 --> 00:47:52.285]  No cash in the store.
[00:47:52.885 --> 00:47:57.207]  And so I started raising Cain about it, and I'm like, what's going on?
[00:47:57.207 --> 00:48:00.148]  She said, well, this is Walmart's test store.
[00:48:00.148 --> 00:48:04.209]  And, um, so it's, they never changed it.
[00:48:04.209 --> 00:48:05.709]  It's still cashless.
[00:48:05.709 --> 00:48:07.770]  Here's the crazy part.
[00:48:07.770 --> 00:48:19.114]  When I went to pay for the item on the screen before it would let me purchase anything, it brought up on the screen like a three paragraph contract.
[00:48:19.694 --> 00:48:34.479]  And it made you read all this stuff and at the bottom was a button that you had to agree to it and press yes that you agree that you would not pay cash and then it would bring up the item that you had.
[00:48:34.479 --> 00:48:38.901]  I was just, I couldn't even speak walking out of there.
[00:48:38.901 --> 00:48:40.301]  I'm like, oh my god.
[00:48:40.301 --> 00:48:42.422]  Say that again, it made you verify what?
[00:48:43.610 --> 00:48:46.552]  It was a three paragraph, a lot of words.
[00:48:46.552 --> 00:48:47.993]  You couldn't even read it all.
[00:48:47.993 --> 00:48:51.255]  And what it was saying was, I agree with this, I agree with this.
[00:48:51.255 --> 00:48:52.916]  Yes, I won't pay cash.
[00:48:52.916 --> 00:49:09.667]  Well listen, listen, you can pull up the Washington Post from like five years ago admitting that Disney World is really a Pentagon testing ground of mind control to test controlled cities and that they developed a plan for Fallujah to control populations off of
[00:49:10.467 --> 00:49:11.528]  I forget the name of it.
[00:49:11.528 --> 00:49:13.891]  It's not Disneyland or Disney World in the U.S.
[00:49:13.891 --> 00:49:19.877]  It's some Disney community that I don't even know about where you like live in this Disney community.
[00:49:19.877 --> 00:49:21.719]  But the point is people can look it up.
[00:49:21.719 --> 00:49:27.245]  And they admitted that it's a PSYOP and they were also doing it in Disney France or Disney EU.
[00:49:28.246 --> 00:49:30.709]  That is just incredible that that happened.
[00:49:30.709 --> 00:49:31.610]  I believe you.
[00:49:31.610 --> 00:49:33.312]  We're going to send reporters there.
[00:49:33.312 --> 00:49:35.234]  That is that is so huge.
[00:49:35.234 --> 00:49:36.816]  We knew all this was coming.
[00:49:36.816 --> 00:49:39.239]  Israel announced last month they're going cashless.
[00:49:39.239 --> 00:49:42.502]  England announced last month they're going cashless back in June.
[00:49:43.283 --> 00:49:51.747]  This is the total control paradigm that we're dealing with, Jane, and they mean business.
[00:49:51.747 --> 00:49:55.868]  And then again, once you're cashless, they can force you to do whatever they want.
[00:49:55.868 --> 00:49:56.909]  Take money out.
[00:49:56.909 --> 00:49:57.609]  Charge you.
[00:49:57.609 --> 00:49:58.189]  Fee you.
[00:49:58.189 --> 00:49:59.150]  Track you.
[00:49:59.150 --> 00:50:00.270]  Totally control you.
[00:50:00.270 --> 00:50:04.112]  Shut down any underground markets that you would need under a tyranny.
[00:50:04.112 --> 00:50:05.152]  Next segment's coming up.
[00:50:05.152 --> 00:50:08.674]  We'll take more calls from Nathan and George, and in this hour,
[00:50:09.738 --> 00:50:12.242]  This original hour doesn't mean it's live.
[00:50:12.242 --> 00:50:13.684]  I taped it on Thursday.
[00:50:13.684 --> 00:50:15.466]  I taped it right now on July 3rd.
[00:50:15.466 --> 00:50:25.640]  But you're listening on July 4th because even when I'm not here on a holiday, I've made the decision to be here on the holiday to give you original transmissions.
[00:50:25.640 --> 00:50:26.421]  We are not just
[00:50:27.142 --> 00:50:29.343]  The tip of the spear in the real new media.
[00:50:29.343 --> 00:50:31.985]  We are the hardest working folks in media, period.
[00:50:31.985 --> 00:50:33.205]  And we love freedom.
[00:50:33.205 --> 00:50:37.208]  We're like pit bulls that want to get in that arena and live to fight.
[00:50:37.208 --> 00:50:40.849]  Because Americans love to fight and love to be free.
[00:50:40.849 --> 00:50:43.471]  And we're not going to be losers anymore.
[00:50:43.471 --> 00:50:44.231]  All right, Jane.
[00:50:44.231 --> 00:50:45.572]  Thanks for that intel.
[00:50:45.572 --> 00:50:46.913]  That HUMET.
[00:50:46.913 --> 00:50:50.855]  Another segment with your calls straight ahead!
[00:50:50.855 --> 00:50:52.516]  We will never surrender!
[00:50:52.516 --> 00:50:54.757]  And that earlier caller told me I was Paul Revere.
[00:50:54.757 --> 00:50:56.338]  We're all Paul Revere!
[00:50:56.618 --> 00:50:58.697]  We're all living history!
[00:51:00.248 --> 00:51:13.931]  All you preppers and survival enthusiasts, Sigma 3 Survival School has a brand new survival instructor training program that will teach you everything you need to know about survival, and then license you to teach our survival programs so you can make a substantial profit from it.
[00:51:13.931 --> 00:51:25.074]  If you have always wanted to learn to be completely self-reliant and would like to make money at it, then check out Sigma 3 Survival School's survival instructor program at survivalschool.us or call 479-561-3886 today!
[00:51:29.355 --> 00:51:34.116]  There's one major factor affecting the health of millions, and most people are completely unaware.
[00:51:34.116 --> 00:51:34.957]  Acid levels.
[00:51:34.957 --> 00:51:39.798]  Soda, meat, dairy, caffeine, and sugar can all lead to elevated acid levels in the body.
[00:51:39.798 --> 00:51:44.440]  AlkaVision Plasma pH Drops get the body's pH levels back in perfect balance.
[00:51:44.440 --> 00:51:50.141]  It's a holistic, natural, and powerful approach that will give you greater health, vitality, and zest for life.
[00:51:50.141 --> 00:51:52.062]  AlkaVision Plasma pH Drops.
[00:51:52.062 --> 00:51:54.423]  Visit ALKAVision.com.
[00:51:54.423 --> 00:51:55.603]  Alkalize your body.
[00:51:55.603 --> 00:51:58.084]  Supercharge your health at AlkaVision.com.
[00:51:59.045 --> 00:52:01.888]  Hi folks, Alex Jones here with some important information.
[00:52:01.888 --> 00:52:06.992]  I want to tell you about Matt Redhawk and his team of Patriots over at MyPatriotSupply.
[00:52:06.992 --> 00:52:15.139]  Several years ago, Matt was sitting in his two-bedroom apartment, frustrated with the direction this country was headed and the Charlatans willing to sell us out for a quick buck.
[00:52:15.139 --> 00:52:19.664]  Deciding to take action, a company run by Patriots for Patriots was born.
[00:52:19.664 --> 00:52:23.467]  MyPatriotSupply has never taken a loan or accepted outside funding.
[00:52:23.607 --> 00:52:29.551]  They now operate two distribution facilities and employ over 50 hard-working American men and women.
[00:52:29.551 --> 00:52:32.733]  It is rare to find companies who practice what they preach.
[00:52:32.733 --> 00:52:38.097]  And that's why I stock my pantry with high-quality storable foods from My Patriot Supply.
[00:52:38.097 --> 00:52:46.282]  Go to mypatriotsupply.com forward slash alextoday for special offers on emergency food storage or call their preparedness specialist at 866-229-0927.
[00:52:46.282 --> 00:52:46.462]  That's 866-229-0927.
[00:52:58.873 --> 00:53:03.217]  Are you happy doing your laundry with perfume detergents that irritate your skin?
[00:53:03.217 --> 00:53:07.962]  Are you happy washing your hands with stinking fragrances that gives your skin rashes?
[00:53:07.962 --> 00:53:11.345]  Are you happy paying new higher prices for smaller boxes?
[00:53:12.046 --> 00:53:23.892]  Find your happiness today with our 1 to 4 year supply of Pure Soaps or our 1 to 2 month sampler with Bar Soap, Shampoo, Laundry and Dish Soap at 5starsoap.com.
[00:53:23.892 --> 00:53:25.453]  You deserve the best.
[00:53:25.453 --> 00:53:28.254]  Happiness is 5starsoap.com.
[00:53:28.254 --> 00:53:30.275]  Gain your independence this 4th of July.
[00:53:30.275 --> 00:53:34.677]  Emergency Essentials will help you prepare with our biggest Mountain House sale ever!
[00:53:34.677 --> 00:53:38.819]  Now through July 31st, save up to 50% on every Mountain House can in stock.
[00:53:38.999 --> 00:53:42.562]  Mountain House Food is the premier solution for your long-term storage.
[00:53:42.562 --> 00:53:47.846]  The freeze-dried lasagna is only $17.49 and the pasta primavera is only $18.49.
[00:53:47.846 --> 00:53:53.871]  Call Emergency Essentials right now at 800-999-1863 or go to BePrepared.com.
[00:53:53.871 --> 00:53:55.052]  The choice is clear.
[00:53:55.052 --> 00:53:57.434]  Be unprepared or BePrepared.com.
[00:54:12.862 --> 00:54:13.282]  Oh yeah!
[00:54:13.282 --> 00:54:17.685]  I'm gonna get fired up with this type of music.
[00:54:17.685 --> 00:54:19.386]  You want to stop tyranny?
[00:54:19.386 --> 00:54:21.026]  Well, so does he.
[00:54:21.026 --> 00:54:25.729]  Live from the InfoWars.com studios, it's Alex Jones.
[00:54:42.927 --> 00:54:43.527]  Oh yeah!
[00:54:43.527 --> 00:54:46.589]  Sixteen razor!
[00:54:46.589 --> 00:54:52.452]  I got a mouth like an alligator!
[00:54:52.452 --> 00:54:55.854]  I want it louder!
[00:54:55.854 --> 00:54:57.835]  More power!
[00:55:12.395 --> 00:55:13.876]  I want the power to be free!
[00:55:13.876 --> 00:55:20.260]  I'm gonna bang my head up against the New World Order, and I'm not stopping.
[00:55:20.260 --> 00:55:22.162]  Nathan in Kansas, then George.
[00:55:22.162 --> 00:55:24.003]  Take us out of this hour, Nathan.
[00:55:24.003 --> 00:55:25.824]  Go ahead, you're on the air.
[00:55:25.824 --> 00:55:31.908]  Hey, uh, Alex, it's an honor to be with you, and it's an honor to be, uh, pre-broadcast on, uh, Fourth of July.
[00:55:31.908 --> 00:55:35.151]  I'm probably one of the bigger patriots that I know of.
[00:55:35.151 --> 00:55:38.213]  Um, basically, I'm a contractor here in Kansas City.
[00:55:38.897 --> 00:55:46.562]  And being a contractor, I see what happens with the influx of cheap labor.
[00:55:46.562 --> 00:55:50.825]  I live in Kansas City, but I tell you what, I feel like I'm in the Twilight Zone.
[00:55:51.766 --> 00:55:53.567]  Well, it's just like inflation.
[00:55:53.567 --> 00:55:57.968]  It drives down all the wages, doesn't even help Mexico or the third world countries.
[00:55:57.968 --> 00:55:59.468]  It just sinks us.
[00:55:59.468 --> 00:56:04.190]  It's like if people sink one lifeboat and jump in the next, they just sink it.
[00:56:04.190 --> 00:56:09.572]  You use built-up wealthy nations that then make the nations around them richer, like Switzerland.
[00:56:09.572 --> 00:56:11.732]  Look, look, Ross Perot broke this down.
[00:56:11.732 --> 00:56:13.193]  The globalists want us poor.
[00:56:13.193 --> 00:56:14.793]  Exactly.
[00:56:14.793 --> 00:56:15.353]  It's incredible.
[00:56:15.353 --> 00:56:16.794]  Look at our wages going down.
[00:56:16.794 --> 00:56:19.035]  Look at the country going down.
[00:56:19.035 --> 00:56:19.815]  It's on purpose.
[00:56:19.815 --> 00:56:20.135]  Go ahead.
[00:56:21.294 --> 00:56:27.497]  Well, and kind of, I mean, just kind of, uh, bolstering what you say, I mean, I spend my money locally.
[00:56:27.497 --> 00:56:34.501]  You know, I mean, I'm going in and I'm, you know, going out to eat, and I'm, you know, tipping 20%, and, you know, I'm actually helping our local community.
[00:56:34.501 --> 00:56:35.242]  You're a terrorist.
[00:56:35.242 --> 00:56:37.663]  You know, I am.
[00:56:37.663 --> 00:56:42.146]  You know what, I'm probably on that list, and if I am, I want a star by my name.
[00:56:42.146 --> 00:56:44.187]  Well, you know, that's another problem for the NSA.
[00:56:44.187 --> 00:56:45.808]  What happens when everybody's on the list?
[00:56:45.808 --> 00:56:48.909]  And see, we know the good guys are on the list, the bad guys aren't on the list.
[00:56:48.909 --> 00:56:49.870]  Thanks for making a list!
[00:56:51.155 --> 00:56:52.235]  Yeah, exactly.
[00:56:52.235 --> 00:57:07.661]  One of the reasons why I said that I feel like I'm in the twilight zone is actually as I was waiting to get on with you, I did some research and see now, I actually live in Kansas City and the NAFTA superhighway hub is here.
[00:57:07.661 --> 00:57:20.005]  Now there's four different branches of it or four different spots, the intermodal hub, KCI International Business Center, Northland Park, Logistics Park KC, Centerport Intermodal Center,
[00:57:22.284 --> 00:57:22.665]  No, no, no.
[00:57:22.665 --> 00:57:28.072]  They built a Port Authority up there to run all the goods up there to make sure nobody makes money locally.
[00:57:28.072 --> 00:57:28.994]  It's a great point.
[00:57:28.994 --> 00:57:30.215]  Do a YouTube video on it.
[00:57:30.215 --> 00:57:32.559]  Final caller, Georgia Connecticut, real quick.
[00:57:32.559 --> 00:57:33.360]  Thanks for calling in.
[00:57:33.360 --> 00:57:33.840]  You're on the air.
[00:57:34.659 --> 00:57:43.381]  Yeah, I wanted to suggest that we should get some guests on that teach us how to sue our representatives when they don't represent our interests on the border especially.
[00:57:43.381 --> 00:57:57.425]  And we should force them to basically send all those tanks they're giving police down to the border and maybe send the TSA or TNA is what we really should call them to the border instead of molesting us and sending all these people including those
[00:57:57.805 --> 00:57:58.045]  We're good.
[00:58:16.340 --> 00:58:16.980]  It's a good idea.
[00:58:16.980 --> 00:58:18.942]  Domonkin has done an incredible job.
[00:58:18.942 --> 00:58:22.704]  I wasn't trying to grovel to him when I had him on the air Thursday.
[00:58:22.704 --> 00:58:24.045]  He's done so much.
[00:58:24.045 --> 00:58:25.606]  People just don't know how much he's done.
[00:58:25.606 --> 00:58:28.168]  That's a testament to what individuals can do.
[00:58:28.168 --> 00:58:30.630]  Alright, David Ice coming up from the Archive.
[00:58:30.630 --> 00:58:31.871]  It's a powerful interview.
[00:58:31.871 --> 00:58:35.473]  Tell your friends and family to tune in and I'll see you back Sunday, 4 to 6 p.m.
[00:58:35.473 --> 00:58:40.197]  Great job to the crew.
[00:58:40.197 --> 00:58:41.858]  Thank you for listening to GCN.
[00:58:43.427 --> 00:58:49.549]  Visit GCNlive.com today.
[00:58:49.549 --> 00:58:56.712]  From the water table, to our soils, to the atmosphere itself, our world is becoming more and more toxic each and every day.
[00:58:56.712 --> 00:58:59.073]  But it's not just the air outside that's toxic.
[00:58:59.073 --> 00:59:04.355]  Indoor air has been shown to have two to five times higher concentrations of pollutants than even outdoor air.
[00:59:04.355 --> 00:59:09.297]  And most Americans spend 90% of their time inside using toxic chemicals within their homes.
[00:59:09.517 --> 00:59:12.838]  There are more than 42 million smokers in the United States.
[00:59:12.838 --> 00:59:16.899]  Well over a thousand types of mold and mildew linked to numerous conditions.
[00:59:16.899 --> 00:59:21.220]  And don't forget the fact that 6 million Americans live with pets they're allergic to as well.
[00:59:21.220 --> 00:59:31.463]  When I began to research these statistics, it was clear to me it was time to start cleansing my lungs in order to combat the toxic environment that we cannot escape but that we can fight back against.
[00:59:31.463 --> 00:59:33.964]  Made with organic and wild cultivated herbs,
[00:59:34.104 --> 00:59:35.044]  Waging war on corruption.
[00:59:35.044 --> 00:59:36.705]  Alex Jones on the GCM Radio Network.
[01:00:05.779 --> 01:00:10.742]  Big Brother, Mainstream Media, Government Cover-Ups.
[01:00:10.742 --> 01:00:12.363]  You want answers?
[01:00:12.363 --> 01:00:13.984]  Well, so does he.
[01:00:13.984 --> 01:00:18.286]  He's Alex Jones on the GCN Radio Network.
[01:00:18.286 --> 01:00:22.449]  And now, live from Austin, Texas, Alex Jones.
[01:00:36.062 --> 01:00:43.558]  I think we need to build our intelligence to see that we can disrupt a plot in this country before it happens.
[01:00:43.558 --> 01:00:46.724]  Because there will be plots to kill Americans.
[01:00:47.810 --> 01:00:50.091]  Let's play the Obama and the Cheney again in a moment.
[01:00:50.091 --> 01:00:51.331]  This is what's being pushed.
[01:00:51.331 --> 01:00:53.571]  So the more money you spend, the more money that you put out,
[01:01:12.036 --> 01:01:14.318]  Uh, trillions to fight Al-Qaeda.
[01:01:14.318 --> 01:01:17.181]  Uh, they just changed their name to I-S-I-S.
[01:01:17.181 --> 01:01:19.082]  You give them a base to attack Syria.
[01:01:19.082 --> 01:01:20.664]  Now they take over Iraq.
[01:01:20.664 --> 01:01:26.108]  Obama acts like he's against both sides, but he's letting them take over.
[01:01:26.108 --> 01:01:28.150]  And her answer is, we need more intelligence.
[01:01:28.150 --> 01:01:29.311]  We need more money.
[01:01:29.311 --> 01:01:31.353]  We need to spy on you.
[01:01:31.353 --> 01:01:34.055]  Meanwhile, the entire domestic spy grid is pointed at the Tea Party.
[01:01:35.154 --> 01:01:38.155]  And they're getting ready to blow stuff up and roll it out against us.
[01:01:38.155 --> 01:01:40.076]  You can bet your bottom dollar on that.
[01:01:40.076 --> 01:01:41.816]  And it's not fun to get up here and talk like this.
[01:01:41.816 --> 01:01:44.277]  I know it endangers me and my family.
[01:01:44.277 --> 01:01:55.021]  But my family's in greater danger, and so is your family, as this rotting society really gets to a new level of evil.
[01:01:55.021 --> 01:01:56.041]  The bottom's falling out.
[01:01:56.041 --> 01:02:03.144]  I mean, they got the borders wide open right now, but they're setting up internal checkpoints all over the country to train you to be a slave.
[01:02:04.983 --> 01:02:06.083]  I mean, this is pathetic.
[01:02:06.083 --> 01:02:10.024]  This is our conversion into a total police state.
[01:02:10.024 --> 01:02:11.965]  Do any of you want to live in this?
[01:02:11.965 --> 01:02:19.427]  Because it's not the old saying of, do you want your children to grow up in a society like this?
[01:02:19.427 --> 01:02:25.168]  No, now the issue is, ladies and gentlemen, do you want to live in this?
[01:02:25.168 --> 01:02:31.050]  Because the takeover is pointed at the human family itself.
[01:02:31.050 --> 01:02:34.211]  It's an anti-human, globalist, psychopathic agenda.
[01:02:35.390 --> 01:02:37.371]  Why did Ted Bundy do the things he did?
[01:02:37.371 --> 01:02:39.192]  Because he liked it.
[01:02:39.192 --> 01:02:41.173]  Why does the New World Order do the things they do?
[01:02:41.173 --> 01:02:54.360]  Everywhere they're in control, killing foster kids, torturing people to death, molesting children, murdering people, genetically engineering and deforming plants and animals and human life, all sorts of secret experimentation, macabre horror.
[01:02:54.360 --> 01:03:02.084]  I've seen New York Times articles, a couple of them, about the hottest art in New York City, that's sold for $20-$30 million, isn't even
[01:03:05.054 --> 01:03:07.516]  Vincent van Gogh art.
[01:03:07.516 --> 01:03:14.981]  It's crystal skulls, uh, crusted, uh, crucifix in buckets of semen.
[01:03:14.981 --> 01:03:24.767]  Uh, I don't mean to get gross here, but... And billionaires go as a tithe to these weird devil-worshipping artists, and you can read the profiles.
[01:03:24.767 --> 01:03:32.172]  And I'll never forget, I was doing a search for Arnold Schwarzenegger gay porn, uh, so I could put it in, uh, my film, uh, Fall of the Republic.
[01:03:35.131 --> 01:03:36.772]  Police State.
[01:03:36.772 --> 01:03:38.013]  What was the name of the film I made?
[01:03:38.013 --> 01:03:39.574]  I've made like 20-something.
[01:03:39.574 --> 01:03:41.835]  What's the big three and a half hour long one?
[01:03:41.835 --> 01:03:43.756]  It's got the blimps in New York and all that.
[01:03:43.756 --> 01:03:48.079]  9-1-1 Rise of the Police State.
[01:03:48.079 --> 01:03:49.720]  That's the name of it.
[01:03:49.720 --> 01:03:50.581]  Anyways.
[01:03:50.581 --> 01:03:52.602]  And so we were doing a gay porn search on Arnold.
[01:03:52.602 --> 01:03:54.343]  We did find it.
[01:03:54.343 --> 01:03:58.846]  And put some blurred out images of it in there just to show because he was getting ready to run for president.
[01:03:58.846 --> 01:04:01.748]  We wanted to have a part of the film to shoot him down.
[01:04:01.748 --> 01:04:01.868]  And
[01:04:03.260 --> 01:04:04.781]  It was him in Austria.
[01:04:04.781 --> 01:04:06.082]  No, it was Germany.
[01:04:06.082 --> 01:04:13.225]  And he traveled there just to meet with his favorite artist who was like totally white skin, black hair, black uniform.
[01:04:13.225 --> 01:04:16.507]  The artist wears like an SS uniform.
[01:04:16.507 --> 01:04:17.367]  And I forget the artist's name.
[01:04:17.367 --> 01:04:18.528]  We've shown this before.
[01:04:18.528 --> 01:04:21.450]  And it's Arnold looking at the guy's artwork.
