[00:00.000 --> 00:26.000]  Infowars, the most banned network in the world.
[55:24.000 --> 55:33.000]  Right as they're trying to ram through this treaty that they admit hands over sovereignty of the nation states the UN and gives them military power for sanctions over nations that don't submit.
[55:33.000 --> 55:39.000]  This is world government based on a biomedical dictatorship.
[55:39.000 --> 55:41.000]  Yeah, it's concentrating power.
[55:41.000 --> 55:48.000]  So right now what they're trying to do is is pass internal rules that would only govern the World Health Organization internally.
[55:48.000 --> 55:55.000]  And but there are parallel to it proposing a treaty that ultimately still has to come back to the United States Senate.
[55:55.000 --> 55:58.000]  The United States Senate two thirds of them have to pass it.
[55:58.000 --> 56:00.000]  And what they're doing is a bifurcated approach.
[56:00.000 --> 56:08.000]  The first approach isn't the treaty itself, but they're misleading some people in the thinking it's the treaty so that people will voice concern now.
[56:08.000 --> 56:17.000]  And then when that treaty doesn't come into place because it's not actually legally a US treaty US binding treaty, then when they try to sneak it in a year from now, people aren't paying attention.
[56:17.000 --> 56:28.000]  Because they got but let's expand on their claiming though because Harry Truman in 47 signed on the WHO that that's a blanket treaty to follow that and that Obama's executive order.
[56:28.000 --> 56:43.000]  Right before he left office five and a half years ago, basically put into place similar martial law provisions and so the bureaucracies, even if they don't officially sign on are still going to follow the directives.
[56:43.000 --> 56:50.000]  Constitutionally, it's not and that's an important point for everyone to know there's major risk with them trying to do these internal rules.
[56:50.000 --> 56:58.000]  But some people are getting caught up in the idea that that acts as a treaty and you're seeing some misleading legal interpretations out there.
[56:58.000 --> 57:06.000]  No World Health Organization treaty has ever passed and under the Constitution, nothing is binding law as a treaty unless two thirds of the Senate approved.
[57:06.000 --> 57:13.000]  And we've seen good things like federal and state judges saying they can't close churches during these lockdowns that lockdowns are unconstitutional.
[57:13.000 --> 57:18.000]  So it's taken people a few years to wake up, but there does seem to be a major backlash.
[57:18.000 --> 57:20.000]  Absolutely and people need to be alert.
[57:20.000 --> 57:29.000]  Be aware of what this is, but don't get too caught up such that you're not alert when they're actually they plan on proposing an actual binding constitutional treaty.
[57:29.000 --> 57:36.000]  They just plan on doing it about a year from now where they're hoping people aren't paying it. That would be superior law of the land.
[57:36.000 --> 57:39.000]  That would be binding on the U.S. That's what we have to be the most alert.
[57:39.000 --> 57:41.000]  All right, Robert Barnes, stay there. Stay there.
[57:41.000 --> 57:43.000]  I want to get into all the other big issues, the Ministry of Truth.
[57:43.000 --> 57:48.000]  It hasn't been canceled and so much more for 30 minutes with you then Dr. McCullough and others.
[57:48.000 --> 58:00.000]  Ladies and gentlemen, there are a lot of natural compounds out there that turbocharge and boost our stamina, our energy, our libido that are also amazing pre or post workouts.
[58:00.000 --> 58:05.000]  And we went out and looked at the top brands, the top reviews and came out with alpha power.
[58:05.000 --> 58:11.000]  Now it's so hard to source good, clean herbs like we have in this that it's been sold out for more than six months.
[58:11.000 --> 58:17.000]  But now alpha power is back in stock at infowarstore.com at 40% off.
[58:17.000 --> 58:23.000]  Go to infowarstore.com and read about these compounds and ingredients for yourself and then try it for yourself.
[58:23.000 --> 58:28.000]  Now the formula is made for men, but it does amazing things for women as well.
[58:28.000 --> 58:33.000]  Find out what just one of the ingredients does, LJ100 and then go on from there.
[58:33.000 --> 58:40.000]  Alpha power, exclusively available right now, 40% off at infowarstore.com and it funds the info war.
[58:40.000 --> 58:44.000]  You are really missing out if you don't experience what alpha power does.
[58:44.000 --> 58:49.000]  It has improved my life and so many others, just incredible levels.
[58:49.000 --> 58:55.000]  Info wars has made history. You have made history in your support of info wars.
[58:55.000 --> 59:01.000]  And one of the biggest tools we've had to circumvent and override the sensors has been patriot apparel
[59:01.000 --> 59:07.000]  so we can identify each other so we can spread the word and so we can push people to websites like infowars.com
[59:07.000 --> 59:10.000]  so they can understand the globalist plan and how to stop it.
[59:10.000 --> 59:14.000]  Now ladies and gentlemen two months ago we announced we're blowing out of all of our designs of t-shirts
[59:14.000 --> 59:18.000]  some of which go back more than 25 years. All these shirts are limited edition.
[59:18.000 --> 59:23.000]  They are about to be history and will only exist in your closet, your drawer or your wardrobe.
[59:23.000 --> 59:27.000]  So there's only 15,000 shirts of 60 plus thousand left.
[59:27.000 --> 59:30.000]  In a couple weeks they'll all be gone and they'll be history.
[59:30.000 --> 59:34.000]  We're selling them all at cost at infowarstore.com.
[59:34.000 --> 59:36.000]  So thank you all for your support.
[59:36.000 --> 59:40.000]  Please visit infowarstore.com and get one of these historic shirts,
[59:40.000 --> 59:44.000]  hoodies, long sleeves, ball caps, you name it, while you still can.
[59:44.000 --> 59:46.000]  I want to thank you all for your support.
[59:46.000 --> 59:49.000]  infowarstore.com
[59:50.000 --> 59:57.000]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[59:57.000 --> 1:00:09.000]  All right, this short segment of the Alex Jones Show, we're going to talk more about the vaccines, the tyranny
[1:00:09.000 --> 1:00:13.000]  and their plans, all these different ministers have meant to bring back more lockdowns
[1:00:13.000 --> 1:00:15.000]  when Robert Barnes thinks it's going to be.
[1:00:15.000 --> 1:00:17.000]  And then next segment we're going to get into the Ministry of Truth,
[1:00:17.000 --> 1:00:21.000]  Biden, Ukraine, the whole waterfront of where the world is geopolitically today
[1:00:21.000 --> 1:00:25.000]  and what he expects in the midterms coming up in 172 days.
[1:00:25.000 --> 1:00:30.000]  But Robert Barnes, for the next five minutes, you're at the heart of the resistance of this biomedical tyranny.
[1:00:30.000 --> 1:00:35.000]  What are the facts, what else do people need to be made aware of?
[1:00:35.000 --> 1:00:36.000]  No doubt.
[1:00:36.000 --> 1:00:41.000]  So on one aspect is the DHD, the Children's Health Defense case against the FDA is marching forward.
[1:00:41.000 --> 1:00:46.000]  Anybody that has use for thinking about what's happening in the Waco area as to young children,
[1:00:46.000 --> 1:00:52.000]  as to vaccines are orphans being forced to take it or people in foster homes or juvenile facilities being forced to take it
[1:00:52.000 --> 1:00:55.000]  against their will, that's relevant pertinent evidence.
[1:00:55.000 --> 1:01:02.000]  If you have any other relevant pertinent evidence as to children facing imminent risk from taking this vaccine without informed consent,
[1:01:02.000 --> 1:01:09.000]  that's one of the target areas of the court's concern that would allow the case to move forward because our goal is to stop them from lying.
[1:01:09.000 --> 1:01:13.000]  The FDA is engaging in a massive deception campaign.
[1:01:13.000 --> 1:01:16.000]  The CDC is engaging in a massive deception campaign.
[1:01:16.000 --> 1:01:22.000]  They're telling people there's a safe, effective vaccine for an emergency for children related to COVID.
[1:01:22.000 --> 1:01:23.000]  It's this drug is not safe.
[1:01:23.000 --> 1:01:25.000]  This drug is not effective.
[1:01:25.000 --> 1:01:26.000]  This drug is not a vaccine.
[1:01:26.000 --> 1:01:32.000]  This drug does not successfully treat or prevent infection or transmission or disease or disability.
[1:01:32.000 --> 1:01:35.000]  And there is no COVID emergency for young children.
[1:01:35.000 --> 1:01:42.000]  One of the things that we are challenging in that case is the right to petition the government that's been denied by the fact that they're using their emergency
[1:01:42.000 --> 1:01:46.000]  powers to claim they don't have to abide by the Administrative Procedures Act.
[1:01:46.000 --> 1:01:49.000]  They don't have the FDA is claiming they are beyond and above the law.
[1:01:49.000 --> 1:01:52.000]  This case goes beyond just children's vaccines in the COVID context.
[1:01:52.000 --> 1:02:02.000]  This case goes to the heart and soul of the administrative state and a bunch of unelected clerical bureaucrats dictate and determine your entire medical care without
[1:02:02.000 --> 1:02:12.000]  even going through the democratized process of citizen petitions, which again is preserved under the First Amendment to the United States Constitution.
[1:02:12.000 --> 1:02:14.000]  It's one of the rights people forget about.
[1:02:14.000 --> 1:02:17.000]  It's the right to petition your government for redress of grievances.
[1:02:17.000 --> 1:02:25.000]  That right is statutorily codified against the FDA as to what's called citizen petitions.
[1:02:25.000 --> 1:02:35.000]  It requires that the FDA permit a time period where you can petition them about anything, any agency action or decision that they are making of consequence to the people in the public.
[1:02:35.000 --> 1:02:41.000]  It requires that they respond to that and that they respond to the citizen petition with a meaningful answer.
[1:02:41.000 --> 1:02:45.000]  If they're proposing certain rules, they have to go through what's called notice and comment.
[1:02:45.000 --> 1:02:54.000]  In other words, they put out the notice to everybody and they let people with scientific, technical, medical knowledge, community and others comment on that so that that information from the public
[1:02:54.000 --> 1:03:03.000]  is crowd sourced and any dissident or dissenting information is made clear and then they have to answer that.
[1:03:03.000 --> 1:03:15.000]  And then when they make a decision, they have to show that they considered every complaint raised, that they considered every fact brought to their attention by the outside community, by the ordinary person.
[1:03:15.000 --> 1:03:28.000]  In the context of all these emergency, quote, unquote, emergency use authorized drugs, the FDA has completely failed to do any citizen petition process, any notice and comment process.
[1:03:28.000 --> 1:03:35.000]  Not only that, they claim that they can assert emergency powers anytime they want, that it's magic dust.
[1:03:35.000 --> 1:03:42.000]  And all they got to do is say emergency and they can open Pandora's box and do anything they want with anything inside Pandora's box.
[1:03:42.000 --> 1:03:53.000]  But not just that, they can also take powers that are not in Pandora's box and just relabel them emergency powers and suddenly mismarketing a drug is now an emergency power.
[1:03:53.000 --> 1:03:57.000]  Mispromoting a drug is suddenly a emergency power.
[1:03:57.000 --> 1:04:09.000]  Changing the definition of medical terms like vaccine now is magically an emergency power such that all of those things were not subject to citizen petitions, notice and comment or democratic control
[1:04:09.000 --> 1:04:14.000]  or the plain language of Congress when they issued the emergency use authorization status.
[1:04:14.000 --> 1:04:17.000]  And Robert, isn't that what this is all about?
[1:04:17.000 --> 1:04:25.000]  I remember that clip from four years ago on C-SPAN with all the big bureaucrats and Fauci and they said, we're going to have a new virus come out of China, a new bird flu.
[1:04:25.000 --> 1:04:31.000]  We'll use that to blow up the old FDA system and other systems worldwide where we can just directly do whatever we want.
[1:04:31.000 --> 1:04:35.000]  That's what this whole thing is the corporate power grab over our bodies.
[1:04:35.000 --> 1:04:40.000]  Absolutely. What they're doing with the FDA is what they want the WHO to have power to do for everybody.
[1:04:40.000 --> 1:04:46.000]  Ultimately, which is unchecked, unelected clerical bureaucrats dictating and controlling our entire medical care.
[1:04:46.000 --> 1:04:47.000]  This is so important.
[1:04:47.000 --> 1:04:49.000]  If they own our body, they own our soul.
[1:04:49.000 --> 1:04:50.000]  That's right. They own our body, own our souls.
[1:04:50.000 --> 1:04:55.000]  Robert Barnes, constitutional lawyer, back in 60 seconds to shift gears into politics. Stay with us.
[1:04:55.000 --> 1:05:06.000]  Here at Info Wars, our slogan is tomorrow's news today, whether it's politics or health or spirituality.
[1:05:06.000 --> 1:05:13.000]  We're about bringing you the very best documented, accurate, real world information.
[1:05:13.000 --> 1:05:21.000]  And when it comes to our supplements, they are so game changing for your body, for your health, your immunity, your libido, your mental clarity.
[1:05:21.000 --> 1:05:27.000]  They're incredible. And out of all the products, X2 is definitely the most amazing.
[1:05:27.000 --> 1:05:31.000]  It is the purest, highest quality, atomic iodine you're going to find.
[1:05:31.000 --> 1:05:39.000]  Most other iodine out there is bound to other minerals and compounds so you don't absorb it at all or fully.
[1:05:39.000 --> 1:05:44.000]  Ladies and gentlemen, we got a limited supply and it's been sold off for months because supply chain right downs.
[1:05:44.000 --> 1:05:52.000]  But despite that, we're selling it at 25% off for one more week than it goes back to full price.
[1:05:52.000 --> 1:05:56.000]  Experience X2 for yourself today at infowarstore.com.
[1:05:56.000 --> 1:06:15.000]  X2 at infowarstore.com. Take action now.
[1:06:15.000 --> 1:06:26.000]  The U.N., the Bank of England, now Putin's top aide, predict global famine of Armageddon-like and apocalyptic, these are quote,
[1:06:26.000 --> 1:06:33.000]  proportions all based on the two plus year lockdown where in many third world countries, the IMF and World Bank
[1:06:33.000 --> 1:06:40.000]  ordered them to have up to two years of lockdown, devastating them, collapsing them, 40 plus million starved to death.
[1:06:40.000 --> 1:06:45.000]  Now the refugees are flooding the west as part of the replacement migration operation.
[1:06:45.000 --> 1:06:51.000]  We've got the Ministry of Truth, its head, Jacqueline's having to step down because of all of her fascistic statements about
[1:06:51.000 --> 1:06:54.000]  I hate free speech, I want to be able to censor everybody.
[1:06:54.000 --> 1:06:56.000]  Now she's tried to walk that back.
[1:06:56.000 --> 1:07:03.000]  Spectacular mashups are out there showing her previous comments with her new ones just in the last year and six months.
[1:07:03.000 --> 1:07:05.000]  There's so much to tackle.
[1:07:05.000 --> 1:07:07.000]  What's happening with Elon Musk?
[1:07:07.000 --> 1:07:13.000]  He said, look, every time somebody bucks the globalist, they're going to do the me too thing.
[1:07:13.000 --> 1:07:21.000]  And he's challenging this sturdist on a private jet who's a failed actress he's saying and saying, tell me this very identifiable thing
[1:07:21.000 --> 1:07:24.000]  on my genitals if I supposedly showed you my genitals.
[1:07:24.000 --> 1:07:29.000]  And this is again all being done to punish him because he says he's going to vote Republican.
[1:07:29.000 --> 1:07:31.000]  We've got all that and so much more.
[1:07:31.000 --> 1:07:33.000]  What's going to happen to Biden?
[1:07:33.000 --> 1:07:35.000]  The inflation is taking place.
[1:07:35.000 --> 1:07:42.000]  Robert Barnes is predictions for the midterms and will they try the 2000 mule tactic again that he was working with Trump exposing at the time
[1:07:42.000 --> 1:07:49.000]  and exposing that the voting machines were the red herring that the mules bring in the ballots was the key.
[1:07:49.000 --> 1:07:50.000]  All of that.
[1:07:50.000 --> 1:07:52.000]  Those are huge subjects in the next 25 minutes to cover.
[1:07:52.000 --> 1:07:55.000]  Robert Barnes, what do you want to tackle first?
[1:07:55.000 --> 1:07:58.000]  Well, first, I mean, no big surprise on the Elon Musk front.
[1:07:58.000 --> 1:08:05.000]  I mean, I think there's he will now face retaliatory action by the Biden administration for the public statements he's made.
[1:08:05.000 --> 1:08:14.000]  So not only will you have the media coming after him trying to out him, try to meet to him, all of that jazz, but you will likely see Justice Department SEC other inquiries
[1:08:14.000 --> 1:08:24.000]  because his businesses receive a lot of as a message, not only to him, but to anybody else because Jeff Bezos started saying some things hostile about the Biden administration.
[1:08:24.000 --> 1:08:29.000]  So I think they'll try to make an example out of Musk, just as they try to make an example out of Trump.
[1:08:29.000 --> 1:08:33.000]  I mean, we're seeing that in a case that the media is not covering this week.
[1:08:33.000 --> 1:08:41.000]  The Sussman trial, which is about the spy gate and detailing all of the different ways they the Hillary Clinton campaign.
[1:08:41.000 --> 1:08:47.000]  Laundered information disguised it as attorney client privilege disguised as attorney legal fees.
[1:08:47.000 --> 1:08:54.000]  And instead, what it really was was just spy gate on steroids that created the first fake Russia gate story.
[1:08:54.000 --> 1:08:58.000]  They're going to do to Musk what they did to Trump in the 2016 campaign.
[1:08:58.000 --> 1:09:04.000]  And they're going to try because not only the goal, they said explicitly, our goal is not just to stop Trump.
[1:09:04.000 --> 1:09:07.000]  Our goal is to stop anyone else from wanting to be like Trump.
[1:09:07.000 --> 1:09:09.000]  They're going to do the same thing to Elon Musk.
[1:09:09.000 --> 1:09:16.000]  They're going to not just to go after Musk for trying to bring free speech back to Twitter, but also in for exposing that almost all of these big tech
[1:09:16.000 --> 1:09:21.000]  organizations have been making all their money and profits off of fraud, massive fraud.
[1:09:21.000 --> 1:09:30.000]  What he's exposing with the bots at Twitter is that all of these big tech companies according to a range of reports are littered with bots.
[1:09:30.000 --> 1:09:31.000]  What does that mean?
[1:09:31.000 --> 1:09:34.000]  It means all their advertising prices have been false.
[1:09:34.000 --> 1:09:42.000]  It means they've been falsely inducing companies and individuals to advertise to thinking they were advertising to people when those companies
[1:09:42.000 --> 1:09:49.000]  knew, like Twitter, like Facebook, like YouTube, like others, that actually it was just bots watching, just bots participating.
[1:09:49.000 --> 1:09:50.000]  And what does that mean?
[1:09:50.000 --> 1:09:53.000]  That means that all of these businesses could go bankrupt overnight.
[1:09:53.000 --> 1:09:55.000]  And what he details about Twitter is correct.
[1:09:55.000 --> 1:09:57.000]  Twitter could go bankrupt.
[1:09:57.000 --> 1:10:03.000]  So the fact that he's exposing big tech for the fraud that it is already exposed over half of President Biden's followers.
[1:10:03.000 --> 1:10:05.000]  He exposed the vaccine over a year and a half ago.
[1:10:05.000 --> 1:10:07.000]  He exposed depopulation.
[1:10:07.000 --> 1:10:12.000]  And really, this guy's becoming a superstar.
[1:10:12.000 --> 1:10:17.000]  I know he's done some things that are globalist in the past, but why do you think he's breaking with the power structure and getting so hard core?
[1:10:17.000 --> 1:10:18.000]  I know a few people are in Austin.
[1:10:18.000 --> 1:10:20.000]  They're close friends of him and some other people.
[1:10:20.000 --> 1:10:21.000]  I'll leave it at that.
[1:10:21.000 --> 1:10:23.000]  And let's just say this.
[1:10:23.000 --> 1:10:26.000]  I was told and said over a year ago that he was about to go hardcore.
[1:10:26.000 --> 1:10:28.000]  And I'm not writing myself into the story.
[1:10:28.000 --> 1:10:30.000]  We warned of this when I was getting the platform four years ago.
[1:10:30.000 --> 1:10:33.000]  I warned Trump personally that he would be next.
[1:10:33.000 --> 1:10:39.000]  So first it was Alex Jones, then it was Trump, and again, they're just developing the formula to destroy somebody.
[1:10:39.000 --> 1:10:41.000]  Now they've moved to Elon Musk.
[1:10:41.000 --> 1:10:45.000]  Yes, the same pattern over and over and over and over again.
[1:10:45.000 --> 1:10:48.000]  And I think, I mean, one, by the way, I can give why the timing.
[1:10:48.000 --> 1:10:54.000]  Why was it this week they finally decided to pull back publicly on the Disinformation Governance Board?
[1:10:54.000 --> 1:11:02.000]  Well, because on Tuesday morning, Bobby Kennedy, who is suing Facebook for colluding with the government to censor children's health defense,
[1:11:02.000 --> 1:11:07.000]  was before the Ninth Circuit Court of Appeals on his lawsuit against Zuckerberg and Facebook.
[1:11:07.000 --> 1:11:09.000]  And the argument was government collusion.
[1:11:09.000 --> 1:11:11.000]  Well, what was the best evidence of government collusion?
[1:11:11.000 --> 1:11:13.000]  That Disinformation Governance Board.
[1:11:13.000 --> 1:11:17.000]  So the government knew and Facebook knew they needed that board to be gone.
[1:11:17.000 --> 1:11:18.000]  And by the way, you're not just saying that.
[1:11:18.000 --> 1:11:21.000]  Jackowitz, as our defense said, oh, we were just going to coordinate.
[1:11:21.000 --> 1:11:30.000]  Exactly coordinate Big Tech and the other companies in Microsoft and dinosaur media together in wolf packs to censor and control and bully and dominate.
[1:11:30.000 --> 1:11:37.000]  Absolutely. Everything Bobby Kennedy and Jones Health Defense said about this vaccine has been proven true over and over and over and over again.
[1:11:37.000 --> 1:11:43.000]  And that's what they were being censored for, trying to prevent them from being able to raise money, prevent them from adding new members.
[1:11:43.000 --> 1:11:45.000]  And if we let that happen to them, it happens to everybody.
[1:11:45.000 --> 1:11:47.000]  So let's just stop there.
[1:11:47.000 --> 1:11:48.000]  What you said is so important.
[1:11:48.000 --> 1:11:54.000]  It is on record that you can have an argument about Section 230 and say these groups can do what they want.
[1:11:54.000 --> 1:12:00.000]  But when you have the government coordinating with private corporations, that is fascism, that is racketeering.
[1:12:00.000 --> 1:12:03.000]  Explain in the law why that's so criminal.
[1:12:03.000 --> 1:12:09.000]  What makes it illegal is that once the private actors can suppress speech because they're not governed by the First Amendment.
[1:12:09.000 --> 1:12:14.000]  Now, my view is when they have a monopoly on the public square that they should be held so accountable.
[1:12:14.000 --> 1:12:18.000]  And there's court decisions that said that, but the U.S. Supreme Court has yet to embrace that.
[1:12:18.000 --> 1:12:23.000]  What is undisputed is that once the government is colluding.
[1:12:23.000 --> 1:12:27.000]  So years ago, for example, there was a Connecticut agency that didn't want to book publish.
[1:12:27.000 --> 1:12:30.000]  So it put pressure on a book publisher not to publish the book.
[1:12:30.000 --> 1:12:31.000]  The publisher didn't publish it.
[1:12:31.000 --> 1:12:33.000]  The U.S. Supreme Court said, that's illegal.
[1:12:33.000 --> 1:12:35.000]  That's a First Amendment violation.
[1:12:35.000 --> 1:12:42.000]  The moment you have government involvement in any suppression or censorship of speech or press or the right to petition your government,
[1:12:42.000 --> 1:12:45.000]  you then have a constitutional violation.
[1:12:45.000 --> 1:12:52.000]  You then have collusion that violates the law that is outside of the limits of Section 230 immunity.
[1:12:52.000 --> 1:12:59.000]  And that's the suit that Bobby Kennedy brought because they had Fauci himself saying, please shut up Bobby Kennedy and similar organization.
[1:12:59.000 --> 1:13:03.000]  Bobby Kennedy was specifically named by the government to target.
[1:13:03.000 --> 1:13:07.000]  And they dodged it at the lower court level because they said it wasn't real collusion.
[1:13:07.000 --> 1:13:09.000]  It was only kind of collusion.
[1:13:09.000 --> 1:13:16.000]  Well, the problem is you can't have a disinformation governance board being present and being publicly known at the time the case.
[1:13:16.000 --> 1:13:17.000]  And here's where she's in trouble now.
[1:13:17.000 --> 1:13:25.000]  She's on record as of last week running her stupid mouth admitting that she was secretly working for a year with Homeland Security already.
[1:13:25.000 --> 1:13:26.000]  Exactly.
[1:13:26.000 --> 1:13:30.000]  And there's no question that one of their primary targets was Bobby Kennedy and Children's Health Defense.
[1:13:30.000 --> 1:13:35.000]  So that's why they had to try to get rid of it and claim that they're not going to do that anymore.
[1:13:35.000 --> 1:13:40.000]  When in fact they're going to continue to do it, they're just going to try to do it a little quieter than they were publicly doing it.
[1:13:40.000 --> 1:13:47.000]  So the but it was only because it's what I tell people why you should file suits that are even maybe tough to win in court.
[1:13:47.000 --> 1:13:49.000]  You might have judicial bias you have to deal with.
[1:13:49.000 --> 1:13:58.000]  It's still fighting for your civil rights and your civil liberties still matters because because of Bobby Kennedy's suit, they couldn't continue to publicly allow that organization.
[1:13:58.000 --> 1:14:04.000]  And let's be clear whether it was the CDC saying they controlled all rents in America or so many other things by fighting.
[1:14:04.000 --> 1:14:05.000]  We've been beating them.
[1:14:05.000 --> 1:14:07.000]  We have turned the tide here, not in other countries.
[1:14:07.000 --> 1:14:10.000]  People say, why do you love America so much? Well, we're the best house in a bad neighborhood.
[1:14:10.000 --> 1:14:13.000]  We are still the best and we're an example of the world.
[1:14:13.000 --> 1:14:18.000]  It's why it's so important we fight harder now than ever.
[1:14:18.000 --> 1:14:19.000]  Absolutely.
[1:14:19.000 --> 1:14:22.000]  And it's thanks to the audience at Infowars that Infowars is still alive.
[1:14:22.000 --> 1:14:27.000]  And now people are seeing what we said from the get go.
[1:14:27.000 --> 1:14:34.000]  People were going to come after Infowars with the goal being to prevent the audience from wanting to support Infowars so that they wouldn't go to Infowars store.
[1:14:34.000 --> 1:14:38.000]  They wouldn't support it with purchasing products. They wouldn't support it by sharing links.
[1:14:38.000 --> 1:14:43.000]  They wouldn't continue to try to get outside the matrix and share rent bills with everybody possible.
[1:14:43.000 --> 1:14:48.000]  And it's thanks to ordinary people continuing to buy products that make them better anyway.
[1:14:48.000 --> 1:14:49.000]  They make them healthier.
[1:14:49.000 --> 1:14:53.000]  They make them better off that are more affordable than what's on the private marketplace.
[1:14:53.000 --> 1:14:56.000]  So it's all win, win, win, but they didn't think that would happen.
[1:14:56.000 --> 1:15:03.000]  They thought they would be able to suppress it and they had to because their goal was to go after more and more people after that.
[1:15:03.000 --> 1:15:06.000]  It was start with Alex Jones, then it goes to Donald Trump.
[1:15:06.000 --> 1:15:12.000]  Now it goes to anybody who dissents if it's Robert Kennedy, if it's Elon Musk, if it's even Jeff Bezos.
[1:15:12.000 --> 1:15:16.000]  I mean, Bezos is next if he keeps talking out against the Biden ministry.
[1:15:16.000 --> 1:15:22.000]  Well, that's right. I knew I wasn't that important five years ago when they started thousands of articles a week, hundreds of shows a week.
[1:15:22.000 --> 1:15:24.000]  I knew it was for everybody else.
[1:15:24.000 --> 1:15:26.000]  And then the documents came out in the Wall Street Journal.
[1:15:26.000 --> 1:15:27.000]  They were planning it for everybody.
[1:15:27.000 --> 1:15:34.000]  They even had a NATO intelligence summit with them naming us by name and saying we're going to get everybody after we get WikiLeaks and Info Wars.
[1:15:34.000 --> 1:15:38.000]  And the left and right doesn't stand up for these people. We will get them all.
[1:15:38.000 --> 1:15:39.000]  They said that.
[1:15:39.000 --> 1:15:41.000]  Exactly. They set the precedent.
[1:15:41.000 --> 1:15:44.000]  They set the table to do this to everybody.
[1:15:44.000 --> 1:15:49.000]  And it's why it's so important and so valuable that people keep programs like Info Wars alive.
[1:15:49.000 --> 1:15:51.000]  Robert Barnes, stay there, my friend.
[1:15:51.000 --> 1:15:56.000]  I want to come back and talk about inflation, Ukraine, the election coming up and so much more.
[1:15:56.000 --> 1:15:58.000]  Stay with us.
[1:16:27.000 --> 1:16:33.000]  Go to infowarstore.com and read about these compounds and the ingredients for yourself and then try it for yourself.
[1:16:33.000 --> 1:16:38.000]  Now, the formula is made for men, but it does amazing things for women as well.
[1:16:38.000 --> 1:16:40.000]  Find out what just one of the ingredients does.
[1:16:40.000 --> 1:16:43.000]  LJ100 and then go on from there.
[1:16:43.000 --> 1:16:44.000]  Alpha Power.
[1:16:44.000 --> 1:16:46.000]  Exclusively available right now.
[1:16:46.000 --> 1:16:50.000]  40% off at infowarstore.com and it funds the info war.
[1:16:50.000 --> 1:16:52.000]  You are really missing out.
[1:16:52.000 --> 1:16:54.000]  If you don't experience what Alpha Power does,
[1:16:54.000 --> 1:16:56.000]  it has improved my life and so many others.
[1:16:56.000 --> 1:16:58.000]  It's just incredible levels.
[1:16:58.000 --> 1:17:03.000]  Ladies and gentlemen, we have contracted with one of the top companies in the United States.
[1:17:03.000 --> 1:17:07.000]  It supplies the Pentagon, the military, the CIA, the FBI, you name it.
[1:17:07.000 --> 1:17:15.000]  With super high quality Faraday cages for cell phones, laptops, iPads, even huge bags for multiple desktops.
[1:17:15.000 --> 1:17:18.000]  This is so critical, ladies and gentlemen.
[1:17:18.000 --> 1:17:21.000]  Going into the future with contact tracers and the New World Order.
[1:17:21.000 --> 1:17:23.000]  Everything is about tracking you and your family.
[1:17:23.000 --> 1:17:26.000]  And we have this high quality Made America product line.
[1:17:26.000 --> 1:17:33.000]  Exclusively available, private labeled by us, known as Redux at infowarstore.com.
[1:17:33.000 --> 1:17:36.000]  So go to infowarstore.com and check out Redux.
[1:17:36.000 --> 1:17:38.000]  It's our first big run.
[1:17:38.000 --> 1:17:41.000]  We've made a major investment to have this produced and ready.
[1:17:41.000 --> 1:17:47.000]  And it's now exclusively available to you at a very low price at infowarstore.com.
[1:17:47.000 --> 1:17:52.000]  Protect your privacy from government, the UN, globalist contact tracers, hackers, criminals, you name it.
[1:17:52.000 --> 1:17:57.000]  With Redux, exclusively available at infowarstore.com.
[1:17:57.000 --> 1:18:01.000]  We are now proud to release the Redux line of Faraday bags.
[1:18:01.000 --> 1:18:06.000]  This line features quick roll down and Velcro seal closures with discrete branding.
[1:18:06.000 --> 1:18:13.000]  With six different sizes to choose from, they have a signature reduction solution for all of your electronic device needs.
[1:18:13.000 --> 1:18:22.000]  Redux specializes in quick access weatherproof nylon Faraday bags with signal blocking Faraday shielding technology.
[1:18:22.000 --> 1:18:29.000]  Specifically designed for electronic devices, carried in unsecured locations to instantly block all wireless signals
[1:18:29.000 --> 1:18:34.000]  and protect them from remote wiping, tracking and tampering.
[1:18:34.000 --> 1:18:46.000]  Redux is dedicated to producing and selling cost-effective signature reduction products for professionals needing to secure devices from wireless threats and more.
[1:18:46.000 --> 1:18:58.000]  So check out Redux to instantly block cellular Wi-Fi, Bluetooth, RFID, camera, EMP, weather and even GPS today.
[1:18:58.000 --> 1:19:05.000]  You see this? It's an info wars republic defense card with original info wars art designed by yours truly
[1:19:05.000 --> 1:19:10.000]  with a little gold bar implanted in it and on the back it's got a hologram.
[1:19:10.000 --> 1:19:14.000]  There are only 25,000 of these in existence and they'll never be made again.
[1:19:14.000 --> 1:19:18.000]  The bank that owns the Mint that has started putting these out the last few years
[1:19:18.000 --> 1:19:25.000]  just sold out of 300,000 of a similar offering that was 40% more than what we're selling this for.
[1:19:25.000 --> 1:19:29.000]  And when you get three or more you can get these at 50% off and they fund the info war.
[1:19:29.000 --> 1:19:34.000]  Please visit info wars store.com and check out this amazing new art slash gold product.
[1:19:34.000 --> 1:19:40.000]  It's a collector's item and you'll know you helped fund the Second American Revolution against the globalist at such a critical point.
[1:19:40.000 --> 1:19:44.000]  Get your gold bars and so much more exclusively at info wars store.com
