[00:00:08.820 --> 00:00:13.774]  Crashing through the lies and disinformation, it's Alex Jones.
[00:28:06.816 --> 00:28:12.279]  Or that I've done and said all these wild things because they can't deal with the reality.
[00:28:14.113 --> 00:28:21.900]  And so instead, they just try to overthrow reality and demonize anybody that stands up for what's right or what's true.
[00:28:21.900 --> 00:28:25.223]  So they're rewriting history.
[00:28:25.223 --> 00:28:30.668]  And they're doing it so that we can't have a victory that Trump got in, so that we lower our morale.
[00:28:30.668 --> 00:28:39.637]  And so that instead of people going, wow, InfoWars, as an audience of activists, rebooted Americana and built a platform for Trump to get in,
[00:28:41.775 --> 00:28:52.661]  Instead of having that victory, going, wow, look what we did, they changed the subject into a bunch of made-up stuff we never did, and then make us fight for our very existence, because they don't want to have to contend with us into the future.
[00:28:52.661 --> 00:28:59.504]  And that's why InfoWars is so precious, and why I thank you for your support, because you are the InfoWar.
[00:28:59.504 --> 00:29:05.767]  We're bringing back one of the biggest fan-favorite formulas we've ever offered, with even better ingredients.
[00:29:05.767 --> 00:29:06.808]  Ultimate Bone Broth.
[00:29:08.544 --> 00:29:15.128]  Info Wars Life is proud to bring you a powerhouse bone broth formula to help push you to your limits.
[00:29:15.128 --> 00:29:24.212]  This incredible formula will help you get the most out of your workout with the power of ultra-high quality bone broth, one of the most popular health trends on the planet.
[00:29:24.212 --> 00:29:36.039]  Built with more than seven different superfoods and crucial compounds, Ultimate Bone Broth will help support your healthy muscles, digestion, tendons and ligaments, while also supporting your body's fight against free radicals.
[00:29:36.639 --> 00:29:48.586]  This incredible chicken bone broth formula contains time-tested ingredients such as turmeric root, chaga mushroom, goji berry powder, bee pollen, and alfalfa herb powder to support your body.
[00:29:48.586 --> 00:29:52.308]  It's time to experience what Ultimate Bone Broth can do for you.
[00:29:52.308 --> 00:29:57.611]  Get a bottle of the all-new version of a fan favorite product today at InfoWarsStore.com.
[00:30:00.137 --> 00:30:07.827]  Do you realize that when you spread the links from InfoWars.com, when you spread the videos, you are changing the world?
[00:30:07.827 --> 00:30:08.307]  It's you!
[00:30:09.406 --> 00:30:11.907]  That's why you've been on the team supporting us, praying for us, and spreading the word.
[00:30:11.907 --> 00:30:13.288]  You are the InfoWarrant.
[00:30:13.288 --> 00:30:16.189]  And now because of their intensifying censorship, it's more important than ever
[00:30:30.555 --> 00:30:35.378]  That everyone go to InfoWars.com forward slash newsletter and sign up via email.
[00:30:35.378 --> 00:30:41.943]  So there's no way the censors can get between us with critical videos, articles, breaking news, intel, you name it.
[00:30:41.943 --> 00:30:49.908]  And so now I ask you more than ever to share the InfoWars.com articles, to share the videos, to tell people about the local stations you're listening to.
[00:30:49.908 --> 00:30:56.953]  The bare minimum you can do is sign up for the free newsletter at InfoWars.com forward slash newsletter.
[00:30:56.953 --> 00:30:59.715]  We are the Renaissance and we are winning!
[00:31:05.106 --> 00:31:07.468]  The Real Red Pill Plus, ladies and gentlemen.
[00:31:07.468 --> 00:31:10.891]  Our team is constantly on the lookout for newer and better ways to improve our products.
[00:31:10.891 --> 00:31:17.256]  That's why we're bringing you a brand new version of one of the newest fan-favorite products, The Real Red Pill Plus.
[00:31:17.256 --> 00:31:22.781]  The Real Red Pill Plus is an all-new version of the powerhouse preglanone product.
[00:31:22.781 --> 00:31:30.468]  It features the same great formula that supports your heart, brain, healthy aging process, with an all-new natural caffeine boost included.
[00:31:30.908 --> 00:31:37.352]  A powerful preglanone base, the Real Red Pill, has quickly become one of our fellow InfoWarriors' favorite products.
[00:31:37.352 --> 00:31:47.739]  Now, with an extra proprietary energy blend inside, including green tea extract, yerba mate, leaf extract, and more, you can get that extra pick-me-up while supporting your mind and body in a healthy way.
[00:31:47.739 --> 00:31:50.500]  It's got all the great stuff that Real Red Pill has.
[00:31:50.500 --> 00:31:52.441]  It's also got the boost that it.
[00:31:52.441 --> 00:31:55.723]  Get the Real Red Pill Plus at InfoWarStore.com.
[00:32:02.273 --> 00:32:11.697]  One of the most incredible cups of coffee can be found in the high mountains of southern Mexico, where the Chiapas farmers have spent years perfecting their techniques.
[00:32:11.697 --> 00:32:23.122]  Based on hundreds of years of traditional techniques and perfect conditions, we've sourced only the best to provide you with our immune support and Wake Up America Patriot Blend Coffee.
[00:32:23.122 --> 00:32:28.725]  Ancient Mayan knowledge is paired with the natural fertility of the land to generate the world's finest coffee beans.
[00:32:29.065 --> 00:32:40.531]  Carefully harvested and free of toxic chemicals used in big agricultural productions, Patriot Blend coffees have a smooth, bold flavor with great depth to give you just what you need in the morning.
[00:32:40.531 --> 00:32:48.716]  You can even choose to start your morning healthier with the Immune Support Blend, infused with a powerful blend to support your immune response and stamina.
[00:32:48.716 --> 00:32:51.217]  It's time to take care of your morning routine.
[00:32:51.217 --> 00:32:56.900]  Get a bag of Patriot Blend coffee to support the show while enhancing your morning routine at InfoWarsStore.com.
[00:33:02.924 --> 00:33:05.567]  You're listening to the Alex Jones Show!
[00:33:31.929 --> 00:33:36.093]  If you are receiving this transmission, you are the resistance.
[00:33:36.093 --> 00:33:42.858]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:33:51.081 --> 00:34:07.149]  By the way, coming up next segment, remember last week in Portland, Oregon, there were all these white people, mainly, in black outfits, screaming at other white people, driving through city streets, calling them white pieces of garbage, and other names I can't say on radio, and beating their cars with metal clubs.
[00:34:08.567 --> 00:34:14.472]  Which the Portland Police, who were funded by Soros as well, just sat back approvingly and watched.
[00:34:14.472 --> 00:34:24.981]  Well, they had another Patriot Prayer March, I guess the fourth they've had, and the leftists attacked them yet again, and the media spun it that, well, there was just a big brawl.
[00:34:24.981 --> 00:34:27.803]  Bear spray, bloody brawls, at Patriot Prayer.
[00:34:29.444 --> 00:34:32.245]  Law and Order March in Portland.
[00:34:32.245 --> 00:34:38.448]  So next segment we'll have some of that video and some of that audio coming up for radio and TV listeners.
[00:34:38.448 --> 00:34:54.775]  And as I told you, we will get into what's really going on with the whole Saudi Arabia thing that's blown up over the death of this journalist and what the high-level sources and others believe is really going on.
[00:34:54.775 --> 00:34:56.976]  Now, let me
[00:34:58.186 --> 00:35:17.896]  Pull back here from the table real quick and get into something that's really central to what we're facing with 23 days out from this incredible midterm election.
[00:35:17.896 --> 00:35:24.600]  It is known that under the globalist model,
[00:35:25.765 --> 00:35:37.312]  The Western power elite made a deal with Communist China to give them control of the world's resources and industrial might, but that the United States would have control over military might.
[00:35:37.312 --> 00:35:43.917]  But that's how they got a lot of academics and other people on board.
[00:35:43.917 --> 00:35:48.500]  Believing they were really building this big world government, that it wasn't a Chai Kom double-cross.
[00:35:48.500 --> 00:35:51.702]  But in the last six years, China double-crossed
[00:35:53.103 --> 00:35:56.625]  The West, which they were meant to do by the globalists.
[00:35:56.625 --> 00:36:07.911]  And our own military almost went into revolt mode over aiding the Arab Spring to have them take over Africa and the Middle East.
[00:36:07.911 --> 00:36:12.033]  And then to let China take over the rest of the world militarily.
[00:36:12.033 --> 00:36:12.593]  After the U.S.
[00:36:12.593 --> 00:36:18.236]  had been bankrupted and basically brought down to its knees.
[00:36:18.236 --> 00:36:19.257]  And yeah, there's Bloomberg.
[00:36:19.257 --> 00:36:21.498]  China is low-key taking over the world.
[00:36:23.763 --> 00:36:25.183]  And that means authoritarianism.
[00:36:25.183 --> 00:36:27.664]  That means people that sell their political dissidents organs.
[00:36:27.664 --> 00:36:35.125]  That means people that give big megacorporations total tax exemption to be based there so that no one else can compete with them.
[00:36:35.125 --> 00:36:39.746]  They're the folks putting spy chips in all the major devices made in China with Apple and others.
[00:36:39.746 --> 00:36:41.166]  Full acknowledgement.
[00:36:41.166 --> 00:36:43.267]  They're the ones working with Google.
[00:36:43.267 --> 00:36:45.927]  Oh, I saw this on Friday and I never got to it.
[00:36:45.927 --> 00:36:48.828]  Will you guys print that for me too?
[00:36:48.828 --> 00:36:49.708]  The article.
[00:36:49.708 --> 00:36:50.888]  It was just a headline.
[00:36:52.190 --> 00:37:10.326]  about Google head says that there's a lot of benefits to censored Chinese search engine and promotes a censored search engine to Congress saying to them you're the ruling class this could really help you take control
[00:37:11.619 --> 00:37:14.021]  See, they really mean business.
[00:37:14.021 --> 00:37:14.721]  Yeah, there it is.
[00:37:14.721 --> 00:37:22.206]  Google CEO tells Senators the censored Chinese search engine could provide broad benefits.
[00:37:22.206 --> 00:37:25.048]  Did you hear that?
[00:37:25.048 --> 00:37:33.173]  That's like selling Zyklon B to Hitler in 1944 and saying it has broad benefits.
[00:37:33.173 --> 00:37:39.918]  Or maybe selling lighter fluid to the KKK so they can burn crosses.
[00:37:44.346 --> 00:37:48.228]  You know, I don't even think I have words at this point.
[00:37:48.228 --> 00:37:52.891]  It's almost obscene to even be on air talking about this and just acting normal about it.
[00:37:52.891 --> 00:37:54.432]  Because it's this weird paradox.
[00:37:54.432 --> 00:37:59.795]  It almost makes it no big deal and like it's the rest of the media to just talk about this.
[00:37:59.795 --> 00:38:12.742]  Like, oh, this has as much importance as OJ Simpson or as much importance as some politician.
[00:38:12.742 --> 00:38:13.282]  When it doesn't.
[00:38:15.657 --> 00:38:17.759]  I mean, this isn't just your normal hype.
[00:38:17.759 --> 00:38:18.680]  This is the real world.
[00:38:18.680 --> 00:38:24.907]  This is our own elite sold us out to the most murderous authoritarian dictatorship the world's ever seen.
[00:38:26.328 --> 00:38:47.866]  And you've got thousands of conservative sites being purged off Google, YouTube, Facebook, Twitter a day, and now they don't even say it's for fake news, or because you violated our terms, they say, we just say you're spam, totally subjective term, and we remove you, and there is one, one thousandth.
[00:38:47.866 --> 00:38:50.268]  That's probably conservative.
[00:38:50.268 --> 00:38:52.390]  There's almost no coverage.
[00:38:53.644 --> 00:39:06.488]  Of NRA Facebook sites, and conservative newspaper sites, and conservative talk show host sites, and, like I said, Michelle Malkin, just you name it, Tucker Carlson fan sites.
[00:39:06.488 --> 00:39:20.332]  They're all being removed, and the reason is because we felt like it, and Facebook and Twitter and Google and YouTube all meet at Twitter headquarters every week to decide who they're going to target and who they're going to take down.
[00:39:24.389 --> 00:39:29.872]  And it's not even a news item.
[00:39:29.872 --> 00:39:33.414]  It's not even an issue.
[00:39:33.414 --> 00:39:36.876]  It doesn't even make the radar screen.
[00:39:36.876 --> 00:39:38.477]  You know, what did I tell everybody six weeks ago?
[00:39:39.907 --> 00:39:42.028]  And most people got it, but a lot of talk show hosts didn't.
[00:39:42.028 --> 00:39:53.836]  I said, you know, when they're done deplatforming me everywhere, they're going to go after the payment processors then and harass companies until they say that if I owned a gas station, I couldn't have credit card processing.
[00:39:53.836 --> 00:39:58.860]  That they're going to say, you can't come buy products from me and give me money for a product.
[00:39:58.860 --> 00:40:03.223]  They're literally getting in front of the services and saying, we're going to target every group
[00:40:03.923 --> 00:40:13.731]  Out there, we're going to look at the code on your shopping cart, and we're going to contact them and harass them until they don't do business, until you go bankrupt, because we want to shut your speech down.
[00:40:13.731 --> 00:40:17.054]  Oh, but it's not censorship.
[00:40:17.054 --> 00:40:25.421]  And we're going to work with authoritarians all over the world to do this.
[00:40:25.421 --> 00:40:29.544]  And then now, they're announcing
[00:40:35.279 --> 00:40:39.261]  That starting in California is a beta test.
[00:40:39.261 --> 00:40:50.925]  They've got a database of NRA members and they're going to start, A, not letting you work in government, not letting you get government contracts, but then they're going to start taking your bank accounts too.
[00:40:52.182 --> 00:41:03.747]  And I'm sure average Americans will just turn their gun in, right, and tear up your NRA membership and bow down because we shouldn't sue or protest or say no to the left and George Soros and his groups terrorizing everybody.
[00:41:03.747 --> 00:41:08.849]  We should just stick our thumbs in our mouths and get in a fetal position and urinate all over ourselves.
[00:41:08.849 --> 00:41:13.411]  Because see, they demonized me for a couple years.
[00:41:14.650 --> 00:41:22.412]  They didn't put me in hundreds of thousands of articles on every TV show and have HBO shows and Showtime shows with characters based on me that were horrible people.
[00:41:22.412 --> 00:41:23.932]  They didn't do that because I was that important.
[00:41:23.932 --> 00:41:37.695]  They chose me because I was big and prolific to destroy.
[00:41:37.695 --> 00:41:43.857]  And then once they did that, no one is even going to cover it when it happens to you.
[00:41:45.809 --> 00:41:49.272]  Our audience understood this, and they got involved and they weren't upset.
[00:41:49.272 --> 00:42:08.386]  But you need to call Congress, you need to go to your state reps' offices, you need to go everywhere, and come in with the NRA, CBS News, members being harassed, and Democrats using databases and doxing people, and Congress being harassed and being doxed by the Democrats, and the thousands of conservative sites being banned, and the Democrats working in concert
[00:42:09.534 --> 00:42:29.508]  And understand, we have to have the political will to say no to these criminals or they're never going to back down because they take our acquiescence as a green light to rape the living snot out of all of us.
[00:42:29.508 --> 00:42:33.371]  So I'm not worried about Infowars, I'm worried about all of us.
[00:42:33.371 --> 00:42:37.854]  Because when I got banned, it became a huge news story.
[00:42:39.397 --> 00:42:43.001]  But now it's happening to others, and again, it's old news.
[00:42:43.001 --> 00:42:45.404]  You gotta give it to the psychological warfare chiefs.
[00:42:45.404 --> 00:42:48.948]  They knew what they were doing, didn't they?
[00:42:48.948 --> 00:42:50.410]  They really did.
[00:42:50.410 --> 00:42:54.354]  And now they're gonna try to take everything you've got, everything I've got.
[00:42:54.354 --> 00:42:56.417]  This is real authoritarianism.
[00:42:56.417 --> 00:42:57.698]  This is cancer.
[00:42:57.698 --> 00:42:59.200]  We either cut it out or die.
[00:42:59.480 --> 00:43:03.423]  Living in volcano may sound more dramatic than it really is.
[00:43:03.423 --> 00:43:06.706]  The real drama can be found here in Leilani Estates.
[00:43:06.706 --> 00:43:12.971]  But a lot of us on the big island rely on rainwater and we need to be concerned about ash and acid rain.
[00:43:12.971 --> 00:43:15.753]  Volcanic ash may contain heavy metal particles.
[00:43:16.494 --> 00:43:20.296]  An acid rain could lower the pH of the water to unhealthy levels.
[00:43:20.296 --> 00:43:26.781]  To find out, we employed a series of tests for heavy metals, alkalinity, and pH.
[00:43:26.781 --> 00:43:31.744]  What we learned was that there was in fact unhealthy levels of heavy metals and acidity in the rainwater.
[00:43:32.495 --> 00:43:36.417]  Next, we tested the water from our Alexa Pure gravity filter.
[00:43:36.417 --> 00:43:43.621]  And not only were the heavy metal levels within safe measure, but the pH was also restored to optimal levels.
[00:43:43.621 --> 00:43:48.764]  As it turns out, the filter on the Alexa Pure raises the pH of the water.
[00:43:48.764 --> 00:43:54.527]  So what we've learned is that volcanic ash and acid rain can contaminate a rainwater supply.
[00:43:54.527 --> 00:43:58.509]  But more importantly, a good water filtration system will purify it.
[00:43:59.423 --> 00:44:02.144]  Stress is a natural part of life.
[00:44:02.144 --> 00:44:08.468]  Work, family, friends, and everyday accidents can put a lot of strain on the body and your mood.
[00:44:08.468 --> 00:44:10.228]  Don't let life weigh you down.
[00:44:10.228 --> 00:44:17.092]  Happies is a powerful mood and stress support formula that has your back against life's daily inconveniences.
[00:44:17.092 --> 00:44:23.255]  Made with ancient ingredients used for thousands of years, Happies can help you take back the day.
[00:44:23.255 --> 00:44:29.018]  With our powerhouse formula, Happies can be an important part of your daily supplement routine.
[00:44:29.338 --> 00:44:37.602]  With poor diet and the constant on and off of your work life, it's more important than ever to support your body in the fight against stress.
[00:44:37.602 --> 00:44:48.487]  With powerful ingredients combined to help support the mind and body, Happies helps support during stress, promotes overall well-being, and helps support your mood.
[00:44:48.487 --> 00:44:50.608]  Don't live your life bogged down.
[00:44:50.608 --> 00:44:56.691]  Help your body overcome the effects of daily stress and pressure today with Happies from InfoWarsStore.com.
[00:45:00.259 --> 00:45:03.864]  InfoWars Life is bringing you a breakthrough in modern medicine.
[00:45:03.864 --> 00:45:05.627]  Introducing Pollen Block.
[00:45:05.627 --> 00:45:16.922]  We have found an extraordinary new, natural way to alleviate seasonal distress symptoms, including promoting clear nasal and sinus passageways, eye comfort, and respiratory function.
[00:45:17.683 --> 00:45:26.847]  In the 1960s, researchers in France noticed that people who ate certain quail eggs experienced less seasonal immune and inflammatory responses.
[00:45:26.847 --> 00:45:32.809]  They began studying this effect in published trials, and decades later, we now have the fruit of this research.
[00:45:32.809 --> 00:45:37.911]  A fast-acting, chewable tablet that helps alleviate seasonal distress symptoms.
[00:45:37.911 --> 00:45:40.152]  Pollen Block is natural and effective.
[00:45:40.532 --> 00:45:42.252]  It is not an antihistamine.
[00:45:42.252 --> 00:45:52.235]  In fact, current research has found that it actually acts by blocking the activity of tryptase, which is an enzyme that amplifies immune and inflammatory responses in the body.
[00:45:52.235 --> 00:45:54.895]  Go outside and enjoy the air you breathe.
[00:45:54.895 --> 00:45:59.597]  Head to Infowarslife.com and grab a pack of our Pollen Block chewable tablets.
[00:46:01.690 --> 00:46:06.492]  We were selling it for about three years, and then they found out how big it was and how much we were buying.
[00:46:06.492 --> 00:46:09.634]  And they said, oh, we want more money, more money, and oh, this and that.
[00:46:09.634 --> 00:46:11.655]  And so I've broken my contract.
[00:46:11.655 --> 00:46:16.477]  But right now, we can't get more of this proprietary ingredient that goes in next to it.
[00:46:16.477 --> 00:46:22.100]  It literally is so pure that if you put it in a pinker dish on top of a 90 degree hot plate, it gasses.
[00:46:22.100 --> 00:46:23.441]  Like, I dream of Jeannie in this.
[00:46:23.441 --> 00:46:24.301]  It's purple gas.
[00:46:24.301 --> 00:46:27.683]  I mean, that is so pure, it just goes right into your body when you take it.
[00:46:27.683 --> 00:46:29.704]  We're working on trying to get other suppliers right now, but
[00:46:30.764 --> 00:46:33.186]  I bought a huge amount of it.
[00:46:33.186 --> 00:46:34.347]  Ordered it six months ago.
[00:46:34.347 --> 00:46:35.908]  So I get the price down.
[00:46:35.908 --> 00:46:37.649]  I said, if you don't lower it, I'm done.
[00:46:37.649 --> 00:46:38.890]  I'm breaking the contract.
[00:46:38.890 --> 00:46:40.852]  Well, I broke the contract last week.
[00:46:40.852 --> 00:46:43.233]  And so this is potentially the last run.
[00:46:43.233 --> 00:46:47.036]  In fact, right now it is the last run of Survival Shield X2.
[00:46:47.036 --> 00:46:48.537]  And we've got a good supply of it.
[00:46:48.537 --> 00:46:50.498]  It'll be gone a couple months.
[00:46:50.498 --> 00:46:53.220]  X2, if you haven't experienced it, InfoWarshore.com.
[00:46:53.220 --> 00:46:55.082]  If you have experienced it, you know how great it is.
[00:46:55.082 --> 00:46:56.503]  I suggest you stock up on it.
[00:46:56.503 --> 00:46:57.884]  It's available right now for a limited time.
[00:46:57.884 --> 00:46:59.185]  InfoWarshore.com.
[00:46:59.185 --> 00:46:59.465]  Right now.
[00:47:03.846 --> 00:47:20.634]  You're listening to The Alex Jones Show.
[00:47:20.634 --> 00:47:23.675]  Oh, we got big breaking news next hour.
[00:47:23.675 --> 00:47:25.396]  On multiple fronts.
[00:47:25.396 --> 00:47:26.757]  You wanna stop tyranny?
[00:47:26.757 --> 00:47:27.317]  Crank it up!
[00:47:28.664 --> 00:47:29.405]  And spread the word.
[00:47:29.405 --> 00:47:31.046]  They want to stop tyranny?
[00:47:31.046 --> 00:47:32.707]  Well, so does he.
[00:47:32.707 --> 00:47:39.771]  Live from the InfoWars.com studios, it's Alex Jones.
[00:47:39.771 --> 00:47:45.915]  Well, one reason they want to shut down InfoWars is Roger Stone has broken hundreds of giant stories here on air.
[00:47:45.915 --> 00:47:54.421]  He just confirmed from multiple high-level Democratic sources that there is a plan afoot to remove Nancy Pelosi.
[00:47:55.902 --> 00:48:05.906]  And raise a hundred million dollars for a particular Florida congressman to push to be the leader of the Democratic Party in the House.
[00:48:05.906 --> 00:48:08.688]  We want to sow dissension into that.
[00:48:08.688 --> 00:48:10.268]  And we want to blow this wide open.
[00:48:10.268 --> 00:48:15.931]  That walking mummy, Crypt Keeper Pelosi, is a demon from hell.
[00:48:15.931 --> 00:48:21.993]  But the person trying to replace her is a total anti-God, anti-free speech monster.
[00:48:21.993 --> 00:48:23.454]  Who's called for us to be politically
[00:48:24.938 --> 00:48:26.039]  Silenced.
[00:48:26.039 --> 00:48:28.660]  And is a complete liar.
[00:48:28.660 --> 00:48:34.423]  And so we want to keep her up there as long as possible.
[00:48:34.423 --> 00:48:35.203]  Hillary too.
[00:48:35.203 --> 00:48:37.504]  I'm so glad she plans to steal the nomination again.
[00:48:37.504 --> 00:48:43.767]  And I mean, I'm not glad she's a criminal, but I'm glad it's her because people know how bad she is.
[00:48:43.767 --> 00:48:48.150]  In fact, there's an article out today on Infowars.com from Politico.
[00:48:48.150 --> 00:48:52.632]  Top Democrats say Hillary Clinton has the stench of death.
[00:48:54.531 --> 00:48:55.732]  For the Democratic Party.
[00:48:55.732 --> 00:49:01.356]  And they talk about how she stinks like a rotting pile of corpses.
[00:49:01.356 --> 00:49:03.458]  Who introduced that idea?
[00:49:03.458 --> 00:49:14.767]  It's well known that Hillary has such hatred for people that FBI agents and Secret Service that have worked around her say she routinely smells like a rotting fish.
[00:49:16.041 --> 00:49:19.704]  And I've had Bill Clinton's former girlfriend on that knew her before Hillary took over.
[00:49:19.704 --> 00:49:22.246]  Said when she first met her, she totally stunk.
[00:49:22.246 --> 00:49:27.411]  Because psychopaths, mousetongue never bathed.
[00:49:27.411 --> 00:49:29.993]  He had sex with like nine women a day, reportedly.
[00:49:29.993 --> 00:49:34.097]  But the issue is, he did it on purpose because he didn't care about you.
[00:49:38.547 --> 00:49:41.529]  Hillary Clinton viewed as kiss of death for Democratic candidates.
[00:49:41.529 --> 00:49:46.551]  Democrats don't want her to campaign for them because everywhere she goes carries the stench of death.
[00:49:46.551 --> 00:49:47.652]  Politico, Breitbart.
[00:49:47.652 --> 00:49:48.432]  See?
[00:49:48.432 --> 00:49:51.734]  Next year's news today.
[00:49:51.734 --> 00:49:54.075]  We even have that intro video.
[00:49:54.075 --> 00:49:55.616]  Let's pull it in there next hour.
[00:49:55.616 --> 00:49:56.596]  Ooh, that smell.
[00:49:56.596 --> 00:50:02.920]  Maybe at the start of the next segment, a little no man's land right at the start of the hour.
[00:50:02.920 --> 00:50:05.681]  Kiss of death.
[00:50:05.681 --> 00:50:06.642]  I want to get into
[00:50:08.035 --> 00:50:25.855]  The Democrats and the weird psyops they run because everyone knows that the Democrats are selling incredible violence, political violence, bullying, aggressiveness, economic warfare, marching in women who all the witnesses say are lying.
[00:50:25.855 --> 00:50:29.399]  None of the witnesses can corroborate any of it.
[00:50:32.944 --> 00:50:39.988]  Saying that Kavanaugh raped him or Kavanaugh did this on a boat or this person did that and it all turns out to not be true?
[00:50:39.988 --> 00:50:46.651]  So what do you do when you've been so nasty and Trump's calling you out as an angry mob?
[00:50:46.651 --> 00:50:51.034]  Well, you start saying we've been so nice.
[00:50:51.034 --> 00:50:53.295]  We've been wearing gloves.
[00:50:53.295 --> 00:50:55.056]  We have just been a bunch of pansies.
[00:51:01.172 --> 00:51:03.714]  And, you know, but we're going to have to get nasty now.
[00:51:03.714 --> 00:51:06.295]  Say, oh, we weren't nasty, but now we are.
[00:51:06.295 --> 00:51:12.839]  It's like saying, you know, the devil says, well, I wasn't Lucifer, but I am now.
[00:51:12.839 --> 00:51:13.540]  There's Trump's tweet.
[00:51:15.356 --> 00:51:20.759]  You don't hand matches to an arsonist, and you don't give power to an angry left-wing mob.
[00:51:20.759 --> 00:51:24.121]  Democrats have become too extreme and too dangerous to govern.
[00:51:24.121 --> 00:51:30.044]  Republicans have to believe in the rule of law, not the raw rule of the mob.
[00:51:30.044 --> 00:51:31.444]  Vote Republican.
[00:51:31.444 --> 00:51:35.646]  Suddenly can't read these days, but that's fine, because we're in such strange times.
[00:51:35.646 --> 00:51:37.447]  I'm going to read that again.
[00:51:37.447 --> 00:51:39.588]  Read that again.
[00:51:39.588 --> 00:51:44.351]  We don't really understand what we're dealing with here, do we?
[00:51:47.062 --> 00:51:49.003]  No, I don't think we do.
[00:51:49.003 --> 00:51:55.786]  And it's just the sheer magnitude of how much trouble we're in makes me just get angry because it's just gone way too far.
[00:51:55.786 --> 00:51:58.587]  Let me try this again and see how it goes.
[00:51:58.587 --> 00:52:05.691]  You don't hand matches to an arsonist and you don't give power to an angry left-wing mob.
[00:52:05.691 --> 00:52:09.172]  Democrats have become too extreme and too dangerous to govern.
[00:52:09.172 --> 00:52:12.554]  Republicans believe in the rule of law, not the rule of the mob.
[00:52:12.554 --> 00:52:13.554]  Vote Republican.
[00:52:13.554 --> 00:52:14.555]  Well, it's beyond that.
[00:52:16.690 --> 00:52:21.915]  It's beyond that.
[00:52:21.915 --> 00:52:27.139]  The Democrats sold out to the Communist Chinese, and so did a lot of blue-blood Republicans.
[00:52:27.139 --> 00:52:39.950]  And Trump is a populist insurgency, led by Infowars, that we built the platform for, so that we could challenge their treason.
[00:52:39.950 --> 00:52:42.152]  And they can't deal with that.
[00:52:43.390 --> 00:52:45.651]  The Democrats are an angry mob of criminals.
[00:52:45.651 --> 00:52:46.731]  We've all witnessed it.
[00:52:46.731 --> 00:52:50.753]  They're an angry mob of censors and bullies.
[00:52:50.753 --> 00:52:54.254]  And they're an angry mob of hypocrites.
[00:52:54.254 --> 00:53:01.057]  So there's a big New York Times article out titled, Michelle Obama wanted Democrats to go high.
[00:53:01.057 --> 00:53:04.318]  Now, they aren't so sure.
[00:53:04.318 --> 00:53:10.721]  And it's got the clip of the former Attorney General, Eric Holder, saying, we don't go high when they go low.
[00:53:10.721 --> 00:53:12.802]  We kick them, kick them, kick them, fight, fight, fight.
[00:53:13.757 --> 00:53:16.638]  And so, that's where they're going.
[00:53:16.638 --> 00:53:22.761]  They are the people that are lowering and debasing the culture and the society.
[00:53:22.761 --> 00:53:30.004]  And now that they've gone so low, they want to turn that around and act like we are the ones that are going low.
[00:53:30.004 --> 00:53:33.626]  When they're the ones trying to demoralize everybody, they're the people that are incredibly corrupt.
[00:53:33.626 --> 00:53:43.250]  They're the people that are absolutely dedicated on selling the nation out and who, when we say America is going to be great again, they say America has never been great.
[00:53:45.029 --> 00:53:47.190]  How many top Democrats have said that?
[00:53:47.190 --> 00:53:52.253]  Not just the governor of New York, a bunch of them!
[00:53:52.253 --> 00:53:58.417]  You know, we project onto the Democrats, because they're telling us how bad we are all day, that they must be better than us.
[00:53:58.417 --> 00:53:59.397]  No, they're not!
[00:53:59.397 --> 00:54:10.684]  They're the most corrupt, out-of-control people, and every city they control has the biggest ratio between rich and poor.
[00:54:10.684 --> 00:54:14.686]  So here's Trump saying Democrats are an angry mob.
[00:54:17.005 --> 00:54:21.267]  Republicans believe in the rule of law, not the rule of the mob.
[00:54:21.267 --> 00:54:29.072]  That's what it is, it's a mob.
[00:54:29.072 --> 00:54:33.375]  The people of Ohio can save America from radical Democrats.
[00:54:33.375 --> 00:54:35.176]  They've become radicalized.
[00:54:35.176 --> 00:54:38.918]  I mean, Pocahontas, Elizabeth Warren, seriously.
[00:54:41.109 --> 00:54:44.350]  No, no, seriously, she's becoming mainstream.
[00:54:44.350 --> 00:54:45.570]  You believe that one?
[00:54:45.570 --> 00:54:49.752]  You now have a champion fighting for you in the White House.
[00:54:49.752 --> 00:54:59.975]  But I need your help this election day, November 6th, to stop the radical Democrat mob from trying to take it away.
[00:54:59.975 --> 00:55:04.296]  You don't give power to an angry left-wing mob.
[00:55:04.296 --> 00:55:07.597]  You allowed the wrong people to get into office.
[00:55:08.925 --> 00:55:10.907]  Things could change.
[00:55:10.907 --> 00:55:13.470]  They could change and they could change fast.
[00:55:13.470 --> 00:55:15.092]  And we're not gonna let that happen.
[00:55:15.092 --> 00:55:20.538]  We can't let that happen.
[00:55:20.538 --> 00:55:21.419]  It can go very quickly.
[00:55:21.419 --> 00:55:23.080]  It can change very fast.
[00:55:23.080 --> 00:55:24.182]  We can't let that happen.
[00:55:25.521 --> 00:55:34.683]  You don't hand badges to an arsonist, and you don't give power to an angry left-wing mob, and that's what they've become.
[00:55:34.683 --> 00:55:35.883]  That's right.
[00:55:35.883 --> 00:55:41.164]  In fact, you stand up against them, and at the end of this hour, here's your chance to stand up against them.
[00:55:41.164 --> 00:55:45.645]  You've seen PayPal, as our payment processor, say he didn't violate terms of service.
