[00:00.000 --> 00:10.000]  When I grow up I want to be a rock star!
[53:48.000 --> 54:07.000]  And now, when and how we can use money, we were really going to do that. That is just terrifying to me. And, you know, I'm not calling, you know, maybe now it's a great time for conservatives to realize that that liberal fear of unchecked corporate power wasn't so crazy after all.
[54:07.000 --> 54:19.000]  And maybe now is the time to do something about it, because if we don't do something about it now, they're not going to get less powerful. It's not going to be easy tomorrow. It's going to be any easier next month.
[54:19.000 --> 54:31.000]  You know, the best time to plant a tree was 30 years ago. The second best time is today. And I think anybody who's on the sidelines with this, I should hope, is on the corporate board of PayPal.
[54:31.000 --> 54:40.000]  Because other than that, it's your rights that are getting eroded here. It's you that could be the next target. And in five to 10 years, it's going to be too late.
[54:40.000 --> 54:49.000]  And you aren't going to have a nice social score written in Mandarin somewhere that you can read and say, if you do this, you're going to lose points, you do that, you're going to get points.
[54:49.000 --> 55:00.000]  No, it's just going to be at the whim of some secret society, some secret cabal that's going to sit around in a closed door room and say, let's shut these people up.
[55:00.000 --> 55:06.000]  Well, that's where I was going. I'm not likening black folks not able to eat at counters to the current situation.
[55:06.000 --> 55:13.000]  I'm saying where this leads of whole groups tonight access to the market and society, that's where this is leading. That's the whole plan.
[55:13.000 --> 55:24.000]  This is Pavlovian conditioning, Pavlovian control. And then the media demonizes who somebody is and Silicon Valley acts on that fraud, blocks us out of the marketplace.
[55:24.000 --> 55:33.000]  And then they can, once we're shut down, further demonizes because now we've been silenced. Now we've been bankrupted.
[55:33.000 --> 55:45.000]  They admit that that's their plan. And I'm not talking about PayPal specifically, but this whole movement of, I mean, because even the Wall Street Journal, New York Times, Washington Post said, oh, Jones will be shut down.
[55:45.000 --> 55:50.000]  We'll get all his other payment processors. The admitted goal is to shut me down.
[55:50.000 --> 55:57.000]  Well, and the unadmitted goal is you're just, you're just a mile marker on the way to where they want to go.
[55:57.000 --> 56:06.000]  And that's what's really scary is, I mean, I hate to say this, but if I knew that they were only going to target you and only you and never anybody else,
[56:06.000 --> 56:10.000]  and we said that this is a unique situation, it wouldn't scare me as much.
[56:10.000 --> 56:11.000]  But I agree.
[56:11.000 --> 56:18.000]  It's happening to person after person after person. And this is about societal control by four or five people.
[56:18.000 --> 56:23.000]  Now, let's not forget, PayPal is buying one of the biggest, sorry, go ahead.
[56:23.000 --> 56:28.000]  PayPal is buying up one of the biggest global processors right now. They're consolidating the whole market.
[56:28.000 --> 56:33.000]  So what happens when it's only PayPal and maybe two other banks and they say you can't have a bank account?
[56:33.000 --> 56:36.000]  I mean, that's why they're trying to get rid of cash.
[56:36.000 --> 56:44.000]  Well, you know, maybe Jeff Sessions can put down the pork rinds to do his job and tell the antitrust division to start doing some work.
[56:44.000 --> 56:48.000]  You know, that might be it may be a good day, but I don't know what he's too busy doing.
[56:48.000 --> 56:50.000]  He doesn't seem to be busy to me.
[56:50.000 --> 56:58.000]  Well, regardless, we're raising the alarm with us when I come back and do five more minutes with you just on the subject of cabin on your whole view on that before we go to break folks.
[56:58.000 --> 57:00.000]  For now, we don't know how this injunction is going to work.
[57:00.000 --> 57:05.000]  You got two days left to be able to use PayPal at infowarstore.com.
[57:05.000 --> 57:08.000]  They say they're going to get rid of it Thursday. We'll see how this injunction goes.
[57:08.000 --> 57:12.000]  But this is an attempt to take all our other payment processors and shut us down.
[57:12.000 --> 57:14.000]  And not so much even by PayPal.
[57:14.000 --> 57:17.000]  That's what the Democrats and big media and big tech have said the goal is.
[57:17.000 --> 57:30.000]  So great products at infowarstore.com Wednesday is the last day to get 40% off on brain force plus the amazing new Tropic 40% off also on the amazing pure vitamin B 12.
[57:30.000 --> 57:34.000]  That's secret 12 and a bunch of other products 50% off.
[57:34.000 --> 57:42.000]  Super male, super female, my teller, that's the last run of this, you know, it's the best seller to become too expensive to produce infowarstore.com, infowarslife.com.
[57:42.000 --> 57:45.000]  And you're funding very tip of the spear. So please take action today.
[57:45.000 --> 57:49.000]  We have the new happiness, mood and stress formula as well.
[57:49.000 --> 57:54.000]  You deserve a deep restful sleep with knockout by info wars life.
[57:54.000 --> 58:03.000]  Our organic formula is made from high quality natural ingredients such as valerian root extract, L tryptophan, lemon balm leaf extract.
[58:03.000 --> 58:11.000]  And melatonin knockout packs a powerful punch to get you through the night and achieve proper sleep.
[58:11.000 --> 58:19.000]  Millions of people around the world experience daytime drowsiness, but with the rapid speed of life, we need to be able to keep up the pace.
[58:19.000 --> 58:27.000]  Our natural mixture harnesses the power of 10 known ingredients to let your body relax and get the sleep you need.
[58:27.000 --> 58:29.000]  Wake up refreshed and take on the day.
[58:29.000 --> 58:37.000]  Info wars life wants to bring you a sleep support formula that goes above and beyond other leading brands at an affordable price.
[58:37.000 --> 58:41.000]  Get the sleep you deserve and experience the power of knockout.
[58:41.000 --> 58:48.000]  Head on over to infowarslife.com and say goodbye to fatigue. That's infowarslife.com.
[58:50.000 --> 58:52.000]  We all know the importance of fish oils.
[58:52.000 --> 58:59.000]  While we are sure to provide them for ourselves, it's just as important to make sure your kids get their EPA and DHA too.
[58:59.000 --> 59:03.000]  Honor Roll is a powerful DHA fish oil formula for your child.
[59:03.000 --> 59:06.000]  Built from the ground up to support your child's development.
[59:06.000 --> 59:16.000]  This formula uses wild anchovy fish oil, ultra purified krill oil, and wild salmon fish oil with vitamins to boost your child's mind and body.
[59:16.000 --> 59:24.000]  With this fish oil formula, you can support your child's optimal heart, joint, cognitive, and brain health while providing DHA,
[59:24.000 --> 59:28.000]  which has been shown to be essential for your child's brain growth spurts.
[59:28.000 --> 59:38.000]  Built on powerful ingredients with 580 milligrams of high DHA omega-3s, this formula is highly refined to eliminate nearly all heavy metals.
[59:38.000 --> 59:42.000]  If you're looking for a formula to help your child grow, look no further.
[59:42.000 --> 59:48.000]  Try Honor Roll from infowarslife at infowarsstore.com.
[01:00:12.000 --> 01:00:17.000]  We're only 35 days out.
[01:00:17.000 --> 01:00:21.000]  I'm going to open the phones up and cover a ton of news.
[01:00:21.000 --> 01:00:24.000]  Mark Rondaza leaves us at the end of this segment.
[01:00:24.000 --> 01:00:27.000]  Listen, we have to fight back.
[01:00:27.000 --> 01:00:34.000]  Everybody knows that if you get a big mega system and the big banks link up and they start denying people the right to commerce,
[01:00:34.000 --> 01:00:38.000]  simply because of who they claim you are,
[01:00:38.000 --> 01:00:43.000]  when you haven't committed a crime or did anything wrong or engaged in fraud, is true persecution.
[01:00:43.000 --> 01:00:44.000]  It's Hitler's dream.
[01:00:44.000 --> 01:00:49.000]  First thing Hitler did was start curtailing how Jews and others could do business,
[01:00:49.000 --> 01:00:53.000]  then he took them out of banking, and then the rest is history.
[01:00:53.000 --> 01:00:54.000]  And so this is happening.
[01:00:54.000 --> 01:00:58.000]  I'm all a free market, sacrosanct, your business, whatever.
[01:00:58.000 --> 01:01:02.000]  But when they all work in unison and say, we're going to destroy you, it's serious.
[01:01:02.000 --> 01:01:05.000]  So we filed an injunction, I guess you call it a lawsuit.
[01:01:05.000 --> 01:01:07.000]  Just one more minute on that, Mark Rondaza.
[01:01:07.000 --> 01:01:09.000]  It's up on infowars.com.
[01:01:09.000 --> 01:01:12.000]  We might just tell folks basically what this is seeking,
[01:01:12.000 --> 01:01:16.000]  a show that when the media asked me, I could point to this video.
[01:01:16.000 --> 01:01:24.000]  I mean, it's kind of complicated because what we're seeking is PayPal has what's called an arbitration clause.
[01:01:24.000 --> 01:01:28.000]  So we have to do this before an arbitrator,
[01:01:28.000 --> 01:01:31.000]  but they require 30 days advance notice before you can do that,
[01:01:31.000 --> 01:01:34.000]  but PayPal is going to shut you off in 10 days.
[01:01:34.000 --> 01:01:38.000]  So you don't have the time to do that, to go get an arbitrator to tell them to stop.
[01:01:38.000 --> 01:01:44.000]  So we're asking the court for a really limited release that the court just says to PayPal,
[01:01:44.000 --> 01:01:47.000]  hold on, Alex might win this.
[01:01:47.000 --> 01:01:49.000]  So you've got to stop.
[01:01:49.000 --> 01:01:55.000]  You plan to terminate him until you can get this properly before an arbitrator.
[01:01:55.000 --> 01:01:57.000]  And then we'll go into the depths of the argument.
[01:01:57.000 --> 01:02:01.000]  So really what we're asking for right now is pretty limited.
[01:02:01.000 --> 01:02:10.000]  But ultimately, the goal of the case and the arbitration will be to try to turn back this tide of really arbitrary
[01:02:10.000 --> 01:02:16.000]  and capricious decisions to try to exclude people from the marketplace of ideas.
[01:02:16.000 --> 01:02:21.000]  And you also get into how their contract basically tries to make you waive all your rights up front.
[01:02:21.000 --> 01:02:24.000]  And as huge institutions, that's a dangerous precedent,
[01:02:24.000 --> 01:02:27.000]  kind of like what they would do with the company store or the old railroads.
[01:02:27.000 --> 01:02:33.000]  Yeah, we are making that argument in our papers that we feel that they're...
[01:02:33.000 --> 01:02:42.000]  I ask anybody out there how many times they've read their online terms and conditions for any service that they use.
[01:02:42.000 --> 01:02:48.000]  If you have, then you're probably in the one-tenth of one percent.
[01:02:48.000 --> 01:02:51.000]  But of course, they're all written extremely one-sided.
[01:02:51.000 --> 01:02:55.000]  And that's one thing when it's an entertainment website.
[01:02:55.000 --> 01:02:59.000]  But when it's something that you actually need in order to participate in commerce, I think it's another story.
[01:02:59.000 --> 01:03:01.000]  Yeah, what if the airline starts saying,
[01:03:01.000 --> 01:03:03.000]  we're not going to let you fly because you're a political affiliation?
[01:03:03.000 --> 01:03:05.000]  Or what if... I mean, this is a very dangerous precedent.
[01:03:05.000 --> 01:03:08.000]  In closing, I want your take on Kavanaugh.
[01:03:08.000 --> 01:03:11.000]  And again, we're not a cult. People say, hey, if Ron does it, agrees or disagrees.
[01:03:11.000 --> 01:03:14.000]  I mean, I respect you. What's your view on Kavanaugh?
[01:03:14.000 --> 01:03:19.000]  You know, I previously did my analysis of him just on his First Amendment jurisprudence.
[01:03:19.000 --> 01:03:24.000]  And I liked it. I don't really like him on the Fourth Amendment.
[01:03:24.000 --> 01:03:30.000]  As far as the accusations go, I think there's enough room to call both of them liars.
[01:03:30.000 --> 01:03:36.000]  But what I really was troubled with is his temperament when he was under pressure.
[01:03:36.000 --> 01:03:44.000]  You know, I've been before judges who are somewhat tyrannical and not really open to listening to both sides of things.
[01:03:44.000 --> 01:03:51.000]  And the way that he performed there on the stand made it that this is not somebody I'd like to see on the court.
[01:03:51.000 --> 01:03:55.000]  I think we can do better. But you know, it's not to do with the accusations.
[01:03:55.000 --> 01:03:58.000]  It's really to deal with how he's dealt with them.
[01:03:58.000 --> 01:04:03.000]  And I think if we've got nine people in that court and somebody's put on there for life,
[01:04:03.000 --> 01:04:13.000]  I don't want somebody who seems like he's going to turn into a, you know, a caged badger when he's questioned.
[01:04:13.000 --> 01:04:19.000]  But if you're innocent of these outrageous charges, a normal person will get very, very angry.
[01:04:19.000 --> 01:04:22.000]  But I'm not looking for normal people on the Supreme Court.
[01:04:22.000 --> 01:04:25.000]  I'm looking for extraordinary people on the Supreme Court.
[01:04:25.000 --> 01:04:28.000]  And I was not terribly impressed with that.
[01:04:28.000 --> 01:04:31.000]  Let me ask you this then. Do five more minutes with us.
[01:04:31.000 --> 01:04:36.000]  We're going to break for 60 seconds. If you were the Supreme Court nominee and this was happening and it wasn't true,
[01:04:36.000 --> 01:04:40.000]  how would you respond? What would your opening statement be when we're back in 60 seconds?
[01:04:40.000 --> 01:04:43.000]  No, no, you're opening statement, Mark. No time to prepare.
[01:04:43.000 --> 01:04:49.000]  Mark Nondazza's opening statement, he's been accused of all this stuff with no evidence. And what would he say at that point?
[01:04:49.000 --> 01:05:14.000]  infowars.com, newswars.com, tomorrow's news today.
[01:05:14.000 --> 01:05:21.000]  The Pro Pure Whole House Water Filtration System is an advanced, four-stage, compact filtration system
[01:05:21.000 --> 01:05:27.000]  that will provide water filtration for your entire home, removing 220 plus contaminants from your water.
[01:05:27.000 --> 01:05:34.000]  It's compact in size, easy to install and maintain, and keeps fluoride and other dangerous toxins out of your water supply
[01:05:34.000 --> 01:05:37.000]  and away from you and your family.
[01:05:37.000 --> 01:05:44.000]  With its broad-spectrum contaminant reduction, you'll only need this one filter for clean and refreshing water all over your home.
[01:05:44.000 --> 01:05:52.000]  Head to infowars.com and whether it's your first water filtration purchase or you're looking to replace your current run-down systems,
[01:05:52.000 --> 01:05:58.000]  it's time to go big and go home with the Pro Pure Whole House Filtration System today.
[01:05:58.000 --> 01:06:18.000]  Crashing through the lies and disinformation, it's Alex Jones, coming to you live from the front lines of the Inho War.
[01:06:18.000 --> 01:06:28.000]  35 days out from this incredibly historic election, I'm Alex Jones, your host. Your calls and kind of news are coming up.
[01:06:28.000 --> 01:06:35.000]  We have filed a restraining order, a lawsuit in San Francisco and federal court against PayPal.
[01:06:35.000 --> 01:06:40.000]  You can read the lawsuit at infowars.com right now, and it's really about everybody's rights.
[01:06:40.000 --> 01:06:48.000]  I'm fighting whole casual society control system that the megabanks are setting up with Silicon Valley.
[01:06:48.000 --> 01:06:56.000]  Facebook, once you're banking data, they want everything in there so they can have a web ID and then persecute you if you don't play ball with their system.
[01:06:56.000 --> 01:07:05.000]  Now, first we heard we need due process for these women, but there is no due process for them, and I know that this is a job interview as they're calling it.
[01:07:05.000 --> 01:07:12.000]  I know there's no way to prove 36 years ago, especially if all of our witnesses say that what she said didn't happen, but we moved past that.
[01:07:12.000 --> 01:07:20.000]  Now we've got her working for Big Pharma, RU486. That's a reason she doesn't like Kavanaugh, obviously, because she thinks he might restrict that.
[01:07:20.000 --> 01:07:32.000]  I see that as a motive. You've got her as a big Hillary supporter, but what about her involved in mind control style programs of false memories, new memories, funded by DARPA and co-authoring major studies at Stanford.
[01:07:32.000 --> 01:07:50.000]  She's coming up after Mark Rondaza leaves us. This is just insane. You've got her whole family in the CIA, basically, and then you've got this Krim Dala Krim project of DARPA, and then you've got the Unabomber, and you've got the Aurora shooter, and they're all in these same programs.
[01:07:50.000 --> 01:08:01.000]  Earlier I showed mainstream news. Psychology Today, L.A. Times, all of it. People don't know this. They go, oh, Jones claims they're involved in mind control. No, the L.A. Times does.
[01:08:01.000 --> 01:08:12.000]  Okay? So I'm telling you, why does this continue to pop up? It needs to be looked at. We're going to be talking about in a moment. But going back to Mark Rondaza, Mark Jeff Flake saying the same thing you were saying earlier.
[01:08:12.000 --> 01:08:22.000]  We can't have that on the court. Sharp and partisan saying he was getting so angry at people saying he's raping women on boats that isn't true and raping people in Colorado.
[01:08:22.000 --> 01:08:33.000]  Turns out it isn't true, and now there's anonymous letters sent to Congress that the news puts out that a woman saw him rape a woman in a car, and another anonymous woman said that she saw him rape the daughter.
[01:08:33.000 --> 01:08:40.000]  But that wasn't true, and then that's withdrawn, and all this talk of criminal charges of the people putting these false reports out.
[01:08:40.000 --> 01:08:47.000]  I mean, I just think the way they waited to the 11th hour to bring this out, all this to me, stinks to high heaven.
[01:08:47.000 --> 01:08:54.000]  Oh, yeah, look, I think the villain in this is Diane Feinstein, who had that information and sat on it for the whole summer.
[01:08:54.000 --> 01:09:05.000]  There would have been plenty of time to investigate without this. But at the same time, you got to respect the fact that this is politics, and that was a strategic decision by her.
[01:09:05.000 --> 01:09:13.000]  I didn't find her very credible when they were asking her who leaked the information either. So as far as we have credibility problem there, I think she's gone.
[01:09:13.000 --> 01:09:29.000]  But Mr. Kavanaugh has won as well. I don't understand why he spent all this time trying to pain himself as having been a pretty angelic kid back in high school and college.
[01:09:29.000 --> 01:09:34.000]  I mean, look, if that had been me, I can't run away from a lot of the things I did in high school and college.
[01:09:34.000 --> 01:09:45.000]  I mean, you were saying, what would happen if I were nominated to the Supreme Court? I mean, I'd probably have to just walk in there in a pirate outfit and say, oh man, you guys don't know the half of it.
[01:09:45.000 --> 01:09:49.000]  Let me start laying out some of the crazy stuff I did. And why run away from it?
[01:09:49.000 --> 01:10:00.000]  You know, there was a movie a while back where Robin Williams was a comedian running for office. And they put a microphone in front of his face and he said, yeah, I've smoked pot, I've done cocaine, I've had group sex.
[01:10:00.000 --> 01:10:19.000]  You know, what do you got? And that was the end of that. And remember that that was, you know, again, that was what people did in their personal lives back then was how we liberals used to say everything ought to be when they were bothering with Gary Hart or bothering with Bill Clinton's past.
[01:10:19.000 --> 01:10:37.000]  You know, now that's all on its head because it's politics time. That bothers me. But when I look at Kavanaugh, and I see that he's just been so inconsistent, and, you know, and really trying to paint himself as something he's not just if there was me and I was in his situation, I'd have come out and said,
[01:10:37.000 --> 01:10:52.000]  yeah, I was a pretty hard part here in high school and college and law school. I don't think there's any credence to any of these allegations. I would love there to be an FBI investigation, take all the time you want, have another investigation,
[01:10:52.000 --> 01:11:00.000]  investigate me and investigate everybody who's making these allegations and bring back what you got, because I'm not afraid of any of it.
[01:11:00.000 --> 01:11:09.000]  You know, that sounds reasonable, but they're trying to block, they're trying to stalled the nomination. But I mean, I'll give you this when they say, well, how much beer did you drink?
[01:11:09.000 --> 01:11:25.000]  Well, I drank some beer. Did you drink beer? I mean, I mean, I almost kind of like the fact that it's upsetting him that he's a real person. And Mark, I don't know that a few people that went to college with him or high school said that he was a heavy drinker is proof when they're Democrat professors.
[01:11:25.000 --> 01:11:38.000]  Why is it all professors accusing him? Well, you know, look, that could be any number of reasons, you know, there could be people who know him, who want him to be on the court that know he was a hard part here.
[01:11:38.000 --> 01:11:47.000]  I really don't know. All I know is that when you ask me a question like that, I'm going to give you a direct answer. And I don't think that's what he did.
[01:11:47.000 --> 01:12:02.000]  He just, I didn't like his temperament. I didn't like his evasiveness. I didn't like how he answered a lot of those questions. And, you know, there's only nine people in the Supreme Court. And, you know, I already think we could do better than some of the ones we have.
[01:12:02.000 --> 01:12:12.000]  And you were saying during the break, you were saying during the break that you thought that Trump's big take control would be just withdrawing and put Barrett in there.
[01:12:12.000 --> 01:12:23.000]  Look, that'd be the power play. You know, Trump just said, look, you know, there's too much of a cloud here. I think that what Dianne Feinstein did was shameful. I think what the Democrats did is shameful.
[01:12:23.000 --> 01:12:33.000]  But if I'm going to appoint somebody for a lifetime and you put this cloud over his head, shame on you for doing it, but I'm going to withdraw his name. And yeah, and then, and then put her up.
[01:12:33.000 --> 01:12:42.000]  Well, I'll say this, I want to get the victory and I think it's been made up of the Democrats, but I get your point. Now the Democrats are talking about trying to impeach him later, talking about Kavanaugh.
[01:12:42.000 --> 01:12:50.000]  And like, they're going to just keep this going. They have literally crapped in the punch bowl, but here's the problem. We let them get away with this. They'll do it again and again.
[01:12:50.000 --> 01:12:58.000]  But I agree, they're not going to buy if they if he puts Barrett up that she raped women. I mean, because they're going to have women come out, they're going to all be MK ultra professors, probably do.
[01:12:58.000 --> 01:13:07.000]  And they'll say she's wearing a cat woman outfit. I saw her slit children's throats, drink the blood and people I don't think will buy it if they do that. What do you think?
[01:13:07.000 --> 01:13:14.000]  Look, I think that whoever they put, I mean, I think there's enough blame to spread around everybody.
[01:13:14.000 --> 01:13:29.000]  I mean, politics with the court. I mean, let's face it. There used to be a rule that you had to have 60 senators to approve a nominee, which tended to push us towards a little more moderate of nominees and you kind of want the court to be nominated to be moderate.
[01:13:29.000 --> 01:13:38.000]  The Democrats got rid of that. And I thought it was a bad idea when they did it because now all you need is 51 and that's enough. That's a problem.
[01:13:38.000 --> 01:13:49.000]  Let me ask you this question because they have done their own delay it was to say they're trying to delay it till after the midterms. Well, of course they are. I mean, and what did the Republicans do when Merrick Garland got nominated?
[01:13:49.000 --> 01:13:56.000]  You know, they delayed it almost 10 months. Let me ask you this then. So gut level. Do you think Kavanaugh gets confirmed?
[01:13:56.000 --> 01:14:09.000]  Do I think he gets confirmed? No, I think Jeff Flake is the swing vote here. Jeff Flake is the 51st vote. And I think Jeff Flake is somebody who doesn't care about getting reelected.
[01:14:09.000 --> 01:14:23.000]  I mean, he's already retired one time. He's just there to finish out John McCain's term. And, you know, I think Jeff Flake maybe positions himself as a heck of a choice as a maybe a Republican nominee for president.
[01:14:23.000 --> 01:14:30.000]  If he can assuage some of the left with the decision not to support Kavanaugh. So my money's on Flake turning.
[01:14:30.000 --> 01:14:38.000]  Well, you're right that Flake's leaving with the other guy that just took over from McCain. Let's go ahead though. Since you mentioned, here's fine. It's fine. Bumbling around. It's all right. Go ahead.
[01:14:38.000 --> 01:14:51.000]  I did not hide Dr. Ford's allegations. I did not leak her story. She asked me to hold it confidential and I kept it confidential as she asked.
[01:14:51.000 --> 01:15:03.000]  She apparently was stalked by the press, felt that what happened, she was forced to come forward, and her greatest fear was realized.
[01:15:03.000 --> 01:15:09.000]  She's been harassed, she's had death threats, and she's had to flee her home.
[01:15:09.000 --> 01:15:19.000]  In addition, the investigation that the Republican majority is heralding is really nothing that I know about other than a part of her practice.
[01:15:19.000 --> 01:15:26.000]  Well, listen, Mark, bottom line, we're going to be able to get your response coming up this week, and we're going to see what happens.
[01:15:26.000 --> 01:15:31.000]  But I'm glad that we've filed this because it's the right thing to do with PayPal. Thank you so much. Anything else?
[01:15:31.000 --> 01:15:40.000]  Yeah, well, you look at Feinstein's testimony there, and I'm not buying that either. I mean, I buy it when she says technically, I did not leak it.
[01:15:40.000 --> 01:15:51.000]  He's one of her staffers did. I would be willing to bet a heck of a lot of money that one of her staffers did, or somebody who did it at her, at her direction, or her way to nod.
[01:15:51.000 --> 01:16:18.000]  All right, Mark Rondaza, thanks. We'll be back with a ton of news, your phone calls. Stay with us.
[01:16:21.000 --> 01:16:27.000]  One, the United States of Empire by James Dunn, available at Amazon Books.
[01:16:27.000 --> 01:16:37.000]  Hear that? That's the sound of a house being trashed while a gang of thieves ransacked the place, and what they don't steal will be destroyed.
[01:16:37.000 --> 01:16:48.000]  This year, resolve not to be the next victim of a break-in. Go to faketv.com and discover a device that creates the illusion someone inside is watching TV, even when you're miles away.
[01:16:48.000 --> 01:16:57.000]  Security is a mindset, and fake TV should be part of your security solution. Be vigilant, but not fearful. Faketv.com.
[01:17:18.000 --> 01:17:27.000]  Using code GCN, call or click 1-877-99-Berke, or bigberkewaterfilters.com. That's 1-877-99-B-E-R-K-E-Y.
[01:17:27.000 --> 01:17:34.000]  I'm David Hall, founder of Diamond Gusset, where we're proud of our 100% grown and sewn American-made jeans.
[01:17:34.000 --> 01:17:42.000]  Whether you're out for dinner, working on the farm, or on the road, Diamond Gusset Jeans offers a full spectrum of styles and sizes for any occasion.
[01:17:42.000 --> 01:17:53.000]  To find yours, visit gusset.com. That's G-U-S-S-E-T.com. Our loyal customers enable us to continue sponsoring Liberty Media outlets like the one you're listening to.
[01:17:53.000 --> 01:18:20.000]  In Liberty, David Hall, Diamond Gusset Jean Company.
[01:18:23.000 --> 01:18:33.000]  Selenium is an electrochemical. It's needed as well in all activity in the body, particularly neurons. So these go incredibly well together.
[01:18:33.000 --> 01:18:41.000]  We have a combo of those. Just experience it for yourself. Why do you think they fear me so much? Very simple stuff. Filter your water.
[01:18:41.000 --> 01:18:53.000]  Yeah, I find myself selling water filters. Best out there for the price. When I say it's the last run, I think it'll be six months or years until we get more. I hope we get more. This is the last run it looks like. Survival for the next two.
[01:18:53.000 --> 01:19:12.000]  Thank you.
[01:19:12.000 --> 01:19:24.000]  Take advantage of the powerful nutrients you receive. There's no better way to power your body. Fluorolife is a powerful probiotic supplement with 20 of the most potent clinically studied probiotic strains.
[01:19:24.000 --> 01:19:35.000]  When paired with carnivore, our incredible enzyme formula that helps you break down nutrients. These formulas fuel your gut and your body to help you fight toxins and stay fueled all day.
[01:19:35.000 --> 01:19:49.000]  These incredible formulas can help keep your body in tip top shape in the fight against stress, age and outside toxins. There's no better time to try fluorolife and carnivore to see how well they can support your body.
[01:19:49.000 --> 01:20:01.000]  Don't miss out on the chance to fuel your body and support recovery. Try the Info Wars Life Daily Digestive Pack today.
[01:20:01.000 --> 01:20:09.000]  You're listening to the Alex Jones Show.
[01:20:31.000 --> 01:20:57.000]  I got no friends. Can't be seen with me.
[01:20:57.000 --> 01:21:08.000]  I knew that if we took on the globalist, they were authoritarian, they were corrupt, they were out of control, they were evil, they were tax exempt, they had diplomatic immunity and then they wanted you to be poor.
[01:21:08.000 --> 01:21:17.000]  I knew that a large portion of people would want to be free and wouldn't want to be schmucks. And I knew that we would start to win.
[01:21:17.000 --> 01:21:27.000]  But I also knew that I would end up getting attacked. I also knew that I would get demonized and they would try to take me down. But here's the deal.
[01:21:27.000 --> 01:21:43.000]  We're in the same company as many other great trailblazers throughout history. And so it's not fun at one level to have people go FU Russian agent on the street.
[01:21:43.000 --> 01:21:55.000]  But it's better than letting this huge corrupt global system take over and continue to break our back and break up our families and turn us against each other and promote racism and modern mind control.
[01:21:55.000 --> 01:22:07.000]  So I'm a winner. Like Tommy Robinson says, I'm not a victim. I'm a target. Well, I'm not a victim. I'm a target. Now that said, I personally would like to win this myself.
[01:22:07.000 --> 01:22:17.000]  I'll do whatever it takes to win the big fight against the globalists, even if it means they kill me. Doesn't mean I want to die. Doesn't mean I'm looking for death. Doesn't mean I'm suicidal. The opposite.
[01:22:17.000 --> 01:22:27.000]  People ask me in interviews, they say, how far will you go? You've been persecuted. You've been attacked. You've been sued. You've been demonized. And I say, I'm going to go all the way to death. I have to.
[01:22:27.000 --> 01:22:38.000]  I'm ready to die. Doesn't mean I want to die. It means I'm ready to be ready to fight. Doesn't mean I'm looking to fight.
[01:22:38.000 --> 01:22:46.000]  But somebody starts to fight with me. I'm going to fight back. Doesn't mean I want to get in the fight.
[01:22:46.000 --> 01:23:00.000]  I'm ready to die. I don't want to die. But if I need to, I'm ready. And, you know, at kind of a sick level, I fight these people so hard and I have so much passion to do it that I'll never give up.
[01:23:00.000 --> 01:23:13.000]  And I work harder even as I get older. And it really means a lot to me to stop these people because I know how bad they are. And they've done so many things to me that every victory we have is that much more important.
[01:23:13.000 --> 01:23:23.000]  It's beyond savoring it. It's beyond vitriol. It's beyond exaltation. It's beyond triumph. It's just doing the right thing.
[01:23:23.000 --> 01:23:31.000]  It's like being thrown off a boat in the middle of the ocean and swimming 10 miles back to shore. Every muscle is burning and you're about to pass out.
[01:23:31.000 --> 01:23:38.000]  You're drinking, you know, seawater gulping in on accident. You're about to pass out. But somehow you make it onto that beach.
[01:23:38.000 --> 01:23:52.000]  Even though you feel like you're dead, you're in heaven. And it's that same thing. I've already made it to the beach in the allegory, but my family and billions of people are not there yet.
[01:23:52.000 --> 01:24:03.000]  And so I've got to go back out into the ocean and I've got to go through that pain and all of that again because I don't want to be on this island alone.
[01:24:03.000 --> 01:24:12.000]  And that's really how it feels. We have a lot of big breaking news. I'm going to give the phone number out and take a lot of calls today, obviously on Cabinon.
[01:24:12.000 --> 01:24:24.000]  On us filing lawsuit against PayPal to defend our rights and your rights and just start the conversation about what's going on even though it is an uphill battle.
[01:24:24.000 --> 01:24:35.000]  We've done so much more and we have an incredible Millie Weaver video that has been posted to infowars.com. It is the raw video. We've had it bleeped and we've for TV.
[01:24:35.000 --> 01:24:49.000]  When you're on broadcast TV, you can't even show people flipping off. So we have to do a bunch of, we put Make America Great Again over his shirt saying F Trump and over him flipping everybody off.
[01:24:49.000 --> 01:24:56.000]  We have that family version coming up and these folks admit that they're here illegally.
[01:24:56.000 --> 01:25:06.000]  And then there's a man there who lost his daughter and he gets in their face because there's this arrogance. It's like the lady that confronted flake and said, how dare you?
[01:25:06.000 --> 01:25:13.000]  He's raping women. You're going to let me get raped. Women are being raped, raped, raped. She's from Columbia. She's a lesbian.
[01:25:13.000 --> 01:25:24.000]  She's got two kids. I guess she adopted. Fine. And she's just screaming how America sucks when in Columbia, they kill hundreds and hundreds of gays a year, which is a bad thing.
[01:25:24.000 --> 01:25:34.000]  But America is this super open, inclusive country. And then now you've got the LGBTP. I had pedophiled again. That's part of it.
[01:25:34.000 --> 01:25:44.000]  Six year old pupils write gay love letters to learn to accept diversity. We're going to play the video of that coming up.
[01:25:44.000 --> 01:25:54.000]  So you put your children in school and they tell six year olds, little boys write love letters to boys, girls write to girls. This is people sexualizing your children.
