[00:00:06.172 --> 00:00:07.074]  That's a hit.
[00:41:57.413 --> 00:41:58.533]  I'm like, yeah, see this?
[00:41:58.533 --> 00:41:59.174]  See the scientists?
[00:41:59.174 --> 00:41:59.974]  See the admission?
[00:41:59.974 --> 00:42:01.514]  It's admitted they created this.
[00:42:03.148 --> 00:42:06.769]  They know exactly what they're doing.
[00:42:06.769 --> 00:42:07.530]  And so now we're here.
[00:42:07.530 --> 00:42:18.554]  We're going to go to break, ladies and gentlemen, and come back with the biggest news yet in all of this, and tie it together to the global martial law plan they've got set up.
[00:42:18.554 --> 00:42:22.756]  And of course, I'm going to expose Jimmy Kimmel and just hope he's got a soul.
[00:42:22.756 --> 00:42:23.556]  He should quit.
[00:42:23.556 --> 00:42:25.037]  He should turn the money down.
[00:42:25.037 --> 00:42:26.357]  He should go public.
[00:42:26.357 --> 00:42:27.218]  Colbert is really evil.
[00:42:27.218 --> 00:42:28.378]  I know people that know him.
[00:42:28.378 --> 00:42:30.019]  He loves it.
[00:42:30.019 --> 00:42:30.859]  Kimmel does not like it.
[00:42:30.859 --> 00:42:31.519]  I know people that know him.
[00:42:31.519 --> 00:42:32.600]  He actually doesn't like it.
[00:42:33.160 --> 00:42:34.741]  But he's doing it for the money.
[00:42:34.741 --> 00:42:37.982]  And then you got some of the other talk show hosts who are like drug addicts and don't even know what they're doing.
[00:42:37.982 --> 00:42:43.144]  But they're reading off scripts and it's time for Kimmel to find his soul.
[00:42:43.144 --> 00:42:45.746]  Jimmy, life's really short and there is a God.
[00:42:45.746 --> 00:42:46.566]  You've got children.
[00:42:46.566 --> 00:42:50.708]  You need to get right with God and turn your back on the devil.
[00:42:50.708 --> 00:42:51.148]  We'll be right back.
[00:42:54.229 --> 00:43:01.132]  There is very little contemporary study in the world of the planet's ruling class.
[00:43:01.132 --> 00:43:10.236]  Not in Communist China, not in Mexico, not in the United States, not anywhere is there a real study of the planet's ruling class.
[00:43:10.236 --> 00:43:12.197]  And that's done by design.
[00:43:12.197 --> 00:43:17.320]  The large central banks that basically control the planet will penalize and target any academics
[00:43:18.260 --> 00:43:28.049]  Then look into, say, the Anglo-American establishment that founded the Bilderberg Group, the Trilateral Commission, the United Nations, the whole project of the Rothschilds and the Rockefellers.
[00:43:28.049 --> 00:43:33.774]  Until ten years ago, the media said, the controlled corporate media, that the Bilderberg Group didn't exist.
[00:43:33.774 --> 00:43:42.883]  Well, now the Bilderberg Group is public, and its former head, still on the steering committee, is Klaus Schwab, and he has set up the Great Reset, a global government.
[00:43:43.503 --> 00:43:51.425]  If, as a liberty movement worldwide, we don't address the globalists head-on about the fact that they are a worldwide authoritarian corporate takeover, we don't have a shot.
[00:43:51.425 --> 00:43:53.285]  If we do expose them, we can beat them easily.
[00:43:53.285 --> 00:44:08.908]  In late August, InfoWars saw an explosion of orders because our audience understands that the globalists are destabilizing the planet by design and are attempting to cause an economic and financial collapse worldwide.
[00:44:09.508 --> 00:44:13.172]  Now ladies and gentlemen, storable food has always been something that's important to have.
[00:44:13.172 --> 00:44:20.481]  It's a check box that everybody needs to have taken care of, right along with water filtration, self-defense, and a relationship with God.
[00:44:20.481 --> 00:44:24.085]  But now more than ever, you need to get your storable food orders in now.
[00:44:24.545 --> 00:44:27.287]  We're ready to ship to you within 24 hours of your order.
[00:44:27.287 --> 00:44:28.107]  It's high quality.
[00:44:28.107 --> 00:44:31.309]  It's very, very low cost at InfoWarStore.com.
[00:44:31.309 --> 00:44:38.634]  Because in the future, you're going to see more food supply shortages and you're going to see food supply price increases that are already taking place.
[00:44:38.634 --> 00:44:44.798]  So lock in your storable food now at a lower price and fund the InfoWar at InfoWarStore.com.
[00:44:44.798 --> 00:44:49.561]  That's how you fight the Great Reset, is by being self-sufficient and not under their control.
[00:44:49.561 --> 00:44:52.063]  So get prepared now at InfoWarStore.com.
[00:44:54.209 --> 00:44:57.412]  There are a lot of energy drinks and energy pills on the market.
[00:44:57.412 --> 00:45:02.157]  And of course, most of them work because if something doesn't work, people aren't going to reorder it.
[00:45:02.157 --> 00:45:03.659]  But they have side effects.
[00:45:03.659 --> 00:45:04.680]  They have chemicals.
[00:45:04.680 --> 00:45:12.368]  They have dyes in them that hurt your brain and hurt your cells and hurt your body in the process and leave you burnt out and hungover.
[00:45:13.028 --> 00:45:25.039]  InfoWars for years has consulted top developers and top labs to bring you BrainForce+, to bring you TurboForce, and other clean formulas that give you long, sustained, focused energy.
[00:45:25.039 --> 00:45:29.363]  Well now, we are introducing something that is at the next level.
[00:45:29.363 --> 00:45:30.924]  Multiple years in development.
[00:45:31.364 --> 00:45:33.785]  It is Brain Force Ultra.
[00:45:33.785 --> 00:45:41.947]  It is a liquid in a dropper and it is twice as strong as Brain Force Plus just in the natural caffeine department.
[00:45:41.947 --> 00:45:50.330]  Then it's got a bunch of other powerful herbs and compounds that will take your focus and your clarity to the next level with clean energy.
[00:45:50.330 --> 00:45:51.710]  And it funds the InfoWar.
[00:45:51.710 --> 00:45:54.351]  Exclusively available at InfoWarStore.com.
[00:45:54.591 --> 00:46:01.855]  The BioPros are the new non-GMO pollution solution, using eco-friendly products to treat everyday problems while supporting our environment.
[00:46:01.855 --> 00:46:08.638]  For the first time, the BioPros are bringing to the public market a suite of bioremediation products to the everyday consumer.
[00:46:08.638 --> 00:46:15.662]  Their first product they are launching is called BioSeptic Pro, a product specifically designed to establish a healthy septic system.
[00:46:15.662 --> 00:46:20.184]  BioSeptic Pro contains live microorganisms, not traditional enzymes like its competitors.
[00:46:20.444 --> 00:46:22.384]  This stuff lives in your septic system.
[00:46:22.384 --> 00:46:24.985]  It's really like probiotics for your septic tank.
[00:46:24.985 --> 00:46:26.806]  Say goodbye to septic problems.
[00:46:26.806 --> 00:46:29.346]  Gas buildup and odor guaranteed.
[00:46:29.346 --> 00:46:33.627]  BioSeptic Pro is light years ahead of traditional septic treatments.
[00:46:33.627 --> 00:46:43.729]  They have a revolutionary patented delivery system that carries live microorganisms to treat the problem at its core, making their products up to 100 times more effective than its competitors.
[00:46:43.729 --> 00:46:47.630]  BioSeptic Pro is safe for plumbing, human, animal, and aquatic life.
[00:46:47.630 --> 00:46:50.011]  Secure your BioSeptic Pro today at
[00:46:50.151 --> 00:46:51.273]  We're good to go.
[00:47:14.716 --> 00:47:19.682]  You found it, the tip of the spear of pro-human liberty.
[00:47:19.682 --> 00:47:27.793]  I am your host Alex Jones, very thankful that you've joined us on this live September 8th Wednesday broadcast.
[00:47:27.793 --> 00:47:31.758]  Alright ladies and gentlemen, again thank you so much for joining us.
[00:47:31.758 --> 00:47:32.399]  Jimmy Kimmel...
[00:47:34.252 --> 00:47:36.053]  I don't think he's a bad guy.
[00:47:36.053 --> 00:47:41.915]  I know a lot of people that know him, that have worked with him, and have even done shows with him, and they say he's a really nice fellow.
[00:47:41.915 --> 00:47:44.776]  I think I was told like 10 years ago that he was a listener.
[00:47:44.776 --> 00:47:47.877]  And he's made some nice jokes about me in years past.
[00:47:47.877 --> 00:47:54.059]  But since Trump got in, all the big late night shows got taken over by the Democratic Party and by the Globalists.
[00:47:54.059 --> 00:48:00.642]  That's on record that they write talking points, they've talked about it, that are then given to their writers and written into the show.
[00:48:00.642 --> 00:48:03.023]  That's why there'll be one funny part and one part that isn't funny.
[00:48:03.743 --> 00:48:08.196]  So you know when Jimmy Kimmel came out and said the terrible thing he did, very evil.
[00:48:08.196 --> 00:48:10.102]  You talk about Nuremberg Code violating, you talk about...
[00:48:11.229 --> 00:48:35.007]  Corrupt and said if somebody doesn't take the vaccine now they want to take five a year of a gene therapy that was never approved and by the way the FDA did not approve it they just said we've reissued the emergency so that frauds now come out that it's not gone through the approval process and it's got 39% effectiveness the Pfizer shot and lowers your immunity and that's all real stuff Jimmy that's not me reading off a teleprompter there's no teleprompter in here
[00:48:36.988 --> 00:48:40.610]  There's cameras aimed at me and I'm talking and I got my research right here.
[00:48:40.610 --> 00:48:51.397]  So I'm my own man, Jimmy, and you should go back to writing your own jokes and actually be a comic again and tell the network and tell the globalists to piss off, but that's up to you.
[00:48:51.397 --> 00:49:00.462]  So you come out and you say, unvaccinated people shouldn't get ICU beds and has returned to late night after a two month vacation.
[00:49:00.462 --> 00:49:01.463]  Well, isn't that interesting?
[00:49:01.463 --> 00:49:02.984]  So you're now Dr. Kimmel.
[00:49:04.155 --> 00:49:07.896]  Well, doctors are on record saying if you've already had COVID, you don't want to take the vaccine.
[00:49:07.896 --> 00:49:13.418]  It can kill you in an autoimmune response, and it's 13 times better than the vaccine in an Israeli study.
[00:49:13.418 --> 00:49:14.418]  Natural immunity.
[00:49:14.418 --> 00:49:22.240]  It doesn't matter what the Surgeon General lies about and says in his little Starfleet commander outfit, little admiral outfit, his little Scientology outfit.
[00:49:22.240 --> 00:49:23.861]  So you've got all that going on.
[00:49:25.532 --> 00:49:32.996]  And then Kimmel regurgitates that, oh, everybody's taking this horse dewormer, and the poison control in hospitals are overflowing.
[00:49:32.996 --> 00:49:35.017]  Rolling Stone had to fully retract that.
[00:49:35.017 --> 00:49:36.478]  No one was in the hospital.
[00:49:36.478 --> 00:49:42.761]  Out of millions of calls, they got 11 calls about ivermectin, and only 9 of those were people that thought they might have gotten sick from it.
[00:49:42.761 --> 00:49:47.404]  And yeah, you should consult a physician, and you shouldn't go out and take horse paste on your own.
[00:49:48.024 --> 00:49:50.266]  But the studies do show Ivermectin works.
[00:49:50.266 --> 00:49:56.151]  I'm going to show those to you, Kemmel, because, you know, we're not reading off a teleprompter with stuff written by Tucky Schumer on it.
[00:49:56.151 --> 00:50:06.761]  At least you're not out dancing like Colbert is with that sexually looking at each other with that creep Schumer, you know, whose protégé is Anthony Weiner and that whole sick situation with Epstein.
[00:50:07.421 --> 00:50:15.345]  Ghislaine Maxwell and that whole sinking Hollywood ship we'll get to next hour with Rose McGowan coming out saying that Clintons and Oprah are monsters.
[00:50:15.345 --> 00:50:18.886]  Everybody knows Oprah would pimp women out to Harvey Weinstein.
[00:50:18.886 --> 00:50:20.567]  That's all coming out.
[00:50:20.567 --> 00:50:22.928]  Oprah, I think, will probably go where Weinstein went.
[00:50:22.928 --> 00:50:26.169]  She likes young ladies more than he does.
[00:50:26.169 --> 00:50:28.630]  So, oh yeah, that's coming out.
[00:50:28.630 --> 00:50:29.451]  That's what she's talking about.
[00:50:30.310 --> 00:50:41.884]  So here's Jimmy Kimmel on his sinking Hollywood ship with a third of the ratings he had when he started years ago, because people don't like being lectured by the Democrats riding their talking points, putting all this out.
[00:50:41.884 --> 00:50:50.654]  So he's putting out debunked stories about a horse warmer, debunked stories that AP admitted OK, 2% of the calls were about the horse.
[00:50:51.174 --> 00:50:54.557]  Ivermectin, not 70%.
[00:50:54.557 --> 00:50:55.877]  The hospitals were totally empty.
[00:50:55.877 --> 00:50:57.478]  The doctors that put the story out didn't work there.
[00:50:57.478 --> 00:50:58.859]  It was all a lie.
[00:50:58.859 --> 00:51:00.621]  That all was debunked last Friday.
[00:51:00.621 --> 00:51:02.182]  But here's Kimmel.
[00:51:02.182 --> 00:51:05.944]  Here's Kimmel on Tuesday night.
[00:51:05.944 --> 00:51:09.506]  One, two, three, four, five days later, lying to us.
[00:51:09.506 --> 00:51:10.947]  Because he's not lying.
[00:51:10.947 --> 00:51:13.089]  He's a teleprompter reader.
[00:51:13.089 --> 00:51:14.590]  And then I'm going to show him some of the documents.
[00:51:14.590 --> 00:51:16.071]  But first, here's a segment of the show.
[00:51:16.664 --> 00:51:18.666]  We had a relaxing Labor Day.
[00:51:18.666 --> 00:51:21.749]  It was not a fun Labor Day weekend, COVID-wise.
[00:51:21.749 --> 00:51:26.013]  The number of new cases is up more than 300% from a year ago.
[00:51:26.013 --> 00:51:30.978]  Dr. Fauci said that if hospitals get any more overcrowded, they're going to have to make some very tough choices.
[00:51:30.978 --> 00:51:33.640]  Back in about five seconds.
[00:51:33.640 --> 00:51:39.006]  So Dr. Fauci told us if we got 70% vaccinated, they're up to about 60, we'd have no more cases and we'd be fine.
[00:51:40.216 --> 00:51:47.358]  But now we have 300 to 400, actually, that's a true statement, more people, because Delta is very real, because the vaccine made it mutate and get stronger.
[00:51:47.358 --> 00:51:48.418]  That's how it works, dumbass.
[00:51:48.418 --> 00:51:52.459]  Well, they never made a vaccine for a cold virus.
[00:51:52.459 --> 00:51:57.260]  That's what this is based on, because it kills all the natural ones and creates a super one.
[00:51:57.260 --> 00:52:01.041]  And in chickens, it's called Marek's disease and creates a super virus that kills 100%.
[00:52:01.041 --> 00:52:04.441]  And it's well on its way with more shots doing that.
[00:52:04.441 --> 00:52:06.382]  See, that's called science, Jimmy.
[00:52:07.523 --> 00:52:10.784]  I know you tell jokes and stuff, but this is the world you want your kids living in?
[00:52:10.784 --> 00:52:11.464]  Let's go back to you.
[00:52:38.257 --> 00:52:40.418]  In England, they're saying they're gonna refuse you if you're not shot up.
[00:52:40.418 --> 00:52:41.558]  So that's where this is going.
[00:52:41.558 --> 00:52:44.338]  Oh, you mean all the people having heart attacks?
[00:52:44.338 --> 00:52:46.739]  And heart swelling?
[00:52:46.739 --> 00:52:48.299]  Including young people and dying?
[00:52:48.299 --> 00:52:49.359]  They admit it does?
[00:52:49.359 --> 00:52:51.319]  Oh, you got the shot and you're having a heart attack?
[00:52:51.319 --> 00:52:52.840]  Come on in!
[00:52:52.840 --> 00:52:54.520]  Continue.
[00:52:54.520 --> 00:52:57.521]  Unvaccinated guy who gobbled horse goo?
[00:52:57.521 --> 00:52:58.881]  Rest in peace, Wheezy.
[00:52:58.881 --> 00:53:03.882]  Yeah, kill him!
[00:53:03.882 --> 00:53:04.702]  They didn't take the shot!
[00:53:05.612 --> 00:53:06.213]  Kill him!
[00:53:06.213 --> 00:53:07.173]  Hit pause again.
[00:53:07.173 --> 00:53:08.194]  Back it up five seconds.
[00:53:08.194 --> 00:53:09.355]  Woo!
[00:53:09.355 --> 00:53:10.396]  Kill him!
[00:53:10.396 --> 00:53:13.259]  Don't let him have... Oh, you had a car wreck?
[00:53:13.259 --> 00:53:16.061]  Your app says, your tracker app says you didn't take the shot?
[00:53:16.061 --> 00:53:17.042]  Maybe you have a medical issue?
[00:53:17.042 --> 00:53:17.502]  So what?
[00:53:17.502 --> 00:53:18.223]  Die!
[00:53:18.223 --> 00:53:19.064]  Yeah!
[00:53:19.064 --> 00:53:20.545]  Kill Americans!
[00:53:20.545 --> 00:53:21.506]  Kill them!
[00:53:21.506 --> 00:53:22.347]  Woo!
[00:53:22.347 --> 00:53:22.907]  Woo!
[00:53:22.907 --> 00:53:24.509]  How sick is this, huh?
[00:53:24.509 --> 00:53:27.811]  Continue.
[00:53:27.811 --> 00:53:30.474]  We've still got a lot of...
[00:53:31.584 --> 00:53:32.805]  Pandemawits out there.
[00:53:32.805 --> 00:53:36.769]  People are still taking this Ivermectin.
[00:53:36.769 --> 00:53:44.456]  You know, the poison control centers have seen this spike in calls from people taking this livestock medicine to fight the coronavirus.
[00:53:44.456 --> 00:53:46.478]  But they won't take the vaccine, which is crazy.
[00:53:46.478 --> 00:53:49.781]  It's like if you're a vegan and you're like, no, I don't want a hamburger.
[00:53:49.781 --> 00:53:51.602]  Give me that can of Alpo instead.
[00:53:52.743 --> 00:53:58.849]  One of the reasons these sea biscuits are opting for Ivermectin is because they don't trust Big Pharma.
[00:53:58.849 --> 00:54:05.796]  Which is fine, I guess, except for the fact that Ivermectin is made by Merck, which is the fourth largest pharmaceutical company in the world.
[00:54:05.796 --> 00:54:07.939]  And even Merck is telling people to cut it out.
[00:54:07.939 --> 00:54:09.120]  They released a statement saying,
[00:54:09.500 --> 00:54:14.462]  Ivermectin has no scientific basis for potential therapeutic effect against COVID.
[00:54:14.462 --> 00:54:20.045]  There's no meaningful evidence for clinical activity or clinical efficacy in patients with COVID-19 disease.
[00:54:20.045 --> 00:54:25.007]  And there's a concerning lack of safety data in the majority of studies.
[00:54:25.007 --> 00:54:31.350]  Listen, if a pharmaceutical company says, please don't take the drug we're selling, you should probably listen to them.
[00:54:31.350 --> 00:54:36.353]  Or you could just go with a TikTok posted by a disgraced veterinarian instead.
[00:54:37.513 --> 00:54:40.455]  Meanwhile, these poor horses are like, hey, I have worms.
[00:54:40.455 --> 00:54:42.315]  I need that stuff.
[00:54:42.315 --> 00:54:43.696]  There are worms in my butt.
[00:54:43.696 --> 00:54:44.597]  Do you understand?
[00:54:44.597 --> 00:54:47.978]  Ivermectin did get a big endorsement over the weekend.
[00:54:52.930 --> 00:54:58.075]  Did you hear him say, hey, this is another big drug company too, Merck.
[00:54:58.075 --> 00:55:02.238]  Yeah, I didn't take Merck's Gardasil, which actually killed a bunch of people and was a live virus.
[00:55:02.238 --> 00:55:05.822]  But I would take a lot of Merck's other drugs, and I have, because they work.
[00:55:05.822 --> 00:55:16.011]  See, vaccines have liability protection and have a history of contamination and problems in social control, like shooting blacks up for 40 years and telling them it was vaccines when it was syphilis.
[00:55:16.011 --> 00:55:16.892]  See?
[00:55:16.892 --> 00:55:17.452]  See, Jimmy?
[00:55:17.452 --> 00:55:19.034]  I know history.
[00:55:19.983 --> 00:55:21.263]  So that's why I've got a concern.
[00:55:21.263 --> 00:55:22.424]  It's not that I'm against medicine.
[00:55:22.424 --> 00:55:24.284]  It's not that I'm against technology.
[00:55:24.284 --> 00:55:26.545]  It's that I'm against the globalists and Bill Gates.
[00:55:26.545 --> 00:55:27.705]  Continue.
[00:55:27.705 --> 00:55:28.825]  There are worms in my butt.
[00:55:28.825 --> 00:55:29.765]  Do you understand?
[00:55:29.765 --> 00:55:39.828]  Ivermectin did get a big endorsement over the weekend from one of America's top medical minds, none other than Sandy Hook denier slash internet lunatic Alex Jones.
[00:55:39.828 --> 00:55:41.428]  You know what this is?
[00:55:41.428 --> 00:55:42.768]  This is Ivermectin for humans.
[00:55:42.768 --> 00:55:43.589]  They won a Nobel Prize.
[00:55:43.589 --> 00:55:44.729]  It's an antiviral.
[00:55:44.729 --> 00:55:48.090]  And this is inhalable, or these are the tablets, steroids.
[00:55:48.090 --> 00:55:48.790]  So let me show you.
[00:55:49.770 --> 00:55:51.771]  I was going to do this anyways earlier.
[00:55:51.771 --> 00:55:52.992]  See this?
[00:55:52.992 --> 00:55:53.893]  See this Fauci?
[00:55:53.893 --> 00:55:54.794]  See this Bill Gates?
[00:55:54.794 --> 00:55:57.375]  I'm going to kill those prions, you bastard murderers.
[00:55:57.375 --> 00:55:58.796]  I'm going to hit them with a bioweapon.
[00:55:58.796 --> 00:56:03.780]  I'm going to go to break, come back, play the rest of this, and I'm going to show Kimmel on air.
[00:56:03.780 --> 00:56:07.703]  Journal of Medicine, Journal of Nature saying Ivermectin is a miracle drug.
[00:56:07.703 --> 00:56:11.685]  Oxford University, major labs in the U.S.
[00:56:11.685 --> 00:56:12.766]  But you know what?
[00:56:12.766 --> 00:56:18.931]  Dr. Zelenko already broke a story that I was going to break, because I have a lot of sources, obviously, a lot of high-level people.
[00:56:20.034 --> 00:56:31.002]  Zelenko confirmed with the doctor that actually advises the Google leadership that they're all taking Ivermectin and Hydroxychloroquine and Corsaquine and none of them are taking the so-called vaccine.
[00:56:31.002 --> 00:56:32.643]  Neither is the head of Pfizer.
[00:56:32.643 --> 00:56:33.684]  Queue that up for next segment.
[00:56:33.684 --> 00:56:36.486]  I want to show Jimmy this, because I know he'll end up seeing it.
[00:56:36.486 --> 00:56:38.268]  If I have to, I'll send it to Joe Rogan and he'll send it to him.
[00:56:38.268 --> 00:56:39.529]  Because I care about Jimmy.
[00:56:39.529 --> 00:56:40.890]  I want him to save his soul.
[00:56:40.890 --> 00:56:45.173]  Because if he signs on to this evil, believe me, son, you're on the wrong side of history.
[00:56:45.173 --> 00:56:45.733]  That's coming up.
[00:56:47.145 --> 00:56:51.209]  We are so excited about this because it works so damn well.
[00:56:51.209 --> 00:56:55.114]  I took some of this a few months ago and we finally approved it for almost two years of research.
[00:56:55.114 --> 00:57:05.285]  This new Rainforest Ultra, it's liquid, it's strong, it's got all these herbs, all these compounds, and a whole bunch of natural forms of really concentrated clean caffeine and other goodies.
[00:57:06.670 --> 00:57:12.791]  And it blew me away when I took three or four drops a few months ago and we finally approved this recipe.
[00:57:12.791 --> 00:57:14.092]  I did some yesterday at four.
[00:57:14.092 --> 00:57:14.752]  I was super tired.
[00:57:14.752 --> 00:57:15.132]  Took some.
[00:57:15.132 --> 00:57:17.052]  I was bouncing off the walls at 2 a.m.
[00:57:17.052 --> 00:57:18.673]  This stuff is incredible.
[00:57:18.673 --> 00:57:19.693]  Brain Force Ultra.
[00:57:19.693 --> 00:57:21.233]  A limited supply of the first run.
[00:57:21.233 --> 00:57:22.233]  It's called a limited edition.
[00:57:22.233 --> 00:57:24.074]  If you were thinking about tweaking it, we're not.
[00:57:24.074 --> 00:57:25.754]  It's incredible.
[00:57:25.754 --> 00:57:27.515]  The problem is we've got a limited supply.
[00:57:27.515 --> 00:57:30.775]  At current sales rate, it's going to sell out in five days.
[00:57:30.775 --> 00:57:33.376]  Get your Brain Force Plus while you can and experience.
[00:57:33.996 --> 00:57:39.301]  Rainforest Ultra, the next level of clarity and focus at InfowarsStore.com.
[00:57:39.301 --> 00:57:41.583]  We'll be right back.
[00:57:41.583 --> 00:57:44.786]  There are a lot of energy drinks and energy pills on the market.
[00:57:44.786 --> 00:57:49.510]  And of course, most of them work because if something doesn't work, people aren't going to reorder it.
[00:57:49.510 --> 00:57:51.031]  But they have side effects.
[00:57:51.031 --> 00:57:52.052]  They have chemicals.
[00:57:52.052 --> 00:57:59.759]  They have dyes in them that hurt your brain and hurt your cells and hurt your body in the process and leave you burnt out and hung over.
[00:58:00.399 --> 00:58:12.388]  InfoWars for years has consulted top developers and top labs to bring you BrainForce+, to bring you TurboForce, and other clean formulas that give you long, sustained, focused energy.
[00:58:12.388 --> 00:58:16.692]  Well now, we are introducing something that is at the next level.
[00:58:16.692 --> 00:58:18.253]  Multiple years in development.
[00:58:18.713 --> 00:58:21.134]  It is Brain Force Ultra.
[00:58:21.134 --> 00:58:29.299]  It is a liquid in a dropper and it is twice as strong as Brain Force Plus just in the natural caffeine department.
[00:58:29.299 --> 00:58:37.683]  Then it's got a bunch of other powerful herbs and compounds that will take your focus and your clarity to the next level with clean energy.
[00:58:37.683 --> 00:58:39.084]  And it funds the InfoWar.
[00:58:39.084 --> 00:58:41.705]  Exclusively available at InfoWarStore.com.
[00:58:43.041 --> 00:58:47.883]  I've been fighting as hard as I can for almost 28 years against the globalists.
[00:58:47.883 --> 00:58:49.943]  I wanted to stop their agenda.
[00:58:49.943 --> 00:58:55.425]  I wanted to wake up the world and stop them dead in their tracks before they went operational.
[00:58:55.425 --> 00:58:56.525]  But we failed.
[00:58:56.525 --> 00:58:58.146]  Yes, a lot of people are awake.
[00:58:58.146 --> 00:59:00.026]  Yes, we're not getting caught flat-footed.
[00:59:00.026 --> 00:59:05.008]  But they are going ahead with their full operational de-industrialization, Great Reset.
[00:59:05.948 --> 00:59:14.851]  And that's why it's more important than ever that all viewers and all listeners tell everybody they know about the show, because people are ready to wake up and ready to hear the truth.
[00:59:14.851 --> 00:59:20.012]  So we've got to information warfare the enemy and try to stop their agenda, and we've also got to get personally prepared.
[00:59:20.012 --> 00:59:22.893]  And one of the number one things to do is high-quality, storable food.
[00:59:22.893 --> 00:59:27.675]  We've got the best food ready to ship at very affordable prices at infowarestore.com.
[00:59:27.675 --> 00:59:31.196]  So whether it's a month or a six-month or a year supply or specialty diets,
[00:59:31.476 --> 00:59:32.897]  It's ready to ship right now.
[00:59:32.897 --> 00:59:38.121]  Lock your orders in before food prices go up and before there are long lines in wait.
[00:59:38.121 --> 00:59:40.463]  Because believe me, serious times are coming.
[00:59:40.463 --> 00:59:45.447]  Get ready at InfowarsStore.com.
[00:59:45.447 --> 00:59:48.070]  You're listening to the Alex Jones Show.
[01:00:02.404 --> 01:00:04.284]  Monday through Friday from 11 a.m.
[01:00:04.284 --> 01:00:05.365]  to 3 p.m.
[01:00:05.365 --> 01:00:05.945]  I'm here live.
[01:00:05.945 --> 01:00:10.167]  Don't forget the Washington Journal with Harrison Smith, this excellent, informative, amazing guest.
[01:00:10.167 --> 01:00:14.009]  Harrison's a really smart guy, and a lot of clips and callers.
[01:00:14.009 --> 01:00:14.849]  That is 8 a.m.
[01:00:14.849 --> 01:00:19.311]  Central, Infowars.com, Ford's last show, and then War Room, 3 p.m., needs no introduction.
[01:00:19.311 --> 01:00:20.652]  Owen Schroer.
[01:00:20.652 --> 01:00:22.773]  I had a lot of fun on Owen's show here today, I'll just leave it at that.
[01:00:23.686 --> 01:00:28.591]  Now, let's look at these headlines for Jimmy Kimmel here, because I know he's going to watch this later.
[01:00:28.591 --> 01:00:30.433]  Hey, Jimmy, here's Yahoo News.
[01:00:30.433 --> 01:00:36.940]  Jimmy Kimmel says unvaccinated people shouldn't get ICU beds in his return to late night.
[01:00:36.940 --> 01:00:39.983]  You mean deny people medical care, murder people.
[01:00:39.983 --> 01:00:41.424]  You don't know why they can't take a shot.
[01:00:41.424 --> 01:00:41.965]  You don't care.
[01:00:41.965 --> 01:00:43.386]  You don't care about all the medical reasons.
[01:00:43.386 --> 01:00:44.627]  Just kill them.
[01:00:44.627 --> 01:00:45.348]  And then he goes on.
[01:00:46.431 --> 01:00:47.831]  To call me the Sandy Hook denier.
[01:00:47.831 --> 01:00:54.733]  You know, they're the ones that constantly say Sandy Hook didn't happen in my name and say that I built my operation off that when I barely ever talked about it.
[01:00:54.733 --> 01:01:05.096]  No, these people all glommed on to me because we're famous and we're fighting tyranny to connect me to dead kids at Sandy Hook so that nobody even knows that Adam Lanza killed him.
[01:01:05.096 --> 01:01:06.357]  People think I killed him.
[01:01:06.357 --> 01:01:08.337]  So again, another cheap trick by him.
[01:01:08.337 --> 01:01:09.757]  Jimmy Kimmel returns!
[01:01:09.757 --> 01:01:12.618]  Blast Alex Jones over ivermectin endorsement.
[01:01:12.618 --> 01:01:14.799]  Choice of beverages.
[01:01:14.799 --> 01:01:14.899]  And
[01:01:16.305 --> 01:01:19.126]  That's the weird thing about liberals, especially the trendies that moved to Austin.
[01:01:19.126 --> 01:01:21.106]  They don't know my family founded Texas.
[01:01:21.106 --> 01:01:22.667]  I've had family in Waterloo.
[01:01:22.667 --> 01:01:24.567]  That's what Austin's called since 1820.
[01:01:24.567 --> 01:01:25.828]  I'm not a territorial guy.
[01:01:25.828 --> 01:01:27.208]  They just flipped out.
[01:01:27.208 --> 01:01:27.868]  It was trending.
[01:01:27.868 --> 01:01:29.309]  Jones is drinking Topo Chico.
[01:01:29.309 --> 01:01:34.450]  I've been drinking Topo Chico for 35 years since I first found it in Austin stores from Mexico.
[01:01:34.890 --> 01:01:36.631]  And I like Topo Chico Lime.
[01:01:36.631 --> 01:01:42.474]  And I didn't know you worship it and you think it's yours and it really freaks you out and now it's on Jimmy Kimmel.
[01:01:42.474 --> 01:01:45.335]  But that's the type of idiotic stuff these people obsess on.
[01:01:45.335 --> 01:01:58.362]  I wish you knew more about Ivermectin and not Topo Chico because look, Ivermectin, enigmatic, multifaceted wonder drug, continues to surprise and exceed expectations.
[01:01:58.362 --> 01:02:00.303]  Nature.com, major study.
[01:02:02.165 --> 01:02:03.586]  Now is the time to use Ivermectin.
[01:02:03.586 --> 01:02:07.988]  Tokyo Medical Association Chairman recommends Ivermectin to all doctors who treat COVID.
[01:02:07.988 --> 01:02:12.271]  100% success rate over 10,000 patients with their group of doctors with Ivermectin early.
[01:02:13.595 --> 01:02:17.856]  Then he gave statistics out of Africa and India where they hand it out and they don't die of COVID.
[01:02:17.856 --> 01:02:20.017]  But the places that don't use it die.
[01:02:20.017 --> 01:02:22.717]  I mean, see Jimmy, but that's just a Japanese scientist.
[01:02:22.717 --> 01:02:23.918]  You know, don't listen to him.
