[00:00.000 --> 00:10.000]  Defending the Republic from enemies, foreign and domestic, it's Alex Jones.
[34:25.000 --> 34:29.000]  The NSA has been caught under orders of the White House three months ago.
[34:29.000 --> 34:33.000]  Members of Congress went public, it was picked up by almost no news.
[34:33.000 --> 34:37.000]  Info Wars covered it, Drudge covered it, almost no one else covered it.
[34:37.000 --> 34:41.000]  Members of Congress said they confirmed the cloakroom was bugged.
[34:41.000 --> 34:43.000]  Well, I mean, of course, who do you think's bugged?
[34:43.000 --> 34:53.000]  The Senate, the House, CEOs of major companies, that's what the NSA's for, is to capture trends as they develop,
[34:53.000 --> 34:59.000]  to look over the horizon politically, to be given that economic corporate data to select interest,
[34:59.000 --> 35:05.000]  all paid for by taxpayers at tens of billions a year, well over tens of billions a year,
[35:05.000 --> 35:16.000]  just to pay for that selective data so that they can find the trends or the phenomenon as they first develop and then capitalize on it.
[35:16.000 --> 35:18.000]  That's its big secret.
[35:18.000 --> 35:23.000]  Next, watching political enemies, making sure whistleblowers don't go public.
[35:23.000 --> 35:26.000]  And by the way, they've got all these former NSA employees.
[35:26.000 --> 35:33.000]  I've got several articles today in the stack that we'll try to get to who are going public with what they can say legally.
[35:33.000 --> 35:36.000]  Really legally, if something's illegal, you can say whatever you want about it,
[35:36.000 --> 35:42.000]  but they're persecuting members of the press and whistleblowers now that even follow the law clearly.
[35:42.000 --> 35:46.000]  I mean, if you catch your supervisor in the federal government, you say, murdering children.
[35:46.000 --> 35:50.000]  And they say that, well, we'll arrest you if you whistleblow.
[35:50.000 --> 35:57.000]  And it's covered to release classified info if crimes are being committed within it.
[35:57.000 --> 36:03.000]  This idea that they're above the law is the essence of the T-word, tyranny.
[36:03.000 --> 36:09.000]  And so now the NSA has come out the last week and said, yeah, we're doing stuff that's illegal, we're dragging it.
[36:09.000 --> 36:13.000]  This is what we were told to do by Congress and the executive.
[36:13.000 --> 36:16.000]  And then Congress goes, gee, we didn't know about it.
[36:16.000 --> 36:19.000]  And then it turns out they've been part of it for 20-plus years putting this in place.
[36:19.000 --> 36:25.000]  And then the executive has been even more out of control because it's more centralized.
[36:25.000 --> 36:30.000]  And then you've got the federal judiciary, a knee deep in it.
[36:30.000 --> 36:32.000]  You've got the DEA up to their eyeballs.
[36:32.000 --> 36:34.000]  That's all mainstream news now.
[36:34.000 --> 36:37.000]  And you've got the Justice Department wallowing in it.
[36:37.000 --> 36:38.000]  And don't forget ABC News.
[36:38.000 --> 36:45.000]  Let's put that on screen from 2009 reporting on Israel having, as well as other companies,
[36:45.000 --> 36:53.000]  a communist Chinese company came out last month, overrunning the databases and the private computer systems
[36:53.000 --> 36:55.000]  listening to everyone's phone calls.
[36:55.000 --> 36:56.000]  There it is.
[36:56.000 --> 36:59.000]  Israel Wiretaps, the NSA.
[36:59.000 --> 37:04.000]  James Bamford, a former producer of Nightline, exposes that on Democracy Now.
[37:04.000 --> 37:09.000]  So that's what I'm talking about, folks, is that this is globalism.
[37:09.000 --> 37:19.000]  There's over 800,000 top security clearances in the U.S. for private contractors just for what they call security surveillance,
[37:19.000 --> 37:21.000]  but really it's spying illegally.
[37:21.000 --> 37:23.000]  And that's what's come out in the news.
[37:23.000 --> 37:29.000]  More than 2,000 companies have access to highly classified stuff and are swapping it all around.
[37:29.000 --> 37:34.000]  And hundreds of companies have access to everything.
[37:34.000 --> 37:37.000]  They can dial into your phone call live anytime they want.
[37:37.000 --> 37:39.000]  They can turn your phone on when it's off and listen to you.
[37:39.000 --> 37:40.000]  This is all admitted.
[37:40.000 --> 37:42.000]  They can track everything you're doing.
[37:42.000 --> 37:44.000]  They can plant stuff on your account.
[37:44.000 --> 37:48.000]  Why do you think Google didn't get prosecuted worldwide for driving around with their Google cars,
[37:48.000 --> 37:53.000]  grabbing all the passwords and codes with government backdoors to break into everything?
[37:53.000 --> 37:59.000]  I told you all that five years ago, it's now mainstream news.
[37:59.000 --> 38:04.000]  And the entire hacker community, by the way, the White Hat folks have known this forever.
[38:04.000 --> 38:08.000]  That's why they killed Aaron Schwartz, who was really one of the heads of Anonymous,
[38:08.000 --> 38:12.000]  murdering, hanging.
[38:12.000 --> 38:20.000]  That's why they've got people like Barrett Brown in jail up in Dallas with over a dozen federal charges for nothing,
[38:20.000 --> 38:24.000]  because he might have known the person that hacked into Stratford,
[38:24.000 --> 38:29.000]  one of the little sub-propaganda arms of the CIA that's based here in Austin, Texas.
[38:29.000 --> 38:36.000]  And you've got all of this stuff going on.
[38:36.000 --> 38:43.000]  And they raid this guy, and clearly even mainstream media, even the Dallas Morning News admits,
[38:43.000 --> 38:44.000]  have shut him up.
[38:44.000 --> 38:52.000]  They're going after anybody who might be able to expose the criminal stuff that's going on inside the federal government.
[38:52.000 --> 38:57.000]  And all these select groups that are given access to all this private data,
[38:57.000 --> 39:02.000]  and then just swap it and trade it and shell it 24-7.
[39:02.000 --> 39:06.000]  And then here's Obama, can we cue it back up, saying there's not even an allegation
[39:06.000 --> 39:09.000]  that we're doing anything wrong with your information.
[39:09.000 --> 39:19.000]  Here it is, Senator comes out and admits that Congress doesn't know the extent of the NSA surveillance.
[39:19.000 --> 39:21.000]  That's Corker.
[39:21.000 --> 39:27.000]  It comes out that employees each dropped on love interest, significant others.
[39:27.000 --> 39:28.000]  I mean, these are the headlines.
[39:28.000 --> 39:30.000]  That's an old telegraph.
[39:30.000 --> 39:34.000]  And it goes on and on and on and on and on and on.
[39:34.000 --> 39:38.000]  And then now we've got all these different former NSA employees coming out and saying,
[39:38.000 --> 39:41.000]  we don't want to be part of this, we want to speak out.
[39:41.000 --> 39:43.000]  We want to say no.
[39:43.000 --> 39:45.000]  We want to do the right thing.
[39:45.000 --> 39:47.000]  Congress, of course, knows what's going on.
[39:47.000 --> 39:49.000]  But Dick Cheney says we need to protect America.
[39:49.000 --> 39:51.000]  That's the quote we need to protect this nation.
[39:51.000 --> 39:56.000]  You mean the special interests that have taken it over and are looting it, Cheney?
[39:56.000 --> 39:58.000]  So that's just some of what we're dealing with.
[39:58.000 --> 40:05.000]  There's a zero-hedge article that has the headline, Internet Architects Plan Counterattack on NSA Snooping.
[40:05.000 --> 40:11.000]  And that's why the Pentagon is announcing they're going to be going after even domestic bloggers
[40:11.000 --> 40:16.000]  that expose what's happening as if bloggers and alternative media are the enemy.
[40:16.000 --> 40:23.000]  Because if you are a criminal, foreign, globalist combine that's gotten control of the federal government,
[40:23.000 --> 40:26.000]  it's also being reported by the Financial Times of London.
[40:26.000 --> 40:32.000]  If all of that's going on, a real Americans or Liberty Lovers period worldwide
[40:32.000 --> 40:38.000]  that instinctively stand against what you're doing, you're going to have to go after them.
[40:38.000 --> 40:42.000]  You're going to have to shut them down.
[40:42.000 --> 40:48.000]  You're going to have to silence them or you're not going to be able to fully take over
[40:48.000 --> 40:52.000]  and do all the tyrannical things you have planned, which the sky's the limit.
[40:52.000 --> 40:55.000]  The level of tyranny you'll live under is the exact amount you'll put up with.
[40:55.000 --> 41:00.000]  Because there are no allegations, and I am very confident in knowing the NSA and how they operate,
[41:00.000 --> 41:06.000]  that purposely somebody's out there trying to abuse this program or listen in on people's emails.
[41:06.000 --> 41:11.000]  Yeah, there's no allegations. It's on record that they targeted hundreds of major churches,
[41:11.000 --> 41:15.000]  that they targeted the Associated Press, that they targeted small blogs,
[41:15.000 --> 41:20.000]  that they targeted federal employees to find out if they were criticizing their boss and their private email,
[41:20.000 --> 41:25.000]  that they've used it to intimidate and harass and sexually harass men and women alike.
[41:25.000 --> 41:33.000]  That it's been used to absolutely find financial data out against groups that aren't part of the inside track.
[41:33.000 --> 41:36.000]  All of this is public.
[41:36.000 --> 41:42.000]  So you're right, Obama, there aren't allegations. It's absolute fact that on your corrupt watch,
[41:42.000 --> 41:46.000]  this stuff has ballooned, has exploded.
[41:46.000 --> 41:54.000]  I mean, I thought Bush was bad. This is warp speed garbage that is going on right now.
[41:54.000 --> 41:59.000]  And it's despicable. And then I see all these left shows in MSNBC and others.
[41:59.000 --> 42:03.000]  I've seen them. In fact, remind me to find that clip. I want to put a clip of that in the Obama deception too.
[42:03.000 --> 42:07.000]  A few months ago, they're like, of course we're spying on the Tea Party. They're dangerous.
[42:07.000 --> 42:12.000]  Of course we're telling these pro-life groups what they can do. These are bad people.
[42:12.000 --> 42:17.000]  Good job. We need to be, you know, going after these people for their speech.
[42:17.000 --> 42:21.000]  I mean, they're proud of it. They're authoritarians. They're not liberals.
[42:21.000 --> 42:25.000]  And if you had Republicans doing stuff like this, you know I'd be against them.
[42:25.000 --> 42:29.000]  I was. I was against Clinton because he was a horrible globalist.
[42:29.000 --> 42:31.000]  I was against Bush. He was a horrible globalist.
[42:31.000 --> 42:35.000]  But I'm telling you, with Obama, because they can politically go,
[42:35.000 --> 42:39.000]  oh, he's black, everything's okay. You're racist if you criticize him.
[42:39.000 --> 42:43.000]  This stuff is doubled and then tripled what it was previously.
[42:43.000 --> 42:48.000]  Now, the big news. The many analysts say it could lead to a wider regional war.
[42:48.000 --> 42:52.000]  And even in World War III, the situation in Syria straight ahead.
[42:52.000 --> 42:55.000]  Then we'll talk to a gun confiscation victim.
[42:55.000 --> 42:59.000]  They won't even tell him why they took his gun. Stay with us.
[43:00.000 --> 43:05.000]  Dozens of diseases ranging from the common cold and flu to MRSA and pneumonia
[43:05.000 --> 43:08.000]  are all caused by infectious pathogens.
[43:08.000 --> 43:12.000]  Fortunately, a simple, safe and effective alternative exists.
[43:12.000 --> 43:18.000]  Supernatural silver is a new and vastly improved type of silver solution that is safe
[43:18.000 --> 43:23.000]  and extremely effective against 143 types of bacteria, both forms of viruses,
[43:23.000 --> 43:26.000]  mold and yeast, and a limited number of parasites.
[43:26.000 --> 43:29.000]  It can even purify water.
[43:29.000 --> 43:34.000]  Supernatural silver comes in both liquid and gel for internal or external use.
[43:34.000 --> 43:39.000]  With over 180 scientific studies by independent universities, hospitals,
[43:39.000 --> 43:44.000]  research institutions and nursing homes, Supernatural silver is a powerful weapon
[43:44.000 --> 43:46.000]  in the fight against disease.
[43:46.000 --> 43:51.000]  To see how Supernatural silver can give you and your loved ones protection and peace of mind,
[43:51.000 --> 43:54.000]  go to supernaturalsilver.com.
[43:54.000 --> 43:59.000]  Use the promo code PROTECTED for 20% off and like us on Facebook.
[43:59.000 --> 44:03.000]  Calben Soap Company can save you thousands of dollars
[44:03.000 --> 44:07.000]  and give you good old-fashioned real soap that is triple concentrated
[44:07.000 --> 44:11.000]  and made from the highest quality vegetable and coconut oils.
[44:11.000 --> 44:15.000]  See them on the web www.5starsoap.com
[44:15.000 --> 44:22.000]  or call 1-800-340-7091 for a free catalog and buy American-made products.
[44:22.000 --> 44:25.000]  Order the sampler, a one to two month supply,
[44:25.000 --> 44:29.000]  or get a one to two year supply of soaps for all your cleaning needs.
[44:29.000 --> 44:32.000]  You're getting soap products twice as good as what you're using now.
[44:32.000 --> 44:37.000]  This is an amazing deal and you will love the way real soap makes your skin feel.
[44:37.000 --> 44:44.000]  Call 1-800-340-7091 or visit www.5starsoap.com.
[44:44.000 --> 44:49.000]  Alex and his staff have used these earth friendly pure soaps for years.
[44:49.000 --> 44:53.000]  See them on the web www.5starsoap.com
[44:53.000 --> 44:59.000]  or call 1-800-340-7091 for a catalog.
[44:59.000 --> 45:03.000]  Protecting your home with a security system is a must,
[45:03.000 --> 45:06.000]  but when it comes to protecting your family, your home and belongings,
[45:06.000 --> 45:09.000]  there's no need to sign a long term contract.
[45:09.000 --> 45:12.000]  Listen, there is some real scum in the alarm business
[45:12.000 --> 45:16.000]  cashing in by locking you into long punishing contracts,
[45:16.000 --> 45:18.000]  not with simply safe home security.
[45:18.000 --> 45:20.000]  They're the good guys.
[45:20.000 --> 45:23.000]  You can trust simply safe to protect your family.
[45:23.000 --> 45:26.000]  Simply safe was created by a Harvard Business School engineer
[45:26.000 --> 45:31.000]  and it's revolutionary. You'll get 24-hour protection for just $14.99 a month.
[45:31.000 --> 45:34.000]  There are no hidden fees and no contracts.
[45:34.000 --> 45:38.000]  You'll save thousands, plus you're protected by their 100% money back guarantee.
[45:38.000 --> 45:42.000]  Protect yourself against home invasions and break-ins.
[45:42.000 --> 45:46.000]  Order your Simply Safe system now and receive a wireless keychain remote,
[45:46.000 --> 45:51.000]  a $25 gift, free, so don't waste your time dealing with scum.
[45:51.000 --> 45:58.000]  Visit GetSimplySafe.com
[46:21.000 --> 46:24.000]  All pitch in to take care of those who really can't.
[46:24.000 --> 46:27.000]  The new Justin Case Pack from eFoodsDirect is the big brother
[46:27.000 --> 46:32.000]  to the 7-day emergency pack designed for Oklahoma disaster donations.
[46:32.000 --> 46:36.000]  It contains a two-month supply for one person or a one-month supply for two adults
[46:36.000 --> 46:39.000]  or a two-week supply for a family of four.
[46:39.000 --> 46:43.000]  The $320 price is $50 less than retail.
[46:43.000 --> 46:49.000]  Call 800-409-5633 on the web eFoodsDirect.com slash Alex.
[46:49.000 --> 46:52.000]  Order two or more, get 10% off, free shipping applies.
[46:52.000 --> 47:01.000]  Call 800-409-5633 on the web eFoodsDirect.com slash Alex.
[47:01.000 --> 47:04.000]  Coast to coast, direct from Austin.
[47:04.000 --> 47:10.000]  You're listening to the Alex Jones Broadcasting Network.
[47:10.000 --> 47:16.000]  From the front lines of the Information War, it's Alex Jones.
[47:16.000 --> 47:36.000]  All right, ladies and gentlemen,
[47:36.000 --> 47:39.000]  final segment of this hour and the next hour,
[47:39.000 --> 47:42.000]  I'm going to get into the actual document and the quotes
[47:42.000 --> 47:45.000]  from the Department of Defense training manual
[47:45.000 --> 47:49.000]  that spins about a third of its time bad-mouthing
[47:49.000 --> 47:56.000]  everything from the founding fathers to tea party to land rides groups
[47:56.000 --> 47:59.000]  to people that quote want to make the world a better place.
[47:59.000 --> 48:03.000]  They say that's code as the new enemy of the extremist
[48:03.000 --> 48:05.000]  and that's their main enemy.
[48:05.000 --> 48:07.000]  Of course, if they read the other FBI training manuals,
[48:07.000 --> 48:11.000]  they would find out that the number one enemy the state police are taught
[48:11.000 --> 48:16.000]  is learning veterans and then gun owners and then libertarians
[48:16.000 --> 48:18.000]  and then conservatives like a few months ago,
[48:18.000 --> 48:21.000]  as we've talked a lot about and did an article on,
[48:21.000 --> 48:24.000]  it was in the Denver Post, they were defending it though,
[48:24.000 --> 48:25.000]  like it was a good idea.
[48:25.000 --> 48:27.000]  But there was a big furor with the state police
[48:27.000 --> 48:31.000]  when it was over 100 senior ones were in a federal training auditorium
[48:31.000 --> 48:36.000]  and were taught to be prepared to confiscate Christians' guns
[48:36.000 --> 48:38.000]  because they are an end times cult.
[48:38.000 --> 48:40.000]  They believe in the second coming of Christ.
[48:40.000 --> 48:42.000]  One thing Janet Reno famously said on 60 Minutes,
[48:42.000 --> 48:47.000]  back in like 1994, I think it was, right after Wakeup,
[48:47.000 --> 48:50.000]  and a bunch of them walked out and freaked out.
[48:50.000 --> 48:51.000]  See, see, that's normal.
[48:51.000 --> 48:54.000]  You're supposed to freak out, folks,
[48:54.000 --> 48:57.000]  when somebody bad-mouts the founding fathers and says,
[48:57.000 --> 49:01.000]  we may have to arrest Christians and take their guns en masse.
[49:01.000 --> 49:04.000]  I mean, that's when you like freak out.
[49:04.000 --> 49:06.000]  Like, you know, this is a takeover.
[49:06.000 --> 49:09.000]  I mean, in the old days, have you heard somebody like in their office
[49:09.000 --> 49:11.000]  or let's say you were in an apple barrel,
[49:11.000 --> 49:16.000]  like in Treasure Island, the fiction.
[49:16.000 --> 49:18.000]  And then he hears who he thought was the cook,
[49:18.000 --> 49:20.000]  who's really the captain of the pirates going,
[49:20.000 --> 49:23.000]  I, once we get to shore, we'll kill him as sure as you know
[49:23.000 --> 49:26.000]  and get the gold Billy Bones as treasure.
[49:26.000 --> 49:28.000]  I, you know, and then they go, he goes to the captain,
[49:28.000 --> 49:30.000]  they get their guns, they stop him.
[49:30.000 --> 49:33.000]  And then there's a big counter mutiny or whatever
[49:33.000 --> 49:35.000]  and then some unscape or whatever, you know, the story.
[49:35.000 --> 49:37.000]  But I mean, it's like, well, they're not,
[49:37.000 --> 49:41.000]  we're not in an apple barrel hearing them talking about their takeover.
[49:41.000 --> 49:46.000]  We are right out in the open seeing just open pirates saying,
[49:46.000 --> 49:48.000]  we're the enemy.
[49:48.000 --> 49:51.000]  It's, it's, it's unbelievable.
[49:51.000 --> 49:55.000]  I can't even believe it when judicial watch gets these documents
[49:55.000 --> 49:58.000]  and the Justice Department responds and defends them.
[49:58.000 --> 50:01.000]  Because the Justice Department runs the Pentagon now, basically.
[50:01.000 --> 50:03.000]  It is unbelievable.
[50:03.000 --> 50:06.000]  So we're going to get into that and a lot of other really important news.
[50:06.000 --> 50:09.000]  But I mean, this serious situation, I've been talking about it
[50:09.000 --> 50:11.000]  for two and a half years.
[50:11.000 --> 50:15.000]  Our listeners pretty much already know all the details.
[50:15.000 --> 50:21.000]  I am shocked by the fact that it looks like they're going to get away with it again.
[50:21.000 --> 50:23.000]  And then they're going to do it again and again and again.
[50:23.000 --> 50:27.000]  They got us into the Spanish-American war by blowing up our own ship,
[50:27.000 --> 50:30.000]  the USS Maine in 1898.
[50:30.000 --> 50:34.000]  Hitler got Germany into war by staging attacks on his own military bases
[50:34.000 --> 50:37.000]  in Operation Himmler in places like Gliwitz.
[50:37.000 --> 50:39.000]  That's, that's declassified in public.
[50:39.000 --> 50:41.000]  I'm giving you historical accounts here.
[50:41.000 --> 50:43.000]  If you want to go look them up, it's all on record.
[50:43.000 --> 50:46.000]  Galvaton can 64 to fully get us into the Vietnam War,
[50:46.000 --> 50:49.000]  fake attack on our ship or ships.
[50:49.000 --> 50:52.000]  I mean, there's so many examples of this.
[50:52.000 --> 50:57.000]  The 53 coup was based on a staged provocateur false flag.
[50:57.000 --> 51:03.000]  That was declassified last week confirming everything I put in my terror storm film 2006.
[51:03.000 --> 51:06.000]  It wasn't hard to know that.
[51:06.000 --> 51:09.000]  I mean, the guy that led the operation, the CIA commander,
[51:09.000 --> 51:13.000]  Kermit Roosevelt wrote a best-selling book bragging about it all.
[51:13.000 --> 51:17.000]  It wasn't like I, it wasn't like I was imagining this or anything.
[51:17.000 --> 51:21.000]  But that's just some of the basic facts there.
[51:21.000 --> 51:29.000]  Assad, Assad is not an angel, but he's not attacking anybody
[51:29.000 --> 51:31.000]  and he was democratizing the country.
[51:31.000 --> 51:36.000]  And the globalists use that democratization to be able to get their al-Qaeda forces pre-deployed.
[51:36.000 --> 51:41.000]  And now for two and a half years, they've attacked out of Jordan and out of Turkey
[51:41.000 --> 51:45.000]  with mainly Saudi Arabian sheep dipped jihadi.
[51:45.000 --> 51:49.000]  Sheep dipped is where you take a military person and then put them in civilian clothes.
[51:49.000 --> 51:53.000]  And they've dumped over 100,000 in the last two and a half years.
[51:53.000 --> 51:55.000]  They have been caught three times.
[51:55.000 --> 51:58.000]  In fact, as you guys give me the Yahoo article, I know you showed it on screen,
[51:58.000 --> 52:00.000]  but I want to read it for people.
[52:00.000 --> 52:03.000]  In January, Yahoo had to admit, oh, it's confirmed.
[52:03.000 --> 52:07.000]  The rebels launched this chemical attack to blame it on Syria.
[52:07.000 --> 52:09.000]  And there it is, flashback.
[52:09.000 --> 52:12.000]  Yahoo uncovered Syrian chemical weapons false flag in January.
[52:12.000 --> 52:14.000]  BBC Today said it was an accident.
[52:14.000 --> 52:16.000]  Yeah, sure.
[52:16.000 --> 52:18.000]  Jeffrey Dahmer, it was an accident too.
[52:18.000 --> 52:21.000]  Put up fake photos of masses of dead people.
[52:21.000 --> 52:23.000]  Now, I want to be clear.
[52:23.000 --> 52:24.000]  In fact, there it is, flashback.
[52:24.000 --> 52:28.000]  BBC News uses Iraq photos to illustrate Syrian massacre.
[52:28.000 --> 52:33.000]  And we actually go to our story on that and show people that, you know,
[52:33.000 --> 52:36.000]  they showed a lot more people dead in Iraq than have actually been killed in Syria.
[52:36.000 --> 52:38.000]  I don't know if Assad did this.
[52:38.000 --> 52:42.000]  There is a chance that there are really leprechauns at the end of rainbows,
[52:42.000 --> 52:45.000]  that maybe there are unicorns.
[52:45.000 --> 52:52.000]  I mean, maybe there are WMDs in Iraq, folks.
[52:52.000 --> 52:58.000]  This very rebel group and the Saudi Arabian TV network that put this out,
[52:58.000 --> 53:03.000]  it turns out they'd uploaded the massacre videos a day before.
[53:03.000 --> 53:06.000]  You can look that up on inforwars.com, we have an article about it.
[53:06.000 --> 53:11.000]  So the massacre happened, but they staged it,
[53:11.000 --> 53:18.000]  killed some people, shot video of it, then put it out.
[53:18.000 --> 53:22.000]  The next day with it all scripted.
[53:22.000 --> 53:27.000]  And that way they could control the story and make sure they weren't going to get caught.
[53:27.000 --> 53:30.000]  And that's as best we can tell from the information.
[53:30.000 --> 53:33.000]  It's about a 99% in my brain,
[53:33.000 --> 53:39.000]  guesstimation that this was completely staged by the Al Qaeda rebels to,
[53:39.000 --> 53:44.000]  I mean, Obama said a year ago to the day, a year ago to the day of last week,
[53:44.000 --> 53:47.000]  was it Wednesday the nerve gas attack happened?
[53:47.000 --> 53:50.000]  It was a year ago to the day.
[53:50.000 --> 53:53.000]  And that's an open message to everybody who did it in the world,
[53:53.000 --> 53:55.000]  who's informed in governments.
[53:55.000 --> 53:58.000]  Because the globalists want other governments knowing, look how ruthless we are.
[53:58.000 --> 54:00.000]  We gave nerve gas to Al Qaeda.
[54:00.000 --> 54:03.000]  You better do what we say.
[54:03.000 --> 54:10.000]  And so it is just absolutely ridiculous that this is going on.
[54:10.000 --> 54:16.000]  I mean, when you've got a rebel group three times caught staging small chemical attacks
[54:16.000 --> 54:21.000]  on Assad, two before Obama's red line speech, one after,
[54:21.000 --> 54:25.000]  so that Obama could say, if there's a chemical attack,
[54:25.000 --> 54:30.000]  we're going to start a no fly zone and start bombing you with the peace bombs just like Libya.
[54:30.000 --> 54:35.000]  And we're going to put Al Qaeda in charge just like we tried to do in Egypt.
[54:35.000 --> 54:41.000]  And then right on time, see, this is all targeting unconscious people that barely pay attention to the news
[54:41.000 --> 54:47.000]  and just go, hey, there's some foreigner, did you hear that guy in Syria nerve gas his people?
[54:47.000 --> 54:50.000]  When the average person doesn't even know what nerve gas is.
[54:50.000 --> 54:54.000]  I mean, I'm sad to say this, but the general public's not studied military affairs.
[54:54.000 --> 54:56.000]  They don't study James Weppens quarterly.
[54:56.000 --> 54:58.000]  They don't know what the Bathis party is.
[54:58.000 --> 54:59.000]  They don't know what Jihadis are.
[54:59.000 --> 55:02.000]  They don't know what the Wahhabis are.
[55:02.000 --> 55:05.000]  They don't know who the Qatari special forces are.
[55:05.000 --> 55:17.000]  They don't know that Turkey has been off and on bombarding major parts of Syria with heavy artillery for no reason.
[55:17.000 --> 55:21.000]  So they can inject troops in and give them beachheads.
[55:21.000 --> 55:25.000]  I mean, this is the West carving up Syria to break it in three pieces.
[55:25.000 --> 55:27.000]  They've said that publicly.
[55:27.000 --> 55:29.000]  That's the plan a month ago.
[55:29.000 --> 55:32.000]  Henry Kissinger was back on the news saying that's the plan with actually winning.
[55:32.000 --> 55:36.000]  This is our plan destabilized breaking at least two to three pieces.
[55:36.000 --> 55:38.000]  That's the program.
[55:38.000 --> 55:45.000]  Wesley Clark, the general, former head NATO general has gone public in briefings where they plan this back under Clinton.
[55:45.000 --> 55:56.000]  I mean, this is all a long term plan and they're using Al Qaeda to enter a country, blow up all the churches, engage in every massacre you can imagine.
[55:56.000 --> 56:01.000]  And the neocon talk show host on Friday, I confirmed and went and heard the clips.
[56:01.000 --> 56:03.000]  All the big names, you know, they are.
[56:03.000 --> 56:13.000]  They said, well, I don't like Obama and his wars, but we've got to get behind this because, you know, we've got to have NATO and Obama is not tough enough.
[56:13.000 --> 56:15.000]  So see, Obama could play the part of a peacenake.
[56:15.000 --> 56:18.000]  Oh, everyone's begging me to launch another peace prize action.
[56:18.000 --> 56:23.000]  Maybe I'll get another peace prize like turning Libya over to Al Qaeda and all the mass murder there.
[56:23.000 --> 56:25.000]  It is amazing.
[56:25.000 --> 56:29.000]  It is amazing to see a total replay of all of this.
[56:29.000 --> 56:34.000]  So senior administration official, very little doubt of sovereign regime on alleged chemical attack.
[56:34.000 --> 56:39.000]  The Hegel, the head of the Defense Department says they're getting ready to do something.
[56:39.000 --> 56:43.000]  Why Hegel, U.S. prepared for all contingencies.
[56:43.000 --> 56:53.000]  Syrian massacre, BBC News, Iraq photos to illustrate Syrian massacre uses uses five year old photos.
[56:53.000 --> 56:55.000]  No, no, 2003 photos.
[56:55.000 --> 56:56.000]  My goodness.
[56:56.000 --> 56:57.000]  That's 10 years ago.
[56:57.000 --> 56:59.000]  U.S. set stage for bigger role in Syria.
[56:59.000 --> 57:05.000]  Wall Street Journal, they've already launched the invasion with CIA special ops months ago.
[57:05.000 --> 57:08.000]  They're already on the ground out of Jordan on record.
[57:08.000 --> 57:12.000]  Russia warns U.S. not to repeat Syria past mistakes in region.
[57:12.000 --> 57:13.000]  It's not mistakes.
[57:13.000 --> 57:15.000]  So they lie about WMDs.
[57:15.000 --> 57:17.000]  They lie about everything else.
[57:17.000 --> 57:21.000]  Syria has been telling the U.N. they can inspect the media spends it like too late.
[57:21.000 --> 57:25.000]  You didn't let us inspect immediately, which isn't even true.
[57:25.000 --> 57:29.000]  They want to go in there and then they think you're so dumb.
[57:29.000 --> 57:35.000]  A year after they break up Syria, our government will be bombing the Al Qaeda people they put in charge
[57:35.000 --> 57:40.000]  and taking our rights here in America because Al Qaeda has been given heat-seeking missiles
[57:40.000 --> 57:43.000]  by the criminal globalists that run our government.
[57:43.000 --> 57:44.000]  Second hour coming up.
[57:44.000 --> 57:55.000]  Tell your friends and family to tune in in FullWars.com.
[58:15.000 --> 58:19.000]  Your self-produced nano-silver solutions can be applied topically to the skin.
[58:19.000 --> 58:23.000]  For many who are new to silver that wish to try silver for the first time,
[58:23.000 --> 58:29.000]  we offer a full line of consumables and cosmetics such as our two-ounce nano-silver nasal sprays,
[58:29.000 --> 58:36.000]  our nano-silver soap, and our most popular product, the all-natural nano-silver gel.
[58:36.000 --> 58:44.000]  Visit www.silverlungs.com to learn more about the industry-leading technology of the Silver Lungs system.
[58:44.000 --> 59:07.000]  That's www.silverlungs.com.
[59:15.000 --> 59:21.000]  When somebody obscures that feedback loop between you observing and testing it out and verifying it,
[59:21.000 --> 59:23.000]  they can take total control of your awareness.
[59:23.000 --> 59:26.000]  All of this is happening so fast, you need to be ahead of the game.
[59:26.000 --> 59:33.000]  How to engineer the opinion of the American people so that they would not only endorse but demand a war.
[59:33.000 --> 59:45.000]  Out of another one, another plane to set.
[01:00:04.000 --> 01:00:08.000]  Deep behind enemy lines, the information war continues.
[01:00:08.000 --> 01:00:14.000]  It's Alex Jones and the GCN Radio Network.
[01:00:14.000 --> 01:00:19.000]  Alright, coming up in the next segment, Joe Mendes, one of thousands to have his guns taken to California
[01:00:19.000 --> 01:00:21.000]  and they won't tell him why they took him.
[01:00:21.000 --> 01:00:24.000]  We'll see if he's found anything else as we talked to him a few days ago.
[01:00:24.000 --> 01:00:26.000]  He'll join us on the show coming up.
[01:00:26.000 --> 01:00:31.000]  Here is our own David Knight's report to give you the intel on it before we go to him after the break.
[01:00:31.000 --> 01:00:35.000]  This morning, NPR carried a gung-ho report on gun confiscation in California.
[01:00:35.000 --> 01:00:41.000]  They accompanied a gang of government employees as they went about confiscating guns as they put it one by one.
[01:00:41.000 --> 01:00:47.000]  We're riding in a caravan of four unmarked trucks through the bedroom communities of the San Francisco East Bay.
[01:00:47.000 --> 01:00:54.000]  The trucks carry nine state agents wearing bulletproof vests and armed with 40 caliber Glock pistols and tasers.
[01:00:54.000 --> 01:00:58.000]  They'll spend the next six hours looking for illegal guns.
[01:00:58.000 --> 01:01:05.000]  Well, isn't that exciting and fun? But one thing that was missing from the NPR report was the constitutional perspective.
