[00:00.000 --> 00:08.000]  We now take you live to the Central Texas Command Center and the heart of the resistance.
[36:33.000 --> 36:39.000]  Wow. Well, we're going to be finding out here pretty soon. You know, they're talking about devastation on the East Coast.
[36:39.000 --> 36:47.000]  Gerald, you've been in Europe the last week. What is your take on Hurricane Sandy and the horrible responsive government?
[36:47.000 --> 36:55.000]  They claimed all these great things as usual, couldn't deliver. And it turned it out it was community centers, churches and individuals helping the public.
[36:55.000 --> 37:02.000]  But I saw numbers and I talked to listeners who confirmed it in New York, New Jersey and other areas more than half the public made no preparation.
[37:02.000 --> 37:14.000]  Even as they were told, the storm was coming in. If the depression continues to worsen, what's going to happen to all these people out there that absolutely have to be taken care of?
[37:14.000 --> 37:17.000]  Or they're just going to go and die, basically.
[37:17.000 --> 37:27.000]  You know, Alex, look at the people. By the way, as I said, you have loads of fans everywhere. And a lot of them are telling me, boy, we're glad we're Preppers.
[37:27.000 --> 37:36.000]  We're glad we're survivalists. Hey, how come they're not making fun of them? Hey, toilet paper, record rules when I do pessimism porn.
[37:36.000 --> 37:51.000]  I guess you must be a porn dealer if you're a prepper, right? I saw that little clown, Krugman, bragging about what a great job Obama is doing, even though he doesn't have electricity in his house.
[37:51.000 --> 38:02.000]  The entire system is collapsing. They can't cope with it. Let's put this in perspective, Alex. This was a category one hurricane.
[38:02.000 --> 38:10.000]  In real countries, you know what they have? They have floodgates in front of tunnels. You know what they have in real countries, Alex?
[38:10.000 --> 38:19.000]  They have subway systems that doesn't make you feel that you're in the whole of Calcutta when you go into the New York subway system.
[38:19.000 --> 38:26.000]  You know what they have in real countries, Alex? They have their power lines buried beneath the ground.
[38:26.000 --> 38:33.000]  You know what they have in real countries, Alex? They have real civil defense systems.
[38:33.000 --> 38:38.000]  You know what they have in other countries, Alex? They take care of the people.
[38:38.000 --> 38:48.000]  The people, everybody makes fun of Preppers. If you can't see why you should be prepared now, you're never going to see it.
[38:48.000 --> 39:02.000]  Now, let's put this into perspective fully. Let's suppose that there's a real terror strike in Manhattan or Atlanta or in Washington or San Francisco.
[39:02.000 --> 39:12.000]  Let's suppose that because of the United States foreign policy, you know they have those wonderful terror Tuesdays when President Obama signs off,
[39:12.000 --> 39:19.000]  oh, let's kill that guy, let's kill this one, and they kill a lot of innocent people, and someone wants to get even.
[39:19.000 --> 39:26.000]  Suppose a dirty bomb goes off. Suppose there's a terror strike with a suitcase size nuke.
[39:26.000 --> 39:34.000]  Suppose there is a biological warfare weapon. You want to see the systems break down.
[39:34.000 --> 39:43.000]  You want to see entire sections of the country go off the grid. They're ill-prepared to handle it.
[39:43.000 --> 39:55.000]  What are they going to do? Put Janet Napolitano on a force and drive out and save the day? They better get a Clydesdale far.
[39:55.000 --> 40:11.000]  Gerald, what's going to happen to the system, though, as not just here, but all over the world, the fraud of government and these corrupt insider monopoly corporations comes out.
[40:11.000 --> 40:14.000]  I mean, I guess they just think their police state is going to protect them.
[40:14.000 --> 40:25.000]  Yes, it's global. As I mentioned to the conference here tonight, there's a leadership vacuum worldwide. Let's call a spade a spade.
[40:25.000 --> 40:33.000]  Call these clowns who they are and see how ignorant they are and how everything they've tried, they failed at.
[40:33.000 --> 40:50.000]  You've got Cameron over in the U.K. and Kenny over here. You've got Obama there and you've got Merkel over here. You've got Rajoystick over there and you've got Barroso now and one of the commissioners in Europe telling people what to do.
[40:50.000 --> 41:07.000]  You've got Draghi and three-card Monty over in Italy. You've got one loser after another. You've got Ben Bernanke. You've got one loser after another that's destroying the system in front of everybody's eyes.
[41:07.000 --> 41:14.000]  And then they're telling us, give us more power. We know how to fix it. Oh, brilliant.
[41:14.000 --> 41:23.000]  The same clowns that messed it up are now going to fix it. The systems are collapsing. Oh, I can't forget about China.
[41:23.000 --> 41:31.000]  66% of the Chinese companies that are listed are late in paying their bills.
[41:31.000 --> 41:39.000]  The Chinese government has lowered interest rates two times within the last three weeks to keep propping up the economy.
[41:39.000 --> 41:46.000]  They're dumping trillions of yuan into the system trying to pump up the failing housing bubble.
[41:46.000 --> 41:53.000]  Over here in Europe, they came out with a new line, outright monetary transactions.
[41:53.000 --> 42:00.000]  The stupid people who can't think, we'll just call it OMT. Isn't that a nice name?
[42:00.000 --> 42:09.000]  That means dumping more paper money on top of other worthless paper money to cover the other worthless paper money that they can't cover.
[42:09.000 --> 42:14.000]  The entire systems are collapsing. Here's my forecast, Alex.
[42:14.000 --> 42:20.000]  I'm voting for Obama to win. Not that I'm voting for him. I'm not voting.
[42:20.000 --> 42:36.000]  But I'm hoping he wins. You know why? Because no one expects anything of him. So the transparency of this fraud could be shown really quickly when there are no other plans that he could come up with.
[42:36.000 --> 43:00.000]  And then we'll have to go into a new system because the one that they're propping up is going to collapse.
[43:00.000 --> 43:08.000]  Have you ever wanted to generate your own supply of electrical power, even save money on your electric bill? If so, this is going to be the most important message you will ever hear.
[43:08.000 --> 43:15.000]  Solar power generators are now available. These emergency backup systems provide life-saving electrical power when you need it most.
[43:15.000 --> 43:22.000]  Unlike gas generators, a solar generator runs quietly, emits no fumes, and produces electricity from the sun.
[43:22.000 --> 43:25.000]  It's like having an electric power plant running quietly in your own home.
[43:25.000 --> 43:30.000]  Run some pumps, shortwave radios, computers, and even keep your food from spoiling.
[43:30.000 --> 43:35.000]  Whether it's hurricanes, ice storms, brownouts, or blackouts, you'll never suffer through painful power outages again.
[43:35.000 --> 43:44.000]  And here's the best news. A remarkable fall truckload sale going on right now that gets you $1,700 in bonuses when you buy a solar generator.
[43:44.000 --> 43:51.000]  To find out why solar generators are the best generators and get $1,700 for doing so, go to falltruckloadsale.com.
[43:51.000 --> 44:00.000]  That's falltruckloadsale.com. Generate your own supply of electricity. Go to falltruckloadsale.com. That's falltruckloadsale.com.
[44:00.000 --> 44:03.000]  Alex Jones here with a very important announcement for truth seekers.
[44:03.000 --> 44:09.000]  We've carried a lot of amazing films and books over the years on the online video bookstore at infowars.com.
[44:09.000 --> 44:16.000]  And out of all the titles we've carried, one stands out because it is just so chillingly convincing.
[44:16.000 --> 44:21.000]  And that's Dreams From My Real Father by Joel Gilbert, available at infowars.com.
[44:21.000 --> 44:25.000]  This film exposes the fraud that Obama is like nothing I've seen.
[44:25.000 --> 44:29.000]  If you want to know who Obama's real daddy is, this is the film for you.
[44:29.000 --> 44:34.000]  Don't forget, your purchase supports our broadcast and our growing media network.
[44:34.000 --> 44:36.000]  You'll also find it at infowarshop.com.
[44:36.000 --> 44:40.000]  None dare call a conspiracy by Gary Allen, the book that woke me up.
[44:40.000 --> 44:47.000]  We're also carrying behind the green mask, You in Agenda 21 by Rosa Corey. This book is coffin nails to the globalist takeover.
[44:47.000 --> 44:54.000]  The Greater Good, the most professional and up-to-date film I've ever seen, exposing the scourge that is vaccines.
[44:54.000 --> 45:22.000]  These titles and a lot more are all available at infowarshop.com.
[45:22.000 --> 45:30.000]  You can have the peace of mind knowing that you can create endless supply of silver anytime, anywhere, for any application.
[45:30.000 --> 45:37.000]  The Silver Lungs Generator is a one-time purchase that requires no maintenance nor replacement parts for the life of the unit.
[45:37.000 --> 45:42.000]  This product was designed to be an invaluable part of your vital preparations.
[45:42.000 --> 45:54.000]  For a detailed report on the differences between ionic silver, colloidal silver and what most silver solution manufacturers are producing, please visit our website at www.silverlungs.com.
[45:54.000 --> 46:01.000]  For more information on why you should be producing your own silver solutions right from your home forever.
[46:01.000 --> 46:06.000]  We just had a terrible storm in the east, but we are all still in the eye of the perfect storm.
[46:06.000 --> 46:14.000]  We have the most devastating economic conditions since the Great Depression. America's worst drought in agricultural history and what about the presidential election?
[46:14.000 --> 46:18.000]  This perfect storm is a huge threat to everyone's food supply.
[46:18.000 --> 46:22.000]  E-Foods Direct is preparing for the shortages, and you had better do the same.
[46:22.000 --> 46:25.000]  I can warn you, but I can't feed you.
[46:25.000 --> 46:28.000]  You know that E-Foods is the best-tasting and safest food on the planet.
[46:28.000 --> 46:36.000]  We all need a bunch of storable and usable food from E-Foods Direct. None of us wants to be standing in a bread line trading our freedom for food.
[46:36.000 --> 46:40.000]  Anyone who doesn't take control of their uncertain future has to be just a little bit nuts.
[46:40.000 --> 46:48.000]  Call 800-409-5633 or efoodsdirect.com slash alex. How will you bet your life?
[46:48.000 --> 46:54.000]  Call 800-409-5633 or efoodsdirect.com slash alex.
[46:54.000 --> 47:00.000]  Would you rather prepare six months too early or one day too late?
[47:00.000 --> 47:28.000]  Coast to coast, Direct from Austin. You're listening to the Alex Jones Broadcasting Network.
[47:28.000 --> 47:38.000]  If we beat these people, folks will look back just like they look back on the French resistance against the Nazis.
[47:38.000 --> 47:43.000]  Or just like they look back on the Poles of the Ukrainians standing up against the Soviets.
[47:43.000 --> 47:50.000]  I just wish that people that weren't historically or politically uninitiated, I wish they understood this is not hyperbole.
[47:50.000 --> 47:55.000]  Those of us that are staying here do so at the threat of our lives. This is not a game. It's not a joke.
[47:55.000 --> 47:59.000]  There's really three different groups of people in this country. You can break it down into more,
[47:59.000 --> 48:05.000]  but you've got the small, tiny insider technocrat parasite elite that knows the public's unconscious and dumbed down.
[48:05.000 --> 48:09.000]  Then you've got the giant mass of just people trying to work, muddle through,
[48:09.000 --> 48:13.000]  but they've been brought up to be continual children, arrested development,
[48:13.000 --> 48:17.000]  literally don't know how to tie their shoelaces or the television didn't tell them how.
[48:17.000 --> 48:23.000]  And then you've got people that are actually aware of what's happening and are horrified by it,
[48:23.000 --> 48:27.000]  trying to wake up the zombified sheeple masses.
[48:27.000 --> 48:33.000]  And you've got the system doing everything it can to further dumb people down.
[48:33.000 --> 48:40.000]  And you mentioned preppers. Hey, let's make fun of preppers that were prepared in New Jersey, New York and other areas.
[48:40.000 --> 48:44.000]  Pennsylvania, Ohio, they're able to take care of people now.
[48:44.000 --> 48:47.000]  And as usual, government couldn't and wouldn't deliver.
[48:47.000 --> 48:53.000]  Again, it's this instinct of the parasitic robber baron class to want a bunch of victims,
[48:53.000 --> 48:57.000]  but then they destroy their own infrastructure, which they have now hijacked,
[48:57.000 --> 49:02.000]  in the process of this will to power, this will to total domination.
[49:02.000 --> 49:08.000]  And the globalists all compete with each other over who can be the most wicked, who can be the most manipulative.
[49:08.000 --> 49:13.000]  In the final equation, it all blows back on them as well. Let me take Prop 37.
[49:13.000 --> 49:19.000]  Most polls showed it two to one, people want to be able to know what's in their food, if it's GMO,
[49:19.000 --> 49:26.000]  cross species, rose its own pesticide, makes bugs, guts burst, but they say it's safe for humans.
[49:26.000 --> 49:29.000]  And then they come out and say, oh, suddenly everybody's for it.
[49:29.000 --> 49:34.000]  That's all just a hoax ahead of electronic voting machine fraud with that proposition.
[49:34.000 --> 49:40.000]  I've known that for a long time, but this can only work so long while they're killing us with this stuff.
[49:40.000 --> 49:44.000]  And so, I mean, I'm kind of ranting here off of what you've said,
[49:44.000 --> 49:48.000]  but first speak to, if you agree with the kind of three basic groups of people,
[49:48.000 --> 49:54.000]  and what's going to happen as the sheep and their master vampires, you know, as things collapse,
[49:54.000 --> 49:56.000]  try to scapegoat those of us that were proven right.
[49:56.000 --> 49:58.000]  I mean, you were called a pessimist porn dealer.
[49:58.000 --> 50:01.000]  I've been demonized and all these things constantly.
[50:01.000 --> 50:04.000]  But then everything we talk about, unfortunately, is unfolding.
[50:04.000 --> 50:09.000]  We're not happy to say the Titanic is listing and about to go under, you know, get to the live boats.
[50:09.000 --> 50:11.000]  It's sad.
[50:11.000 --> 50:17.000]  I mean, I guess Orwell said in the world of universal deceit telling the truth is a revolutionary act.
[50:17.000 --> 50:19.000]  Well, it's what you said.
[50:19.000 --> 50:25.000]  Yes, there are the people that just follow the three groups that you said, you know, the elites and the others.
[50:25.000 --> 50:31.000]  And you asked me about my talk and another part that I show them the trends that are developing,
[50:31.000 --> 50:35.000]  where the economies are going, the great wars that are emerging.
[50:35.000 --> 50:43.000]  But really, the crux of the entire speech is that everyone has to find the greatness within them.
[50:43.000 --> 50:46.000]  This doesn't have to be the Ukraine.
[50:46.000 --> 50:49.000]  This doesn't have to be the Soviet Union.
[50:49.000 --> 50:53.000]  This doesn't have to be a police state.
[50:53.000 --> 50:57.000]  This doesn't have to be a revolution of bullets and bombs.
[50:57.000 --> 51:03.000]  On the contrary, you know, as Einstein, he made it very clear nothing comes of peace,
[51:03.000 --> 51:06.000]  or violence that begins in violence.
[51:06.000 --> 51:11.000]  So my message is really an intellectual and spiritual revolution.
[51:11.000 --> 51:15.000]  And there are a lot of wonderful people every where I go.
[51:15.000 --> 51:20.000]  And what you show them that they don't have to coward to clowns.
[51:20.000 --> 51:26.000]  And when you really break down, which I do, who the people are that are leading us
[51:26.000 --> 51:30.000]  and how unqualified and what psychopaths they are,
[51:30.000 --> 51:36.000]  that the only thing that's stopping people from changing the future are the people themselves.
[51:36.000 --> 51:40.000]  The people don't know the power that they have.
[51:40.000 --> 51:46.000]  As you began this, Alex, by talking about the small group of elites.
[51:46.000 --> 51:49.000]  It's a small group of elites.
[51:49.000 --> 51:54.000]  They are powerless without the police being their power.
[51:54.000 --> 52:00.000]  And once the police abandon them, they have no power.
[52:00.000 --> 52:03.000]  The power is with the people.
[52:03.000 --> 52:07.000]  But the people power only comes about, as I believe it,
[52:07.000 --> 52:11.000]  when the people work to find the greatness within them.
[52:11.000 --> 52:15.000]  So one of the messages that I say, what I talk about,
[52:15.000 --> 52:20.000]  is I'm a believer that, and I'm sure you are and everybody listening is,
[52:20.000 --> 52:24.000]  that each of us have these unique gifts.
[52:24.000 --> 52:29.000]  Bringing those unique gifts that we have working on them, because everybody knows,
[52:29.000 --> 52:32.000]  it takes a lot of work to hone your craft.
[52:32.000 --> 52:36.000]  When you keep doing that, you rise to higher levels.
[52:36.000 --> 52:40.000]  When you raise the bar, you don't accept mediocrity.
[52:40.000 --> 52:47.000]  And when the individual changes, the collective consciousness changes.
[52:47.000 --> 52:51.000]  I have to say this, Alex, with everything that I believe,
[52:51.000 --> 52:56.000]  and every ounce of blood and truth and passion in me,
[52:56.000 --> 52:59.000]  the time has never been better than now.
[52:59.000 --> 53:02.000]  And I'll tell you what, you mentioned earlier,
[53:02.000 --> 53:08.000]  that years ago, when you say 12 years ago, 10 years ago, there was vote of fraud.
[53:08.000 --> 53:10.000]  People wouldn't believe it.
[53:10.000 --> 53:14.000]  And then eight years, a couple more people didn't start believing it.
[53:14.000 --> 53:18.000]  And as it keeps moving forward, and then you mentioned in numbers,
[53:18.000 --> 53:21.000]  80 to 90% of the people would believe it.
[53:21.000 --> 53:26.000]  You look at the numbers of how many people no longer believe in Congress.
[53:26.000 --> 53:31.000]  What is it like, 16 or 17% of the people believe in Congress?
[53:31.000 --> 53:34.000]  And those are the flunkies that work for them to have the federal jobs.
[53:34.000 --> 53:36.000]  That's why they believe it.
[53:36.000 --> 53:40.000]  Sure, some numbers are as low as 9% approval rating for Congress.
[53:40.000 --> 53:43.000]  9% approval rating for Congress.
[53:43.000 --> 53:48.000]  And here's the point, the vacuum has never been larger.
[53:48.000 --> 53:51.000]  It could be filled with anything.
[53:51.000 --> 53:53.000]  The void is there.
[53:53.000 --> 54:01.000]  You have an empty suit and a stuffed shirt that's vying for the White House.
[54:01.000 --> 54:04.000]  How transparent can it be?
[54:04.000 --> 54:07.000]  It could be filled with anything.
[54:07.000 --> 54:11.000]  And my message is, let's fill it with greatness.
[54:11.000 --> 54:16.000]  The greatness of the people, the spirit of the people,
[54:16.000 --> 54:20.000]  the dignity of the people, the courage of the people,
[54:20.000 --> 54:25.000]  the respect of the people, the integrity of the people,
[54:25.000 --> 54:27.000]  and the passion of the people.
[54:27.000 --> 54:34.000]  Those are unstoppable values that the politicians are defenseless against.
[54:34.000 --> 54:36.000]  That's what I believe.
[54:36.000 --> 54:40.000]  And that's why I say the time is now.
[54:40.000 --> 54:41.000]  Well said.
[54:41.000 --> 54:43.000]  Well, listen to folks there in Ireland.
[54:43.000 --> 54:47.000]  What city are you in in Ireland there, Gerald?
[54:47.000 --> 54:48.000]  I'm in Dublin.
[54:48.000 --> 54:49.000]  Dublin.
[54:49.000 --> 54:53.000]  Well, hey, tell folks out there that I salute the great Irish people.
[54:53.000 --> 54:56.000]  I've got quite a bit of Irish blood running through my veins.
[54:56.000 --> 54:57.000]  I'm proud of that.
[54:57.000 --> 54:59.000]  I'm proud of all my ancestors.
[54:59.000 --> 55:05.000]  But I want to say this, if you go to Alexa.com or you go to Google Analytics,
[55:05.000 --> 55:08.000]  there is only one country.
[55:08.000 --> 55:12.000]  People would think that online, I would be rated number one.
[55:12.000 --> 55:14.000]  My highest ratings would be in the U.S.
[55:14.000 --> 55:20.000]  I'm like rated 480 something, which is huge, in the United States.
[55:20.000 --> 55:27.000]  Last time I checked, there's only one country where infowars.com is rated higher.
[55:27.000 --> 55:29.000]  Ireland is where we're most popular.
[55:29.000 --> 55:31.000]  And so I just want to say this.
[55:31.000 --> 55:34.000]  We salute all the folks over there that know the Euro's a tyranny,
[55:34.000 --> 55:37.000]  that know the globalists are a tyranny and hate the banksters,
[55:37.000 --> 55:40.000]  and want sovereignty and freedom for our countries.
[55:40.000 --> 55:42.000]  So I salute the Irish right now.
[55:42.000 --> 55:43.000]  God bless them.
[55:43.000 --> 55:45.000]  Let me tell them that.
[55:45.000 --> 55:47.000]  Alex said he salutes the Irish.
[55:47.000 --> 55:50.000]  He's a lot of Irish in them.
[55:50.000 --> 55:55.000]  Infowars is rated higher in Ireland than anywhere else in the world.
[55:55.000 --> 55:59.000]  And that he's against the tyranny, against the Euro,
[55:59.000 --> 56:03.000]  and wants you people to fight against the bank of tyranny.
[56:03.000 --> 56:07.000]  And he is all on your side.
[56:07.000 --> 56:09.000]  Alex, you should know this.
[56:21.000 --> 56:23.000]  And one other thing, Alex.
[56:23.000 --> 56:28.000]  If you want to show how disgusting it all is, imagine this.
[56:28.000 --> 56:35.000]  It's trying to introduce genetically modified potatoes into Ireland.
[56:35.000 --> 56:36.000]  Unbelievable.
[56:36.000 --> 56:37.000]  I saw that.
[56:37.000 --> 56:38.000]  How disgusting.
[56:38.000 --> 56:40.000]  How disgusting, he said.
[56:40.000 --> 56:42.000]  They're not going to put up with that.
[56:42.000 --> 56:44.000]  He said you won't put up with that.
[56:44.000 --> 56:46.000]  You're right.
[56:46.000 --> 56:47.000]  All right.
[56:47.000 --> 56:48.000]  Well, listen.
[56:48.000 --> 56:50.000]  Again, Gerald, thank you so much.
[56:50.000 --> 56:52.000]  Obviously, we love having you on.
[56:52.000 --> 56:55.000]  You are hands down our listeners' favorite guests.
[56:55.000 --> 56:57.000]  There's a lot of great ones we have on great minds.
[56:57.000 --> 56:58.000]  You've been in women.
[56:58.000 --> 57:00.000]  You're my mother's favorite guest.
[57:00.000 --> 57:03.000]  And I salute you and thank you for staying up late.
[57:03.000 --> 57:08.000]  Seriously, you know, tell all those folks that we just appreciate them.
[57:08.000 --> 57:10.000]  And I wish I was there with you right now.
[57:10.000 --> 57:14.000]  And in closing anything else, Gerald Salente, you'd like to add from Dublin.
[57:14.000 --> 57:16.000]  I think that's about it, Alex.
[57:16.000 --> 57:19.000]  And Alex said he wishes he was here with you.
[57:19.000 --> 57:24.000]  He spoke coming and visiting you and said that the reason that is number one
[57:24.000 --> 57:29.000]  in all the countries with the highest rating is because the Irish people are among the most awake.
[57:29.000 --> 57:30.000]  Absolutely.
[57:30.000 --> 57:31.000]  Absolutely.
[57:31.000 --> 57:32.000]  I'm going to show those numbers.
[57:32.000 --> 57:33.000]  Very interesting.
[57:33.000 --> 57:34.000]  All right.
[57:34.000 --> 57:37.000]  Gerald Salente, give out your website one more time.
[57:37.000 --> 57:43.000]  StretchJournal.com, StretchJournal.com, and Alex, thanks for all you're doing
[57:43.000 --> 57:45.000]  and thanks for having me on tonight.
[57:45.000 --> 57:46.000]  It's all the best.
[57:46.000 --> 57:47.000]  You bet.
[57:47.000 --> 57:54.000]  Thanks so much.
[58:17.000 --> 58:24.000]  Thank you so much.
[58:47.000 --> 58:57.000]  Thank you so much.
[59:17.000 --> 59:39.000]  Thank you so much.
[59:39.000 --> 59:49.000]  Thank you so much.
[01:00:09.000 --> 01:00:24.000]  Welcome back to the Alex Jones Show, the Sunday edition, November 11th, 2012.
[01:00:24.000 --> 01:00:25.000]  I am not Alex Jones.
[01:00:25.000 --> 01:00:28.000]  I'm Jakari Jackson for the Info Wars Nightly News.
[01:00:28.000 --> 01:00:34.000]  Alex is taking a much-deserved day off and let us run wild in the studio for a little bit.
[01:00:34.000 --> 01:00:39.000]  So, I have a few things I'd like to share with you before Jesse Ventura and also the
[01:00:39.000 --> 01:00:44.000]  radio premiere of Melissa Melton's piece on Aspartame, a follow-up to a story she did
[01:00:44.000 --> 01:00:46.000]  on the Info Wars Nightly News.
[01:00:46.000 --> 01:00:47.000]  Very interesting.
[01:00:47.000 --> 01:00:48.000]  Definitely check those out.
[01:00:48.000 --> 01:00:53.000]  Also, check out the websites InfoWars.com, PrisonPlanet.tv.
[01:00:53.000 --> 01:00:54.000]  Get a subscription.
[01:00:54.000 --> 01:00:59.000]  It helps fund our broadcasts and brings you more than the new reports that you like.
[01:00:59.000 --> 01:01:02.000]  So many new reporters, new faces, new things to talk about.
[01:01:02.000 --> 01:01:04.000]  So, definitely check that out.
[01:01:04.000 --> 01:01:05.000]  I have a few articles here.
[01:01:05.000 --> 01:01:09.000]  You know, Alex always has so many and he never gets to get to all of them.
[01:01:09.000 --> 01:01:13.000]  So, I just grabbed a few random articles that are just laying here on this desk and we'll
[01:01:13.000 --> 01:01:14.000]  take a look at these.
[01:01:14.000 --> 01:01:15.000]  Headline.
[01:01:15.000 --> 01:01:19.000]  Globalist pulled out all stops to grab guns after Obama victory.
[01:01:19.000 --> 01:01:24.000]  Now, we all know that it's no secret that Barack Obama wants to take your guns, not
[01:01:24.000 --> 01:01:30.000]  just his semi-autos, but he's even talked about shotguns and I guess he just wants to
[01:01:30.000 --> 01:01:32.000]  leave you with a musket.
[01:01:32.000 --> 01:01:35.000]  It's pretty much the goal of the Obama administration.
[01:01:35.000 --> 01:01:39.000]  He's teamed up with the UN and they want to come grab your guns.
[01:01:39.000 --> 01:01:44.000]  So, for everybody who says, you guys have seen the video of Alex talking about the UN
[01:01:44.000 --> 01:01:50.000]  gun grabbing with Aaron Dykes and David Knight and we had the caller call in and he says,
[01:01:50.000 --> 01:01:55.000]  I've scoured the internet and I found no proof that Obama wants to take your guns.
[01:01:55.000 --> 01:02:01.000]  That's on ABC News, we've reported on it several, several, several times, probably report on
[01:02:01.000 --> 01:02:02.000]  it again in the future.
[01:02:02.000 --> 01:02:04.440]  This is even a mini rundown of it.
[01:02:04.440 --> 01:02:07.000]  This report itself also have another one here.
[01:02:07.000 --> 01:02:12.640]  UN celebrates Obama re-election by pushing global gun control, says second amendment
[01:02:12.640 --> 01:02:13.640]  foundation.
[01:02:13.640 --> 01:02:19.000]  So, just more the same, they want to come for your guns and I mean, whether you're pro-gun
[01:02:19.000 --> 01:02:24.980]  or not, I mean, recognizing the second amendment in the United States is not only for hundreds
[01:02:24.980 --> 01:02:28.760]  of guns, it's for self-defense.
[01:02:28.760 --> 01:02:33.480]  You have to defend yourself because when the founders wanted the second amendment, it's
[01:02:33.480 --> 01:02:36.160]  not just because they wanted to go shoot ducks or whatever.
[01:02:36.160 --> 01:02:41.000]  They knew that tyranny could rise up and come at them head on and they had to meet it head
[01:02:41.000 --> 01:02:42.000]  on.
[01:02:42.000 --> 01:02:45.640]  They can call whoever to come over here and save them.
[01:02:45.640 --> 01:02:46.800]  They had to save themselves.
[01:02:46.800 --> 01:02:48.880]  That's why they have a second amendment.
[01:02:48.880 --> 01:02:51.360]  You need wartime weapons.
[01:02:51.360 --> 01:02:57.720]  And every time I talk about guns, I'm an avid gun rights supporter, but I don't think everybody
[01:02:57.720 --> 01:02:58.720]  should have a gun.
[01:02:58.720 --> 01:03:03.520]  If you're jittery and you're shaking and every time you get a gun, you feel whatever
[01:03:03.520 --> 01:03:05.920]  kind of feeling, then you probably shouldn't own a gun.
[01:03:05.920 --> 01:03:11.480]  But if you're a responsible person of age and proper training, I've had training, not
[01:03:11.480 --> 01:03:17.320]  tactical training, but basic handgun training, handling training with a trained professional.
[01:03:17.320 --> 01:03:19.320]  I think there's nothing wrong with that.
[01:03:19.320 --> 01:03:25.800]  So just keep that in mind because I have a feeling sooner than later.
[01:03:25.800 --> 01:03:29.520]  If it doesn't get to the point of door to door gun confiscation, which I really hope
[01:03:29.520 --> 01:03:35.200]  it does for everybody involved, they'll definitely try to restrict your magazine size.
[01:03:35.200 --> 01:03:40.080]  If you can have fully auto, even shotguns, I'll probably say you can only have two shells
[01:03:40.080 --> 01:03:45.800]  in your shotgun or some other type of foolishness, but we'll move on to some other things, several
[01:03:45.800 --> 01:03:48.440]  things here on the desk.
[01:03:48.440 --> 01:03:52.720]  Greek government defies protest to approve more austerity.
[01:03:52.720 --> 01:03:54.560]  This is out of Reuters.
[01:03:54.560 --> 01:03:59.880]  The Greece's government voted by a razor thin margin on Thursday to approve an austerity
[01:03:59.880 --> 01:04:07.200]  package needed to unlock vital aid in avert bankruptcy despite an internal rift and violent
[01:04:07.200 --> 01:04:10.240]  protest at the gates of the parliament.
[01:04:10.240 --> 01:04:16.800]  So something we've seen all too often, violence overseas, and we've even seen violence here
[01:04:16.800 --> 01:04:19.880]  in America recently with Hurricane Sandy.
[01:04:19.880 --> 01:04:25.400]  You know, you have these, I don't know what you'll call them, not flash mob, but you know,
[01:04:25.400 --> 01:04:32.040]  these many, many skirmishes of violence, people fighting over gas and food and whatever else.
[01:04:32.040 --> 01:04:35.280]  But anyway, that's about it for this segment.
[01:04:35.280 --> 01:04:39.640]  Definitely stay tuned for Jesse Ventura and Melissa Melton as she sits down with Alex
[01:04:39.640 --> 01:04:43.280]  Jones for a interview to talk about Aspartame.
[01:04:43.280 --> 01:04:45.560]  This is the Alex Jones show.
[01:04:45.560 --> 01:05:02.560]  So definitely stay tuned and we'll have more for you coming up after this break.
[01:05:02.560 --> 01:05:08.840]  If you want an American company with American products made by Americans, here is the Cal
[01:05:08.840 --> 01:05:10.560]  Bend Soap Company.
[01:05:10.560 --> 01:05:14.800]  Alex and his staff have used these pure soap products for years.
[01:05:14.800 --> 01:05:19.560]  These all-natural soaps are made from the highest quality vegetable and coconut oils
[01:05:19.560 --> 01:05:22.040]  that are earth-friendly and safe.
[01:05:22.040 --> 01:05:29.880]  See them on the web at 5starsoap.com or call 800-340-7091 for a free catalog.
[01:05:29.880 --> 01:05:34.680]  Buy the one-to-two-month sample package and enjoy soaps that are twice as good as what
[01:05:34.680 --> 01:05:41.400]  you're using now or save big with a one-to-two-year supply of soaps for all your cleaning needs.
[01:05:41.400 --> 01:05:43.280]  This is an amazing deal.
[01:05:43.280 --> 01:05:48.520]  You can save thousands of dollars and you will love the way real soap makes you feel.
[01:05:48.520 --> 01:06:03.400]  See them on the web at 5starsoap.com or call 800-340-7091 for a free catalog.
[01:06:03.400 --> 01:06:16.240]  Crashing through the lies and disinformation, it's Alex Jones on the GCN Radio Network.
[01:06:16.240 --> 01:06:22.520]  I was just up this morning on the conspiracy theory on our website on TruTV because up
[01:06:22.520 --> 01:06:26.960]  until just a few days ago they were still debating, would it be the reptilians David
[01:06:26.960 --> 01:06:33.320]  Ike episode or would it be the Tesla death ray and right after the wire they're saying
[01:06:33.320 --> 01:06:36.720]  it's going to be the David Ike special tonight.
[01:06:36.720 --> 01:06:40.320]  And I was briefly interviewed for it when I was out doing another investigation with
[01:06:40.320 --> 01:06:45.440]  Governor Ventura at Rocket Basis outside Las Vegas so I don't know the full context
[01:06:45.440 --> 01:06:51.320]  of it but I'm sad to hear the two guys tangle pretty bad but I'll certainly be watching
[01:06:51.320 --> 01:06:52.320]  it tonight.
