[00:00.000 --> 00:01.400]  We've got it, Douga.
[27:15.800 --> 27:18.800]  It's the big city model of dividing everybody into grips.
[27:18.800 --> 27:22.800]  They want a gang mentality and this is what they push 24 seven.
[27:22.800 --> 27:25.800]  Let's play that clip again.
[27:25.800 --> 27:34.800]  So I would just like to say for anyone thinking about voting for Mitt Romney, if that's who you are, if you're thinking about voting for Rudy, I'd like to make this one play.
[27:34.800 --> 27:39.800]  Black people know who you are and they will come after you.
[27:39.800 --> 27:41.800]  So there you go.
[27:41.800 --> 27:48.800]  We're going to go to break here and then we're going to come back with a piece that we've had to bleep, but it's unedited other than bleeps.
[27:48.800 --> 28:02.800]  Michael Moore's produced a whole string of these with black people and whites and Hispanics saying they're going to rip Mitt Romney's testicles off and burn US cities if Obama is not reelected.
[28:02.800 --> 28:06.800]  And this is being put out by George Soros is funded.
[28:06.800 --> 28:10.800]  He funded the whole thing basically move on, move on.org.
[28:10.800 --> 28:17.800]  And I mean, it's so crazy because I remember this is in the local news at the time.
[28:17.800 --> 28:31.800]  I caught a guy paying $300 a piece to young black males, a white guy to have them go up before the legislature and say we're basically gang members and you need to ban guns because it allows us to use it.
[28:31.800 --> 28:38.800]  It allows us using black people as a way to scare folks to vote for gun control, which was actually what I saw as racist.
[28:38.800 --> 28:41.800]  And the statesman called me at the local paper and said, are you racist?
[28:41.800 --> 28:44.800]  Would you have put this report out if they would have been white?
[28:44.800 --> 28:46.800]  And I said, of course I would have.
[28:46.800 --> 28:47.800]  They were being paid off.
[28:47.800 --> 28:51.800]  Later the Texas Ethics Commission said it was illegal, but that's what they do.
[28:51.800 --> 28:52.800]  You just say anything.
[28:52.800 --> 28:56.800]  They say you're racist when they're the ones pushing it as a control mode.
[28:56.800 --> 28:57.800]  Stay with us.
[28:57.800 --> 28:59.800]  We'll play the next clip when we come back.
[28:59.800 --> 29:05.800]  Sick of the globalist, you Genesis control freaks adding poison to your water and laughing as you get sick and die.
[29:05.800 --> 29:07.800]  Start purifying your water with ProPure.
[29:07.800 --> 29:13.800]  My friends, I've done a lot of research and the best gravity filter out there bar none is ProPure.
[29:13.800 --> 29:16.800]  And it's available discounted at infowars.com.
[29:16.800 --> 29:20.800]  Its filters are silver and pregnant to prevent bacterial growth.
[29:20.800 --> 29:21.800]  There's no priming required.
[29:21.800 --> 29:23.800]  It's NSF 42 certified.
[29:23.800 --> 29:27.800]  Optional fluoride filters can reduce fluoride up to 95%.
[29:27.800 --> 29:29.800]  Easy to set up and use.
[29:29.800 --> 29:30.800]  Doesn't require electricity.
[29:30.800 --> 29:33.800]  Purify water from lake streams, ponds and wells.
[29:33.800 --> 29:36.800]  This filter system leaves in beneficial minerals, which is key.
[29:36.800 --> 29:41.800]  Save money by not buying bottled water and avoid BPA that leaches from the plastic.
[29:41.800 --> 29:43.800]  ProPure is the best gravity-fed filter out there.
[29:43.800 --> 29:45.800]  It's what my family uses.
[29:45.800 --> 29:48.800]  Infowars.com already has the lowest price on ProPure.
[29:48.800 --> 29:54.800]  But if you add the promo code water at checkout, you get an additional 10% off at infowars.com.
[29:54.800 --> 29:59.800]  You can also call to order 888-253-3139.
[29:59.800 --> 30:01.800]  Cold and flu season is upon us.
[30:01.800 --> 30:07.800]  Protect yourself with supernatural silver, a revolutionary new broad spectrum antibacterial.
[30:07.800 --> 30:14.800]  Recent advances in silver technology have resulted in a silver solution that can be used daily to prevent bacteria,
[30:14.800 --> 30:19.800]  viruses, mold and crude poisoning, as well as help improve wound healing.
[30:19.800 --> 30:27.800]  Silver salt technology is safe enough to consume every day, while powerful enough to destroy the causes of many serious diseases,
[30:27.800 --> 30:32.800]  like strep throat, staph, pneumonia, colds, flus and other harmful pathogens.
[30:32.800 --> 30:37.800]  This new technology is much more effective than colloidal or ionic silvers,
[30:37.800 --> 30:45.800]  and has the ability to terminate entire colonies of harmful bacteria at several hundred times the effectiveness of older solutions.
[30:45.800 --> 30:49.800]  Supernatural silver is what you need for any emergency.
[30:49.800 --> 31:18.800]  Go to supernaturalsilver.com today and use the promo code ALEKSES for 20% off and like us on Facebook.
[31:20.800 --> 31:28.800]  See them on the web at 5starsoap.com or call 800-340-7091 for a free catalog.
[31:28.800 --> 31:34.800]  Buy the one to two month sample package and enjoy soaps that are twice as good as what you're using now,
[31:34.800 --> 31:39.800]  or save big with a one to two year supply of soaps for all your cleaning needs.
[31:39.800 --> 31:41.800]  This is an amazing deal.
[31:41.800 --> 31:46.800]  You can save thousands of dollars and you will love the way real soap makes you feel.
[31:46.800 --> 31:54.800]  See them on the web at 5starsoap.com or call 800-340-7091 for a free catalog.
[32:17.800 --> 32:25.800]  The only strategy to counter this is to freeze your food cost at today's prices by getting your own supply of foods from e-foods direct now.
[32:25.800 --> 32:29.800]  As the price of raw ingredients increases, e-foods will have to raise prices too.
[32:29.800 --> 32:31.800]  Now is the time to get your supply.
[32:31.800 --> 32:35.800]  I recently increased my supply from e-foods direct because we have all known this was coming.
[32:35.800 --> 32:38.800]  You know about their delicious long term storeable foods.
[32:38.800 --> 32:42.800]  The fact is you can eat it anytime to save money today and because it stores for 25 years,
[32:42.800 --> 32:45.800]  you're locking in today's prices and avoiding the rising food cost.
[32:45.800 --> 32:51.800]  Don't wait. Call 800-409-5633 or go to e-foodsdirect.com forward slash alex.
[32:51.800 --> 32:56.800]  Call 800-409-5633 or e-foodsdirect.com forward slash alex.
[32:56.800 --> 33:19.800]  You can bet your life on e-foods direct.
[33:26.800 --> 33:31.800]  You know I'm going to be honest with you.
[33:31.800 --> 33:33.800]  You know I know Woody Harrelson.
[33:33.800 --> 33:34.800]  I like Woody Harrelson.
[33:34.800 --> 33:35.800]  I'm not criticizing him for the movie.
[33:35.800 --> 33:38.800]  But you know a movie like White Men Can't Jump.
[33:38.800 --> 33:48.800]  Imagine if you came out with a movie with some pejorative towards black men and said black men can't fill in the blank.
[33:48.800 --> 33:56.800]  Why is it good and cool in the media, in the culture, everywhere for rundown white people?
[33:56.800 --> 33:58.800]  I don't like watching anybody get rundown.
[33:58.800 --> 34:04.800]  I don't like racist jokes about anybody because we're human beings and I believe in this species.
[34:04.800 --> 34:06.800]  And I want to empower humanity.
[34:06.800 --> 34:09.800]  You know I've complained about what's so popular now in comedy I've discovered.
[34:09.800 --> 34:11.800]  Because I've been to comedy shows.
[34:11.800 --> 34:12.800]  I listen to XM.
[34:12.800 --> 34:15.800]  I'm on XM channel 166 weekdays.
[34:15.800 --> 34:18.800]  I hear a bunch of these so called comedy radio shows.
[34:18.800 --> 34:21.800]  They make fun of people who are handicapped.
[34:21.800 --> 34:24.800]  And how ugly and gross they are.
[34:24.800 --> 34:31.800]  And oh this woman wrote children's books when she was in an iron lung and they sold hundreds of thousands of copies.
[34:31.800 --> 34:33.800]  Oh her family must have hated her.
[34:33.800 --> 34:34.800]  Oh she's ugly and gross.
[34:34.800 --> 34:35.800]  Oh let's abort babies.
[34:35.800 --> 34:37.800]  Oh let's get rid of retarded children.
[34:37.800 --> 34:39.800]  You know it's this ugliness.
[34:39.800 --> 34:40.800]  And I don't like it.
[34:40.800 --> 34:46.800]  And I'm sick and tired of the Democratic party of Margaret Sanger and David Rockefeller.
[34:46.800 --> 34:50.800]  Who on record have funded eugenics and abortion.
[34:50.800 --> 34:55.800]  You know why they got abortion legalized and how they got a bunch of white people behind it.
[34:55.800 --> 34:58.800]  Back in the 1970s they said go look it up.
[34:58.800 --> 35:01.800]  They said we got to get rid of these black people.
[35:01.800 --> 35:04.800]  52% of black people that are born.
[35:04.800 --> 35:06.800]  Well 48% are born.
[35:06.800 --> 35:07.800]  52% are killed.
[35:07.800 --> 35:08.800]  Look it up.
[35:08.800 --> 35:13.800]  Over 50% of blacks are never born in this country.
[35:13.800 --> 35:18.800]  And we can play the abortionist clip that came out this year telling people well we want to get rid of the black babies.
[35:18.800 --> 35:20.800]  The quote ugly black babies.
[35:20.800 --> 35:25.800]  Don't believe me just type in ugly black babies into YouTube and it will come up.
[35:25.800 --> 35:31.800]  Okay this is what I've been told over a decade ago when I had time to go protest at abortion clinics.
[35:31.800 --> 35:32.800]  Yes I've done that.
[35:32.800 --> 35:35.800]  It was like 15 years ago I did it some.
[35:35.800 --> 35:40.800]  And they would come out and say you're not going to adopt these ugly minority kids are you.
[35:40.800 --> 35:44.800]  And it'd be a minority telling you this like in the latest video.
[35:44.800 --> 35:49.800]  So I've been around leftist blacks and I'm like hey you know it's wrong they're aborting your people.
[35:49.800 --> 35:53.800]  And they'll be like well I've got I'd have five kids if I hadn't aborted.
[35:53.800 --> 35:54.800]  There's nothing wrong with that.
[35:54.800 --> 35:56.800]  This is sick.
[35:56.800 --> 35:57.800]  This is sick.
[35:57.800 --> 36:01.800]  And then we're told that if we don't support in our face.
[36:01.800 --> 36:05.800]  We're told that if we do not support.
[36:05.800 --> 36:07.800]  This is so amazing.
[36:07.800 --> 36:14.800]  That if we do not support Barack Obama even if I did support Obama you can't now under this threat.
[36:14.800 --> 36:19.800]  That you're a racist and that black people are going to come out and physically attack you.
[36:19.800 --> 36:21.800]  Now that's what Bill Maher is saying.
[36:21.800 --> 36:22.800]  That's what these tweets are saying.
[36:22.800 --> 36:25.800]  That's what people with established YouTube channels are saying.
[36:25.800 --> 36:30.800]  Facebook's are saying and they're not getting in trouble by and large.
[36:30.800 --> 36:35.800]  And that could be the October surprise that Obama doesn't get elected.
[36:35.800 --> 36:40.800]  They say the storm caused people to not be able to vote.
[36:40.800 --> 36:43.800]  And then they say it's contested.
[36:43.800 --> 36:50.800]  And that's what a lot of people you've seen in the news are coming out and saying right now.
[36:50.800 --> 36:56.800]  They're saying that if this election is contested there is going to be cities burning.
[36:56.800 --> 37:04.800]  And what an amazing idea that if you don't vote for somebody because of the color of their skin or if it's contested cities are going to burn.
[37:04.800 --> 37:08.800]  And then the power structure is going to use that to take our liberties and take our freedoms.
[37:08.800 --> 37:13.800]  Now I'm going to play the Bill Maher clip again.
[37:13.800 --> 37:19.800]  But first let's play one of a bunch that have been produced by the self-propelled stomach.
[37:19.800 --> 37:24.800]  Michael Moore who hates capitalism but has made hundreds of millions of dollars gross.
[37:24.800 --> 37:31.800]  He kept tens of millions himself off of the free market system that produced all of the incredible freedom we have.
[37:31.800 --> 37:33.800]  And there's a reason Hollywood grew up.
[37:33.800 --> 37:36.800]  America had freedom of speech. Other countries didn't.
[37:36.800 --> 37:40.800]  Here he is saying you don't pay enough if you make $125,000 a year.
[37:40.800 --> 37:42.800]  But here he is exempt from all these taxes.
[37:42.800 --> 37:46.800]  This is what he produced. This was put out a week and a half ago.
[37:46.800 --> 37:52.800]  And I'll assure you if I put something out like this about Mitt Romney or about Obama.
[37:52.800 --> 37:55.800]  I would get arrested and you would get arrested because this isn't a joke.
[37:55.800 --> 38:01.800]  This is old women talking about ripping the genitals off of Mitt Romney and burning down cities.
[38:01.800 --> 38:04.800]  And they cut to a guy in Spanish saying yes we can.
[38:04.800 --> 38:08.800]  And with very serious look in their eyes as if it's scaring everyone.
[38:08.800 --> 38:11.800]  Oh my gosh. And then this is where America is going.
[38:11.800 --> 38:13.800]  Turning your guns will burn down your cities.
[38:13.800 --> 38:24.800]  On and on and on. America being held hostage by this. Here's the clip.
[38:24.800 --> 38:25.800]  Shows a group of old people.
[38:25.800 --> 38:29.800]  I was born in 1915 during World War I.
[38:29.800 --> 38:34.800]  My first vote was in 1940 for Franklin D. Roosevelt.
[38:34.800 --> 38:38.800]  And I have not missed an election since.
[38:38.800 --> 38:45.800]  And I want the Republican Party to know if your voter suppression throughout this beautiful country
[38:45.800 --> 38:57.800]  enables Romney to oust Barack Obama, we will burn this down.
[38:57.800 --> 38:59.800]  She said, boy they.
[38:59.800 --> 39:02.800]  I have four generations of family on this earth.
[39:02.800 --> 39:04.800]  And my life has been very blessed.
[39:04.800 --> 39:09.800]  And if the Republicans steal this election, I'm going to track down Mitt Romney
[39:09.800 --> 39:12.800]  and give him the world's biggest punch.
[39:12.800 --> 39:16.800]  What's the matter Sonny, you never heard that phrase punch.
[39:16.800 --> 39:20.800]  Right in the.
[39:20.800 --> 39:23.800]  She symbolizes ripping the testicles off.
[39:23.800 --> 39:26.800]  I served during World War II.
[39:26.800 --> 39:28.800]  And they say this is the greatest generation at the start.
[39:28.800 --> 39:38.800]  My buddy still here and I've got a message for kids, Democrats, for anyone who cares about honest elections.
[39:38.800 --> 39:45.800]  If you let the Republicans do this to you again after we die, we're going to look down on you from heaven.
[39:45.800 --> 39:51.800]  And we're going to make a point of watching you have sex every time.
[39:51.800 --> 39:55.800]  That's enough. I can't watch any more of it. I can't watch any more of it.
[39:55.800 --> 40:00.800]  Did you miss it? She said, we're going to burn this mother effort down.
[40:00.800 --> 40:04.800]  Excuse the coverage of that.
[40:04.800 --> 40:06.800]  But that's what's being said here politically.
[40:06.800 --> 40:17.800]  If you put him in there, implying that it's a fraud when all the polls, I mean, like 98% of them show Romney surging everywhere.
[40:17.800 --> 40:19.800]  And you know, I'm not in love with Romney.
[40:19.800 --> 40:22.800]  I'm not pushing Romney and critical of Romney.
[40:22.800 --> 40:30.800]  But I do cover the facts when they present themselves and casinos, betting parlors all over the world.
[40:30.800 --> 40:35.800]  I'm going to cover this in the next segment already paying money out from England to Ireland.
[40:35.800 --> 40:40.800]  Do you name it saying that Obama's already won?
[40:40.800 --> 40:49.800]  That would be like if I got up here on air and said, hey, Mitt Romney elected the 45th president of the United States.
[40:49.800 --> 41:00.800]  You see, I'm not confident and feeling good about myself because I happened to come from European and some Native American derivation.
[41:00.800 --> 41:05.800]  I'm not proud of myself, you know, because I vote for Mitt Romney or Barack Obama.
[41:05.800 --> 41:07.800]  I'm not in identity politics.
[41:07.800 --> 41:12.800]  You see, I'm into people's souls, their minds, their intellects, who they are.
[41:12.800 --> 41:17.800]  And I could admire people who are Asian, who are white, who are Hispanic, who are black.
[41:17.800 --> 41:22.800]  I admire people by the content of their actions, by their deeds.
[41:22.800 --> 41:37.800]  I mean, I admire the incredible dynamic literature and scientific inventions and other prowess that I see from black Americans in this country,
[41:37.800 --> 41:42.800]  despite the Democratic Party trying to make sure they were cut up in their mother's womb.
[41:42.800 --> 41:48.800]  And then I take real umbrage by the race-baiting and race-pushing and racial division of Al Sharpton,
[41:48.800 --> 41:54.800]  Slimeball, Chris Matthews, Carlos Watson, all of them.
[41:54.800 --> 42:01.800]  It is disgusting to turn on Comedy Central and see Hispanic comedians up there trashin' white people all day.
[42:01.800 --> 42:04.800]  And it's meant to make white people not like Hispanics.
[42:04.800 --> 42:07.800]  And it's meant to make black people not like whites.
[42:07.800 --> 42:09.800]  And it's meant to have Hispanics not like whites.
[42:09.800 --> 42:17.800]  It's meant to have us all at each other's throats while these foreign megabanks rob the living daylights out of our country.
[42:17.800 --> 42:26.800]  And I'm telling you, folks, right now that Obama wrote letters back when he was a U.S. Senator six years ago that are on record to his Muslim cousin, Odinga,
[42:26.800 --> 42:35.800]  saying, if you don't win the election against the Christian majority in Kenya, these are public, you can just pull up Obama letters to Odinga, senatorial letters.
[42:35.800 --> 42:40.800]  He said, have riots and they'll give you a position. He was given prime ministership.
[42:40.800 --> 42:43.800]  They created that position in the Kenyan government.
[42:43.800 --> 42:50.800]  And I'm telling you, if they'd ship guns into Mexico to kill thousands of people to blame the Second Amendment, they are capable of anything.
[42:50.800 --> 42:59.800]  If they'll get up on TV and say, white people, blacks are gonna hunt you down and beat your brains out and burn your cities down.
[42:59.800 --> 43:07.800]  Aaron Fullen here. As the food police shut down food co-ops, the Amish and small farmers, Americans are losing access, not just to raw milk and homemade cheeses,
[43:07.800 --> 43:12.800]  but to healthy, home-crafted sources for fermented foods like sauerkraut, yogurt, and kefir.
[43:12.800 --> 43:16.800]  It seems there's a war on life-giving foods with living enzymes and healthy bacteria.
[43:16.800 --> 43:19.800]  But frankly, I'm not sure what the food police are so afraid of.
[43:19.800 --> 43:27.800]  These remarkable foods have been around since the beginning of history, with archaeological evidence for fermented foods and beverages being found across the globe in almost every culture.
[43:27.800 --> 43:35.800]  Even today, Japanese eat miso, Africans eat fermented porches, Koreans eat kamichi, and in India, fermented milk is a staple for healthy living.
[43:35.800 --> 43:36.800]  But here's some good news.
[43:36.800 --> 43:42.800]  Self-reliant Americans can now discover the secrets to making these amazing fermented foods legally and privately in their own homes,
[43:42.800 --> 43:45.800]  since it's still legal to make these foods as long as you can make them yourself.
[43:45.800 --> 43:50.800]  For more information, check out fermentationfactor.com. That's fermentationfactor.com.
[43:50.800 --> 43:59.800]  It's easy to create your own powerful fermented foods, and you can do it by going to www.fermentationfactor.com. That's www.fermentationfactor.com.
[44:21.800 --> 44:29.800]  You can have the peace of mind knowing that you can create endless supply of silver anytime, anywhere, for any application.
[44:29.800 --> 44:36.800]  The Silver Lungs Generator is a one-time purchase that requires no maintenance nor replacement parts for the life of the unit.
[44:36.800 --> 44:41.800]  This product was designed to be an invaluable part of your vital preparations.
[44:41.800 --> 44:49.800]  For a detailed report on the differences between ionic silver, colloidal silver and what most silver solution manufacturers are producing,
[44:49.800 --> 44:59.800]  please visit our website at www.silverlungs.com for more information on why you should be producing your own silver solutions right from your home forever.
[45:20.800 --> 45:27.800]  There's no priming required. It's NSF-42 certified. Optional fluoride filters can reduce fluoride up to 95%.
[45:27.800 --> 45:33.800]  Easy to set up and use. Doesn't require electricity. Purify water from lake streams, ponds and wells.
[45:33.800 --> 45:41.800]  This filter system leaves in beneficial minerals, which is key. Save money by not buying bottled water, and avoid BPA that leaches from the plastic.
[45:41.800 --> 45:45.800]  Propyr is the best gravity-fed filter out there. It's what my family uses.
[45:45.800 --> 45:54.800]  Infowars.com already has the lowest price on Propyr, but if you add the promo code WATER at checkout, you get an additional 10% off at Infowars.com.
[45:54.800 --> 45:59.800]  You can also call to order 888-253-3139.
[45:59.800 --> 46:07.800]  Aaron Fullen here. As the food police shut down food co-ops, the Amish and small farmers, Americans are losing access, not just to raw milk and homemade cheeses,
[46:07.800 --> 46:11.800]  but to healthy home-crafted sources for fermented foods like sauerkraut, yogurt and kefir.
[46:11.800 --> 46:15.800]  It seems there's a war on life-giving foods with living enzymes and healthy bacteria.
[46:15.800 --> 46:18.800]  But frankly, I'm not sure what the food police are so afraid of.
[46:18.800 --> 46:26.800]  These remarkable foods have been around since the beginning of history, with archaeological evidence for fermented foods and beverages being found across the globe in almost every culture.
[46:26.800 --> 46:34.800]  Even today, Japanese eat miso, Africans eat fermented porges, Koreans eat kamichi, and in India, fermented milk is a staple for healthy living.
[46:34.800 --> 46:41.800]  But here's some good news. Self-reliant Americans can now discover the secrets to making these amazing fermented foods legally and privately in their own homes,
[46:41.800 --> 46:45.800]  since it's still legal to make these foods as long as you can make them yourself.
[46:45.800 --> 46:49.800]  For more information, check out FermentationFactor.com. That's FermentationFactor.com.
[46:49.800 --> 46:59.800]  It's easy to create your own powerful fermented foods, and you can do it by going to www.fermentationfactor.com. That's www.fermentationfactor.com.
[46:59.800 --> 47:08.800]  Coast to coast, direct from Austin. You're listening to the Alex Jones Broadcasting Network.
[47:29.800 --> 47:50.800]  It's just so wrong that the Democratic Party, the party of slavery, I'm not even a Republican, but that they always lecture me about how I'm racist,
[47:50.800 --> 47:59.800]  how I'm inherently bad because my ancestors were European predominantly. I have quite a bit of Native American, my dad's side, from different sides of his family,
[47:59.800 --> 48:09.800]  which I'm proud of that heritage. I'm just so sick and tired all day about hearing I'm bad, and I realize that less sophisticated gringos,
[48:09.800 --> 48:21.800]  white devils, whatever you want to call me, less sophisticated LD oblohs like myself, are going to just constantly hear how they're racist and they're bad all day,
[48:21.800 --> 48:29.800]  and they're going to get racist towards people. And that's wrong. The globalist want divide and conquer. I really want to bring people together.
[48:29.800 --> 48:36.800]  I want humanity together to colonize the stars. I care about children no matter what color they are.
[48:36.800 --> 48:45.800]  By the way, after we play this clip again, can you guys pull up the clip from two weeks ago where Bill Maher said, I want more death, more abortion,
[48:45.800 --> 48:52.800]  you know, get rid of the people? Yeah, we'll try to find that clip because there he's really letting you know what this is all about.
[48:52.800 --> 49:01.800]  And again, I'm not saying the Republicans are going to save you. They're globalists, too. But at least they have to act like they're pro-Second Amendment and pro-property rights.
[49:01.800 --> 49:09.800]  I'm going to get into the hurricane, the latest on the election here and how all this ties together. But, you know, it's been proven that there was going to be looting.
[49:09.800 --> 49:20.800]  The media said I was wrong a week ago. It's been proven that there are thousands of real tweets saying, burn down cities, kill them at Romney if he wins.
[49:20.800 --> 49:30.800]  And the media is still criticizing those of us that cover this. And now you've got Bill Maher and you've got Michael Moore and a bunch of other people.
[49:30.800 --> 49:42.800]  Saying that it's racist and white should be attacked. And then I see articles, it's always regional news, never national, where you'll have white kids at a county fair beat up because they're white.
[49:42.800 --> 49:50.800]  And you know what? It's embarrassing to me when I read history books and hear about groups of white people beating up, black people are worse.
[49:50.800 --> 50:00.800]  And it's embarrassing, too, to see the media sit there and cover it up when newspaper reporters get racially attacked. It comes out the papers won't run it.
[50:00.800 --> 50:09.800]  Because political correctness does not mean unity. It means people in their different divisions with the government playing the part of referee.
[50:09.800 --> 50:27.800]  So here is the clip of one more time from last Friday, Bill Maher on HBO. And HBO is so destructive. I've called for a boycott of it. I have had it deleted off of my cable system, my satellite systems, what I have on the country.
[50:27.800 --> 50:42.800]  Because they had a thing three months ago that showed four year old children performing fellatio on sex toys. You don't believe me, just look it up in the nose. They want to destroy our families. They want to just fry everybody's morals so government can do whatever it wants.
[50:42.800 --> 50:50.800]  That's the name of the game. To where no one knows up from down. Let's go ahead and go to this clip of Bill Maher one more time.
[50:50.800 --> 50:59.800]  So I would just like to say for anyone thinking about voting for Mitt Romney, if that's who you are, if you're thinking about voting for Rudy, I would like to make this one plea.
[50:59.800 --> 51:04.800]  Black people know who you are and they will come after you.
[51:04.800 --> 51:22.800]  Okay, and we're going to cue it up to the first lady in the Michael Moore piece saying we'll burn this emmer effort down. You'll see her say we'll burn this bleep bleep down. We have to obviously for radio FCC here. You know, you're only allowed to do that on, you know, cable if you're Bill Maher, we can't do that here.
[51:22.800 --> 51:28.800]  Plus, I don't want to. I've got plenty of words to describe what I have to say without using the lower English.
[51:28.800 --> 51:37.800]  Okay, now all of that said while they're queuing that up. Let's look at what we're talking about here.
[51:37.800 --> 51:42.800]  Here is a clip.
[51:42.800 --> 51:59.800]  Let's move this off the news. This is CBS News, Sacramento. Veteran pollster fired over protest against UN observers. These aren't UN observers going to look at the machines or going to look at the companies. No, no, they want to make sure a bunch of illegal aliens can vote without IDs.
[51:59.800 --> 52:06.800]  This is out of California. They've got the NAACP in Houston openly running things. That's in the news.
[52:06.800 --> 52:16.800]  This is out of Argentina. A poll worker is out of a job and she says it's all because of an email. She sent her supervisor saying, hey, it isn't illegal to have the UN inside the polling area.
[52:16.800 --> 52:22.800]  Asking people questions. It's illegal for anybody to do that. That goes back to the civil rights movement. People try to stop folks from voting.
[52:22.800 --> 52:27.800]  Texas threatens to arrest international monitors sent to watch U.S. election.
[52:27.800 --> 52:32.800]  That's from finalcall.com. I think that's Lucifer Khan's outfit.
[52:32.800 --> 52:43.800]  Here's another one out of the examiner. Texas Iowa threatening United Nations officials with arrest, MSNBC, Texas Bands, UN observers because it's polling places are already perfect.
[52:43.800 --> 52:46.800]  They're like pushing that it's a good idea.
[52:46.800 --> 52:58.800]  There's that. Listen, we need the American people to get in there and get rid of these black boxes where the companies have been caught engaged in fraud and they can flip the votes and all this is happening.
[52:58.800 --> 53:07.800]  That's what needs to happen. Not have the UN who's involved taking down countries, but because the media says they're loving and good, they must be great.
[53:07.800 --> 53:16.800]  Here's another report out of Breitbart. Is the Secret Service ignoring threats against Mitt Romney? And then it goes over the huge background of that continuing to happen.
[53:16.800 --> 53:26.800]  Yeah. I mean, if somebody jokes at a Halloween deal and has a couple presidents in spiderwebs, you know, Bill Clinton and Obama, the Secret Service comes.
[53:26.800 --> 53:36.800]  We saw that happen a few weeks ago. But if you say I'm going to physically punch Mitt Romney and the genitals and then rip them off and I'm going to burn down cities.
[53:36.800 --> 53:48.800]  Well, that's OK. And if you go on Twitter and say how you're going to shove a gun in Mitt Romney's mouth, close quote, blows brains out, close quote, that's OK. That's OK.
[53:48.800 --> 53:57.800]  Folks, we've had the Secret Service here multiple times asking us what you're putting a film out about Obama being a deception. What do you think of Obama? Get out of my office.
[53:57.800 --> 54:07.800]  You're supposed to be here over some comment on my, you know, by some user. Get out. Get out. Listen, they're there to intimidate the American people's free speech.
[54:07.800 --> 54:13.800]  Let's go to this clip one more time from the Michael Moore piece. We heard the whole thing earlier, but here's an excerpt of it.
[54:13.800 --> 54:22.800]  We will burn this down. No, no, that's great. Yes, we can actually back it up 10 seconds before. I know I said cue it right up to her.
[54:22.800 --> 54:31.800]  But I want the full thing about if you give you elect Mitt Romney because electing him's fraud, then we'll burn this, you know, what bleep her down.
[54:31.800 --> 54:34.800]  Let's go ahead and play that clip. Here it is.
[54:34.800 --> 54:53.800]  And I want the Republican Party to know if your voter suppression throughout this beautiful country enables Romney to oust Barack Obama, we will burn this down.
[54:53.800 --> 55:05.800]  See, say, boy, they I have four generations of family on this stop right there. And she goes on to say she's going to rip his testicles off. Folks, here's the deal.
[55:05.800 --> 55:13.800]  They have all those old people. Those are real, you know, old folks. Looks like they're on desk doorstep to me staring at the camera.
[55:13.800 --> 55:22.800]  And they say, and yes, we can in Spanish with pure hatred. This is incitement. There is no doubt about it.
[55:22.800 --> 55:30.800]  And I've always called for nonviolence. I've always called for a peaceful restoration of our Republic. And I've had the Secret Service here three times.
[55:30.800 --> 55:42.800]  I've had the FBI here. I've had the ATF here, trying to stir stuff up. I've had the FBI in there came with the Austin police point right at the wall and say, what's that?
[55:42.800 --> 55:47.800]  That's an Obama deception poster. What is that? That's a film. You know what that is.
[55:47.800 --> 55:52.800]  What do you think of Obama? And I'm just like, you need to leave. You need to go.
[55:52.800 --> 55:58.800]  Well, wait, wait, we're trying to get out of my office, man. First amendment. What is it? You don't understand about it.
[55:58.800 --> 56:07.800]  Stop urinating up and down the Constitution. While a bunch of people sit there and say they're going to rip Mitt Romney's testicles off and burn US cities.
[56:07.800 --> 56:12.800]  You're sitting there. It was years ago. They were here. They hadn't been back in a while.
[56:12.800 --> 56:21.800]  The point is, I read about it all the time. We're talk show hosts. Well, I've had them on have been arrested and put in mental institutions because they criticized Obama because they can't put you in jail.
[56:21.800 --> 56:28.800]  They put you in a mental institution. Marines have been arrested. All of it. We've covered it. And I'm telling you, these are authoritarians trying to take over.
[56:28.800 --> 56:38.800]  And if Mitt Romney gets an office and tries any of this, I'm going after him. But Mitt Romney will be facing reelection and Mitt Romney will have a lot of conservatives trying to keep him on a short leash.
[56:38.800 --> 56:43.800]  He is a globalist. Obama has gotten away with fast and furious. He's gotten away.
[56:43.800 --> 56:49.800]  I can play the clips from earlier this year. Three several congressional hearings saying NATO and the UN are in charge of our military and Congress.
[56:49.800 --> 56:57.800]  He doesn't have to consult Congress about war making anymore. And now you got all the bookmakers running around saying, oh, we're already paying the money out. Obama's winning.
[56:57.800 --> 57:01.800]  And now coming up and then we're going to open the phones up and got two special reports as well.
[57:01.800 --> 57:08.800]  Gary Johnson, the libertarian presidential candidate, is going to speak out on the Bilderberg here for the first time. New York City Board of Elections.
[57:08.800 --> 57:16.800]  It's possible voting may be permitted beyond Tuesday. Hey, the headline should be possible election to be delayed.
[57:16.800 --> 57:23.800]  Oh my gosh, ladies and gentlemen, I haven't even gotten into government, not able to deliver anything and help the people who were there begging.
[57:23.800 --> 57:32.800]  Oh, Nimmo did an article about the woman pathetically begging Schumer, the gun grabber that's in featured news archive. I want to get that clip of her begging Schumer.
[57:32.800 --> 57:40.800]  These people didn't even get prepared or ready and they go up and beg and plead. A lot of New Yorkers and folks in New Jersey, they got ready.
