[00:00:04.133 --> 00:00:04.353]  Wow!
[01:14:43.735 --> 01:14:51.321]  It's going to side with whatever gives them more power and tries to suppress the power that can jeopardize their positions in office.
[01:14:51.981 --> 01:14:54.363]  So, and the whole thing is superfluous anyway.
[01:14:54.363 --> 01:15:03.068]  I mean, there's never any showing that the American people aren't, if you give them the open access to information, some of it's going to be right, some wrong.
[01:15:03.068 --> 01:15:06.510]  Sure, Bruce, because you're the expert though, I'm... ...for themselves what to believe.
[01:15:06.510 --> 01:15:07.751]  Sure, I'm trying to decipher...
[01:15:08.211 --> 01:15:24.257]  Sure, I'm trying to cipher this new FCC head, so just, you heard my breakdown of what I've read from his position, and the fact that it looks like he is trying to keep a free internet, they're spinning it, that he's trying to take over a free internet, and wants to shut down Drudge, I believe he's saying the opposite.
[01:15:25.046 --> 01:15:28.148]  You know, I believe that's certainly true.
[01:15:28.148 --> 01:15:49.740]  I think that the large amount of political momentum against them will be those who want so-called net neutrality, that is, to enable the super-huge people like Google to be able to not pay their way in the Internet or in the cyberspace.
[01:15:50.660 --> 01:15:54.844]  It would be, the net neutrality is like this, Alex.
[01:15:54.844 --> 01:15:59.448]  It would be like saying the airlines couldn't offer first class tickets.
[01:15:59.448 --> 01:16:02.350]  That they had to treat all passengers the same.
[01:16:02.350 --> 01:16:06.173]  Even though some would be willing to pay more for superior service.
[01:16:06.173 --> 01:16:10.517]  I mean, which is satisfactory to everyone.
[01:16:10.517 --> 01:16:14.080]  If you don't want to pay more, then you would have a different kind of service.
[01:16:14.620 --> 01:16:15.961]  I mean, and that would be absurd.
[01:16:15.961 --> 01:16:24.286]  It would be like saying, you know, you can't have FedEx anymore because, you know, you're paying to get your packages delivered faster than the post office.
[01:16:24.286 --> 01:16:24.646]  Really?
[01:16:24.646 --> 01:16:32.851]  You know, if we had to live, we can't even survive today without FedEx as an alternative to the post office.
[01:16:34.032 --> 01:16:42.918]  And this is simply having the Federal Communications Commission out of the business of choosing or favoring, you know, one particular aspect of the industry over another.
[01:16:42.918 --> 01:16:43.399]  Sure, sure.
[01:16:43.399 --> 01:16:45.020]  I mean, we were concerned.
[01:16:45.020 --> 01:16:57.189]  We were concerned that there would be a move with net throttling, as they call it, but the 50 times greater evil is having the federal government declare 360 total galactic universal control and oversight
[01:16:57.529 --> 01:16:58.490]  Over all communications.
[01:16:58.490 --> 01:16:59.651]  We know that's bad.
[01:16:59.651 --> 01:17:02.373]  So that big evil is being shot down.
[01:17:02.373 --> 01:17:07.237]  And so now we have to decide, looking at future services, what can be done.
[01:17:07.237 --> 01:17:12.401]  But nobody in the public, or we know President Trump, is going to put up with anything that really does censor.
[01:17:12.401 --> 01:17:13.162]  Is that what you're getting at?
[01:17:14.404 --> 01:17:38.497]  I think that's absolutely accurate, that the idea of the government in the business of censoring is outlandish, it's antithetical to our whole political dispensation, which is based upon the trust that if you let the American people have access, then they can make up their minds based upon the information that they have, which includes the right, you can disbelieve anything you have to.
[01:17:39.057 --> 01:17:46.222]  I think what has infuriated the mainstream media is that they became more and more distrusted.
[01:17:46.222 --> 01:17:50.785]  More people believed in Alex Jones than MSNBC.
[01:17:50.785 --> 01:17:54.987]  And that just was so shocking to them because they're very insular.
[01:17:54.987 --> 01:17:56.488]  They talk only to themselves.
[01:17:56.488 --> 01:18:04.093]  It's like an incestuous conversation that they now leap out and say, well, maybe there was some kind of ulterior motive.
[01:18:04.093 --> 01:18:08.156]  The Russians brainwashed the American people into voting against Hillary Clinton.
[01:18:09.117 --> 01:18:10.218]  Wow.
[01:18:10.218 --> 01:18:27.295]  Bruce, did you see the Democrats just last week, a bunch of them, Maxine Waters, all the usual suspects, Michael Moore, they're now saying Putin actually commands Trump and tells him terms to use like crooked Hillary or drain the swamp as if we haven't always called Hillary crooked.
[01:18:29.520 --> 01:18:30.341]  No, I remember.
[01:18:30.341 --> 01:18:31.021]  It goes back.
[01:18:31.021 --> 01:18:38.746]  I worked, Alex, intensely with Bob Barr then on, you say, drafting articles of impeachment against Bill Clinton.
[01:18:38.746 --> 01:18:47.611]  And I had to laugh when, you know, Hillary, oh, this is a right-wing conspiracy, you know, and all this invented stuff to deny what the truth was.
[01:18:47.611 --> 01:18:49.893]  You know, there are always some ulterior motives.
[01:18:49.893 --> 01:18:50.954]  I didn't get paid a penny.
[01:18:50.954 --> 01:18:56.217]  This is something I did as a citizen of the United States that I thought was important to the Constitution.
[01:18:56.437 --> 01:19:01.062]  The vast right-wing conspiracy is we have a will to be free and we're taking action.
[01:19:01.062 --> 01:19:02.263]  Yeah, yeah.
[01:19:02.263 --> 01:19:08.089]  Exercising your constitutional rights to seek redress of grievances now becomes a right-wing conspiracy.
[01:19:08.089 --> 01:19:08.569]  Oh, really?
[01:19:08.569 --> 01:19:13.334]  You know, he used to be heroized and he used to build monuments to people for doing that.
[01:19:13.334 --> 01:19:16.237]  You know, they were called Thomas Paine and George Washington.
[01:19:16.237 --> 01:19:18.159]  And now we're right-wing conspirators?
[01:19:19.440 --> 01:19:29.146]  So that's what's gotten, I think, the mainstream media really quite frightened because they see they're losing grip on the ability... And everybody knows nobody's given Trump orders.
[01:19:29.146 --> 01:19:31.527]  The Russians have given them certainly less.
[01:19:31.527 --> 01:19:32.328]  That is ridiculous.
[01:19:33.396 --> 01:19:54.814]  Yeah, well, people will believe things irrespective of the facts, you know, and so, if they want to believe that, this is what, we can take some solids from this, Alex, and that is, if this is what they're spending their time thinking about, I guarantee you they will lose the next election, because they're focusing on an irrelevancy and a myth.
[01:19:54.814 --> 01:20:00.399]  Absolutely, so I want to get your predictions, I mean, you're someone of a historian, you've written a lot of history books, I want to get your view on the future.
[01:20:01.024 --> 01:20:02.986]  Are you looking to become more self-sufficient?
[01:20:02.986 --> 01:20:05.227]  Then you need to have your own energy source.
[01:20:05.227 --> 01:20:10.552]  The Sol-Ark EMP Harden Generator is automatic, maintenance-free, and reduces your monthly electric bill.
[01:20:10.552 --> 01:20:12.774]  You can also take it off-grid when you go camping.
[01:20:12.774 --> 01:20:19.159]  Contact PortableSolarLLC.com or call for details at 972-575-8875 today.
[01:20:19.159 --> 01:20:24.263]  Portable Solar LLC gives you everything you need to start using solar energy in less than one hour.
[01:20:24.263 --> 01:20:27.305]  Sol-Ark EMP Harden Solar Generator Energy Insurance.
[01:20:27.305 --> 01:20:30.388]  For your family or business, call Portable Solar LLC today.
[01:20:31.115 --> 01:20:32.376]  Maybe not today.
[01:20:32.376 --> 01:20:33.656]  Maybe not tomorrow.
[01:20:33.656 --> 01:20:37.398]  But soon, you'll need a plan and place to survive.
[01:20:37.398 --> 01:20:38.479]  Forget bunkers.
[01:20:38.479 --> 01:20:40.299]  You're not a live underground gopher.
[01:20:40.299 --> 01:20:42.020]  You need Survivalist Camps.
[01:20:42.020 --> 01:20:49.804]  The ultimate, fully functional, off-the-grid, mobile survival bug-out house that's well-equipped and custom-built to outlast any other RV or trailer.
[01:20:49.804 --> 01:20:50.825]  Bold statement?
[01:20:50.825 --> 01:20:51.805]  You bet.
[01:20:51.805 --> 01:20:54.306]  See them now at survivalistcamps.com.
[01:20:54.306 --> 01:20:56.507]  That's survivalistcamps.com.
[01:20:56.507 --> 01:20:59.669]  Trust your family's survival to survivalistcamps.com.
[01:21:00.589 --> 01:21:03.770]  Do you ever wonder what happened to America?
[01:21:03.770 --> 01:21:07.852]  Because of what we did on this day, change has come to America.
[01:21:07.852 --> 01:21:10.493]  Something's wrong, and we all know it.
[01:21:10.493 --> 01:21:13.314]  I'm Charlie Daniels, and I'm here to tell you about it.
[01:21:13.314 --> 01:21:16.795]  The nation has been hijacked by international forces.
[01:21:16.795 --> 01:21:18.456]  Bent on global governance.
[01:21:19.016 --> 01:21:25.219]  When I was a boy, it was okay to be proud of the flag, heritage, mom and apple pie.
[01:21:25.219 --> 01:21:31.463]  God was in school, morality had a future, and beef was for supper.
[01:21:31.463 --> 01:21:34.004]  Revelation, dawn of global government.
[01:21:34.384 --> 01:21:35.545]  We're the solution!
[01:21:35.545 --> 01:21:36.485]  Americans!
[01:21:36.485 --> 01:21:38.025]  Ain't nothing more to it than that.
[01:21:38.025 --> 01:21:43.207]  Starring Alex Jones, Charlie Daniels, and Special Ops General Jerry Boykin.
[01:21:43.207 --> 01:21:45.208]  Theatrical screening's on demand.
[01:21:45.208 --> 01:21:46.969]  DVD's now available.
[01:21:46.969 --> 01:21:50.530]  Wanna shed some tears over the red, white, and blue?
[01:21:50.530 --> 01:21:53.331]  Revelation, the movie, dot info.
[01:21:53.331 --> 01:21:56.113]  Americans need to see this film.
[01:21:56.113 --> 01:21:58.754]  Revelation, the movie, dot info.
[01:21:58.754 --> 01:21:59.614]  Let's fix it.
[01:22:00.234 --> 01:22:03.596]  Why be held hostage by your wireless carrier for two years?
[01:22:03.596 --> 01:22:09.179]  What if there were no contracts, no activation fees, no tracking, tracing, or draconian gimmicks?
[01:22:09.179 --> 01:22:12.141]  All on America's largest 4G LTE networks.
[01:22:12.141 --> 01:22:14.362]  Introducing PixWireless.com.
[01:22:14.362 --> 01:22:18.205]  Activate your Sprint AT&T and unlock GSM phones instantly.
[01:22:18.205 --> 01:22:20.226]  Bring your own device and make the switch today.
[01:22:20.226 --> 01:22:20.886]  Here's how.
[01:22:20.886 --> 01:22:22.347]  Call or click 1-800-205-9513 or PixWireless.com.
[01:22:22.347 --> 01:22:23.068]  Spelled P-I-X.
[01:22:23.068 --> 01:22:23.528]  PixWireless.com.
[01:22:30.123 --> 01:22:35.166]  We're all looking for safe, effective, and all-natural remedies for ourselves and our family.
[01:22:35.166 --> 01:22:37.268]  The solution is Simplex.
[01:22:37.268 --> 01:22:47.955]  Simplex oils provide natural anti-inflammatory and pain relief, antioxidant and nerve protection, and is an amazing topical acne removal and skin care supplement.
[01:22:47.955 --> 01:22:50.957]  Natural healing at a very affordable price.
[01:22:50.957 --> 01:22:54.760]  Find out more about our non-psychoactive CBD oil products.
[01:22:54.760 --> 01:22:56.961]  Go to SimplexSpecials.com.
[01:22:56.961 --> 01:22:58.883]  That's SimplexSpecials.com.
[01:22:59.747 --> 01:23:01.628]  Fully cooked, ready-to-eat bacon.
[01:23:01.628 --> 01:23:04.849]  I'm talking thick, meaty, center-cut, presidential bacon.
[01:23:04.849 --> 01:23:06.450]  Savory and delicious.
[01:23:06.450 --> 01:23:09.291]  I buy some, I use some, I store some.
[01:23:09.291 --> 01:23:09.951]  Awesome!
[01:23:09.951 --> 01:23:13.032]  No refrigeration needed with a 10-year shelf life.
[01:23:13.032 --> 01:23:14.593]  NASA PAC Technology.
[01:23:14.593 --> 01:23:15.213]  Bacon.
[01:23:15.213 --> 01:23:19.375]  Fully cooked, fully hydrated, ready-to-eat right from the pack bacon.
[01:23:19.375 --> 01:23:20.815]  Or warm and served.
[01:23:20.815 --> 01:23:22.856]  Life-saving, ready-to-eat bacon.
[01:23:22.856 --> 01:23:24.797]  10-year shelf life bacon.
[01:23:24.797 --> 01:23:27.578]  Ships free at FullyCookedBacon.com.
[01:23:27.578 --> 01:23:28.799]  FullyCookedBacon.com.
[01:23:29.758 --> 01:23:32.158]  Had it been the sweet Paris air permeating the night?
[01:23:32.158 --> 01:23:34.839]  The intoxicating way her beauty had overtaken him?
[01:23:34.839 --> 01:23:40.800]  Whatever the case back then, Jordan Dunleavy is still in love with the memory of Lauren, the woman he'd lost so many years before.
[01:23:40.800 --> 01:23:44.301]  In Bookstore on the Seine, the journey of a conspiracy analyst, author C.L.
[01:23:44.301 --> 01:23:51.642]  Hendman, ties conspiracy theories, mystery, irony, and romance into this stimulating novel that masterfully interweaves the past with the present.
[01:23:51.642 --> 01:23:55.263]  Available on Amazon and Kindle and at BookstoreOnTheSeine.com.
[01:23:55.263 --> 01:23:57.564]  That's S-E-I-N-E dot com.
[01:23:57.564 --> 01:23:58.904]  BookstoreOnTheSeine dot com.
[01:24:26.204 --> 01:24:35.532]  When I was a young teen, Bruce Fine was securing my future First Amendment.
[01:24:35.532 --> 01:24:46.021]  And that's why he said, in the old days we built statues to people that fought and delivered freedoms, in many cases died for them like our forebears.
[01:24:46.021 --> 01:24:51.586]  Bruce Fine went and fought in Congress as a lawyer, but it's all still the same thing because it delivers freedom into the future.
[01:24:52.867 --> 01:25:04.413]  And so he doesn't want to be credited or even given credit, but it is a fact and it's admitted that he's the main progenitor of reversing decades of free speech being shut down in this country.
[01:25:05.802 --> 01:25:07.423]  So where are the other men doing this?
[01:25:07.423 --> 01:25:13.627]  Well, people like Trump are fighting to crush the establishment media just by simply allowing competition.
[01:25:13.627 --> 01:25:15.888]  And this time, it isn't even about the broadcast spectrum.
[01:25:15.888 --> 01:25:18.349]  It's about mainstream media discrediting themselves.
[01:25:18.349 --> 01:25:19.450]  I mean, I was there.
[01:25:19.450 --> 01:25:20.130]  I don't know if Bruce was.
[01:25:20.130 --> 01:25:21.011]  We'll ask him now.
[01:25:21.011 --> 01:25:21.751]  This is a short segment.
[01:25:21.751 --> 01:25:23.552]  He's with us until about 50 after.
[01:25:23.552 --> 01:25:24.013]  I was there.
[01:25:24.955 --> 01:25:31.097]  It took me three hours to get in because of Soros-funded groups beating up women and children.
[01:25:31.097 --> 01:25:32.117]  The police wouldn't help us.
[01:25:32.117 --> 01:25:34.918]  Some police were wearing protester hats and pins.
[01:25:34.918 --> 01:25:40.079]  It was horrible because the president, that was Obama at the time, appoints the DC police chief.
[01:25:40.079 --> 01:25:42.920]  So there's so many issues of tyranny here, and then we get in.
[01:25:44.420 --> 01:25:52.202]  And there's a giant record crowd, and CNN shows a photo as they first open the gates, making it look tiny from 8.30 in the morning.
[01:25:52.202 --> 01:25:58.144]  I mean, at this point, I'm glad there's not, quote, regulation over the press as we move into the Trump era.
[01:25:58.144 --> 01:26:04.686]  But now, just because the public are leaving them with free market, they're calling for censorship of the press.
[01:26:04.686 --> 01:26:10.128]  They were hoping for it with the Hillary era, but it seems like that now that's all being derailed.
[01:26:10.128 --> 01:26:12.309]  So what are you most concerned about?
[01:26:12.309 --> 01:26:13.049]  What I'm trying to say is,
[01:26:14.764 --> 01:26:25.669]  It's surreal to watch how truly authoritarian these people are, but they're having their victory jerked away from them at the last moment, so they're going into conniption fits.
[01:26:25.669 --> 01:26:35.793]  Well, I mean, the great worry is you could get companies like Facebook, and they've already given some indication that they'll yank what they decide is so-called fake news.
[01:26:35.793 --> 01:26:41.176]  That you'll have private censorship, and maybe Twitter would do the same thing.
[01:26:41.676 --> 01:26:47.722]  Because they are clearly in what we would call the liberal camp.
[01:26:47.722 --> 01:26:51.985]  They're the ones who were close to Obama and Hillary.
[01:26:51.985 --> 01:26:56.890]  And so they have very dominant space on the internet.
[01:26:56.890 --> 01:27:07.860]  And you can imagine something as huge as Facebook, then they turn into the equivalent of the Communist Party in China and decides, all right, this is fake news, we'll scrub it.
[01:27:08.439 --> 01:27:22.431]  No, they have sort of dress rehearsals for that because they do, in a better way, attempt to try to eliminate the use of Facebook to promote terrorism and criminal activity or human trafficking.
[01:27:22.431 --> 01:27:30.818]  But that's a far cry from going to fake news, which has no articulable boundaries to it.
[01:27:30.818 --> 01:27:33.801]  It basically turns you into an arm of censorship.
[01:27:34.363 --> 01:27:42.824]  Well, Trump's not called for any censorship of the press, but they're already saying that Spicer and Trump are copying Beijing on censorship simply because they're calling out fake media lies.
[01:27:42.824 --> 01:27:49.346]  But it was a month ago that the Communist Chinese were all in our newspapers saying, you need to ban fake news.
[01:27:49.346 --> 01:27:56.787]  So the truth is the Democrats, even at Davos, say they hope China will help enforce the new world order on America.
[01:27:56.787 --> 01:27:59.867]  But then they double back and claim that Trump's the authoritarian.
[01:27:59.867 --> 01:28:03.068]  I mean, this looks like an attempted overthrow of reality.
[01:28:04.488 --> 01:28:10.133]  Well, it's a rather odd statement for the press to make, whether they agree or not to agree with the President.
[01:28:10.133 --> 01:28:13.796]  And, you know, the President has free speech rights like anyone else.
[01:28:13.796 --> 01:28:22.084]  You'd expect the press to be echoing, you know, Voltaire, the great liberal humanist in France at the time of the French Revolution.
[01:28:22.084 --> 01:28:24.526]  I may disagree with what you say, but I'll defend
[01:28:25.026 --> 01:28:27.269]  Because of the death, you're right to say it.
[01:28:27.269 --> 01:28:32.855]  So why should the press be offended if the president says something that they disagree with?
[01:28:32.855 --> 01:28:34.336]  That's why we have free speech.
[01:28:34.336 --> 01:28:38.861]  The reason why you have free speech, Alex, is not to protect the speech that you loved.
[01:28:38.861 --> 01:28:42.165]  It's to protect the speech that you might disagree with and even hate.
[01:28:43.025 --> 01:28:48.167]  So, no one's preventing the press from reporting on whatever the president does.
[01:28:48.167 --> 01:28:49.507]  And they comment on it.
[01:28:49.507 --> 01:28:50.388]  Well, that's it!
[01:28:50.388 --> 01:28:59.571]  The liberal press says shut down conservatives, shut down anybody we disagree with, and then Trump says that's wrong, and they say he's censoring them by having his own speech.
[01:29:01.012 --> 01:29:01.973]  No.
[01:29:01.973 --> 01:29:06.578]  Which they report instantly by Twitter or a Facebook feed or something like that.
[01:29:06.578 --> 01:29:11.905]  I mean, the reason why we know the press is saying this is because they're not censored.
[01:29:11.905 --> 01:29:13.406]  And you can read it.
[01:29:13.406 --> 01:29:16.290]  You may not believe it, but you surely have access to their viewpoint.
[01:29:16.991 --> 01:29:28.114]  Well, I want to come back, because I've been asking some of the questions here, but the next segment, I want to let you get into other areas you're focused on, things you see that are positive, things you see that are negative, but we've got the real king of free speech here.
[01:29:28.114 --> 01:29:30.675]  Again, we would not have this movement today.
[01:29:30.675 --> 01:29:41.158]  You've got to see how pebbles in the pond really do send out giant ripples, and if you want to track back so much of our current success, he's on the phone right now.
[01:29:41.158 --> 01:29:42.179]  You want to get his books.
[01:29:42.179 --> 01:29:42.939]  They're powerful.
[01:29:44.025 --> 01:29:45.327]  Bruce finds our guest.
[01:29:45.327 --> 01:29:47.591]  We'll tell you about his books coming up as well.
[01:29:47.591 --> 01:29:48.233]  I'm Alex Jones.
[01:29:48.233 --> 01:29:50.417]  Stay with us.
[01:29:50.417 --> 01:29:51.799]  We're on the march.
[01:29:51.799 --> 01:29:54.344]  The Empire's on the run.
[01:29:54.344 --> 01:29:57.008]  Alex Jones and the GCN Radio Network.
[01:30:00.834 --> 01:30:08.100]  Well, just in case you missed it, InfoWars was on the ground live covering every piece of action imaginable on the Washington, D.C.
[01:30:08.100 --> 01:30:10.341]  grounds as the inauguration was taking place.
[01:30:10.341 --> 01:30:14.284]  And we caught, not surprisingly, a number of protesters behaving badly.
[01:30:14.284 --> 01:30:18.568]  One video shows a man frustrated with anti-fascists blocking a street in Washington, D.C.
[01:30:18.908 --> 01:30:22.169]  And one of these fascists punches the man in the face before being attacked.
[01:30:22.169 --> 01:30:25.509]  The incident taking place on Friday, during Trump's inaugural speech.
[01:30:25.509 --> 01:30:33.731]  The video starts with an unnamed man, let's call him Thor, asking the anti-fata stooges if they're going to prevent him from going to work because they're crying, you know what.
[01:30:33.731 --> 01:30:36.052]  Then they seem to have lost it with the word war.
[01:30:36.052 --> 01:30:39.732]  Yes, pretty much a masked female responds, come on babe, let the ladies through.
[01:30:39.732 --> 01:30:41.653]  At which point, some of the women pass.
[01:30:41.653 --> 01:30:47.114]  Now, this guy rushes behind the women and turns around and says, F you, your roadblocks are expletive.
[01:30:47.734 --> 01:30:49.416]  She responds by attacking him.
[01:30:49.416 --> 01:30:51.418]  Yes, she punches him right in the face.
[01:30:51.418 --> 01:30:56.603]  Looks like these protesters that are part of the Women's March after the inauguration were just as bad.
[01:30:56.603 --> 01:30:58.285]  Catch us here for all of the action.
[01:30:58.285 --> 01:31:00.828]  I'm Margaret Halve reporting for Infowars.com.
[01:31:00.828 --> 01:31:02.730]  It's not just our water we need to filter.
[01:31:02.730 --> 01:31:04.752]  It's not just our food that needs to be cleaned.
[01:31:04.752 --> 01:31:07.555]  It's the air we're breathing, especially for our children.
[01:31:07.555 --> 01:31:10.218]  The artificial particulates, the chemicals,
[01:31:10.478 --> 01:31:13.699]  This is absolutely weighing down our immune systems.
[01:31:13.699 --> 01:31:22.883]  The same team based right here in America that brought you the Alexa Pure Groundbreaking Water Filtration Systems have now developed Alexa Pure Breeze.
[01:31:22.883 --> 01:31:30.426]  Whether it's your home or office, you owe it to yourself, your co-workers, your family, your children to do the best job you can to purify your air.
[01:31:30.426 --> 01:31:38.449]  The elite are masters at poisoning our environment while themselves doing things that mitigate or avoid most of the toxic effects for themselves.
[01:31:38.449 --> 01:31:39.390]  The general public doesn't.
[01:31:40.624 --> 01:31:44.006]  The Alexa Pure Breeze will be a steal at $300, $400, $500.
[01:31:44.006 --> 01:31:48.149]  One of these systems can keep 800 square feet incredibly clean.
[01:31:48.149 --> 01:31:54.852]  This is a system I'm personally putting in throughout my house, replacing older, more expensive filters that didn't do as good a job.
[01:31:54.852 --> 01:31:58.955]  Find out why this system is so revolutionary today at InfoWareStore.com.
[01:32:00.973 --> 01:32:05.457]  We have the new product at Infowarsandlife.com, BioTrue Selenium.
[01:32:05.457 --> 01:32:16.387]  We've had so many requests over the years for selenium and just recently we were able to source a certified organic bioavailable selenium from mustard seed extract.
[01:32:16.547 --> 01:32:21.590]  When you take selenium in the body, it actually benefits the detoxification systems in your body.
[01:32:21.590 --> 01:32:24.171]  It helps balance the thyroid gland.
[01:32:24.171 --> 01:32:25.892]  It helps detoxify.
[01:32:25.892 --> 01:32:28.774]  Selenium is another one of those absolute must-haves.
[01:32:28.774 --> 01:32:33.537]  The highest concentration of selenium is in the thyroid gland, but it's actually used all over the body.
[01:32:33.537 --> 01:32:39.800]  As a matter of fact, there's 25 genes in the body that are directly dependent upon selenium.
[01:32:39.800 --> 01:32:45.123]  So it really is an all-around nutrient that everybody really needs.
[01:32:45.123 --> 01:32:45.904]  I'm taking it now.
[01:32:46.124 --> 01:32:48.105]  I've got a tiger in my tail!
[01:33:12.683 --> 01:33:14.565]  He never gives up.
[01:33:14.565 --> 01:33:21.330]  He's Alex Jones, broadcasting from deep in the heart of Texas, worldwide.
[01:33:21.330 --> 01:33:32.179]  Well, I thought the day I met you, you were meek as a lamb, just the kind to fit my dreams and plans.
[01:33:34.441 --> 01:33:52.322]  Alright, we're going back to Bruce Fine to really get into his, one of his main focuses I know is studying empires and systems and I imagine he'll want to get into that and some other issues but I'd love to get really smart guests on and just say, hey, what do you want to talk about?
[01:33:53.342 --> 01:34:09.268]  But it's perfect that they've named the new FCC chair today, who from my research and from constitutional law and communications expert and former main counsel for the FCC, Bruce Finesview, he is a very, very good choice.
[01:34:09.268 --> 01:34:21.372]  The left is trying to spin this that he wants to end web freedom because they labeled their net neutrality legislation, net neutrality, when it was a total takeover of all communications.
[01:34:22.751 --> 01:34:25.614]  Delivered digitally or by broadcast.
[01:34:25.614 --> 01:34:26.215]  It's amazing.
[01:34:26.215 --> 01:34:30.239]  And so he concurs with my breakdown and others that this is a good guy.
[01:34:30.239 --> 01:34:35.063]  Doesn't mean there can't be abuses in any new regulatory scheme.
[01:34:35.063 --> 01:34:37.426]  That's the problem with anything that's regulatory.
[01:34:37.426 --> 01:34:41.750]  But this guy is a quote, take a weed eater to regulations view.
[01:34:42.691 --> 01:34:53.526]  And if the guy that literally saved us from the destruction of free speech in this country's certification, then I have got more than a wait-and-see position.
[01:34:53.526 --> 01:34:54.668]  I think this is very positive.
[01:34:54.668 --> 01:34:57.772]  But Bruce, let me just ask this brief question and then get into your agenda.
[01:34:57.772 --> 01:34:59.454]  And I imagine this is probably your agenda as well.
[01:35:00.731 --> 01:35:02.571]  Looking at Trump, I've had to wait and see.
[01:35:02.571 --> 01:35:22.636]  I mean, I know he's a good guy overall, a lot better than the other candidates, but I'm being really pleasantly invigorated and surprised here with hundreds of phone calls a day to major corporations saying, come here, saying we've got regulations designed to cripple us, we're slashing them, saying we're going to, you know, cut the taxes.
[01:35:22.636 --> 01:35:29.518]  And with this optimism, Chrysler, Ford, Carrier, SoftBank, I mean, the list is so huge now.
[01:35:29.518 --> 01:35:30.158]  Foxconn.
[01:35:31.357 --> 01:35:34.101]  He's saying, OK, we're going to have human factories in the United States.
[01:35:34.101 --> 01:35:35.542]  Apple's coming back.
[01:35:35.542 --> 01:35:41.550]  It's an avalanche, a trillion plus in the stock market, before he was even president, just in the exuberance.
[01:35:41.550 --> 01:35:43.432]  Because in my view, he's, quote, not out to get us.
[01:35:43.432 --> 01:35:44.894]  But then that inaugural speech.
[01:35:45.925 --> 01:35:55.231]  Somewhat the continuation of George Washington's vision and the relaunch of the Renaissance Project that our republic has been and Francis Bacon and the whole nine yards.
[01:35:55.231 --> 01:35:57.252]  I mean, this is like so good.
[01:35:57.252 --> 01:36:01.374]  I'm pinching myself, hoping I don't wake up and this is a dream.
[01:36:01.374 --> 01:36:04.997]  It doesn't mean I'm in a cult and think Trump can do no wrong.
[01:36:04.997 --> 01:36:11.621]  In fact, I'm looking for things for him to do wrong because I want to always stick to my guns and be a purist.
[01:36:11.621 --> 01:36:13.722]  But I am really blown away right now.
[01:36:15.425 --> 01:36:19.047]  Alex, I think we just need to take it, you know, day by day.
[01:36:19.047 --> 01:36:21.609]  You know, words are words, and it's great.
[01:36:21.609 --> 01:36:31.355]  The words that sound good are really good, but they're just words until they're translated into actual regulations and then statutes.
[01:36:31.355 --> 01:36:38.039]  And of course, it's encouraging that the words are producing this enthusiasm about bringing jobs into the United States.
[01:36:38.039 --> 01:36:40.841]  But, you know, you can reverse that in five seconds as well.
[01:36:41.421 --> 01:36:46.042]  And I think, you know, the critical feature, and this is, you know, I've been here, Alex, 50 years.
[01:36:46.042 --> 01:36:53.784]  You know, we still have a bureaucracy, and the bureaucracy is basically, it's liberal and it's regulatory-oriented.
[01:36:53.784 --> 01:36:54.605]  And it's huge.
[01:36:54.605 --> 01:36:58.786]  You know, we have a $4.3 trillion federal government.
[01:36:58.786 --> 01:37:03.287]  There are millions of employees, and they have their own vested interests.
[01:37:03.287 --> 01:37:10.789]  And it takes a long time to undo some of these regulatory networks that have been built up over literally decades.
[01:37:12.053 --> 01:37:17.554]  Just to prove your point, I didn't know this, correction, the Chinese threatened Foxcom and now they're backpedaling.
[01:37:17.554 --> 01:37:26.156]  Yeah, so those are, it's not that you're wrong, it's just that we, it's like Reagan, trust but verify.
[01:37:26.156 --> 01:37:36.238]  We gotta wait and see what really happens and in many of these cases where you're going to need new statutes, we need to remember that the Democrats still,
[01:37:37.158 --> 01:37:39.760]  Well, this is what I've actually written there.
[01:37:39.760 --> 01:37:45.084]  This is the way in which you, I think, you can dismantle the regulatory state without having to depend upon Congress.
[01:37:45.084 --> 01:37:47.105]  You simply have the regulators issue rules.
[01:38:06.630 --> 01:38:20.819]  That say, including existing rules, that unless Congress, both houses of Congress, affirmatively vote to approve the rule within 60 days, it lapses.
[01:38:20.819 --> 01:38:26.043]  So you force the Congress to decide they want to continue the regulation.
[01:38:26.913 --> 01:38:27.694]  I don't know.
[01:38:43.383 --> 01:38:55.969]  The congressional branch can give responsibility to the executive for doing things people don't like and then hold up their hands and say, like Pontius Pilate, not me, but it really is them.
[01:38:55.969 --> 01:39:01.711]  And then they complain about the handiwork that they've given to the executive branch after they've given it away.
[01:39:01.711 --> 01:39:04.632]  Sure, and they can all pretend like it's not their fault.
[01:39:04.632 --> 01:39:05.773]  That's why it's so incredible
[01:39:06.033 --> 01:39:13.798]  That Trump's stepping into this trifecta, stepping into the executive that does have all this power, and I think that's why we're starting to see such a fast reversal.
[01:39:13.798 --> 01:39:15.159]  I mean, just look at Obamacare.
[01:39:15.159 --> 01:39:18.461]  Look at his withdrawal from the TPP on day four.
[01:39:18.461 --> 01:39:19.421]  Yeah, no, exactly.
[01:39:19.421 --> 01:39:21.743]  But he needs to institutionalize this.
[01:39:21.743 --> 01:39:27.946]  Because remember, you know, whatever Trump can do, he'll be there four years or eight years.
