[00:00:02.611 --> 00:00:04.412]  It makes zero sense.
[00:35:38.524 --> 00:35:42.345]  And that is simply because the left wants to take over the local police departments and bully them.
[00:35:42.345 --> 00:35:44.025]  Every time there's an event, it's about power.
[00:35:44.025 --> 00:35:46.506]  Soros has bought off most of the district attorneys.
[00:35:46.506 --> 00:35:48.046]  He's put most of the DAs in.
[00:35:48.046 --> 00:35:51.267]  He has a lot of the state attorney generals, and he's a globalist.
[00:35:51.267 --> 00:36:01.349]  And this is just about getting the police to bow down to his organization, BLM, whose owners and controllers have made $10.6 billion, $10.6 billion last year.
[00:36:04.525 --> 00:36:15.751]  That's why it went, oh look, this black lady that says whites are evil and should be gotten rid of and that communism's the way and that all black men should basically be sterilized because it's so trendy to make them transsexual and the nuclear family's bad.
[00:36:15.751 --> 00:36:20.333]  She doesn't just own one million dollar house, they found four more.
[00:36:20.333 --> 00:36:26.877]  One of them's like eight million dollars with helicopter pads and jet hangers full of jet airplanes.
[00:36:26.877 --> 00:36:28.297]  Okay?
[00:36:28.297 --> 00:36:31.979]  And now they're calling for an investigation of the other members so they all look safe.
[00:36:31.979 --> 00:36:32.900]  This is all a scam.
[00:36:34.611 --> 00:36:37.013]  You're not the resistance when you're in Black Lives Matter.
[00:36:37.013 --> 00:36:43.358]  You're working for the most evil globalist on Earth.
[00:36:43.358 --> 00:36:44.659]  So that's all this is.
[00:36:44.659 --> 00:36:48.342]  And then believe me, once they get control of the police, then they're going to be desk watch.
[00:36:48.342 --> 00:36:52.486]  They're going to be left as police like Venezuela or Cuba or North Korea.
[00:36:52.486 --> 00:36:54.187]  And then there won't be any news coverage.
[00:36:54.187 --> 00:36:58.090]  It's like when the police, you'll see white cops beat up a black guy with billy clubs.
[00:36:58.090 --> 00:36:58.971]  He's not wearing a mask.
[00:36:58.971 --> 00:37:00.372]  And people are like, that's good.
[00:37:00.372 --> 00:37:01.413]  He needs it for no reason.
[00:37:02.242 --> 00:37:03.923]  Or black cops beat up black people.
[00:37:03.923 --> 00:37:06.284]  Black, black, beat up black women, white women, doesn't matter.
[00:37:06.284 --> 00:37:08.926]  And they're like, oh, good job, beat them up!
[00:37:08.926 --> 00:37:11.988]  But, but then, oh my gosh, something goes wrong somewhere else.
[00:37:11.988 --> 00:37:13.409]  Let's just burn down the whole country.
[00:37:13.409 --> 00:37:14.669]  Let's show the cops.
[00:37:14.669 --> 00:37:15.130]  Let's show them.
[00:37:15.130 --> 00:37:17.091]  Because they're local governments.
[00:37:17.091 --> 00:37:18.552]  And they're easy to take over.
[00:37:18.552 --> 00:37:19.672]  And the left's taking them over.
[00:37:19.672 --> 00:37:22.154]  I'm going to cover all that with all the videos next hour.
[00:37:22.154 --> 00:37:24.855]  It is, it is insane.
[00:37:24.855 --> 00:37:29.058]  But I want at the next segment to show you the Austin Chronicle I've got right here.
[00:37:29.750 --> 00:37:40.195]  Where it talks about how they're doing all this great work, and oh, they come to the black people's doors and tell them, please take their shots, the white saviors do.
[00:37:40.195 --> 00:37:53.100]  And so we're going to be laying out the latest developments where now under the new global vaccine passports that Xi Jinping runs through the UN, it's all official, told you about it a year ago, he's proposing it.
[00:37:53.100 --> 00:37:57.722]  You can't go to the grocery store unless you have it, and then it's going to tell you when you're allowed to go.
[00:37:57.722 --> 00:37:59.143]  Oh, once you agree to these,
[00:38:00.419 --> 00:38:10.782]  Now there's only certain times you can go out, certain times you can get food, and it creates a record of what you buy, because we're in a communal system now, so if you eat the wrong things, you're going to be punished.
[00:38:10.782 --> 00:38:14.864]  It's all being announced.
[00:38:14.864 --> 00:38:22.186]  And then we have the footage of the old woman in Chile, and they said, sorry, you don't have a travel pass on your phone.
[00:38:22.186 --> 00:38:24.307]  You're not allowed to have food.
[00:38:24.307 --> 00:38:26.868]  And they, oh, it's so fun.
[00:38:26.868 --> 00:38:27.888]  It's so good.
[00:38:28.863 --> 00:38:32.886]  And so, we're going to be covering all of that coming up next segment.
[00:38:32.886 --> 00:38:37.289]  Separately, I got 20,000 of these in.
[00:38:37.289 --> 00:38:38.870]  People are really wanting to buy in-game.
[00:38:38.870 --> 00:38:41.752]  I noticed the copies we had started selling really fast.
[00:38:41.752 --> 00:38:42.973]  So, I ordered 20,000 of them.
[00:38:42.973 --> 00:38:45.215]  We're selling one for $14.95.
[00:38:45.215 --> 00:38:48.057]  You can get 10 of them for $3 a piece.
[00:38:48.057 --> 00:38:51.019]  You can get five of them for $5 and change.
[00:38:51.019 --> 00:38:56.103]  And so, again, if you guys can punch up InfoWareStore.com, there's a whole range of these.
[00:38:56.849 --> 00:39:01.211]  From $14.95, you can buy one copy and make copies and share it, get it out to folks.
[00:39:01.211 --> 00:39:05.473]  Right down to buying 10 copies, very close to cost at InfoWareStore.com.
[00:39:05.473 --> 00:39:12.036]  We're calling it Operation Endgame, Stop the Great Reset.
[00:39:12.036 --> 00:39:21.280]  And there is a zero country code on this, meaning you can copy this anywhere in the world.
[00:39:21.280 --> 00:39:24.682]  And this film was popular and powerful when it came out 14 years ago.
[00:39:24.682 --> 00:39:25.562]  It's now evergreen.
[00:39:26.764 --> 00:39:28.467]  So buy 10 for $3.95 each, 74% off.
[00:39:28.467 --> 00:39:29.890]  Buy 5 for $5.95 each, 60% off.
[00:39:29.890 --> 00:39:30.811]  Buy 3 for $8.95 each, 40% off.
[00:39:38.303 --> 00:39:42.866]  Buy two for $9.95 each, 33% off, or one for $14.95.
[00:39:42.866 --> 00:39:47.589]  And if you want to buy a bunch for $14.95 to support us, that's great too, but whatever you do, get them like the old days.
[00:39:47.589 --> 00:39:51.412]  There used to be tens of millions of copies of my films back during the DVD days.
[00:39:51.412 --> 00:39:52.312]  People would make copies.
[00:39:52.312 --> 00:39:57.376]  Get it, get a DVD burner and say, this is the forbidden info, not allowed on the internet, here it is.
[00:39:57.376 --> 00:40:01.499]  Donate an original high-quality copy with a nice color cover to your library.
[00:40:01.499 --> 00:40:04.260]  Give it to your police chief, your mayor, your pastor.
[00:40:04.260 --> 00:40:06.922]  Because people watch it and they go, did he just make this?
[00:40:06.922 --> 00:40:08.003]  He predicts everything that happened.
[00:40:08.638 --> 00:40:11.080]  And we show who runs it, who controls it.
[00:40:11.080 --> 00:40:16.165]  We just got 20,000 of these in, and we need people to get them, to share them.
[00:40:17.017 --> 00:40:18.338]  They make great gifts as well.
[00:40:18.338 --> 00:40:21.261]  You can buy them early and they know that you already got your Christmas handled.
[00:40:21.261 --> 00:40:24.324]  Whatever you do, support the InfoWars and 360Win.
[00:40:24.324 --> 00:40:25.945]  Endgame, Blueprint for Global Enslavement.
[00:40:25.945 --> 00:40:26.806]  They want you dead.
[00:40:26.806 --> 00:40:31.470]  It's an amazing film with amazing extras being scrubbed off the internet everywhere.
[00:40:31.470 --> 00:40:32.872]  We have a free copy at Band.Video.
[00:40:32.872 --> 00:40:37.356]  For those of you who can't afford it, please share the link in the film section of Band.Video.
[00:40:37.356 --> 00:40:39.298]  Endgame, Blueprint for Global Enslavement.
[00:40:39.298 --> 00:40:40.619]  And there's only what?
[00:40:41.696 --> 00:40:43.078]  It's very simple.
[00:40:43.078 --> 00:40:50.825]  Every household, not just in America, but worldwide, should be taking a high-quality multivitamin mineral every single day.
[00:41:04.773 --> 00:41:05.093]  I think so.
[00:41:27.734 --> 00:41:28.034]  We're good
[00:41:48.456 --> 00:41:49.156]  I don't know.
[00:42:04.482 --> 00:42:08.545]  And we've given the globalists one hell of a run for their money because of God.
[00:42:08.545 --> 00:42:12.508]  And I know some of our listeners get mad when I talk about God all day, but just give me a break.
[00:42:12.508 --> 00:42:13.889]  The Satanism's out in the open.
[00:42:13.889 --> 00:42:19.013]  I've always been a Christian, but now the fact that it's a fight between good and evil is so clear.
[00:42:19.013 --> 00:42:19.433]  And I get it.
[00:42:19.433 --> 00:42:21.194]  A lot of you have been turned off by big churches.
[00:42:21.194 --> 00:42:23.336]  A lot of you have been turned off by the corrupt.
[00:42:24.184 --> 00:42:24.885]  I don't know.
[00:42:39.700 --> 00:42:41.542]  And so that's what InfoWars is really all about.
[00:42:41.542 --> 00:42:43.564]  So thank you all for your word of mouth.
[00:42:43.564 --> 00:42:45.165]  Thank you for spreading the word about InfoWars.
[00:42:45.165 --> 00:42:49.389]  And thank you for supporting us to keep us on air by visiting InfoWarsStore.com.
[00:42:49.389 --> 00:42:53.032]  Because without your daily and weekly and monthly purchases, we'll be taken off the air.
[00:42:53.032 --> 00:42:54.013]  So thank you for the support.
[00:42:54.013 --> 00:42:54.854]  InfoWarsStore.com.
[00:42:56.684 --> 00:42:59.225]  The globalists are purposely collapsing our world.
[00:42:59.225 --> 00:43:02.945]  They are creating insecurity, crime, war, and famine.
[00:43:02.945 --> 00:43:10.107]  All of us should do everything we can to get prepared and get ready for ourselves and our families' sakes, but also our community.
[00:43:10.107 --> 00:43:17.028]  And citizenstronghold.com is the best place to go to get high-quality body armor at the lowest price you're going to find.
[00:43:17.028 --> 00:43:20.809]  Again, this is high-quality body armor at the lowest price you're going to find.
[00:43:20.809 --> 00:43:24.470]  We've worked with them for years, but they can never supply enough to our audience.
[00:43:24.470 --> 00:43:26.250]  They have massively expanded their factories.
[00:43:26.590 --> 00:43:30.612]  It's made right here in America and they're ready to ship it to you right now.
[00:43:30.612 --> 00:43:32.453]  CitizenStronghold.com.
[00:43:32.453 --> 00:43:36.374]  When you go there, put in promo code ALEX and get 10% off on your purchases.
[00:43:36.374 --> 00:43:39.176]  They have it for children, they have it for women, they have it for men.
[00:43:39.176 --> 00:43:43.078]  They have backpacks that didn't unfold and are full top body armor.
[00:43:43.078 --> 00:43:45.659]  They've got it all right now ready to ship to you.
[00:43:45.659 --> 00:43:46.559]  10% off.
[00:43:46.559 --> 00:43:50.461]  And the globalists are coming to try to stop the sale of it soon.
[00:43:50.461 --> 00:43:53.202]  That's why you need to get it now at CitizenStronghold.com.
[00:43:53.202 --> 00:43:54.483]  Promo code ALEX and get 10% off.
[00:43:57.003 --> 00:44:05.115]  Epic is one of only a handful of domain registrars that promote free speech and freedom of association.
[00:44:05.115 --> 00:44:12.627]  And they know that big tech is buying up almost all the other major companies and engaging in massive censorship and organized crime racketeering.
[00:44:12.987 --> 00:44:16.048]  That's why they've been massively expanding their services.
[00:44:16.048 --> 00:44:24.512]  So whether you have domains, or want to register a domain, or want help building a website, or want servers, or any other major service, they've got it all and they're expanding.
[00:44:24.512 --> 00:44:42.439]  And if you go to InfoWarsDomains.com and follow that link, you get all their services at the lowest price, and 25% of your sign-up for a new domain or a domain you move goes to fund the InfoWar, and we get 5% as well for any servers or any other type of services that you get from them.
[00:44:42.679 --> 00:44:49.487]  So it's a win-win as we build a true, open, free internet again because the globalists are destroying what was open and what was free.
[00:44:49.487 --> 00:44:52.511]  So, InfoWarsDomains.com.
[00:44:52.511 --> 00:44:53.932]  The revolution starts there.
[00:44:53.932 --> 00:44:55.754]  InfoWarsDomains.com.
[00:44:55.754 --> 00:45:00.240]  Take action now!
[00:45:00.240 --> 00:45:02.883]  You're listening to the Alex Jones Show.
[00:45:20.550 --> 00:45:49.724]  All right, if you just joined us, earlier I played a clip off of 60 Minutes last night, 60 Minutes Sunday, going, oh look, DARPA, and a lab funded by Bill Gates, has come up with these little green octopus-looking flesh-like antenna systems that are implanted in your body, and they're basically absorbed into your body, but it's not tracking you even though it does track you.
[00:45:51.235 --> 00:45:54.616]  Now, why is this so important?
[00:45:54.616 --> 00:45:56.696]  Because it's how they define things.
[00:45:56.696 --> 00:45:59.736]  They go, it's not a microchip.
[00:45:59.736 --> 00:46:03.537]  It's a green flesh-like system that tracks you.
[00:46:03.537 --> 00:46:09.378]  Just like the new microchips are glass on a bandage that work into your skin and into your body.
[00:46:09.378 --> 00:46:10.238]  You can't get rid of them.
[00:46:10.238 --> 00:46:12.219]  They just keep working in.
[00:46:12.219 --> 00:46:16.159]  Or it's inside the injector and nanotech in your body.
[00:46:16.159 --> 00:46:19.640]  That's where the microchips have been for decades.
[00:46:19.640 --> 00:46:20.380]  But here's what's bigger.
[00:46:23.371 --> 00:46:28.073]  You've all been taught to be scared of the little classic rice-sized primitive chip that they've had for 50 years, 60 years.
[00:46:28.073 --> 00:46:33.216]  Now they're like, oh, this isn't a chip.
[00:46:33.216 --> 00:46:35.036]  It doesn't track you.
[00:46:35.036 --> 00:46:38.438]  It's a little green thing that tracks you.
[00:46:38.438 --> 00:46:40.379]  And so they just play that mind game.
[00:46:40.379 --> 00:46:42.080]  It's not the dreaded chip.
[00:46:42.080 --> 00:46:46.362]  It's a little green octopus.
[00:46:46.362 --> 00:46:49.163]  But understand this, that's even old technology.
[00:46:50.948 --> 00:46:54.049]  And they say, oh, the ship was crippled by COVID.
[00:46:54.049 --> 00:46:55.849]  No one died on that ship.
[00:46:55.849 --> 00:46:57.630]  The PCR tests are fake.
[00:46:57.630 --> 00:47:01.811]  They had a cold virus on a ship.
[00:47:01.811 --> 00:47:03.632]  And they use it to say they were crippled.
[00:47:03.632 --> 00:47:05.892]  So there's a crisis, so you all need chips.
[00:47:05.892 --> 00:47:08.473]  In China, they just say, you're super soldiers.
[00:47:08.473 --> 00:47:13.275]  We're injecting you with mRNA to make you have more stamina and bigger muscles.
[00:47:13.275 --> 00:47:14.575]  It has horrible side effects, but OK.
[00:47:15.891 --> 00:47:16.531]  Remember the headlines?
[00:47:16.531 --> 00:47:18.893]  I told you about it decades ago, but now it's in the news this year.
[00:47:18.893 --> 00:47:26.118]  China is doing secret mRNA with vaccines to make their soldiers smarter, faster, and stronger!
[00:47:26.118 --> 00:47:31.821]  They're really just testing on them, and then they just glamorize it.
[00:47:31.821 --> 00:47:33.683]  And all the other countries couldn't get this approved.
[00:47:33.683 --> 00:47:38.646]  Not India, not the U.S., not Russia, so now they use COVID to do it, you see?
[00:47:38.646 --> 00:47:40.687]  So what is the Johnson & Johnson vaccine?
[00:47:40.687 --> 00:47:42.048]  What is the AstraZeneca?
[00:47:42.048 --> 00:47:43.449]  What is the Pfizer?
[00:47:45.214 --> 00:47:51.877]  They're all mRNA because two of them fire a virus with another virus inside of it into your DNA.
[00:47:51.877 --> 00:47:53.737]  That's the Pfizer.
[00:47:53.737 --> 00:47:57.439]  That's the Johnson & Johnson and AstraZeneca.
[00:47:57.439 --> 00:48:03.742]  They're new virus vector vaccines that are super dangerous, that were always known as experimental, only tested on the U.S.
[00:48:03.742 --> 00:48:05.382]  military because they were guinea pigs.
[00:48:05.382 --> 00:48:06.683]  Still wrong.
[00:48:06.683 --> 00:48:10.704]  And then you've got the mRNA that just programs from the outside of the cell to the ribosomes.
[00:48:10.704 --> 00:48:13.525]  Still the same thing.
[00:48:13.525 --> 00:48:14.726]  And so this is all illegal.
[00:48:16.164 --> 00:48:18.265]  But they go, oh, we got a problem on a ship.
[00:48:18.265 --> 00:48:19.086]  The answer is this.
[00:48:19.086 --> 00:48:19.986]  It's not the dreaded ship.
[00:48:19.986 --> 00:48:21.087]  It doesn't track you.
[00:48:21.087 --> 00:48:24.228]  It just tracks you and tells the computer when you should blood test yourself.
[00:48:24.228 --> 00:48:30.031]  And then you administer the test on yourself like you're a guinea pig.
[00:48:30.031 --> 00:48:31.212]  It has nothing to do with that.
[00:48:31.212 --> 00:48:35.154]  It's a tracker because it tells the system when you need to be checked.
[00:48:35.154 --> 00:48:36.414]  It's tracking where you're at.
[00:48:36.414 --> 00:48:38.075]  It's monitoring your blood.
[00:48:38.075 --> 00:48:40.857]  But it's not a tracker.
[00:48:40.857 --> 00:48:42.498]  This is so authoritarian.
[00:48:42.498 --> 00:48:43.398]  It's so deceptive.
[00:48:43.398 --> 00:48:45.119]  And all these top scientists, including the
[00:48:45.928 --> 00:48:50.953]  Former Chief Scientist at Pfizer, he said everything they say for the epidemiology is a lie.
[00:48:50.953 --> 00:48:51.914]  It's a 180.
[00:48:51.914 --> 00:48:53.957]  I talked to all the other virologists I know.
[00:48:53.957 --> 00:48:55.258]  They go, yeah, it's all lies.
[00:48:55.258 --> 00:48:58.501]  But none of them can speak out because they get banned or fired.
[00:48:58.501 --> 00:49:02.846]  So on top of it all being a lie, you get censored or fired if you talk about it.
[00:49:02.846 --> 00:49:06.169]  More authoritarianism!
[00:49:06.169 --> 00:49:08.572]  And now they're doing it to children without informed consent.
[00:49:10.934 --> 00:49:17.299]  You know all the ferrets died that took the mRNA vaccine four years ago when they tested this exact thing.
[00:49:17.299 --> 00:49:18.840]  You know they already tested on animals.
[00:49:18.840 --> 00:49:22.883]  They skipped trials because it killed so many of them.
[00:49:22.883 --> 00:49:26.445]  Now humans are tougher than dogs and cats and rats.
[00:49:26.445 --> 00:49:27.306]  It's known.
[00:49:27.306 --> 00:49:28.367]  There's something special about us.
[00:49:28.367 --> 00:49:30.408]  For those that don't know, the globalists know.
[00:49:30.408 --> 00:49:33.890]  And it varies from human to human, but a lot of people can take a lot of poison.
[00:49:33.890 --> 00:49:35.071]  Especially white people.
[00:49:35.071 --> 00:49:35.872]  Little secret they know.
[00:49:36.465 --> 00:49:38.587]  You can say we're like cloned with something, who knows?
[00:49:38.587 --> 00:49:43.330]  The point is, is that black people cannot take a lot of poison.
[00:49:43.330 --> 00:49:47.273]  Fluoride has twice as bad an effect on a black male as a Caucasian male.
[00:49:47.273 --> 00:49:48.854]  And it just goes on from there.
[00:49:48.854 --> 00:49:52.616]  So we're all human, but we're all different, we all know that.
[00:49:52.616 --> 00:50:00.442]  And so these globalists know what they're doing, and the evidence is showing these vaccines hurt blacks even worse than whites.
[00:50:00.442 --> 00:50:01.783]  And hurt men more than women.
[00:50:02.526 --> 00:50:06.128]  Then they try to spin it and go, well actually it's hurting women more because they're getting these tumors all over them.
[00:50:06.128 --> 00:50:12.953]  The point is, they're not going to launch something like this and then not launch something bigger to cover up what happened here.
[00:50:12.953 --> 00:50:14.214]  They're going for broke.
[00:50:17.518 --> 00:50:20.399]  And so, like, even Ron Paul came out and said, this is a desperate situation.
[00:50:20.399 --> 00:50:22.220]  We've got to stop the vaccine passports.
[00:50:22.220 --> 00:50:23.561]  We've got to kill it right now.
[00:50:23.561 --> 00:50:25.782]  You've got to get aggressive with the mask cult.
[00:50:25.782 --> 00:50:29.004]  You've got to get aggressive with your city councils and these county judges.
[00:50:29.004 --> 00:50:34.606]  You've got to explain to them what's really going on now before it's too late.
[00:50:34.606 --> 00:50:43.851]  Because the AstraZeneca, the Pfizer, the Moderna, all of these are not vaccines where you put a dead bacteria or virus in somebody and your body learns how to beat it.
[00:50:46.727 --> 00:50:49.588]  Like training an attack dog on a dummy.
[00:50:49.588 --> 00:50:56.410]  These are gene-editing nanotech lab-created synthetic nanotech.
[00:50:56.410 --> 00:51:09.393]  So you're worried about a little implantable chip, or a little thing that looks like a blue sea creature, or a green octopus with antennas on it.
[00:51:09.393 --> 00:51:13.394]  Or something out of The Matrix where he drops the shrimp down his mouth, you know, it attracts him.
[00:51:13.394 --> 00:51:14.815]  That's exactly what all this is.
[00:51:14.815 --> 00:51:15.915]  They're throwing it in your face.
[00:51:17.136 --> 00:51:18.536]  They're mimicking life with what they're doing.
[00:51:18.536 --> 00:51:19.757]  They're infecting us.
[00:51:19.757 --> 00:51:29.539]  But it's already in these shots that they want to mutate to discover the Lazarus gene in us or the immortal cell line in their own words.
[00:51:29.539 --> 00:51:31.040]  How do I know this?
[00:51:31.040 --> 00:51:35.761]  They are mass testing on everybody to then see who can survive this.
[00:51:37.651 --> 00:51:39.732]  They've already committed a massive crime.
[00:51:39.732 --> 00:51:41.713]  Millions are already dying from the vaccines.
[00:51:41.713 --> 00:51:43.234]  They're now attributing it to COVID.
[00:51:43.234 --> 00:51:49.717]  There's massive mental illness with those getting injected, just like the John Hopkins prediction, the sparse 2025-2028 predicted.
[00:51:49.717 --> 00:51:51.998]  It's all a nightmare scenario.
[00:51:51.998 --> 00:51:53.979]  It's moving quicker than I even thought.
[00:51:53.979 --> 00:51:54.680]  I was wrong.
[00:51:54.680 --> 00:51:55.700]  It's worse than I thought.
[00:51:55.700 --> 00:51:57.941]  I thought they would beta test and space it out.
[00:51:57.941 --> 00:52:04.765]  But because they were behind, because they were in trouble, because of the global awakening, they are now accelerating this.
[00:52:04.765 --> 00:52:06.125]  So here's what I'm going to do.
[00:52:06.125 --> 00:52:06.766]  I'm behind again.
[00:52:06.766 --> 00:52:07.326]  I'm going to come back.
[00:52:08.340 --> 00:52:09.562]  I'm going to play this 50 minutes piece again.
[00:52:09.562 --> 00:52:12.345]  I'm going to slowly stop it and start it and analyze it.
[00:52:12.345 --> 00:52:13.806]  And then I'm going to show you the rest of this news.
[00:52:13.806 --> 00:52:18.091]  But in their own words, they're going to lock you down forever with this.
[00:52:18.091 --> 00:52:19.873]  They're teaching you you're not essential.
[00:52:19.873 --> 00:52:23.317]  And when you get the COVID shots, they tell you it still doesn't work.
[00:52:23.317 --> 00:52:24.599]  There's too many variants.
[00:52:24.599 --> 00:52:26.621]  You can't get 10 shots a year and have freedom.
[00:52:26.621 --> 00:52:27.342]  It's a trap.
[00:52:27.342 --> 00:52:28.203]  You never get out of it.
[00:52:28.203 --> 00:52:29.084]  They've admitted all that.
[00:52:29.733 --> 00:52:33.295]  People think, oh, I just go get this shot and then I go back to life.
[00:52:33.295 --> 00:52:34.035]  No!
[00:52:34.035 --> 00:52:35.996]  You are captured.
[00:52:35.996 --> 00:52:39.558]  Only getting out of the jail cell frees you.
[00:52:39.558 --> 00:52:45.121]  And again, they put you on lockdown for six months, let you out, limited, wear your mask, you can go certain places.
[00:52:45.121 --> 00:52:52.665]  It's like letting a trustee who's been in prison for years, you know, go to the store and pick up some stuff because he's a well-behaved slave.
[00:52:52.665 --> 00:52:54.706]  This is all prisoner training, period.
[00:52:54.706 --> 00:52:55.807]  Look at the local Chronicle.
[00:52:57.831 --> 00:52:58.712]  Dr. McAnish-Shott, please.
[00:52:58.712 --> 00:53:15.784]  It says, look, oh, it says that liberal volunteers are going to disadvantage East Austin neighborhoods and giving them care packages of masks and little cans of food and things and this big brochure saying COVID vaccines are safe.
[00:53:15.784 --> 00:53:20.127]  COVID vaccines are tested and 100% effective.
[00:53:20.127 --> 00:53:21.908]  That's a criminal lie.
[00:53:21.908 --> 00:53:23.309]  They're experimental.
[00:53:23.309 --> 00:53:24.790]  It's out of control.
[00:53:24.790 --> 00:53:25.571]  And that's the facts.
[00:53:27.330 --> 00:53:34.437]  So I'm going to go over all this when we come back, but the future is you only buy and sell when they say if they want to keep you around.
[00:53:34.437 --> 00:53:39.883]  And you're going to have to go to social training systems, literally programmed by the Southern Poverty Law Center and the ADL.
[00:53:39.883 --> 00:53:44.247]  And if you don't do it, you'll be an anti-Semite.
[00:53:44.247 --> 00:53:46.009]  So that's how they've tasked all this.
[00:53:46.009 --> 00:53:47.351]  It's how they've scripted it.
[00:53:47.351 --> 00:53:48.872]  It's how they've prepared the whole deal.
[00:53:48.872 --> 00:53:50.514]  It is a nightmare dystopia.
[00:53:51.756 --> 00:54:06.344]  We better understand that big tech is the arm of the big banks and the globalists and what they do with the censorship and the death camps they help run and everything is what they want for us and that all the long hair and all the hippie talk is a cover for very savage evil people.
[00:54:06.344 --> 00:54:13.128]  All the pink sweaters that Oprah and Bill Gates and Ted Turner and every interview now they wear pink sweaters.
[00:54:13.128 --> 00:54:16.329]  And they even admit the psychology behind that to look non-threatening.
[00:54:16.329 --> 00:54:19.291]  Because they were wearing a frickin' field marshal outfit, you'd go, that's Hitler.
[00:54:20.257 --> 00:54:23.579]  And so, this is all scientific.
[00:54:23.579 --> 00:54:30.102]  Just like when a guy pulls up at your house with an ice cream truck, going, I got a puppy, trying to get your four-year-old you weren't watching in the car with him.
[00:54:30.102 --> 00:54:36.505]  They don't pull up in a thing with fire coming out and a big demon face with the sound of ghosts going, ooooh!
[00:54:36.505 --> 00:54:39.206]  Because your kid would run inside.
[00:54:39.206 --> 00:54:44.089]  A creeper doesn't pull up in a van and then have the sounds of wild cats roaring in the background.
[00:54:44.089 --> 00:54:44.709]  Your kid would run in.
[00:54:45.464 --> 00:54:48.105]  But they come up going, oh, hi, how you doing?
[00:54:48.105 --> 00:54:50.166]  I got a lollipop right here.
[00:54:50.166 --> 00:54:52.147]  I got an ice cream cone.
[00:54:52.147 --> 00:54:53.848]  Yeah, come around the back of the van.
[00:54:53.848 --> 00:54:57.809]  You want to see the puppy?
[00:54:57.809 --> 00:54:59.210]  And that's all this is, folks.
[00:54:59.210 --> 00:55:06.073]  These are murdering predators and all these cowards that have said, yes, the system's so long, they subconsciously know it's real.
[00:55:06.073 --> 00:55:06.953]  They're scared.
[00:55:06.953 --> 00:55:09.394]  So they decided to join with it and go along with it.
[00:55:12.302 --> 00:55:16.893]  And so, again, I tried to deny this in my own head and said, well, they're doing a beta test.
[00:55:16.893 --> 00:55:18.797]  They're going to launch a bigger, bigger one later.
[00:55:18.797 --> 00:55:21.484]  And on the scale, it will be much bigger.
[00:55:22.068 --> 00:55:25.389]  But they're not going to space this out even 5 or 10 years.
[00:55:25.389 --> 00:55:28.651]  We never go back and everybody's dead, basically.
[00:55:28.651 --> 00:55:30.672]  I mean, just watch.
[00:55:30.672 --> 00:55:32.392]  Hell has been released.
[00:55:32.392 --> 00:55:34.033]  The Antichrist will appear soon.
[00:55:34.033 --> 00:55:35.594]  Notice none of the churches are saying a word.
[00:55:35.594 --> 00:55:37.275]  They're all saying, do the QR code to go to church.
[00:55:37.275 --> 00:55:39.816]  They're going to tell you, take the ship, you're going to hell.
[00:55:39.816 --> 00:55:41.296]  They're going to bow down before the Antichrist.
[00:55:41.296 --> 00:55:42.337]  You're going to see everything.
[00:55:42.337 --> 00:55:43.777]  You're going to see hell on earth.
[00:55:43.777 --> 00:55:44.318]  We'll be right back.
[00:55:44.318 --> 00:55:46.899]  I'm going to say it again.
[00:55:46.899 --> 00:55:48.879]  I am not lecturing you.
[00:55:48.879 --> 00:55:49.860]  I'm lecturing myself.
[00:55:50.799 --> 00:55:54.163]  I need to take Vitamin Renal Infusion every day.
[00:55:54.163 --> 00:55:55.245]  It tastes great.
[00:55:55.245 --> 00:55:56.366]  It's all natural.
[00:55:56.366 --> 00:56:00.252]  It's got all the vitamins, all the minerals that are essential, and amino acids.
[00:56:00.252 --> 00:56:02.355]  Mix it up in the morning, a little quarter scoop.
[00:56:02.355 --> 00:56:04.257]  Fill the whole pitcher with a whole scoop.
[00:56:04.257 --> 00:56:06.180]  It lasts you four or five days in the refrigerator.
[00:56:06.180 --> 00:56:07.422]  Pour yourself a big glass with ice.
[00:56:08.182 --> 00:56:09.323]  And it's so good!
[00:56:09.323 --> 00:56:14.588]  In the morning, at noon, at night, whatever you do, get in that one glass a day.
[00:56:14.588 --> 00:56:15.869]  It's been sold out for a while.
[00:56:15.869 --> 00:56:25.917]  It's Bakistat, Vitamin Mineral Fusion, info-war-store-dot-com for your immune system, your body's defenses, but especially your family and friends and old folks and people with darker skin.
[00:56:26.417 --> 00:56:30.938]  I'm up here working on a Thursday night in mid-April 2021, and I just want to say something.
[00:56:30.938 --> 00:56:34.378]  I am so blessed and honored to work with this incredible crew.
[00:56:55.834 --> 00:57:02.199]  That has come together over the years and is truly an answer to prayer, and I am so blessed and thankful for all of you, the listeners of this show.
[00:57:02.199 --> 00:57:05.101]  I want you to know that I love you and I appreciate you.
[00:57:05.101 --> 00:57:09.684]  Whether you are old, whether you are Hispanic, white, black, it doesn't matter, you've got red blood.
[00:57:09.684 --> 00:57:20.152]  And if you love freedom and justice, and if you love our innocent children, we are brothers and sisters together, and it has just been an incredible experience to work with you over the years.
[00:57:20.152 --> 00:57:23.074]  And as crazy as things are, I want to keep working into the future.
[00:57:23.982 --> 00:57:26.884]  But again, that's really up to you and up to God.
[00:57:26.884 --> 00:57:32.509]  So please, I hope God works through you and puts a message in your heart to support us.
