[00:00.000 --> 00:10.000]  The globalist's great error is to believe that as they collapse humanity, they end up on top.
[31:39.700 --> 31:47.060]  Patriots stay as healthy and as clean and as focused as you can be because we need you the remnant of America to
[31:47.220 --> 31:53.220]  Reignite those brush fires the next level and to be healthy and as focused as you can be thanks to your support and your prayers together
[31:53.220 --> 31:59.820]  We're changing the world now. It's time to change our bodies with z-shield and in forward live calm. It's not just our water
[31:59.820 --> 32:02.500]  We need to filter it's not just our food that needs to be clean
[32:02.500 --> 32:08.460]  It's the air we're breathing especially for our children the artificial particulates of the chemicals is
[32:09.140 --> 32:15.700]  Absolutely weighing down our immune systems the same team based right here in America that brought you the Alexa pure
[32:16.220 --> 32:22.140]  groundbreaking water filtration systems have now developed Alexa pure breeze whether it's your home or office
[32:22.140 --> 32:26.700]  Yo, it's yourself your co-workers your family your children to the best job
[32:26.700 --> 32:34.020]  You can to purify your air the elite are masters at poisoning our environment while themselves doing things that mitigate or avoid
[32:34.060 --> 32:37.420]  Most toxic effects themselves the general public doesn't
[32:38.220 --> 32:42.180]  The Alexa pure breeze would be a steal at three hundred four hundred five hundred dollars
[32:42.180 --> 32:46.900]  One of these systems can keep eight hundred square feet incredibly clean. This is a system
[32:46.900 --> 32:52.420]  I'm personally putting in throughout my house replacing older more expensive filters that didn't do as good a job
[32:52.420 --> 32:56.980]  Find out why this system is so revolutionary today and then for war store calm
[33:01.340 --> 33:04.180]  You're listening to the Alex Jones show
[33:04.180 --> 33:19.140]  From the frontlines of the information war it's Alex Jones. Watch me watch me. I got it
[33:19.140 --> 33:23.420]  I got something that makes me want to shout
[33:25.140 --> 33:27.140]  I got something that
[33:29.340 --> 33:40.140]  Will soon of Harvard is one of the top astrophysicists in the world and he was on with Millie Weaver about two hours ago
[33:40.140 --> 33:44.900]  We're having live coverage all day till past 10 o'clock tonight central as we cover
[33:44.900 --> 33:52.460]  Hurricane Irma as it makes landfall in Naples. There's now going up the coastline towards Tampa as a category three hugging the coastline
[33:53.500 --> 33:56.420]  So we've got the Sun that's 1.3 million times bigger than Earth
[33:56.580 --> 34:02.140]  We know it's electromagnetic radiation not just its heat radiation effects goes into the core bounces back off
[34:02.380 --> 34:06.740]  We know thermal heat is less than 1% of the earth's heat the rest is the Sun
[34:07.020 --> 34:09.860]  And we know that there have been a lot of big earthquakes
[34:09.860 --> 34:17.580]  They intensify in the in the Pacific Rim a ring of fire you name it now stand day of is a scientist researcher worked in classified
[34:18.020 --> 34:21.020]  Areas of some of the top corporations the government as well as the FBI
[34:21.260 --> 34:26.700]  I remember hearing this guy 20 years ago with Art Bell and he sounded credible, but I just couldn't believe
[34:27.020 --> 34:30.100]  You know the earthquake predictions until they kept coming true now
[34:30.100 --> 34:37.060]  He was using government data that they had out on major sites. They took that down. He could still predict it with a lot of
[34:37.060 --> 34:39.060]  A lot of precision
[34:39.700 --> 34:43.220]  And so I want to just get his take about we know there's you engineering going on
[34:43.460 --> 34:46.260]  But they know how to kind of target things from our research that are already
[34:46.780 --> 34:54.540]  Happening and just exacerbated or make it weaker, but then you got the Sun coming back into a out of a dormant cycle into a
[34:55.260 --> 34:57.260]  more prolific cycle and
[34:57.820 --> 35:03.620]  Then you see all the other earth changes, but why do we see megastorms like three?
[35:04.820 --> 35:06.620]  Hurricanes right now
[35:06.620 --> 35:13.460]  Irma a week ago 185 mile an hour winds the only time it's ever been recorded in modern history at a hundred and eighty-five miles an hour
[35:13.940 --> 35:20.060]  Why historically even back with ignorant savages could tell that when you had big storms you also had earthquakes
[35:21.100 --> 35:29.100]  They've lost over 90 people that we know of gotta pray for those folks in Mexico strong as ever recorded in a hundred years of seismographs down there
[35:30.140 --> 35:33.500]  Now finally the LA times are telling the public get ready for a mega quake
[35:33.500 --> 35:38.380]  Even though there are many years overdue according to stand day. Oh, and I looked at his own research now
[35:39.180 --> 35:42.140]  Top seismologists and others agree with him
[35:42.140 --> 35:45.700]  It's only to get stand day on one to give us his larger
[35:46.460 --> 35:54.380]  Encompassed research to view on why these changes including political are all happening globally at the same time in the Romans wrote about
[35:54.580 --> 35:59.700]  It just seemed like there'd be volcanoes and suddenly there'd be wars or there'd be a big storm and there'd be a war
[35:59.700 --> 36:07.300]  It just it all seems to go together. You got North Korea and the hydrogen bombs and you've got I mean this this quake that hit Mexico
[36:07.300 --> 36:10.060]  That's one of the biggest recorded in many many years
[36:10.420 --> 36:13.460]  I mean just look at how huge it is compared to other big quakes that are happening
[36:13.460 --> 36:16.980]  So stand day of stand day. Oh D. E. Y. O. Com
[36:17.300 --> 36:21.660]  Amazing author filmmaker not gonna go over his whole bio as we'll run out of time if we do
[36:22.180 --> 36:28.260]  But we do have coming up of course astrophysicist and so much more to go over all this
[36:28.260 --> 36:35.460]  Dane Wiggington absolutely on target about geoengineering which more and more they're admitting is going on so stand day
[36:35.460 --> 36:38.300]  Oh, thank you so much for taking time out with us on this Sunday evening
[36:39.580 --> 36:44.100]  Thank you for the invitation. I follow Dane's work, too. It's really quite exceptional
[36:44.100 --> 36:48.300]  I've sent him an email here recently just to tell him how good I thought his research was or is
[36:48.820 --> 36:51.380]  You were mentioning about a biblical quote
[36:52.980 --> 36:57.420]  Somebody sent me this yesterday in relation to what's happening with the hurricanes and the Sun and stuff
[36:57.420 --> 37:00.500]  Luke 21 3 verses 25 through 28
[37:01.860 --> 37:07.020]  You can read it or I can read it for you, but basically it says that there's going to be seas
[37:07.460 --> 37:10.780]  distress waves in the seas roaring on the shores
[37:11.220 --> 37:13.340]  distress in the Sun the moon the stars and
[37:14.340 --> 37:20.380]  The powers of heaven will be shaken. You know like with the problem. I forgot. We've got record solar storms right now, too
[37:20.380 --> 37:25.980]  Oh, yeah, we've had two in the last 72 hours one at a 8.2 occurred today
[37:25.980 --> 37:29.940]  And a 9.3 yesterday and the spot that generated those
[37:30.580 --> 37:34.780]  Is going to rotate around the Sun and its normal rotation period of 28 days
[37:34.780 --> 37:42.020]  But we're going to see it become earth effective or earth directed on the 30th of September through the 2nd of October
[37:42.020 --> 37:47.700]  So people could be watching that to see what happens again if we get a direct burst from the Sun
[37:47.700 --> 37:52.980]  That'll be like a halo coming at us of charged particles. It's called a coral mass ejection
[37:52.980 --> 37:59.580]  That could disrupt a lot of our electronics. Certainly we expect some of the satellite communication a lot of folks are saying even though
[37:59.580 --> 38:05.580]  It was pointed away from us. There's so much coming off from other ejections aren't as big. That's why North Korea didn't test this ICBM
[38:06.940 --> 38:14.340]  Well, perhaps, you know, as I say the guidance systems a GPS monitoring system that we have up in geosynchronous orbits
[38:14.540 --> 38:18.180]  Are compromised by this to a degree most of them been hardened
[38:18.180 --> 38:24.140]  But they do warn you at no what an asset that there might be some interruption these things and when you get that kind of an ejection
[38:24.780 --> 38:28.700]  To be cautious of your you know your GPS guidance systems
[38:30.180 --> 38:31.540]  Even in your car
[38:31.540 --> 38:35.500]  So what do you make of all this because we know they're trying to control the weather?
[38:35.500 --> 38:38.220]  But just like the Manhattan project they're keeping it quasi-secret
[38:38.220 --> 38:42.740]  But now they're suddenly admitting a lot of it and then you've got all these increased storms
[38:42.740 --> 38:47.100]  I mean, you're a smart guy you worked in black projects. We don't mean poor black neighborhoods
[38:47.100 --> 38:50.540]  Worked in secret projects stand out. What do you think's really going on here?
[38:51.260 --> 38:56.820]  Well, look in 1972 the US government started drafting
[38:57.700 --> 39:04.060]  Agreements with Russia to limit weather warfare or military uses of weather warfare and it took them till
[39:04.620 --> 39:07.540]  1978 six years to get the stuff approved to the Senate
[39:08.220 --> 39:10.420]  and that was what 30
[39:11.580 --> 39:13.580]  45 years ago and
[39:13.580 --> 39:19.980]  I saw that you had something on your website you were showing it about what you can read at the government sites about weather warfare
[39:19.980 --> 39:20.540]  Absolutely
[39:20.540 --> 39:24.220]  In fact, they started it in 72 as you said it rushes insistence because they knew we were doing it
[39:24.220 --> 39:28.580]  They were doing it too in 78 they ratified it other companies ratified it is global law
[39:28.820 --> 39:37.140]  The Department of Defense admitted their earthquake tectonic and weather weapon program by the Secretary of Defense in the US Department of Defense press release
[39:37.540 --> 39:40.900]  That was in 1997 April 28th. I've got that on screen
[39:40.900 --> 39:46.060]  I mean what's crazy is they admitted all the academics, but then tell us it's not it's not happening
[39:46.060 --> 39:49.820]  But I'll we can also show folks that you in training keep going Stan
[39:50.460 --> 39:52.460]  Okay, well the thing is
[39:52.780 --> 39:56.500]  Back then when they were designing the treaty and then eventually ratifying it
[39:56.860 --> 40:05.100]  They were using stuff say in Russia of spreading black hole dust about an inch thick over the snow in Siberia to
[40:05.100 --> 40:12.180]  Modify how much heat was absorbed into the land there and thus affect the long-reached weather forecasts or patterns over
[40:12.420 --> 40:17.180]  Alaska and northern United States and Canada that was a very simple form of it, but as you know
[40:18.220 --> 40:21.500]  Dr. Teller did to apply patents to
[40:22.340 --> 40:28.580]  Put particulates like barium and various other metal powders in the atmosphere to either reflect or absorb energy from the Sun
[40:28.580 --> 40:35.940]  At that time it was obvious to us that the the Sun was the major driver to global heating not just warming heating and
[40:36.220 --> 40:39.620]  This has occurred in our past geological record so many times
[40:39.620 --> 40:42.180]  It's not funny it long before humans were on the earth
[40:42.780 --> 40:46.580]  With manufacturing complexes creating the heat they were talking about now
[40:46.580 --> 40:50.340]  So this is not due to human effort as you were saying I agree
[40:51.260 --> 40:54.660]  Of course they're good as you said they're gonna blame Trump for everything
[40:54.660 --> 41:00.540]  But he's doing the right thing and telling the truth about what really is causing this global heating
[41:00.540 --> 41:06.500]  And it's not totally being controlled by the luminous certainly the technology does exist for
[41:07.060 --> 41:10.540]  Steering huge hurricanes and tornadoes once they start
[41:10.860 --> 41:14.980]  But it's not always easy for one power to start a hurricane
[41:15.500 --> 41:19.860]  Because it was a huge amount of energy. We're talking about like a hundred thousand H bombs
[41:19.860 --> 41:24.420]  It's it's so big that you we we don't have the power to direct it
[41:24.420 --> 41:31.020]  But we can take something that starts and help it move into an area of warming in the sea that will then accelerate it
[41:31.260 --> 41:35.700]  Exactly they put some English on it like the Sun rammed the ball the cue ball
[41:35.700 --> 41:38.460]  But then we can kind of blow on it maybe make a change course
[41:39.300 --> 41:41.300]  Absolutely. Yeah, yeah, so
[41:41.980 --> 41:48.140]  You know, we've known for gosh several decades probably four decades at least that you can drop
[41:48.140 --> 41:54.860]  A powdered dry ice from an aircraft above a hurricane on one side and cause it to rain and to
[41:55.060 --> 41:59.060]  Drop a lot of its energy into the ocean and then kind of Peter out not be a well
[41:59.060 --> 42:03.340]  That's what Ben Livingston the father of weather weapons. It's in his beauty city said with 15 aircraft
[42:03.340 --> 42:05.340]  He can make it dump its water in the ocean
[42:05.620 --> 42:09.060]  Right. Yeah, I mean, why don't we do this? I mean, why would what did we do it now?
[42:09.740 --> 42:13.900]  So, why do you think because it's the 1970 a treaty or what I?
[42:13.900 --> 42:20.940]  I wonder if it's a conflict with the president Trump's administration by the you know the invisible government
[42:20.940 --> 42:24.300]  I wonder if they could have done it, but they're doing it to put pressure on him
[42:24.300 --> 42:29.380]  I mean, this is two hurricanes back to back. We're still cleaning up the other one and two more two more coming
[42:30.220 --> 42:32.220]  Yep, yep
[42:32.860 --> 42:34.780]  But let's stay right there because well
[42:34.780 --> 42:38.500]  It's certainly backfiring on him because it Harvey brought us together in the middle of that race war
[42:38.500 --> 42:42.660]  They were pushing so thank God Texans were so loving including a lot of black folks
[42:42.660 --> 42:48.340]  They've been white people advice first. It was just beautiful standaos and amazing research or two more segments with them than Dane
[42:49.500 --> 42:52.900]  Wiggington, I keep saying Wiggington. It's Wiggington geoengineeringwatch.org
[42:53.420 --> 42:56.020]  To be joining us with big new findings stay with us
[42:57.500 --> 43:03.500]  You know someone very profoundly once said many years ago that if fascism ever comes to America it'll come in the name of
[43:03.820 --> 43:05.820]  liberalism
[43:05.820 --> 43:07.820]  You're a white man
[43:11.060 --> 43:16.660]  Welcome to the war room the latest expansion in info wars live broadcasting
[43:16.660 --> 43:25.420]  We are live weekdays from 3 to 6 p.m. Central at info wars comm slash so and this YouTube channel right here that you've landed on
[43:25.540 --> 43:31.820]  Please subscribe to the channel for updates and notifications. You can follow us on Twitter at war room show
[43:31.820 --> 43:39.340]  We are gonna have the most powerful guests the most powerful host will he be hearing from Alex Jones regularly as well as taking your
[43:39.340 --> 43:46.540]  Phone calls the liberal establishment media has controlled the narrative for too long the silent majority is no longer silent
[43:46.700 --> 43:48.700]  This is the war room
[43:48.700 --> 44:03.500]  Please listen carefully because I'm about to point out three things that will save you a lot of money
[44:03.500 --> 44:10.580]  All you get high quality products and fund the info war a 360 win number one when you choose auto shit before checkout
[44:10.580 --> 44:15.060]  We give you 10% off on your order at info or short comm number two
[44:15.060 --> 44:22.100]  You're also able to get items that are out of stock when you sign up for auto ship because we hold back a surplus for auto ship customers
[44:22.300 --> 44:27.340]  Number three, we're giving you free shipping on all orders above $50
[44:27.460 --> 44:33.420]  Listeners have been requesting this for years because it's so easy to forget to reorder the products that you need each month
[44:33.420 --> 44:41.100]  Just go to info or store.com select your favorite product or products click on auto ship and choose how often you want us to send you another order
[44:41.100 --> 44:46.500]  As you know, I coined the term 360 win and with the new auto ship feature in enforce life comm
[44:46.500 --> 44:53.660]  This is a sure win 10% off on auto ship win-win-win at info wars life comm free shipping on orders above 50 bucks
[44:53.660 --> 44:57.900]  And all out of stock items are never out of stock when you sign up for auto ship
[44:59.380 --> 45:02.980]  Alex Jones here to tell you about how you can help spread liberty worldwide
[45:02.980 --> 45:09.740]  I'm also enjoying what I have found to be the best tasting 100% organic coffee on the planet for more than a decade
[45:09.740 --> 45:15.860]  My favorite coffee has come from the high mountains of southern Mexico where the Chiapas farmers grow their unique shade grown
[45:16.020 --> 45:21.700]  Arabica beans we have now managed to secure the sought-after beans in a highly customized blend
[45:21.940 --> 45:28.620]  Discover and try a bag of the Patriot blend 100% organic coffee at info wars life comm
[45:28.620 --> 45:33.860]  This coffee gives you a long smooth pick me up for hours without the headaches and heartburn
[45:33.860 --> 45:36.380]  So many other coffees give me personally hands down
[45:36.380 --> 45:43.740]  This is my favorite coffee and it's taken us years to secure connections directly to the Chiapas Mexican farmers dropped by the site
[45:43.740 --> 45:50.620]  Today order a bag or two, and I don't think you're going to be disappointed available in original or with our immune support infusion blend
[45:50.620 --> 45:59.300]  You will be supporting a free press all the while enjoying a truly great tasting cup of my favorite coffee available at info wars life comm
[45:59.300 --> 46:07.220]  I am very proud to announce the introduction of the highest quality info wars biome defense probiotic
[46:07.220 --> 46:12.140]  We wanted to come out with the largest spectrum of high quality known
[46:13.260 --> 46:15.260]  probiotics that have been proven to
[46:16.100 --> 46:20.700]  improve overall digestion and health and detoxification in the body
[46:21.500 --> 46:27.700]  Biome defense is an exclusive blend of 50 billion live and active cultures from over 23
[46:27.700 --> 46:33.020]  Different probiotic strains that are known to support digestion and intestinal function
[46:33.180 --> 46:39.660]  Our researchers are confident that we have been able to develop what will be the leading probiotic on the market
[46:40.260 --> 46:48.140]  Secure your biome defense in ultra strength or regular strength at info wars life comm today and get started supporting your digestive system
[46:48.260 --> 46:53.420]  Naturally, we've been testing this formula for years, but this is the limited first round of the public
[46:53.420 --> 46:57.620]  So please take advantage of it today support your own health and support the info war
[47:01.300 --> 47:04.180]  You're listening to the Alex Jones show
[47:04.180 --> 47:20.220]  You're listening to the antidote for fake news, it's Alex Jones
[47:24.620 --> 47:26.740]  Speaking of fake news since I mentioned it earlier
[47:26.740 --> 47:31.900]  We might as well play it remember Alec Baldwin when they have him playing the part of the president aliens have attacked
[47:31.900 --> 47:37.540]  And he's playing the part of Trump and he goes look at these people. They're black. They're not humans
[47:37.660 --> 47:41.660]  They're aliens. They're illegal aliens. You can't see it on talk radio
[47:41.660 --> 47:47.660]  I'm describing he's pointing at black people in the US Army and saying Alex Jones told me black people are bad
[47:47.660 --> 47:55.700]  I mean that that that this is what they're doing on seven comedy shows and other programs like oh
[47:55.700 --> 48:02.980]  What's the name of it homeland where the whole character running fake news and doing horrible things and
[48:03.460 --> 48:07.380]  Staging terror attacks is me and they say it's supposed to be me and
[48:08.140 --> 48:11.540]  Then now they've got a whole new show in Comedy Central on on top all the others
[48:11.540 --> 48:16.260]  And I'm not just bringing myself into this. They're scared of one thing you the listeners
[48:16.900 --> 48:21.780]  They know I get people on like stand a they know I get Ron Paul on they know I get Nigel Farage on
[48:21.780 --> 48:26.740]  They know I'm only only guys and get Matt Rodgson. They know that thinkers are listening
[48:27.380 --> 48:31.540]  They know Trump listens. They know Putin listens. It's not that I'm even that smart
[48:31.540 --> 48:38.580]  I just ring the alarm bell and built a platform to cover real stuff where they're saying that they've got earthquake weapons
[48:38.580 --> 48:44.660]  Secretary of Defense William Cohen. I'm gonna read this you in a moment, but I'm just saying remember it's not about defending me
[48:44.660 --> 48:48.560]  It's about defending you they have chosen me to be the symbol of the resistance
[48:48.560 --> 48:51.320]  Along with Trump and then try to destroy me
[48:52.520 --> 48:58.480]  But not my actual body create a fake Aleph Jones say horrible racist stuff out of its mouth
[48:58.760 --> 49:04.880]  But hide behind oh, it's just comedy and then I get attacked and my family gets spit upon the street
[49:04.880 --> 49:09.120]  I get coffee dumped on my head by by by the the drones
[49:09.120 --> 49:13.560]  It's a minority of people of every race color and creed, but they've been brainwashed
[49:13.560 --> 49:19.720]  So it's we're gonna talk about the big earthquake that hit Mexico stand a those predictions and projections on that
[49:19.720 --> 49:22.280]  Cuz he's one of the top guys, but first here's that clip
[49:23.360 --> 49:28.560]  Just to show how six months ago. They signaled this assault and now it's here. Here it is
[49:30.280 --> 49:37.280]  Where are you getting this information from a very reputable source what the FBI the CIA info wars
[49:37.280 --> 49:39.440]  It's a radio show hosted by Alex Jones
[49:39.440 --> 49:47.960]  Where are you getting this information from a very reputable again and right before they's pointing at black people saying they're not human
[49:48.360 --> 49:54.000]  And he got that from Alex Jones. So I'm very proud of this. I wanted to fight him. I wanted to raise the alarm
[49:54.000 --> 49:56.360]  I wanted to change things. I never thought
[49:57.040 --> 49:58.920]  I'd be singled out as
[49:58.920 --> 50:02.920]  You know, there's Trump here and then there's me right here and then it's everybody else below that
[50:02.920 --> 50:04.920]  I don't want to be the big kahuna
[50:04.920 --> 50:08.960]  Okay, they're trying to destroy Stephen Bannon too because they see him right up there and Matt drudge
[50:09.480 --> 50:15.520]  The point is what is it stands a other so scared of why have they chosen me because you're a smart guy
[50:15.520 --> 50:17.760]  I don't talk about myself here, but it's really getting crazy
[50:19.720 --> 50:22.840]  Why did they pick on you it's probably because you're telling the truth
[50:23.400 --> 50:26.240]  I've been amazed by what you've been able to get away with that
[50:26.240 --> 50:28.880]  We've talked about it behind the scenes and on the phone and stuff
[50:28.880 --> 50:35.920]  But to be able to get it out there and to have the president United States listen is is a marvelous thing. I tell you
[50:35.920 --> 50:41.880]  I'm so glad that he's there, but I'm also sad that he's being picked on with so many things at once. It must be
[50:42.400 --> 50:48.880]  You're driving him crazy up there would try to handle all these emergencies of politically and geophysically you know astronomically
[50:49.680 --> 50:56.160]  What a what a challenge. I hope he makes it. It is crazy. I think that's this the secret wasn't what I did
[50:56.160 --> 51:01.680]  It's all the guests here and it's our audience getting the news out and going to the Trump rallies and getting him all the
[51:01.680 --> 51:06.200]  Stuff because he heard the show before and he'd been on years ago, but it's true that when he stinks off
[51:06.200 --> 51:09.600]  He looks at info wars. He looks at right mart. He looks at drudge
[51:09.600 --> 51:15.120]  I mean, he didn't even know our Pio was being sent to prison till he learned about it on drudge from one of our articles
[51:15.360 --> 51:21.120]  And then now they're flipping out about that. It just shows when you can get the info to him. It really has an effect
[51:21.720 --> 51:25.760]  That's the that's the trick is to be able to get through the wall built around him
[51:25.760 --> 51:28.320]  you know because he is all filtered and
[51:29.800 --> 51:34.480]  If you can't get to him then you go to social media and hopefully he'll pick that pick it up
[51:34.480 --> 51:39.280]  But the tweets and stuff that come from that and that's why everybody's got a hammer at Trump because they try to
[51:39.360 --> 51:46.320]  Block all his supportive tweets below, but he now knows because somebody told him on the phone to dig down deep into there and
[51:46.640 --> 51:51.920]  And and that's what's happening as well because I talked to the fellow that did talk to Trump months ago and explained
[51:51.920 --> 51:57.520]  He goes, yeah, why I don't ever see all the popular and fun stuff and the funny things and he loved reading all the stuff
[51:57.520 --> 52:00.080]  He used to love to the mail coming to you still the tune that way
[52:00.320 --> 52:02.640]  They're trying to divert that but I don't want to go off into Trump
[52:02.880 --> 52:09.760]  It's just amazing to see how they try to compartmentalize us and now they're compartmentalizing the president and they bragged when he first got elected
[52:09.760 --> 52:14.880]  They said we're gonna feed him false intelligence. We're gonna totally sequester him. We're gonna surround him and they've done it
[52:15.840 --> 52:19.920]  They have they have but anyway, we need to encourage him any way we can
[52:19.920 --> 52:21.920]  Uh in the public media social media
[52:22.560 --> 52:29.040]  Uh, I hope he gets to hear that so he's encouraged and not just totally depressed by all the absolutely 93 plus dead
[52:29.520 --> 52:33.520]  It's growing in mexico. I don't want a little new numbers coming out. I think it's even higher than that
[52:33.840 --> 52:40.000]  One of the biggest quit will the biggest quake ever recorded 8.1 8.3. They're changing the numbers. What happened there stan
[52:41.040 --> 52:44.400]  Hey, I was watching that one just a kind of a comical note here
[52:44.400 --> 52:49.600]  That's right near oaxaca where they grow all the agave plants to make my tequila and I was really worried
[52:52.160 --> 52:56.080]  Yeah, okay now seriously though that is on a fault line called him
[52:56.640 --> 53:01.520]  The imperial fault line going up into southern california and that goes into the salt and sea area
[53:01.520 --> 53:04.160]  We think it's going to connect up shortly under a little lake there
[53:04.720 --> 53:06.720]  Uh with the san andreas fault
[53:06.800 --> 53:12.000]  But the san andreas fault is not an orphan. There are a lot of parallel faults to it and i'm looking now every day
[53:12.000 --> 53:16.560]  at minor quakes, you know, major miners along the
[53:17.200 --> 53:20.160]  Lower san andreas right where uh, just beneath
[53:21.280 --> 53:23.280]  Los angeles at costa mason
[53:23.360 --> 53:28.400]  Uh, if we start seeing more of these little earthquakes pop then i'm thinking we may see a victor 6 to 7 down there
[53:28.400 --> 53:31.520]  Just like usgs is forecasting. They said it um
[53:32.240 --> 53:38.960]  Probability is about 50 to 70 percent in the next 30 years sometime that will have that 6.5 6.7 earthquake there
[53:38.960 --> 53:43.920]  Which may trigger other earthquakes parallel to it in the costa mason region
[53:44.320 --> 53:49.920]  But seeing all these the the flurry of them the swarm of them up in idaho at soda springs
[53:50.480 --> 53:55.840]  Is really kind of a puzzle because that's part of where yellowstone started in its initial eruption, you know
[53:56.240 --> 53:59.360]  by conventional wisdom over uh 1.2 million years ago
[54:00.000 --> 54:01.280]  um
[54:01.280 --> 54:04.640]  And it's part of the oldest part of the caldera
[54:04.640 --> 54:09.120]  Which hasn't been active, but now it is looking like on the edge of it. It's becoming active
[54:09.680 --> 54:15.360]  And we know that yellowstone is being monitored by the government. I've personally talked to the geologists there
[54:16.000 --> 54:21.200]  And you know, they can't go on record because they're all swore the secrets inside the little paper during obama's reign
[54:21.680 --> 54:24.480]  But there are a number of uh, super sensitive
[54:25.040 --> 54:28.480]  seismometers they put in around yellowstone and are monitoring constantly
[54:28.880 --> 54:31.520]  Down in uh, utah at the new computer center
[54:31.520 --> 54:37.600]  To keep an eye on the magma beneath and you've you've read i'm sure in the last week to 10 days where nasa
[54:37.840 --> 54:43.440]  Suggested they go down and you know pump water down there to cool off the magma as a possible way to to defuse it
[54:43.680 --> 54:48.560]  But of course, you know the logical arguments are if you do that you don't know what's going to happen
[54:48.560 --> 54:53.600]  You may actually cause a supermassive steam frantic type eruption from yellowstone
[54:54.320 --> 54:57.600]  Because you can't control the fractures around the hole you make to get the water down
[54:57.600 --> 55:01.200]  Uh, you know, there's just a number of other issues. Well, here's the boy
[55:02.640 --> 55:07.200]  Why why is it all increasing right now? And I know from your research. I heard 10 years ago on coast coast a m
[55:07.360 --> 55:09.360]  It's now mainstream news that there are many years
[55:09.600 --> 55:13.120]  How many years overdue for a big earthquake in southern california?
[55:13.440 --> 55:17.600]  And then and then suddenly now even the la time says get ready. So so so what's happening there?
[55:18.800 --> 55:22.880]  Well, I think uh, you know if I were in charge of the government and had this information
[55:22.880 --> 55:25.760]  I knew it was going to happen say within five years or a year whatever
[55:25.760 --> 55:30.640]  I wouldn't just come out and blurt it out in the mainstream and say, okay, it's going to happen. Uh, good luck
[55:30.800 --> 55:34.720]  We can't handle you. We've got too many other emergencies right now, but uh, you know get prepared
[55:35.280 --> 55:37.280]  It would cause, you know anarchy
[55:38.320 --> 55:40.720]  And uh, you know, so I wouldn't do that
[55:40.800 --> 55:44.880]  I would let the information sift out as well in the next 30 years
[55:44.960 --> 55:48.560]  It looks like it's going to be an earthquake of such and such in california
[55:48.560 --> 55:55.760]  And people might be well advised to get preparations made to keep a lid on the panic and the anarchy that could result
[55:55.920 --> 55:59.840]  I mean, look at what's happened down in florida over a hurricane that hadn't even hit yet
[56:00.240 --> 56:02.640]  And they said, okay, we're going to want you to evacuate the state
[56:02.960 --> 56:07.600]  Well, immediately holly was plotting all the gas stations that were out of gas immediately
[56:07.600 --> 56:11.280]  Oh, yeah, I mean people couldn't evacuate because the highways were clogged the gas was out
[56:11.600 --> 56:15.280]  It shows that with these big mega cities, there is no tenable plan
[56:15.280 --> 56:20.320]  So what does that mean when a what happens when a big quake hits something like southern california?
[56:20.880 --> 56:22.880]  Well, people should get prepared now
[56:22.960 --> 56:26.720]  They should have been been prepared even before this with emergency rations water and whatever
[56:27.200 --> 56:32.480]  Um, whether it's the earthquake or some local event like like today out in front of our house a water main burst
[56:32.880 --> 56:34.000]  And we didn't have water here
[56:34.000 --> 56:38.240]  But of course we had an emergency water prep in our home holly had that written about in the book
[56:38.640 --> 56:41.600]  And we were quite comfortable and uh weren't inconvenienced
[56:41.600 --> 56:45.120]  But if we hadn't done that we'd have been kind of hanging out there waiting for him to get the water back
[56:45.200 --> 56:51.680]  But imagine a cascading events like this as we're seeing many countries now can't keep up even former industrialized nations
[56:52.000 --> 56:54.480]  Are starting to crumble and have problems. What's happening?
[56:56.160 --> 57:01.440]  There are a number of issues. I think the change in the weather climate whether it's man-made or the the sun
[57:01.440 --> 57:06.960]  I think it's the sun primarily this is hitting our food supplies and which hits the economy and it's also
[57:06.960 --> 57:13.760]  Radiating us when we have these CMEs with different types of radiation and it makes you makes people irritable
[57:14.320 --> 57:17.360]  Crank here and and we can see it when we go to the grocery store occasionally
[57:17.520 --> 57:20.480]  So I just asked a question the romans the japanese all noticed
[57:21.040 --> 57:26.480]  That that during these times people would get more irritable. They didn't know why when storms were associated with it
[57:26.560 --> 57:29.120]  Or let's talk about that animal psychology
[57:29.600 --> 57:32.960]  Straight ahead ladies and gentlemen with stand day of stand day of
[57:32.960 --> 57:38.240]  So.com and then we've got one of the top researchers coming on about geo engineering
[57:39.120 --> 57:42.720]  Did they manipulate this hurricane and if they have technologies that could have killed it?
[57:43.040 --> 57:47.280]  Why aren't they doing that a stand day? I'll ask please tell folks to tune in. It's key to do that
[57:47.760 --> 57:54.160]  More than two years ago info wars first told you about our research into what has been called the iodine conspiracy
[57:54.240 --> 58:00.560]  I've told you about how scientists have known for decades that iodine deficiencies can devastate iq and how the government
[58:00.560 --> 58:07.120]  Knowingly started taking iodine out of the food and adding fluoride the bad member of the halogen family into the water
[58:07.280 --> 58:14.480]  They took the good halogen out and put the deadly halogen in and when the fukushima crisis worsened as it still is worsening today
[58:14.640 --> 58:21.840]  I was there telling you how to prepare yourself and your family now in 2016 even more information has been revealed
[58:22.000 --> 58:28.160]  Concerning the connection between iodine and the gut which many experts are now saying could be the biggest
[58:28.160 --> 58:32.400]  revelation ever concerning iodine you can pull these studies up for yourself
[58:32.640 --> 58:38.800]  This is the real deal folks and the truth is that iodine is essential in my view to any optimum health regimen
[58:39.040 --> 58:46.960]  Stock up on survival shield x2 today at info wars life.com or by calling 888-253-3139
