[00:00:00.391 --> 00:00:01.153]  You've got it!
[00:24:48.290 --> 00:24:56.697]  If you want to know why this healthcare thing happened and why Roberts voted for it, it's because the big money power wanted it.
[00:24:56.697 --> 00:24:57.417]  Okay?
[00:24:57.417 --> 00:25:02.982]  And imagine, it'd be bad enough to have socialism and just say we're going to give everybody free healthcare, which will bankrupt everything.
[00:25:03.988 --> 00:25:05.368]  But this isn't even that.
[00:25:05.368 --> 00:25:14.411]  This is the insurance companies being able to reduce the care you get, control the care you get, even when you have insurance.
[00:25:14.411 --> 00:25:18.271]  And this is what even mainline analysts say, but it's back of the paper.
[00:25:18.271 --> 00:25:20.332]  Death panels, as they're known.
[00:25:20.332 --> 00:25:22.332]  And make 30 plus million people.
[00:25:22.332 --> 00:25:23.013]  They debate if it's 33, 35, 36, 37.
[00:25:23.013 --> 00:25:24.153]  The point is, 30 plus million people buy
[00:25:28.999 --> 00:25:30.300]  A product.
[00:25:30.300 --> 00:25:36.444]  And if you don't, the IRS comes and grabs your paycheck or your bank account and gives you penalties and interest.
[00:25:36.444 --> 00:25:40.707]  I told you two years ago it was a tax.
[00:25:40.707 --> 00:25:41.748]  Because that's what it is.
[00:25:41.748 --> 00:25:44.089]  And it's a tax directly to the corporations.
[00:25:44.089 --> 00:25:52.335]  They're trying to even blame the IRS, which is a criminal organization, violates due process, has their own little kangaroo courts, just like family courts are only 100 years old.
[00:25:52.335 --> 00:25:54.837]  See, these tyrants just make it up as they go along.
[00:25:56.589 --> 00:26:02.653]  And Holder shipping guns and hand grenades into Mexico to demonize the Second Amendment as ISSA came out this week.
[00:26:02.653 --> 00:26:06.016]  Again, told you two years after I told you what was going on.
[00:26:06.016 --> 00:26:07.096]  I'm not bragging.
[00:26:07.096 --> 00:26:08.978]  This was all in federal court cases.
[00:26:08.978 --> 00:26:14.101]  This was all coming out two years ago when the first inklings of Fast and Furious began to leak.
[00:26:14.101 --> 00:26:19.004]  We have press conferences of Holder admitting he was running the program and then later saying he never heard of it.
[00:26:19.004 --> 00:26:20.525]  He just didn't say the details.
[00:26:20.525 --> 00:26:23.267]  But he said Operation Gunrunner Fast and Furious.
[00:26:23.267 --> 00:26:24.988]  Of course he engaged in perjury.
[00:26:24.988 --> 00:26:26.049]  Of course he's a criminal.
[00:26:27.412 --> 00:26:36.991]  He created a false flag destabilization, thousands dead in Mexico, hundreds dead here, so he could demonize the Second Amendment, and even when he got caught, he went ahead with it!
[00:26:37.731 --> 00:26:40.973]  You think any of us are safe with crooks like this running around?
[00:26:40.973 --> 00:26:43.975]  Let's go ahead and go to the CNBC clip to explain it.
[00:26:43.975 --> 00:26:48.277]  World government run by mega banks and we're their slaves.
[00:26:48.277 --> 00:26:53.220]  And in the four minute clip, they go through every one of the guests who agree we're slaves of the bankers.
[00:26:53.220 --> 00:26:58.523]  And all but one of the guests, there's four of them on the show, agree that we're, well, they all agree we're slaves.
[00:26:58.523 --> 00:27:00.624]  Only one says it's not good.
[00:27:00.624 --> 00:27:05.327]  They, oh, it's so good to be slaves to a world government run by who?
[00:27:06.187 --> 00:27:10.774]  Not by commies, not by Lenin, not by Stalin, not by Hitler.
[00:27:10.774 --> 00:27:15.240]  By banks who make the money and credit up out of nothing.
[00:27:15.240 --> 00:27:15.861]  Here's that clip.
[00:27:19.492 --> 00:27:24.074]  I think that right now the question is, do we all work for central bankers?
[00:27:24.074 --> 00:27:26.855]  That's what I want to address to our guest tonight.
[00:27:26.855 --> 00:27:28.996]  Is this global governance at last?
[00:27:28.996 --> 00:27:31.877]  Is it one world, the central bankers in charge?
[00:27:31.877 --> 00:27:36.459]  Jim Iorio, you say we've got some downside here, a correction in the markets.
[00:27:36.459 --> 00:27:37.139]  Fine.
[00:27:37.139 --> 00:27:40.741]  But aren't we all just living and dying for what the central banks do?
[00:27:40.741 --> 00:27:48.144]  Aren't we all just counting on the fact that there's a Bernanke put and that we won't go any lower than, say, 5% down from here?
[00:27:49.224 --> 00:27:53.788]  Of course we are, because if we look at the economic data, there's nothing to get excited about in that.
[00:27:53.788 --> 00:27:59.952]  So yesterday we saw some reluctance for the Bernanke Fed to expand their balance sheets and pump more money in.
[00:27:59.952 --> 00:28:05.136]  But the stock market knows that reluctance is totally different than not willing to do it at all.
[00:28:05.136 --> 00:28:10.681]  And that's why we saw oil implode and gold trade off heavily because... Alright, let's stop right there.
[00:28:10.681 --> 00:28:13.223]  Then they go to the next guy who says, of course we're slaves.
[00:28:14.099 --> 00:28:20.705]  My dad, last week, at his dental office, got an intelligence report, is what they call it, so people read it and think it's special.
[00:28:20.705 --> 00:28:21.987]  It's all written to deceive.
[00:28:21.987 --> 00:28:27.171]  It says, for law enforcement only, but all the barber shops and dental offices and stuff get it.
[00:28:27.171 --> 00:28:30.995]  And it's a public publication, put out by the Southern Poverty Law Center.
[00:28:30.995 --> 00:28:38.062]  And they've got a big article in there about how evil I am, and I think there's a world government run by banks, and they've got me right next to David Duke.
[00:28:39.312 --> 00:28:41.894]  I don't even talk about race issues.
[00:28:41.894 --> 00:28:42.874]  This is what they do.
[00:28:42.874 --> 00:28:47.717]  Because I'm saying it's bad.
[00:28:47.717 --> 00:28:52.060]  Millions of publications get mailed out saying I'm the devil.
[00:28:52.060 --> 00:28:58.164]  But they can say it and it's good because they say it's good that the bankers run us and it's good we're slaves.
[00:29:02.569 --> 00:29:10.675]  If you want an American company with American products made by Americans, here is the Cal Ben Soap Company.
[00:29:10.675 --> 00:29:14.758]  Alex and his staff have used these pure soap products for years.
[00:29:14.758 --> 00:29:22.064]  These all-natural soaps are made from the highest quality vegetable and coconut oils that are earth-friendly and safe.
[00:29:22.064 --> 00:29:24.886]  See them on the web at 5starsoap.com.
[00:29:25.086 --> 00:29:29.930]  Or call 800-340-7091 for a free catalog.
[00:29:29.930 --> 00:29:35.854]  Buy the 1 to 2 month sample package and enjoy soaps that are twice as good as what you're using now.
[00:29:35.854 --> 00:29:41.278]  Or save big with a 1 to 2 year supply of soaps for all your cleaning needs.
[00:29:41.278 --> 00:29:43.260]  This is an amazing deal.
[00:29:43.260 --> 00:29:48.484]  You can save thousands of dollars and you will love the way Real Soap makes you feel.
[00:29:48.484 --> 00:29:51.646]  See them on the web at 5starsoap.com or call
[00:29:51.926 --> 00:30:00.168]  800-340-7091 for a free catalog.
[00:30:00.168 --> 00:30:04.549]  For a long time, you've heard me talk about building your own food supply with eFoods Direct.
[00:30:04.549 --> 00:30:08.570]  As a listener, you know why you need to have a supply of the best affordable food on the planet.
[00:30:08.570 --> 00:30:12.591]  Every day, we document the attempts to take control of our lives.
[00:30:12.591 --> 00:30:16.652]  But there's one thing we can all control, your greatest dependency, food.
[00:30:17.032 --> 00:30:24.582]  E-Foods Direct products are made with only the best ingredients and none of the trash and contaminants like trans fats, GMOs or MSG.
[00:30:24.582 --> 00:30:27.125]  This food is nutrient dense and tastes great.
[00:30:27.125 --> 00:30:31.070]  It's simple to make, portable and has a shelf life of up to 25 years.
[00:30:31.070 --> 00:30:34.655]  Now with E-Foods Direct you'll get the most affordable, best tasting food you can buy.
[00:30:34.955 --> 00:30:37.556]  And the new products and pricing will blow you away.
[00:30:37.556 --> 00:30:42.417]  Compared to other food sources, including home-cooked meals, you can cut your food cost in half.
[00:30:42.417 --> 00:30:44.377]  You just can't afford to ignore this.
[00:30:44.377 --> 00:30:50.018]  Call 800-409-5633 or go to efoodsdirect.com forward slash Alex for specials.
[00:30:50.018 --> 00:30:51.558]  Don't let this offer pass you by.
[00:30:51.558 --> 00:30:56.819]  Call 800-409-5633 or efoodsdirect.com forward slash Alex.
[00:30:56.819 --> 00:30:58.960]  More the best, for less guaranteed.
[00:30:59.892 --> 00:31:04.435]  This is Alex Jones with 5 good reasons you should consider buying a solar power generator.
[00:31:04.435 --> 00:31:05.355]  Number 1.
[00:31:05.355 --> 00:31:08.778]  New climate legislation could easily double or triple your electric bill.
[00:31:08.778 --> 00:31:09.638]  Number 2.
[00:31:09.638 --> 00:31:14.541]  Our new energy czar wants to control how much power your electric company allows you to have.
[00:31:14.541 --> 00:31:15.282]  It's true.
[00:31:15.282 --> 00:31:20.145]  Total government control of electricity in the name of smart grid technology is coming.
[00:31:20.145 --> 00:31:20.985]  Number 3.
[00:31:20.985 --> 00:31:24.568]  In some areas of the country, the power grid is dangerously overloaded.
[00:31:24.568 --> 00:31:28.270]  And now, new socialist legislation is only compounding the problem.
[00:31:28.470 --> 00:31:29.271]  Number 4.
[00:31:29.271 --> 00:31:32.013]  Dangerous weather is always a threat to local grids.
[00:31:32.013 --> 00:31:35.697]  Every year, thousands of families lose their power from weather-related outages.
[00:31:35.697 --> 00:31:36.498]  Number 5.
[00:31:36.498 --> 00:31:40.641]  A solar-powered generator provides powerful backup, insurance, and peace of mind.
[00:31:40.641 --> 00:31:45.406]  Folks, I really believe in the solar-powered generators offered by Solutions from Science, one of my oldest sponsors.
[00:31:45.686 --> 00:31:49.849]  You can get more information at www.mysolarbackup.com.
[00:31:49.849 --> 00:31:51.651]  That's mysolarbackup.com.
[00:31:51.651 --> 00:31:53.913]  Remember, the government doesn't own the sun.
[00:31:53.913 --> 00:31:56.234]  So go to mysolarbackup.com or call 1-877-327-0365.
[00:32:01.547 --> 00:32:05.508]  Hi folks, this is Alex Jones and I want to tell you about the Silver Lungs Generator.
[00:32:05.508 --> 00:32:14.370]  Now you can produce pure and endless colloidal silver and deliver the solution directly into the bloodstream by breathing the solution through the lungs.
[00:32:14.370 --> 00:32:19.011]  The respiratory system is the first line of defense for airborne pathogens and viruses.
[00:32:19.011 --> 00:32:29.833]  The Silver Lungs Generator infuses the respiratory system with your self-produced nano-silver solutions and also delivers the silver nanoparticles instantly into the bloodstream.
[00:32:30.453 --> 00:32:39.975]  With continued legislation threatening the sale of nanosilver products, you can now produce pure and endless colloidal silver with the Silver Lungs Generator.
[00:32:39.975 --> 00:32:45.397]  Very easy to follow step-by-step instructions are provided, making production fast and simple.
[00:32:45.397 --> 00:32:52.878]  Go to www.silverlungs.com today and learn more about the breakthrough technology of the Silver Lungs Generator.
[00:32:52.878 --> 00:32:55.639]  That's www.silverlungs.com.
[00:33:01.468 --> 00:33:05.071]  Coast to Coast, direct from Austin.
[00:33:05.071 --> 00:33:08.273]  You're listening to the Alex Jones Broadcasting Network.
[00:33:41.033 --> 00:33:43.816]  We are back, ladies and gentlemen.
[00:33:43.816 --> 00:33:48.901]  When I'm at home, I had
[00:33:50.794 --> 00:33:57.141]  Local CBS was sent down here by National CBS TV, they wanted to do an interview with me.
[00:33:57.141 --> 00:34:03.769]  The first of, well not the first of many I've done, just one of many.
[00:34:05.194 --> 00:34:14.937]  And I'm sitting there talking to the interviewer and he says, when you get home, are you calm or are you all agitated like you are when you're on air?
[00:34:14.937 --> 00:34:21.740]  And I said, no, I look at all the news and information and I tend to get excited and agitated when I'm on the air.
[00:34:21.740 --> 00:34:25.421]  And so he's like, so that isn't the real Alex Jones.
[00:34:25.421 --> 00:34:31.363]  And that's kind of like if I walked in and found my wife in bed with somebody and I got agitated,
[00:34:32.813 --> 00:34:36.496]  Would that be the real Alex Jones, or would the calm Alex Jones be the Alex Jones?
[00:34:36.496 --> 00:34:37.216]  No!
[00:34:37.216 --> 00:34:41.079]  It all depends on the situation.
[00:34:41.079 --> 00:34:47.083]  But I was thinking today about how, when I'm calm and focused researching at home, how cogent
[00:34:48.326 --> 00:34:52.528]  I am, and I can really articulate my ideas.
[00:34:52.528 --> 00:35:08.537]  That's why sometimes on my own little iPhone, I shoot videos that we upload to YouTube that get watched by hundreds of thousands, if not millions of people, sometimes per video, because I am more articulate when I'm walking down some forest path in a reflective moment and talking.
[00:35:08.537 --> 00:35:16.741]  I tend to get in here on air, and I'm just so angry at how obvious this criminal takeover is of our society.
[00:35:17.955 --> 00:35:21.417]  And I'm not that smart and I figured it out.
[00:35:21.417 --> 00:35:25.059]  Why aren't other people figuring this out?
[00:35:25.059 --> 00:35:28.462]  Why are we allowing things to get to this point?
[00:35:28.462 --> 00:35:44.071]  Because the criminals that are in control of our society will keep stealing and robbing and wrecking and shutting down their competition through government until there's no competition left and no jobs left and no prosperity left.
[00:35:44.071 --> 00:35:46.373]  And this entire fake environmental movement
[00:35:47.364 --> 00:35:56.009]  Is pushed, not for the environment, but to be an anti-human, authoritarian, power-grabbing system.
[00:35:56.009 --> 00:35:56.969]  Here's an example.
[00:35:56.969 --> 00:36:00.671]  I saw an article today at PrisonPlanet.com.
[00:36:00.671 --> 00:36:04.873]  I don't know why it wasn't posted on InfoWars.com, but I just had it posted there.
[00:36:04.873 --> 00:36:08.055]  That is incredible!
[00:36:08.055 --> 00:36:13.858]  And that I should talk about for the entire broadcast, but there's just too much happening and there's your calls.
[00:36:16.087 --> 00:36:40.689]  And I read this document, I read this article by Suzanne Posel, and it's written very dry, very professional, very journalistic, and of course I'd already seen some of the reports she links to, put out by the United Nations and by their think tanks, and they coldly talk about an authoritarian world government they're going to set up,
[00:36:41.913 --> 00:36:56.024]  And all the horrible things they're going to do to us, and how the elites are going to live in these high-tech, compact, super-tech cities with life extension, and how we're going to live in the wastelands and basically be hunted by their hunter-killer robots.
[00:36:56.024 --> 00:36:57.906]  And you're like, well, that sounds crazy.
[00:36:57.906 --> 00:36:58.246]  Really?
[00:36:58.246 --> 00:37:01.088]  That's what the Rockefeller Foundation says.
[00:37:01.088 --> 00:37:02.630]  That's what all of them put out.
[00:37:02.630 --> 00:37:05.031]  And they're in control of the world.
[00:37:05.031 --> 00:37:05.852]  Okay?
[00:37:05.852 --> 00:37:09.975]  And they are putting out this horrible future as if they're the good guys.
[00:37:10.896 --> 00:37:15.258]  Just reporting on you what has to be done.
[00:37:15.258 --> 00:37:32.285]  But they're the ones actually working overtime to control society and put clamps on it to kill free market and to kill free ingenuity so that their monopolies can take control and set up what they call a neo-feudalistic system.
[00:37:34.059 --> 00:37:39.127]  Guys, will you pull up just the standard definition of serfdom or feudalism for folks?
[00:37:39.127 --> 00:37:46.298]  I'll give you my definition that's a composite and larger than what the Webster's will be.
[00:37:47.264 --> 00:38:08.756]  There's a system set up in Europe, but also in every other ancient culture, where there's a tiny, quote, nobility that serves a king, and they use poverty and control to keep people on very small pieces of land at a subsistence level so that they can be managed and controlled, and they're not taught how to read or write, and they're basically dumbed down.
[00:38:08.756 --> 00:38:09.336]  That's Agenda 21, 2012.
[00:38:12.998 --> 00:38:26.770]  It says, SIRF, a member of the lowest feudal class attached to the landowner by a lord and required to perform labor in return for certain legal or customary rights, which we don't even get now as SIRFs.
[00:38:26.770 --> 00:38:32.655]  And agricultural labor, call it peons in Mexico, under various similar systems, especially 18th, 19th century.
[00:38:35.535 --> 00:38:38.898]  ...rule in Eastern Europe, a person in bondage or servitude.
[00:38:38.898 --> 00:38:40.920]  Now, a serf is in a feudal system.
[00:38:40.920 --> 00:38:44.043]  Let me have the definition of feudalism itself, please.
[00:38:44.043 --> 00:38:45.744]  I mean, I just gave you the definition.
[00:38:45.744 --> 00:38:52.810]  But the globalists themselves call it neo-serfdom, neo-feudalism.
[00:38:52.810 --> 00:38:58.716]  That's what the UN Biological Diversity Assessment, 1996, the one online is just a boil-down.
[00:38:58.716 --> 00:39:00.497]  You've got to go to the library to get it.
[00:39:00.497 --> 00:39:02.179]  We went and got it at the UT library.
[00:39:03.283 --> 00:39:05.987]  It's in my film, The Road to Tyranny.
[00:39:05.987 --> 00:39:07.229]  9-1-1, The Road to Tyranny.
[00:39:09.372 --> 00:39:28.859]  A political and economic system of Europe in the 9th to about the 15th century based on the holding of all land in the fiefdom, or fee, and the resulting relation of lord and vassal and characterized by homage, legal and military service of tenants and forfeiture.
[00:39:28.859 --> 00:39:32.420]  A political, economic and social order resembling the medieval system.
[00:39:32.420 --> 00:39:33.901]  Okay, now let's just stop right there.
[00:39:35.239 --> 00:39:43.233]  The IRS for the big mega banks who say they've overthrown Europe, they brag and all, I mean hundreds of publications, they get up.
[00:39:44.145 --> 00:39:44.966]  All of them.
[00:39:44.966 --> 00:39:48.308]  Von Ruppe, Diamond, Jamie Diamond, and they brag.
[00:39:48.308 --> 00:39:49.368]  We conquered Europe.
[00:39:49.368 --> 00:39:53.971]  They have big dinners with caviar and giant private jets for each one of them.
[00:39:53.971 --> 00:40:11.182]  While they tell people that we shouldn't be able to have a car because of the carbon footprint, Prince Charles openly says old people shouldn't take hot baths because it spends too much power, but he literally has over 100 giant palaces, more than 50 aircraft, trains, you know, private trains, everything.
[00:40:11.522 --> 00:40:12.082]  You think I'm joking?
[00:40:12.082 --> 00:40:17.305]  Just type in Prince Charles says we shouldn't take hot baths or showers for the earth.
[00:40:17.305 --> 00:40:18.225]  In fact, people won't believe it.
[00:40:18.225 --> 00:40:19.126]  Look it up for me.
[00:40:19.126 --> 00:40:20.686]  Prince Charles says don't take a hot bath.
[00:40:20.686 --> 00:40:22.387]  It'll come up.
[00:40:22.387 --> 00:40:23.948]  And you're like, well, that doesn't make sense.
[00:40:23.948 --> 00:40:24.808]  It's hypocritical.
[00:40:24.808 --> 00:40:26.449]  Of course it's hypocritical.
[00:40:26.449 --> 00:40:28.670]  They want you to learn to hate yourself.
[00:40:28.670 --> 00:40:29.731]  And I said I'd go to your calls.
[00:40:29.731 --> 00:40:32.232]  I'll go to them in the next segment.
[00:40:32.232 --> 00:40:36.094]  But the Republicans act like everybody who's rich is good.
[00:40:36.094 --> 00:40:38.995]  And anybody that talks bad about the rich, it's class warfare.
[00:40:38.995 --> 00:40:40.436]  They're envious, lazy scum.
[00:40:41.741 --> 00:40:46.868]  And the Democrats say anybody who makes money is evil and it should all be paid to poor people.
[00:40:47.694 --> 00:40:49.315]  Well, they're all working for the same people.
[00:40:49.315 --> 00:41:05.970]  The real equation is real people that create new jobs and industries and ideas under the patent system and or art or literature or labor, whatever the case is, through blood, sweat, tears and ingenuity and intelligence, build things.
[00:41:05.970 --> 00:41:11.415]  They're good and should be taxed at the lowest possible level because all the major studies, including
[00:41:13.722 --> 00:41:24.773]  The Grace Commission report, remember this from Ronald Reagan, where they admit that close to 100% of all income tax goes to private banks.
[00:41:24.773 --> 00:41:25.974]  I'm going to cover this more tomorrow.
[00:41:27.022 --> 00:41:31.345]  The point is, this isn't just the Grace Commission online.
[00:41:31.345 --> 00:41:38.909]  I got the Macmillan Publishing Company, 866 3rd Avenue, New York, ISBN 0-02-074660-1.
[00:41:38.909 --> 00:41:40.550]  Guess who I got this from?
[00:41:40.550 --> 00:41:41.411]  A high-level IRS person.
[00:41:47.415 --> 00:42:01.688]  Of course, I've seen this copied and seen it talked about on C-SPAN and read parts of it in articles, but this is the admission that the tax system was going to destroy our industry and that it was really for big monopolies to shut down America.
[00:42:01.688 --> 00:42:06.812]  And that you could take all the middle class's money and it wouldn't run the country but for a few months.
[00:42:06.812 --> 00:42:11.357]  But that they were going to go ahead with it basically because it would give them total power and control.
[00:42:11.357 --> 00:42:12.798]  This is the big enchilada.
[00:42:16.593 --> 00:42:26.184]  So, big, powerful elites are going after the free market and the little rich and the middle class, okay?
[00:42:26.184 --> 00:42:36.316]  And the ultra-rich are allied with the dumbed-down poor, or people who've been disenfranchised, de-industrialized, or wounded in battle, or injured, or whatever it is.
[00:42:36.316 --> 00:42:36.976]  The dependents.
[00:42:37.717 --> 00:42:38.438]  You understand?
[00:42:38.438 --> 00:42:47.184]  And then the system can play the part of tear-jerking how it's taking care of all the poor, sick people, as it works as hard as it can to make sure you can't get a job.
[00:42:47.184 --> 00:42:57.431]  Or the job you get makes you so poor, you're too busy trying to make money and can never, in your hierarchy of needs, get to a high enough level where you're secure to get involved politically.
[00:42:57.431 --> 00:42:59.052]  Social engineering is what it's called.
[00:43:00.572 --> 00:43:06.074]  Sick of the globalist eugenicist control freaks adding poison to your water and laughing as you get sick and die?
[00:43:06.074 --> 00:43:08.494]  Start purifying your water with ProPure.
[00:43:08.494 --> 00:43:17.577]  My friends, I've done a lot of research, and the best gravity filter out there bar none is ProPure, and it's available discounted at InfoWars.com.
[00:43:17.577 --> 00:43:21.038]  Its filters are silver impregnated to prevent bacterial growth.
[00:43:21.038 --> 00:43:22.698]  There's no priming required.
[00:43:22.698 --> 00:43:24.979]  It's NSF-42 certified.
[00:43:24.979 --> 00:43:27.480]  Optional fluoride filters can reduce fluoride up to 95%.
[00:43:28.660 --> 00:43:30.081]  Easy to set up and use.
[00:43:30.081 --> 00:43:31.502]  Doesn't require electricity.
[00:43:31.502 --> 00:43:34.664]  Purify water from lakes, streams, ponds, and wells.
[00:43:34.664 --> 00:43:38.047]  This filter system leaves in beneficial minerals, which is key.
[00:43:38.047 --> 00:43:42.190]  Save money by not buying bottled water, and avoid BPA that leaches from the plastic.
[00:43:42.190 --> 00:43:44.932]  ProPure is the best gravity-fed filter out there.
[00:43:44.932 --> 00:43:46.513]  It's what my family uses.
[00:43:46.513 --> 00:43:49.816]  Infowars.com already has the lowest price on ProPure.
[00:43:49.816 --> 00:43:55.080]  But if you add the promo code WATER at checkout, you get an additional 10% off at Infowars.com.
[00:43:55.620 --> 00:43:59.261]  You can also call to order 888-253-3139.
[00:43:59.261 --> 00:44:01.641]  Hi, this is Alex Jones.
[00:44:01.641 --> 00:44:07.223]  Did you know that the global elite are now storing non-hybrid seeds in secret storage vaults near the Arctic Circle?
[00:44:07.223 --> 00:44:12.244]  Did you know that in a real meltdown, non-hybrid seeds can become more valuable than silver or gold?
[00:44:12.244 --> 00:44:17.285]  It's true, seeds have outperformed even gold and silver before in this country, and it's possible they could even happen again.
[00:44:17.825 --> 00:44:23.051]  So our friends at Solutions from Science have put together the perfect mix of non-hybrid seeds.
[00:44:23.051 --> 00:44:25.373]  They call it a survival seed bank.
[00:44:25.373 --> 00:44:30.159]  And it can produce an endless supply of nutrient-dense food for you and your family.
[00:44:30.159 --> 00:44:31.280]  And here's the best part.
[00:44:31.280 --> 00:44:34.363]  These seeds have not been genetically modified in any way.
[00:44:34.363 --> 00:44:37.647]  And you actually get enough seeds to plant a full acre crisis garden.
[00:44:37.967 --> 00:44:41.149]  So visit them today at survivalseedbank.com.
[00:44:41.149 --> 00:44:43.371]  That's survivalseedbank.com.
[00:44:43.371 --> 00:44:44.311]  Or give them a call at 877-327-0365.
[00:44:44.311 --> 00:44:44.511]  That's 877-327-0365.
[00:44:44.511 --> 00:44:47.953]  Remember, in a real crisis, non-hybrid seeds are the ultimate barter item.
[00:44:47.953 --> 00:44:49.715]  This is Alex Jones for survivalseedbank.com.
[00:44:59.966 --> 00:45:04.329]  For a long time, you've heard me talk about building your own food supply with eFoods Direct.
[00:45:04.329 --> 00:45:08.372]  As a listener, you know why you need to have a supply of the best storable food on the planet.
[00:45:08.372 --> 00:45:12.395]  Every day, we document the attempts to take control of our lives.
[00:45:12.395 --> 00:45:14.617]  But there's one thing we can all control.
[00:45:14.617 --> 00:45:16.118]  Your greatest dependency.
[00:45:16.118 --> 00:45:16.438]  Food.
[00:45:16.858 --> 00:45:24.386]  eFoods Direct products are made with only the best ingredients and none of the trash and contaminants like trans fats, GMOs, or MSG.
[00:45:24.386 --> 00:45:26.909]  This food is nutrient-dense and tastes great.
[00:45:26.909 --> 00:45:30.873]  It's simple to make, portable, and has a shelf life of up to 25 years.
[00:45:30.873 --> 00:45:34.417]  Now with eFoods Direct, you'll get the most affordable, best-tasting food you can buy.
[00:45:34.757 --> 00:45:37.359]  And the new products and pricing will blow you away.
[00:45:37.359 --> 00:45:42.204]  Compared to other food sources including home-cooked meals, you can cut your food cost in half.
[00:45:42.204 --> 00:45:44.185]  You just can't afford to ignore this.
[00:45:44.185 --> 00:45:49.830]  Call 800-409-5633 or go to efoodsdirect.com forward slash Alex for specials.
[00:45:49.830 --> 00:45:51.371]  Don't let this offer pass you by.
[00:45:51.371 --> 00:45:53.413]  Call 800-409-5633 or efoodsdirect.com forward slash Alex.
[00:45:53.413 --> 00:45:54.594]  More the best, for less guaranteed.
[00:45:59.679 --> 00:46:05.124]  American gardeners and fellow Patriots make the right choice with your money, time, and your family food supply.
[00:46:05.124 --> 00:46:10.348]  Choose 100% pure heirloom seeds in the Survival Seed Vault from MyPatriotsupply.com.
[00:46:10.348 --> 00:46:11.309]  Why spend more?
[00:46:11.309 --> 00:46:19.356]  The Survival Seed Vault from MyPatriotsupply.com is only $37.95 and includes 20 varieties of pure, hearty, easy-to-grow heirloom seeds.
[00:46:19.356 --> 00:46:19.896]  Yes, only $37.95.
[00:46:19.896 --> 00:46:20.857]  That's 70% less than our competitors.
[00:46:23.499 --> 00:46:26.901]  You could buy three Survival Seed Vaults for less than one of theirs.
[00:46:26.901 --> 00:46:33.546]  The Survival Seed Vault from MyPatriotSupply.com includes detailed planting and seed saving instructions and ships same day.
[00:46:33.546 --> 00:46:36.368]  Plus, all orders over $49 ship free.
[00:46:36.368 --> 00:46:42.252]  MyPatriotSupply.com is American owned by patriots like you, passionate about freedom and preparedness.
[00:46:42.252 --> 00:46:42.992]  Call now, 866-229-0927.
[00:46:42.992 --> 00:46:43.252]  That's 866-229-0927.
[00:46:43.252 --> 00:46:47.415]  Or discover more emergency preparedness items when you order at MyPatriotSupply.com.
[00:46:53.439 --> 00:46:56.840]  You're listening to the Alex Jones Broadcasting Network.
[00:47:22.369 --> 00:47:31.636]  Crashing through the lies and disinformation, it's Alex Jones on the GCN Radio Network.
[00:47:31.636 --> 00:47:35.719]  Yeah, you watch us New World Order, we're watching you.
[00:47:35.719 --> 00:47:37.220]  I want to go to your phone calls now.
[00:47:37.220 --> 00:47:45.046]  And I know I said first-time callers, but I'm glad that Jim from Missouri called in because he's a police officer.
[00:47:46.823 --> 00:47:57.988]  He says, and I think he sounded credible, who called in last week about what's already on the news that they've got hundreds of giant armored vehicles and even tanks from the U.S.
[00:47:57.988 --> 00:48:02.550]  Army from Maryland rolling around all over the town.
[00:48:02.550 --> 00:48:05.691]  Regular Army, National Guard, all over the country.
[00:48:05.691 --> 00:48:09.333]  They've got weird military checkpoints run by the TSA.
[00:48:09.333 --> 00:48:11.073]  This is in the news.
[00:48:11.073 --> 00:48:14.095]  And I noticed that YouTubes of the interview
[00:48:15.077 --> 00:48:17.160]  Because we're also, you know, filming it.
[00:48:17.160 --> 00:48:19.723]  Got hundreds of thousands of views in different ways.
[00:48:19.723 --> 00:48:22.266]  Of him just being on a few minutes last week.
[00:48:22.266 --> 00:48:24.970]  And people were debating, oh, they're making up tanks in St.
[00:48:24.970 --> 00:48:25.590]  Louis.
[00:48:25.590 --> 00:48:28.254]  Folks, it's all over the local TV there.
[00:48:28.254 --> 00:48:29.716]  Oh, this guy isn't a cop.
[00:48:29.716 --> 00:48:31.318]  Okay, well let's just say he's not a cop.
[00:48:32.697 --> 00:48:37.382]  They tell people all the time there will be an event in October, there will be in December.
[00:48:37.382 --> 00:48:40.745]  I've seen this for over a decade when they're doing these drills.
[00:48:40.745 --> 00:48:44.970]  They want to test and see what police are going to do, what military are going to do.
[00:48:44.970 --> 00:48:46.671]  I'm not quite sure why they do that.
[00:48:46.671 --> 00:48:47.933]  Well, I mean, I guess I am.
[00:48:47.933 --> 00:48:49.194]  It's to see how they react.
[00:48:50.657 --> 00:48:57.984]  Look, what we reported last week is now coming out in British news that indeed they're saying they do plan on there being a terror attack.
[00:48:57.984 --> 00:49:03.589]  It's Al Qaeda flying planes into the Olympics.
[00:49:03.589 --> 00:49:05.430]  We were telling you that last week.
[00:49:05.430 --> 00:49:07.852]  Now it's in BBC, you name it, today.
[00:49:07.852 --> 00:49:12.456]  But we're still the bad guys for having a whistleblower on talking about it.
[00:49:12.456 --> 00:49:12.777]  You see?
[00:49:14.662 --> 00:49:18.064]  This is what we're dealing with, so I think the caller is credible.
[00:49:18.064 --> 00:49:26.227]  And by the way, the next day, if your station only carries the Sunday Show, we opened the phones to military and police and had more police from St.
