[00:00:00.000 --> 00:00:18.080]  InfoWars! Tomorrow's news, today.
[00:45:48.910 --> 00:45:52.190]  we're free Americans there's not a gate here we're going to go knock on the door and see
[00:45:52.190 --> 00:45:55.710]  if they invite us into their castle or into their tomb as it's called
[00:46:03.870 --> 00:46:09.390]  I wonder if Count Dracula is going to answer wonder what this is oh there's a little
[00:46:10.350 --> 00:46:14.030]  code system on the door wonder what's 666 to enter
[00:46:18.510 --> 00:46:26.590]  look you've got like a old safe door right there hi it's Alex Jones I was just here selling
[00:46:26.590 --> 00:46:35.950]  encyclopedia subscriptions actually I'm a contact tracer sent here by the Biden administration to
[00:46:35.950 --> 00:46:40.990]  see if you've had your COVID-19 vaccines I know you care about us you want to depopulate us
[00:46:41.710 --> 00:46:47.230]  so again I just dropped by thanks for granddaddy Bush and Prescott Bush the main Nazi
[00:46:48.510 --> 00:46:52.990]  lawyer in the U.S. and the George Herbert Walker Bush and of course his son you were both in
[00:46:52.990 --> 00:46:58.110]  skull and bones the secret society it's so sick we can't talk about it what does that mean for
[00:46:58.110 --> 00:47:03.310]  America the conspiracy theorists are going to go I'm sure they are I don't know I haven't seen
[00:47:03.550 --> 00:47:11.070]  number 322 you both were members of skull and bones a secret society at Yale what does that
[00:47:11.070 --> 00:47:17.710]  tell us uh not much because it's a secret is there a secret handshake is there a secret code
[00:47:17.710 --> 00:47:22.750]  I wish there were something secret I could manifest 322 a secret number there are all
[00:47:22.750 --> 00:47:27.550]  kinds of secrets but one thing is not a secret I disagree with this president's direction
[00:47:27.550 --> 00:47:31.870]  that he's taking the country we can do a better job than I intend to do it so we thought we
[00:47:34.190 --> 00:47:40.910]  come by and see if anybody's home bang on the tomb door I guess everybody I guess everybody's
[00:47:40.910 --> 00:47:47.230]  asleep inside there right now everything's fine inside the tomb well make sure you're locked and
[00:47:47.230 --> 00:47:52.190]  snugged into your little tomb that'll be a good place for you into eternity here we're all going
[00:47:52.190 --> 00:47:58.510]  to take our COVID mRNA vaccines and get cancer something tells me you're not going to be taking
[00:47:58.510 --> 00:48:06.430]  your cancer shots all right well cheerio old fellas have fun inside your tomb while you
[00:48:06.430 --> 00:48:13.070]  wrestle around feces well there you go ladies and gentlemen and we've got some folks here yes
[00:48:13.070 --> 00:48:21.070]  I know they mainly meet on Thursdays for official meetings but they're inside right now former
[00:48:21.070 --> 00:48:26.830]  bones man living or dead living but you'd better hurry engage cloaking device
[00:48:30.510 --> 00:48:35.550]  nothing relaxes me like a stiff drink from the skull of Martin Van Buren care for some
[00:48:35.550 --> 00:48:40.030]  Pancho Villa is everything in this school surrendered to diversity
[00:48:42.190 --> 00:48:47.870]  I could start my own college whoa whoa whoa we can't talk business in here just general schemes
[00:48:47.950 --> 00:48:52.510]  for world domination fraternal handshake oh all right
[00:48:57.070 --> 00:48:58.510]  you are on my radar
[00:49:03.310 --> 00:49:09.310]  here we are under this amazing cathedral with this incredible chimes coming out of it and just a few
[00:49:10.030 --> 00:49:16.510]  hundred yards away is skull and bones a temple to global secret societies a a temple to
[00:49:17.150 --> 00:49:24.110]  the CIA it was this organization on record that helped found the CIA in 1947 and we only know
[00:49:24.110 --> 00:49:28.510]  about this because of Charlotte Isby whose father on his deathbed confessed to her the
[00:49:28.510 --> 00:49:31.950]  secrets of skull and bones and gave her the secret documents that she gave him to Anthony
[00:49:31.950 --> 00:49:38.510]  Sutton with the senate report and that's the reason we even know about skull and bones that's
[00:49:38.510 --> 00:49:43.310]  why it's important for reporters to expose Bohemian Grove skull and bones uh the secret
[00:49:43.310 --> 00:49:47.870]  of the Davos group in Bilderberg because that's how we understand that these groups
[00:49:47.870 --> 00:49:52.910]  organize and try to use their power to consolidate more power over us they're the people behind the
[00:49:52.910 --> 00:49:57.070]  great reset they're the people behind the big globalist power grab and again that's why we're
[00:49:57.070 --> 00:50:00.670]  here truly speaking truth of power and trying to just get the population aware of the fact that
[00:50:00.670 --> 00:50:06.029]  these things do exist that's why we're here guests of the new world order bones men
[00:50:06.029 --> 00:50:12.590]  and nobody gets a selfie with skull and bones in the background
[00:50:16.029 --> 00:50:21.630]  throughout the ages every human culture has noticed that there are strange things that
[00:50:21.630 --> 00:50:28.270]  happen there's something about timing in the universe serendipity synchronicity clairvoyance
[00:50:28.830 --> 00:50:34.350]  everyone recognizes that there's something going on there's something hidden that's what the occult
[00:50:34.350 --> 00:50:40.270]  means we were in Connecticut on a totally separate matter myself and just two members of the crew
[00:50:41.070 --> 00:50:49.710]  and upon returning on 32321 Rob Dew one of my oldest crew members and the cameraman that shot
[00:50:49.710 --> 00:50:57.710]  the footage you've just watched said Alex do you realize that we were in Connecticut and went to
[00:50:57.710 --> 00:51:07.070]  skull and bones for the first time ever on 322 which is their high holy number and that they also
[00:51:07.070 --> 00:51:14.510]  conduct some of their most bizarre rituals reportedly on 322 so imagine we show up there
[00:51:14.510 --> 00:51:19.950]  literally on a lark realizing that the tomb was down the road and it's on the day of their high
[00:51:19.950 --> 00:51:25.950]  holy day you see there's a power in the universe bigger than the globalist bigger than the satanist
[00:51:26.029 --> 00:51:33.070]  it's called god and it's real they want to play god but they're not god if you want to see our
[00:51:33.070 --> 00:51:39.150]  censored films on my infiltration of bohemian grove 21 years ago it's called dark secrets inside
[00:51:39.150 --> 00:51:47.550]  bohemian grove it's absolutely free at band.video in the info wars films section along with an
[00:51:47.550 --> 00:51:54.910]  updated film with even more footage and a new infiltration five years later in 2005 that film
[00:51:54.910 --> 00:52:01.950]  is titled the order of death find both films for free at band.video and share them because
[00:52:01.950 --> 00:52:14.990]  knowledge is power
[00:52:32.029 --> 00:52:34.990]  uh
[00:52:37.550 --> 00:52:44.430]  info wars tomorrow's news today that's right my friends so there is that very important 17
[00:52:44.430 --> 00:52:50.029]  minute report it's posted at band.video i hope you will share it because a lot of people aren't
[00:52:50.029 --> 00:52:56.510]  aware of who's ruling over them and it it's very simple modern psychology was being developed
[00:52:57.470 --> 00:53:05.710]  250 years ago in germany adam weishaupt who was the head of a major department at a college
[00:53:05.710 --> 00:53:15.390]  also a jesuit priest had a plan to overthrow the church and overthrow the elites overthrow the
[00:53:15.390 --> 00:53:20.350]  royalty and set up their own organization and their own documents got captured by the germans
[00:53:20.510 --> 00:53:26.750]  the austrians it came out they admitted it was historic and they set up other lodges around the
[00:53:26.750 --> 00:53:34.510]  world to help set up their illuminati plan and thomas jefferson wrote about this george washington
[00:53:34.510 --> 00:53:39.550]  you can type in george washington's letters national archives library of congress have
[00:53:39.550 --> 00:53:44.510]  dozens of letters there's actually hundreds of letters but dozens on the illuminati and how they
[00:53:44.510 --> 00:53:48.430]  tried to take over the american revolution the french revolution and how bad they were and how
[00:53:48.430 --> 00:53:53.310]  they really wanted absolute power and total control and how they hated george washington
[00:53:54.750 --> 00:53:59.870]  so this was known at the time mainstream news at the time hundreds and hundreds of books that i
[00:53:59.870 --> 00:54:04.830]  know of were written on it at the time and then later like proves of this conspiracy that we just
[00:54:04.830 --> 00:54:10.190]  covered earlier and so it's people claiming brotherhood of man empowerment of humanity
[00:54:11.230 --> 00:54:17.950]  but they're only doing it so they get control of society and so they can say oh don't question our
[00:54:17.950 --> 00:54:22.350]  slave camps you're racist or oh don't question open borders are racist or don't question the
[00:54:22.350 --> 00:54:26.910]  pentagon coming to confiscate your guns look all the generals coming to confiscate your guns
[00:54:26.910 --> 00:54:34.270]  general honore and general austin well they're black so if you don't turn your guns in why
[00:54:34.270 --> 00:54:37.150]  you're fighting black people i mean it's very elementary really
[00:54:37.340 --> 00:54:43.660]  but the very same group came out and sent in hearings from the hundreds of documents and
[00:54:43.660 --> 00:54:49.020]  dozens of books and annals that her that her father and grandfather had two generations of
[00:54:49.020 --> 00:54:56.300]  skull and bones so her grandfather was only like she's really old now probably almost 90 now her
[00:54:56.300 --> 00:55:01.660]  grandfather was only like second generation skull and bones her dad was third generation
[00:55:02.620 --> 00:55:08.460]  so this goes way back folks and it was all there and confirmed and then people broke into the
[00:55:08.460 --> 00:55:12.620]  tomb several times and everything was in her analysis and in their books it was their books
[00:55:12.620 --> 00:55:18.940]  was true and so they're totally cold-blooded they're total sociopaths they're total psychopaths
[00:55:18.940 --> 00:55:24.220]  not all of them but the group recruiting is at the top she said her dad was a good guy and later
[00:55:24.220 --> 00:55:27.980]  repented when he was down of cancer and gave her the information i forgot that part so it was a
[00:55:27.980 --> 00:55:32.460]  good guy like darth vader throwing palpatine down the mine shaft or down the reactor shaft or
[00:55:32.460 --> 00:55:36.380]  you know the the thief and the murderer on the cross and one believes in one doesn't you can
[00:55:36.380 --> 00:55:41.580]  always get redemption if you still have any soul left but that's where this came from and so we know
[00:55:42.940 --> 00:55:49.100]  and it's all about how they were going to go and exploit all the minorities and all the other
[00:55:49.100 --> 00:55:55.020]  groups by leading them but also dominate everybody else and how they wanted absolute control
[00:55:55.100 --> 00:56:00.860]  and domination over everyone and how they worship brutality and lies and fraud and deception
[00:56:02.220 --> 00:56:06.140]  see of those of us that want to be chivalrous and honest and good and real and we're guilty
[00:56:06.140 --> 00:56:10.380]  when we're jerks we're guilty when we're bad we're guilty when we revert to animalistic things
[00:56:10.380 --> 00:56:13.980]  because we know it's out of control and we know our family will be treated like that as well
[00:56:15.500 --> 00:56:21.900]  and there's these people that love it that totally give into it i mean my god if i gave into evil
[00:56:21.900 --> 00:56:28.620]  look out it's thrilling it's exhilarating to not care it's it's a it's a power trip but you're
[00:56:28.620 --> 00:56:33.020]  cut off from god and once you're connected to god it's so much better but bigger but painful
[00:56:33.020 --> 00:56:40.060]  the bible says with great knowledge comes great pain but it hurts so good but i stuck my toe into
[00:56:40.060 --> 00:56:45.020]  evil they have all the little subdivisions and subgroups this is just one group of the illuminati
[00:56:45.020 --> 00:56:49.500]  one group of the satanist the illuminati itself is just another satanic order and then they try
[00:56:49.500 --> 00:56:56.380]  to recruit me i mean they know who to recruit and so we're in god's society and it shouldn't
[00:56:56.380 --> 00:57:01.900]  be a secret or hidden it's out in the open of love and and and goodness but also standing
[00:57:01.900 --> 00:57:04.060]  up for right and not being a coward and saying no
[00:57:04.280 --> 00:57:11.560]  and so when I said oh Tucker's telling you a lot but not the rest of story he's telling
[00:57:11.560 --> 00:57:15.620]  you all about it doing a great job all these facets how they're liars how it's a fraud
[00:57:15.620 --> 00:57:20.880]  how it's the elite doing it how it's the establishment but people really need to get the next phase
[00:57:20.880 --> 00:57:26.800]  of it of the AI takeover the post-human world the synthetic humans all of this was the plan
[00:57:26.800 --> 00:57:30.860]  that they were going to transcend their human bodies promise them by Satan thousands of
[00:57:30.860 --> 00:57:36.340]  years ago in Egypt eternal life Genesis 322
[00:57:36.430 --> 00:58:06.430]  the promise of that but artificially not through the spirit transcending to God but through the artificiality of the replication of the human the clone and the genetic engineering nightmare and what that gives rise to we've been down this path before it's on our first rodeo to the Sumerian text Babylonian text the Egyptian text all of them this is a big deal we're about to repeat it again and just like Texas froze a few weeks ago it suddenly is all gone
[00:58:06.430 --> 00:58:27.100]  green you forget the volcanoes and the explosions and the comets and the death and the civilizations and Atlantis and all of that not just here but other worlds and it's the secret societies trying to keep you from your destiny keep you from your background keep you from who you are that Satan fell to this planet
[00:58:27.100 --> 00:58:35.620]  was marooned here as our tester but we came from God who is in the stars
[00:58:33.980 --> 00:58:39.060]  and that's what the secret societies don't want you to know they want you to
[00:58:39.060 --> 00:58:42.420]  interface with their lie so you never discover your birthright and who you are
[00:58:42.420 --> 00:58:46.780]  instead of being tested and
[00:58:44.980 --> 00:58:53.920]  going to the next level and so to discuss more of the details of America's secret ruling
[00:58:53.920 --> 00:59:00.460]  class in this long-term strategic divide and conquer plan is constitutional lawyer and
[00:59:00.460 --> 00:59:06.660]  of course a former uh Yalie who resigned out of the school in protest to what they were
[00:59:06.660 --> 00:59:11.180]  doing my good friend constitutional lawyer but also a really smart man and a great historian
[00:59:11.180 --> 00:59:15.860]  Robert Barnes uh so Barnes I happen to just already be up in Connecticut on another matter
[00:59:15.860 --> 00:59:20.620]  uh that you know about but others don't and then we I said hey why don't we just go to
[00:59:20.620 --> 00:59:27.340]  Yale and I go there and the day after we were there at Skull and Bones Rob Dew said did
[00:59:27.340 --> 00:59:31.660]  you realize we were there on three two twos that was a very strange coincidence or synchronicity
[00:59:31.660 --> 00:59:36.660]  serendipity but getting into this getting into the woke military the left everyone that
[00:59:36.660 --> 00:59:40.260]  doesn't agree with taking down America is a racist this is coming from the establishment
[00:59:40.340 --> 00:59:45.420]  this is coming from the elites how do we defeat this how do we expose this how do we get all
[00:59:45.420 --> 00:59:49.020]  Americans to come together and see that the oldest trick in the book whether it was the
[00:59:49.020 --> 00:59:54.700]  great game and in India with the British imperialists or others or the Romans would be to come in
[00:59:54.700 --> 01:00:00.020]  and divide a giant population only a handful of troops by playing different groups off
[01:00:00.020 --> 01:00:04.740]  against each other yeah well it's one of the oldest games in the book is to be able to
[01:00:04.740 --> 01:00:08.860]  divide and conquer you can only conquer if you divide and that there's definitely in
[01:00:08.860 --> 01:00:14.220]  fact to a certain degree when I was at Yale was around the time that Skull and Bones started
[01:00:14.220 --> 01:00:20.700]  determining who could get in based on their status so in fact I mean I knew a buddy of
[01:00:20.700 --> 01:00:24.420]  mine he was going to pretend to be gay just to get into Skull and Bones because there
[01:00:24.420 --> 01:00:29.020]  was they were instituting a quota system at Skull and Bones so if you if you fit this
[01:00:29.020 --> 01:00:35.060]  demographic that demographic this group this group is sort of where wokeism as an ideology
[01:00:35.180 --> 01:00:40.220]  in terms of empowerment started sort of grew out of was out of things like that that you
[01:00:40.220 --> 01:00:44.420]  could become part of the elite but only if you fit within a certain demographic group
[01:00:44.420 --> 01:00:48.340]  characteristic group where you would be so your power isn't your individualism or your
[01:00:48.340 --> 01:00:54.980]  music or your literature your hard work or your culture or your cuisine or your anything
[01:00:54.980 --> 01:00:59.780]  it's all about what group you're in so this is literally just us devolving back to cavemen
[01:00:59.780 --> 01:01:08.740]  back to boobies back to pirates back to freebooters back to gangs exactly I used to call it you
[01:01:08.740 --> 01:01:12.340]  know what if you it's two different things it's dividing people into tribalism but it's
[01:01:12.340 --> 01:01:16.020]  also buying off potential sources of dissent because the way I used to put it when I was
[01:01:16.020 --> 01:01:20.740]  at Yale was what would happen if Nat Turner could have got a scholarship to Harvard the
[01:01:20.740 --> 01:01:26.260]  great leader of the slave rebellion in Virginia he doesn't lead a slave rebellion so that
[01:01:26.260 --> 01:01:30.900]  one of the things was identifying potential dissonant groups within society and trying
[01:01:30.900 --> 01:01:38.100]  to buy off or pick off its potential leadership that could lead a dissent any form of dissent
[01:01:38.100 --> 01:01:42.820]  and try to co-op them into the system so it's operating at two levels it's operating to
[01:01:42.820 --> 01:01:47.620]  divide people by identifying them by status rather than skill and at the same time picking
[01:01:47.620 --> 01:01:52.580]  off potential dissonant groups who because of the their life experience might otherwise
[01:01:52.580 --> 01:01:56.820]  be a threat to the system or the establishment so it achieved both in one clean stroke.
[01:01:57.700 --> 01:02:01.620]  Let's spend a few minutes on your personal experience at Yale we're showing folks one
[01:02:01.620 --> 01:02:06.100]  of the local news articles about it became a pretty big issue give us that little piece of
[01:02:06.100 --> 01:02:12.100]  history. Sure so when I was at Yale I used to like to go to the old Yale library because the
[01:02:12.100 --> 01:02:16.820]  library there was a bunch of masons old school workers who were who were on strike and their
[01:02:16.820 --> 01:02:21.300]  labor conditions were bad the late 1900s and they basically had to build that library under
[01:02:21.300 --> 01:02:26.020]  protest and what they did is they etched into the actual architecture of the building inside
[01:02:26.020 --> 01:02:31.380]  these different little mini sculptures mocking the rich and the powerful and mocking Yalies
[01:02:31.380 --> 01:02:36.580]  so most Yalies were totally oblivious to it so I enjoyed the sort of irony of it and when I was
[01:02:36.580 --> 01:02:41.300]  there I used to read different magazines and publications and sort of did a mini Alex Jones
[01:02:41.300 --> 01:02:45.460]  read the white papers before other people read the white papers and what I was doing was I came
[01:02:45.460 --> 01:02:51.540]  across the Yale alumni monthly magazine and they were floating the idea of basically changing Yale
[01:02:51.540 --> 01:02:57.300]  from anybody who could even if you couldn't afford it if you could get in they made sure there was
[01:02:57.300 --> 01:03:03.060]  full need-based financial aid and there was need-blind admission so you weren't discriminated
[01:03:03.060 --> 01:03:07.620]  against if you were poor they were floating the idea of getting rid of both of those doctrines
[01:03:07.620 --> 01:03:12.340]  of discriminating against people solely because they were poor in the admissions process and then
[01:03:12.340 --> 01:03:16.740]  denying them the ability to go to Yale using the scholarships and financial aid that were present
[01:03:16.740 --> 01:03:22.740]  there so I and a group of Yalies decided to form a protest organization about it ended up being very
[01:03:22.740 --> 01:03:27.620]  big on campus meeting with all 19 deans of Yale while I was there I got to mini experience the
[01:03:27.620 --> 01:03:33.220]  whole system because while I was there they I had various high-level deans of different parts of Yale
[01:03:33.860 --> 01:03:39.460]  basically pitch me that I could have my if I just played ball and pretended that they reformed
[01:03:39.460 --> 01:03:43.540]  everything and sat on some bogus committee then they would make sure I got into Yale law school
[01:03:43.540 --> 01:03:48.260]  and then I could have the nice uh you know work at the Kravitz Wayne and so that's what the wokeism
[01:03:48.260 --> 01:03:53.700]  is all about fake reform but actually things become more imperial more corrupt more oppressive
[01:03:54.660 --> 01:03:59.060]  exactly it's much like the way to for people to think of it is look at how the post-colonial
[01:03:59.060 --> 01:04:03.700]  governments treated or how the post-colonial African governments were treated by the west
[01:04:03.700 --> 01:04:09.380]  by their prior colonial overlords all they did was give them the a perception an image of
[01:04:09.380 --> 01:04:13.300]  independence while co-opting them and actually having more power than they had when they were
[01:04:13.300 --> 01:04:17.220]  colonial that's right that's as you show your knowledge that's the Cecil Rhodes round table
[01:04:17.220 --> 01:04:21.780]  group model that then was adopted in the U.S. as the council on foreign relations explain that
[01:04:21.780 --> 01:04:26.900]  you take down the imperial flag but you put puppets in that look like the locals but are controlled
[01:04:27.940 --> 01:04:33.060]  exactly I mean we've sort of done this in a lot of urban politics where where the political
[01:04:33.060 --> 01:04:37.780]  machine stepped back and had African-American mayors take over but they and in the name of
[01:04:37.780 --> 01:04:41.460]  black leadership but then what we found is that those leaders were actually more co-opted than
[01:04:41.460 --> 01:04:45.300]  the people that came before them and all the problems that existed previously were still there
[01:04:45.300 --> 01:04:50.180]  so we've experienced in our own American political life but in Africa they did it they did to an
[01:04:50.180 --> 01:04:55.060]  expert degree so putting in people who are nominally rebels nominally revolutionaries
[01:04:55.060 --> 01:04:59.780]  nominally independent people that were from Africa represented various groups within the
[01:04:59.780 --> 01:05:04.340]  particular country but in fact were co-opted to serve the interest of the colonial empire even
[01:05:04.340 --> 01:05:09.380]  more so than the colonial empire could do for its own sake and the the system is genius at
[01:05:09.380 --> 01:05:13.540]  recreating this and recrafting this when I was at Yale that was the pitch to all of us who were
[01:05:13.540 --> 01:05:19.220]  part of it we decided I decided the only way I could get my message out was to leave and protest
[01:05:19.220 --> 01:05:25.940]  so wrote an article leaving in protest explaining why and luckily that that signal was so unusual
[01:05:25.940 --> 01:05:30.660]  so unexpected so unanticipated that Yale University were completely reversed their
[01:05:30.660 --> 01:05:34.820]  position announced they would support need blind admissions need based financial aid and the rest
[01:05:34.820 --> 01:05:38.740]  of the Ivy League followed because they were shocked at that kind of protest and the reason
[01:05:38.740 --> 01:05:44.020]  this is so important is Yale and Harvard are microcosms of the entire system Xi Jinping
[01:05:44.020 --> 01:05:50.660]  sends his daughter to Harvard others send them to Yale and so we look at as a a joke of wokeism
[01:05:50.660 --> 01:05:54.740]  but but really it's a model of psychological control and look what just came out last year
[01:05:54.740 --> 01:05:59.300]  or two years ago they're now winning lawsuits in fact speak to that where they secretly said
[01:05:59.300 --> 01:06:05.140]  Asians aren't smart we should block Asians from admission just because you do good on math or on
[01:06:05.140 --> 01:06:12.340]  spelling or on or engineering doesn't matter because we have new woke systems new woke
[01:06:14.500 --> 01:06:20.260]  IQ systems that they secretly have created off of your wokeness I mean it's just bizarre
[01:06:20.260 --> 01:06:24.340]  it's thinking it's not about empowering minorities or anybody it's about fully controlling them
[01:06:25.380 --> 01:06:29.380]  oh absolutely they don't want independent I knew someone who actually turned down school and bones
[01:06:29.380 --> 01:06:33.220]  because he understood he's Puerto Rican and understood that and stayed at Puerto Rican
[01:06:33.220 --> 01:06:38.020]  dissident in his old political life to this day because he understood what was happening but most
[01:06:38.020 --> 01:06:43.300]  don't I mean what it is it's co-opting members of potential dissident groups to make sure they play
[01:06:43.300 --> 01:06:46.740]  ball and that's what their whole admissions policy is based on it's mostly rooted in you
[01:06:46.740 --> 01:06:50.740]  know helping the the powerful and the privileged stay powerful and privileged and recycling I mean
[01:06:50.740 --> 01:06:55.780]  that's why George W. Bush you know could be a Yalie uh he was a perfect indicator that it was
[01:06:55.780 --> 01:07:00.820]  not a place of meritocracy it was a place of power and privilege and now look at how the left now look
[01:07:00.820 --> 01:07:07.620]  at how the left love war and love torture and they've been totally co-opted okay I mean people
[01:07:07.620 --> 01:07:12.100]  I mean the original creators of the national security state were all Ivy Leaguers and
[01:07:12.100 --> 01:07:17.220]  predominantly Yale at Yalie I wrote about it when I was there at Yale all the founders of the OSS and
[01:07:17.220 --> 01:07:21.380]  the CIA and the original national security council were almost all universally Yalies
[01:07:21.380 --> 01:07:26.100]  many of them met in a secret literary society that they created at Yale and that's where the
[01:07:26.100 --> 01:07:31.620]  the initial foundation of the national security state were four guys who helped form a particular
[01:07:31.620 --> 01:07:36.260]  secret society at Yale and that's where the CIA was born there's a there's a statue to Nathan
[01:07:36.260 --> 01:07:41.140]  Hale in only two places in America one the center campus of the CIA the other the center of old
[01:07:41.140 --> 01:07:45.620]  campus at Yale and that's not a coincidence they used to say that you could know Yale CIA people
[01:07:45.620 --> 01:07:49.540]  were get together when they were singing a Yale whip and poof song like they sing at Mory's the
[01:07:49.540 --> 01:07:55.220]  old club there so the that's the it's deeply entrenched and institutionalized within the
[01:07:55.220 --> 01:08:00.820]  power structure and its job is to keep recreating the power structure and discrimination against
[01:08:01.380 --> 01:08:04.740]  no discrimination against Asians it's discrimination against a wide range of people
[01:08:04.740 --> 01:08:08.980]  who just don't fit what the power structure wants the power structure thinks we only need this many
[01:08:08.980 --> 01:08:13.779]  Asians and they're mostly focused like Georgetown is part of this too is is picking off the elite
[01:08:13.779 --> 01:08:18.020]  of foreign countries they're not interested in they're interested in G's kids they're interested
[01:08:18.020 --> 01:08:23.780]  in I mean Kim Jong-un sent his kids to Switzerland elite academies for the same purpose that's what
[01:08:23.780 --> 01:08:28.660]  they're interested in they're not interested in actual racial empowerment or economic empowerment
[01:08:28.660 --> 01:08:33.620]  or disadvantaged empowerment it's buying off dissent so that they don't get problems from
[01:08:33.620 --> 01:08:38.820]  communities that they are fearful of and and then otherwise divide and conquer through the broader
[01:08:38.820 --> 01:08:44.260]  population utilizing those co-opted participants to employ it and they do it as well as anybody
[01:08:44.260 --> 01:08:48.420]  I mean they they're their cultural institutions they're not educational institutions.
[01:08:48.410 --> 01:09:08.410]  Well said. It's so important to understand though that that Skull and Bones adopted German psychology and was a chapter of Adam Weishaupt, Ingolstadt University, or the Illuminati and that's in real history books.
[01:09:08.410 --> 01:09:20.410]  The general public sees all these TV shows and movies and thinks it's like a cartoon or something. But I know you studied that. Explain to people your understanding of the Illuminati and then these Germanic death cults that basically grew out of it.
[01:09:20.410 --> 01:09:31.410]  I want to be clear it's not Germans that are to blame. It was just they used your Druidic priesthood model that was already operating secretly in Europe that predated Christianity and already had cults in Europe.
[01:09:31.410 --> 01:09:47.410]  And the Illuminati used that as a carrier group for this new system where they would claim they're going to overthrow the establishment but really on its ashes build a complete and total tyranny which Skull and Bones has been infiltrated their own documents have been leaked to Charlotte Iserby and to Anthony Sutton and others.
[01:09:47.410 --> 01:09:57.410]  And it's all about how they're God and we're all animals and they have a right to rule over us. It's true Uber mention stuff. And so that's why Prescott Bush and others funded Hitler.
[01:09:57.410 --> 01:10:06.410]  They are obsessed with various aspects of the occult and they celebrate that. They like to incorporate that as a sense of empowerment. The ultimate objective is to be able to cheat death.
[01:10:06.410 --> 01:10:22.410]  The tomb still exists at Skull and Bones. You can't see in. When I was there you walked by it almost every day at campus. So it has this sort of ominous tone and this ominous power symbol.
[01:10:22.410 --> 01:10:32.410]  People that are brought in and you know that you're still laid out in the coffin as if you're dead and the point is that now you owe your allegiance. I call it cotton ball culture just take into a whole different level.
[01:10:32.410 --> 01:10:45.410]  So in the southeast do cotton balls to allow when 17 18 year olds are sort of coming out and really the cotton balls were limited to the elite and the goal was to let the elite know their kids you're part of a different group than everybody else.
[01:10:45.410 --> 01:10:55.410]  Everybody else isn't like you and into a culture eight them to a mindset that they should rule and dominate other people and that they should be fearful of the people that are not part of that group.
[01:10:55.410 --> 01:11:12.410]  And you just take that to an entirely different level with organizations like Skull and Bones that you physically re experience sort of a death experience where you're reborn now as a bones man you no longer who you were you no longer what you were you now part of them you identify with them you owe your allegiance to them.
[01:11:12.410 --> 01:11:35.410]  And they reciprocate your guaranteed certain income every year for the rest of your life you're guaranteed certain political protection and the degree that exist i think people would be shocked by every day of the it's who you meet at yale that's the most influential part of the yale degree of the people i still have contacts within a wide ranging positions of power all across the world because i met him during the time i was just at yale.
[01:11:35.410 --> 01:11:50.410]  That's the degree of influence in school and bones is the apex the peak of that power structure that's a culture rating people's minds to see themselves as different than the rest of the world as the overlords to the rest of the world and reshifting and reshaping their alliance and allegiance.
[01:11:50.410 --> 01:12:01.910]  To each other rather than to their family rather than to their kin or rather than to their community rather than to their own country and there's the same seduction right now whether you watch again european tv australian tv us tv.
[01:12:01.930 --> 01:12:13.750]  All the telecoms all the drug ads are black people and black people are the best and whites are bad that's the trick black people to totally serve the establishment that's literally doing secret experiments on them and out to get them.
[01:12:13.930 --> 01:12:35.550]  And and and and and and i know most black folks i know see through it but a lot of black people are really getting into this and so it's a sub level of the same seduction be with hollywood be with the establishment all these rap videos about black men becoming trans and giving up their fertility i mean the anybody that wants you to give her fertility up wants you to die.
[01:12:35.809 --> 01:12:52.950]  Oh yeah and they're running into trouble because the large numbers of african african american voters are about as a group in america are the most likely to not want to take the vaccine as an example most likely to distrust the institutional narrative i often find their great jurors because they're willing to be skeptical of the state.
[01:12:53.790 --> 01:13:15.290]  And so they've been battling for a long time as to how to shift that perspective as i call it you know what if we sit net turn into harvard maybe we don't get any more slave revolt and it's that same mindset mentality but only partially works because it doesn't really seep down to the consciousness of the lived experience of ordinary people across the board across racial lines class lines that's why trump was such a threat.
[01:13:15.290 --> 01:13:31.610]  He was making extraordinary inroads into the african american community extraordinary inroads into the mexican american community first ever republican to win zapata county named after a mexican revolutionary on the texas border this is why he was such a unique threat not only and the other thing is people forget trump is the first president.
[01:13:31.610 --> 01:13:44.809]  That's why i think before eisenhower that had never been part of bohemian grove never been part of the builder bird group never been part of any elite secret society anywhere every other one had been a part of one including from kennedy forward.
[01:13:44.889 --> 01:13:55.050]  So he broke a complete norm wasn't part of that at all and that's why they distrusted him so much he had told them by his refusal to join their secret societies.
[01:13:55.050 --> 01:14:11.809]  Their secret associations and affiliations their elite groupings and culturations that he had no interest in their world view that he had no interest in their perspective and that's why they waged war on him from the day he announced his campaign and why they're still waging war on him to this day because they only trust those that have.
[01:14:11.930 --> 01:14:24.010]  Proven their commitment to the system to the establishment to the elite to their set of values to their world view to their perspective and they don't trust anybody that contested or challenges it and that's why trump was so revolutionary.
[01:14:24.010 --> 01:14:26.730]  He was somebody representing ordinary people against that structure.
[01:14:26.680 --> 01:14:33.560]  Robert, you have really laid this out for us beautifully.
[01:14:33.560 --> 01:14:37.640]  Where do you see the power of Harvard and the power of Yale going?
[01:14:37.640 --> 01:14:43.260]  They parlayed through the British Empire model, Cecil Rhodes model, the Rhodes Scholar model.
[01:14:43.260 --> 01:14:44.660]  They all wrote books on this for viewers.
[01:14:44.660 --> 01:14:48.640]  This is not our opinion, this is all fact.
