[00:00.000 --> 00:08.000]  Human destiny on the line, will humanity awaken before it's too late?
[38:05.000 --> 38:15.000]  And then I had a target on me for talking to apparently a Russian agent that allowed the MI6, the CIA and obviously the FBI to follow me, follow the campaign.
[38:15.000 --> 38:24.000]  And then they use that when they're already legally spying to parallel construct and go then open the official investigation into Trump using you.
[38:24.000 --> 38:35.000]  I guess that's a story. I mean, it doesn't make any sense to me. It doesn't make sense to probably all of your listeners and probably to all of America. I mean, at this moment, America is fully behind me.
[38:35.000 --> 38:40.000]  I'm just slowly getting this story out and everyone is just really shocked. I mean, I know you're probably shocked.
[38:40.000 --> 38:48.000]  George, I'm not shocked. I'm not at liberty to talk about it, but I reported to the FBI. They tried the same crap on me, but I instantly blew up.
[38:48.000 --> 39:00.000]  No, you have to. And that's actually, you know, I had two options. One, I could have gone off into the sunset in obscurity and just allowed and just bit my lip and allowed this story to follow me the rest of my life.
[39:00.000 --> 39:06.000]  And but then, you know what I said? Absolutely not. I need to tell America the truth because this is much bigger than just George Papadopoulos.
[39:06.000 --> 39:15.000]  You know, I'm going to have my life moving forward, no matter what. But America was always going to be duped under this fantasy that Trump was colluding or that the campaign was in the pocket of Russia.
[39:15.000 --> 39:21.000]  That's absolutely the furthest thing from the truth. Trump had nothing to do with Russia. I had nothing to do with Russia.
[39:21.000 --> 39:27.000]  And so you're Pat C1, you're patient zero, which not just you saying this, it's all been vindicated. It's all come out.
[39:27.000 --> 39:37.000]  Mueller is a known gangster, though. People he handled like, you know, the fellow that just died, the famous Irish mobster from Boston, Whitey Bulger.
[39:37.000 --> 39:46.000]  These are people you don't want to mess with. And I know you probably got threatened. Are you at liberty to get into what it was like when Mueller who delivered uranium to the Russians on tarmacs?
[39:46.000 --> 39:50.000]  The real agent when he was breathing down your neck, what that was like?
[39:50.000 --> 39:55.000]  No, I can't get into anything specific about my interactions with the FBI or Mueller himself.
[39:55.000 --> 40:04.000]  But, you know, all I can really focus on at the moment is just all the characters around that led me to be, I guess, involved in this because I think that's the real problem.
[40:04.000 --> 40:11.000]  You know, I think the lead up, the setup that created this mess that we're all in right now, I think that's the most important thing.
[40:11.000 --> 40:17.000]  And I think those people who are responsible are the Obama DOJ, the Obama State Department of the Obama CIA.
[40:17.000 --> 40:25.000]  So those are the people that need to get back in front of Congress. And I think Congress needs to ask absolutely new questions.
[40:25.000 --> 40:33.000]  Now the new revelations about my story has come out just so that, you know, America has a much more clear picture of what they were doing and why they were trying to set me up in the campaign.
[40:33.000 --> 40:40.000]  Wow. What's your gut level or any of your contacts thinking that Mueller's going to try next?
[40:40.000 --> 40:45.000]  Because he's not just leaking that he wants to indict Stone with no evidence.
[40:45.000 --> 40:51.000]  They're also at the grand jury and over 50 people asking about me. That's another reason I know how fake this is.
[40:51.000 --> 40:54.000]  I have zero connection to the Russians.
[40:54.000 --> 41:05.000]  Look, I have no idea what anything in the future is going to be. All I know is even though it's a risk, many people are telling me it's a risk of me going out and talking about my situation.
[41:05.000 --> 41:13.000]  For me, the real, you know, jail sentence, a life sentence actually would be if I had lived in this notoriety as a traitor to my country.
[41:13.000 --> 41:18.000]  That's something I wasn't going to allow to happen. So that's all I could say about that.
[41:18.000 --> 41:26.000]  Well, I appreciate what you've done. It's obvious you did nothing from the beginning. That's why I was saying, why are you at first going along with it when you did absolutely nothing?
[41:26.000 --> 41:31.000]  The guy talked to you and then told you about some Russian stuff that was already public news.
[41:31.000 --> 41:35.000]  And I mean, clearly now you're coming out against him. You're speaking out. You've been vindicated. You weren't the mole.
[41:35.000 --> 41:41.000]  We know who some of the moles are now. In fact, when I said maybe you're the mole, I did get contacted by people that are really insiders.
[41:41.000 --> 41:47.000]  They said, no, it's not George Papadopoulos. It's not him. And they told me who the moles were.
[41:47.000 --> 41:53.000]  Yeah, I mean, you know, I was, you know, let's just say that I know of one myself. I can't talk about it publicly yet.
[41:53.000 --> 42:02.000]  I think Congress probably is going to disclose that in a future time. But if I knew of one and, you know, you're talking about certain, there are probably many, many in the campaign.
[42:02.000 --> 42:08.000]  I mean, there were many eyes around in 2016 and they weren't there to help Trump.
[42:08.000 --> 42:16.000]  I mean, I think they were really there to keep a close eye on him to make sure that they had him under a thumb if he was elected president.
[42:16.000 --> 42:24.000]  And to sabotage this campaign, you know, if he was elected president as well so that he wouldn't face the problems he's facing today.
[42:24.000 --> 42:30.000]  But the guy is, he's vindicated. I mean, he has tremendous support by the American people and he's doing great.
[42:30.000 --> 42:33.000]  And I just implore all Americans to vote red today.
[42:33.000 --> 42:39.000]  Absolutely. George Papadopoulos, I know you've got to go. You said maybe you could do two segments. Let's just do a half a segment.
[42:39.000 --> 42:47.000]  You're a smart political cookie. I want to come back and just briefly get your take on the election, what's at stake, and more. It's a George Papa 19 on Twitter.
[42:47.000 --> 42:52.000]  Twitter at George Papa 19, but directly there to get what's really happening, not what they say about George.
[42:52.000 --> 42:58.000]  And this takes a lot of courage, folks, going up against Mueller. After what he's been through, this guy is really proving his salt.
[42:58.000 --> 43:06.000]  The globalists know that if they suppress the good halogen and pump the environment from the bad halogens, fluoride, chlorine, bromide, you name it,
[43:06.000 --> 43:11.000]  that it lowers IQ. It literally dumbs the population down.
[43:11.000 --> 43:17.000]  And on our quest to bring our listeners and viewers, the best iodine in the world, we've gone through two permutations.
[43:17.000 --> 43:24.000]  The first seaweed-based iodine that was pretty good, but hard to source, and the globalists tried to block us getting a supply of it.
[43:24.000 --> 43:30.000]  So we discovered deep earth crystals of pure nascent iodine and brought you X2. That's been incredible.
[43:30.000 --> 43:37.000]  Now, due to the establishment trying to block that, we did more research and secured more of the deep-earth crystals of nascent iodine.
[43:37.000 --> 43:46.000]  But chemists, scientists, and others showed us the research that by combining it with three other compounds, two forms of iodine and vitamin C,
[43:46.000 --> 43:51.000]  it supercharges it and makes it even more bioavailable.
[43:51.000 --> 43:55.000]  Ladies and gentlemen, you want to research it, you want to see it, it's an incredible discovery.
[43:55.000 --> 44:00.000]  X3, now available at M4sLife.com.
[44:25.000 --> 44:30.000]  I just now want to target where the resistance came from so that we're not pesky in the future.
[44:30.000 --> 44:38.000]  I want to be troublesome and pesky. I want to keep going. I want to make them do the ultimate, not just destroy us financially.
[44:38.000 --> 44:44.000]  I want to push all the way. I've committed to do that. I've prayed for that, and I've been told that's going to happen.
[44:44.000 --> 44:51.000]  But you've got to back us, and I promise you this, I will never falter, I will never waver at the spiritual level.
[44:51.000 --> 45:00.000]  I physically will, but I give you my commitment if you financially support us at InfowarsStore.com to give you my absolute total commitment.
[45:00.000 --> 45:08.000]  It's really hard to have the energy at the end of the day to still get to the gym or to go for a run or go to the park or heck even take your dog for a walk.
[45:08.000 --> 45:14.000]  Believe me, I know I spend hours in front of a screen and then hours in front of bright lights every day,
[45:14.000 --> 45:20.000]  but thanks to SuperMailVitality at InfowarsStore.com, I still have that energy.
[45:20.000 --> 45:26.000]  There's no way I could have the energy at the end of a long day to fight back against the chemicals and the food and water,
[45:26.000 --> 45:34.000]  to fight back against the modern-day lifestyle with the screen time and the extended hours, to still have the stamina and endurance, energy and drive,
[45:34.000 --> 45:40.000]  to get to the gym, get to the park, and get exercise that you need for your health.
[45:40.000 --> 45:48.000]  So go to InfowarsStore.com and get SuperMailVitality before it's gone. This is actually our last run of SuperMailVitality.
[45:48.000 --> 45:53.000]  So I want you to experience SuperMailVitality before it's too late.
[45:53.000 --> 45:56.000]  Unleash the SuperMail in you.
[45:56.000 --> 46:19.000]  SuperMailVitality.com.
[46:26.000 --> 46:45.000]  SuperMailVitality.com.
[46:45.000 --> 47:07.000]  SuperMailVitality.com.
[47:15.000 --> 47:25.000]  SuperMailVitality.com.
[47:25.000 --> 47:35.000]  SuperMailVitality.com.
[47:35.000 --> 47:45.000]  SuperMailVitality.com.
[47:45.000 --> 48:05.000]  SuperMailVitality.com.
[48:05.000 --> 48:15.000]  SuperMailVitality.com.
[48:15.000 --> 48:35.000]  SuperMailVitality.com.
[48:35.000 --> 48:45.000]  SuperMailVitality.com.
[48:45.000 --> 49:05.000]  SuperMailVitality.com.
[49:05.000 --> 49:15.000]  SuperMailVitality.com.
[49:15.000 --> 49:35.000]  SuperMailVitality.com.
[49:35.000 --> 49:45.000]  SuperMailVitality.com.
[49:45.000 --> 50:05.000]  SuperMailVitality.com.
[50:05.000 --> 50:15.000]  SuperMailVitality.com.
[50:15.000 --> 50:35.000]  SuperMailVitality.com.
[50:35.000 --> 50:45.000]  SuperMailVitality.com.
[50:45.000 --> 51:05.000]  SuperMailVitality.com.
[51:05.000 --> 51:15.000]  SuperMailVitality.com.
[51:15.000 --> 51:35.000]  SuperMailVitality.com.
[51:35.000 --> 51:45.000]  SuperMailVitality.com.
[51:45.000 --> 52:05.000]  SuperMailVitality.com.
[52:05.000 --> 52:15.000]  SuperMailVitality.com.
[52:15.000 --> 52:35.000]  SuperMailVitality.com.
[52:35.000 --> 52:45.000]  SuperMailVitality.com.
[52:45.000 --> 52:55.000]  SuperMailVitality.com.
[52:55.000 --> 53:05.000]  SuperMailVitality.com.
[53:05.000 --> 53:25.000]  SuperMailVitality.com.
[53:25.000 --> 53:35.000]  SuperMailVitality.com.
[53:35.000 --> 53:55.000]  SuperMailVitality.com.
[53:55.000 --> 54:05.000]  SuperMailVitality.com.
[54:05.000 --> 54:25.000]  SuperMailVitality.com.
[54:25.000 --> 54:35.000]  SuperMailVitality.com.
[54:35.000 --> 54:55.000]  SuperMailVitality.com.
[54:55.000 --> 55:05.000]  SuperMailVitality.com.
[55:05.000 --> 55:25.000]  SuperMailVitality.com.
[55:25.000 --> 55:35.000]  SuperMailVitality.com.
[55:35.000 --> 55:55.000]  SuperMailVitality.com.
[55:55.000 --> 56:05.000]  SuperMailVitality.com.
[56:05.000 --> 56:25.000]  SuperMailVitality.com.
[56:25.000 --> 56:35.000]  SuperMailVitality.com.
[56:35.000 --> 56:45.000]  SuperMailVitality.com.
[56:45.000 --> 56:55.000]  SuperMailVitality.com.
[56:55.000 --> 57:15.000]  SuperMailVitality.com.
[57:15.000 --> 57:25.000]  SuperMailVitality.com.
[57:25.000 --> 57:45.000]  SuperMailVitality.com.
[57:45.000 --> 57:55.000]  SuperMailVitality.com.
[57:55.000 --> 58:15.000]  SuperMailVitality.com.
[58:15.000 --> 58:25.000]  SuperMailVitality.com.
[58:25.000 --> 58:45.000]  SuperMailVitality.com.
[58:45.000 --> 58:55.000]  SuperMailVitality.com.
[58:55.000 --> 59:15.000]  SuperMailVitality.com.
[59:15.000 --> 59:25.000]  Powerhouse Formula.
[59:25.000 --> 59:45.000]  SuperMailVitality.com.
[59:45.000 --> 59:55.000]  SuperMailVitality.com.
[59:55.000 --> 01:00:05.000]  SuperMailVitality.com.
[01:00:05.000 --> 01:00:15.000]  SuperMailVitality.com.
[01:00:15.000 --> 01:00:25.000]  SuperMailVitality.com.
[01:00:25.000 --> 01:00:35.000]  SuperMailVitality.com.
[01:00:35.000 --> 01:00:55.000]  SuperMailVitality.com.
[01:00:55.000 --> 01:01:05.000]  SuperMailVitality.com.
[01:01:05.000 --> 01:01:25.000]  SuperMailVitality.com.
[01:01:25.000 --> 01:01:35.000]  SuperMailVitality.com.
[01:01:35.000 --> 01:01:45.000]  SuperMailVitality.com.
[01:01:45.000 --> 01:01:55.000]  Thank you.
[01:01:55.000 --> 01:02:15.000]  Thank you.
[01:02:15.000 --> 01:02:25.000]  Thank you.
[01:02:25.000 --> 01:02:35.000]  Thank you.
[01:02:35.000 --> 01:02:45.000]  Thank you.
[01:02:45.000 --> 01:02:55.000]  Thank you.
[01:02:55.000 --> 01:03:05.000]  Thank you.
[01:03:05.000 --> 01:03:15.000]  Thank you.
[01:03:15.000 --> 01:03:25.000]  Thank you.
[01:03:25.000 --> 01:03:35.000]  Thank you.
[01:03:35.000 --> 01:03:45.000]  Thank you.
[01:03:45.000 --> 01:03:55.000]  Thank you.
[01:03:55.000 --> 01:04:05.000]  Thank you.
[01:04:05.000 --> 01:04:15.000]  Thank you.
[01:04:15.000 --> 01:04:25.000]  Thank you.
[01:04:25.000 --> 01:04:35.000]  Thank you.
[01:04:35.000 --> 01:04:45.000]  Thank you.
[01:04:45.000 --> 01:04:55.000]  Thank you.
[01:04:55.000 --> 01:05:05.000]  Thank you.
[01:05:25.000 --> 01:05:35.000]  Thank you.
[01:05:55.000 --> 01:06:05.000]  Thank you.
[01:06:25.000 --> 01:06:35.000]  Thank you.
[01:06:35.000 --> 01:06:45.000]  Thank you.
[01:06:45.000 --> 01:06:55.000]  Thank you.
[01:07:15.000 --> 01:07:25.000]  Thank you.
[01:07:25.000 --> 01:07:35.000]  Thank you.
[01:07:35.000 --> 01:08:03.000]  Thank you.
[01:08:03.000 --> 01:08:13.000]  Thank you.
[01:08:33.000 --> 01:08:43.000]  Thank you.
[01:08:43.000 --> 01:08:53.000]  Thank you.
[01:08:53.000 --> 01:09:03.000]  Thank you.
[01:09:03.000 --> 01:09:13.000]  Thank you.
[01:09:13.000 --> 01:09:23.000]  Thank you.
[01:09:43.000 --> 01:10:03.000]  Thank you.
[01:10:03.000 --> 01:10:11.000]  Thank you.
[01:10:11.000 --> 01:10:21.000]  Thank you.
[01:10:41.000 --> 01:10:51.000]  Thank you.
[01:10:51.000 --> 01:11:01.000]  Thank you.
[01:11:01.000 --> 01:11:11.000]  Thank you.
[01:11:31.000 --> 01:11:41.000]  Thank you.
[01:11:41.000 --> 01:11:51.000]  Thank you.
[01:11:51.000 --> 01:12:01.000]  Thank you.
[01:12:01.000 --> 01:12:11.000]  Thank you.
[01:12:11.000 --> 01:12:21.000]  Thank you.
[01:12:21.000 --> 01:12:31.000]  Thank you.
[01:12:31.000 --> 01:12:41.000]  Thank you.
[01:12:41.000 --> 01:12:51.000]  Thank you.
[01:12:51.000 --> 01:13:01.000]  Thank you.
[01:13:21.000 --> 01:13:31.000]  Thank you.
[01:13:31.000 --> 01:13:41.000]  Thank you.
[01:13:41.000 --> 01:13:51.000]  Thank you.
[01:13:51.000 --> 01:14:01.000]  Thank you.
[01:14:01.000 --> 01:14:21.000]  Thank you.
[01:14:21.000 --> 01:14:31.000]  Thank you.
[01:14:31.000 --> 01:14:41.000]  Thank you.
[01:14:41.000 --> 01:15:09.000]  Thank you.
[01:15:09.000 --> 01:15:19.000]  Thank you.
[01:15:19.000 --> 01:15:29.000]  Thank you.
[01:15:29.000 --> 01:15:39.000]  Thank you.
[01:15:39.000 --> 01:15:49.000]  Thank you.
[01:15:49.000 --> 01:15:59.000]  Thank you.
[01:16:19.000 --> 01:16:29.000]  Thank you.
[01:16:49.000 --> 01:16:59.000]  Thank you.
[01:17:19.000 --> 01:17:29.000]  Thank you.
[01:17:49.000 --> 01:17:59.000]  Thank you.
[01:18:19.000 --> 01:18:39.000]  Thank you.
[01:18:39.000 --> 01:18:49.000]  Thank you.
[01:19:09.000 --> 01:19:19.000]  Thank you.
[01:19:39.000 --> 01:19:59.000]  Thank you.
[01:19:59.000 --> 01:20:09.000]  Thank you.
[01:20:29.000 --> 01:20:39.000]  Thank you.
[01:20:39.000 --> 01:20:49.000]  Thank you.
[01:20:49.000 --> 01:20:57.000]  Thank you.
[01:20:57.000 --> 01:21:07.000]  Thank you.
[01:21:27.000 --> 01:21:37.000]  Thank you.
[01:21:37.000 --> 01:21:47.000]  Thank you.
[01:21:47.000 --> 01:22:15.000]  Thank you.
[01:22:15.000 --> 01:22:25.000]  Thank you.
[01:22:45.000 --> 01:22:55.000]  Thank you.
[01:23:15.000 --> 01:23:25.000]  Thank you.
[01:23:45.000 --> 01:24:05.000]  Thank you.
[01:24:05.000 --> 01:24:15.000]  Thank you.
[01:24:35.000 --> 01:24:55.000]  Thank you.
[01:24:55.000 --> 01:25:05.000]  Thank you.
[01:25:25.000 --> 01:25:35.000]  Thank you.
[01:25:55.000 --> 01:26:15.000]  Thank you.
[01:26:15.000 --> 01:26:25.000]  Thank you.
[01:26:25.000 --> 01:26:35.000]  Thank you.
[01:26:35.000 --> 01:26:45.000]  Thank you.
[01:26:45.000 --> 01:27:13.000]  Thank you.
[01:27:13.000 --> 01:27:23.000]  Thank you.
[01:27:23.000 --> 01:27:33.000]  Thank you.
[01:27:33.000 --> 01:27:53.000]  Thank you.
[01:27:53.000 --> 01:28:03.000]  Thank you.
[01:28:03.000 --> 01:28:13.000]  Thank you.
[01:28:13.000 --> 01:28:41.000]  Thank you.
[01:28:41.000 --> 01:28:51.000]  Thank you.
[01:29:11.000 --> 01:29:21.000]  Thank you.
[01:29:41.000 --> 01:30:01.000]  Thank you.
[01:30:01.000 --> 01:30:11.000]  Thank you.
[01:30:31.000 --> 01:30:57.000]  Thank you.
[01:30:57.000 --> 01:31:07.000]  Thank you.
[01:31:27.000 --> 01:31:37.000]  Thank you.
[01:31:57.000 --> 01:32:07.000]  Thank you.
[01:32:27.000 --> 01:32:55.000]  Thank you.
[01:32:55.000 --> 01:33:05.000]  Thank you.
[01:33:25.000 --> 01:33:45.000]  Thank you.
[01:33:45.000 --> 01:33:55.000]  Thank you.
[01:34:15.000 --> 01:34:25.000]  Thank you.
[01:34:45.000 --> 01:35:13.000]  Thank you.
[01:35:13.000 --> 01:35:23.000]  Thank you.
[01:35:43.000 --> 01:35:53.000]  Thank you.
[01:36:13.000 --> 01:36:33.000]  Thank you.
[01:36:33.000 --> 01:36:43.000]  Thank you.
[01:37:03.000 --> 01:37:13.000]  Thank you.
[01:37:13.000 --> 01:37:23.000]  Thank you.
[01:37:23.000 --> 01:37:33.000]  Thank you.
[01:37:33.000 --> 01:37:43.000]  Thank you.
[01:37:43.000 --> 01:37:53.000]  Thank you.
[01:38:13.000 --> 01:38:33.000]  Thank you.
[01:38:33.000 --> 01:38:43.000]  Thank you.
[01:39:03.000 --> 01:39:23.000]  Thank you.
[01:39:23.000 --> 01:39:51.000]  Thank you.
[01:39:51.000 --> 01:40:01.000]  Thank you.
[01:40:01.000 --> 01:40:11.000]  Thank you.
[01:40:11.000 --> 01:40:21.000]  Thank you.
[01:40:21.000 --> 01:40:31.000]  Thank you.
[01:40:31.000 --> 01:40:41.000]  Thank you.
[01:40:41.000 --> 01:40:51.000]  Thank you.
[01:40:51.000 --> 01:41:01.000]  Thank you.
[01:41:01.000 --> 01:41:11.000]  Thank you.
[01:41:11.000 --> 01:41:21.000]  Thank you.
[01:41:21.000 --> 01:41:31.000]  Thank you.
[01:41:31.000 --> 01:41:41.000]  Thank you.
[01:42:01.000 --> 01:42:29.000]  Thank you.
[01:42:29.000 --> 01:42:57.000]  Thank you.
[01:42:57.000 --> 01:43:07.000]  Thank you.
[01:43:27.000 --> 01:43:47.000]  Thank you.
[01:43:47.000 --> 01:43:55.000]  Thank you.
[01:43:55.000 --> 01:44:05.000]  Thank you.
[01:44:05.000 --> 01:44:15.000]  Thank you.
[01:44:15.000 --> 01:44:25.000]  Thank you.
[01:44:45.000 --> 01:44:55.000]  Thank you.
[01:45:15.000 --> 01:45:25.000]  Thank you.
[01:45:45.000 --> 01:45:55.000]  Thank you.
[01:46:15.000 --> 01:46:25.000]  Thank you.
[01:46:45.000 --> 01:47:05.000]  Thank you.
[01:47:05.000 --> 01:47:15.000]  Thank you.
[01:47:35.000 --> 01:48:03.000]  Thank you.
[01:48:03.000 --> 01:48:13.000]  Thank you.
[01:48:13.000 --> 01:48:23.000]  Thank you.
[01:48:23.000 --> 01:48:33.000]  Thank you.
[01:48:33.000 --> 01:48:43.000]  Thank you.
[01:48:43.000 --> 01:48:53.000]  Thank you.
[01:49:13.000 --> 01:49:41.000]  Thank you.
[01:49:41.000 --> 01:49:51.000]  Thank you.
[01:49:51.000 --> 01:50:01.000]  Thank you.
[01:50:01.000 --> 01:50:11.000]  Thank you.
[01:50:11.000 --> 01:50:21.000]  Thank you.
[01:50:21.000 --> 01:50:31.000]  Thank you.
[01:50:51.000 --> 01:51:11.000]  Thank you.
[01:51:11.000 --> 01:51:19.000]  Thank you.
[01:51:19.000 --> 01:51:29.000]  Thank you.
[01:51:29.000 --> 01:51:39.000]  Thank you.
[01:51:39.000 --> 01:51:49.000]  Thank you.
[01:52:09.000 --> 01:52:29.000]  Thank you.
[01:52:29.000 --> 01:52:39.000]  Thank you.
[01:52:59.000 --> 01:53:19.000]  Thank you.
[01:53:19.000 --> 01:53:39.000]  Thank you.
[01:53:39.000 --> 01:53:47.000]  Thank you.
[01:53:47.000 --> 01:54:03.000]  Thank you.
[01:54:03.000 --> 01:54:15.000]  Thank you.
[01:54:15.000 --> 01:54:31.000]  Thank you.
[01:54:31.000 --> 01:54:43.000]  Thank you.
[01:54:43.000 --> 01:55:11.000]  Thank you.
[01:55:11.000 --> 01:55:21.000]  Thank you.
[01:55:41.000 --> 01:56:01.000]  Thank you.
[01:56:01.000 --> 01:56:21.000]  Thank you.
[01:56:31.000 --> 01:56:59.000]  Thank you.
[01:56:59.000 --> 01:57:09.000]  Thank you.
[01:57:09.000 --> 01:57:19.000]  Thank you.
[01:57:19.000 --> 01:57:47.000]  Thank you.
[01:57:47.000 --> 01:57:57.000]  Thank you.
[01:58:17.000 --> 01:58:45.000]  Thank you.
[01:58:47.000 --> 01:58:57.000]  Thank you.
[01:59:17.000 --> 01:59:45.000]  Thank you.
[01:59:45.000 --> 01:59:55.000]  Thank you.
[02:00:15.000 --> 02:00:25.000]  Thank you.
[02:00:25.000 --> 02:00:35.000]  Thank you.
[02:00:35.000 --> 02:01:03.000]  Thank you.
[02:01:03.000 --> 02:01:31.000]  Thank you.
[02:01:31.000 --> 02:01:59.000]  Thank you.
[02:01:59.000 --> 02:02:09.000]  Thank you.
[02:02:09.000 --> 02:02:27.000]  Thank you.
[02:02:27.000 --> 02:02:37.000]  Thank you.
[02:02:57.000 --> 02:03:13.000]  Thank you.
[02:03:13.000 --> 02:03:21.000]  Thank you.
[02:03:21.000 --> 02:03:49.000]  Thank you.
[02:03:49.000 --> 02:04:17.000]  Thank you.
[02:04:17.000 --> 02:04:45.000]  Thank you.
[02:04:45.000 --> 02:04:55.000]  Thank you.
[02:05:15.000 --> 02:05:43.000]  Thank you.
[02:05:43.000 --> 02:05:53.000]  Thank you.
[02:06:13.000 --> 02:06:41.000]  Thank you.
[02:06:41.000 --> 02:07:09.000]  Thank you.
[02:07:09.000 --> 02:07:37.000]  Thank you.
[02:07:37.000 --> 02:08:05.000]  Thank you.
[02:08:05.000 --> 02:08:33.000]  Thank you.
[02:08:33.000 --> 02:09:01.000]  Thank you.
[02:09:01.000 --> 02:09:29.000]  Thank you.
[02:09:29.000 --> 02:09:57.000]  Thank you.
[02:09:57.000 --> 02:10:25.000]  Thank you.
[02:10:25.000 --> 02:10:53.000]  Thank you.
[02:10:53.000 --> 02:11:21.000]  Thank you.
[02:11:21.000 --> 02:11:49.000]  Thank you.
[02:11:49.000 --> 02:12:17.000]  Thank you.
[02:12:17.000 --> 02:12:45.000]  Thank you.
[02:12:45.000 --> 02:13:13.000]  Thank you.
[02:13:13.000 --> 02:13:41.000]  Thank you.
[02:13:41.000 --> 02:14:09.000]  Thank you.
[02:14:09.000 --> 02:14:37.000]  Thank you.
[02:14:37.000 --> 02:15:05.000]  Thank you.
[02:15:05.000 --> 02:15:33.000]  Thank you.
[02:15:33.000 --> 02:16:01.000]  Thank you.
[02:16:01.000 --> 02:16:25.000]  Thank you.
[02:16:25.000 --> 02:16:53.000]  Thank you.
[02:16:53.000 --> 02:17:21.000]  Thank you.
[02:17:21.000 --> 02:17:49.000]  Thank you.
[02:17:49.000 --> 02:18:17.000]  Thank you.
[02:18:17.000 --> 02:18:45.000]  Thank you.
[02:18:45.000 --> 02:19:13.000]  Thank you.
[02:19:13.000 --> 02:19:41.000]  Thank you.
[02:19:41.000 --> 02:20:07.000]  Thank you.
[02:20:07.000 --> 02:20:35.000]  Thank you.
[02:20:35.000 --> 02:21:03.000]  Thank you.
[02:21:03.000 --> 02:21:31.000]  Thank you.
[02:21:31.000 --> 02:21:59.000]  Thank you.
[02:21:59.000 --> 02:22:27.000]  Thank you.
[02:22:27.000 --> 02:22:55.000]  Thank you.
[02:22:55.000 --> 02:23:23.000]  Thank you.
[02:23:23.000 --> 02:23:51.000]  Thank you.
[02:23:51.000 --> 02:24:19.000]  Thank you.
[02:24:19.000 --> 02:24:47.000]  Thank you.
[02:24:47.000 --> 02:25:15.000]  Thank you.
[02:25:15.000 --> 02:25:43.000]  Thank you.
[02:25:43.000 --> 02:26:11.000]  Thank you.
[02:26:11.000 --> 02:26:39.000]  Thank you.
[02:26:39.000 --> 02:27:07.000]  Thank you.
[02:27:07.000 --> 02:27:35.000]  Thank you.
[02:27:35.000 --> 02:28:03.000]  Thank you.
[02:28:03.000 --> 02:28:31.000]  Thank you.
[02:28:31.000 --> 02:28:53.000]  Thank you.
[02:28:53.000 --> 02:29:21.000]  Thank you.
[02:29:21.000 --> 02:29:49.000]  Thank you.
[02:29:49.000 --> 02:30:17.000]  Thank you.
[02:30:17.000 --> 02:30:45.000]  Thank you.
[02:30:45.000 --> 02:31:13.000]  Thank you.
[02:31:13.000 --> 02:31:41.000]  Thank you.
[02:31:41.000 --> 02:32:09.000]  Thank you.
[02:32:09.000 --> 02:32:37.000]  Thank you.
[02:32:37.000 --> 02:33:03.000]  Thank you.
[02:33:07.000 --> 02:33:35.000]  Thank you.
[02:33:35.000 --> 02:34:03.000]  Thank you.
[02:34:03.000 --> 02:34:31.000]  Thank you.
[02:34:31.000 --> 02:34:59.000]  Thank you.
[02:34:59.000 --> 02:35:27.000]  Thank you.
[02:35:27.000 --> 02:35:55.000]  Thank you.
[02:35:55.000 --> 02:36:23.000]  Thank you.
[02:36:23.000 --> 02:36:51.000]  Thank you.
[02:36:51.000 --> 02:37:19.000]  Thank you.
[02:37:19.000 --> 02:37:47.000]  Thank you.
[02:37:47.000 --> 02:38:15.000]  Thank you.
[02:38:15.000 --> 02:38:43.000]  Thank you.
[02:38:43.000 --> 02:39:11.000]  Thank you.
[02:39:11.000 --> 02:39:39.000]  Thank you.
[02:39:39.000 --> 02:40:07.000]  Thank you.
[02:40:07.000 --> 02:40:35.000]  Thank you.
[02:40:35.000 --> 02:41:03.000]  Thank you.
[02:41:03.000 --> 02:41:31.000]  Thank you.
[02:41:31.000 --> 02:41:59.000]  Thank you.
[02:41:59.000 --> 02:42:27.000]  Thank you.
[02:42:27.000 --> 02:42:55.000]  Thank you.
[02:42:55.000 --> 02:43:23.000]  Thank you.
[02:43:23.000 --> 02:43:51.000]  Thank you.
[02:43:51.000 --> 02:44:19.000]  Thank you.
[02:44:19.000 --> 02:44:47.000]  Thank you.
[02:44:47.000 --> 02:45:15.000]  Thank you.
[02:45:15.000 --> 02:45:43.000]  Thank you.
[02:45:43.000 --> 02:46:11.000]  Thank you.
[02:46:11.000 --> 02:46:39.000]  Thank you.
[02:46:39.000 --> 02:47:07.000]  Thank you.
[02:47:07.000 --> 02:47:35.000]  Thank you.
[02:47:35.000 --> 02:48:03.000]  Thank you.
[02:48:03.000 --> 02:48:31.000]  Thank you.
[02:48:31.000 --> 02:48:59.000]  Thank you.
[02:48:59.000 --> 02:49:27.000]  Thank you.
[02:49:27.000 --> 02:49:55.000]  Thank you.
[02:49:55.000 --> 02:50:23.000]  Thank you.
[02:50:23.000 --> 02:50:51.000]  Thank you.
[02:50:51.000 --> 02:51:19.000]  Thank you.
[02:51:19.000 --> 02:51:47.000]  Thank you.
[02:51:47.000 --> 02:52:15.000]  Thank you.
[02:52:15.000 --> 02:52:43.000]  Thank you.
[02:52:43.000 --> 02:53:11.000]  Thank you.
[02:53:11.000 --> 02:53:39.000]  Thank you.
[02:53:39.000 --> 02:54:07.000]  Thank you.
[02:54:07.000 --> 02:54:35.000]  Thank you.
[02:54:35.000 --> 02:55:03.000]  Thank you.
[02:55:03.000 --> 02:55:31.000]  Thank you.
