[00:00.000 --> 00:18.000]  Crashing through the lies and disinformation it's Alex Jones on the GCN radio network
[41:12.000 --> 41:13.000]  that is cult brainwashing
[41:13.000 --> 41:14.000]  I'm gonna miss him too
[41:14.000 --> 41:17.000]  alright what do you think the biggest things are in this country that need to be changed
[41:17.000 --> 41:25.000]  one of the things that need to be changed basically to keep everything remained the same
[41:25.000 --> 41:28.000]  everything has to be remained the same
[41:28.000 --> 41:29.000]  do you think everything's good right now
[41:29.000 --> 41:32.000]  yes sir everything is awesome outstanding
[41:32.000 --> 41:34.000]  collapse going bankrupt economy falling apart
[41:34.000 --> 41:38.000]  I agree with Hillary Clinton 100% pure proof
[41:38.000 --> 41:39.000]  alright then
[41:39.000 --> 41:41.000]  pause it right there
[41:41.000 --> 41:44.000]  the next guy come over and accuse us of showing crazies
[41:44.000 --> 41:48.000]  he just stole the election from Sanders that's the cult accepting
[41:48.000 --> 41:50.000]  I mean we're just showing the facts
[41:53.000 --> 41:58.000]  Twitter executives won't say if they believe in freedom of speech
[41:58.000 --> 42:03.000]  after Breitbart tech editor Milo Yiannopoulos who was banned for life by Twitter
[42:03.000 --> 42:06.000]  confronted the progressive social media company executives
[42:06.000 --> 42:09.000]  a reporter at the RNC followed the two around
[42:09.000 --> 42:15.000]  repeatedly asked them to answer the question yes or no does the company believe in freedom of speech
[42:15.000 --> 42:20.000]  for more than eight minutes the Twitter executives who refuse to identify themselves would not answer
[42:20.000 --> 42:24.000]  whether they believe in that basic American principle of freedom of speech
[42:24.000 --> 42:28.000]  Representative Darrell Issa Republican of California
[42:28.000 --> 42:32.000]  the former chairman of the House Committee on Oversight and Government Reform
[42:32.000 --> 42:33.000]  answered the question for them
[42:33.000 --> 42:37.000]  they totally believe in freedom of speech as long as it's their speech
[42:37.000 --> 42:39.000]  Issa told Breitbart News
[42:39.000 --> 42:42.000]  I'm Ashley Beckford reporting for infowars.com
[42:42.000 --> 42:43.000]  watch the full video
[42:43.000 --> 43:08.000]  Twitter refuses to support freedomofspeech at infowars.com
[43:08.000 --> 43:14.000]  right now we're dealing with massive parasites which is anything that's harmful to your body
[43:14.000 --> 43:19.000]  that lives off a host mechanism right now with all the refugees spreading disease around
[43:19.000 --> 43:22.000]  we have biological warfare going on everywhere
[43:22.000 --> 43:23.000]  these are all parasites
[43:23.000 --> 43:26.000]  tell us about all the stuff I said there's so many things that are in it
[43:26.000 --> 43:27.000]  you have the neem in there
[43:27.000 --> 43:30.000]  you have the organic clove bud the organic wormwood
[43:30.000 --> 43:33.000]  I recommend doing a parasite cleanse at least twice a year
[43:33.000 --> 43:37.000]  all right well I'm glad we've got some back in because I'm going back on it today
[43:37.000 --> 43:39.000]  I came back in yesterday Living Defense
[43:39.000 --> 43:41.000]  infowarslife.com and folks you can't lose
[43:41.000 --> 43:43.000]  it's full of stuff that's great for your body period
[43:43.000 --> 43:45.000]  and you support the broadcast
[43:45.000 --> 43:47.000]  infowarslife.com
[43:47.000 --> 43:49.000]  thank you doctor group from the Global Healing Center
[43:49.000 --> 44:15.000]  thank you so much for all your work sir on this great product
[44:15.000 --> 44:19.000]  visit infowarsteam.com today become a member
[44:19.000 --> 44:23.000]  it discounts on the amazing products and free shipping when you sign up for auto-ship
[44:23.000 --> 44:27.000]  and you're able to promote the products to friends and family and neighbors in your community
[44:27.000 --> 44:30.000]  and make money while helping people at the same time
[44:30.000 --> 44:31.000]  another win-win
[44:31.000 --> 44:35.000]  that's why I'm a member of the young Jebedy team at infowarsteam.com
[44:35.000 --> 44:36.000]  and you can be too
[44:36.000 --> 44:39.000]  it's simple just go to infowarsteam.com today
[44:39.000 --> 44:41.000]  complete a short sign up and you're part of the team
[44:41.000 --> 44:44.000]  that's infowarsteam.com or infowarshealth.com
[44:44.000 --> 44:47.000]  so many people call into my radio show and tell me how young Jebedy
[44:47.000 --> 44:50.000]  and the products at infowarsteam.com have changed their lives
[44:50.000 --> 44:53.000]  check it out for yourself today
[44:53.000 --> 44:56.000]  if you ever wanted a great deal on a powerful solar generator
[44:56.000 --> 44:59.000]  but we're waiting for an outrageously low price
[44:59.000 --> 45:01.000]  you are not going to want to miss this important message
[45:01.000 --> 45:02.000]  here's why
[45:02.000 --> 45:05.000]  my friends we already see major power grid problems
[45:05.000 --> 45:06.000]  and it's getting worse
[45:06.000 --> 45:07.000]  so please listen
[45:07.000 --> 45:11.000]  solar generators really do provide life-saving electrical power
[45:11.000 --> 45:14.000]  and unlike gas generators, solar generators run silently
[45:14.000 --> 45:17.000]  emit no fumes or gases and produce electricity from the sun
[45:17.000 --> 45:21.000]  whether it's dangerous summer storms, blackouts, intensifying civil unrest
[45:21.000 --> 45:24.000]  you're not going to have to suffer through it like the rest of the sheep
[45:24.000 --> 45:27.000]  and here's the best news if you want to get one this week
[45:27.000 --> 45:31.000]  Solutions from Science has a big sale on their fast charge solar generators
[45:31.000 --> 45:35.000]  and they're giving away a couple thousand dollars worth of off-the-grid gear
[45:35.000 --> 45:38.000]  in addition to the low price for infowars listeners
[45:38.000 --> 45:40.000]  so it's a good time to check it out
[45:40.000 --> 45:43.000]  go to gridwars.com, that's gridwars.com
[45:43.000 --> 45:47.000]  it's a great opportunity to generate maximum electricity with minimum money
[45:47.000 --> 46:14.000]  go to gridwars.com, that's gridwars.com
[46:14.000 --> 46:20.000]  when a country, when a nation, when a people, when a planet start accepting tyranny
[46:20.000 --> 46:22.000]  the bottom falls out of the floor
[46:22.000 --> 46:25.000]  the bottom was pit
[46:25.000 --> 46:27.000]  and all that we're seeing is
[46:27.000 --> 46:30.000]  the public start to wake up, not trust the system
[46:30.000 --> 46:32.000]  and rediscover what made us great
[46:32.000 --> 46:35.000]  not globalism, not collectivism
[46:35.000 --> 46:38.000]  but I tell you, you go out and you see what the Democrats are doing
[46:38.000 --> 46:41.000]  you see BBC and CNN
[46:41.000 --> 46:44.000]  and others censoring the word Ali
[46:44.000 --> 46:47.000]  with the latest Islamic killer in Germany
[46:47.000 --> 46:50.000]  not the latest, I'm sorry, the shooting was Friday
[46:50.000 --> 46:52.000]  yesterday was a machete killing
[46:52.000 --> 46:55.000]  by an Afghan of a pregnant woman, I'm sorry
[46:55.000 --> 46:58.000]  and they at least admitted he was Afghan
[46:58.000 --> 47:00.000]  but now
[47:00.000 --> 47:04.000]  Dems censor white from red, white and blue
[47:04.000 --> 47:06.000]  you can actually see at the sports stadium
[47:06.000 --> 47:09.000]  where they were having this media event for the DNC in Philadelphia
[47:09.000 --> 47:11.000]  they covered it up and changed the color
[47:11.000 --> 47:14.000]  because you can't have a white section, a blue section and a red section
[47:14.000 --> 47:17.000]  and you think, well this is overreaching
[47:17.000 --> 47:20.000]  this is mental illness, they don't want to trigger stuff, that's crazy
[47:20.000 --> 47:23.000]  ban brown-hipper bags, mother and father
[47:23.000 --> 47:25.000]  ban all these terms
[47:25.000 --> 47:28.000]  no folks, they want to be able to just ban language whenever they want
[47:28.000 --> 47:30.000]  they're setting the precedent for that
[47:30.000 --> 47:33.000]  there's a full video up on infowars.com
[47:33.000 --> 47:35.000]  actually showing the blueprint of it
[47:35.000 --> 47:37.000]  in fact we can probably roll some of that
[47:37.000 --> 47:39.000]  and see how big is talking
[47:39.000 --> 47:40.000]  so TV viewers can see it
[47:40.000 --> 47:42.000]  infowars.com
[47:42.000 --> 47:44.000]  I'm 48 minutes into this broadcast
[47:44.000 --> 47:46.000]  and I haven't mentioned
[47:46.000 --> 47:49.000]  that we're going to be doing a
[47:49.000 --> 47:51.000]  20
[47:51.000 --> 47:54.000]  8-hour broadcast
[47:54.000 --> 47:58.000]  it used to be 24 but now we've expanded it to 28-hour live broadcast
[47:58.000 --> 48:00.000]  I'll be hosting for at least 10 hours
[48:00.000 --> 48:04.000]  special guests, our crew on the ground in Philadelphia and more
[48:04.000 --> 48:07.000]  this is going to be a special report
[48:07.000 --> 48:10.000]  while Hillary's being coordinated Wednesday through Thursday
[48:10.000 --> 48:12.000]  a lot of stations, a lot of affiliates
[48:12.000 --> 48:15.000]  a lot of UHF stations, VHF, cable, TV are picking it up
[48:15.000 --> 48:17.000]  a lot of our affiliates are
[48:17.000 --> 48:20.000]  but here's the issue
[48:20.000 --> 48:22.000]  I normally promote one of these
[48:22.000 --> 48:25.000]  once a year events that we usually do
[48:25.000 --> 48:27.000]  the middle of summer, end of summer
[48:27.000 --> 48:28.000]  months out
[48:28.000 --> 48:31.000]  I have been so incredibly busy
[48:31.000 --> 48:34.000]  battling the globalist, launching new projects
[48:37.000 --> 48:39.000]  and having such amazing success
[48:39.000 --> 48:41.000]  on every front, quite frankly
[48:41.000 --> 48:43.000]  that
[48:43.000 --> 48:46.000]  I've never even mentioned this now until today
[48:46.000 --> 48:48.000]  but the video where I promote it and more is
[48:48.000 --> 48:50.000]  at infowars.com
[48:50.000 --> 48:52.000]  we're announcing Operation Sleeping Giant
[48:52.000 --> 48:55.000]  infowars to launch special 24-hour broadcast
[48:55.000 --> 48:56.000]  I started thinking no
[48:56.000 --> 48:59.000]  because we go 24 hours from 11 a.m. to the next 11
[48:59.000 --> 49:01.000]  always to the next four hours anyways
[49:01.000 --> 49:03.000]  it was really a 28-hour broadcast
[49:03.000 --> 49:06.000]  and we'll also have some of the biggest sales in our history
[49:06.000 --> 49:09.000]  as part of a fundraiser during that
[49:09.000 --> 49:12.000]  special auctions of infowars gear
[49:15.000 --> 49:17.000]  and more so
[49:17.000 --> 49:21.000]  be sure and join us and spread that link to everyone you know
[49:21.000 --> 49:23.000]  because we're just three days out
[49:23.000 --> 49:26.000]  or less now from that being launched
[49:26.000 --> 49:29.000]  now joining us is Joe Biggs
[49:29.000 --> 49:31.000]  they've been there since yesterday
[49:31.000 --> 49:33.000]  they follow a lot of amazing reports
[49:33.000 --> 49:35.000]  Joe, when they openly admit
[49:35.000 --> 49:37.000]  it's not even a news item
[49:37.000 --> 49:39.000]  that oh, we're banning the color white
[49:39.000 --> 49:41.000]  it might be offensive
[49:41.000 --> 49:43.000]  that's discriminatory against the color white
[49:43.000 --> 49:45.000]  but it's like, if Scientology did something like that
[49:45.000 --> 49:47.000]  they'd call it a megacult
[49:47.000 --> 49:49.000]  I mean this is, or if Jim Jones did it
[49:49.000 --> 49:50.000]  you'd laugh at it
[49:50.000 --> 49:53.000]  I mean this is the most cultic, freakazoid weirdness
[49:53.000 --> 49:54.000]  I've ever heard
[49:54.000 --> 49:56.000]  it's not even a big deal Joe
[49:56.000 --> 49:58.000]  or they won't say Ali now
[49:58.000 --> 50:00.000]  or Muhammad when the jihadists killing people
[50:00.000 --> 50:01.000]  they say they're not Islamic
[50:01.000 --> 50:03.000]  they yell out Akbar but they're not Muslims
[50:03.000 --> 50:05.000]  and by the way their names, you know, Tom Jones
[50:05.000 --> 50:08.000]  I mean, we've now reached that level
[50:10.000 --> 50:12.000]  what do you think Joe?
[50:12.000 --> 50:14.000]  Roger that, Joe Biggs here with infowars.com
[50:14.000 --> 50:16.000]  in downtown Philadelphia
[50:16.000 --> 50:19.000]  where tomorrow the DNC will be kicking off
[50:19.000 --> 50:21.000]  and last night we had this opportunity
[50:21.000 --> 50:24.000]  to go into the DNC media party
[50:24.000 --> 50:27.000]  that happened at the Phillies baseball stadium
[50:27.000 --> 50:30.000]  and do Michael and Kit and I
[50:30.000 --> 50:33.000]  actually walked up into one of the top decks
[50:33.000 --> 50:35.000]  where it was actually breezy to cool off
[50:35.000 --> 50:37.000]  and a guy who worked there is a union worker
[50:37.000 --> 50:40.000]  he was a fan, ran over and started telling me about
[50:40.000 --> 50:42.000]  hey man, he was like, due to the backlash
[50:42.000 --> 50:45.000]  at the RNC how there was a red elevator
[50:45.000 --> 50:47.000]  a white elevator and a blue elevator
[50:47.000 --> 50:49.000]  the people were upset about the white elevator
[50:49.000 --> 50:51.000]  but the DNC wanted to go ahead and squash that
[50:51.000 --> 50:53.000]  before it was a concern
[50:53.000 --> 50:57.000]  and it's now the red, white and blue sections
[50:57.000 --> 51:00.000]  it is now the red, Ashburn and blue sections
[51:00.000 --> 51:03.000]  because we don't want to offend anybody else
[51:03.000 --> 51:05.000]  now what color is Ashburn?
[51:05.000 --> 51:07.000]  I have no idea
[51:07.000 --> 51:10.000]  maybe like a communist with yellow
[51:10.000 --> 51:13.000]  like I don't know a red and yellow mixture
[51:13.000 --> 51:15.000]  it's just there's a new level
[51:15.000 --> 51:17.000]  they're stealing all of our basic rights
[51:17.000 --> 51:19.000]  there's no idea of this for TV viewers
[51:19.000 --> 51:21.000]  they're stealing all of our rights
[51:21.000 --> 51:23.000]  and then meanwhile they're trying to
[51:23.000 --> 51:25.000]  number one, white people aren't white
[51:25.000 --> 51:27.000]  I mean some are but most of us look like pink geckos
[51:27.000 --> 51:29.000]  which quite frankly I like to be more tan
[51:29.000 --> 51:31.000]  so I guess I hate my whiteness
[51:31.000 --> 51:33.000]  but whatever, the point is
[51:33.000 --> 51:35.000]  I actually like tan people, I like dark people
[51:35.000 --> 51:37.000]  I'm so racist, excuse me
[51:37.000 --> 51:39.000]  I find it very exotic but that's because I'm a bad person
[51:39.000 --> 51:41.000]  I mean Joe at a certain point
[51:41.000 --> 51:43.000]  when you and I are out in the sun
[51:43.000 --> 51:45.000]  I mean we're red
[51:45.000 --> 51:47.000]  we're blue too
[51:47.000 --> 51:49.000]  and I guess once we die we turn blue
[51:49.000 --> 51:51.000]  so I guess we've got to be on the whole thing Joe
[51:51.000 --> 51:53.000]  well I think what they're going to do
[51:53.000 --> 51:55.000]  to go ahead and squash anyone's feelings from getting hurt
[51:55.000 --> 51:57.000]  at the actual DNC convention
[51:57.000 --> 51:59.000]  there's going to be a red section
[51:59.000 --> 52:01.000]  a triglyph section where they're going to have a large picture of her
[52:01.000 --> 52:03.000]  with blue hair
[52:03.000 --> 52:05.000]  and complete like a meme
[52:05.000 --> 52:07.000]  that's moving a gif of her shaking her arms
[52:07.000 --> 52:09.000]  and then a blue section as well
[52:09.000 --> 52:11.000]  to help make everyone a little bit more comfortable
[52:11.000 --> 52:13.000]  let me ask you a question
[52:13.000 --> 52:15.000]  how much interview is coming up
[52:15.000 --> 52:17.000]  he said he found a lot of people
[52:17.000 --> 52:19.000]  as bizarre and cult like
[52:19.000 --> 52:21.000]  as the guy we played earlier
[52:21.000 --> 52:23.000]  have you seen that video where he sounds like a muppet
[52:23.000 --> 52:25.000]  and saying I'm glad we stole the election from Bernie Sanders
[52:25.000 --> 52:27.000]  that's a good thing
[52:27.000 --> 52:29.000]  I haven't heard it yet
[52:29.000 --> 52:31.000]  he was telling me about it
[52:31.000 --> 52:33.000]  I was actually in another part of the march
[52:33.000 --> 52:35.000]  and I actually had an opportunity to speak to like one of the only
[52:35.000 --> 52:37.000]  very few Hillary supporters
[52:37.000 --> 52:39.000]  that are out here protesting
[52:39.000 --> 52:41.000]  there's very few like a handful
[52:41.000 --> 52:43.000]  of Sanders supporters marching up and down the road
[52:43.000 --> 52:45.000]  but I encountered
[52:45.000 --> 52:47.000]  Black Lives Matter today
[52:47.000 --> 52:49.000]  which is in Philly
[52:49.000 --> 52:51.000]  it looks to be about 80% white
[52:51.000 --> 52:53.000]  and I really got into a conversation
[52:53.000 --> 52:55.000]  and triggered this one white guy
[52:55.000 --> 52:57.000]  to a point where he looked like Hillary Clinton's
[52:57.000 --> 52:59.000]  seizure going
[52:59.000 --> 53:01.000]  when I called him out on something with some facts
[53:01.000 --> 53:03.000]  that's what's crazy is
[53:03.000 --> 53:05.000]  we would be in Pittsburgh
[53:05.000 --> 53:07.000]  and if they saw a Trump shirt
[53:07.000 --> 53:09.000]  they would actually start going
[53:09.000 --> 53:11.000]  where are these people from Joe?
[53:13.000 --> 53:15.000]  they're mother's basements
[53:15.000 --> 53:17.000]  most of them are still residing there
[53:17.000 --> 53:19.000]  and they probably will retire in their mother's basements
[53:19.000 --> 53:21.000]  with those Cheeto stained fingers
[53:21.000 --> 53:23.000]  and look of defeat and disgust
[53:23.000 --> 53:25.000]  what's the overall flavor though
[53:25.000 --> 53:27.000]  how would you describe the spirit
[53:27.000 --> 53:29.000]  of Philadelphia versus that of Pittsburgh
[53:29.000 --> 53:31.000]  versus that
[53:31.000 --> 53:33.000]  of Cleveland
[53:33.000 --> 53:35.000]  well inside of the convention center areas
[53:35.000 --> 53:37.000]  you're going to have more of the delegates
[53:37.000 --> 53:39.000]  who've rolled over
[53:39.000 --> 53:41.000]  and they're more pro-Hillary
[53:41.000 --> 53:43.000]  now in the streets you're going to have
[53:43.000 --> 53:45.000]  thousands, tens of thousands
[53:45.000 --> 53:47.000]  of these Bernie Sanders people
[53:47.000 --> 53:49.000]  who are hoping that Bernie will maybe
[53:49.000 --> 53:51.000]  pull back that
[53:51.000 --> 53:53.000]  endorsement of Hillary
[53:53.000 --> 53:55.000]  and then hopefully step in in some way
[53:55.000 --> 53:57.000]  and take this convention for themselves
[53:57.000 --> 53:59.000]  because we already know due to the DNC leaks today
[53:59.000 --> 54:01.000]  that Debbie Wasserman Schultz
[54:01.000 --> 54:03.000]  will be stepping down at the end of the
[54:03.000 --> 54:05.000]  the convention
[54:05.000 --> 54:07.000]  and also be speaking
[54:07.000 --> 54:09.000]  tomorrow to a lot of the delegates
[54:09.000 --> 54:11.000]  for about three to five minutes
[54:11.000 --> 54:13.000]  so based on how that goes
[54:13.000 --> 54:15.000]  I think there's going to be a lot of animosity
[54:15.000 --> 54:17.000]  I agree and that's the $64 trillion question
[54:17.000 --> 54:19.000]  everybody's asking
[54:19.000 --> 54:21.000]  will the Sanders people, they're like 90%
[54:21.000 --> 54:23.000]  I mean Hillary didn't have any votes
[54:23.000 --> 54:25.000]  he'd have 50,000, she'd have 500
[54:25.000 --> 54:27.000]  I mean literally, she'd have 1,000, you'd have 20,000
[54:27.000 --> 54:29.000]  it's total fraud, they admit they stole it
[54:29.000 --> 54:31.000]  will these people like cult members
[54:31.000 --> 54:33.000]  march into the modern political gas chambers
[54:33.000 --> 54:35.000]  and open elections
[54:35.000 --> 54:37.000]  murdered in front of everybody's eyes Joe
[54:37.000 --> 54:39.000]  I know those reports are coming tonight
[54:39.000 --> 54:41.000]  what percentage of them
[54:41.000 --> 54:43.000]  said that they'd be going along with this
[54:43.000 --> 54:45.000]  when you talk to them
[54:45.000 --> 54:47.000]  Most of the people are pretty angry
[54:47.000 --> 54:49.000]  but if you look at this press pass
[54:49.000 --> 54:51.000]  it actually has Debbie Wasserman Schultz's name on it
[54:51.000 --> 54:53.000]  instead of like Cleveland or how we had
[54:53.000 --> 54:55.000]  30 badges, we only get one here
[54:55.000 --> 54:57.000]  but it's got her name on it and as you can see
[54:57.000 --> 54:59.000]  we're going to have to get a black magic marker
[54:59.000 --> 55:01.000]  and take that off
[55:01.000 --> 55:03.000]  if you can get in there now
[55:03.000 --> 55:05.000]  we'll talk to you like 30 minutes during the Stoner Review
[55:05.000 --> 55:07.000]  I'd love to be inside the nest
[55:07.000 --> 55:09.000]  please continue Joe
[55:09.000 --> 55:11.000]  Oh yeah, there's nothing going on in there right now
[55:11.000 --> 55:13.000]  there's not going to be anything happening until tomorrow
[55:13.000 --> 55:15.000]  there was just a couple parties last night
[55:15.000 --> 55:17.000]  but we had an opportunity
[55:17.000 --> 55:19.000]  to speak to a lot of the protestors
[55:19.000 --> 55:21.000]  who were hoping that Bernie's going to break away
[55:21.000 --> 55:23.000]  into a third party
[55:23.000 --> 55:25.000]  and hopefully run on his own and do something like that
[55:25.000 --> 55:27.000]  because they have enough people
[55:27.000 --> 55:29.000]  that are Bernieites
[55:29.000 --> 55:31.000]  and they're going to jump up and seal this election
[55:31.000 --> 55:33.000]  from Hillary Clinton
[55:33.000 --> 55:35.000]  inside this media center that we were at last night
[55:35.000 --> 55:37.000]  you've got a lot of hardcore Hillary fans
[55:37.000 --> 55:39.000]  that are in there and I was wearing a
[55:39.000 --> 55:41.000]  pretty
[55:41.000 --> 55:43.000]  provocative t-shirt
[55:43.000 --> 55:45.000]  the hitlery t-shirt that we're going to be
[55:45.000 --> 55:47.000]  getting pretty soon
[55:47.000 --> 55:49.000]  and it was very interesting to see people look at me
[55:49.000 --> 55:51.000]  and discuss and go why would you wear something like that
[55:51.000 --> 55:53.000]  what has she ever done
[55:53.000 --> 55:55.000]  and I'm like wow how long do you have
[55:55.000 --> 55:57.000]  she's done so much
[55:57.000 --> 55:59.000]  for her today
[55:59.000 --> 56:01.000]  he's like all Trump does is lie
[56:01.000 --> 56:03.000]  all he does is lie about everything
[56:03.000 --> 56:05.000]  Hillary is the only proven person
[56:05.000 --> 56:07.000]  I'm like yes she's the only proven criminal
[56:07.000 --> 56:09.000]  Trump is a wild card
[56:09.000 --> 56:11.000]  we have nothing on him
[56:11.000 --> 56:13.000]  that's why the only thing they can ever use is
[56:13.000 --> 56:15.000]  racist, sexist, xenophobic, homophobic, Islamophobic
[56:15.000 --> 56:17.000]  blah blah blah blah
[56:17.000 --> 56:19.000]  meanwhile Trump is the one who invited Caitlyn Jenner
[56:19.000 --> 56:21.000]  and said you could pee in my bathroom
[56:21.000 --> 56:23.000]  I don't care but for some reason he's against
[56:23.000 --> 56:25.000]  LGTBQ whatever it is now
[56:25.000 --> 56:27.000]  that's part of the incredible brainwashing
[56:27.000 --> 56:29.000]  stay there back in 70 seconds
[56:29.000 --> 56:31.000]  for the second hour for 5 more minutes with Joe Biggs
[56:31.000 --> 56:33.000]  then Roger Stone
[56:33.000 --> 56:35.000]  the consummate Trump insider
[56:35.000 --> 56:37.000]  gives us the breakdown of the next level of the fight
[56:37.000 --> 56:39.000]  that will restore the republic
[56:39.000 --> 56:41.000]  and make America great again
[56:41.000 --> 57:07.000]  please listen carefully
[57:07.000 --> 57:09.000]  we're giving you free shipping
[57:09.000 --> 57:11.000]  on all orders above $50
[57:11.000 --> 57:13.000]  listeners have been requesting this for years
[57:13.000 --> 57:15.000]  because it's so easy to forget
[57:15.000 --> 57:17.000]  to reorder the products that you need each month
[57:17.000 --> 57:19.000]  just go to info wars store.com
[57:19.000 --> 57:21.000]  select your favorite product or products
[57:21.000 --> 57:23.000]  click on auto ship and choose how often
[57:23.000 --> 57:25.000]  you want us to send you another order
[57:25.000 --> 57:27.000]  as you know I coined the term
[57:27.000 --> 57:29.000]  360 win and with the new auto ship
[57:29.000 --> 57:31.000]  feature at infowarslife.com
[57:31.000 --> 57:33.000]  this is a sure win 10% off on auto ship
[57:33.000 --> 57:35.000]  win win win at infowarslife.com
[57:35.000 --> 57:37.000]  free shipping on orders above 50 bucks
[57:37.000 --> 57:39.000]  and all out of stock items
[57:39.000 --> 57:41.000]  are never out of stock when you sign up for auto ship
[57:43.000 --> 57:45.000]  introducing vitamin mineral fusion
[57:45.000 --> 57:47.000]  from infowarslife.com
[57:47.000 --> 57:49.000]  we have worked for years with our chemist
[57:49.000 --> 57:51.000]  and scientist to create the most powerful
[57:51.000 --> 57:53.000]  and affordable great tasting
[57:53.000 --> 57:55.000]  multivitamin formula available
[57:55.000 --> 57:57.000]  the all new vitamin mineral fusion drink mix
[57:57.000 --> 57:59.000]  at infowarslife.com
[57:59.000 --> 58:01.000]  is loaded with a full month supply
[58:01.000 --> 58:03.000]  of essential vitamins, minerals
[58:03.000 --> 58:05.000]  and amino acids that your body absolutely needs
[58:05.000 --> 58:07.000]  in the history of infowarslife
[58:07.000 --> 58:09.000]  we've brought out a lot of amazing products
[58:09.000 --> 58:11.000]  like survival shield x2
[58:11.000 --> 58:13.000]  super metal vitality and so many others
[58:13.000 --> 58:15.000]  but I am most proud
[58:15.000 --> 58:17.000]  of the product we're now launching today
[58:17.000 --> 58:19.000]  with its unique delivery system
[58:19.000 --> 58:21.000]  and proprietary manufacturing process
[58:21.000 --> 58:23.000]  designed for maximized effects
[58:23.000 --> 58:25.000]  this formula is the platinum standard
[58:25.000 --> 58:27.000]  of multivitamin mineral products
[58:27.000 --> 58:29.000]  the ingredients in vitamin mineral fusion
[58:29.000 --> 58:31.000]  are either plant derived
[58:31.000 --> 58:33.000]  or of the highest quality lab
[58:33.000 --> 58:35.000]  standard
[58:35.000 --> 58:37.000]  that means it's clean
[58:37.000 --> 58:39.000]  that means it's pure
[58:39.000 --> 58:41.000]  that's infowarslife.com
[58:41.000 --> 58:43.000]  and vitamin mineral fusion
[58:43.000 --> 59:05.000]  you're listening to the Alex Jones show
[59:05.000 --> 59:13.000]  we are reclaiming the mantle of americana
[59:13.000 --> 59:15.000]  we are defending the republic
[59:15.000 --> 59:17.000]  we are rekindling the spirit of 1776
[59:17.000 --> 59:19.000]  New York Times publishes
[59:19.000 --> 59:21.000]  t-shirts from the RNC
[59:21.000 --> 59:23.000]  and leaves out Hillary for president t-shirt
[59:23.000 --> 59:25.000]  and they wonder why they're dying
[59:25.000 --> 59:27.000]  that's my tweet at realalexjones
[59:27.000 --> 59:29.000]  by the way, that shirt is still available
[59:29.000 --> 59:31.000]  it's the third edition
[59:31.000 --> 59:33.000]  it's about to sell out, we'll have a fourth edition
[59:33.000 --> 59:35.000]  you fire musket butt
[59:35.000 --> 59:37.000]  I'll run you through
[59:37.000 --> 59:39.000]  when you're waiting for the next attack
[59:39.000 --> 59:41.000]  you better stand
[59:41.000 --> 59:43.000]  there's no turning back
[59:43.000 --> 59:45.000]  the bugle sounds the charge begins
[59:45.000 --> 59:47.000]  yes, we're never backing down
[59:47.000 --> 59:49.000]  never giving in
[59:49.000 --> 59:51.000]  never giving up
[59:51.000 --> 59:53.000]  our enemies have fear in their eyes
[59:53.000 --> 59:55.000]  the old spirit they fear
[59:55.000 --> 59:57.000]  is rising
[59:57.000 --> 59:59.000]  they know that spirit well
[59:59.000 --> 01:00:01.000]  now
[01:00:01.000 --> 01:00:03.000]  we are now carrying the bill clinton rape shirt
[01:00:03.000 --> 01:00:05.000]  as well
[01:00:05.000 --> 01:00:07.000]  people producing it, printing it
[01:00:07.000 --> 01:00:09.000]  in fullwarstore.com
[01:00:09.000 --> 01:00:11.000]  triggered, sink
[01:00:11.000 --> 01:00:13.000]  young poopy pant, turdly or whatever his name is
[01:00:13.000 --> 01:00:15.000]  that shirt is available exclusively
[01:00:15.000 --> 01:00:17.000]  at infowarstore.com
[01:00:17.000 --> 01:00:19.000]  oh yeah, I'm going to get in their face
[01:00:19.000 --> 01:00:21.000]  why not go all the way
[01:00:21.000 --> 01:00:23.000]  Joe Biggs, getting back to
[01:00:23.000 --> 01:00:25.000]  final thoughts here my friend
[01:00:25.000 --> 01:00:27.000]  I'm going to get you on a bunch throughout the week
[01:00:27.000 --> 01:00:29.000]  the whole crew that's there covering things
[01:00:29.000 --> 01:00:31.000]  how epic was cleveland though
[01:00:31.000 --> 01:00:33.000]  I mean the airplanes in the sky and we've got airplanes there
[01:00:33.000 --> 01:00:35.000]  saying hollory for prison
[01:00:35.000 --> 01:00:37.000]  but cleveland was so epic
[01:00:37.000 --> 01:00:39.000]  contrast the two places together
[01:00:41.000 --> 01:00:43.000]  well the weather in cleveland was a lot better
[01:00:43.000 --> 01:00:45.000]  for one this is the hottest
[01:00:45.000 --> 01:00:47.000]  and it's like muggiest place
[01:00:47.000 --> 01:00:49.000]  I've been to in years
[01:00:49.000 --> 01:00:51.000]  they were bitching on fox this morning that's like hell
[01:00:51.000 --> 01:00:53.000]  they say it's so humid and no the AC
[01:00:53.000 --> 01:00:55.000]  had working
[01:00:55.000 --> 01:00:57.000]  you walk one block alex and you're completely
[01:00:57.000 --> 01:00:59.000]  drenched
[01:00:59.000 --> 01:01:01.000]  it is miserable but it is what it is
[01:01:01.000 --> 01:01:03.000]  we're going to be out here doing what we do
[01:01:03.000 --> 01:01:05.000]  kicking ass like we did in cleveland
[01:01:05.000 --> 01:01:07.000]  like you said cleveland was epic
[01:01:07.000 --> 01:01:09.000]  we got amazing interviews
[01:01:09.000 --> 01:01:11.000]  we got in on key
