[00:00:02.859 --> 00:00:04.521]  Joe Biggs with Infowars.com.
[00:42:59.341 --> 00:43:01.943]  He wants to restrict my guns, I'm against it.
[00:43:01.943 --> 00:43:03.684]  He wants global government, I'm against it.
[00:43:03.684 --> 00:43:07.106]  He funds the Ferguson kill the police protest, I'm against it.
[00:43:09.284 --> 00:43:12.487]  He wants to overthrow Ukraine, start a war with Russia and Georgia?
[00:43:12.487 --> 00:43:13.427]  I'm against it.
[00:43:13.427 --> 00:43:14.128]  Real simple.
[00:43:14.128 --> 00:43:19.012]  Then I can go into each one of those topics and then show you, with the evidence, why it's bad.
[00:43:19.012 --> 00:43:21.334]  That guy's a villain.
[00:43:21.334 --> 00:43:23.696]  That guy is trying to mess with us, on record.
[00:43:26.584 --> 00:43:31.387]  That guy is a living fossil Nazi collaborator who's proud of it.
[00:43:31.387 --> 00:43:34.890]  And he's given so much money to the ADL, they love him and give him awards.
[00:43:34.890 --> 00:43:38.052]  Hey ADL, why don't you give Hitler an award posthumously?
[00:43:38.052 --> 00:43:39.032]  I'm not joking!
[00:43:39.032 --> 00:43:45.317]  If you're gonna give George Soros one, then give Adolf Alois Hitler of Austria an award!
[00:43:45.317 --> 00:43:49.760]  You're a joke!
[00:43:49.760 --> 00:43:51.101]  Excuse me, I'm getting a little upset now.
[00:43:52.037 --> 00:43:54.839]  Soros admits responsibility for coup and mass murder in Ukraine.
[00:43:54.839 --> 00:43:56.040]  Infowars.com.
[00:43:56.040 --> 00:44:03.606]  You can scroll down, read the transcript, link through to the video to CNN and Farid Zarkaria.
[00:44:03.606 --> 00:44:05.488]  Anyways, I'm done ranting about that.
[00:44:05.488 --> 00:44:07.770]  Just get the word out about our broadcast.
[00:44:07.770 --> 00:44:11.073]  Google has already started delisting us and others.
[00:44:11.073 --> 00:44:13.555]  They've already tried to put out alerts that Drudge has viruses.
[00:44:13.555 --> 00:44:17.218]  It's totally made up and proven that way five, six different times over the last decade.
[00:44:19.713 --> 00:44:27.635]  is now announcing they're going to start certifying that libertarian conservative media is not credible and only send you to George Soros media that Media Matters certifies.
[00:44:27.635 --> 00:44:29.515]  You cannot make it up.
[00:44:29.515 --> 00:44:32.716]  That's who's advising this group at Google.
[00:44:32.716 --> 00:44:33.416]  Okay?
[00:44:33.416 --> 00:44:35.196]  That's a new scientist.
[00:44:35.196 --> 00:44:38.217]  So understand that we can beat them.
[00:44:38.217 --> 00:44:43.498]  People power, HUMET, human intelligence, you telling friends and family about the broadcast,
[00:44:44.378 --> 00:44:48.221]  You appreciating the fact that we're under attack because we represent you.
[00:44:48.221 --> 00:44:49.561]  We're fighting for freedom.
[00:44:49.561 --> 00:44:56.205]  Property rights, family rights, gun rights, religious rights, sovereignty, common sense, local government.
[00:44:56.205 --> 00:44:57.106]  I'm getting chills.
[00:44:57.106 --> 00:44:58.167]  Everything we love.
[00:44:58.167 --> 00:44:59.187]  Everything we stand for.
[00:44:59.187 --> 00:45:00.168]  We're committed.
[00:45:00.168 --> 00:45:01.489]  We recognize the attack.
[00:45:01.489 --> 00:45:03.830]  We're rallying patriots worldwide.
[00:45:03.830 --> 00:45:05.531]  We're standing up for justice.
[00:45:05.531 --> 00:45:08.233]  Promoting the good America that the world loved.
[00:45:09.977 --> 00:45:11.218]  And they hate us.
[00:45:11.218 --> 00:45:13.761]  So we need your support now more than ever.
[00:45:13.761 --> 00:45:15.562]  And I don't say that in a whining way.
[00:45:15.562 --> 00:45:20.627]  I'm going full in against the enemy with a big fat smile on my face, loving it.
[00:45:20.627 --> 00:45:24.590]  I'm just saying, it's a bad analogy, but it's a true analogy.
[00:45:24.590 --> 00:45:32.838]  Because if you use the first Tron, it's an excellent movie, when the main computer empowers its attack dog and goes, all my systems are yours.
[00:45:32.838 --> 00:45:33.879]  And he grows to be like 500 feet tall.
[00:45:35.330 --> 00:45:37.471]  You could do that for us right now, folks.
[00:45:37.471 --> 00:45:42.712]  You turn your systems, your prayers, your financial support, spreadin' the word.
[00:45:42.712 --> 00:45:46.233]  Literally, InfoWars will grow up to that size.
[00:45:46.233 --> 00:45:51.134]  And it'll be dangerous, because then the enemy will fire everything they got at us, which is what I want!
[00:45:51.134 --> 00:45:53.935]  I don't have a death wish, but I have a wish to be real and go 110%.
[00:45:56.007 --> 00:46:05.915]  And then if they destroy me and my operation, that example of us being blown sky high like the Alamo, we'll live forever and we'll inspire victory!
[00:46:05.915 --> 00:46:07.556]  Ha ha ha ha ha!
[00:46:07.556 --> 00:46:08.737]  I can feel it!
[00:46:08.737 --> 00:46:12.700]  I know destiny is in our hands!
[00:46:12.700 --> 00:46:15.703]  So you gotta go ramming speed, to use another movie analogy.
[00:46:16.542 --> 00:46:17.462]  Ben-Hur.
[00:46:17.462 --> 00:46:20.163]  You gotta go in 110%.
[00:46:20.163 --> 00:46:21.503]  Fortune favors the bold.
[00:46:21.503 --> 00:46:23.564]  Our fortune is freedom and not being slaves.
[00:46:23.564 --> 00:46:26.625]  And I will fight to the death for freedom.
[00:46:26.625 --> 00:46:28.425]  I will never compromise.
[00:46:28.425 --> 00:46:29.966]  I will never waver.
[00:46:29.966 --> 00:46:31.526]  I will never back down.
[00:46:31.526 --> 00:46:33.827]  I'm 110% in.
[00:46:33.827 --> 00:46:37.808]  We will beat these people if you simply get that spirit.
[00:46:37.808 --> 00:46:38.528]  I'm not gonna belabor this.
[00:46:38.528 --> 00:46:41.449]  I gotta get into the Netanyahu analysis ahead of the free speech attack that's coming up.
[00:46:42.577 --> 00:46:44.459]  I'm going to simplify it and boil it down as best I can.
[00:46:44.459 --> 00:46:48.982]  There's just so many components that go into my analysis that's dead on.
[00:46:48.982 --> 00:46:58.549]  But before we go any further, I told you we sell a lot of super male vitality because the word's spreading about how it's concentrated, cold-pressed, known herbs and extracts that just supercharge your glands and your body.
[00:46:58.549 --> 00:46:59.550]  You've heard the right reviews.
[00:46:59.550 --> 00:47:00.071]  It's sold out.
[00:47:00.071 --> 00:47:01.852]  We won't get any more for two to four weeks.
[00:47:01.852 --> 00:47:04.434]  The female, we're not getting more for six weeks.
[00:47:04.434 --> 00:47:07.396]  That's how long it takes once a new order gets in.
[00:47:07.396 --> 00:47:10.379]  We had a new order for male in three weeks ago, so it'll take a few more weeks to get it.
[00:47:11.266 --> 00:47:15.070]  Female could be in, in fact the shortest is five to six weeks.
[00:47:15.070 --> 00:47:19.094]  There's only a very limited supply left of the super female vitality.
[00:47:20.828 --> 00:47:22.750]  And we're doing 30% off.
[00:47:22.750 --> 00:47:23.971]  Most people will jack up the price.
[00:47:23.971 --> 00:47:29.896]  30% off the already discounted price right now for Super Female Vitality because I want you to try it.
[00:47:29.896 --> 00:47:35.862]  I want you to see that we're not playing games about this stuff and what God's creations can do for you.
[00:47:35.862 --> 00:47:37.663]  So, infowarslife.com or 888-253-3139.
[00:47:37.663 --> 00:47:37.704]  888-253-3139.
[00:47:45.731 --> 00:47:47.272]  That's InfoWarsLife.com.
[00:47:47.272 --> 00:47:53.196]  We also are going to end up selling out of the Ancient Defense Herbal Immunity Booster.
[00:47:53.196 --> 00:47:54.317]  Ancient Defense.
[00:47:54.317 --> 00:47:59.040]  You get a free bottle of that with two bottles of Survival Shield Superdense Iodine X2.
[00:47:59.040 --> 00:48:00.621]  That is selling out right now.
[00:48:00.621 --> 00:48:06.225]  We've got seven days left in that sale and that's how long we estimate it will take to sell out at current rates.
[00:48:06.225 --> 00:48:07.786]  So InfoWarsLife.com or 888-253-3139.
[00:48:07.786 --> 00:48:08.927]  Now let me settle down for a minute.
[00:48:12.961 --> 00:48:15.482]  Cause I started talking about how they're trying to censor us and how we're fighting.
[00:48:15.482 --> 00:48:21.125]  Cause despite the fact they're attacking us and trying to censor us, we're still rising.
[00:48:21.125 --> 00:48:28.669]  And the enemy's just throwing more hooks into us, trying to hold us down like lillipollies and it's not working.
[00:48:28.669 --> 00:48:30.389]  Go back to those timid souls.
[00:48:30.389 --> 00:48:32.771]  Crouch down and lick the hand that feeds you.
[00:48:32.771 --> 00:48:36.512]  As for me, give me liberty or give me death.
[00:48:36.512 --> 00:48:37.473]  Man, that feels good.
[00:48:40.373 --> 00:48:43.856]  To not live in fear, to know who the enemy is, to be clear.
[00:48:43.856 --> 00:48:47.659]  All right, let's stop.
[00:48:47.659 --> 00:48:49.120]  All right, let me just do this as simply as I can.
[00:48:49.120 --> 00:48:51.723]  I spend a lot of time getting into background, getting into analysis.
[00:48:51.723 --> 00:49:00.150]  We should probably take that whole 10-minute break now that I did earlier when we put a YouTube out and sandwich it in to this whole clip that I'm about to get into what's happening with Israel.
[00:49:00.150 --> 00:49:03.753]  We will skip this network break because I need time to cover this and it's so important.
[00:49:07.640 --> 00:49:13.984]  There are different power structures, different special interests involved in the world.
[00:49:13.984 --> 00:49:20.767]  Why is the gun lobby one of the only true conservative libertarian lobbies that has any power in this country and can defeat the will of the globalists?
[00:49:20.767 --> 00:49:24.950]  Because people understand that they're being disarmed to be slaves.
[00:49:24.950 --> 00:49:26.270]  And they won't back down on it.
[00:49:26.270 --> 00:49:28.752]  They get politically involved and they give money.
[00:49:28.752 --> 00:49:30.633]  And they give time and energy to the Second Amendment.
[00:49:30.633 --> 00:49:32.334]  They put bumper stickers on their cars.
[00:49:32.334 --> 00:49:34.055]  They teach their friends and neighbors how to shoot.
[00:49:34.055 --> 00:49:36.236]  So we're winning the fight for self-defense.
[00:49:37.585 --> 00:49:40.125]  There's the gun lobby in the U.S.
[00:49:40.125 --> 00:49:42.186]  There's the big banking cartel lobby.
[00:49:42.186 --> 00:49:45.206]  There's the big pharma lobby.
[00:49:45.206 --> 00:49:55.088]  So there's the gun lobby, the big banking lobby, pharma lobby, insurance lobby, defense lobby, and the Israel lobby.
[00:49:55.088 --> 00:50:02.190]  So you can say there's six big lobbies, but really there's five, because big pharma and the whole healthcare lobby is pretty much the same group.
[00:50:02.190 --> 00:50:04.370]  So five or six lobbies, depending on how you break it down.
[00:50:05.819 --> 00:50:22.123]  The Israel lobby is one of the most powerful because it's got about, let's be conservative, 10,000 times the funding of the Scientologists and will come after you if you mess with any Israeli interest.
[00:50:22.123 --> 00:50:25.783]  I'm not comparing Israel to Scientologists, that's another big lobby.
[00:50:25.783 --> 00:50:30.645]  It's probably 20 down, but it's tiny, but people fear it.
[00:50:30.645 --> 00:50:31.925]  So Israel, of those
[00:50:33.470 --> 00:50:41.132]  Five lobbies is probably the weakest lobby when it comes to money, but it's got its operatives in the other lobbies.
[00:50:41.132 --> 00:50:43.973]  So you could argue it's the most powerful lobby.
[00:50:43.973 --> 00:50:46.974]  But there's infighting between these different lobbies.
[00:50:46.974 --> 00:50:48.575]  There's infighting in Israel.
[00:50:48.575 --> 00:50:50.195]  Israel's not unified.
[00:50:50.195 --> 00:50:54.957]  You got a bunch of people in Israel that are sick of the Likudniks, sick of Benjamin Netanyahu.
[00:50:54.957 --> 00:50:57.477]  There's been all these assassinations, the rest of it.
[00:50:57.477 --> 00:50:58.858]  Israel has its own problems.
[00:51:00.877 --> 00:51:05.400]  And so you've got Netanyahu, who's set for an election coming up.
[00:51:05.400 --> 00:51:07.701]  He's neck and neck in the polls.
[00:51:07.701 --> 00:51:12.824]  He needs this to grandstand and say, Israel's future is on the line.
[00:51:12.824 --> 00:51:15.225]  You've got to commit behind me or it's all over.
[00:51:15.225 --> 00:51:28.152]  And he could use this big speech in Congress tomorrow to legitimize an Iranian strike by Israel and Saudi Arabia, which they've both been openly saying that they will work together on.
[00:51:29.226 --> 00:51:33.207]  So this may be Netanyahu selling a Iran strike.
[00:51:33.207 --> 00:51:36.168]  That's a whole other kettle of fish that could lead to World War III.
[00:51:36.168 --> 00:51:38.468]  We'll break down in a moment.
[00:51:38.468 --> 00:51:40.249]  And again, I'm not for it or against it.
[00:51:40.249 --> 00:51:42.729]  I'm being a political atheist just giving you the pieces right now.
[00:51:42.729 --> 00:51:44.850]  You can make your decision.
[00:51:44.850 --> 00:51:49.711]  We report you decide to steal the Fox Maxim.
[00:51:49.711 --> 00:51:52.312]  So Netanyahu's got selfish reasons for what he's doing.
[00:51:52.312 --> 00:51:53.872]  He's being attacked at home.
[00:51:53.872 --> 00:51:54.713]  Now enter Obama.
[00:51:54.713 --> 00:51:55.533]  What's Obama doing?
[00:51:55.533 --> 00:51:56.193]  The left
[00:51:57.805 --> 00:52:01.466]  All they've got is race baiting and class warfare.
[00:52:01.466 --> 00:52:03.266]  They're part of the globalist operation.
[00:52:03.266 --> 00:52:08.528]  The Democrats totally work for the big interests, special interests, other than the Second Amendment.
[00:52:08.528 --> 00:52:11.168]  That's the only interest they don't control and they hate it.
[00:52:11.168 --> 00:52:18.830]  That's the only thing we put energy in to have an interest, to have a grassroots interest, to have a special interest that represents the general public.
[00:52:18.830 --> 00:52:22.291]  So you've got these other lobbies fighting with each other, power grabbing.
[00:52:23.889 --> 00:52:29.811]  And the Arabs have probably more money than the Israel lobby at this point, at some levels.
[00:52:29.811 --> 00:52:32.451]  And so the Saudi Arabians and others are pouring money in.
[00:52:32.451 --> 00:52:33.772]  They're also allied with Israel.
[00:52:33.772 --> 00:52:37.333]  So there's a little bit of schizophrenia here.
[00:52:37.333 --> 00:52:43.915]  And there's juxtaposing balancing acts going on in this whole cloak and dagger situation.
[00:52:43.915 --> 00:52:45.215]  So you've got some of the pieces there.
[00:52:49.989 --> 00:53:08.638]  Obama wanted left cover to be able to expand a fake globalist Google-run Arab Spring to take over the Middle East, North Africa, and actually put radicals in for Saudi Arabia and Israel to destabilize the entire region and keep it in the Stone Age.
[00:53:08.638 --> 00:53:11.559]  Bring down industrialized sectors like Egypt and Libya.
[00:53:11.559 --> 00:53:14.641]  They've done that, but it backfired.
[00:53:14.641 --> 00:53:16.461]  Egypt and others withstood it.
[00:53:16.461 --> 00:53:17.462]  Syria withstood it.
[00:53:20.094 --> 00:53:23.676]  They're calling Libya a huge failure, saying Al-Qaeda is murdering thousands of minds.
[00:53:23.676 --> 00:53:25.358]  No, that was the plan.
[00:53:25.358 --> 00:53:36.885]  So the military, one of the big groups, not so much the defense lobby, but the defense operatives themselves realize this big picture now, and that's why the globalists are in so much trouble.
[00:53:36.885 --> 00:53:41.688]  So then they had to act like they were against Al-Qaeda that Saudi Arabia and others had sent into Syria.
[00:53:41.688 --> 00:53:46.111]  And so Obama had to come out and act like he was against them, even when he's airdropping them weapons.
[00:53:46.111 --> 00:53:49.414]  So here's where it gets confusing, if you're not confused yet.
[00:53:50.285 --> 00:53:55.050]  You've got to extrapolate all this out.
[00:53:55.050 --> 00:54:06.341]  Clearly Israel and the United States and NATO were allied purely with Al-Qaeda up until about two years ago to take down Syria, to break up Iraq and other areas.
[00:54:06.341 --> 00:54:07.182]  So Israel, the U.S.
[00:54:07.182 --> 00:54:10.665]  and others were backing Al-Qaeda to engage in some of the greatest atrocities the Middle East has ever seen.
[00:54:12.305 --> 00:54:26.469]  When they lost because of Russian special forces technology and advisors and got beaten in a bunch of battles in the last year and a half, and when they couldn't get airstrikes in Damascus and surrounding areas by the U.S.
[00:54:26.469 --> 00:54:36.892]  and NATO to break their back, they flipped and made a deal with Iran to double-cross the Al-Qaeda people
[00:54:38.007 --> 00:54:46.714]  And to remove them, and then to not bring down Syria, but then to have Iran get rid of its nuclear weapons arsenal.
[00:54:46.714 --> 00:54:49.155]  The prob- and Iran's had nukes for at least a decade.
[00:54:49.155 --> 00:54:51.077]  Let me just give everybody a little loose flash here.
[00:54:51.077 --> 00:54:54.159]  I have that from- I'm not even gonna get into it, okay?
[00:54:54.159 --> 00:54:56.421]  High-level special forces people.
[00:54:56.421 --> 00:54:58.582]  They've got satellites and stuff you can see through the rock.
[00:54:58.582 --> 00:55:01.344]  They- they got- they got bombs.
[00:55:01.344 --> 00:55:02.605]  Now, they can't deliver them, probably.
[00:55:02.605 --> 00:55:05.948]  But the point is, you've got all that going on right now.
[00:55:07.688 --> 00:55:16.677]  You've got the CIA denying it, denying it, so there's this huge balancing act going on from all these different angles and all these different sides.
[00:55:16.677 --> 00:55:27.186]  You've got Obama and Netanyahu insulting each other to look good with the anti-Israel crowd that makes up the body of the Democratic Party, the leadership's pro-Israel, but the body of it is
[00:55:28.200 --> 00:55:28.940]  Anti-Semitic.
[00:55:28.940 --> 00:55:32.761]  I mean, if you say you disagree with the color of the sky, they call you anti-Semitic.
[00:55:32.761 --> 00:55:36.062]  And by anti-Semitic, I'm not saying anything to criticize about some of the policies in Israel.
[00:55:36.062 --> 00:55:45.544]  It's just vitriolic, mindless, bestial, you know, you're a Jew because you don't want to blow up Israel, Alex, and Israel pays you off.
[00:55:45.544 --> 00:55:50.425]  You know, no proof, no evidence, no, just mindless, we're better than you, you're a Jew, we're going to kill you.
[00:55:51.468 --> 00:55:54.791]  So you've got that group, and Obama gets huge money from them.
[00:55:54.791 --> 00:55:57.132]  It's made up of Arabs, Muslims, trendies.
[00:55:57.132 --> 00:56:00.855]  You go to any anarchist event, it's promoted everywhere, it's sick.
[00:56:00.855 --> 00:56:03.677]  The left and radical Islam are allied.
[00:56:03.677 --> 00:56:11.564]  Netanyahu's got his right-wing base he's feeding red meat to, so they're attacking each other and fighting with each other and criticizing each other and having Kerry being overheard saying things.
[00:56:11.564 --> 00:56:13.345]  It's all staged.
[00:56:13.345 --> 00:56:19.249]  But just like you're fighting with your brother or your cousin or your buddy, sometimes it turns into a real fight when you're shadowboxing.
[00:56:19.249 --> 00:56:21.031]  And so now this has escalated up
[00:56:22.881 --> 00:56:28.843]  Where Israel, still in the South, is backing some of the rebels and giving ambulance support to Al-Qaeda.
[00:56:28.843 --> 00:56:29.484]  That's on record.
[00:56:29.484 --> 00:56:31.044]  That's in Israeli papers.
[00:56:31.044 --> 00:56:38.027]  But meanwhile, they are getting ready to hit Iran, and they're pulling back some of their support for Al-Qaeda in Iraq.
[00:56:38.027 --> 00:56:44.570]  And so what it looks like, as best I can tell, that Free Syrian Army that's really Al-Qaeda, once the U.S.
[00:56:44.570 --> 00:56:46.491]  started double-crossing them with Iran,
[00:56:48.524 --> 00:56:57.867]  Israel supported him for a while, and kind of threatened the West to run in and take over part of Iraq, with Saudi Arabia giving the funding and weapons.
[00:56:57.867 --> 00:57:07.771]  And now that isn't going too well, so Israel's pulling back from that support, while talking out of both sides of their mouth, and it's a giant disaster mess.
[00:57:07.771 --> 00:57:11.912]  And Iran has manipulated, with Russia, out on top.
[00:57:11.912 --> 00:57:15.994]  So they threw a big fit and went and attacked Ukraine, but now the West is losing that.
[00:57:17.751 --> 00:57:20.353]  And it is just a giant mess.
[00:57:20.353 --> 00:57:23.776]  And as best I can tell, it's now boiled down to pure politics.
[00:57:23.776 --> 00:57:29.380]  And historically, when politicians and different mafias cannot get out of a mess, they'll start a war.
[00:57:29.380 --> 00:57:36.025]  So Netanyahu is more and more maneuvering towards an Iran strike, backed by Saudi Arabia, without U.S.
[00:57:36.025 --> 00:57:36.385]  support.
[00:57:36.385 --> 00:57:38.267]  And he said that at AIPAC this morning.
[00:57:38.267 --> 00:57:41.910]  He said, you know, we'll strike countries without your authorization, without your support.
[00:57:44.108 --> 00:57:45.548]  Iran will attack Israel.
[00:57:45.548 --> 00:57:47.169]  Israel will start using nukes.
[00:57:47.169 --> 00:57:53.050]  Russia will probably retaliate with nukes we know they've got in Syria.
[00:57:53.050 --> 00:57:56.451]  And you're off to the races.
[00:57:56.451 --> 00:57:58.451]  So there you go.
[00:57:58.451 --> 00:57:59.972]  Forget whose side you're on.
[00:57:59.972 --> 00:58:01.752]  There is no side here.
[00:58:01.752 --> 00:58:05.193]  This is a giant you-know-what sandwich, and I don't want to take a bite out of it.
[00:58:08.038 --> 00:58:12.459]  And I just want to commend George Soros and Obama and the globalists and all of you.
[00:58:12.459 --> 00:58:14.640]  You people have done a horrible job of quote, taking over.
[00:58:14.640 --> 00:58:16.921]  You're just going to blow the planet up.
[00:58:16.921 --> 00:58:20.282]  I mean, at a certain point, like Hitler thinking he had a plan to attack Russia?
[00:58:20.282 --> 00:58:22.403]  No, these aren't good plans.
[00:58:22.403 --> 00:58:23.723]  Stop it!
[00:58:23.723 --> 00:58:25.384]  Stop it!
[00:58:25.384 --> 00:58:27.084]  And some will argue, well, see, Obama's right.
[00:58:27.084 --> 00:58:29.705]  We don't want to attack Iran.
[00:58:29.705 --> 00:58:31.886]  They've been attacking Iran through proxies.
[00:58:31.886 --> 00:58:34.727]  It's all just a bunch of double-crossing scum.
[00:58:35.942 --> 00:58:44.048]  I mean, that's what we've come down to here, is just a bunch of dishonorable people, rudderless, with a bunch of backstabbing as we lurch towards World War III.
[00:58:44.048 --> 00:58:47.351]  Stay with us, second hour coming up.
[00:58:47.351 --> 00:58:49.453]  Visit GCNlive.com today.
[00:58:52.501 --> 00:58:53.422]  Alex Jones here.
[00:58:53.422 --> 00:59:02.647]  For the last two years, I've been working with top doctors, nutritionists, and chemists to design a nutraceutical formulation that has truly life-changing health benefits.
[00:59:02.647 --> 00:59:07.870]  So many other formulations out there contain toxic ingredients, synthetic additives, and even GMOs.
[00:59:08.210 --> 00:59:11.932]  Introducing the all-new Ancient Defense Herbal Immunity Blend.
[00:59:11.932 --> 00:59:21.496]  Crafted with over 14 key ancient herbs and extracts to supercharge and prepare your body for what experts admit is the most dangerous season of the year.
[00:59:21.496 --> 00:59:32.922]  We have rejected hundreds of other formulations in our quest to bring you what is simply the most powerful and comprehensive proprietary formula that we have ever created in the realm of herbal immunity.
[00:59:32.922 --> 00:59:37.684]  Experience the benefits of combining over 14 ancient herbs and extracts
[00:59:37.904 --> 00:59:39.665]  You're listening to the Alex Jones Show!
[01:00:08.191 --> 01:00:09.492]  Big Brother.
[01:00:09.492 --> 01:00:11.272]  Mainstream media.
[01:00:11.272 --> 01:00:13.013]  Government cover-ups.
[01:00:13.013 --> 01:00:14.594]  You want answers?
[01:00:14.594 --> 01:00:16.514]  Well, so does he.
[01:00:16.514 --> 01:00:20.356]  He's Alex Jones on the GCN Radio Network.
[01:00:20.356 --> 01:00:24.458]  And now, live from Austin, Texas, Alex Jones.
[01:00:24.458 --> 01:00:27.859]  Former top FCC lawyer who got the Fairness Doctrine thrown out.
[01:00:27.859 --> 01:00:31.781]  Bruce Fine will join us to break down their draconian net power grab.
[01:00:31.781 --> 01:00:33.821]  He'll be with us about 30 minutes.
[01:00:33.821 --> 01:00:34.982]  And then we'll open the phones up.
[01:00:36.440 --> 01:00:44.002]  Then, Joel Skousen is going to be popping in for about 5-10 minutes to give us his take on the Netanyahu historic speech coming up tomorrow.
[01:00:44.002 --> 01:00:46.002]  And we'll get him on for 5-10 minutes as well.
[01:00:46.002 --> 01:00:51.703]  Dr. Pachinik, want to get different perspectives from each of these men.
[01:00:51.703 --> 01:00:54.224]  Here's the backdrop on Israel.
[01:00:54.224 --> 01:01:05.246]  When the West backs everything Israel does and always covers up for things that Israel's done that's bad, in the end it discredits any support of Israel.
[01:01:07.426 --> 01:01:12.090]  But you look at the opposition to Israel, it is a very unsavory group as well.
[01:01:12.090 --> 01:01:16.633]  And this is where you get into primitive politics.
[01:01:16.633 --> 01:01:19.215]  You're pretty much forced to then choose a side.
[01:01:19.215 --> 01:01:21.778]  Well, choosing a side will lead us to World War III.
[01:01:21.778 --> 01:01:24.720]  We need to transcend all this idiocy.
[01:01:24.720 --> 01:01:32.126]  But you've got Iran, you've got Saudi Arabia, you've got Israel in the mix.
[01:01:32.126 --> 01:01:35.949]  And I just need to say, Israel and the United States have lost the moral high ground.
[01:01:37.892 --> 01:01:41.575]  But that's not saying much when you're talking about Saudi Arabia and Iran.
[01:01:41.575 --> 01:01:46.398]  I don't think Saudi Arabia ever had it.
[01:01:46.398 --> 01:01:57.605]  When our governments funded Al-Qaeda to blow up churches and cut heads off and take over and then sit around and go, oh, like 1984, we're always at war with East Asia, we're never at war with East Asia.
[01:01:57.605 --> 01:02:00.808]  Now, oh, we've been fighting Al-Qaeda all along.
[01:02:00.808 --> 01:02:02.909]  No!
[01:02:02.909 --> 01:02:05.431]  And so this has to be addressed by all the Israel worshippers.
[01:02:08.225 --> 01:02:16.907]  If you support Israel, you need to support an Israel that's moral and that has the world's backing because it's moral.
[01:02:16.907 --> 01:02:23.309]  I mean, I know people that love Israel who are like, yeah, it's terrible what ISIS is doing, and I understand what's terrible.
[01:02:23.309 --> 01:02:33.791]  But multiple political groups in Israel backed with the West in this four and a half year program of turning the Middle East over to Al Qaeda.
[01:02:33.791 --> 01:02:36.472]  And the argument is, oh, that's better than turning it over to Iran.
[01:02:38.453 --> 01:02:39.374]  No.
[01:02:39.374 --> 01:02:40.234]  No.
[01:02:40.234 --> 01:02:40.654]  No.
[01:02:40.654 --> 01:02:42.755]  I'm not a Machiavellian.
[01:02:42.755 --> 01:02:46.498]  I don't believe the end justifies the means.
[01:02:46.498 --> 01:02:49.339]  And Machiavellian ideas always bring down civilizations.
[01:02:49.339 --> 01:02:51.500]  They work for a while.
[01:02:51.500 --> 01:02:53.381]  They work for a while.
[01:02:53.381 --> 01:03:02.286]  You can have a man dying, going into shock, and you can, with his legs cut off, you can give him adrenaline, he'll wake up for a while, but he'll end up dying.
[01:03:02.286 --> 01:03:02.807]  Just the same.
[01:03:05.035 --> 01:03:12.283]  Using Al Qaeda to do all this stuff and then to also take the West freedoms because the Al Qaeda threat is disgusting.
[01:03:12.283 --> 01:03:18.429]  And now it's led to a split between the United States and elements of the Israel lobby.
[01:03:18.429 --> 01:03:23.054]  And I have a clip of Netanyahu talking about the history of the U.S.
[01:03:23.054 --> 01:03:23.515]  and Israel.
[01:03:23.515 --> 01:03:24.516]  Here it is.
[01:03:24.516 --> 01:03:26.918]  That started with the beginning in 1948.
[01:03:28.507 --> 01:03:33.330]  Secretary of State George Marshall opposed David Ben-Gurion's intention to declare statehood.
[01:03:33.330 --> 01:03:34.251]  That's an understatement.
[01:03:34.251 --> 01:03:37.113]  He vehemently opposed it.
[01:03:37.113 --> 01:03:45.019]  But Ben-Gurion, understanding what was at stake, went ahead and declared Israel's independence.
[01:03:45.019 --> 01:03:56.427]  In 1967, as an Arab noose was tightening around Israel's neck, the United States warned Prime Minister Levi Eshkol
[01:03:57.788 --> 01:04:03.313]  That if Israel acted alone, it would be alone.
[01:04:03.313 --> 01:04:05.555]  But Israel did act.
[01:04:05.555 --> 01:04:08.318]  Acted alone to defend itself.
[01:04:08.318 --> 01:04:16.646]  In 1981, under the leadership of Prime Minister Menachem Begin, Israel destroyed the nuclear reactor at Osirak.
[01:04:24.341 --> 01:04:30.745]  The United States criticized Israel and suspended arms transfers for three months.
[01:04:30.745 --> 01:04:40.370]  And in 2002, after the worst wave of Palestinian terror attacks in Israel's history, Prime Minister Sharon launched Operation Defensive Shield.
[01:04:40.370 --> 01:04:48.695]  The United States demanded that Israel withdraw its troops immediately, but Sharon continued... Alright, we're going to play more of this coming up.
[01:04:48.695 --> 01:04:52.677]  And you know, I'm sorry, when Israel's leadership backed Al Qaeda,
[01:04:53.712 --> 01:04:58.281]  Israel lost the perceived moral high ground out there.
[01:04:58.281 --> 01:05:00.806]  But still, we're left with Al Qaeda running around and Iran.
[01:05:02.406 --> 01:05:06.067]  The government's Department of Homeland Security is buying up loads of ammo.
[01:05:06.067 --> 01:05:10.348]  At the same time, they're restricting civilians' rights to own and purchase firearms.
[01:05:10.348 --> 01:05:12.108]  Can you put two and two together?
[01:05:12.108 --> 01:05:19.970]  Infidel Body Armor can stop every round, including hollow points and .308 sniper rounds, is reasonably priced, and fully legal.
[01:05:19.970 --> 01:05:21.111]  But for how long?
[01:05:21.111 --> 01:05:27.752]  Go to InfidelBodyArmor.com, spelled I-N-F-I-D-E-L BodyArmor.com.
[01:05:27.752 --> 01:05:30.573]  Infidel Body Armor just won't quit.
[01:05:32.011 --> 01:05:35.534]  When cells become toxic, they die early and aging sets in.
