[00:00.000 --> 00:14.000]  Crashing through the lies and disinformation, it's Alex Jones, coming to you live from
[49:09.000 --> 49:16.000]  But if there was a Hitler around who was still in government, or let's say Hitler died, but the Nazis were still in power in Europe.
[49:16.000 --> 49:26.000]  They were still killing people in mass. You'd be concerned about it, but not China. And instead, they're bringing their technology that's been proven to have all these spy chips, all these controls,
[49:26.000 --> 49:41.000]  and are buying off our universities, our governments. Well, Stephen W. Moser has been one of the only other big voices out there other than myself and Bill Gertz and a few others who have talked about what the CFR has said,
[49:41.000 --> 49:47.000]  what the globalists have said that they're selling us out to China, that they have been holding their hand and positioning them.
[49:47.000 --> 49:55.000]  And now it's finally in the news that they've got spy chips and they're taking Kenya's only port and they've got 98% of Earth minerals and they've got all the major,
[49:55.000 --> 50:05.000]  they've been positioned by traders as part of a larger plan. We'll talk about that next hour and get into 5G and his huge article that's gone totally viral.
[50:05.000 --> 50:18.000]  It was like one of the top stories last week when Rudgerport linked to it about the Chinese Communist master plan and this dynastic royalty basically of the party that got arrested.
[50:18.000 --> 50:26.000]  How a rest of Chinese princess exposes regimes world domination plot. So we'll get into that in the 30 minutes next hour, but your personal story is so powerful.
[50:26.000 --> 50:36.000]  Finish up your awakening. I don't want to speak for you. Were you a liberal? Were you a leftist? The point was you meant well, but you drank the Kool-Aid because I've read your book and I've had you on several times,
[50:36.000 --> 50:42.000]  but you describe it best, who you were, and then hopefully other liberals will wake up out there.
[50:42.000 --> 50:59.000]  Well, I was a doctoral candidate at Sanford University. I was teaching Chinese studies at the University of California at Berkeley and yeah, I'd read all the books that were published in the 60s and 70s praising Chairman Mao Zedong and the Chinese Communist Party for
[50:59.000 --> 51:16.000]  claims that they had ended poverty. They had improved the lives of the people in the countryside. You know, it was typical left wing illusions, delusions, we should say, about a brutal thuggish Communist regime that when you look up close and personal,
[51:16.000 --> 51:31.000]  these weren't very nice people. This was the new party. This was the elite. These were people who kept the masses oppressed. They didn't raise up the masses. They kept the ordinary people oppressed and they of course had the best of everything.
[51:31.000 --> 51:47.000]  The now today 90 million members of the Chinese Communist Party absolutely dominate the 1.4 billion Chinese. They get the best of everything. Most of the money that's been generated by the export sector of the Chinese economy,
[51:47.000 --> 52:04.000]  which is the only sector of the economy that works, by the way, the rest of the Chinese economy is clunky, state owned dinosaurs. It resembles the former Soviet Union. The export sector of the economy, thanks to the stupidity of our leaders for the last 25 years,
[52:04.000 --> 52:19.000]  works with great efficiency to produce cheap goods for American open markets. Finally, that's coming to a close. So I get to China. I'm living in this commune and it takes a while for the locals to begin to trust me. Now I can read, write and speak Chinese.
[52:19.000 --> 52:36.000]  I can speak Cantonese, Mandarin and Taiwanese. So I was able to speak to them in a language they could understand and communicate in. And one by one, late at night, usually over a glass of rice wine, they would begin to tell me these horror stories of life under the commune.
[52:36.000 --> 52:50.000]  You know what they call the Chinese Communist Party? They call it the big landlord. The Chinese Communist Party of the Red Army came in, killed all the small landlords, the landowners, lined them up over there at that little mountain that I talked about and shot them dead.
[52:50.000 --> 53:05.000]  But it became the big landlord to control everything. The people were producing goods, silk and sugarcane and other things that they were forced to sell to the Chinese Communist Party at fire sale prices. So they remained poor while the party got rich.
[53:05.000 --> 53:25.000]  But this one child policy, I have to tell you about that, Alex, because to see women who are seven, eight and nine months pregnant, and in some cases only days or hours away from giving birth, arrested for the imaginary crime of being pregnant without the permission of the Chinese Communist Party,
[53:25.000 --> 53:39.000]  and then taken away by party officials in front of the horrified parents, brothers, sisters, husbands and children of these women, taken away by force, I went with them to the operating room.
[53:39.000 --> 53:53.000]  I was there when these women were opened up like tin cans by cesarean section by Red Army doctors who would then kill their babies by lethal injection. This is not abortion, Alex, as bad as that is.
[53:53.000 --> 54:06.000]  This is infanticide. This was a killing of nearly full term healthy babies at birth. And there were cases that the woman was so far advanced in labor that the baby's head was already crowning.
[54:06.000 --> 54:18.000]  The baby was already beginning to be born. And what the Red Army doctors did at that point is almost beyond describing. They would take a hypodermic needle, they would fill it with formaldehyde or alcohol,
[54:18.000 --> 54:28.000]  and they would give the baby a lethal injection into the soft spot of the baby's skull, killing the baby instantly after it was born.
[54:28.000 --> 54:39.000]  Now let's be clear, here in America they call it partial birth, but the women volunteer for it, and the baby under law cannot leave the canal or it's a live birth and you can't kill them, though they still do it.
[54:39.000 --> 54:46.000]  They use a high powered suction vacuum to punch a hole in the head and suck the brains out.
[54:46.000 --> 54:55.000]  Yeah, we can't claim any moral superiority over the Chinese in that sense. I mean, in one sense, we're a democratic country.
[54:55.000 --> 55:07.000]  We have, we elected the men who appointed the judges who allowed the abortion doctors to go in to the sanctity of the womb with their knives and their suction equipment and kill unborn children.
[55:07.000 --> 55:17.000]  So in a sense, we're doubly responsible. The Chinese women, the Chinese families who were devastated by these forced abortions, didn't elect these Communist Party leaders.
[55:17.000 --> 55:26.000]  Exactly. So the evil is it's being forced on them. Let's expand on that and we're going to get into the big inch a lot when we come back to the current state of the war with China and the traders in our own government.
[55:26.000 --> 55:31.000]  And so Americans can pick which side and others around the world can pick which side they want to be on here.
[55:31.000 --> 55:41.000]  With the author, the selling author, bully of Asia, Stephen W. Moser, why China's dream is the new threat to world order.
[55:41.000 --> 55:50.000]  The the left, David Rockefeller, where Mao Zedong died, as you know, in the late 70s, wrote huge op-eds New York Times praising how great communism is, how wonderful it is.
[55:50.000 --> 55:59.000]  Why would the ultra rich do this? And then why does the left love China? Because that's where you can really carry out the mass test, have a party that's ready to do it,
[55:59.000 --> 56:09.000]  and just use people like they're lower than animals. So what was it like for you who had drunk the Kool-Aid, as you said, to actually then actually be on the ground?
[56:09.000 --> 56:20.000]  They trusted you. You were a fellow traveler, China Studies guy. So you wanted the first to come in. And then what was it like in the process? Did it come all at once or was it incremental?
[56:20.000 --> 56:35.000]  Well, it took me the better part of a year. I'm a slow learner when it comes to some very important things. But by the end of my year in China, I realized that the Chinese Communist Party was a party of tyrants, of thugs,
[56:35.000 --> 56:51.000]  really a mafia that had taken control of the entire country. And we're not really out for the Chinese people in any sense of the meaning of the word. They were simply out for themselves. They were a party that wanted to accumulate as much power and wealth as they could.
[56:51.000 --> 57:05.000]  But see, George Arwell was a leading socialist and then woke up because he actually got his hands dirty. You got your hands dirty. That's the problem now. So many leftists are in bubble world, you know, living in the high rise apartment, going to college forever on the internet.
[57:05.000 --> 57:13.000]  They never get their hands dirty. It seems like anybody that gets their hands dirty who isn't evil always starts fighting collectivism.
[57:13.000 --> 57:27.000]  Yeah, if I could take all of my Stanford University colleagues with me to China and let them live in China for a year, they would come away with a very different view of socialism of communism in China.
[57:27.000 --> 57:43.000]  The trouble is they only see China from afar. They read the propaganda published by the Chinese regime. They're alienated from their own country. You see, that's the other problem. They're alienated from their own country, their own history, their own culture.
[57:43.000 --> 57:46.000]  They've been taught to despise their own history, their own culture.
[57:46.000 --> 57:57.000]  Talk about that. How are they inoculated to hate themselves? For those of us that are the tip of the spear, we're being targeted to take out the leadership. That's the globalist only hope.
[57:57.000 --> 58:08.000]  So when you support info wars, when you spread our articles and videos, when you buy products at infowarstore.com, you are literally not just supporting info wars and free speech and standing in defiance against Soros and Hillary and the rest of these people.
[58:08.000 --> 58:16.000]  But you are standing for your own future and your own best shot of having an early warning system in America to stand against these individuals.
[58:16.000 --> 58:22.000]  When you order products at infowarstore.com, you fund not just an American revolution but a global revolution against tyranny.
[58:22.000 --> 58:27.000]  And we have the biggest specials ever running throughout to the end of the year as part of a total store clearance.
[58:27.000 --> 58:43.000]  Every order gets a free t-shirt. Every order gets free shipping. Every order gets 50 to 75% off in total clearance. And that funding allows us to go into the new year on sure footing to fund ourselves throughout the first part of the year to not just fight but to expand.
[58:43.000 --> 58:58.000]  We're on the march. The empire is on the run. I salute you all. Now please take action at infowarstore.com.
[59:14.000 --> 59:19.000]  But I want to be a market leader and I want you to have storeable food so it's a total win-win.
[59:19.000 --> 59:31.000]  We have those incredible sell prices back at infowarstore.com on info or select storeable foods. They've got special diet foods. They've got three month supplies, your supplies, weak emergency supplies.
[59:31.000 --> 59:39.000]  They've got so many great products there. And you've got a three year supply. If stuff happens you can feed your whole block. It's up to us to be self sufficient.
[59:39.000 --> 59:44.000]  If you're buying war bonds bring you great products and together with God's help we are unstoppable.
[59:44.000 --> 1:00:10.000]  infowarstore.com and info or select high quality storeable foods powered by my patriot supply.
[1:00:14.000 --> 1:00:28.000]  So, Communist China has bought up Hollywood. It's bought up the treasuries. We're going to get into this next segment. This is a short little segment.
[1:00:28.000 --> 1:00:36.000]  So I want to finish up with Stephen W. Moser's experiences in China as one of the first Americans, if not the first to be allowed into the communes.
[1:00:36.000 --> 1:00:44.000]  This is just so riveting and so interesting. I've been reading his work for decades. He's been on I think 10 years ago and then a few years ago again.
[1:00:44.000 --> 1:00:51.000]  We should get him on routinely. Pop.org is the website. We're not just here gloom and dooming. We're not bashing the Chinese.
[1:00:51.000 --> 1:01:01.000]  CNN before us said Trump hates Chinese people. He hates Asians. I've seen articles. Alex Jones hates Chinese.
[1:01:01.000 --> 1:01:11.000]  But Chinese people hate communes. It's super unpopular. My sister's Korean adopted. We don't. David Knight went and got he already has his own biological children.
[1:01:11.000 --> 1:01:18.000]  They went as Christians and adopted their daughter as a baby starving to death. She's now lives here in the U.S. almost 20 years old.
[1:01:18.000 --> 1:01:26.000]  Great lady from China. No, we don't hate Chinese people. We're trying to stop them being aborted and being brainwashed and being turned into weapons against us.
[1:01:26.000 --> 1:01:34.000]  We want to see China free. We want humanity unified and only real Christianity can do that, which they're executing Christians and blowing up their churches.
[1:01:34.000 --> 1:01:46.000]  But in the four minutes to break, just recapping what you witnessed in China and your message to leftist. I've noticed the Malm youth brigades that run antifa that threaten us and do all sorts of things to other people.
[1:01:46.000 --> 1:01:52.000]  Their operating system is the Confucian centers at the major universities that they now admit are Chinese government run.
[1:01:52.000 --> 1:02:01.000]  We've infiltrated some of the meetings that they know we've done that. And they actually have UT chairs that are praising Mao and communist at these meetings.
[1:02:01.000 --> 1:02:09.000]  And the operating system is Maoist for the grassroots globalist movement, not just here, but in Europe. I've noticed.
[1:02:09.000 --> 1:02:16.000]  Yeah, it really is the Confucian institutes are a Trojan horse with Chinese characteristics that they're planting all over the world.
[1:02:16.000 --> 1:02:25.000]  It's not just the United States. The United States is the favorite target because obviously we're the principal obstacle to China's domination of the world.
[1:02:25.000 --> 1:02:34.000]  If they could get rid of us, they think they can deal with these other what they call the little countries quite easily, you know, and that's their view of the world.
[1:02:34.000 --> 1:02:40.000]  Their view of the world is that China is at the center. And if you're not a friend of China, you're an enemy of China.
[1:02:40.000 --> 1:02:52.000]  China doesn't have neighbors. It doesn't have neighborly relations. It either has the tributary states, vassal states, or it has enemies and only those two categories apply.
[1:02:52.000 --> 1:03:06.000]  But if they can if they can deal with us, they believe that Australia and New Zealand and Canada, Great Britain, all the rest will fall like dominoes because China is so much bigger and in their imagination, so much more powerful.
[1:03:06.000 --> 1:03:19.000]  And you, I'm not trying to talk you up to folks here, but I remember reading your stuff 20 years ago, you were warning of all this back when we saw it all happening and the Clinton is transferring the missile secrets and all the rest of it.
[1:03:19.000 --> 1:03:29.000]  But back then you were kind of a lonely voice. You're not too lonely now. I mean, looks like Trump and Pence and everybody in the military and I've had high level CIA reach out to us and they said you're dead on.
[1:03:29.000 --> 1:03:39.000]  We're actually helping get the government back from globalist with this China thing. It's unifying Americans to make a decision. And the fact that now they realize that there are a lot of Americans aligned with the Chai comms.
[1:03:39.000 --> 1:03:51.000]  That's actually causing a big wake up. Yeah, the Chinese Communist Party has learned how to play the American system. They've learned how to take hostages. They're taking Canadian hostages right now in China.
[1:03:51.000 --> 1:04:02.000]  They've learned how to hold hostage American companies that want to do business in China. They've learned how to use Fortune 500 companies lobbyists in Washington to lobby for the interests of the Chinese Communist Party.
[1:04:02.000 --> 1:04:11.000]  So they've gotten very clever in doing this. You know, 20 years ago, Alex, they were they accrued and they they blundered into giving money directly directly to Clinton's campaign.
[1:04:11.000 --> 1:04:15.000]  They were caught with the White House with suitcases of cash.
[1:04:15.000 --> 1:04:23.000]  Absolutely. That was that was crude. And then they were caught caught doing it. So so now they're much more clever in their approach.
[1:04:23.000 --> 1:04:39.000]  These Confucius institutes, of course, are in in intended to train the next generation of China watchers to be what to be panda huggers to be people who haven't learned real Chinese history, the brutal history of the Chinese Communist Party.
[1:04:39.000 --> 1:04:46.000]  It's a killing of 100 million Chinese, the starving death of 45 million Chinese, the elimination of 400 million.
[1:04:46.000 --> 1:04:51.000]  Well, stay there then. You're going to have the floor for the next two segments. Give us the 35,000 view than the zero but view.
[1:04:51.000 --> 1:05:09.000]  We come back about what we're really facing when the chai comes, what their in game is and how we stop them.
[1:05:21.000 --> 1:05:24.000]  Back the day with our powerhouse formula.
[1:05:24.000 --> 1:05:31.000]  Happies can be an important part of your daily supplement routine with poor diet and the constant on and off of your work life.
[1:05:31.000 --> 1:05:41.000]  It's more important than ever to support your body in the fight against stress with powerful ingredients combined to help support the mind and body.
[1:05:41.000 --> 1:05:47.000]  Happies helps support during stress promotes overall well being and helps support your mood.
[1:05:47.000 --> 1:05:57.000]  Don't live your life bogged down. Help your body overcome the effects of daily stress and pressure today with Happies from info wars store.com.
[1:06:18.000 --> 1:06:28.000]  And it's all over for the unknown soldier.
[1:06:28.000 --> 1:06:37.000]  It's all over for the unknown soldier.
[1:06:37.000 --> 1:06:47.000]  You know, they talk about the silent majority, but what about the unknown soldiers of liberty out there? All of you that support us. The pray for us. We wouldn't be here without you.
[1:06:47.000 --> 1:06:56.000]  Stephen W. Moser is our guest, one of the first Americans ever into communist China as a Stanford research fellow and his best selling book, the bully of Asia.
[1:06:56.000 --> 1:07:07.000]  Stephen W. Moser highly respected syndicated columnist. You read his latest article that's been one of the top stories last week how arrest of Chinese princess exposes regimes world domination plot.
[1:07:07.000 --> 1:07:12.000]  And you see Google and Apple about 10 months ago moved to China.
[1:07:12.000 --> 1:07:21.000]  Trump lowers taxes from 40% to 15 on corporations to match China. That's a tariff they had having a lower tax was a reverse tariff.
[1:07:21.000 --> 1:07:26.000]  They go to zero, but they throw down the gauntlet and say even Reuters had their statement.
[1:07:26.000 --> 1:07:32.000]  You must become state run. And so Tim Cook said, you can have all the code keys to everybody in the world.
[1:07:32.000 --> 1:07:37.000]  This is beyond treason. This is madness. Google is helping them with AI, but not the Pentagon.
[1:07:37.000 --> 1:07:45.000]  So it's a big wake up call to all the old rich guys in both parties playing games that China raced way ahead of us.
[1:07:45.000 --> 1:07:49.000]  And you're not just getting cheap, you know, goods that break before they come out of the package anymore.
[1:07:49.000 --> 1:07:55.000]  The chai comms you built up to be your economic takeover leverage have turned around and bitten you in the butt,
[1:07:55.000 --> 1:08:09.000]  which was always planned by the Council on Foreign Relations and David Rockefeller, who said in the 70s when, you know, people like Moser were allowed in because he was on the on the game plan then to set China up to dominate the world.
[1:08:09.000 --> 1:08:21.000]  So give us the chai comm view of the world and what we're currently facing with 5G, what, because they've been taking our people hostages, they've been radiating our embassies, killing people.
[1:08:21.000 --> 1:08:27.000]  China's at war with us. They've been shooting at our ships. They're damn lucky this woman didn't just get indicted.
[1:08:27.000 --> 1:08:33.000]  You know, I'm seriously, we're in a war. I think it's Trump sending a little message. We're not going to just target your regular soldiers here.
[1:08:33.000 --> 1:08:36.000]  We're going to target your little princess. So break it down for us.
[1:08:36.000 --> 1:08:44.000]  Well, let's be clear about what what China, how China views the world back in 1991 when the Soviet Union collapsed,
[1:08:44.000 --> 1:08:51.000]  Deng Xiaoping, who was then the supreme leader in China, called his senior Communist Party buddies together.
[1:08:51.000 --> 1:08:56.000]  And he said the old Cold Wars over the United States has defeated the Soviet Union.
[1:08:56.000 --> 1:09:04.000]  He said the new Cold War is now beginning between China and the United States and China will win this one.
[1:09:04.000 --> 1:09:09.000]  I wrote a book back 20 years ago called Hegemon, China's plan to dominate Asia and the world.
[1:09:09.000 --> 1:09:13.000]  And you know what, Alex, a lot of people said, oh, China doesn't want to dominate Asia.
[1:09:13.000 --> 1:09:17.000]  It doesn't want to dominate the world. It simply wants to join the existing world order.
[1:09:17.000 --> 1:09:21.000]  It wants to cooperate with us in building a more prosperous world.
[1:09:21.000 --> 1:09:26.000]  Well, now 20 years later, everybody sees that wasn't the plan of China at all.
[1:09:26.000 --> 1:09:31.000]  The plan of China was beginning and end, one of domination.
[1:09:31.000 --> 1:09:35.000]  China, the word China in Chinese Zhongguang means middle kingdom.
[1:09:35.000 --> 1:09:44.000]  It's a kingdom at the center of the earth and the Chinese Communist Party wants China to be the kingdom at the center of the earth again.
[1:09:44.000 --> 1:09:51.000]  It has the Communist Party has a disdain for the lesser peoples around China's periphery.
[1:09:51.000 --> 1:09:55.000]  Think about the Belt and Road Initiative. What is the Belt and Road Initiative?
[1:09:55.000 --> 1:10:06.000]  China is spending trillions of dollars building infrastructure in places like Pakistan and Sri Lanka and India and Djibouti.
[1:10:06.000 --> 1:10:12.000]  They're built their first army base, naval base in Africa, in Djibouti, Africa.
[1:10:12.000 --> 1:10:16.000]  They're building infrastructure all around the world.
[1:10:16.000 --> 1:10:22.000]  And that infrastructure is intended to bring the world's economy into China's domain.
[1:10:22.000 --> 1:10:31.000]  It's intended to recenter the world's economy around China so that China becomes the place where all goods are manufactured.
[1:10:31.000 --> 1:10:33.000]  And the rest of the world becomes what?
[1:10:33.000 --> 1:10:38.000]  It becomes the source of raw materials for China and it becomes the source of agricultural products.
[1:10:38.000 --> 1:10:41.000]  But China becomes the factory floor of the world.
[1:10:41.000 --> 1:10:42.000]  That's the goal.
[1:10:42.000 --> 1:10:53.000]  The goal of the Made in China 2025 plan by 2025, China wants to dominate robotics and artificial intelligence.
[1:10:53.000 --> 1:11:02.000]  And now we get to Huawei, they want to dominate 5G because they know that if they dominate the high tech industries of the future,
[1:11:02.000 --> 1:11:07.000]  that is a path to dominating the world of the future.
[1:11:07.000 --> 1:11:12.000]  And is it not, you hinted at this when we went to break without me even bringing it up.
[1:11:12.000 --> 1:11:17.000]  This is like a baby duck you can imprint on a wolf that's about to eat it.
[1:11:17.000 --> 1:11:20.000]  First thing it sees it loves, the vitriol.
[1:11:20.000 --> 1:11:22.000]  I mean you always hear the left hates America.
[1:11:22.000 --> 1:11:24.000]  I don't call them liberals through the left.
[1:11:24.000 --> 1:11:28.000]  But I'll go out to an event and I'll say America's coming back.
[1:11:28.000 --> 1:11:31.000]  We're getting unemployment down and we're coming together.
[1:11:31.000 --> 1:11:38.000]  They go, oh, and I go USA, USA, which you can make fun of the chant, it's like vampires seeing high noon.
[1:11:38.000 --> 1:11:42.000]  And they literally, you talk to them, America was never great.
[1:11:42.000 --> 1:11:43.000]  It'll never be great.
[1:11:43.000 --> 1:11:44.000]  China is great.
[1:11:44.000 --> 1:11:45.000]  Everybody else is great.
[1:11:45.000 --> 1:11:51.000]  They literally have been taught to hate themselves and hate their heritage.
[1:11:51.000 --> 1:11:56.000]  And they don't even know everybody wants to get in here, even though we're pretty much already done in many ways.
[1:11:56.000 --> 1:11:59.000]  What's left of the wreckage is so much better.
[1:11:59.000 --> 1:12:02.000]  They've never traveled these countries.
[1:12:02.000 --> 1:12:05.000]  They've never experienced it and you can't get through to them.
[1:12:05.000 --> 1:12:11.000]  It's like they have reflected glory from the collapse of America and they love China's rise.
[1:12:11.000 --> 1:12:17.000]  And it's like they're imagining Stockholm syndrome, like loving your abuser, that they're with the chai comms.
[1:12:17.000 --> 1:12:21.000]  When they're the first people the chai comms will get rid of.
[1:12:21.000 --> 1:12:23.000]  Yeah, absolutely.
[1:12:23.000 --> 1:12:39.000]  And we can probably talk for a long time about how the educational system in this country went 100 years ago from taking American children and teaching them that America is the greatest experiment in ordered liberty the world has ever seen.
[1:12:39.000 --> 1:12:45.000]  I wrote a speech for President Ronald Reagan once in which he talked about the city on the hill.
[1:12:45.000 --> 1:13:00.000]  He was a believer in the promise of America, not just for America, but that the lamp of liberty shining from America would lift other countries out of the darkness of tyranny and into the sunlit uplands of freedom and liberty.
[1:13:00.000 --> 1:13:02.000]  People in schools don't learn that anymore.
[1:13:02.000 --> 1:13:07.000]  All they learn, of course, is that we're racist, sexist, all those other lies.
[1:13:07.000 --> 1:13:15.000]  I mean, you turn on the news or any movie, it's all how you would demoralize people and then you learn the chai comms are funding most of it.
[1:13:15.000 --> 1:13:24.000]  I mean, it's just crazy that they found this many collaborators and it seems to me, if we illustrate this to people, they're going to come out of it and like, come on.
[1:13:24.000 --> 1:13:28.000]  It's like, it should be so easy to beat this is what I'm saying, but we don't have much time, do we?
[1:13:28.000 --> 1:13:31.000]  Because China is about to move into a dominant position.
[1:13:31.000 --> 1:13:39.000]  Well, I will tell you until the election two years ago, I think that that we were five years or maybe 10 years at the outside from a tipping point.
[1:13:39.000 --> 1:13:49.000]  And what I mean by that tipping point is that the world, the geo strategic table would tilt so far in the direction of China that we would never be able to reverse it.
[1:13:49.000 --> 1:13:55.000]  Now, of course, we have a chance, maybe our last chance to turn things around to keep China.
[1:13:55.000 --> 1:14:03.000]  No, no, I totally agree. And so the average leftist when all Trump has done is pragmatically try to help everybody and like tried to even parlay with this evil.
[1:14:03.000 --> 1:14:10.000]  I just cannot believe they're working as their own interest and don't get how incredible this last chance is.
[1:14:10.000 --> 1:14:24.000]  Yeah, when you read the Chinese press, as I do, you see that the global times and the people's daily and the other Chinese newspapers in their criticism of Trump seem to repeat a lot of the things that the leftists in the United States say about.
[1:14:24.000 --> 1:14:32.000]  Our president. So it's almost as if there's this unholy alliance between American progressives and leftists on the one hand.
[1:14:32.000 --> 1:14:44.000]  And of course, the Chinese Communist Party on the other who really aren't. Look, let's be clear. These are communists in the sense of to everybody, according to their need and from everybody, according to their ability.
[1:14:44.000 --> 1:14:52.000]  These are fascists. These are people who want to dominate who love power above everything else and who want to dominate, not just the poor downtrodden.
[1:14:52.000 --> 1:14:59.000]  Oh, yeah, talk about that. How many inner party members are there and what's their average wealth? I mean, these are fabulously rich communists.
[1:14:59.000 --> 1:15:06.000]  Oh, yeah. Yeah, these are. This is the wealthiest Communist Party in the world and 90 million members of the Chinese Communist Party.
[1:15:06.000 --> 1:15:15.000]  And if you want to get ahead in China, you have to join the Communist Party. And once you join the Communist Party, you're basically free to do anything you want.
[1:15:15.000 --> 1:15:22.000]  They have, for example, in Chinese cities, when the local city government runs a little short of cash, they will invent a new tax.
[1:15:22.000 --> 1:15:30.000]  And then the Communist Party members will go from door to door to businesses saying, you owe us another thousand dollars and just collect the money on the spot.
[1:15:30.000 --> 1:15:39.000]  Most much of it winds up in their pockets. The best example, though, is the former premier, a fellow named when premier when when Jabal is his full name.
[1:15:39.000 --> 1:15:51.000]  He came into office only worth only a few million dollars. He left office with 10 years later with $2.3 billion, $2.3 billion in his pocket.
[1:15:51.000 --> 1:15:57.000]  Let's talk about this little princess and how her arrest signals America's surrender is over.
[1:15:57.000 --> 1:16:03.000]  The United States of Empire is a book that claims the United States is the empire of the world.
[1:16:03.000 --> 1:16:12.000]  George Washington had warned us against foreign wars. The United States of Empire shows that World Wars I and II left England broken.
[1:16:12.000 --> 1:16:21.000]  Its former colony, the U.S., had to save the empire. Was there ever a vote? Who do we fight for? The deep state began with World War I.
[1:16:21.000 --> 1:16:27.000]  The United States of Empire by James Dunn, available at Amazon Books.
[1:16:27.000 --> 1:16:36.000]  Most of you know that heart disease is the number one silent killer in the U.S. What if I told you for just $54.95 a month you could fight against heart disease naturally?
[1:16:36.000 --> 1:16:41.000]  At Heart and Body Extract, we've been helping thousands of people get back to a healthier heart.
[1:16:41.000 --> 1:16:50.000]  Don't just take my word for it. Check out all of the success stories at hbextract.com or to order call 866-295-5305.
[1:16:50.000 --> 1:16:57.000]  It's 866-295-5305, hbextract.com. Don't risk it when you can take charge of it.
[1:16:57.000 --> 1:17:02.000]  Hi, I'm Dan Pilla. I started fighting the IRS over 40 years ago when they tried to seize my mother's house.
[1:17:02.000 --> 1:17:07.000]  I sued the IRS in one. I beat the IRS then and I've been beating them ever since.
[1:17:07.000 --> 1:17:12.000]  I wrote the book on tax debt settlement and I've helped thousands of people deal with tax problems they thought might never be solved.
[1:17:12.000 --> 1:17:19.000]  I can help you too. If you owe taxes you can't pay, don't wait another day. There's no such thing as a hopeless tax case.
[1:17:19.000 --> 1:17:26.000]  It's 834 no tax or go to my website, danpilla.com, that's danpilla.com, danpilla.com.
[1:17:49.000 --> 1:17:55.000]  Wolfhillamo.com to see our great prices on these combo packs and other specialty shotgun ammo rounds.
[1:17:55.000 --> 1:17:58.000]  Wolfhillamo.com
[1:18:02.000 --> 1:18:08.000]  Years ago, Info Wars Life created the powerful MycoZX formula to help you combat internal yeast.
[1:18:08.000 --> 1:18:16.000]  As the years went on and more toxins were pumped into the environment, our team knew we had to create a bigger and better formula to help support your gut health.
[1:18:16.000 --> 1:18:24.000]  MycoZX Plus is the result of the search for that formula, a unique natural formula designed to support the body's natural cleansing of yeast and fungal organisms.
[1:18:24.000 --> 1:18:27.000]  There's no better product to help your body fight back.
[1:18:27.000 --> 1:18:36.000]  MycoZX Plus helps support a healthy microbial balance in the body, supports your digestive tract and addresses the intestinal yeast that can cause you problems if it goes unchecked.
[1:18:36.000 --> 1:18:48.000]  Powered by an impressive list of ingredients, including grapefruit seed extract, powdarko bark and grape seed extract, our formula is fueled by ingredients that stood the test of time as powerful micro balancing properties.
[1:18:48.000 --> 1:18:55.000]  Pick up a bottle of the new and improved MycoZX Plus today at InfoWarsLife.com. That's InfoWarsLife.com.
[1:18:55.000 --> 1:19:13.000]  So as we prepare to close out 2018, just remember, this life is a test and those of you that have been listening and watching and taking action, the victories of populism and nationalism and Christianity coming back from the dead and recognizing it's being persecuted,
[1:19:13.000 --> 1:19:25.000]  that's all because you are the core listening to InfoWars around the world, the eyes and ears of liberty that were immune or at least resistant to the globalist programming.
[1:19:25.000 --> 1:19:37.000]  Everybody knows who studies this, that it's Christians, real Christians who tend to be immune to the globalist brainwashing and who tend to see it, and that's why they're trying to eradicate you.
[1:19:37.000 --> 1:19:49.000]  But regardless, this fight is intensifying, 2018 has been insane, 2019 is going to be the big decision maker and I am so honored to be here with you right beside me.
[1:19:49.000 --> 1:20:09.000]  Not behind us, but right beside us and at the heart of everything, resisting these globalists. So whatever you do, take action and realize we're changing history together and I salute you.
[1:20:09.000 --> 1:20:21.000]  We've got it, we've got it, we've got it.
[1:20:21.000 --> 1:20:28.000]  It's Alex Jones coming to you live from the front lines of the InfoWars.
[1:20:28.000 --> 1:20:44.000]  So the globalists couldn't defeat the American system and it was too good an example. So the experts are jobs and technology in China and let it buy up our entertainment and everything, so the globalists have a country to run to if they ever lose the war against America or they get indicted.
[1:20:44.000 --> 1:20:58.000]  And that's really where this is. So Stephen W. Moser, expert on China, lived there many years when it first opened up the West, bully of Asia, bestselling author, big article out, New York Post, how a rest of Chinese princess exposes regime's world domination plot.
[1:20:58.000 --> 1:21:13.000]  Don't politely pause or all jump in. And the eight minutes we have left in this segment, get into how we defeat this, what you think of Trump, what Americans can do and what the stakes are here because this is getting crazy.
[1:21:13.000 --> 1:21:30.000]  Well, the stakes, Alex, couldn't be higher. I mean, this is about the big bazooly. This is about the future of the world. This is about whether or not our children and grandchildren will be forced to learn Chinese and the collected sayings of Chinese president Xi Jinping.
[1:21:30.000 --> 1:21:45.000]  Because make no mistake, what's happening in China right now with minorities, with the Uighurs, for example, the Turkish minority in the West, where they're being rounded up and sent by a million of them into concentration camps, where they're forbidden to speak their own language,
[1:21:45.000 --> 1:21:58.000]  practice their own religion, practice their own culture, they're required to learn Chinese. That's the model that China would use on its neighbors like the Vietnamese, the Cambodians and the rest, once its influence expands.
[1:21:58.000 --> 1:22:18.000]  So this is for the ballgame. And the reason why the Huawei business is so important is Huawei, which means to serve China, is a Chinese company that has been promoted and subsidized by the Chinese Communist Party for the last few decades in order to dominate high tech,
