[00:00.000 --> 00:29.000]  It's Sunday. July 8th, the year is 2021.
[30:39.000 --> 30:47.000]  So, X2, the dropper bottle and the spray bottle, 60 and 40% off for a limited time because it's selling out right now at infowarstore.com.
[30:47.000 --> 31:10.000]  Hit the sell going until it sells out, it'll probably take about two weeks. Don't procrastinate, take advantage of this special right now at infowarstore.com and check out the new products we just got in as well.
[31:17.000 --> 31:29.000]  Let me tell you, whether it's police chiefs or members of Congress or even folks in Hollywood or mainstream media or industry, people are really, really away from the establishment.
[31:29.000 --> 31:36.000]  They don't want to go along with the globalists, but they're scared, they're looking for leadership. Well, that's where info wars comes in.
[31:36.000 --> 31:50.000]  You fund us, you support infowarstore.com, you get great products at the same time. We will then go out and do what the globalists say is unpopular, what the globalists will target you for to show people that it's safe to tell the truth and to take the heat.
[31:50.000 --> 32:00.000]  That's our job, so please keep us on air so we can hit the bar wire, so we can be the shock groups in the information war. Fund us at infowarstore.com.
[32:00.000 --> 32:09.000]  Ladies and gentlemen, Owen Schroyer here, the host of the Info Wars War Room, and I am very excited about our latest supplement addition to infowarstore.com.
[32:09.000 --> 32:19.000]  Now, I've been supplementing with greens, fibers, and vegetable capsules for a long time, and so I was excited to hear that we were adding our own greens fiber caps to infowarstore.com.
[32:19.000 --> 32:33.000]  But then I read the ingredients and I was blown away. Listen to this. Organic pea fiber, organic alfalfa leaf, organic wheatgrass leaf, organic cilantro leaf, organic kale leaf, organic flax sprout, organic quinoa sprout.
[32:33.000 --> 32:45.000]  Ladies and gentlemen, all of these things are so incredible for your health. Just one of these ingredients can be a life changing supplement for your health, and we packed it all in to fibergreencaps at infowarstore.com.
[32:45.000 --> 33:02.000]  So I'm excited to add this to my supplement routine every day. I suggest that you do the same thing, and right now it's at an introductory price of $19.95. That's 33% off at infowarstore.com.
[33:02.000 --> 33:21.000]  You're listening to the Alex Jones Show.
[33:21.000 --> 33:39.000]  Here's why I'm so upset and why I spend all my energy now just not getting angry. I knew the globalists were ruthless. I knew they were evil. I knew they were going to do some really bad things, and I'd seen them beta test depopulation in wars and evil all over the world.
[33:39.000 --> 33:51.000]  So I was really concerned. This is a big, powerful, evil mafia a thousand times more powerful than any other group other than Christians opposing them for every race, color, and creed.
[33:51.000 --> 33:59.000]  And then I saw them launch their attack a year and a half ago, and I knew what it was. We were right day one, and we told you new lockdowns were coming. The vaccine's not going to work.
[33:59.000 --> 34:07.000]  It's going to attack all your organs. It's going to actually create new viruses in the body because we have all the top scientists that are actually on our side.
[34:07.000 --> 34:17.000]  That's the good news is we have like all the top scientists, all of them basically, except a few hacks like Fauci and others, and they all told us what would happen.
[34:17.000 --> 34:33.000]  And then it happened. And then now they're all saying, if you compare rat studies to human studies, if it killed the mice in a few months, they estimate two to three years where it's going to start killing all the humans.
[34:33.000 --> 34:40.000]  And Wolfgang Wudarg and Dr. Yenon, I've got all the reports right here.
[34:40.000 --> 34:53.000]  They said all this before one person was injected with it because they they've developed vaccines. These are the top guys.
[34:53.000 --> 35:13.000]  You know, I used to think about, because I covered at the time and I covered the trials and all about it, the deep water horizon, when BP ordered the engineers to not put concrete in the hole, and the engineers said 100% chance it blows up.
[35:13.000 --> 35:19.000]  And they still ordered them to do it. They followed the order and it blew up. And I used to think they were just arrogant and dumb.
[35:19.000 --> 35:27.000]  No, they knew what they were doing and had some reason to want to discredit oil companies or whatever, because, you know, BP's pushing the whole grain movement and carbon taxes.
[35:27.000 --> 35:41.000]  They did that on purpose. And that's what's hard for me to finally get to the level of is just how damn evil these people are.
[35:41.000 --> 35:49.000]  And you try to figure out why they're doing it. You'll never figure it out because they're following the devil's logic.
[35:49.000 --> 35:59.000]  So let me just get into the news, but it's just unbelievable because you turn on the TV and there's Biden stumbling around going, oh, you're going to get people killed if you don't take this.
[35:59.000 --> 36:05.000]  And then every study shows it's not a vaccine. It's super dangerous. It programs your body.
[36:05.000 --> 36:13.000]  Whether it's the J&J or the AstraZeneca or the mRNA with Moderna, they all do the same thing.
[36:13.000 --> 36:22.000]  Fauci did all these studies around the world decades ago and 10 years ago and eight years ago of every step of the way what this would do.
[36:22.000 --> 36:36.000]  And they told the vaccine makers in December before the story even broke, get ready to roll out your coronavirus COVID vaccines. And here is the blueprint we want you to make.
[36:36.000 --> 36:45.000]  You can make it any way you want, but you've got to have it have the body have an autoimmune response to this protein sequence.
[36:45.000 --> 36:54.000]  That is the shell of the virus, but also is in your ovaries, is in your brain, is in your lungs, is in your heart, is in your testicles.
[36:54.000 --> 37:04.000]  And then top scientists go, holy, the discoverer of HIV, the Nobel Prize winner goes, holy hell, 14 months ago.
[37:04.000 --> 37:10.000]  This is going to sterilize people and cause heart attacks and strokes.
[37:10.000 --> 37:17.000]  They all said that. But don't listen to Nobel Prize winners. Then we watched it happen.
[37:17.000 --> 37:23.000]  And what have they done to the Nobel Prize winner from France? What have they done to Wolfgang Wudhardt, the head EU advisor?
[37:23.000 --> 37:29.000]  What have they done to the former chief scientist at Pfizer? I've got all the articles right here.
[37:29.000 --> 37:42.000]  They block their videos and take down channels where even mainline news interviews them. When they have legislative hearings on it at the EU or in Florida or in Congress,
[37:42.000 --> 37:53.000]  Big Tech blocks Senate hearings with scientists saying this because there's no way they're going to launch this attack and get away with it if we're able to warn people.
[37:53.000 --> 37:59.000]  They're jamming our communications. This is war.
[37:59.000 --> 38:03.000]  And for TV viewers, I put them all on screen for radio listeners. Go watch the stream at infowars.com.
[38:03.000 --> 38:09.000]  It's shared. It'll be archived later. But yeah, there it is. Nobel Prize winner reveals COVID vaccine is creating variance.
[38:09.000 --> 38:13.000]  Yeah, how many months ago was that? Scroll up.
[38:13.000 --> 38:19.000]  And now it's all admitted. Even the New York Times all have admit that.
[38:19.000 --> 38:23.000]  That's from May.
[38:23.000 --> 38:32.000]  So I could sit here and go over all this news and I'm going to go over all the new stuff for you, but it's more of the same.
[38:32.000 --> 38:44.000]  Oh, sorry. Your COVID shots didn't work. You got to get more. There's a new variant. They were always going to have a new variant, a new variant, a new variant, a new variant, a new variant.
[38:44.000 --> 38:53.000]  To test God knows what on you, turning you into a guinea pig. I remember Bill Gates funded a study like five years ago on curing the common cold.
[38:53.000 --> 38:58.000]  And in the study, it said it'll take 10 shots a year to do it.
[38:58.000 --> 39:03.000]  You're not supposed to cure the common cold. It's how we exchange information with other humans and the earth.
[39:03.000 --> 39:07.000]  And then our body learns how to fight something, learns how to beat something and get stronger.
[39:07.000 --> 39:16.000]  It seems to make your immune system overall get weaker. It'll teach you how to defeat something, but it makes it weaker in the long term.
[39:16.000 --> 39:20.000]  That's what all the study shows. So what's happening is they're getting rid of our immune system.
[39:20.000 --> 39:26.000]  They're turning us into these kept corporate creatures that have to go back to them monthly. Yeah, there's the article.
[39:26.000 --> 39:33.000]  Now they want 10 shots a year. I told you that a year ago that they're going to want five to 10 shots a year. How did I know?
[39:33.000 --> 39:38.000]  They came out of Bill Gates' own organization and that sucker runs the whole show.
[39:38.000 --> 39:44.000]  But then they claim that, oh, we just don't have the science when we've got all the science here. They've lied to you.
[39:44.000 --> 39:50.000]  And if you have a memory, you'll remember all the lies they told you every step of the way.
[39:50.000 --> 39:56.000]  But let's just finish up this segment before I get into all the new COVID news and the new lockdowns are starting to announce around the world.
[39:56.000 --> 39:59.000]  Now the Democrats admit it's coming here next. Told you.
[39:59.000 --> 40:05.000]  But let's look at this. National strategy for countering domestic terrorism. That's in June.
[40:05.000 --> 40:08.000]  That's been out over a month now. I've been harping on that every day.
[40:08.000 --> 40:11.000]  So if you question lockdowns, you're a terrorist.
[40:11.000 --> 40:21.000]  And now here's the big zero-hedge article full of videos and links to all these Homeland Security officials saying Republicans are terrorists.
[40:21.000 --> 40:25.000]  The party should be outlawed. We should arrest Congress.
[40:25.000 --> 40:29.000]  I mean, they're going for a one-party dictatorship.
[40:29.000 --> 40:36.000]  And even saying the Democratic Party is working with Big Tech to read all your text messages and emails and decide what you can send and what you can't.
[40:36.000 --> 40:42.000]  I mean, that's what you do under total martial law. And that's mainline news now.
[40:42.000 --> 40:44.000]  God help us.
[40:44.000 --> 40:51.000]  And then again, report, Biden nominee edited radical eco-terrorist newsletter advocating violence against government officials.
[40:51.000 --> 40:56.000]  But now she runs the BLM or she's about to.
[40:56.000 --> 41:01.000]  So now it's okay. What's she know about land management? Nothing but kicking you off of it.
[41:01.000 --> 41:03.000]  Because China is the only place you can do business.
[41:03.000 --> 41:09.000]  Cancel Keystone Pipeline Company suing US for $15 billion.
[41:09.000 --> 41:16.000]  They paid $15 billion over a decade to build that pipeline to supply oil and gas to the United States.
[41:16.000 --> 41:21.000]  And now it's all shut off because they're not just waging war against Republicans or Christians or conservatives.
[41:21.000 --> 41:24.000]  They're waging war against America. We're being shut down.
[41:24.000 --> 41:26.000]  This is 21st century war.
[41:26.000 --> 41:30.000]  That's why the Virginia PTA leader said kill all the white people.
[41:30.000 --> 41:35.000]  Let them die for not wanting to be told they're evil and bad.
[41:35.000 --> 41:46.000]  That's why the Democratic Party came out defended the globalist backed Chinese backed Cuban government BLM backed them.
[41:46.000 --> 41:53.000]  And Marco Rubio is right. He said why don't you move to Cuba if it's so good BLM.
[41:53.000 --> 41:56.000]  The globalists are declaring war on America.
[41:56.000 --> 41:59.000]  They're declaring those of us that don't buy their bulls the enemy.
[41:59.000 --> 42:03.000]  And they're saying if you don't take the shot, you're killing other people.
[42:03.000 --> 42:07.000]  And I thought the shot was protecting everybody who took it.
[42:07.000 --> 42:08.000]  So why am I killing them?
[42:08.000 --> 42:21.000]  And then the real science shows it's causing variants in viruses really the shedding that makes your body be attacked by a virus that mimics your own protein.
[42:21.000 --> 42:24.000]  What a genius weapon giving us autoimmune disease.
[42:24.000 --> 42:36.000]  Fauci was instrumental in the HIV pandemic. Of course, evidence has come out that the CDC at the time he was heading it up with the NIH was adding HIV into hepatitis shots in the gay men's.
[42:36.000 --> 42:38.000]  They'd be a good vector and share it.
[42:38.000 --> 42:42.000]  And then of course, launching a whole depopulation program against Africa.
[42:42.000 --> 42:44.000]  And now he's giving you a new form of HIV.
[42:44.000 --> 42:48.000]  That's what COVID-19 is as the delivery system of HIV.
[42:48.000 --> 42:50.000]  And it is a spike protein that's toxic.
[42:50.000 --> 42:53.000]  Yes, they released HIV on all of us, ladies and gentlemen.
[42:53.000 --> 42:55.000]  And now they're killing us.
[42:59.000 --> 43:01.000]  The world is awakening.
[43:01.000 --> 43:05.000]  The world is beginning to understand the globalist paradigm.
[43:05.000 --> 43:16.000]  They are discovering the globalist, the elites, the manipulation, the CFR, the trilateral commission, the Bilderberg group, the Bohemian Grove, the Club of Rome.
[43:16.000 --> 43:20.000]  And so even though it seems like the globalists are winning,
[43:20.000 --> 43:26.000]  the truth is they've had to come out of the open to attack human freedom because they're actually losing.
[43:26.000 --> 43:29.000]  We have forced them out in the open.
[43:29.000 --> 43:33.000]  So as bad as these times are, a lot of negative things are about to happen.
[43:33.000 --> 43:35.000]  Realize humanity is winning.
[43:35.000 --> 43:40.000]  You've got to trust in the plan of God and trust in the plan of God's justice.
[43:40.000 --> 43:42.000]  That is invincible.
[43:42.000 --> 43:45.000]  That is ethereal, timeless, and unstoppable.
[43:45.000 --> 43:51.000]  So don't trust in man, trust in God, to lead God and direct your soul, and then take action against the globalists.
[43:51.000 --> 43:55.000]  And realize, you've got my commitment from Alex Jones and my crew to you.
[43:55.000 --> 43:59.000]  We will never back down from the globalists and we will never surrender.
[43:59.000 --> 44:02.000]  I never had a marketing plan for Impal Wars.
[44:02.000 --> 44:06.000]  I went out and found the best products I could find from the research to fund our operation.
[44:06.000 --> 44:11.000]  I wanted you to get products that empowered you, that you loved, so you'd want to come back and buy more.
[44:11.000 --> 44:13.000]  I treat you like I want to be treated.
[44:13.000 --> 44:16.000]  It's simple, it's instinctive, it's spiritual, it's what I do.
[44:16.000 --> 44:19.000]  And that said, our iodine products have become our best sellers.
[44:19.000 --> 44:26.000]  And X2 right now is discounted because listeners and viewers are habituated to only buy it when it's on sale.
[44:26.000 --> 44:28.000]  And so I'm going to catch 22.
[44:28.000 --> 44:30.000]  When I don't have it on sale, I don't sell it.
[44:30.000 --> 44:33.000]  But we're selling out of all other products because of supply chain breakdowns.
[44:33.000 --> 44:35.000]  And so I'm going to catch 22.
[44:35.000 --> 44:37.000]  I need to sell products at full price, but I can't.
[44:37.000 --> 44:39.000]  I got to sell them at discount.
[44:39.000 --> 44:45.000]  And so it's discounted 40% off for the dropper bottle, 60% off for the spray bottle, even though it's about to sell out.
[44:45.000 --> 44:47.000]  It won't be available for months.
[44:47.000 --> 44:48.000]  So get it.
[44:48.000 --> 44:55.000]  X2 is selling out at InfalWarsTour.com for 40% and 60% off with double page reappoints and free shipping.
[44:55.000 --> 44:56.000]  Because why?
[44:56.000 --> 44:57.000]  That's when you buy it.
[44:57.000 --> 44:58.000]  We need your funds or it'll be off air.
[44:58.000 --> 45:00.000]  It's an amazing product.
[45:00.000 --> 45:08.000]  I preach about the dangers of cell phones all day long because they're supercomputers controlled by big tech that are spying on us everywhere we go and what we do.
[45:08.000 --> 45:17.000]  But because they have great cameras and great recording systems and great ways to communicate, I still have one because this Trojan horse, this Promethean fire, has a lot of power.
[45:17.000 --> 45:24.000]  But when I'm not using it, I lock it up in a high quality Faraday cage, a privacy pocket at InfalWarsTour.com.
[45:24.000 --> 45:26.000]  We finally got them back in stock, the highest rated.
[45:26.000 --> 45:32.000]  They fit almost all types of androids and iPhones at 50% off, $14.95.
[45:32.000 --> 45:49.000]  They sell these babies for $29.95 all day long. We've got a private label for InfalWars on them for $14.95 because I want you to get them and I want you to buy friends and family these systems to educate them about what these, quote, smart phones really are.
[45:49.000 --> 45:52.000]  This is a great way to limit your phone time use.
[45:52.000 --> 45:57.000]  It's a great way to spend more time with your family and it's a great way to know you're not being tracked by the criminal globalist system.
[45:57.000 --> 46:00.000]  They're 50% off right now at InfalWarsTour.com.
[46:00.000 --> 46:04.000]  Alex Jones here with two big announcements in the next 60 seconds.
[46:04.000 --> 46:11.000]  First off, green fiber capsules, highest quality fiber you're going to find with all the amino acids and a ton of vitamins and minerals.
[46:11.000 --> 46:14.000]  This is an incredible formula. Everybody should be taking it.
[46:14.000 --> 46:19.000]  Men, women, children, old, young, black, white, it doesn't matter. It's an amazing product. It's our newest product.
[46:19.000 --> 46:23.000]  It's 50% off out of the gates, InfalWarsTour.com.
[46:23.000 --> 46:31.000]  Then we have both types of X2s, the exact same X2 with a bottle, but one has a spray cap, one has a dropper cap for 60 and 40% off depending on which one.
[46:31.000 --> 46:34.000]  They're both excellent at InfalWarsTour.com.
[46:34.000 --> 46:41.000]  The 60% off of the spray bottle is unprecedented, but I want you to experience the power of the good halogen and learn about the iodine conspiracy.
[46:41.000 --> 46:44.000]  It's all available at InfalWarsTour.com.
[46:44.000 --> 46:52.000]  The new green fiber capsules, 50% off and X2 in the spray bottle and in the dropper bottle for 60 and 40% off.
[46:52.000 --> 46:59.000]  And it funds the InfalWars. Experience Deep Earth Crystal iodine for itself and keep your gut healthy at InfalWarsTour.com.
[47:22.000 --> 47:27.000]  We are now at InfalWarsTour.com.
[47:53.000 --> 47:57.000]  Welcome back, ladies and gentlemen, a fun little song for us.
[47:57.000 --> 48:01.000]  I was back like three years ago and I was having a big fight with Joe Rogan.
[48:01.000 --> 48:06.000]  We played the Stinky Snake song and now it's still on the computer.
[48:06.000 --> 48:08.000]  Joe's not a snake. He's a good guy.
[48:08.000 --> 48:13.000]  He's being the guy I knew he was now. Hardcore, anti-globalist, anti-vax, gets it all.
[48:13.000 --> 48:17.000]  He got his freedom and it's beautiful and it's very exciting to see happen.
[48:17.000 --> 48:24.000]  Okay, look, I'm going to open the phones up during the weekday show every day this week.
[48:24.000 --> 48:31.000]  And I really want to open the phones up and ask, how are you taking the force inoculations, the death, the destruction, the lies,
[48:31.000 --> 48:36.000]  and where do you see this going and what do you think we should do to oppose it and fight back against it?
[48:36.000 --> 48:40.000]  Oh, and Shroyer was out yesterday, driving around town with a bullhorn,
[48:40.000 --> 48:44.000]  educating people about the fact that lockdown twos are coming. That's great.
[48:44.000 --> 48:49.000]  What are we all collectively going to do while all these big corporations line up with the media
[48:49.000 --> 48:54.000]  and try to gaslight us that you better take all these inoculations and you're murderers if you don't
[48:54.000 --> 48:58.000]  and you're bad if you don't do what we say and we're going to make you have a medical ID
[48:58.000 --> 49:02.000]  and, oh, sorry, the vaccine didn't work. You've still got to take more.
[49:02.000 --> 49:07.000]  I mean, this is crazy. It's a total assault.
[49:07.000 --> 49:11.000]  It's a war against humanity, hidden as a medical emergency.
[49:11.000 --> 49:14.000]  So let's do this. Let's run through a bunch of headlines.
[49:14.000 --> 49:17.000]  And each one of these headlines, they can do a whole hour on.
[49:17.000 --> 49:22.000]  So it's up to you to go look at these for yourself and find this out for yourself.
[49:22.000 --> 49:31.000]  New study in the U.K., people who have been vaccinated make up 47% of new COVID cases
[49:31.000 --> 49:36.000]  and in other studies, the majority of death in the U.S. as well.
[49:36.000 --> 49:41.000]  And that's the government's own Orwellian tracking app
[49:41.000 --> 49:45.000]  that they put on everybody's phone, whether you like it or not,
[49:45.000 --> 49:48.000]  shows who it's happening to, but they're not publicizing this data.
[49:48.000 --> 49:53.000]  The experimental jab has been getting worse results as time progresses.
[49:53.000 --> 49:55.000]  It's just a few months ago.
[49:55.000 --> 50:01.000]  Only 25% of people who received the shot caught the Wu hand flu after.
[50:01.000 --> 50:03.000]  Gosh, Omani, it's supposed to be 100%.
[50:03.000 --> 50:06.000]  I mean, I never took any of it. I've shot millions, not millions.
[50:06.000 --> 50:09.000]  I've been around millions of people. I've shot thousands of hands. I've never got sick.
[50:09.000 --> 50:14.000]  And that number has now risen to 47% according to study.
[50:14.000 --> 50:18.000]  And you can go to this gatewaypundit.com article,
[50:18.000 --> 50:24.000]  and it links into the study on the English U.K. website.
[50:24.000 --> 50:27.000]  I mean, it's not like we're just telling you this like, you know, Fauci,
[50:27.000 --> 50:29.000]  oh, everybody's dying because they didn't take the shot.
[50:29.000 --> 50:33.000]  Oh, it's 100% effective. Oh, just all lies.
[50:33.000 --> 50:36.000]  This is the actual studies with the links.
[50:36.000 --> 50:39.000]  Let's continue. This is another article, Zero Edge.
[50:39.000 --> 50:42.000]  This is worrying me quite a bit.
[50:42.000 --> 50:51.000]  mRNA vaccine inventor shares viral thread showing COVID surge in most vax countries.
[50:51.000 --> 50:55.000]  So just like Gateway Pundit did a big article linking through the U.K.
[50:55.000 --> 50:59.000]  government's database showing that the majority of folks dying took the COVID shot
[50:59.000 --> 51:03.000]  and 47% of the new cases got the COVID shot.
[51:03.000 --> 51:08.000]  This goes into links all over the world on their own reporting that none of it hits the news.
[51:08.000 --> 51:10.000]  And the U.S. Surgeon General is desperate.
[51:10.000 --> 51:14.000]  Don't look at this. Don't talk about this. Forget this.
[51:14.000 --> 51:21.000]  Dr. Robert Malone, the discoverer of mRNA, the main owner of the technology.
[51:21.000 --> 51:24.000]  The man's worth a billion bucks, they say.
[51:24.000 --> 51:27.000]  He's the one saying this is a total lie and it's a misuse.
[51:27.000 --> 51:30.000]  And it's going to discredit this technology.
[51:30.000 --> 51:33.000]  Dr. Robert Malone, a pioneer in the field of mRNA vaccine,
[51:33.000 --> 51:38.000]  shared a viral Twitter thread on Friday which lays out a disturbing trend.
[51:38.000 --> 51:42.000]  The most vaccinated countries in the world are experiencing a surge in COVID-19 cases
[51:42.000 --> 51:44.000]  while the least vaccinated countries are not.
[51:44.000 --> 51:51.000]  And that's where viral shedding and the shots killing people with the spike protein
[51:51.000 --> 51:53.000]  and then they call that COVID-19.
[51:53.000 --> 51:57.000]  And by the way, I just go off anecdotal stuff.
[51:57.000 --> 51:59.000]  Sure, I go off all these studies fine.
[51:59.000 --> 52:03.000]  I've never seen so much of my family sick that ever gets sick.
[52:03.000 --> 52:05.000]  I've never seen so many children sick.
[52:05.000 --> 52:08.000]  I've got a four-year-old daughter who's basically never been sick.
[52:08.000 --> 52:12.000]  She had a fever for two weeks, coughed her lungs out.
[52:12.000 --> 52:15.000]  We went and had her tested. Oh, you're not positive.
[52:15.000 --> 52:17.000]  And I said, let me guess.
[52:17.000 --> 52:19.000]  What's that test cut to?
[52:19.000 --> 52:21.000]  And they looked and said, how do you know this?
[52:21.000 --> 52:23.000]  30%, 30% is what we're told to do.
[52:23.000 --> 52:25.000]  I said, turn it up. Oh, we're not allowed to turn it up.
[52:25.000 --> 52:27.000]  See, I'm starting to say a little bit behind the scenes stuff.
[52:27.000 --> 52:30.000]  I'm living this, ladies and gentlemen.
[52:30.000 --> 52:32.000]  Think I care about my four-year-old?
[52:32.000 --> 52:35.000]  If they got a shot, makes her healthy, I'll give it to her like that.
[52:35.000 --> 52:38.000]  I believe in technology. This is fraudulent technology.
[52:38.000 --> 52:41.000]  Can you imagine all the bad-ass stuff they've got that actually helped people?
[52:41.000 --> 52:44.000]  They discovered penicillin in World War II.
[52:44.000 --> 52:46.000]  We've never gotten past that.
[52:46.000 --> 52:49.000]  They're suppressing all the good stuff.
[52:49.000 --> 52:51.000]  Oh, that's a whole other subject.
[52:51.000 --> 52:53.000]  It's come out in China and Germany,
[52:53.000 --> 52:55.000]  even the London Guard has reported on it years ago,
[52:55.000 --> 52:59.000]  that the elites get special medicines and special treatments
[52:59.000 --> 53:01.000]  and special vaccines that actually work.
[53:01.000 --> 53:03.000]  We don't get them.
[53:03.000 --> 53:05.000]  I'm not against vaccines. I'm not against technology.
[53:05.000 --> 53:09.000]  They're not giving us the good stuff.
[53:09.000 --> 53:12.000]  They said they want to kill us.
[53:12.000 --> 53:14.000]  This is me off.
[53:14.000 --> 53:18.000]  So, yeah, my four-year-old daughter got tested.
[53:18.000 --> 53:20.000]  And let me tell you something.
[53:20.000 --> 53:22.000]  She had some kind of pneumonia crap,
[53:22.000 --> 53:25.000]  but, oh, see, they're not supposed to announce the cases are up yet.
[53:25.000 --> 53:28.000]  When she got tested a week ago, I'm sure we took her in a week.
[53:28.000 --> 53:29.000]  She's fine now.
[53:29.000 --> 53:30.000]  I think God got plenty of vitamin D
[53:30.000 --> 53:32.000]  and a little salt with the rest of it.
[53:32.000 --> 53:33.000]  And plenty of sunshine.
[53:33.000 --> 53:35.000]  I hauled her ass outside in the backyard,
[53:35.000 --> 53:37.000]  made her, you know, play around out in the yard and stuff.
[53:37.000 --> 53:39.000]  And when she was sick with the sun, that got her better.
[53:39.000 --> 53:42.000]  But this is what I'm talking about here, ladies and gentlemen.
[53:42.000 --> 53:45.000]  Imagine if she had gone to a real doctor that had just tested her
[53:45.000 --> 53:48.000]  and they'd given her aerosolized steroids
[53:48.000 --> 53:49.000]  that had given her Abermectin,
[53:49.000 --> 53:50.000]  that had given her hydroxychloroquine,
[53:50.000 --> 53:54.000]  they won't give it to you.
[53:54.000 --> 53:57.000]  Because they're told through their computers what they can do.
[53:57.000 --> 54:01.000]  It's all controlled.
[54:01.000 --> 54:02.000]  I'm pissed.
[54:02.000 --> 54:07.000]  This is worrying me quite a bit, says the discoverer of mRNA,
[54:07.000 --> 54:09.000]  that they're discovering the surge in countries
[54:09.000 --> 54:10.000]  where they're vaccinated.
[54:10.000 --> 54:11.000]  Well, they knew what they were doing.
[54:11.000 --> 54:13.000]  And we told you over a year ago that would happen.
[54:13.000 --> 54:15.000]  Here's another one.
[54:15.000 --> 54:18.000]  Pfizer COVID vaccine is definitely less effective against Delta variant.
[54:18.000 --> 54:21.000]  Jerusalem Post goes on to say that it's the vaccinated
[54:21.000 --> 54:23.000]  or the ones that are getting sick.
[54:23.000 --> 54:25.000]  Look at this.
[54:25.000 --> 54:28.000]  The effectiveness of the Pfizer vaccine against the Delta variant
[54:28.000 --> 54:30.000]  is weaker than health officials had hoped.
[54:30.000 --> 54:32.000]  Oh, I thought it was 90% effective.
[54:32.000 --> 54:35.000]  Turns out you're more likely to get sick if you had it,
[54:35.000 --> 54:37.000]  which is all the scientists said.
[54:37.000 --> 54:40.000]  If you take something that makes you have an autoimmune response
[54:40.000 --> 54:44.000]  to the protein jacketing of thousands of known viruses,
[54:44.000 --> 54:46.000]  what's going to happen when you run into one?
[54:46.000 --> 54:48.000]  You're going to have an autoimmune response.
[54:48.000 --> 54:52.000]  And they're going to call it COVID.
[54:52.000 --> 54:54.000]  They're destroying your immune system, folks.
[54:54.000 --> 54:58.000]  They're basically giving you a spike protein form of HIV.
[54:58.000 --> 55:01.000]  That's why if you take these vaccines,
[55:01.000 --> 55:03.000]  a lot of folks come up testing positive for HIV.
[55:03.000 --> 55:05.000]  They're telling them, don't worry.
[55:05.000 --> 55:07.000]  It says you've got HIV, but it's OK.
[55:07.000 --> 55:11.000]  And all these liberals are out giving their babies and toddlers
[55:11.000 --> 55:14.000]  a shot to test on them because they're such heroes.
[55:14.000 --> 55:16.000]  They're the left that didn't abort their kid,
[55:16.000 --> 55:18.000]  but they're aborting them later.
[55:18.000 --> 55:22.000]  Doctors and health officials say their latest COVID-19 hospital patients
[55:22.000 --> 55:24.000]  are unvaccinated and increasingly younger.
[55:24.000 --> 55:25.000]  See it in.
[55:25.000 --> 55:27.000]  They give no proof, no evidence, nothing,
[55:27.000 --> 55:30.000]  but Fauci's lying ass.
[55:33.000 --> 55:35.000]  Fauci's lying ass.
[55:35.000 --> 55:37.000]  Fauci lies, Fauci lies.
[55:37.000 --> 55:39.000]  Fauci is the enemy.
[55:42.000 --> 55:44.000]  Meanwhile, remember last week,
[55:44.000 --> 55:46.000]  Macron caused riots all over the country.
[55:46.000 --> 55:48.000]  They came out and announced,
[55:48.000 --> 55:51.000]  you can't buy food or leave your house if you don't take the shot.
[55:51.000 --> 55:53.000]  Then they gaslit and said, oh, no, that's a conspiracy theory.
[55:53.000 --> 55:54.000]  He never said it.
[55:54.000 --> 55:56.000]  He sent them a national address.
[55:56.000 --> 55:58.000]  Well, now he's found an executive order.
[55:58.000 --> 56:00.000]  It's up on infowars.com with the executive order.
[56:00.000 --> 56:03.000]  Fritz faced six months in jail for entering a bar or restaurant
[56:03.000 --> 56:05.000]  without a COVID pass,
[56:05.000 --> 56:08.000]  putting you in prison cells of your own home
[56:08.000 --> 56:10.000]  because you don't take that shot.
[56:10.000 --> 56:12.000]  Gee, wonder what's in the shot?
[56:12.000 --> 56:14.000]  A sterilant.
[56:14.000 --> 56:16.000]  Does Macron or any other EU leader have a child?
[56:16.000 --> 56:18.000]  No, they're in the cult.
[56:18.000 --> 56:21.000]  Is that man a predator?
[56:21.000 --> 56:22.000]  Damn right.
[56:22.000 --> 56:23.000]  Here's CNN.
[56:23.000 --> 56:26.000]  Say goodbye to your COVID care freeze summer.
[56:26.000 --> 56:28.000]  Oh, because the people won't take the shot.
[56:28.000 --> 56:30.000]  Now we're going to have to do new lockdowns.
[56:30.000 --> 56:32.000]  We always knew that was coming.
[56:32.000 --> 56:33.000]  Take the shot.
[56:33.000 --> 56:34.000]  Oh, the lockdown's over.
[56:34.000 --> 56:35.000]  Oh, enough.
[56:35.000 --> 56:36.000]  Didn't take it.
[56:36.000 --> 56:37.000]  Lockdown's back.
[56:37.000 --> 56:38.000]  Oh, sorry.
[56:38.000 --> 56:39.000]  Your COVID vaccine didn't work.
[56:39.000 --> 56:40.000]  Take more.
[56:40.000 --> 56:41.000]  Wear a mask.
[56:41.000 --> 56:42.000]  I mean, it's a trap.
[56:42.000 --> 56:43.000]  They want martial law.
[56:43.000 --> 56:44.000]  They want post-industrial world.
[56:44.000 --> 56:50.000]  They live on their big giant plantations and estates
[56:50.000 --> 56:54.000]  while you live in a compact apartment dying.
[56:54.000 --> 56:59.000]  Top Democrat demands national face mask mandate from Biden
[56:59.000 --> 57:01.000]  after three of his colleagues test positive for COVID.
[57:01.000 --> 57:04.000]  All of which have been given the vaccine.
