[00:00.000 --> 00:04.740]  Gavin McInnes is back with his all-new online network, FreeSpeech.tv.
[35:12.740 --> 35:23.740]  Why are you allowing your country to be stolen from you? Why aren't you rising up and speaking out with your voice, you know, legally and lawfully protesting what's happening to your country?
[35:23.740 --> 35:28.740]  Because we've got it figured out. We know exactly what's happening. In fact, I'm going to get to that right now.
[35:28.740 --> 35:38.740]  Fiona Hill has been identified by sources close to Infowars.com as the name of the second whistleblower.
[35:38.740 --> 35:50.740]  Fiona Hill, former National Security Council member, former Brookings Institution served on the National Intelligence Council from 2006 to 2009 under Obama, of course.
[35:50.740 --> 36:03.740]  She was the National Intelligence Officer for Russia and Eurasia, and she oversaw 16 member agencies of the US intelligence community, including the CIA and the NSA.
[36:03.740 --> 36:13.740]  According to sources who have informed Infowars of this, she is the lone whistleblower. There is no other whistleblower as of yet.
[36:13.740 --> 36:25.740]  Whistleblower number one was faked. Whistleblower number one is fabricated. Doesn't exist. They cited Fiona Hill's quote facts.
[36:25.740 --> 36:32.740]  And this is why the identity of whistleblower number one is not being released. This is why the whole thing is shrouded in secrecy.
[36:32.740 --> 36:42.740]  Because Adam Schiff has been colluding with the Deep State Intelligence Community members and the Deep State media to fabricate fake whistleblowers.
[36:42.740 --> 36:50.740]  Whistleblower number two is Fiona Hill, according to sources who have spoken with Infowars. Fiona Hill is also being called to testify.
[36:50.740 --> 36:59.740]  So one person, Fiona Hill, now becomes three people. This is called parallel construction. This is how the Deep State runs things all the time.
[36:59.740 --> 37:10.740]  They have one person who pretends to be three. They will have this person be the anonymous whistleblower or the anonymous source, and then later on that person will be called to testify.
[37:10.740 --> 37:20.740]  You know, reluctantly, oh, I had to testify. I was called to testify. And then they provide the expert testimony to back up the so-called whistleblowers who don't even exist.
[37:20.740 --> 37:28.740]  Except as that same person. It's smoke and mirrors, folks. It's all smoke and mirrors. There are bombshell stories right now at Infowars.com.
[37:28.740 --> 37:36.740]  Soros Mole. Fiona Hill to testify in congressional Ukraine witch hunt. Yes, she is a Soros Mole.
[37:36.740 --> 37:53.740]  In fact, if you go back to 2017, it was none other than Roger Stone as a guest here on Infowars.com that said at that time that Fiona Hill was being installed as a Mole to function as a Deep State spy inside the Trump administration.
[37:53.740 --> 38:03.740]  And she has carried out her treason according to plan. And she is one of many treasonous traitors who must be stopped if we are to save this Republic.
[38:03.740 --> 38:08.740]  Now, let's get to this emergency message to President Trump. But I don't have this scripted, by the way.
[38:08.740 --> 38:16.740]  Nothing wrong with scripting. You know, Tucker Carlson does a great job by, you know, planning his thoughts in advance, writing it up. That's great.
[38:16.740 --> 38:30.740]  But I always like to react to what's happening right now in this moment. There's a feeling about what's happening in America. There's rising trepidation, concern, but also patriotism.
[38:30.740 --> 38:40.740]  So I don't have this scripted. But what I need to say to President Trump and any of his allies who are listening is that President Trump, you may be surrounded.
[38:40.740 --> 38:49.740]  In fact, you are surrounded by Deep State traitors in Washington, DC. But those Deep State traitors are surrounded by we the people.
[38:49.740 --> 39:05.740]  We the people outnumber all the traitors who are threatening this country. And President Trump, we are ready to defend legally and lawfully this nation, your presidency, the election of 2016.
[39:05.740 --> 39:18.740]  We are ready to defend this country. We are ready to defend our borders. We are ready to defend this nation against the lawless treasonous left, the lunatics who want to burn this country down.
[39:18.740 --> 39:32.740]  The communists who want to see this country fail. Those who push destruction and suffering and the murder of babies that are born alive.
[39:32.740 --> 39:43.740]  We are here to stand against suffering and destruction and pain. We are here to support our republic and to support your presidency, President Trump.
[39:43.740 --> 39:59.740]  So if you get into a situation which seems to be coming where you feel surrounded, where there's nothing, you've given the orders legally and lawfully, and the traitors inside your own administration are refusing to follow them.
[39:59.740 --> 40:09.740]  Well, guess what, President Trump, you call for we the people. We the people are here and ready to assist. We are ready to defend.
[40:09.740 --> 40:21.740]  We are ready to reestablish law and order in this country. Again, legally and lawfully, we are ready to descend upon Washington DC with your authorization to defend this nation.
[40:21.740 --> 40:28.740]  In fact, our founding fathers gave us all permission to do that. It's written in the Second Amendment.
[40:28.740 --> 40:40.740]  It's right there and in the papers and the speeches that led up to the Bill of Rights that the Second Amendment was created so that the American people would be able to counter the rise of tyranny.
[40:40.740 --> 40:56.740]  And in this moment in history when America faces this most grave threat of a deep state intelligence operation that now seeks total domination and control over our elections, over our media, over our tech giants,
[40:56.740 --> 41:06.740]  over everything in our country, banking, finance, history, everything. In this moment, this is the moment the Second Amendment was written for.
[41:06.740 --> 41:18.740]  And it doesn't mean that we espouse violence. We abhor violence. We abhor lawlessness. We espouse civil society, and it is that civility that the left has abandoned.
[41:18.740 --> 41:26.740]  It is the due process that they have abandoned. They do not afford you, President Trump, one iota of due process.
[41:26.740 --> 41:35.740]  They have stripped away from you the rights that any reasonable person would have under any trial, any reasonable court system anywhere in the world.
[41:35.740 --> 41:44.740]  The right to face your accusers, the right to cross-examine your accusers, the right to present your own witnesses in your own testimony, your own evidence.
[41:44.740 --> 41:52.740]  They have denied you that right, Mr. President, but you are not alone.
[41:52.740 --> 42:01.740]  And you know, one more thing, Mr. President, everybody likes to ask you for something. You notice that? Everybody wants you to do something, President Trump.
[42:01.740 --> 42:07.740]  They say you fix this, you do that, and there are a million requests for you to do something.
[42:07.740 --> 42:15.740]  Well, I'm here today to say that all of us, all of us who are patriots, all of us who love this country, all of us who voted to put you into office,
[42:15.740 --> 42:28.740]  we are here not to ask you to do this, but to help you do this. We are here at your service. We are here to help you defeat the deep state, arrest the traitors,
[42:28.740 --> 42:37.740]  invoke the Insurrection Act if you need to. We will be here to help restore law and order in societies as the left tries to burn this country down.
[42:37.740 --> 42:45.740]  As they bomb government buildings and carry out arson and attempted mass killings across America, we the people, with your support, President Trump,
[42:45.740 --> 42:55.740]  we will be here to defend this nation, to defeat the enemies of America, and to restore this republic to the greatness that it once was and can be again.
[42:55.740 --> 43:04.740]  Make America great again, but, Mr. President, you don't have to do it alone. We are with you. We, the people, are with you.
[43:04.740 --> 43:08.740]  Much more straight ahead, infowords.com, special message from Alex Jones.
[43:08.740 --> 43:18.740]  Communist China quietly bought up Hollywood more than a decade ago, and they've been approving almost all the scripts that you see on television or in the movies for many years.
[43:18.740 --> 43:26.740]  And now they own our debt. Now they own the Democratic Party. Now they've merged with Silicon Valley to censor patriots off the air.
[43:26.740 --> 43:33.740]  Washington Post comes out and says they hope that G.G. Ping, the dictator of China, will, quote, destroy Trump. That's a headline.
[43:33.740 --> 43:41.740]  So info wars has been the Paul Revere of this operation. We have blown the whistle continuously and have been proven right.
[43:41.740 --> 43:51.740]  And that's why it's more important than ever that we override Silicon Valley and their chai-com masters by word of mouth and spread the word about info wars and check out infowarstore.com.
[43:51.740 --> 44:14.740]  That's where the arsenal of our republic is being funded. That's where the tip of the spear is continually being forged, is infowarstore.com.
[44:14.740 --> 44:24.740]  As the Roman historian and senator Cicero warned, a powerful empire can't fall from without before it first falls from within.
[44:24.740 --> 44:37.740]  So yes, they're coming for your guns, all of them. Yes, they're coming for your children. They've already taken your speech almost everywhere, except pockets of resistance like infowars.com and band.video.
[44:37.740 --> 44:45.740]  So now you know why I'm so upset. Now you know why I'm so angry. I saw the producers of South Park on TV. They're totally pissing angry.
[44:45.740 --> 44:53.740]  People are like, why are they angry? Because they see all of their freedom, their American freedom, hard fought, taken away. Are you going to get upset?
[44:53.740 --> 44:59.740]  Well, you're a listener. You obviously are upset. But you've got to ring the alarm everywhere until others, they've got to get upset.
[44:59.740 --> 45:08.740]  And then take action and let Congress, everybody else know that we're not backing down and we're not going to sell America out to the Chicoms.
[45:08.740 --> 45:10.740]  Josh in Washington, you're on the air. Go ahead.
[45:10.740 --> 45:20.740]  Alex, God bless you. I have an idea for a new infowars t-shirt instead of this is your brain, this is your brain on drugs, this is your brain, this is your brain on 5G.
[45:20.740 --> 45:31.740]  Oh, yeah. Showing your brain, getting frat. Then I have some comments on your supplements, man. Totally changed my life. I use turbo force, bodies, alpha power, brain force, fish oil, ultra 12, daily, X2 every several days.
[45:31.740 --> 45:43.740]  Now, what I've found is really combining them is totally synergistic and transcendent feeling that I get by combining all your products and I just want to urge all your listeners who haven't tried them, I just want to say why not.
[45:43.740 --> 45:53.740]  Well, you're right that all of these things are known to be incredible, whether it's turmeric or whether it's the fish oil or the krill oil or whether it's the DNA force with the CoQ10 and BioPQQ and all the rest of it.
[45:53.740 --> 46:00.740]  All of these are things that are like rocket fuel on the body. You take these bases together, then you have your foundation, now you can build the big strong temple.
[46:00.740 --> 46:09.740]  With these products I take, when I religiously remember to take them, it makes my life so much better and then it funds the information war, which is so critical. Thank you so much. God bless you.
[46:09.740 --> 46:16.740]  Now is the critical time to keep him full wars on the air. Everything we've warned of is now being exposed and is out in the open.
[46:16.740 --> 46:29.740]  I want to be clear, it's not coming true, it was already true. I didn't predict all this, it was already going on. Now the globalists are making their move with the Chai comms, so it's naked, it's brazen.
[46:29.740 --> 46:40.740]  Here's the point when the enemy emerges. It's like before World War II, the Poles kept warning that Nazi Germany was going to attack them. Nobody believed them as they saw the troops massing until it finally happened.
[46:40.740 --> 46:49.740]  We're at that same point and we're all Paul Revere's who need to be out there warning everyone about what's unfolding because this is the critical fight.
[46:49.740 --> 46:59.740]  And thank God America and the world is waking up at the 11th hour, 58 minutes, but will it be too little, too late? That's up to you. This battle's hot, it's real.
[46:59.740 --> 47:19.740]  So spread the word and support M4 Wars today at m4store.com, but whatever you do, spread the word about the live transmission.
[47:29.740 --> 47:37.740]  M4 Wars, tomorrow's news today.
[47:37.740 --> 48:05.740]  George Soros has penetrated the Trump White House. Soros has planted a mole infiltrating the national security apparatus. A woman named Fiona Hill, who has a Harvard background, has been on the Soros payroll and the payroll of the Open Society Institute, has been brought into the Trump White House by General McMaster.
[48:05.740 --> 48:17.740]  We are about to break some extremely important news that affects the Trump presidency, that affects not just our nation, but the world. This is really huge information.
[48:17.740 --> 48:43.740]  First off, we know who the second whistleblower is. Deep State Mole, George Soros, Hillary funded him back, Fiona Hill. Now we're not just breaking this now. Back in July of 2017, Roger Stone was in D.C., he talked to his contacts, and they pointed out that Fiona Hill was bringing in McMaster and all these other people and all these Soros people into the State Department and other agencies,
[48:43.740 --> 48:54.740]  and that we absolutely had to investigate it and warn Trump. Well, we did investigate it, we found it was totally true, and we began to warn President Trump. All hell broke loose.
[48:54.740 --> 49:18.740]  Roger Stone then came back on my show. These videos are all posted on m4wars.com, and a big article right now, and said, I just got threatened. I'm told I'm going to be set up and put in prison if I don't back down. But he said, I'm not backing down. I don't care. I just formed an organization called the 45 Group that's going to back Trump and go up against these people that are funding their criminal operations against Trump and America out of Ukraine.
[49:18.740 --> 49:30.740]  Because that was a war zone, and so it was a black budget, billions, really a month going in, tens of billions of years, so they were stealing it. We now get the big picture by hindsight, by having the information then.
[49:30.740 --> 49:42.740]  So that's why they were so scared is we were going after the Soros mole inside the White House. That's why m4wars had to be de-platformed. It's while the Hillary Clinton connected law firms had to sue us, hoping to take us off the air.
[49:42.740 --> 49:55.740]  Thank you very much, Alex. It's interesting that yesterday the attorney Larry Clayman predicted that I would be targeted for annihilation as part of the Trump takedown.
[49:55.740 --> 50:13.740]  I am not afraid. I'm actually here to meet with other Trump boilists in a new group that we have founded, the membership of which is secret, but we call it the 45 Group because we're prepared to protect and defend our 45th president.
[50:13.740 --> 50:28.740]  Now, fast forward to what's happening right now. You see that she's going to testify to Congress, and they're simply calling her. They're not saying that she's a whistleblower. We're told the whistleblowers are CIA and other people from the State Department.
[50:28.740 --> 50:57.740]  All they are is partisan hacks who've already put out this info before. Clapper, Brennan, Fiona Hill, they could say they're whistleblower number one, number two, number ten. It doesn't matter because they're all the same group using the statement and the name whistleblower as coverage so they can try to remain secret while they put out false info against Trump, claiming he was demanding that Ukraine follow his orders against Biden or not get a billion dollars.
[50:57.740 --> 51:19.740]  See how that works? So now they can come testify about what nebulous whistleblowers said when the whistleblowers are just a composite of Trump haters, angry Democrats, globalists that don't want their Ukraine money cut off and who don't want to go to prison for what they've done, like Biden and Hunter and Pelosi's son involved with the gas company and all the incredible information that's coming out.
[51:19.740 --> 51:34.740]  So they are turning around and going against Trump with the exact things they've been doing quid pro quo in Ukraine. So she is the second whistleblower. She could be the third, the fourth, the fifth. They've got a whole bunch of these angry people lined up.
[51:34.740 --> 51:49.740]  But again, if they come out, she's known to be a Soros operative. No one's going to listen. So they say it's a nebulous secret in the dark whistleblower. Then she gets called as the independent person who worked for Trump and then she confirms it all.
[51:49.740 --> 52:10.740]  And well, we have to impeach President Trump, even though Trump had the transcript, even though Trump has all the witnesses, they think that a whole bunch of other Trump haters who work for Obama, Hillary and openly for the foundations of Soros can again still come testify and have credibility because they're not the original source of the whistleblower.
[52:10.740 --> 52:21.740]  I mean, all the whistleblowers stay in the dark. Again, that's just a consortium of people like Adam Schiff over the committee and others that have put all this together. We know that it's all come out now.
[52:21.740 --> 52:30.740]  It's come out that they were already preparing the impeachment the very same day that the letter was being written. This is the death of due process. This is the death of checks and balances.
[52:30.740 --> 52:45.740]  This is the death of the separation of powers in our government if this takes place and if this happens. But again, at infowars.com and newswars.com, there's two big articles up there right now that are absolutely critical that everybody should go read, that break all this down
[52:45.740 --> 53:03.740]  and then have the videos from July of 2017 and then from videos from 2018 where you learn more about what happened and remember Google took our channel down and any other channels that they could find that were hosting those interviews that had millions of views.
[53:03.740 --> 53:15.740]  We couldn't even search it on Google or YouTube and find them. We had to go to Bing and Duck Duck Go and do the exact searches and then find the videos that others had copied on the YouTube.
[53:15.740 --> 53:25.740]  So it's critical that you get all of our reports even if you have a small channel and copy them there as well because they are taking these videos down, ladies and gentlemen, because it shows that she is partisan.
[53:25.740 --> 53:39.740]  She is a hack. She works for George Soros. She was identified as a mole by info wars by Roger Stone two plus years ago. And now the system is coming after us with everything they've got because we're just loyal Americans exposing this.
[53:39.740 --> 53:51.740]  We've also got to get this report out to the president. We've got to tweak this at the president at Don Jr. and others because their big fear of you remember was keeping info wars back in 2017-18 away from Trump.
[53:51.740 --> 53:58.740]  And when Kelly was brought in, his main job was, quote, keeping info wars because it was so fake and so false and so evil away from Trump.
[53:58.740 --> 54:06.740]  Now, the truth was we had real people in Washington, in the State Department, in the Pentagon. We had the real connections through Roger Stone and many others.
[54:06.740 --> 54:12.740]  We still have a lot of those connections. It's very, very dangerous because everybody else is scared. Everybody else knows this stuff.
[54:12.740 --> 54:22.740]  But they're all around Trump telling him that they're on his side, pledging allegiance to America, saying they're loyal. And then they use that to then lie about the president and lie about others.
[54:22.740 --> 54:31.740]  And Roger is facing in three weeks trial, decades in prison for nothing. There is no Russiagate. That's all fake. The court even rule. Well, it's been proven that Russiagate didn't happen.
[54:31.740 --> 54:39.740]  And there's no proof that Russians hacked emails, but that can't be shown to the jury. He's being tried in the swamp in Washington, D.C.
[54:39.740 --> 54:48.740]  They're trying to shut us down. They're trying to plant child porn on us. People say, well, we better back off. No. You stand up to tyrants. You have a free country.
[54:48.740 --> 54:59.740]  Everybody kisses their ass and backs down. We all get enslaved. So we played a few clips here of Roger from July of 2000 and from June and July of 2017.
[54:59.740 --> 55:09.740]  There's also some clips I want to play with Ted Malik, who was one of the main organizers of the Davos group, when he was on with Roger, breaking down all the things that happened as well.
[55:09.740 --> 55:15.740]  And Roger, in some of these interviews, talks about how, again, he's been specifically threatened that he'll be set up if he does it back down.
[55:15.740 --> 55:21.740]  And then it all happened. And then Malik got grabbed by the FBI and they threatened him to tell a bunch of lies, but he wouldn't do it.
[55:21.740 --> 55:30.740]  So this is very serious, and that's why they wanted InfoWars off the air. But we still have Bandot Video. We still have InfoWars.com.
[55:30.740 --> 55:37.740]  And we're still able to get these videos out if you will share them on your email, on your text messages, and by word of mouth.
[55:37.740 --> 55:44.740]  And yes, at Facebook, Twitter, and YouTube, because Bandot Video isn't as blacklisted as InfoWars. You're still able to share that.
[55:44.740 --> 55:55.740]  But this information has to get out, and only you can get it out. Again, flood Trump's Twitter, flood the campaign, flood them so that President Trump understands who is doing all this.
[55:55.740 --> 56:02.740]  And the lady that's about to testify against him, and who is saying in the press that, oh yeah, she knows it was quid pro quo, and she has all this evidence.
[56:02.740 --> 56:10.740]  She was already gone before all of this even happened. It's all a fraud. And so, again, we are the private intelligence agency for the American people.
[56:10.740 --> 56:17.740]  And for President Trump, we are loyal, we are organic, we are independent, and we have a fighting spirit, and we're not back down.
[56:17.740 --> 56:22.740]  But InfoWars needs your prayers and your financial support as well, because the globalists are going to fight for this.
[56:22.740 --> 56:26.740]  They're not going to give us our freedom back without a serious fight. And so that's why it's important.
[56:26.740 --> 56:35.740]  Your word of mouth, your financial support, buying the great products, InfoWars.com, and your prayers is so essential, not just for President Trump who needs it as well, but for America and for InfoWars.
[56:35.740 --> 56:42.740]  I'm really proud of Roger Stone. I'm proud of our crew. We're here working hard on a Saturday to bring you this information.
[56:42.740 --> 56:49.740]  And so, again, please spread the articles, and please spread this report, because she's whistleblower one, two, five, ten, a hundred, a thousand.
[56:49.740 --> 56:59.740]  It's all the same people. It's all crap. It's all made up. They use that term like dossier. Oh, we have the Piscate dossier. It's a fancy word, and it's all nebulous crap.
[56:59.740 --> 57:06.740]  And now it's, oh, the whistleblower. Oh, they have to testify in secret. No one can see their faces, but Trump has no rights.
[57:06.740 --> 57:16.740]  This is the crazy kangaroo court stuff the Democrats are engaged in. And until the real indictment start, and until we start taking action, until Trump takes action, these criminals are only going to be emboldened.
[57:16.740 --> 57:26.740]  But until the end, we're going to continue fighting on. Thanks for all your support. So please spread this breaking news right now about the attempted coup Part 3 against our president.
[57:26.740 --> 57:29.740]  I'm Alex Jones. Thank you for watching.
[57:56.740 --> 57:58.740]  Trump White House.
[58:26.740 --> 58:33.740]  And they banned you because you were saying all that and how Silicon Valley, Google and Apple moved over there, and it's incredible.
[58:33.740 --> 58:41.740]  And wow, you're vindicated. You're going to get back on the air now, aren't you? And no, if we don't defeat this takeover, you're all going to be taken off.
[58:41.740 --> 58:52.740]  In fact, you're all going to end up getting put in prison camps. They're making their move. They're coming for your guns. They're coming for your kids. They're coming for your right to religion. They are coming for your soul.
[58:52.740 --> 58:58.740]  You know what they say. You got to lower your ideals of freedom if you want to suck on the warm teat of China.
[59:23.740 --> 59:34.740]  It will then ask you to name the app. I suggest ban.video. You will now have ban.video app on your home screen, despite the fact that Tim Cook tried to stop it.
[59:34.740 --> 59:42.740]  The globalists think you're lazy, but by taking a little bit of action, you can override them, have the app, and then tell others about it so they can get the app.
[59:42.740 --> 59:52.740]  So it's up to you whether you want to defy big tech and click the share buttons below on your email, on Facebook, on Twitter, on YouTube. However you want, be sure and share ban.video.
[1:00:13.740 --> 1:00:25.740]  You found it. The tip of the spear. It is the Alex Jones show with Mike Adams.
[1:00:25.740 --> 1:00:39.740]  This climate change hoax that's being pushed has many things in common with this impeachment hoax. It's very interesting, in fact. The way the left does everything, oh, by the way, welcome back to the Alex Jones show.
[1:00:39.740 --> 1:00:50.740]  I should mention that. This is the Alex Jones show, even though I'm Mike Adams, filling in here today. Yes, just call me Mike and those of you in the media, you want to attack me for supporting our country.
[1:00:50.740 --> 1:01:02.740]  Just spell my name right. It's M-I-K-E, for those of you as Rush says, in real Linda. It's M-I-K-E, rhymes with bike, rhymes with dyke.
[1:01:02.740 --> 1:01:18.740]  In fact, my gender, my preferred gender pronouns are drain the swamp, locker up and make America great again. So if you're going to refer to me in any report, you can't say he or his, you have to say make America great again, said this.
[1:01:18.740 --> 1:01:29.740]  Got it? Okay, those are my gender pronouns. So according to the rules of the left, you can put anything I can demand that you, anything I want, and you have to say it anytime you refer to me.
[1:01:29.740 --> 1:01:38.740]  You can't say he said that Trump will have support from the people. You have to say make America great again, said that Trump has support from the people.
[1:01:38.740 --> 1:01:47.740]  See, you got to use these little tricks, these mind games, like a reverse Jedi mind trick on liberals. That's how you get things done.
[1:01:47.740 --> 1:01:55.740]  But coming up, we're going to have an interview with Bob Griswold about what can we do if civil war goes hot in this country?
[1:01:55.740 --> 1:02:03.740]  What should we be looking for and how do we get prepared? And his analysis is spot on, by the way, that's why I wanted to talk to him.
[1:02:03.740 --> 1:02:10.740]  But first, I want you to bring up, guys, and for those of you watching at Infowars.com, the post-glacial sea level rise.
[1:02:10.740 --> 1:02:23.740]  This is a chart that shows 24,000 years of ocean levels as recorded through ice analysis and geological analysis and so on.
[1:02:23.740 --> 1:02:34.740]  24,000 years of sea levels for planet Earth. And as you can see, sea levels have risen dramatically from 16,000 years ago up to about 8,000 years ago.
[1:02:34.740 --> 1:02:44.740]  And then they leveled off in this area. And then right up here in the top right corner, this little blip right here, this is so-called man-made ocean level rise.
[1:02:44.740 --> 1:02:53.740]  That climate change has caused, they say, that we are bad people. You see this little point here? This little point here?
[1:02:53.740 --> 1:03:03.740]  Oh, we are bad, bad people for causing this little blip right here. There we go. Bad. We're bad for that.
[1:03:03.740 --> 1:03:09.740]  But somehow all this other ocean level change was natural.
[1:03:09.740 --> 1:03:18.740]  Oh, amazing. And by the way, if you do a chart of CO2 levels, if you were to do a similar chart on CO2, it would look something like this.
[1:03:18.740 --> 1:03:30.740]  Oh, CO2 was really high before. Now it's way down tiny low. And it's just starting to blip up a little bit right here to 410 parts per million in atmospheric chemistry.
[1:03:30.740 --> 1:03:40.740]  This is all the history of CO2 that was hundreds of times, if not thousands of times higher, probably hundreds of times. And now, oh, it's a little tiny blip up.
[1:03:40.740 --> 1:03:49.740]  And the way they lie to you about climate change is they zoom into the area that they want you to see. So they control the time window of all the charts.
[1:03:49.740 --> 1:03:58.740]  They lie to you and they don't show you what they don't want you to see, which is exactly what Adam Schiff is doing with this impeachment coup attempt.
[1:03:58.740 --> 1:04:05.740]  It's just fake. Everything's fake. They don't let you know the names of the whistleblowers. They don't let you cross-examine them.
[1:04:05.740 --> 1:04:13.740]  They don't let you see any evidence that they don't like. And now, whoa, now Adam Schiff says, let's see if we even have time to play this.
[1:04:13.740 --> 1:04:20.740]  He says that, oh, you don't need a quid pro quo type of arrangement in order to impeach. Doesn't have to happen.
[1:04:20.740 --> 1:04:30.740]  We've almost got time playing some of that just so we can hear it from Schiff's mouth. You got that clip, number eight, shifty shift.
[1:04:30.740 --> 1:04:33.740]  There doesn't need to be a quid pro quo to impeach Trump.
[1:04:33.740 --> 1:04:43.740]  I added Ukraine to create these sham investigations into his political opponent. We have discovered in very short order not only the contents of that call,
[1:04:43.740 --> 1:04:51.740]  but also the preparatory work that went into that call, the effort to condition something the Ukrainian president deeply sought.
[1:04:51.740 --> 1:04:57.740]  And that was a meeting with the president to establish that this new president of Ukraine had a powerful...
[1:04:57.740 --> 1:05:03.740]  He's a liar, full-time liar. Let's get him off the screen. I can't stand him. He's making me sick. I'm going to lose my smoothie here.
[1:05:03.740 --> 1:05:06.740]  We'll be back after this break with Morris. Stay with us.
[1:05:06.740 --> 1:05:13.740]  Globalism was doomed to fail if we just exposed it and then resisted it.
[1:05:13.740 --> 1:05:19.740]  Didn't I say a thousand times that there's no way you're going to have an authoritarian corporate world government above the law
[1:05:19.740 --> 1:05:25.740]  that doesn't pay taxes, that has diplomatic immunity, that runs around saying it's communist and socialist power to the people,
[1:05:25.740 --> 1:05:28.740]  but then meanwhile is tax exempt again offshore?
[1:05:28.740 --> 1:05:31.740]  Well, Trump got that, and all these other populists get it.
[1:05:31.740 --> 1:05:37.740]  Why would you throw away wealthy successful countries and cultures just so you could say the communist Chinese,
[1:05:37.740 --> 1:05:40.740]  the David Rockefeller, Putin power are better than everybody?
[1:05:40.740 --> 1:05:43.740]  That is a sick, freakish joke.
[1:05:43.740 --> 1:05:47.740]  And I will not stand by and watch humanity turn over to these people,
[1:05:47.740 --> 1:05:53.740]  and I beg God for the strength and the will to have the discernment to help be part of their defeat.
[1:05:53.740 --> 1:05:58.740]  And I've been saying that prayer for 20-plus years, and God is delivering because God is great.
[1:05:58.740 --> 1:06:05.740]  Thank God for his son, Jesus Christ. And now let's move forward against the NW.
[1:06:29.740 --> 1:06:35.740]  And we're going to be joined shortly by Bob Griswold, an expert in many things,
[1:06:35.740 --> 1:06:39.740]  very important things that you need to know to survive what may be coming.
[1:06:39.740 --> 1:06:43.740]  But very quickly, before we get to Mr. Griswold, who's standing by,
[1:06:43.740 --> 1:06:50.740]  I want to mention I made the mistake of going to the city of Austin the other day,
[1:06:50.740 --> 1:06:55.740]  and notice that everything's turning into a prison now, including the buildings.
[1:06:55.740 --> 1:07:00.740]  I was in a building in Austin, downtown Austin, to attend this tech thing,
[1:07:00.740 --> 1:07:03.740]  and the elevators no longer have buttons.
[1:07:03.740 --> 1:07:09.740]  They have security people that can, they punch in the floor that you're allowed to go to.
[1:07:09.740 --> 1:07:14.740]  And a lot of the doors to the building are locked now, so you can only exit to different streets,
[1:07:14.740 --> 1:07:16.740]  but you can't enter from different streets.
[1:07:16.740 --> 1:07:21.740]  They corral you into one particular entrance, and then they control what floor you can go to.
[1:07:21.740 --> 1:07:27.740]  And no buttons in the elevators. And then I also made the mistake of going to Walmart the other day.
[1:07:27.740 --> 1:07:33.740]  I was trying to buy some low-grade food samples to do some testing in my lab for glyphosate,
[1:07:33.740 --> 1:07:37.740]  and Walmart's been turned into a little prison system too.
[1:07:37.740 --> 1:07:41.740]  I noticed they put in these new one-way doors at the entrance.
[1:07:41.740 --> 1:07:44.740]  They're not really doors, they're like half-height, I don't know what you call them,
[1:07:44.740 --> 1:07:47.740]  but you go in, you can't come out.
[1:07:47.740 --> 1:07:53.740]  And then they have now video cameras on the self-pay machines, you know, your self-checkout machine,
[1:07:53.740 --> 1:07:56.740]  because, you know, they want you to do all the work now.
[1:07:56.740 --> 1:08:01.740]  So you're on video there, and they're showing you your own image.
[1:08:01.740 --> 1:08:07.740]  No doubt they're tracking that and taking biometrics and comparing that with every police database in the country,
[1:08:07.740 --> 1:08:14.740]  so that, you know, if you're behind on your child payment or whatever,
[1:08:14.740 --> 1:08:18.740]  if you're wanted for a parking ticket, probably come arrest you at Walmart.
[1:08:18.740 --> 1:08:20.740]  And that's why they locked you in there now, it's a prison system.
[1:08:20.740 --> 1:08:23.740]  And they've also made the aisles more narrow,
[1:08:23.740 --> 1:08:29.740]  and Walmart has banned people from carrying guns, or at least open carry,
[1:08:29.740 --> 1:08:32.740]  so now they've created a kill zone system.
[1:08:32.740 --> 1:08:34.740]  They've literally created a kill zone.
[1:08:34.740 --> 1:08:36.740]  Walmart has become a kill zone trap.
[1:08:36.740 --> 1:08:42.740]  You get in, you can't get out, you're a target, but you can't defend yourself.
[1:08:42.740 --> 1:08:45.740]  I tell you what, I carried my pistol in there anyway.
[1:08:45.740 --> 1:08:48.740]  I just carried it concealed, nobody bothered me.
[1:08:48.740 --> 1:08:50.740]  I'm not going into Walmart without my pistol.
[1:08:50.740 --> 1:08:52.740]  They can see whatever they want.
[1:08:52.740 --> 1:08:56.740]  I mean, I didn't see a 30-out-6 sign, which is the law in Texas.
[1:08:56.740 --> 1:08:59.740]  If they post a sign like that, you can't carry your pistol.
[1:08:59.740 --> 1:09:01.740]  I didn't see that sign, so I carried my pistol.
[1:09:01.740 --> 1:09:04.740]  And by the way, I think I'm never going back to Walmart again.
[1:09:04.740 --> 1:09:08.740]  I'm just not walking into prison systems like that anymore, tired of it.
[1:09:08.740 --> 1:09:11.740]  But anyway, we're joined by Bob Griswold now.
[1:09:11.740 --> 1:09:14.740]  Bob Griswold is an expert in a great many things.
[1:09:14.740 --> 1:09:17.740]  He's traveled the world, he's seen a lot.
[1:09:17.740 --> 1:09:22.740]  And he's been a contractor for various organizations,
[1:09:22.740 --> 1:09:24.740]  and he's done a lot of interesting things.
[1:09:24.740 --> 1:09:26.740]  And he's very much aware of what's happening in our country.
[1:09:26.740 --> 1:09:29.740]  He's from readymaderesources.com.
[1:09:29.740 --> 1:09:32.740]  And I've known about Griswold for a number of years.
[1:09:32.740 --> 1:09:34.740]  This is the first time I've ever interviewed him.
