[00:00:10.435 --> 00:00:10.735]  R-Charge.com.
[00:24:35.080 --> 00:24:42.544]  I've been telling you that for over a decade, but now it's big news as they unveil it and announce the new global currency already being issued bank to bank.
[00:24:42.544 --> 00:24:44.386]  They're already moving away from the dollar.
[00:24:44.386 --> 00:24:50.810]  That's why the Wall Street Journal had an article on Wednesday about China, Japan, Russia, Europe move away from dollar reserves.
[00:24:50.810 --> 00:24:52.951]  Massive dumping of the dollar the last few months.
[00:24:53.579 --> 00:24:59.121]  As they move into the new SDRs being issued by the IMF and World Bank.
[00:24:59.121 --> 00:25:01.342]  That's bank-to-bank lending.
[00:25:01.342 --> 00:25:05.564]  It's digital money.
[00:25:05.564 --> 00:25:12.567]  Less than 1% of global, quote, money or liquidity is actual paper.
[00:25:12.567 --> 00:25:16.669]  So, we'll be getting more into that after I take calls in the next segment.
[00:25:16.669 --> 00:25:18.330]  I'm going to take a lot of calls today.
[00:25:19.910 --> 00:25:23.092]  Also, I saw this story in the New York Times.
[00:25:23.092 --> 00:25:34.598]  FBI and states vastly expand DNA databases, and the New York Times says it's a 17-fold increase on the amount of DNA they're going to be taking each year.
[00:25:34.598 --> 00:25:47.525]  And if you read the new regs, it's not a law, the new regs, just like England adopted this about five years ago, so did Europe proper, it says when you're detained, and detained is when the cops turn the lights on in their cars,
[00:25:48.049 --> 00:25:51.931]  They're going to take the tissue swab out of your cheek.
[00:25:51.931 --> 00:25:55.534]  Those are some of the largest cells in the body, easily scraped off without bleeding.
[00:25:55.534 --> 00:25:58.836]  They're going to put it in a DNA database.
[00:25:58.836 --> 00:26:00.417]  Guilty until proven innocent.
[00:26:00.417 --> 00:26:03.499]  Now, this can all sound fine and dandy.
[00:26:03.499 --> 00:26:06.641]  The problem here is it violates the Fourth Amendment.
[00:26:06.641 --> 00:26:13.365]  Against unreasonable search and seizure, there has to be a probable cause with oath or affirmation.
[00:26:13.365 --> 00:26:15.326]  Particular place, persons to be searched.
[00:26:16.698 --> 00:26:25.052]  And then of course you have Dr. Frederick Whitehurst, head of the FBI Crime Lab back in 1996, who quit saying they basically framed everybody.
[00:26:25.052 --> 00:26:30.241]  Every major city I've seen, just here in Texas, Houston Crime Lab, San Antonio Crime Lab, Dallas Crime Lab,
[00:26:31.004 --> 00:26:32.785]  Tulia Crime Lab and all over the country.
[00:26:32.785 --> 00:26:37.588]  Google the name of your town or city and the crime lab fraud and they've pretty much all been caught.
[00:26:37.588 --> 00:26:39.429]  I've never Googled a city that hadn't.
[00:26:39.429 --> 00:26:40.709]  And they just frame whoever they want.
[00:26:40.709 --> 00:26:42.250]  It's just an assembly line of lies.
[00:26:42.250 --> 00:26:48.574]  Remember a couple years ago, Houston Chronicle, a headline about thousands framed by the city?
[00:26:48.574 --> 00:26:54.697]  Or Dallas just pulls you over and they throw a bag of chalk in your car and say it's cocaine and they take your car and your house, but then they don't even charge you.
[00:26:54.697 --> 00:26:56.778]  They just say, asset forfeiture seizure.
[00:26:56.778 --> 00:26:58.179]  Totally illegal, but they just do it.
[00:26:59.415 --> 00:27:00.255]  No judge, no jury.
[00:27:00.255 --> 00:27:04.037]  I mean, this government is totally criminal.
[00:27:04.037 --> 00:27:08.078]  And so, where do they take the DNA?
[00:27:08.078 --> 00:27:15.861]  Well, they take it to Cold Springs Harbor in New York, and that's where the Eugenics Society was founded by the Rockefellers.
[00:27:15.861 --> 00:27:24.064]  It became a law to sterilize women and to kill their babies if they happened to be born after birth, before they could be aborted.
[00:27:24.064 --> 00:27:26.785]  And, oh yeah, they didn't legalize abortion in 1973, like you heard.
[00:27:28.667 --> 00:27:29.688]  Roe v. Wade.
[00:27:29.688 --> 00:27:38.491]  If the family courts that weren't real courts, they didn't have juries or anything, they just grabbed you and sterilized you, you might want to research that.
[00:27:38.491 --> 00:27:44.034]  They would... But that's where they send your blood.
[00:27:44.034 --> 00:27:52.578]  It's now known as the Human Genome Project, but you heard about Dr. Watson last year saying blacks weren't humans?
[00:27:52.578 --> 00:27:55.639]  And then as a Nobel Prize winner, he discovered DNA helix.
[00:27:56.894 --> 00:28:06.998]  He was there in the 40s, back when it was openly the Eugenics Society, and he was the head of it up until a year ago when he was saying blacks weren't humans.
[00:28:06.998 --> 00:28:09.358]  That's the Human Genome Project.
[00:28:09.358 --> 00:28:11.579]  And see, let me give you a little newsflash.
[00:28:11.579 --> 00:28:16.721]  If you're under 36 years of age, this doesn't matter.
[00:28:16.721 --> 00:28:21.663]  Because see, they're talking about how when they pull you over, they're going to take your DNA now.
[00:28:25.339 --> 00:28:29.541]  Because you're, quote, detaining.
[00:28:29.541 --> 00:28:33.242]  36 and under, they already took it and put it in the Cold Springs Harbor.
[00:28:33.242 --> 00:28:36.804]  University of Texas, though, there's only four institutions that hold it.
[00:28:36.804 --> 00:28:45.828]  And for a multi-state, what is it, six-state area, I kept telling folks about this for the last decade, and now it was in the Austin American-Statesman, Dallas Morning News, but they said it was a good thing.
[00:28:45.828 --> 00:28:48.329]  They finally announced it to the slaves.
[00:28:48.329 --> 00:28:53.351]  They said, in fact, I didn't know, one day they were doing news here in the station, I do this syndicated show out of NewsRadio 590,
[00:28:54.764 --> 00:28:55.364]  Okay, I'll be Jan.
[00:28:55.364 --> 00:29:08.330]  I walked out and heard Sarah Hudeberg doing it on the news and I said, I said, you're announcing that they take blood without asking at birth and put it in a DNA database for studying people's DNA and for, and she goes, yo, here's the statesman.
[00:29:08.330 --> 00:29:09.331]  She just handed me the statesman.
[00:29:09.331 --> 00:29:10.391]  I went, oh.
[00:29:10.391 --> 00:29:13.672]  But anyways, oh yeah, they're going to take your blood at checkpoints.
[00:29:13.672 --> 00:29:15.733]  They already take your blood, slaves.
[00:29:15.733 --> 00:29:17.074]  And you know what they're making with it?
[00:29:17.074 --> 00:29:23.497]  Race-specific bioweapons to tailor to where they can kill people individually according to their DNA.
[00:29:24.716 --> 00:29:28.359]  Read the PNAC document, September 2000, Rebuilding America's Defenses.
[00:29:28.359 --> 00:29:30.260]  Talks about race-specific bio-weapons.
[00:29:30.260 --> 00:29:32.202]  We'll come back, take your calls after the news.
[00:29:32.202 --> 00:29:36.825]  Stay with me, fellow... Would you give someone $100 for a $10 bill?
[00:29:36.825 --> 00:29:41.269]  If you're taking vitamins and minerals in a pill form, that's exactly what you're doing.
[00:29:41.269 --> 00:29:43.791]  Hello, my name is Dr. David Friedman.
[00:29:43.791 --> 00:29:48.914]  According to the physician's desk reference, many vitamins and minerals in a pill form are 10% absorbed.
[00:29:50.035 --> 00:29:57.599]  It doesn't take a mathematician to figure out for every $100 you spend on these pills, you're flushing $90 down the toilet.
[00:29:57.599 --> 00:29:59.880]  Start absorbing the nutrients you swallow.
[00:29:59.880 --> 00:30:07.244]  Introducing Chews for Health, a delicious tasting chewable containing 16 super fruits, seed vegetables, and antioxidants.
[00:30:07.244 --> 00:30:09.405]  You know, you work hard for your money.
[00:30:09.405 --> 00:30:11.987]  Isn't it time to start getting what you pay for?
[00:30:11.987 --> 00:30:12.627]  Order today.
[00:30:13.087 --> 00:30:14.609]  1-800-210-1922.
[00:30:14.609 --> 00:30:19.856]  With Choose for Health, your body gets to keep the nutrients you swallow.
[00:30:19.856 --> 00:30:26.324]  The first 300 callers are going to receive a free copy of my best-selling CD, America's Unbalanced Diet.
[00:30:26.324 --> 00:30:26.404]  1-800-210-1922.
[00:30:26.404 --> 00:30:27.305]  Or go to orderchoose.com.
[00:30:33.624 --> 00:30:40.826]  You already know that drinking pure high alkaline pH water is the most important factor in maintaining high energy and vibrant health.
[00:30:40.826 --> 00:30:45.387]  Most experts agree that the water you drink should be at a pH level of 8 or higher.
[00:30:45.387 --> 00:30:50.989]  AlkaVision Plasma pH Drops combine a unique formula of the most alkaline ingredients.
[00:30:50.989 --> 00:30:58.051]  Using Plasma pH Drops is one of the best ways to make your water alkaline, to help you get rid of acid and regain your health and energy.
[00:30:58.531 --> 00:31:03.916]  Simply put, 10 drops per liter of water you drink to raise the pH to the ultimate level.
[00:31:03.916 --> 00:31:09.762]  Alkalizing water helps your body rid itself of acidic waste and increases the oxygen content of your body.
[00:31:09.762 --> 00:31:15.227]  Disease organisms like bacteria and cancer cannot survive in an alkaline, high pH environment.
[00:31:15.547 --> 00:31:21.494]  Order your bottle of AlkaVision Plasma pH Drops now by going directly to AlkaVision.com.
[00:31:21.494 --> 00:31:24.277]  That's A-L-K-A Vision dot com.
[00:31:24.277 --> 00:31:25.097]  Or by calling 269-216-9767.
[00:31:25.097 --> 00:31:25.298]  269-216-9767 today!
[00:31:37.853 --> 00:31:41.136]  Times are tough right now, and people are unsure about our future.
[00:31:41.136 --> 00:31:45.399]  The economy is hurting, even though there are powers that would make us believe differently.
[00:31:45.399 --> 00:31:48.522]  Banks are failing, and the gold buyers are buying.
[00:31:48.522 --> 00:31:55.007]  Question, with all the chemicals being put into our air, how do you use gold when you're very sick?
[00:31:55.845 --> 00:31:56.666]  Or dead.
[00:31:56.666 --> 00:31:58.787]  Investing in precious metals is smart.
[00:31:58.787 --> 00:32:01.349]  Investing in your health could be smarter.
[00:32:01.349 --> 00:32:05.772]  Life Change Tea changes your life just by drinking our tea.
[00:32:05.772 --> 00:32:07.593]  Detox from deadly chemicals.
[00:32:07.593 --> 00:32:10.355]  Flush poisons that cause harm to your organs.
[00:32:10.355 --> 00:32:13.737]  And lose unwanted pounds that bog you down.
[00:32:13.737 --> 00:32:14.218]  Call us!
[00:32:14.218 --> 00:32:14.658]  928-308-0408.
[00:32:14.658 --> 00:32:14.938]  Again, 928-308-0408.
[00:32:20.583 --> 00:32:22.105]  308-0408.
[00:32:22.105 --> 00:32:25.752]  Or you can order online at GetTheTea.com.
[00:32:25.752 --> 00:32:28.437]  That's GetTheTea.com.
[00:32:28.437 --> 00:32:29.620]  Life Change Tea.
[00:32:29.620 --> 00:32:30.581]  We're changing lives.
[00:32:32.987 --> 00:32:38.949]  With an economy that continues to plummet, many of us will have to make the difficult decision to cut back on our expenses.
[00:32:38.949 --> 00:32:42.070]  One thing we cannot afford to cut back on, though, is our health.
[00:32:42.070 --> 00:32:49.833]  If you suffer from chronic illness, stress, a weak immune system, or just always feel tired, you need to visit Shentrition.com.
[00:32:49.833 --> 00:32:54.355]  The philosophy at Shentrition is to feed the body what it needs, plus heal the body with food.
[00:32:55.115 --> 00:33:07.805]  One scoop a day with water, milk, or juice will have you feeling better in no time, giving you more stamina and energy, helping to alleviate stress, boosting your natural healing power, strengthen your immune system, and it tastes great too.
[00:33:07.805 --> 00:33:13.250]  Shantritian is all natural, wheat-free, dairy-free, and 100% vegetarian.
[00:33:13.250 --> 00:33:14.951]  Discover the ancient secrets of healing.
[00:33:15.291 --> 00:33:18.653]  Are you tired of searching for great talk radio?
[00:33:18.653 --> 00:33:20.734]  Search no more!
[00:33:20.734 --> 00:33:23.095]  We are the GCN Radio Network.
[00:33:50.572 --> 00:33:51.732]  We are back live.
[00:33:51.732 --> 00:33:53.353]  Your call's coming up here in just a moment.
[00:33:53.353 --> 00:33:59.316]  A lot of calls I'm going to take today.
[00:33:59.316 --> 00:34:05.918]  877-590-5525.
[00:34:05.918 --> 00:34:07.159]  Okay.
[00:34:07.159 --> 00:34:10.400]  Finishing up with the DNA, and then I'm going to mention a few other stories that are coming up.
[00:34:10.400 --> 00:34:12.141]  We're going to go to your calls.
[00:34:12.141 --> 00:34:19.624]  The whole point is, police departments, the feds have been caught, local police, state police, the feds, over and over again, framing everybody.
[00:34:21.616 --> 00:34:31.923]  And so they keep drumming into your head, oh, all these people are innocent on death row, oh, DNA testing's so great, selling you that it's 100%, just like they sell you that fingerprints are.
[00:34:31.923 --> 00:34:34.565]  But it's very easy to frame people with fingerprints as well.
[00:34:34.565 --> 00:34:39.548]  You just lift their prints from somewhere else, make castings of it, and place them.
[00:34:39.548 --> 00:34:46.632]  Just like they've now proven that lie detectors are a complete fraud of quackery that sent literally tens of thousands of innocent people to prison.
[00:34:46.632 --> 00:34:50.215]  This is just a bunch of quackery.
[00:34:50.215 --> 00:34:50.395]  So,
[00:34:52.930 --> 00:35:02.834]  They say law enforcement officials, not servants, officials, said that expanding the DNA database to include legally innocent people will help solve more violent crimes.
[00:35:02.834 --> 00:35:05.055]  And then they go on from there.
[00:35:05.055 --> 00:35:08.837]  Folks, they've already got your blood.
[00:35:08.837 --> 00:35:14.179]  And I learned about this before I was even on air about 15 years ago.
[00:35:14.179 --> 00:35:15.800]  And then I've had U.S.
[00:35:15.800 --> 00:35:17.360]  congressmen on complaining about it.
[00:35:17.360 --> 00:35:20.762]  I've interviewed lawmakers from Australia.
[00:35:21.297 --> 00:35:27.619]  Where about six years ago, they started announcing, oh, we have DNA on everyone, you know, born in the last 30-something years.
[00:35:27.619 --> 00:35:28.540]  It started worldwide.
[00:35:28.540 --> 00:35:29.580]  There's already a global government.
[00:35:29.580 --> 00:35:30.821]  They're just announcing it.
[00:35:30.821 --> 00:35:33.122]  We have the same program, same names everywhere.
[00:35:33.122 --> 00:35:39.364]  But they announced a little bit early in Australia, oh, we've been taking your blood since birth, everybody, 31 years.
[00:35:39.364 --> 00:35:40.424]  Now it'd be 36.
[00:35:40.424 --> 00:35:46.807]  31 years and younger, and we're using this in criminal cases now.
[00:35:46.807 --> 00:35:49.868]  They take your baby's blood, they put it in the DNA database.
[00:35:50.444 --> 00:35:56.648]  There's also been court cases I've seen the San Francisco Chronicle report on where somebody gets a genetic disease.
[00:35:56.648 --> 00:36:02.372]  They go in to have their own bone marrow be pulled to then, you know, breed up these antibodies.
[00:36:02.372 --> 00:36:03.753]  There's different procedures.
[00:36:03.753 --> 00:36:06.254]  And then they'll be told by the company, Oh, guess what?
[00:36:06.254 --> 00:36:12.699]  We already had your blood from birth and we patented your DNA and you owe us all this money.
[00:36:12.699 --> 00:36:13.319]  Oh, that's right.
[00:36:14.861 --> 00:36:33.410]  When you read the mainstream articles about this, or you can go read the thousands of pages of documents where the universities are bragging about it, these little criminal enterprises working with the government and private industry, they take your baby's blood, don't tell you, and then don't just ship it off to a eugenics facility to check your baby's DNA, because they're obsessed with that.
[00:36:33.410 --> 00:36:35.911]  The elites are obsessed with that, with breeding.
[00:36:35.911 --> 00:36:40.113]  But they also have it to frame you and everything else.
[00:36:40.113 --> 00:36:41.633]  Okay, if I don't shut up, I'll never get to your calls.
[00:36:41.633 --> 00:36:42.994]  The point is, this is a complete fraud.
[00:36:44.341 --> 00:36:48.382]  Uh, Israel stands ready to bomb Iran's nuclear sites, Times of London.
[00:36:48.382 --> 00:36:49.663]  They say they're getting ready to head them on.
[00:36:49.663 --> 00:36:52.264]  It'll probably start World War III.
[00:36:52.264 --> 00:36:54.784]  So get ready for that.
[00:36:54.784 --> 00:36:58.166]  We'll talk about that later.
[00:36:58.166 --> 00:37:02.427]  You know, uh, this is a sophisticated issue, so later in the next hour I'm gonna cover it.
[00:37:02.427 --> 00:37:11.110]  I wanna go to calls now, but... You know, Keith Uberman and all these people have really shown themselves to be shameful.
[00:37:11.110 --> 00:37:12.010]  I am non-partisan.
[00:37:14.281 --> 00:37:22.125]  But the level, the dumbing down of the information, the insult of everybody's intelligence has gotten too big for me.
[00:37:22.125 --> 00:37:24.185]  You know, I've talked to Lou Dobbs several times privately.
[00:37:24.185 --> 00:37:24.986]  He's aware of my work.
[00:37:24.986 --> 00:37:25.966]  I've interviewed him.
[00:37:25.966 --> 00:37:27.427]  I like Lou Dobbs.
[00:37:27.427 --> 00:37:28.167]  He's a good guy.
[00:37:28.167 --> 00:37:29.928]  Very credible.
[00:37:29.928 --> 00:37:31.809]  Very serious, non-partisan.
[00:37:31.809 --> 00:37:34.310]  I really respect him.
[00:37:34.310 --> 00:37:41.433]  She says he hates black people and that he doesn't want Obama to succeed because he hates black people.
[00:37:42.349 --> 00:37:46.071]  You know, Lou Dobbs is the only one that's been non-partisan in all of this.
[00:37:46.071 --> 00:37:49.132]  Fox has kind of played the right-wing card against the left-wing in this.
[00:37:49.132 --> 00:37:53.654]  Dobbs was very critical of Bush for being a globalist, wanting one world government, global taxes.
[00:37:53.654 --> 00:37:56.756]  I mean, it's all announced.
[00:37:56.756 --> 00:37:57.536]  I've talked to Dobbs.
[00:37:57.536 --> 00:37:58.577]  He has his own contract.
[00:37:58.577 --> 00:38:02.499]  That's why he's allowed to do whatever he wants to CNN.
[00:38:02.499 --> 00:38:05.280]  And she said he's a racist.
[00:38:05.280 --> 00:38:06.581]  I got like five clips.
[00:38:06.581 --> 00:38:09.322]  She went on MSNBC, a bunch of channels, and did this.
[00:38:09.758 --> 00:38:13.719]  I'm not going to play them all, but she said Dobbs is a vicious, evil racist.
[00:38:13.719 --> 00:38:18.941]  She said anybody who went to tea parties hates black people.
[00:38:18.941 --> 00:38:26.144]  Let me tell you something, these limousine liberal pimps, they're the ones that hate black people, and I mean literally.
[00:38:26.144 --> 00:38:34.547]  I don't know about Garofalo, who's just a clown, but I know that the founders of what we know of as liberalism
[00:38:35.848 --> 00:38:44.635]  Wrote in letters and documents and Ford Foundation documents and Rockefeller Brothers documents and Margaret Sanger documents.
[00:38:44.635 --> 00:38:48.638]  By the way, I didn't just read mainstream articles about this for my film, Endgame.
[00:38:48.638 --> 00:38:51.760]  I sent off to universities to get copies of the letters.
[00:38:51.760 --> 00:38:57.645]  From the papers of Margaret Sanger and the Colgate Foundation and others.
[00:38:57.645 --> 00:38:59.987]  She calls black people subhuman weeds.
[00:39:03.069 --> 00:39:08.531]  And it's like a sick joke that all these so-called black charities are called Margaret Sanger this, Margaret Sanger that.
[00:39:08.531 --> 00:39:20.555]  I went to, in kindergarten, one year in Dallas until we moved to Rockwall, I went to Margaret Sanger Elementary School with a statue of her out front.
[00:39:20.555 --> 00:39:23.336]  This was a woman who got awards from Hitler, gave awards to Hitler.
[00:39:23.336 --> 00:39:29.999]  Now, my whole issue is, they talked about how they had to hire blacks to fool the blacks
[00:39:30.598 --> 00:39:37.600]  Into letting them, giving them welfare to break up the family so there wouldn't be a man in the house, knowing that would create a breakdown of society.
[00:39:37.600 --> 00:39:41.681]  They knew this so they could put young black men in jail.
[00:39:41.681 --> 00:39:42.821]  Go read it for yourself.
[00:39:42.821 --> 00:39:47.042]  These are cold-blooded people.
[00:39:47.042 --> 00:39:50.904]  Blacks had about 10% in legitimacy, now they're over 90%.
[00:39:50.904 --> 00:39:52.284]  I'm not knocking single families.
[00:39:52.284 --> 00:39:56.525]  These eugenicists who broke up their communities think, oh, you're against single mothers?
[00:39:56.525 --> 00:39:57.045]  No.
[00:39:57.045 --> 00:39:59.846]  But you're three to four times more likely to end up in drugs or prison.
[00:40:01.491 --> 00:40:02.592]  Just a fact.
[00:40:02.592 --> 00:40:04.493]  And you know what you did.
[00:40:04.493 --> 00:40:07.175]  Shame on you.
[00:40:07.175 --> 00:40:09.217]  Now that's how the real racists do.
[00:40:09.217 --> 00:40:11.098]  They're limousine liberals.
[00:40:11.098 --> 00:40:16.483]  And you get a bunch of good Americans, and we sent cameras down to the San Antonio Tea Party.
[00:40:16.483 --> 00:40:18.124]  Tons of black folks, Hispanics there.
[00:40:18.124 --> 00:40:27.551]  98%, most of the polls are 99%, thousand to one phone calls to Congress against the banker bailout takeover.
[00:40:27.551 --> 00:40:31.034]  It's non-partisan, libertarians, conservatives, liberals.
[00:40:31.980 --> 00:40:37.703]  But see, the media wants to make it conservative-liberal, so liberals go, well, I better be against the Tea Parties.
[00:40:37.703 --> 00:40:40.225]  I better be for the banker takeover.
[00:40:40.225 --> 00:40:43.587]  And $12.8 trillion bipartisan spent in six months.
[00:40:43.587 --> 00:40:46.369]  That's the GDP in six months.
[00:40:46.369 --> 00:40:49.230]  Half the year since they did that.
[00:40:49.230 --> 00:40:50.751]  October to last month.
[00:40:50.751 --> 00:40:51.452]  Six months.
[00:40:51.452 --> 00:40:53.953]  And they've already spent an entire U.S.
[00:40:53.953 --> 00:40:54.413]  GDP.
[00:40:54.413 --> 00:40:55.874]  It's $200 billion short.
[00:40:55.874 --> 00:40:55.974]  It's $12.8.
[00:40:58.081 --> 00:40:59.102]  Trillion.
[00:40:59.102 --> 00:41:00.502]  But, again, that was only five months.
[00:41:00.502 --> 00:41:02.443]  They always issue in a month late.
[00:41:02.443 --> 00:41:06.706]  So in five months, to be technical, but issued on the six-month anniversary of October 3rd.
[00:41:06.706 --> 00:41:08.587]  So it's actually over 13 trillion.
[00:41:08.587 --> 00:41:12.949]  But the number is 12.8 trillion we've got.
[00:41:12.949 --> 00:41:18.652]  And you say, hey, I don't want to devalue the dollar, bankrupt the country, owe all this fiat money to the private banks.
[00:41:18.652 --> 00:41:21.633]  We give the private offshore banks our 12.8 trillion.
[00:41:21.633 --> 00:41:24.715]  Then, we pay them interest to give them our money.
[00:41:24.715 --> 00:41:26.436]  That's how this new world order fraud works.
[00:41:29.565 --> 00:41:31.426]  It was the Ron Paul people, i.e.
[00:41:31.426 --> 00:41:38.528]  this show and other talk shows like it, that were having tea parties back in October.
[00:41:38.528 --> 00:41:43.810]  We had one in Austin, had them in D.C., had them in Boston, had them in San Diego.
[00:41:43.810 --> 00:41:48.392]  That gets partially hijacked by Glenn Beck and other fake conservatives.
[00:41:48.392 --> 00:41:50.313]  But so what?
[00:41:50.313 --> 00:41:52.114]  I got calls last week from all over the country.
[00:41:52.114 --> 00:41:54.454]  I sent a crew out to one of the things in San Antonio.
[00:41:54.454 --> 00:41:55.855]  There were about 7,000 people there.
[00:41:56.806 --> 00:41:59.787]  Keith Olbermann and others say there were less than 10,000 nationwide.
[00:41:59.787 --> 00:42:05.348]  Folks, I have seen videos of New York and Atlanta where there was more than 10,000 per city.
[00:42:05.348 --> 00:42:16.831]  But notice they cheerlead the illegal aliens, waving Mexican flags, protesting for literally the fall of the United States, and bankrupting the states further with all the welfare and Medicaid and Medicare.
[00:42:16.831 --> 00:42:25.793]  But then citizens go out, and are bipartisan, and they come out, not just on CNN and MSNBC, but everywhere, and say,
[00:42:26.288 --> 00:42:27.388]  Period.
[00:42:27.388 --> 00:42:31.629]  They hate black people.
[00:42:31.629 --> 00:42:35.690]  Now that is just incredible race baiting.
[00:42:35.690 --> 00:42:37.831]  Incredible!
[00:42:37.831 --> 00:42:41.752]  But that's what the left does, the fake left, the foundation left.
[00:42:41.752 --> 00:42:44.453]  They're here to divide and conquer America.
[00:42:44.453 --> 00:42:50.474]  They're here to make sure we never come together against the offshore banks, the ultra-rich, the elite setting up world government.
[00:42:50.474 --> 00:42:52.775]  See, the big banks brag in Carol Quigley's book and
[00:42:53.499 --> 00:42:57.283]  You know, all these different documents by Rand Corporation and others.
[00:42:57.283 --> 00:43:03.831]  They brag that they want big governments that destroy the middle class to get rid of their competition, then transfer all the wealth.
[00:43:03.831 --> 00:43:05.353]  Well, here's an example.
[00:43:05.353 --> 00:43:07.615]  30 to 1.
[00:43:07.615 --> 00:43:13.222]  For every $1 in welfare, 29 of it goes to the bankers.
[00:43:15.439 --> 00:43:19.001]  So, that's the bottom line here, and to have her doing this is just incredible.
[00:43:19.001 --> 00:43:21.042]  Okay, I promise, your call straight ahead.
[00:43:21.042 --> 00:43:24.404]  Forrest, Rick, Tom, Matthew, George, Paul, Brian, many others.
[00:43:24.404 --> 00:43:30.567]  I'm Alex Jones, InfoWars.com, PrisonPlanet.tv's been redesigned and updated with a ton of new info.
[00:43:30.567 --> 00:43:31.587]  Check it out.
[00:43:31.587 --> 00:43:33.288]  We'll be right back.
[00:43:33.288 --> 00:43:37.550]  If you have over $10,000 in credit card debt, you need to hear this.
[00:43:37.550 --> 00:43:38.871]  Have you been watching the banks
[00:43:41.266 --> 00:43:41.566]  We're good.
[00:43:56.701 --> 00:43:57.281]  We're good to go.
[00:44:26.813 --> 00:44:29.174]  Call 800-324-6554.
[00:44:29.174 --> 00:44:32.975]  800-324-6554 today!
[00:44:32.975 --> 00:44:38.376]  Have you ever read the ingredients in your skin creams, personal hygiene products, vitamins, or herbal supplements?
[00:44:38.376 --> 00:44:46.938]  Did you know that most skin creams, body lotions, shampoos, and toothpastes contain chemical additives such as sodium lauryl sulfate, the same type of detergent used in dish soap?
[00:44:46.938 --> 00:44:50.519]  Did you know that many multivitamin supplements are made from synthetic vitamins?
[00:44:50.519 --> 00:44:53.400]  Do your herbal remedies have unwanted additives and fillers?
[00:44:53.740 --> 00:44:56.242]  Have you ever tested your body's pH level?
[00:44:56.242 --> 00:44:59.225]  Make the change to organic health and beauty products.
[00:44:59.225 --> 00:45:02.608]  Visit 2benatural.com and order today.
[00:45:02.608 --> 00:45:11.637]  2benatural.com carries exclusive all-natural chemical-free skin care, hair care, whole food vitamins, herbal remedies, and alkaline body balance supplements.
[00:45:11.637 --> 00:45:13.719]  Visit 2benatural.com.
[00:45:13.719 --> 00:45:16.862]  That's T-O-B-E-natural.com.
[00:45:16.862 --> 00:45:18.023]  2benatural.com.
[00:45:18.383 --> 00:45:22.966]  Use coupon code RADIO for 15% discount and free alkaline food chart.
[00:45:22.966 --> 00:45:23.246]  Call 1-888-417-1375.
[00:45:23.246 --> 00:45:25.167]  That's 1-888-417-1375 to order or request your free catalog.
[00:45:33.177 --> 00:45:33.497]  Dex?
[00:45:33.497 --> 00:45:38.863]  HempUSA.org is now offering free shipping worldwide to better serve our customers.
[00:45:38.863 --> 00:45:45.290]  Our goal is to get these fine hemp products to you in the least amount of time so you can enjoy what the powder seeds and oil can do for you.
[00:45:45.290 --> 00:45:47.813]  HempUSA.org has a warning that the U.S.
[00:45:47.813 --> 00:45:53.139]  food supplies are dangerously low and we urge you to protect your family with hemp storable foods today.
[00:45:53.139 --> 00:45:54.560]  Tomorrow may be too late.
[00:45:54.560 --> 00:45:54.820]  Call 908-722-9000.
[00:45:56.161 --> 00:46:11.908]  This incredible food source is loaded with enzymes so your body can digest the food you eat, and it creates an alkaline environment where cancer can't grow and parasites cannot live, and brings funguses, viruses and bacterial levels down and to a halt.
[00:46:11.908 --> 00:46:13.749]  Try our powder seeds and oil today.
[00:46:13.749 --> 00:46:18.090]  Call 908-691-2608 or visit hempusa.org.
[00:46:18.090 --> 00:46:21.052]  If the body has the proper nutrition it will heal itself.
[00:46:21.052 --> 00:46:21.612]  Ask yourself,
[00:46:21.912 --> 00:46:25.158]  Why does our government not allow this crop to grow in the US?
[00:46:25.158 --> 00:46:27.662]  This product is also great for pets and animals.
[00:46:27.662 --> 00:46:28.944]  Call 908-691-2608 or go to hempusa.org today!
[00:46:33.268 --> 00:46:34.169]  You worry.
[00:46:34.169 --> 00:46:36.250]  You see the signs and worry about the future.
[00:46:36.250 --> 00:46:38.892]  You worry about economic turmoil and food shortages.
[00:46:38.892 --> 00:46:41.014]  How to be prepared while preserving your sanity?
[00:46:41.014 --> 00:46:42.615]  Your answer may be at hand.
[00:46:42.615 --> 00:46:46.218]  Author Linda Runyon lived off the land, isolated from civilization.
[00:46:46.218 --> 00:46:51.462]  She knows that as long as the sun shines, there will be plenty of free food all over God's green earth.
[00:46:51.462 --> 00:46:55.425]  Perhaps the only sane insurance is knowledge of wild edible plants.
[00:46:55.425 --> 00:46:57.106]  The cost of learning is minimal.
[00:46:57.106 --> 00:47:00.029]  Wild food grows everywhere and you will see it everywhere.
[00:47:00.029 --> 00:47:02.971]  It's every bit organic and more nutritious than our modern diets.
[00:47:03.467 --> 00:47:12.094]  Well respected in her field, Linda's approach to teaching this subject includes books, flashcards, and video with an emphasis on health, safety, practicality, and joy.
[00:47:12.094 --> 00:47:16.917]  Learn how to identify it, where and when to find it, how to prepare, use, and store it.
[00:47:16.917 --> 00:47:20.960]  Go to Linda's website ofthefield.com and take advantage of special offers.
[00:47:20.960 --> 00:47:24.823]  Or if you're not online, call her 24-hour, toll-free order line at 888-51-EAT-FOOD.
[00:47:34.463 --> 00:47:38.305]  You're listening to GCN.
