[00:00.000 --> 00:04.880]  Founder Alex Jones is calling out alleged collusion between Google and Democrats
[39:00.200 --> 39:01.640]  anti gun
[39:01.640 --> 39:03.640]  anti alex jones
[39:03.640 --> 39:10.680]  Sent an email with hidden child porn link senate. They asked for all these key terms in discovery. We gave them the emails
[39:11.720 --> 39:13.720]  unopened emails
[39:14.440 --> 39:17.320]  And then the news ran headlines alex jones caught with child porn
[39:17.320 --> 39:20.600]  And in documents he gave sandy hook parents
[39:22.520 --> 39:27.880]  So there's just no end to these people and they're really pissed we're exposing their pedophilia
[39:28.360 --> 39:30.360]  You have to understand the people we're finding
[39:32.120 --> 39:38.360]  They're pedophiles the large majority of the leadership of the people opposing us literally rape children
[39:39.720 --> 39:41.720]  So just remember that's who they are
[39:42.280 --> 39:44.280]  and never forget that
[39:44.280 --> 39:47.960]  That's why they're targeting children for gender reassignment mutilation
[39:48.600 --> 39:53.880]  All the rest of it. It's about destroying children and stealing their energy. That's what gets them big mojo
[39:54.440 --> 39:56.200]  with their god
[39:56.200 --> 39:58.840]  so again eight seven seven seven eight nine two five three nine
[39:59.880 --> 40:01.560]  i'm going to uh
[40:01.560 --> 40:05.000]  Cover a lot of other news as well in between your calls and a lot of key clips
[40:05.800 --> 40:07.800]  but
[40:07.880 --> 40:09.880]  The democrats are coming out now and saying
[40:09.880 --> 40:17.000]  Oh, we're not for this shot now that nobody's taking it nobody's buying it now that sales have collapsed
[40:17.480 --> 40:21.560]  Now they've had their big run now. They've poisoned billions of people now
[40:21.960 --> 40:26.760]  Oh, are they going to blame trump in australia or trump in germany or trump in france or england? No
[40:28.280 --> 40:31.160]  But domestically they're going to try to blame him for this shot
[40:32.680 --> 40:37.880]  But that will go worldwide and will save you more lives when it comes out that the shot was deadly poison
[40:37.880 --> 40:39.880]  incredible
[40:40.760 --> 40:45.240]  So your calls are coming up jordan and carlos and tom and wave and julio and
[40:45.800 --> 40:46.440]  Show many others
[40:46.440 --> 40:51.000]  You know a lot of times i just say first time callers only because we got some great callers that are so quick to dial in
[40:51.640 --> 40:53.720]  That they just get in first and that's okay, but
[40:55.240 --> 40:58.760]  After these calls only first time callers again because i want to give new callers a chance
[40:58.840 --> 41:00.840]  I don't love these callers too, but
[41:00.920 --> 41:01.960]  You know
[41:01.960 --> 41:06.280]  We got a computerized phone system. We can see the amount of calls we get when we open the phones up
[41:06.280 --> 41:08.280]  We get an average of 10 000 calls
[41:09.080 --> 41:12.040]  One time we had over 30 000 calls in just two hours
[41:13.000 --> 41:16.440]  That's how many great losers we got trying to call in we love you, uh, but
[41:17.560 --> 41:22.840]  I don't know then how when I don't say first time callers only how some of the same folks get in but they're smart
[41:23.000 --> 41:25.000]  We love them. We want to hear from carlos
[41:25.000 --> 41:27.000]  We want to hear from julio
[41:27.000 --> 41:30.520]  We want to hear from a lot of the folks that are there, but after these callers
[41:30.520 --> 41:37.880]  First time callers for all the new calls coming in because i want to give new callers a chance to get on board uh look
[41:40.280 --> 41:44.360]  I want to thank you all for your support. I'm going to go ahead and just make the announcement now
[41:44.840 --> 41:46.840]  They make it official
[41:47.160 --> 41:49.160]  Friday will be the last day
[41:49.320 --> 41:51.320]  You can get a signed copy
[41:51.400 --> 41:53.640]  Of the great reset in the war for the world
[41:54.280 --> 41:58.920]  A because we're about to sell out of the first group of books we got shipped they start shipping next week
[41:58.920 --> 42:02.360]  And b i'm going to sign these and I can't sign
[42:03.720 --> 42:09.080]  Many more books. I mean i'm up here hours a day signing these things. I'm trying to sign a thousand a day
[42:09.800 --> 42:13.800]  Uh, so that when they start shipping next week, they all go out to you. So, you know, it's a great fundraiser
[42:13.800 --> 42:17.240]  I want to thank you for paying the big mark up for the signed book as a fundraiser
[42:17.960 --> 42:20.440]  You can get an unsigned one at amazon or wherever you want right now
[42:20.440 --> 42:24.360]  We're only selling signed books them for store.com, but i'm going to have to pull the plug on this
[42:25.080 --> 42:27.560]  At least for a month or so, but thank you for your support
[42:27.560 --> 42:31.800]  Thank you for the fundraiser. Wow, we could fund the whole operation just with book sales
[42:32.120 --> 42:36.040]  If we could continue it that I could sign them all but I just can't do it
[42:36.040 --> 42:39.240]  So your last chance to get the great reset in the war for the world signed books
[42:39.640 --> 42:44.040]  Also, it's your last chance to get vitamin mineral fusion 40 off bodies discounted
[42:44.520 --> 42:48.680]  Those are very close to selling us. They're about to go back to full price x2 is going back to full price
[42:48.680 --> 42:58.360]  infowarstore.com or triple a 253-3139, but thank you for keeping us on the air. We'll be right back
[42:59.560 --> 43:04.920]  Ladies and gentlemen if millions of people get this book our funding problems will be over and it's starting to happen
[43:04.920 --> 43:08.760]  That's why I said yeah go to infowarstore.com get the book and start shipping in a couple weeks
[43:08.760 --> 43:10.200]  The great reset in the war for the world
[43:10.200 --> 43:14.280]  But I said go to amazon because it's the number one book chart in the world
[43:14.280 --> 43:18.600]  And if it goes to number one not a political not of history not of us history
[43:18.600 --> 43:25.320]  It's already number one over 40 categories like political science. You name it 40 plus categories. It's number one ladies and
[43:25.880 --> 43:32.280]  gentlemen drum roll please of books in the world the great reset in the war for the world is
[43:32.520 --> 43:39.320]  One two three four five six seven eight nine. We are now number nine in the world
[43:39.320 --> 43:44.360]  Whoo, this is major. This is political. This could fund our war chess
[43:44.360 --> 43:51.800]  Just go to amazon.com everybody and buy 10 copies send this blueprint to the death star and the new world order
[43:51.800 --> 43:55.720]  Because you read this you know their whole plan how to stop them hit the great reset the world of the world now
[43:55.800 --> 43:57.800]  It's gonna go to number one. What do you make of that?
[44:00.680 --> 44:06.360]  I don't care if you work in a cafeteria or pump gas or whether you're a farmer a rancher a doctor a lawyer or a
[44:06.360 --> 44:10.360]  Millionaire fortune and money magazine have all done these profiles
[44:10.360 --> 44:16.040]  You see it every year 30 different tax returns 30 different answers 50 different tax returns 50 different answers
[44:16.520 --> 44:18.040]  And almost all of them
[44:18.040 --> 44:23.480]  Just screw you over especially the big firms and the big tax groups because they're part of the system
[44:23.480 --> 44:29.640]  And they don't want the general public understanding this and knowing this so it's a very important situation with inflation
[44:30.120 --> 44:32.120]  and all the things out there hurting everybody
[44:32.440 --> 44:34.280]  to be able to
[44:34.280 --> 44:37.960]  Do things tax wise it's legal and lawful that allows you to keep more your money
[44:37.960 --> 44:42.280]  We wouldn't even be here if I hadn't gotten great tax advice in the last few years
[44:43.400 --> 44:51.000]  The only way you fail is not writing down the url jonestaxrelief.com one word jonestaxrelief.com or call
[44:51.480 --> 44:57.080]  833-940-285 833-940-285
[44:57.080 --> 45:05.400]  We brought the game changing product previously only available to major oil companies
[45:05.640 --> 45:12.360]  Around the world to the civilian market two years ago the bio pros for septic tanks for porta potties for rvs
[45:12.520 --> 45:17.960]  For your drains your boats it goes on and on it'll eat the oil off of your driveway if you just add water
[45:18.600 --> 45:22.760]  But it's been so successful now. We're selling it to major rv parks
[45:22.760 --> 45:29.400]  Uh pig farms you name it because this stuff will eat anything that is organic
[45:29.800 --> 45:35.960]  And it's exclusively available at the bio pros dot com and now info war store dot com
[45:36.280 --> 45:38.280]  We sold out of this for almost a year
[45:38.520 --> 45:44.920]  But we made a major purchase and it is now in stock for whatever your need is at info war store dot com
[45:45.080 --> 45:51.320]  You'll also find instructional videos and more information at info war store dot com or the bio pros dot com
[45:51.320 --> 45:53.320]  Made america
[45:53.320 --> 45:57.560]  Powered by god's great creation. It is amazing and it funds the info war
[46:00.280 --> 46:04.280]  The best product i'm not i'm not supposed to be biased but i'm gonna tell you all now if you haven't tried turbo force
[46:04.360 --> 46:07.000]  You need to try it. I've tried turbo force with everything
[46:08.280 --> 46:12.600]  Sometimes, you know, I went a little bit crazy. I put turbo force in my coffee. That was a crazy week
[46:12.600 --> 46:18.040]  I don't I don't remember sleeping but as far as the products go turbo force is my favorite and all the info wars products are down to
[46:18.040 --> 46:23.000]  Take control your life. Take control your health. Not relying on other people to do it for you
[46:24.280 --> 46:26.280]  Nobody wakes up in the morning
[46:27.080 --> 46:30.280]  And thinks i'm gonna give that person over there a better life. I'm gonna wake up today
[46:30.280 --> 46:35.080]  You know, I'm gonna spend my entire day trying to make that guy over there healthier happier and richer
[46:35.080 --> 46:38.760]  I'm gonna make sure he gets a Ferrari and a girlfriend. I don't think that happens very often
[46:38.840 --> 46:42.440]  It's never happened to me. I've never had anyone knock on my door and said tate. You're such a good guy
[46:42.520 --> 46:47.000]  How can I improve your life in every single way? There's only one person who woke up and fought that and that was me
[46:47.000 --> 46:50.120]  I woke up and thought you know what? Okay. I want to take control of my life
[46:50.120 --> 46:53.880]  I want to take control of my health and that's why you need to go to info wars calm take control of your health right now
[46:53.880 --> 46:59.080]  And support the resistance. Don't buy into the group think don't drink the kool-aid drink the turbo force kool-aid's bad
[46:59.080 --> 47:01.080]  The turbo force is good
[47:01.080 --> 47:07.080]  Leading a frontal assault on the lies of the new world order. It's alex jones
[47:07.080 --> 47:20.040]  All right, we're back live about to take your phone calls at eight seven seven seven eight nine two five three nine
[47:20.920 --> 47:24.520]  I'm your host alex jones again. Thank you so much for being part of this transmission
[47:24.840 --> 47:27.960]  Let's look at some of these headlines that I was mentioning. We'll go right to your phone calls
[47:29.000 --> 47:34.520]  The democrats have set trump up the deep state set trump up. They knew the shop was going to kill people a racer immune systems
[47:34.520 --> 47:37.080]  They attacked as many of us as they could with the weapon
[47:38.440 --> 47:41.960]  But it was globally coordinated the exact same were a lot of the exact same shots
[47:42.520 --> 47:49.000]  Trump white house exerted pressure on fda for cobit 19 emergency authorizations house report finds. Well, yeah, I did it publicly
[47:51.560 --> 47:54.600]  And went over all the examples the democrats coming out and
[47:55.560 --> 47:58.520]  Saying oh, don't take the shot and suddenly saying you know you should take it
[47:58.600 --> 48:04.200]  I bet you should be made to take it new cobit vaccine study reveals increased risk in heart problems and neurological disorders
[48:04.200 --> 48:06.200]  after each dose
[48:07.000 --> 48:11.640]  Rand Paul warns national institutes of health not to try to destroy evidence as Fauci exits
[48:13.000 --> 48:19.000]  They know the investigations are coming former head of plant parenthood cnn media analyst who firstly advocated masking now admits
[48:19.160 --> 48:21.160]  It harmed her son's development
[48:23.000 --> 48:30.040]  Macon rose says it's a joke that jokovic won't be allowed to compete in the u.s. Open. This is still going on the force inoculations folks
[48:30.040 --> 48:36.120]  Cnn tells viewers monkey potch is not sexually transmitted
[48:38.840 --> 48:44.520]  Federal judge protects the religious rights of Marines refuse cobit vaccine a big victory also an info wars.com
[48:46.440 --> 48:50.760]  Washington Post opinion. I'm a doctor. Here's why my kids won't wear masks this school year
[48:50.760 --> 48:56.040]  So they abuse us then they turn around as the heroes who are all against it though when we were telling you
[48:56.040 --> 49:02.920]  Two and a half years ago two years ago a year ago six months ago. We were the devil. We were the worst people on earth for telling you
[49:04.200 --> 49:07.480]  Next year's news today. Thank you for backing us. Thank you for standing with us
[49:07.480 --> 49:13.080]  That's why they want to shut down because we're good and we care about ourselves and that means we care about everybody
[49:13.400 --> 49:15.400]  Because it's all symbiotic
[49:16.200 --> 49:20.040]  Big live evil as you can screw people over and I haven't come back on you. That's a fraud
[49:22.280 --> 49:24.280]  All right
[49:24.280 --> 49:27.160]  Let's go to your phone calls and the order that the calls
[49:27.720 --> 49:29.720]  Have been received
[49:29.800 --> 49:31.800]  Jordan in new jersey. Thanks for calling
[49:33.160 --> 49:37.960]  Hi, Alex. Uh, I I'm sorry about the first time caller thing. I I didn't I heard a free for all
[49:38.360 --> 49:42.280]  Oh, no, I said free for all. It's okay. It's okay. I apologize. No, no
[49:42.840 --> 49:46.920]  It's my fault. I said free for all then I saw I thought I saw some long-time callers
[49:46.920 --> 49:51.320]  I actually wasn't long-time callers calling in so I said, let's just do first time. Let's just let's just get to your point
[49:51.320 --> 49:55.720]  Go ahead. Okay. So, um, I just want to say this whole thing about the responsibility
[49:56.120 --> 49:58.520]  Where all this comes from as far as the whole release
[49:59.080 --> 50:03.240]  Right and then the inoculation program. I just want to make this theme known
[50:03.720 --> 50:07.320]  Uh, the national, um, you know, uh, defense real authorization acts
[50:07.800 --> 50:14.120]  All right, starting after, uh, you know, the 9 11, um fiasco and um, you know, of course
[50:14.680 --> 50:18.920]  That's right. They've been preparing this whole biomedical force inoculation tyranny
[50:19.480 --> 50:21.160]  for decades
[50:21.160 --> 50:26.360]  Yes, and it buried in all the and this is how they get all the republicans to go along all this crap too without them having any
[50:26.440 --> 50:29.960]  Sort of problem, right? Um, is they have them agree to these?
[50:30.360 --> 50:32.360]  um, nbaa's
[50:32.600 --> 50:35.960]  And and and each one become you can see in each step
[50:36.440 --> 50:41.240]  Um, them getting to human experimentation. That's right. Whether it's brazil or germany or the u.s
[50:41.640 --> 50:48.120]  They have the government signed non-disclosure acts and indemnified big pharma when they rolled this out and big pharma had financed
[50:48.120 --> 50:54.600]  And put all the major regulators in charge and the boards not just of our government but other governments who then advised the president
[50:55.160 --> 50:57.160]  And presidents to go along with the scam
[50:57.320 --> 51:02.120]  That's what you call capture of governments or penetration of governments that claus Schwab talks about
[51:03.400 --> 51:09.480]  Correct and the military industrial complex is all part of this big giant cabal that is trying to consolidate their power
[51:09.560 --> 51:13.480]  And 9 11 is a key event which makes you this fulcrum as you've discussed
[51:13.480 --> 51:21.800]  Uh, starting there picking up people like me in 2003 and slowly building this info army to where now you are fighting the ultimate battle
[51:22.040 --> 51:26.600]  Alex and you are now vested with all the power of all that information
[51:27.080 --> 51:32.280]  Um, and and all that knowledge that you put into great reset that we now need to um
[51:32.760 --> 51:38.680]  Do the power of gray skull, right and get and get and become what we need to be in order to fight the next part of this
[51:38.680 --> 51:45.560]  And that's why I I just the nvaa is though is where they built all the the national defense authorization act
[51:45.640 --> 51:51.320]  You're absolutely right and they had the model states health emergency powers act at george w bush rammed through
[51:51.800 --> 51:56.040]  For force inoculations as well. In fact, it's the exact same plan going back
[51:56.440 --> 52:02.280]  Uh to his second administration for the masking the six feet of separation all that was in that document
[52:02.280 --> 52:07.880]  Yes, and if and and if we're still questioning as to what to do people need to go back and look at all those
[52:07.960 --> 52:13.320]  Authorizations and find out where there might be more steps that might be taken by these psychopaths
[52:13.400 --> 52:17.800]  Because that's the blueprint exactly guys type in model states health emergency powers act
[52:18.280 --> 52:20.280]  2000 and
[52:20.520 --> 52:21.560]  five
[52:21.560 --> 52:23.000]  looked at up
[52:23.000 --> 52:25.560]  All right, sir great points amazing call. Thank you jordan
[52:25.560 --> 52:31.960]  And we are taking a long time callers for some callers that was just me going down a rabbit trail. Uh, let's talk to, uh,
[52:33.000 --> 52:35.160]  tom in tennessee you're on the air go ahead, sir
[52:36.680 --> 52:40.120]  Hey, what's going on now? Let's hope you're doing good brother. Um, I just wanted to say that
[52:40.120 --> 52:45.000]  I think it was kind of a double-edged sword for trump if he wouldn't have come up with a vax and
[52:45.720 --> 52:47.160]  You know push that
[52:47.160 --> 52:53.880]  He'd have been blamed for you know every death that happened because of covet but since you know, obviously since he did come up with one
[52:53.880 --> 52:57.320]  Uh, you know they're blaming them for the for the repercussions of it
[52:58.600 --> 53:03.880]  Um, but as but as far as moving forward, you know, I think trump's kind of
[53:04.760 --> 53:06.280]  becoming like a
[53:06.280 --> 53:09.640]  A toxic x that you know, obviously there's still feelings, but
[53:10.440 --> 53:12.440]  It might just be time to move forward
[53:12.520 --> 53:13.720]  um
[53:13.720 --> 53:15.720]  You know move on from it
[53:15.960 --> 53:19.000]  No, I agree, but they're gonna try to whether we love trump or hate trump
[53:19.000 --> 53:25.560]  They're gonna try to parlay everything into him as the as the sacrificial lamb and blame him thus blaming us
[53:26.040 --> 53:28.040]  And I don't see that dog hunting
[53:28.280 --> 53:34.680]  Especially if trump can extricate himself from this. That's that's why I've issued emergency message after emergency message to the president
[53:35.800 --> 53:40.760]  Absolutely, absolutely, but I mean there's a point though. I mean, you know, he's he's not
[53:41.400 --> 53:44.840]  He's not really backing down and taking responsibility for you know
[53:44.840 --> 53:51.240]  What he what he has done or at least shifting that responsibility a little bit to some of the officials that he took that advice from I think
[53:52.280 --> 53:57.480]  You know as far as as far as uniting and and and moving, you know, the country in the right direction
[53:57.480 --> 54:01.320]  I mean if if he's not going to deny it and shift responsibility, I think, you know
[54:02.600 --> 54:04.600]  We're losing hope
[54:04.600 --> 54:07.240]  I hear you and DeSantis is smart enough to get himself
[54:07.720 --> 54:10.600]  Away from it, which is again not about protecting DeSantis
[54:10.600 --> 54:15.160]  That'll make the whole thing fall apart then they can inject six-month-old babies with it
[54:15.560 --> 54:20.600]  That's why I that's why I'm going after trump using DeSantis knowing he's jealous of DeSantis
[54:20.840 --> 54:25.640]  So if we start empowering DeSantis is doing the right thing trump out do the right thing and I explained that last week
[54:25.720 --> 54:30.600]  I'm just simply trying to get trump to come out against it to save children. God bless you brother. I appreciate your go
[54:31.400 --> 54:38.520]  Let's go to Jason in Texas. Who is to blame for this? Is it trump? Is it bill gates? Because you know somebody's gonna pay for this
[54:38.520 --> 54:45.000]  Of course, it's bill gates and Fauci and all them. Why do you think they're getting pissed and he's trying to flee?
[54:45.720 --> 54:51.400]  Like uh, dr. Ron Paul said he ain't going nowhere. You know, we've been saying this from day one
[54:51.720 --> 54:56.520]  I'll tell you what right now. Here's their plan. They are gonna release
[54:57.880 --> 55:04.520]  A bomb or something on the u.s. They're gonna nullify this election. They know they're finished
[55:05.240 --> 55:07.240]  so you're gonna
[55:07.240 --> 55:09.240]  So I'm with you know
[55:11.880 --> 55:13.880]  And then they're gonna take over
[55:14.120 --> 55:16.120]  they won't even be an election and then
[55:17.000 --> 55:18.360]  on uh
[55:18.360 --> 55:20.360]  If you look in like certain cities
[55:20.760 --> 55:26.760]  I got a realtor my buddy's dad is a realtor and they kind of have the inside scoop on what's going to be what?
[55:28.280 --> 55:34.280]  And there's multiple big warehouses being built all over and nobody knows what they're for
[55:34.280 --> 55:40.920]  So when they turn the lights out and there's no heat or you know in the winter or you know in the summer for cool
[55:41.320 --> 55:44.280]  I'll come to this place, you know warm up. No, that's
[55:44.920 --> 55:46.600]  That's the death camp. No, you're right
[55:46.600 --> 55:49.800]  They're already creating warming centers and heating centers around the world in fact
[55:49.800 --> 55:52.840]  I was about to say this when you talked about cutting the power
[55:53.400 --> 55:55.160]  tsunami of shutoffs
[55:55.160 --> 56:02.120]  20 million u.s. Homes are behind on power bills same thing in europe. This is the designed collapse of civilization brother
[56:02.120 --> 56:05.400]  Thank you so much jason. I appreciate your call wow
[56:07.960 --> 56:14.440]  All right, we got huleos up next and so much more we got through her nanda's popping in to give his view on this but
[56:15.880 --> 56:17.880]  Believe it. This is the big issue
[56:19.080 --> 56:24.280]  Because the new world order is going down when it comes out they brought this shot out so they think globally they're gonna blame trump
[56:26.040 --> 56:29.400]  When it was the british intelligence of the new world order in our own defense department
[56:29.400 --> 56:34.600]  They launched all this people say oh the military will save us our military is full of good men and women
[56:35.160 --> 56:38.120]  But at the top they are new world order
[56:39.000 --> 56:41.000]  And they think we're stupid
[56:41.480 --> 56:45.400]  And so ahead of the collapse they've soft killed as many people as they can
[56:48.920 --> 56:51.560]  Ahead of what the economic
[56:52.280 --> 56:57.080]  Total shutdown and and the and the cyber attacks are gonna blame on the russians. I mean you can just see it
[56:57.080 --> 57:00.280]  You can taste it. You can smell it. This is devastating
[57:00.840 --> 57:04.040]  That's why it's more important now than ever
[57:04.120 --> 57:11.080]  It's a symbiotic relationship to warn everybody because that could mitigate this that could back them down their plan's not going well
[57:11.320 --> 57:15.000]  Maybe there's some smart people in the system that are going to put the brakes on this. I mean thank god
[57:15.000 --> 57:17.000]  It's coming out the shots kill people
[57:17.960 --> 57:20.680]  If folks hadn't woken up to it, they just kept riding that horse forever
[57:21.000 --> 57:24.200]  But their double back plan was to blame trump if it came out what they were doing
[57:24.200 --> 57:26.760]  So they're all run over the hills. They're all
[57:28.200 --> 57:30.360]  Engaged in you know fleeing the sinking ship
[57:31.400 --> 57:35.080]  This is the big debate. We're having the big discussion. We're having whatever you do
[57:35.080 --> 57:37.400]  Tell folks about the live feeds and info wars.com
[57:37.800 --> 57:43.480]  Or it's last show and band out video and remember we're listener funded info war store.com. We'll be right back
[57:43.480 --> 57:49.000]  The cavalry for your immune system
[57:49.640 --> 57:58.200]  The cavalry for your health and the cavalry to keep info wars on the air with funding has now arrived a 360 win
[57:58.840 --> 58:00.840]  Almost sold out for a year
[58:00.840 --> 58:07.080]  DNA force plus with the pqq and the coq 10 and all the patented documented
[58:07.080 --> 58:14.680]  Super ingredients to completely turbo charge your immune system and your body is finally back in stock and
[58:15.240 --> 58:17.080]  Despite the fact it's gonna sell out quick
[58:17.080 --> 58:23.080]  I want those of you that haven't experienced it to get it and I want long-term supporters to experience it as well
[58:23.080 --> 58:27.080]  So it is 50% off out of the gates for a limited time
[58:27.400 --> 58:32.200]  DNA force plus finally back in stock and info wars store.com
[58:32.200 --> 58:37.480]  For 50% off ladies and gentlemen, this is a symbiotic relationship
[58:38.120 --> 58:43.560]  Supporting info wars defeats the globalist and this product does amazing things for your body. Take action now
[58:43.560 --> 58:47.480]  If you're like myself and so many other people on this planet, especially as you get older
[58:47.480 --> 58:49.880]  You gain weight even if you eat a lot less
[58:49.880 --> 58:55.080]  I got to tell you info wars is only about bringing you amazing products that really work
[58:55.080 --> 58:57.080]  So we looked at the same thing
[58:57.080 --> 59:04.200]  Info wars is only about bringing you amazing products that really work. So we looked at the supplement market that we fund a lot of our operations with
[59:04.520 --> 59:05.960]  and we said
[59:05.960 --> 59:11.560]  What are the best selling natural healthy anti-fat weight loss products that are out there?
[59:11.880 --> 59:17.560]  We went looked at the top 10 and they all had the same ingredients in common that is in this product
[59:18.040 --> 59:21.000]  But with our new product from x7 diet force
[59:21.960 --> 59:25.800]  We got the very best concentrates of these known
[59:25.800 --> 59:32.440]  Natural essences that's two amazing things for your body. And so I've lost almost 40 pounds
[59:32.440 --> 59:38.440]  I'm so a little bit overweight in the last three months and I've been doing it using diet force and also exercise
[59:38.680 --> 59:45.000]  Well now diet force is exclusively available right now at info wars store.com 40 off
[59:45.320 --> 59:49.560]  info wars store.com diet force. You need to take this product. It really works
[59:49.560 --> 59:57.400]  Thanks. Leading up front to assault on the lies of the new world order. It's alex jones
[1:00:01.400 --> 1:00:06.040]  Take the highway to the end of the night
[1:00:07.160 --> 1:00:09.160]  End of the night
[1:00:10.520 --> 1:00:11.880]  End of the night
[1:00:11.880 --> 1:00:14.520]  Take a journey for the bright midnight
[1:00:14.520 --> 1:00:18.040]  Take a journey to the bright
[1:00:18.600 --> 1:00:21.000]  All right, wave and jenice. See you're on the air. Welcome
[1:00:25.640 --> 1:00:30.760]  I'm just sick of these freaking resilience in this government. I'm so sick of them trying to control our lives
[1:00:30.920 --> 1:00:34.760]  So sick of them poisoning us with these shots and these chemtrails and these
[1:00:34.760 --> 1:00:44.680]  I'm so sick of it. So sick of it. I just pray to god for a head to prediction over all of us every day
[1:00:46.040 --> 1:00:54.920]  I just want to say I remember you saying that that trump's son had been vaccinated and he got some sort of autism from it
[1:00:55.160 --> 1:01:00.600]  What the heck is going on with trump? What is he doing? He's black males. What is going on brother?
[1:01:00.600 --> 1:01:06.360]  Whatever it is, it ain't good. Thank you, sir. Julio in colorado. You're on the air. Welcome
[1:01:07.880 --> 1:01:15.240]  Well, it's great to chat with you. Alejandro patient zero before they carve your corpse up as I heard on the commercial
[1:01:15.720 --> 1:01:20.920]  Uh, look colorado denver colorado reminds me a lot of the great hank williams jr
[1:01:21.000 --> 1:01:26.120]  song o deed in denver. I call it mount skid row because uh, I hate to say it
[1:01:26.120 --> 1:01:33.480]  But uh, this city is deteriorating faster and faster and that's going to be most of the country as energy bills
[1:01:33.880 --> 1:01:39.800]  Skyrocket as we hit into wind as we hit into winter now. Alejandro, I don't know who
[1:01:40.600 --> 1:01:44.680]  The senior donald trump is listening to who who his advisors are
[1:01:45.240 --> 1:01:51.640]  But he needs to either change advisors or listen more of his gut instincts because as you just mentioned
[1:01:51.640 --> 1:01:57.880]  We're going to see more and more articles as more and more people get sick as more myocarditis
[1:01:58.280 --> 1:02:00.280]  Uh gets diagnosed
[1:02:00.520 --> 1:02:02.920]  This is this is going to get blamed on trump now
[1:02:02.920 --> 1:02:06.280]  He has this golden opportunity to turn around and say hey look
[1:02:06.760 --> 1:02:12.920]  Fauci lied to me irks lied to me. I mean they're they're all coming out and admitting that they lied to the president
[1:02:13.160 --> 1:02:14.840]  my pet
[1:02:14.840 --> 1:02:23.560]  Whoever the president is listening to he must change course immediately because it doesn't I mean yes across the country and across states
[1:02:24.520 --> 1:02:29.880]  maga type candidates are winning these types of elections or winning school board seats, etc, etc
[1:02:30.600 --> 1:02:36.920]  But it's quite clear Alejandro that uh, donald trump's going to get set up here in the coming months as
[1:02:37.800 --> 1:02:44.360]  The elite system is falling completely in there. Oh, absolutely elio. Thanks for the call. It's already begun dj in new york
[1:02:44.360 --> 1:02:46.360]  Go ahead
[1:02:46.520 --> 1:02:48.520]  Yeah, hi alex
[1:02:48.920 --> 1:02:50.920]  I just wanted to share with the audience
[1:02:51.640 --> 1:02:56.840]  For my many years of looking at this stuff going back to the 80s before you were on air
[1:02:58.040 --> 1:02:59.880]  I just
[1:02:59.880 --> 1:03:02.360]  keep looking at all the different players
[1:03:03.080 --> 1:03:04.840]  of the cabal
[1:03:04.840 --> 1:03:05.720]  and
[1:03:05.720 --> 1:03:07.720]  I can't help but to see
[1:03:07.720 --> 1:03:15.880]  The one of all of them that sits closest up to the capstone and that's the Jesuits. They're they're really the day
[1:03:16.120 --> 1:03:21.160]  They're the ones who are the progenitors of all this evil. Fauci is one of them
[1:03:21.800 --> 1:03:27.080]  Many of the others that we know are part of them. Well, the pope and the pope is
[1:03:27.800 --> 1:03:34.120]  Total new order taken over the pope is taken over the catholic church is subservient to the Jesuits in the knights of malta
[1:03:34.120 --> 1:03:38.280]  And they have their inroads going way back with the chinese
[1:03:38.280 --> 1:03:44.520]  That's why the catholic church is the only official church there and they don't know the portuguese discovered china made the first deal
[1:03:44.520 --> 1:03:50.280]  So I mean definitely the old more powerful the british empire has been the not the catholic people
[1:03:50.280 --> 1:03:55.400]  But the Jesuits in control of the rudders and and that was the secret maps into the ornate
[1:03:56.520 --> 1:04:00.360]  You can't become a head of state without them approving or allowing it
[1:04:00.360 --> 1:04:06.520]  They control the secret societies of the world. They control the monetary systems
[1:04:06.680 --> 1:04:10.520]  They can they are the ones in the driver's seat in the pilots
[1:04:11.240 --> 1:04:16.040]  Nest they they're they're in control. They're the ones that are the pedophiles
[1:04:16.680 --> 1:04:19.240]  That are the child traffickers the abusers
[1:04:19.640 --> 1:04:24.120]  They are the ones that people in the audience need to really research to discover
[1:04:24.120 --> 1:04:30.520]  Who their real enemy is when they say they well, there's no doubt that the jesuit order has taken over the catholic church
[1:04:30.520 --> 1:04:33.960]  He's pedophilia to do it and there's no doubt. It's one of the most ancient powerful groups
[1:04:33.960 --> 1:04:38.920]  There is but the average but they conflate that between catholics and that and I think catholics are great people
[1:04:38.920 --> 1:04:42.440]  But I hear what you're saying brother. Thank you dj. All right. We're gonna come back
[1:04:43.240 --> 1:04:49.080]  We drew Hernandez for two segments and I'm right back to your phone calls here today eight seven seven seven eight nine
[1:04:49.240 --> 1:04:51.880]  Alex eight seven seven seven eight nine two five three nine
[1:04:51.880 --> 1:04:55.960]  Drew is upset about what's happening with Trump as well. I'm gonna get his tape
[1:04:59.720 --> 1:05:02.120]  DNA force plus
[1:05:03.080 --> 1:05:08.840]  After almost a year of being out of stock is now exclusive available at infowarstore.com
[1:05:09.800 --> 1:05:12.440]  pqq and coq10 are on record
[1:05:13.080 --> 1:05:16.760]  As making the telomeres and your dna last longer
[1:05:17.400 --> 1:05:20.760]  This is as close as the fountain of youth as you're gonna get
[1:05:20.760 --> 1:05:24.760]  And on top of that this great product funds the info war
